context: Budogaoka Bank response:	Great Year-End Lottery
context: No... This time, I'm not backing down, either!\There's no way you're getting away with this!\Well said, Josuke!\Of course you wouldn't back down!\It's only logical!\So now you don't want to split the money, Shigechi?\You realize this amount is way too much for that to fly, don't you?\Here. response:	This should be enough for you guys.
context: There's no way you're getting away with this!\Well said, Josuke!\Of course you wouldn't back down!\It's only logical!\So now you don't want to split the money, Shigechi?\You realize this amount is way too much for that to fly, don't you?\Here.\This should be enough for you guys. response:	You didn't really do anything, after all.
context: Well said, Josuke!\Of course you wouldn't back down!\It's only logical!\So now you don't want to split the money, Shigechi?\You realize this amount is way too much for that to fly, don't you?\Here.\This should be enough for you guys.\You didn't really do anything, after all. response:	I'll take pity on you because you're my friends.
context: Of course you wouldn't back down!\It's only logical!\So now you don't want to split the money, Shigechi?\You realize this amount is way too much for that to fly, don't you?\Here.\This should be enough for you guys.\You didn't really do anything, after all.\I'll take pity on you because you're my friends. response:	Crush
context: It's only logical!\So now you don't want to split the money, Shigechi?\You realize this amount is way too much for that to fly, don't you?\Here.\This should be enough for you guys.\You didn't really do anything, after all.\I'll take pity on you because you're my friends.\Crush response:	Why, you
context: So now you don't want to split the money, Shigechi?\You realize this amount is way too much for that to fly, don't you?\Here.\This should be enough for you guys.\You didn't really do anything, after all.\I'll take pity on you because you're my friends.\Crush\Why, you response:	Hey, Okuyasu!
context: You realize this amount is way too much for that to fly, don't you?\Here.\This should be enough for you guys.\You didn't really do anything, after all.\I'll take pity on you because you're my friends.\Crush\Why, you\Hey, Okuyasu! response:	Give us the money, you dumbass!
context: Here.\This should be enough for you guys.\You didn't really do anything, after all.\I'll take pity on you because you're my friends.\Crush\Why, you\Hey, Okuyasu!\Give us the money, you dumbass! response:	You promised us half, so you're going to give us half!
context: This should be enough for you guys.\You didn't really do anything, after all.\I'll take pity on you because you're my friends.\Crush\Why, you\Hey, Okuyasu!\Give us the money, you dumbass!\You promised us half, so you're going to give us half! response:	Stop being greedy, you idiot!
context: You didn't really do anything, after all.\I'll take pity on you because you're my friends.\Crush\Why, you\Hey, Okuyasu!\Give us the money, you dumbass!\You promised us half, so you're going to give us half!\Stop being greedy, you idiot! response:	You're always so quick to hit. Don't be rash.
context: I'll take pity on you because you're my friends.\Crush\Why, you\Hey, Okuyasu!\Give us the money, you dumbass!\You promised us half, so you're going to give us half!\Stop being greedy, you idiot!\You're always so quick to hit. Don't be rash. response:	When dumbasses don't get what you're saying, this is how you make them understand!
context: Crush\Why, you\Hey, Okuyasu!\Give us the money, you dumbass!\You promised us half, so you're going to give us half!\Stop being greedy, you idiot!\You're always so quick to hit. Don't be rash.\When dumbasses don't get what you're saying, this is how you make them understand! response:	Are you hurt?
context: Why, you\Hey, Okuyasu!\Give us the money, you dumbass!\You promised us half, so you're going to give us half!\Stop being greedy, you idiot!\You're always so quick to hit. Don't be rash.\When dumbasses don't get what you're saying, this is how you make them understand!\Are you hurt? response:	I'm sorry Okuyasu suddenly hit you.
context: Hey, Okuyasu!\Give us the money, you dumbass!\You promised us half, so you're going to give us half!\Stop being greedy, you idiot!\You're always so quick to hit. Don't be rash.\When dumbasses don't get what you're saying, this is how you make them understand!\Are you hurt?\I'm sorry Okuyasu suddenly hit you. response:	But, Shigechi, let's not cause any trouble.
context: Give us the money, you dumbass!\You promised us half, so you're going to give us half!\Stop being greedy, you idiot!\You're always so quick to hit. Don't be rash.\When dumbasses don't get what you're saying, this is how you make them understand!\Are you hurt?\I'm sorry Okuyasu suddenly hit you.\But, Shigechi, let's not cause any trouble. response:	We're gonna hold onto the promissory note for the five million.
context: You promised us half, so you're going to give us half!\Stop being greedy, you idiot!\You're always so quick to hit. Don't be rash.\When dumbasses don't get what you're saying, this is how you make them understand!\Are you hurt?\I'm sorry Okuyasu suddenly hit you.\But, Shigechi, let's not cause any trouble.\We're gonna hold onto the promissory note for the five million. response:	In three days, when it becomes cash,
context: Stop being greedy, you idiot!\You're always so quick to hit. Don't be rash.\When dumbasses don't get what you're saying, this is how you make them understand!\Are you hurt?\I'm sorry Okuyasu suddenly hit you.\But, Shigechi, let's not cause any trouble.\We're gonna hold onto the promissory note for the five million.\In three days, when it becomes cash, response:	let's split it evenly in half, like we discussed.
context: You're always so quick to hit. Don't be rash.\When dumbasses don't get what you're saying, this is how you make them understand!\Are you hurt?\I'm sorry Okuyasu suddenly hit you.\But, Shigechi, let's not cause any trouble.\We're gonna hold onto the promissory note for the five million.\In three days, when it becomes cash,\let's split it evenly in half, like we discussed. response:	But, man, he's ridiculous.
context: When dumbasses don't get what you're saying, this is how you make them understand!\Are you hurt?\I'm sorry Okuyasu suddenly hit you.\But, Shigechi, let's not cause any trouble.\We're gonna hold onto the promissory note for the five million.\In three days, when it becomes cash,\let's split it evenly in half, like we discussed.\But, man, he's ridiculous. response:	I'm done hanging out with him.
context: Are you hurt?\I'm sorry Okuyasu suddenly hit you.\But, Shigechi, let's not cause any trouble.\We're gonna hold onto the promissory note for the five million.\In three days, when it becomes cash,\let's split it evenly in half, like we discussed.\But, man, he's ridiculous.\I'm done hanging out with him. response:	But you know,
context: I'm sorry Okuyasu suddenly hit you.\But, Shigechi, let's not cause any trouble.\We're gonna hold onto the promissory note for the five million.\In three days, when it becomes cash,\let's split it evenly in half, like we discussed.\But, man, he's ridiculous.\I'm done hanging out with him.\But you know, response:	I think we should reflect on the fact that we thought about using him
context: But, Shigechi, let's not cause any trouble.\We're gonna hold onto the promissory note for the five million.\In three days, when it becomes cash,\let's split it evenly in half, like we discussed.\But, man, he's ridiculous.\I'm done hanging out with him.\But you know,\I think we should reflect on the fact that we thought about using him response:	to get some pocket money, too.
context: We're gonna hold onto the promissory note for the five million.\In three days, when it becomes cash,\let's split it evenly in half, like we discussed.\But, man, he's ridiculous.\I'm done hanging out with him.\But you know,\I think we should reflect on the fact that we thought about using him\to get some pocket money, too. response:	You dummy.
context: In three days, when it becomes cash,\let's split it evenly in half, like we discussed.\But, man, he's ridiculous.\I'm done hanging out with him.\But you know,\I think we should reflect on the fact that we thought about using him\to get some pocket money, too.\You dummy. response:	Huh?
context: let's split it evenly in half, like we discussed.\But, man, he's ridiculous.\I'm done hanging out with him.\But you know,\I think we should reflect on the fact that we thought about using him\to get some pocket money, too.\You dummy.\Huh? response:	I'm not gonna think of it like that.
context: But, man, he's ridiculous.\I'm done hanging out with him.\But you know,\I think we should reflect on the fact that we thought about using him\to get some pocket money, too.\You dummy.\Huh?\I'm not gonna think of it like that. response:	The only reason he was able to get the five million was because of us.
context: I'm done hanging out with him.\But you know,\I think we should reflect on the fact that we thought about using him\to get some pocket money, too.\You dummy.\Huh?\I'm not gonna think of it like that.\The only reason he was able to get the five million was because of us. response:	If it was him alone, he could only get maybe tens of thousands.
context: But you know,\I think we should reflect on the fact that we thought about using him\to get some pocket money, too.\You dummy.\Huh?\I'm not gonna think of it like that.\The only reason he was able to get the five million was because of us.\If it was him alone, he could only get maybe tens of thousands. response:	But he's getting 2.5 million on his own.
context: I think we should reflect on the fact that we thought about using him\to get some pocket money, too.\You dummy.\Huh?\I'm not gonna think of it like that.\The only reason he was able to get the five million was because of us.\If it was him alone, he could only get maybe tens of thousands.\But he's getting 2.5 million on his own. response:	Yes, yes, yes, yes, yes, yes, yes, yes,
context: to get some pocket money, too.\You dummy.\Huh?\I'm not gonna think of it like that.\The only reason he was able to get the five million was because of us.\If it was him alone, he could only get maybe tens of thousands.\But he's getting 2.5 million on his own.\Yes, yes, yes, yes, yes, yes, yes, yes, response:	yes, yes, yes, yes!
context: You dummy.\Huh?\I'm not gonna think of it like that.\The only reason he was able to get the five million was because of us.\If it was him alone, he could only get maybe tens of thousands.\But he's getting 2.5 million on his own.\Yes, yes, yes, yes, yes, yes, yes, yes,\yes, yes, yes, yes! response:	Like I'll give it to you.
context: Huh?\I'm not gonna think of it like that.\The only reason he was able to get the five million was because of us.\If it was him alone, he could only get maybe tens of thousands.\But he's getting 2.5 million on his own.\Yes, yes, yes, yes, yes, yes, yes, yes,\yes, yes, yes, yes!\Like I'll give it to you. response:	Like I'll give it to you!
context: I'm not gonna think of it like that.\The only reason he was able to get the five million was because of us.\If it was him alone, he could only get maybe tens of thousands.\But he's getting 2.5 million on his own.\Yes, yes, yes, yes, yes, yes, yes, yes,\yes, yes, yes, yes!\Like I'll give it to you.\Like I'll give it to you! response:	I heard everything, damn it!
context: The only reason he was able to get the five million was because of us.\If it was him alone, he could only get maybe tens of thousands.\But he's getting 2.5 million on his own.\Yes, yes, yes, yes, yes, yes, yes, yes,\yes, yes, yes, yes!\Like I'll give it to you.\Like I'll give it to you!\I heard everything, damn it! response:	I won't give you guys even one yen!
context: If it was him alone, he could only get maybe tens of thousands.\But he's getting 2.5 million on his own.\Yes, yes, yes, yes, yes, yes, yes, yes,\yes, yes, yes, yes!\Like I'll give it to you.\Like I'll give it to you!\I heard everything, damn it!\I won't give you guys even one yen! response:	We got that five million because of my Harvest!
context: But he's getting 2.5 million on his own.\Yes, yes, yes, yes, yes, yes, yes, yes,\yes, yes, yes, yes!\Like I'll give it to you.\Like I'll give it to you!\I heard everything, damn it!\I won't give you guys even one yen!\We got that five million because of my Harvest! response:	You're no match for my Harvest!
context: Yes, yes, yes, yes, yes, yes, yes, yes,\yes, yes, yes, yes!\Like I'll give it to you.\Like I'll give it to you!\I heard everything, damn it!\I won't give you guys even one yen!\We got that five million because of my Harvest!\You're no match for my Harvest! response:	You wanna see proof?
context: yes, yes, yes, yes!\Like I'll give it to you.\Like I'll give it to you!\I heard everything, damn it!\I won't give you guys even one yen!\We got that five million because of my Harvest!\You're no match for my Harvest!\You wanna see proof? response:	You want to see some solid proof?
context: Like I'll give it to you.\Like I'll give it to you!\I heard everything, damn it!\I won't give you guys even one yen!\We got that five million because of my Harvest!\You're no match for my Harvest!\You wanna see proof?\You want to see some solid proof? response:	I'll show you!
context: Like I'll give it to you!\I heard everything, damn it!\I won't give you guys even one yen!\We got that five million because of my Harvest!\You're no match for my Harvest!\You wanna see proof?\You want to see some solid proof?\I'll show you! response:	Ow!
context: I heard everything, damn it!\I won't give you guys even one yen!\We got that five million because of my Harvest!\You're no match for my Harvest!\You wanna see proof?\You want to see some solid proof?\I'll show you!\Ow! response:	Bastard!
context: I won't give you guys even one yen!\We got that five million because of my Harvest!\You're no match for my Harvest!\You wanna see proof?\You want to see some solid proof?\I'll show you!\Ow!\Bastard! response:	No! The promissory note for the five million!
context: We got that five million because of my Harvest!\You're no match for my Harvest!\You wanna see proof?\You want to see some solid proof?\I'll show you!\Ow!\Bastard!\No! The promissory note for the five million! response:	You're underestimating us, you little punk!
context: You're no match for my Harvest!\You wanna see proof?\You want to see some solid proof?\I'll show you!\Ow!\Bastard!\No! The promissory note for the five million!\You're underestimating us, you little punk! response:	If you keep chasing me,
context: You wanna see proof?\You want to see some solid proof?\I'll show you!\Ow!\Bastard!\No! The promissory note for the five million!\You're underestimating us, you little punk!\If you keep chasing me, response:	I'll kill you.
context: You want to see some solid proof?\I'll show you!\Ow!\Bastard!\No! The promissory note for the five million!\You're underestimating us, you little punk!\If you keep chasing me,\I'll kill you. response:	Shigechi...
context: I'll show you!\Ow!\Bastard!\No! The promissory note for the five million!\You're underestimating us, you little punk!\If you keep chasing me,\I'll kill you.\Shigechi... response:	You're gonna kill us, you backstabbing bastard?
context: Ow!\Bastard!\No! The promissory note for the five million!\You're underestimating us, you little punk!\If you keep chasing me,\I'll kill you.\Shigechi...\You're gonna kill us, you backstabbing bastard? response:	You'd better be prepared to die if you're gonna bring out your Stand against us!
context: Bastard!\No! The promissory note for the five million!\You're underestimating us, you little punk!\If you keep chasing me,\I'll kill you.\Shigechi...\You're gonna kill us, you backstabbing bastard?\You'd better be prepared to die if you're gonna bring out your Stand against us! response:	W-Wait, Josuke...
context: No! The promissory note for the five million!\You're underestimating us, you little punk!\If you keep chasing me,\I'll kill you.\Shigechi...\You're gonna kill us, you backstabbing bastard?\You'd better be prepared to die if you're gonna bring out your Stand against us!\W-Wait, Josuke... response:	What's wrong?
context: You're underestimating us, you little punk!\If you keep chasing me,\I'll kill you.\Shigechi...\You're gonna kill us, you backstabbing bastard?\You'd better be prepared to die if you're gonna bring out your Stand against us!\W-Wait, Josuke...\What's wrong? response:	What's this sensation?
context: If you keep chasing me,\I'll kill you.\Shigechi...\You're gonna kill us, you backstabbing bastard?\You'd better be prepared to die if you're gonna bring out your Stand against us!\W-Wait, Josuke...\What's wrong?\What's this sensation? response:	M-My legs...
context: I'll kill you.\Shigechi...\You're gonna kill us, you backstabbing bastard?\You'd better be prepared to die if you're gonna bring out your Stand against us!\W-Wait, Josuke...\What's wrong?\What's this sensation?\M-My legs... response:	are itching really bad.
context: Shigechi...\You're gonna kill us, you backstabbing bastard?\You'd better be prepared to die if you're gonna bring out your Stand against us!\W-Wait, Josuke...\What's wrong?\What's this sensation?\M-My legs...\are itching really bad. response:	Itching? At a time like this?
context: You're gonna kill us, you backstabbing bastard?\You'd better be prepared to die if you're gonna bring out your Stand against us!\W-Wait, Josuke...\What's wrong?\What's this sensation?\M-My legs...\are itching really bad.\Itching? At a time like this? response:	They itch really bad!
context: You'd better be prepared to die if you're gonna bring out your Stand against us!\W-Wait, Josuke...\What's wrong?\What's this sensation?\M-My legs...\are itching really bad.\Itching? At a time like this?\They itch really bad! response:	My whole body itches!
context: W-Wait, Josuke...\What's wrong?\What's this sensation?\M-My legs...\are itching really bad.\Itching? At a time like this?\They itch really bad!\My whole body itches! response:	Wh-What is this?!
context: What's wrong?\What's this sensation?\M-My legs...\are itching really bad.\Itching? At a time like this?\They itch really bad!\My whole body itches!\Wh-What is this?! response:	Lift up your pants, Okuyasu! Hurry!
context: What's this sensation?\M-My legs...\are itching really bad.\Itching? At a time like this?\They itch really bad!\My whole body itches!\Wh-What is this?!\Lift up your pants, Okuyasu! Hurry! response:	What?!
context: M-My legs...\are itching really bad.\Itching? At a time like this?\They itch really bad!\My whole body itches!\Wh-What is this?!\Lift up your pants, Okuyasu! Hurry!\What?! response:	They're inside my pants!
context: are itching really bad.\Itching? At a time like this?\They itch really bad!\My whole body itches!\Wh-What is this?!\Lift up your pants, Okuyasu! Hurry!\What?!\They're inside my pants! response:	I-It's no use!
context: Itching? At a time like this?\They itch really bad!\My whole body itches!\Wh-What is this?!\Lift up your pants, Okuyasu! Hurry!\What?!\They're inside my pants!\I-It's no use! response:	Knocking off two or three of them won't damage him at all!
context: They itch really bad!\My whole body itches!\Wh-What is this?!\Lift up your pants, Okuyasu! Hurry!\What?!\They're inside my pants!\I-It's no use!\Knocking off two or three of them won't damage him at all! response:	Damn it!
context: My whole body itches!\Wh-What is this?!\Lift up your pants, Okuyasu! Hurry!\What?!\They're inside my pants!\I-It's no use!\Knocking off two or three of them won't damage him at all!\Damn it! response:	He's running away!
context: Wh-What is this?!\Lift up your pants, Okuyasu! Hurry!\What?!\They're inside my pants!\I-It's no use!\Knocking off two or three of them won't damage him at all!\Damn it!\He's running away! response:	I-I'm starting to get really pissed off.
context: Lift up your pants, Okuyasu! Hurry!\What?!\They're inside my pants!\I-It's no use!\Knocking off two or three of them won't damage him at all!\Damn it!\He's running away!\I-I'm starting to get really pissed off. response:	I've already been super pissed off!
context: What?!\They're inside my pants!\I-It's no use!\Knocking off two or three of them won't damage him at all!\Damn it!\He's running away!\I-I'm starting to get really pissed off.\I've already been super pissed off! response:	We're not letting you get away, five million!
context: They're inside my pants!\I-It's no use!\Knocking off two or three of them won't damage him at all!\Damn it!\He's running away!\I-I'm starting to get really pissed off.\I've already been super pissed off!\We're not letting you get away, five million! response:	Now he's totally made enemies of the Okuyasu-Josuke duo!
context: I-It's no use!\Knocking off two or three of them won't damage him at all!\Damn it!\He's running away!\I-I'm starting to get really pissed off.\I've already been super pissed off!\We're not letting you get away, five million!\Now he's totally made enemies of the Okuyasu-Josuke duo! response:	Shi
context: Knocking off two or three of them won't damage him at all!\Damn it!\He's running away!\I-I'm starting to get really pissed off.\I've already been super pissed off!\We're not letting you get away, five million!\Now he's totally made enemies of the Okuyasu-Josuke duo!\Shi response:	Shin
context: Damn it!\He's running away!\I-I'm starting to get really pissed off.\I've already been super pissed off!\We're not letting you get away, five million!\Now he's totally made enemies of the Okuyasu-Josuke duo!\Shi\Shin response:	Shinin
context: He's running away!\I-I'm starting to get really pissed off.\I've already been super pissed off!\We're not letting you get away, five million!\Now he's totally made enemies of the Okuyasu-Josuke duo!\Shi\Shin\Shinin response:	Shining
context: I-I'm starting to get really pissed off.\I've already been super pissed off!\We're not letting you get away, five million!\Now he's totally made enemies of the Okuyasu-Josuke duo!\Shi\Shin\Shinin\Shining response:	Shining D
context: I've already been super pissed off!\We're not letting you get away, five million!\Now he's totally made enemies of the Okuyasu-Josuke duo!\Shi\Shin\Shinin\Shining\Shining D response:	Shining Di
context: We're not letting you get away, five million!\Now he's totally made enemies of the Okuyasu-Josuke duo!\Shi\Shin\Shinin\Shining\Shining D\Shining Di response:	Shining Dia
context: Now he's totally made enemies of the Okuyasu-Josuke duo!\Shi\Shin\Shinin\Shining\Shining D\Shining Di\Shining Dia response:	Shining Diamo
context: Shi\Shin\Shinin\Shining\Shining D\Shining Di\Shining Dia\Shining Diamo response:	Shining Diamon
context: Shin\Shinin\Shining\Shining D\Shining Di\Shining Dia\Shining Diamo\Shining Diamon response:	Shining Diamond
context: Shinin\Shining\Shining D\Shining Di\Shining Dia\Shining Diamo\Shining Diamon\Shining Diamond response:	Jo
context: Shining\Shining D\Shining Di\Shining Dia\Shining Diamo\Shining Diamon\Shining Diamond\Jo response:	Josuke
context: Shining D\Shining Di\Shining Dia\Shining Diamo\Shining Diamon\Shining Diamond\Jo\Josuke response:	Josuke Higashi
context: Shining Di\Shining Dia\Shining Diamo\Shining Diamon\Shining Diamond\Jo\Josuke\Josuke Higashi response:	Josuke Higashikata
context: Shining Dia\Shining Diamo\Shining Diamon\Shining Diamond\Jo\Josuke\Josuke Higashi\Josuke Higashikata response:	Damn it! How dare he make a fool of the great Okuyasu?!
context: Shining Diamo\Shining Diamon\Shining Diamond\Jo\Josuke\Josuke Higashi\Josuke Higashikata\Damn it! How dare he make a fool of the great Okuyasu?! response:	I'm gonna beat him to death!
context: Shining Diamon\Shining Diamond\Jo\Josuke\Josuke Higashi\Josuke Higashikata\Damn it! How dare he make a fool of the great Okuyasu?!\I'm gonna beat him to death! response:	He must be really dumb to be greedy enough
context: Shining Diamond\Jo\Josuke\Josuke Higashi\Josuke Higashikata\Damn it! How dare he make a fool of the great Okuyasu?!\I'm gonna beat him to death!\He must be really dumb to be greedy enough response:	to take the whole five million.
context: Jo\Josuke\Josuke Higashi\Josuke Higashikata\Damn it! How dare he make a fool of the great Okuyasu?!\I'm gonna beat him to death!\He must be really dumb to be greedy enough\to take the whole five million. response:	You stupid fatty!
context: Josuke\Josuke Higashi\Josuke Higashikata\Damn it! How dare he make a fool of the great Okuyasu?!\I'm gonna beat him to death!\He must be really dumb to be greedy enough\to take the whole five million.\You stupid fatty! response:	You think you can run with a body like that?!
context: Josuke Higashi\Josuke Higashikata\Damn it! How dare he make a fool of the great Okuyasu?!\I'm gonna beat him to death!\He must be really dumb to be greedy enough\to take the whole five million.\You stupid fatty!\You think you can run with a body like that?! response:	See? That's what you get, moron!
context: Josuke Higashikata\Damn it! How dare he make a fool of the great Okuyasu?!\I'm gonna beat him to death!\He must be really dumb to be greedy enough\to take the whole five million.\You stupid fatty!\You think you can run with a body like that?!\See? That's what you get, moron! response:	H-He keeps summoning Harvests under him like a caterpillar track,
context: Damn it! How dare he make a fool of the great Okuyasu?!\I'm gonna beat him to death!\He must be really dumb to be greedy enough\to take the whole five million.\You stupid fatty!\You think you can run with a body like that?!\See? That's what you get, moron!\H-He keeps summoning Harvests under him like a caterpillar track, response:	or like a bucket relay!
context: I'm gonna beat him to death!\He must be really dumb to be greedy enough\to take the whole five million.\You stupid fatty!\You think you can run with a body like that?!\See? That's what you get, moron!\H-He keeps summoning Harvests under him like a caterpillar track,\or like a bucket relay! response:	What the hell? He's ridiculously fast!
context: He must be really dumb to be greedy enough\to take the whole five million.\You stupid fatty!\You think you can run with a body like that?!\See? That's what you get, moron!\H-He keeps summoning Harvests under him like a caterpillar track,\or like a bucket relay!\What the hell? He's ridiculously fast! response:	He may be a simpleton, but he's pretty clever.
context: to take the whole five million.\You stupid fatty!\You think you can run with a body like that?!\See? That's what you get, moron!\H-He keeps summoning Harvests under him like a caterpillar track,\or like a bucket relay!\What the hell? He's ridiculously fast!\He may be a simpleton, but he's pretty clever. response:	Are they like his natural instincts?
context: You stupid fatty!\You think you can run with a body like that?!\See? That's what you get, moron!\H-He keeps summoning Harvests under him like a caterpillar track,\or like a bucket relay!\What the hell? He's ridiculously fast!\He may be a simpleton, but he's pretty clever.\Are they like his natural instincts? response:	Crap! We're gonna lose him!
context: You think you can run with a body like that?!\See? That's what you get, moron!\H-He keeps summoning Harvests under him like a caterpillar track,\or like a bucket relay!\What the hell? He's ridiculously fast!\He may be a simpleton, but he's pretty clever.\Are they like his natural instincts?\Crap! We're gonna lose him! response:	Calm down.
context: See? That's what you get, moron!\H-He keeps summoning Harvests under him like a caterpillar track,\or like a bucket relay!\What the hell? He's ridiculously fast!\He may be a simpleton, but he's pretty clever.\Are they like his natural instincts?\Crap! We're gonna lose him!\Calm down. response:	We just need to
context: H-He keeps summoning Harvests under him like a caterpillar track,\or like a bucket relay!\What the hell? He's ridiculously fast!\He may be a simpleton, but he's pretty clever.\Are they like his natural instincts?\Crap! We're gonna lose him!\Calm down.\We just need to response:	have our Stands lift our bodies in the same way he is, and climb up!
context: or like a bucket relay!\What the hell? He's ridiculously fast!\He may be a simpleton, but he's pretty clever.\Are they like his natural instincts?\Crap! We're gonna lose him!\Calm down.\We just need to\have our Stands lift our bodies in the same way he is, and climb up! response:	I get it!
context: What the hell? He's ridiculously fast!\He may be a simpleton, but he's pretty clever.\Are they like his natural instincts?\Crap! We're gonna lose him!\Calm down.\We just need to\have our Stands lift our bodies in the same way he is, and climb up!\I get it! response:	My five million...
context: He may be a simpleton, but he's pretty clever.\Are they like his natural instincts?\Crap! We're gonna lose him!\Calm down.\We just need to\have our Stands lift our bodies in the same way he is, and climb up!\I get it!\My five million... response:	You actually think you can get away from us, Shigechi?
context: Are they like his natural instincts?\Crap! We're gonna lose him!\Calm down.\We just need to\have our Stands lift our bodies in the same way he is, and climb up!\I get it!\My five million...\You actually think you can get away from us, Shigechi? response:	Bring it on!
context: Crap! We're gonna lose him!\Calm down.\We just need to\have our Stands lift our bodies in the same way he is, and climb up!\I get it!\My five million...\You actually think you can get away from us, Shigechi?\Bring it on! response:	I'll carefully pop your Harvests, one by one!
context: Calm down.\We just need to\have our Stands lift our bodies in the same way he is, and climb up!\I get it!\My five million...\You actually think you can get away from us, Shigechi?\Bring it on!\I'll carefully pop your Harvests, one by one! response:	My Harvest is amazing.
context: We just need to\have our Stands lift our bodies in the same way he is, and climb up!\I get it!\My five million...\You actually think you can get away from us, Shigechi?\Bring it on!\I'll carefully pop your Harvests, one by one!\My Harvest is amazing. response:	It'll gather anything!
context: have our Stands lift our bodies in the same way he is, and climb up!\I get it!\My five million...\You actually think you can get away from us, Shigechi?\Bring it on!\I'll carefully pop your Harvests, one by one!\My Harvest is amazing.\It'll gather anything! response:	Even screws holding pipes together.
context: I get it!\My five million...\You actually think you can get away from us, Shigechi?\Bring it on!\I'll carefully pop your Harvests, one by one!\My Harvest is amazing.\It'll gather anything!\Even screws holding pipes together. response:	Even bolts!
context: My five million...\You actually think you can get away from us, Shigechi?\Bring it on!\I'll carefully pop your Harvests, one by one!\My Harvest is amazing.\It'll gather anything!\Even screws holding pipes together.\Even bolts! response:	If you want to talk about amazing, there's also my Shining Diamond!
context: You actually think you can get away from us, Shigechi?\Bring it on!\I'll carefully pop your Harvests, one by one!\My Harvest is amazing.\It'll gather anything!\Even screws holding pipes together.\Even bolts!\If you want to talk about amazing, there's also my Shining Diamond! response:	Heya.
context: Bring it on!\I'll carefully pop your Harvests, one by one!\My Harvest is amazing.\It'll gather anything!\Even screws holding pipes together.\Even bolts!\If you want to talk about amazing, there's also my Shining Diamond!\Heya. response:	I'm still super pissed off, but right now, I'm still willing to forgive you.
context: I'll carefully pop your Harvests, one by one!\My Harvest is amazing.\It'll gather anything!\Even screws holding pipes together.\Even bolts!\If you want to talk about amazing, there's also my Shining Diamond!\Heya.\I'm still super pissed off, but right now, I'm still willing to forgive you. response:	I'll just hit you two or three times!
context: My Harvest is amazing.\It'll gather anything!\Even screws holding pipes together.\Even bolts!\If you want to talk about amazing, there's also my Shining Diamond!\Heya.\I'm still super pissed off, but right now, I'm still willing to forgive you.\I'll just hit you two or three times! response:	Come on, give us the promissory note for the five million, Shigechi.
context: It'll gather anything!\Even screws holding pipes together.\Even bolts!\If you want to talk about amazing, there's also my Shining Diamond!\Heya.\I'm still super pissed off, but right now, I'm still willing to forgive you.\I'll just hit you two or three times!\Come on, give us the promissory note for the five million, Shigechi. response:	I told you...
context: Even screws holding pipes together.\Even bolts!\If you want to talk about amazing, there's also my Shining Diamond!\Heya.\I'm still super pissed off, but right now, I'm still willing to forgive you.\I'll just hit you two or three times!\Come on, give us the promissory note for the five million, Shigechi.\I told you... response:	If you came after me,
context: Even bolts!\If you want to talk about amazing, there's also my Shining Diamond!\Heya.\I'm still super pissed off, but right now, I'm still willing to forgive you.\I'll just hit you two or three times!\Come on, give us the promissory note for the five million, Shigechi.\I told you...\If you came after me, response:	I'd kill you.
context: If you want to talk about amazing, there's also my Shining Diamond!\Heya.\I'm still super pissed off, but right now, I'm still willing to forgive you.\I'll just hit you two or three times!\Come on, give us the promissory note for the five million, Shigechi.\I told you...\If you came after me,\I'd kill you. response:	Wh-What?
context: Heya.\I'm still super pissed off, but right now, I'm still willing to forgive you.\I'll just hit you two or three times!\Come on, give us the promissory note for the five million, Shigechi.\I told you...\If you came after me,\I'd kill you.\Wh-What? response:	My hands...
context: I'm still super pissed off, but right now, I'm still willing to forgive you.\I'll just hit you two or three times!\Come on, give us the promissory note for the five million, Shigechi.\I told you...\If you came after me,\I'd kill you.\Wh-What?\My hands... response:	That hurt...
context: I'll just hit you two or three times!\Come on, give us the promissory note for the five million, Shigechi.\I told you...\If you came after me,\I'd kill you.\Wh-What?\My hands...\That hurt... response:	I can't stand! Okuyasu, be careful!
context: Come on, give us the promissory note for the five million, Shigechi.\I told you...\If you came after me,\I'd kill you.\Wh-What?\My hands...\That hurt...\I can't stand! Okuyasu, be careful! response:	He did something to me!
context: I told you...\If you came after me,\I'd kill you.\Wh-What?\My hands...\That hurt...\I can't stand! Okuyasu, be careful!\He did something to me! response:	O-Okuyasu, you too?
context: If you came after me,\I'd kill you.\Wh-What?\My hands...\That hurt...\I can't stand! Okuyasu, be careful!\He did something to me!\O-Okuyasu, you too? response:	You still haven't figured it out?
context: I'd kill you.\Wh-What?\My hands...\That hurt...\I can't stand! Okuyasu, be careful!\He did something to me!\O-Okuyasu, you too?\You still haven't figured it out? response:	You guys are drunk!
context: Wh-What?\My hands...\That hurt...\I can't stand! Okuyasu, be careful!\He did something to me!\O-Okuyasu, you too?\You still haven't figured it out?\You guys are drunk! response:	A-Alcohol?!
context: My hands...\That hurt...\I can't stand! Okuyasu, be careful!\He did something to me!\O-Okuyasu, you too?\You still haven't figured it out?\You guys are drunk!\A-Alcohol?! response:	Liquor
context: That hurt...\I can't stand! Okuyasu, be careful!\He did something to me!\O-Okuyasu, you too?\You still haven't figured it out?\You guys are drunk!\A-Alcohol?!\Liquor response:	My harvest gathers anything!
