context: What's happened so far! response:	Our sister, the masked model student Miyazawa Yukino...
context: I don't know.\Maho...\Is Miyazawa really as nice a person as you all say she is?\Couldn't it be that you're all just being deceived?\What?\What're you talking about, Maho?!\I always thought that girl was fishy.\So perfect at anything she does. response:	Isn't she just a brown noser?
context: Maho...\Is Miyazawa really as nice a person as you all say she is?\Couldn't it be that you're all just being deceived?\What?\What're you talking about, Maho?!\I always thought that girl was fishy.\So perfect at anything she does.\Isn't she just a brown noser? response:	What?
context: Is Miyazawa really as nice a person as you all say she is?\Couldn't it be that you're all just being deceived?\What?\What're you talking about, Maho?!\I always thought that girl was fishy.\So perfect at anything she does.\Isn't she just a brown noser?\What? response:	I don't know.
context: Couldn't it be that you're all just being deceived?\What?\What're you talking about, Maho?!\I always thought that girl was fishy.\So perfect at anything she does.\Isn't she just a brown noser?\What?\I don't know. response:	But her attitude's changed lately.
context: What?\What're you talking about, Maho?!\I always thought that girl was fishy.\So perfect at anything she does.\Isn't she just a brown noser?\What?\I don't know.\But her attitude's changed lately. response:	Maybe she's slipping and showing her true nature.
context: What're you talking about, Maho?!\I always thought that girl was fishy.\So perfect at anything she does.\Isn't she just a brown noser?\What?\I don't know.\But her attitude's changed lately.\Maybe she's slipping and showing her true nature. response:	What?
context: I always thought that girl was fishy.\So perfect at anything she does.\Isn't she just a brown noser?\What?\I don't know.\But her attitude's changed lately.\Maybe she's slipping and showing her true nature.\What? response:	Really?
context: So perfect at anything she does.\Isn't she just a brown noser?\What?\I don't know.\But her attitude's changed lately.\Maybe she's slipping and showing her true nature.\What?\Really? response:	But don't you think Miyazawa's
context: Isn't she just a brown noser?\What?\I don't know.\But her attitude's changed lately.\Maybe she's slipping and showing her true nature.\What?\Really?\But don't you think Miyazawa's response:	different from before?
context: What?\I don't know.\But her attitude's changed lately.\Maybe she's slipping and showing her true nature.\What?\Really?\But don't you think Miyazawa's\different from before? response:	Kii, you think so, too?
context: I don't know.\But her attitude's changed lately.\Maybe she's slipping and showing her true nature.\What?\Really?\But don't you think Miyazawa's\different from before?\Kii, you think so, too? response:	Actually, I was thinking the same thing!
context: But her attitude's changed lately.\Maybe she's slipping and showing her true nature.\What?\Really?\But don't you think Miyazawa's\different from before?\Kii, you think so, too?\Actually, I was thinking the same thing! response:	No way! Me, too!
context: Maybe she's slipping and showing her true nature.\What?\Really?\But don't you think Miyazawa's\different from before?\Kii, you think so, too?\Actually, I was thinking the same thing!\No way! Me, too! response:	Me, too!
context: What?\Really?\But don't you think Miyazawa's\different from before?\Kii, you think so, too?\Actually, I was thinking the same thing!\No way! Me, too!\Me, too! response:	What? So everyone was thinking that way?
context: Really?\But don't you think Miyazawa's\different from before?\Kii, you think so, too?\Actually, I was thinking the same thing!\No way! Me, too!\Me, too!\What? So everyone was thinking that way? response:	There are women like that, you know...
context: But don't you think Miyazawa's\different from before?\Kii, you think so, too?\Actually, I was thinking the same thing!\No way! Me, too!\Me, too!\What? So everyone was thinking that way?\There are women like that, you know... response:	People like that are good at catching guys, too.
context: different from before?\Kii, you think so, too?\Actually, I was thinking the same thing!\No way! Me, too!\Me, too!\What? So everyone was thinking that way?\There are women like that, you know...\People like that are good at catching guys, too. response:	Guys are suckers for that type.
context: Kii, you think so, too?\Actually, I was thinking the same thing!\No way! Me, too!\Me, too!\What? So everyone was thinking that way?\There are women like that, you know...\People like that are good at catching guys, too.\Guys are suckers for that type. response:	Doesn't it look like she chose well by getting both Arima and Asaba?
context: Actually, I was thinking the same thing!\No way! Me, too!\Me, too!\What? So everyone was thinking that way?\There are women like that, you know...\People like that are good at catching guys, too.\Guys are suckers for that type.\Doesn't it look like she chose well by getting both Arima and Asaba? response:	If...If that's true,
context: No way! Me, too!\Me, too!\What? So everyone was thinking that way?\There are women like that, you know...\People like that are good at catching guys, too.\Guys are suckers for that type.\Doesn't it look like she chose well by getting both Arima and Asaba?\If...If that's true, response:	I can't put up with it.
context: Me, too!\What? So everyone was thinking that way?\There are women like that, you know...\People like that are good at catching guys, too.\Guys are suckers for that type.\Doesn't it look like she chose well by getting both Arima and Asaba?\If...If that's true,\I can't put up with it. response:	Yeah.
context: What? So everyone was thinking that way?\There are women like that, you know...\People like that are good at catching guys, too.\Guys are suckers for that type.\Doesn't it look like she chose well by getting both Arima and Asaba?\If...If that's true,\I can't put up with it.\Yeah. response:	There were lots of girls who liked Arima and Asaba.
context: There are women like that, you know...\People like that are good at catching guys, too.\Guys are suckers for that type.\Doesn't it look like she chose well by getting both Arima and Asaba?\If...If that's true,\I can't put up with it.\Yeah.\There were lots of girls who liked Arima and Asaba. response:	If this is true, we can't forgive her.
context: People like that are good at catching guys, too.\Guys are suckers for that type.\Doesn't it look like she chose well by getting both Arima and Asaba?\If...If that's true,\I can't put up with it.\Yeah.\There were lots of girls who liked Arima and Asaba.\If this is true, we can't forgive her. response:	That's right!
context: Guys are suckers for that type.\Doesn't it look like she chose well by getting both Arima and Asaba?\If...If that's true,\I can't put up with it.\Yeah.\There were lots of girls who liked Arima and Asaba.\If this is true, we can't forgive her.\That's right! response:	I know lots of girls who tried
context: Doesn't it look like she chose well by getting both Arima and Asaba?\If...If that's true,\I can't put up with it.\Yeah.\There were lots of girls who liked Arima and Asaba.\If this is true, we can't forgive her.\That's right!\I know lots of girls who tried response:	and failed to tell them they liked them.
context: If...If that's true,\I can't put up with it.\Yeah.\There were lots of girls who liked Arima and Asaba.\If this is true, we can't forgive her.\That's right!\I know lots of girls who tried\and failed to tell them they liked them. response:	I feel sorry for them!
context: I can't put up with it.\Yeah.\There were lots of girls who liked Arima and Asaba.\If this is true, we can't forgive her.\That's right!\I know lots of girls who tried\and failed to tell them they liked them.\I feel sorry for them! response:	We were able to suck it up
context: Yeah.\There were lots of girls who liked Arima and Asaba.\If this is true, we can't forgive her.\That's right!\I know lots of girls who tried\and failed to tell them they liked them.\I feel sorry for them!\We were able to suck it up response:	because she was so perfect...
context: There were lots of girls who liked Arima and Asaba.\If this is true, we can't forgive her.\That's right!\I know lots of girls who tried\and failed to tell them they liked them.\I feel sorry for them!\We were able to suck it up\because she was so perfect... response:	How could she deceive us?
context: If this is true, we can't forgive her.\That's right!\I know lots of girls who tried\and failed to tell them they liked them.\I feel sorry for them!\We were able to suck it up\because she was so perfect...\How could she deceive us? response:	If that's how it is,
context: That's right!\I know lots of girls who tried\and failed to tell them they liked them.\I feel sorry for them!\We were able to suck it up\because she was so perfect...\How could she deceive us?\If that's how it is, response:	I'd rather have them be taken by somebody else!
context: I know lots of girls who tried\and failed to tell them they liked them.\I feel sorry for them!\We were able to suck it up\because she was so perfect...\How could she deceive us?\If that's how it is,\I'd rather have them be taken by somebody else! response:	This looks like it's going to be fun.
context: and failed to tell them they liked them.\I feel sorry for them!\We were able to suck it up\because she was so perfect...\How could she deceive us?\If that's how it is,\I'd rather have them be taken by somebody else!\This looks like it's going to be fun. response:	I'm late.
context: I feel sorry for them!\We were able to suck it up\because she was so perfect...\How could she deceive us?\If that's how it is,\I'd rather have them be taken by somebody else!\This looks like it's going to be fun.\I'm late. response:	This is the right room...
context: We were able to suck it up\because she was so perfect...\How could she deceive us?\If that's how it is,\I'd rather have them be taken by somebody else!\This looks like it's going to be fun.\I'm late.\This is the right room... response:	Why isn't anyone here?
context: because she was so perfect...\How could she deceive us?\If that's how it is,\I'd rather have them be taken by somebody else!\This looks like it's going to be fun.\I'm late.\This is the right room...\Why isn't anyone here? response:	Something's wrong. I'll try asking the teachers.
context: How could she deceive us?\If that's how it is,\I'd rather have them be taken by somebody else!\This looks like it's going to be fun.\I'm late.\This is the right room...\Why isn't anyone here?\Something's wrong. I'll try asking the teachers. response:	So sewing was canceled
context: If that's how it is,\I'd rather have them be taken by somebody else!\This looks like it's going to be fun.\I'm late.\This is the right room...\Why isn't anyone here?\Something's wrong. I'll try asking the teachers.\So sewing was canceled response:	and became study hall?
context: I'd rather have them be taken by somebody else!\This looks like it's going to be fun.\I'm late.\This is the right room...\Why isn't anyone here?\Something's wrong. I'll try asking the teachers.\So sewing was canceled\and became study hall? response:	I went to the classroom,
context: This looks like it's going to be fun.\I'm late.\This is the right room...\Why isn't anyone here?\Something's wrong. I'll try asking the teachers.\So sewing was canceled\and became study hall?\I went to the classroom, response:	and I was surprised that no one was there.
context: I'm late.\This is the right room...\Why isn't anyone here?\Something's wrong. I'll try asking the teachers.\So sewing was canceled\and became study hall?\I went to the classroom,\and I was surprised that no one was there. response:	I couldn't figure it out,
context: This is the right room...\Why isn't anyone here?\Something's wrong. I'll try asking the teachers.\So sewing was canceled\and became study hall?\I went to the classroom,\and I was surprised that no one was there.\I couldn't figure it out, response:	so I went and asked the teachers.
context: Why isn't anyone here?\Something's wrong. I'll try asking the teachers.\So sewing was canceled\and became study hall?\I went to the classroom,\and I was surprised that no one was there.\I couldn't figure it out,\so I went and asked the teachers. response:	Huh?
context: Something's wrong. I'll try asking the teachers.\So sewing was canceled\and became study hall?\I went to the classroom,\and I was surprised that no one was there.\I couldn't figure it out,\so I went and asked the teachers.\Huh? response:	Oh, I know.
context: So sewing was canceled\and became study hall?\I went to the classroom,\and I was surprised that no one was there.\I couldn't figure it out,\so I went and asked the teachers.\Huh?\Oh, I know. response:	Want to go back to doing that math problem?
context: and became study hall?\I went to the classroom,\and I was surprised that no one was there.\I couldn't figure it out,\so I went and asked the teachers.\Huh?\Oh, I know.\Want to go back to doing that math problem? response:	No, we got it already.
context: I went to the classroom,\and I was surprised that no one was there.\I couldn't figure it out,\so I went and asked the teachers.\Huh?\Oh, I know.\Want to go back to doing that math problem?\No, we got it already. response:	You stopped getting it because all you do is fool around with guys.
context: and I was surprised that no one was there.\I couldn't figure it out,\so I went and asked the teachers.\Huh?\Oh, I know.\Want to go back to doing that math problem?\No, we got it already.\You stopped getting it because all you do is fool around with guys. response:	Oh. I see.
context: I couldn't figure it out,\so I went and asked the teachers.\Huh?\Oh, I know.\Want to go back to doing that math problem?\No, we got it already.\You stopped getting it because all you do is fool around with guys.\Oh. I see. response:	Did you see Miyazawa's face?
context: so I went and asked the teachers.\Huh?\Oh, I know.\Want to go back to doing that math problem?\No, we got it already.\You stopped getting it because all you do is fool around with guys.\Oh. I see.\Did you see Miyazawa's face? response:	She turned so pale, the poor thing.
context: Huh?\Oh, I know.\Want to go back to doing that math problem?\No, we got it already.\You stopped getting it because all you do is fool around with guys.\Oh. I see.\Did you see Miyazawa's face?\She turned so pale, the poor thing. response:	She's had it so good up until now,
context: Oh, I know.\Want to go back to doing that math problem?\No, we got it already.\You stopped getting it because all you do is fool around with guys.\Oh. I see.\Did you see Miyazawa's face?\She turned so pale, the poor thing.\She's had it so good up until now, response:	she should suffer a bit.
context: Want to go back to doing that math problem?\No, we got it already.\You stopped getting it because all you do is fool around with guys.\Oh. I see.\Did you see Miyazawa's face?\She turned so pale, the poor thing.\She's had it so good up until now,\she should suffer a bit. response:	Really, she stands out too much...
context: No, we got it already.\You stopped getting it because all you do is fool around with guys.\Oh. I see.\Did you see Miyazawa's face?\She turned so pale, the poor thing.\She's had it so good up until now,\she should suffer a bit.\Really, she stands out too much... response:	Her looks sure aren't anything to write home about.
context: You stopped getting it because all you do is fool around with guys.\Oh. I see.\Did you see Miyazawa's face?\She turned so pale, the poor thing.\She's had it so good up until now,\she should suffer a bit.\Really, she stands out too much...\Her looks sure aren't anything to write home about. response:	You're much prettier, Maho.
context: Oh. I see.\Did you see Miyazawa's face?\She turned so pale, the poor thing.\She's had it so good up until now,\she should suffer a bit.\Really, she stands out too much...\Her looks sure aren't anything to write home about.\You're much prettier, Maho. response:	You should rule the whole class again,
context: Did you see Miyazawa's face?\She turned so pale, the poor thing.\She's had it so good up until now,\she should suffer a bit.\Really, she stands out too much...\Her looks sure aren't anything to write home about.\You're much prettier, Maho.\You should rule the whole class again, response:	just like in junior high.
context: She turned so pale, the poor thing.\She's had it so good up until now,\she should suffer a bit.\Really, she stands out too much...\Her looks sure aren't anything to write home about.\You're much prettier, Maho.\You should rule the whole class again,\just like in junior high. response:	You were so cool, Maho!
context: She's had it so good up until now,\she should suffer a bit.\Really, she stands out too much...\Her looks sure aren't anything to write home about.\You're much prettier, Maho.\You should rule the whole class again,\just like in junior high.\You were so cool, Maho! response:	I guess.
context: she should suffer a bit.\Really, she stands out too much...\Her looks sure aren't anything to write home about.\You're much prettier, Maho.\You should rule the whole class again,\just like in junior high.\You were so cool, Maho!\I guess. response:	Miyazawa?
context: Really, she stands out too much...\Her looks sure aren't anything to write home about.\You're much prettier, Maho.\You should rule the whole class again,\just like in junior high.\You were so cool, Maho!\I guess.\Miyazawa? response:	Hm?
context: Her looks sure aren't anything to write home about.\You're much prettier, Maho.\You should rule the whole class again,\just like in junior high.\You were so cool, Maho!\I guess.\Miyazawa?\Hm? response:	What's wrong? You look upset.
context: You're much prettier, Maho.\You should rule the whole class again,\just like in junior high.\You were so cool, Maho!\I guess.\Miyazawa?\Hm?\What's wrong? You look upset. response:	No, I just didn't get enough sleep.
context: You should rule the whole class again,\just like in junior high.\You were so cool, Maho!\I guess.\Miyazawa?\Hm?\What's wrong? You look upset.\No, I just didn't get enough sleep. response:	Should I do the rest?
context: just like in junior high.\You were so cool, Maho!\I guess.\Miyazawa?\Hm?\What's wrong? You look upset.\No, I just didn't get enough sleep.\Should I do the rest? response:	I'm fine, don't worry.
context: You were so cool, Maho!\I guess.\Miyazawa?\Hm?\What's wrong? You look upset.\No, I just didn't get enough sleep.\Should I do the rest?\I'm fine, don't worry. response:	I can guess why this happened.
context: I guess.\Miyazawa?\Hm?\What's wrong? You look upset.\No, I just didn't get enough sleep.\Should I do the rest?\I'm fine, don't worry.\I can guess why this happened. response:	It's because I'm friends with Arima and Asaba...
context: Miyazawa?\Hm?\What's wrong? You look upset.\No, I just didn't get enough sleep.\Should I do the rest?\I'm fine, don't worry.\I can guess why this happened.\It's because I'm friends with Arima and Asaba... response:	This is what I get for deceiving people all this time.
context: Hm?\What's wrong? You look upset.\No, I just didn't get enough sleep.\Should I do the rest?\I'm fine, don't worry.\I can guess why this happened.\It's because I'm friends with Arima and Asaba...\This is what I get for deceiving people all this time. response:	It's no wonder they hate me.
context: What's wrong? You look upset.\No, I just didn't get enough sleep.\Should I do the rest?\I'm fine, don't worry.\I can guess why this happened.\It's because I'm friends with Arima and Asaba...\This is what I get for deceiving people all this time.\It's no wonder they hate me. response:	The karma for deceiving them without any desire for making friends...
context: No, I just didn't get enough sleep.\Should I do the rest?\I'm fine, don't worry.\I can guess why this happened.\It's because I'm friends with Arima and Asaba...\This is what I get for deceiving people all this time.\It's no wonder they hate me.\The karma for deceiving them without any desire for making friends... response:	ALL RIGHT! The time for feeling sorry is OVER!
context: Should I do the rest?\I'm fine, don't worry.\I can guess why this happened.\It's because I'm friends with Arima and Asaba...\This is what I get for deceiving people all this time.\It's no wonder they hate me.\The karma for deceiving them without any desire for making friends...\ALL RIGHT! The time for feeling sorry is OVER! response:	Nothing's going to get done if I keep brooding.
context: I'm fine, don't worry.\I can guess why this happened.\It's because I'm friends with Arima and Asaba...\This is what I get for deceiving people all this time.\It's no wonder they hate me.\The karma for deceiving them without any desire for making friends...\ALL RIGHT! The time for feeling sorry is OVER!\Nothing's going to get done if I keep brooding. response:	There's no use crying over spilt milk.
context: I can guess why this happened.\It's because I'm friends with Arima and Asaba...\This is what I get for deceiving people all this time.\It's no wonder they hate me.\The karma for deceiving them without any desire for making friends...\ALL RIGHT! The time for feeling sorry is OVER!\Nothing's going to get done if I keep brooding.\There's no use crying over spilt milk. response:	I should at least take it with dignity.
context: It's because I'm friends with Arima and Asaba...\This is what I get for deceiving people all this time.\It's no wonder they hate me.\The karma for deceiving them without any desire for making friends...\ALL RIGHT! The time for feeling sorry is OVER!\Nothing's going to get done if I keep brooding.\There's no use crying over spilt milk.\I should at least take it with dignity. response:	After all, this is the real beginning for the real me!
context: This is what I get for deceiving people all this time.\It's no wonder they hate me.\The karma for deceiving them without any desire for making friends...\ALL RIGHT! The time for feeling sorry is OVER!\Nothing's going to get done if I keep brooding.\There's no use crying over spilt milk.\I should at least take it with dignity.\After all, this is the real beginning for the real me! response:	I have nothing to do.
context: It's no wonder they hate me.\The karma for deceiving them without any desire for making friends...\ALL RIGHT! The time for feeling sorry is OVER!\Nothing's going to get done if I keep brooding.\There's no use crying over spilt milk.\I should at least take it with dignity.\After all, this is the real beginning for the real me!\I have nothing to do. response:	It's been several days since they started ignoring me.
context: The karma for deceiving them without any desire for making friends...\ALL RIGHT! The time for feeling sorry is OVER!\Nothing's going to get done if I keep brooding.\There's no use crying over spilt milk.\I should at least take it with dignity.\After all, this is the real beginning for the real me!\I have nothing to do.\It's been several days since they started ignoring me. response:	This was a sudden fall from the glory I had previously attained.
context: ALL RIGHT! The time for feeling sorry is OVER!\Nothing's going to get done if I keep brooding.\There's no use crying over spilt milk.\I should at least take it with dignity.\After all, this is the real beginning for the real me!\I have nothing to do.\It's been several days since they started ignoring me.\This was a sudden fall from the glory I had previously attained. response:	Almost like a politician after his downfall.
context: Nothing's going to get done if I keep brooding.\There's no use crying over spilt milk.\I should at least take it with dignity.\After all, this is the real beginning for the real me!\I have nothing to do.\It's been several days since they started ignoring me.\This was a sudden fall from the glory I had previously attained.\Almost like a politician after his downfall. response:	But that's unavoidable.
context: There's no use crying over spilt milk.\I should at least take it with dignity.\After all, this is the real beginning for the real me!\I have nothing to do.\It's been several days since they started ignoring me.\This was a sudden fall from the glory I had previously attained.\Almost like a politician after his downfall.\But that's unavoidable. response:	When I exposed the fact that I wasn't elegant or perfect without hiding it...
context: I should at least take it with dignity.\After all, this is the real beginning for the real me!\I have nothing to do.\It's been several days since they started ignoring me.\This was a sudden fall from the glory I had previously attained.\Almost like a politician after his downfall.\But that's unavoidable.\When I exposed the fact that I wasn't elegant or perfect without hiding it... response:	I knew it was risky.
context: After all, this is the real beginning for the real me!\I have nothing to do.\It's been several days since they started ignoring me.\This was a sudden fall from the glory I had previously attained.\Almost like a politician after his downfall.\But that's unavoidable.\When I exposed the fact that I wasn't elegant or perfect without hiding it...\I knew it was risky. response:	But I didn't want to live in pretense anymore.
context: I have nothing to do.\It's been several days since they started ignoring me.\This was a sudden fall from the glory I had previously attained.\Almost like a politician after his downfall.\But that's unavoidable.\When I exposed the fact that I wasn't elegant or perfect without hiding it...\I knew it was risky.\But I didn't want to live in pretense anymore. response:	I have to climb over this wall myself.
context: It's been several days since they started ignoring me.\This was a sudden fall from the glory I had previously attained.\Almost like a politician after his downfall.\But that's unavoidable.\When I exposed the fact that I wasn't elegant or perfect without hiding it...\I knew it was risky.\But I didn't want to live in pretense anymore.\I have to climb over this wall myself. response:	So I thought, but...
context: This was a sudden fall from the glory I had previously attained.\Almost like a politician after his downfall.\But that's unavoidable.\When I exposed the fact that I wasn't elegant or perfect without hiding it...\I knew it was risky.\But I didn't want to live in pretense anymore.\I have to climb over this wall myself.\So I thought, but... response:	With them all ignoring me so completely,
context: Almost like a politician after his downfall.\But that's unavoidable.\When I exposed the fact that I wasn't elegant or perfect without hiding it...\I knew it was risky.\But I didn't want to live in pretense anymore.\I have to climb over this wall myself.\So I thought, but...\With them all ignoring me so completely, response:	I don't have any cards to play with...
context: But that's unavoidable.\When I exposed the fact that I wasn't elegant or perfect without hiding it...\I knew it was risky.\But I didn't want to live in pretense anymore.\I have to climb over this wall myself.\So I thought, but...\With them all ignoring me so completely,\I don't have any cards to play with... response:	I can't figure out where to begin fixing things.
context: When I exposed the fact that I wasn't elegant or perfect without hiding it...\I knew it was risky.\But I didn't want to live in pretense anymore.\I have to climb over this wall myself.\So I thought, but...\With them all ignoring me so completely,\I don't have any cards to play with...\I can't figure out where to begin fixing things. response:	She's so pretty!
context: I knew it was risky.\But I didn't want to live in pretense anymore.\I have to climb over this wall myself.\So I thought, but...\With them all ignoring me so completely,\I don't have any cards to play with...\I can't figure out where to begin fixing things.\She's so pretty! response:	I didn't know there was anyone like that in our school.
context: But I didn't want to live in pretense anymore.\I have to climb over this wall myself.\So I thought, but...\With them all ignoring me so completely,\I don't have any cards to play with...\I can't figure out where to begin fixing things.\She's so pretty!\I didn't know there was anyone like that in our school. response:	I wonder why I never noticed?
context: I have to climb over this wall myself.\So I thought, but...\With them all ignoring me so completely,\I don't have any cards to play with...\I can't figure out where to begin fixing things.\She's so pretty!\I didn't know there was anyone like that in our school.\I wonder why I never noticed? response:	Hi, Tsubasa. Did you go to the teachers' offices?
context: So I thought, but...\With them all ignoring me so completely,\I don't have any cards to play with...\I can't figure out where to begin fixing things.\She's so pretty!\I didn't know there was anyone like that in our school.\I wonder why I never noticed?\Hi, Tsubasa. Did you go to the teachers' offices? response:	I met her.
context: With them all ignoring me so completely,\I don't have any cards to play with...\I can't figure out where to begin fixing things.\She's so pretty!\I didn't know there was anyone like that in our school.\I wonder why I never noticed?\Hi, Tsubasa. Did you go to the teachers' offices?\I met her. response:	What? Who?
context: I don't have any cards to play with...\I can't figure out where to begin fixing things.\She's so pretty!\I didn't know there was anyone like that in our school.\I wonder why I never noticed?\Hi, Tsubasa. Did you go to the teachers' offices?\I met her.\What? Who? response:	Miyazawa Yukino.
context: I can't figure out where to begin fixing things.\She's so pretty!\I didn't know there was anyone like that in our school.\I wonder why I never noticed?\Hi, Tsubasa. Did you go to the teachers' offices?\I met her.\What? Who?\Miyazawa Yukino. response:	Oh, the one going out with Arima?
context: She's so pretty!\I didn't know there was anyone like that in our school.\I wonder why I never noticed?\Hi, Tsubasa. Did you go to the teachers' offices?\I met her.\What? Who?\Miyazawa Yukino.\Oh, the one going out with Arima? response:	She didn't look so hot.
context: I didn't know there was anyone like that in our school.\I wonder why I never noticed?\Hi, Tsubasa. Did you go to the teachers' offices?\I met her.\What? Who?\Miyazawa Yukino.\Oh, the one going out with Arima?\She didn't look so hot. response:	Why does Arima want someone like her?
context: I wonder why I never noticed?\Hi, Tsubasa. Did you go to the teachers' offices?\I met her.\What? Who?\Miyazawa Yukino.\Oh, the one going out with Arima?\She didn't look so hot.\Why does Arima want someone like her? response:	I bet it's because she's intellectual.
context: Hi, Tsubasa. Did you go to the teachers' offices?\I met her.\What? Who?\Miyazawa Yukino.\Oh, the one going out with Arima?\She didn't look so hot.\Why does Arima want someone like her?\I bet it's because she's intellectual. response:	Arima's not some dummy who'd pick a girl just for her looks.
context: I met her.\What? Who?\Miyazawa Yukino.\Oh, the one going out with Arima?\She didn't look so hot.\Why does Arima want someone like her?\I bet it's because she's intellectual.\Arima's not some dummy who'd pick a girl just for her looks. response:	SHUT UP! I didn't ask you to reach a conclusion!
context: What? Who?\Miyazawa Yukino.\Oh, the one going out with Arima?\She didn't look so hot.\Why does Arima want someone like her?\I bet it's because she's intellectual.\Arima's not some dummy who'd pick a girl just for her looks.\SHUT UP! I didn't ask you to reach a conclusion! response:	Ooh, scary.
context: Miyazawa Yukino.\Oh, the one going out with Arima?\She didn't look so hot.\Why does Arima want someone like her?\I bet it's because she's intellectual.\Arima's not some dummy who'd pick a girl just for her looks.\SHUT UP! I didn't ask you to reach a conclusion!\Ooh, scary. response:	This certainly wasn't in my plans.
context: Oh, the one going out with Arima?\She didn't look so hot.\Why does Arima want someone like her?\I bet it's because she's intellectual.\Arima's not some dummy who'd pick a girl just for her looks.\SHUT UP! I didn't ask you to reach a conclusion!\Ooh, scary.\This certainly wasn't in my plans. response:	I get hospitalized right after getting into high school...
context: She didn't look so hot.\Why does Arima want someone like her?\I bet it's because she's intellectual.\Arima's not some dummy who'd pick a girl just for her looks.\SHUT UP! I didn't ask you to reach a conclusion!\Ooh, scary.\This certainly wasn't in my plans.\I get hospitalized right after getting into high school... response:	Arima's got a girlfriend.
context: Why does Arima want someone like her?\I bet it's because she's intellectual.\Arima's not some dummy who'd pick a girl just for her looks.\SHUT UP! I didn't ask you to reach a conclusion!\Ooh, scary.\This certainly wasn't in my plans.\I get hospitalized right after getting into high school...\Arima's got a girlfriend. response:	What about my feelings, after I've cared for Arima all this time?
context: I bet it's because she's intellectual.\Arima's not some dummy who'd pick a girl just for her looks.\SHUT UP! I didn't ask you to reach a conclusion!\Ooh, scary.\This certainly wasn't in my plans.\I get hospitalized right after getting into high school...\Arima's got a girlfriend.\What about my feelings, after I've cared for Arima all this time? response:	I'll crush them.
context: Arima's not some dummy who'd pick a girl just for her looks.\SHUT UP! I didn't ask you to reach a conclusion!\Ooh, scary.\This certainly wasn't in my plans.\I get hospitalized right after getting into high school...\Arima's got a girlfriend.\What about my feelings, after I've cared for Arima all this time?\I'll crush them. response:	Huh?
context: SHUT UP! I didn't ask you to reach a conclusion!\Ooh, scary.\This certainly wasn't in my plans.\I get hospitalized right after getting into high school...\Arima's got a girlfriend.\What about my feelings, after I've cared for Arima all this time?\I'll crush them.\Huh? response:	I'll crush them!
context: Ooh, scary.\This certainly wasn't in my plans.\I get hospitalized right after getting into high school...\Arima's got a girlfriend.\What about my feelings, after I've cared for Arima all this time?\I'll crush them.\Huh?\I'll crush them! response:	I don't care what dirty tricks I have to use!
context: This certainly wasn't in my plans.\I get hospitalized right after getting into high school...\Arima's got a girlfriend.\What about my feelings, after I've cared for Arima all this time?\I'll crush them.\Huh?\I'll crush them!\I don't care what dirty tricks I have to use! response:	I'LL DESTROY THEM!
context: I get hospitalized right after getting into high school...\Arima's got a girlfriend.\What about my feelings, after I've cared for Arima all this time?\I'll crush them.\Huh?\I'll crush them!\I don't care what dirty tricks I have to use!\I'LL DESTROY THEM! response:	Miyazawa.
context: Arima's got a girlfriend.\What about my feelings, after I've cared for Arima all this time?\I'll crush them.\Huh?\I'll crush them!\I don't care what dirty tricks I have to use!\I'LL DESTROY THEM!\Miyazawa. response:	It's that pretty girl I ran into earlier.
context: What about my feelings, after I've cared for Arima all this time?\I'll crush them.\Huh?\I'll crush them!\I don't care what dirty tricks I have to use!\I'LL DESTROY THEM!\Miyazawa.\It's that pretty girl I ran into earlier. response:	Oh, you haven't met before. I'll introduce you.
context: I'll crush them.\Huh?\I'll crush them!\I don't care what dirty tricks I have to use!\I'LL DESTROY THEM!\Miyazawa.\It's that pretty girl I ran into earlier.\Oh, you haven't met before. I'll introduce you. response:	This is Shibahime from 1-D.
context: Huh?\I'll crush them!\I don't care what dirty tricks I have to use!\I'LL DESTROY THEM!\Miyazawa.\It's that pretty girl I ran into earlier.\Oh, you haven't met before. I'll introduce you.\This is Shibahime from 1-D. response:	We were in the same junior high.
context: I'll crush them!\I don't care what dirty tricks I have to use!\I'LL DESTROY THEM!\Miyazawa.\It's that pretty girl I ran into earlier.\Oh, you haven't met before. I'll introduce you.\This is Shibahime from 1-D.\We were in the same junior high. response:	She's been hospitalized for a long time.
context: I don't care what dirty tricks I have to use!\I'LL DESTROY THEM!\Miyazawa.\It's that pretty girl I ran into earlier.\Oh, you haven't met before. I'll introduce you.\This is Shibahime from 1-D.\We were in the same junior high.\She's been hospitalized for a long time. response:	She came back to school the day before yesterday.
context: I'LL DESTROY THEM!\Miyazawa.\It's that pretty girl I ran into earlier.\Oh, you haven't met before. I'll introduce you.\This is Shibahime from 1-D.\We were in the same junior high.\She's been hospitalized for a long time.\She came back to school the day before yesterday. response:	Arima, this is the first time I've ever seen you being this familiar with a girl.
context: Miyazawa.\It's that pretty girl I ran into earlier.\Oh, you haven't met before. I'll introduce you.\This is Shibahime from 1-D.\We were in the same junior high.\She's been hospitalized for a long time.\She came back to school the day before yesterday.\Arima, this is the first time I've ever seen you being this familiar with a girl. response:	This is Miyazawa. We're going out.
context: It's that pretty girl I ran into earlier.\Oh, you haven't met before. I'll introduce you.\This is Shibahime from 1-D.\We were in the same junior high.\She's been hospitalized for a long time.\She came back to school the day before yesterday.\Arima, this is the first time I've ever seen you being this familiar with a girl.\This is Miyazawa. We're going out. response:	Nice to meet you. I'm Shibahime Tsubasa.
