context: There's an emergency message from the Detention Corps! response:	The new Oracion Seis's aim isn't the destruction of churches!
context: Don't interrupt the conversation with a cooked-up drama!\Okay. I'm sorry.\There's one more thing!\The strange mission Byro-sama and I were given!\Strange?!\The order itself, but most especially, we weren't told to get the Infinity Clock back!\Even though stopping them is the most important thing right now!\I see. That is strange. response:	Right now, we need to join forces!
context: Okay. I'm sorry.\There's one more thing!\The strange mission Byro-sama and I were given!\Strange?!\The order itself, but most especially, we weren't told to get the Infinity Clock back!\Even though stopping them is the most important thing right now!\I see. That is strange.\Right now, we need to join forces! response:	So you came here to look to Carla's precognition for help...
context: There's one more thing!\The strange mission Byro-sama and I were given!\Strange?!\The order itself, but most especially, we weren't told to get the Infinity Clock back!\Even though stopping them is the most important thing right now!\I see. That is strange.\Right now, we need to join forces!\So you came here to look to Carla's precognition for help... response:	Even with all this, Byro-sama's allegiance hasn't crumbled.
context: The strange mission Byro-sama and I were given!\Strange?!\The order itself, but most especially, we weren't told to get the Infinity Clock back!\Even though stopping them is the most important thing right now!\I see. That is strange.\Right now, we need to join forces!\So you came here to look to Carla's precognition for help...\Even with all this, Byro-sama's allegiance hasn't crumbled. response:	But I...
context: Strange?!\The order itself, but most especially, we weren't told to get the Infinity Clock back!\Even though stopping them is the most important thing right now!\I see. That is strange.\Right now, we need to join forces!\So you came here to look to Carla's precognition for help...\Even with all this, Byro-sama's allegiance hasn't crumbled.\But I... response:	You were a worthier opponent last time, Sammy!
context: The order itself, but most especially, we weren't told to get the Infinity Clock back!\Even though stopping them is the most important thing right now!\I see. That is strange.\Right now, we need to join forces!\So you came here to look to Carla's precognition for help...\Even with all this, Byro-sama's allegiance hasn't crumbled.\But I...\You were a worthier opponent last time, Sammy! response:	Your techniques were aimless and misguided!
context: Even though stopping them is the most important thing right now!\I see. That is strange.\Right now, we need to join forces!\So you came here to look to Carla's precognition for help...\Even with all this, Byro-sama's allegiance hasn't crumbled.\But I...\You were a worthier opponent last time, Sammy!\Your techniques were aimless and misguided! response:	You'll never be able to beat me that way.
context: I see. That is strange.\Right now, we need to join forces!\So you came here to look to Carla's precognition for help...\Even with all this, Byro-sama's allegiance hasn't crumbled.\But I...\You were a worthier opponent last time, Sammy!\Your techniques were aimless and misguided!\You'll never be able to beat me that way. response:	First, you need to get rid of the hesitation that's in your heart.
context: Right now, we need to join forces!\So you came here to look to Carla's precognition for help...\Even with all this, Byro-sama's allegiance hasn't crumbled.\But I...\You were a worthier opponent last time, Sammy!\Your techniques were aimless and misguided!\You'll never be able to beat me that way.\First, you need to get rid of the hesitation that's in your heart. response:	Scatter!
context: So you came here to look to Carla's precognition for help...\Even with all this, Byro-sama's allegiance hasn't crumbled.\But I...\You were a worthier opponent last time, Sammy!\Your techniques were aimless and misguided!\You'll never be able to beat me that way.\First, you need to get rid of the hesitation that's in your heart.\Scatter! response:	Damn him...
context: Even with all this, Byro-sama's allegiance hasn't crumbled.\But I...\You were a worthier opponent last time, Sammy!\Your techniques were aimless and misguided!\You'll never be able to beat me that way.\First, you need to get rid of the hesitation that's in your heart.\Scatter!\Damn him... response:	I can still stand, asshole!
context: But I...\You were a worthier opponent last time, Sammy!\Your techniques were aimless and misguided!\You'll never be able to beat me that way.\First, you need to get rid of the hesitation that's in your heart.\Scatter!\Damn him...\I can still stand, asshole! response:	Silly man. No matter how many times you attack, the outcome will be the same.
context: You were a worthier opponent last time, Sammy!\Your techniques were aimless and misguided!\You'll never be able to beat me that way.\First, you need to get rid of the hesitation that's in your heart.\Scatter!\Damn him...\I can still stand, asshole!\Silly man. No matter how many times you attack, the outcome will be the same. response:	That's enough!
context: Your techniques were aimless and misguided!\You'll never be able to beat me that way.\First, you need to get rid of the hesitation that's in your heart.\Scatter!\Damn him...\I can still stand, asshole!\Silly man. No matter how many times you attack, the outcome will be the same.\That's enough! response:	He can't... No wizard can beat you!
context: You'll never be able to beat me that way.\First, you need to get rid of the hesitation that's in your heart.\Scatter!\Damn him...\I can still stand, asshole!\Silly man. No matter how many times you attack, the outcome will be the same.\That's enough!\He can't... No wizard can beat you! response:	That's true...
context: First, you need to get rid of the hesitation that's in your heart.\Scatter!\Damn him...\I can still stand, asshole!\Silly man. No matter how many times you attack, the outcome will be the same.\That's enough!\He can't... No wizard can beat you!\That's true... response:	In my Phantom Lord days, maybe I would've given up already,
context: Scatter!\Damn him...\I can still stand, asshole!\Silly man. No matter how many times you attack, the outcome will be the same.\That's enough!\He can't... No wizard can beat you!\That's true...\In my Phantom Lord days, maybe I would've given up already, response:	but unfortunately for you, I'm a Fairy Tail wizard now.
context: Damn him...\I can still stand, asshole!\Silly man. No matter how many times you attack, the outcome will be the same.\That's enough!\He can't... No wizard can beat you!\That's true...\In my Phantom Lord days, maybe I would've given up already,\but unfortunately for you, I'm a Fairy Tail wizard now. response:	Even if you beat the crap outta me, my heart won't break that easily!
context: I can still stand, asshole!\Silly man. No matter how many times you attack, the outcome will be the same.\That's enough!\He can't... No wizard can beat you!\That's true...\In my Phantom Lord days, maybe I would've given up already,\but unfortunately for you, I'm a Fairy Tail wizard now.\Even if you beat the crap outta me, my heart won't break that easily! response:	Right, Juvia?!
context: Silly man. No matter how many times you attack, the outcome will be the same.\That's enough!\He can't... No wizard can beat you!\That's true...\In my Phantom Lord days, maybe I would've given up already,\but unfortunately for you, I'm a Fairy Tail wizard now.\Even if you beat the crap outta me, my heart won't break that easily!\Right, Juvia?! response:	Thank you for buying some time, Gajeel-kun.
context: That's enough!\He can't... No wizard can beat you!\That's true...\In my Phantom Lord days, maybe I would've given up already,\but unfortunately for you, I'm a Fairy Tail wizard now.\Even if you beat the crap outta me, my heart won't break that easily!\Right, Juvia?!\Thank you for buying some time, Gajeel-kun. response:	Juvia has recovered.
context: He can't... No wizard can beat you!\That's true...\In my Phantom Lord days, maybe I would've given up already,\but unfortunately for you, I'm a Fairy Tail wizard now.\Even if you beat the crap outta me, my heart won't break that easily!\Right, Juvia?!\Thank you for buying some time, Gajeel-kun.\Juvia has recovered. response:	What's this? You think this will snare me?
context: That's true...\In my Phantom Lord days, maybe I would've given up already,\but unfortunately for you, I'm a Fairy Tail wizard now.\Even if you beat the crap outta me, my heart won't break that easily!\Right, Juvia?!\Thank you for buying some time, Gajeel-kun.\Juvia has recovered.\What's this? You think this will snare me? response:	Juvia won't let go.
context: In my Phantom Lord days, maybe I would've given up already,\but unfortunately for you, I'm a Fairy Tail wizard now.\Even if you beat the crap outta me, my heart won't break that easily!\Right, Juvia?!\Thank you for buying some time, Gajeel-kun.\Juvia has recovered.\What's this? You think this will snare me?\Juvia won't let go. response:	Scary! Scatter!
context: but unfortunately for you, I'm a Fairy Tail wizard now.\Even if you beat the crap outta me, my heart won't break that easily!\Right, Juvia?!\Thank you for buying some time, Gajeel-kun.\Juvia has recovered.\What's this? You think this will snare me?\Juvia won't let go.\Scary! Scatter! response:	Wha...?!
context: Even if you beat the crap outta me, my heart won't break that easily!\Right, Juvia?!\Thank you for buying some time, Gajeel-kun.\Juvia has recovered.\What's this? You think this will snare me?\Juvia won't let go.\Scary! Scatter!\Wha...?! response:	Hey! What is this?! You're getting tangled up with me?!
context: Right, Juvia?!\Thank you for buying some time, Gajeel-kun.\Juvia has recovered.\What's this? You think this will snare me?\Juvia won't let go.\Scary! Scatter!\Wha...?!\Hey! What is this?! You're getting tangled up with me?! response:	Would you let go of me, you...?!
context: Thank you for buying some time, Gajeel-kun.\Juvia has recovered.\What's this? You think this will snare me?\Juvia won't let go.\Scary! Scatter!\Wha...?!\Hey! What is this?! You're getting tangled up with me?!\Would you let go of me, you...?! response:	Juvia won't let go! Juvia will endure this!
context: Juvia has recovered.\What's this? You think this will snare me?\Juvia won't let go.\Scary! Scatter!\Wha...?!\Hey! What is this?! You're getting tangled up with me?!\Would you let go of me, you...?!\Juvia won't let go! Juvia will endure this! response:	Gajeel-kun!
context: What's this? You think this will snare me?\Juvia won't let go.\Scary! Scatter!\Wha...?!\Hey! What is this?! You're getting tangled up with me?!\Would you let go of me, you...?!\Juvia won't let go! Juvia will endure this!\Gajeel-kun! response:	Comin'!
context: Juvia won't let go.\Scary! Scatter!\Wha...?!\Hey! What is this?! You're getting tangled up with me?!\Would you let go of me, you...?!\Juvia won't let go! Juvia will endure this!\Gajeel-kun!\Comin'! response:	You scatter, son of a bitch!
context: Scary! Scatter!\Wha...?!\Hey! What is this?! You're getting tangled up with me?!\Would you let go of me, you...?!\Juvia won't let go! Juvia will endure this!\Gajeel-kun!\Comin'!\You scatter, son of a bitch! response:	Yeesh.
context: Wha...?!\Hey! What is this?! You're getting tangled up with me?!\Would you let go of me, you...?!\Juvia won't let go! Juvia will endure this!\Gajeel-kun!\Comin'!\You scatter, son of a bitch!\Yeesh. response:	The timing could've been a little better, huh?
context: Hey! What is this?! You're getting tangled up with me?!\Would you let go of me, you...?!\Juvia won't let go! Juvia will endure this!\Gajeel-kun!\Comin'!\You scatter, son of a bitch!\Yeesh.\The timing could've been a little better, huh? response:	If it had been Gray-sama, the timing would've been perfect.
context: Would you let go of me, you...?!\Juvia won't let go! Juvia will endure this!\Gajeel-kun!\Comin'!\You scatter, son of a bitch!\Yeesh.\The timing could've been a little better, huh?\If it had been Gray-sama, the timing would've been perfect. response:	Is that right?
context: Juvia won't let go! Juvia will endure this!\Gajeel-kun!\Comin'!\You scatter, son of a bitch!\Yeesh.\The timing could've been a little better, huh?\If it had been Gray-sama, the timing would've been perfect.\Is that right? response:	Incredible. They took down Gatman the Cleaner...
context: Gajeel-kun!\Comin'!\You scatter, son of a bitch!\Yeesh.\The timing could've been a little better, huh?\If it had been Gray-sama, the timing would've been perfect.\Is that right?\Incredible. They took down Gatman the Cleaner... response:	Hey, wake up! How long are you gonna sleep, Erigor?!
context: Comin'!\You scatter, son of a bitch!\Yeesh.\The timing could've been a little better, huh?\If it had been Gray-sama, the timing would've been perfect.\Is that right?\Incredible. They took down Gatman the Cleaner...\Hey, wake up! How long are you gonna sleep, Erigor?! response:	Don't be that violent with him...
context: You scatter, son of a bitch!\Yeesh.\The timing could've been a little better, huh?\If it had been Gray-sama, the timing would've been perfect.\Is that right?\Incredible. They took down Gatman the Cleaner...\Hey, wake up! How long are you gonna sleep, Erigor?!\Don't be that violent with him... response:	We've gotta ask him this!
context: Yeesh.\The timing could've been a little better, huh?\If it had been Gray-sama, the timing would've been perfect.\Is that right?\Incredible. They took down Gatman the Cleaner...\Hey, wake up! How long are you gonna sleep, Erigor?!\Don't be that violent with him...\We've gotta ask him this! response:	Hey! Tell us what your aim is!
context: The timing could've been a little better, huh?\If it had been Gray-sama, the timing would've been perfect.\Is that right?\Incredible. They took down Gatman the Cleaner...\Hey, wake up! How long are you gonna sleep, Erigor?!\Don't be that violent with him...\We've gotta ask him this!\Hey! Tell us what your aim is! response:	Where's the Infinity Clock?!
context: If it had been Gray-sama, the timing would've been perfect.\Is that right?\Incredible. They took down Gatman the Cleaner...\Hey, wake up! How long are you gonna sleep, Erigor?!\Don't be that violent with him...\We've gotta ask him this!\Hey! Tell us what your aim is!\Where's the Infinity Clock?! response:	I don't know. I was in a daze... What was I doing?
context: Is that right?\Incredible. They took down Gatman the Cleaner...\Hey, wake up! How long are you gonna sleep, Erigor?!\Don't be that violent with him...\We've gotta ask him this!\Hey! Tell us what your aim is!\Where's the Infinity Clock?!\I don't know. I was in a daze... What was I doing? response:	You just got your memories back, so you must not be thinking clearly yet.
context: Incredible. They took down Gatman the Cleaner...\Hey, wake up! How long are you gonna sleep, Erigor?!\Don't be that violent with him...\We've gotta ask him this!\Hey! Tell us what your aim is!\Where's the Infinity Clock?!\I don't know. I was in a daze... What was I doing?\You just got your memories back, so you must not be thinking clearly yet. response:	You were in prison before...
context: Hey, wake up! How long are you gonna sleep, Erigor?!\Don't be that violent with him...\We've gotta ask him this!\Hey! Tell us what your aim is!\Where's the Infinity Clock?!\I don't know. I was in a daze... What was I doing?\You just got your memories back, so you must not be thinking clearly yet.\You were in prison before... response:	That's right. When was it... I had a hideous nightmare...
context: Don't be that violent with him...\We've gotta ask him this!\Hey! Tell us what your aim is!\Where's the Infinity Clock?!\I don't know. I was in a daze... What was I doing?\You just got your memories back, so you must not be thinking clearly yet.\You were in prison before...\That's right. When was it... I had a hideous nightmare... response:	It felt like somebody sneaked into my dream...
context: We've gotta ask him this!\Hey! Tell us what your aim is!\Where's the Infinity Clock?!\I don't know. I was in a daze... What was I doing?\You just got your memories back, so you must not be thinking clearly yet.\You were in prison before...\That's right. When was it... I had a hideous nightmare...\It felt like somebody sneaked into my dream... response:	After that, I acted as the Grim Reaper.
context: Hey! Tell us what your aim is!\Where's the Infinity Clock?!\I don't know. I was in a daze... What was I doing?\You just got your memories back, so you must not be thinking clearly yet.\You were in prison before...\That's right. When was it... I had a hideous nightmare...\It felt like somebody sneaked into my dream...\After that, I acted as the Grim Reaper. response:	Sneaked into your dream...
context: Where's the Infinity Clock?!\I don't know. I was in a daze... What was I doing?\You just got your memories back, so you must not be thinking clearly yet.\You were in prison before...\That's right. When was it... I had a hideous nightmare...\It felt like somebody sneaked into my dream...\After that, I acted as the Grim Reaper.\Sneaked into your dream... response:	Then it was probably a kind of magic that uses dreams to control people.
context: I don't know. I was in a daze... What was I doing?\You just got your memories back, so you must not be thinking clearly yet.\You were in prison before...\That's right. When was it... I had a hideous nightmare...\It felt like somebody sneaked into my dream...\After that, I acted as the Grim Reaper.\Sneaked into your dream...\Then it was probably a kind of magic that uses dreams to control people. response:	Yeah. Little by little, it must have influenced his brainwaves and then controlled his unconscious mind.
context: You just got your memories back, so you must not be thinking clearly yet.\You were in prison before...\That's right. When was it... I had a hideous nightmare...\It felt like somebody sneaked into my dream...\After that, I acted as the Grim Reaper.\Sneaked into your dream...\Then it was probably a kind of magic that uses dreams to control people.\Yeah. Little by little, it must have influenced his brainwaves and then controlled his unconscious mind. response:	I did as I was told, offering up my memories,
context: You were in prison before...\That's right. When was it... I had a hideous nightmare...\It felt like somebody sneaked into my dream...\After that, I acted as the Grim Reaper.\Sneaked into your dream...\Then it was probably a kind of magic that uses dreams to control people.\Yeah. Little by little, it must have influenced his brainwaves and then controlled his unconscious mind.\I did as I was told, offering up my memories, response:	and in exchange received the magic power of mastery over weather phenomenon.
context: That's right. When was it... I had a hideous nightmare...\It felt like somebody sneaked into my dream...\After that, I acted as the Grim Reaper.\Sneaked into your dream...\Then it was probably a kind of magic that uses dreams to control people.\Yeah. Little by little, it must have influenced his brainwaves and then controlled his unconscious mind.\I did as I was told, offering up my memories,\and in exchange received the magic power of mastery over weather phenomenon. response:	But forgetting everything... was painful.
context: It felt like somebody sneaked into my dream...\After that, I acted as the Grim Reaper.\Sneaked into your dream...\Then it was probably a kind of magic that uses dreams to control people.\Yeah. Little by little, it must have influenced his brainwaves and then controlled his unconscious mind.\I did as I was told, offering up my memories,\and in exchange received the magic power of mastery over weather phenomenon.\But forgetting everything... was painful. response:	It was the hardest thing I've ever been through. Mighty power comes at a high price,
context: After that, I acted as the Grim Reaper.\Sneaked into your dream...\Then it was probably a kind of magic that uses dreams to control people.\Yeah. Little by little, it must have influenced his brainwaves and then controlled his unconscious mind.\I did as I was told, offering up my memories,\and in exchange received the magic power of mastery over weather phenomenon.\But forgetting everything... was painful.\It was the hardest thing I've ever been through. Mighty power comes at a high price, response:	but that...
context: Sneaked into your dream...\Then it was probably a kind of magic that uses dreams to control people.\Yeah. Little by little, it must have influenced his brainwaves and then controlled his unconscious mind.\I did as I was told, offering up my memories,\and in exchange received the magic power of mastery over weather phenomenon.\But forgetting everything... was painful.\It was the hardest thing I've ever been through. Mighty power comes at a high price,\but that... response:	Then I heard your voice.
context: Then it was probably a kind of magic that uses dreams to control people.\Yeah. Little by little, it must have influenced his brainwaves and then controlled his unconscious mind.\I did as I was told, offering up my memories,\and in exchange received the magic power of mastery over weather phenomenon.\But forgetting everything... was painful.\It was the hardest thing I've ever been through. Mighty power comes at a high price,\but that...\Then I heard your voice. response:	I have no intention of throwing in with you, but let me be grateful.
context: Yeah. Little by little, it must have influenced his brainwaves and then controlled his unconscious mind.\I did as I was told, offering up my memories,\and in exchange received the magic power of mastery over weather phenomenon.\But forgetting everything... was painful.\It was the hardest thing I've ever been through. Mighty power comes at a high price,\but that...\Then I heard your voice.\I have no intention of throwing in with you, but let me be grateful. response:	S-Sure...
context: I did as I was told, offering up my memories,\and in exchange received the magic power of mastery over weather phenomenon.\But forgetting everything... was painful.\It was the hardest thing I've ever been through. Mighty power comes at a high price,\but that...\Then I heard your voice.\I have no intention of throwing in with you, but let me be grateful.\S-Sure... response:	Wait a second!
context: and in exchange received the magic power of mastery over weather phenomenon.\But forgetting everything... was painful.\It was the hardest thing I've ever been through. Mighty power comes at a high price,\but that...\Then I heard your voice.\I have no intention of throwing in with you, but let me be grateful.\S-Sure...\Wait a second! response:	When Cana used divination to decide these teams, she said something...
context: But forgetting everything... was painful.\It was the hardest thing I've ever been through. Mighty power comes at a high price,\but that...\Then I heard your voice.\I have no intention of throwing in with you, but let me be grateful.\S-Sure...\Wait a second!\When Cana used divination to decide these teams, she said something... response:	She said, I don't know why, but I'm so sleepy...
context: It was the hardest thing I've ever been through. Mighty power comes at a high price,\but that...\Then I heard your voice.\I have no intention of throwing in with you, but let me be grateful.\S-Sure...\Wait a second!\When Cana used divination to decide these teams, she said something...\She said, I don't know why, but I'm so sleepy... response:	Then unbeknownst to her, Cana-san was also manipulated through her dreams!
context: but that...\Then I heard your voice.\I have no intention of throwing in with you, but let me be grateful.\S-Sure...\Wait a second!\When Cana used divination to decide these teams, she said something...\She said, I don't know why, but I'm so sleepy...\Then unbeknownst to her, Cana-san was also manipulated through her dreams! response:	So right from the start, we were paired up into teams that were favorable to them!
context: Then I heard your voice.\I have no intention of throwing in with you, but let me be grateful.\S-Sure...\Wait a second!\When Cana used divination to decide these teams, she said something...\She said, I don't know why, but I'm so sleepy...\Then unbeknownst to her, Cana-san was also manipulated through her dreams!\So right from the start, we were paired up into teams that were favorable to them! response:	Oh, no!
context: I have no intention of throwing in with you, but let me be grateful.\S-Sure...\Wait a second!\When Cana used divination to decide these teams, she said something...\She said, I don't know why, but I'm so sleepy...\Then unbeknownst to her, Cana-san was also manipulated through her dreams!\So right from the start, we were paired up into teams that were favorable to them!\Oh, no! response:	We fell right into a trap!
context: S-Sure...\Wait a second!\When Cana used divination to decide these teams, she said something...\She said, I don't know why, but I'm so sleepy...\Then unbeknownst to her, Cana-san was also manipulated through her dreams!\So right from the start, we were paired up into teams that were favorable to them!\Oh, no!\We fell right into a trap! response:	Befitting of well-known Celestial Spirit Wizard, Will Neville...
context: Wait a second!\When Cana used divination to decide these teams, she said something...\She said, I don't know why, but I'm so sleepy...\Then unbeknownst to her, Cana-san was also manipulated through her dreams!\So right from the start, we were paired up into teams that were favorable to them!\Oh, no!\We fell right into a trap!\Befitting of well-known Celestial Spirit Wizard, Will Neville... response:	Even in death, he's protected by powerful magic.
context: When Cana used divination to decide these teams, she said something...\She said, I don't know why, but I'm so sleepy...\Then unbeknownst to her, Cana-san was also manipulated through her dreams!\So right from the start, we were paired up into teams that were favorable to them!\Oh, no!\We fell right into a trap!\Befitting of well-known Celestial Spirit Wizard, Will Neville...\Even in death, he's protected by powerful magic. response:	But that effect is about to run out.
context: She said, I don't know why, but I'm so sleepy...\Then unbeknownst to her, Cana-san was also manipulated through her dreams!\So right from the start, we were paired up into teams that were favorable to them!\Oh, no!\We fell right into a trap!\Befitting of well-known Celestial Spirit Wizard, Will Neville...\Even in death, he's protected by powerful magic.\But that effect is about to run out. response:	Stop right there!
context: Then unbeknownst to her, Cana-san was also manipulated through her dreams!\So right from the start, we were paired up into teams that were favorable to them!\Oh, no!\We fell right into a trap!\Befitting of well-known Celestial Spirit Wizard, Will Neville...\Even in death, he's protected by powerful magic.\But that effect is about to run out.\Stop right there! response:	I don't care what your goal is, we're not going to let you accomplish it!
context: So right from the start, we were paired up into teams that were favorable to them!\Oh, no!\We fell right into a trap!\Befitting of well-known Celestial Spirit Wizard, Will Neville...\Even in death, he's protected by powerful magic.\But that effect is about to run out.\Stop right there!\I don't care what your goal is, we're not going to let you accomplish it! response:	You've sniffed me out already?
context: Oh, no!\We fell right into a trap!\Befitting of well-known Celestial Spirit Wizard, Will Neville...\Even in death, he's protected by powerful magic.\But that effect is about to run out.\Stop right there!\I don't care what your goal is, we're not going to let you accomplish it!\You've sniffed me out already? response:	Amusing.
context: We fell right into a trap!\Befitting of well-known Celestial Spirit Wizard, Will Neville...\Even in death, he's protected by powerful magic.\But that effect is about to run out.\Stop right there!\I don't care what your goal is, we're not going to let you accomplish it!\You've sniffed me out already?\Amusing. response:	Brain II of the new Oracion Seis, I presume?
context: Befitting of well-known Celestial Spirit Wizard, Will Neville...\Even in death, he's protected by powerful magic.\But that effect is about to run out.\Stop right there!\I don't care what your goal is, we're not going to let you accomplish it!\You've sniffed me out already?\Amusing.\Brain II of the new Oracion Seis, I presume? response:	Here I come!
context: Even in death, he's protected by powerful magic.\But that effect is about to run out.\Stop right there!\I don't care what your goal is, we're not going to let you accomplish it!\You've sniffed me out already?\Amusing.\Brain II of the new Oracion Seis, I presume?\Here I come! response:	How about this?! Omnidirectional Expansion!
context: But that effect is about to run out.\Stop right there!\I don't care what your goal is, we're not going to let you accomplish it!\You've sniffed me out already?\Amusing.\Brain II of the new Oracion Seis, I presume?\Here I come!\How about this?! Omnidirectional Expansion! response:	Garbage.
context: Stop right there!\I don't care what your goal is, we're not going to let you accomplish it!\You've sniffed me out already?\Amusing.\Brain II of the new Oracion Seis, I presume?\Here I come!\How about this?! Omnidirectional Expansion!\Garbage. response:	Al! Hang in there just a little longer!
context: I don't care what your goal is, we're not going to let you accomplish it!\You've sniffed me out already?\Amusing.\Brain II of the new Oracion Seis, I presume?\Here I come!\How about this?! Omnidirectional Expansion!\Garbage.\Al! Hang in there just a little longer! response:	No one can stop me.
context: You've sniffed me out already?\Amusing.\Brain II of the new Oracion Seis, I presume?\Here I come!\How about this?! Omnidirectional Expansion!\Garbage.\Al! Hang in there just a little longer!\No one can stop me. response:	Now!
context: Amusing.\Brain II of the new Oracion Seis, I presume?\Here I come!\How about this?! Omnidirectional Expansion!\Garbage.\Al! Hang in there just a little longer!\No one can stop me.\Now! response:	One shot, one down!
context: Brain II of the new Oracion Seis, I presume?\Here I come!\How about this?! Omnidirectional Expansion!\Garbage.\Al! Hang in there just a little longer!\No one can stop me.\Now!\One shot, one down! response:	Bisca!
context: Here I come!\How about this?! Omnidirectional Expansion!\Garbage.\Al! Hang in there just a little longer!\No one can stop me.\Now!\One shot, one down!\Bisca! response:	She's a good shot.
context: How about this?! Omnidirectional Expansion!\Garbage.\Al! Hang in there just a little longer!\No one can stop me.\Now!\One shot, one down!\Bisca!\She's a good shot. response:	But she lacks the resolve to shoot someone.
context: Garbage.\Al! Hang in there just a little longer!\No one can stop me.\Now!\One shot, one down!\Bisca!\She's a good shot.\But she lacks the resolve to shoot someone. response:	In order to achieve something, you have to pay a high cost.
context: Al! Hang in there just a little longer!\No one can stop me.\Now!\One shot, one down!\Bisca!\She's a good shot.\But she lacks the resolve to shoot someone.\In order to achieve something, you have to pay a high cost. response:	You two are lacking.
context: No one can stop me.\Now!\One shot, one down!\Bisca!\She's a good shot.\But she lacks the resolve to shoot someone.\In order to achieve something, you have to pay a high cost.\You two are lacking. response:	Lacking in readiness to lose something!
context: Now!\One shot, one down!\Bisca!\She's a good shot.\But she lacks the resolve to shoot someone.\In order to achieve something, you have to pay a high cost.\You two are lacking.\Lacking in readiness to lose something! response:	Alright, three in a row!
context: One shot, one down!\Bisca!\She's a good shot.\But she lacks the resolve to shoot someone.\In order to achieve something, you have to pay a high cost.\You two are lacking.\Lacking in readiness to lose something!\Alright, three in a row! response:	Anti-Link activate!
context: Bisca!\She's a good shot.\But she lacks the resolve to shoot someone.\In order to achieve something, you have to pay a high cost.\You two are lacking.\Lacking in readiness to lose something!\Alright, three in a row!\Anti-Link activate! response:	Bastard, what did you do?!
context: She's a good shot.\But she lacks the resolve to shoot someone.\In order to achieve something, you have to pay a high cost.\You two are lacking.\Lacking in readiness to lose something!\Alright, three in a row!\Anti-Link activate!\Bastard, what did you do?! response:	Something that doesn't concern you, Byro-sama.
context: But she lacks the resolve to shoot someone.\In order to achieve something, you have to pay a high cost.\You two are lacking.\Lacking in readiness to lose something!\Alright, three in a row!\Anti-Link activate!\Bastard, what did you do?!\Something that doesn't concern you, Byro-sama. response:	All you have to do is carry out your mission, right?
context: In order to achieve something, you have to pay a high cost.\You two are lacking.\Lacking in readiness to lose something!\Alright, three in a row!\Anti-Link activate!\Bastard, what did you do?!\Something that doesn't concern you, Byro-sama.\All you have to do is carry out your mission, right? response:	What?!
context: You two are lacking.\Lacking in readiness to lose something!\Alright, three in a row!\Anti-Link activate!\Bastard, what did you do?!\Something that doesn't concern you, Byro-sama.\All you have to do is carry out your mission, right?\What?! response:	I'm your opponent here!
context: Lacking in readiness to lose something!\Alright, three in a row!\Anti-Link activate!\Bastard, what did you do?!\Something that doesn't concern you, Byro-sama.\All you have to do is carry out your mission, right?\What?!\I'm your opponent here! response:	Okay! Your old pal, Lightning Bonus!
context: Alright, three in a row!\Anti-Link activate!\Bastard, what did you do?!\Something that doesn't concern you, Byro-sama.\All you have to do is carry out your mission, right?\What?!\I'm your opponent here!\Okay! Your old pal, Lightning Bonus! response:	How?!
context: Anti-Link activate!\Bastard, what did you do?!\Something that doesn't concern you, Byro-sama.\All you have to do is carry out your mission, right?\What?!\I'm your opponent here!\Okay! Your old pal, Lightning Bonus!\How?! response:	The sin of attacking a church is too serious!
context: Bastard, what did you do?!\Something that doesn't concern you, Byro-sama.\All you have to do is carry out your mission, right?\What?!\I'm your opponent here!\Okay! Your old pal, Lightning Bonus!\How?!\The sin of attacking a church is too serious! response:	Talons of the Fire Dragon!
context: Something that doesn't concern you, Byro-sama.\All you have to do is carry out your mission, right?\What?!\I'm your opponent here!\Okay! Your old pal, Lightning Bonus!\How?!\The sin of attacking a church is too serious!\Talons of the Fire Dragon! response:	What did you do?! Now I can't use my Slot Magic!
context: All you have to do is carry out your mission, right?\What?!\I'm your opponent here!\Okay! Your old pal, Lightning Bonus!\How?!\The sin of attacking a church is too serious!\Talons of the Fire Dragon!\What did you do?! Now I can't use my Slot Magic! response:	Where did my identity go?!
context: What?!\I'm your opponent here!\Okay! Your old pal, Lightning Bonus!\How?!\The sin of attacking a church is too serious!\Talons of the Fire Dragon!\What did you do?! Now I can't use my Slot Magic!\Where did my identity go?! response:	I was finally able to hit you, asshole!
context: I'm your opponent here!\Okay! Your old pal, Lightning Bonus!\How?!\The sin of attacking a church is too serious!\Talons of the Fire Dragon!\What did you do?! Now I can't use my Slot Magic!\Where did my identity go?!\I was finally able to hit you, asshole! response:	Now I'm gonna pay you back for everything up to now!
context: Okay! Your old pal, Lightning Bonus!\How?!\The sin of attacking a church is too serious!\Talons of the Fire Dragon!\What did you do?! Now I can't use my Slot Magic!\Where did my identity go?!\I was finally able to hit you, asshole!\Now I'm gonna pay you back for everything up to now! response:	Wing Slash of the Fire Dragon!
context: How?!\The sin of attacking a church is too serious!\Talons of the Fire Dragon!\What did you do?! Now I can't use my Slot Magic!\Where did my identity go?!\I was finally able to hit you, asshole!\Now I'm gonna pay you back for everything up to now!\Wing Slash of the Fire Dragon! response:	Plus...
context: The sin of attacking a church is too serious!\Talons of the Fire Dragon!\What did you do?! Now I can't use my Slot Magic!\Where did my identity go?!\I was finally able to hit you, asshole!\Now I'm gonna pay you back for everything up to now!\Wing Slash of the Fire Dragon!\Plus... response:	Roar of the Fire Dragon!
