context: Conny? response:	- Come on, wait for me! - Good morning!
context: Come to think of it, Mom has always been good at finding us.\No matter where we hid, she found us quickly.\That's not a pocket watch.\Tracking devices.\They could be implanted somewhere in our bodies.\And Mom used the compact and purposely showed us so we would figure it out.\No matter who it is, I won't let you escape.\That's probably what Mom wants to say. response:	Mom is...
context: No matter where we hid, she found us quickly.\That's not a pocket watch.\Tracking devices.\They could be implanted somewhere in our bodies.\And Mom used the compact and purposely showed us so we would figure it out.\No matter who it is, I won't let you escape.\That's probably what Mom wants to say.\Mom is... response:	First, let's get our hands on some rope. I have an idea where they might be.
context: That's not a pocket watch.\Tracking devices.\They could be implanted somewhere in our bodies.\And Mom used the compact and purposely showed us so we would figure it out.\No matter who it is, I won't let you escape.\That's probably what Mom wants to say.\Mom is...\First, let's get our hands on some rope. I have an idea where they might be. response:	I'll see you tonight at 10 in the hallway.
context: Tracking devices.\They could be implanted somewhere in our bodies.\And Mom used the compact and purposely showed us so we would figure it out.\No matter who it is, I won't let you escape.\That's probably what Mom wants to say.\Mom is...\First, let's get our hands on some rope. I have an idea where they might be.\I'll see you tonight at 10 in the hallway. response:	Wait!
context: They could be implanted somewhere in our bodies.\And Mom used the compact and purposely showed us so we would figure it out.\No matter who it is, I won't let you escape.\That's probably what Mom wants to say.\Mom is...\First, let's get our hands on some rope. I have an idea where they might be.\I'll see you tonight at 10 in the hallway.\Wait! response:	They have tracking devices on us,
context: And Mom used the compact and purposely showed us so we would figure it out.\No matter who it is, I won't let you escape.\That's probably what Mom wants to say.\Mom is...\First, let's get our hands on some rope. I have an idea where they might be.\I'll see you tonight at 10 in the hallway.\Wait!\They have tracking devices on us, response:	so what if they have other stuff, like cameras or listening devices?
context: No matter who it is, I won't let you escape.\That's probably what Mom wants to say.\Mom is...\First, let's get our hands on some rope. I have an idea where they might be.\I'll see you tonight at 10 in the hallway.\Wait!\They have tracking devices on us,\so what if they have other stuff, like cameras or listening devices? response:	It's all right.
context: That's probably what Mom wants to say.\Mom is...\First, let's get our hands on some rope. I have an idea where they might be.\I'll see you tonight at 10 in the hallway.\Wait!\They have tracking devices on us,\so what if they have other stuff, like cameras or listening devices?\It's all right. response:	I looked around a bit, and there was nothing like that here.
context: Mom is...\First, let's get our hands on some rope. I have an idea where they might be.\I'll see you tonight at 10 in the hallway.\Wait!\They have tracking devices on us,\so what if they have other stuff, like cameras or listening devices?\It's all right.\I looked around a bit, and there was nothing like that here. response:	When did you do that?
context: First, let's get our hands on some rope. I have an idea where they might be.\I'll see you tonight at 10 in the hallway.\Wait!\They have tracking devices on us,\so what if they have other stuff, like cameras or listening devices?\It's all right.\I looked around a bit, and there was nothing like that here.\When did you do that? response:	But I should have known.
context: I'll see you tonight at 10 in the hallway.\Wait!\They have tracking devices on us,\so what if they have other stuff, like cameras or listening devices?\It's all right.\I looked around a bit, and there was nothing like that here.\When did you do that?\But I should have known. response:	The security measures aren't on the building, but on us.
context: Wait!\They have tracking devices on us,\so what if they have other stuff, like cameras or listening devices?\It's all right.\I looked around a bit, and there was nothing like that here.\When did you do that?\But I should have known.\The security measures aren't on the building, but on us. response:	Do you think Mom knows already?
context: They have tracking devices on us,\so what if they have other stuff, like cameras or listening devices?\It's all right.\I looked around a bit, and there was nothing like that here.\When did you do that?\But I should have known.\The security measures aren't on the building, but on us.\Do you think Mom knows already? response:	That we went all the way to the wall...
context: so what if they have other stuff, like cameras or listening devices?\It's all right.\I looked around a bit, and there was nothing like that here.\When did you do that?\But I should have known.\The security measures aren't on the building, but on us.\Do you think Mom knows already?\That we went all the way to the wall... response:	I don't think so.
context: It's all right.\I looked around a bit, and there was nothing like that here.\When did you do that?\But I should have known.\The security measures aren't on the building, but on us.\Do you think Mom knows already?\That we went all the way to the wall...\I don't think so. response:	I mean, she didn't know about that other time, either.
context: I looked around a bit, and there was nothing like that here.\When did you do that?\But I should have known.\The security measures aren't on the building, but on us.\Do you think Mom knows already?\That we went all the way to the wall...\I don't think so.\I mean, she didn't know about that other time, either. response:	When we went to deliver Little Bunny.
context: When did you do that?\But I should have known.\The security measures aren't on the building, but on us.\Do you think Mom knows already?\That we went all the way to the wall...\I don't think so.\I mean, she didn't know about that other time, either.\When we went to deliver Little Bunny. response:	That's true.
context: But I should have known.\The security measures aren't on the building, but on us.\Do you think Mom knows already?\That we went all the way to the wall...\I don't think so.\I mean, she didn't know about that other time, either.\When we went to deliver Little Bunny.\That's true. response:	It's not like Mom always knows where we are at all times.
context: The security measures aren't on the building, but on us.\Do you think Mom knows already?\That we went all the way to the wall...\I don't think so.\I mean, she didn't know about that other time, either.\When we went to deliver Little Bunny.\That's true.\It's not like Mom always knows where we are at all times. response:	She'll know our location only when she checks.
context: Do you think Mom knows already?\That we went all the way to the wall...\I don't think so.\I mean, she didn't know about that other time, either.\When we went to deliver Little Bunny.\That's true.\It's not like Mom always knows where we are at all times.\She'll know our location only when she checks. response:	She knows that Little Bunny was brought to the gate by someone other than Conny.
context: That we went all the way to the wall...\I don't think so.\I mean, she didn't know about that other time, either.\When we went to deliver Little Bunny.\That's true.\It's not like Mom always knows where we are at all times.\She'll know our location only when she checks.\She knows that Little Bunny was brought to the gate by someone other than Conny. response:	But I don't think she figured out who it was.
context: I don't think so.\I mean, she didn't know about that other time, either.\When we went to deliver Little Bunny.\That's true.\It's not like Mom always knows where we are at all times.\She'll know our location only when she checks.\She knows that Little Bunny was brought to the gate by someone other than Conny.\But I don't think she figured out who it was. response:	Or else she wouldn't have warned us in such a roundabout way.
context: I mean, she didn't know about that other time, either.\When we went to deliver Little Bunny.\That's true.\It's not like Mom always knows where we are at all times.\She'll know our location only when she checks.\She knows that Little Bunny was brought to the gate by someone other than Conny.\But I don't think she figured out who it was.\Or else she wouldn't have warned us in such a roundabout way. response:	I see.
context: When we went to deliver Little Bunny.\That's true.\It's not like Mom always knows where we are at all times.\She'll know our location only when she checks.\She knows that Little Bunny was brought to the gate by someone other than Conny.\But I don't think she figured out who it was.\Or else she wouldn't have warned us in such a roundabout way.\I see. response:	Hey, Norman!
context: That's true.\It's not like Mom always knows where we are at all times.\She'll know our location only when she checks.\She knows that Little Bunny was brought to the gate by someone other than Conny.\But I don't think she figured out who it was.\Or else she wouldn't have warned us in such a roundabout way.\I see.\Hey, Norman! response:	Do you have a second?
context: It's not like Mom always knows where we are at all times.\She'll know our location only when she checks.\She knows that Little Bunny was brought to the gate by someone other than Conny.\But I don't think she figured out who it was.\Or else she wouldn't have warned us in such a roundabout way.\I see.\Hey, Norman!\Do you have a second? response:	The clock isn't quite working properly.
context: She'll know our location only when she checks.\She knows that Little Bunny was brought to the gate by someone other than Conny.\But I don't think she figured out who it was.\Or else she wouldn't have warned us in such a roundabout way.\I see.\Hey, Norman!\Do you have a second?\The clock isn't quite working properly. response:	Okay, I'll take a look.
context: She knows that Little Bunny was brought to the gate by someone other than Conny.\But I don't think she figured out who it was.\Or else she wouldn't have warned us in such a roundabout way.\I see.\Hey, Norman!\Do you have a second?\The clock isn't quite working properly.\Okay, I'll take a look. response:	It'll be okay, Emma.
context: But I don't think she figured out who it was.\Or else she wouldn't have warned us in such a roundabout way.\I see.\Hey, Norman!\Do you have a second?\The clock isn't quite working properly.\Okay, I'll take a look.\It'll be okay, Emma. response:	We're not being suspected.
context: Or else she wouldn't have warned us in such a roundabout way.\I see.\Hey, Norman!\Do you have a second?\The clock isn't quite working properly.\Okay, I'll take a look.\It'll be okay, Emma.\We're not being suspected. response:	Conny.
context: I see.\Hey, Norman!\Do you have a second?\The clock isn't quite working properly.\Okay, I'll take a look.\It'll be okay, Emma.\We're not being suspected.\Conny. response:	Em
context: Hey, Norman!\Do you have a second?\The clock isn't quite working properly.\Okay, I'll take a look.\It'll be okay, Emma.\We're not being suspected.\Conny.\Em response:	What's wrong, Emma?
context: Do you have a second?\The clock isn't quite working properly.\Okay, I'll take a look.\It'll be okay, Emma.\We're not being suspected.\Conny.\Em\What's wrong, Emma? response:	You look pale.
context: The clock isn't quite working properly.\Okay, I'll take a look.\It'll be okay, Emma.\We're not being suspected.\Conny.\Em\What's wrong, Emma?\You look pale. response:	Which reminds me, you weren't so cheerful this morning.
context: Okay, I'll take a look.\It'll be okay, Emma.\We're not being suspected.\Conny.\Em\What's wrong, Emma?\You look pale.\Which reminds me, you weren't so cheerful this morning. response:	That's not...
context: It'll be okay, Emma.\We're not being suspected.\Conny.\Em\What's wrong, Emma?\You look pale.\Which reminds me, you weren't so cheerful this morning.\That's not... response:	It's nothing.
context: We're not being suspected.\Conny.\Em\What's wrong, Emma?\You look pale.\Which reminds me, you weren't so cheerful this morning.\That's not...\It's nothing. response:	I just got a little sad thinking that Ill leave the House soon, too.
context: Conny.\Em\What's wrong, Emma?\You look pale.\Which reminds me, you weren't so cheerful this morning.\That's not...\It's nothing.\I just got a little sad thinking that Ill leave the House soon, too. response:	Do you like it here at the House?
context: Em\What's wrong, Emma?\You look pale.\Which reminds me, you weren't so cheerful this morning.\That's not...\It's nothing.\I just got a little sad thinking that Ill leave the House soon, too.\Do you like it here at the House? response:	I love the House and you, Mom!
context: What's wrong, Emma?\You look pale.\Which reminds me, you weren't so cheerful this morning.\That's not...\It's nothing.\I just got a little sad thinking that Ill leave the House soon, too.\Do you like it here at the House?\I love the House and you, Mom! response:	I wonder what Conny's doing right now?
context: You look pale.\Which reminds me, you weren't so cheerful this morning.\That's not...\It's nothing.\I just got a little sad thinking that Ill leave the House soon, too.\Do you like it here at the House?\I love the House and you, Mom!\I wonder what Conny's doing right now? response:	Conny said she wanted to be a mother like you when she grew up.
context: Which reminds me, you weren't so cheerful this morning.\That's not...\It's nothing.\I just got a little sad thinking that Ill leave the House soon, too.\Do you like it here at the House?\I love the House and you, Mom!\I wonder what Conny's doing right now?\Conny said she wanted to be a mother like you when she grew up. response:	Yes, I know.
context: That's not...\It's nothing.\I just got a little sad thinking that Ill leave the House soon, too.\Do you like it here at the House?\I love the House and you, Mom!\I wonder what Conny's doing right now?\Conny said she wanted to be a mother like you when she grew up.\Yes, I know. response:	I'm sure Conny will become a lovely adult,
context: It's nothing.\I just got a little sad thinking that Ill leave the House soon, too.\Do you like it here at the House?\I love the House and you, Mom!\I wonder what Conny's doing right now?\Conny said she wanted to be a mother like you when she grew up.\Yes, I know.\I'm sure Conny will become a lovely adult, response:	and a good mother, too.
context: I just got a little sad thinking that Ill leave the House soon, too.\Do you like it here at the House?\I love the House and you, Mom!\I wonder what Conny's doing right now?\Conny said she wanted to be a mother like you when she grew up.\Yes, I know.\I'm sure Conny will become a lovely adult,\and a good mother, too. response:	Dinner preparations are ready, Mom.
context: Do you like it here at the House?\I love the House and you, Mom!\I wonder what Conny's doing right now?\Conny said she wanted to be a mother like you when she grew up.\Yes, I know.\I'm sure Conny will become a lovely adult,\and a good mother, too.\Dinner preparations are ready, Mom. response:	I'll be right there.
context: I love the House and you, Mom!\I wonder what Conny's doing right now?\Conny said she wanted to be a mother like you when she grew up.\Yes, I know.\I'm sure Conny will become a lovely adult,\and a good mother, too.\Dinner preparations are ready, Mom.\I'll be right there. response:	Wait for me!
context: I wonder what Conny's doing right now?\Conny said she wanted to be a mother like you when she grew up.\Yes, I know.\I'm sure Conny will become a lovely adult,\and a good mother, too.\Dinner preparations are ready, Mom.\I'll be right there.\Wait for me! response:	Hurry!
context: Conny said she wanted to be a mother like you when she grew up.\Yes, I know.\I'm sure Conny will become a lovely adult,\and a good mother, too.\Dinner preparations are ready, Mom.\I'll be right there.\Wait for me!\Hurry! response:	Emma, let's go.
context: Yes, I know.\I'm sure Conny will become a lovely adult,\and a good mother, too.\Dinner preparations are ready, Mom.\I'll be right there.\Wait for me!\Hurry!\Emma, let's go. response:	Okay.
context: I'm sure Conny will become a lovely adult,\and a good mother, too.\Dinner preparations are ready, Mom.\I'll be right there.\Wait for me!\Hurry!\Emma, let's go.\Okay. response:	Did the two of you...
context: and a good mother, too.\Dinner preparations are ready, Mom.\I'll be right there.\Wait for me!\Hurry!\Emma, let's go.\Okay.\Did the two of you... response:	go to the gate yesterday?
context: Dinner preparations are ready, Mom.\I'll be right there.\Wait for me!\Hurry!\Emma, let's go.\Okay.\Did the two of you...\go to the gate yesterday? response:	We didn't. That's against the rules.
context: I'll be right there.\Wait for me!\Hurry!\Emma, let's go.\Okay.\Did the two of you...\go to the gate yesterday?\We didn't. That's against the rules. response:	Besides, we were having too much fun playing tag yesterday. Right?
context: Wait for me!\Hurry!\Emma, let's go.\Okay.\Did the two of you...\go to the gate yesterday?\We didn't. That's against the rules.\Besides, we were having too much fun playing tag yesterday. Right? response:	Yeah!
context: Hurry!\Emma, let's go.\Okay.\Did the two of you...\go to the gate yesterday?\We didn't. That's against the rules.\Besides, we were having too much fun playing tag yesterday. Right?\Yeah! response:	Why?
context: Emma, let's go.\Okay.\Did the two of you...\go to the gate yesterday?\We didn't. That's against the rules.\Besides, we were having too much fun playing tag yesterday. Right?\Yeah!\Why? response:	It's nothing. As long as you didn't go.
context: Okay.\Did the two of you...\go to the gate yesterday?\We didn't. That's against the rules.\Besides, we were having too much fun playing tag yesterday. Right?\Yeah!\Why?\It's nothing. As long as you didn't go. response:	Can you stand up?
context: Did the two of you...\go to the gate yesterday?\We didn't. That's against the rules.\Besides, we were having too much fun playing tag yesterday. Right?\Yeah!\Why?\It's nothing. As long as you didn't go.\Can you stand up? response:	This was a really good idea, Norman.
context: go to the gate yesterday?\We didn't. That's against the rules.\Besides, we were having too much fun playing tag yesterday. Right?\Yeah!\Why?\It's nothing. As long as you didn't go.\Can you stand up?\This was a really good idea, Norman. response:	Using tablecloths.
context: We didn't. That's against the rules.\Besides, we were having too much fun playing tag yesterday. Right?\Yeah!\Why?\It's nothing. As long as you didn't go.\Can you stand up?\This was a really good idea, Norman.\Using tablecloths. response:	This can be used as rope.
context: Besides, we were having too much fun playing tag yesterday. Right?\Yeah!\Why?\It's nothing. As long as you didn't go.\Can you stand up?\This was a really good idea, Norman.\Using tablecloths.\This can be used as rope. response:	With this, we can get over the wall.
context: Yeah!\Why?\It's nothing. As long as you didn't go.\Can you stand up?\This was a really good idea, Norman.\Using tablecloths.\This can be used as rope.\With this, we can get over the wall. response:	Okay. The challenge is still ahead of us.
context: Why?\It's nothing. As long as you didn't go.\Can you stand up?\This was a really good idea, Norman.\Using tablecloths.\This can be used as rope.\With this, we can get over the wall.\Okay. The challenge is still ahead of us. response:	Where the tracking devices are...
context: It's nothing. As long as you didn't go.\Can you stand up?\This was a really good idea, Norman.\Using tablecloths.\This can be used as rope.\With this, we can get over the wall.\Okay. The challenge is still ahead of us.\Where the tracking devices are... response:	Hey, Norman.
context: Can you stand up?\This was a really good idea, Norman.\Using tablecloths.\This can be used as rope.\With this, we can get over the wall.\Okay. The challenge is still ahead of us.\Where the tracking devices are...\Hey, Norman. response:	I think it might be fine if we told Ray.
context: This was a really good idea, Norman.\Using tablecloths.\This can be used as rope.\With this, we can get over the wall.\Okay. The challenge is still ahead of us.\Where the tracking devices are...\Hey, Norman.\I think it might be fine if we told Ray. response:	I was thinking that, too.
context: Using tablecloths.\This can be used as rope.\With this, we can get over the wall.\Okay. The challenge is still ahead of us.\Where the tracking devices are...\Hey, Norman.\I think it might be fine if we told Ray.\I was thinking that, too. response:	Ray most likely wouldn't panic.
context: This can be used as rope.\With this, we can get over the wall.\Okay. The challenge is still ahead of us.\Where the tracking devices are...\Hey, Norman.\I think it might be fine if we told Ray.\I was thinking that, too.\Ray most likely wouldn't panic. response:	And because of his extensive knowledge, he's good with machines, too.
context: With this, we can get over the wall.\Okay. The challenge is still ahead of us.\Where the tracking devices are...\Hey, Norman.\I think it might be fine if we told Ray.\I was thinking that, too.\Ray most likely wouldn't panic.\And because of his extensive knowledge, he's good with machines, too. response:	I'm sure we can depend on him.
context: Okay. The challenge is still ahead of us.\Where the tracking devices are...\Hey, Norman.\I think it might be fine if we told Ray.\I was thinking that, too.\Ray most likely wouldn't panic.\And because of his extensive knowledge, he's good with machines, too.\I'm sure we can depend on him. response:	But...
context: Where the tracking devices are...\Hey, Norman.\I think it might be fine if we told Ray.\I was thinking that, too.\Ray most likely wouldn't panic.\And because of his extensive knowledge, he's good with machines, too.\I'm sure we can depend on him.\But... response:	But?
context: Hey, Norman.\I think it might be fine if we told Ray.\I was thinking that, too.\Ray most likely wouldn't panic.\And because of his extensive knowledge, he's good with machines, too.\I'm sure we can depend on him.\But...\But? response:	I'll talk to Ray myself.
context: I think it might be fine if we told Ray.\I was thinking that, too.\Ray most likely wouldn't panic.\And because of his extensive knowledge, he's good with machines, too.\I'm sure we can depend on him.\But...\But?\I'll talk to Ray myself. response:	Why don't you go back, and
context: I was thinking that, too.\Ray most likely wouldn't panic.\And because of his extensive knowledge, he's good with machines, too.\I'm sure we can depend on him.\But...\But?\I'll talk to Ray myself.\Why don't you go back, and response:	Why?
context: Ray most likely wouldn't panic.\And because of his extensive knowledge, he's good with machines, too.\I'm sure we can depend on him.\But...\But?\I'll talk to Ray myself.\Why don't you go back, and\Why? response:	Ray!
context: And because of his extensive knowledge, he's good with machines, too.\I'm sure we can depend on him.\But...\But?\I'll talk to Ray myself.\Why don't you go back, and\Why?\Ray! response:	Yo.
context: I'm sure we can depend on him.\But...\But?\I'll talk to Ray myself.\Why don't you go back, and\Why?\Ray!\Yo. response:	Sorry, I followed you guys.
context: But...\But?\I'll talk to Ray myself.\Why don't you go back, and\Why?\Ray!\Yo.\Sorry, I followed you guys. response:	It's been bugging me for a while, so I thought I should ask about it.
context: But?\I'll talk to Ray myself.\Why don't you go back, and\Why?\Ray!\Yo.\Sorry, I followed you guys.\It's been bugging me for a while, so I thought I should ask about it. response:	What happened at the gate that night?
context: I'll talk to Ray myself.\Why don't you go back, and\Why?\Ray!\Yo.\Sorry, I followed you guys.\It's been bugging me for a while, so I thought I should ask about it.\What happened at the gate that night? response:	When you went to go deliver Little Bunny to Conny.
context: Why don't you go back, and\Why?\Ray!\Yo.\Sorry, I followed you guys.\It's been bugging me for a while, so I thought I should ask about it.\What happened at the gate that night?\When you went to go deliver Little Bunny to Conny. response:	You were both clearly acting weird.
context: Why?\Ray!\Yo.\Sorry, I followed you guys.\It's been bugging me for a while, so I thought I should ask about it.\What happened at the gate that night?\When you went to go deliver Little Bunny to Conny.\You were both clearly acting weird. response:	And you were empty-handed when you said you didn't make it.
context: Ray!\Yo.\Sorry, I followed you guys.\It's been bugging me for a while, so I thought I should ask about it.\What happened at the gate that night?\When you went to go deliver Little Bunny to Conny.\You were both clearly acting weird.\And you were empty-handed when you said you didn't make it. response:	You're perceptive.
context: Yo.\Sorry, I followed you guys.\It's been bugging me for a while, so I thought I should ask about it.\What happened at the gate that night?\When you went to go deliver Little Bunny to Conny.\You were both clearly acting weird.\And you were empty-handed when you said you didn't make it.\You're perceptive. response:	So of course something happened. Give it up.
context: Sorry, I followed you guys.\It's been bugging me for a while, so I thought I should ask about it.\What happened at the gate that night?\When you went to go deliver Little Bunny to Conny.\You were both clearly acting weird.\And you were empty-handed when you said you didn't make it.\You're perceptive.\So of course something happened. Give it up. response:	Ray is smart, too, after all.
context: It's been bugging me for a while, so I thought I should ask about it.\What happened at the gate that night?\When you went to go deliver Little Bunny to Conny.\You were both clearly acting weird.\And you were empty-handed when you said you didn't make it.\You're perceptive.\So of course something happened. Give it up.\Ray is smart, too, after all. response:	Demons... A farm...
context: What happened at the gate that night?\When you went to go deliver Little Bunny to Conny.\You were both clearly acting weird.\And you were empty-handed when you said you didn't make it.\You're perceptive.\So of course something happened. Give it up.\Ray is smart, too, after all.\Demons... A farm... response:	Mom is an enemy?
context: When you went to go deliver Little Bunny to Conny.\You were both clearly acting weird.\And you were empty-handed when you said you didn't make it.\You're perceptive.\So of course something happened. Give it up.\Ray is smart, too, after all.\Demons... A farm...\Mom is an enemy? response:	Isn't this bad?
context: You were both clearly acting weird.\And you were empty-handed when you said you didn't make it.\You're perceptive.\So of course something happened. Give it up.\Ray is smart, too, after all.\Demons... A farm...\Mom is an enemy?\Isn't this bad? response:	He catches on fast!
context: And you were empty-handed when you said you didn't make it.\You're perceptive.\So of course something happened. Give it up.\Ray is smart, too, after all.\Demons... A farm...\Mom is an enemy?\Isn't this bad?\He catches on fast! response:	So you're saying we were preciously taken care of to become demon food.
context: You're perceptive.\So of course something happened. Give it up.\Ray is smart, too, after all.\Demons... A farm...\Mom is an enemy?\Isn't this bad?\He catches on fast!\So you're saying we were preciously taken care of to become demon food. response:	I mean...
context: So of course something happened. Give it up.\Ray is smart, too, after all.\Demons... A farm...\Mom is an enemy?\Isn't this bad?\He catches on fast!\So you're saying we were preciously taken care of to become demon food.\I mean... response:	I'm surprised you're believing us so easily.
context: Ray is smart, too, after all.\Demons... A farm...\Mom is an enemy?\Isn't this bad?\He catches on fast!\So you're saying we were preciously taken care of to become demon food.\I mean...\I'm surprised you're believing us so easily. response:	Of course. Norman wouldn't make up such a stupid lie.
context: Demons... A farm...\Mom is an enemy?\Isn't this bad?\He catches on fast!\So you're saying we were preciously taken care of to become demon food.\I mean...\I'm surprised you're believing us so easily.\Of course. Norman wouldn't make up such a stupid lie. response:	It'd be different with you, Emma.
context: Mom is an enemy?\Isn't this bad?\He catches on fast!\So you're saying we were preciously taken care of to become demon food.\I mean...\I'm surprised you're believing us so easily.\Of course. Norman wouldn't make up such a stupid lie.\It'd be different with you, Emma. response:	So, if we're really going to escape, there are various issues.
context: Isn't this bad?\He catches on fast!\So you're saying we were preciously taken care of to become demon food.\I mean...\I'm surprised you're believing us so easily.\Of course. Norman wouldn't make up such a stupid lie.\It'd be different with you, Emma.\So, if we're really going to escape, there are various issues. response:	First, the number of kids.
context: He catches on fast!\So you're saying we were preciously taken care of to become demon food.\I mean...\I'm surprised you're believing us so easily.\Of course. Norman wouldn't make up such a stupid lie.\It'd be different with you, Emma.\So, if we're really going to escape, there are various issues.\First, the number of kids. response:	- We'll narrow it down to who can make it and - Wait!
context: So you're saying we were preciously taken care of to become demon food.\I mean...\I'm surprised you're believing us so easily.\Of course. Norman wouldn't make up such a stupid lie.\It'd be different with you, Emma.\So, if we're really going to escape, there are various issues.\First, the number of kids.\- We'll narrow it down to who can make it and - Wait! response:	I want to escape with everyone.
context: I mean...\I'm surprised you're believing us so easily.\Of course. Norman wouldn't make up such a stupid lie.\It'd be different with you, Emma.\So, if we're really going to escape, there are various issues.\First, the number of kids.\- We'll narrow it down to who can make it and - Wait!\I want to escape with everyone. response:	Lend us your strength, Ray!
context: I'm surprised you're believing us so easily.\Of course. Norman wouldn't make up such a stupid lie.\It'd be different with you, Emma.\So, if we're really going to escape, there are various issues.\First, the number of kids.\- We'll narrow it down to who can make it and - Wait!\I want to escape with everyone.\Lend us your strength, Ray! response:	Everyone?
context: Of course. Norman wouldn't make up such a stupid lie.\It'd be different with you, Emma.\So, if we're really going to escape, there are various issues.\First, the number of kids.\- We'll narrow it down to who can make it and - Wait!\I want to escape with everyone.\Lend us your strength, Ray!\Everyone? response:	You're kidding, right?
context: It'd be different with you, Emma.\So, if we're really going to escape, there are various issues.\First, the number of kids.\- We'll narrow it down to who can make it and - Wait!\I want to escape with everyone.\Lend us your strength, Ray!\Everyone?\You're kidding, right? response:	There are 37 of us.
context: So, if we're really going to escape, there are various issues.\First, the number of kids.\- We'll narrow it down to who can make it and - Wait!\I want to escape with everyone.\Lend us your strength, Ray!\Everyone?\You're kidding, right?\There are 37 of us. response:	And the majority are under six years old.
context: First, the number of kids.\- We'll narrow it down to who can make it and - Wait!\I want to escape with everyone.\Lend us your strength, Ray!\Everyone?\You're kidding, right?\There are 37 of us.\And the majority are under six years old. response:	Mom.
context: - We'll narrow it down to who can make it and - Wait!\I want to escape with everyone.\Lend us your strength, Ray!\Everyone?\You're kidding, right?\There are 37 of us.\And the majority are under six years old.\Mom. response:	Demons.
context: I want to escape with everyone.\Lend us your strength, Ray!\Everyone?\You're kidding, right?\There are 37 of us.\And the majority are under six years old.\Mom.\Demons. response:	Tracking devices.
context: Lend us your strength, Ray!\Everyone?\You're kidding, right?\There are 37 of us.\And the majority are under six years old.\Mom.\Demons.\Tracking devices. response:	These factors make an already difficult escape even more challenging.
context: Everyone?\You're kidding, right?\There are 37 of us.\And the majority are under six years old.\Mom.\Demons.\Tracking devices.\These factors make an already difficult escape even more challenging. response:	I know that.
context: You're kidding, right?\There are 37 of us.\And the majority are under six years old.\Mom.\Demons.\Tracking devices.\These factors make an already difficult escape even more challenging.\I know that. response:	But it's not impossible
context: There are 37 of us.\And the majority are under six years old.\Mom.\Demons.\Tracking devices.\These factors make an already difficult escape even more challenging.\I know that.\But it's not impossible response:	No, it's impossible.
context: And the majority are under six years old.\Mom.\Demons.\Tracking devices.\These factors make an already difficult escape even more challenging.\I know that.\But it's not impossible\No, it's impossible. response:	Emma, you haven't noticed, have you?
context: Mom.\Demons.\Tracking devices.\These factors make an already difficult escape even more challenging.\I know that.\But it's not impossible\No, it's impossible.\Emma, you haven't noticed, have you? response:	Ray, wait.
context: Demons.\Tracking devices.\These factors make an already difficult escape even more challenging.\I know that.\But it's not impossible\No, it's impossible.\Emma, you haven't noticed, have you?\Ray, wait. response:	I see. That's why you said you'll talk to me yourself.
context: Tracking devices.\These factors make an already difficult escape even more challenging.\I know that.\But it's not impossible\No, it's impossible.\Emma, you haven't noticed, have you?\Ray, wait.\I see. That's why you said you'll talk to me yourself. response:	You have to be blunt about these kinds of things.
context: These factors make an already difficult escape even more challenging.\I know that.\But it's not impossible\No, it's impossible.\Emma, you haven't noticed, have you?\Ray, wait.\I see. That's why you said you'll talk to me yourself.\You have to be blunt about these kinds of things. response:	Emma.
context: I know that.\But it's not impossible\No, it's impossible.\Emma, you haven't noticed, have you?\Ray, wait.\I see. That's why you said you'll talk to me yourself.\You have to be blunt about these kinds of things.\Emma. response:	What?
context: But it's not impossible\No, it's impossible.\Emma, you haven't noticed, have you?\Ray, wait.\I see. That's why you said you'll talk to me yourself.\You have to be blunt about these kinds of things.\Emma.\What? response:	It won't be enough just to escape from here.
context: No, it's impossible.\Emma, you haven't noticed, have you?\Ray, wait.\I see. That's why you said you'll talk to me yourself.\You have to be blunt about these kinds of things.\Emma.\What?\It won't be enough just to escape from here. response:	What do you mean?
context: Emma, you haven't noticed, have you?\Ray, wait.\I see. That's why you said you'll talk to me yourself.\You have to be blunt about these kinds of things.\Emma.\What?\It won't be enough just to escape from here.\What do you mean? response:	We don't know what it's like on the outside.
context: Ray, wait.\I see. That's why you said you'll talk to me yourself.\You have to be blunt about these kinds of things.\Emma.\What?\It won't be enough just to escape from here.\What do you mean?\We don't know what it's like on the outside. response:	But there's a place we're getting shipped to.
context: I see. That's why you said you'll talk to me yourself.\You have to be blunt about these kinds of things.\Emma.\What?\It won't be enough just to escape from here.\What do you mean?\We don't know what it's like on the outside.\But there's a place we're getting shipped to. response:	Because there's a farm, that should give you an idea.
context: You have to be blunt about these kinds of things.\Emma.\What?\It won't be enough just to escape from here.\What do you mean?\We don't know what it's like on the outside.\But there's a place we're getting shipped to.\Because there's a farm, that should give you an idea. response:	What waits outside is a demon's society.
context: Emma.\What?\It won't be enough just to escape from here.\What do you mean?\We don't know what it's like on the outside.\But there's a place we're getting shipped to.\Because there's a farm, that should give you an idea.\What waits outside is a demon's society. response:	There is no place for humans to live.
context: What?\It won't be enough just to escape from here.\What do you mean?\We don't know what it's like on the outside.\But there's a place we're getting shipped to.\Because there's a farm, that should give you an idea.\What waits outside is a demon's society.\There is no place for humans to live. response:	So it's impossible.
context: It won't be enough just to escape from here.\What do you mean?\We don't know what it's like on the outside.\But there's a place we're getting shipped to.\Because there's a farm, that should give you an idea.\What waits outside is a demon's society.\There is no place for humans to live.\So it's impossible. response:	If we take everyone, we'll all die.
