context: Let's find some shade. response:	You're a cute couple.
context: You talked to him?\Yeah, I guess.\But...\But what?\He wasn't running yesterday.\Everyone was making a fuss, because they look forward to seeing him every day.\Really?\I have practice soon, too, so I'll go check. response:	Oh,
context: Yeah, I guess.\But...\But what?\He wasn't running yesterday.\Everyone was making a fuss, because they look forward to seeing him every day.\Really?\I have practice soon, too, so I'll go check.\Oh, response:	he's not running.
context: But...\But what?\He wasn't running yesterday.\Everyone was making a fuss, because they look forward to seeing him every day.\Really?\I have practice soon, too, so I'll go check.\Oh,\he's not running. response:	Let's watch them next time.
context: But what?\He wasn't running yesterday.\Everyone was making a fuss, because they look forward to seeing him every day.\Really?\I have practice soon, too, so I'll go check.\Oh,\he's not running.\Let's watch them next time. response:	When they're making stuff?
context: He wasn't running yesterday.\Everyone was making a fuss, because they look forward to seeing him every day.\Really?\I have practice soon, too, so I'll go check.\Oh,\he's not running.\Let's watch them next time.\When they're making stuff? response:	Yeah.
context: Everyone was making a fuss, because they look forward to seeing him every day.\Really?\I have practice soon, too, so I'll go check.\Oh,\he's not running.\Let's watch them next time.\When they're making stuff?\Yeah. response:	What's wrong?
context: Really?\I have practice soon, too, so I'll go check.\Oh,\he's not running.\Let's watch them next time.\When they're making stuff?\Yeah.\What's wrong? response:	Oh,
context: I have practice soon, too, so I'll go check.\Oh,\he's not running.\Let's watch them next time.\When they're making stuff?\Yeah.\What's wrong?\Oh, response:	nothing.
context: Oh,\he's not running.\Let's watch them next time.\When they're making stuff?\Yeah.\What's wrong?\Oh,\nothing. response:	There!
context: he's not running.\Let's watch them next time.\When they're making stuff?\Yeah.\What's wrong?\Oh,\nothing.\There! response:	Who's that?
context: Let's watch them next time.\When they're making stuff?\Yeah.\What's wrong?\Oh,\nothing.\There!\Who's that? response:	Are we not going to be able to sit next to each other anymore?
context: When they're making stuff?\Yeah.\What's wrong?\Oh,\nothing.\There!\Who's that?\Are we not going to be able to sit next to each other anymore? response:	We can.
context: Yeah.\What's wrong?\Oh,\nothing.\There!\Who's that?\Are we not going to be able to sit next to each other anymore?\We can. response:	What do you think it was?
context: What's wrong?\Oh,\nothing.\There!\Who's that?\Are we not going to be able to sit next to each other anymore?\We can.\What do you think it was? response:	I'm a little afraid to be next to you now.
context: Oh,\nothing.\There!\Who's that?\Are we not going to be able to sit next to each other anymore?\We can.\What do you think it was?\I'm a little afraid to be next to you now. response:	I'm terrible, huh?
context: nothing.\There!\Who's that?\Are we not going to be able to sit next to each other anymore?\We can.\What do you think it was?\I'm a little afraid to be next to you now.\I'm terrible, huh? response:	I don't know what it was either.
context: There!\Who's that?\Are we not going to be able to sit next to each other anymore?\We can.\What do you think it was?\I'm a little afraid to be next to you now.\I'm terrible, huh?\I don't know what it was either. response:	But yeah, I'm a little wary of coming
context: Who's that?\Are we not going to be able to sit next to each other anymore?\We can.\What do you think it was?\I'm a little afraid to be next to you now.\I'm terrible, huh?\I don't know what it was either.\But yeah, I'm a little wary of coming response:	close to you right now.
context: Are we not going to be able to sit next to each other anymore?\We can.\What do you think it was?\I'm a little afraid to be next to you now.\I'm terrible, huh?\I don't know what it was either.\But yeah, I'm a little wary of coming\close to you right now. response:	From: Hina No subject Yanagi-san's running instead of Yukinari-san
context: We can.\What do you think it was?\I'm a little afraid to be next to you now.\I'm terrible, huh?\I don't know what it was either.\But yeah, I'm a little wary of coming\close to you right now.\From: Hina No subject Yanagi-san's running instead of Yukinari-san response:	Oh, it's from my sister.
context: What do you think it was?\I'm a little afraid to be next to you now.\I'm terrible, huh?\I don't know what it was either.\But yeah, I'm a little wary of coming\close to you right now.\From: Hina No subject Yanagi-san's running instead of Yukinari-san\Oh, it's from my sister. response:	Yuki-kun's turned into Yana-chan.
context: I'm a little afraid to be next to you now.\I'm terrible, huh?\I don't know what it was either.\But yeah, I'm a little wary of coming\close to you right now.\From: Hina No subject Yanagi-san's running instead of Yukinari-san\Oh, it's from my sister.\Yuki-kun's turned into Yana-chan. response:	Hina-chan, the other day...
context: I'm terrible, huh?\I don't know what it was either.\But yeah, I'm a little wary of coming\close to you right now.\From: Hina No subject Yanagi-san's running instead of Yukinari-san\Oh, it's from my sister.\Yuki-kun's turned into Yana-chan.\Hina-chan, the other day... response:	Oh, my sister's name is Hina.
context: I don't know what it was either.\But yeah, I'm a little wary of coming\close to you right now.\From: Hina No subject Yanagi-san's running instead of Yukinari-san\Oh, it's from my sister.\Yuki-kun's turned into Yana-chan.\Hina-chan, the other day...\Oh, my sister's name is Hina. response:	Hina-chan's swim club...
context: But yeah, I'm a little wary of coming\close to you right now.\From: Hina No subject Yanagi-san's running instead of Yukinari-san\Oh, it's from my sister.\Yuki-kun's turned into Yana-chan.\Hina-chan, the other day...\Oh, my sister's name is Hina.\Hina-chan's swim club... response:	Oh, do you mind if I talk about Yuki-kun?
context: close to you right now.\From: Hina No subject Yanagi-san's running instead of Yukinari-san\Oh, it's from my sister.\Yuki-kun's turned into Yana-chan.\Hina-chan, the other day...\Oh, my sister's name is Hina.\Hina-chan's swim club...\Oh, do you mind if I talk about Yuki-kun? response:	What about her swim club?
context: From: Hina No subject Yanagi-san's running instead of Yukinari-san\Oh, it's from my sister.\Yuki-kun's turned into Yana-chan.\Hina-chan, the other day...\Oh, my sister's name is Hina.\Hina-chan's swim club...\Oh, do you mind if I talk about Yuki-kun?\What about her swim club? response:	Yeah, he's popular at the swim club.
context: Oh, it's from my sister.\Yuki-kun's turned into Yana-chan.\Hina-chan, the other day...\Oh, my sister's name is Hina.\Hina-chan's swim club...\Oh, do you mind if I talk about Yuki-kun?\What about her swim club?\Yeah, he's popular at the swim club. response:	I called Yana-chan, but she wouldn't pick up.
context: Yuki-kun's turned into Yana-chan.\Hina-chan, the other day...\Oh, my sister's name is Hina.\Hina-chan's swim club...\Oh, do you mind if I talk about Yuki-kun?\What about her swim club?\Yeah, he's popular at the swim club.\I called Yana-chan, but she wouldn't pick up. response:	From what I heard, it doesn't sound like Takayama is panicking,
context: Hina-chan, the other day...\Oh, my sister's name is Hina.\Hina-chan's swim club...\Oh, do you mind if I talk about Yuki-kun?\What about her swim club?\Yeah, he's popular at the swim club.\I called Yana-chan, but she wouldn't pick up.\From what I heard, it doesn't sound like Takayama is panicking, response:	so I think it'll be okay.
context: Oh, my sister's name is Hina.\Hina-chan's swim club...\Oh, do you mind if I talk about Yuki-kun?\What about her swim club?\Yeah, he's popular at the swim club.\I called Yana-chan, but she wouldn't pick up.\From what I heard, it doesn't sound like Takayama is panicking,\so I think it'll be okay. response:	I wonder. I hope so.
context: Hina-chan's swim club...\Oh, do you mind if I talk about Yuki-kun?\What about her swim club?\Yeah, he's popular at the swim club.\I called Yana-chan, but she wouldn't pick up.\From what I heard, it doesn't sound like Takayama is panicking,\so I think it'll be okay.\I wonder. I hope so. response:	Are you
context: Oh, do you mind if I talk about Yuki-kun?\What about her swim club?\Yeah, he's popular at the swim club.\I called Yana-chan, but she wouldn't pick up.\From what I heard, it doesn't sound like Takayama is panicking,\so I think it'll be okay.\I wonder. I hope so.\Are you response:	worried about me, Kakeru-kun?
context: What about her swim club?\Yeah, he's popular at the swim club.\I called Yana-chan, but she wouldn't pick up.\From what I heard, it doesn't sound like Takayama is panicking,\so I think it'll be okay.\I wonder. I hope so.\Are you\worried about me, Kakeru-kun? response:	Yeah.
context: Yeah, he's popular at the swim club.\I called Yana-chan, but she wouldn't pick up.\From what I heard, it doesn't sound like Takayama is panicking,\so I think it'll be okay.\I wonder. I hope so.\Are you\worried about me, Kakeru-kun?\Yeah. response:	I don't think there's a reason to worry about Yukinari Imi,
context: I called Yana-chan, but she wouldn't pick up.\From what I heard, it doesn't sound like Takayama is panicking,\so I think it'll be okay.\I wonder. I hope so.\Are you\worried about me, Kakeru-kun?\Yeah.\I don't think there's a reason to worry about Yukinari Imi, response:	but if it's bothering you, we could go to his place together.
context: From what I heard, it doesn't sound like Takayama is panicking,\so I think it'll be okay.\I wonder. I hope so.\Are you\worried about me, Kakeru-kun?\Yeah.\I don't think there's a reason to worry about Yukinari Imi,\but if it's bothering you, we could go to his place together. response:	Sure.
context: so I think it'll be okay.\I wonder. I hope so.\Are you\worried about me, Kakeru-kun?\Yeah.\I don't think there's a reason to worry about Yukinari Imi,\but if it's bothering you, we could go to his place together.\Sure. response:	I was sketching here
context: I wonder. I hope so.\Are you\worried about me, Kakeru-kun?\Yeah.\I don't think there's a reason to worry about Yukinari Imi,\but if it's bothering you, we could go to his place together.\Sure.\I was sketching here response:	a while ago, just like this,
context: Are you\worried about me, Kakeru-kun?\Yeah.\I don't think there's a reason to worry about Yukinari Imi,\but if it's bothering you, we could go to his place together.\Sure.\I was sketching here\a while ago, just like this, response:	and I saw Yuki-kun.
context: worried about me, Kakeru-kun?\Yeah.\I don't think there's a reason to worry about Yukinari Imi,\but if it's bothering you, we could go to his place together.\Sure.\I was sketching here\a while ago, just like this,\and I saw Yuki-kun. response:	So we went to the art class prep room to pick up Conte crayons, and...
context: Yeah.\I don't think there's a reason to worry about Yukinari Imi,\but if it's bothering you, we could go to his place together.\Sure.\I was sketching here\a while ago, just like this,\and I saw Yuki-kun.\So we went to the art class prep room to pick up Conte crayons, and... response:	And there, he...
context: I don't think there's a reason to worry about Yukinari Imi,\but if it's bothering you, we could go to his place together.\Sure.\I was sketching here\a while ago, just like this,\and I saw Yuki-kun.\So we went to the art class prep room to pick up Conte crayons, and...\And there, he... response:	Touko,
context: but if it's bothering you, we could go to his place together.\Sure.\I was sketching here\a while ago, just like this,\and I saw Yuki-kun.\So we went to the art class prep room to pick up Conte crayons, and...\And there, he...\Touko, response:	are you thinking about that Kakeru guy?
context: Sure.\I was sketching here\a while ago, just like this,\and I saw Yuki-kun.\So we went to the art class prep room to pick up Conte crayons, and...\And there, he...\Touko,\are you thinking about that Kakeru guy? response:	What now?
context: I was sketching here\a while ago, just like this,\and I saw Yuki-kun.\So we went to the art class prep room to pick up Conte crayons, and...\And there, he...\Touko,\are you thinking about that Kakeru guy?\What now? response:	Do you like him?
context: a while ago, just like this,\and I saw Yuki-kun.\So we went to the art class prep room to pick up Conte crayons, and...\And there, he...\Touko,\are you thinking about that Kakeru guy?\What now?\Do you like him? response:	I see.
context: and I saw Yuki-kun.\So we went to the art class prep room to pick up Conte crayons, and...\And there, he...\Touko,\are you thinking about that Kakeru guy?\What now?\Do you like him?\I see. response:	You do.
context: So we went to the art class prep room to pick up Conte crayons, and...\And there, he...\Touko,\are you thinking about that Kakeru guy?\What now?\Do you like him?\I see.\You do. response:	No, it's not that.
context: And there, he...\Touko,\are you thinking about that Kakeru guy?\What now?\Do you like him?\I see.\You do.\No, it's not that. response:	So I was surprised, too.
context: Touko,\are you thinking about that Kakeru guy?\What now?\Do you like him?\I see.\You do.\No, it's not that.\So I was surprised, too. response:	I'm talking about Yuki-kun again.
context: are you thinking about that Kakeru guy?\What now?\Do you like him?\I see.\You do.\No, it's not that.\So I was surprised, too.\I'm talking about Yuki-kun again. response:	I see. So that happened.
context: What now?\Do you like him?\I see.\You do.\No, it's not that.\So I was surprised, too.\I'm talking about Yuki-kun again.\I see. So that happened. response:	Oh, no, that's really all it was.
context: Do you like him?\I see.\You do.\No, it's not that.\So I was surprised, too.\I'm talking about Yuki-kun again.\I see. So that happened.\Oh, no, that's really all it was. response:	Nothing more.
context: I see.\You do.\No, it's not that.\So I was surprised, too.\I'm talking about Yuki-kun again.\I see. So that happened.\Oh, no, that's really all it was.\Nothing more. response:	But then you hesitated quite a bit, didn't you?
context: You do.\No, it's not that.\So I was surprised, too.\I'm talking about Yuki-kun again.\I see. So that happened.\Oh, no, that's really all it was.\Nothing more.\But then you hesitated quite a bit, didn't you? response:	We might learn something new about
context: No, it's not that.\So I was surprised, too.\I'm talking about Yuki-kun again.\I see. So that happened.\Oh, no, that's really all it was.\Nothing more.\But then you hesitated quite a bit, didn't you?\We might learn something new about response:	the fragments of the future if we go to the art-class prep room.
context: So I was surprised, too.\I'm talking about Yuki-kun again.\I see. So that happened.\Oh, no, that's really all it was.\Nothing more.\But then you hesitated quite a bit, didn't you?\We might learn something new about\the fragments of the future if we go to the art-class prep room. response:	Really?
context: I'm talking about Yuki-kun again.\I see. So that happened.\Oh, no, that's really all it was.\Nothing more.\But then you hesitated quite a bit, didn't you?\We might learn something new about\the fragments of the future if we go to the art-class prep room.\Really? response:	How about you go there with me this time?
context: I see. So that happened.\Oh, no, that's really all it was.\Nothing more.\But then you hesitated quite a bit, didn't you?\We might learn something new about\the fragments of the future if we go to the art-class prep room.\Really?\How about you go there with me this time? response:	But
context: Oh, no, that's really all it was.\Nothing more.\But then you hesitated quite a bit, didn't you?\We might learn something new about\the fragments of the future if we go to the art-class prep room.\Really?\How about you go there with me this time?\But response:	What?
context: Nothing more.\But then you hesitated quite a bit, didn't you?\We might learn something new about\the fragments of the future if we go to the art-class prep room.\Really?\How about you go there with me this time?\But\What? response:	Right, maybe...
context: But then you hesitated quite a bit, didn't you?\We might learn something new about\the fragments of the future if we go to the art-class prep room.\Really?\How about you go there with me this time?\But\What?\Right, maybe... response:	What
context: We might learn something new about\the fragments of the future if we go to the art-class prep room.\Really?\How about you go there with me this time?\But\What?\Right, maybe...\What response:	Where is it?
context: the fragments of the future if we go to the art-class prep room.\Really?\How about you go there with me this time?\But\What?\Right, maybe...\What\Where is it? response:	Through the front door, and to the right.
context: Really?\How about you go there with me this time?\But\What?\Right, maybe...\What\Where is it?\Through the front door, and to the right. response:	This way.
context: How about you go there with me this time?\But\What?\Right, maybe...\What\Where is it?\Through the front door, and to the right.\This way. response:	Here it is.
context: But\What?\Right, maybe...\What\Where is it?\Through the front door, and to the right.\This way.\Here it is. response:	All contacts Details Edit
context: What?\Right, maybe...\What\Where is it?\Through the front door, and to the right.\This way.\Here it is.\All contacts Details Edit response:	Hiro Shirosaki
context: Right, maybe...\What\Where is it?\Through the front door, and to the right.\This way.\Here it is.\All contacts Details Edit\Hiro Shirosaki response:	Cell
context: What\Where is it?\Through the front door, and to the right.\This way.\Here it is.\All contacts Details Edit\Hiro Shirosaki\Cell response:	The customer you have dialed
context: Where is it?\Through the front door, and to the right.\This way.\Here it is.\All contacts Details Edit\Hiro Shirosaki\Cell\The customer you have dialed response:	is out of the service area, or
context: Through the front door, and to the right.\This way.\Here it is.\All contacts Details Edit\Hiro Shirosaki\Cell\The customer you have dialed\is out of the service area, or response:	We should probably tell Yukinari Imi or Takayama.
context: This way.\Here it is.\All contacts Details Edit\Hiro Shirosaki\Cell\The customer you have dialed\is out of the service area, or\We should probably tell Yukinari Imi or Takayama. response:	Huh, why?
context: Here it is.\All contacts Details Edit\Hiro Shirosaki\Cell\The customer you have dialed\is out of the service area, or\We should probably tell Yukinari Imi or Takayama.\Huh, why? response:	Why should we tell everyone?
context: All contacts Details Edit\Hiro Shirosaki\Cell\The customer you have dialed\is out of the service area, or\We should probably tell Yukinari Imi or Takayama.\Huh, why?\Why should we tell everyone? response:	What do you think Takayama thought
context: Hiro Shirosaki\Cell\The customer you have dialed\is out of the service area, or\We should probably tell Yukinari Imi or Takayama.\Huh, why?\Why should we tell everyone?\What do you think Takayama thought response:	when she saw us at the beach?
context: Cell\The customer you have dialed\is out of the service area, or\We should probably tell Yukinari Imi or Takayama.\Huh, why?\Why should we tell everyone?\What do you think Takayama thought\when she saw us at the beach? response:	Well,
context: The customer you have dialed\is out of the service area, or\We should probably tell Yukinari Imi or Takayama.\Huh, why?\Why should we tell everyone?\What do you think Takayama thought\when she saw us at the beach?\Well, response:	I'm sure she was surprised.
context: is out of the service area, or\We should probably tell Yukinari Imi or Takayama.\Huh, why?\Why should we tell everyone?\What do you think Takayama thought\when she saw us at the beach?\Well,\I'm sure she was surprised. response:	But is that it?
context: We should probably tell Yukinari Imi or Takayama.\Huh, why?\Why should we tell everyone?\What do you think Takayama thought\when she saw us at the beach?\Well,\I'm sure she was surprised.\But is that it? response:	Takayama will surely ask you about what happened.
context: Huh, why?\Why should we tell everyone?\What do you think Takayama thought\when she saw us at the beach?\Well,\I'm sure she was surprised.\But is that it?\Takayama will surely ask you about what happened. response:	But how am I supposed to explain?
context: Why should we tell everyone?\What do you think Takayama thought\when she saw us at the beach?\Well,\I'm sure she was surprised.\But is that it?\Takayama will surely ask you about what happened.\But how am I supposed to explain? response:	She would never believe me.
context: What do you think Takayama thought\when she saw us at the beach?\Well,\I'm sure she was surprised.\But is that it?\Takayama will surely ask you about what happened.\But how am I supposed to explain?\She would never believe me. response:	If that kind of thing is going to keep happening...
context: when she saw us at the beach?\Well,\I'm sure she was surprised.\But is that it?\Takayama will surely ask you about what happened.\But how am I supposed to explain?\She would never believe me.\If that kind of thing is going to keep happening... response:	It will?
context: Well,\I'm sure she was surprised.\But is that it?\Takayama will surely ask you about what happened.\But how am I supposed to explain?\She would never believe me.\If that kind of thing is going to keep happening...\It will? response:	Again?
context: I'm sure she was surprised.\But is that it?\Takayama will surely ask you about what happened.\But how am I supposed to explain?\She would never believe me.\If that kind of thing is going to keep happening...\It will?\Again? response:	Kakeru-kun, is this...
context: But is that it?\Takayama will surely ask you about what happened.\But how am I supposed to explain?\She would never believe me.\If that kind of thing is going to keep happening...\It will?\Again?\Kakeru-kun, is this... response:	What
context: Takayama will surely ask you about what happened.\But how am I supposed to explain?\She would never believe me.\If that kind of thing is going to keep happening...\It will?\Again?\Kakeru-kun, is this...\What response:	W-Was that a fragment of the future?
context: But how am I supposed to explain?\She would never believe me.\If that kind of thing is going to keep happening...\It will?\Again?\Kakeru-kun, is this...\What\W-Was that a fragment of the future? response:	Hey, what's wrong?
context: She would never believe me.\If that kind of thing is going to keep happening...\It will?\Again?\Kakeru-kun, is this...\What\W-Was that a fragment of the future?\Hey, what's wrong? response:	No!
context: If that kind of thing is going to keep happening...\It will?\Again?\Kakeru-kun, is this...\What\W-Was that a fragment of the future?\Hey, what's wrong?\No! response:	Touko!
context: It will?\Again?\Kakeru-kun, is this...\What\W-Was that a fragment of the future?\Hey, what's wrong?\No!\Touko! response:	What happened? What did you see?
context: Again?\Kakeru-kun, is this...\What\W-Was that a fragment of the future?\Hey, what's wrong?\No!\Touko!\What happened? What did you see? response:	It can't be.
context: Kakeru-kun, is this...\What\W-Was that a fragment of the future?\Hey, what's wrong?\No!\Touko!\What happened? What did you see?\It can't be. response:	Touko!
context: What\W-Was that a fragment of the future?\Hey, what's wrong?\No!\Touko!\What happened? What did you see?\It can't be.\Touko! response:	From: Sacchan Subject: Untitled
context: W-Was that a fragment of the future?\Hey, what's wrong?\No!\Touko!\What happened? What did you see?\It can't be.\Touko!\From: Sacchan Subject: Untitled response:	I'm home. Please come see me again. I have a book I want to lend you.
context: Hey, what's wrong?\No!\Touko!\What happened? What did you see?\It can't be.\Touko!\From: Sacchan Subject: Untitled\I'm home. Please come see me again. I have a book I want to lend you. response:	The place we promised...
context: No!\Touko!\What happened? What did you see?\It can't be.\Touko!\From: Sacchan Subject: Untitled\I'm home. Please come see me again. I have a book I want to lend you.\The place we promised... response:	I want to go to that art room.
context: Touko!\What happened? What did you see?\It can't be.\Touko!\From: Sacchan Subject: Untitled\I'm home. Please come see me again. I have a book I want to lend you.\The place we promised...\I want to go to that art room. response:	I'm going to become a new me.
context: What happened? What did you see?\It can't be.\Touko!\From: Sacchan Subject: Untitled\I'm home. Please come see me again. I have a book I want to lend you.\The place we promised...\I want to go to that art room.\I'm going to become a new me. response:	Yeah, right.
context: It can't be.\Touko!\From: Sacchan Subject: Untitled\I'm home. Please come see me again. I have a book I want to lend you.\The place we promised...\I want to go to that art room.\I'm going to become a new me.\Yeah, right. response:	For tomorrow.
context: Touko!\From: Sacchan Subject: Untitled\I'm home. Please come see me again. I have a book I want to lend you.\The place we promised...\I want to go to that art room.\I'm going to become a new me.\Yeah, right.\For tomorrow. response:	And those were my lines.
context: From: Sacchan Subject: Untitled\I'm home. Please come see me again. I have a book I want to lend you.\The place we promised...\I want to go to that art room.\I'm going to become a new me.\Yeah, right.\For tomorrow.\And those were my lines. response:	Episode 9 Moon
