context: I am grateful for the Institute's understanding and cooperation. response:	When receiving an order from the Palace,
context: We're going home, Dog.\Yes!\I've told you often enough.\You're stupid, to accept another one of her offers so readily!\Well...\Since Kirche said that she would give me that shiny gold sword...\I couldn't help it.\You were the one that said you were fine with that one. response:	Well, that's true, but if I can get it for free...
context: Yes!\I've told you often enough.\You're stupid, to accept another one of her offers so readily!\Well...\Since Kirche said that she would give me that shiny gold sword...\I couldn't help it.\You were the one that said you were fine with that one.\Well, that's true, but if I can get it for free... response:	An ornament like that means nothing to you!
context: I've told you often enough.\You're stupid, to accept another one of her offers so readily!\Well...\Since Kirche said that she would give me that shiny gold sword...\I couldn't help it.\You were the one that said you were fine with that one.\Well, that's true, but if I can get it for free...\An ornament like that means nothing to you! response:	A familiar that follows someone so readily after being lured by bait
context: You're stupid, to accept another one of her offers so readily!\Well...\Since Kirche said that she would give me that shiny gold sword...\I couldn't help it.\You were the one that said you were fine with that one.\Well, that's true, but if I can get it for free...\An ornament like that means nothing to you!\A familiar that follows someone so readily after being lured by bait response:	needs more punishment.
context: Well...\Since Kirche said that she would give me that shiny gold sword...\I couldn't help it.\You were the one that said you were fine with that one.\Well, that's true, but if I can get it for free...\An ornament like that means nothing to you!\A familiar that follows someone so readily after being lured by bait\needs more punishment. response:	Wait, anything but that...
context: Since Kirche said that she would give me that shiny gold sword...\I couldn't help it.\You were the one that said you were fine with that one.\Well, that's true, but if I can get it for free...\An ornament like that means nothing to you!\A familiar that follows someone so readily after being lured by bait\needs more punishment.\Wait, anything but that... response:	Stupid dog!
context: I couldn't help it.\You were the one that said you were fine with that one.\Well, that's true, but if I can get it for free...\An ornament like that means nothing to you!\A familiar that follows someone so readily after being lured by bait\needs more punishment.\Wait, anything but that...\Stupid dog! response:	From now on, you can wait outside with all the other familiars.
context: You were the one that said you were fine with that one.\Well, that's true, but if I can get it for free...\An ornament like that means nothing to you!\A familiar that follows someone so readily after being lured by bait\needs more punishment.\Wait, anything but that...\Stupid dog!\From now on, you can wait outside with all the other familiars. response:	Why?
context: Well, that's true, but if I can get it for free...\An ornament like that means nothing to you!\A familiar that follows someone so readily after being lured by bait\needs more punishment.\Wait, anything but that...\Stupid dog!\From now on, you can wait outside with all the other familiars.\Why? response:	Why? You snore, peek up other girls' skirts...
context: An ornament like that means nothing to you!\A familiar that follows someone so readily after being lured by bait\needs more punishment.\Wait, anything but that...\Stupid dog!\From now on, you can wait outside with all the other familiars.\Why?\Why? You snore, peek up other girls' skirts... response:	You couldn't embarrass me more!
context: A familiar that follows someone so readily after being lured by bait\needs more punishment.\Wait, anything but that...\Stupid dog!\From now on, you can wait outside with all the other familiars.\Why?\Why? You snore, peek up other girls' skirts...\You couldn't embarrass me more! response:	Stay put until my class is over. Understood?
context: needs more punishment.\Wait, anything but that...\Stupid dog!\From now on, you can wait outside with all the other familiars.\Why?\Why? You snore, peek up other girls' skirts...\You couldn't embarrass me more!\Stay put until my class is over. Understood? response:	Yeah...
context: Wait, anything but that...\Stupid dog!\From now on, you can wait outside with all the other familiars.\Why?\Why? You snore, peek up other girls' skirts...\You couldn't embarrass me more!\Stay put until my class is over. Understood?\Yeah... response:	Stop it!
context: Stupid dog!\From now on, you can wait outside with all the other familiars.\Why?\Why? You snore, peek up other girls' skirts...\You couldn't embarrass me more!\Stay put until my class is over. Understood?\Yeah...\Stop it! response:	Get off me! Geez...
context: From now on, you can wait outside with all the other familiars.\Why?\Why? You snore, peek up other girls' skirts...\You couldn't embarrass me more!\Stay put until my class is over. Understood?\Yeah...\Stop it!\Get off me! Geez... response:	I can't stay in a place like that!
context: Why?\Why? You snore, peek up other girls' skirts...\You couldn't embarrass me more!\Stay put until my class is over. Understood?\Yeah...\Stop it!\Get off me! Geez...\I can't stay in a place like that! response:	Hey, it's Our Sword! I can't stay in a place like that!
context: Why? You snore, peek up other girls' skirts...\You couldn't embarrass me more!\Stay put until my class is over. Understood?\Yeah...\Stop it!\Get off me! Geez...\I can't stay in a place like that!\Hey, it's Our Sword! I can't stay in a place like that! response:	Hey, it's Our Sword!
context: You couldn't embarrass me more!\Stay put until my class is over. Understood?\Yeah...\Stop it!\Get off me! Geez...\I can't stay in a place like that!\Hey, it's Our Sword! I can't stay in a place like that!\Hey, it's Our Sword! response:	Our Sword! Swing by the kitchen again!
context: Stay put until my class is over. Understood?\Yeah...\Stop it!\Get off me! Geez...\I can't stay in a place like that!\Hey, it's Our Sword! I can't stay in a place like that!\Hey, it's Our Sword!\Our Sword! Swing by the kitchen again! response:	Sure thing!
context: Yeah...\Stop it!\Get off me! Geez...\I can't stay in a place like that!\Hey, it's Our Sword! I can't stay in a place like that!\Hey, it's Our Sword!\Our Sword! Swing by the kitchen again!\Sure thing! response:	Sorry that I'm always mooching off you guys.
context: Stop it!\Get off me! Geez...\I can't stay in a place like that!\Hey, it's Our Sword! I can't stay in a place like that!\Hey, it's Our Sword!\Our Sword! Swing by the kitchen again!\Sure thing!\Sorry that I'm always mooching off you guys. response:	You don't need to be modest.
context: Get off me! Geez...\I can't stay in a place like that!\Hey, it's Our Sword! I can't stay in a place like that!\Hey, it's Our Sword!\Our Sword! Swing by the kitchen again!\Sure thing!\Sorry that I'm always mooching off you guys.\You don't need to be modest. response:	These are all leftovers of those nobles, anyway.
context: I can't stay in a place like that!\Hey, it's Our Sword! I can't stay in a place like that!\Hey, it's Our Sword!\Our Sword! Swing by the kitchen again!\Sure thing!\Sorry that I'm always mooching off you guys.\You don't need to be modest.\These are all leftovers of those nobles, anyway. response:	By the way, where is Siesta?
context: Hey, it's Our Sword! I can't stay in a place like that!\Hey, it's Our Sword!\Our Sword! Swing by the kitchen again!\Sure thing!\Sorry that I'm always mooching off you guys.\You don't need to be modest.\These are all leftovers of those nobles, anyway.\By the way, where is Siesta? response:	Oh, that's right.
context: Hey, it's Our Sword!\Our Sword! Swing by the kitchen again!\Sure thing!\Sorry that I'm always mooching off you guys.\You don't need to be modest.\These are all leftovers of those nobles, anyway.\By the way, where is Siesta?\Oh, that's right. response:	She's not on the kitchen staff, so she's not always here...
context: Our Sword! Swing by the kitchen again!\Sure thing!\Sorry that I'm always mooching off you guys.\You don't need to be modest.\These are all leftovers of those nobles, anyway.\By the way, where is Siesta?\Oh, that's right.\She's not on the kitchen staff, so she's not always here... response:	Siesta didn't tell you?
context: Sure thing!\Sorry that I'm always mooching off you guys.\You don't need to be modest.\These are all leftovers of those nobles, anyway.\By the way, where is Siesta?\Oh, that's right.\She's not on the kitchen staff, so she's not always here...\Siesta didn't tell you? response:	She quit?!
context: Sorry that I'm always mooching off you guys.\You don't need to be modest.\These are all leftovers of those nobles, anyway.\By the way, where is Siesta?\Oh, that's right.\She's not on the kitchen staff, so she's not always here...\Siesta didn't tell you?\She quit?! response:	Yeah. It was sudden, but it was decided
context: You don't need to be modest.\These are all leftovers of those nobles, anyway.\By the way, where is Siesta?\Oh, that's right.\She's not on the kitchen staff, so she's not always here...\Siesta didn't tell you?\She quit?!\Yeah. It was sudden, but it was decided response:	that she would be a servant for this nobleman called Count Mott.
context: These are all leftovers of those nobles, anyway.\By the way, where is Siesta?\Oh, that's right.\She's not on the kitchen staff, so she's not always here...\Siesta didn't tell you?\She quit?!\Yeah. It was sudden, but it was decided\that she would be a servant for this nobleman called Count Mott. response:	She was picked up and taken away in a carriage early this morning.
context: By the way, where is Siesta?\Oh, that's right.\She's not on the kitchen staff, so she's not always here...\Siesta didn't tell you?\She quit?!\Yeah. It was sudden, but it was decided\that she would be a servant for this nobleman called Count Mott.\She was picked up and taken away in a carriage early this morning. response:	You're kidding! Why so suddenly?
context: Oh, that's right.\She's not on the kitchen staff, so she's not always here...\Siesta didn't tell you?\She quit?!\Yeah. It was sudden, but it was decided\that she would be a servant for this nobleman called Count Mott.\She was picked up and taken away in a carriage early this morning.\You're kidding! Why so suddenly? response:	In the end,
context: She's not on the kitchen staff, so she's not always here...\Siesta didn't tell you?\She quit?!\Yeah. It was sudden, but it was decided\that she would be a servant for this nobleman called Count Mott.\She was picked up and taken away in a carriage early this morning.\You're kidding! Why so suddenly?\In the end, response:	peasants can do nothing but obey every word of the nobles.
context: Siesta didn't tell you?\She quit?!\Yeah. It was sudden, but it was decided\that she would be a servant for this nobleman called Count Mott.\She was picked up and taken away in a carriage early this morning.\You're kidding! Why so suddenly?\In the end,\peasants can do nothing but obey every word of the nobles. response:	Now, work... Back to work.
context: She quit?!\Yeah. It was sudden, but it was decided\that she would be a servant for this nobleman called Count Mott.\She was picked up and taken away in a carriage early this morning.\You're kidding! Why so suddenly?\In the end,\peasants can do nothing but obey every word of the nobles.\Now, work... Back to work. response:	Siesta...
context: Yeah. It was sudden, but it was decided\that she would be a servant for this nobleman called Count Mott.\She was picked up and taken away in a carriage early this morning.\You're kidding! Why so suddenly?\In the end,\peasants can do nothing but obey every word of the nobles.\Now, work... Back to work.\Siesta... response:	Why didn't you tell me?
context: that she would be a servant for this nobleman called Count Mott.\She was picked up and taken away in a carriage early this morning.\You're kidding! Why so suddenly?\In the end,\peasants can do nothing but obey every word of the nobles.\Now, work... Back to work.\Siesta...\Why didn't you tell me? response:	Count Mott is a messenger from the Palace,
context: She was picked up and taken away in a carriage early this morning.\You're kidding! Why so suddenly?\In the end,\peasants can do nothing but obey every word of the nobles.\Now, work... Back to work.\Siesta...\Why didn't you tell me?\Count Mott is a messenger from the Palace, response:	and comes by the Institute occasionally.
context: You're kidding! Why so suddenly?\In the end,\peasants can do nothing but obey every word of the nobles.\Now, work... Back to work.\Siesta...\Why didn't you tell me?\Count Mott is a messenger from the Palace,\and comes by the Institute occasionally. response:	I don't like him, because he always acts so cocky.
context: In the end,\peasants can do nothing but obey every word of the nobles.\Now, work... Back to work.\Siesta...\Why didn't you tell me?\Count Mott is a messenger from the Palace,\and comes by the Institute occasionally.\I don't like him, because he always acts so cocky. response:	But why would Siesta be sent to work for someone with that rank?
context: peasants can do nothing but obey every word of the nobles.\Now, work... Back to work.\Siesta...\Why didn't you tell me?\Count Mott is a messenger from the Palace,\and comes by the Institute occasionally.\I don't like him, because he always acts so cocky.\But why would Siesta be sent to work for someone with that rank? response:	When a nobleman requests a young girl by name,
context: Now, work... Back to work.\Siesta...\Why didn't you tell me?\Count Mott is a messenger from the Palace,\and comes by the Institute occasionally.\I don't like him, because he always acts so cocky.\But why would Siesta be sent to work for someone with that rank?\When a nobleman requests a young girl by name, response:	it's usually an order for her to become his mistress.
context: Siesta...\Why didn't you tell me?\Count Mott is a messenger from the Palace,\and comes by the Institute occasionally.\I don't like him, because he always acts so cocky.\But why would Siesta be sent to work for someone with that rank?\When a nobleman requests a young girl by name,\it's usually an order for her to become his mistress. response:	You don't even know that much?
context: Why didn't you tell me?\Count Mott is a messenger from the Palace,\and comes by the Institute occasionally.\I don't like him, because he always acts so cocky.\But why would Siesta be sent to work for someone with that rank?\When a nobleman requests a young girl by name,\it's usually an order for her to become his mistress.\You don't even know that much? response:	Mistress?
context: Count Mott is a messenger from the Palace,\and comes by the Institute occasionally.\I don't like him, because he always acts so cocky.\But why would Siesta be sent to work for someone with that rank?\When a nobleman requests a young girl by name,\it's usually an order for her to become his mistress.\You don't even know that much?\Mistress? response:	Is that for real?!
context: and comes by the Institute occasionally.\I don't like him, because he always acts so cocky.\But why would Siesta be sent to work for someone with that rank?\When a nobleman requests a young girl by name,\it's usually an order for her to become his mistress.\You don't even know that much?\Mistress?\Is that for real?! response:	I hear stories like that. Nobles come in all sorts.
context: I don't like him, because he always acts so cocky.\But why would Siesta be sent to work for someone with that rank?\When a nobleman requests a young girl by name,\it's usually an order for her to become his mistress.\You don't even know that much?\Mistress?\Is that for real?!\I hear stories like that. Nobles come in all sorts. response:	Siesta...
context: But why would Siesta be sent to work for someone with that rank?\When a nobleman requests a young girl by name,\it's usually an order for her to become his mistress.\You don't even know that much?\Mistress?\Is that for real?!\I hear stories like that. Nobles come in all sorts.\Siesta... response:	How wonderful! A mythril brooch.
context: When a nobleman requests a young girl by name,\it's usually an order for her to become his mistress.\You don't even know that much?\Mistress?\Is that for real?!\I hear stories like that. Nobles come in all sorts.\Siesta...\How wonderful! A mythril brooch. response:	Don't you think it will look good on you, Montmorency?
context: it's usually an order for her to become his mistress.\You don't even know that much?\Mistress?\Is that for real?!\I hear stories like that. Nobles come in all sorts.\Siesta...\How wonderful! A mythril brooch.\Don't you think it will look good on you, Montmorency? response:	And with this, I'm supposed to pretend nothing ever happened?
context: You don't even know that much?\Mistress?\Is that for real?!\I hear stories like that. Nobles come in all sorts.\Siesta...\How wonderful! A mythril brooch.\Don't you think it will look good on you, Montmorency?\And with this, I'm supposed to pretend nothing ever happened? response:	Don't tell me you believe what that vulgar familiar said...
context: Mistress?\Is that for real?!\I hear stories like that. Nobles come in all sorts.\Siesta...\How wonderful! A mythril brooch.\Don't you think it will look good on you, Montmorency?\And with this, I'm supposed to pretend nothing ever happened?\Don't tell me you believe what that vulgar familiar said... response:	Sorry for being so vulgar.
context: Is that for real?!\I hear stories like that. Nobles come in all sorts.\Siesta...\How wonderful! A mythril brooch.\Don't you think it will look good on you, Montmorency?\And with this, I'm supposed to pretend nothing ever happened?\Don't tell me you believe what that vulgar familiar said...\Sorry for being so vulgar. response:	Saito!
context: I hear stories like that. Nobles come in all sorts.\Siesta...\How wonderful! A mythril brooch.\Don't you think it will look good on you, Montmorency?\And with this, I'm supposed to pretend nothing ever happened?\Don't tell me you believe what that vulgar familiar said...\Sorry for being so vulgar.\Saito! response:	Are you going to get in the way of someone's romance again?!
context: Siesta...\How wonderful! A mythril brooch.\Don't you think it will look good on you, Montmorency?\And with this, I'm supposed to pretend nothing ever happened?\Don't tell me you believe what that vulgar familiar said...\Sorry for being so vulgar.\Saito!\Are you going to get in the way of someone's romance again?! response:	I just want to ask something.
context: How wonderful! A mythril brooch.\Don't you think it will look good on you, Montmorency?\And with this, I'm supposed to pretend nothing ever happened?\Don't tell me you believe what that vulgar familiar said...\Sorry for being so vulgar.\Saito!\Are you going to get in the way of someone's romance again?!\I just want to ask something. response:	He's not back for dinner either?
context: Don't you think it will look good on you, Montmorency?\And with this, I'm supposed to pretend nothing ever happened?\Don't tell me you believe what that vulgar familiar said...\Sorry for being so vulgar.\Saito!\Are you going to get in the way of someone's romance again?!\I just want to ask something.\He's not back for dinner either? response:	Oh, where's Saito?
context: And with this, I'm supposed to pretend nothing ever happened?\Don't tell me you believe what that vulgar familiar said...\Sorry for being so vulgar.\Saito!\Are you going to get in the way of someone's romance again?!\I just want to ask something.\He's not back for dinner either?\Oh, where's Saito? response:	What's that?
context: Don't tell me you believe what that vulgar familiar said...\Sorry for being so vulgar.\Saito!\Are you going to get in the way of someone's romance again?!\I just want to ask something.\He's not back for dinner either?\Oh, where's Saito?\What's that? response:	Oh, this?
context: Sorry for being so vulgar.\Saito!\Are you going to get in the way of someone's romance again?!\I just want to ask something.\He's not back for dinner either?\Oh, where's Saito?\What's that?\Oh, this? response:	I feel sorry for him, having such crude meals all the time,
context: Saito!\Are you going to get in the way of someone's romance again?!\I just want to ask something.\He's not back for dinner either?\Oh, where's Saito?\What's that?\Oh, this?\I feel sorry for him, having such crude meals all the time, response:	so I thought about giving him a bit of my meal.
context: Are you going to get in the way of someone's romance again?!\I just want to ask something.\He's not back for dinner either?\Oh, where's Saito?\What's that?\Oh, this?\I feel sorry for him, having such crude meals all the time,\so I thought about giving him a bit of my meal. response:	You're trying to catch his heart through bait now?
context: I just want to ask something.\He's not back for dinner either?\Oh, where's Saito?\What's that?\Oh, this?\I feel sorry for him, having such crude meals all the time,\so I thought about giving him a bit of my meal.\You're trying to catch his heart through bait now? response:	Don't you feed someone else's familiar without permission!
context: He's not back for dinner either?\Oh, where's Saito?\What's that?\Oh, this?\I feel sorry for him, having such crude meals all the time,\so I thought about giving him a bit of my meal.\You're trying to catch his heart through bait now?\Don't you feed someone else's familiar without permission! response:	I can't bait him if he's not here.
context: Oh, where's Saito?\What's that?\Oh, this?\I feel sorry for him, having such crude meals all the time,\so I thought about giving him a bit of my meal.\You're trying to catch his heart through bait now?\Don't you feed someone else's familiar without permission!\I can't bait him if he's not here. response:	Where did he go?
context: What's that?\Oh, this?\I feel sorry for him, having such crude meals all the time,\so I thought about giving him a bit of my meal.\You're trying to catch his heart through bait now?\Don't you feed someone else's familiar without permission!\I can't bait him if he's not here.\Where did he go? response:	He went to go wash dust cloths, and still hasn't come back.
context: Oh, this?\I feel sorry for him, having such crude meals all the time,\so I thought about giving him a bit of my meal.\You're trying to catch his heart through bait now?\Don't you feed someone else's familiar without permission!\I can't bait him if he's not here.\Where did he go?\He went to go wash dust cloths, and still hasn't come back. response:	Where is he wasting time?
context: I feel sorry for him, having such crude meals all the time,\so I thought about giving him a bit of my meal.\You're trying to catch his heart through bait now?\Don't you feed someone else's familiar without permission!\I can't bait him if he's not here.\Where did he go?\He went to go wash dust cloths, and still hasn't come back.\Where is he wasting time? response:	By the way, earlier he asked me for directions to Count Mott's manor.
context: so I thought about giving him a bit of my meal.\You're trying to catch his heart through bait now?\Don't you feed someone else's familiar without permission!\I can't bait him if he's not here.\Where did he go?\He went to go wash dust cloths, and still hasn't come back.\Where is he wasting time?\By the way, earlier he asked me for directions to Count Mott's manor. response:	Count Mott?!
context: You're trying to catch his heart through bait now?\Don't you feed someone else's familiar without permission!\I can't bait him if he's not here.\Where did he go?\He went to go wash dust cloths, and still hasn't come back.\Where is he wasting time?\By the way, earlier he asked me for directions to Count Mott's manor.\Count Mott?! response:	Maybe he got fed up with you and decided to serve a different noble?
context: Don't you feed someone else's familiar without permission!\I can't bait him if he's not here.\Where did he go?\He went to go wash dust cloths, and still hasn't come back.\Where is he wasting time?\By the way, earlier he asked me for directions to Count Mott's manor.\Count Mott?!\Maybe he got fed up with you and decided to serve a different noble? response:	Though I've never heard of a familiar switching masters.
context: I can't bait him if he's not here.\Where did he go?\He went to go wash dust cloths, and still hasn't come back.\Where is he wasting time?\By the way, earlier he asked me for directions to Count Mott's manor.\Count Mott?!\Maybe he got fed up with you and decided to serve a different noble?\Though I've never heard of a familiar switching masters. response:	But this is Louise's familiar.
context: Where did he go?\He went to go wash dust cloths, and still hasn't come back.\Where is he wasting time?\By the way, earlier he asked me for directions to Count Mott's manor.\Count Mott?!\Maybe he got fed up with you and decided to serve a different noble?\Though I've never heard of a familiar switching masters.\But this is Louise's familiar. response:	Oh, that's right!
context: He went to go wash dust cloths, and still hasn't come back.\Where is he wasting time?\By the way, earlier he asked me for directions to Count Mott's manor.\Count Mott?!\Maybe he got fed up with you and decided to serve a different noble?\Though I've never heard of a familiar switching masters.\But this is Louise's familiar.\Oh, that's right! response:	Though I can't possibly imagine Count Mott,
context: Where is he wasting time?\By the way, earlier he asked me for directions to Count Mott's manor.\Count Mott?!\Maybe he got fed up with you and decided to serve a different noble?\Though I've never heard of a familiar switching masters.\But this is Louise's familiar.\Oh, that's right!\Though I can't possibly imagine Count Mott, response:	someone who works in the Palace, using someone like him...
context: By the way, earlier he asked me for directions to Count Mott's manor.\Count Mott?!\Maybe he got fed up with you and decided to serve a different noble?\Though I've never heard of a familiar switching masters.\But this is Louise's familiar.\Oh, that's right!\Though I can't possibly imagine Count Mott,\someone who works in the Palace, using someone like him... response:	Louise?
context: Count Mott?!\Maybe he got fed up with you and decided to serve a different noble?\Though I've never heard of a familiar switching masters.\But this is Louise's familiar.\Oh, that's right!\Though I can't possibly imagine Count Mott,\someone who works in the Palace, using someone like him...\Louise? response:	This is it...
context: Maybe he got fed up with you and decided to serve a different noble?\Though I've never heard of a familiar switching masters.\But this is Louise's familiar.\Oh, that's right!\Though I can't possibly imagine Count Mott,\someone who works in the Palace, using someone like him...\Louise?\This is it... response:	Damn that snob.
context: Though I've never heard of a familiar switching masters.\But this is Louise's familiar.\Oh, that's right!\Though I can't possibly imagine Count Mott,\someone who works in the Palace, using someone like him...\Louise?\This is it...\Damn that snob. response:	He didn't tell me that it was a full hour's walk away!
context: But this is Louise's familiar.\Oh, that's right!\Though I can't possibly imagine Count Mott,\someone who works in the Palace, using someone like him...\Louise?\This is it...\Damn that snob.\He didn't tell me that it was a full hour's walk away! response:	Who are you?
context: Oh, that's right!\Though I can't possibly imagine Count Mott,\someone who works in the Palace, using someone like him...\Louise?\This is it...\Damn that snob.\He didn't tell me that it was a full hour's walk away!\Who are you? response:	Hello...
context: Though I can't possibly imagine Count Mott,\someone who works in the Palace, using someone like him...\Louise?\This is it...\Damn that snob.\He didn't tell me that it was a full hour's walk away!\Who are you?\Hello... response:	How is the work? Have you gotten used to it?
context: someone who works in the Palace, using someone like him...\Louise?\This is it...\Damn that snob.\He didn't tell me that it was a full hour's walk away!\Who are you?\Hello...\How is the work? Have you gotten used to it? response:	Yes. For the most part.
context: Louise?\This is it...\Damn that snob.\He didn't tell me that it was a full hour's walk away!\Who are you?\Hello...\How is the work? Have you gotten used to it?\Yes. For the most part. response:	I see, I see.
context: This is it...\Damn that snob.\He didn't tell me that it was a full hour's walk away!\Who are you?\Hello...\How is the work? Have you gotten used to it?\Yes. For the most part.\I see, I see. response:	Well, don't overexert yourself too much.
context: Damn that snob.\He didn't tell me that it was a full hour's walk away!\Who are you?\Hello...\How is the work? Have you gotten used to it?\Yes. For the most part.\I see, I see.\Well, don't overexert yourself too much. response:	Yes, sir.
context: He didn't tell me that it was a full hour's walk away!\Who are you?\Hello...\How is the work? Have you gotten used to it?\Yes. For the most part.\I see, I see.\Well, don't overexert yourself too much.\Yes, sir. response:	I didn't hire you just for household chores, Siesta.
context: Who are you?\Hello...\How is the work? Have you gotten used to it?\Yes. For the most part.\I see, I see.\Well, don't overexert yourself too much.\Yes, sir.\I didn't hire you just for household chores, Siesta. response:	Um...
context: Hello...\How is the work? Have you gotten used to it?\Yes. For the most part.\I see, I see.\Well, don't overexert yourself too much.\Yes, sir.\I didn't hire you just for household chores, Siesta.\Um... response:	What is it?
context: How is the work? Have you gotten used to it?\Yes. For the most part.\I see, I see.\Well, don't overexert yourself too much.\Yes, sir.\I didn't hire you just for household chores, Siesta.\Um...\What is it? response:	A Saito is here to see you! What is it?
context: Yes. For the most part.\I see, I see.\Well, don't overexert yourself too much.\Yes, sir.\I didn't hire you just for household chores, Siesta.\Um...\What is it?\A Saito is here to see you! What is it? response:	A Saito is here to see you!
context: I see, I see.\Well, don't overexert yourself too much.\Yes, sir.\I didn't hire you just for household chores, Siesta.\Um...\What is it?\A Saito is here to see you! What is it?\A Saito is here to see you! response:	Saito? Never heard of him.
context: Well, don't overexert yourself too much.\Yes, sir.\I didn't hire you just for household chores, Siesta.\Um...\What is it?\A Saito is here to see you! What is it?\A Saito is here to see you!\Saito? Never heard of him. response:	Impossible...
context: Yes, sir.\I didn't hire you just for household chores, Siesta.\Um...\What is it?\A Saito is here to see you! What is it?\A Saito is here to see you!\Saito? Never heard of him.\Impossible... response:	I wondered what it could be, but how meaningless...
context: I didn't hire you just for household chores, Siesta.\Um...\What is it?\A Saito is here to see you! What is it?\A Saito is here to see you!\Saito? Never heard of him.\Impossible...\I wondered what it could be, but how meaningless... response:	Go home!
context: Um...\What is it?\A Saito is here to see you! What is it?\A Saito is here to see you!\Saito? Never heard of him.\Impossible...\I wondered what it could be, but how meaningless...\Go home! response:	Just be thankful that I went out of my way to see a peasant!
context: What is it?\A Saito is here to see you! What is it?\A Saito is here to see you!\Saito? Never heard of him.\Impossible...\I wondered what it could be, but how meaningless...\Go home!\Just be thankful that I went out of my way to see a peasant! response:	Please!
context: A Saito is here to see you! What is it?\A Saito is here to see you!\Saito? Never heard of him.\Impossible...\I wondered what it could be, but how meaningless...\Go home!\Just be thankful that I went out of my way to see a peasant!\Please! response:	If you let Siesta go back to the Institute, I'll do anything!
context: A Saito is here to see you!\Saito? Never heard of him.\Impossible...\I wondered what it could be, but how meaningless...\Go home!\Just be thankful that I went out of my way to see a peasant!\Please!\If you let Siesta go back to the Institute, I'll do anything! response:	What kind of relationship do you have with Siesta?
context: Saito? Never heard of him.\Impossible...\I wondered what it could be, but how meaningless...\Go home!\Just be thankful that I went out of my way to see a peasant!\Please!\If you let Siesta go back to the Institute, I'll do anything!\What kind of relationship do you have with Siesta? response:	Well, we're coworkers that work in the same place,
context: Impossible...\I wondered what it could be, but how meaningless...\Go home!\Just be thankful that I went out of my way to see a peasant!\Please!\If you let Siesta go back to the Institute, I'll do anything!\What kind of relationship do you have with Siesta?\Well, we're coworkers that work in the same place, response:	though we work in different departments.
context: I wondered what it could be, but how meaningless...\Go home!\Just be thankful that I went out of my way to see a peasant!\Please!\If you let Siesta go back to the Institute, I'll do anything!\What kind of relationship do you have with Siesta?\Well, we're coworkers that work in the same place,\though we work in different departments. response:	A servant of the Institute?
context: Go home!\Just be thankful that I went out of my way to see a peasant!\Please!\If you let Siesta go back to the Institute, I'll do anything!\What kind of relationship do you have with Siesta?\Well, we're coworkers that work in the same place,\though we work in different departments.\A servant of the Institute? response:	Um...
context: Just be thankful that I went out of my way to see a peasant!\Please!\If you let Siesta go back to the Institute, I'll do anything!\What kind of relationship do you have with Siesta?\Well, we're coworkers that work in the same place,\though we work in different departments.\A servant of the Institute?\Um... response:	I heard that when a nobleman requests a young girl by name,
context: Please!\If you let Siesta go back to the Institute, I'll do anything!\What kind of relationship do you have with Siesta?\Well, we're coworkers that work in the same place,\though we work in different departments.\A servant of the Institute?\Um...\I heard that when a nobleman requests a young girl by name, response:	it's usually her job to be something like a mistress.
context: If you let Siesta go back to the Institute, I'll do anything!\What kind of relationship do you have with Siesta?\Well, we're coworkers that work in the same place,\though we work in different departments.\A servant of the Institute?\Um...\I heard that when a nobleman requests a young girl by name,\it's usually her job to be something like a mistress. response:	Siesta is an official servant of the Mott household now.
context: What kind of relationship do you have with Siesta?\Well, we're coworkers that work in the same place,\though we work in different departments.\A servant of the Institute?\Um...\I heard that when a nobleman requests a young girl by name,\it's usually her job to be something like a mistress.\Siesta is an official servant of the Mott household now. response:	The master is free to do whatever he wishes to his servants.
context: Well, we're coworkers that work in the same place,\though we work in different departments.\A servant of the Institute?\Um...\I heard that when a nobleman requests a young girl by name,\it's usually her job to be something like a mistress.\Siesta is an official servant of the Mott household now.\The master is free to do whatever he wishes to his servants. response:	Just as I thought!
context: though we work in different departments.\A servant of the Institute?\Um...\I heard that when a nobleman requests a young girl by name,\it's usually her job to be something like a mistress.\Siesta is an official servant of the Mott household now.\The master is free to do whatever he wishes to his servants.\Just as I thought! response:	What of it, say you?
context: A servant of the Institute?\Um...\I heard that when a nobleman requests a young girl by name,\it's usually her job to be something like a mistress.\Siesta is an official servant of the Mott household now.\The master is free to do whatever he wishes to his servants.\Just as I thought!\What of it, say you? response:	A nameless peasant like you,
context: Um...\I heard that when a nobleman requests a young girl by name,\it's usually her job to be something like a mistress.\Siesta is an official servant of the Mott household now.\The master is free to do whatever he wishes to his servants.\Just as I thought!\What of it, say you?\A nameless peasant like you, response:	providing services to a valuable nobleman like me...
context: I heard that when a nobleman requests a young girl by name,\it's usually her job to be something like a mistress.\Siesta is an official servant of the Mott household now.\The master is free to do whatever he wishes to his servants.\Just as I thought!\What of it, say you?\A nameless peasant like you,\providing services to a valuable nobleman like me... response:	There is no greater honor!
context: it's usually her job to be something like a mistress.\Siesta is an official servant of the Mott household now.\The master is free to do whatever he wishes to his servants.\Just as I thought!\What of it, say you?\A nameless peasant like you,\providing services to a valuable nobleman like me...\There is no greater honor! response:	That's full of crap!
context: Siesta is an official servant of the Mott household now.\The master is free to do whatever he wishes to his servants.\Just as I thought!\What of it, say you?\A nameless peasant like you,\providing services to a valuable nobleman like me...\There is no greater honor!\That's full of crap! response:	You're just doing whatever pleases you
