context: No... response:	Please...
context: We won't let them take a single step past here!\Molotov cocktails! Cut loose!\We got help from the American School, too!\We'll drive'em out with the power of their Armed American Football Corps!\I am Ira Gamagoori, Honnouji Academy Tri-City School\KOBE REGION SCHOOL RAID TRIP BRIGADE LEADER IRA GAMAGOORI\Raid Trip Kobe Region School Raid Trip brigade leader!\If you engage in armed resistance, we are prepared to retaliate in kind! response:	Enhanced Disciplinary Committee Members, deploy!
context: Molotov cocktails! Cut loose!\We got help from the American School, too!\We'll drive'em out with the power of their Armed American Football Corps!\I am Ira Gamagoori, Honnouji Academy Tri-City School\KOBE REGION SCHOOL RAID TRIP BRIGADE LEADER IRA GAMAGOORI\Raid Trip Kobe Region School Raid Trip brigade leader!\If you engage in armed resistance, we are prepared to retaliate in kind!\Enhanced Disciplinary Committee Members, deploy! response:	What the hell?
context: We got help from the American School, too!\We'll drive'em out with the power of their Armed American Football Corps!\I am Ira Gamagoori, Honnouji Academy Tri-City School\KOBE REGION SCHOOL RAID TRIP BRIGADE LEADER IRA GAMAGOORI\Raid Trip Kobe Region School Raid Trip brigade leader!\If you engage in armed resistance, we are prepared to retaliate in kind!\Enhanced Disciplinary Committee Members, deploy!\What the hell? response:	We're gonna feed you to our armored protective gear!
context: We'll drive'em out with the power of their Armed American Football Corps!\I am Ira Gamagoori, Honnouji Academy Tri-City School\KOBE REGION SCHOOL RAID TRIP BRIGADE LEADER IRA GAMAGOORI\Raid Trip Kobe Region School Raid Trip brigade leader!\If you engage in armed resistance, we are prepared to retaliate in kind!\Enhanced Disciplinary Committee Members, deploy!\What the hell?\We're gonna feed you to our armored protective gear! response:	All hands, charge!
context: I am Ira Gamagoori, Honnouji Academy Tri-City School\KOBE REGION SCHOOL RAID TRIP BRIGADE LEADER IRA GAMAGOORI\Raid Trip Kobe Region School Raid Trip brigade leader!\If you engage in armed resistance, we are prepared to retaliate in kind!\Enhanced Disciplinary Committee Members, deploy!\What the hell?\We're gonna feed you to our armored protective gear!\All hands, charge! response:	Let's go!
context: KOBE REGION SCHOOL RAID TRIP BRIGADE LEADER IRA GAMAGOORI\Raid Trip Kobe Region School Raid Trip brigade leader!\If you engage in armed resistance, we are prepared to retaliate in kind!\Enhanced Disciplinary Committee Members, deploy!\What the hell?\We're gonna feed you to our armored protective gear!\All hands, charge!\Let's go! response:	Fire!
context: Raid Trip Kobe Region School Raid Trip brigade leader!\If you engage in armed resistance, we are prepared to retaliate in kind!\Enhanced Disciplinary Committee Members, deploy!\What the hell?\We're gonna feed you to our armored protective gear!\All hands, charge!\Let's go!\Fire! response:	Oh, My God!
context: If you engage in armed resistance, we are prepared to retaliate in kind!\Enhanced Disciplinary Committee Members, deploy!\What the hell?\We're gonna feed you to our armored protective gear!\All hands, charge!\Let's go!\Fire!\Oh, My God! response:	What the?
context: Enhanced Disciplinary Committee Members, deploy!\What the hell?\We're gonna feed you to our armored protective gear!\All hands, charge!\Let's go!\Fire!\Oh, My God!\What the? response:	To a student, school regulations are heavier than stone!
context: What the hell?\We're gonna feed you to our armored protective gear!\All hands, charge!\Let's go!\Fire!\Oh, My God!\What the?\To a student, school regulations are heavier than stone! response:	The Disciplinary Guidebook in which these rules
context: We're gonna feed you to our armored protective gear!\All hands, charge!\Let's go!\Fire!\Oh, My God!\What the?\To a student, school regulations are heavier than stone!\The Disciplinary Guidebook in which these rules response:	are inscribed is harder than steel!
context: All hands, charge!\Let's go!\Fire!\Oh, My God!\What the?\To a student, school regulations are heavier than stone!\The Disciplinary Guidebook in which these rules\are inscribed is harder than steel! response:	HONNOUJI ACADEMY DISCIPLINARY GUIDEBOOK
context: Let's go!\Fire!\Oh, My God!\What the?\To a student, school regulations are heavier than stone!\The Disciplinary Guidebook in which these rules\are inscribed is harder than steel!\HONNOUJI ACADEMY DISCIPLINARY GUIDEBOOK response:	Honnouji Academy's school regulations are as steel!
context: Fire!\Oh, My God!\What the?\To a student, school regulations are heavier than stone!\The Disciplinary Guidebook in which these rules\are inscribed is harder than steel!\HONNOUJI ACADEMY DISCIPLINARY GUIDEBOOK\Honnouji Academy's school regulations are as steel! response:	Ironclad rules!
context: Oh, My God!\What the?\To a student, school regulations are heavier than stone!\The Disciplinary Guidebook in which these rules\are inscribed is harder than steel!\HONNOUJI ACADEMY DISCIPLINARY GUIDEBOOK\Honnouji Academy's school regulations are as steel!\Ironclad rules! response:	Do you believe that such armor can stay our ironclad rules?!
context: What the?\To a student, school regulations are heavier than stone!\The Disciplinary Guidebook in which these rules\are inscribed is harder than steel!\HONNOUJI ACADEMY DISCIPLINARY GUIDEBOOK\Honnouji Academy's school regulations are as steel!\Ironclad rules!\Do you believe that such armor can stay our ironclad rules?! response:	Taste our Full Metal Disciplinary Guidebook Regulation Hurricane!
context: To a student, school regulations are heavier than stone!\The Disciplinary Guidebook in which these rules\are inscribed is harder than steel!\HONNOUJI ACADEMY DISCIPLINARY GUIDEBOOK\Honnouji Academy's school regulations are as steel!\Ironclad rules!\Do you believe that such armor can stay our ironclad rules?!\Taste our Full Metal Disciplinary Guidebook Regulation Hurricane! response:	FULL METAL DISCIPLINARY GUIDEBOOK REGULATION HURRICANE
context: The Disciplinary Guidebook in which these rules\are inscribed is harder than steel!\HONNOUJI ACADEMY DISCIPLINARY GUIDEBOOK\Honnouji Academy's school regulations are as steel!\Ironclad rules!\Do you believe that such armor can stay our ironclad rules?!\Taste our Full Metal Disciplinary Guidebook Regulation Hurricane!\FULL METAL DISCIPLINARY GUIDEBOOK REGULATION HURRICANE response:	I-Impossible!
context: are inscribed is harder than steel!\HONNOUJI ACADEMY DISCIPLINARY GUIDEBOOK\Honnouji Academy's school regulations are as steel!\Ironclad rules!\Do you believe that such armor can stay our ironclad rules?!\Taste our Full Metal Disciplinary Guidebook Regulation Hurricane!\FULL METAL DISCIPLINARY GUIDEBOOK REGULATION HURRICANE\I-Impossible! response:	Do you see now the might of Honnouji Academy?!
context: HONNOUJI ACADEMY DISCIPLINARY GUIDEBOOK\Honnouji Academy's school regulations are as steel!\Ironclad rules!\Do you believe that such armor can stay our ironclad rules?!\Taste our Full Metal Disciplinary Guidebook Regulation Hurricane!\FULL METAL DISCIPLINARY GUIDEBOOK REGULATION HURRICANE\I-Impossible!\Do you see now the might of Honnouji Academy?! response:	This is the might of Student Council President Satsuki Kiryuin!
context: Honnouji Academy's school regulations are as steel!\Ironclad rules!\Do you believe that such armor can stay our ironclad rules?!\Taste our Full Metal Disciplinary Guidebook Regulation Hurricane!\FULL METAL DISCIPLINARY GUIDEBOOK REGULATION HURRICANE\I-Impossible!\Do you see now the might of Honnouji Academy?!\This is the might of Student Council President Satsuki Kiryuin! response:	Let's play this fortissimo, everyone!
context: Ironclad rules!\Do you believe that such armor can stay our ironclad rules?!\Taste our Full Metal Disciplinary Guidebook Regulation Hurricane!\FULL METAL DISCIPLINARY GUIDEBOOK REGULATION HURRICANE\I-Impossible!\Do you see now the might of Honnouji Academy?!\This is the might of Student Council President Satsuki Kiryuin!\Let's play this fortissimo, everyone! response:	KYOTO REGION SCHOOL RAID TRIP BRIGADE LEADER NONON JAKUZURE
context: Do you believe that such armor can stay our ironclad rules?!\Taste our Full Metal Disciplinary Guidebook Regulation Hurricane!\FULL METAL DISCIPLINARY GUIDEBOOK REGULATION HURRICANE\I-Impossible!\Do you see now the might of Honnouji Academy?!\This is the might of Student Council President Satsuki Kiryuin!\Let's play this fortissimo, everyone!\KYOTO REGION SCHOOL RAID TRIP BRIGADE LEADER NONON JAKUZURE response:	What's up with this?
context: Taste our Full Metal Disciplinary Guidebook Regulation Hurricane!\FULL METAL DISCIPLINARY GUIDEBOOK REGULATION HURRICANE\I-Impossible!\Do you see now the might of Honnouji Academy?!\This is the might of Student Council President Satsuki Kiryuin!\Let's play this fortissimo, everyone!\KYOTO REGION SCHOOL RAID TRIP BRIGADE LEADER NONON JAKUZURE\What's up with this? response:	Abekamo Academy, which has stood for a
context: FULL METAL DISCIPLINARY GUIDEBOOK REGULATION HURRICANE\I-Impossible!\Do you see now the might of Honnouji Academy?!\This is the might of Student Council President Satsuki Kiryuin!\Let's play this fortissimo, everyone!\KYOTO REGION SCHOOL RAID TRIP BRIGADE LEADER NONON JAKUZURE\What's up with this?\Abekamo Academy, which has stood for a response:	thousand years here in the ancient capital,
context: I-Impossible!\Do you see now the might of Honnouji Academy?!\This is the might of Student Council President Satsuki Kiryuin!\Let's play this fortissimo, everyone!\KYOTO REGION SCHOOL RAID TRIP BRIGADE LEADER NONON JAKUZURE\What's up with this?\Abekamo Academy, which has stood for a\thousand years here in the ancient capital, response:	is the linchpin of Kyoto's defenses!
context: Do you see now the might of Honnouji Academy?!\This is the might of Student Council President Satsuki Kiryuin!\Let's play this fortissimo, everyone!\KYOTO REGION SCHOOL RAID TRIP BRIGADE LEADER NONON JAKUZURE\What's up with this?\Abekamo Academy, which has stood for a\thousand years here in the ancient capital,\is the linchpin of Kyoto's defenses! response:	If you wish to avoid a painful fate, begone at once.
context: This is the might of Student Council President Satsuki Kiryuin!\Let's play this fortissimo, everyone!\KYOTO REGION SCHOOL RAID TRIP BRIGADE LEADER NONON JAKUZURE\What's up with this?\Abekamo Academy, which has stood for a\thousand years here in the ancient capital,\is the linchpin of Kyoto's defenses!\If you wish to avoid a painful fate, begone at once. response:	Fail to do so, and
context: Let's play this fortissimo, everyone!\KYOTO REGION SCHOOL RAID TRIP BRIGADE LEADER NONON JAKUZURE\What's up with this?\Abekamo Academy, which has stood for a\thousand years here in the ancient capital,\is the linchpin of Kyoto's defenses!\If you wish to avoid a painful fate, begone at once.\Fail to do so, and response:	you will be baptized in a flood of demons and monsters.
context: KYOTO REGION SCHOOL RAID TRIP BRIGADE LEADER NONON JAKUZURE\What's up with this?\Abekamo Academy, which has stood for a\thousand years here in the ancient capital,\is the linchpin of Kyoto's defenses!\If you wish to avoid a painful fate, begone at once.\Fail to do so, and\you will be baptized in a flood of demons and monsters. response:	Listen to you, trying to sound big!
context: What's up with this?\Abekamo Academy, which has stood for a\thousand years here in the ancient capital,\is the linchpin of Kyoto's defenses!\If you wish to avoid a painful fate, begone at once.\Fail to do so, and\you will be baptized in a flood of demons and monsters.\Listen to you, trying to sound big! response:	It's not like your school has stood for a thousand years!
context: Abekamo Academy, which has stood for a\thousand years here in the ancient capital,\is the linchpin of Kyoto's defenses!\If you wish to avoid a painful fate, begone at once.\Fail to do so, and\you will be baptized in a flood of demons and monsters.\Listen to you, trying to sound big!\It's not like your school has stood for a thousand years! response:	What are these things?
context: thousand years here in the ancient capital,\is the linchpin of Kyoto's defenses!\If you wish to avoid a painful fate, begone at once.\Fail to do so, and\you will be baptized in a flood of demons and monsters.\Listen to you, trying to sound big!\It's not like your school has stood for a thousand years!\What are these things? response:	They're monsters!
context: is the linchpin of Kyoto's defenses!\If you wish to avoid a painful fate, begone at once.\Fail to do so, and\you will be baptized in a flood of demons and monsters.\Listen to you, trying to sound big!\It's not like your school has stood for a thousand years!\What are these things?\They're monsters! response:	They're gonna eat us!
context: If you wish to avoid a painful fate, begone at once.\Fail to do so, and\you will be baptized in a flood of demons and monsters.\Listen to you, trying to sound big!\It's not like your school has stood for a thousand years!\What are these things?\They're monsters!\They're gonna eat us! response:	Guardian Student of the North, Taro Genbu!
context: Fail to do so, and\you will be baptized in a flood of demons and monsters.\Listen to you, trying to sound big!\It's not like your school has stood for a thousand years!\What are these things?\They're monsters!\They're gonna eat us!\Guardian Student of the North, Taro Genbu! response:	GUARDIAN STUDENT OF THE NORTH TARO GENBU
context: you will be baptized in a flood of demons and monsters.\Listen to you, trying to sound big!\It's not like your school has stood for a thousand years!\What are these things?\They're monsters!\They're gonna eat us!\Guardian Student of the North, Taro Genbu!\GUARDIAN STUDENT OF THE NORTH TARO GENBU response:	Guardian Student of the South, Jiro Suzaku!
context: Listen to you, trying to sound big!\It's not like your school has stood for a thousand years!\What are these things?\They're monsters!\They're gonna eat us!\Guardian Student of the North, Taro Genbu!\GUARDIAN STUDENT OF THE NORTH TARO GENBU\Guardian Student of the South, Jiro Suzaku! response:	GUARDIAN STUDENT OF THE SOUTH JIRO SUZAKU
context: It's not like your school has stood for a thousand years!\What are these things?\They're monsters!\They're gonna eat us!\Guardian Student of the North, Taro Genbu!\GUARDIAN STUDENT OF THE NORTH TARO GENBU\Guardian Student of the South, Jiro Suzaku!\GUARDIAN STUDENT OF THE SOUTH JIRO SUZAKU response:	Guardian Student of the East, Saburo Seiryu!
context: What are these things?\They're monsters!\They're gonna eat us!\Guardian Student of the North, Taro Genbu!\GUARDIAN STUDENT OF THE NORTH TARO GENBU\Guardian Student of the South, Jiro Suzaku!\GUARDIAN STUDENT OF THE SOUTH JIRO SUZAKU\Guardian Student of the East, Saburo Seiryu! response:	GUARDIAN STUDENT OF THE EAST SABURO SEIRYU
context: They're monsters!\They're gonna eat us!\Guardian Student of the North, Taro Genbu!\GUARDIAN STUDENT OF THE NORTH TARO GENBU\Guardian Student of the South, Jiro Suzaku!\GUARDIAN STUDENT OF THE SOUTH JIRO SUZAKU\Guardian Student of the East, Saburo Seiryu!\GUARDIAN STUDENT OF THE EAST SABURO SEIRYU response:	Guardian Student of the West, Shiro Byakko!
context: They're gonna eat us!\Guardian Student of the North, Taro Genbu!\GUARDIAN STUDENT OF THE NORTH TARO GENBU\Guardian Student of the South, Jiro Suzaku!\GUARDIAN STUDENT OF THE SOUTH JIRO SUZAKU\Guardian Student of the East, Saburo Seiryu!\GUARDIAN STUDENT OF THE EAST SABURO SEIRYU\Guardian Student of the West, Shiro Byakko! response:	GUARDIAN STUDENT OF THE WEST SHIRO BYAKKO
context: Guardian Student of the North, Taro Genbu!\GUARDIAN STUDENT OF THE NORTH TARO GENBU\Guardian Student of the South, Jiro Suzaku!\GUARDIAN STUDENT OF THE SOUTH JIRO SUZAKU\Guardian Student of the East, Saburo Seiryu!\GUARDIAN STUDENT OF THE EAST SABURO SEIRYU\Guardian Student of the West, Shiro Byakko!\GUARDIAN STUDENT OF THE WEST SHIRO BYAKKO response:	Do you see? This is the Divine Four Formation,
context: GUARDIAN STUDENT OF THE NORTH TARO GENBU\Guardian Student of the South, Jiro Suzaku!\GUARDIAN STUDENT OF THE SOUTH JIRO SUZAKU\Guardian Student of the East, Saburo Seiryu!\GUARDIAN STUDENT OF THE EAST SABURO SEIRYU\Guardian Student of the West, Shiro Byakko!\GUARDIAN STUDENT OF THE WEST SHIRO BYAKKO\Do you see? This is the Divine Four Formation, response:	the impenetrable defense of Abekamo Academy!
context: Guardian Student of the South, Jiro Suzaku!\GUARDIAN STUDENT OF THE SOUTH JIRO SUZAKU\Guardian Student of the East, Saburo Seiryu!\GUARDIAN STUDENT OF THE EAST SABURO SEIRYU\Guardian Student of the West, Shiro Byakko!\GUARDIAN STUDENT OF THE WEST SHIRO BYAKKO\Do you see? This is the Divine Four Formation,\the impenetrable defense of Abekamo Academy! response:	You Kanto barbarians cannot defeat it!
context: GUARDIAN STUDENT OF THE SOUTH JIRO SUZAKU\Guardian Student of the East, Saburo Seiryu!\GUARDIAN STUDENT OF THE EAST SABURO SEIRYU\Guardian Student of the West, Shiro Byakko!\GUARDIAN STUDENT OF THE WEST SHIRO BYAKKO\Do you see? This is the Divine Four Formation,\the impenetrable defense of Abekamo Academy!\You Kanto barbarians cannot defeat it! response:	What're you talking about?
context: Guardian Student of the East, Saburo Seiryu!\GUARDIAN STUDENT OF THE EAST SABURO SEIRYU\Guardian Student of the West, Shiro Byakko!\GUARDIAN STUDENT OF THE WEST SHIRO BYAKKO\Do you see? This is the Divine Four Formation,\the impenetrable defense of Abekamo Academy!\You Kanto barbarians cannot defeat it!\What're you talking about? response:	It's so obvious that these monsters are all illusions!
context: GUARDIAN STUDENT OF THE EAST SABURO SEIRYU\Guardian Student of the West, Shiro Byakko!\GUARDIAN STUDENT OF THE WEST SHIRO BYAKKO\Do you see? This is the Divine Four Formation,\the impenetrable defense of Abekamo Academy!\You Kanto barbarians cannot defeat it!\What're you talking about?\It's so obvious that these monsters are all illusions! response:	Stay calm, everyone!
context: Guardian Student of the West, Shiro Byakko!\GUARDIAN STUDENT OF THE WEST SHIRO BYAKKO\Do you see? This is the Divine Four Formation,\the impenetrable defense of Abekamo Academy!\You Kanto barbarians cannot defeat it!\What're you talking about?\It's so obvious that these monsters are all illusions!\Stay calm, everyone! response:	This is just a psychological attack!
context: GUARDIAN STUDENT OF THE WEST SHIRO BYAKKO\Do you see? This is the Divine Four Formation,\the impenetrable defense of Abekamo Academy!\You Kanto barbarians cannot defeat it!\What're you talking about?\It's so obvious that these monsters are all illusions!\Stay calm, everyone!\This is just a psychological attack! response:	What fascinating people.
context: Do you see? This is the Divine Four Formation,\the impenetrable defense of Abekamo Academy!\You Kanto barbarians cannot defeat it!\What're you talking about?\It's so obvious that these monsters are all illusions!\Stay calm, everyone!\This is just a psychological attack!\What fascinating people. response:	Would you mind if I fought them for a while?
context: the impenetrable defense of Abekamo Academy!\You Kanto barbarians cannot defeat it!\What're you talking about?\It's so obvious that these monsters are all illusions!\Stay calm, everyone!\This is just a psychological attack!\What fascinating people.\Would you mind if I fought them for a while? response:	Inumuta?! I thought you were in Osaka!
context: You Kanto barbarians cannot defeat it!\What're you talking about?\It's so obvious that these monsters are all illusions!\Stay calm, everyone!\This is just a psychological attack!\What fascinating people.\Would you mind if I fought them for a while?\Inumuta?! I thought you were in Osaka! response:	What are you doing here?
context: What're you talking about?\It's so obvious that these monsters are all illusions!\Stay calm, everyone!\This is just a psychological attack!\What fascinating people.\Would you mind if I fought them for a while?\Inumuta?! I thought you were in Osaka!\What are you doing here? response:	Don't be startled.
context: It's so obvious that these monsters are all illusions!\Stay calm, everyone!\This is just a psychological attack!\What fascinating people.\Would you mind if I fought them for a while?\Inumuta?! I thought you were in Osaka!\What are you doing here?\Don't be startled. response:	This is merely a hologram projected by the Film Club.
context: Stay calm, everyone!\This is just a psychological attack!\What fascinating people.\Would you mind if I fought them for a while?\Inumuta?! I thought you were in Osaka!\What are you doing here?\Don't be startled.\This is merely a hologram projected by the Film Club. response:	Armed Arts Club! Advance!
context: This is just a psychological attack!\What fascinating people.\Would you mind if I fought them for a while?\Inumuta?! I thought you were in Osaka!\What are you doing here?\Don't be startled.\This is merely a hologram projected by the Film Club.\Armed Arts Club! Advance! response:	This is a non-Euclidean space creation ritual calculated by the Math Club.
context: What fascinating people.\Would you mind if I fought them for a while?\Inumuta?! I thought you were in Osaka!\What are you doing here?\Don't be startled.\This is merely a hologram projected by the Film Club.\Armed Arts Club! Advance!\This is a non-Euclidean space creation ritual calculated by the Math Club. response:	Art Club members, use this as a basis for a Paradox Painting!
context: Would you mind if I fought them for a while?\Inumuta?! I thought you were in Osaka!\What are you doing here?\Don't be startled.\This is merely a hologram projected by the Film Club.\Armed Arts Club! Advance!\This is a non-Euclidean space creation ritual calculated by the Math Club.\Art Club members, use this as a basis for a Paradox Painting! response:	Our barrier! Impossible!
context: Inumuta?! I thought you were in Osaka!\What are you doing here?\Don't be startled.\This is merely a hologram projected by the Film Club.\Armed Arts Club! Advance!\This is a non-Euclidean space creation ritual calculated by the Math Club.\Art Club members, use this as a basis for a Paradox Painting!\Our barrier! Impossible! response:	ESCHER TOPOLOGY ATTACK
context: What are you doing here?\Don't be startled.\This is merely a hologram projected by the Film Club.\Armed Arts Club! Advance!\This is a non-Euclidean space creation ritual calculated by the Math Club.\Art Club members, use this as a basis for a Paradox Painting!\Our barrier! Impossible!\ESCHER TOPOLOGY ATTACK response:	An Escher Topology Attack.
context: Don't be startled.\This is merely a hologram projected by the Film Club.\Armed Arts Club! Advance!\This is a non-Euclidean space creation ritual calculated by the Math Club.\Art Club members, use this as a basis for a Paradox Painting!\Our barrier! Impossible!\ESCHER TOPOLOGY ATTACK\An Escher Topology Attack. response:	What's that?
context: This is merely a hologram projected by the Film Club.\Armed Arts Club! Advance!\This is a non-Euclidean space creation ritual calculated by the Math Club.\Art Club members, use this as a basis for a Paradox Painting!\Our barrier! Impossible!\ESCHER TOPOLOGY ATTACK\An Escher Topology Attack.\What's that? response:	The Divine Four Formation employs geomagnetism
context: Armed Arts Club! Advance!\This is a non-Euclidean space creation ritual calculated by the Math Club.\Art Club members, use this as a basis for a Paradox Painting!\Our barrier! Impossible!\ESCHER TOPOLOGY ATTACK\An Escher Topology Attack.\What's that?\The Divine Four Formation employs geomagnetism response:	to envelop this location in special electromagnetic waves,
context: This is a non-Euclidean space creation ritual calculated by the Math Club.\Art Club members, use this as a basis for a Paradox Painting!\Our barrier! Impossible!\ESCHER TOPOLOGY ATTACK\An Escher Topology Attack.\What's that?\The Divine Four Formation employs geomagnetism\to envelop this location in special electromagnetic waves, response:	thereby causing disruptions in the nerve signals of the human brain.
context: Art Club members, use this as a basis for a Paradox Painting!\Our barrier! Impossible!\ESCHER TOPOLOGY ATTACK\An Escher Topology Attack.\What's that?\The Divine Four Formation employs geomagnetism\to envelop this location in special electromagnetic waves,\thereby causing disruptions in the nerve signals of the human brain. response:	The picture they just drew
context: Our barrier! Impossible!\ESCHER TOPOLOGY ATTACK\An Escher Topology Attack.\What's that?\The Divine Four Formation employs geomagnetism\to envelop this location in special electromagnetic waves,\thereby causing disruptions in the nerve signals of the human brain.\The picture they just drew response:	altered this area's phase space and disrupted its geomagnetism!
context: ESCHER TOPOLOGY ATTACK\An Escher Topology Attack.\What's that?\The Divine Four Formation employs geomagnetism\to envelop this location in special electromagnetic waves,\thereby causing disruptions in the nerve signals of the human brain.\The picture they just drew\altered this area's phase space and disrupted its geomagnetism! response:	In short, they have negated their barrier!
context: An Escher Topology Attack.\What's that?\The Divine Four Formation employs geomagnetism\to envelop this location in special electromagnetic waves,\thereby causing disruptions in the nerve signals of the human brain.\The picture they just drew\altered this area's phase space and disrupted its geomagnetism!\In short, they have negated their barrier! response:	I didn't understand a word of that,
context: What's that?\The Divine Four Formation employs geomagnetism\to envelop this location in special electromagnetic waves,\thereby causing disruptions in the nerve signals of the human brain.\The picture they just drew\altered this area's phase space and disrupted its geomagnetism!\In short, they have negated their barrier!\I didn't understand a word of that, response:	but I guess one obnoxious jerk is effective against a bunch of obnoxious jerks.
context: The Divine Four Formation employs geomagnetism\to envelop this location in special electromagnetic waves,\thereby causing disruptions in the nerve signals of the human brain.\The picture they just drew\altered this area's phase space and disrupted its geomagnetism!\In short, they have negated their barrier!\I didn't understand a word of that,\but I guess one obnoxious jerk is effective against a bunch of obnoxious jerks. response:	In that case, you should have no trouble pwning them now. See?
context: to envelop this location in special electromagnetic waves,\thereby causing disruptions in the nerve signals of the human brain.\The picture they just drew\altered this area's phase space and disrupted its geomagnetism!\In short, they have negated their barrier!\I didn't understand a word of that,\but I guess one obnoxious jerk is effective against a bunch of obnoxious jerks.\In that case, you should have no trouble pwning them now. See? response:	You uncouth boors and your strange words!
context: thereby causing disruptions in the nerve signals of the human brain.\The picture they just drew\altered this area's phase space and disrupted its geomagnetism!\In short, they have negated their barrier!\I didn't understand a word of that,\but I guess one obnoxious jerk is effective against a bunch of obnoxious jerks.\In that case, you should have no trouble pwning them now. See?\You uncouth boors and your strange words! response:	You leave us no choice but to fight!
context: The picture they just drew\altered this area's phase space and disrupted its geomagnetism!\In short, they have negated their barrier!\I didn't understand a word of that,\but I guess one obnoxious jerk is effective against a bunch of obnoxious jerks.\In that case, you should have no trouble pwning them now. See?\You uncouth boors and your strange words!\You leave us no choice but to fight! response:	This isn't my scene. I leave them in your capable hands.
context: altered this area's phase space and disrupted its geomagnetism!\In short, they have negated their barrier!\I didn't understand a word of that,\but I guess one obnoxious jerk is effective against a bunch of obnoxious jerks.\In that case, you should have no trouble pwning them now. See?\You uncouth boors and your strange words!\You leave us no choice but to fight!\This isn't my scene. I leave them in your capable hands. response:	Thanks for nothing.
context: In short, they have negated their barrier!\I didn't understand a word of that,\but I guess one obnoxious jerk is effective against a bunch of obnoxious jerks.\In that case, you should have no trouble pwning them now. See?\You uncouth boors and your strange words!\You leave us no choice but to fight!\This isn't my scene. I leave them in your capable hands.\Thanks for nothing. response:	Okay, let's get jazzed up!
context: I didn't understand a word of that,\but I guess one obnoxious jerk is effective against a bunch of obnoxious jerks.\In that case, you should have no trouble pwning them now. See?\You uncouth boors and your strange words!\You leave us no choice but to fight!\This isn't my scene. I leave them in your capable hands.\Thanks for nothing.\Okay, let's get jazzed up! response:	Armed Wind Instrument Club!
context: but I guess one obnoxious jerk is effective against a bunch of obnoxious jerks.\In that case, you should have no trouble pwning them now. See?\You uncouth boors and your strange words!\You leave us no choice but to fight!\This isn't my scene. I leave them in your capable hands.\Thanks for nothing.\Okay, let's get jazzed up!\Armed Wind Instrument Club! response:	Combat Orchestration!
context: In that case, you should have no trouble pwning them now. See?\You uncouth boors and your strange words!\You leave us no choice but to fight!\This isn't my scene. I leave them in your capable hands.\Thanks for nothing.\Okay, let's get jazzed up!\Armed Wind Instrument Club!\Combat Orchestration! response:	Pomp and Circumstance'em!
context: You uncouth boors and your strange words!\You leave us no choice but to fight!\This isn't my scene. I leave them in your capable hands.\Thanks for nothing.\Okay, let's get jazzed up!\Armed Wind Instrument Club!\Combat Orchestration!\Pomp and Circumstance'em! response:	NANIWA KINMAN HIGH SCHOOL STUDENT COUNCIL PRESIDENT KANEO TAKARADA
context: You leave us no choice but to fight!\This isn't my scene. I leave them in your capable hands.\Thanks for nothing.\Okay, let's get jazzed up!\Armed Wind Instrument Club!\Combat Orchestration!\Pomp and Circumstance'em!\NANIWA KINMAN HIGH SCHOOL STUDENT COUNCIL PRESIDENT KANEO TAKARADA response:	I'm surprised you came, worthless slime of Honnouji Academy.
context: This isn't my scene. I leave them in your capable hands.\Thanks for nothing.\Okay, let's get jazzed up!\Armed Wind Instrument Club!\Combat Orchestration!\Pomp and Circumstance'em!\NANIWA KINMAN HIGH SCHOOL STUDENT COUNCIL PRESIDENT KANEO TAKARADA\I'm surprised you came, worthless slime of Honnouji Academy. response:	I am Kaneo Takarada, Naniwa Kinman High School Student Council President!
context: Thanks for nothing.\Okay, let's get jazzed up!\Armed Wind Instrument Club!\Combat Orchestration!\Pomp and Circumstance'em!\NANIWA KINMAN HIGH SCHOOL STUDENT COUNCIL PRESIDENT KANEO TAKARADA\I'm surprised you came, worthless slime of Honnouji Academy.\I am Kaneo Takarada, Naniwa Kinman High School Student Council President! response:	You may have thought you were hot stuff in Kobe and Kyoto,
context: Okay, let's get jazzed up!\Armed Wind Instrument Club!\Combat Orchestration!\Pomp and Circumstance'em!\NANIWA KINMAN HIGH SCHOOL STUDENT COUNCIL PRESIDENT KANEO TAKARADA\I'm surprised you came, worthless slime of Honnouji Academy.\I am Kaneo Takarada, Naniwa Kinman High School Student Council President!\You may have thought you were hot stuff in Kobe and Kyoto, response:	but you're not so tough here in Osaka!
context: Armed Wind Instrument Club!\Combat Orchestration!\Pomp and Circumstance'em!\NANIWA KINMAN HIGH SCHOOL STUDENT COUNCIL PRESIDENT KANEO TAKARADA\I'm surprised you came, worthless slime of Honnouji Academy.\I am Kaneo Takarada, Naniwa Kinman High School Student Council President!\You may have thought you were hot stuff in Kobe and Kyoto,\but you're not so tough here in Osaka! response:	OSAKA REGION SCHOOL RAID TRIP BRIGADE LEADER UZU SANAGEYAMA
context: Combat Orchestration!\Pomp and Circumstance'em!\NANIWA KINMAN HIGH SCHOOL STUDENT COUNCIL PRESIDENT KANEO TAKARADA\I'm surprised you came, worthless slime of Honnouji Academy.\I am Kaneo Takarada, Naniwa Kinman High School Student Council President!\You may have thought you were hot stuff in Kobe and Kyoto,\but you're not so tough here in Osaka!\OSAKA REGION SCHOOL RAID TRIP BRIGADE LEADER UZU SANAGEYAMA response:	Well, well, you've heard rumors of the other cities?
