context: Be gone, Cyverse! response:	The Knights of Hanoi's attacks have made it to the Cyverse...!
context: Due to the removal of the Cyverse the supply of Data Material has steadily been decreasing.\And the performance of the network has fallen by 30.\If the Cyverse remains undiscovered it greater discord will spread throughout the network.\And if that happens the fate of our company's future is quite grim.\We must find Ignis and determine the location of the Cyverse.\Understood.\Revolver-sama.\We've found traces of Ignis. response:	If SOL Technologies gets ahold of Ignis then the Cyverse will be reborn.
context: And the performance of the network has fallen by 30.\If the Cyverse remains undiscovered it greater discord will spread throughout the network.\And if that happens the fate of our company's future is quite grim.\We must find Ignis and determine the location of the Cyverse.\Understood.\Revolver-sama.\We've found traces of Ignis.\If SOL Technologies gets ahold of Ignis then the Cyverse will be reborn. response:	If that occurs then our efforts will have been for naught.
context: If the Cyverse remains undiscovered it greater discord will spread throughout the network.\And if that happens the fate of our company's future is quite grim.\We must find Ignis and determine the location of the Cyverse.\Understood.\Revolver-sama.\We've found traces of Ignis.\If SOL Technologies gets ahold of Ignis then the Cyverse will be reborn.\If that occurs then our efforts will have been for naught. response:	We must find him before SOL Technology.
context: And if that happens the fate of our company's future is quite grim.\We must find Ignis and determine the location of the Cyverse.\Understood.\Revolver-sama.\We've found traces of Ignis.\If SOL Technologies gets ahold of Ignis then the Cyverse will be reborn.\If that occurs then our efforts will have been for naught.\We must find him before SOL Technology. response:	There is one other concern.
context: We must find Ignis and determine the location of the Cyverse.\Understood.\Revolver-sama.\We've found traces of Ignis.\If SOL Technologies gets ahold of Ignis then the Cyverse will be reborn.\If that occurs then our efforts will have been for naught.\We must find him before SOL Technology.\There is one other concern. response:	An individual by the name of Playmaker has been hindering our efforts.
context: Understood.\Revolver-sama.\We've found traces of Ignis.\If SOL Technologies gets ahold of Ignis then the Cyverse will be reborn.\If that occurs then our efforts will have been for naught.\We must find him before SOL Technology.\There is one other concern.\An individual by the name of Playmaker has been hindering our efforts. response:	An agent of SOL Technology, perhaps?
context: Revolver-sama.\We've found traces of Ignis.\If SOL Technologies gets ahold of Ignis then the Cyverse will be reborn.\If that occurs then our efforts will have been for naught.\We must find him before SOL Technology.\There is one other concern.\An individual by the name of Playmaker has been hindering our efforts.\An agent of SOL Technology, perhaps? response:	No... knowing them they'd make moves against us publicly.
context: We've found traces of Ignis.\If SOL Technologies gets ahold of Ignis then the Cyverse will be reborn.\If that occurs then our efforts will have been for naught.\We must find him before SOL Technology.\There is one other concern.\An individual by the name of Playmaker has been hindering our efforts.\An agent of SOL Technology, perhaps?\No... knowing them they'd make moves against us publicly. response:	He has skillfully blocked all of our tracking methods and erased his activity from the Link VRAINS logs.
context: If SOL Technologies gets ahold of Ignis then the Cyverse will be reborn.\If that occurs then our efforts will have been for naught.\We must find him before SOL Technology.\There is one other concern.\An individual by the name of Playmaker has been hindering our efforts.\An agent of SOL Technology, perhaps?\No... knowing them they'd make moves against us publicly.\He has skillfully blocked all of our tracking methods and erased his activity from the Link VRAINS logs. response:	If it's anyone it would be quite an adept hacker.
context: If that occurs then our efforts will have been for naught.\We must find him before SOL Technology.\There is one other concern.\An individual by the name of Playmaker has been hindering our efforts.\An agent of SOL Technology, perhaps?\No... knowing them they'd make moves against us publicly.\He has skillfully blocked all of our tracking methods and erased his activity from the Link VRAINS logs.\If it's anyone it would be quite an adept hacker. response:	That is quite interesting but...
context: We must find him before SOL Technology.\There is one other concern.\An individual by the name of Playmaker has been hindering our efforts.\An agent of SOL Technology, perhaps?\No... knowing them they'd make moves against us publicly.\He has skillfully blocked all of our tracking methods and erased his activity from the Link VRAINS logs.\If it's anyone it would be quite an adept hacker.\That is quite interesting but... response:	Leave that alone for now.
context: There is one other concern.\An individual by the name of Playmaker has been hindering our efforts.\An agent of SOL Technology, perhaps?\No... knowing them they'd make moves against us publicly.\He has skillfully blocked all of our tracking methods and erased his activity from the Link VRAINS logs.\If it's anyone it would be quite an adept hacker.\That is quite interesting but...\Leave that alone for now. response:	Searching for Ignis is our main priority.
context: An individual by the name of Playmaker has been hindering our efforts.\An agent of SOL Technology, perhaps?\No... knowing them they'd make moves against us publicly.\He has skillfully blocked all of our tracking methods and erased his activity from the Link VRAINS logs.\If it's anyone it would be quite an adept hacker.\That is quite interesting but...\Leave that alone for now.\Searching for Ignis is our main priority. response:	Who are those two again?
context: An agent of SOL Technology, perhaps?\No... knowing them they'd make moves against us publicly.\He has skillfully blocked all of our tracking methods and erased his activity from the Link VRAINS logs.\If it's anyone it would be quite an adept hacker.\That is quite interesting but...\Leave that alone for now.\Searching for Ignis is our main priority.\Who are those two again? response:	The Charisma Duelists Go-Onizuka and Blue Angel.
context: No... knowing them they'd make moves against us publicly.\He has skillfully blocked all of our tracking methods and erased his activity from the Link VRAINS logs.\If it's anyone it would be quite an adept hacker.\That is quite interesting but...\Leave that alone for now.\Searching for Ignis is our main priority.\Who are those two again?\The Charisma Duelists Go-Onizuka and Blue Angel. response:	Charisma...huh...
context: He has skillfully blocked all of our tracking methods and erased his activity from the Link VRAINS logs.\If it's anyone it would be quite an adept hacker.\That is quite interesting but...\Leave that alone for now.\Searching for Ignis is our main priority.\Who are those two again?\The Charisma Duelists Go-Onizuka and Blue Angel.\Charisma...huh... response:	Hey, have you heard of a Data Storm?
context: If it's anyone it would be quite an adept hacker.\That is quite interesting but...\Leave that alone for now.\Searching for Ignis is our main priority.\Who are those two again?\The Charisma Duelists Go-Onizuka and Blue Angel.\Charisma...huh...\Hey, have you heard of a Data Storm? response:	No.
context: That is quite interesting but...\Leave that alone for now.\Searching for Ignis is our main priority.\Who are those two again?\The Charisma Duelists Go-Onizuka and Blue Angel.\Charisma...huh...\Hey, have you heard of a Data Storm?\No. response:	Some time ago there was a wind that blew inside of VRAINS called a Data Storm.
context: Leave that alone for now.\Searching for Ignis is our main priority.\Who are those two again?\The Charisma Duelists Go-Onizuka and Blue Angel.\Charisma...huh...\Hey, have you heard of a Data Storm?\No.\Some time ago there was a wind that blew inside of VRAINS called a Data Storm. response:	A certain group of people did something called Speed Duels on it.
context: Searching for Ignis is our main priority.\Who are those two again?\The Charisma Duelists Go-Onizuka and Blue Angel.\Charisma...huh...\Hey, have you heard of a Data Storm?\No.\Some time ago there was a wind that blew inside of VRAINS called a Data Storm.\A certain group of people did something called Speed Duels on it. response:	Speed Duel...
context: Who are those two again?\The Charisma Duelists Go-Onizuka and Blue Angel.\Charisma...huh...\Hey, have you heard of a Data Storm?\No.\Some time ago there was a wind that blew inside of VRAINS called a Data Storm.\A certain group of people did something called Speed Duels on it.\Speed Duel... response:	There were rumors of countless monsters that lived amongst the wind...
context: The Charisma Duelists Go-Onizuka and Blue Angel.\Charisma...huh...\Hey, have you heard of a Data Storm?\No.\Some time ago there was a wind that blew inside of VRAINS called a Data Storm.\A certain group of people did something called Speed Duels on it.\Speed Duel...\There were rumors of countless monsters that lived amongst the wind... response:	And that it lead you to a brand new world.
context: Charisma...huh...\Hey, have you heard of a Data Storm?\No.\Some time ago there was a wind that blew inside of VRAINS called a Data Storm.\A certain group of people did something called Speed Duels on it.\Speed Duel...\There were rumors of countless monsters that lived amongst the wind...\And that it lead you to a brand new world. response:	But that wind has all but vanished now.
context: Hey, have you heard of a Data Storm?\No.\Some time ago there was a wind that blew inside of VRAINS called a Data Storm.\A certain group of people did something called Speed Duels on it.\Speed Duel...\There were rumors of countless monsters that lived amongst the wind...\And that it lead you to a brand new world.\But that wind has all but vanished now. response:	Maybe if you ran into that you'd enjoy Dueling again, Yuusaku.
context: No.\Some time ago there was a wind that blew inside of VRAINS called a Data Storm.\A certain group of people did something called Speed Duels on it.\Speed Duel...\There were rumors of countless monsters that lived amongst the wind...\And that it lead you to a brand new world.\But that wind has all but vanished now.\Maybe if you ran into that you'd enjoy Dueling again, Yuusaku. response:	I feel sorry for you.
context: Some time ago there was a wind that blew inside of VRAINS called a Data Storm.\A certain group of people did something called Speed Duels on it.\Speed Duel...\There were rumors of countless monsters that lived amongst the wind...\And that it lead you to a brand new world.\But that wind has all but vanished now.\Maybe if you ran into that you'd enjoy Dueling again, Yuusaku.\I feel sorry for you. response:	For involving you in all this.
context: A certain group of people did something called Speed Duels on it.\Speed Duel...\There were rumors of countless monsters that lived amongst the wind...\And that it lead you to a brand new world.\But that wind has all but vanished now.\Maybe if you ran into that you'd enjoy Dueling again, Yuusaku.\I feel sorry for you.\For involving you in all this. response:	I'm doing this of my own free will.
context: Speed Duel...\There were rumors of countless monsters that lived amongst the wind...\And that it lead you to a brand new world.\But that wind has all but vanished now.\Maybe if you ran into that you'd enjoy Dueling again, Yuusaku.\I feel sorry for you.\For involving you in all this.\I'm doing this of my own free will. response:	I will get revenge on those who stole your little brother's and my past away!
context: There were rumors of countless monsters that lived amongst the wind...\And that it lead you to a brand new world.\But that wind has all but vanished now.\Maybe if you ran into that you'd enjoy Dueling again, Yuusaku.\I feel sorry for you.\For involving you in all this.\I'm doing this of my own free will.\I will get revenge on those who stole your little brother's and my past away! response:	More importantly, has there been any recent activity?
context: And that it lead you to a brand new world.\But that wind has all but vanished now.\Maybe if you ran into that you'd enjoy Dueling again, Yuusaku.\I feel sorry for you.\For involving you in all this.\I'm doing this of my own free will.\I will get revenge on those who stole your little brother's and my past away!\More importantly, has there been any recent activity? response:	The security in Den City's network has been strengthened.
context: But that wind has all but vanished now.\Maybe if you ran into that you'd enjoy Dueling again, Yuusaku.\I feel sorry for you.\For involving you in all this.\I'm doing this of my own free will.\I will get revenge on those who stole your little brother's and my past away!\More importantly, has there been any recent activity?\The security in Den City's network has been strengthened. response:	It seems SOL Technology is looking for something.
context: Maybe if you ran into that you'd enjoy Dueling again, Yuusaku.\I feel sorry for you.\For involving you in all this.\I'm doing this of my own free will.\I will get revenge on those who stole your little brother's and my past away!\More importantly, has there been any recent activity?\The security in Den City's network has been strengthened.\It seems SOL Technology is looking for something. response:	What is it?
context: I feel sorry for you.\For involving you in all this.\I'm doing this of my own free will.\I will get revenge on those who stole your little brother's and my past away!\More importantly, has there been any recent activity?\The security in Den City's network has been strengthened.\It seems SOL Technology is looking for something.\What is it? response:	There's information that it's an AI program.
context: For involving you in all this.\I'm doing this of my own free will.\I will get revenge on those who stole your little brother's and my past away!\More importantly, has there been any recent activity?\The security in Den City's network has been strengthened.\It seems SOL Technology is looking for something.\What is it?\There's information that it's an AI program. response:	I've never heard of a program on the run before.
context: I'm doing this of my own free will.\I will get revenge on those who stole your little brother's and my past away!\More importantly, has there been any recent activity?\The security in Den City's network has been strengthened.\It seems SOL Technology is looking for something.\What is it?\There's information that it's an AI program.\I've never heard of a program on the run before. response:	There's no way it's sentient like a human...
context: I will get revenge on those who stole your little brother's and my past away!\More importantly, has there been any recent activity?\The security in Den City's network has been strengthened.\It seems SOL Technology is looking for something.\What is it?\There's information that it's an AI program.\I've never heard of a program on the run before.\There's no way it's sentient like a human... response:	In order to find it, it seems highly-likely they'll perform a wide-range scan.
context: More importantly, has there been any recent activity?\The security in Den City's network has been strengthened.\It seems SOL Technology is looking for something.\What is it?\There's information that it's an AI program.\I've never heard of a program on the run before.\There's no way it's sentient like a human...\In order to find it, it seems highly-likely they'll perform a wide-range scan. response:	If that happens they'll be an easy target for Hanoi!
context: The security in Den City's network has been strengthened.\It seems SOL Technology is looking for something.\What is it?\There's information that it's an AI program.\I've never heard of a program on the run before.\There's no way it's sentient like a human...\In order to find it, it seems highly-likely they'll perform a wide-range scan.\If that happens they'll be an easy target for Hanoi! response:	Hold on...
context: It seems SOL Technology is looking for something.\What is it?\There's information that it's an AI program.\I've never heard of a program on the run before.\There's no way it's sentient like a human...\In order to find it, it seems highly-likely they'll perform a wide-range scan.\If that happens they'll be an easy target for Hanoi!\Hold on... response:	Why you-!
context: What is it?\There's information that it's an AI program.\I've never heard of a program on the run before.\There's no way it's sentient like a human...\In order to find it, it seems highly-likely they'll perform a wide-range scan.\If that happens they'll be an easy target for Hanoi!\Hold on...\Why you-! response:	Why are you getting in the way of Hanoi!
context: There's information that it's an AI program.\I've never heard of a program on the run before.\There's no way it's sentient like a human...\In order to find it, it seems highly-likely they'll perform a wide-range scan.\If that happens they'll be an easy target for Hanoi!\Hold on...\Why you-!\Why are you getting in the way of Hanoi! response:	I got it!
context: I've never heard of a program on the run before.\There's no way it's sentient like a human...\In order to find it, it seems highly-likely they'll perform a wide-range scan.\If that happens they'll be an easy target for Hanoi!\Hold on...\Why you-!\Why are you getting in the way of Hanoi!\I got it! response:	That's what it was!
context: There's no way it's sentient like a human...\In order to find it, it seems highly-likely they'll perform a wide-range scan.\If that happens they'll be an easy target for Hanoi!\Hold on...\Why you-!\Why are you getting in the way of Hanoi!\I got it!\That's what it was! response:	Kusanagi-san, things are going to start getting busy!
context: In order to find it, it seems highly-likely they'll perform a wide-range scan.\If that happens they'll be an easy target for Hanoi!\Hold on...\Why you-!\Why are you getting in the way of Hanoi!\I got it!\That's what it was!\Kusanagi-san, things are going to start getting busy! response:	Well yeah, even a stand like this gets its fair share of customers at night...
context: If that happens they'll be an easy target for Hanoi!\Hold on...\Why you-!\Why are you getting in the way of Hanoi!\I got it!\That's what it was!\Kusanagi-san, things are going to start getting busy!\Well yeah, even a stand like this gets its fair share of customers at night... response:	Not that!
context: Hold on...\Why you-!\Why are you getting in the way of Hanoi!\I got it!\That's what it was!\Kusanagi-san, things are going to start getting busy!\Well yeah, even a stand like this gets its fair share of customers at night...\Not that! response:	Hey! I was getting all set for tonight too...
context: Why you-!\Why are you getting in the way of Hanoi!\I got it!\That's what it was!\Kusanagi-san, things are going to start getting busy!\Well yeah, even a stand like this gets its fair share of customers at night...\Not that!\Hey! I was getting all set for tonight too... response:	Make a trap for me.
context: Why are you getting in the way of Hanoi!\I got it!\That's what it was!\Kusanagi-san, things are going to start getting busy!\Well yeah, even a stand like this gets its fair share of customers at night...\Not that!\Hey! I was getting all set for tonight too...\Make a trap for me. response:	We're going to catch that AI!
context: I got it!\That's what it was!\Kusanagi-san, things are going to start getting busy!\Well yeah, even a stand like this gets its fair share of customers at night...\Not that!\Hey! I was getting all set for tonight too...\Make a trap for me.\We're going to catch that AI! response:	Huh?
context: That's what it was!\Kusanagi-san, things are going to start getting busy!\Well yeah, even a stand like this gets its fair share of customers at night...\Not that!\Hey! I was getting all set for tonight too...\Make a trap for me.\We're going to catch that AI!\Huh? response:	Not only SOL Technology but Hanoi is after it too.
context: Kusanagi-san, things are going to start getting busy!\Well yeah, even a stand like this gets its fair share of customers at night...\Not that!\Hey! I was getting all set for tonight too...\Make a trap for me.\We're going to catch that AI!\Huh?\Not only SOL Technology but Hanoi is after it too. response:	If we capture that AI it could be a trump card against Hanoi.
context: Well yeah, even a stand like this gets its fair share of customers at night...\Not that!\Hey! I was getting all set for tonight too...\Make a trap for me.\We're going to catch that AI!\Huh?\Not only SOL Technology but Hanoi is after it too.\If we capture that AI it could be a trump card against Hanoi. response:	You serious?
context: Not that!\Hey! I was getting all set for tonight too...\Make a trap for me.\We're going to catch that AI!\Huh?\Not only SOL Technology but Hanoi is after it too.\If we capture that AI it could be a trump card against Hanoi.\You serious? response:	Even SOL Technology and Hanoi haven't caught it yet!
context: Hey! I was getting all set for tonight too...\Make a trap for me.\We're going to catch that AI!\Huh?\Not only SOL Technology but Hanoi is after it too.\If we capture that AI it could be a trump card against Hanoi.\You serious?\Even SOL Technology and Hanoi haven't caught it yet! response:	Specifically we're not going to catch it, but create an escape route for it.
context: Make a trap for me.\We're going to catch that AI!\Huh?\Not only SOL Technology but Hanoi is after it too.\If we capture that AI it could be a trump card against Hanoi.\You serious?\Even SOL Technology and Hanoi haven't caught it yet!\Specifically we're not going to catch it, but create an escape route for it. response:	This wide-range scan is the perfect chance for that.
context: We're going to catch that AI!\Huh?\Not only SOL Technology but Hanoi is after it too.\If we capture that AI it could be a trump card against Hanoi.\You serious?\Even SOL Technology and Hanoi haven't caught it yet!\Specifically we're not going to catch it, but create an escape route for it.\This wide-range scan is the perfect chance for that. response:	During that he won't have anywhere else to run.
context: Huh?\Not only SOL Technology but Hanoi is after it too.\If we capture that AI it could be a trump card against Hanoi.\You serious?\Even SOL Technology and Hanoi haven't caught it yet!\Specifically we're not going to catch it, but create an escape route for it.\This wide-range scan is the perfect chance for that.\During that he won't have anywhere else to run. response:	And right then is when we're going to create an escape route in the firewall.
context: Not only SOL Technology but Hanoi is after it too.\If we capture that AI it could be a trump card against Hanoi.\You serious?\Even SOL Technology and Hanoi haven't caught it yet!\Specifically we're not going to catch it, but create an escape route for it.\This wide-range scan is the perfect chance for that.\During that he won't have anywhere else to run.\And right then is when we're going to create an escape route in the firewall. response:	Leading to inside of this.
context: If we capture that AI it could be a trump card against Hanoi.\You serious?\Even SOL Technology and Hanoi haven't caught it yet!\Specifically we're not going to catch it, but create an escape route for it.\This wide-range scan is the perfect chance for that.\During that he won't have anywhere else to run.\And right then is when we're going to create an escape route in the firewall.\Leading to inside of this. response:	Impossible.
context: You serious?\Even SOL Technology and Hanoi haven't caught it yet!\Specifically we're not going to catch it, but create an escape route for it.\This wide-range scan is the perfect chance for that.\During that he won't have anywhere else to run.\And right then is when we're going to create an escape route in the firewall.\Leading to inside of this.\Impossible. response:	We don't have enough time.
context: Even SOL Technology and Hanoi haven't caught it yet!\Specifically we're not going to catch it, but create an escape route for it.\This wide-range scan is the perfect chance for that.\During that he won't have anywhere else to run.\And right then is when we're going to create an escape route in the firewall.\Leading to inside of this.\Impossible.\We don't have enough time. response:	It is possible!
context: Specifically we're not going to catch it, but create an escape route for it.\This wide-range scan is the perfect chance for that.\During that he won't have anywhere else to run.\And right then is when we're going to create an escape route in the firewall.\Leading to inside of this.\Impossible.\We don't have enough time.\It is possible! response:	If we work together!
context: This wide-range scan is the perfect chance for that.\During that he won't have anywhere else to run.\And right then is when we're going to create an escape route in the firewall.\Leading to inside of this.\Impossible.\We don't have enough time.\It is possible!\If we work together! response:	All right!
context: During that he won't have anywhere else to run.\And right then is when we're going to create an escape route in the firewall.\Leading to inside of this.\Impossible.\We don't have enough time.\It is possible!\If we work together!\All right! response:	Are all the preparations for the scan complete?
context: And right then is when we're going to create an escape route in the firewall.\Leading to inside of this.\Impossible.\We don't have enough time.\It is possible!\If we work together!\All right!\Are all the preparations for the scan complete? response:	Yes, for some time now.
context: Leading to inside of this.\Impossible.\We don't have enough time.\It is possible!\If we work together!\All right!\Are all the preparations for the scan complete?\Yes, for some time now. response:	Then why haven't you started it?
context: Impossible.\We don't have enough time.\It is possible!\If we work together!\All right!\Are all the preparations for the scan complete?\Yes, for some time now.\Then why haven't you started it? response:	The security level in the city will decline during the scan.
context: We don't have enough time.\It is possible!\If we work together!\All right!\Are all the preparations for the scan complete?\Yes, for some time now.\Then why haven't you started it?\The security level in the city will decline during the scan. response:	If the Knights of Hanoi attack us at that time...
context: It is possible!\If we work together!\All right!\Are all the preparations for the scan complete?\Yes, for some time now.\Then why haven't you started it?\The security level in the city will decline during the scan.\If the Knights of Hanoi attack us at that time... response:	The damage will be enourmous.
context: If we work together!\All right!\Are all the preparations for the scan complete?\Yes, for some time now.\Then why haven't you started it?\The security level in the city will decline during the scan.\If the Knights of Hanoi attack us at that time...\The damage will be enourmous. response:	But is there any other method to find Ignis?
context: All right!\Are all the preparations for the scan complete?\Yes, for some time now.\Then why haven't you started it?\The security level in the city will decline during the scan.\If the Knights of Hanoi attack us at that time...\The damage will be enourmous.\But is there any other method to find Ignis? response:	No...
context: Are all the preparations for the scan complete?\Yes, for some time now.\Then why haven't you started it?\The security level in the city will decline during the scan.\If the Knights of Hanoi attack us at that time...\The damage will be enourmous.\But is there any other method to find Ignis?\No... response:	Are all of your excited for this?!
context: Yes, for some time now.\Then why haven't you started it?\The security level in the city will decline during the scan.\If the Knights of Hanoi attack us at that time...\The damage will be enourmous.\But is there any other method to find Ignis?\No...\Are all of your excited for this?! response:	An exciting Duel by the Charisma Duelists is about to begin in Link VRAINS!
context: Then why haven't you started it?\The security level in the city will decline during the scan.\If the Knights of Hanoi attack us at that time...\The damage will be enourmous.\But is there any other method to find Ignis?\No...\Are all of your excited for this?!\An exciting Duel by the Charisma Duelists is about to begin in Link VRAINS! response:	In our first area using his Gouki Deck, Link VRAINS number one rough-houser...
context: The security level in the city will decline during the scan.\If the Knights of Hanoi attack us at that time...\The damage will be enourmous.\But is there any other method to find Ignis?\No...\Are all of your excited for this?!\An exciting Duel by the Charisma Duelists is about to begin in Link VRAINS!\In our first area using his Gouki Deck, Link VRAINS number one rough-houser... response:	Go-Onizuka!
context: If the Knights of Hanoi attack us at that time...\The damage will be enourmous.\But is there any other method to find Ignis?\No...\Are all of your excited for this?!\An exciting Duel by the Charisma Duelists is about to begin in Link VRAINS!\In our first area using his Gouki Deck, Link VRAINS number one rough-houser...\Go-Onizuka! response:	And the Duel in our second area we have using her Trickster Deck, Link VRAINS' cover-girl...
context: The damage will be enourmous.\But is there any other method to find Ignis?\No...\Are all of your excited for this?!\An exciting Duel by the Charisma Duelists is about to begin in Link VRAINS!\In our first area using his Gouki Deck, Link VRAINS number one rough-houser...\Go-Onizuka!\And the Duel in our second area we have using her Trickster Deck, Link VRAINS' cover-girl... response:	Blue Angel!
context: But is there any other method to find Ignis?\No...\Are all of your excited for this?!\An exciting Duel by the Charisma Duelists is about to begin in Link VRAINS!\In our first area using his Gouki Deck, Link VRAINS number one rough-houser...\Go-Onizuka!\And the Duel in our second area we have using her Trickster Deck, Link VRAINS' cover-girl...\Blue Angel! response:	Hey there!
context: No...\Are all of your excited for this?!\An exciting Duel by the Charisma Duelists is about to begin in Link VRAINS!\In our first area using his Gouki Deck, Link VRAINS number one rough-houser...\Go-Onizuka!\And the Duel in our second area we have using her Trickster Deck, Link VRAINS' cover-girl...\Blue Angel!\Hey there! response:	All of you who can Access, come on in to VRAINS!
context: Are all of your excited for this?!\An exciting Duel by the Charisma Duelists is about to begin in Link VRAINS!\In our first area using his Gouki Deck, Link VRAINS number one rough-houser...\Go-Onizuka!\And the Duel in our second area we have using her Trickster Deck, Link VRAINS' cover-girl...\Blue Angel!\Hey there!\All of you who can Access, come on in to VRAINS! response:	And everyone gathered here keep your eyes on the screen!
context: An exciting Duel by the Charisma Duelists is about to begin in Link VRAINS!\In our first area using his Gouki Deck, Link VRAINS number one rough-houser...\Go-Onizuka!\And the Duel in our second area we have using her Trickster Deck, Link VRAINS' cover-girl...\Blue Angel!\Hey there!\All of you who can Access, come on in to VRAINS!\And everyone gathered here keep your eyes on the screen! response:	Go for it Go-sama!
context: In our first area using his Gouki Deck, Link VRAINS number one rough-houser...\Go-Onizuka!\And the Duel in our second area we have using her Trickster Deck, Link VRAINS' cover-girl...\Blue Angel!\Hey there!\All of you who can Access, come on in to VRAINS!\And everyone gathered here keep your eyes on the screen!\Go for it Go-sama! response:	Blue Angel!
context: Go-Onizuka!\And the Duel in our second area we have using her Trickster Deck, Link VRAINS' cover-girl...\Blue Angel!\Hey there!\All of you who can Access, come on in to VRAINS!\And everyone gathered here keep your eyes on the screen!\Go for it Go-sama!\Blue Angel! response:	Oh man, I don't know which I want to watch more!
context: And the Duel in our second area we have using her Trickster Deck, Link VRAINS' cover-girl...\Blue Angel!\Hey there!\All of you who can Access, come on in to VRAINS!\And everyone gathered here keep your eyes on the screen!\Go for it Go-sama!\Blue Angel!\Oh man, I don't know which I want to watch more! response:	MSD Version 99671 most recent update, complete.
context: Blue Angel!\Hey there!\All of you who can Access, come on in to VRAINS!\And everyone gathered here keep your eyes on the screen!\Go for it Go-sama!\Blue Angel!\Oh man, I don't know which I want to watch more!\MSD Version 99671 most recent update, complete. response:	Estimate time until task completes, 3657 seconds.
context: Hey there!\All of you who can Access, come on in to VRAINS!\And everyone gathered here keep your eyes on the screen!\Go for it Go-sama!\Blue Angel!\Oh man, I don't know which I want to watch more!\MSD Version 99671 most recent update, complete.\Estimate time until task completes, 3657 seconds. response:	Scan program, activate!
context: All of you who can Access, come on in to VRAINS!\And everyone gathered here keep your eyes on the screen!\Go for it Go-sama!\Blue Angel!\Oh man, I don't know which I want to watch more!\MSD Version 99671 most recent update, complete.\Estimate time until task completes, 3657 seconds.\Scan program, activate! response:	This is bad!
context: And everyone gathered here keep your eyes on the screen!\Go for it Go-sama!\Blue Angel!\Oh man, I don't know which I want to watch more!\MSD Version 99671 most recent update, complete.\Estimate time until task completes, 3657 seconds.\Scan program, activate!\This is bad! response:	I won't have anywhere to run!
context: Go for it Go-sama!\Blue Angel!\Oh man, I don't know which I want to watch more!\MSD Version 99671 most recent update, complete.\Estimate time until task completes, 3657 seconds.\Scan program, activate!\This is bad!\I won't have anywhere to run! response:	Hurry up! SOL Technology's scan has started!
context: Blue Angel!\Oh man, I don't know which I want to watch more!\MSD Version 99671 most recent update, complete.\Estimate time until task completes, 3657 seconds.\Scan program, activate!\This is bad!\I won't have anywhere to run!\Hurry up! SOL Technology's scan has started! response:	The security level for Den City has begun declining.
context: Oh man, I don't know which I want to watch more!\MSD Version 99671 most recent update, complete.\Estimate time until task completes, 3657 seconds.\Scan program, activate!\This is bad!\I won't have anywhere to run!\Hurry up! SOL Technology's scan has started!\The security level for Den City has begun declining. response:	This moment is just what we were waiting for.
context: MSD Version 99671 most recent update, complete.\Estimate time until task completes, 3657 seconds.\Scan program, activate!\This is bad!\I won't have anywhere to run!\Hurry up! SOL Technology's scan has started!\The security level for Den City has begun declining.\This moment is just what we were waiting for. response:	Revolver-sama.
context: Estimate time until task completes, 3657 seconds.\Scan program, activate!\This is bad!\I won't have anywhere to run!\Hurry up! SOL Technology's scan has started!\The security level for Den City has begun declining.\This moment is just what we were waiting for.\Revolver-sama. response:	You called?
context: Scan program, activate!\This is bad!\I won't have anywhere to run!\Hurry up! SOL Technology's scan has started!\The security level for Den City has begun declining.\This moment is just what we were waiting for.\Revolver-sama.\You called? response:	He will for sure run away through Link VRAINS.
context: This is bad!\I won't have anywhere to run!\Hurry up! SOL Technology's scan has started!\The security level for Den City has begun declining.\This moment is just what we were waiting for.\Revolver-sama.\You called?\He will for sure run away through Link VRAINS. response:	Use whatever methods necessary to capture Ignis!
context: I won't have anywhere to run!\Hurry up! SOL Technology's scan has started!\The security level for Den City has begun declining.\This moment is just what we were waiting for.\Revolver-sama.\You called?\He will for sure run away through Link VRAINS.\Use whatever methods necessary to capture Ignis! response:	Roger.
context: Hurry up! SOL Technology's scan has started!\The security level for Den City has begun declining.\This moment is just what we were waiting for.\Revolver-sama.\You called?\He will for sure run away through Link VRAINS.\Use whatever methods necessary to capture Ignis!\Roger. response:	IPA 078388, there's an intruder in the system!
context: The security level for Den City has begun declining.\This moment is just what we were waiting for.\Revolver-sama.\You called?\He will for sure run away through Link VRAINS.\Use whatever methods necessary to capture Ignis!\Roger.\IPA 078388, there's an intruder in the system! response:	The firewall is going to break!
context: This moment is just what we were waiting for.\Revolver-sama.\You called?\He will for sure run away through Link VRAINS.\Use whatever methods necessary to capture Ignis!\Roger.\IPA 078388, there's an intruder in the system!\The firewall is going to break! response:	What's going on...?
context: Revolver-sama.\You called?\He will for sure run away through Link VRAINS.\Use whatever methods necessary to capture Ignis!\Roger.\IPA 078388, there's an intruder in the system!\The firewall is going to break!\What's going on...? response:	What the heck is this?
context: You called?\He will for sure run away through Link VRAINS.\Use whatever methods necessary to capture Ignis!\Roger.\IPA 078388, there's an intruder in the system!\The firewall is going to break!\What's going on...?\What the heck is this? response:	This program...
context: He will for sure run away through Link VRAINS.\Use whatever methods necessary to capture Ignis!\Roger.\IPA 078388, there's an intruder in the system!\The firewall is going to break!\What's going on...?\What the heck is this?\This program... response:	It's the Knights of Hanoi!
context: Use whatever methods necessary to capture Ignis!\Roger.\IPA 078388, there's an intruder in the system!\The firewall is going to break!\What's going on...?\What the heck is this?\This program...\It's the Knights of Hanoi! response:	Now they're here huh?
