context: What is it?! A fire? response:	Slaying of demons.
context: It'll be over soon.\I'm counting on you. Frankly, I don't want to die...\Difficult you're not. I'll put you at ease soon.\What is this?\I don't like it.\Inuyasha!\Naraku's toxic insects!\Hiraikotsu! response:	This time, it's dead!
context: I'm counting on you. Frankly, I don't want to die...\Difficult you're not. I'll put you at ease soon.\What is this?\I don't like it.\Inuyasha!\Naraku's toxic insects!\Hiraikotsu!\This time, it's dead! response:	Wait!
context: Difficult you're not. I'll put you at ease soon.\What is this?\I don't like it.\Inuyasha!\Naraku's toxic insects!\Hiraikotsu!\This time, it's dead!\Wait! response:	If he's keeping us under surveillance...
context: What is this?\I don't like it.\Inuyasha!\Naraku's toxic insects!\Hiraikotsu!\This time, it's dead!\Wait!\If he's keeping us under surveillance... response:	something must've happened to Miroku!
context: I don't like it.\Inuyasha!\Naraku's toxic insects!\Hiraikotsu!\This time, it's dead!\Wait!\If he's keeping us under surveillance...\something must've happened to Miroku! response:	I'm following it!
context: Inuyasha!\Naraku's toxic insects!\Hiraikotsu!\This time, it's dead!\Wait!\If he's keeping us under surveillance...\something must've happened to Miroku!\I'm following it! response:	- Okay! - Hey wait!
context: Naraku's toxic insects!\Hiraikotsu!\This time, it's dead!\Wait!\If he's keeping us under surveillance...\something must've happened to Miroku!\I'm following it!\- Okay! - Hey wait! response:	Oh... are you still awake?
context: Hiraikotsu!\This time, it's dead!\Wait!\If he's keeping us under surveillance...\something must've happened to Miroku!\I'm following it!\- Okay! - Hey wait!\Oh... are you still awake? response:	W-who... are you?!
context: This time, it's dead!\Wait!\If he's keeping us under surveillance...\something must've happened to Miroku!\I'm following it!\- Okay! - Hey wait!\Oh... are you still awake?\W-who... are you?! response:	In exchange for a fragment of the Sacred Jewel...
context: Wait!\If he's keeping us under surveillance...\something must've happened to Miroku!\I'm following it!\- Okay! - Hey wait!\Oh... are you still awake?\W-who... are you?!\In exchange for a fragment of the Sacred Jewel... response:	I promised Naraku to kill you...
context: If he's keeping us under surveillance...\something must've happened to Miroku!\I'm following it!\- Okay! - Hey wait!\Oh... are you still awake?\W-who... are you?!\In exchange for a fragment of the Sacred Jewel...\I promised Naraku to kill you... response:	I'm the Demon Worm Charmer.
context: something must've happened to Miroku!\I'm following it!\- Okay! - Hey wait!\Oh... are you still awake?\W-who... are you?!\In exchange for a fragment of the Sacred Jewel...\I promised Naraku to kill you...\I'm the Demon Worm Charmer. response:	Naraku?
context: I'm following it!\- Okay! - Hey wait!\Oh... are you still awake?\W-who... are you?!\In exchange for a fragment of the Sacred Jewel...\I promised Naraku to kill you...\I'm the Demon Worm Charmer.\Naraku? response:	You can't move anymore.
context: - Okay! - Hey wait!\Oh... are you still awake?\W-who... are you?!\In exchange for a fragment of the Sacred Jewel...\I promised Naraku to kill you...\I'm the Demon Worm Charmer.\Naraku?\You can't move anymore. response:	The medicine has numbed your body.
context: Oh... are you still awake?\W-who... are you?!\In exchange for a fragment of the Sacred Jewel...\I promised Naraku to kill you...\I'm the Demon Worm Charmer.\Naraku?\You can't move anymore.\The medicine has numbed your body. response:	Go in peace!
context: W-who... are you?!\In exchange for a fragment of the Sacred Jewel...\I promised Naraku to kill you...\I'm the Demon Worm Charmer.\Naraku?\You can't move anymore.\The medicine has numbed your body.\Go in peace! response:	Miroku!
context: In exchange for a fragment of the Sacred Jewel...\I promised Naraku to kill you...\I'm the Demon Worm Charmer.\Naraku?\You can't move anymore.\The medicine has numbed your body.\Go in peace!\Miroku! response:	My staff!
context: I promised Naraku to kill you...\I'm the Demon Worm Charmer.\Naraku?\You can't move anymore.\The medicine has numbed your body.\Go in peace!\Miroku!\My staff! response:	Err... Umm...
context: I'm the Demon Worm Charmer.\Naraku?\You can't move anymore.\The medicine has numbed your body.\Go in peace!\Miroku!\My staff!\Err... Umm... response:	I won't let you get away!
context: Naraku?\You can't move anymore.\The medicine has numbed your body.\Go in peace!\Miroku!\My staff!\Err... Umm...\I won't let you get away! response:	Hurry and save yourself!
context: You can't move anymore.\The medicine has numbed your body.\Go in peace!\Miroku!\My staff!\Err... Umm...\I won't let you get away!\Hurry and save yourself! response:	Look well... the demons are gathering.
context: The medicine has numbed your body.\Go in peace!\Miroku!\My staff!\Err... Umm...\I won't let you get away!\Hurry and save yourself!\Look well... the demons are gathering. response:	Huh?!
context: Go in peace!\Miroku!\My staff!\Err... Umm...\I won't let you get away!\Hurry and save yourself!\Look well... the demons are gathering.\Huh?! response:	If you stay with me, you'll die.
context: Miroku!\My staff!\Err... Umm...\I won't let you get away!\Hurry and save yourself!\Look well... the demons are gathering.\Huh?!\If you stay with me, you'll die. response:	Master Miroku!
context: My staff!\Err... Umm...\I won't let you get away!\Hurry and save yourself!\Look well... the demons are gathering.\Huh?!\If you stay with me, you'll die.\Master Miroku! response:	Just go!
context: Err... Umm...\I won't let you get away!\Hurry and save yourself!\Look well... the demons are gathering.\Huh?!\If you stay with me, you'll die.\Master Miroku!\Just go! response:	I can ward them off until the medicine wears off.
context: I won't let you get away!\Hurry and save yourself!\Look well... the demons are gathering.\Huh?!\If you stay with me, you'll die.\Master Miroku!\Just go!\I can ward them off until the medicine wears off. response:	B-but!
context: Hurry and save yourself!\Look well... the demons are gathering.\Huh?!\If you stay with me, you'll die.\Master Miroku!\Just go!\I can ward them off until the medicine wears off.\B-but! response:	Just do as I say!
context: Look well... the demons are gathering.\Huh?!\If you stay with me, you'll die.\Master Miroku!\Just go!\I can ward them off until the medicine wears off.\B-but!\Just do as I say! response:	Alright!
context: Huh?!\If you stay with me, you'll die.\Master Miroku!\Just go!\I can ward them off until the medicine wears off.\B-but!\Just do as I say!\Alright! response:	He talked big, bu no way he can handle it alone!
context: If you stay with me, you'll die.\Master Miroku!\Just go!\I can ward them off until the medicine wears off.\B-but!\Just do as I say!\Alright!\He talked big, bu no way he can handle it alone! response:	Inuyasha must be close by!
context: Master Miroku!\Just go!\I can ward them off until the medicine wears off.\B-but!\Just do as I say!\Alright!\He talked big, bu no way he can handle it alone!\Inuyasha must be close by! response:	This is our only clue.
context: Just go!\I can ward them off until the medicine wears off.\B-but!\Just do as I say!\Alright!\He talked big, bu no way he can handle it alone!\Inuyasha must be close by!\This is our only clue. response:	Don't lose it!
context: I can ward them off until the medicine wears off.\B-but!\Just do as I say!\Alright!\He talked big, bu no way he can handle it alone!\Inuyasha must be close by!\This is our only clue.\Don't lose it! response:	What?!
context: B-but!\Just do as I say!\Alright!\He talked big, bu no way he can handle it alone!\Inuyasha must be close by!\This is our only clue.\Don't lose it!\What?! response:	Help!
context: Just do as I say!\Alright!\He talked big, bu no way he can handle it alone!\Inuyasha must be close by!\This is our only clue.\Don't lose it!\What?!\Help! response:	You're!
context: Alright!\He talked big, bu no way he can handle it alone!\Inuyasha must be close by!\This is our only clue.\Don't lose it!\What?!\Help!\You're! response:	Iron-Reaver, Soul-Stealer!
context: He talked big, bu no way he can handle it alone!\Inuyasha must be close by!\This is our only clue.\Don't lose it!\What?!\Help!\You're!\Iron-Reaver, Soul-Stealer! response:	I fool around with a woman and have to pay with my life...
context: Inuyasha must be close by!\This is our only clue.\Don't lose it!\What?!\Help!\You're!\Iron-Reaver, Soul-Stealer!\I fool around with a woman and have to pay with my life... response:	Such is my fate.
context: This is our only clue.\Don't lose it!\What?!\Help!\You're!\Iron-Reaver, Soul-Stealer!\I fool around with a woman and have to pay with my life...\Such is my fate. response:	So this is it.
context: Don't lose it!\What?!\Help!\You're!\Iron-Reaver, Soul-Stealer!\I fool around with a woman and have to pay with my life...\Such is my fate.\So this is it. response:	Miroku is in danger, after all!
context: What?!\Help!\You're!\Iron-Reaver, Soul-Stealer!\I fool around with a woman and have to pay with my life...\Such is my fate.\So this is it.\Miroku is in danger, after all! response:	He can't use his Wind Tunnel right now!
context: Help!\You're!\Iron-Reaver, Soul-Stealer!\I fool around with a woman and have to pay with my life...\Such is my fate.\So this is it.\Miroku is in danger, after all!\He can't use his Wind Tunnel right now! response:	Can't use it?
context: You're!\Iron-Reaver, Soul-Stealer!\I fool around with a woman and have to pay with my life...\Such is my fate.\So this is it.\Miroku is in danger, after all!\He can't use his Wind Tunnel right now!\Can't use it? response:	His Wind Tunnel got nicked.
context: Iron-Reaver, Soul-Stealer!\I fool around with a woman and have to pay with my life...\Such is my fate.\So this is it.\Miroku is in danger, after all!\He can't use his Wind Tunnel right now!\Can't use it?\His Wind Tunnel got nicked. response:	Before the monk became weird he was saying...
context: I fool around with a woman and have to pay with my life...\Such is my fate.\So this is it.\Miroku is in danger, after all!\He can't use his Wind Tunnel right now!\Can't use it?\His Wind Tunnel got nicked.\Before the monk became weird he was saying... response:	if Miroku used his Wind Tunnel...
context: Such is my fate.\So this is it.\Miroku is in danger, after all!\He can't use his Wind Tunnel right now!\Can't use it?\His Wind Tunnel got nicked.\Before the monk became weird he was saying...\if Miroku used his Wind Tunnel... response:	the nicks would allow the hole to spread wider...
context: So this is it.\Miroku is in danger, after all!\He can't use his Wind Tunnel right now!\Can't use it?\His Wind Tunnel got nicked.\Before the monk became weird he was saying...\if Miroku used his Wind Tunnel...\the nicks would allow the hole to spread wider... response:	shortening his life, which is already short.
context: Miroku is in danger, after all!\He can't use his Wind Tunnel right now!\Can't use it?\His Wind Tunnel got nicked.\Before the monk became weird he was saying...\if Miroku used his Wind Tunnel...\the nicks would allow the hole to spread wider...\shortening his life, which is already short. response:	There's the temple!
context: He can't use his Wind Tunnel right now!\Can't use it?\His Wind Tunnel got nicked.\Before the monk became weird he was saying...\if Miroku used his Wind Tunnel...\the nicks would allow the hole to spread wider...\shortening his life, which is already short.\There's the temple! response:	Go right through'em all, Tanuki!
context: Can't use it?\His Wind Tunnel got nicked.\Before the monk became weird he was saying...\if Miroku used his Wind Tunnel...\the nicks would allow the hole to spread wider...\shortening his life, which is already short.\There's the temple!\Go right through'em all, Tanuki! response:	waste my time here!
context: His Wind Tunnel got nicked.\Before the monk became weird he was saying...\if Miroku used his Wind Tunnel...\the nicks would allow the hole to spread wider...\shortening his life, which is already short.\There's the temple!\Go right through'em all, Tanuki!\waste my time here! response:	If you want to eat me, go ahead.
context: Before the monk became weird he was saying...\if Miroku used his Wind Tunnel...\the nicks would allow the hole to spread wider...\shortening his life, which is already short.\There's the temple!\Go right through'em all, Tanuki!\waste my time here!\If you want to eat me, go ahead. response:	Unlike someone else, I accept death with grace.
context: if Miroku used his Wind Tunnel...\the nicks would allow the hole to spread wider...\shortening his life, which is already short.\There's the temple!\Go right through'em all, Tanuki!\waste my time here!\If you want to eat me, go ahead.\Unlike someone else, I accept death with grace. response:	I won't go fighting, like Inuyasha.
context: the nicks would allow the hole to spread wider...\shortening his life, which is already short.\There's the temple!\Go right through'em all, Tanuki!\waste my time here!\If you want to eat me, go ahead.\Unlike someone else, I accept death with grace.\I won't go fighting, like Inuyasha. response:	Miroku!
context: shortening his life, which is already short.\There's the temple!\Go right through'em all, Tanuki!\waste my time here!\If you want to eat me, go ahead.\Unlike someone else, I accept death with grace.\I won't go fighting, like Inuyasha.\Miroku! response:	So this is where you've been hiding!
context: There's the temple!\Go right through'em all, Tanuki!\waste my time here!\If you want to eat me, go ahead.\Unlike someone else, I accept death with grace.\I won't go fighting, like Inuyasha.\Miroku!\So this is where you've been hiding! response:	Inuyasha... you've come for me!
context: Go right through'em all, Tanuki!\waste my time here!\If you want to eat me, go ahead.\Unlike someone else, I accept death with grace.\I won't go fighting, like Inuyasha.\Miroku!\So this is where you've been hiding!\Inuyasha... you've come for me! response:	Miroku, you are!
context: waste my time here!\If you want to eat me, go ahead.\Unlike someone else, I accept death with grace.\I won't go fighting, like Inuyasha.\Miroku!\So this is where you've been hiding!\Inuyasha... you've come for me!\Miroku, you are! response:	Miroku!
context: If you want to eat me, go ahead.\Unlike someone else, I accept death with grace.\I won't go fighting, like Inuyasha.\Miroku!\So this is where you've been hiding!\Inuyasha... you've come for me!\Miroku, you are!\Miroku! response:	Miroku!
context: Unlike someone else, I accept death with grace.\I won't go fighting, like Inuyasha.\Miroku!\So this is where you've been hiding!\Inuyasha... you've come for me!\Miroku, you are!\Miroku!\Miroku! response:	Idiot! Why did you disappear without a word?!
context: I won't go fighting, like Inuyasha.\Miroku!\So this is where you've been hiding!\Inuyasha... you've come for me!\Miroku, you are!\Miroku!\Miroku!\Idiot! Why did you disappear without a word?! response:	How could you?!
context: Miroku!\So this is where you've been hiding!\Inuyasha... you've come for me!\Miroku, you are!\Miroku!\Miroku!\Idiot! Why did you disappear without a word?!\How could you?! response:	We worried so much!
context: So this is where you've been hiding!\Inuyasha... you've come for me!\Miroku, you are!\Miroku!\Miroku!\Idiot! Why did you disappear without a word?!\How could you?!\We worried so much! response:	So you're okay, Monk?
context: Inuyasha... you've come for me!\Miroku, you are!\Miroku!\Miroku!\Idiot! Why did you disappear without a word?!\How could you?!\We worried so much!\So you're okay, Monk? response:	I see...they are all here.
context: Miroku, you are!\Miroku!\Miroku!\Idiot! Why did you disappear without a word?!\How could you?!\We worried so much!\So you're okay, Monk?\I see...they are all here. response:	Inuyasha, say something!
context: Miroku!\Miroku!\Idiot! Why did you disappear without a word?!\How could you?!\We worried so much!\So you're okay, Monk?\I see...they are all here.\Inuyasha, say something! response:	Huh?
context: Miroku!\Idiot! Why did you disappear without a word?!\How could you?!\We worried so much!\So you're okay, Monk?\I see...they are all here.\Inuyasha, say something!\Huh? response:	Never mind!
context: Idiot! Why did you disappear without a word?!\How could you?!\We worried so much!\So you're okay, Monk?\I see...they are all here.\Inuyasha, say something!\Huh?\Never mind! response:	You said everything I meant to say.
context: How could you?!\We worried so much!\So you're okay, Monk?\I see...they are all here.\Inuyasha, say something!\Huh?\Never mind!\You said everything I meant to say. response:	Who goes there?!
context: We worried so much!\So you're okay, Monk?\I see...they are all here.\Inuyasha, say something!\Huh?\Never mind!\You said everything I meant to say.\Who goes there?! response:	I shall punish anyone who disturbs the peace of my temple!
context: So you're okay, Monk?\I see...they are all here.\Inuyasha, say something!\Huh?\Never mind!\You said everything I meant to say.\Who goes there?!\I shall punish anyone who disturbs the peace of my temple! response:	Are you the monk called Mushin?
context: I see...they are all here.\Inuyasha, say something!\Huh?\Never mind!\You said everything I meant to say.\Who goes there?!\I shall punish anyone who disturbs the peace of my temple!\Are you the monk called Mushin? response:	Interesting... fight me if you dare.
context: Inuyasha, say something!\Huh?\Never mind!\You said everything I meant to say.\Who goes there?!\I shall punish anyone who disturbs the peace of my temple!\Are you the monk called Mushin?\Interesting... fight me if you dare. response:	Inuyasha... please... don't kill him!
context: Huh?\Never mind!\You said everything I meant to say.\Who goes there?!\I shall punish anyone who disturbs the peace of my temple!\Are you the monk called Mushin?\Interesting... fight me if you dare.\Inuyasha... please... don't kill him! response:	Good boy! After all, I am the one who raised Miroku.
context: Never mind!\You said everything I meant to say.\Who goes there?!\I shall punish anyone who disturbs the peace of my temple!\Are you the monk called Mushin?\Interesting... fight me if you dare.\Inuyasha... please... don't kill him!\Good boy! After all, I am the one who raised Miroku. response:	Who cares about that?!
context: You said everything I meant to say.\Who goes there?!\I shall punish anyone who disturbs the peace of my temple!\Are you the monk called Mushin?\Interesting... fight me if you dare.\Inuyasha... please... don't kill him!\Good boy! After all, I am the one who raised Miroku.\Who cares about that?! response:	Prepare yourself, you old monk!
context: Who goes there?!\I shall punish anyone who disturbs the peace of my temple!\Are you the monk called Mushin?\Interesting... fight me if you dare.\Inuyasha... please... don't kill him!\Good boy! After all, I am the one who raised Miroku.\Who cares about that?!\Prepare yourself, you old monk! response:	Tetsusaiga's transformation was thwarted!
context: I shall punish anyone who disturbs the peace of my temple!\Are you the monk called Mushin?\Interesting... fight me if you dare.\Inuyasha... please... don't kill him!\Good boy! After all, I am the one who raised Miroku.\Who cares about that?!\Prepare yourself, you old monk!\Tetsusaiga's transformation was thwarted! response:	Iron-Reaver, Soul-Stealer!
context: Are you the monk called Mushin?\Interesting... fight me if you dare.\Inuyasha... please... don't kill him!\Good boy! After all, I am the one who raised Miroku.\Who cares about that?!\Prepare yourself, you old monk!\Tetsusaiga's transformation was thwarted!\Iron-Reaver, Soul-Stealer! response:	Feisty boy...
context: Interesting... fight me if you dare.\Inuyasha... please... don't kill him!\Good boy! After all, I am the one who raised Miroku.\Who cares about that?!\Prepare yourself, you old monk!\Tetsusaiga's transformation was thwarted!\Iron-Reaver, Soul-Stealer!\Feisty boy... response:	Damn! What's going on?!
context: Inuyasha... please... don't kill him!\Good boy! After all, I am the one who raised Miroku.\Who cares about that?!\Prepare yourself, you old monk!\Tetsusaiga's transformation was thwarted!\Iron-Reaver, Soul-Stealer!\Feisty boy...\Damn! What's going on?! response:	You are bound by my special magic, yet you can still move?
context: Good boy! After all, I am the one who raised Miroku.\Who cares about that?!\Prepare yourself, you old monk!\Tetsusaiga's transformation was thwarted!\Iron-Reaver, Soul-Stealer!\Feisty boy...\Damn! What's going on?!\You are bound by my special magic, yet you can still move? response:	But I wonder how long you can last?
context: Who cares about that?!\Prepare yourself, you old monk!\Tetsusaiga's transformation was thwarted!\Iron-Reaver, Soul-Stealer!\Feisty boy...\Damn! What's going on?!\You are bound by my special magic, yet you can still move?\But I wonder how long you can last? response:	W-what's that... coming out of the monk's mouth!?
context: Prepare yourself, you old monk!\Tetsusaiga's transformation was thwarted!\Iron-Reaver, Soul-Stealer!\Feisty boy...\Damn! What's going on?!\You are bound by my special magic, yet you can still move?\But I wonder how long you can last?\W-what's that... coming out of the monk's mouth!? response:	Demon Worms!
context: Tetsusaiga's transformation was thwarted!\Iron-Reaver, Soul-Stealer!\Feisty boy...\Damn! What's going on?!\You are bound by my special magic, yet you can still move?\But I wonder how long you can last?\W-what's that... coming out of the monk's mouth!?\Demon Worms! response:	Old Myoga!
context: Iron-Reaver, Soul-Stealer!\Feisty boy...\Damn! What's going on?!\You are bound by my special magic, yet you can still move?\But I wonder how long you can last?\W-what's that... coming out of the monk's mouth!?\Demon Worms!\Old Myoga! response:	The monk is controlled by that.
context: Feisty boy...\Damn! What's going on?!\You are bound by my special magic, yet you can still move?\But I wonder how long you can last?\W-what's that... coming out of the monk's mouth!?\Demon Worms!\Old Myoga!\The monk is controlled by that. response:	Can't he be saved?
context: Damn! What's going on?!\You are bound by my special magic, yet you can still move?\But I wonder how long you can last?\W-what's that... coming out of the monk's mouth!?\Demon Worms!\Old Myoga!\The monk is controlled by that.\Can't he be saved? response:	There must be a Demon Worm Charmer nearby.
context: You are bound by my special magic, yet you can still move?\But I wonder how long you can last?\W-what's that... coming out of the monk's mouth!?\Demon Worms!\Old Myoga!\The monk is controlled by that.\Can't he be saved?\There must be a Demon Worm Charmer nearby. response:	Find him and take the pot away and aim it at the monk.
context: But I wonder how long you can last?\W-what's that... coming out of the monk's mouth!?\Demon Worms!\Old Myoga!\The monk is controlled by that.\Can't he be saved?\There must be a Demon Worm Charmer nearby.\Find him and take the pot away and aim it at the monk. response:	The Demon Worm will leave him and return to the pot.
context: W-what's that... coming out of the monk's mouth!?\Demon Worms!\Old Myoga!\The monk is controlled by that.\Can't he be saved?\There must be a Demon Worm Charmer nearby.\Find him and take the pot away and aim it at the monk.\The Demon Worm will leave him and return to the pot. response:	All right. Let's search, Old Myoga!
context: Demon Worms!\Old Myoga!\The monk is controlled by that.\Can't he be saved?\There must be a Demon Worm Charmer nearby.\Find him and take the pot away and aim it at the monk.\The Demon Worm will leave him and return to the pot.\All right. Let's search, Old Myoga! response:	What?! Me too?
context: Old Myoga!\The monk is controlled by that.\Can't he be saved?\There must be a Demon Worm Charmer nearby.\Find him and take the pot away and aim it at the monk.\The Demon Worm will leave him and return to the pot.\All right. Let's search, Old Myoga!\What?! Me too? response:	Kagome! What's going on?!
context: The monk is controlled by that.\Can't he be saved?\There must be a Demon Worm Charmer nearby.\Find him and take the pot away and aim it at the monk.\The Demon Worm will leave him and return to the pot.\All right. Let's search, Old Myoga!\What?! Me too?\Kagome! What's going on?! response:	The demons aren't decreasing.
context: Can't he be saved?\There must be a Demon Worm Charmer nearby.\Find him and take the pot away and aim it at the monk.\The Demon Worm will leave him and return to the pot.\All right. Let's search, Old Myoga!\What?! Me too?\Kagome! What's going on?!\The demons aren't decreasing. response:	Inuyasha's in danger too.
context: There must be a Demon Worm Charmer nearby.\Find him and take the pot away and aim it at the monk.\The Demon Worm will leave him and return to the pot.\All right. Let's search, Old Myoga!\What?! Me too?\Kagome! What's going on?!\The demons aren't decreasing.\Inuyasha's in danger too. response:	Sango, I'm glad you're here!
context: Find him and take the pot away and aim it at the monk.\The Demon Worm will leave him and return to the pot.\All right. Let's search, Old Myoga!\What?! Me too?\Kagome! What's going on?!\The demons aren't decreasing.\Inuyasha's in danger too.\Sango, I'm glad you're here! response:	Old Myoga!
context: The Demon Worm will leave him and return to the pot.\All right. Let's search, Old Myoga!\What?! Me too?\Kagome! What's going on?!\The demons aren't decreasing.\Inuyasha's in danger too.\Sango, I'm glad you're here!\Old Myoga! response:	Feel safer over there?
context: All right. Let's search, Old Myoga!\What?! Me too?\Kagome! What's going on?!\The demons aren't decreasing.\Inuyasha's in danger too.\Sango, I'm glad you're here!\Old Myoga!\Feel safer over there? response:	Err... no...
context: What?! Me too?\Kagome! What's going on?!\The demons aren't decreasing.\Inuyasha's in danger too.\Sango, I'm glad you're here!\Old Myoga!\Feel safer over there?\Err... no... response:	Kagome, look!
context: Kagome! What's going on?!\The demons aren't decreasing.\Inuyasha's in danger too.\Sango, I'm glad you're here!\Old Myoga!\Feel safer over there?\Err... no...\Kagome, look! response:	There's no mistake! That's the one!
context: The demons aren't decreasing.\Inuyasha's in danger too.\Sango, I'm glad you're here!\Old Myoga!\Feel safer over there?\Err... no...\Kagome, look!\There's no mistake! That's the one! response:	- He got away! - Let's go after him!
context: Inuyasha's in danger too.\Sango, I'm glad you're here!\Old Myoga!\Feel safer over there?\Err... no...\Kagome, look!\There's no mistake! That's the one!\- He got away! - Let's go after him! response:	These sutra beads are draining my strength...
context: Sango, I'm glad you're here!\Old Myoga!\Feel safer over there?\Err... no...\Kagome, look!\There's no mistake! That's the one!\- He got away! - Let's go after him!\These sutra beads are draining my strength... response:	Damn!
context: Old Myoga!\Feel safer over there?\Err... no...\Kagome, look!\There's no mistake! That's the one!\- He got away! - Let's go after him!\These sutra beads are draining my strength...\Damn! response:	I'm starting to feel weak.
context: Feel safer over there?\Err... no...\Kagome, look!\There's no mistake! That's the one!\- He got away! - Let's go after him!\These sutra beads are draining my strength...\Damn!\I'm starting to feel weak. response:	You no longer have the power to fight back the swarm.
context: Err... no...\Kagome, look!\There's no mistake! That's the one!\- He got away! - Let's go after him!\These sutra beads are draining my strength...\Damn!\I'm starting to feel weak.\You no longer have the power to fight back the swarm. response:	Do you wish to be devoured alive?
context: Kagome, look!\There's no mistake! That's the one!\- He got away! - Let's go after him!\These sutra beads are draining my strength...\Damn!\I'm starting to feel weak.\You no longer have the power to fight back the swarm.\Do you wish to be devoured alive? response:	I shall be benevolent and chop off your head first.
context: There's no mistake! That's the one!\- He got away! - Let's go after him!\These sutra beads are draining my strength...\Damn!\I'm starting to feel weak.\You no longer have the power to fight back the swarm.\Do you wish to be devoured alive?\I shall be benevolent and chop off your head first. response:	Those are scum demons that have no taste.
context: - He got away! - Let's go after him!\These sutra beads are draining my strength...\Damn!\I'm starting to feel weak.\You no longer have the power to fight back the swarm.\Do you wish to be devoured alive?\I shall be benevolent and chop off your head first.\Those are scum demons that have no taste. response:	Scum demons devour only scum!
context: These sutra beads are draining my strength...\Damn!\I'm starting to feel weak.\You no longer have the power to fight back the swarm.\Do you wish to be devoured alive?\I shall be benevolent and chop off your head first.\Those are scum demons that have no taste.\Scum demons devour only scum! response:	Don't get your hopes too high, stinkin' monk!
context: Damn!\I'm starting to feel weak.\You no longer have the power to fight back the swarm.\Do you wish to be devoured alive?\I shall be benevolent and chop off your head first.\Those are scum demons that have no taste.\Scum demons devour only scum!\Don't get your hopes too high, stinkin' monk! response:	Die!
context: I'm starting to feel weak.\You no longer have the power to fight back the swarm.\Do you wish to be devoured alive?\I shall be benevolent and chop off your head first.\Those are scum demons that have no taste.\Scum demons devour only scum!\Don't get your hopes too high, stinkin' monk!\Die! response:	Only I can cure him.
context: You no longer have the power to fight back the swarm.\Do you wish to be devoured alive?\I shall be benevolent and chop off your head first.\Those are scum demons that have no taste.\Scum demons devour only scum!\Don't get your hopes too high, stinkin' monk!\Die!\Only I can cure him. response:	I am the only one who can repair Miroku's Wind Tunnel.
context: Do you wish to be devoured alive?\I shall be benevolent and chop off your head first.\Those are scum demons that have no taste.\Scum demons devour only scum!\Don't get your hopes too high, stinkin' monk!\Die!\Only I can cure him.\I am the only one who can repair Miroku's Wind Tunnel. response:	Left as is, he might all be sucked into it tomorrow.
context: I shall be benevolent and chop off your head first.\Those are scum demons that have no taste.\Scum demons devour only scum!\Don't get your hopes too high, stinkin' monk!\Die!\Only I can cure him.\I am the only one who can repair Miroku's Wind Tunnel.\Left as is, he might all be sucked into it tomorrow. response:	Resign yourself!
context: Those are scum demons that have no taste.\Scum demons devour only scum!\Don't get your hopes too high, stinkin' monk!\Die!\Only I can cure him.\I am the only one who can repair Miroku's Wind Tunnel.\Left as is, he might all be sucked into it tomorrow.\Resign yourself! response:	Everyone in this temple will soon die!
context: Scum demons devour only scum!\Don't get your hopes too high, stinkin' monk!\Die!\Only I can cure him.\I am the only one who can repair Miroku's Wind Tunnel.\Left as is, he might all be sucked into it tomorrow.\Resign yourself!\Everyone in this temple will soon die! response:	Miroku!
context: Don't get your hopes too high, stinkin' monk!\Die!\Only I can cure him.\I am the only one who can repair Miroku's Wind Tunnel.\Left as is, he might all be sucked into it tomorrow.\Resign yourself!\Everyone in this temple will soon die!\Miroku! response:	You can move now!
context: Die!\Only I can cure him.\I am the only one who can repair Miroku's Wind Tunnel.\Left as is, he might all be sucked into it tomorrow.\Resign yourself!\Everyone in this temple will soon die!\Miroku!\You can move now! response:	The Wind Tunnel!
context: Only I can cure him.\I am the only one who can repair Miroku's Wind Tunnel.\Left as is, he might all be sucked into it tomorrow.\Resign yourself!\Everyone in this temple will soon die!\Miroku!\You can move now!\The Wind Tunnel! response:	Hachi... prepare yourself.
context: I am the only one who can repair Miroku's Wind Tunnel.\Left as is, he might all be sucked into it tomorrow.\Resign yourself!\Everyone in this temple will soon die!\Miroku!\You can move now!\The Wind Tunnel!\Hachi... prepare yourself. response:	You and I will probably be sucked in.
context: Left as is, he might all be sucked into it tomorrow.\Resign yourself!\Everyone in this temple will soon die!\Miroku!\You can move now!\The Wind Tunnel!\Hachi... prepare yourself.\You and I will probably be sucked in. response:	Rather than be eaten the their likes...
context: Resign yourself!\Everyone in this temple will soon die!\Miroku!\You can move now!\The Wind Tunnel!\Hachi... prepare yourself.\You and I will probably be sucked in.\Rather than be eaten the their likes... response:	this is much better!
context: Everyone in this temple will soon die!\Miroku!\You can move now!\The Wind Tunnel!\Hachi... prepare yourself.\You and I will probably be sucked in.\Rather than be eaten the their likes...\this is much better! response:	Huh?!
context: Miroku!\You can move now!\The Wind Tunnel!\Hachi... prepare yourself.\You and I will probably be sucked in.\Rather than be eaten the their likes...\this is much better!\Huh?! response:	Yes sir! I'll follow you, Master Miroku!
context: You can move now!\The Wind Tunnel!\Hachi... prepare yourself.\You and I will probably be sucked in.\Rather than be eaten the their likes...\this is much better!\Huh?!\Yes sir! I'll follow you, Master Miroku! response:	Here goes!
context: The Wind Tunnel!\Hachi... prepare yourself.\You and I will probably be sucked in.\Rather than be eaten the their likes...\this is much better!\Huh?!\Yes sir! I'll follow you, Master Miroku!\Here goes! response:	Wind Tunnel!
context: Hachi... prepare yourself.\You and I will probably be sucked in.\Rather than be eaten the their likes...\this is much better!\Huh?!\Yes sir! I'll follow you, Master Miroku!\Here goes!\Wind Tunnel! response:	Hachi! Support me!
