context: Once upon a time, response:	a kind-hearted red ogre lived all by himself
context: Shisuda Municipal Elementary School\What? Seriously?\Is he after kids?\How dare he?!\I got kind of hung up over it, so yesterday...\Shisuda Municipal Elementary School\Huh? What?\He makes me nervous response:	Sir?
context: What? Seriously?\Is he after kids?\How dare he?!\I got kind of hung up over it, so yesterday...\Shisuda Municipal Elementary School\Huh? What?\He makes me nervous\Sir? response:	We got a call that there's a scary guy standing at the school gates...
context: Is he after kids?\How dare he?!\I got kind of hung up over it, so yesterday...\Shisuda Municipal Elementary School\Huh? What?\He makes me nervous\Sir?\We got a call that there's a scary guy standing at the school gates... response:	So yesterday, I got reported to the cops.
context: How dare he?!\I got kind of hung up over it, so yesterday...\Shisuda Municipal Elementary School\Huh? What?\He makes me nervous\Sir?\We got a call that there's a scary guy standing at the school gates...\So yesterday, I got reported to the cops. response:	Girls, this is how he looks when he laughs.
context: I got kind of hung up over it, so yesterday...\Shisuda Municipal Elementary School\Huh? What?\He makes me nervous\Sir?\We got a call that there's a scary guy standing at the school gates...\So yesterday, I got reported to the cops.\Girls, this is how he looks when he laughs. response:	You don't have to laugh so hard!
context: Shisuda Municipal Elementary School\Huh? What?\He makes me nervous\Sir?\We got a call that there's a scary guy standing at the school gates...\So yesterday, I got reported to the cops.\Girls, this is how he looks when he laughs.\You don't have to laugh so hard! response:	Oh, sorry.
context: Huh? What?\He makes me nervous\Sir?\We got a call that there's a scary guy standing at the school gates...\So yesterday, I got reported to the cops.\Girls, this is how he looks when he laughs.\You don't have to laugh so hard!\Oh, sorry. response:	Not that it's a big deal...
context: He makes me nervous\Sir?\We got a call that there's a scary guy standing at the school gates...\So yesterday, I got reported to the cops.\Girls, this is how he looks when he laughs.\You don't have to laugh so hard!\Oh, sorry.\Not that it's a big deal... response:	Hang on, we're almost there.
context: Sir?\We got a call that there's a scary guy standing at the school gates...\So yesterday, I got reported to the cops.\Girls, this is how he looks when he laughs.\You don't have to laugh so hard!\Oh, sorry.\Not that it's a big deal...\Hang on, we're almost there. response:	Whoa!
context: We got a call that there's a scary guy standing at the school gates...\So yesterday, I got reported to the cops.\Girls, this is how he looks when he laughs.\You don't have to laugh so hard!\Oh, sorry.\Not that it's a big deal...\Hang on, we're almost there.\Whoa! response:	That was smooth...
context: So yesterday, I got reported to the cops.\Girls, this is how he looks when he laughs.\You don't have to laugh so hard!\Oh, sorry.\Not that it's a big deal...\Hang on, we're almost there.\Whoa!\That was smooth... response:	Thank you...
context: Girls, this is how he looks when he laughs.\You don't have to laugh so hard!\Oh, sorry.\Not that it's a big deal...\Hang on, we're almost there.\Whoa!\That was smooth...\Thank you... response:	Nice job!
context: You don't have to laugh so hard!\Oh, sorry.\Not that it's a big deal...\Hang on, we're almost there.\Whoa!\That was smooth...\Thank you...\Nice job! response:	He's a real pro.
context: Oh, sorry.\Not that it's a big deal...\Hang on, we're almost there.\Whoa!\That was smooth...\Thank you...\Nice job!\He's a real pro. response:	Ignored?
context: Not that it's a big deal...\Hang on, we're almost there.\Whoa!\That was smooth...\Thank you...\Nice job!\He's a real pro.\Ignored? response:	Here, please.
context: Hang on, we're almost there.\Whoa!\That was smooth...\Thank you...\Nice job!\He's a real pro.\Ignored?\Here, please. response:	Th-Th-Thank you...
context: Whoa!\That was smooth...\Thank you...\Nice job!\He's a real pro.\Ignored?\Here, please.\Th-Th-Thank you... response:	I'm just not a smooth customer like Suna.
context: That was smooth...\Thank you...\Nice job!\He's a real pro.\Ignored?\Here, please.\Th-Th-Thank you...\I'm just not a smooth customer like Suna. response:	Hey.
context: Thank you...\Nice job!\He's a real pro.\Ignored?\Here, please.\Th-Th-Thank you...\I'm just not a smooth customer like Suna.\Hey. response:	That guy... Isn't he kinda sketchy?
context: Nice job!\He's a real pro.\Ignored?\Here, please.\Th-Th-Thank you...\I'm just not a smooth customer like Suna.\Hey.\That guy... Isn't he kinda sketchy? response:	I wonder if he's up to something.
context: He's a real pro.\Ignored?\Here, please.\Th-Th-Thank you...\I'm just not a smooth customer like Suna.\Hey.\That guy... Isn't he kinda sketchy?\I wonder if he's up to something. response:	Get off this train at the next station!
context: Ignored?\Here, please.\Th-Th-Thank you...\I'm just not a smooth customer like Suna.\Hey.\That guy... Isn't he kinda sketchy?\I wonder if he's up to something.\Get off this train at the next station! response:	Hey! Why are you
context: Here, please.\Th-Th-Thank you...\I'm just not a smooth customer like Suna.\Hey.\That guy... Isn't he kinda sketchy?\I wonder if he's up to something.\Get off this train at the next station!\Hey! Why are you response:	Ow!
context: Th-Th-Thank you...\I'm just not a smooth customer like Suna.\Hey.\That guy... Isn't he kinda sketchy?\I wonder if he's up to something.\Get off this train at the next station!\Hey! Why are you\Ow! response:	Thank you.
context: I'm just not a smooth customer like Suna.\Hey.\That guy... Isn't he kinda sketchy?\I wonder if he's up to something.\Get off this train at the next station!\Hey! Why are you\Ow!\Thank you. response:	Thank you.
context: Hey.\That guy... Isn't he kinda sketchy?\I wonder if he's up to something.\Get off this train at the next station!\Hey! Why are you\Ow!\Thank you.\Thank you. response:	Thank you.
context: That guy... Isn't he kinda sketchy?\I wonder if he's up to something.\Get off this train at the next station!\Hey! Why are you\Ow!\Thank you.\Thank you.\Thank you. response:	Thank you.
context: I wonder if he's up to something.\Get off this train at the next station!\Hey! Why are you\Ow!\Thank you.\Thank you.\Thank you.\Thank you. response:	Where do you take losers like him?
context: Get off this train at the next station!\Hey! Why are you\Ow!\Thank you.\Thank you.\Thank you.\Thank you.\Where do you take losers like him? response:	Do we just leave him with someone who works here?
context: Hey! Why are you\Ow!\Thank you.\Thank you.\Thank you.\Thank you.\Where do you take losers like him?\Do we just leave him with someone who works here? response:	We'll take things from here, so you can
context: Ow!\Thank you.\Thank you.\Thank you.\Thank you.\Where do you take losers like him?\Do we just leave him with someone who works here?\We'll take things from here, so you can response:	I'll come, too!
context: Thank you.\Thank you.\Thank you.\Thank you.\Where do you take losers like him?\Do we just leave him with someone who works here?\We'll take things from here, so you can\I'll come, too! response:	A groper?
context: Thank you.\Thank you.\Thank you.\Where do you take losers like him?\Do we just leave him with someone who works here?\We'll take things from here, so you can\I'll come, too!\A groper? response:	You again...
context: Thank you.\Thank you.\Where do you take losers like him?\Do we just leave him with someone who works here?\We'll take things from here, so you can\I'll come, too!\A groper?\You again... response:	You're the one who caught him?
context: Thank you.\Where do you take losers like him?\Do we just leave him with someone who works here?\We'll take things from here, so you can\I'll come, too!\A groper?\You again...\You're the one who caught him? response:	Yes, sir!
context: Where do you take losers like him?\Do we just leave him with someone who works here?\We'll take things from here, so you can\I'll come, too!\A groper?\You again...\You're the one who caught him?\Yes, sir! response:	Oh, you can let go of him now.
context: Do we just leave him with someone who works here?\We'll take things from here, so you can\I'll come, too!\A groper?\You again...\You're the one who caught him?\Yes, sir!\Oh, you can let go of him now. response:	I'll see what he has to say.
context: We'll take things from here, so you can\I'll come, too!\A groper?\You again...\You're the one who caught him?\Yes, sir!\Oh, you can let go of him now.\I'll see what he has to say. response:	Yes, sir!
context: I'll come, too!\A groper?\You again...\You're the one who caught him?\Yes, sir!\Oh, you can let go of him now.\I'll see what he has to say.\Yes, sir! response:	I didn't do nothin'!
context: A groper?\You again...\You're the one who caught him?\Yes, sir!\Oh, you can let go of him now.\I'll see what he has to say.\Yes, sir!\I didn't do nothin'! response:	Give it up already.
context: You again...\You're the one who caught him?\Yes, sir!\Oh, you can let go of him now.\I'll see what he has to say.\Yes, sir!\I didn't do nothin'!\Give it up already. response:	I have no idea what you're talking about!
context: You're the one who caught him?\Yes, sir!\Oh, you can let go of him now.\I'll see what he has to say.\Yes, sir!\I didn't do nothin'!\Give it up already.\I have no idea what you're talking about! response:	Officer, this guy hurt me!
context: Yes, sir!\Oh, you can let go of him now.\I'll see what he has to say.\Yes, sir!\I didn't do nothin'!\Give it up already.\I have no idea what you're talking about!\Officer, this guy hurt me! response:	Can you believe that?
context: Oh, you can let go of him now.\I'll see what he has to say.\Yes, sir!\I didn't do nothin'!\Give it up already.\I have no idea what you're talking about!\Officer, this guy hurt me!\Can you believe that? response:	He grabbed my arm, like this.
context: I'll see what he has to say.\Yes, sir!\I didn't do nothin'!\Give it up already.\I have no idea what you're talking about!\Officer, this guy hurt me!\Can you believe that?\He grabbed my arm, like this. response:	Then he did a number on my neck, like this!
context: Yes, sir!\I didn't do nothin'!\Give it up already.\I have no idea what you're talking about!\Officer, this guy hurt me!\Can you believe that?\He grabbed my arm, like this.\Then he did a number on my neck, like this! response:	Can you believe that?
context: I didn't do nothin'!\Give it up already.\I have no idea what you're talking about!\Officer, this guy hurt me!\Can you believe that?\He grabbed my arm, like this.\Then he did a number on my neck, like this!\Can you believe that? response:	He groped me!
context: Give it up already.\I have no idea what you're talking about!\Officer, this guy hurt me!\Can you believe that?\He grabbed my arm, like this.\Then he did a number on my neck, like this!\Can you believe that?\He groped me! response:	This man helped me!
context: I have no idea what you're talking about!\Officer, this guy hurt me!\Can you believe that?\He grabbed my arm, like this.\Then he did a number on my neck, like this!\Can you believe that?\He groped me!\This man helped me! response:	Huh?
context: Officer, this guy hurt me!\Can you believe that?\He grabbed my arm, like this.\Then he did a number on my neck, like this!\Can you believe that?\He groped me!\This man helped me!\Huh? response:	Look who's talking, with your skirt up to there.
context: Can you believe that?\He grabbed my arm, like this.\Then he did a number on my neck, like this!\Can you believe that?\He groped me!\This man helped me!\Huh?\Look who's talking, with your skirt up to there. response:	You were really asking for it!
context: He grabbed my arm, like this.\Then he did a number on my neck, like this!\Can you believe that?\He groped me!\This man helped me!\Huh?\Look who's talking, with your skirt up to there.\You were really asking for it! response:	Like hell she was, you scumbag!
context: Then he did a number on my neck, like this!\Can you believe that?\He groped me!\This man helped me!\Huh?\Look who's talking, with your skirt up to there.\You were really asking for it!\Like hell she was, you scumbag! response:	Oops.
context: Can you believe that?\He groped me!\This man helped me!\Huh?\Look who's talking, with your skirt up to there.\You were really asking for it!\Like hell she was, you scumbag!\Oops. response:	I got suspended.
context: He groped me!\This man helped me!\Huh?\Look who's talking, with your skirt up to there.\You were really asking for it!\Like hell she was, you scumbag!\Oops.\I got suspended. response:	I'm bored.
context: This man helped me!\Huh?\Look who's talking, with your skirt up to there.\You were really asking for it!\Like hell she was, you scumbag!\Oops.\I got suspended.\I'm bored. response:	Door was open, but just in case...
context: Huh?\Look who's talking, with your skirt up to there.\You were really asking for it!\Like hell she was, you scumbag!\Oops.\I got suspended.\I'm bored.\Door was open, but just in case... response:	Takeo, here are the notes from today.
context: Look who's talking, with your skirt up to there.\You were really asking for it!\Like hell she was, you scumbag!\Oops.\I got suspended.\I'm bored.\Door was open, but just in case...\Takeo, here are the notes from today. response:	Not that you'd study anyway, of course...
context: You were really asking for it!\Like hell she was, you scumbag!\Oops.\I got suspended.\I'm bored.\Door was open, but just in case...\Takeo, here are the notes from today.\Not that you'd study anyway, of course... response:	Cut it out, Suna!
context: Like hell she was, you scumbag!\Oops.\I got suspended.\I'm bored.\Door was open, but just in case...\Takeo, here are the notes from today.\Not that you'd study anyway, of course...\Cut it out, Suna! response:	Gouda!!
context: Oops.\I got suspended.\I'm bored.\Door was open, but just in case...\Takeo, here are the notes from today.\Not that you'd study anyway, of course...\Cut it out, Suna!\Gouda!! response:	Who is it?
context: I got suspended.\I'm bored.\Door was open, but just in case...\Takeo, here are the notes from today.\Not that you'd study anyway, of course...\Cut it out, Suna!\Gouda!!\Who is it? response:	I didn't think you'd go after him.
context: I'm bored.\Door was open, but just in case...\Takeo, here are the notes from today.\Not that you'd study anyway, of course...\Cut it out, Suna!\Gouda!!\Who is it?\I didn't think you'd go after him. response:	Well, I guess I kinda thought you might...
context: Door was open, but just in case...\Takeo, here are the notes from today.\Not that you'd study anyway, of course...\Cut it out, Suna!\Gouda!!\Who is it?\I didn't think you'd go after him.\Well, I guess I kinda thought you might... response:	Then cut me some slack!
context: Takeo, here are the notes from today.\Not that you'd study anyway, of course...\Cut it out, Suna!\Gouda!!\Who is it?\I didn't think you'd go after him.\Well, I guess I kinda thought you might...\Then cut me some slack! response:	I totally didn't think you'd slug him in front of a cop, though.
context: Not that you'd study anyway, of course...\Cut it out, Suna!\Gouda!!\Who is it?\I didn't think you'd go after him.\Well, I guess I kinda thought you might...\Then cut me some slack!\I totally didn't think you'd slug him in front of a cop, though. response:	Well, he pissed me off.
context: Cut it out, Suna!\Gouda!!\Who is it?\I didn't think you'd go after him.\Well, I guess I kinda thought you might...\Then cut me some slack!\I totally didn't think you'd slug him in front of a cop, though.\Well, he pissed me off. response:	Oh, my.
context: Gouda!!\Who is it?\I didn't think you'd go after him.\Well, I guess I kinda thought you might...\Then cut me some slack!\I totally didn't think you'd slug him in front of a cop, though.\Well, he pissed me off.\Oh, my. response:	Hang on a second.
context: Who is it?\I didn't think you'd go after him.\Well, I guess I kinda thought you might...\Then cut me some slack!\I totally didn't think you'd slug him in front of a cop, though.\Well, he pissed me off.\Oh, my.\Hang on a second. response:	Well, I guess so.
context: I didn't think you'd go after him.\Well, I guess I kinda thought you might...\Then cut me some slack!\I totally didn't think you'd slug him in front of a cop, though.\Well, he pissed me off.\Oh, my.\Hang on a second.\Well, I guess so. response:	Take!
context: Well, I guess I kinda thought you might...\Then cut me some slack!\I totally didn't think you'd slug him in front of a cop, though.\Well, he pissed me off.\Oh, my.\Hang on a second.\Well, I guess so.\Take! response:	A girl's here to see you! A girl!
context: Then cut me some slack!\I totally didn't think you'd slug him in front of a cop, though.\Well, he pissed me off.\Oh, my.\Hang on a second.\Well, I guess so.\Take!\A girl's here to see you! A girl! response:	She says she's Yamato-san.
context: I totally didn't think you'd slug him in front of a cop, though.\Well, he pissed me off.\Oh, my.\Hang on a second.\Well, I guess so.\Take!\A girl's here to see you! A girl!\She says she's Yamato-san. response:	Can she come up?
context: Well, he pissed me off.\Oh, my.\Hang on a second.\Well, I guess so.\Take!\A girl's here to see you! A girl!\She says she's Yamato-san.\Can she come up? response:	Sure.
context: Oh, my.\Hang on a second.\Well, I guess so.\Take!\A girl's here to see you! A girl!\She says she's Yamato-san.\Can she come up?\Sure. response:	Who's Yamato?
context: Hang on a second.\Well, I guess so.\Take!\A girl's here to see you! A girl!\She says she's Yamato-san.\Can she come up?\Sure.\Who's Yamato? response:	No idea.
context: Well, I guess so.\Take!\A girl's here to see you! A girl!\She says she's Yamato-san.\Can she come up?\Sure.\Who's Yamato?\No idea. response:	Anyone from our junior high?
context: Take!\A girl's here to see you! A girl!\She says she's Yamato-san.\Can she come up?\Sure.\Who's Yamato?\No idea.\Anyone from our junior high? response:	Actually,
context: A girl's here to see you! A girl!\She says she's Yamato-san.\Can she come up?\Sure.\Who's Yamato?\No idea.\Anyone from our junior high?\Actually, response:	you sure you're okay with a girl in this room?
context: She says she's Yamato-san.\Can she come up?\Sure.\Who's Yamato?\No idea.\Anyone from our junior high?\Actually,\you sure you're okay with a girl in this room? response:	Ask her to wait one sec!
context: Can she come up?\Sure.\Who's Yamato?\No idea.\Anyone from our junior high?\Actually,\you sure you're okay with a girl in this room?\Ask her to wait one sec! response:	Um, I'm already here...
context: Sure.\Who's Yamato?\No idea.\Anyone from our junior high?\Actually,\you sure you're okay with a girl in this room?\Ask her to wait one sec!\Um, I'm already here... response:	Thank you for helping me yesterday.
context: Who's Yamato?\No idea.\Anyone from our junior high?\Actually,\you sure you're okay with a girl in this room?\Ask her to wait one sec!\Um, I'm already here...\Thank you for helping me yesterday. response:	I like her!
context: No idea.\Anyone from our junior high?\Actually,\you sure you're okay with a girl in this room?\Ask her to wait one sec!\Um, I'm already here...\Thank you for helping me yesterday.\I like her! response:	I'll get going.
context: Anyone from our junior high?\Actually,\you sure you're okay with a girl in this room?\Ask her to wait one sec!\Um, I'm already here...\Thank you for helping me yesterday.\I like her!\I'll get going. response:	Huh?
context: Actually,\you sure you're okay with a girl in this room?\Ask her to wait one sec!\Um, I'm already here...\Thank you for helping me yesterday.\I like her!\I'll get going.\Huh? response:	You're leaving?!
context: you sure you're okay with a girl in this room?\Ask her to wait one sec!\Um, I'm already here...\Thank you for helping me yesterday.\I like her!\I'll get going.\Huh?\You're leaving?! response:	Oh...
context: Ask her to wait one sec!\Um, I'm already here...\Thank you for helping me yesterday.\I like her!\I'll get going.\Huh?\You're leaving?!\Oh... response:	This again.
context: Um, I'm already here...\Thank you for helping me yesterday.\I like her!\I'll get going.\Huh?\You're leaving?!\Oh...\This again. response:	No surprise there, I guess.
context: Thank you for helping me yesterday.\I like her!\I'll get going.\Huh?\You're leaving?!\Oh...\This again.\No surprise there, I guess. response:	Oh, um, here...
context: I like her!\I'll get going.\Huh?\You're leaving?!\Oh...\This again.\No surprise there, I guess.\Oh, um, here... response:	I brought this to thank you.
context: I'll get going.\Huh?\You're leaving?!\Oh...\This again.\No surprise there, I guess.\Oh, um, here...\I brought this to thank you. response:	I thought it might be better to share it with more people.
context: Huh?\You're leaving?!\Oh...\This again.\No surprise there, I guess.\Oh, um, here...\I brought this to thank you.\I thought it might be better to share it with more people. response:	Oh, maybe you don't like this.
context: You're leaving?!\Oh...\This again.\No surprise there, I guess.\Oh, um, here...\I brought this to thank you.\I thought it might be better to share it with more people.\Oh, maybe you don't like this. response:	Actually, maybe you think I'm creepy because I came over without asking!
context: Oh...\This again.\No surprise there, I guess.\Oh, um, here...\I brought this to thank you.\I thought it might be better to share it with more people.\Oh, maybe you don't like this.\Actually, maybe you think I'm creepy because I came over without asking! response:	Sorry, I asked at the train station yesterday, and...
context: This again.\No surprise there, I guess.\Oh, um, here...\I brought this to thank you.\I thought it might be better to share it with more people.\Oh, maybe you don't like this.\Actually, maybe you think I'm creepy because I came over without asking!\Sorry, I asked at the train station yesterday, and... response:	No, I love it!
context: No surprise there, I guess.\Oh, um, here...\I brought this to thank you.\I thought it might be better to share it with more people.\Oh, maybe you don't like this.\Actually, maybe you think I'm creepy because I came over without asking!\Sorry, I asked at the train station yesterday, and...\No, I love it! response:	I'm glad.
context: Oh, um, here...\I brought this to thank you.\I thought it might be better to share it with more people.\Oh, maybe you don't like this.\Actually, maybe you think I'm creepy because I came over without asking!\Sorry, I asked at the train station yesterday, and...\No, I love it!\I'm glad. response:	What is this deliciousness?
context: I brought this to thank you.\I thought it might be better to share it with more people.\Oh, maybe you don't like this.\Actually, maybe you think I'm creepy because I came over without asking!\Sorry, I asked at the train station yesterday, and...\No, I love it!\I'm glad.\What is this deliciousness? response:	What kind of cake is this?
context: I thought it might be better to share it with more people.\Oh, maybe you don't like this.\Actually, maybe you think I'm creepy because I came over without asking!\Sorry, I asked at the train station yesterday, and...\No, I love it!\I'm glad.\What is this deliciousness?\What kind of cake is this? response:	It's cheesecake.
context: Oh, maybe you don't like this.\Actually, maybe you think I'm creepy because I came over without asking!\Sorry, I asked at the train station yesterday, and...\No, I love it!\I'm glad.\What is this deliciousness?\What kind of cake is this?\It's cheesecake. response:	You've never had one before?
context: Actually, maybe you think I'm creepy because I came over without asking!\Sorry, I asked at the train station yesterday, and...\No, I love it!\I'm glad.\What is this deliciousness?\What kind of cake is this?\It's cheesecake.\You've never had one before? response:	No!
context: Sorry, I asked at the train station yesterday, and...\No, I love it!\I'm glad.\What is this deliciousness?\What kind of cake is this?\It's cheesecake.\You've never had one before?\No! response:	But now that you mention it, I taste the cheese!
context: No, I love it!\I'm glad.\What is this deliciousness?\What kind of cake is this?\It's cheesecake.\You've never had one before?\No!\But now that you mention it, I taste the cheese! response:	Huh? What are you saying?
context: I'm glad.\What is this deliciousness?\What kind of cake is this?\It's cheesecake.\You've never had one before?\No!\But now that you mention it, I taste the cheese!\Huh? What are you saying? response:	Thanks for the cake.
context: What is this deliciousness?\What kind of cake is this?\It's cheesecake.\You've never had one before?\No!\But now that you mention it, I taste the cheese!\Huh? What are you saying?\Thanks for the cake. response:	Then, I'll really get going.
context: What kind of cake is this?\It's cheesecake.\You've never had one before?\No!\But now that you mention it, I taste the cheese!\Huh? What are you saying?\Thanks for the cake.\Then, I'll really get going. response:	Oh, I guess I should get going, too...
context: It's cheesecake.\You've never had one before?\No!\But now that you mention it, I taste the cheese!\Huh? What are you saying?\Thanks for the cake.\Then, I'll really get going.\Oh, I guess I should get going, too... response:	I'm the one who helped you out, you know.
context: You've never had one before?\No!\But now that you mention it, I taste the cheese!\Huh? What are you saying?\Thanks for the cake.\Then, I'll really get going.\Oh, I guess I should get going, too...\I'm the one who helped you out, you know. response:	Thank you so much.
context: No!\But now that you mention it, I taste the cheese!\Huh? What are you saying?\Thanks for the cake.\Then, I'll really get going.\Oh, I guess I should get going, too...\I'm the one who helped you out, you know.\Thank you so much. response:	But I guess I kind of went off the rails at the end.
context: But now that you mention it, I taste the cheese!\Huh? What are you saying?\Thanks for the cake.\Then, I'll really get going.\Oh, I guess I should get going, too...\I'm the one who helped you out, you know.\Thank you so much.\But I guess I kind of went off the rails at the end. response:	Goodbye.
context: Huh? What are you saying?\Thanks for the cake.\Then, I'll really get going.\Oh, I guess I should get going, too...\I'm the one who helped you out, you know.\Thank you so much.\But I guess I kind of went off the rails at the end.\Goodbye. response:	Well, I got a cake out of it.
context: Thanks for the cake.\Then, I'll really get going.\Oh, I guess I should get going, too...\I'm the one who helped you out, you know.\Thank you so much.\But I guess I kind of went off the rails at the end.\Goodbye.\Well, I got a cake out of it. response:	And it was good, so it's all good.
context: Then, I'll really get going.\Oh, I guess I should get going, too...\I'm the one who helped you out, you know.\Thank you so much.\But I guess I kind of went off the rails at the end.\Goodbye.\Well, I got a cake out of it.\And it was good, so it's all good. response:	I helped a girl who turned out to be a nice girl.
context: Oh, I guess I should get going, too...\I'm the one who helped you out, you know.\Thank you so much.\But I guess I kind of went off the rails at the end.\Goodbye.\Well, I got a cake out of it.\And it was good, so it's all good.\I helped a girl who turned out to be a nice girl. response:	That gives me the strength to go on.
context: I'm the one who helped you out, you know.\Thank you so much.\But I guess I kind of went off the rails at the end.\Goodbye.\Well, I got a cake out of it.\And it was good, so it's all good.\I helped a girl who turned out to be a nice girl.\That gives me the strength to go on. response:	End of story!
context: Thank you so much.\But I guess I kind of went off the rails at the end.\Goodbye.\Well, I got a cake out of it.\And it was good, so it's all good.\I helped a girl who turned out to be a nice girl.\That gives me the strength to go on.\End of story! response:	What's with this pink cell phone?
context: But I guess I kind of went off the rails at the end.\Goodbye.\Well, I got a cake out of it.\And it was good, so it's all good.\I helped a girl who turned out to be a nice girl.\That gives me the strength to go on.\End of story!\What's with this pink cell phone? response:	Incoming Call Public Phone
context: Goodbye.\Well, I got a cake out of it.\And it was good, so it's all good.\I helped a girl who turned out to be a nice girl.\That gives me the strength to go on.\End of story!\What's with this pink cell phone?\Incoming Call Public Phone response:	Is it Suna's?
context: Well, I got a cake out of it.\And it was good, so it's all good.\I helped a girl who turned out to be a nice girl.\That gives me the strength to go on.\End of story!\What's with this pink cell phone?\Incoming Call Public Phone\Is it Suna's? response:	Hello?
context: And it was good, so it's all good.\I helped a girl who turned out to be a nice girl.\That gives me the strength to go on.\End of story!\What's with this pink cell phone?\Incoming Call Public Phone\Is it Suna's?\Hello? response:	Oh!
context: I helped a girl who turned out to be a nice girl.\That gives me the strength to go on.\End of story!\What's with this pink cell phone?\Incoming Call Public Phone\Is it Suna's?\Hello?\Oh! response:	Oh, I thought so!
context: That gives me the strength to go on.\End of story!\What's with this pink cell phone?\Incoming Call Public Phone\Is it Suna's?\Hello?\Oh!\Oh, I thought so! response:	Sorry, I forgot my cell phone.
context: End of story!\What's with this pink cell phone?\Incoming Call Public Phone\Is it Suna's?\Hello?\Oh!\Oh, I thought so!\Sorry, I forgot my cell phone. response:	Ah, I'm Yamato from earlier...
context: What's with this pink cell phone?\Incoming Call Public Phone\Is it Suna's?\Hello?\Oh!\Oh, I thought so!\Sorry, I forgot my cell phone.\Ah, I'm Yamato from earlier... response:	Oh, it's with me, at home.
context: Incoming Call Public Phone\Is it Suna's?\Hello?\Oh!\Oh, I thought so!\Sorry, I forgot my cell phone.\Ah, I'm Yamato from earlier...\Oh, it's with me, at home. response:	I'm so sorry!
context: Is it Suna's?\Hello?\Oh!\Oh, I thought so!\Sorry, I forgot my cell phone.\Ah, I'm Yamato from earlier...\Oh, it's with me, at home.\I'm so sorry! response:	I'll come get it...
context: Hello?\Oh!\Oh, I thought so!\Sorry, I forgot my cell phone.\Ah, I'm Yamato from earlier...\Oh, it's with me, at home.\I'm so sorry!\I'll come get it... response:	When would be a good day for you?
context: Oh!\Oh, I thought so!\Sorry, I forgot my cell phone.\Ah, I'm Yamato from earlier...\Oh, it's with me, at home.\I'm so sorry!\I'll come get it...\When would be a good day for you? response:	Oh, I can just bring it to you, if you tell me where.
context: Oh, I thought so!\Sorry, I forgot my cell phone.\Ah, I'm Yamato from earlier...\Oh, it's with me, at home.\I'm so sorry!\I'll come get it...\When would be a good day for you?\Oh, I can just bring it to you, if you tell me where. response:	Then how about we pick a time and place?
context: Sorry, I forgot my cell phone.\Ah, I'm Yamato from earlier...\Oh, it's with me, at home.\I'm so sorry!\I'll come get it...\When would be a good day for you?\Oh, I can just bring it to you, if you tell me where.\Then how about we pick a time and place? response:	I go to Koizumi Girls Academy,
context: Ah, I'm Yamato from earlier...\Oh, it's with me, at home.\I'm so sorry!\I'll come get it...\When would be a good day for you?\Oh, I can just bring it to you, if you tell me where.\Then how about we pick a time and place?\I go to Koizumi Girls Academy, response:	so how about we meet in front of the fountain in Shisuda Park?
context: Oh, it's with me, at home.\I'm so sorry!\I'll come get it...\When would be a good day for you?\Oh, I can just bring it to you, if you tell me where.\Then how about we pick a time and place?\I go to Koizumi Girls Academy,\so how about we meet in front of the fountain in Shisuda Park? response:	Sure.
context: I'm so sorry!\I'll come get it...\When would be a good day for you?\Oh, I can just bring it to you, if you tell me where.\Then how about we pick a time and place?\I go to Koizumi Girls Academy,\so how about we meet in front of the fountain in Shisuda Park?\Sure. response:	Um, how about tomorrow?
context: I'll come get it...\When would be a good day for you?\Oh, I can just bring it to you, if you tell me where.\Then how about we pick a time and place?\I go to Koizumi Girls Academy,\so how about we meet in front of the fountain in Shisuda Park?\Sure.\Um, how about tomorrow? response:	Sure.
context: When would be a good day for you?\Oh, I can just bring it to you, if you tell me where.\Then how about we pick a time and place?\I go to Koizumi Girls Academy,\so how about we meet in front of the fountain in Shisuda Park?\Sure.\Um, how about tomorrow?\Sure. response:	After school, around three o'clock?
context: Oh, I can just bring it to you, if you tell me where.\Then how about we pick a time and place?\I go to Koizumi Girls Academy,\so how about we meet in front of the fountain in Shisuda Park?\Sure.\Um, how about tomorrow?\Sure.\After school, around three o'clock? response:	Guess it isn't end of story yet.
context: Then how about we pick a time and place?\I go to Koizumi Girls Academy,\so how about we meet in front of the fountain in Shisuda Park?\Sure.\Um, how about tomorrow?\Sure.\After school, around three o'clock?\Guess it isn't end of story yet. response:	What's with the smartphone?
context: I go to Koizumi Girls Academy,\so how about we meet in front of the fountain in Shisuda Park?\Sure.\Um, how about tomorrow?\Sure.\After school, around three o'clock?\Guess it isn't end of story yet.\What's with the smartphone? response:	You buy it?
context: so how about we meet in front of the fountain in Shisuda Park?\Sure.\Um, how about tomorrow?\Sure.\After school, around three o'clock?\Guess it isn't end of story yet.\What's with the smartphone?\You buy it? response:	The girl from yesterday forgot it at my place.
context: Sure.\Um, how about tomorrow?\Sure.\After school, around three o'clock?\Guess it isn't end of story yet.\What's with the smartphone?\You buy it?\The girl from yesterday forgot it at my place. response:	I'm going to return it to her now.
context: Um, how about tomorrow?\Sure.\After school, around three o'clock?\Guess it isn't end of story yet.\What's with the smartphone?\You buy it?\The girl from yesterday forgot it at my place.\I'm going to return it to her now. response:	Oh...
context: Sure.\After school, around three o'clock?\Guess it isn't end of story yet.\What's with the smartphone?\You buy it?\The girl from yesterday forgot it at my place.\I'm going to return it to her now.\Oh... response:	Good luck
