context: You're Old Now response:	A letter?
context: Amatsu-sensei, could you not stand so close?\If we shout over each other, nobody will hear us.\Usa-sensei, your voice is stupid loud, so I'm sure it'll be fine.\If you've got a problem, move yourself.\Class 4's homeroom teacher, Usa-sensei, was Amatsu-sensei's senior in college.\Oh? They're pretty close, huh?\Huh? How so?\Oga, you really suck at this stuff. response:	Let's go in order of roll number.
context: If we shout over each other, nobody will hear us.\Usa-sensei, your voice is stupid loud, so I'm sure it'll be fine.\If you've got a problem, move yourself.\Class 4's homeroom teacher, Usa-sensei, was Amatsu-sensei's senior in college.\Oh? They're pretty close, huh?\Huh? How so?\Oga, you really suck at this stuff.\Let's go in order of roll number. response:	Starting with Asaji.
context: Usa-sensei, your voice is stupid loud, so I'm sure it'll be fine.\If you've got a problem, move yourself.\Class 4's homeroom teacher, Usa-sensei, was Amatsu-sensei's senior in college.\Oh? They're pretty close, huh?\Huh? How so?\Oga, you really suck at this stuff.\Let's go in order of roll number.\Starting with Asaji. response:	Here!
context: If you've got a problem, move yourself.\Class 4's homeroom teacher, Usa-sensei, was Amatsu-sensei's senior in college.\Oh? They're pretty close, huh?\Huh? How so?\Oga, you really suck at this stuff.\Let's go in order of roll number.\Starting with Asaji.\Here! response:	Set a record!
context: Class 4's homeroom teacher, Usa-sensei, was Amatsu-sensei's senior in college.\Oh? They're pretty close, huh?\Huh? How so?\Oga, you really suck at this stuff.\Let's go in order of roll number.\Starting with Asaji.\Here!\Set a record! response:	Huh? I... I'll try.
context: Oh? They're pretty close, huh?\Huh? How so?\Oga, you really suck at this stuff.\Let's go in order of roll number.\Starting with Asaji.\Here!\Set a record!\Huh? I... I'll try. response:	45 meters!
context: Huh? How so?\Oga, you really suck at this stuff.\Let's go in order of roll number.\Starting with Asaji.\Here!\Set a record!\Huh? I... I'll try.\45 meters! response:	Okay. Thanks.
context: Oga, you really suck at this stuff.\Let's go in order of roll number.\Starting with Asaji.\Here!\Set a record!\Huh? I... I'll try.\45 meters!\Okay. Thanks. response:	What's the average for third-year boys?
context: Let's go in order of roll number.\Starting with Asaji.\Here!\Set a record!\Huh? I... I'll try.\45 meters!\Okay. Thanks.\What's the average for third-year boys? response:	28 meters?!
context: Starting with Asaji.\Here!\Set a record!\Huh? I... I'll try.\45 meters!\Okay. Thanks.\What's the average for third-year boys?\28 meters?! response:	Way too high a record to start with, Asaji-kun!
context: Here!\Set a record!\Huh? I... I'll try.\45 meters!\Okay. Thanks.\What's the average for third-year boys?\28 meters?!\Way too high a record to start with, Asaji-kun! response:	Well, the dude is well built.
context: Set a record!\Huh? I... I'll try.\45 meters!\Okay. Thanks.\What's the average for third-year boys?\28 meters?!\Way too high a record to start with, Asaji-kun!\Well, the dude is well built. response:	Kids these days are in great shape. Wish I was, too.
context: Huh? I... I'll try.\45 meters!\Okay. Thanks.\What's the average for third-year boys?\28 meters?!\Way too high a record to start with, Asaji-kun!\Well, the dude is well built.\Kids these days are in great shape. Wish I was, too. response:	Next, Inukai!
context: 45 meters!\Okay. Thanks.\What's the average for third-year boys?\28 meters?!\Way too high a record to start with, Asaji-kun!\Well, the dude is well built.\Kids these days are in great shape. Wish I was, too.\Next, Inukai! response:	Here.
context: Okay. Thanks.\What's the average for third-year boys?\28 meters?!\Way too high a record to start with, Asaji-kun!\Well, the dude is well built.\Kids these days are in great shape. Wish I was, too.\Next, Inukai!\Here. response:	Good luck!
context: What's the average for third-year boys?\28 meters?!\Way too high a record to start with, Asaji-kun!\Well, the dude is well built.\Kids these days are in great shape. Wish I was, too.\Next, Inukai!\Here.\Good luck! response:	Are you trying to kill me?!
context: 28 meters?!\Way too high a record to start with, Asaji-kun!\Well, the dude is well built.\Kids these days are in great shape. Wish I was, too.\Next, Inukai!\Here.\Good luck!\Are you trying to kill me?! response:	Where are you aiming, Aki?
context: Way too high a record to start with, Asaji-kun!\Well, the dude is well built.\Kids these days are in great shape. Wish I was, too.\Next, Inukai!\Here.\Good luck!\Are you trying to kill me?!\Where are you aiming, Aki? response:	I saw a guy not paying attention,
context: Well, the dude is well built.\Kids these days are in great shape. Wish I was, too.\Next, Inukai!\Here.\Good luck!\Are you trying to kill me?!\Where are you aiming, Aki?\I saw a guy not paying attention, response:	so I figured I'd teach him that looking away can be dangerous.
context: Kids these days are in great shape. Wish I was, too.\Next, Inukai!\Here.\Good luck!\Are you trying to kill me?!\Where are you aiming, Aki?\I saw a guy not paying attention,\so I figured I'd teach him that looking away can be dangerous. response:	Maybe use your words instead?
context: Next, Inukai!\Here.\Good luck!\Are you trying to kill me?!\Where are you aiming, Aki?\I saw a guy not paying attention,\so I figured I'd teach him that looking away can be dangerous.\Maybe use your words instead? response:	What's with that guy? He's terrifying!
context: Here.\Good luck!\Are you trying to kill me?!\Where are you aiming, Aki?\I saw a guy not paying attention,\so I figured I'd teach him that looking away can be dangerous.\Maybe use your words instead?\What's with that guy? He's terrifying! response:	Do it right, Inukai!
context: Good luck!\Are you trying to kill me?!\Where are you aiming, Aki?\I saw a guy not paying attention,\so I figured I'd teach him that looking away can be dangerous.\Maybe use your words instead?\What's with that guy? He's terrifying!\Do it right, Inukai! response:	Next, Oga!
context: Are you trying to kill me?!\Where are you aiming, Aki?\I saw a guy not paying attention,\so I figured I'd teach him that looking away can be dangerous.\Maybe use your words instead?\What's with that guy? He's terrifying!\Do it right, Inukai!\Next, Oga! response:	Yo!
context: Where are you aiming, Aki?\I saw a guy not paying attention,\so I figured I'd teach him that looking away can be dangerous.\Maybe use your words instead?\What's with that guy? He's terrifying!\Do it right, Inukai!\Next, Oga!\Yo! response:	Inukai-kun threw that really hard, too.
context: I saw a guy not paying attention,\so I figured I'd teach him that looking away can be dangerous.\Maybe use your words instead?\What's with that guy? He's terrifying!\Do it right, Inukai!\Next, Oga!\Yo!\Inukai-kun threw that really hard, too. response:	So far, both guys have been far above average.
context: so I figured I'd teach him that looking away can be dangerous.\Maybe use your words instead?\What's with that guy? He's terrifying!\Do it right, Inukai!\Next, Oga!\Yo!\Inukai-kun threw that really hard, too.\So far, both guys have been far above average. response:	Is this national average even accurate?
context: Maybe use your words instead?\What's with that guy? He's terrifying!\Do it right, Inukai!\Next, Oga!\Yo!\Inukai-kun threw that really hard, too.\So far, both guys have been far above average.\Is this national average even accurate? response:	Two meters!
context: What's with that guy? He's terrifying!\Do it right, Inukai!\Next, Oga!\Yo!\Inukai-kun threw that really hard, too.\So far, both guys have been far above average.\Is this national average even accurate?\Two meters! response:	You never change, Oga.
context: Do it right, Inukai!\Next, Oga!\Yo!\Inukai-kun threw that really hard, too.\So far, both guys have been far above average.\Is this national average even accurate?\Two meters!\You never change, Oga. response:	Maybe take a break from studying and work out?
context: Next, Oga!\Yo!\Inukai-kun threw that really hard, too.\So far, both guys have been far above average.\Is this national average even accurate?\Two meters!\You never change, Oga.\Maybe take a break from studying and work out? response:	Don't be mean, Sensei!
context: Yo!\Inukai-kun threw that really hard, too.\So far, both guys have been far above average.\Is this national average even accurate?\Two meters!\You never change, Oga.\Maybe take a break from studying and work out?\Don't be mean, Sensei! response:	What can I do? I wasn't born athletic!
context: Inukai-kun threw that really hard, too.\So far, both guys have been far above average.\Is this national average even accurate?\Two meters!\You never change, Oga.\Maybe take a break from studying and work out?\Don't be mean, Sensei!\What can I do? I wasn't born athletic! response:	Next, Kaizaki!
context: So far, both guys have been far above average.\Is this national average even accurate?\Two meters!\You never change, Oga.\Maybe take a break from studying and work out?\Don't be mean, Sensei!\What can I do? I wasn't born athletic!\Next, Kaizaki! response:	Oh, what's this?
context: Is this national average even accurate?\Two meters!\You never change, Oga.\Maybe take a break from studying and work out?\Don't be mean, Sensei!\What can I do? I wasn't born athletic!\Next, Kaizaki!\Oh, what's this? response:	Looks like you aren't so good at sports.
context: Two meters!\You never change, Oga.\Maybe take a break from studying and work out?\Don't be mean, Sensei!\What can I do? I wasn't born athletic!\Next, Kaizaki!\Oh, what's this?\Looks like you aren't so good at sports. response:	Oh, shut up!
context: You never change, Oga.\Maybe take a break from studying and work out?\Don't be mean, Sensei!\What can I do? I wasn't born athletic!\Next, Kaizaki!\Oh, what's this?\Looks like you aren't so good at sports.\Oh, shut up! response:	Let's see how you do! Go throw!
context: Maybe take a break from studying and work out?\Don't be mean, Sensei!\What can I do? I wasn't born athletic!\Next, Kaizaki!\Oh, what's this?\Looks like you aren't so good at sports.\Oh, shut up!\Let's see how you do! Go throw! response:	I was always pretty decent at this stuff.
context: Don't be mean, Sensei!\What can I do? I wasn't born athletic!\Next, Kaizaki!\Oh, what's this?\Looks like you aren't so good at sports.\Oh, shut up!\Let's see how you do! Go throw!\I was always pretty decent at this stuff. response:	I grew up in the country!
context: What can I do? I wasn't born athletic!\Next, Kaizaki!\Oh, what's this?\Looks like you aren't so good at sports.\Oh, shut up!\Let's see how you do! Go throw!\I was always pretty decent at this stuff.\I grew up in the country! response:	I'll show these wimpy city kids...!
context: Next, Kaizaki!\Oh, what's this?\Looks like you aren't so good at sports.\Oh, shut up!\Let's see how you do! Go throw!\I was always pretty decent at this stuff.\I grew up in the country!\I'll show these wimpy city kids...! response:	What's wrong, Kaizaki?
context: Oh, what's this?\Looks like you aren't so good at sports.\Oh, shut up!\Let's see how you do! Go throw!\I was always pretty decent at this stuff.\I grew up in the country!\I'll show these wimpy city kids...!\What's wrong, Kaizaki? response:	One meter!
context: Looks like you aren't so good at sports.\Oh, shut up!\Let's see how you do! Go throw!\I was always pretty decent at this stuff.\I grew up in the country!\I'll show these wimpy city kids...!\What's wrong, Kaizaki?\One meter! response:	M-My shoulder won't rotate!
context: Oh, shut up!\Let's see how you do! Go throw!\I was always pretty decent at this stuff.\I grew up in the country!\I'll show these wimpy city kids...!\What's wrong, Kaizaki?\One meter!\M-My shoulder won't rotate! response:	What the...
context: Let's see how you do! Go throw!\I was always pretty decent at this stuff.\I grew up in the country!\I'll show these wimpy city kids...!\What's wrong, Kaizaki?\One meter!\M-My shoulder won't rotate!\What the... response:	When did I get this stiff?
context: I was always pretty decent at this stuff.\I grew up in the country!\I'll show these wimpy city kids...!\What's wrong, Kaizaki?\One meter!\M-My shoulder won't rotate!\What the...\When did I get this stiff? response:	You okay?
context: I grew up in the country!\I'll show these wimpy city kids...!\What's wrong, Kaizaki?\One meter!\M-My shoulder won't rotate!\What the...\When did I get this stiff?\You okay? response:	Adults need to warm up first,
context: I'll show these wimpy city kids...!\What's wrong, Kaizaki?\One meter!\M-My shoulder won't rotate!\What the...\When did I get this stiff?\You okay?\Adults need to warm up first, response:	or they'll hurt themselves.
context: What's wrong, Kaizaki?\One meter!\M-My shoulder won't rotate!\What the...\When did I get this stiff?\You okay?\Adults need to warm up first,\or they'll hurt themselves. response:	Y-You okay, Kaizaki-kun?
context: One meter!\M-My shoulder won't rotate!\What the...\When did I get this stiff?\You okay?\Adults need to warm up first,\or they'll hurt themselves.\Y-You okay, Kaizaki-kun? response:	I'm the health rep.
context: M-My shoulder won't rotate!\What the...\When did I get this stiff?\You okay?\Adults need to warm up first,\or they'll hurt themselves.\Y-You okay, Kaizaki-kun?\I'm the health rep. response:	Want me to take you to the nurse's office?
context: What the...\When did I get this stiff?\You okay?\Adults need to warm up first,\or they'll hurt themselves.\Y-You okay, Kaizaki-kun?\I'm the health rep.\Want me to take you to the nurse's office? response:	Leave him be, Nobu. He'll be fine if he puts some spit on it.
context: When did I get this stiff?\You okay?\Adults need to warm up first,\or they'll hurt themselves.\Y-You okay, Kaizaki-kun?\I'm the health rep.\Want me to take you to the nurse's office?\Leave him be, Nobu. He'll be fine if he puts some spit on it. response:	Aki, I don't think that works for shoulder injuries.
context: You okay?\Adults need to warm up first,\or they'll hurt themselves.\Y-You okay, Kaizaki-kun?\I'm the health rep.\Want me to take you to the nurse's office?\Leave him be, Nobu. He'll be fine if he puts some spit on it.\Aki, I don't think that works for shoulder injuries. response:	Don't worry about me. I'll be fine.
context: Adults need to warm up first,\or they'll hurt themselves.\Y-You okay, Kaizaki-kun?\I'm the health rep.\Want me to take you to the nurse's office?\Leave him be, Nobu. He'll be fine if he puts some spit on it.\Aki, I don't think that works for shoulder injuries.\Don't worry about me. I'll be fine. response:	Really? But if you need anything, just ask.
context: or they'll hurt themselves.\Y-You okay, Kaizaki-kun?\I'm the health rep.\Want me to take you to the nurse's office?\Leave him be, Nobu. He'll be fine if he puts some spit on it.\Aki, I don't think that works for shoulder injuries.\Don't worry about me. I'll be fine.\Really? But if you need anything, just ask. response:	Are you a girl?
context: Y-You okay, Kaizaki-kun?\I'm the health rep.\Want me to take you to the nurse's office?\Leave him be, Nobu. He'll be fine if he puts some spit on it.\Aki, I don't think that works for shoulder injuries.\Don't worry about me. I'll be fine.\Really? But if you need anything, just ask.\Are you a girl? response:	Pathetic...
context: I'm the health rep.\Want me to take you to the nurse's office?\Leave him be, Nobu. He'll be fine if he puts some spit on it.\Aki, I don't think that works for shoulder injuries.\Don't worry about me. I'll be fine.\Really? But if you need anything, just ask.\Are you a girl?\Pathetic... response:	1st Throw Records Oga: 2m Kaizaki: 1m
context: Want me to take you to the nurse's office?\Leave him be, Nobu. He'll be fine if he puts some spit on it.\Aki, I don't think that works for shoulder injuries.\Don't worry about me. I'll be fine.\Really? But if you need anything, just ask.\Are you a girl?\Pathetic...\1st Throw Records Oga: 2m Kaizaki: 1m response:	Arata-kun, not only are you stupid, you also suck at sports?
context: Leave him be, Nobu. He'll be fine if he puts some spit on it.\Aki, I don't think that works for shoulder injuries.\Don't worry about me. I'll be fine.\Really? But if you need anything, just ask.\Are you a girl?\Pathetic...\1st Throw Records Oga: 2m Kaizaki: 1m\Arata-kun, not only are you stupid, you also suck at sports? response:	Shut up. I'm not like you.
context: Aki, I don't think that works for shoulder injuries.\Don't worry about me. I'll be fine.\Really? But if you need anything, just ask.\Are you a girl?\Pathetic...\1st Throw Records Oga: 2m Kaizaki: 1m\Arata-kun, not only are you stupid, you also suck at sports?\Shut up. I'm not like you. response:	You're too young to be as bad as you are.
context: Don't worry about me. I'll be fine.\Really? But if you need anything, just ask.\Are you a girl?\Pathetic...\1st Throw Records Oga: 2m Kaizaki: 1m\Arata-kun, not only are you stupid, you also suck at sports?\Shut up. I'm not like you.\You're too young to be as bad as you are. response:	We're the same age!
context: Really? But if you need anything, just ask.\Are you a girl?\Pathetic...\1st Throw Records Oga: 2m Kaizaki: 1m\Arata-kun, not only are you stupid, you also suck at sports?\Shut up. I'm not like you.\You're too young to be as bad as you are.\We're the same age! response:	Don't be ridiculous!
context: Are you a girl?\Pathetic...\1st Throw Records Oga: 2m Kaizaki: 1m\Arata-kun, not only are you stupid, you also suck at sports?\Shut up. I'm not like you.\You're too young to be as bad as you are.\We're the same age!\Don't be ridiculous! response:	What is it, Yoake?
context: Pathetic...\1st Throw Records Oga: 2m Kaizaki: 1m\Arata-kun, not only are you stupid, you also suck at sports?\Shut up. I'm not like you.\You're too young to be as bad as you are.\We're the same age!\Don't be ridiculous!\What is it, Yoake? response:	Oh, nothing.
context: 1st Throw Records Oga: 2m Kaizaki: 1m\Arata-kun, not only are you stupid, you also suck at sports?\Shut up. I'm not like you.\You're too young to be as bad as you are.\We're the same age!\Don't be ridiculous!\What is it, Yoake?\Oh, nothing. response:	On your marks!
context: Arata-kun, not only are you stupid, you also suck at sports?\Shut up. I'm not like you.\You're too young to be as bad as you are.\We're the same age!\Don't be ridiculous!\What is it, Yoake?\Oh, nothing.\On your marks! response:	Lane 4, 7.38 seconds.
context: Shut up. I'm not like you.\You're too young to be as bad as you are.\We're the same age!\Don't be ridiculous!\What is it, Yoake?\Oh, nothing.\On your marks!\Lane 4, 7.38 seconds. response:	Lane 3, 8.22 seconds!
context: You're too young to be as bad as you are.\We're the same age!\Don't be ridiculous!\What is it, Yoake?\Oh, nothing.\On your marks!\Lane 4, 7.38 seconds.\Lane 3, 8.22 seconds! response:	You're fast, Rena-chan!
context: We're the same age!\Don't be ridiculous!\What is it, Yoake?\Oh, nothing.\On your marks!\Lane 4, 7.38 seconds.\Lane 3, 8.22 seconds!\You're fast, Rena-chan! response:	Thanks.
context: Don't be ridiculous!\What is it, Yoake?\Oh, nothing.\On your marks!\Lane 4, 7.38 seconds.\Lane 3, 8.22 seconds!\You're fast, Rena-chan!\Thanks. response:	Huh...
context: What is it, Yoake?\Oh, nothing.\On your marks!\Lane 4, 7.38 seconds.\Lane 3, 8.22 seconds!\You're fast, Rena-chan!\Thanks.\Huh... response:	Kariu's fast!
context: Oh, nothing.\On your marks!\Lane 4, 7.38 seconds.\Lane 3, 8.22 seconds!\You're fast, Rena-chan!\Thanks.\Huh...\Kariu's fast! response:	She's really athletic, yeah.
context: On your marks!\Lane 4, 7.38 seconds.\Lane 3, 8.22 seconds!\You're fast, Rena-chan!\Thanks.\Huh...\Kariu's fast!\She's really athletic, yeah. response:	Unlike you?
context: Lane 4, 7.38 seconds.\Lane 3, 8.22 seconds!\You're fast, Rena-chan!\Thanks.\Huh...\Kariu's fast!\She's really athletic, yeah.\Unlike you? response:	You're gonna make me cry.
context: Lane 3, 8.22 seconds!\You're fast, Rena-chan!\Thanks.\Huh...\Kariu's fast!\She's really athletic, yeah.\Unlike you?\You're gonna make me cry. response:	But watch the next girl.
context: You're fast, Rena-chan!\Thanks.\Huh...\Kariu's fast!\She's really athletic, yeah.\Unlike you?\You're gonna make me cry.\But watch the next girl. response:	Which one?
context: Thanks.\Huh...\Kariu's fast!\She's really athletic, yeah.\Unlike you?\You're gonna make me cry.\But watch the next girl.\Which one? response:	Closest to us.
context: Huh...\Kariu's fast!\She's really athletic, yeah.\Unlike you?\You're gonna make me cry.\But watch the next girl.\Which one?\Closest to us. response:	On your marks!
context: Kariu's fast!\She's really athletic, yeah.\Unlike you?\You're gonna make me cry.\But watch the next girl.\Which one?\Closest to us.\On your marks! response:	Lane 4, 6.78 seconds.
context: She's really athletic, yeah.\Unlike you?\You're gonna make me cry.\But watch the next girl.\Which one?\Closest to us.\On your marks!\Lane 4, 6.78 seconds. response:	So fast!
context: Unlike you?\You're gonna make me cry.\But watch the next girl.\Which one?\Closest to us.\On your marks!\Lane 4, 6.78 seconds.\So fast! response:	right?
context: You're gonna make me cry.\But watch the next girl.\Which one?\Closest to us.\On your marks!\Lane 4, 6.78 seconds.\So fast!\right? response:	Tamarai-san's crazy athletic.
context: But watch the next girl.\Which one?\Closest to us.\On your marks!\Lane 4, 6.78 seconds.\So fast!\right?\Tamarai-san's crazy athletic. response:	She's the volleyball team captain.
context: Which one?\Closest to us.\On your marks!\Lane 4, 6.78 seconds.\So fast!\right?\Tamarai-san's crazy athletic.\She's the volleyball team captain. response:	And Kariu's the vice captain.
context: Closest to us.\On your marks!\Lane 4, 6.78 seconds.\So fast!\right?\Tamarai-san's crazy athletic.\She's the volleyball team captain.\And Kariu's the vice captain. response:	I'm on the volleyball team!
context: On your marks!\Lane 4, 6.78 seconds.\So fast!\right?\Tamarai-san's crazy athletic.\She's the volleyball team captain.\And Kariu's the vice captain.\I'm on the volleyball team! response:	Bet that's rough for her.
context: Lane 4, 6.78 seconds.\So fast!\right?\Tamarai-san's crazy athletic.\She's the volleyball team captain.\And Kariu's the vice captain.\I'm on the volleyball team!\Bet that's rough for her. response:	Huh?
context: So fast!\right?\Tamarai-san's crazy athletic.\She's the volleyball team captain.\And Kariu's the vice captain.\I'm on the volleyball team!\Bet that's rough for her.\Huh? response:	Rena!
context: right?\Tamarai-san's crazy athletic.\She's the volleyball team captain.\And Kariu's the vice captain.\I'm on the volleyball team!\Bet that's rough for her.\Huh?\Rena! response:	How'd you do?
context: Tamarai-san's crazy athletic.\She's the volleyball team captain.\And Kariu's the vice captain.\I'm on the volleyball team!\Bet that's rough for her.\Huh?\Rena!\How'd you do? response:	I knew it! You're really fast!
context: She's the volleyball team captain.\And Kariu's the vice captain.\I'm on the volleyball team!\Bet that's rough for her.\Huh?\Rena!\How'd you do?\I knew it! You're really fast! response:	But really slow compared to you.
context: And Kariu's the vice captain.\I'm on the volleyball team!\Bet that's rough for her.\Huh?\Rena!\How'd you do?\I knew it! You're really fast!\But really slow compared to you. response:	Oh, come on.
context: I'm on the volleyball team!\Bet that's rough for her.\Huh?\Rena!\How'd you do?\I knew it! You're really fast!\But really slow compared to you.\Oh, come on. response:	You don't have to compare yourself to others!
context: Bet that's rough for her.\Huh?\Rena!\How'd you do?\I knew it! You're really fast!\But really slow compared to you.\Oh, come on.\You don't have to compare yourself to others! response:	I can't help being competitive. I always want to be first.
context: Huh?\Rena!\How'd you do?\I knew it! You're really fast!\But really slow compared to you.\Oh, come on.\You don't have to compare yourself to others!\I can't help being competitive. I always want to be first. response:	Oh... I'm sorry.
context: Rena!\How'd you do?\I knew it! You're really fast!\But really slow compared to you.\Oh, come on.\You don't have to compare yourself to others!\I can't help being competitive. I always want to be first.\Oh... I'm sorry. response:	Don't apologize! That's even more irritating!
context: How'd you do?\I knew it! You're really fast!\But really slow compared to you.\Oh, come on.\You don't have to compare yourself to others!\I can't help being competitive. I always want to be first.\Oh... I'm sorry.\Don't apologize! That's even more irritating! response:	Irritating? Don't say stuff like that!
context: I knew it! You're really fast!\But really slow compared to you.\Oh, come on.\You don't have to compare yourself to others!\I can't help being competitive. I always want to be first.\Oh... I'm sorry.\Don't apologize! That's even more irritating!\Irritating? Don't say stuff like that! response:	Get your boobs off me!
context: But really slow compared to you.\Oh, come on.\You don't have to compare yourself to others!\I can't help being competitive. I always want to be first.\Oh... I'm sorry.\Don't apologize! That's even more irritating!\Irritating? Don't say stuff like that!\Get your boobs off me! response:	Looks like Kariu-san and Tamarai-san get along okay.
context: Oh, come on.\You don't have to compare yourself to others!\I can't help being competitive. I always want to be first.\Oh... I'm sorry.\Don't apologize! That's even more irritating!\Irritating? Don't say stuff like that!\Get your boobs off me!\Looks like Kariu-san and Tamarai-san get along okay. response:	Why wouldn't they?
context: You don't have to compare yourself to others!\I can't help being competitive. I always want to be first.\Oh... I'm sorry.\Don't apologize! That's even more irritating!\Irritating? Don't say stuff like that!\Get your boobs off me!\Looks like Kariu-san and Tamarai-san get along okay.\Why wouldn't they? response:	They even eat lunch together. Didn't Kariu say that the other day?
context: I can't help being competitive. I always want to be first.\Oh... I'm sorry.\Don't apologize! That's even more irritating!\Irritating? Don't say stuff like that!\Get your boobs off me!\Looks like Kariu-san and Tamarai-san get along okay.\Why wouldn't they?\They even eat lunch together. Didn't Kariu say that the other day? response:	Oh, right.
context: Oh... I'm sorry.\Don't apologize! That's even more irritating!\Irritating? Don't say stuff like that!\Get your boobs off me!\Looks like Kariu-san and Tamarai-san get along okay.\Why wouldn't they?\They even eat lunch together. Didn't Kariu say that the other day?\Oh, right. response:	Rivals aren't always enemies, huh?
context: Don't apologize! That's even more irritating!\Irritating? Don't say stuff like that!\Get your boobs off me!\Looks like Kariu-san and Tamarai-san get along okay.\Why wouldn't they?\They even eat lunch together. Didn't Kariu say that the other day?\Oh, right.\Rivals aren't always enemies, huh? response:	Even so...
context: Irritating? Don't say stuff like that!\Get your boobs off me!\Looks like Kariu-san and Tamarai-san get along okay.\Why wouldn't they?\They even eat lunch together. Didn't Kariu say that the other day?\Oh, right.\Rivals aren't always enemies, huh?\Even so... response:	This is what having legal high school girls
context: Get your boobs off me!\Looks like Kariu-san and Tamarai-san get along okay.\Why wouldn't they?\They even eat lunch together. Didn't Kariu say that the other day?\Oh, right.\Rivals aren't always enemies, huh?\Even so...\This is what having legal high school girls response:	Hey!
context: Looks like Kariu-san and Tamarai-san get along okay.\Why wouldn't they?\They even eat lunch together. Didn't Kariu say that the other day?\Oh, right.\Rivals aren't always enemies, huh?\Even so...\This is what having legal high school girls\Hey! response:	You were just leering at Tama, weren't you?
context: Why wouldn't they?\They even eat lunch together. Didn't Kariu say that the other day?\Oh, right.\Rivals aren't always enemies, huh?\Even so...\This is what having legal high school girls\Hey!\You were just leering at Tama, weren't you? response:	O-O-Ow!
context: They even eat lunch together. Didn't Kariu say that the other day?\Oh, right.\Rivals aren't always enemies, huh?\Even so...\This is what having legal high school girls\Hey!\You were just leering at Tama, weren't you?\O-O-Ow! response:	Aki!
context: Oh, right.\Rivals aren't always enemies, huh?\Even so...\This is what having legal high school girls\Hey!\You were just leering at Tama, weren't you?\O-O-Ow!\Aki! response:	I'm sorry, Kaizaki-kun.
context: Rivals aren't always enemies, huh?\Even so...\This is what having legal high school girls\Hey!\You were just leering at Tama, weren't you?\O-O-Ow!\Aki!\I'm sorry, Kaizaki-kun. response:	He just gets awfully worked up where Tama-chan's concerned...
context: Even so...\This is what having legal high school girls\Hey!\You were just leering at Tama, weren't you?\O-O-Ow!\Aki!\I'm sorry, Kaizaki-kun.\He just gets awfully worked up where Tama-chan's concerned... response:	I'm really sorry.
context: This is what having legal high school girls\Hey!\You were just leering at Tama, weren't you?\O-O-Ow!\Aki!\I'm sorry, Kaizaki-kun.\He just gets awfully worked up where Tama-chan's concerned...\I'm really sorry. response:	Tama-chan?
context: Hey!\You were just leering at Tama, weren't you?\O-O-Ow!\Aki!\I'm sorry, Kaizaki-kun.\He just gets awfully worked up where Tama-chan's concerned...\I'm really sorry.\Tama-chan? response:	Tamarai-san.
context: You were just leering at Tama, weren't you?\O-O-Ow!\Aki!\I'm sorry, Kaizaki-kun.\He just gets awfully worked up where Tama-chan's concerned...\I'm really sorry.\Tama-chan?\Tamarai-san. response:	Those two and Tamarai-san have known each other since kindergarten.
context: O-O-Ow!\Aki!\I'm sorry, Kaizaki-kun.\He just gets awfully worked up where Tama-chan's concerned...\I'm really sorry.\Tama-chan?\Tamarai-san.\Those two and Tamarai-san have known each other since kindergarten. response:	Oh...
context: Aki!\I'm sorry, Kaizaki-kun.\He just gets awfully worked up where Tama-chan's concerned...\I'm really sorry.\Tama-chan?\Tamarai-san.\Those two and Tamarai-san have known each other since kindergarten.\Oh... response:	And Tamarai-san and Inukai-kun are going out, or something?
context: I'm sorry, Kaizaki-kun.\He just gets awfully worked up where Tama-chan's concerned...\I'm really sorry.\Tama-chan?\Tamarai-san.\Those two and Tamarai-san have known each other since kindergarten.\Oh...\And Tamarai-san and Inukai-kun are going out, or something? response:	Dunno.
context: He just gets awfully worked up where Tama-chan's concerned...\I'm really sorry.\Tama-chan?\Tamarai-san.\Those two and Tamarai-san have known each other since kindergarten.\Oh...\And Tamarai-san and Inukai-kun are going out, or something?\Dunno. response:	It was dumb to even ask you.
context: I'm really sorry.\Tama-chan?\Tamarai-san.\Those two and Tamarai-san have known each other since kindergarten.\Oh...\And Tamarai-san and Inukai-kun are going out, or something?\Dunno.\It was dumb to even ask you. response:	Um...
context: Tama-chan?\Tamarai-san.\Those two and Tamarai-san have known each other since kindergarten.\Oh...\And Tamarai-san and Inukai-kun are going out, or something?\Dunno.\It was dumb to even ask you.\Um... response:	Um...
context: Tamarai-san.\Those two and Tamarai-san have known each other since kindergarten.\Oh...\And Tamarai-san and Inukai-kun are going out, or something?\Dunno.\It was dumb to even ask you.\Um...\Um... response:	You, the redhead who ran 7.38 seconds.
context: Those two and Tamarai-san have known each other since kindergarten.\Oh...\And Tamarai-san and Inukai-kun are going out, or something?\Dunno.\It was dumb to even ask you.\Um...\Um...\You, the redhead who ran 7.38 seconds. response:	Huh?
context: Oh...\And Tamarai-san and Inukai-kun are going out, or something?\Dunno.\It was dumb to even ask you.\Um...\Um...\You, the redhead who ran 7.38 seconds.\Huh? response:	What? You were talking to me?
context: And Tamarai-san and Inukai-kun are going out, or something?\Dunno.\It was dumb to even ask you.\Um...\Um...\You, the redhead who ran 7.38 seconds.\Huh?\What? You were talking to me? response:	Use my name!
context: Dunno.\It was dumb to even ask you.\Um...\Um...\You, the redhead who ran 7.38 seconds.\Huh?\What? You were talking to me?\Use my name! response:	Why would you remember my time?
