context: Dijun, are you unsure? response:	In the past few days, Dijun saved Qing Qiu's Little Princess twice
context: Before I was born, how did you know my parents?\Before you were born?\Back then, I was the first to fall in love with your mother.\But your mother insisted on your unromantic father.\After battling with your father\I found that our personalities were complimentary\so we just became friends.\That happened? response:	Yes. So you should thank me.
context: Before you were born?\Back then, I was the first to fall in love with your mother.\But your mother insisted on your unromantic father.\After battling with your father\I found that our personalities were complimentary\so we just became friends.\That happened?\Yes. So you should thank me. response:	If I didn't give up on your mother
context: Back then, I was the first to fall in love with your mother.\But your mother insisted on your unromantic father.\After battling with your father\I found that our personalities were complimentary\so we just became friends.\That happened?\Yes. So you should thank me.\If I didn't give up on your mother response:	you all wouldn't be here today.
context: But your mother insisted on your unromantic father.\After battling with your father\I found that our personalities were complimentary\so we just became friends.\That happened?\Yes. So you should thank me.\If I didn't give up on your mother\you all wouldn't be here today. response:	You're shameless.
context: After battling with your father\I found that our personalities were complimentary\so we just became friends.\That happened?\Yes. So you should thank me.\If I didn't give up on your mother\you all wouldn't be here today.\You're shameless. response:	My mother couldn't possibly fall for an old phoenix like you.
context: I found that our personalities were complimentary\so we just became friends.\That happened?\Yes. So you should thank me.\If I didn't give up on your mother\you all wouldn't be here today.\You're shameless.\My mother couldn't possibly fall for an old phoenix like you. response:	Old phoenix?
context: so we just became friends.\That happened?\Yes. So you should thank me.\If I didn't give up on your mother\you all wouldn't be here today.\You're shameless.\My mother couldn't possibly fall for an old phoenix like you.\Old phoenix? response:	Zhen Zhen, do you remember when you were a week old
context: That happened?\Yes. So you should thank me.\If I didn't give up on your mother\you all wouldn't be here today.\You're shameless.\My mother couldn't possibly fall for an old phoenix like you.\Old phoenix?\Zhen Zhen, do you remember when you were a week old response:	you did everything you could to climb on me to give me a kiss?
context: Yes. So you should thank me.\If I didn't give up on your mother\you all wouldn't be here today.\You're shameless.\My mother couldn't possibly fall for an old phoenix like you.\Old phoenix?\Zhen Zhen, do you remember when you were a week old\you did everything you could to climb on me to give me a kiss? response:	Old Phoenix, is there a point in bringing up things when I was one?
context: If I didn't give up on your mother\you all wouldn't be here today.\You're shameless.\My mother couldn't possibly fall for an old phoenix like you.\Old phoenix?\Zhen Zhen, do you remember when you were a week old\you did everything you could to climb on me to give me a kiss?\Old Phoenix, is there a point in bringing up things when I was one? response:	There is.
context: you all wouldn't be here today.\You're shameless.\My mother couldn't possibly fall for an old phoenix like you.\Old phoenix?\Zhen Zhen, do you remember when you were a week old\you did everything you could to climb on me to give me a kiss?\Old Phoenix, is there a point in bringing up things when I was one?\There is. response:	Ye Hua.
context: You're shameless.\My mother couldn't possibly fall for an old phoenix like you.\Old phoenix?\Zhen Zhen, do you remember when you were a week old\you did everything you could to climb on me to give me a kiss?\Old Phoenix, is there a point in bringing up things when I was one?\There is.\Ye Hua. response:	Don't look so hurt.
context: My mother couldn't possibly fall for an old phoenix like you.\Old phoenix?\Zhen Zhen, do you remember when you were a week old\you did everything you could to climb on me to give me a kiss?\Old Phoenix, is there a point in bringing up things when I was one?\There is.\Ye Hua.\Don't look so hurt. response:	It breaks my heart.
context: Old phoenix?\Zhen Zhen, do you remember when you were a week old\you did everything you could to climb on me to give me a kiss?\Old Phoenix, is there a point in bringing up things when I was one?\There is.\Ye Hua.\Don't look so hurt.\It breaks my heart. response:	I got amnesia potion from Medicine King.
context: Zhen Zhen, do you remember when you were a week old\you did everything you could to climb on me to give me a kiss?\Old Phoenix, is there a point in bringing up things when I was one?\There is.\Ye Hua.\Don't look so hurt.\It breaks my heart.\I got amnesia potion from Medicine King. response:	Drink it.
context: you did everything you could to climb on me to give me a kiss?\Old Phoenix, is there a point in bringing up things when I was one?\There is.\Ye Hua.\Don't look so hurt.\It breaks my heart.\I got amnesia potion from Medicine King.\Drink it. response:	You'll forget Su Su after you drink it.
context: Old Phoenix, is there a point in bringing up things when I was one?\There is.\Ye Hua.\Don't look so hurt.\It breaks my heart.\I got amnesia potion from Medicine King.\Drink it.\You'll forget Su Su after you drink it. response:	Then you'll become the crown prince you were before.
context: There is.\Ye Hua.\Don't look so hurt.\It breaks my heart.\I got amnesia potion from Medicine King.\Drink it.\You'll forget Su Su after you drink it.\Then you'll become the crown prince you were before. response:	I won't ask that you achieve anything great.
context: Ye Hua.\Don't look so hurt.\It breaks my heart.\I got amnesia potion from Medicine King.\Drink it.\You'll forget Su Su after you drink it.\Then you'll become the crown prince you were before.\I won't ask that you achieve anything great. response:	I just want you to live a nice life.
context: Don't look so hurt.\It breaks my heart.\I got amnesia potion from Medicine King.\Drink it.\You'll forget Su Su after you drink it.\Then you'll become the crown prince you were before.\I won't ask that you achieve anything great.\I just want you to live a nice life. response:	I don't want to forget her.
context: It breaks my heart.\I got amnesia potion from Medicine King.\Drink it.\You'll forget Su Su after you drink it.\Then you'll become the crown prince you were before.\I won't ask that you achieve anything great.\I just want you to live a nice life.\I don't want to forget her. response:	You've been sleeping well.
context: I got amnesia potion from Medicine King.\Drink it.\You'll forget Su Su after you drink it.\Then you'll become the crown prince you were before.\I won't ask that you achieve anything great.\I just want you to live a nice life.\I don't want to forget her.\You've been sleeping well. response:	Fourth Brother.
context: Drink it.\You'll forget Su Su after you drink it.\Then you'll become the crown prince you were before.\I won't ask that you achieve anything great.\I just want you to live a nice life.\I don't want to forget her.\You've been sleeping well.\Fourth Brother. response:	Why do I feel like I can't see clearly?
context: You'll forget Su Su after you drink it.\Then you'll become the crown prince you were before.\I won't ask that you achieve anything great.\I just want you to live a nice life.\I don't want to forget her.\You've been sleeping well.\Fourth Brother.\Why do I feel like I can't see clearly? response:	The light is dazzling.
context: Then you'll become the crown prince you were before.\I won't ask that you achieve anything great.\I just want you to live a nice life.\I don't want to forget her.\You've been sleeping well.\Fourth Brother.\Why do I feel like I can't see clearly?\The light is dazzling. response:	Don't get worked up.
context: I won't ask that you achieve anything great.\I just want you to live a nice life.\I don't want to forget her.\You've been sleeping well.\Fourth Brother.\Why do I feel like I can't see clearly?\The light is dazzling.\Don't get worked up. response:	Zhe Yan is also worried about your eyes.
context: I just want you to live a nice life.\I don't want to forget her.\You've been sleeping well.\Fourth Brother.\Why do I feel like I can't see clearly?\The light is dazzling.\Don't get worked up.\Zhe Yan is also worried about your eyes. response:	It'll be fine after a while.
context: I don't want to forget her.\You've been sleeping well.\Fourth Brother.\Why do I feel like I can't see clearly?\The light is dazzling.\Don't get worked up.\Zhe Yan is also worried about your eyes.\It'll be fine after a while. response:	But you can't look at anything too bright.
context: You've been sleeping well.\Fourth Brother.\Why do I feel like I can't see clearly?\The light is dazzling.\Don't get worked up.\Zhe Yan is also worried about your eyes.\It'll be fine after a while.\But you can't look at anything too bright. response:	Why is that?
context: Fourth Brother.\Why do I feel like I can't see clearly?\The light is dazzling.\Don't get worked up.\Zhe Yan is also worried about your eyes.\It'll be fine after a while.\But you can't look at anything too bright.\Why is that? response:	You were born with this illness.
context: Why do I feel like I can't see clearly?\The light is dazzling.\Don't get worked up.\Zhe Yan is also worried about your eyes.\It'll be fine after a while.\But you can't look at anything too bright.\Why is that?\You were born with this illness. response:	When Mother was pregnant with you
context: The light is dazzling.\Don't get worked up.\Zhe Yan is also worried about your eyes.\It'll be fine after a while.\But you can't look at anything too bright.\Why is that?\You were born with this illness.\When Mother was pregnant with you response:	Heavenly Lord Zheng Feng created a huge flood
context: Don't get worked up.\Zhe Yan is also worried about your eyes.\It'll be fine after a while.\But you can't look at anything too bright.\Why is that?\You were born with this illness.\When Mother was pregnant with you\Heavenly Lord Zheng Feng created a huge flood response:	to punish the people of all the realms.
context: Zhe Yan is also worried about your eyes.\It'll be fine after a while.\But you can't look at anything too bright.\Why is that?\You were born with this illness.\When Mother was pregnant with you\Heavenly Lord Zheng Feng created a huge flood\to punish the people of all the realms. response:	After the flood, there wasn't anything to eat.
context: It'll be fine after a while.\But you can't look at anything too bright.\Why is that?\You were born with this illness.\When Mother was pregnant with you\Heavenly Lord Zheng Feng created a huge flood\to punish the people of all the realms.\After the flood, there wasn't anything to eat. response:	Since Mother couldn't eat anything, she was weak.
context: But you can't look at anything too bright.\Why is that?\You were born with this illness.\When Mother was pregnant with you\Heavenly Lord Zheng Feng created a huge flood\to punish the people of all the realms.\After the flood, there wasn't anything to eat.\Since Mother couldn't eat anything, she was weak. response:	So when you were born you were just a wrinkly little fox.
context: Why is that?\You were born with this illness.\When Mother was pregnant with you\Heavenly Lord Zheng Feng created a huge flood\to punish the people of all the realms.\After the flood, there wasn't anything to eat.\Since Mother couldn't eat anything, she was weak.\So when you were born you were just a wrinkly little fox. response:	You had a weird eye disease.
context: You were born with this illness.\When Mother was pregnant with you\Heavenly Lord Zheng Feng created a huge flood\to punish the people of all the realms.\After the flood, there wasn't anything to eat.\Since Mother couldn't eat anything, she was weak.\So when you were born you were just a wrinkly little fox.\You had a weird eye disease. response:	How come I've never had this happen to me before?
context: When Mother was pregnant with you\Heavenly Lord Zheng Feng created a huge flood\to punish the people of all the realms.\After the flood, there wasn't anything to eat.\Since Mother couldn't eat anything, she was weak.\So when you were born you were just a wrinkly little fox.\You had a weird eye disease.\How come I've never had this happen to me before? response:	The disease was dormant for thousands of years.
context: Heavenly Lord Zheng Feng created a huge flood\to punish the people of all the realms.\After the flood, there wasn't anything to eat.\Since Mother couldn't eat anything, she was weak.\So when you were born you were just a wrinkly little fox.\You had a weird eye disease.\How come I've never had this happen to me before?\The disease was dormant for thousands of years. response:	It lived in harmony with you for years.
context: to punish the people of all the realms.\After the flood, there wasn't anything to eat.\Since Mother couldn't eat anything, she was weak.\So when you were born you were just a wrinkly little fox.\You had a weird eye disease.\How come I've never had this happen to me before?\The disease was dormant for thousands of years.\It lived in harmony with you for years. response:	But when you were injured, it took the opportunity to break out.
context: After the flood, there wasn't anything to eat.\Since Mother couldn't eat anything, she was weak.\So when you were born you were just a wrinkly little fox.\You had a weird eye disease.\How come I've never had this happen to me before?\The disease was dormant for thousands of years.\It lived in harmony with you for years.\But when you were injured, it took the opportunity to break out. response:	But fortunately, Father went to the Yellow Springs
context: Since Mother couldn't eat anything, she was weak.\So when you were born you were just a wrinkly little fox.\You had a weird eye disease.\How come I've never had this happen to me before?\The disease was dormant for thousands of years.\It lived in harmony with you for years.\But when you were injured, it took the opportunity to break out.\But fortunately, Father went to the Yellow Springs response:	to get this white silk that blocks intense rays for you.
context: So when you were born you were just a wrinkly little fox.\You had a weird eye disease.\How come I've never had this happen to me before?\The disease was dormant for thousands of years.\It lived in harmony with you for years.\But when you were injured, it took the opportunity to break out.\But fortunately, Father went to the Yellow Springs\to get this white silk that blocks intense rays for you. response:	When you go to places that are really bright, it will come out naturally.
context: You had a weird eye disease.\How come I've never had this happen to me before?\The disease was dormant for thousands of years.\It lived in harmony with you for years.\But when you were injured, it took the opportunity to break out.\But fortunately, Father went to the Yellow Springs\to get this white silk that blocks intense rays for you.\When you go to places that are really bright, it will come out naturally. response:	It'll only block off the intense rays and won't affect what you see.
context: How come I've never had this happen to me before?\The disease was dormant for thousands of years.\It lived in harmony with you for years.\But when you were injured, it took the opportunity to break out.\But fortunately, Father went to the Yellow Springs\to get this white silk that blocks intense rays for you.\When you go to places that are really bright, it will come out naturally.\It'll only block off the intense rays and won't affect what you see. response:	Fourth Brother, when did I get injured?
context: The disease was dormant for thousands of years.\It lived in harmony with you for years.\But when you were injured, it took the opportunity to break out.\But fortunately, Father went to the Yellow Springs\to get this white silk that blocks intense rays for you.\When you go to places that are really bright, it will come out naturally.\It'll only block off the intense rays and won't affect what you see.\Fourth Brother, when did I get injured? response:	You've slept for thousands of years since the battle against Qing Cang.
context: It lived in harmony with you for years.\But when you were injured, it took the opportunity to break out.\But fortunately, Father went to the Yellow Springs\to get this white silk that blocks intense rays for you.\When you go to places that are really bright, it will come out naturally.\It'll only block off the intense rays and won't affect what you see.\Fourth Brother, when did I get injured?\You've slept for thousands of years since the battle against Qing Cang. response:	I don't really remember everything that happened in between very clearly.
context: But when you were injured, it took the opportunity to break out.\But fortunately, Father went to the Yellow Springs\to get this white silk that blocks intense rays for you.\When you go to places that are really bright, it will come out naturally.\It'll only block off the intense rays and won't affect what you see.\Fourth Brother, when did I get injured?\You've slept for thousands of years since the battle against Qing Cang.\I don't really remember everything that happened in between very clearly. response:	My dear High Goddess Bai Qian.
context: But fortunately, Father went to the Yellow Springs\to get this white silk that blocks intense rays for you.\When you go to places that are really bright, it will come out naturally.\It'll only block off the intense rays and won't affect what you see.\Fourth Brother, when did I get injured?\You've slept for thousands of years since the battle against Qing Cang.\I don't really remember everything that happened in between very clearly.\My dear High Goddess Bai Qian. response:	High Goddess?
context: to get this white silk that blocks intense rays for you.\When you go to places that are really bright, it will come out naturally.\It'll only block off the intense rays and won't affect what you see.\Fourth Brother, when did I get injured?\You've slept for thousands of years since the battle against Qing Cang.\I don't really remember everything that happened in between very clearly.\My dear High Goddess Bai Qian.\High Goddess? response:	Look at your spirit.
context: When you go to places that are really bright, it will come out naturally.\It'll only block off the intense rays and won't affect what you see.\Fourth Brother, when did I get injured?\You've slept for thousands of years since the battle against Qing Cang.\I don't really remember everything that happened in between very clearly.\My dear High Goddess Bai Qian.\High Goddess?\Look at your spirit. response:	Can you see that you've ascended to a high goddess?
context: It'll only block off the intense rays and won't affect what you see.\Fourth Brother, when did I get injured?\You've slept for thousands of years since the battle against Qing Cang.\I don't really remember everything that happened in between very clearly.\My dear High Goddess Bai Qian.\High Goddess?\Look at your spirit.\Can you see that you've ascended to a high goddess? response:	How did I pass my heavenly trial?
context: Fourth Brother, when did I get injured?\You've slept for thousands of years since the battle against Qing Cang.\I don't really remember everything that happened in between very clearly.\My dear High Goddess Bai Qian.\High Goddess?\Look at your spirit.\Can you see that you've ascended to a high goddess?\How did I pass my heavenly trial? response:	I just battled against Qing Cang and slept for thousands of years.
context: You've slept for thousands of years since the battle against Qing Cang.\I don't really remember everything that happened in between very clearly.\My dear High Goddess Bai Qian.\High Goddess?\Look at your spirit.\Can you see that you've ascended to a high goddess?\How did I pass my heavenly trial?\I just battled against Qing Cang and slept for thousands of years. response:	Did I ascend in my dreams?
context: I don't really remember everything that happened in between very clearly.\My dear High Goddess Bai Qian.\High Goddess?\Look at your spirit.\Can you see that you've ascended to a high goddess?\How did I pass my heavenly trial?\I just battled against Qing Cang and slept for thousands of years.\Did I ascend in my dreams? response:	You're very lucky.
context: My dear High Goddess Bai Qian.\High Goddess?\Look at your spirit.\Can you see that you've ascended to a high goddess?\How did I pass my heavenly trial?\I just battled against Qing Cang and slept for thousands of years.\Did I ascend in my dreams?\You're very lucky. response:	Compared to my high immortal heavenly trial?
context: High Goddess?\Look at your spirit.\Can you see that you've ascended to a high goddess?\How did I pass my heavenly trial?\I just battled against Qing Cang and slept for thousands of years.\Did I ascend in my dreams?\You're very lucky.\Compared to my high immortal heavenly trial? response:	Your luck has improved this time around.
context: Look at your spirit.\Can you see that you've ascended to a high goddess?\How did I pass my heavenly trial?\I just battled against Qing Cang and slept for thousands of years.\Did I ascend in my dreams?\You're very lucky.\Compared to my high immortal heavenly trial?\Your luck has improved this time around. response:	- I must go. - What's wrong?
context: Can you see that you've ascended to a high goddess?\How did I pass my heavenly trial?\I just battled against Qing Cang and slept for thousands of years.\Did I ascend in my dreams?\You're very lucky.\Compared to my high immortal heavenly trial?\Your luck has improved this time around.\- I must go. - What's wrong? response:	I've been asleep all these years. Master...
context: How did I pass my heavenly trial?\I just battled against Qing Cang and slept for thousands of years.\Did I ascend in my dreams?\You're very lucky.\Compared to my high immortal heavenly trial?\Your luck has improved this time around.\- I must go. - What's wrong?\I've been asleep all these years. Master... response:	Without blood from my heart, Master...
context: I just battled against Qing Cang and slept for thousands of years.\Did I ascend in my dreams?\You're very lucky.\Compared to my high immortal heavenly trial?\Your luck has improved this time around.\- I must go. - What's wrong?\I've been asleep all these years. Master...\Without blood from my heart, Master... response:	Fifth Sister!
context: Did I ascend in my dreams?\You're very lucky.\Compared to my high immortal heavenly trial?\Your luck has improved this time around.\- I must go. - What's wrong?\I've been asleep all these years. Master...\Without blood from my heart, Master...\Fifth Sister! response:	- Where's Master? - You're awake.
context: You're very lucky.\Compared to my high immortal heavenly trial?\Your luck has improved this time around.\- I must go. - What's wrong?\I've been asleep all these years. Master...\Without blood from my heart, Master...\Fifth Sister!\- Where's Master? - You're awake. response:	Go and see for yourself.
context: Compared to my high immortal heavenly trial?\Your luck has improved this time around.\- I must go. - What's wrong?\I've been asleep all these years. Master...\Without blood from my heart, Master...\Fifth Sister!\- Where's Master? - You're awake.\Go and see for yourself. response:	Master, your unfilial disciple has come to see you.
context: Your luck has improved this time around.\- I must go. - What's wrong?\I've been asleep all these years. Master...\Without blood from my heart, Master...\Fifth Sister!\- Where's Master? - You're awake.\Go and see for yourself.\Master, your unfilial disciple has come to see you. response:	I've been asleep all these years.
context: - I must go. - What's wrong?\I've been asleep all these years. Master...\Without blood from my heart, Master...\Fifth Sister!\- Where's Master? - You're awake.\Go and see for yourself.\Master, your unfilial disciple has come to see you.\I've been asleep all these years. response:	Why hasn't Master's body changed at all?
context: I've been asleep all these years. Master...\Without blood from my heart, Master...\Fifth Sister!\- Where's Master? - You're awake.\Go and see for yourself.\Master, your unfilial disciple has come to see you.\I've been asleep all these years.\Why hasn't Master's body changed at all? response:	Mo Yuan's body has been preserved very well even without blood from your heart.
context: Without blood from my heart, Master...\Fifth Sister!\- Where's Master? - You're awake.\Go and see for yourself.\Master, your unfilial disciple has come to see you.\I've been asleep all these years.\Why hasn't Master's body changed at all?\Mo Yuan's body has been preserved very well even without blood from your heart. response:	From the looks of it, it seems Mo Yuan will wake up soon.
context: Fifth Sister!\- Where's Master? - You're awake.\Go and see for yourself.\Master, your unfilial disciple has come to see you.\I've been asleep all these years.\Why hasn't Master's body changed at all?\Mo Yuan's body has been preserved very well even without blood from your heart.\From the looks of it, it seems Mo Yuan will wake up soon. response:	Mi Gu.
context: - Where's Master? - You're awake.\Go and see for yourself.\Master, your unfilial disciple has come to see you.\I've been asleep all these years.\Why hasn't Master's body changed at all?\Mo Yuan's body has been preserved very well even without blood from your heart.\From the looks of it, it seems Mo Yuan will wake up soon.\Mi Gu. response:	- Mi Gu. - Aunt.
context: Go and see for yourself.\Master, your unfilial disciple has come to see you.\I've been asleep all these years.\Why hasn't Master's body changed at all?\Mo Yuan's body has been preserved very well even without blood from your heart.\From the looks of it, it seems Mo Yuan will wake up soon.\Mi Gu.\- Mi Gu. - Aunt. response:	Why do you look so concerned?
context: Master, your unfilial disciple has come to see you.\I've been asleep all these years.\Why hasn't Master's body changed at all?\Mo Yuan's body has been preserved very well even without blood from your heart.\From the looks of it, it seems Mo Yuan will wake up soon.\Mi Gu.\- Mi Gu. - Aunt.\Why do you look so concerned? response:	Ever since Little Princess came back from the Celestial Palace
context: I've been asleep all these years.\Why hasn't Master's body changed at all?\Mo Yuan's body has been preserved very well even without blood from your heart.\From the looks of it, it seems Mo Yuan will wake up soon.\Mi Gu.\- Mi Gu. - Aunt.\Why do you look so concerned?\Ever since Little Princess came back from the Celestial Palace response:	she's been drinking nonstop.
context: Why hasn't Master's body changed at all?\Mo Yuan's body has been preserved very well even without blood from your heart.\From the looks of it, it seems Mo Yuan will wake up soon.\Mi Gu.\- Mi Gu. - Aunt.\Why do you look so concerned?\Ever since Little Princess came back from the Celestial Palace\she's been drinking nonstop. response:	Bai Yi brought her home.
context: Mo Yuan's body has been preserved very well even without blood from your heart.\From the looks of it, it seems Mo Yuan will wake up soon.\Mi Gu.\- Mi Gu. - Aunt.\Why do you look so concerned?\Ever since Little Princess came back from the Celestial Palace\she's been drinking nonstop.\Bai Yi brought her home. response:	But started beating her when they couldn't talk things though.
context: From the looks of it, it seems Mo Yuan will wake up soon.\Mi Gu.\- Mi Gu. - Aunt.\Why do you look so concerned?\Ever since Little Princess came back from the Celestial Palace\she's been drinking nonstop.\Bai Yi brought her home.\But started beating her when they couldn't talk things though. response:	I secretly saved her.
context: Mi Gu.\- Mi Gu. - Aunt.\Why do you look so concerned?\Ever since Little Princess came back from the Celestial Palace\she's been drinking nonstop.\Bai Yi brought her home.\But started beating her when they couldn't talk things though.\I secretly saved her. response:	When Little Princess was getting beaten
context: - Mi Gu. - Aunt.\Why do you look so concerned?\Ever since Little Princess came back from the Celestial Palace\she's been drinking nonstop.\Bai Yi brought her home.\But started beating her when they couldn't talk things though.\I secretly saved her.\When Little Princess was getting beaten response:	she wouldn't cry even though she was bleeding.
context: Why do you look so concerned?\Ever since Little Princess came back from the Celestial Palace\she's been drinking nonstop.\Bai Yi brought her home.\But started beating her when they couldn't talk things though.\I secretly saved her.\When Little Princess was getting beaten\she wouldn't cry even though she was bleeding. response:	Since she's been here, she hasn't spoken.
context: Ever since Little Princess came back from the Celestial Palace\she's been drinking nonstop.\Bai Yi brought her home.\But started beating her when they couldn't talk things though.\I secretly saved her.\When Little Princess was getting beaten\she wouldn't cry even though she was bleeding.\Since she's been here, she hasn't spoken. response:	Aunt, hurry and go see her.
context: she's been drinking nonstop.\Bai Yi brought her home.\But started beating her when they couldn't talk things though.\I secretly saved her.\When Little Princess was getting beaten\she wouldn't cry even though she was bleeding.\Since she's been here, she hasn't spoken.\Aunt, hurry and go see her. response:	Feng Jiu, why did you drink so much?
context: Bai Yi brought her home.\But started beating her when they couldn't talk things though.\I secretly saved her.\When Little Princess was getting beaten\she wouldn't cry even though she was bleeding.\Since she's been here, she hasn't spoken.\Aunt, hurry and go see her.\Feng Jiu, why did you drink so much? response:	Wine isn't good for you.
context: But started beating her when they couldn't talk things though.\I secretly saved her.\When Little Princess was getting beaten\she wouldn't cry even though she was bleeding.\Since she's been here, she hasn't spoken.\Aunt, hurry and go see her.\Feng Jiu, why did you drink so much?\Wine isn't good for you. response:	Of course, the wine that Zhe Yan makes is the best thing in the world.
context: I secretly saved her.\When Little Princess was getting beaten\she wouldn't cry even though she was bleeding.\Since she's been here, she hasn't spoken.\Aunt, hurry and go see her.\Feng Jiu, why did you drink so much?\Wine isn't good for you.\Of course, the wine that Zhe Yan makes is the best thing in the world. response:	But you can't just drown your sorrows in alcohol.
context: When Little Princess was getting beaten\she wouldn't cry even though she was bleeding.\Since she's been here, she hasn't spoken.\Aunt, hurry and go see her.\Feng Jiu, why did you drink so much?\Wine isn't good for you.\Of course, the wine that Zhe Yan makes is the best thing in the world.\But you can't just drown your sorrows in alcohol. response:	You're wasting Zhe Yan's work.
context: she wouldn't cry even though she was bleeding.\Since she's been here, she hasn't spoken.\Aunt, hurry and go see her.\Feng Jiu, why did you drink so much?\Wine isn't good for you.\Of course, the wine that Zhe Yan makes is the best thing in the world.\But you can't just drown your sorrows in alcohol.\You're wasting Zhe Yan's work. response:	You must know that alcohol will only give you relief for a moment.
context: Since she's been here, she hasn't spoken.\Aunt, hurry and go see her.\Feng Jiu, why did you drink so much?\Wine isn't good for you.\Of course, the wine that Zhe Yan makes is the best thing in the world.\But you can't just drown your sorrows in alcohol.\You're wasting Zhe Yan's work.\You must know that alcohol will only give you relief for a moment. response:	When you sober up, the things that trouble you will still be there.
context: Aunt, hurry and go see her.\Feng Jiu, why did you drink so much?\Wine isn't good for you.\Of course, the wine that Zhe Yan makes is the best thing in the world.\But you can't just drown your sorrows in alcohol.\You're wasting Zhe Yan's work.\You must know that alcohol will only give you relief for a moment.\When you sober up, the things that trouble you will still be there. response:	Aunt, it's not because I'm worried about anything.
context: Feng Jiu, why did you drink so much?\Wine isn't good for you.\Of course, the wine that Zhe Yan makes is the best thing in the world.\But you can't just drown your sorrows in alcohol.\You're wasting Zhe Yan's work.\You must know that alcohol will only give you relief for a moment.\When you sober up, the things that trouble you will still be there.\Aunt, it's not because I'm worried about anything. response:	I know that drinking won't get rid of my problems.
context: Wine isn't good for you.\Of course, the wine that Zhe Yan makes is the best thing in the world.\But you can't just drown your sorrows in alcohol.\You're wasting Zhe Yan's work.\You must know that alcohol will only give you relief for a moment.\When you sober up, the things that trouble you will still be there.\Aunt, it's not because I'm worried about anything.\I know that drinking won't get rid of my problems. response:	It's just that if I don't drink, I'll want to cry from the pain.
context: Of course, the wine that Zhe Yan makes is the best thing in the world.\But you can't just drown your sorrows in alcohol.\You're wasting Zhe Yan's work.\You must know that alcohol will only give you relief for a moment.\When you sober up, the things that trouble you will still be there.\Aunt, it's not because I'm worried about anything.\I know that drinking won't get rid of my problems.\It's just that if I don't drink, I'll want to cry from the pain. response:	So that's why I keep drinking.
context: But you can't just drown your sorrows in alcohol.\You're wasting Zhe Yan's work.\You must know that alcohol will only give you relief for a moment.\When you sober up, the things that trouble you will still be there.\Aunt, it's not because I'm worried about anything.\I know that drinking won't get rid of my problems.\It's just that if I don't drink, I'll want to cry from the pain.\So that's why I keep drinking. response:	I can't cry in front of Dijun.
context: You're wasting Zhe Yan's work.\You must know that alcohol will only give you relief for a moment.\When you sober up, the things that trouble you will still be there.\Aunt, it's not because I'm worried about anything.\I know that drinking won't get rid of my problems.\It's just that if I don't drink, I'll want to cry from the pain.\So that's why I keep drinking.\I can't cry in front of Dijun. response:	I can't cry in front of anyone else.
context: You must know that alcohol will only give you relief for a moment.\When you sober up, the things that trouble you will still be there.\Aunt, it's not because I'm worried about anything.\I know that drinking won't get rid of my problems.\It's just that if I don't drink, I'll want to cry from the pain.\So that's why I keep drinking.\I can't cry in front of Dijun.\I can't cry in front of anyone else. response:	I can only cry here.
context: When you sober up, the things that trouble you will still be there.\Aunt, it's not because I'm worried about anything.\I know that drinking won't get rid of my problems.\It's just that if I don't drink, I'll want to cry from the pain.\So that's why I keep drinking.\I can't cry in front of Dijun.\I can't cry in front of anyone else.\I can only cry here. response:	Aunt, look at me.
context: Aunt, it's not because I'm worried about anything.\I know that drinking won't get rid of my problems.\It's just that if I don't drink, I'll want to cry from the pain.\So that's why I keep drinking.\I can't cry in front of Dijun.\I can't cry in front of anyone else.\I can only cry here.\Aunt, look at me. response:	I have to find a safe place just to cry.
context: I know that drinking won't get rid of my problems.\It's just that if I don't drink, I'll want to cry from the pain.\So that's why I keep drinking.\I can't cry in front of Dijun.\I can't cry in front of anyone else.\I can only cry here.\Aunt, look at me.\I have to find a safe place just to cry. response:	How pitiful.
context: It's just that if I don't drink, I'll want to cry from the pain.\So that's why I keep drinking.\I can't cry in front of Dijun.\I can't cry in front of anyone else.\I can only cry here.\Aunt, look at me.\I have to find a safe place just to cry.\How pitiful. response:	Fourth Brother, leave it to me.
context: So that's why I keep drinking.\I can't cry in front of Dijun.\I can't cry in front of anyone else.\I can only cry here.\Aunt, look at me.\I have to find a safe place just to cry.\How pitiful.\Fourth Brother, leave it to me. response:	Let the two of us have a nice chat.
context: I can't cry in front of Dijun.\I can't cry in front of anyone else.\I can only cry here.\Aunt, look at me.\I have to find a safe place just to cry.\How pitiful.\Fourth Brother, leave it to me.\Let the two of us have a nice chat. response:	Okay, okay. I'll leave it to you.
context: I can't cry in front of anyone else.\I can only cry here.\Aunt, look at me.\I have to find a safe place just to cry.\How pitiful.\Fourth Brother, leave it to me.\Let the two of us have a nice chat.\Okay, okay. I'll leave it to you. response:	I don't know what you women think.
context: I can only cry here.\Aunt, look at me.\I have to find a safe place just to cry.\How pitiful.\Fourth Brother, leave it to me.\Let the two of us have a nice chat.\Okay, okay. I'll leave it to you.\I don't know what you women think. response:	What should I say about you?
context: Aunt, look at me.\I have to find a safe place just to cry.\How pitiful.\Fourth Brother, leave it to me.\Let the two of us have a nice chat.\Okay, okay. I'll leave it to you.\I don't know what you women think.\What should I say about you? response:	So many things happened to you in such a short time.
context: I have to find a safe place just to cry.\How pitiful.\Fourth Brother, leave it to me.\Let the two of us have a nice chat.\Okay, okay. I'll leave it to you.\I don't know what you women think.\What should I say about you?\So many things happened to you in such a short time. response:	Tell me what's going on with you and Dong Hua Dijun.
