context: So hot! response:	It's getting hotter by the day...
context: understands them very well, including those parts of them.\That's probably why they find him so easy to confide in.\And what about us?\Would a demi want to seek advice from someone\who just blindly thinks of them as normal humans?\Wouldn't that scare them? And take courage?\Maybe they want to be more at ease,\asking for help or talking about demi-human stuff. response:	I guess we don't really know anything about them at all...
context: That's probably why they find him so easy to confide in.\And what about us?\Would a demi want to seek advice from someone\who just blindly thinks of them as normal humans?\Wouldn't that scare them? And take courage?\Maybe they want to be more at ease,\asking for help or talking about demi-human stuff.\I guess we don't really know anything about them at all... response:	At least, that's what I was thinking.
context: And what about us?\Would a demi want to seek advice from someone\who just blindly thinks of them as normal humans?\Wouldn't that scare them? And take courage?\Maybe they want to be more at ease,\asking for help or talking about demi-human stuff.\I guess we don't really know anything about them at all...\At least, that's what I was thinking. response:	Yeah, maybe.
context: Would a demi want to seek advice from someone\who just blindly thinks of them as normal humans?\Wouldn't that scare them? And take courage?\Maybe they want to be more at ease,\asking for help or talking about demi-human stuff.\I guess we don't really know anything about them at all...\At least, that's what I was thinking.\Yeah, maybe. response:	Wait, does that mean...
context: who just blindly thinks of them as normal humans?\Wouldn't that scare them? And take courage?\Maybe they want to be more at ease,\asking for help or talking about demi-human stuff.\I guess we don't really know anything about them at all...\At least, that's what I was thinking.\Yeah, maybe.\Wait, does that mean... response:	The reason the demi-chans only talk to Takahashi...
context: Wouldn't that scare them? And take courage?\Maybe they want to be more at ease,\asking for help or talking about demi-human stuff.\I guess we don't really know anything about them at all...\At least, that's what I was thinking.\Yeah, maybe.\Wait, does that mean...\The reason the demi-chans only talk to Takahashi... response:	Actually...
context: Maybe they want to be more at ease,\asking for help or talking about demi-human stuff.\I guess we don't really know anything about them at all...\At least, that's what I was thinking.\Yeah, maybe.\Wait, does that mean...\The reason the demi-chans only talk to Takahashi...\Actually... response:	You've really thought this through, huh?
context: asking for help or talking about demi-human stuff.\I guess we don't really know anything about them at all...\At least, that's what I was thinking.\Yeah, maybe.\Wait, does that mean...\The reason the demi-chans only talk to Takahashi...\Actually...\You've really thought this through, huh? response:	Yeah, really.
context: I guess we don't really know anything about them at all...\At least, that's what I was thinking.\Yeah, maybe.\Wait, does that mean...\The reason the demi-chans only talk to Takahashi...\Actually...\You've really thought this through, huh?\Yeah, really. response:	I'm surprised.
context: At least, that's what I was thinking.\Yeah, maybe.\Wait, does that mean...\The reason the demi-chans only talk to Takahashi...\Actually...\You've really thought this through, huh?\Yeah, really.\I'm surprised. response:	I'll hit you.
context: Yeah, maybe.\Wait, does that mean...\The reason the demi-chans only talk to Takahashi...\Actually...\You've really thought this through, huh?\Yeah, really.\I'm surprised.\I'll hit you. response:	Well, I probably wouldn't have ever considered all this
context: Wait, does that mean...\The reason the demi-chans only talk to Takahashi...\Actually...\You've really thought this through, huh?\Yeah, really.\I'm surprised.\I'll hit you.\Well, I probably wouldn't have ever considered all this response:	if there weren't any demi-chans around.
context: The reason the demi-chans only talk to Takahashi...\Actually...\You've really thought this through, huh?\Yeah, really.\I'm surprised.\I'll hit you.\Well, I probably wouldn't have ever considered all this\if there weren't any demi-chans around. response:	Yeah.
context: Actually...\You've really thought this through, huh?\Yeah, really.\I'm surprised.\I'll hit you.\Well, I probably wouldn't have ever considered all this\if there weren't any demi-chans around.\Yeah. response:	Sometime, maybe we should ask Tetsu-sensei about this stuff.
context: You've really thought this through, huh?\Yeah, really.\I'm surprised.\I'll hit you.\Well, I probably wouldn't have ever considered all this\if there weren't any demi-chans around.\Yeah.\Sometime, maybe we should ask Tetsu-sensei about this stuff. response:	I agree.
context: Yeah, really.\I'm surprised.\I'll hit you.\Well, I probably wouldn't have ever considered all this\if there weren't any demi-chans around.\Yeah.\Sometime, maybe we should ask Tetsu-sensei about this stuff.\I agree. response:	But maybe he also worries about weird, little things like these.
context: I'm surprised.\I'll hit you.\Well, I probably wouldn't have ever considered all this\if there weren't any demi-chans around.\Yeah.\Sometime, maybe we should ask Tetsu-sensei about this stuff.\I agree.\But maybe he also worries about weird, little things like these. response:	Nah, it's fine!
context: I'll hit you.\Well, I probably wouldn't have ever considered all this\if there weren't any demi-chans around.\Yeah.\Sometime, maybe we should ask Tetsu-sensei about this stuff.\I agree.\But maybe he also worries about weird, little things like these.\Nah, it's fine! response:	Tetsu-sensei's a dependable guy.
context: Well, I probably wouldn't have ever considered all this\if there weren't any demi-chans around.\Yeah.\Sometime, maybe we should ask Tetsu-sensei about this stuff.\I agree.\But maybe he also worries about weird, little things like these.\Nah, it's fine!\Tetsu-sensei's a dependable guy. response:	I don't know.
context: if there weren't any demi-chans around.\Yeah.\Sometime, maybe we should ask Tetsu-sensei about this stuff.\I agree.\But maybe he also worries about weird, little things like these.\Nah, it's fine!\Tetsu-sensei's a dependable guy.\I don't know. response:	I think being too dependable can actually complicate things.
context: Yeah.\Sometime, maybe we should ask Tetsu-sensei about this stuff.\I agree.\But maybe he also worries about weird, little things like these.\Nah, it's fine!\Tetsu-sensei's a dependable guy.\I don't know.\I think being too dependable can actually complicate things. response:	Trying too hard...
context: Sometime, maybe we should ask Tetsu-sensei about this stuff.\I agree.\But maybe he also worries about weird, little things like these.\Nah, it's fine!\Tetsu-sensei's a dependable guy.\I don't know.\I think being too dependable can actually complicate things.\Trying too hard... response:	How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo
context: I agree.\But maybe he also worries about weird, little things like these.\Nah, it's fine!\Tetsu-sensei's a dependable guy.\I don't know.\I think being too dependable can actually complicate things.\Trying too hard...\How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo response:	Sensei!
context: But maybe he also worries about weird, little things like these.\Nah, it's fine!\Tetsu-sensei's a dependable guy.\I don't know.\I think being too dependable can actually complicate things.\Trying too hard...\How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo\Sensei! response:	Heya!
context: Nah, it's fine!\Tetsu-sensei's a dependable guy.\I don't know.\I think being too dependable can actually complicate things.\Trying too hard...\How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo\Sensei!\Heya! response:	H-Hey...
context: Tetsu-sensei's a dependable guy.\I don't know.\I think being too dependable can actually complicate things.\Trying too hard...\How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo\Sensei!\Heya!\H-Hey... response:	Have you been thinking up a plan for us to handle summer?
context: I don't know.\I think being too dependable can actually complicate things.\Trying too hard...\How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo\Sensei!\Heya!\H-Hey...\Have you been thinking up a plan for us to handle summer? response:	May I hear it, too?
context: I think being too dependable can actually complicate things.\Trying too hard...\How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo\Sensei!\Heya!\H-Hey...\Have you been thinking up a plan for us to handle summer?\May I hear it, too? response:	A-Ah, yeah... I mean...
context: Trying too hard...\How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo\Sensei!\Heya!\H-Hey...\Have you been thinking up a plan for us to handle summer?\May I hear it, too?\A-Ah, yeah... I mean... response:	Well...
context: How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo\Sensei!\Heya!\H-Hey...\Have you been thinking up a plan for us to handle summer?\May I hear it, too?\A-Ah, yeah... I mean...\Well... response:	Sorry.
context: Sensei!\Heya!\H-Hey...\Have you been thinking up a plan for us to handle summer?\May I hear it, too?\A-Ah, yeah... I mean...\Well...\Sorry. response:	Today... I've got... some things.
context: Heya!\H-Hey...\Have you been thinking up a plan for us to handle summer?\May I hear it, too?\A-Ah, yeah... I mean...\Well...\Sorry.\Today... I've got... some things. response:	Interviews with Monster Girls
context: H-Hey...\Have you been thinking up a plan for us to handle summer?\May I hear it, too?\A-Ah, yeah... I mean...\Well...\Sorry.\Today... I've got... some things.\Interviews with Monster Girls response:	What was wrong with Sensei?
context: Have you been thinking up a plan for us to handle summer?\May I hear it, too?\A-Ah, yeah... I mean...\Well...\Sorry.\Today... I've got... some things.\Interviews with Monster Girls\What was wrong with Sensei? response:	Did he suddenly have some work?
context: May I hear it, too?\A-Ah, yeah... I mean...\Well...\Sorry.\Today... I've got... some things.\Interviews with Monster Girls\What was wrong with Sensei?\Did he suddenly have some work? response:	It didn't seem that way.
context: A-Ah, yeah... I mean...\Well...\Sorry.\Today... I've got... some things.\Interviews with Monster Girls\What was wrong with Sensei?\Did he suddenly have some work?\It didn't seem that way. response:	What's wrong, Yukki?
context: Well...\Sorry.\Today... I've got... some things.\Interviews with Monster Girls\What was wrong with Sensei?\Did he suddenly have some work?\It didn't seem that way.\What's wrong, Yukki? response:	Including this time,
context: Sorry.\Today... I've got... some things.\Interviews with Monster Girls\What was wrong with Sensei?\Did he suddenly have some work?\It didn't seem that way.\What's wrong, Yukki?\Including this time, response:	I think we've gotten used to having Takahashi-sensei
context: Today... I've got... some things.\Interviews with Monster Girls\What was wrong with Sensei?\Did he suddenly have some work?\It didn't seem that way.\What's wrong, Yukki?\Including this time,\I think we've gotten used to having Takahashi-sensei response:	think about things for us and do all kinds of stuff for us.
context: Interviews with Monster Girls\What was wrong with Sensei?\Did he suddenly have some work?\It didn't seem that way.\What's wrong, Yukki?\Including this time,\I think we've gotten used to having Takahashi-sensei\think about things for us and do all kinds of stuff for us. response:	Rather, maybe we've come to expect it of him.
context: What was wrong with Sensei?\Did he suddenly have some work?\It didn't seem that way.\What's wrong, Yukki?\Including this time,\I think we've gotten used to having Takahashi-sensei\think about things for us and do all kinds of stuff for us.\Rather, maybe we've come to expect it of him. response:	What do you mean?
context: Did he suddenly have some work?\It didn't seem that way.\What's wrong, Yukki?\Including this time,\I think we've gotten used to having Takahashi-sensei\think about things for us and do all kinds of stuff for us.\Rather, maybe we've come to expect it of him.\What do you mean? response:	Like, maybe we've been taking advantage of his good will.
context: It didn't seem that way.\What's wrong, Yukki?\Including this time,\I think we've gotten used to having Takahashi-sensei\think about things for us and do all kinds of stuff for us.\Rather, maybe we've come to expect it of him.\What do you mean?\Like, maybe we've been taking advantage of his good will. response:	You think we've become a burden to him?
context: What's wrong, Yukki?\Including this time,\I think we've gotten used to having Takahashi-sensei\think about things for us and do all kinds of stuff for us.\Rather, maybe we've come to expect it of him.\What do you mean?\Like, maybe we've been taking advantage of his good will.\You think we've become a burden to him? response:	Nah, there's no way!
context: Including this time,\I think we've gotten used to having Takahashi-sensei\think about things for us and do all kinds of stuff for us.\Rather, maybe we've come to expect it of him.\What do you mean?\Like, maybe we've been taking advantage of his good will.\You think we've become a burden to him?\Nah, there's no way! response:	A while back, I asked Sensei...
context: I think we've gotten used to having Takahashi-sensei\think about things for us and do all kinds of stuff for us.\Rather, maybe we've come to expect it of him.\What do you mean?\Like, maybe we've been taking advantage of his good will.\You think we've become a burden to him?\Nah, there's no way!\A while back, I asked Sensei... response:	After talking to you all these times,
context: think about things for us and do all kinds of stuff for us.\Rather, maybe we've come to expect it of him.\What do you mean?\Like, maybe we've been taking advantage of his good will.\You think we've become a burden to him?\Nah, there's no way!\A while back, I asked Sensei...\After talking to you all these times, response:	I've come to think some legends about vampires are rooted in their traits,
context: Rather, maybe we've come to expect it of him.\What do you mean?\Like, maybe we've been taking advantage of his good will.\You think we've become a burden to him?\Nah, there's no way!\A while back, I asked Sensei...\After talking to you all these times,\I've come to think some legends about vampires are rooted in their traits, response:	Originated from Traits Sucking Blood Dislike of Light Aversion to Garlic
context: What do you mean?\Like, maybe we've been taking advantage of his good will.\You think we've become a burden to him?\Nah, there's no way!\A while back, I asked Sensei...\After talking to you all these times,\I've come to think some legends about vampires are rooted in their traits,\Originated from Traits Sucking Blood Dislike of Light Aversion to Garlic response:	Originated from Religious Beliefs Aversion to Crosses No Reflection in Mirrors
context: Like, maybe we've been taking advantage of his good will.\You think we've become a burden to him?\Nah, there's no way!\A while back, I asked Sensei...\After talking to you all these times,\I've come to think some legends about vampires are rooted in their traits,\Originated from Traits Sucking Blood Dislike of Light Aversion to Garlic\Originated from Religious Beliefs Aversion to Crosses No Reflection in Mirrors response:	while others are religious concepts, created by human fears.
context: You think we've become a burden to him?\Nah, there's no way!\A while back, I asked Sensei...\After talking to you all these times,\I've come to think some legends about vampires are rooted in their traits,\Originated from Traits Sucking Blood Dislike of Light Aversion to Garlic\Originated from Religious Beliefs Aversion to Crosses No Reflection in Mirrors\while others are religious concepts, created by human fears. response:	I see!
context: Nah, there's no way!\A while back, I asked Sensei...\After talking to you all these times,\I've come to think some legends about vampires are rooted in their traits,\Originated from Traits Sucking Blood Dislike of Light Aversion to Garlic\Originated from Religious Beliefs Aversion to Crosses No Reflection in Mirrors\while others are religious concepts, created by human fears.\I see! response:	And what do we get by knowing that?
context: A while back, I asked Sensei...\After talking to you all these times,\I've come to think some legends about vampires are rooted in their traits,\Originated from Traits Sucking Blood Dislike of Light Aversion to Garlic\Originated from Religious Beliefs Aversion to Crosses No Reflection in Mirrors\while others are religious concepts, created by human fears.\I see!\And what do we get by knowing that? response:	It's fun!
context: After talking to you all these times,\I've come to think some legends about vampires are rooted in their traits,\Originated from Traits Sucking Blood Dislike of Light Aversion to Garlic\Originated from Religious Beliefs Aversion to Crosses No Reflection in Mirrors\while others are religious concepts, created by human fears.\I see!\And what do we get by knowing that?\It's fun! response:	That's how he acted.
context: I've come to think some legends about vampires are rooted in their traits,\Originated from Traits Sucking Blood Dislike of Light Aversion to Garlic\Originated from Religious Beliefs Aversion to Crosses No Reflection in Mirrors\while others are religious concepts, created by human fears.\I see!\And what do we get by knowing that?\It's fun!\That's how he acted. response:	Basically, he just wants to know?
context: Originated from Traits Sucking Blood Dislike of Light Aversion to Garlic\Originated from Religious Beliefs Aversion to Crosses No Reflection in Mirrors\while others are religious concepts, created by human fears.\I see!\And what do we get by knowing that?\It's fun!\That's how he acted.\Basically, he just wants to know? response:	Right, right. So everything is fine.
context: Originated from Religious Beliefs Aversion to Crosses No Reflection in Mirrors\while others are religious concepts, created by human fears.\I see!\And what do we get by knowing that?\It's fun!\That's how he acted.\Basically, he just wants to know?\Right, right. So everything is fine. response:	Then why did he act like that earlier?
context: while others are religious concepts, created by human fears.\I see!\And what do we get by knowing that?\It's fun!\That's how he acted.\Basically, he just wants to know?\Right, right. So everything is fine.\Then why did he act like that earlier? response:	Maybe something happened with another teacher?
context: I see!\And what do we get by knowing that?\It's fun!\That's how he acted.\Basically, he just wants to know?\Right, right. So everything is fine.\Then why did he act like that earlier?\Maybe something happened with another teacher? response:	If that were it, then we can't interfere.
context: And what do we get by knowing that?\It's fun!\That's how he acted.\Basically, he just wants to know?\Right, right. So everything is fine.\Then why did he act like that earlier?\Maybe something happened with another teacher?\If that were it, then we can't interfere. response:	If we can't ask Sensei, we can ask Sakki!
context: It's fun!\That's how he acted.\Basically, he just wants to know?\Right, right. So everything is fine.\Then why did he act like that earlier?\Maybe something happened with another teacher?\If that were it, then we can't interfere.\If we can't ask Sensei, we can ask Sakki! response:	I'll be right back.
context: That's how he acted.\Basically, he just wants to know?\Right, right. So everything is fine.\Then why did he act like that earlier?\Maybe something happened with another teacher?\If that were it, then we can't interfere.\If we can't ask Sensei, we can ask Sakki!\I'll be right back. response:	Hikari-chan!
context: Basically, he just wants to know?\Right, right. So everything is fine.\Then why did he act like that earlier?\Maybe something happened with another teacher?\If that were it, then we can't interfere.\If we can't ask Sensei, we can ask Sakki!\I'll be right back.\Hikari-chan! response:	I don't think that will help...
context: Right, right. So everything is fine.\Then why did he act like that earlier?\Maybe something happened with another teacher?\If that were it, then we can't interfere.\If we can't ask Sensei, we can ask Sakki!\I'll be right back.\Hikari-chan!\I don't think that will help... response:	Excuse me!
context: Then why did he act like that earlier?\Maybe something happened with another teacher?\If that were it, then we can't interfere.\If we can't ask Sensei, we can ask Sakki!\I'll be right back.\Hikari-chan!\I don't think that will help...\Excuse me! response:	Is something wrong?
context: Maybe something happened with another teacher?\If that were it, then we can't interfere.\If we can't ask Sensei, we can ask Sakki!\I'll be right back.\Hikari-chan!\I don't think that will help...\Excuse me!\Is something wrong? response:	Oh, is Sakki
context: If that were it, then we can't interfere.\If we can't ask Sensei, we can ask Sakki!\I'll be right back.\Hikari-chan!\I don't think that will help...\Excuse me!\Is something wrong?\Oh, is Sakki response:	I mean, Satou-sensei here? I wanted to ask her something.
context: If we can't ask Sensei, we can ask Sakki!\I'll be right back.\Hikari-chan!\I don't think that will help...\Excuse me!\Is something wrong?\Oh, is Sakki\I mean, Satou-sensei here? I wanted to ask her something. response:	I believe Satou-sensei is working in the schoolyard.
context: I'll be right back.\Hikari-chan!\I don't think that will help...\Excuse me!\Is something wrong?\Oh, is Sakki\I mean, Satou-sensei here? I wanted to ask her something.\I believe Satou-sensei is working in the schoolyard. response:	She's in the schoolyard? Thank you.
context: Hikari-chan!\I don't think that will help...\Excuse me!\Is something wrong?\Oh, is Sakki\I mean, Satou-sensei here? I wanted to ask her something.\I believe Satou-sensei is working in the schoolyard.\She's in the schoolyard? Thank you. response:	I'll be going, then!
context: I don't think that will help...\Excuse me!\Is something wrong?\Oh, is Sakki\I mean, Satou-sensei here? I wanted to ask her something.\I believe Satou-sensei is working in the schoolyard.\She's in the schoolyard? Thank you.\I'll be going, then! response:	We have to think about how to get along with demi-chans, too.
context: Excuse me!\Is something wrong?\Oh, is Sakki\I mean, Satou-sensei here? I wanted to ask her something.\I believe Satou-sensei is working in the schoolyard.\She's in the schoolyard? Thank you.\I'll be going, then!\We have to think about how to get along with demi-chans, too. response:	Well, each of us is different.
context: Is something wrong?\Oh, is Sakki\I mean, Satou-sensei here? I wanted to ask her something.\I believe Satou-sensei is working in the schoolyard.\She's in the schoolyard? Thank you.\I'll be going, then!\We have to think about how to get along with demi-chans, too.\Well, each of us is different. response:	And we have no problem talking to one another about it.
context: Oh, is Sakki\I mean, Satou-sensei here? I wanted to ask her something.\I believe Satou-sensei is working in the schoolyard.\She's in the schoolyard? Thank you.\I'll be going, then!\We have to think about how to get along with demi-chans, too.\Well, each of us is different.\And we have no problem talking to one another about it. response:	I get it...
context: I mean, Satou-sensei here? I wanted to ask her something.\I believe Satou-sensei is working in the schoolyard.\She's in the schoolyard? Thank you.\I'll be going, then!\We have to think about how to get along with demi-chans, too.\Well, each of us is different.\And we have no problem talking to one another about it.\I get it... response:	You look kinda mean, but you say some smart stuff
context: I believe Satou-sensei is working in the schoolyard.\She's in the schoolyard? Thank you.\I'll be going, then!\We have to think about how to get along with demi-chans, too.\Well, each of us is different.\And we have no problem talking to one another about it.\I get it...\You look kinda mean, but you say some smart stuff response:	Huh?
context: She's in the schoolyard? Thank you.\I'll be going, then!\We have to think about how to get along with demi-chans, too.\Well, each of us is different.\And we have no problem talking to one another about it.\I get it...\You look kinda mean, but you say some smart stuff\Huh? response:	I mean... That's the kind of difference you meant, right?
context: I'll be going, then!\We have to think about how to get along with demi-chans, too.\Well, each of us is different.\And we have no problem talking to one another about it.\I get it...\You look kinda mean, but you say some smart stuff\Huh?\I mean... That's the kind of difference you meant, right? response:	That was just you insulting me.
context: We have to think about how to get along with demi-chans, too.\Well, each of us is different.\And we have no problem talking to one another about it.\I get it...\You look kinda mean, but you say some smart stuff\Huh?\I mean... That's the kind of difference you meant, right?\That was just you insulting me. response:	Oh!
context: Well, each of us is different.\And we have no problem talking to one another about it.\I get it...\You look kinda mean, but you say some smart stuff\Huh?\I mean... That's the kind of difference you meant, right?\That was just you insulting me.\Oh! response:	H-Hey, what's the rush?
context: And we have no problem talking to one another about it.\I get it...\You look kinda mean, but you say some smart stuff\Huh?\I mean... That's the kind of difference you meant, right?\That was just you insulting me.\Oh!\H-Hey, what's the rush? response:	Have you seen Sakki?
context: I get it...\You look kinda mean, but you say some smart stuff\Huh?\I mean... That's the kind of difference you meant, right?\That was just you insulting me.\Oh!\H-Hey, what's the rush?\Have you seen Sakki? response:	You mean Satou-sensei?
context: You look kinda mean, but you say some smart stuff\Huh?\I mean... That's the kind of difference you meant, right?\That was just you insulting me.\Oh!\H-Hey, what's the rush?\Have you seen Sakki?\You mean Satou-sensei? response:	Yeah.
context: Huh?\I mean... That's the kind of difference you meant, right?\That was just you insulting me.\Oh!\H-Hey, what's the rush?\Have you seen Sakki?\You mean Satou-sensei?\Yeah. response:	She's pruning trees on the other side of the athletic field.
context: I mean... That's the kind of difference you meant, right?\That was just you insulting me.\Oh!\H-Hey, what's the rush?\Have you seen Sakki?\You mean Satou-sensei?\Yeah.\She's pruning trees on the other side of the athletic field. response:	Got it!
context: That was just you insulting me.\Oh!\H-Hey, what's the rush?\Have you seen Sakki?\You mean Satou-sensei?\Yeah.\She's pruning trees on the other side of the athletic field.\Got it! response:	Hey, Takanashi, hang on a sec.
context: Oh!\H-Hey, what's the rush?\Have you seen Sakki?\You mean Satou-sensei?\Yeah.\She's pruning trees on the other side of the athletic field.\Got it!\Hey, Takanashi, hang on a sec. response:	Listen, it's about Tetsu-sensei...
context: H-Hey, what's the rush?\Have you seen Sakki?\You mean Satou-sensei?\Yeah.\She's pruning trees on the other side of the athletic field.\Got it!\Hey, Takanashi, hang on a sec.\Listen, it's about Tetsu-sensei... response:	Sensei?
context: Have you seen Sakki?\You mean Satou-sensei?\Yeah.\She's pruning trees on the other side of the athletic field.\Got it!\Hey, Takanashi, hang on a sec.\Listen, it's about Tetsu-sensei...\Sensei? response:	So that's what happened.
context: You mean Satou-sensei?\Yeah.\She's pruning trees on the other side of the athletic field.\Got it!\Hey, Takanashi, hang on a sec.\Listen, it's about Tetsu-sensei...\Sensei?\So that's what happened. response:	I see...
context: Yeah.\She's pruning trees on the other side of the athletic field.\Got it!\Hey, Takanashi, hang on a sec.\Listen, it's about Tetsu-sensei...\Sensei?\So that's what happened.\I see... response:	Okay.
context: She's pruning trees on the other side of the athletic field.\Got it!\Hey, Takanashi, hang on a sec.\Listen, it's about Tetsu-sensei...\Sensei?\So that's what happened.\I see...\Okay. response:	I'll try to do something, too.
context: Got it!\Hey, Takanashi, hang on a sec.\Listen, it's about Tetsu-sensei...\Sensei?\So that's what happened.\I see...\Okay.\I'll try to do something, too. response:	Thanks, Satakke.
context: Hey, Takanashi, hang on a sec.\Listen, it's about Tetsu-sensei...\Sensei?\So that's what happened.\I see...\Okay.\I'll try to do something, too.\Thanks, Satakke. response:	Satakke?
context: Listen, it's about Tetsu-sensei...\Sensei?\So that's what happened.\I see...\Okay.\I'll try to do something, too.\Thanks, Satakke.\Satakke? response:	What the heck?!
context: Sensei?\So that's what happened.\I see...\Okay.\I'll try to do something, too.\Thanks, Satakke.\Satakke?\What the heck?! response:	That sounds like some kind of monster, right?
context: So that's what happened.\I see...\Okay.\I'll try to do something, too.\Thanks, Satakke.\Satakke?\What the heck?!\That sounds like some kind of monster, right? response:	Yeah.
context: I see...\Okay.\I'll try to do something, too.\Thanks, Satakke.\Satakke?\What the heck?!\That sounds like some kind of monster, right?\Yeah. response:	I did say I wanted a nickname, but come on!
context: Okay.\I'll try to do something, too.\Thanks, Satakke.\Satakke?\What the heck?!\That sounds like some kind of monster, right?\Yeah.\I did say I wanted a nickname, but come on! response:	Lucky... He got a nickname.
context: I'll try to do something, too.\Thanks, Satakke.\Satakke?\What the heck?!\That sounds like some kind of monster, right?\Yeah.\I did say I wanted a nickname, but come on!\Lucky... He got a nickname. response:	Oh... So the vice principal said that.
context: Thanks, Satakke.\Satakke?\What the heck?!\That sounds like some kind of monster, right?\Yeah.\I did say I wanted a nickname, but come on!\Lucky... He got a nickname.\Oh... So the vice principal said that. response:	Yeah.
context: Satakke?\What the heck?!\That sounds like some kind of monster, right?\Yeah.\I did say I wanted a nickname, but come on!\Lucky... He got a nickname.\Oh... So the vice principal said that.\Yeah. response:	Then, that's why Takahashi-sensei...
context: What the heck?!\That sounds like some kind of monster, right?\Yeah.\I did say I wanted a nickname, but come on!\Lucky... He got a nickname.\Oh... So the vice principal said that.\Yeah.\Then, that's why Takahashi-sensei... response:	Maybe we really were taking advantage of him.
context: That sounds like some kind of monster, right?\Yeah.\I did say I wanted a nickname, but come on!\Lucky... He got a nickname.\Oh... So the vice principal said that.\Yeah.\Then, that's why Takahashi-sensei...\Maybe we really were taking advantage of him. response:	No, that isn't true at all.
context: Yeah.\I did say I wanted a nickname, but come on!\Lucky... He got a nickname.\Oh... So the vice principal said that.\Yeah.\Then, that's why Takahashi-sensei...\Maybe we really were taking advantage of him.\No, that isn't true at all. response:	There are four demis at this school.
context: I did say I wanted a nickname, but come on!\Lucky... He got a nickname.\Oh... So the vice principal said that.\Yeah.\Then, that's why Takahashi-sensei...\Maybe we really were taking advantage of him.\No, that isn't true at all.\There are four demis at this school. response:	And I think we're truly blessed to have Takahashi-sensei here, too.
context: Lucky... He got a nickname.\Oh... So the vice principal said that.\Yeah.\Then, that's why Takahashi-sensei...\Maybe we really were taking advantage of him.\No, that isn't true at all.\There are four demis at this school.\And I think we're truly blessed to have Takahashi-sensei here, too. response:	We've all been saved many times because of that fact, right?
context: Oh... So the vice principal said that.\Yeah.\Then, that's why Takahashi-sensei...\Maybe we really were taking advantage of him.\No, that isn't true at all.\There are four demis at this school.\And I think we're truly blessed to have Takahashi-sensei here, too.\We've all been saved many times because of that fact, right? response:	Well, of course.
context: Yeah.\Then, that's why Takahashi-sensei...\Maybe we really were taking advantage of him.\No, that isn't true at all.\There are four demis at this school.\And I think we're truly blessed to have Takahashi-sensei here, too.\We've all been saved many times because of that fact, right?\Well, of course. response:	Lots of times.
context: Then, that's why Takahashi-sensei...\Maybe we really were taking advantage of him.\No, that isn't true at all.\There are four demis at this school.\And I think we're truly blessed to have Takahashi-sensei here, too.\We've all been saved many times because of that fact, right?\Well, of course.\Lots of times. response:	But the vice principal didn't have to say that to him...
context: Maybe we really were taking advantage of him.\No, that isn't true at all.\There are four demis at this school.\And I think we're truly blessed to have Takahashi-sensei here, too.\We've all been saved many times because of that fact, right?\Well, of course.\Lots of times.\But the vice principal didn't have to say that to him... response:	The vice principal can be strict,
context: No, that isn't true at all.\There are four demis at this school.\And I think we're truly blessed to have Takahashi-sensei here, too.\We've all been saved many times because of that fact, right?\Well, of course.\Lots of times.\But the vice principal didn't have to say that to him...\The vice principal can be strict, response:	but he's an admirable man, with a passion for education.
context: There are four demis at this school.\And I think we're truly blessed to have Takahashi-sensei here, too.\We've all been saved many times because of that fact, right?\Well, of course.\Lots of times.\But the vice principal didn't have to say that to him...\The vice principal can be strict,\but he's an admirable man, with a passion for education. response:	What he said wasn't wrong.
context: And I think we're truly blessed to have Takahashi-sensei here, too.\We've all been saved many times because of that fact, right?\Well, of course.\Lots of times.\But the vice principal didn't have to say that to him...\The vice principal can be strict,\but he's an admirable man, with a passion for education.\What he said wasn't wrong. response:	And I don't think he meant to shut Takahashi-sensei down completely.
context: We've all been saved many times because of that fact, right?\Well, of course.\Lots of times.\But the vice principal didn't have to say that to him...\The vice principal can be strict,\but he's an admirable man, with a passion for education.\What he said wasn't wrong.\And I don't think he meant to shut Takahashi-sensei down completely. response:	What can we do?
context: Well, of course.\Lots of times.\But the vice principal didn't have to say that to him...\The vice principal can be strict,\but he's an admirable man, with a passion for education.\What he said wasn't wrong.\And I don't think he meant to shut Takahashi-sensei down completely.\What can we do? response:	I don't know if I could just start talking to someone else.
context: Lots of times.\But the vice principal didn't have to say that to him...\The vice principal can be strict,\but he's an admirable man, with a passion for education.\What he said wasn't wrong.\And I don't think he meant to shut Takahashi-sensei down completely.\What can we do?\I don't know if I could just start talking to someone else. response:	And it would make them uncomfortable.
context: But the vice principal didn't have to say that to him...\The vice principal can be strict,\but he's an admirable man, with a passion for education.\What he said wasn't wrong.\And I don't think he meant to shut Takahashi-sensei down completely.\What can we do?\I don't know if I could just start talking to someone else.\And it would make them uncomfortable. response:	I've got it!
