context: Hey, have you heard the phrase a sea of flames? response:	It's saying that the fire is like the sea, right?
context: What?\Have it your way.\If you can keep up.\The underground world of stench and defilement.\Those who cannot withstand the poisonous atmosphere turn to dust.\Slumbering somewhere down here is my body.\And I will get it back.\It's massive. response:	So this is the Netherworld.
context: Have it your way.\If you can keep up.\The underground world of stench and defilement.\Those who cannot withstand the poisonous atmosphere turn to dust.\Slumbering somewhere down here is my body.\And I will get it back.\It's massive.\So this is the Netherworld. response:	I never imagined that it was so hot down here.
context: If you can keep up.\The underground world of stench and defilement.\Those who cannot withstand the poisonous atmosphere turn to dust.\Slumbering somewhere down here is my body.\And I will get it back.\It's massive.\So this is the Netherworld.\I never imagined that it was so hot down here. response:	Good grief. I wonder where Master Kirihito ended up landing.
context: The underground world of stench and defilement.\Those who cannot withstand the poisonous atmosphere turn to dust.\Slumbering somewhere down here is my body.\And I will get it back.\It's massive.\So this is the Netherworld.\I never imagined that it was so hot down here.\Good grief. I wonder where Master Kirihito ended up landing. response:	Master Kirihito!
context: Those who cannot withstand the poisonous atmosphere turn to dust.\Slumbering somewhere down here is my body.\And I will get it back.\It's massive.\So this is the Netherworld.\I never imagined that it was so hot down here.\Good grief. I wonder where Master Kirihito ended up landing.\Master Kirihito! response:	Thank goodness! I wouldn't know what to do if I was lost!
context: Slumbering somewhere down here is my body.\And I will get it back.\It's massive.\So this is the Netherworld.\I never imagined that it was so hot down here.\Good grief. I wonder where Master Kirihito ended up landing.\Master Kirihito!\Thank goodness! I wouldn't know what to do if I was lost! response:	How unexpected.
context: And I will get it back.\It's massive.\So this is the Netherworld.\I never imagined that it was so hot down here.\Good grief. I wonder where Master Kirihito ended up landing.\Master Kirihito!\Thank goodness! I wouldn't know what to do if I was lost!\How unexpected. response:	You're still alive.
context: It's massive.\So this is the Netherworld.\I never imagined that it was so hot down here.\Good grief. I wonder where Master Kirihito ended up landing.\Master Kirihito!\Thank goodness! I wouldn't know what to do if I was lost!\How unexpected.\You're still alive. response:	Huh?
context: So this is the Netherworld.\I never imagined that it was so hot down here.\Good grief. I wonder where Master Kirihito ended up landing.\Master Kirihito!\Thank goodness! I wouldn't know what to do if I was lost!\How unexpected.\You're still alive.\Huh? response:	Weak spirits turn to dust when they touch the Netherworld's air.
context: I never imagined that it was so hot down here.\Good grief. I wonder where Master Kirihito ended up landing.\Master Kirihito!\Thank goodness! I wouldn't know what to do if I was lost!\How unexpected.\You're still alive.\Huh?\Weak spirits turn to dust when they touch the Netherworld's air. response:	I thought that you might turn to dust like Tekkimaru did.
context: Good grief. I wonder where Master Kirihito ended up landing.\Master Kirihito!\Thank goodness! I wouldn't know what to do if I was lost!\How unexpected.\You're still alive.\Huh?\Weak spirits turn to dust when they touch the Netherworld's air.\I thought that you might turn to dust like Tekkimaru did. response:	Who are you really?
context: Master Kirihito!\Thank goodness! I wouldn't know what to do if I was lost!\How unexpected.\You're still alive.\Huh?\Weak spirits turn to dust when they touch the Netherworld's air.\I thought that you might turn to dust like Tekkimaru did.\Who are you really? response:	And what's your interest in Akura-oh?
context: Thank goodness! I wouldn't know what to do if I was lost!\How unexpected.\You're still alive.\Huh?\Weak spirits turn to dust when they touch the Netherworld's air.\I thought that you might turn to dust like Tekkimaru did.\Who are you really?\And what's your interest in Akura-oh? response:	used to serve Master Akura-oh long ago, you see.
context: How unexpected.\You're still alive.\Huh?\Weak spirits turn to dust when they touch the Netherworld's air.\I thought that you might turn to dust like Tekkimaru did.\Who are you really?\And what's your interest in Akura-oh?\used to serve Master Akura-oh long ago, you see. response:	Grrr
context: You're still alive.\Huh?\Weak spirits turn to dust when they touch the Netherworld's air.\I thought that you might turn to dust like Tekkimaru did.\Who are you really?\And what's your interest in Akura-oh?\used to serve Master Akura-oh long ago, you see.\Grrr response:	Smack
context: Huh?\Weak spirits turn to dust when they touch the Netherworld's air.\I thought that you might turn to dust like Tekkimaru did.\Who are you really?\And what's your interest in Akura-oh?\used to serve Master Akura-oh long ago, you see.\Grrr\Smack response:	Grrr
context: Weak spirits turn to dust when they touch the Netherworld's air.\I thought that you might turn to dust like Tekkimaru did.\Who are you really?\And what's your interest in Akura-oh?\used to serve Master Akura-oh long ago, you see.\Grrr\Smack\Grrr response:	Grrr
context: I thought that you might turn to dust like Tekkimaru did.\Who are you really?\And what's your interest in Akura-oh?\used to serve Master Akura-oh long ago, you see.\Grrr\Smack\Grrr\Grrr response:	Smack
context: Who are you really?\And what's your interest in Akura-oh?\used to serve Master Akura-oh long ago, you see.\Grrr\Smack\Grrr\Grrr\Smack response:	Grrr
context: And what's your interest in Akura-oh?\used to serve Master Akura-oh long ago, you see.\Grrr\Smack\Grrr\Grrr\Smack\Grrr response:	Grrr
context: used to serve Master Akura-oh long ago, you see.\Grrr\Smack\Grrr\Grrr\Smack\Grrr\Grrr response:	Grrr
context: Grrr\Smack\Grrr\Grrr\Smack\Grrr\Grrr\Grrr response:	Grrr
context: Smack\Grrr\Grrr\Smack\Grrr\Grrr\Grrr\Grrr response:	Smack
context: Grrr\Grrr\Smack\Grrr\Grrr\Grrr\Grrr\Smack response:	Grrr
context: Grrr\Smack\Grrr\Grrr\Grrr\Grrr\Smack\Grrr response:	Grrr
context: Smack\Grrr\Grrr\Grrr\Grrr\Smack\Grrr\Grrr response:	Smack
context: Grrr\Grrr\Grrr\Grrr\Smack\Grrr\Grrr\Smack response:	Grrr
context: Grrr\Grrr\Grrr\Smack\Grrr\Grrr\Smack\Grrr response:	Grrr
context: Grrr\Grrr\Smack\Grrr\Grrr\Smack\Grrr\Grrr response:	Grrr
context: Grrr\Smack\Grrr\Grrr\Smack\Grrr\Grrr\Grrr response:	Grrr
context: Smack\Grrr\Grrr\Smack\Grrr\Grrr\Grrr\Grrr response:	Smack
context: Grrr\Grrr\Smack\Grrr\Grrr\Grrr\Grrr\Smack response:	Grrr
context: Grrr\Smack\Grrr\Grrr\Grrr\Grrr\Smack\Grrr response:	I don't know this guy.
context: Smack\Grrr\Grrr\Grrr\Grrr\Smack\Grrr\I don't know this guy. response:	Grrr
context: Grrr\Grrr\Grrr\Grrr\Smack\Grrr\I don't know this guy.\Grrr response:	Smack
context: Grrr\Grrr\Grrr\Smack\Grrr\I don't know this guy.\Grrr\Smack response:	Grrr
context: Grrr\Grrr\Smack\Grrr\I don't know this guy.\Grrr\Smack\Grrr response:	Grrr
context: Grrr\Smack\Grrr\I don't know this guy.\Grrr\Smack\Grrr\Grrr response:	Grrr
context: Smack\Grrr\I don't know this guy.\Grrr\Smack\Grrr\Grrr\Grrr response:	Grrr
context: Grrr\I don't know this guy.\Grrr\Smack\Grrr\Grrr\Grrr\Grrr response:	Grrr
context: I don't know this guy.\Grrr\Smack\Grrr\Grrr\Grrr\Grrr\Grrr response:	Grrr
context: Grrr\Smack\Grrr\Grrr\Grrr\Grrr\Grrr\Grrr response:	Smack
context: Smack\Grrr\Grrr\Grrr\Grrr\Grrr\Grrr\Smack response:	Grrr
context: Grrr\Grrr\Grrr\Grrr\Grrr\Grrr\Smack\Grrr response:	Grrr
context: Grrr\Grrr\Grrr\Grrr\Grrr\Smack\Grrr\Grrr response:	Grrr
context: Grrr\Grrr\Grrr\Grrr\Smack\Grrr\Grrr\Grrr response:	Grrr
context: Grrr\Grrr\Grrr\Smack\Grrr\Grrr\Grrr\Grrr response:	Don't lie. Someone like you...
context: Grrr\Grrr\Smack\Grrr\Grrr\Grrr\Grrr\Don't lie. Someone like you... response:	It is true.
context: Grrr\Smack\Grrr\Grrr\Grrr\Grrr\Don't lie. Someone like you...\It is true. response:	Although, Master Akura-oh is unlikely to remember me.
context: Smack\Grrr\Grrr\Grrr\Grrr\Don't lie. Someone like you...\It is true.\Although, Master Akura-oh is unlikely to remember me. response:	Because I was shy and always off in some corner, crying to myself.
context: Grrr\Grrr\Grrr\Grrr\Don't lie. Someone like you...\It is true.\Although, Master Akura-oh is unlikely to remember me.\Because I was shy and always off in some corner, crying to myself. response:	You seem young, Master Kirihito, so I doubt you ever had the pleasure of knowing Master Akura-oh.
context: Grrr\Grrr\Grrr\Don't lie. Someone like you...\It is true.\Although, Master Akura-oh is unlikely to remember me.\Because I was shy and always off in some corner, crying to myself.\You seem young, Master Kirihito, so I doubt you ever had the pleasure of knowing Master Akura-oh. response:	He possesses a spirit of pure wickedness.
context: Grrr\Grrr\Don't lie. Someone like you...\It is true.\Although, Master Akura-oh is unlikely to remember me.\Because I was shy and always off in some corner, crying to myself.\You seem young, Master Kirihito, so I doubt you ever had the pleasure of knowing Master Akura-oh.\He possesses a spirit of pure wickedness. response:	He is also true to his own desires and cares naught for others.
context: Grrr\Don't lie. Someone like you...\It is true.\Although, Master Akura-oh is unlikely to remember me.\Because I was shy and always off in some corner, crying to myself.\You seem young, Master Kirihito, so I doubt you ever had the pleasure of knowing Master Akura-oh.\He possesses a spirit of pure wickedness.\He is also true to his own desires and cares naught for others. response:	But even so, many underlings wanted to follow his lead, and I, too, was one of them.
context: Don't lie. Someone like you...\It is true.\Although, Master Akura-oh is unlikely to remember me.\Because I was shy and always off in some corner, crying to myself.\You seem young, Master Kirihito, so I doubt you ever had the pleasure of knowing Master Akura-oh.\He possesses a spirit of pure wickedness.\He is also true to his own desires and cares naught for others.\But even so, many underlings wanted to follow his lead, and I, too, was one of them. response:	Are you listening, Master Kirihito?
context: It is true.\Although, Master Akura-oh is unlikely to remember me.\Because I was shy and always off in some corner, crying to myself.\You seem young, Master Kirihito, so I doubt you ever had the pleasure of knowing Master Akura-oh.\He possesses a spirit of pure wickedness.\He is also true to his own desires and cares naught for others.\But even so, many underlings wanted to follow his lead, and I, too, was one of them.\Are you listening, Master Kirihito? response:	It's hot.
context: Although, Master Akura-oh is unlikely to remember me.\Because I was shy and always off in some corner, crying to myself.\You seem young, Master Kirihito, so I doubt you ever had the pleasure of knowing Master Akura-oh.\He possesses a spirit of pure wickedness.\He is also true to his own desires and cares naught for others.\But even so, many underlings wanted to follow his lead, and I, too, was one of them.\Are you listening, Master Kirihito?\It's hot. response:	drip
context: Because I was shy and always off in some corner, crying to myself.\You seem young, Master Kirihito, so I doubt you ever had the pleasure of knowing Master Akura-oh.\He possesses a spirit of pure wickedness.\He is also true to his own desires and cares naught for others.\But even so, many underlings wanted to follow his lead, and I, too, was one of them.\Are you listening, Master Kirihito?\It's hot.\drip response:	drip
context: You seem young, Master Kirihito, so I doubt you ever had the pleasure of knowing Master Akura-oh.\He possesses a spirit of pure wickedness.\He is also true to his own desires and cares naught for others.\But even so, many underlings wanted to follow his lead, and I, too, was one of them.\Are you listening, Master Kirihito?\It's hot.\drip\drip response:	drip
context: He possesses a spirit of pure wickedness.\He is also true to his own desires and cares naught for others.\But even so, many underlings wanted to follow his lead, and I, too, was one of them.\Are you listening, Master Kirihito?\It's hot.\drip\drip\drip response:	drip
context: He is also true to his own desires and cares naught for others.\But even so, many underlings wanted to follow his lead, and I, too, was one of them.\Are you listening, Master Kirihito?\It's hot.\drip\drip\drip\drip response:	drip
context: But even so, many underlings wanted to follow his lead, and I, too, was one of them.\Are you listening, Master Kirihito?\It's hot.\drip\drip\drip\drip\drip response:	drip
context: Are you listening, Master Kirihito?\It's hot.\drip\drip\drip\drip\drip\drip response:	drip
context: It's hot.\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	However, there was one man he kept by his side, and that was the fox spirit.
context: drip\drip\drip\drip\drip\drip\drip\However, there was one man he kept by his side, and that was the fox spirit. response:	drip
context: drip\drip\drip\drip\drip\drip\However, there was one man he kept by his side, and that was the fox spirit.\drip response:	drip
context: drip\drip\drip\drip\drip\However, there was one man he kept by his side, and that was the fox spirit.\drip\drip response:	drip
context: drip\drip\drip\drip\However, there was one man he kept by his side, and that was the fox spirit.\drip\drip\drip response:	drip
context: drip\drip\drip\However, there was one man he kept by his side, and that was the fox spirit.\drip\drip\drip\drip response:	drip
context: drip\drip\However, there was one man he kept by his side, and that was the fox spirit.\drip\drip\drip\drip\drip response:	drip
context: drip\However, there was one man he kept by his side, and that was the fox spirit.\drip\drip\drip\drip\drip\drip response:	drip
context: However, there was one man he kept by his side, and that was the fox spirit.\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	drip
context: drip\drip\drip\drip\drip\drip\drip\drip response:	Wherever the two went, none could stand before them.
context: drip\drip\drip\drip\drip\drip\drip\Wherever the two went, none could stand before them. response:	Before their great might, even the heavenly gods stood by and did nothing.
context: drip\drip\drip\drip\drip\drip\Wherever the two went, none could stand before them.\Before their great might, even the heavenly gods stood by and did nothing. response:	However...
context: drip\drip\drip\drip\drip\Wherever the two went, none could stand before them.\Before their great might, even the heavenly gods stood by and did nothing.\However... response:	At one point, Master Akura-oh and the fox grew apart.
context: drip\drip\drip\drip\Wherever the two went, none could stand before them.\Before their great might, even the heavenly gods stood by and did nothing.\However...\At one point, Master Akura-oh and the fox grew apart. response:	And it was all downhill from there.
context: drip\drip\drip\Wherever the two went, none could stand before them.\Before their great might, even the heavenly gods stood by and did nothing.\However...\At one point, Master Akura-oh and the fox grew apart.\And it was all downhill from there. response:	The fox disappeared, and Master Akura-oh's body went to the Netherworld.
context: drip\drip\Wherever the two went, none could stand before them.\Before their great might, even the heavenly gods stood by and did nothing.\However...\At one point, Master Akura-oh and the fox grew apart.\And it was all downhill from there.\The fox disappeared, and Master Akura-oh's body went to the Netherworld. response:	Do you know what their disagreement was
context: drip\Wherever the two went, none could stand before them.\Before their great might, even the heavenly gods stood by and did nothing.\However...\At one point, Master Akura-oh and the fox grew apart.\And it was all downhill from there.\The fox disappeared, and Master Akura-oh's body went to the Netherworld.\Do you know what their disagreement was response:	It was because the fox got stupid.
context: Wherever the two went, none could stand before them.\Before their great might, even the heavenly gods stood by and did nothing.\However...\At one point, Master Akura-oh and the fox grew apart.\And it was all downhill from there.\The fox disappeared, and Master Akura-oh's body went to the Netherworld.\Do you know what their disagreement was\It was because the fox got stupid. response:	That volpine fool became infatuated with some human girl
context: Before their great might, even the heavenly gods stood by and did nothing.\However...\At one point, Master Akura-oh and the fox grew apart.\And it was all downhill from there.\The fox disappeared, and Master Akura-oh's body went to the Netherworld.\Do you know what their disagreement was\It was because the fox got stupid.\That volpine fool became infatuated with some human girl response:	and got this crazy idea that he was going to become human too!
context: However...\At one point, Master Akura-oh and the fox grew apart.\And it was all downhill from there.\The fox disappeared, and Master Akura-oh's body went to the Netherworld.\Do you know what their disagreement was\It was because the fox got stupid.\That volpine fool became infatuated with some human girl\and got this crazy idea that he was going to become human too! response:	Oh!
context: At one point, Master Akura-oh and the fox grew apart.\And it was all downhill from there.\The fox disappeared, and Master Akura-oh's body went to the Netherworld.\Do you know what their disagreement was\It was because the fox got stupid.\That volpine fool became infatuated with some human girl\and got this crazy idea that he was going to become human too!\Oh! response:	I will make Nanami's favorite Salisbury steak today.
context: And it was all downhill from there.\The fox disappeared, and Master Akura-oh's body went to the Netherworld.\Do you know what their disagreement was\It was because the fox got stupid.\That volpine fool became infatuated with some human girl\and got this crazy idea that he was going to become human too!\Oh!\I will make Nanami's favorite Salisbury steak today. response:	Do you actually know how to make something that fancy?
context: The fox disappeared, and Master Akura-oh's body went to the Netherworld.\Do you know what their disagreement was\It was because the fox got stupid.\That volpine fool became infatuated with some human girl\and got this crazy idea that he was going to become human too!\Oh!\I will make Nanami's favorite Salisbury steak today.\Do you actually know how to make something that fancy? response:	Yes, I looked into it, and it is actually rather simple.
context: Do you know what their disagreement was\It was because the fox got stupid.\That volpine fool became infatuated with some human girl\and got this crazy idea that he was going to become human too!\Oh!\I will make Nanami's favorite Salisbury steak today.\Do you actually know how to make something that fancy?\Yes, I looked into it, and it is actually rather simple. response:	And the flavor will disguise the shiitake that are going in.
context: It was because the fox got stupid.\That volpine fool became infatuated with some human girl\and got this crazy idea that he was going to become human too!\Oh!\I will make Nanami's favorite Salisbury steak today.\Do you actually know how to make something that fancy?\Yes, I looked into it, and it is actually rather simple.\And the flavor will disguise the shiitake that are going in. response:	That's so mean! Nanami hates shiitake mushrooms!
context: That volpine fool became infatuated with some human girl\and got this crazy idea that he was going to become human too!\Oh!\I will make Nanami's favorite Salisbury steak today.\Do you actually know how to make something that fancy?\Yes, I looked into it, and it is actually rather simple.\And the flavor will disguise the shiitake that are going in.\That's so mean! Nanami hates shiitake mushrooms! response:	Then let me add something.
context: and got this crazy idea that he was going to become human too!\Oh!\I will make Nanami's favorite Salisbury steak today.\Do you actually know how to make something that fancy?\Yes, I looked into it, and it is actually rather simple.\And the flavor will disguise the shiitake that are going in.\That's so mean! Nanami hates shiitake mushrooms!\Then let me add something. response:	I'll put in a lizard's tail.
context: Oh!\I will make Nanami's favorite Salisbury steak today.\Do you actually know how to make something that fancy?\Yes, I looked into it, and it is actually rather simple.\And the flavor will disguise the shiitake that are going in.\That's so mean! Nanami hates shiitake mushrooms!\Then let me add something.\I'll put in a lizard's tail. response:	I want Nanami to have more energy.
context: I will make Nanami's favorite Salisbury steak today.\Do you actually know how to make something that fancy?\Yes, I looked into it, and it is actually rather simple.\And the flavor will disguise the shiitake that are going in.\That's so mean! Nanami hates shiitake mushrooms!\Then let me add something.\I'll put in a lizard's tail.\I want Nanami to have more energy. response:	Gecko! Softshell turtle! Salamander!
context: Do you actually know how to make something that fancy?\Yes, I looked into it, and it is actually rather simple.\And the flavor will disguise the shiitake that are going in.\That's so mean! Nanami hates shiitake mushrooms!\Then let me add something.\I'll put in a lizard's tail.\I want Nanami to have more energy.\Gecko! Softshell turtle! Salamander! response:	Hey!
context: Yes, I looked into it, and it is actually rather simple.\And the flavor will disguise the shiitake that are going in.\That's so mean! Nanami hates shiitake mushrooms!\Then let me add something.\I'll put in a lizard's tail.\I want Nanami to have more energy.\Gecko! Softshell turtle! Salamander!\Hey! response:	You're slacking off again!
context: And the flavor will disguise the shiitake that are going in.\That's so mean! Nanami hates shiitake mushrooms!\Then let me add something.\I'll put in a lizard's tail.\I want Nanami to have more energy.\Gecko! Softshell turtle! Salamander!\Hey!\You're slacking off again! response:	Did you even finish cleaning the storehouse, Mizuki?!
context: That's so mean! Nanami hates shiitake mushrooms!\Then let me add something.\I'll put in a lizard's tail.\I want Nanami to have more energy.\Gecko! Softshell turtle! Salamander!\Hey!\You're slacking off again!\Did you even finish cleaning the storehouse, Mizuki?! response:	Oh, Nanami!
context: Then let me add something.\I'll put in a lizard's tail.\I want Nanami to have more energy.\Gecko! Softshell turtle! Salamander!\Hey!\You're slacking off again!\Did you even finish cleaning the storehouse, Mizuki?!\Oh, Nanami! response:	The new year is just around the corner, you know.
context: I'll put in a lizard's tail.\I want Nanami to have more energy.\Gecko! Softshell turtle! Salamander!\Hey!\You're slacking off again!\Did you even finish cleaning the storehouse, Mizuki?!\Oh, Nanami!\The new year is just around the corner, you know. response:	Yes, ma'am.
context: I want Nanami to have more energy.\Gecko! Softshell turtle! Salamander!\Hey!\You're slacking off again!\Did you even finish cleaning the storehouse, Mizuki?!\Oh, Nanami!\The new year is just around the corner, you know.\Yes, ma'am. response:	Oh, we're having Salisbury steak tonight?
context: Gecko! Softshell turtle! Salamander!\Hey!\You're slacking off again!\Did you even finish cleaning the storehouse, Mizuki?!\Oh, Nanami!\The new year is just around the corner, you know.\Yes, ma'am.\Oh, we're having Salisbury steak tonight? response:	I can't wait!
context: Hey!\You're slacking off again!\Did you even finish cleaning the storehouse, Mizuki?!\Oh, Nanami!\The new year is just around the corner, you know.\Yes, ma'am.\Oh, we're having Salisbury steak tonight?\I can't wait! response:	I see.
context: You're slacking off again!\Did you even finish cleaning the storehouse, Mizuki?!\Oh, Nanami!\The new year is just around the corner, you know.\Yes, ma'am.\Oh, we're having Salisbury steak tonight?\I can't wait!\I see. response:	So the fox has actually gotten soft.
context: Did you even finish cleaning the storehouse, Mizuki?!\Oh, Nanami!\The new year is just around the corner, you know.\Yes, ma'am.\Oh, we're having Salisbury steak tonight?\I can't wait!\I see.\So the fox has actually gotten soft. response:	But seriously, it is so hot here!
context: Oh, Nanami!\The new year is just around the corner, you know.\Yes, ma'am.\Oh, we're having Salisbury steak tonight?\I can't wait!\I see.\So the fox has actually gotten soft.\But seriously, it is so hot here! response:	Where do you suppose we are?
context: The new year is just around the corner, you know.\Yes, ma'am.\Oh, we're having Salisbury steak tonight?\I can't wait!\I see.\So the fox has actually gotten soft.\But seriously, it is so hot here!\Where do you suppose we are? response:	It feels like we've walked an awfully long way.
context: Yes, ma'am.\Oh, we're having Salisbury steak tonight?\I can't wait!\I see.\So the fox has actually gotten soft.\But seriously, it is so hot here!\Where do you suppose we are?\It feels like we've walked an awfully long way. response:	Is Master Akura-oh's body still far away?
context: Oh, we're having Salisbury steak tonight?\I can't wait!\I see.\So the fox has actually gotten soft.\But seriously, it is so hot here!\Where do you suppose we are?\It feels like we've walked an awfully long way.\Is Master Akura-oh's body still far away? response:	Maybe I am imagining it, but it seems to be getting hotter and hotter.
context: I can't wait!\I see.\So the fox has actually gotten soft.\But seriously, it is so hot here!\Where do you suppose we are?\It feels like we've walked an awfully long way.\Is Master Akura-oh's body still far away?\Maybe I am imagining it, but it seems to be getting hotter and hotter. response:	Well, Master Kirihito?
context: I see.\So the fox has actually gotten soft.\But seriously, it is so hot here!\Where do you suppose we are?\It feels like we've walked an awfully long way.\Is Master Akura-oh's body still far away?\Maybe I am imagining it, but it seems to be getting hotter and hotter.\Well, Master Kirihito? response:	I found it.
context: So the fox has actually gotten soft.\But seriously, it is so hot here!\Where do you suppose we are?\It feels like we've walked an awfully long way.\Is Master Akura-oh's body still far away?\Maybe I am imagining it, but it seems to be getting hotter and hotter.\Well, Master Kirihito?\I found it. response:	I found my body.
context: But seriously, it is so hot here!\Where do you suppose we are?\It feels like we've walked an awfully long way.\Is Master Akura-oh's body still far away?\Maybe I am imagining it, but it seems to be getting hotter and hotter.\Well, Master Kirihito?\I found it.\I found my body. response:	I can hardly believe it was discarded in such a wretched place.
