context: We kissed, held hands, response:	and walked to the convenience store without saying a word.
context: I can't tell.\I kinda feel a connection.\Really?\I'm feeling awkward not having a clue what you're getting at,\so if possible, I'd like you to explain it to me.\Telepathy?\Listen to what I'm saying.\Sorry, I have a tendency to get carried away. response:	No, it's ok. Actually I find that dreamy side of you quite attractive.
context: I kinda feel a connection.\Really?\I'm feeling awkward not having a clue what you're getting at,\so if possible, I'd like you to explain it to me.\Telepathy?\Listen to what I'm saying.\Sorry, I have a tendency to get carried away.\No, it's ok. Actually I find that dreamy side of you quite attractive. response:	Is he disappointed? What should I do?
context: Really?\I'm feeling awkward not having a clue what you're getting at,\so if possible, I'd like you to explain it to me.\Telepathy?\Listen to what I'm saying.\Sorry, I have a tendency to get carried away.\No, it's ok. Actually I find that dreamy side of you quite attractive.\Is he disappointed? What should I do? response:	Say, that method you use where you seem interested,
context: I'm feeling awkward not having a clue what you're getting at,\so if possible, I'd like you to explain it to me.\Telepathy?\Listen to what I'm saying.\Sorry, I have a tendency to get carried away.\No, it's ok. Actually I find that dreamy side of you quite attractive.\Is he disappointed? What should I do?\Say, that method you use where you seem interested, response:	and then you pull back.
context: so if possible, I'd like you to explain it to me.\Telepathy?\Listen to what I'm saying.\Sorry, I have a tendency to get carried away.\No, it's ok. Actually I find that dreamy side of you quite attractive.\Is he disappointed? What should I do?\Say, that method you use where you seem interested,\and then you pull back. response:	Is that a trap to get a man to fall for you?
context: Telepathy?\Listen to what I'm saying.\Sorry, I have a tendency to get carried away.\No, it's ok. Actually I find that dreamy side of you quite attractive.\Is he disappointed? What should I do?\Say, that method you use where you seem interested,\and then you pull back.\Is that a trap to get a man to fall for you? response:	No!
context: Listen to what I'm saying.\Sorry, I have a tendency to get carried away.\No, it's ok. Actually I find that dreamy side of you quite attractive.\Is he disappointed? What should I do?\Say, that method you use where you seem interested,\and then you pull back.\Is that a trap to get a man to fall for you?\No! response:	You seem carefree, but you're really cunning.
context: Sorry, I have a tendency to get carried away.\No, it's ok. Actually I find that dreamy side of you quite attractive.\Is he disappointed? What should I do?\Say, that method you use where you seem interested,\and then you pull back.\Is that a trap to get a man to fall for you?\No!\You seem carefree, but you're really cunning. response:	You're wrong!
context: No, it's ok. Actually I find that dreamy side of you quite attractive.\Is he disappointed? What should I do?\Say, that method you use where you seem interested,\and then you pull back.\Is that a trap to get a man to fall for you?\No!\You seem carefree, but you're really cunning.\You're wrong! response:	What a terrible woman. Did the Demon Lord send you?
context: Is he disappointed? What should I do?\Say, that method you use where you seem interested,\and then you pull back.\Is that a trap to get a man to fall for you?\No!\You seem carefree, but you're really cunning.\You're wrong!\What a terrible woman. Did the Demon Lord send you? response:	That's why you talk passionately about him like some missionary!
context: Say, that method you use where you seem interested,\and then you pull back.\Is that a trap to get a man to fall for you?\No!\You seem carefree, but you're really cunning.\You're wrong!\What a terrible woman. Did the Demon Lord send you?\That's why you talk passionately about him like some missionary! response:	That's not true!
context: and then you pull back.\Is that a trap to get a man to fall for you?\No!\You seem carefree, but you're really cunning.\You're wrong!\What a terrible woman. Did the Demon Lord send you?\That's why you talk passionately about him like some missionary!\That's not true! response:	You said so yourself, that you're a horrible woman...
context: Is that a trap to get a man to fall for you?\No!\You seem carefree, but you're really cunning.\You're wrong!\What a terrible woman. Did the Demon Lord send you?\That's why you talk passionately about him like some missionary!\That's not true!\You said so yourself, that you're a horrible woman... response:	I was joking, don't cry!
context: No!\You seem carefree, but you're really cunning.\You're wrong!\What a terrible woman. Did the Demon Lord send you?\That's why you talk passionately about him like some missionary!\That's not true!\You said so yourself, that you're a horrible woman...\I was joking, don't cry! response:	I'm sorry. I'll break it off with Takumi.
context: You seem carefree, but you're really cunning.\You're wrong!\What a terrible woman. Did the Demon Lord send you?\That's why you talk passionately about him like some missionary!\That's not true!\You said so yourself, that you're a horrible woman...\I was joking, don't cry!\I'm sorry. I'll break it off with Takumi. response:	I really didn't want anyone to know about what happened with Takumi.
context: You're wrong!\What a terrible woman. Did the Demon Lord send you?\That's why you talk passionately about him like some missionary!\That's not true!\You said so yourself, that you're a horrible woman...\I was joking, don't cry!\I'm sorry. I'll break it off with Takumi.\I really didn't want anyone to know about what happened with Takumi. response:	I thought, then I could act like nothing happened and
context: What a terrible woman. Did the Demon Lord send you?\That's why you talk passionately about him like some missionary!\That's not true!\You said so yourself, that you're a horrible woman...\I was joking, don't cry!\I'm sorry. I'll break it off with Takumi.\I really didn't want anyone to know about what happened with Takumi.\I thought, then I could act like nothing happened and response:	become your girlfriend.
context: That's why you talk passionately about him like some missionary!\That's not true!\You said so yourself, that you're a horrible woman...\I was joking, don't cry!\I'm sorry. I'll break it off with Takumi.\I really didn't want anyone to know about what happened with Takumi.\I thought, then I could act like nothing happened and\become your girlfriend. response:	I had such cunning thoughts. Lots of them.
context: That's not true!\You said so yourself, that you're a horrible woman...\I was joking, don't cry!\I'm sorry. I'll break it off with Takumi.\I really didn't want anyone to know about what happened with Takumi.\I thought, then I could act like nothing happened and\become your girlfriend.\I had such cunning thoughts. Lots of them. response:	Are you disappointed?
context: You said so yourself, that you're a horrible woman...\I was joking, don't cry!\I'm sorry. I'll break it off with Takumi.\I really didn't want anyone to know about what happened with Takumi.\I thought, then I could act like nothing happened and\become your girlfriend.\I had such cunning thoughts. Lots of them.\Are you disappointed? response:	No. I'm happy.
context: I was joking, don't cry!\I'm sorry. I'll break it off with Takumi.\I really didn't want anyone to know about what happened with Takumi.\I thought, then I could act like nothing happened and\become your girlfriend.\I had such cunning thoughts. Lots of them.\Are you disappointed?\No. I'm happy. response:	Stop staring at me with those teary eyes.
context: I'm sorry. I'll break it off with Takumi.\I really didn't want anyone to know about what happened with Takumi.\I thought, then I could act like nothing happened and\become your girlfriend.\I had such cunning thoughts. Lots of them.\Are you disappointed?\No. I'm happy.\Stop staring at me with those teary eyes. response:	I won't be able to hold back.
context: I really didn't want anyone to know about what happened with Takumi.\I thought, then I could act like nothing happened and\become your girlfriend.\I had such cunning thoughts. Lots of them.\Are you disappointed?\No. I'm happy.\Stop staring at me with those teary eyes.\I won't be able to hold back. response:	I can't take you from him by force.
context: I thought, then I could act like nothing happened and\become your girlfriend.\I had such cunning thoughts. Lots of them.\Are you disappointed?\No. I'm happy.\Stop staring at me with those teary eyes.\I won't be able to hold back.\I can't take you from him by force. response:	I can't have you do something that'll make you a horrible woman.
context: become your girlfriend.\I had such cunning thoughts. Lots of them.\Are you disappointed?\No. I'm happy.\Stop staring at me with those teary eyes.\I won't be able to hold back.\I can't take you from him by force.\I can't have you do something that'll make you a horrible woman. response:	If we let things get outta control now,
context: I had such cunning thoughts. Lots of them.\Are you disappointed?\No. I'm happy.\Stop staring at me with those teary eyes.\I won't be able to hold back.\I can't take you from him by force.\I can't have you do something that'll make you a horrible woman.\If we let things get outta control now, response:	you'll end up being trapped between Takumi and me,
context: Are you disappointed?\No. I'm happy.\Stop staring at me with those teary eyes.\I won't be able to hold back.\I can't take you from him by force.\I can't have you do something that'll make you a horrible woman.\If we let things get outta control now,\you'll end up being trapped between Takumi and me, response:	and you'll suffer.
context: No. I'm happy.\Stop staring at me with those teary eyes.\I won't be able to hold back.\I can't take you from him by force.\I can't have you do something that'll make you a horrible woman.\If we let things get outta control now,\you'll end up being trapped between Takumi and me,\and you'll suffer. response:	Because you're kind and fragile.
context: Stop staring at me with those teary eyes.\I won't be able to hold back.\I can't take you from him by force.\I can't have you do something that'll make you a horrible woman.\If we let things get outta control now,\you'll end up being trapped between Takumi and me,\and you'll suffer.\Because you're kind and fragile. response:	I don't find you cunning. Don't be so hard on yourself.
context: I won't be able to hold back.\I can't take you from him by force.\I can't have you do something that'll make you a horrible woman.\If we let things get outta control now,\you'll end up being trapped between Takumi and me,\and you'll suffer.\Because you're kind and fragile.\I don't find you cunning. Don't be so hard on yourself. response:	It can't be helped that you're attracted to Takumi.
context: I can't take you from him by force.\I can't have you do something that'll make you a horrible woman.\If we let things get outta control now,\you'll end up being trapped between Takumi and me,\and you'll suffer.\Because you're kind and fragile.\I don't find you cunning. Don't be so hard on yourself.\It can't be helped that you're attracted to Takumi. response:	No matter how hard I try,
context: I can't have you do something that'll make you a horrible woman.\If we let things get outta control now,\you'll end up being trapped between Takumi and me,\and you'll suffer.\Because you're kind and fragile.\I don't find you cunning. Don't be so hard on yourself.\It can't be helped that you're attracted to Takumi.\No matter how hard I try, response:	I'll probably never be able to compete with him.
context: If we let things get outta control now,\you'll end up being trapped between Takumi and me,\and you'll suffer.\Because you're kind and fragile.\I don't find you cunning. Don't be so hard on yourself.\It can't be helped that you're attracted to Takumi.\No matter how hard I try,\I'll probably never be able to compete with him. response:	That's not true! I!
context: you'll end up being trapped between Takumi and me,\and you'll suffer.\Because you're kind and fragile.\I don't find you cunning. Don't be so hard on yourself.\It can't be helped that you're attracted to Takumi.\No matter how hard I try,\I'll probably never be able to compete with him.\That's not true! I! response:	But if you tell me that
context: and you'll suffer.\Because you're kind and fragile.\I don't find you cunning. Don't be so hard on yourself.\It can't be helped that you're attracted to Takumi.\No matter how hard I try,\I'll probably never be able to compete with him.\That's not true! I!\But if you tell me that response:	you're still gonna break it off with him and be my woman...
context: Because you're kind and fragile.\I don't find you cunning. Don't be so hard on yourself.\It can't be helped that you're attracted to Takumi.\No matter how hard I try,\I'll probably never be able to compete with him.\That's not true! I!\But if you tell me that\you're still gonna break it off with him and be my woman... response:	I'll do everything I can to make you happy.
context: I don't find you cunning. Don't be so hard on yourself.\It can't be helped that you're attracted to Takumi.\No matter how hard I try,\I'll probably never be able to compete with him.\That's not true! I!\But if you tell me that\you're still gonna break it off with him and be my woman...\I'll do everything I can to make you happy. response:	For the sake of your happiness, I will do everything within my power.
context: It can't be helped that you're attracted to Takumi.\No matter how hard I try,\I'll probably never be able to compete with him.\That's not true! I!\But if you tell me that\you're still gonna break it off with him and be my woman...\I'll do everything I can to make you happy.\For the sake of your happiness, I will do everything within my power. response:	Am I dreaming?
context: No matter how hard I try,\I'll probably never be able to compete with him.\That's not true! I!\But if you tell me that\you're still gonna break it off with him and be my woman...\I'll do everything I can to make you happy.\For the sake of your happiness, I will do everything within my power.\Am I dreaming? response:	I mean, with you by my side, I feel like I can do anything.
context: I'll probably never be able to compete with him.\That's not true! I!\But if you tell me that\you're still gonna break it off with him and be my woman...\I'll do everything I can to make you happy.\For the sake of your happiness, I will do everything within my power.\Am I dreaming?\I mean, with you by my side, I feel like I can do anything. response:	But it's a dream that I won't wake up from.
context: That's not true! I!\But if you tell me that\you're still gonna break it off with him and be my woman...\I'll do everything I can to make you happy.\For the sake of your happiness, I will do everything within my power.\Am I dreaming?\I mean, with you by my side, I feel like I can do anything.\But it's a dream that I won't wake up from. response:	When you break up with Takumi...
context: But if you tell me that\you're still gonna break it off with him and be my woman...\I'll do everything I can to make you happy.\For the sake of your happiness, I will do everything within my power.\Am I dreaming?\I mean, with you by my side, I feel like I can do anything.\But it's a dream that I won't wake up from.\When you break up with Takumi... response:	and sort out your feelings... then come to me.
context: you're still gonna break it off with him and be my woman...\I'll do everything I can to make you happy.\For the sake of your happiness, I will do everything within my power.\Am I dreaming?\I mean, with you by my side, I feel like I can do anything.\But it's a dream that I won't wake up from.\When you break up with Takumi...\and sort out your feelings... then come to me. response:	I'll be waiting faithfully.
context: I'll do everything I can to make you happy.\For the sake of your happiness, I will do everything within my power.\Am I dreaming?\I mean, with you by my side, I feel like I can do anything.\But it's a dream that I won't wake up from.\When you break up with Takumi...\and sort out your feelings... then come to me.\I'll be waiting faithfully. response:	Hey, Nana, I've fallen in love many times to this day,
context: For the sake of your happiness, I will do everything within my power.\Am I dreaming?\I mean, with you by my side, I feel like I can do anything.\But it's a dream that I won't wake up from.\When you break up with Takumi...\and sort out your feelings... then come to me.\I'll be waiting faithfully.\Hey, Nana, I've fallen in love many times to this day, response:	but I never imagined that a man existed in real life
context: Am I dreaming?\I mean, with you by my side, I feel like I can do anything.\But it's a dream that I won't wake up from.\When you break up with Takumi...\and sort out your feelings... then come to me.\I'll be waiting faithfully.\Hey, Nana, I've fallen in love many times to this day,\but I never imagined that a man existed in real life response:	that would say those things and mean it.
context: I mean, with you by my side, I feel like I can do anything.\But it's a dream that I won't wake up from.\When you break up with Takumi...\and sort out your feelings... then come to me.\I'll be waiting faithfully.\Hey, Nana, I've fallen in love many times to this day,\but I never imagined that a man existed in real life\that would say those things and mean it. response:	What words has Ren given you so far? I wanna talk to you, Nana.
context: But it's a dream that I won't wake up from.\When you break up with Takumi...\and sort out your feelings... then come to me.\I'll be waiting faithfully.\Hey, Nana, I've fallen in love many times to this day,\but I never imagined that a man existed in real life\that would say those things and mean it.\What words has Ren given you so far? I wanna talk to you, Nana. response:	Sorry for getting back so late.
context: When you break up with Takumi...\and sort out your feelings... then come to me.\I'll be waiting faithfully.\Hey, Nana, I've fallen in love many times to this day,\but I never imagined that a man existed in real life\that would say those things and mean it.\What words has Ren given you so far? I wanna talk to you, Nana.\Sorry for getting back so late. response:	It's okay.
context: and sort out your feelings... then come to me.\I'll be waiting faithfully.\Hey, Nana, I've fallen in love many times to this day,\but I never imagined that a man existed in real life\that would say those things and mean it.\What words has Ren given you so far? I wanna talk to you, Nana.\Sorry for getting back so late.\It's okay. response:	Actually, you're early.
context: I'll be waiting faithfully.\Hey, Nana, I've fallen in love many times to this day,\but I never imagined that a man existed in real life\that would say those things and mean it.\What words has Ren given you so far? I wanna talk to you, Nana.\Sorry for getting back so late.\It's okay.\Actually, you're early. response:	Are you alone?
context: Hey, Nana, I've fallen in love many times to this day,\but I never imagined that a man existed in real life\that would say those things and mean it.\What words has Ren given you so far? I wanna talk to you, Nana.\Sorry for getting back so late.\It's okay.\Actually, you're early.\Are you alone? response:	Huh? Where are Shin and Yasu?
context: but I never imagined that a man existed in real life\that would say those things and mean it.\What words has Ren given you so far? I wanna talk to you, Nana.\Sorry for getting back so late.\It's okay.\Actually, you're early.\Are you alone?\Huh? Where are Shin and Yasu? response:	Oh, they went home already.
context: that would say those things and mean it.\What words has Ren given you so far? I wanna talk to you, Nana.\Sorry for getting back so late.\It's okay.\Actually, you're early.\Are you alone?\Huh? Where are Shin and Yasu?\Oh, they went home already. response:	What the heck?! And I bought all this for them!
context: What words has Ren given you so far? I wanna talk to you, Nana.\Sorry for getting back so late.\It's okay.\Actually, you're early.\Are you alone?\Huh? Where are Shin and Yasu?\Oh, they went home already.\What the heck?! And I bought all this for them! response:	I'm sorry. Let's save that for the next party.
context: Sorry for getting back so late.\It's okay.\Actually, you're early.\Are you alone?\Huh? Where are Shin and Yasu?\Oh, they went home already.\What the heck?! And I bought all this for them!\I'm sorry. Let's save that for the next party. response:	By the way, where's Nobu?
context: It's okay.\Actually, you're early.\Are you alone?\Huh? Where are Shin and Yasu?\Oh, they went home already.\What the heck?! And I bought all this for them!\I'm sorry. Let's save that for the next party.\By the way, where's Nobu? response:	He walked me here,
context: Actually, you're early.\Are you alone?\Huh? Where are Shin and Yasu?\Oh, they went home already.\What the heck?! And I bought all this for them!\I'm sorry. Let's save that for the next party.\By the way, where's Nobu?\He walked me here, response:	but he said he was going home because he has to work tomorrow.
context: Are you alone?\Huh? Where are Shin and Yasu?\Oh, they went home already.\What the heck?! And I bought all this for them!\I'm sorry. Let's save that for the next party.\By the way, where's Nobu?\He walked me here,\but he said he was going home because he has to work tomorrow. response:	Is that so?
context: Huh? Where are Shin and Yasu?\Oh, they went home already.\What the heck?! And I bought all this for them!\I'm sorry. Let's save that for the next party.\By the way, where's Nobu?\He walked me here,\but he said he was going home because he has to work tomorrow.\Is that so? response:	So, something did happen?
context: Oh, they went home already.\What the heck?! And I bought all this for them!\I'm sorry. Let's save that for the next party.\By the way, where's Nobu?\He walked me here,\but he said he was going home because he has to work tomorrow.\Is that so?\So, something did happen? response:	Then I guess we can call it a day.
context: What the heck?! And I bought all this for them!\I'm sorry. Let's save that for the next party.\By the way, where's Nobu?\He walked me here,\but he said he was going home because he has to work tomorrow.\Is that so?\So, something did happen?\Then I guess we can call it a day. response:	I'm working from the morning tomorrow, too.
context: I'm sorry. Let's save that for the next party.\By the way, where's Nobu?\He walked me here,\but he said he was going home because he has to work tomorrow.\Is that so?\So, something did happen?\Then I guess we can call it a day.\I'm working from the morning tomorrow, too. response:	Do you mind if I take a bath first?
context: By the way, where's Nobu?\He walked me here,\but he said he was going home because he has to work tomorrow.\Is that so?\So, something did happen?\Then I guess we can call it a day.\I'm working from the morning tomorrow, too.\Do you mind if I take a bath first? response:	Oh! Nana's in there right now.
context: He walked me here,\but he said he was going home because he has to work tomorrow.\Is that so?\So, something did happen?\Then I guess we can call it a day.\I'm working from the morning tomorrow, too.\Do you mind if I take a bath first?\Oh! Nana's in there right now. response:	I figured you would barge in here.
context: but he said he was going home because he has to work tomorrow.\Is that so?\So, something did happen?\Then I guess we can call it a day.\I'm working from the morning tomorrow, too.\Do you mind if I take a bath first?\Oh! Nana's in there right now.\I figured you would barge in here. response:	You've gotta do something about that hobby of yours to peep.
context: Is that so?\So, something did happen?\Then I guess we can call it a day.\I'm working from the morning tomorrow, too.\Do you mind if I take a bath first?\Oh! Nana's in there right now.\I figured you would barge in here.\You've gotta do something about that hobby of yours to peep. response:	Nana.
context: So, something did happen?\Then I guess we can call it a day.\I'm working from the morning tomorrow, too.\Do you mind if I take a bath first?\Oh! Nana's in there right now.\I figured you would barge in here.\You've gotta do something about that hobby of yours to peep.\Nana. response:	Don't get in! What the hell are you thinking?!
context: Then I guess we can call it a day.\I'm working from the morning tomorrow, too.\Do you mind if I take a bath first?\Oh! Nana's in there right now.\I figured you would barge in here.\You've gotta do something about that hobby of yours to peep.\Nana.\Don't get in! What the hell are you thinking?! response:	What's the big deal? We're both girls.
context: I'm working from the morning tomorrow, too.\Do you mind if I take a bath first?\Oh! Nana's in there right now.\I figured you would barge in here.\You've gotta do something about that hobby of yours to peep.\Nana.\Don't get in! What the hell are you thinking?!\What's the big deal? We're both girls. response:	I'm not into taking baths with other women!
context: Do you mind if I take a bath first?\Oh! Nana's in there right now.\I figured you would barge in here.\You've gotta do something about that hobby of yours to peep.\Nana.\Don't get in! What the hell are you thinking?!\What's the big deal? We're both girls.\I'm not into taking baths with other women! response:	So you would with a man?
context: Oh! Nana's in there right now.\I figured you would barge in here.\You've gotta do something about that hobby of yours to peep.\Nana.\Don't get in! What the hell are you thinking?!\What's the big deal? We're both girls.\I'm not into taking baths with other women!\So you would with a man? response:	That's normal.
context: I figured you would barge in here.\You've gotta do something about that hobby of yours to peep.\Nana.\Don't get in! What the hell are you thinking?!\What's the big deal? We're both girls.\I'm not into taking baths with other women!\So you would with a man?\That's normal. response:	It's usually the other way around.
context: You've gotta do something about that hobby of yours to peep.\Nana.\Don't get in! What the hell are you thinking?!\What's the big deal? We're both girls.\I'm not into taking baths with other women!\So you would with a man?\That's normal.\It's usually the other way around. response:	Besides, it would be one thing to share a bath with a human girl,
context: Nana.\Don't get in! What the hell are you thinking?!\What's the big deal? We're both girls.\I'm not into taking baths with other women!\So you would with a man?\That's normal.\It's usually the other way around.\Besides, it would be one thing to share a bath with a human girl, response:	but this is a female dog that just got back from a walk.
context: Don't get in! What the hell are you thinking?!\What's the big deal? We're both girls.\I'm not into taking baths with other women!\So you would with a man?\That's normal.\It's usually the other way around.\Besides, it would be one thing to share a bath with a human girl,\but this is a female dog that just got back from a walk. response:	Wait, Nana.
context: What's the big deal? We're both girls.\I'm not into taking baths with other women!\So you would with a man?\That's normal.\It's usually the other way around.\Besides, it would be one thing to share a bath with a human girl,\but this is a female dog that just got back from a walk.\Wait, Nana. response:	Listen. It's about Nobu.
context: I'm not into taking baths with other women!\So you would with a man?\That's normal.\It's usually the other way around.\Besides, it would be one thing to share a bath with a human girl,\but this is a female dog that just got back from a walk.\Wait, Nana.\Listen. It's about Nobu. response:	What about Nobuo?
context: So you would with a man?\That's normal.\It's usually the other way around.\Besides, it would be one thing to share a bath with a human girl,\but this is a female dog that just got back from a walk.\Wait, Nana.\Listen. It's about Nobu.\What about Nobuo? response:	He asked me to go see the fireworks with him.
context: That's normal.\It's usually the other way around.\Besides, it would be one thing to share a bath with a human girl,\but this is a female dog that just got back from a walk.\Wait, Nana.\Listen. It's about Nobu.\What about Nobuo?\He asked me to go see the fireworks with him. response:	Then go.
context: It's usually the other way around.\Besides, it would be one thing to share a bath with a human girl,\but this is a female dog that just got back from a walk.\Wait, Nana.\Listen. It's about Nobu.\What about Nobuo?\He asked me to go see the fireworks with him.\Then go. response:	Is he still in elementary school?! He's useless! That man's got no balls!
context: Besides, it would be one thing to share a bath with a human girl,\but this is a female dog that just got back from a walk.\Wait, Nana.\Listen. It's about Nobu.\What about Nobuo?\He asked me to go see the fireworks with him.\Then go.\Is he still in elementary school?! He's useless! That man's got no balls! response:	In any case, Yasu won the bet. No wonder he's the leader.
context: but this is a female dog that just got back from a walk.\Wait, Nana.\Listen. It's about Nobu.\What about Nobuo?\He asked me to go see the fireworks with him.\Then go.\Is he still in elementary school?! He's useless! That man's got no balls!\In any case, Yasu won the bet. No wonder he's the leader. response:	He knows everything about his band members.
context: Wait, Nana.\Listen. It's about Nobu.\What about Nobuo?\He asked me to go see the fireworks with him.\Then go.\Is he still in elementary school?! He's useless! That man's got no balls!\In any case, Yasu won the bet. No wonder he's the leader.\He knows everything about his band members. response:	I think I'll wait until after I break up with Takumi before I tell Nana.
context: Listen. It's about Nobu.\What about Nobuo?\He asked me to go see the fireworks with him.\Then go.\Is he still in elementary school?! He's useless! That man's got no balls!\In any case, Yasu won the bet. No wonder he's the leader.\He knows everything about his band members.\I think I'll wait until after I break up with Takumi before I tell Nana. response:	She arranged for me to meet with Takumi,
context: What about Nobuo?\He asked me to go see the fireworks with him.\Then go.\Is he still in elementary school?! He's useless! That man's got no balls!\In any case, Yasu won the bet. No wonder he's the leader.\He knows everything about his band members.\I think I'll wait until after I break up with Takumi before I tell Nana.\She arranged for me to meet with Takumi, response:	and cheered me on hoping the relationship would succeed.
context: He asked me to go see the fireworks with him.\Then go.\Is he still in elementary school?! He's useless! That man's got no balls!\In any case, Yasu won the bet. No wonder he's the leader.\He knows everything about his band members.\I think I'll wait until after I break up with Takumi before I tell Nana.\She arranged for me to meet with Takumi,\and cheered me on hoping the relationship would succeed. response:	I'm sure she'll be like, What the hell?!
context: Then go.\Is he still in elementary school?! He's useless! That man's got no balls!\In any case, Yasu won the bet. No wonder he's the leader.\He knows everything about his band members.\I think I'll wait until after I break up with Takumi before I tell Nana.\She arranged for me to meet with Takumi,\and cheered me on hoping the relationship would succeed.\I'm sure she'll be like, What the hell?! response:	If I were in Nana's shoes, that's what I would think.
context: Is he still in elementary school?! He's useless! That man's got no balls!\In any case, Yasu won the bet. No wonder he's the leader.\He knows everything about his band members.\I think I'll wait until after I break up with Takumi before I tell Nana.\She arranged for me to meet with Takumi,\and cheered me on hoping the relationship would succeed.\I'm sure she'll be like, What the hell?!\If I were in Nana's shoes, that's what I would think. response:	Not only Nana. Everyone would think that.
context: In any case, Yasu won the bet. No wonder he's the leader.\He knows everything about his band members.\I think I'll wait until after I break up with Takumi before I tell Nana.\She arranged for me to meet with Takumi,\and cheered me on hoping the relationship would succeed.\I'm sure she'll be like, What the hell?!\If I were in Nana's shoes, that's what I would think.\Not only Nana. Everyone would think that. response:	I'll say goodbye to him over the phone.
context: He knows everything about his band members.\I think I'll wait until after I break up with Takumi before I tell Nana.\She arranged for me to meet with Takumi,\and cheered me on hoping the relationship would succeed.\I'm sure she'll be like, What the hell?!\If I were in Nana's shoes, that's what I would think.\Not only Nana. Everyone would think that.\I'll say goodbye to him over the phone. response:	I don't wanna see his face when he gets hurt. He's so full of pride.
context: I think I'll wait until after I break up with Takumi before I tell Nana.\She arranged for me to meet with Takumi,\and cheered me on hoping the relationship would succeed.\I'm sure she'll be like, What the hell?!\If I were in Nana's shoes, that's what I would think.\Not only Nana. Everyone would think that.\I'll say goodbye to him over the phone.\I don't wanna see his face when he gets hurt. He's so full of pride. response:	Over the past few days,
context: She arranged for me to meet with Takumi,\and cheered me on hoping the relationship would succeed.\I'm sure she'll be like, What the hell?!\If I were in Nana's shoes, that's what I would think.\Not only Nana. Everyone would think that.\I'll say goodbye to him over the phone.\I don't wanna see his face when he gets hurt. He's so full of pride.\Over the past few days, response:	these mosquitoes have taken a liking to my place.
context: and cheered me on hoping the relationship would succeed.\I'm sure she'll be like, What the hell?!\If I were in Nana's shoes, that's what I would think.\Not only Nana. Everyone would think that.\I'll say goodbye to him over the phone.\I don't wanna see his face when he gets hurt. He's so full of pride.\Over the past few days,\these mosquitoes have taken a liking to my place. response:	They're so annoying.
context: I'm sure she'll be like, What the hell?!\If I were in Nana's shoes, that's what I would think.\Not only Nana. Everyone would think that.\I'll say goodbye to him over the phone.\I don't wanna see his face when he gets hurt. He's so full of pride.\Over the past few days,\these mosquitoes have taken a liking to my place.\They're so annoying. response:	Huh?! Your place too, Takumi? Darn.
context: If I were in Nana's shoes, that's what I would think.\Not only Nana. Everyone would think that.\I'll say goodbye to him over the phone.\I don't wanna see his face when he gets hurt. He's so full of pride.\Over the past few days,\these mosquitoes have taken a liking to my place.\They're so annoying.\Huh?! Your place too, Takumi? Darn. response:	I was all excited because it was like I was the only celebrity.
context: Not only Nana. Everyone would think that.\I'll say goodbye to him over the phone.\I don't wanna see his face when he gets hurt. He's so full of pride.\Over the past few days,\these mosquitoes have taken a liking to my place.\They're so annoying.\Huh?! Your place too, Takumi? Darn.\I was all excited because it was like I was the only celebrity. response:	Nothing to be excited about!
context: I'll say goodbye to him over the phone.\I don't wanna see his face when he gets hurt. He's so full of pride.\Over the past few days,\these mosquitoes have taken a liking to my place.\They're so annoying.\Huh?! Your place too, Takumi? Darn.\I was all excited because it was like I was the only celebrity.\Nothing to be excited about! response:	Mosquitoes? It's summer, after all.
context: I don't wanna see his face when he gets hurt. He's so full of pride.\Over the past few days,\these mosquitoes have taken a liking to my place.\They're so annoying.\Huh?! Your place too, Takumi? Darn.\I was all excited because it was like I was the only celebrity.\Nothing to be excited about!\Mosquitoes? It's summer, after all. response:	For real, Reira?
context: Over the past few days,\these mosquitoes have taken a liking to my place.\They're so annoying.\Huh?! Your place too, Takumi? Darn.\I was all excited because it was like I was the only celebrity.\Nothing to be excited about!\Mosquitoes? It's summer, after all.\For real, Reira? response:	They're at my place, too. The paparazzi.
context: these mosquitoes have taken a liking to my place.\They're so annoying.\Huh?! Your place too, Takumi? Darn.\I was all excited because it was like I was the only celebrity.\Nothing to be excited about!\Mosquitoes? It's summer, after all.\For real, Reira?\They're at my place, too. The paparazzi. response:	I wonder whose blood they wanna suck.
context: They're so annoying.\Huh?! Your place too, Takumi? Darn.\I was all excited because it was like I was the only celebrity.\Nothing to be excited about!\Mosquitoes? It's summer, after all.\For real, Reira?\They're at my place, too. The paparazzi.\I wonder whose blood they wanna suck. response:	Then they must be at my place, too. This is bad.
context: Huh?! Your place too, Takumi? Darn.\I was all excited because it was like I was the only celebrity.\Nothing to be excited about!\Mosquitoes? It's summer, after all.\For real, Reira?\They're at my place, too. The paparazzi.\I wonder whose blood they wanna suck.\Then they must be at my place, too. This is bad. response:	It's your blood they want.
context: I was all excited because it was like I was the only celebrity.\Nothing to be excited about!\Mosquitoes? It's summer, after all.\For real, Reira?\They're at my place, too. The paparazzi.\I wonder whose blood they wanna suck.\Then they must be at my place, too. This is bad.\It's your blood they want. response:	Oh, that's right.
context: Nothing to be excited about!\Mosquitoes? It's summer, after all.\For real, Reira?\They're at my place, too. The paparazzi.\I wonder whose blood they wanna suck.\Then they must be at my place, too. This is bad.\It's your blood they want.\Oh, that's right. response:	You've got a woman staying at your place, don't you Ren?
