context: Once in a while when I wake up response:	I find myself crying.
context: It's the oldest sake in the world.\By chewing on rice, spitting it out, and letting it ferment, it becomes alcohol.\Kuchikamisake. Do the gods appreciate sake made that way?\Of course they do.\Hey, look. It's Miyamizu.\Oh! I could never do that!\Isn't she embarrassed?\I can't believe it. response:	Cheer up, Mitsuha. Who cares if a few classmates saw you?
context: By chewing on rice, spitting it out, and letting it ferment, it becomes alcohol.\Kuchikamisake. Do the gods appreciate sake made that way?\Of course they do.\Hey, look. It's Miyamizu.\Oh! I could never do that!\Isn't she embarrassed?\I can't believe it.\Cheer up, Mitsuha. Who cares if a few classmates saw you? response:	I envy your pre-pubescent lack of concern.
context: Kuchikamisake. Do the gods appreciate sake made that way?\Of course they do.\Hey, look. It's Miyamizu.\Oh! I could never do that!\Isn't she embarrassed?\I can't believe it.\Cheer up, Mitsuha. Who cares if a few classmates saw you?\I envy your pre-pubescent lack of concern. response:	Why not sell lots of Kuchikamisake and use the money to go to Tokyo?
context: Of course they do.\Hey, look. It's Miyamizu.\Oh! I could never do that!\Isn't she embarrassed?\I can't believe it.\Cheer up, Mitsuha. Who cares if a few classmates saw you?\I envy your pre-pubescent lack of concern.\Why not sell lots of Kuchikamisake and use the money to go to Tokyo? response:	Where do you get these ideas?
context: Hey, look. It's Miyamizu.\Oh! I could never do that!\Isn't she embarrassed?\I can't believe it.\Cheer up, Mitsuha. Who cares if a few classmates saw you?\I envy your pre-pubescent lack of concern.\Why not sell lots of Kuchikamisake and use the money to go to Tokyo?\Where do you get these ideas? response:	Sell them with photos and videos. Name it: Shrine Maiden's Sake.
context: Oh! I could never do that!\Isn't she embarrassed?\I can't believe it.\Cheer up, Mitsuha. Who cares if a few classmates saw you?\I envy your pre-pubescent lack of concern.\Why not sell lots of Kuchikamisake and use the money to go to Tokyo?\Where do you get these ideas?\Sell them with photos and videos. Name it: Shrine Maiden's Sake. response:	You'll make money!
context: Isn't she embarrassed?\I can't believe it.\Cheer up, Mitsuha. Who cares if a few classmates saw you?\I envy your pre-pubescent lack of concern.\Why not sell lots of Kuchikamisake and use the money to go to Tokyo?\Where do you get these ideas?\Sell them with photos and videos. Name it: Shrine Maiden's Sake.\You'll make money! response:	Shrine Maiden's Sake
context: I can't believe it.\Cheer up, Mitsuha. Who cares if a few classmates saw you?\I envy your pre-pubescent lack of concern.\Why not sell lots of Kuchikamisake and use the money to go to Tokyo?\Where do you get these ideas?\Sell them with photos and videos. Name it: Shrine Maiden's Sake.\You'll make money!\Shrine Maiden's Sake response:	No. That breaks the Liquor Law!
context: Cheer up, Mitsuha. Who cares if a few classmates saw you?\I envy your pre-pubescent lack of concern.\Why not sell lots of Kuchikamisake and use the money to go to Tokyo?\Where do you get these ideas?\Sell them with photos and videos. Name it: Shrine Maiden's Sake.\You'll make money!\Shrine Maiden's Sake\No. That breaks the Liquor Law! response:	That's the problem?
context: I envy your pre-pubescent lack of concern.\Why not sell lots of Kuchikamisake and use the money to go to Tokyo?\Where do you get these ideas?\Sell them with photos and videos. Name it: Shrine Maiden's Sake.\You'll make money!\Shrine Maiden's Sake\No. That breaks the Liquor Law!\That's the problem? response:	I hate this town! I hate this life!
context: Why not sell lots of Kuchikamisake and use the money to go to Tokyo?\Where do you get these ideas?\Sell them with photos and videos. Name it: Shrine Maiden's Sake.\You'll make money!\Shrine Maiden's Sake\No. That breaks the Liquor Law!\That's the problem?\I hate this town! I hate this life! response:	Please make me a handsome Tokyo boy in my next life!
context: Where do you get these ideas?\Sell them with photos and videos. Name it: Shrine Maiden's Sake.\You'll make money!\Shrine Maiden's Sake\No. That breaks the Liquor Law!\That's the problem?\I hate this town! I hate this life!\Please make me a handsome Tokyo boy in my next life! response:	What a fool...
context: Sell them with photos and videos. Name it: Shrine Maiden's Sake.\You'll make money!\Shrine Maiden's Sake\No. That breaks the Liquor Law!\That's the problem?\I hate this town! I hate this life!\Please make me a handsome Tokyo boy in my next life!\What a fool... response:	Ow!
context: You'll make money!\Shrine Maiden's Sake\No. That breaks the Liquor Law!\That's the problem?\I hate this town! I hate this life!\Please make me a handsome Tokyo boy in my next life!\What a fool...\Ow! response:	Ouch...
context: Shrine Maiden's Sake\No. That breaks the Liquor Law!\That's the problem?\I hate this town! I hate this life!\Please make me a handsome Tokyo boy in my next life!\What a fool...\Ow!\Ouch... response:	Where...
context: No. That breaks the Liquor Law!\That's the problem?\I hate this town! I hate this life!\Please make me a handsome Tokyo boy in my next life!\What a fool...\Ow!\Ouch...\Where... response:	Something's there...
context: That's the problem?\I hate this town! I hate this life!\Please make me a handsome Tokyo boy in my next life!\What a fool...\Ow!\Ouch...\Where...\Something's there... response:	Ow!
context: I hate this town! I hate this life!\Please make me a handsome Tokyo boy in my next life!\What a fool...\Ow!\Ouch...\Where...\Something's there...\Ow! response:	Taki! Are you up?
context: Please make me a handsome Tokyo boy in my next life!\What a fool...\Ow!\Ouch...\Where...\Something's there...\Ow!\Taki! Are you up? response:	It was your turn to cook. Wake up on time.
context: What a fool...\Ow!\Ouch...\Where...\Something's there...\Ow!\Taki! Are you up?\It was your turn to cook. Wake up on time. response:	I'm sorry.
context: Ow!\Ouch...\Where...\Something's there...\Ow!\Taki! Are you up?\It was your turn to cook. Wake up on time.\I'm sorry. response:	I'm going now. Drink all the miso soup.
context: Ouch...\Where...\Something's there...\Ow!\Taki! Are you up?\It was your turn to cook. Wake up on time.\I'm sorry.\I'm going now. Drink all the miso soup. response:	OK.
context: Where...\Something's there...\Ow!\Taki! Are you up?\It was your turn to cook. Wake up on time.\I'm sorry.\I'm going now. Drink all the miso soup.\OK. response:	Go to school even if you're late. See you.
context: Something's there...\Ow!\Taki! Are you up?\It was your turn to cook. Wake up on time.\I'm sorry.\I'm going now. Drink all the miso soup.\OK.\Go to school even if you're late. See you. response:	Have a nice day.
context: Ow!\Taki! Are you up?\It was your turn to cook. Wake up on time.\I'm sorry.\I'm going now. Drink all the miso soup.\OK.\Go to school even if you're late. See you.\Have a nice day. response:	What a strange dream.
context: Taki! Are you up?\It was your turn to cook. Wake up on time.\I'm sorry.\I'm going now. Drink all the miso soup.\OK.\Go to school even if you're late. See you.\Have a nice day.\What a strange dream. response:	From Tsukasa: Run, you're late!
context: It was your turn to cook. Wake up on time.\I'm sorry.\I'm going now. Drink all the miso soup.\OK.\Go to school even if you're late. See you.\Have a nice day.\What a strange dream.\From Tsukasa: Run, you're late! response:	What? Who's it from? Tsukasa? Who's that?
context: I'm sorry.\I'm going now. Drink all the miso soup.\OK.\Go to school even if you're late. See you.\Have a nice day.\What a strange dream.\From Tsukasa: Run, you're late!\What? Who's it from? Tsukasa? Who's that? response:	I have to use the bathroom.
context: I'm going now. Drink all the miso soup.\OK.\Go to school even if you're late. See you.\Have a nice day.\What a strange dream.\From Tsukasa: Run, you're late!\What? Who's it from? Tsukasa? Who's that?\I have to use the bathroom. response:	This dream is too realistic.
context: OK.\Go to school even if you're late. See you.\Have a nice day.\What a strange dream.\From Tsukasa: Run, you're late!\What? Who's it from? Tsukasa? Who's that?\I have to use the bathroom.\This dream is too realistic. response:	Shinjuku Station
context: Go to school even if you're late. See you.\Have a nice day.\What a strange dream.\From Tsukasa: Run, you're late!\What? Who's it from? Tsukasa? Who's that?\I have to use the bathroom.\This dream is too realistic.\Shinjuku Station response:	I'm in Tokyo.
context: Have a nice day.\What a strange dream.\From Tsukasa: Run, you're late!\What? Who's it from? Tsukasa? Who's that?\I have to use the bathroom.\This dream is too realistic.\Shinjuku Station\I'm in Tokyo. response:	Jingu High School
context: What a strange dream.\From Tsukasa: Run, you're late!\What? Who's it from? Tsukasa? Who's that?\I have to use the bathroom.\This dream is too realistic.\Shinjuku Station\I'm in Tokyo.\Jingu High School response:	- Where'd you get it? - Daikanyama.
context: From Tsukasa: Run, you're late!\What? Who's it from? Tsukasa? Who's that?\I have to use the bathroom.\This dream is too realistic.\Shinjuku Station\I'm in Tokyo.\Jingu High School\- Where'd you get it? - Daikanyama. response:	The opening act at the next gig...
context: What? Who's it from? Tsukasa? Who's that?\I have to use the bathroom.\This dream is too realistic.\Shinjuku Station\I'm in Tokyo.\Jingu High School\- Where'd you get it? - Daikanyama.\The opening act at the next gig... response:	Let's skip study hall and go to a movie.
context: I have to use the bathroom.\This dream is too realistic.\Shinjuku Station\I'm in Tokyo.\Jingu High School\- Where'd you get it? - Daikanyama.\The opening act at the next gig...\Let's skip study hall and go to a movie. response:	Taki!
context: This dream is too realistic.\Shinjuku Station\I'm in Tokyo.\Jingu High School\- Where'd you get it? - Daikanyama.\The opening act at the next gig...\Let's skip study hall and go to a movie.\Taki! response:	Arriving at noon, huh? Let's eat lunch.
context: Shinjuku Station\I'm in Tokyo.\Jingu High School\- Where'd you get it? - Daikanyama.\The opening act at the next gig...\Let's skip study hall and go to a movie.\Taki!\Arriving at noon, huh? Let's eat lunch. response:	You ignored my text.
context: I'm in Tokyo.\Jingu High School\- Where'd you get it? - Daikanyama.\The opening act at the next gig...\Let's skip study hall and go to a movie.\Taki!\Arriving at noon, huh? Let's eat lunch.\You ignored my text. response:	Oh, Tsukasa?
context: Jingu High School\- Where'd you get it? - Daikanyama.\The opening act at the next gig...\Let's skip study hall and go to a movie.\Taki!\Arriving at noon, huh? Let's eat lunch.\You ignored my text.\Oh, Tsukasa? response:	At least you sound sorry.
context: - Where'd you get it? - Daikanyama.\The opening act at the next gig...\Let's skip study hall and go to a movie.\Taki!\Arriving at noon, huh? Let's eat lunch.\You ignored my text.\Oh, Tsukasa?\At least you sound sorry. response:	- You got lost? - Yeah.
context: The opening act at the next gig...\Let's skip study hall and go to a movie.\Taki!\Arriving at noon, huh? Let's eat lunch.\You ignored my text.\Oh, Tsukasa?\At least you sound sorry.\- You got lost? - Yeah. response:	How could you get lost on the way to school?
context: Let's skip study hall and go to a movie.\Taki!\Arriving at noon, huh? Let's eat lunch.\You ignored my text.\Oh, Tsukasa?\At least you sound sorry.\- You got lost? - Yeah.\How could you get lost on the way to school? response:	- Uh... Well... I (watashi)... - Feminine?
context: Taki!\Arriving at noon, huh? Let's eat lunch.\You ignored my text.\Oh, Tsukasa?\At least you sound sorry.\- You got lost? - Yeah.\How could you get lost on the way to school?\- Uh... Well... I (watashi)... - Feminine? response:	I (watakushi)!
context: Arriving at noon, huh? Let's eat lunch.\You ignored my text.\Oh, Tsukasa?\At least you sound sorry.\- You got lost? - Yeah.\How could you get lost on the way to school?\- Uh... Well... I (watashi)... - Feminine?\I (watakushi)! response:	I (boku)?
context: You ignored my text.\Oh, Tsukasa?\At least you sound sorry.\- You got lost? - Yeah.\How could you get lost on the way to school?\- Uh... Well... I (watashi)... - Feminine?\I (watakushi)!\I (boku)? response:	I (ore)?
context: Oh, Tsukasa?\At least you sound sorry.\- You got lost? - Yeah.\How could you get lost on the way to school?\- Uh... Well... I (watashi)... - Feminine?\I (watakushi)!\I (boku)?\I (ore)? response:	I was enjoying myself. It's so festive and all in Tokyo.
context: At least you sound sorry.\- You got lost? - Yeah.\How could you get lost on the way to school?\- Uh... Well... I (watashi)... - Feminine?\I (watakushi)!\I (boku)?\I (ore)?\I was enjoying myself. It's so festive and all in Tokyo. response:	You seem to have a dialect.
context: - You got lost? - Yeah.\How could you get lost on the way to school?\- Uh... Well... I (watashi)... - Feminine?\I (watakushi)!\I (boku)?\I (ore)?\I was enjoying myself. It's so festive and all in Tokyo.\You seem to have a dialect. response:	Where's your lunch?
context: How could you get lost on the way to school?\- Uh... Well... I (watashi)... - Feminine?\I (watakushi)!\I (boku)?\I (ore)?\I was enjoying myself. It's so festive and all in Tokyo.\You seem to have a dialect.\Where's your lunch? response:	- Geez. - Are you half asleep?
context: - Uh... Well... I (watashi)... - Feminine?\I (watakushi)!\I (boku)?\I (ore)?\I was enjoying myself. It's so festive and all in Tokyo.\You seem to have a dialect.\Where's your lunch?\- Geez. - Are you half asleep? response:	- You got something? - Croquette-egg sandwich sounds good!
context: I (watakushi)!\I (boku)?\I (ore)?\I was enjoying myself. It's so festive and all in Tokyo.\You seem to have a dialect.\Where's your lunch?\- Geez. - Are you half asleep?\- You got something? - Croquette-egg sandwich sounds good! response:	Thank you.
context: I (boku)?\I (ore)?\I was enjoying myself. It's so festive and all in Tokyo.\You seem to have a dialect.\Where's your lunch?\- Geez. - Are you half asleep?\- You got something? - Croquette-egg sandwich sounds good!\Thank you. response:	Let's go to a cafe.
context: I (ore)?\I was enjoying myself. It's so festive and all in Tokyo.\You seem to have a dialect.\Where's your lunch?\- Geez. - Are you half asleep?\- You got something? - Croquette-egg sandwich sounds good!\Thank you.\Let's go to a cafe. response:	Oh that one? OK. Coming, Taki?
context: I was enjoying myself. It's so festive and all in Tokyo.\You seem to have a dialect.\Where's your lunch?\- Geez. - Are you half asleep?\- You got something? - Croquette-egg sandwich sounds good!\Thank you.\Let's go to a cafe.\Oh that one? OK. Coming, Taki? response:	What? What? What?
context: You seem to have a dialect.\Where's your lunch?\- Geez. - Are you half asleep?\- You got something? - Croquette-egg sandwich sounds good!\Thank you.\Let's go to a cafe.\Oh that one? OK. Coming, Taki?\What? What? What? response:	A cafe?
context: Where's your lunch?\- Geez. - Are you half asleep?\- You got something? - Croquette-egg sandwich sounds good!\Thank you.\Let's go to a cafe.\Oh that one? OK. Coming, Taki?\What? What? What?\A cafe? response:	Nice timber work up there.
context: - Geez. - Are you half asleep?\- You got something? - Croquette-egg sandwich sounds good!\Thank you.\Let's go to a cafe.\Oh that one? OK. Coming, Taki?\What? What? What?\A cafe?\Nice timber work up there. response:	Yeah, attention to detail.
context: - You got something? - Croquette-egg sandwich sounds good!\Thank you.\Let's go to a cafe.\Oh that one? OK. Coming, Taki?\What? What? What?\A cafe?\Nice timber work up there.\Yeah, attention to detail. response:	Taki, have you decided?
context: Thank you.\Let's go to a cafe.\Oh that one? OK. Coming, Taki?\What? What? What?\A cafe?\Nice timber work up there.\Yeah, attention to detail.\Taki, have you decided? response:	What? I could live for a month for the price of these!
context: Let's go to a cafe.\Oh that one? OK. Coming, Taki?\What? What? What?\A cafe?\Nice timber work up there.\Yeah, attention to detail.\Taki, have you decided?\What? I could live for a month for the price of these! response:	What decade are you from again?
context: Oh that one? OK. Coming, Taki?\What? What? What?\A cafe?\Nice timber work up there.\Yeah, attention to detail.\Taki, have you decided?\What? I could live for a month for the price of these!\What decade are you from again? response:	Hmm. Oh well. It's a dream anyway.
context: What? What? What?\A cafe?\Nice timber work up there.\Yeah, attention to detail.\Taki, have you decided?\What? I could live for a month for the price of these!\What decade are you from again?\Hmm. Oh well. It's a dream anyway. response:	What a great dream.
context: A cafe?\Nice timber work up there.\Yeah, attention to detail.\Taki, have you decided?\What? I could live for a month for the price of these!\What decade are you from again?\Hmm. Oh well. It's a dream anyway.\What a great dream. response:	Oh no, what should I do? I'm late for work!
context: Nice timber work up there.\Yeah, attention to detail.\Taki, have you decided?\What? I could live for a month for the price of these!\What decade are you from again?\Hmm. Oh well. It's a dream anyway.\What a great dream.\Oh no, what should I do? I'm late for work! response:	Your shift is today?
context: Yeah, attention to detail.\Taki, have you decided?\What? I could live for a month for the price of these!\What decade are you from again?\Hmm. Oh well. It's a dream anyway.\What a great dream.\Oh no, what should I do? I'm late for work!\Your shift is today? response:	- Go, then. - Oh, yeah.
context: Taki, have you decided?\What? I could live for a month for the price of these!\What decade are you from again?\Hmm. Oh well. It's a dream anyway.\What a great dream.\Oh no, what should I do? I'm late for work!\Your shift is today?\- Go, then. - Oh, yeah. response:	Oh! Um...
context: What? I could live for a month for the price of these!\What decade are you from again?\Hmm. Oh well. It's a dream anyway.\What a great dream.\Oh no, what should I do? I'm late for work!\Your shift is today?\- Go, then. - Oh, yeah.\Oh! Um... response:	Where do I work?
context: What decade are you from again?\Hmm. Oh well. It's a dream anyway.\What a great dream.\Oh no, what should I do? I'm late for work!\Your shift is today?\- Go, then. - Oh, yeah.\Oh! Um...\Where do I work? response:	What?
context: Hmm. Oh well. It's a dream anyway.\What a great dream.\Oh no, what should I do? I'm late for work!\Your shift is today?\- Go, then. - Oh, yeah.\Oh! Um...\Where do I work?\What? response:	Tables 6, 7, and 10 are waiting!
context: What a great dream.\Oh no, what should I do? I'm late for work!\Your shift is today?\- Go, then. - Oh, yeah.\Oh! Um...\Where do I work?\What?\Tables 6, 7, and 10 are waiting! response:	Table 12! Taki!
context: Oh no, what should I do? I'm late for work!\Your shift is today?\- Go, then. - Oh, yeah.\Oh! Um...\Where do I work?\What?\Tables 6, 7, and 10 are waiting!\Table 12! Taki! response:	Here you go.
context: Your shift is today?\- Go, then. - Oh, yeah.\Oh! Um...\Where do I work?\What?\Tables 6, 7, and 10 are waiting!\Table 12! Taki!\Here you go. response:	Uh, zucchini and tomato salad...
context: - Go, then. - Oh, yeah.\Oh! Um...\Where do I work?\What?\Tables 6, 7, and 10 are waiting!\Table 12! Taki!\Here you go.\Uh, zucchini and tomato salad... response:	We didn't order that.
context: Oh! Um...\Where do I work?\What?\Tables 6, 7, and 10 are waiting!\Table 12! Taki!\Here you go.\Uh, zucchini and tomato salad...\We didn't order that. response:	Taki, I said no more truffles!
context: Where do I work?\What?\Tables 6, 7, and 10 are waiting!\Table 12! Taki!\Here you go.\Uh, zucchini and tomato salad...\We didn't order that.\Taki, I said no more truffles! response:	Taki, I can't hear you!
context: What?\Tables 6, 7, and 10 are waiting!\Table 12! Taki!\Here you go.\Uh, zucchini and tomato salad...\We didn't order that.\Taki, I said no more truffles!\Taki, I can't hear you! response:	Taki!
context: Tables 6, 7, and 10 are waiting!\Table 12! Taki!\Here you go.\Uh, zucchini and tomato salad...\We didn't order that.\Taki, I said no more truffles!\Taki, I can't hear you!\Taki! response:	When is this dream going to end?
context: Table 12! Taki!\Here you go.\Uh, zucchini and tomato salad...\We didn't order that.\Taki, I said no more truffles!\Taki, I can't hear you!\Taki!\When is this dream going to end? response:	Hey. Hey waiter.
context: Here you go.\Uh, zucchini and tomato salad...\We didn't order that.\Taki, I said no more truffles!\Taki, I can't hear you!\Taki!\When is this dream going to end?\Hey. Hey waiter. response:	Oh, yes?
context: Uh, zucchini and tomato salad...\We didn't order that.\Taki, I said no more truffles!\Taki, I can't hear you!\Taki!\When is this dream going to end?\Hey. Hey waiter.\Oh, yes? response:	There was a toothpick in our pizza.
context: We didn't order that.\Taki, I said no more truffles!\Taki, I can't hear you!\Taki!\When is this dream going to end?\Hey. Hey waiter.\Oh, yes?\There was a toothpick in our pizza. response:	We could have gotten hurt.
context: Taki, I said no more truffles!\Taki, I can't hear you!\Taki!\When is this dream going to end?\Hey. Hey waiter.\Oh, yes?\There was a toothpick in our pizza.\We could have gotten hurt. response:	Good thing I noticed. What do you have to say?
context: Taki, I can't hear you!\Taki!\When is this dream going to end?\Hey. Hey waiter.\Oh, yes?\There was a toothpick in our pizza.\We could have gotten hurt.\Good thing I noticed. What do you have to say? response:	Uh, we...
context: Taki!\When is this dream going to end?\Hey. Hey waiter.\Oh, yes?\There was a toothpick in our pizza.\We could have gotten hurt.\Good thing I noticed. What do you have to say?\Uh, we... response:	But... There are no toothpicks in an Italian restaurant's...
context: When is this dream going to end?\Hey. Hey waiter.\Oh, yes?\There was a toothpick in our pizza.\We could have gotten hurt.\Good thing I noticed. What do you have to say?\Uh, we...\But... There are no toothpicks in an Italian restaurant's... response:	Excuse me.
context: Hey. Hey waiter.\Oh, yes?\There was a toothpick in our pizza.\We could have gotten hurt.\Good thing I noticed. What do you have to say?\Uh, we...\But... There are no toothpicks in an Italian restaurant's...\Excuse me. response:	Is everything OK?
context: Oh, yes?\There was a toothpick in our pizza.\We could have gotten hurt.\Good thing I noticed. What do you have to say?\Uh, we...\But... There are no toothpicks in an Italian restaurant's...\Excuse me.\Is everything OK? response:	I'll handle this.
context: There was a toothpick in our pizza.\We could have gotten hurt.\Good thing I noticed. What do you have to say?\Uh, we...\But... There are no toothpicks in an Italian restaurant's...\Excuse me.\Is everything OK?\I'll handle this. response:	What's wrong with you today?
context: We could have gotten hurt.\Good thing I noticed. What do you have to say?\Uh, we...\But... There are no toothpicks in an Italian restaurant's...\Excuse me.\Is everything OK?\I'll handle this.\What's wrong with you today? response:	Please accept our apologies. Your meal is on the house.
context: Good thing I noticed. What do you have to say?\Uh, we...\But... There are no toothpicks in an Italian restaurant's...\Excuse me.\Is everything OK?\I'll handle this.\What's wrong with you today?\Please accept our apologies. Your meal is on the house. response:	Oh, really?
context: Uh, we...\But... There are no toothpicks in an Italian restaurant's...\Excuse me.\Is everything OK?\I'll handle this.\What's wrong with you today?\Please accept our apologies. Your meal is on the house.\Oh, really? response:	I hope you weren't hurt.
context: But... There are no toothpicks in an Italian restaurant's...\Excuse me.\Is everything OK?\I'll handle this.\What's wrong with you today?\Please accept our apologies. Your meal is on the house.\Oh, really?\I hope you weren't hurt. response:	Um...
context: Excuse me.\Is everything OK?\I'll handle this.\What's wrong with you today?\Please accept our apologies. Your meal is on the house.\Oh, really?\I hope you weren't hurt.\Um... response:	Okudera...
context: Is everything OK?\I'll handle this.\What's wrong with you today?\Please accept our apologies. Your meal is on the house.\Oh, really?\I hope you weren't hurt.\Um...\Okudera... response:	Ms. Okudera.
context: I'll handle this.\What's wrong with you today?\Please accept our apologies. Your meal is on the house.\Oh, really?\I hope you weren't hurt.\Um...\Okudera...\Ms. Okudera. response:	Ms. Okudera. Thank you.
context: What's wrong with you today?\Please accept our apologies. Your meal is on the house.\Oh, really?\I hope you weren't hurt.\Um...\Okudera...\Ms. Okudera.\Ms. Okudera. Thank you. response:	A stroke of bad luck today.
context: Please accept our apologies. Your meal is on the house.\Oh, really?\I hope you weren't hurt.\Um...\Okudera...\Ms. Okudera.\Ms. Okudera. Thank you.\A stroke of bad luck today. response:	No, uh...
context: Oh, really?\I hope you weren't hurt.\Um...\Okudera...\Ms. Okudera.\Ms. Okudera. Thank you.\A stroke of bad luck today.\No, uh... response:	Bet it was a setup.
context: I hope you weren't hurt.\Um...\Okudera...\Ms. Okudera.\Ms. Okudera. Thank you.\A stroke of bad luck today.\No, uh...\Bet it was a setup. response:	Handled it according to the book, but...
context: Um...\Okudera...\Ms. Okudera.\Ms. Okudera. Thank you.\A stroke of bad luck today.\No, uh...\Bet it was a setup.\Handled it according to the book, but... response:	Oh, Ms. Okudera, your skirt!
context: Okudera...\Ms. Okudera.\Ms. Okudera. Thank you.\A stroke of bad luck today.\No, uh...\Bet it was a setup.\Handled it according to the book, but...\Oh, Ms. Okudera, your skirt! response:	You OK?
context: Ms. Okudera.\Ms. Okudera. Thank you.\A stroke of bad luck today.\No, uh...\Bet it was a setup.\Handled it according to the book, but...\Oh, Ms. Okudera, your skirt!\You OK? response:	- What happened? - Slashed.
context: Ms. Okudera. Thank you.\A stroke of bad luck today.\No, uh...\Bet it was a setup.\Handled it according to the book, but...\Oh, Ms. Okudera, your skirt!\You OK?\- What happened? - Slashed. response:	That jerk from earlier?
context: A stroke of bad luck today.\No, uh...\Bet it was a setup.\Handled it according to the book, but...\Oh, Ms. Okudera, your skirt!\You OK?\- What happened? - Slashed.\That jerk from earlier? response:	What now? Do you remember his face?
context: No, uh...\Bet it was a setup.\Handled it according to the book, but...\Oh, Ms. Okudera, your skirt!\You OK?\- What happened? - Slashed.\That jerk from earlier?\What now? Do you remember his face? response:	No.
context: Bet it was a setup.\Handled it according to the book, but...\Oh, Ms. Okudera, your skirt!\You OK?\- What happened? - Slashed.\That jerk from earlier?\What now? Do you remember his face?\No. response:	Come with me.
context: Handled it according to the book, but...\Oh, Ms. Okudera, your skirt!\You OK?\- What happened? - Slashed.\That jerk from earlier?\What now? Do you remember his face?\No.\Come with me. response:	Hey, Taki!
context: Oh, Ms. Okudera, your skirt!\You OK?\- What happened? - Slashed.\That jerk from earlier?\What now? Do you remember his face?\No.\Come with me.\Hey, Taki! response:	Take off your skirt.
context: You OK?\- What happened? - Slashed.\That jerk from earlier?\What now? Do you remember his face?\No.\Come with me.\Hey, Taki!\Take off your skirt. response:	Oh! I'll look the other way!
context: - What happened? - Slashed.\That jerk from earlier?\What now? Do you remember his face?\No.\Come with me.\Hey, Taki!\Take off your skirt.\Oh! I'll look the other way! response:	This won't take long.
context: That jerk from earlier?\What now? Do you remember his face?\No.\Come with me.\Hey, Taki!\Take off your skirt.\Oh! I'll look the other way!\This won't take long. response:	Done!
context: What now? Do you remember his face?\No.\Come with me.\Hey, Taki!\Take off your skirt.\Oh! I'll look the other way!\This won't take long.\Done! response:	Wow, Taki. It looks better than before!
context: No.\Come with me.\Hey, Taki!\Take off your skirt.\Oh! I'll look the other way!\This won't take long.\Done!\Wow, Taki. It looks better than before! response:	Thank you for saving me today.
context: Come with me.\Hey, Taki!\Take off your skirt.\Oh! I'll look the other way!\This won't take long.\Done!\Wow, Taki. It looks better than before!\Thank you for saving me today. response:	Actually, I was concerned about you.
context: Hey, Taki!\Take off your skirt.\Oh! I'll look the other way!\This won't take long.\Done!\Wow, Taki. It looks better than before!\Thank you for saving me today.\Actually, I was concerned about you. response:	You're not that strong, but you're also quick-tempered.
context: Take off your skirt.\Oh! I'll look the other way!\This won't take long.\Done!\Wow, Taki. It looks better than before!\Thank you for saving me today.\Actually, I was concerned about you.\You're not that strong, but you're also quick-tempered. response:	I like you better today.
context: Oh! I'll look the other way!\This won't take long.\Done!\Wow, Taki. It looks better than before!\Thank you for saving me today.\Actually, I was concerned about you.\You're not that strong, but you're also quick-tempered.\I like you better today. response:	Never knew you had a feminine side.
context: This won't take long.\Done!\Wow, Taki. It looks better than before!\Thank you for saving me today.\Actually, I was concerned about you.\You're not that strong, but you're also quick-tempered.\I like you better today.\Never knew you had a feminine side. response:	JR Yamanote Line: 8 min.
context: Done!\Wow, Taki. It looks better than before!\Thank you for saving me today.\Actually, I was concerned about you.\You're not that strong, but you're also quick-tempered.\I like you better today.\Never knew you had a feminine side.\JR Yamanote Line: 8 min. response:	What a realistic dream if I do say so myself.
context: Wow, Taki. It looks better than before!\Thank you for saving me today.\Actually, I was concerned about you.\You're not that strong, but you're also quick-tempered.\I like you better today.\Never knew you had a feminine side.\JR Yamanote Line: 8 min.\What a realistic dream if I do say so myself. response:	Oh, he keeps a diary.
context: Thank you for saving me today.\Actually, I was concerned about you.\You're not that strong, but you're also quick-tempered.\I like you better today.\Never knew you had a feminine side.\JR Yamanote Line: 8 min.\What a realistic dream if I do say so myself.\Oh, he keeps a diary. response:	He's so organized.
context: Actually, I was concerned about you.\You're not that strong, but you're also quick-tempered.\I like you better today.\Never knew you had a feminine side.\JR Yamanote Line: 8 min.\What a realistic dream if I do say so myself.\Oh, he keeps a diary.\He's so organized. response:	Wish I lived in Tokyo too.
context: You're not that strong, but you're also quick-tempered.\I like you better today.\Never knew you had a feminine side.\JR Yamanote Line: 8 min.\What a realistic dream if I do say so myself.\Oh, he keeps a diary.\He's so organized.\Wish I lived in Tokyo too. response:	Oh! That's her!
context: I like you better today.\Never knew you had a feminine side.\JR Yamanote Line: 8 min.\What a realistic dream if I do say so myself.\Oh, he keeps a diary.\He's so organized.\Wish I lived in Tokyo too.\Oh! That's her! response:	A crush, maybe?
context: Never knew you had a feminine side.\JR Yamanote Line: 8 min.\What a realistic dream if I do say so myself.\Oh, he keeps a diary.\He's so organized.\Wish I lived in Tokyo too.\Oh! That's her!\A crush, maybe? response:	Walked Ms. Okudera to the station after work, thanks to my feminine powers!
context: JR Yamanote Line: 8 min.\What a realistic dream if I do say so myself.\Oh, he keeps a diary.\He's so organized.\Wish I lived in Tokyo too.\Oh! That's her!\A crush, maybe?\Walked Ms. Okudera to the station after work, thanks to my feminine powers! response:	Who are you?
