context: Thank you very much. response:	Okay. We'll take a fifteen minute break before we start the second round.
context: It's been ages since the last time you came to Kanto!\My knees have been killing me,\but I had to come along\since so many of our players are participating.\Mr. Kuriyama and Dr. Harada\You need to get those knees patched up\have been rivals since they were young.\so you can play karuta again. response:	Mr. Kuriyama?
context: My knees have been killing me,\but I had to come along\since so many of our players are participating.\Mr. Kuriyama and Dr. Harada\You need to get those knees patched up\have been rivals since they were young.\so you can play karuta again.\Mr. Kuriyama? response:	I know!
context: but I had to come along\since so many of our players are participating.\Mr. Kuriyama and Dr. Harada\You need to get those knees patched up\have been rivals since they were young.\so you can play karuta again.\Mr. Kuriyama?\I know! response:	We need to watch our health.
context: since so many of our players are participating.\Mr. Kuriyama and Dr. Harada\You need to get those knees patched up\have been rivals since they were young.\so you can play karuta again.\Mr. Kuriyama?\I know!\We need to watch our health. response:	He's the director of the Nagumo Society, where I'm registered.
context: Mr. Kuriyama and Dr. Harada\You need to get those knees patched up\have been rivals since they were young.\so you can play karuta again.\Mr. Kuriyama?\I know!\We need to watch our health.\He's the director of the Nagumo Society, where I'm registered. response:	Absolutely.
context: You need to get those knees patched up\have been rivals since they were young.\so you can play karuta again.\Mr. Kuriyama?\I know!\We need to watch our health.\He's the director of the Nagumo Society, where I'm registered.\Absolutely. response:	Once this is over...
context: have been rivals since they were young.\so you can play karuta again.\Mr. Kuriyama?\I know!\We need to watch our health.\He's the director of the Nagumo Society, where I'm registered.\Absolutely.\Once this is over... response:	The third round for Class A and Class B will begin soon.
context: so you can play karuta again.\Mr. Kuriyama?\I know!\We need to watch our health.\He's the director of the Nagumo Society, where I'm registered.\Absolutely.\Once this is over...\The third round for Class A and Class B will begin soon. response:	Please move to your assigned seats.
context: Mr. Kuriyama?\I know!\We need to watch our health.\He's the director of the Nagumo Society, where I'm registered.\Absolutely.\Once this is over...\The third round for Class A and Class B will begin soon.\Please move to your assigned seats. response:	Taichi, hold on.
context: I know!\We need to watch our health.\He's the director of the Nagumo Society, where I'm registered.\Absolutely.\Once this is over...\The third round for Class A and Class B will begin soon.\Please move to your assigned seats.\Taichi, hold on. response:	Here.
context: We need to watch our health.\He's the director of the Nagumo Society, where I'm registered.\Absolutely.\Once this is over...\The third round for Class A and Class B will begin soon.\Please move to your assigned seats.\Taichi, hold on.\Here. response:	I guess I was mistaken.
context: He's the director of the Nagumo Society, where I'm registered.\Absolutely.\Once this is over...\The third round for Class A and Class B will begin soon.\Please move to your assigned seats.\Taichi, hold on.\Here.\I guess I was mistaken. response:	I thought you would be in the Class A tournament today.
context: Absolutely.\Once this is over...\The third round for Class A and Class B will begin soon.\Please move to your assigned seats.\Taichi, hold on.\Here.\I guess I was mistaken.\I thought you would be in the Class A tournament today. response:	Pass that on to Chihaya, if she needs it.
context: Once this is over...\The third round for Class A and Class B will begin soon.\Please move to your assigned seats.\Taichi, hold on.\Here.\I guess I was mistaken.\I thought you would be in the Class A tournament today.\Pass that on to Chihaya, if she needs it. response:	Wataya Arata
context: The third round for Class A and Class B will begin soon.\Please move to your assigned seats.\Taichi, hold on.\Here.\I guess I was mistaken.\I thought you would be in the Class A tournament today.\Pass that on to Chihaya, if she needs it.\Wataya Arata response:	Arata...
context: Please move to your assigned seats.\Taichi, hold on.\Here.\I guess I was mistaken.\I thought you would be in the Class A tournament today.\Pass that on to Chihaya, if she needs it.\Wataya Arata\Arata... response:	Arata... is here.
context: Taichi, hold on.\Here.\I guess I was mistaken.\I thought you would be in the Class A tournament today.\Pass that on to Chihaya, if she needs it.\Wataya Arata\Arata...\Arata... is here. response:	Wait! Wait up!
context: Here.\I guess I was mistaken.\I thought you would be in the Class A tournament today.\Pass that on to Chihaya, if she needs it.\Wataya Arata\Arata...\Arata... is here.\Wait! Wait up! response:	Here comes spring, now the flower blooms
context: I guess I was mistaken.\I thought you would be in the Class A tournament today.\Pass that on to Chihaya, if she needs it.\Wataya Arata\Arata...\Arata... is here.\Wait! Wait up!\Here comes spring, now the flower blooms response:	Made it.
context: I thought you would be in the Class A tournament today.\Pass that on to Chihaya, if she needs it.\Wataya Arata\Arata...\Arata... is here.\Wait! Wait up!\Here comes spring, now the flower blooms\Made it. response:	Wrong direction!
context: Pass that on to Chihaya, if she needs it.\Wataya Arata\Arata...\Arata... is here.\Wait! Wait up!\Here comes spring, now the flower blooms\Made it.\Wrong direction! response:	Wait! Open up!
context: Wataya Arata\Arata...\Arata... is here.\Wait! Wait up!\Here comes spring, now the flower blooms\Made it.\Wrong direction!\Wait! Open up! response:	This is the wrong way!
context: Arata...\Arata... is here.\Wait! Wait up!\Here comes spring, now the flower blooms\Made it.\Wrong direction!\Wait! Open up!\This is the wrong way! response:	Desktomu-kun
context: Arata... is here.\Wait! Wait up!\Here comes spring, now the flower blooms\Made it.\Wrong direction!\Wait! Open up!\This is the wrong way!\Desktomu-kun response:	You realize that you're running away from your responsibilities. -From your tutor
context: Wait! Wait up!\Here comes spring, now the flower blooms\Made it.\Wrong direction!\Wait! Open up!\This is the wrong way!\Desktomu-kun\You realize that you're running away from your responsibilities. -From your tutor response:	He's so calm when he's angry!
context: Here comes spring, now the flower blooms\Made it.\Wrong direction!\Wait! Open up!\This is the wrong way!\Desktomu-kun\You realize that you're running away from your responsibilities. -From your tutor\He's so calm when he's angry! response:	What am I doing?
context: Made it.\Wrong direction!\Wait! Open up!\This is the wrong way!\Desktomu-kun\You realize that you're running away from your responsibilities. -From your tutor\He's so calm when he's angry!\What am I doing? response:	I'm getting nowhere with studying or karuta.
context: Wrong direction!\Wait! Open up!\This is the wrong way!\Desktomu-kun\You realize that you're running away from your responsibilities. -From your tutor\He's so calm when he's angry!\What am I doing?\I'm getting nowhere with studying or karuta. response:	I don't know what I should do.
context: Wait! Open up!\This is the wrong way!\Desktomu-kun\You realize that you're running away from your responsibilities. -From your tutor\He's so calm when he's angry!\What am I doing?\I'm getting nowhere with studying or karuta.\I don't know what I should do. response:	Yet, what if Taichi is all alone when he wins or loses?
context: This is the wrong way!\Desktomu-kun\You realize that you're running away from your responsibilities. -From your tutor\He's so calm when he's angry!\What am I doing?\I'm getting nowhere with studying or karuta.\I don't know what I should do.\Yet, what if Taichi is all alone when he wins or loses? response:	I can't let that happen!
context: Desktomu-kun\You realize that you're running away from your responsibilities. -From your tutor\He's so calm when he's angry!\What am I doing?\I'm getting nowhere with studying or karuta.\I don't know what I should do.\Yet, what if Taichi is all alone when he wins or loses?\I can't let that happen! response:	Taichi!
context: You realize that you're running away from your responsibilities. -From your tutor\He's so calm when he's angry!\What am I doing?\I'm getting nowhere with studying or karuta.\I don't know what I should do.\Yet, what if Taichi is all alone when he wins or loses?\I can't let that happen!\Taichi! response:	Well? Are you doing well?
context: He's so calm when he's angry!\What am I doing?\I'm getting nowhere with studying or karuta.\I don't know what I should do.\Yet, what if Taichi is all alone when he wins or loses?\I can't let that happen!\Taichi!\Well? Are you doing well? response:	What round is it?
context: What am I doing?\I'm getting nowhere with studying or karuta.\I don't know what I should do.\Yet, what if Taichi is all alone when he wins or loses?\I can't let that happen!\Taichi!\Well? Are you doing well?\What round is it? response:	I lost in the third round.
context: I'm getting nowhere with studying or karuta.\I don't know what I should do.\Yet, what if Taichi is all alone when he wins or loses?\I can't let that happen!\Taichi!\Well? Are you doing well?\What round is it?\I lost in the third round. response:	R-Really...
context: I don't know what I should do.\Yet, what if Taichi is all alone when he wins or loses?\I can't let that happen!\Taichi!\Well? Are you doing well?\What round is it?\I lost in the third round.\R-Really... response:	Chihaya.
context: Yet, what if Taichi is all alone when he wins or loses?\I can't let that happen!\Taichi!\Well? Are you doing well?\What round is it?\I lost in the third round.\R-Really...\Chihaya. response:	Arata is playing.
context: I can't let that happen!\Taichi!\Well? Are you doing well?\What round is it?\I lost in the third round.\R-Really...\Chihaya.\Arata is playing. response:	for there is no one else out here
context: Taichi!\Well? Are you doing well?\What round is it?\I lost in the third round.\R-Really...\Chihaya.\Arata is playing.\for there is no one else out here response:	Huh?
context: Well? Are you doing well?\What round is it?\I lost in the third round.\R-Really...\Chihaya.\Arata is playing.\for there is no one else out here\Huh? response:	As I wait for someone who will never come,
context: What round is it?\I lost in the third round.\R-Really...\Chihaya.\Arata is playing.\for there is no one else out here\Huh?\As I wait for someone who will never come, response:	Wataya Arata
context: I lost in the third round.\R-Really...\Chihaya.\Arata is playing.\for there is no one else out here\Huh?\As I wait for someone who will never come,\Wataya Arata response:	my body burns like the seaweed drying on the shores of Matsuho
context: R-Really...\Chihaya.\Arata is playing.\for there is no one else out here\Huh?\As I wait for someone who will never come,\Wataya Arata\my body burns like the seaweed drying on the shores of Matsuho response:	Long last we meet...
context: Chihaya.\Arata is playing.\for there is no one else out here\Huh?\As I wait for someone who will never come,\Wataya Arata\my body burns like the seaweed drying on the shores of Matsuho\Long last we meet... response:	Mine!
context: Arata is playing.\for there is no one else out here\Huh?\As I wait for someone who will never come,\Wataya Arata\my body burns like the seaweed drying on the shores of Matsuho\Long last we meet...\Mine! response:	Thank you very much!
context: for there is no one else out here\Huh?\As I wait for someone who will never come,\Wataya Arata\my body burns like the seaweed drying on the shores of Matsuho\Long last we meet...\Mine!\Thank you very much! response:	I won my game by 11 cards to make it to the semifinals.
context: Huh?\As I wait for someone who will never come,\Wataya Arata\my body burns like the seaweed drying on the shores of Matsuho\Long last we meet...\Mine!\Thank you very much!\I won my game by 11 cards to make it to the semifinals. response:	I'm feeling it today!
context: As I wait for someone who will never come,\Wataya Arata\my body burns like the seaweed drying on the shores of Matsuho\Long last we meet...\Mine!\Thank you very much!\I won my game by 11 cards to make it to the semifinals.\I'm feeling it today! response:	Chihaya-chan is here?
context: Wataya Arata\my body burns like the seaweed drying on the shores of Matsuho\Long last we meet...\Mine!\Thank you very much!\I won my game by 11 cards to make it to the semifinals.\I'm feeling it today!\Chihaya-chan is here? response:	When I must hide...
context: my body burns like the seaweed drying on the shores of Matsuho\Long last we meet...\Mine!\Thank you very much!\I won my game by 11 cards to make it to the semifinals.\I'm feeling it today!\Chihaya-chan is here?\When I must hide... response:	Would the mountain cherry blossoms...
context: Long last we meet...\Mine!\Thank you very much!\I won my game by 11 cards to make it to the semifinals.\I'm feeling it today!\Chihaya-chan is here?\When I must hide...\Would the mountain cherry blossoms... response:	When the misty bridge...
context: Mine!\Thank you very much!\I won my game by 11 cards to make it to the semifinals.\I'm feeling it today!\Chihaya-chan is here?\When I must hide...\Would the mountain cherry blossoms...\When the misty bridge... response:	When winds send waves...
context: Thank you very much!\I won my game by 11 cards to make it to the semifinals.\I'm feeling it today!\Chihaya-chan is here?\When I must hide...\Would the mountain cherry blossoms...\When the misty bridge...\When winds send waves... response:	I lost in the third round.
context: I won my game by 11 cards to make it to the semifinals.\I'm feeling it today!\Chihaya-chan is here?\When I must hide...\Would the mountain cherry blossoms...\When the misty bridge...\When winds send waves...\I lost in the third round. response:	It's not Arata's fault.
context: I'm feeling it today!\Chihaya-chan is here?\When I must hide...\Would the mountain cherry blossoms...\When the misty bridge...\When winds send waves...\I lost in the third round.\It's not Arata's fault. response:	But...
context: Chihaya-chan is here?\When I must hide...\Would the mountain cherry blossoms...\When the misty bridge...\When winds send waves...\I lost in the third round.\It's not Arata's fault.\But... response:	But...
context: When I must hide...\Would the mountain cherry blossoms...\When the misty bridge...\When winds send waves...\I lost in the third round.\It's not Arata's fault.\But...\But... response:	Taichi...
context: Would the mountain cherry blossoms...\When the misty bridge...\When winds send waves...\I lost in the third round.\It's not Arata's fault.\But...\But...\Taichi... response:	It happened, Taichi!
context: When the misty bridge...\When winds send waves...\I lost in the third round.\It's not Arata's fault.\But...\But...\Taichi...\It happened, Taichi! response:	It happened!
context: When winds send waves...\I lost in the third round.\It's not Arata's fault.\But...\But...\Taichi...\It happened, Taichi!\It happened! response:	Arata's going to come back,
context: I lost in the third round.\It's not Arata's fault.\But...\But...\Taichi...\It happened, Taichi!\It happened!\Arata's going to come back, response:	so we have to become stronger and wait for his return.
context: It's not Arata's fault.\But...\But...\Taichi...\It happened, Taichi!\It happened!\Arata's going to come back,\so we have to become stronger and wait for his return. response:	Taichi...
context: But...\But...\Taichi...\It happened, Taichi!\It happened!\Arata's going to come back,\so we have to become stronger and wait for his return.\Taichi... response:	It happened!
context: But...\Taichi...\It happened, Taichi!\It happened!\Arata's going to come back,\so we have to become stronger and wait for his return.\Taichi...\It happened! response:	Part of me didn't want to see him here,
context: Taichi...\It happened, Taichi!\It happened!\Arata's going to come back,\so we have to become stronger and wait for his return.\Taichi...\It happened!\Part of me didn't want to see him here, response:	but deep down, I'm celebrating.
context: It happened, Taichi!\It happened!\Arata's going to come back,\so we have to become stronger and wait for his return.\Taichi...\It happened!\Part of me didn't want to see him here,\but deep down, I'm celebrating. response:	He's back.
context: It happened!\Arata's going to come back,\so we have to become stronger and wait for his return.\Taichi...\It happened!\Part of me didn't want to see him here,\but deep down, I'm celebrating.\He's back. response:	Arata's back.
context: Arata's going to come back,\so we have to become stronger and wait for his return.\Taichi...\It happened!\Part of me didn't want to see him here,\but deep down, I'm celebrating.\He's back.\Arata's back. response:	He's good. Really good.
context: so we have to become stronger and wait for his return.\Taichi...\It happened!\Part of me didn't want to see him here,\but deep down, I'm celebrating.\He's back.\Arata's back.\He's good. Really good. response:	Tsuboguchi Hiroshi-san, from the Shiranami Society.
context: Taichi...\It happened!\Part of me didn't want to see him here,\but deep down, I'm celebrating.\He's back.\Arata's back.\He's good. Really good.\Tsuboguchi Hiroshi-san, from the Shiranami Society. response:	One more card! One more card!
context: It happened!\Part of me didn't want to see him here,\but deep down, I'm celebrating.\He's back.\Arata's back.\He's good. Really good.\Tsuboguchi Hiroshi-san, from the Shiranami Society.\One more card! One more card! response:	Give me For the!
context: Part of me didn't want to see him here,\but deep down, I'm celebrating.\He's back.\Arata's back.\He's good. Really good.\Tsuboguchi Hiroshi-san, from the Shiranami Society.\One more card! One more card!\Give me For the! response:	For the!
context: but deep down, I'm celebrating.\He's back.\Arata's back.\He's good. Really good.\Tsuboguchi Hiroshi-san, from the Shiranami Society.\One more card! One more card!\Give me For the!\For the! response:	It's gotta be For the!
context: He's back.\Arata's back.\He's good. Really good.\Tsuboguchi Hiroshi-san, from the Shiranami Society.\One more card! One more card!\Give me For the!\For the!\It's gotta be For the! response:	For the! For the! For the! For the!
context: Arata's back.\He's good. Really good.\Tsuboguchi Hiroshi-san, from the Shiranami Society.\One more card! One more card!\Give me For the!\For the!\It's gotta be For the!\For the! For the! For the! For the! response:	I can sense Dr. Harada behind him.
context: He's good. Really good.\Tsuboguchi Hiroshi-san, from the Shiranami Society.\One more card! One more card!\Give me For the!\For the!\It's gotta be For the!\For the! For the! For the! For the!\I can sense Dr. Harada behind him. response:	leaving a hovering mist above the trees and grass
context: Tsuboguchi Hiroshi-san, from the Shiranami Society.\One more card! One more card!\Give me For the!\For the!\It's gotta be For the!\For the! For the! For the! For the!\I can sense Dr. Harada behind him.\leaving a hovering mist above the trees and grass response:	For the cold nights...
context: One more card! One more card!\Give me For the!\For the!\It's gotta be For the!\For the! For the! For the! For the!\I can sense Dr. Harada behind him.\leaving a hovering mist above the trees and grass\For the cold nights... response:	Thank you very much.
context: Give me For the!\For the!\It's gotta be For the!\For the! For the! For the! For the!\I can sense Dr. Harada behind him.\leaving a hovering mist above the trees and grass\For the cold nights...\Thank you very much. response:	Thank you very much.
context: For the!\It's gotta be For the!\For the! For the! For the! For the!\I can sense Dr. Harada behind him.\leaving a hovering mist above the trees and grass\For the cold nights...\Thank you very much.\Thank you very much. response:	I got the card? Terrific.
context: It's gotta be For the!\For the! For the! For the! For the!\I can sense Dr. Harada behind him.\leaving a hovering mist above the trees and grass\For the cold nights...\Thank you very much.\Thank you very much.\I got the card? Terrific. response:	But that was pure luck...
context: For the! For the! For the! For the!\I can sense Dr. Harada behind him.\leaving a hovering mist above the trees and grass\For the cold nights...\Thank you very much.\Thank you very much.\I got the card? Terrific.\But that was pure luck... response:	I chose a card and moved before I heard the first syllable.
context: I can sense Dr. Harada behind him.\leaving a hovering mist above the trees and grass\For the cold nights...\Thank you very much.\Thank you very much.\I got the card? Terrific.\But that was pure luck...\I chose a card and moved before I heard the first syllable. response:	Yet he still almost got there first.
context: leaving a hovering mist above the trees and grass\For the cold nights...\Thank you very much.\Thank you very much.\I got the card? Terrific.\But that was pure luck...\I chose a card and moved before I heard the first syllable.\Yet he still almost got there first. response:	I would have lost if either of the other two cards had been read.
context: For the cold nights...\Thank you very much.\Thank you very much.\I got the card? Terrific.\But that was pure luck...\I chose a card and moved before I heard the first syllable.\Yet he still almost got there first.\I would have lost if either of the other two cards had been read. response:	The semifinals will begin in ten minutes.
context: Thank you very much.\Thank you very much.\I got the card? Terrific.\But that was pure luck...\I chose a card and moved before I heard the first syllable.\Yet he still almost got there first.\I would have lost if either of the other two cards had been read.\The semifinals will begin in ten minutes. response:	You're too slow.
context: Thank you very much.\I got the card? Terrific.\But that was pure luck...\I chose a card and moved before I heard the first syllable.\Yet he still almost got there first.\I would have lost if either of the other two cards had been read.\The semifinals will begin in ten minutes.\You're too slow. response:	Hiroshi-san is our ace.
context: I got the card? Terrific.\But that was pure luck...\I chose a card and moved before I heard the first syllable.\Yet he still almost got there first.\I would have lost if either of the other two cards had been read.\The semifinals will begin in ten minutes.\You're too slow.\Hiroshi-san is our ace. response:	He's not going to lose to someone who hasn't played in eighteen months.
context: But that was pure luck...\I chose a card and moved before I heard the first syllable.\Yet he still almost got there first.\I would have lost if either of the other two cards had been read.\The semifinals will begin in ten minutes.\You're too slow.\Hiroshi-san is our ace.\He's not going to lose to someone who hasn't played in eighteen months. response:	Chihaya, you need to-
context: I chose a card and moved before I heard the first syllable.\Yet he still almost got there first.\I would have lost if either of the other two cards had been read.\The semifinals will begin in ten minutes.\You're too slow.\Hiroshi-san is our ace.\He's not going to lose to someone who hasn't played in eighteen months.\Chihaya, you need to- response:	Why did he go for that card?
context: Yet he still almost got there first.\I would have lost if either of the other two cards had been read.\The semifinals will begin in ten minutes.\You're too slow.\Hiroshi-san is our ace.\He's not going to lose to someone who hasn't played in eighteen months.\Chihaya, you need to-\Why did he go for that card? response:	How does he stay still when a dead card is read?
context: I would have lost if either of the other two cards had been read.\The semifinals will begin in ten minutes.\You're too slow.\Hiroshi-san is our ace.\He's not going to lose to someone who hasn't played in eighteen months.\Chihaya, you need to-\Why did he go for that card?\How does he stay still when a dead card is read? response:	What is his thinking process for sending cards?
context: The semifinals will begin in ten minutes.\You're too slow.\Hiroshi-san is our ace.\He's not going to lose to someone who hasn't played in eighteen months.\Chihaya, you need to-\Why did he go for that card?\How does he stay still when a dead card is read?\What is his thinking process for sending cards? response:	What? Why? How?
context: You're too slow.\Hiroshi-san is our ace.\He's not going to lose to someone who hasn't played in eighteen months.\Chihaya, you need to-\Why did he go for that card?\How does he stay still when a dead card is read?\What is his thinking process for sending cards?\What? Why? How? response:	Hey, Chihaya.
context: Hiroshi-san is our ace.\He's not going to lose to someone who hasn't played in eighteen months.\Chihaya, you need to-\Why did he go for that card?\How does he stay still when a dead card is read?\What is his thinking process for sending cards?\What? Why? How?\Hey, Chihaya. response:	Huh? What?
context: He's not going to lose to someone who hasn't played in eighteen months.\Chihaya, you need to-\Why did he go for that card?\How does he stay still when a dead card is read?\What is his thinking process for sending cards?\What? Why? How?\Hey, Chihaya.\Huh? What? response:	Sit down.
context: Chihaya, you need to-\Why did he go for that card?\How does he stay still when a dead card is read?\What is his thinking process for sending cards?\What? Why? How?\Hey, Chihaya.\Huh? What?\Sit down. response:	Oh.
context: Why did he go for that card?\How does he stay still when a dead card is read?\What is his thinking process for sending cards?\What? Why? How?\Hey, Chihaya.\Huh? What?\Sit down.\Oh. response:	We aren't even playing, and you're already fired up.
context: How does he stay still when a dead card is read?\What is his thinking process for sending cards?\What? Why? How?\Hey, Chihaya.\Huh? What?\Sit down.\Oh.\We aren't even playing, and you're already fired up. response:	Chihaya-chan!
context: What is his thinking process for sending cards?\What? Why? How?\Hey, Chihaya.\Huh? What?\Sit down.\Oh.\We aren't even playing, and you're already fired up.\Chihaya-chan! response:	What are you doing?
context: What? Why? How?\Hey, Chihaya.\Huh? What?\Sit down.\Oh.\We aren't even playing, and you're already fired up.\Chihaya-chan!\What are you doing? response:	Huh? Huh? You came, Kana-chan?
context: Hey, Chihaya.\Huh? What?\Sit down.\Oh.\We aren't even playing, and you're already fired up.\Chihaya-chan!\What are you doing?\Huh? Huh? You came, Kana-chan? response:	We all wanted to cheer for the president,
context: Huh? What?\Sit down.\Oh.\We aren't even playing, and you're already fired up.\Chihaya-chan!\What are you doing?\Huh? Huh? You came, Kana-chan?\We all wanted to cheer for the president, response:	A disguise?
context: Sit down.\Oh.\We aren't even playing, and you're already fired up.\Chihaya-chan!\What are you doing?\Huh? Huh? You came, Kana-chan?\We all wanted to cheer for the president,\A disguise? response:	I'm sorry! I'm sorry!
context: Oh.\We aren't even playing, and you're already fired up.\Chihaya-chan!\What are you doing?\Huh? Huh? You came, Kana-chan?\We all wanted to cheer for the president,\A disguise?\I'm sorry! I'm sorry! response:	yet Desktomu-kun agreed to help you study!
context: We aren't even playing, and you're already fired up.\Chihaya-chan!\What are you doing?\Huh? Huh? You came, Kana-chan?\We all wanted to cheer for the president,\A disguise?\I'm sorry! I'm sorry!\yet Desktomu-kun agreed to help you study! response:	Arata-kun,
context: Chihaya-chan!\What are you doing?\Huh? Huh? You came, Kana-chan?\We all wanted to cheer for the president,\A disguise?\I'm sorry! I'm sorry!\yet Desktomu-kun agreed to help you study!\Arata-kun, response:	go grab your fourth place award.
context: What are you doing?\Huh? Huh? You came, Kana-chan?\We all wanted to cheer for the president,\A disguise?\I'm sorry! I'm sorry!\yet Desktomu-kun agreed to help you study!\Arata-kun,\go grab your fourth place award. response:	Then you ran off by yourself!
context: Huh? Huh? You came, Kana-chan?\We all wanted to cheer for the president,\A disguise?\I'm sorry! I'm sorry!\yet Desktomu-kun agreed to help you study!\Arata-kun,\go grab your fourth place award.\Then you ran off by yourself! response:	We'll leave after that.
context: We all wanted to cheer for the president,\A disguise?\I'm sorry! I'm sorry!\yet Desktomu-kun agreed to help you study!\Arata-kun,\go grab your fourth place award.\Then you ran off by yourself!\We'll leave after that. response:	Okay.
context: A disguise?\I'm sorry! I'm sorry!\yet Desktomu-kun agreed to help you study!\Arata-kun,\go grab your fourth place award.\Then you ran off by yourself!\We'll leave after that.\Okay. response:	You're leaving?
context: I'm sorry! I'm sorry!\yet Desktomu-kun agreed to help you study!\Arata-kun,\go grab your fourth place award.\Then you ran off by yourself!\We'll leave after that.\Okay.\You're leaving? response:	Nobody from the Nagumo Society is left,
context: yet Desktomu-kun agreed to help you study!\Arata-kun,\go grab your fourth place award.\Then you ran off by yourself!\We'll leave after that.\Okay.\You're leaving?\Nobody from the Nagumo Society is left, response:	and we drove here.
context: Arata-kun,\go grab your fourth place award.\Then you ran off by yourself!\We'll leave after that.\Okay.\You're leaving?\Nobody from the Nagumo Society is left,\and we drove here. response:	If we leave now,
context: go grab your fourth place award.\Then you ran off by yourself!\We'll leave after that.\Okay.\You're leaving?\Nobody from the Nagumo Society is left,\and we drove here.\If we leave now, response:	it'll be the middle of the night when we reach Fukui.
context: Then you ran off by yourself!\We'll leave after that.\Okay.\You're leaving?\Nobody from the Nagumo Society is left,\and we drove here.\If we leave now,\it'll be the middle of the night when we reach Fukui. response:	Then you can give this to her yourself.
context: We'll leave after that.\Okay.\You're leaving?\Nobody from the Nagumo Society is left,\and we drove here.\If we leave now,\it'll be the middle of the night when we reach Fukui.\Then you can give this to her yourself. response:	Your cell phone number.
context: Okay.\You're leaving?\Nobody from the Nagumo Society is left,\and we drove here.\If we leave now,\it'll be the middle of the night when we reach Fukui.\Then you can give this to her yourself.\Your cell phone number. response:	Don't make me decide if she needs it or not.
context: You're leaving?\Nobody from the Nagumo Society is left,\and we drove here.\If we leave now,\it'll be the middle of the night when we reach Fukui.\Then you can give this to her yourself.\Your cell phone number.\Don't make me decide if she needs it or not. response:	We're going back to school now!
context: Nobody from the Nagumo Society is left,\and we drove here.\If we leave now,\it'll be the middle of the night when we reach Fukui.\Then you can give this to her yourself.\Your cell phone number.\Don't make me decide if she needs it or not.\We're going back to school now! response:	What? Already?
context: and we drove here.\If we leave now,\it'll be the middle of the night when we reach Fukui.\Then you can give this to her yourself.\Your cell phone number.\Don't make me decide if she needs it or not.\We're going back to school now!\What? Already? response:	Of course!
context: If we leave now,\it'll be the middle of the night when we reach Fukui.\Then you can give this to her yourself.\Your cell phone number.\Don't make me decide if she needs it or not.\We're going back to school now!\What? Already?\Of course! response:	Right away?! Really?!
context: it'll be the middle of the night when we reach Fukui.\Then you can give this to her yourself.\Your cell phone number.\Don't make me decide if she needs it or not.\We're going back to school now!\What? Already?\Of course!\Right away?! Really?! response:	Well, I wasn't sure...
context: Then you can give this to her yourself.\Your cell phone number.\Don't make me decide if she needs it or not.\We're going back to school now!\What? Already?\Of course!\Right away?! Really?!\Well, I wasn't sure... response:	About what?
context: Your cell phone number.\Don't make me decide if she needs it or not.\We're going back to school now!\What? Already?\Of course!\Right away?! Really?!\Well, I wasn't sure...\About what? response:	I'm no longer here,
context: Don't make me decide if she needs it or not.\We're going back to school now!\What? Already?\Of course!\Right away?! Really?!\Well, I wasn't sure...\About what?\I'm no longer here, response:	so I didn't know if the two of you were a couple now.
context: We're going back to school now!\What? Already?\Of course!\Right away?! Really?!\Well, I wasn't sure...\About what?\I'm no longer here,\so I didn't know if the two of you were a couple now. response:	No, definitely not.
context: What? Already?\Of course!\Right away?! Really?!\Well, I wasn't sure...\About what?\I'm no longer here,\so I didn't know if the two of you were a couple now.\No, definitely not. response:	Really?
context: Of course!\Right away?! Really?!\Well, I wasn't sure...\About what?\I'm no longer here,\so I didn't know if the two of you were a couple now.\No, definitely not.\Really? response:	You're actually pretty sensitive about that stuff.
context: Right away?! Really?!\Well, I wasn't sure...\About what?\I'm no longer here,\so I didn't know if the two of you were a couple now.\No, definitely not.\Really?\You're actually pretty sensitive about that stuff. response:	I'm no longer here...
context: Well, I wasn't sure...\About what?\I'm no longer here,\so I didn't know if the two of you were a couple now.\No, definitely not.\Really?\You're actually pretty sensitive about that stuff.\I'm no longer here... response:	Hey, don't space out!
context: About what?\I'm no longer here,\so I didn't know if the two of you were a couple now.\No, definitely not.\Really?\You're actually pretty sensitive about that stuff.\I'm no longer here...\Hey, don't space out! response:	You can't afford to waste a single second!
context: I'm no longer here,\so I didn't know if the two of you were a couple now.\No, definitely not.\Really?\You're actually pretty sensitive about that stuff.\I'm no longer here...\Hey, don't space out!\You can't afford to waste a single second! response:	Read your textbook!
context: so I didn't know if the two of you were a couple now.\No, definitely not.\Really?\You're actually pretty sensitive about that stuff.\I'm no longer here...\Hey, don't space out!\You can't afford to waste a single second!\Read your textbook! response:	That's not on the test!
context: No, definitely not.\Really?\You're actually pretty sensitive about that stuff.\I'm no longer here...\Hey, don't space out!\You can't afford to waste a single second!\Read your textbook!\That's not on the test! response:	Start from page 92 for Classic Lit.!
context: Really?\You're actually pretty sensitive about that stuff.\I'm no longer here...\Hey, don't space out!\You can't afford to waste a single second!\Read your textbook!\That's not on the test!\Start from page 92 for Classic Lit.! response:	The Tale of Genji Lady Murasaki Shikibu
context: You're actually pretty sensitive about that stuff.\I'm no longer here...\Hey, don't space out!\You can't afford to waste a single second!\Read your textbook!\That's not on the test!\Start from page 92 for Classic Lit.!\The Tale of Genji Lady Murasaki Shikibu response:	Long last we meet...
context: I'm no longer here...\Hey, don't space out!\You can't afford to waste a single second!\Read your textbook!\That's not on the test!\Start from page 92 for Classic Lit.!\The Tale of Genji Lady Murasaki Shikibu\Long last we meet... response:	Long last we meet...
