context: High School Championship Tokyo Regional Final Tournament Bracket response:	Mizusawa High School Homei High School Hokuo Academy Shoha High School
context: To ensure that all the practice we put in after\last year's loss will pay off, I have an ultimate weapon...\We lost last year because we\correctly guessed their order, but failed to use that advantage.\That won't be an issue this year.\This will be easy.\Retro's Projected Order Oe (C) - Shiroyama Ayase (A) - Kameda Mashima (B) - Amakas Nishida (A) - Takuma Komano (C) - Kinashi <- Me\Even if we lose to Ayase and Nishida, response:	we're guaranteed to win the other three matches.
context: last year's loss will pay off, I have an ultimate weapon...\We lost last year because we\correctly guessed their order, but failed to use that advantage.\That won't be an issue this year.\This will be easy.\Retro's Projected Order Oe (C) - Shiroyama Ayase (A) - Kameda Mashima (B) - Amakas Nishida (A) - Takuma Komano (C) - Kinashi <- Me\Even if we lose to Ayase and Nishida,\we're guaranteed to win the other three matches. response:	After we win the final with a minimal amount of energy,
context: We lost last year because we\correctly guessed their order, but failed to use that advantage.\That won't be an issue this year.\This will be easy.\Retro's Projected Order Oe (C) - Shiroyama Ayase (A) - Kameda Mashima (B) - Amakas Nishida (A) - Takuma Komano (C) - Kinashi <- Me\Even if we lose to Ayase and Nishida,\we're guaranteed to win the other three matches.\After we win the final with a minimal amount of energy, response:	the coach will buy us yakiniku!
context: correctly guessed their order, but failed to use that advantage.\That won't be an issue this year.\This will be easy.\Retro's Projected Order Oe (C) - Shiroyama Ayase (A) - Kameda Mashima (B) - Amakas Nishida (A) - Takuma Komano (C) - Kinashi <- Me\Even if we lose to Ayase and Nishida,\we're guaranteed to win the other three matches.\After we win the final with a minimal amount of energy,\the coach will buy us yakiniku! response:	Yeah!
context: That won't be an issue this year.\This will be easy.\Retro's Projected Order Oe (C) - Shiroyama Ayase (A) - Kameda Mashima (B) - Amakas Nishida (A) - Takuma Komano (C) - Kinashi <- Me\Even if we lose to Ayase and Nishida,\we're guaranteed to win the other three matches.\After we win the final with a minimal amount of energy,\the coach will buy us yakiniku!\Yeah! response:	Fight!
context: This will be easy.\Retro's Projected Order Oe (C) - Shiroyama Ayase (A) - Kameda Mashima (B) - Amakas Nishida (A) - Takuma Komano (C) - Kinashi <- Me\Even if we lose to Ayase and Nishida,\we're guaranteed to win the other three matches.\After we win the final with a minimal amount of energy,\the coach will buy us yakiniku!\Yeah!\Fight! response:	I will now read the order for the final match.
context: Retro's Projected Order Oe (C) - Shiroyama Ayase (A) - Kameda Mashima (B) - Amakas Nishida (A) - Takuma Komano (C) - Kinashi <- Me\Even if we lose to Ayase and Nishida,\we're guaranteed to win the other three matches.\After we win the final with a minimal amount of energy,\the coach will buy us yakiniku!\Yeah!\Fight!\I will now read the order for the final match. response:	Hokuo Academy, Shiroyama-kun.
context: Even if we lose to Ayase and Nishida,\we're guaranteed to win the other three matches.\After we win the final with a minimal amount of energy,\the coach will buy us yakiniku!\Yeah!\Fight!\I will now read the order for the final match.\Hokuo Academy, Shiroyama-kun. response:	Mizusawa High School, Nishida-kun.
context: we're guaranteed to win the other three matches.\After we win the final with a minimal amount of energy,\the coach will buy us yakiniku!\Yeah!\Fight!\I will now read the order for the final match.\Hokuo Academy, Shiroyama-kun.\Mizusawa High School, Nishida-kun. response:	Huh?
context: After we win the final with a minimal amount of energy,\the coach will buy us yakiniku!\Yeah!\Fight!\I will now read the order for the final match.\Hokuo Academy, Shiroyama-kun.\Mizusawa High School, Nishida-kun.\Huh? response:	Huh?
context: the coach will buy us yakiniku!\Yeah!\Fight!\I will now read the order for the final match.\Hokuo Academy, Shiroyama-kun.\Mizusawa High School, Nishida-kun.\Huh?\Huh? response:	Hokuo Academy, Kameda-kun.
context: Yeah!\Fight!\I will now read the order for the final match.\Hokuo Academy, Shiroyama-kun.\Mizusawa High School, Nishida-kun.\Huh?\Huh?\Hokuo Academy, Kameda-kun. response:	Mizusawa High School, Oe-san.
context: Fight!\I will now read the order for the final match.\Hokuo Academy, Shiroyama-kun.\Mizusawa High School, Nishida-kun.\Huh?\Huh?\Hokuo Academy, Kameda-kun.\Mizusawa High School, Oe-san. response:	Hokuo Academy, Amakasu-kun.
context: I will now read the order for the final match.\Hokuo Academy, Shiroyama-kun.\Mizusawa High School, Nishida-kun.\Huh?\Huh?\Hokuo Academy, Kameda-kun.\Mizusawa High School, Oe-san.\Hokuo Academy, Amakasu-kun. response:	Mizusawa High School, Ayase-san.
context: Hokuo Academy, Shiroyama-kun.\Mizusawa High School, Nishida-kun.\Huh?\Huh?\Hokuo Academy, Kameda-kun.\Mizusawa High School, Oe-san.\Hokuo Academy, Amakasu-kun.\Mizusawa High School, Ayase-san. response:	Hokuo Academy, Takuma-kun.
context: Mizusawa High School, Nishida-kun.\Huh?\Huh?\Hokuo Academy, Kameda-kun.\Mizusawa High School, Oe-san.\Hokuo Academy, Amakasu-kun.\Mizusawa High School, Ayase-san.\Hokuo Academy, Takuma-kun. response:	Mizusawa High School, Komano-kun.
context: Huh?\Huh?\Hokuo Academy, Kameda-kun.\Mizusawa High School, Oe-san.\Hokuo Academy, Amakasu-kun.\Mizusawa High School, Ayase-san.\Hokuo Academy, Takuma-kun.\Mizusawa High School, Komano-kun. response:	Hokuo Academy, Kinashi-kun.
context: Huh?\Hokuo Academy, Kameda-kun.\Mizusawa High School, Oe-san.\Hokuo Academy, Amakasu-kun.\Mizusawa High School, Ayase-san.\Hokuo Academy, Takuma-kun.\Mizusawa High School, Komano-kun.\Hokuo Academy, Kinashi-kun. response:	Mizusawa High School, Mashima-kun.
context: Hokuo Academy, Kameda-kun.\Mizusawa High School, Oe-san.\Hokuo Academy, Amakasu-kun.\Mizusawa High School, Ayase-san.\Hokuo Academy, Takuma-kun.\Mizusawa High School, Komano-kun.\Hokuo Academy, Kinashi-kun.\Mizusawa High School, Mashima-kun. response:	What's going on?
context: Mizusawa High School, Oe-san.\Hokuo Academy, Amakasu-kun.\Mizusawa High School, Ayase-san.\Hokuo Academy, Takuma-kun.\Mizusawa High School, Komano-kun.\Hokuo Academy, Kinashi-kun.\Mizusawa High School, Mashima-kun.\What's going on? response:	They're playing us straight?
context: Hokuo Academy, Amakasu-kun.\Mizusawa High School, Ayase-san.\Hokuo Academy, Takuma-kun.\Mizusawa High School, Komano-kun.\Hokuo Academy, Kinashi-kun.\Mizusawa High School, Mashima-kun.\What's going on?\They're playing us straight? response:	Hey, Retro!
context: Mizusawa High School, Ayase-san.\Hokuo Academy, Takuma-kun.\Mizusawa High School, Komano-kun.\Hokuo Academy, Kinashi-kun.\Mizusawa High School, Mashima-kun.\What's going on?\They're playing us straight?\Hey, Retro! response:	What are you thinking?!
context: Hokuo Academy, Takuma-kun.\Mizusawa High School, Komano-kun.\Hokuo Academy, Kinashi-kun.\Mizusawa High School, Mashima-kun.\What's going on?\They're playing us straight?\Hey, Retro!\What are you thinking?! response:	Your projected order was completely different!
context: Mizusawa High School, Komano-kun.\Hokuo Academy, Kinashi-kun.\Mizusawa High School, Mashima-kun.\What's going on?\They're playing us straight?\Hey, Retro!\What are you thinking?!\Your projected order was completely different! response:	Amakasu-kun, calm down!
context: Hokuo Academy, Kinashi-kun.\Mizusawa High School, Mashima-kun.\What's going on?\They're playing us straight?\Hey, Retro!\What are you thinking?!\Your projected order was completely different!\Amakasu-kun, calm down! response:	What are you trying to pull?!
context: Mizusawa High School, Mashima-kun.\What's going on?\They're playing us straight?\Hey, Retro!\What are you thinking?!\Your projected order was completely different!\Amakasu-kun, calm down!\What are you trying to pull?! response:	He can't predict the order correctly every time!
context: What's going on?\They're playing us straight?\Hey, Retro!\What are you thinking?!\Your projected order was completely different!\Amakasu-kun, calm down!\What are you trying to pull?!\He can't predict the order correctly every time! response:	Was your prediction wrong?! Well?!
context: They're playing us straight?\Hey, Retro!\What are you thinking?!\Your projected order was completely different!\Amakasu-kun, calm down!\What are you trying to pull?!\He can't predict the order correctly every time!\Was your prediction wrong?! Well?! response:	Why should we conserve our energy?
context: Hey, Retro!\What are you thinking?!\Your projected order was completely different!\Amakasu-kun, calm down!\What are you trying to pull?!\He can't predict the order correctly every time!\Was your prediction wrong?! Well?!\Why should we conserve our energy? response:	What?!
context: What are you thinking?!\Your projected order was completely different!\Amakasu-kun, calm down!\What are you trying to pull?!\He can't predict the order correctly every time!\Was your prediction wrong?! Well?!\Why should we conserve our energy?\What?! response:	Aren't we supposed to be Hokuo Academy?
context: Your projected order was completely different!\Amakasu-kun, calm down!\What are you trying to pull?!\He can't predict the order correctly every time!\Was your prediction wrong?! Well?!\Why should we conserve our energy?\What?!\Aren't we supposed to be Hokuo Academy? response:	Our ace against their ace.
context: Amakasu-kun, calm down!\What are you trying to pull?!\He can't predict the order correctly every time!\Was your prediction wrong?! Well?!\Why should we conserve our energy?\What?!\Aren't we supposed to be Hokuo Academy?\Our ace against their ace. response:	Our number two against their number two.
context: What are you trying to pull?!\He can't predict the order correctly every time!\Was your prediction wrong?! Well?!\Why should we conserve our energy?\What?!\Aren't we supposed to be Hokuo Academy?\Our ace against their ace.\Our number two against their number two. response:	Isn't that how we should win?!
context: He can't predict the order correctly every time!\Was your prediction wrong?! Well?!\Why should we conserve our energy?\What?!\Aren't we supposed to be Hokuo Academy?\Our ace against their ace.\Our number two against their number two.\Isn't that how we should win?! response:	Hokuo Academy is the strongest school in Tokyo!
context: Was your prediction wrong?! Well?!\Why should we conserve our energy?\What?!\Aren't we supposed to be Hokuo Academy?\Our ace against their ace.\Our number two against their number two.\Isn't that how we should win?!\Hokuo Academy is the strongest school in Tokyo! response:	That's what I want to show everyone!
context: Why should we conserve our energy?\What?!\Aren't we supposed to be Hokuo Academy?\Our ace against their ace.\Our number two against their number two.\Isn't that how we should win?!\Hokuo Academy is the strongest school in Tokyo!\That's what I want to show everyone! response:	H-He's so cool!
context: What?!\Aren't we supposed to be Hokuo Academy?\Our ace against their ace.\Our number two against their number two.\Isn't that how we should win?!\Hokuo Academy is the strongest school in Tokyo!\That's what I want to show everyone!\H-He's so cool! response:	You're going to cost us this match because of your pride!
context: Aren't we supposed to be Hokuo Academy?\Our ace against their ace.\Our number two against their number two.\Isn't that how we should win?!\Hokuo Academy is the strongest school in Tokyo!\That's what I want to show everyone!\H-He's so cool!\You're going to cost us this match because of your pride! response:	Being good doesn't mean you have to win straight up!
context: Our ace against their ace.\Our number two against their number two.\Isn't that how we should win?!\Hokuo Academy is the strongest school in Tokyo!\That's what I want to show everyone!\H-He's so cool!\You're going to cost us this match because of your pride!\Being good doesn't mean you have to win straight up! response:	Hokuo Academy is the strongest school in Tokyo?
context: Our number two against their number two.\Isn't that how we should win?!\Hokuo Academy is the strongest school in Tokyo!\That's what I want to show everyone!\H-He's so cool!\You're going to cost us this match because of your pride!\Being good doesn't mean you have to win straight up!\Hokuo Academy is the strongest school in Tokyo? response:	Isn't that common sense?
context: Isn't that how we should win?!\Hokuo Academy is the strongest school in Tokyo!\That's what I want to show everyone!\H-He's so cool!\You're going to cost us this match because of your pride!\Being good doesn't mean you have to win straight up!\Hokuo Academy is the strongest school in Tokyo?\Isn't that common sense? response:	You're late, Sudo-senpai!
context: Hokuo Academy is the strongest school in Tokyo!\That's what I want to show everyone!\H-He's so cool!\You're going to cost us this match because of your pride!\Being good doesn't mean you have to win straight up!\Hokuo Academy is the strongest school in Tokyo?\Isn't that common sense?\You're late, Sudo-senpai! response:	I'm not late.
context: That's what I want to show everyone!\H-He's so cool!\You're going to cost us this match because of your pride!\Being good doesn't mean you have to win straight up!\Hokuo Academy is the strongest school in Tokyo?\Isn't that common sense?\You're late, Sudo-senpai!\I'm not late. response:	I made it just in time.
context: H-He's so cool!\You're going to cost us this match because of your pride!\Being good doesn't mean you have to win straight up!\Hokuo Academy is the strongest school in Tokyo?\Isn't that common sense?\You're late, Sudo-senpai!\I'm not late.\I made it just in time. response:	Though I would have left, if you didn't reach the finals.
context: You're going to cost us this match because of your pride!\Being good doesn't mean you have to win straight up!\Hokuo Academy is the strongest school in Tokyo?\Isn't that common sense?\You're late, Sudo-senpai!\I'm not late.\I made it just in time.\Though I would have left, if you didn't reach the finals. response:	E-Err, Sudo-senpai? Why are you here?
context: Being good doesn't mean you have to win straight up!\Hokuo Academy is the strongest school in Tokyo?\Isn't that common sense?\You're late, Sudo-senpai!\I'm not late.\I made it just in time.\Though I would have left, if you didn't reach the finals.\E-Err, Sudo-senpai? Why are you here? response:	I didn't know you were coming to cheer for us.
context: Hokuo Academy is the strongest school in Tokyo?\Isn't that common sense?\You're late, Sudo-senpai!\I'm not late.\I made it just in time.\Though I would have left, if you didn't reach the finals.\E-Err, Sudo-senpai? Why are you here?\I didn't know you were coming to cheer for us. response:	I'm not here to cheer for you.
context: Isn't that common sense?\You're late, Sudo-senpai!\I'm not late.\I made it just in time.\Though I would have left, if you didn't reach the finals.\E-Err, Sudo-senpai? Why are you here?\I didn't know you were coming to cheer for us.\I'm not here to cheer for you. response:	Mochida-san asked me to be the reader for the final.
context: You're late, Sudo-senpai!\I'm not late.\I made it just in time.\Though I would have left, if you didn't reach the finals.\E-Err, Sudo-senpai? Why are you here?\I didn't know you were coming to cheer for us.\I'm not here to cheer for you.\Mochida-san asked me to be the reader for the final. response:	Reader?
context: I'm not late.\I made it just in time.\Though I would have left, if you didn't reach the finals.\E-Err, Sudo-senpai? Why are you here?\I didn't know you were coming to cheer for us.\I'm not here to cheer for you.\Mochida-san asked me to be the reader for the final.\Reader? response:	Who is that?
context: I made it just in time.\Though I would have left, if you didn't reach the finals.\E-Err, Sudo-senpai? Why are you here?\I didn't know you were coming to cheer for us.\I'm not here to cheer for you.\Mochida-san asked me to be the reader for the final.\Reader?\Who is that? response:	The former Hokuo Academy ace, Sudo-san.
context: Though I would have left, if you didn't reach the finals.\E-Err, Sudo-senpai? Why are you here?\I didn't know you were coming to cheer for us.\I'm not here to cheer for you.\Mochida-san asked me to be the reader for the final.\Reader?\Who is that?\The former Hokuo Academy ace, Sudo-san. response:	He was the runner-up in the individual bracket of the National Championship.
context: E-Err, Sudo-senpai? Why are you here?\I didn't know you were coming to cheer for us.\I'm not here to cheer for you.\Mochida-san asked me to be the reader for the final.\Reader?\Who is that?\The former Hokuo Academy ace, Sudo-san.\He was the runner-up in the individual bracket of the National Championship. response:	Huh?
context: I didn't know you were coming to cheer for us.\I'm not here to cheer for you.\Mochida-san asked me to be the reader for the final.\Reader?\Who is that?\The former Hokuo Academy ace, Sudo-san.\He was the runner-up in the individual bracket of the National Championship.\Huh? response:	Is someone like him allowed to be the reader?
context: I'm not here to cheer for you.\Mochida-san asked me to be the reader for the final.\Reader?\Who is that?\The former Hokuo Academy ace, Sudo-san.\He was the runner-up in the individual bracket of the National Championship.\Huh?\Is someone like him allowed to be the reader? response:	Get to your places.
context: Mochida-san asked me to be the reader for the final.\Reader?\Who is that?\The former Hokuo Academy ace, Sudo-san.\He was the runner-up in the individual bracket of the National Championship.\Huh?\Is someone like him allowed to be the reader?\Get to your places. response:	Hokuo players never dawdle!
context: Reader?\Who is that?\The former Hokuo Academy ace, Sudo-san.\He was the runner-up in the individual bracket of the National Championship.\Huh?\Is someone like him allowed to be the reader?\Get to your places.\Hokuo players never dawdle! response:	How come Retro knew and I didn't, when I'm in charge,
context: Who is that?\The former Hokuo Academy ace, Sudo-san.\He was the runner-up in the individual bracket of the National Championship.\Huh?\Is someone like him allowed to be the reader?\Get to your places.\Hokuo players never dawdle!\How come Retro knew and I didn't, when I'm in charge, response:	Mr Mochida?
context: The former Hokuo Academy ace, Sudo-san.\He was the runner-up in the individual bracket of the National Championship.\Huh?\Is someone like him allowed to be the reader?\Get to your places.\Hokuo players never dawdle!\How come Retro knew and I didn't, when I'm in charge,\Mr Mochida? response:	Amakasu-kun, you're a good player,
context: He was the runner-up in the individual bracket of the National Championship.\Huh?\Is someone like him allowed to be the reader?\Get to your places.\Hokuo players never dawdle!\How come Retro knew and I didn't, when I'm in charge,\Mr Mochida?\Amakasu-kun, you're a good player, response:	but you always want to relax.
context: Huh?\Is someone like him allowed to be the reader?\Get to your places.\Hokuo players never dawdle!\How come Retro knew and I didn't, when I'm in charge,\Mr Mochida?\Amakasu-kun, you're a good player,\but you always want to relax. response:	You've given up on becoming the best in Class A
context: Is someone like him allowed to be the reader?\Get to your places.\Hokuo players never dawdle!\How come Retro knew and I didn't, when I'm in charge,\Mr Mochida?\Amakasu-kun, you're a good player,\but you always want to relax.\You've given up on becoming the best in Class A response:	with all these monsters around.
context: Get to your places.\Hokuo players never dawdle!\How come Retro knew and I didn't, when I'm in charge,\Mr Mochida?\Amakasu-kun, you're a good player,\but you always want to relax.\You've given up on becoming the best in Class A\with all these monsters around. response:	Sadist
context: Hokuo players never dawdle!\How come Retro knew and I didn't, when I'm in charge,\Mr Mochida?\Amakasu-kun, you're a good player,\but you always want to relax.\You've given up on becoming the best in Class A\with all these monsters around.\Sadist response:	Monster
context: How come Retro knew and I didn't, when I'm in charge,\Mr Mochida?\Amakasu-kun, you're a good player,\but you always want to relax.\You've given up on becoming the best in Class A\with all these monsters around.\Sadist\Monster response:	Bear
context: Mr Mochida?\Amakasu-kun, you're a good player,\but you always want to relax.\You've given up on becoming the best in Class A\with all these monsters around.\Sadist\Monster\Bear response:	This is tough... Very tough...
context: Amakasu-kun, you're a good player,\but you always want to relax.\You've given up on becoming the best in Class A\with all these monsters around.\Sadist\Monster\Bear\This is tough... Very tough... response:	But...
context: but you always want to relax.\You've given up on becoming the best in Class A\with all these monsters around.\Sadist\Monster\Bear\This is tough... Very tough...\But... response:	If we lose, he'll kill us.
context: You've given up on becoming the best in Class A\with all these monsters around.\Sadist\Monster\Bear\This is tough... Very tough...\But...\If we lose, he'll kill us. response:	Their facial expressions have changed.
context: with all these monsters around.\Sadist\Monster\Bear\This is tough... Very tough...\But...\If we lose, he'll kill us.\Their facial expressions have changed. response:	He's putting pressure on Hokuo, not us.
context: Sadist\Monster\Bear\This is tough... Very tough...\But...\If we lose, he'll kill us.\Their facial expressions have changed.\He's putting pressure on Hokuo, not us. response:	Their ultimate weapon...
context: Monster\Bear\This is tough... Very tough...\But...\If we lose, he'll kill us.\Their facial expressions have changed.\He's putting pressure on Hokuo, not us.\Their ultimate weapon... response:	Ms. Miyauchi?
context: Bear\This is tough... Very tough...\But...\If we lose, he'll kill us.\Their facial expressions have changed.\He's putting pressure on Hokuo, not us.\Their ultimate weapon...\Ms. Miyauchi? response:	Sorry about showing up at the last second.
context: This is tough... Very tough...\But...\If we lose, he'll kill us.\Their facial expressions have changed.\He's putting pressure on Hokuo, not us.\Their ultimate weapon...\Ms. Miyauchi?\Sorry about showing up at the last second. response:	I had an idea to make these yesterday,
context: But...\If we lose, he'll kill us.\Their facial expressions have changed.\He's putting pressure on Hokuo, not us.\Their ultimate weapon...\Ms. Miyauchi?\Sorry about showing up at the last second.\I had an idea to make these yesterday, response:	and I just put on the finishing touches.
context: If we lose, he'll kill us.\Their facial expressions have changed.\He's putting pressure on Hokuo, not us.\Their ultimate weapon...\Ms. Miyauchi?\Sorry about showing up at the last second.\I had an idea to make these yesterday,\and I just put on the finishing touches. response:	It should be easier for you to move around now.
context: Their facial expressions have changed.\He's putting pressure on Hokuo, not us.\Their ultimate weapon...\Ms. Miyauchi?\Sorry about showing up at the last second.\I had an idea to make these yesterday,\and I just put on the finishing touches.\It should be easier for you to move around now. response:	Tasuki...
context: He's putting pressure on Hokuo, not us.\Their ultimate weapon...\Ms. Miyauchi?\Sorry about showing up at the last second.\I had an idea to make these yesterday,\and I just put on the finishing touches.\It should be easier for you to move around now.\Tasuki... response:	I can move now.
context: Their ultimate weapon...\Ms. Miyauchi?\Sorry about showing up at the last second.\I had an idea to make these yesterday,\and I just put on the finishing touches.\It should be easier for you to move around now.\Tasuki...\I can move now. response:	I don't feel as hot now.
context: Ms. Miyauchi?\Sorry about showing up at the last second.\I had an idea to make these yesterday,\and I just put on the finishing touches.\It should be easier for you to move around now.\Tasuki...\I can move now.\I don't feel as hot now. response:	You made it just in time.
context: Sorry about showing up at the last second.\I had an idea to make these yesterday,\and I just put on the finishing touches.\It should be easier for you to move around now.\Tasuki...\I can move now.\I don't feel as hot now.\You made it just in time. response:	Ms. Miyauchi...
context: I had an idea to make these yesterday,\and I just put on the finishing touches.\It should be easier for you to move around now.\Tasuki...\I can move now.\I don't feel as hot now.\You made it just in time.\Ms. Miyauchi... response:	You might be a science and PE teacher...
context: and I just put on the finishing touches.\It should be easier for you to move around now.\Tasuki...\I can move now.\I don't feel as hot now.\You made it just in time.\Ms. Miyauchi...\You might be a science and PE teacher... response:	You might not know much about karuta...
context: It should be easier for you to move around now.\Tasuki...\I can move now.\I don't feel as hot now.\You made it just in time.\Ms. Miyauchi...\You might be a science and PE teacher...\You might not know much about karuta... response:	Please begin placing your cards.
context: Tasuki...\I can move now.\I don't feel as hot now.\You made it just in time.\Ms. Miyauchi...\You might be a science and PE teacher...\You might not know much about karuta...\Please begin placing your cards. response:	Good luck.
context: I can move now.\I don't feel as hot now.\You made it just in time.\Ms. Miyauchi...\You might be a science and PE teacher...\You might not know much about karuta...\Please begin placing your cards.\Good luck. response:	You look pretty sharp...
context: I don't feel as hot now.\You made it just in time.\Ms. Miyauchi...\You might be a science and PE teacher...\You might not know much about karuta...\Please begin placing your cards.\Good luck.\You look pretty sharp... response:	at least on the outside.
context: You made it just in time.\Ms. Miyauchi...\You might be a science and PE teacher...\You might not know much about karuta...\Please begin placing your cards.\Good luck.\You look pretty sharp...\at least on the outside. response:	However, I'm going to win today.
context: Ms. Miyauchi...\You might be a science and PE teacher...\You might not know much about karuta...\Please begin placing your cards.\Good luck.\You look pretty sharp...\at least on the outside.\However, I'm going to win today. response:	I will win.
context: You might be a science and PE teacher...\You might not know much about karuta...\Please begin placing your cards.\Good luck.\You look pretty sharp...\at least on the outside.\However, I'm going to win today.\I will win. response:	Retro...
context: You might not know much about karuta...\Please begin placing your cards.\Good luck.\You look pretty sharp...\at least on the outside.\However, I'm going to win today.\I will win.\Retro... response:	He's entered tournaments in Hiroshima and Kyoto,
context: Please begin placing your cards.\Good luck.\You look pretty sharp...\at least on the outside.\However, I'm going to win today.\I will win.\Retro...\He's entered tournaments in Hiroshima and Kyoto, response:	and he's still Class B because he couldn't win.
context: Good luck.\You look pretty sharp...\at least on the outside.\However, I'm going to win today.\I will win.\Retro...\He's entered tournaments in Hiroshima and Kyoto,\and he's still Class B because he couldn't win. response:	Hiroshima Tournament
context: You look pretty sharp...\at least on the outside.\However, I'm going to win today.\I will win.\Retro...\He's entered tournaments in Hiroshima and Kyoto,\and he's still Class B because he couldn't win.\Hiroshima Tournament response:	It's him again!
context: at least on the outside.\However, I'm going to win today.\I will win.\Retro...\He's entered tournaments in Hiroshima and Kyoto,\and he's still Class B because he couldn't win.\Hiroshima Tournament\It's him again! response:	Ogura Hundred Poets Competitive Karuta Kyoto Tournament
context: However, I'm going to win today.\I will win.\Retro...\He's entered tournaments in Hiroshima and Kyoto,\and he's still Class B because he couldn't win.\Hiroshima Tournament\It's him again!\Ogura Hundred Poets Competitive Karuta Kyoto Tournament response:	Not again!
context: I will win.\Retro...\He's entered tournaments in Hiroshima and Kyoto,\and he's still Class B because he couldn't win.\Hiroshima Tournament\It's him again!\Ogura Hundred Poets Competitive Karuta Kyoto Tournament\Not again! response:	I'm getting sick of his face,
context: Retro...\He's entered tournaments in Hiroshima and Kyoto,\and he's still Class B because he couldn't win.\Hiroshima Tournament\It's him again!\Ogura Hundred Poets Competitive Karuta Kyoto Tournament\Not again!\I'm getting sick of his face, response:	but it was comforting at the same time.
context: He's entered tournaments in Hiroshima and Kyoto,\and he's still Class B because he couldn't win.\Hiroshima Tournament\It's him again!\Ogura Hundred Poets Competitive Karuta Kyoto Tournament\Not again!\I'm getting sick of his face,\but it was comforting at the same time. response:	He hasn't given up on himself yet.
context: and he's still Class B because he couldn't win.\Hiroshima Tournament\It's him again!\Ogura Hundred Poets Competitive Karuta Kyoto Tournament\Not again!\I'm getting sick of his face,\but it was comforting at the same time.\He hasn't given up on himself yet. response:	Your mom helped you become strong.
context: Hiroshima Tournament\It's him again!\Ogura Hundred Poets Competitive Karuta Kyoto Tournament\Not again!\I'm getting sick of his face,\but it was comforting at the same time.\He hasn't given up on himself yet.\Your mom helped you become strong. response:	Chihaya...
context: It's him again!\Ogura Hundred Poets Competitive Karuta Kyoto Tournament\Not again!\I'm getting sick of his face,\but it was comforting at the same time.\He hasn't given up on himself yet.\Your mom helped you become strong.\Chihaya... response:	A lot of people have helped to make me who I am.
context: Ogura Hundred Poets Competitive Karuta Kyoto Tournament\Not again!\I'm getting sick of his face,\but it was comforting at the same time.\He hasn't given up on himself yet.\Your mom helped you become strong.\Chihaya...\A lot of people have helped to make me who I am. response:	Aren't you the same way?
context: Not again!\I'm getting sick of his face,\but it was comforting at the same time.\He hasn't given up on himself yet.\Your mom helped you become strong.\Chihaya...\A lot of people have helped to make me who I am.\Aren't you the same way? response:	This sucks.
context: I'm getting sick of his face,\but it was comforting at the same time.\He hasn't given up on himself yet.\Your mom helped you become strong.\Chihaya...\A lot of people have helped to make me who I am.\Aren't you the same way?\This sucks. response:	It's so exhausting to play someone who's intense.
context: but it was comforting at the same time.\He hasn't given up on himself yet.\Your mom helped you become strong.\Chihaya...\A lot of people have helped to make me who I am.\Aren't you the same way?\This sucks.\It's so exhausting to play someone who's intense. response:	Why can't they learn to take it easy?
context: He hasn't given up on himself yet.\Your mom helped you become strong.\Chihaya...\A lot of people have helped to make me who I am.\Aren't you the same way?\This sucks.\It's so exhausting to play someone who's intense.\Why can't they learn to take it easy? response:	This would be a lot easier if we still had Sudo-senpai,
context: Your mom helped you become strong.\Chihaya...\A lot of people have helped to make me who I am.\Aren't you the same way?\This sucks.\It's so exhausting to play someone who's intense.\Why can't they learn to take it easy?\This would be a lot easier if we still had Sudo-senpai, response:	but he's gone now.
context: Chihaya...\A lot of people have helped to make me who I am.\Aren't you the same way?\This sucks.\It's so exhausting to play someone who's intense.\Why can't they learn to take it easy?\This would be a lot easier if we still had Sudo-senpai,\but he's gone now. response:	He's gone...
context: A lot of people have helped to make me who I am.\Aren't you the same way?\This sucks.\It's so exhausting to play someone who's intense.\Why can't they learn to take it easy?\This would be a lot easier if we still had Sudo-senpai,\but he's gone now.\He's gone... response:	If you don't pull it together, I'll stab you
context: Aren't you the same way?\This sucks.\It's so exhausting to play someone who's intense.\Why can't they learn to take it easy?\This would be a lot easier if we still had Sudo-senpai,\but he's gone now.\He's gone...\If you don't pull it together, I'll stab you response:	Both teams have secured their places in the finals.
context: This sucks.\It's so exhausting to play someone who's intense.\Why can't they learn to take it easy?\This would be a lot easier if we still had Sudo-senpai,\but he's gone now.\He's gone...\If you don't pull it together, I'll stab you\Both teams have secured their places in the finals. response:	They could end up wearing each other out.
context: It's so exhausting to play someone who's intense.\Why can't they learn to take it easy?\This would be a lot easier if we still had Sudo-senpai,\but he's gone now.\He's gone...\If you don't pull it together, I'll stab you\Both teams have secured their places in the finals.\They could end up wearing each other out. response:	So why...
context: Why can't they learn to take it easy?\This would be a lot easier if we still had Sudo-senpai,\but he's gone now.\He's gone...\If you don't pull it together, I'll stab you\Both teams have secured their places in the finals.\They could end up wearing each other out.\So why... response:	is it so tense?
context: This would be a lot easier if we still had Sudo-senpai,\but he's gone now.\He's gone...\If you don't pull it together, I'll stab you\Both teams have secured their places in the finals.\They could end up wearing each other out.\So why...\is it so tense? response:	Naniwa Bay, now the flower blooms, but for winter
context: but he's gone now.\He's gone...\If you don't pull it together, I'll stab you\Both teams have secured their places in the finals.\They could end up wearing each other out.\So why...\is it so tense?\Naniwa Bay, now the flower blooms, but for winter response:	His voice is much stronger than I expected.
