context: I'm such a loser! response:	Leader, my ass!
context: Give my power back!\It was such a great chance to change everything, too...\Damn bastard!\Papa!\You're not going to work?\Oh, we suddenly got a day off.\But don't tell Mama, okay?\Okay, got it! response:	See you!
context: It was such a great chance to change everything, too...\Damn bastard!\Papa!\You're not going to work?\Oh, we suddenly got a day off.\But don't tell Mama, okay?\Okay, got it!\See you! response:	I'm finished.
context: Damn bastard!\Papa!\You're not going to work?\Oh, we suddenly got a day off.\But don't tell Mama, okay?\Okay, got it!\See you!\I'm finished. response:	My life is over.
context: Papa!\You're not going to work?\Oh, we suddenly got a day off.\But don't tell Mama, okay?\Okay, got it!\See you!\I'm finished.\My life is over. response:	Preschool?!
context: You're not going to work?\Oh, we suddenly got a day off.\But don't tell Mama, okay?\Okay, got it!\See you!\I'm finished.\My life is over.\Preschool?! response:	That's right!
context: Oh, we suddenly got a day off.\But don't tell Mama, okay?\Okay, got it!\See you!\I'm finished.\My life is over.\Preschool?!\That's right! response:	The first step in my
context: But don't tell Mama, okay?\Okay, got it!\See you!\I'm finished.\My life is over.\Preschool?!\That's right!\The first step in my response:	Gatchaman PR Campaign Strategy is a preschool visit!
context: Okay, got it!\See you!\I'm finished.\My life is over.\Preschool?!\That's right!\The first step in my\Gatchaman PR Campaign Strategy is a preschool visit! response:	No way, Newbie!
context: See you!\I'm finished.\My life is over.\Preschool?!\That's right!\The first step in my\Gatchaman PR Campaign Strategy is a preschool visit!\No way, Newbie! response:	Why do we have to go to a preschool?!
context: I'm finished.\My life is over.\Preschool?!\That's right!\The first step in my\Gatchaman PR Campaign Strategy is a preschool visit!\No way, Newbie!\Why do we have to go to a preschool?! response:	Baracchi just happened to be going there for a disaster drill today,
context: My life is over.\Preschool?!\That's right!\The first step in my\Gatchaman PR Campaign Strategy is a preschool visit!\No way, Newbie!\Why do we have to go to a preschool?!\Baracchi just happened to be going there for a disaster drill today, response:	so I was able to schedule a spot!
context: Preschool?!\That's right!\The first step in my\Gatchaman PR Campaign Strategy is a preschool visit!\No way, Newbie!\Why do we have to go to a preschool?!\Baracchi just happened to be going there for a disaster drill today,\so I was able to schedule a spot! response:	Baracchi?
context: That's right!\The first step in my\Gatchaman PR Campaign Strategy is a preschool visit!\No way, Newbie!\Why do we have to go to a preschool?!\Baracchi just happened to be going there for a disaster drill today,\so I was able to schedule a spot!\Baracchi? response:	A fire chief who is one of her collage buddies.
context: The first step in my\Gatchaman PR Campaign Strategy is a preschool visit!\No way, Newbie!\Why do we have to go to a preschool?!\Baracchi just happened to be going there for a disaster drill today,\so I was able to schedule a spot!\Baracchi?\A fire chief who is one of her collage buddies. response:	Oh, really?
context: Gatchaman PR Campaign Strategy is a preschool visit!\No way, Newbie!\Why do we have to go to a preschool?!\Baracchi just happened to be going there for a disaster drill today,\so I was able to schedule a spot!\Baracchi?\A fire chief who is one of her collage buddies.\Oh, really? response:	Is he hot?
context: No way, Newbie!\Why do we have to go to a preschool?!\Baracchi just happened to be going there for a disaster drill today,\so I was able to schedule a spot!\Baracchi?\A fire chief who is one of her collage buddies.\Oh, really?\Is he hot? response:	I definitely object!
context: Why do we have to go to a preschool?!\Baracchi just happened to be going there for a disaster drill today,\so I was able to schedule a spot!\Baracchi?\A fire chief who is one of her collage buddies.\Oh, really?\Is he hot?\I definitely object! response:	I hate human kids!
context: Baracchi just happened to be going there for a disaster drill today,\so I was able to schedule a spot!\Baracchi?\A fire chief who is one of her collage buddies.\Oh, really?\Is he hot?\I definitely object!\I hate human kids! response:	You wouldn't find life forms who are more barbaric
context: so I was able to schedule a spot!\Baracchi?\A fire chief who is one of her collage buddies.\Oh, really?\Is he hot?\I definitely object!\I hate human kids!\You wouldn't find life forms who are more barbaric response:	and violent than them in the entire galaxy!
context: Baracchi?\A fire chief who is one of her collage buddies.\Oh, really?\Is he hot?\I definitely object!\I hate human kids!\You wouldn't find life forms who are more barbaric\and violent than them in the entire galaxy! response:	I'm not going, either.
context: A fire chief who is one of her collage buddies.\Oh, really?\Is he hot?\I definitely object!\I hate human kids!\You wouldn't find life forms who are more barbaric\and violent than them in the entire galaxy!\I'm not going, either. response:	What good will come from a weak hero like me
context: Oh, really?\Is he hot?\I definitely object!\I hate human kids!\You wouldn't find life forms who are more barbaric\and violent than them in the entire galaxy!\I'm not going, either.\What good will come from a weak hero like me response:	going out there in public, anyway?
context: Is he hot?\I definitely object!\I hate human kids!\You wouldn't find life forms who are more barbaric\and violent than them in the entire galaxy!\I'm not going, either.\What good will come from a weak hero like me\going out there in public, anyway? response:	It's stupid.
context: I definitely object!\I hate human kids!\You wouldn't find life forms who are more barbaric\and violent than them in the entire galaxy!\I'm not going, either.\What good will come from a weak hero like me\going out there in public, anyway?\It's stupid. response:	Why not just give it a try?
context: I hate human kids!\You wouldn't find life forms who are more barbaric\and violent than them in the entire galaxy!\I'm not going, either.\What good will come from a weak hero like me\going out there in public, anyway?\It's stupid.\Why not just give it a try? response:	Oh?
context: You wouldn't find life forms who are more barbaric\and violent than them in the entire galaxy!\I'm not going, either.\What good will come from a weak hero like me\going out there in public, anyway?\It's stupid.\Why not just give it a try?\Oh? response:	Hajime-chan, it seems you have another ally!
context: and violent than them in the entire galaxy!\I'm not going, either.\What good will come from a weak hero like me\going out there in public, anyway?\It's stupid.\Why not just give it a try?\Oh?\Hajime-chan, it seems you have another ally! response:	Well, it's not like I understand why it has to be a preschool,
context: I'm not going, either.\What good will come from a weak hero like me\going out there in public, anyway?\It's stupid.\Why not just give it a try?\Oh?\Hajime-chan, it seems you have another ally!\Well, it's not like I understand why it has to be a preschool, response:	but it's better than giving up and doing nothing.
context: What good will come from a weak hero like me\going out there in public, anyway?\It's stupid.\Why not just give it a try?\Oh?\Hajime-chan, it seems you have another ally!\Well, it's not like I understand why it has to be a preschool,\but it's better than giving up and doing nothing. response:	Have it your way.
context: going out there in public, anyway?\It's stupid.\Why not just give it a try?\Oh?\Hajime-chan, it seems you have another ally!\Well, it's not like I understand why it has to be a preschool,\but it's better than giving up and doing nothing.\Have it your way. response:	Well, let's get right on it, then!
context: It's stupid.\Why not just give it a try?\Oh?\Hajime-chan, it seems you have another ally!\Well, it's not like I understand why it has to be a preschool,\but it's better than giving up and doing nothing.\Have it your way.\Well, let's get right on it, then! response:	Staying underground forever will make us moldy!
context: Why not just give it a try?\Oh?\Hajime-chan, it seems you have another ally!\Well, it's not like I understand why it has to be a preschool,\but it's better than giving up and doing nothing.\Have it your way.\Well, let's get right on it, then!\Staying underground forever will make us moldy! response:	You have to get some sunshine sometimes!
context: Oh?\Hajime-chan, it seems you have another ally!\Well, it's not like I understand why it has to be a preschool,\but it's better than giving up and doing nothing.\Have it your way.\Well, let's get right on it, then!\Staying underground forever will make us moldy!\You have to get some sunshine sometimes! response:	I'm not going!
context: Hajime-chan, it seems you have another ally!\Well, it's not like I understand why it has to be a preschool,\but it's better than giving up and doing nothing.\Have it your way.\Well, let's get right on it, then!\Staying underground forever will make us moldy!\You have to get some sunshine sometimes!\I'm not going! response:	I will not go!
context: Well, it's not like I understand why it has to be a preschool,\but it's better than giving up and doing nothing.\Have it your way.\Well, let's get right on it, then!\Staying underground forever will make us moldy!\You have to get some sunshine sometimes!\I'm not going!\I will not go! response:	Okay, everyone! All together now!
context: but it's better than giving up and doing nothing.\Have it your way.\Well, let's get right on it, then!\Staying underground forever will make us moldy!\You have to get some sunshine sometimes!\I'm not going!\I will not go!\Okay, everyone! All together now! response:	Gatchaman!
context: Have it your way.\Well, let's get right on it, then!\Staying underground forever will make us moldy!\You have to get some sunshine sometimes!\I'm not going!\I will not go!\Okay, everyone! All together now!\Gatchaman! response:	Hello!
context: Well, let's get right on it, then!\Staying underground forever will make us moldy!\You have to get some sunshine sometimes!\I'm not going!\I will not go!\Okay, everyone! All together now!\Gatchaman!\Hello! response:	We are the Gatchaman!
context: Staying underground forever will make us moldy!\You have to get some sunshine sometimes!\I'm not going!\I will not go!\Okay, everyone! All together now!\Gatchaman!\Hello!\We are the Gatchaman! response:	Nice to meet you!
context: You have to get some sunshine sometimes!\I'm not going!\I will not go!\Okay, everyone! All together now!\Gatchaman!\Hello!\We are the Gatchaman!\Nice to meet you! response:	What? They're the Gatchaman?
context: I'm not going!\I will not go!\Okay, everyone! All together now!\Gatchaman!\Hello!\We are the Gatchaman!\Nice to meet you!\What? They're the Gatchaman? response:	They're normal people.
context: I will not go!\Okay, everyone! All together now!\Gatchaman!\Hello!\We are the Gatchaman!\Nice to meet you!\What? They're the Gatchaman?\They're normal people. response:	I can be one, too.
context: Okay, everyone! All together now!\Gatchaman!\Hello!\We are the Gatchaman!\Nice to meet you!\What? They're the Gatchaman?\They're normal people.\I can be one, too. response:	There's a really tall queen.
context: Gatchaman!\Hello!\We are the Gatchaman!\Nice to meet you!\What? They're the Gatchaman?\They're normal people.\I can be one, too.\There's a really tall queen. response:	Hey, Newbie.
context: Hello!\We are the Gatchaman!\Nice to meet you!\What? They're the Gatchaman?\They're normal people.\I can be one, too.\There's a really tall queen.\Hey, Newbie. response:	Did you call in the press?
context: We are the Gatchaman!\Nice to meet you!\What? They're the Gatchaman?\They're normal people.\I can be one, too.\There's a really tall queen.\Hey, Newbie.\Did you call in the press? response:	This is a PR campaign, so of course, I did.
context: Nice to meet you!\What? They're the Gatchaman?\They're normal people.\I can be one, too.\There's a really tall queen.\Hey, Newbie.\Did you call in the press?\This is a PR campaign, so of course, I did. response:	It seems to be a live broadcast, too!
context: What? They're the Gatchaman?\They're normal people.\I can be one, too.\There's a really tall queen.\Hey, Newbie.\Did you call in the press?\This is a PR campaign, so of course, I did.\It seems to be a live broadcast, too! response:	Hey, you should've told us, Hajime-chan.
context: They're normal people.\I can be one, too.\There's a really tall queen.\Hey, Newbie.\Did you call in the press?\This is a PR campaign, so of course, I did.\It seems to be a live broadcast, too!\Hey, you should've told us, Hajime-chan. response:	Are you doing okay?
context: I can be one, too.\There's a really tall queen.\Hey, Newbie.\Did you call in the press?\This is a PR campaign, so of course, I did.\It seems to be a live broadcast, too!\Hey, you should've told us, Hajime-chan.\Are you doing okay? response:	I'm fine.
context: There's a really tall queen.\Hey, Newbie.\Did you call in the press?\This is a PR campaign, so of course, I did.\It seems to be a live broadcast, too!\Hey, you should've told us, Hajime-chan.\Are you doing okay?\I'm fine. response:	What about you?
context: Hey, Newbie.\Did you call in the press?\This is a PR campaign, so of course, I did.\It seems to be a live broadcast, too!\Hey, you should've told us, Hajime-chan.\Are you doing okay?\I'm fine.\What about you? response:	I'm fine now.
context: Did you call in the press?\This is a PR campaign, so of course, I did.\It seems to be a live broadcast, too!\Hey, you should've told us, Hajime-chan.\Are you doing okay?\I'm fine.\What about you?\I'm fine now. response:	Thanks for yesterday.
context: This is a PR campaign, so of course, I did.\It seems to be a live broadcast, too!\Hey, you should've told us, Hajime-chan.\Are you doing okay?\I'm fine.\What about you?\I'm fine now.\Thanks for yesterday. response:	Umm, we're here to talk to you about something today!
context: It seems to be a live broadcast, too!\Hey, you should've told us, Hajime-chan.\Are you doing okay?\I'm fine.\What about you?\I'm fine now.\Thanks for yesterday.\Umm, we're here to talk to you about something today! response:	Excuse me, can you let us film your transformation first?
context: Hey, you should've told us, Hajime-chan.\Are you doing okay?\I'm fine.\What about you?\I'm fine now.\Thanks for yesterday.\Umm, we're here to talk to you about something today!\Excuse me, can you let us film your transformation first? response:	Why did you suddenly show yourselves after
context: Are you doing okay?\I'm fine.\What about you?\I'm fine now.\Thanks for yesterday.\Umm, we're here to talk to you about something today!\Excuse me, can you let us film your transformation first?\Why did you suddenly show yourselves after response:	refusing press coverage for so long?
context: I'm fine.\What about you?\I'm fine now.\Thanks for yesterday.\Umm, we're here to talk to you about something today!\Excuse me, can you let us film your transformation first?\Why did you suddenly show yourselves after\refusing press coverage for so long? response:	Why did you pick this preschool?
context: What about you?\I'm fine now.\Thanks for yesterday.\Umm, we're here to talk to you about something today!\Excuse me, can you let us film your transformation first?\Why did you suddenly show yourselves after\refusing press coverage for so long?\Why did you pick this preschool? response:	Hey, stop pushing!
context: I'm fine now.\Thanks for yesterday.\Umm, we're here to talk to you about something today!\Excuse me, can you let us film your transformation first?\Why did you suddenly show yourselves after\refusing press coverage for so long?\Why did you pick this preschool?\Hey, stop pushing! response:	We were here first.
context: Thanks for yesterday.\Umm, we're here to talk to you about something today!\Excuse me, can you let us film your transformation first?\Why did you suddenly show yourselves after\refusing press coverage for so long?\Why did you pick this preschool?\Hey, stop pushing!\We were here first. response:	Hey, bring the camera over now.
context: Umm, we're here to talk to you about something today!\Excuse me, can you let us film your transformation first?\Why did you suddenly show yourselves after\refusing press coverage for so long?\Why did you pick this preschool?\Hey, stop pushing!\We were here first.\Hey, bring the camera over now. response:	You should all be ashamed of yourselves.
context: Excuse me, can you let us film your transformation first?\Why did you suddenly show yourselves after\refusing press coverage for so long?\Why did you pick this preschool?\Hey, stop pushing!\We were here first.\Hey, bring the camera over now.\You should all be ashamed of yourselves. response:	Who's acting more childish here?
context: Why did you suddenly show yourselves after\refusing press coverage for so long?\Why did you pick this preschool?\Hey, stop pushing!\We were here first.\Hey, bring the camera over now.\You should all be ashamed of yourselves.\Who's acting more childish here? response:	No kidding!
context: refusing press coverage for so long?\Why did you pick this preschool?\Hey, stop pushing!\We were here first.\Hey, bring the camera over now.\You should all be ashamed of yourselves.\Who's acting more childish here?\No kidding! response:	Baracchi is way too cool.
context: Why did you pick this preschool?\Hey, stop pushing!\We were here first.\Hey, bring the camera over now.\You should all be ashamed of yourselves.\Who's acting more childish here?\No kidding!\Baracchi is way too cool. response:	Well, we need you to transform first.
context: Hey, stop pushing!\We were here first.\Hey, bring the camera over now.\You should all be ashamed of yourselves.\Who's acting more childish here?\No kidding!\Baracchi is way too cool.\Well, we need you to transform first. response:	We're not here just for fun and games.
context: We were here first.\Hey, bring the camera over now.\You should all be ashamed of yourselves.\Who's acting more childish here?\No kidding!\Baracchi is way too cool.\Well, we need you to transform first.\We're not here just for fun and games. response:	I mean, are you people even the real deal?
context: Hey, bring the camera over now.\You should all be ashamed of yourselves.\Who's acting more childish here?\No kidding!\Baracchi is way too cool.\Well, we need you to transform first.\We're not here just for fun and games.\I mean, are you people even the real deal? response:	Why would you reveal yourself at a preschool in a suburb, of all places?
context: You should all be ashamed of yourselves.\Who's acting more childish here?\No kidding!\Baracchi is way too cool.\Well, we need you to transform first.\We're not here just for fun and games.\I mean, are you people even the real deal?\Why would you reveal yourself at a preschool in a suburb, of all places? response:	You wouldn't happen to be putting on a hero show using look-alikes, would you?
context: Who's acting more childish here?\No kidding!\Baracchi is way too cool.\Well, we need you to transform first.\We're not here just for fun and games.\I mean, are you people even the real deal?\Why would you reveal yourself at a preschool in a suburb, of all places?\You wouldn't happen to be putting on a hero show using look-alikes, would you? response:	Go, Bird!
context: No kidding!\Baracchi is way too cool.\Well, we need you to transform first.\We're not here just for fun and games.\I mean, are you people even the real deal?\Why would you reveal yourself at a preschool in a suburb, of all places?\You wouldn't happen to be putting on a hero show using look-alikes, would you?\Go, Bird! response:	And what about you, Senpai?
context: Baracchi is way too cool.\Well, we need you to transform first.\We're not here just for fun and games.\I mean, are you people even the real deal?\Why would you reveal yourself at a preschool in a suburb, of all places?\You wouldn't happen to be putting on a hero show using look-alikes, would you?\Go, Bird!\And what about you, Senpai? response:	Huh? Me?
context: Well, we need you to transform first.\We're not here just for fun and games.\I mean, are you people even the real deal?\Why would you reveal yourself at a preschool in a suburb, of all places?\You wouldn't happen to be putting on a hero show using look-alikes, would you?\Go, Bird!\And what about you, Senpai?\Huh? Me? response:	Go, Bird!
context: We're not here just for fun and games.\I mean, are you people even the real deal?\Why would you reveal yourself at a preschool in a suburb, of all places?\You wouldn't happen to be putting on a hero show using look-alikes, would you?\Go, Bird!\And what about you, Senpai?\Huh? Me?\Go, Bird! response:	Are you getting this?! Get this on tape!
context: I mean, are you people even the real deal?\Why would you reveal yourself at a preschool in a suburb, of all places?\You wouldn't happen to be putting on a hero show using look-alikes, would you?\Go, Bird!\And what about you, Senpai?\Huh? Me?\Go, Bird!\Are you getting this?! Get this on tape! response:	Wow! Amazing!
context: Why would you reveal yourself at a preschool in a suburb, of all places?\You wouldn't happen to be putting on a hero show using look-alikes, would you?\Go, Bird!\And what about you, Senpai?\Huh? Me?\Go, Bird!\Are you getting this?! Get this on tape!\Wow! Amazing! response:	How did you transform?
context: You wouldn't happen to be putting on a hero show using look-alikes, would you?\Go, Bird!\And what about you, Senpai?\Huh? Me?\Go, Bird!\Are you getting this?! Get this on tape!\Wow! Amazing!\How did you transform? response:	Sorry, we didn't catch your transformation on film!
context: Go, Bird!\And what about you, Senpai?\Huh? Me?\Go, Bird!\Are you getting this?! Get this on tape!\Wow! Amazing!\How did you transform?\Sorry, we didn't catch your transformation on film! response:	Can you do it again?
context: And what about you, Senpai?\Huh? Me?\Go, Bird!\Are you getting this?! Get this on tape!\Wow! Amazing!\How did you transform?\Sorry, we didn't catch your transformation on film!\Can you do it again? response:	Hey, out of the way, kids!
context: Huh? Me?\Go, Bird!\Are you getting this?! Get this on tape!\Wow! Amazing!\How did you transform?\Sorry, we didn't catch your transformation on film!\Can you do it again?\Hey, out of the way, kids! response:	Hey!
context: Go, Bird!\Are you getting this?! Get this on tape!\Wow! Amazing!\How did you transform?\Sorry, we didn't catch your transformation on film!\Can you do it again?\Hey, out of the way, kids!\Hey! response:	Let's all play nice, people!
context: Are you getting this?! Get this on tape!\Wow! Amazing!\How did you transform?\Sorry, we didn't catch your transformation on film!\Can you do it again?\Hey, out of the way, kids!\Hey!\Let's all play nice, people! response:	Yeah!
context: Wow! Amazing!\How did you transform?\Sorry, we didn't catch your transformation on film!\Can you do it again?\Hey, out of the way, kids!\Hey!\Let's all play nice, people!\Yeah! response:	Oh, I guess we've now met each other!
context: How did you transform?\Sorry, we didn't catch your transformation on film!\Can you do it again?\Hey, out of the way, kids!\Hey!\Let's all play nice, people!\Yeah!\Oh, I guess we've now met each other! response:	It looks like that one's the strongest.
context: Sorry, we didn't catch your transformation on film!\Can you do it again?\Hey, out of the way, kids!\Hey!\Let's all play nice, people!\Yeah!\Oh, I guess we've now met each other!\It looks like that one's the strongest. response:	Yeah.
context: Can you do it again?\Hey, out of the way, kids!\Hey!\Let's all play nice, people!\Yeah!\Oh, I guess we've now met each other!\It looks like that one's the strongest.\Yeah. response:	That concludes our food travelogue of Manpuku Avenue.
context: Hey, out of the way, kids!\Hey!\Let's all play nice, people!\Yeah!\Oh, I guess we've now met each other!\It looks like that one's the strongest.\Yeah.\That concludes our food travelogue of Manpuku Avenue. response:	Next, a live coverage!
context: Hey!\Let's all play nice, people!\Yeah!\Oh, I guess we've now met each other!\It looks like that one's the strongest.\Yeah.\That concludes our food travelogue of Manpuku Avenue.\Next, a live coverage! response:	What should I do?
context: Let's all play nice, people!\Yeah!\Oh, I guess we've now met each other!\It looks like that one's the strongest.\Yeah.\That concludes our food travelogue of Manpuku Avenue.\Next, a live coverage!\What should I do? response:	I've lost both X and CROWDS...
context: Yeah!\Oh, I guess we've now met each other!\It looks like that one's the strongest.\Yeah.\That concludes our food travelogue of Manpuku Avenue.\Next, a live coverage!\What should I do?\I've lost both X and CROWDS... response:	How would I...
context: Oh, I guess we've now met each other!\It looks like that one's the strongest.\Yeah.\That concludes our food travelogue of Manpuku Avenue.\Next, a live coverage!\What should I do?\I've lost both X and CROWDS...\How would I... response:	Urgent News - Live Broadcast The Gatchaman Appear!
context: It looks like that one's the strongest.\Yeah.\That concludes our food travelogue of Manpuku Avenue.\Next, a live coverage!\What should I do?\I've lost both X and CROWDS...\How would I...\Urgent News - Live Broadcast The Gatchaman Appear! response:	The Gatchaman have appeared!
context: Yeah.\That concludes our food travelogue of Manpuku Avenue.\Next, a live coverage!\What should I do?\I've lost both X and CROWDS...\How would I...\Urgent News - Live Broadcast The Gatchaman Appear!\The Gatchaman have appeared! response:	We're reporting live from the field!
context: That concludes our food travelogue of Manpuku Avenue.\Next, a live coverage!\What should I do?\I've lost both X and CROWDS...\How would I...\Urgent News - Live Broadcast The Gatchaman Appear!\The Gatchaman have appeared!\We're reporting live from the field! response:	What?!
context: Next, a live coverage!\What should I do?\I've lost both X and CROWDS...\How would I...\Urgent News - Live Broadcast The Gatchaman Appear!\The Gatchaman have appeared!\We're reporting live from the field!\What?! response:	So until now, the Gatchaman
context: What should I do?\I've lost both X and CROWDS...\How would I...\Urgent News - Live Broadcast The Gatchaman Appear!\The Gatchaman have appeared!\We're reporting live from the field!\What?!\So until now, the Gatchaman response:	have been secretly capturing and neutralizing aliens?
context: I've lost both X and CROWDS...\How would I...\Urgent News - Live Broadcast The Gatchaman Appear!\The Gatchaman have appeared!\We're reporting live from the field!\What?!\So until now, the Gatchaman\have been secretly capturing and neutralizing aliens? response:	You've got it.
context: How would I...\Urgent News - Live Broadcast The Gatchaman Appear!\The Gatchaman have appeared!\We're reporting live from the field!\What?!\So until now, the Gatchaman\have been secretly capturing and neutralizing aliens?\You've got it. response:	Hey, don't touch my boobs.
context: Urgent News - Live Broadcast The Gatchaman Appear!\The Gatchaman have appeared!\We're reporting live from the field!\What?!\So until now, the Gatchaman\have been secretly capturing and neutralizing aliens?\You've got it.\Hey, don't touch my boobs. response:	So you said you had something you wanted to talk about, earlier?
context: The Gatchaman have appeared!\We're reporting live from the field!\What?!\So until now, the Gatchaman\have been secretly capturing and neutralizing aliens?\You've got it.\Hey, don't touch my boobs.\So you said you had something you wanted to talk about, earlier? response:	Oh, I'd forgotten about that!
context: We're reporting live from the field!\What?!\So until now, the Gatchaman\have been secretly capturing and neutralizing aliens?\You've got it.\Hey, don't touch my boobs.\So you said you had something you wanted to talk about, earlier?\Oh, I'd forgotten about that! response:	I met this person called Berg-Katze yesterday!
context: What?!\So until now, the Gatchaman\have been secretly capturing and neutralizing aliens?\You've got it.\Hey, don't touch my boobs.\So you said you had something you wanted to talk about, earlier?\Oh, I'd forgotten about that!\I met this person called Berg-Katze yesterday! response:	Berg-what? Please say it again.
context: So until now, the Gatchaman\have been secretly capturing and neutralizing aliens?\You've got it.\Hey, don't touch my boobs.\So you said you had something you wanted to talk about, earlier?\Oh, I'd forgotten about that!\I met this person called Berg-Katze yesterday!\Berg-what? Please say it again. response:	It's Berg-Katze.
context: have been secretly capturing and neutralizing aliens?\You've got it.\Hey, don't touch my boobs.\So you said you had something you wanted to talk about, earlier?\Oh, I'd forgotten about that!\I met this person called Berg-Katze yesterday!\Berg-what? Please say it again.\It's Berg-Katze. response:	It's a super-mysterious alien.
context: You've got it.\Hey, don't touch my boobs.\So you said you had something you wanted to talk about, earlier?\Oh, I'd forgotten about that!\I met this person called Berg-Katze yesterday!\Berg-what? Please say it again.\It's Berg-Katze.\It's a super-mysterious alien. response:	You can't see what it looks like very clearly,
context: Hey, don't touch my boobs.\So you said you had something you wanted to talk about, earlier?\Oh, I'd forgotten about that!\I met this person called Berg-Katze yesterday!\Berg-what? Please say it again.\It's Berg-Katze.\It's a super-mysterious alien.\You can't see what it looks like very clearly, response:	and it asks you riddles out of the blue.
context: So you said you had something you wanted to talk about, earlier?\Oh, I'd forgotten about that!\I met this person called Berg-Katze yesterday!\Berg-what? Please say it again.\It's Berg-Katze.\It's a super-mysterious alien.\You can't see what it looks like very clearly,\and it asks you riddles out of the blue. response:	Oh, do you know the answer to this one?
context: Oh, I'd forgotten about that!\I met this person called Berg-Katze yesterday!\Berg-what? Please say it again.\It's Berg-Katze.\It's a super-mysterious alien.\You can't see what it looks like very clearly,\and it asks you riddles out of the blue.\Oh, do you know the answer to this one? response:	What's the sweetest, tastiest thing every human being loves?
context: I met this person called Berg-Katze yesterday!\Berg-what? Please say it again.\It's Berg-Katze.\It's a super-mysterious alien.\You can't see what it looks like very clearly,\and it asks you riddles out of the blue.\Oh, do you know the answer to this one?\What's the sweetest, tastiest thing every human being loves? response:	Er, uh, well...
context: Berg-what? Please say it again.\It's Berg-Katze.\It's a super-mysterious alien.\You can't see what it looks like very clearly,\and it asks you riddles out of the blue.\Oh, do you know the answer to this one?\What's the sweetest, tastiest thing every human being loves?\Er, uh, well... response:	Who knows, right?
context: It's Berg-Katze.\It's a super-mysterious alien.\You can't see what it looks like very clearly,\and it asks you riddles out of the blue.\Oh, do you know the answer to this one?\What's the sweetest, tastiest thing every human being loves?\Er, uh, well...\Who knows, right? response:	Chocolate!
context: It's a super-mysterious alien.\You can't see what it looks like very clearly,\and it asks you riddles out of the blue.\Oh, do you know the answer to this one?\What's the sweetest, tastiest thing every human being loves?\Er, uh, well...\Who knows, right?\Chocolate! response:	Ice cream!
context: You can't see what it looks like very clearly,\and it asks you riddles out of the blue.\Oh, do you know the answer to this one?\What's the sweetest, tastiest thing every human being loves?\Er, uh, well...\Who knows, right?\Chocolate!\Ice cream! response:	Honey!
context: and it asks you riddles out of the blue.\Oh, do you know the answer to this one?\What's the sweetest, tastiest thing every human being loves?\Er, uh, well...\Who knows, right?\Chocolate!\Ice cream!\Honey! response:	And what about this Berg-Katze?
context: Oh, do you know the answer to this one?\What's the sweetest, tastiest thing every human being loves?\Er, uh, well...\Who knows, right?\Chocolate!\Ice cream!\Honey!\And what about this Berg-Katze? response:	I think it'll start something up again.
context: What's the sweetest, tastiest thing every human being loves?\Er, uh, well...\Who knows, right?\Chocolate!\Ice cream!\Honey!\And what about this Berg-Katze?\I think it'll start something up again. response:	And when it does, it'll be a huge crisis.
context: Er, uh, well...\Who knows, right?\Chocolate!\Ice cream!\Honey!\And what about this Berg-Katze?\I think it'll start something up again.\And when it does, it'll be a huge crisis. response:	So I want everyone to be careful!
context: Who knows, right?\Chocolate!\Ice cream!\Honey!\And what about this Berg-Katze?\I think it'll start something up again.\And when it does, it'll be a huge crisis.\So I want everyone to be careful! response:	That's all I wanted to say.
context: Chocolate!\Ice cream!\Honey!\And what about this Berg-Katze?\I think it'll start something up again.\And when it does, it'll be a huge crisis.\So I want everyone to be careful!\That's all I wanted to say. response:	An alien is coming!
context: Ice cream!\Honey!\And what about this Berg-Katze?\I think it'll start something up again.\And when it does, it'll be a huge crisis.\So I want everyone to be careful!\That's all I wanted to say.\An alien is coming! response:	Wow...
context: Honey!\And what about this Berg-Katze?\I think it'll start something up again.\And when it does, it'll be a huge crisis.\So I want everyone to be careful!\That's all I wanted to say.\An alien is coming!\Wow... response:	Are the Gatchaman going to fight it?
context: And what about this Berg-Katze?\I think it'll start something up again.\And when it does, it'll be a huge crisis.\So I want everyone to be careful!\That's all I wanted to say.\An alien is coming!\Wow...\Are the Gatchaman going to fight it? response:	Umm, how can we be careful, specifically?
context: I think it'll start something up again.\And when it does, it'll be a huge crisis.\So I want everyone to be careful!\That's all I wanted to say.\An alien is coming!\Wow...\Are the Gatchaman going to fight it?\Umm, how can we be careful, specifically? response:	I don't know yet!
context: And when it does, it'll be a huge crisis.\So I want everyone to be careful!\That's all I wanted to say.\An alien is coming!\Wow...\Are the Gatchaman going to fight it?\Umm, how can we be careful, specifically?\I don't know yet! response:	LOAD-kun!
context: So I want everyone to be careful!\That's all I wanted to say.\An alien is coming!\Wow...\Are the Gatchaman going to fight it?\Umm, how can we be careful, specifically?\I don't know yet!\LOAD-kun! response:	What?
context: That's all I wanted to say.\An alien is coming!\Wow...\Are the Gatchaman going to fight it?\Umm, how can we be careful, specifically?\I don't know yet!\LOAD-kun!\What? response:	If you're watching this, come here as soon as you can!
context: An alien is coming!\Wow...\Are the Gatchaman going to fight it?\Umm, how can we be careful, specifically?\I don't know yet!\LOAD-kun!\What?\If you're watching this, come here as soon as you can! response:	I think we'll be needing you in the future!
