context: On the wall discolored by the sun, the poster mark remained. response:	Blinking eyes call the wind
context: What do you mean?\Weren't you gonna do anything to make me happy?\Sure I will. As long as you're always by my side supporting me.\With you by my side, I feel that I can do anything.\Sure.\Nobuo loves to be pampered.\That's a problem.\I'm the one who wants to be pampered. response:	But what is this feeling? It kinda feels really sweet.
context: Weren't you gonna do anything to make me happy?\Sure I will. As long as you're always by my side supporting me.\With you by my side, I feel that I can do anything.\Sure.\Nobuo loves to be pampered.\That's a problem.\I'm the one who wants to be pampered.\But what is this feeling? It kinda feels really sweet. response:	I wanna be kind to him. I wanna be by his side.
context: Sure I will. As long as you're always by my side supporting me.\With you by my side, I feel that I can do anything.\Sure.\Nobuo loves to be pampered.\That's a problem.\I'm the one who wants to be pampered.\But what is this feeling? It kinda feels really sweet.\I wanna be kind to him. I wanna be by his side. response:	I wanna be of help to him. I wanna hug him.
context: With you by my side, I feel that I can do anything.\Sure.\Nobuo loves to be pampered.\That's a problem.\I'm the one who wants to be pampered.\But what is this feeling? It kinda feels really sweet.\I wanna be kind to him. I wanna be by his side.\I wanna be of help to him. I wanna hug him. response:	I wanna be able to do everything he desires.
context: Sure.\Nobuo loves to be pampered.\That's a problem.\I'm the one who wants to be pampered.\But what is this feeling? It kinda feels really sweet.\I wanna be kind to him. I wanna be by his side.\I wanna be of help to him. I wanna hug him.\I wanna be able to do everything he desires. response:	Until now, I've only thought of being treated that way by men.
context: Nobuo loves to be pampered.\That's a problem.\I'm the one who wants to be pampered.\But what is this feeling? It kinda feels really sweet.\I wanna be kind to him. I wanna be by his side.\I wanna be of help to him. I wanna hug him.\I wanna be able to do everything he desires.\Until now, I've only thought of being treated that way by men. response:	That may have been a big mistake.
context: That's a problem.\I'm the one who wants to be pampered.\But what is this feeling? It kinda feels really sweet.\I wanna be kind to him. I wanna be by his side.\I wanna be of help to him. I wanna hug him.\I wanna be able to do everything he desires.\Until now, I've only thought of being treated that way by men.\That may have been a big mistake. response:	Good morning.
context: I'm the one who wants to be pampered.\But what is this feeling? It kinda feels really sweet.\I wanna be kind to him. I wanna be by his side.\I wanna be of help to him. I wanna hug him.\I wanna be able to do everything he desires.\Until now, I've only thought of being treated that way by men.\That may have been a big mistake.\Good morning. response:	Nana, you're back here again. What about Ren?
context: But what is this feeling? It kinda feels really sweet.\I wanna be kind to him. I wanna be by his side.\I wanna be of help to him. I wanna hug him.\I wanna be able to do everything he desires.\Until now, I've only thought of being treated that way by men.\That may have been a big mistake.\Good morning.\Nana, you're back here again. What about Ren? response:	He's busy with work right now, so he's hardly ever home.
context: I wanna be kind to him. I wanna be by his side.\I wanna be of help to him. I wanna hug him.\I wanna be able to do everything he desires.\Until now, I've only thought of being treated that way by men.\That may have been a big mistake.\Good morning.\Nana, you're back here again. What about Ren?\He's busy with work right now, so he's hardly ever home. response:	You left Misato all alone.
context: I wanna be of help to him. I wanna hug him.\I wanna be able to do everything he desires.\Until now, I've only thought of being treated that way by men.\That may have been a big mistake.\Good morning.\Nana, you're back here again. What about Ren?\He's busy with work right now, so he's hardly ever home.\You left Misato all alone. response:	Who were you with if it wasn't Takumi?
context: I wanna be able to do everything he desires.\Until now, I've only thought of being treated that way by men.\That may have been a big mistake.\Good morning.\Nana, you're back here again. What about Ren?\He's busy with work right now, so he's hardly ever home.\You left Misato all alone.\Who were you with if it wasn't Takumi? response:	Wh-Where's Misato?
context: Until now, I've only thought of being treated that way by men.\That may have been a big mistake.\Good morning.\Nana, you're back here again. What about Ren?\He's busy with work right now, so he's hardly ever home.\You left Misato all alone.\Who were you with if it wasn't Takumi?\Wh-Where's Misato? response:	She's still sleeping.
context: That may have been a big mistake.\Good morning.\Nana, you're back here again. What about Ren?\He's busy with work right now, so he's hardly ever home.\You left Misato all alone.\Who were you with if it wasn't Takumi?\Wh-Where's Misato?\She's still sleeping. response:	I'd better explain everything to her.
context: Good morning.\Nana, you're back here again. What about Ren?\He's busy with work right now, so he's hardly ever home.\You left Misato all alone.\Who were you with if it wasn't Takumi?\Wh-Where's Misato?\She's still sleeping.\I'd better explain everything to her. response:	But how am I gonna explain so that she'd understand?
context: Nana, you're back here again. What about Ren?\He's busy with work right now, so he's hardly ever home.\You left Misato all alone.\Who were you with if it wasn't Takumi?\Wh-Where's Misato?\She's still sleeping.\I'd better explain everything to her.\But how am I gonna explain so that she'd understand? response:	It happened immediately after I broke it off with Takumi.
context: He's busy with work right now, so he's hardly ever home.\You left Misato all alone.\Who were you with if it wasn't Takumi?\Wh-Where's Misato?\She's still sleeping.\I'd better explain everything to her.\But how am I gonna explain so that she'd understand?\It happened immediately after I broke it off with Takumi. response:	It actually overlapped a little.
context: You left Misato all alone.\Who were you with if it wasn't Takumi?\Wh-Where's Misato?\She's still sleeping.\I'd better explain everything to her.\But how am I gonna explain so that she'd understand?\It happened immediately after I broke it off with Takumi.\It actually overlapped a little. response:	I'll think about it thoroughly today.
context: Who were you with if it wasn't Takumi?\Wh-Where's Misato?\She's still sleeping.\I'd better explain everything to her.\But how am I gonna explain so that she'd understand?\It happened immediately after I broke it off with Takumi.\It actually overlapped a little.\I'll think about it thoroughly today. response:	I'm working today, so I'd better get changed and hurry off.
context: Wh-Where's Misato?\She's still sleeping.\I'd better explain everything to her.\But how am I gonna explain so that she'd understand?\It happened immediately after I broke it off with Takumi.\It actually overlapped a little.\I'll think about it thoroughly today.\I'm working today, so I'd better get changed and hurry off. response:	Oh, by the way...
context: She's still sleeping.\I'd better explain everything to her.\But how am I gonna explain so that she'd understand?\It happened immediately after I broke it off with Takumi.\It actually overlapped a little.\I'll think about it thoroughly today.\I'm working today, so I'd better get changed and hurry off.\Oh, by the way... response:	Were you able to find Nobu's workplace easily yesterday?
context: I'd better explain everything to her.\But how am I gonna explain so that she'd understand?\It happened immediately after I broke it off with Takumi.\It actually overlapped a little.\I'll think about it thoroughly today.\I'm working today, so I'd better get changed and hurry off.\Oh, by the way...\Were you able to find Nobu's workplace easily yesterday? response:	Yeah, thanks. I had to see him about something urgent.
context: But how am I gonna explain so that she'd understand?\It happened immediately after I broke it off with Takumi.\It actually overlapped a little.\I'll think about it thoroughly today.\I'm working today, so I'd better get changed and hurry off.\Oh, by the way...\Were you able to find Nobu's workplace easily yesterday?\Yeah, thanks. I had to see him about something urgent. response:	You two really get along, don't you?
context: It happened immediately after I broke it off with Takumi.\It actually overlapped a little.\I'll think about it thoroughly today.\I'm working today, so I'd better get changed and hurry off.\Oh, by the way...\Were you able to find Nobu's workplace easily yesterday?\Yeah, thanks. I had to see him about something urgent.\You two really get along, don't you? response:	That guy's always been a genuine, honest sorta guy,
context: It actually overlapped a little.\I'll think about it thoroughly today.\I'm working today, so I'd better get changed and hurry off.\Oh, by the way...\Were you able to find Nobu's workplace easily yesterday?\Yeah, thanks. I had to see him about something urgent.\You two really get along, don't you?\That guy's always been a genuine, honest sorta guy, response:	so you two share the same values.
context: I'll think about it thoroughly today.\I'm working today, so I'd better get changed and hurry off.\Oh, by the way...\Were you able to find Nobu's workplace easily yesterday?\Yeah, thanks. I had to see him about something urgent.\You two really get along, don't you?\That guy's always been a genuine, honest sorta guy,\so you two share the same values. response:	Well, from the rest of the world,
context: I'm working today, so I'd better get changed and hurry off.\Oh, by the way...\Were you able to find Nobu's workplace easily yesterday?\Yeah, thanks. I had to see him about something urgent.\You two really get along, don't you?\That guy's always been a genuine, honest sorta guy,\so you two share the same values.\Well, from the rest of the world, response:	you're like two little dogs barking for attention,
context: Oh, by the way...\Were you able to find Nobu's workplace easily yesterday?\Yeah, thanks. I had to see him about something urgent.\You two really get along, don't you?\That guy's always been a genuine, honest sorta guy,\so you two share the same values.\Well, from the rest of the world,\you're like two little dogs barking for attention, response:	which is kind of annoying.
context: Were you able to find Nobu's workplace easily yesterday?\Yeah, thanks. I had to see him about something urgent.\You two really get along, don't you?\That guy's always been a genuine, honest sorta guy,\so you two share the same values.\Well, from the rest of the world,\you're like two little dogs barking for attention,\which is kind of annoying. response:	I'm sure Nana will understand me.
context: Yeah, thanks. I had to see him about something urgent.\You two really get along, don't you?\That guy's always been a genuine, honest sorta guy,\so you two share the same values.\Well, from the rest of the world,\you're like two little dogs barking for attention,\which is kind of annoying.\I'm sure Nana will understand me. response:	She had to be lonely having no friends.
context: You two really get along, don't you?\That guy's always been a genuine, honest sorta guy,\so you two share the same values.\Well, from the rest of the world,\you're like two little dogs barking for attention,\which is kind of annoying.\I'm sure Nana will understand me.\She had to be lonely having no friends. response:	Because Nana knows for sure
context: That guy's always been a genuine, honest sorta guy,\so you two share the same values.\Well, from the rest of the world,\you're like two little dogs barking for attention,\which is kind of annoying.\I'm sure Nana will understand me.\She had to be lonely having no friends.\Because Nana knows for sure response:	a lot more great things about Nobu than I do.
context: so you two share the same values.\Well, from the rest of the world,\you're like two little dogs barking for attention,\which is kind of annoying.\I'm sure Nana will understand me.\She had to be lonely having no friends.\Because Nana knows for sure\a lot more great things about Nobu than I do. response:	Nana...
context: Well, from the rest of the world,\you're like two little dogs barking for attention,\which is kind of annoying.\I'm sure Nana will understand me.\She had to be lonely having no friends.\Because Nana knows for sure\a lot more great things about Nobu than I do.\Nana... response:	Huh?
context: you're like two little dogs barking for attention,\which is kind of annoying.\I'm sure Nana will understand me.\She had to be lonely having no friends.\Because Nana knows for sure\a lot more great things about Nobu than I do.\Nana...\Huh? response:	You know, I... Nobu...
context: which is kind of annoying.\I'm sure Nana will understand me.\She had to be lonely having no friends.\Because Nana knows for sure\a lot more great things about Nobu than I do.\Nana...\Huh?\You know, I... Nobu... response:	It seems like I'm head over heels in love with Nobu.
context: I'm sure Nana will understand me.\She had to be lonely having no friends.\Because Nana knows for sure\a lot more great things about Nobu than I do.\Nana...\Huh?\You know, I... Nobu...\It seems like I'm head over heels in love with Nobu. response:	Isn't it natural?
context: She had to be lonely having no friends.\Because Nana knows for sure\a lot more great things about Nobu than I do.\Nana...\Huh?\You know, I... Nobu...\It seems like I'm head over heels in love with Nobu.\Isn't it natural? response:	Nana didn't ask me any questions.
context: Because Nana knows for sure\a lot more great things about Nobu than I do.\Nana...\Huh?\You know, I... Nobu...\It seems like I'm head over heels in love with Nobu.\Isn't it natural?\Nana didn't ask me any questions. response:	And if I said anything more,
context: a lot more great things about Nobu than I do.\Nana...\Huh?\You know, I... Nobu...\It seems like I'm head over heels in love with Nobu.\Isn't it natural?\Nana didn't ask me any questions.\And if I said anything more, response:	it would've sounded like an excuse so I didn't.
context: Nana...\Huh?\You know, I... Nobu...\It seems like I'm head over heels in love with Nobu.\Isn't it natural?\Nana didn't ask me any questions.\And if I said anything more,\it would've sounded like an excuse so I didn't. response:	There's no need for me to explain anything.
context: Huh?\You know, I... Nobu...\It seems like I'm head over heels in love with Nobu.\Isn't it natural?\Nana didn't ask me any questions.\And if I said anything more,\it would've sounded like an excuse so I didn't.\There's no need for me to explain anything. response:	I just need to treasure Nobu. That's all.
context: You know, I... Nobu...\It seems like I'm head over heels in love with Nobu.\Isn't it natural?\Nana didn't ask me any questions.\And if I said anything more,\it would've sounded like an excuse so I didn't.\There's no need for me to explain anything.\I just need to treasure Nobu. That's all. response:	And Nana will always be watching over us.
context: It seems like I'm head over heels in love with Nobu.\Isn't it natural?\Nana didn't ask me any questions.\And if I said anything more,\it would've sounded like an excuse so I didn't.\There's no need for me to explain anything.\I just need to treasure Nobu. That's all.\And Nana will always be watching over us. response:	Hey, look, Kyosuke did this.
context: Isn't it natural?\Nana didn't ask me any questions.\And if I said anything more,\it would've sounded like an excuse so I didn't.\There's no need for me to explain anything.\I just need to treasure Nobu. That's all.\And Nana will always be watching over us.\Hey, look, Kyosuke did this. response:	This is incredibly well done. That's Mr. Kyosuke for you.
context: Nana didn't ask me any questions.\And if I said anything more,\it would've sounded like an excuse so I didn't.\There's no need for me to explain anything.\I just need to treasure Nobu. That's all.\And Nana will always be watching over us.\Hey, look, Kyosuke did this.\This is incredibly well done. That's Mr. Kyosuke for you. response:	There's no need to add the Mr.
context: And if I said anything more,\it would've sounded like an excuse so I didn't.\There's no need for me to explain anything.\I just need to treasure Nobu. That's all.\And Nana will always be watching over us.\Hey, look, Kyosuke did this.\This is incredibly well done. That's Mr. Kyosuke for you.\There's no need to add the Mr. response:	He's the same age as you, after all.
context: it would've sounded like an excuse so I didn't.\There's no need for me to explain anything.\I just need to treasure Nobu. That's all.\And Nana will always be watching over us.\Hey, look, Kyosuke did this.\This is incredibly well done. That's Mr. Kyosuke for you.\There's no need to add the Mr.\He's the same age as you, after all. response:	But he just seems older than me.
context: There's no need for me to explain anything.\I just need to treasure Nobu. That's all.\And Nana will always be watching over us.\Hey, look, Kyosuke did this.\This is incredibly well done. That's Mr. Kyosuke for you.\There's no need to add the Mr.\He's the same age as you, after all.\But he just seems older than me. response:	Mr. Kyosuke's somewhat like a father to you.
context: I just need to treasure Nobu. That's all.\And Nana will always be watching over us.\Hey, look, Kyosuke did this.\This is incredibly well done. That's Mr. Kyosuke for you.\There's no need to add the Mr.\He's the same age as you, after all.\But he just seems older than me.\Mr. Kyosuke's somewhat like a father to you. response:	Let's leave it at older brother.
context: And Nana will always be watching over us.\Hey, look, Kyosuke did this.\This is incredibly well done. That's Mr. Kyosuke for you.\There's no need to add the Mr.\He's the same age as you, after all.\But he just seems older than me.\Mr. Kyosuke's somewhat like a father to you.\Let's leave it at older brother. response:	Look, that one over in that section. That's Jun-chan's painting.
context: Hey, look, Kyosuke did this.\This is incredibly well done. That's Mr. Kyosuke for you.\There's no need to add the Mr.\He's the same age as you, after all.\But he just seems older than me.\Mr. Kyosuke's somewhat like a father to you.\Let's leave it at older brother.\Look, that one over in that section. That's Jun-chan's painting. response:	It's incredible! In many ways.
context: This is incredibly well done. That's Mr. Kyosuke for you.\There's no need to add the Mr.\He's the same age as you, after all.\But he just seems older than me.\Mr. Kyosuke's somewhat like a father to you.\Let's leave it at older brother.\Look, that one over in that section. That's Jun-chan's painting.\It's incredible! In many ways. response:	It's impossible to comprehend, Jun-chan.
context: There's no need to add the Mr.\He's the same age as you, after all.\But he just seems older than me.\Mr. Kyosuke's somewhat like a father to you.\Let's leave it at older brother.\Look, that one over in that section. That's Jun-chan's painting.\It's incredible! In many ways.\It's impossible to comprehend, Jun-chan. response:	What is it? Can you explain it to me?
context: He's the same age as you, after all.\But he just seems older than me.\Mr. Kyosuke's somewhat like a father to you.\Let's leave it at older brother.\Look, that one over in that section. That's Jun-chan's painting.\It's incredible! In many ways.\It's impossible to comprehend, Jun-chan.\What is it? Can you explain it to me? response:	I'm the one who needs an explanation.
context: But he just seems older than me.\Mr. Kyosuke's somewhat like a father to you.\Let's leave it at older brother.\Look, that one over in that section. That's Jun-chan's painting.\It's incredible! In many ways.\It's impossible to comprehend, Jun-chan.\What is it? Can you explain it to me?\I'm the one who needs an explanation. response:	Huh? Nana and Nobu?
context: Mr. Kyosuke's somewhat like a father to you.\Let's leave it at older brother.\Look, that one over in that section. That's Jun-chan's painting.\It's incredible! In many ways.\It's impossible to comprehend, Jun-chan.\What is it? Can you explain it to me?\I'm the one who needs an explanation.\Huh? Nana and Nobu? response:	Yeah. All lovey-dovey. So much it's sickening.
context: Let's leave it at older brother.\Look, that one over in that section. That's Jun-chan's painting.\It's incredible! In many ways.\It's impossible to comprehend, Jun-chan.\What is it? Can you explain it to me?\I'm the one who needs an explanation.\Huh? Nana and Nobu?\Yeah. All lovey-dovey. So much it's sickening. response:	What's that supposed to mean?
context: Look, that one over in that section. That's Jun-chan's painting.\It's incredible! In many ways.\It's impossible to comprehend, Jun-chan.\What is it? Can you explain it to me?\I'm the one who needs an explanation.\Huh? Nana and Nobu?\Yeah. All lovey-dovey. So much it's sickening.\What's that supposed to mean? response:	But I thought she preferred Yasu.
context: It's incredible! In many ways.\It's impossible to comprehend, Jun-chan.\What is it? Can you explain it to me?\I'm the one who needs an explanation.\Huh? Nana and Nobu?\Yeah. All lovey-dovey. So much it's sickening.\What's that supposed to mean?\But I thought she preferred Yasu. response:	Maybe he didn't pay any attention to her.
context: It's impossible to comprehend, Jun-chan.\What is it? Can you explain it to me?\I'm the one who needs an explanation.\Huh? Nana and Nobu?\Yeah. All lovey-dovey. So much it's sickening.\What's that supposed to mean?\But I thought she preferred Yasu.\Maybe he didn't pay any attention to her. response:	But she could've told us sooner.
context: What is it? Can you explain it to me?\I'm the one who needs an explanation.\Huh? Nana and Nobu?\Yeah. All lovey-dovey. So much it's sickening.\What's that supposed to mean?\But I thought she preferred Yasu.\Maybe he didn't pay any attention to her.\But she could've told us sooner. response:	Why'd she hide it?
context: I'm the one who needs an explanation.\Huh? Nana and Nobu?\Yeah. All lovey-dovey. So much it's sickening.\What's that supposed to mean?\But I thought she preferred Yasu.\Maybe he didn't pay any attention to her.\But she could've told us sooner.\Why'd she hide it? response:	I think the guy she was hiding from us was another guy.
context: Huh? Nana and Nobu?\Yeah. All lovey-dovey. So much it's sickening.\What's that supposed to mean?\But I thought she preferred Yasu.\Maybe he didn't pay any attention to her.\But she could've told us sooner.\Why'd she hide it?\I think the guy she was hiding from us was another guy. response:	I'll bet he broke her heart.
context: Yeah. All lovey-dovey. So much it's sickening.\What's that supposed to mean?\But I thought she preferred Yasu.\Maybe he didn't pay any attention to her.\But she could've told us sooner.\Why'd she hide it?\I think the guy she was hiding from us was another guy.\I'll bet he broke her heart. response:	In any case, she was really hurt
context: What's that supposed to mean?\But I thought she preferred Yasu.\Maybe he didn't pay any attention to her.\But she could've told us sooner.\Why'd she hide it?\I think the guy she was hiding from us was another guy.\I'll bet he broke her heart.\In any case, she was really hurt response:	about what happened with her ex-boyfriend.
context: But I thought she preferred Yasu.\Maybe he didn't pay any attention to her.\But she could've told us sooner.\Why'd she hide it?\I think the guy she was hiding from us was another guy.\I'll bet he broke her heart.\In any case, she was really hurt\about what happened with her ex-boyfriend. response:	Maybe Nobu was kind to her then and she went along with it.
context: Maybe he didn't pay any attention to her.\But she could've told us sooner.\Why'd she hide it?\I think the guy she was hiding from us was another guy.\I'll bet he broke her heart.\In any case, she was really hurt\about what happened with her ex-boyfriend.\Maybe Nobu was kind to her then and she went along with it. response:	Yeah. But it was like she had completely forgotten
context: But she could've told us sooner.\Why'd she hide it?\I think the guy she was hiding from us was another guy.\I'll bet he broke her heart.\In any case, she was really hurt\about what happened with her ex-boyfriend.\Maybe Nobu was kind to her then and she went along with it.\Yeah. But it was like she had completely forgotten response:	about her ex-boyfriend a little while back.
context: Why'd she hide it?\I think the guy she was hiding from us was another guy.\I'll bet he broke her heart.\In any case, she was really hurt\about what happened with her ex-boyfriend.\Maybe Nobu was kind to her then and she went along with it.\Yeah. But it was like she had completely forgotten\about her ex-boyfriend a little while back. response:	That's true. I guess it just shows
context: I think the guy she was hiding from us was another guy.\I'll bet he broke her heart.\In any case, she was really hurt\about what happened with her ex-boyfriend.\Maybe Nobu was kind to her then and she went along with it.\Yeah. But it was like she had completely forgotten\about her ex-boyfriend a little while back.\That's true. I guess it just shows response:	that Nana's ex-boyfriend wasn't all that important to her, after all.
context: I'll bet he broke her heart.\In any case, she was really hurt\about what happened with her ex-boyfriend.\Maybe Nobu was kind to her then and she went along with it.\Yeah. But it was like she had completely forgotten\about her ex-boyfriend a little while back.\That's true. I guess it just shows\that Nana's ex-boyfriend wasn't all that important to her, after all. response:	So you're saying that
context: In any case, she was really hurt\about what happened with her ex-boyfriend.\Maybe Nobu was kind to her then and she went along with it.\Yeah. But it was like she had completely forgotten\about her ex-boyfriend a little while back.\That's true. I guess it just shows\that Nana's ex-boyfriend wasn't all that important to her, after all.\So you're saying that response:	there are a lotta guys out there who are much better than her ex.
context: about what happened with her ex-boyfriend.\Maybe Nobu was kind to her then and she went along with it.\Yeah. But it was like she had completely forgotten\about her ex-boyfriend a little while back.\That's true. I guess it just shows\that Nana's ex-boyfriend wasn't all that important to her, after all.\So you're saying that\there are a lotta guys out there who are much better than her ex. response:	Oh, Mr. Ex-boyfriend, here's your Jackson Burger.
context: Maybe Nobu was kind to her then and she went along with it.\Yeah. But it was like she had completely forgotten\about her ex-boyfriend a little while back.\That's true. I guess it just shows\that Nana's ex-boyfriend wasn't all that important to her, after all.\So you're saying that\there are a lotta guys out there who are much better than her ex.\Oh, Mr. Ex-boyfriend, here's your Jackson Burger. response:	Cut it out with all the ex-boyfriend!
context: Yeah. But it was like she had completely forgotten\about her ex-boyfriend a little while back.\That's true. I guess it just shows\that Nana's ex-boyfriend wasn't all that important to her, after all.\So you're saying that\there are a lotta guys out there who are much better than her ex.\Oh, Mr. Ex-boyfriend, here's your Jackson Burger.\Cut it out with all the ex-boyfriend! response:	Oh my, I didn't notice you there, Shoji. I'm sorry.
context: about her ex-boyfriend a little while back.\That's true. I guess it just shows\that Nana's ex-boyfriend wasn't all that important to her, after all.\So you're saying that\there are a lotta guys out there who are much better than her ex.\Oh, Mr. Ex-boyfriend, here's your Jackson Burger.\Cut it out with all the ex-boyfriend!\Oh my, I didn't notice you there, Shoji. I'm sorry. response:	You're the one that invited me to come!
context: That's true. I guess it just shows\that Nana's ex-boyfriend wasn't all that important to her, after all.\So you're saying that\there are a lotta guys out there who are much better than her ex.\Oh, Mr. Ex-boyfriend, here's your Jackson Burger.\Cut it out with all the ex-boyfriend!\Oh my, I didn't notice you there, Shoji. I'm sorry.\You're the one that invited me to come! response:	But we always find you here whether we call you or not.
context: that Nana's ex-boyfriend wasn't all that important to her, after all.\So you're saying that\there are a lotta guys out there who are much better than her ex.\Oh, Mr. Ex-boyfriend, here's your Jackson Burger.\Cut it out with all the ex-boyfriend!\Oh my, I didn't notice you there, Shoji. I'm sorry.\You're the one that invited me to come!\But we always find you here whether we call you or not. response:	Even though you live farther away since you moved.
context: So you're saying that\there are a lotta guys out there who are much better than her ex.\Oh, Mr. Ex-boyfriend, here's your Jackson Burger.\Cut it out with all the ex-boyfriend!\Oh my, I didn't notice you there, Shoji. I'm sorry.\You're the one that invited me to come!\But we always find you here whether we call you or not.\Even though you live farther away since you moved. response:	Huh? When did that happen?
context: there are a lotta guys out there who are much better than her ex.\Oh, Mr. Ex-boyfriend, here's your Jackson Burger.\Cut it out with all the ex-boyfriend!\Oh my, I didn't notice you there, Shoji. I'm sorry.\You're the one that invited me to come!\But we always find you here whether we call you or not.\Even though you live farther away since you moved.\Huh? When did that happen? response:	Didn't you tell me that
context: Oh, Mr. Ex-boyfriend, here's your Jackson Burger.\Cut it out with all the ex-boyfriend!\Oh my, I didn't notice you there, Shoji. I'm sorry.\You're the one that invited me to come!\But we always find you here whether we call you or not.\Even though you live farther away since you moved.\Huh? When did that happen?\Didn't you tell me that response:	it wasn't gonna happen because you didn't have any money?
context: Cut it out with all the ex-boyfriend!\Oh my, I didn't notice you there, Shoji. I'm sorry.\You're the one that invited me to come!\But we always find you here whether we call you or not.\Even though you live farther away since you moved.\Huh? When did that happen?\Didn't you tell me that\it wasn't gonna happen because you didn't have any money? response:	Shoji left his apartment and moved to Sachiko's place.
context: Oh my, I didn't notice you there, Shoji. I'm sorry.\You're the one that invited me to come!\But we always find you here whether we call you or not.\Even though you live farther away since you moved.\Huh? When did that happen?\Didn't you tell me that\it wasn't gonna happen because you didn't have any money?\Shoji left his apartment and moved to Sachiko's place. response:	He made us help him move although we were really busy.
context: You're the one that invited me to come!\But we always find you here whether we call you or not.\Even though you live farther away since you moved.\Huh? When did that happen?\Didn't you tell me that\it wasn't gonna happen because you didn't have any money?\Shoji left his apartment and moved to Sachiko's place.\He made us help him move although we were really busy. response:	So inconsiderate.
context: But we always find you here whether we call you or not.\Even though you live farther away since you moved.\Huh? When did that happen?\Didn't you tell me that\it wasn't gonna happen because you didn't have any money?\Shoji left his apartment and moved to Sachiko's place.\He made us help him move although we were really busy.\So inconsiderate. response:	Hey, I never asked you to,
context: Even though you live farther away since you moved.\Huh? When did that happen?\Didn't you tell me that\it wasn't gonna happen because you didn't have any money?\Shoji left his apartment and moved to Sachiko's place.\He made us help him move although we were really busy.\So inconsiderate.\Hey, I never asked you to, response:	but you barged in because you were curious.
context: Huh? When did that happen?\Didn't you tell me that\it wasn't gonna happen because you didn't have any money?\Shoji left his apartment and moved to Sachiko's place.\He made us help him move although we were really busy.\So inconsiderate.\Hey, I never asked you to,\but you barged in because you were curious. response:	Sachiko lives one train stop away from you, right?
context: Didn't you tell me that\it wasn't gonna happen because you didn't have any money?\Shoji left his apartment and moved to Sachiko's place.\He made us help him move although we were really busy.\So inconsiderate.\Hey, I never asked you to,\but you barged in because you were curious.\Sachiko lives one train stop away from you, right? response:	Yeah.
context: it wasn't gonna happen because you didn't have any money?\Shoji left his apartment and moved to Sachiko's place.\He made us help him move although we were really busy.\So inconsiderate.\Hey, I never asked you to,\but you barged in because you were curious.\Sachiko lives one train stop away from you, right?\Yeah. response:	I'll continue coming here from now on too,
context: Shoji left his apartment and moved to Sachiko's place.\He made us help him move although we were really busy.\So inconsiderate.\Hey, I never asked you to,\but you barged in because you were curious.\Sachiko lives one train stop away from you, right?\Yeah.\I'll continue coming here from now on too, response:	so don't worry Koichi Sato.
context: He made us help him move although we were really busy.\So inconsiderate.\Hey, I never asked you to,\but you barged in because you were curious.\Sachiko lives one train stop away from you, right?\Yeah.\I'll continue coming here from now on too,\so don't worry Koichi Sato. response:	- You don't hafta come. - What?!
context: So inconsiderate.\Hey, I never asked you to,\but you barged in because you were curious.\Sachiko lives one train stop away from you, right?\Yeah.\I'll continue coming here from now on too,\so don't worry Koichi Sato.\- You don't hafta come. - What?! response:	Nana no longer comes here because you continue to hang out here.
context: Hey, I never asked you to,\but you barged in because you were curious.\Sachiko lives one train stop away from you, right?\Yeah.\I'll continue coming here from now on too,\so don't worry Koichi Sato.\- You don't hafta come. - What?!\Nana no longer comes here because you continue to hang out here. response:	I'm sorry.
context: but you barged in because you were curious.\Sachiko lives one train stop away from you, right?\Yeah.\I'll continue coming here from now on too,\so don't worry Koichi Sato.\- You don't hafta come. - What?!\Nana no longer comes here because you continue to hang out here.\I'm sorry. response:	Tell Nana, now that she has a boyfriend that she's all lovey-dovey with,
context: Sachiko lives one train stop away from you, right?\Yeah.\I'll continue coming here from now on too,\so don't worry Koichi Sato.\- You don't hafta come. - What?!\Nana no longer comes here because you continue to hang out here.\I'm sorry.\Tell Nana, now that she has a boyfriend that she's all lovey-dovey with, response:	she can come here again without thinking about her ex.
context: Yeah.\I'll continue coming here from now on too,\so don't worry Koichi Sato.\- You don't hafta come. - What?!\Nana no longer comes here because you continue to hang out here.\I'm sorry.\Tell Nana, now that she has a boyfriend that she's all lovey-dovey with,\she can come here again without thinking about her ex. response:	I do wanna see her new boyfriend.
context: I'll continue coming here from now on too,\so don't worry Koichi Sato.\- You don't hafta come. - What?!\Nana no longer comes here because you continue to hang out here.\I'm sorry.\Tell Nana, now that she has a boyfriend that she's all lovey-dovey with,\she can come here again without thinking about her ex.\I do wanna see her new boyfriend. response:	Nobu hasn't been here before?
context: so don't worry Koichi Sato.\- You don't hafta come. - What?!\Nana no longer comes here because you continue to hang out here.\I'm sorry.\Tell Nana, now that she has a boyfriend that she's all lovey-dovey with,\she can come here again without thinking about her ex.\I do wanna see her new boyfriend.\Nobu hasn't been here before? response:	I believe he lives close by.
context: - You don't hafta come. - What?!\Nana no longer comes here because you continue to hang out here.\I'm sorry.\Tell Nana, now that she has a boyfriend that she's all lovey-dovey with,\she can come here again without thinking about her ex.\I do wanna see her new boyfriend.\Nobu hasn't been here before?\I believe he lives close by. response:	With his band and work,
context: Nana no longer comes here because you continue to hang out here.\I'm sorry.\Tell Nana, now that she has a boyfriend that she's all lovey-dovey with,\she can come here again without thinking about her ex.\I do wanna see her new boyfriend.\Nobu hasn't been here before?\I believe he lives close by.\With his band and work, response:	I doubt he has the time to sit back and enjoy a drink.
