context: Caramel Waffles with Apples and Nuts response:	Thanks for waiting!
context: Huh? Did you hear a word I said?\I can't play, all right? I can't hear what I'm playing.\Quit your whining. My mind's made up. Just give in to your fate like a good boy.\You exist inside spring.\You exist inside a spring that can't be replaced.\I hereby appoint Friend A as my accompanist.\Morning, Tsubaki!\Morning! response:	Come back here, you!
context: I can't play, all right? I can't hear what I'm playing.\Quit your whining. My mind's made up. Just give in to your fate like a good boy.\You exist inside spring.\You exist inside a spring that can't be replaced.\I hereby appoint Friend A as my accompanist.\Morning, Tsubaki!\Morning!\Come back here, you! response:	I said I just can't do it, all right?
context: Quit your whining. My mind's made up. Just give in to your fate like a good boy.\You exist inside spring.\You exist inside a spring that can't be replaced.\I hereby appoint Friend A as my accompanist.\Morning, Tsubaki!\Morning!\Come back here, you!\I said I just can't do it, all right? response:	Just shut up and be my accompanist!
context: You exist inside spring.\You exist inside a spring that can't be replaced.\I hereby appoint Friend A as my accompanist.\Morning, Tsubaki!\Morning!\Come back here, you!\I said I just can't do it, all right?\Just shut up and be my accompanist! response:	What the heck?
context: You exist inside a spring that can't be replaced.\I hereby appoint Friend A as my accompanist.\Morning, Tsubaki!\Morning!\Come back here, you!\I said I just can't do it, all right?\Just shut up and be my accompanist!\What the heck? response:	Ambushing me at this hour!
context: I hereby appoint Friend A as my accompanist.\Morning, Tsubaki!\Morning!\Come back here, you!\I said I just can't do it, all right?\Just shut up and be my accompanist!\What the heck?\Ambushing me at this hour! response:	For our set piece,
context: Morning, Tsubaki!\Morning!\Come back here, you!\I said I just can't do it, all right?\Just shut up and be my accompanist!\What the heck?\Ambushing me at this hour!\For our set piece, response:	I decided on Saint-Saens's Introduction and Rondo Capriccioso,
context: Morning!\Come back here, you!\I said I just can't do it, all right?\Just shut up and be my accompanist!\What the heck?\Ambushing me at this hour!\For our set piece,\I decided on Saint-Saens's Introduction and Rondo Capriccioso, response:	so I'll bring you the sheet music tomorrow.
context: Come back here, you!\I said I just can't do it, all right?\Just shut up and be my accompanist!\What the heck?\Ambushing me at this hour!\For our set piece,\I decided on Saint-Saens's Introduction and Rondo Capriccioso,\so I'll bring you the sheet music tomorrow. response:	Home Economics Room
context: I said I just can't do it, all right?\Just shut up and be my accompanist!\What the heck?\Ambushing me at this hour!\For our set piece,\I decided on Saint-Saens's Introduction and Rondo Capriccioso,\so I'll bring you the sheet music tomorrow.\Home Economics Room response:	Have Kousei play the accompaniment for your violin?
context: Just shut up and be my accompanist!\What the heck?\Ambushing me at this hour!\For our set piece,\I decided on Saint-Saens's Introduction and Rondo Capriccioso,\so I'll bring you the sheet music tomorrow.\Home Economics Room\Have Kousei play the accompaniment for your violin? response:	I got dumped by my accompanist from the other day...
context: What the heck?\Ambushing me at this hour!\For our set piece,\I decided on Saint-Saens's Introduction and Rondo Capriccioso,\so I'll bring you the sheet music tomorrow.\Home Economics Room\Have Kousei play the accompaniment for your violin?\I got dumped by my accompanist from the other day... response:	That guy's insanely good on the piano, right?
context: Ambushing me at this hour!\For our set piece,\I decided on Saint-Saens's Introduction and Rondo Capriccioso,\so I'll bring you the sheet music tomorrow.\Home Economics Room\Have Kousei play the accompaniment for your violin?\I got dumped by my accompanist from the other day...\That guy's insanely good on the piano, right? response:	You knew about that, Kao-chan?
context: For our set piece,\I decided on Saint-Saens's Introduction and Rondo Capriccioso,\so I'll bring you the sheet music tomorrow.\Home Economics Room\Have Kousei play the accompaniment for your violin?\I got dumped by my accompanist from the other day...\That guy's insanely good on the piano, right?\You knew about that, Kao-chan? response:	Well, to anyone who plays music, he's a total celebrity.
context: I decided on Saint-Saens's Introduction and Rondo Capriccioso,\so I'll bring you the sheet music tomorrow.\Home Economics Room\Have Kousei play the accompaniment for your violin?\I got dumped by my accompanist from the other day...\That guy's insanely good on the piano, right?\You knew about that, Kao-chan?\Well, to anyone who plays music, he's a total celebrity. response:	That's why I thought I'd ask him.
context: so I'll bring you the sheet music tomorrow.\Home Economics Room\Have Kousei play the accompaniment for your violin?\I got dumped by my accompanist from the other day...\That guy's insanely good on the piano, right?\You knew about that, Kao-chan?\Well, to anyone who plays music, he's a total celebrity.\That's why I thought I'd ask him. response:	You don't think... he'll do it?
context: Home Economics Room\Have Kousei play the accompaniment for your violin?\I got dumped by my accompanist from the other day...\That guy's insanely good on the piano, right?\You knew about that, Kao-chan?\Well, to anyone who plays music, he's a total celebrity.\That's why I thought I'd ask him.\You don't think... he'll do it? response:	I'm totally psyched!
context: Have Kousei play the accompaniment for your violin?\I got dumped by my accompanist from the other day...\That guy's insanely good on the piano, right?\You knew about that, Kao-chan?\Well, to anyone who plays music, he's a total celebrity.\That's why I thought I'd ask him.\You don't think... he'll do it?\I'm totally psyched! response:	Did I just feel a chill?
context: I got dumped by my accompanist from the other day...\That guy's insanely good on the piano, right?\You knew about that, Kao-chan?\Well, to anyone who plays music, he's a total celebrity.\That's why I thought I'd ask him.\You don't think... he'll do it?\I'm totally psyched!\Did I just feel a chill? response:	Like I could eat that.
context: That guy's insanely good on the piano, right?\You knew about that, Kao-chan?\Well, to anyone who plays music, he's a total celebrity.\That's why I thought I'd ask him.\You don't think... he'll do it?\I'm totally psyched!\Did I just feel a chill?\Like I could eat that. response:	Huh? Classical music?
context: You knew about that, Kao-chan?\Well, to anyone who plays music, he's a total celebrity.\That's why I thought I'd ask him.\You don't think... he'll do it?\I'm totally psyched!\Did I just feel a chill?\Like I could eat that.\Huh? Classical music? response:	I thought they always played pop.
context: Well, to anyone who plays music, he's a total celebrity.\That's why I thought I'd ask him.\You don't think... he'll do it?\I'm totally psyched!\Did I just feel a chill?\Like I could eat that.\Huh? Classical music?\I thought they always played pop. response:	Saint-Saens's Introduction and Rondo Capriccioso?
context: That's why I thought I'd ask him.\You don't think... he'll do it?\I'm totally psyched!\Did I just feel a chill?\Like I could eat that.\Huh? Classical music?\I thought they always played pop.\Saint-Saens's Introduction and Rondo Capriccioso? response:	Not only that, but it's on repeat...
context: You don't think... he'll do it?\I'm totally psyched!\Did I just feel a chill?\Like I could eat that.\Huh? Classical music?\I thought they always played pop.\Saint-Saens's Introduction and Rondo Capriccioso?\Not only that, but it's on repeat... response:	What the...?
context: I'm totally psyched!\Did I just feel a chill?\Like I could eat that.\Huh? Classical music?\I thought they always played pop.\Saint-Saens's Introduction and Rondo Capriccioso?\Not only that, but it's on repeat...\What the...? response:	Tsubaki Kaori
context: Did I just feel a chill?\Like I could eat that.\Huh? Classical music?\I thought they always played pop.\Saint-Saens's Introduction and Rondo Capriccioso?\Not only that, but it's on repeat...\What the...?\Tsubaki Kaori response:	Accompaniment, accompaniment, accompaniment, accompaniment...
context: Like I could eat that.\Huh? Classical music?\I thought they always played pop.\Saint-Saens's Introduction and Rondo Capriccioso?\Not only that, but it's on repeat...\What the...?\Tsubaki Kaori\Accompaniment, accompaniment, accompaniment, accompaniment... response:	All right, open up your textbooks to page 17.
context: Huh? Classical music?\I thought they always played pop.\Saint-Saens's Introduction and Rondo Capriccioso?\Not only that, but it's on repeat...\What the...?\Tsubaki Kaori\Accompaniment, accompaniment, accompaniment, accompaniment...\All right, open up your textbooks to page 17. response:	What the heck is going on today?
context: I thought they always played pop.\Saint-Saens's Introduction and Rondo Capriccioso?\Not only that, but it's on repeat...\What the...?\Tsubaki Kaori\Accompaniment, accompaniment, accompaniment, accompaniment...\All right, open up your textbooks to page 17.\What the heck is going on today? response:	Huh?
context: Saint-Saens's Introduction and Rondo Capriccioso?\Not only that, but it's on repeat...\What the...?\Tsubaki Kaori\Accompaniment, accompaniment, accompaniment, accompaniment...\All right, open up your textbooks to page 17.\What the heck is going on today?\Huh? response:	I know it's you, Tsubaki!
context: Not only that, but it's on repeat...\What the...?\Tsubaki Kaori\Accompaniment, accompaniment, accompaniment, accompaniment...\All right, open up your textbooks to page 17.\What the heck is going on today?\Huh?\I know it's you, Tsubaki! response:	When did she do this? Even my wallpaper's...
context: What the...?\Tsubaki Kaori\Accompaniment, accompaniment, accompaniment, accompaniment...\All right, open up your textbooks to page 17.\What the heck is going on today?\Huh?\I know it's you, Tsubaki!\When did she do this? Even my wallpaper's... response:	Play the accompaniment!
context: Tsubaki Kaori\Accompaniment, accompaniment, accompaniment, accompaniment...\All right, open up your textbooks to page 17.\What the heck is going on today?\Huh?\I know it's you, Tsubaki!\When did she do this? Even my wallpaper's...\Play the accompaniment! response:	Play the accompaniment!
context: Accompaniment, accompaniment, accompaniment, accompaniment...\All right, open up your textbooks to page 17.\What the heck is going on today?\Huh?\I know it's you, Tsubaki!\When did she do this? Even my wallpaper's...\Play the accompaniment!\Play the accompaniment! response:	Classical again?
context: All right, open up your textbooks to page 17.\What the heck is going on today?\Huh?\I know it's you, Tsubaki!\When did she do this? Even my wallpaper's...\Play the accompaniment!\Play the accompaniment!\Classical again? response:	They've been playing this same song for a week now!
context: What the heck is going on today?\Huh?\I know it's you, Tsubaki!\When did she do this? Even my wallpaper's...\Play the accompaniment!\Play the accompaniment!\Classical again?\They've been playing this same song for a week now! response:	I just can't do it...
context: Huh?\I know it's you, Tsubaki!\When did she do this? Even my wallpaper's...\Play the accompaniment!\Play the accompaniment!\Classical again?\They've been playing this same song for a week now!\I just can't do it... response:	It's tomorrow, huh?
context: I know it's you, Tsubaki!\When did she do this? Even my wallpaper's...\Play the accompaniment!\Play the accompaniment!\Classical again?\They've been playing this same song for a week now!\I just can't do it...\It's tomorrow, huh? response:	I wonder if it'll be nice out?
context: When did she do this? Even my wallpaper's...\Play the accompaniment!\Play the accompaniment!\Classical again?\They've been playing this same song for a week now!\I just can't do it...\It's tomorrow, huh?\I wonder if it'll be nice out? response:	The way he's been acting, Kousei will bail for sure.
context: Play the accompaniment!\Play the accompaniment!\Classical again?\They've been playing this same song for a week now!\I just can't do it...\It's tomorrow, huh?\I wonder if it'll be nice out?\The way he's been acting, Kousei will bail for sure. response:	I'm gonna drag him there no matter what.
context: Play the accompaniment!\Classical again?\They've been playing this same song for a week now!\I just can't do it...\It's tomorrow, huh?\I wonder if it'll be nice out?\The way he's been acting, Kousei will bail for sure.\I'm gonna drag him there no matter what. response:	But are you sure it's really okay? To force him to accompany me?
context: Classical again?\They've been playing this same song for a week now!\I just can't do it...\It's tomorrow, huh?\I wonder if it'll be nice out?\The way he's been acting, Kousei will bail for sure.\I'm gonna drag him there no matter what.\But are you sure it's really okay? To force him to accompany me? response:	It's fine, it's fine. With Kousei, you have to be at least this pushy.
context: They've been playing this same song for a week now!\I just can't do it...\It's tomorrow, huh?\I wonder if it'll be nice out?\The way he's been acting, Kousei will bail for sure.\I'm gonna drag him there no matter what.\But are you sure it's really okay? To force him to accompany me?\It's fine, it's fine. With Kousei, you have to be at least this pushy. response:	It's a good idea! A good idea!
context: I just can't do it...\It's tomorrow, huh?\I wonder if it'll be nice out?\The way he's been acting, Kousei will bail for sure.\I'm gonna drag him there no matter what.\But are you sure it's really okay? To force him to accompany me?\It's fine, it's fine. With Kousei, you have to be at least this pushy.\It's a good idea! A good idea! response:	Hey, I'm gonna make Watari help, too. If it's for a girl...
context: It's tomorrow, huh?\I wonder if it'll be nice out?\The way he's been acting, Kousei will bail for sure.\I'm gonna drag him there no matter what.\But are you sure it's really okay? To force him to accompany me?\It's fine, it's fine. With Kousei, you have to be at least this pushy.\It's a good idea! A good idea!\Hey, I'm gonna make Watari help, too. If it's for a girl... response:	If it's for you, Kao-chan, no way will he say no.
context: I wonder if it'll be nice out?\The way he's been acting, Kousei will bail for sure.\I'm gonna drag him there no matter what.\But are you sure it's really okay? To force him to accompany me?\It's fine, it's fine. With Kousei, you have to be at least this pushy.\It's a good idea! A good idea!\Hey, I'm gonna make Watari help, too. If it's for a girl...\If it's for you, Kao-chan, no way will he say no. response:	I'm so going to make you play the piano!
context: The way he's been acting, Kousei will bail for sure.\I'm gonna drag him there no matter what.\But are you sure it's really okay? To force him to accompany me?\It's fine, it's fine. With Kousei, you have to be at least this pushy.\It's a good idea! A good idea!\Hey, I'm gonna make Watari help, too. If it's for a girl...\If it's for you, Kao-chan, no way will he say no.\I'm so going to make you play the piano! response:	You really like Arima-kun, don't you, Tsubaki-chan?
context: I'm gonna drag him there no matter what.\But are you sure it's really okay? To force him to accompany me?\It's fine, it's fine. With Kousei, you have to be at least this pushy.\It's a good idea! A good idea!\Hey, I'm gonna make Watari help, too. If it's for a girl...\If it's for you, Kao-chan, no way will he say no.\I'm so going to make you play the piano!\You really like Arima-kun, don't you, Tsubaki-chan? response:	Well...
context: But are you sure it's really okay? To force him to accompany me?\It's fine, it's fine. With Kousei, you have to be at least this pushy.\It's a good idea! A good idea!\Hey, I'm gonna make Watari help, too. If it's for a girl...\If it's for you, Kao-chan, no way will he say no.\I'm so going to make you play the piano!\You really like Arima-kun, don't you, Tsubaki-chan?\Well... response:	It's not quite like that. To me...
context: It's fine, it's fine. With Kousei, you have to be at least this pushy.\It's a good idea! A good idea!\Hey, I'm gonna make Watari help, too. If it's for a girl...\If it's for you, Kao-chan, no way will he say no.\I'm so going to make you play the piano!\You really like Arima-kun, don't you, Tsubaki-chan?\Well...\It's not quite like that. To me... response:	Kousei is...
context: It's a good idea! A good idea!\Hey, I'm gonna make Watari help, too. If it's for a girl...\If it's for you, Kao-chan, no way will he say no.\I'm so going to make you play the piano!\You really like Arima-kun, don't you, Tsubaki-chan?\Well...\It's not quite like that. To me...\Kousei is... response:	Even though I'm an only child, it's like having a high-maintenance big sister.
context: Hey, I'm gonna make Watari help, too. If it's for a girl...\If it's for you, Kao-chan, no way will he say no.\I'm so going to make you play the piano!\You really like Arima-kun, don't you, Tsubaki-chan?\Well...\It's not quite like that. To me...\Kousei is...\Even though I'm an only child, it's like having a high-maintenance big sister. response:	He's like a hopeless kid brother...
context: If it's for you, Kao-chan, no way will he say no.\I'm so going to make you play the piano!\You really like Arima-kun, don't you, Tsubaki-chan?\Well...\It's not quite like that. To me...\Kousei is...\Even though I'm an only child, it's like having a high-maintenance big sister.\He's like a hopeless kid brother... response:	To be honest, it doesn't matter to me whether Kousei plays the piano or not.
context: I'm so going to make you play the piano!\You really like Arima-kun, don't you, Tsubaki-chan?\Well...\It's not quite like that. To me...\Kousei is...\Even though I'm an only child, it's like having a high-maintenance big sister.\He's like a hopeless kid brother...\To be honest, it doesn't matter to me whether Kousei plays the piano or not. response:	The thing is, though...
context: You really like Arima-kun, don't you, Tsubaki-chan?\Well...\It's not quite like that. To me...\Kousei is...\Even though I'm an only child, it's like having a high-maintenance big sister.\He's like a hopeless kid brother...\To be honest, it doesn't matter to me whether Kousei plays the piano or not.\The thing is, though... response:	If he's gonna quit, I want him to quit on his own terms. It hurts to see him like this.
context: Well...\It's not quite like that. To me...\Kousei is...\Even though I'm an only child, it's like having a high-maintenance big sister.\He's like a hopeless kid brother...\To be honest, it doesn't matter to me whether Kousei plays the piano or not.\The thing is, though...\If he's gonna quit, I want him to quit on his own terms. It hurts to see him like this. response:	Because right now, Kousei's only living his life halfway.
context: It's not quite like that. To me...\Kousei is...\Even though I'm an only child, it's like having a high-maintenance big sister.\He's like a hopeless kid brother...\To be honest, it doesn't matter to me whether Kousei plays the piano or not.\The thing is, though...\If he's gonna quit, I want him to quit on his own terms. It hurts to see him like this.\Because right now, Kousei's only living his life halfway. response:	Ever since that day...
context: Kousei is...\Even though I'm an only child, it's like having a high-maintenance big sister.\He's like a hopeless kid brother...\To be honest, it doesn't matter to me whether Kousei plays the piano or not.\The thing is, though...\If he's gonna quit, I want him to quit on his own terms. It hurts to see him like this.\Because right now, Kousei's only living his life halfway.\Ever since that day... response:	Ever since that day, Kousei's been trapped with nowhere to go.
context: Even though I'm an only child, it's like having a high-maintenance big sister.\He's like a hopeless kid brother...\To be honest, it doesn't matter to me whether Kousei plays the piano or not.\The thing is, though...\If he's gonna quit, I want him to quit on his own terms. It hurts to see him like this.\Because right now, Kousei's only living his life halfway.\Ever since that day...\Ever since that day, Kousei's been trapped with nowhere to go. response:	Time just stops, doesn't it?
context: He's like a hopeless kid brother...\To be honest, it doesn't matter to me whether Kousei plays the piano or not.\The thing is, though...\If he's gonna quit, I want him to quit on his own terms. It hurts to see him like this.\Because right now, Kousei's only living his life halfway.\Ever since that day...\Ever since that day, Kousei's been trapped with nowhere to go.\Time just stops, doesn't it? response:	So I want him to play the piano... Because I'm sure something will change if he does...
context: To be honest, it doesn't matter to me whether Kousei plays the piano or not.\The thing is, though...\If he's gonna quit, I want him to quit on his own terms. It hurts to see him like this.\Because right now, Kousei's only living his life halfway.\Ever since that day...\Ever since that day, Kousei's been trapped with nowhere to go.\Time just stops, doesn't it?\So I want him to play the piano... Because I'm sure something will change if he does... response:	Next stop,
context: The thing is, though...\If he's gonna quit, I want him to quit on his own terms. It hurts to see him like this.\Because right now, Kousei's only living his life halfway.\Ever since that day...\Ever since that day, Kousei's been trapped with nowhere to go.\Time just stops, doesn't it?\So I want him to play the piano... Because I'm sure something will change if he does...\Next stop, response:	Totsuhara University Hospital Entrance... Totsuhara University Hospital Entrance
context: If he's gonna quit, I want him to quit on his own terms. It hurts to see him like this.\Because right now, Kousei's only living his life halfway.\Ever since that day...\Ever since that day, Kousei's been trapped with nowhere to go.\Time just stops, doesn't it?\So I want him to play the piano... Because I'm sure something will change if he does...\Next stop,\Totsuhara University Hospital Entrance... Totsuhara University Hospital Entrance response:	Stop Requested
context: Because right now, Kousei's only living his life halfway.\Ever since that day...\Ever since that day, Kousei's been trapped with nowhere to go.\Time just stops, doesn't it?\So I want him to play the piano... Because I'm sure something will change if he does...\Next stop,\Totsuhara University Hospital Entrance... Totsuhara University Hospital Entrance\Stop Requested response:	We'll be making the next stop.
context: Ever since that day...\Ever since that day, Kousei's been trapped with nowhere to go.\Time just stops, doesn't it?\So I want him to play the piano... Because I'm sure something will change if he does...\Next stop,\Totsuhara University Hospital Entrance... Totsuhara University Hospital Entrance\Stop Requested\We'll be making the next stop. response:	We will now commence judging the second round of preliminaries for the Violin Competition.
context: Ever since that day, Kousei's been trapped with nowhere to go.\Time just stops, doesn't it?\So I want him to play the piano... Because I'm sure something will change if he does...\Next stop,\Totsuhara University Hospital Entrance... Totsuhara University Hospital Entrance\Stop Requested\We'll be making the next stop.\We will now commence judging the second round of preliminaries for the Violin Competition. response:	Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division
context: Time just stops, doesn't it?\So I want him to play the piano... Because I'm sure something will change if he does...\Next stop,\Totsuhara University Hospital Entrance... Totsuhara University Hospital Entrance\Stop Requested\We'll be making the next stop.\We will now commence judging the second round of preliminaries for the Violin Competition.\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division response:	Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division
context: So I want him to play the piano... Because I'm sure something will change if he does...\Next stop,\Totsuhara University Hospital Entrance... Totsuhara University Hospital Entrance\Stop Requested\We'll be making the next stop.\We will now commence judging the second round of preliminaries for the Violin Competition.\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division response:	Wh-What...
context: Next stop,\Totsuhara University Hospital Entrance... Totsuhara University Hospital Entrance\Stop Requested\We'll be making the next stop.\We will now commence judging the second round of preliminaries for the Violin Competition.\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Wh-What... response:	Isn't this the day of the prelims?
context: Totsuhara University Hospital Entrance... Totsuhara University Hospital Entrance\Stop Requested\We'll be making the next stop.\We will now commence judging the second round of preliminaries for the Violin Competition.\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Wh-What...\Isn't this the day of the prelims? response:	What do you think you're doing?
context: Stop Requested\We'll be making the next stop.\We will now commence judging the second round of preliminaries for the Violin Competition.\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Wh-What...\Isn't this the day of the prelims?\What do you think you're doing? response:	I came to pick you up!
context: We'll be making the next stop.\We will now commence judging the second round of preliminaries for the Violin Competition.\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Wh-What...\Isn't this the day of the prelims?\What do you think you're doing?\I came to pick you up! response:	Hiding out in a place like this! I looked all over for you, so let's get going!
context: We will now commence judging the second round of preliminaries for the Violin Competition.\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Wh-What...\Isn't this the day of the prelims?\What do you think you're doing?\I came to pick you up!\Hiding out in a place like this! I looked all over for you, so let's get going! response:	But I've been telling you all this time, I'm not gonna accompany you!
context: Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Wh-What...\Isn't this the day of the prelims?\What do you think you're doing?\I came to pick you up!\Hiding out in a place like this! I looked all over for you, so let's get going!\But I've been telling you all this time, I'm not gonna accompany you! response:	What's that?
context: Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Wh-What...\Isn't this the day of the prelims?\What do you think you're doing?\I came to pick you up!\Hiding out in a place like this! I looked all over for you, so let's get going!\But I've been telling you all this time, I'm not gonna accompany you!\What's that? response:	I mean, there are people who train to specialize in that. No way could I ever do it!
context: Wh-What...\Isn't this the day of the prelims?\What do you think you're doing?\I came to pick you up!\Hiding out in a place like this! I looked all over for you, so let's get going!\But I've been telling you all this time, I'm not gonna accompany you!\What's that?\I mean, there are people who train to specialize in that. No way could I ever do it! response:	And besides, even if we headed over right now,
context: Isn't this the day of the prelims?\What do you think you're doing?\I came to pick you up!\Hiding out in a place like this! I looked all over for you, so let's get going!\But I've been telling you all this time, I'm not gonna accompany you!\What's that?\I mean, there are people who train to specialize in that. No way could I ever do it!\And besides, even if we headed over right now, response:	I couldn't give a performance that I could live with...
context: What do you think you're doing?\I came to pick you up!\Hiding out in a place like this! I looked all over for you, so let's get going!\But I've been telling you all this time, I'm not gonna accompany you!\What's that?\I mean, there are people who train to specialize in that. No way could I ever do it!\And besides, even if we headed over right now,\I couldn't give a performance that I could live with... response:	I can't play the piano.
context: I came to pick you up!\Hiding out in a place like this! I looked all over for you, so let's get going!\But I've been telling you all this time, I'm not gonna accompany you!\What's that?\I mean, there are people who train to specialize in that. No way could I ever do it!\And besides, even if we headed over right now,\I couldn't give a performance that I could live with...\I can't play the piano. response:	Once again, I'm casting about for a reason.
context: Hiding out in a place like this! I looked all over for you, so let's get going!\But I've been telling you all this time, I'm not gonna accompany you!\What's that?\I mean, there are people who train to specialize in that. No way could I ever do it!\And besides, even if we headed over right now,\I couldn't give a performance that I could live with...\I can't play the piano.\Once again, I'm casting about for a reason. response:	So what are you saying?
context: But I've been telling you all this time, I'm not gonna accompany you!\What's that?\I mean, there are people who train to specialize in that. No way could I ever do it!\And besides, even if we headed over right now,\I couldn't give a performance that I could live with...\I can't play the piano.\Once again, I'm casting about for a reason.\So what are you saying? response:	It's not that you can't play. You just won't play.
context: What's that?\I mean, there are people who train to specialize in that. No way could I ever do it!\And besides, even if we headed over right now,\I couldn't give a performance that I could live with...\I can't play the piano.\Once again, I'm casting about for a reason.\So what are you saying?\It's not that you can't play. You just won't play. response:	I can't hear the sound of the piano...
context: I mean, there are people who train to specialize in that. No way could I ever do it!\And besides, even if we headed over right now,\I couldn't give a performance that I could live with...\I can't play the piano.\Once again, I'm casting about for a reason.\So what are you saying?\It's not that you can't play. You just won't play.\I can't hear the sound of the piano... response:	You're just using that as your excuse to run away.
context: And besides, even if we headed over right now,\I couldn't give a performance that I could live with...\I can't play the piano.\Once again, I'm casting about for a reason.\So what are you saying?\It's not that you can't play. You just won't play.\I can't hear the sound of the piano...\You're just using that as your excuse to run away. response:	It's like I'm at the bottom of a dark sea where I can't hear anything.
context: I couldn't give a performance that I could live with...\I can't play the piano.\Once again, I'm casting about for a reason.\So what are you saying?\It's not that you can't play. You just won't play.\I can't hear the sound of the piano...\You're just using that as your excuse to run away.\It's like I'm at the bottom of a dark sea where I can't hear anything. response:	There's no one here...
context: I can't play the piano.\Once again, I'm casting about for a reason.\So what are you saying?\It's not that you can't play. You just won't play.\I can't hear the sound of the piano...\You're just using that as your excuse to run away.\It's like I'm at the bottom of a dark sea where I can't hear anything.\There's no one here... response:	So dark... So dark...
context: Once again, I'm casting about for a reason.\So what are you saying?\It's not that you can't play. You just won't play.\I can't hear the sound of the piano...\You're just using that as your excuse to run away.\It's like I'm at the bottom of a dark sea where I can't hear anything.\There's no one here...\So dark... So dark... response:	Weren't you relieved the moment you stopped being able to hear?
context: So what are you saying?\It's not that you can't play. You just won't play.\I can't hear the sound of the piano...\You're just using that as your excuse to run away.\It's like I'm at the bottom of a dark sea where I can't hear anything.\There's no one here...\So dark... So dark...\Weren't you relieved the moment you stopped being able to hear? response:	You found yourself an excuse. An excuse not to ever appear onstage again.
context: It's not that you can't play. You just won't play.\I can't hear the sound of the piano...\You're just using that as your excuse to run away.\It's like I'm at the bottom of a dark sea where I can't hear anything.\There's no one here...\So dark... So dark...\Weren't you relieved the moment you stopped being able to hear?\You found yourself an excuse. An excuse not to ever appear onstage again. response:	After all, you're no Beethoven!
context: I can't hear the sound of the piano...\You're just using that as your excuse to run away.\It's like I'm at the bottom of a dark sea where I can't hear anything.\There's no one here...\So dark... So dark...\Weren't you relieved the moment you stopped being able to hear?\You found yourself an excuse. An excuse not to ever appear onstage again.\After all, you're no Beethoven! response:	Help me...
context: You're just using that as your excuse to run away.\It's like I'm at the bottom of a dark sea where I can't hear anything.\There's no one here...\So dark... So dark...\Weren't you relieved the moment you stopped being able to hear?\You found yourself an excuse. An excuse not to ever appear onstage again.\After all, you're no Beethoven!\Help me... response:	I can't hear anything!
context: It's like I'm at the bottom of a dark sea where I can't hear anything.\There's no one here...\So dark... So dark...\Weren't you relieved the moment you stopped being able to hear?\You found yourself an excuse. An excuse not to ever appear onstage again.\After all, you're no Beethoven!\Help me...\I can't hear anything! response:	Did his mind just go blank?
context: There's no one here...\So dark... So dark...\Weren't you relieved the moment you stopped being able to hear?\You found yourself an excuse. An excuse not to ever appear onstage again.\After all, you're no Beethoven!\Help me...\I can't hear anything!\Did his mind just go blank? response:	Why isn't he playing?
context: So dark... So dark...\Weren't you relieved the moment you stopped being able to hear?\You found yourself an excuse. An excuse not to ever appear onstage again.\After all, you're no Beethoven!\Help me...\I can't hear anything!\Did his mind just go blank?\Why isn't he playing? response:	Did he forget how to play?
context: Weren't you relieved the moment you stopped being able to hear?\You found yourself an excuse. An excuse not to ever appear onstage again.\After all, you're no Beethoven!\Help me...\I can't hear anything!\Did his mind just go blank?\Why isn't he playing?\Did he forget how to play? response:	Weird kid.
context: You found yourself an excuse. An excuse not to ever appear onstage again.\After all, you're no Beethoven!\Help me...\I can't hear anything!\Did his mind just go blank?\Why isn't he playing?\Did he forget how to play?\Weird kid. response:	I've never seen this happen before.
context: After all, you're no Beethoven!\Help me...\I can't hear anything!\Did his mind just go blank?\Why isn't he playing?\Did he forget how to play?\Weird kid.\I've never seen this happen before. response:	Someone...
context: Help me...\I can't hear anything!\Did his mind just go blank?\Why isn't he playing?\Did he forget how to play?\Weird kid.\I've never seen this happen before.\Someone... response:	Arima's self-destructed!
context: I can't hear anything!\Did his mind just go blank?\Why isn't he playing?\Did he forget how to play?\Weird kid.\I've never seen this happen before.\Someone...\Arima's self-destructed! response:	It's over.
