context: All these altercations in only two days... response:	It's too many to be a coincidence.
context: Urgent\These, too.\On it.\I may be wrong, but...\If that's true...\If he's counting on me, even a little...\I'm...\Minori, I'm sorry, but I also have these. response:	Are these all claim checks for luggage?
context: These, too.\On it.\I may be wrong, but...\If that's true...\If he's counting on me, even a little...\I'm...\Minori, I'm sorry, but I also have these.\Are these all claim checks for luggage? response:	Yeah...
context: On it.\I may be wrong, but...\If that's true...\If he's counting on me, even a little...\I'm...\Minori, I'm sorry, but I also have these.\Are these all claim checks for luggage?\Yeah... response:	We just keep getting more and more work.
context: I may be wrong, but...\If that's true...\If he's counting on me, even a little...\I'm...\Minori, I'm sorry, but I also have these.\Are these all claim checks for luggage?\Yeah...\We just keep getting more and more work. response:	The real show's just about to start...
context: If that's true...\If he's counting on me, even a little...\I'm...\Minori, I'm sorry, but I also have these.\Are these all claim checks for luggage?\Yeah...\We just keep getting more and more work.\The real show's just about to start... response:	All right. I'll defend our rear line to the death.
context: If he's counting on me, even a little...\I'm...\Minori, I'm sorry, but I also have these.\Are these all claim checks for luggage?\Yeah...\We just keep getting more and more work.\The real show's just about to start...\All right. I'll defend our rear line to the death. response:	Shiroe taught me how to fight.
context: I'm...\Minori, I'm sorry, but I also have these.\Are these all claim checks for luggage?\Yeah...\We just keep getting more and more work.\The real show's just about to start...\All right. I'll defend our rear line to the death.\Shiroe taught me how to fight. response:	Formation, operator, field monitor, patrol file.
context: Minori, I'm sorry, but I also have these.\Are these all claim checks for luggage?\Yeah...\We just keep getting more and more work.\The real show's just about to start...\All right. I'll defend our rear line to the death.\Shiroe taught me how to fight.\Formation, operator, field monitor, patrol file. response:	What's the first thing the front line should do?
context: Are these all claim checks for luggage?\Yeah...\We just keep getting more and more work.\The real show's just about to start...\All right. I'll defend our rear line to the death.\Shiroe taught me how to fight.\Formation, operator, field monitor, patrol file.\What's the first thing the front line should do? response:	What about the healer?
context: Yeah...\We just keep getting more and more work.\The real show's just about to start...\All right. I'll defend our rear line to the death.\Shiroe taught me how to fight.\Formation, operator, field monitor, patrol file.\What's the first thing the front line should do?\What about the healer? response:	What about the rear line?
context: We just keep getting more and more work.\The real show's just about to start...\All right. I'll defend our rear line to the death.\Shiroe taught me how to fight.\Formation, operator, field monitor, patrol file.\What's the first thing the front line should do?\What about the healer?\What about the rear line? response:	Um... This is it, right?
context: The real show's just about to start...\All right. I'll defend our rear line to the death.\Shiroe taught me how to fight.\Formation, operator, field monitor, patrol file.\What's the first thing the front line should do?\What about the healer?\What about the rear line?\Um... This is it, right? response:	I'm with the council.
context: All right. I'll defend our rear line to the death.\Shiroe taught me how to fight.\Formation, operator, field monitor, patrol file.\What's the first thing the front line should do?\What about the healer?\What about the rear line?\Um... This is it, right?\I'm with the council. response:	I've come to pick up the claim checks.
context: Shiroe taught me how to fight.\Formation, operator, field monitor, patrol file.\What's the first thing the front line should do?\What about the healer?\What about the rear line?\Um... This is it, right?\I'm with the council.\I've come to pick up the claim checks. response:	We're customers, you know!
context: Formation, operator, field monitor, patrol file.\What's the first thing the front line should do?\What about the healer?\What about the rear line?\Um... This is it, right?\I'm with the council.\I've come to pick up the claim checks.\We're customers, you know! response:	This is bad... Seriously, it's a battlefield.
context: What's the first thing the front line should do?\What about the healer?\What about the rear line?\Um... This is it, right?\I'm with the council.\I've come to pick up the claim checks.\We're customers, you know!\This is bad... Seriously, it's a battlefield. response:	How long do we have to wait?
context: What about the healer?\What about the rear line?\Um... This is it, right?\I'm with the council.\I've come to pick up the claim checks.\We're customers, you know!\This is bad... Seriously, it's a battlefield.\How long do we have to wait? response:	Those at the warehouse desk, fielding a slew of complaints...
context: What about the rear line?\Um... This is it, right?\I'm with the council.\I've come to pick up the claim checks.\We're customers, you know!\This is bad... Seriously, it's a battlefield.\How long do we have to wait?\Those at the warehouse desk, fielding a slew of complaints... response:	One at a time!
context: Um... This is it, right?\I'm with the council.\I've come to pick up the claim checks.\We're customers, you know!\This is bad... Seriously, it's a battlefield.\How long do we have to wait?\Those at the warehouse desk, fielding a slew of complaints...\One at a time! response:	This is a food service business!
context: I'm with the council.\I've come to pick up the claim checks.\We're customers, you know!\This is bad... Seriously, it's a battlefield.\How long do we have to wait?\Those at the warehouse desk, fielding a slew of complaints...\One at a time!\This is a food service business! response:	Stay in line!
context: I've come to pick up the claim checks.\We're customers, you know!\This is bad... Seriously, it's a battlefield.\How long do we have to wait?\Those at the warehouse desk, fielding a slew of complaints...\One at a time!\This is a food service business!\Stay in line! response:	They're the front line.
context: We're customers, you know!\This is bad... Seriously, it's a battlefield.\How long do we have to wait?\Those at the warehouse desk, fielding a slew of complaints...\One at a time!\This is a food service business!\Stay in line!\They're the front line. response:	Right.
context: This is bad... Seriously, it's a battlefield.\How long do we have to wait?\Those at the warehouse desk, fielding a slew of complaints...\One at a time!\This is a food service business!\Stay in line!\They're the front line.\Right. response:	The basement of warehouse 3.
context: How long do we have to wait?\Those at the warehouse desk, fielding a slew of complaints...\One at a time!\This is a food service business!\Stay in line!\They're the front line.\Right.\The basement of warehouse 3. response:	Really?
context: Those at the warehouse desk, fielding a slew of complaints...\One at a time!\This is a food service business!\Stay in line!\They're the front line.\Right.\The basement of warehouse 3.\Really? response:	Okay, thanks.
context: One at a time!\This is a food service business!\Stay in line!\They're the front line.\Right.\The basement of warehouse 3.\Really?\Okay, thanks. response:	I'll send you the vouchers.
context: This is a food service business!\Stay in line!\They're the front line.\Right.\The basement of warehouse 3.\Really?\Okay, thanks.\I'll send you the vouchers. response:	And Karashin and his friends are healers, dealing with the problems
context: Stay in line!\They're the front line.\Right.\The basement of warehouse 3.\Really?\Okay, thanks.\I'll send you the vouchers.\And Karashin and his friends are healers, dealing with the problems response:	Oh, also, sorry to ask you for more, but...
context: They're the front line.\Right.\The basement of warehouse 3.\Really?\Okay, thanks.\I'll send you the vouchers.\And Karashin and his friends are healers, dealing with the problems\Oh, also, sorry to ask you for more, but... response:	the others can't handle.
context: Right.\The basement of warehouse 3.\Really?\Okay, thanks.\I'll send you the vouchers.\And Karashin and his friends are healers, dealing with the problems\Oh, also, sorry to ask you for more, but...\the others can't handle. response:	As the rear line, I need to support them all as much as I can.
context: The basement of warehouse 3.\Really?\Okay, thanks.\I'll send you the vouchers.\And Karashin and his friends are healers, dealing with the problems\Oh, also, sorry to ask you for more, but...\the others can't handle.\As the rear line, I need to support them all as much as I can. response:	Sorry.
context: Really?\Okay, thanks.\I'll send you the vouchers.\And Karashin and his friends are healers, dealing with the problems\Oh, also, sorry to ask you for more, but...\the others can't handle.\As the rear line, I need to support them all as much as I can.\Sorry. response:	Don't sorry me! Those took forever to organize!
context: Okay, thanks.\I'll send you the vouchers.\And Karashin and his friends are healers, dealing with the problems\Oh, also, sorry to ask you for more, but...\the others can't handle.\As the rear line, I need to support them all as much as I can.\Sorry.\Don't sorry me! Those took forever to organize! response:	What's with you?
context: I'll send you the vouchers.\And Karashin and his friends are healers, dealing with the problems\Oh, also, sorry to ask you for more, but...\the others can't handle.\As the rear line, I need to support them all as much as I can.\Sorry.\Don't sorry me! Those took forever to organize!\What's with you? response:	What's with you?!
context: And Karashin and his friends are healers, dealing with the problems\Oh, also, sorry to ask you for more, but...\the others can't handle.\As the rear line, I need to support them all as much as I can.\Sorry.\Don't sorry me! Those took forever to organize!\What's with you?\What's with you?! response:	Now, now, now...
context: Oh, also, sorry to ask you for more, but...\the others can't handle.\As the rear line, I need to support them all as much as I can.\Sorry.\Don't sorry me! Those took forever to organize!\What's with you?\What's with you?!\Now, now, now... response:	It's all right.
context: the others can't handle.\As the rear line, I need to support them all as much as I can.\Sorry.\Don't sorry me! Those took forever to organize!\What's with you?\What's with you?!\Now, now, now...\It's all right. response:	Complaints
context: As the rear line, I need to support them all as much as I can.\Sorry.\Don't sorry me! Those took forever to organize!\What's with you?\What's with you?!\Now, now, now...\It's all right.\Complaints response:	Accidents aren't scary.
context: Sorry.\Don't sorry me! Those took forever to organize!\What's with you?\What's with you?!\Now, now, now...\It's all right.\Complaints\Accidents aren't scary. response:	What's scary is getting angry.
context: Don't sorry me! Those took forever to organize!\What's with you?\What's with you?!\Now, now, now...\It's all right.\Complaints\Accidents aren't scary.\What's scary is getting angry. response:	What's scary is stopping the flow.
context: What's with you?\What's with you?!\Now, now, now...\It's all right.\Complaints\Accidents aren't scary.\What's scary is getting angry.\What's scary is stopping the flow. response:	The flow?
context: What's with you?!\Now, now, now...\It's all right.\Complaints\Accidents aren't scary.\What's scary is getting angry.\What's scary is stopping the flow.\The flow? response:	I'm sorry, it's something Shiroe told me.
context: Now, now, now...\It's all right.\Complaints\Accidents aren't scary.\What's scary is getting angry.\What's scary is stopping the flow.\The flow?\I'm sorry, it's something Shiroe told me. response:	The flow of battle isn't something you read.
context: It's all right.\Complaints\Accidents aren't scary.\What's scary is getting angry.\What's scary is stopping the flow.\The flow?\I'm sorry, it's something Shiroe told me.\The flow of battle isn't something you read. response:	You must become the flow.
context: Complaints\Accidents aren't scary.\What's scary is getting angry.\What's scary is stopping the flow.\The flow?\I'm sorry, it's something Shiroe told me.\The flow of battle isn't something you read.\You must become the flow. response:	I see...
context: Accidents aren't scary.\What's scary is getting angry.\What's scary is stopping the flow.\The flow?\I'm sorry, it's something Shiroe told me.\The flow of battle isn't something you read.\You must become the flow.\I see... response:	That's reassuring.
context: What's scary is getting angry.\What's scary is stopping the flow.\The flow?\I'm sorry, it's something Shiroe told me.\The flow of battle isn't something you read.\You must become the flow.\I see...\That's reassuring. response:	It's like Shiroe himself is here.
context: What's scary is stopping the flow.\The flow?\I'm sorry, it's something Shiroe told me.\The flow of battle isn't something you read.\You must become the flow.\I see...\That's reassuring.\It's like Shiroe himself is here. response:	Not at all...
context: The flow?\I'm sorry, it's something Shiroe told me.\The flow of battle isn't something you read.\You must become the flow.\I see...\That's reassuring.\It's like Shiroe himself is here.\Not at all... response:	Okay, let's keep at it.
context: I'm sorry, it's something Shiroe told me.\The flow of battle isn't something you read.\You must become the flow.\I see...\That's reassuring.\It's like Shiroe himself is here.\Not at all...\Okay, let's keep at it. response:	Let's become the flow!
context: The flow of battle isn't something you read.\You must become the flow.\I see...\That's reassuring.\It's like Shiroe himself is here.\Not at all...\Okay, let's keep at it.\Let's become the flow! response:	Yeah!
context: You must become the flow.\I see...\That's reassuring.\It's like Shiroe himself is here.\Not at all...\Okay, let's keep at it.\Let's become the flow!\Yeah! response:	I've learned so much, and gained so much, from Shiroe.
context: I see...\That's reassuring.\It's like Shiroe himself is here.\Not at all...\Okay, let's keep at it.\Let's become the flow!\Yeah!\I've learned so much, and gained so much, from Shiroe. response:	But someday,
context: That's reassuring.\It's like Shiroe himself is here.\Not at all...\Okay, let's keep at it.\Let's become the flow!\Yeah!\I've learned so much, and gained so much, from Shiroe.\But someday, response:	I want to be able to give something to him.
context: It's like Shiroe himself is here.\Not at all...\Okay, let's keep at it.\Let's become the flow!\Yeah!\I've learned so much, and gained so much, from Shiroe.\But someday,\I want to be able to give something to him. response:	What?
context: Not at all...\Okay, let's keep at it.\Let's become the flow!\Yeah!\I've learned so much, and gained so much, from Shiroe.\But someday,\I want to be able to give something to him.\What? response:	This pot is a good pot? I don't get it.
context: Okay, let's keep at it.\Let's become the flow!\Yeah!\I've learned so much, and gained so much, from Shiroe.\But someday,\I want to be able to give something to him.\What?\This pot is a good pot? I don't get it. response:	Yes, the west side of the Cathedral.
context: Let's become the flow!\Yeah!\I've learned so much, and gained so much, from Shiroe.\But someday,\I want to be able to give something to him.\What?\This pot is a good pot? I don't get it.\Yes, the west side of the Cathedral. response:	What is this?
context: Yeah!\I've learned so much, and gained so much, from Shiroe.\But someday,\I want to be able to give something to him.\What?\This pot is a good pot? I don't get it.\Yes, the west side of the Cathedral.\What is this? response:	They're repeatedly attacking areas that have no strategic value...
context: I've learned so much, and gained so much, from Shiroe.\But someday,\I want to be able to give something to him.\What?\This pot is a good pot? I don't get it.\Yes, the west side of the Cathedral.\What is this?\They're repeatedly attacking areas that have no strategic value... response:	What's going on?
context: But someday,\I want to be able to give something to him.\What?\This pot is a good pot? I don't get it.\Yes, the west side of the Cathedral.\What is this?\They're repeatedly attacking areas that have no strategic value...\What's going on? response:	Shiroe?
context: I want to be able to give something to him.\What?\This pot is a good pot? I don't get it.\Yes, the west side of the Cathedral.\What is this?\They're repeatedly attacking areas that have no strategic value...\What's going on?\Shiroe? response:	Another carriage has thrown a wheel, and is blocking a road.
context: What?\This pot is a good pot? I don't get it.\Yes, the west side of the Cathedral.\What is this?\They're repeatedly attacking areas that have no strategic value...\What's going on?\Shiroe?\Another carriage has thrown a wheel, and is blocking a road. response:	I heard you.
context: This pot is a good pot? I don't get it.\Yes, the west side of the Cathedral.\What is this?\They're repeatedly attacking areas that have no strategic value...\What's going on?\Shiroe?\Another carriage has thrown a wheel, and is blocking a road.\I heard you. response:	The west side of the Cathedral?
context: Yes, the west side of the Cathedral.\What is this?\They're repeatedly attacking areas that have no strategic value...\What's going on?\Shiroe?\Another carriage has thrown a wheel, and is blocking a road.\I heard you.\The west side of the Cathedral? response:	That doesn't make sense, either...
context: What is this?\They're repeatedly attacking areas that have no strategic value...\What's going on?\Shiroe?\Another carriage has thrown a wheel, and is blocking a road.\I heard you.\The west side of the Cathedral?\That doesn't make sense, either... response:	Even if they close this path, there are plenty of ways around.
context: They're repeatedly attacking areas that have no strategic value...\What's going on?\Shiroe?\Another carriage has thrown a wheel, and is blocking a road.\I heard you.\The west side of the Cathedral?\That doesn't make sense, either...\Even if they close this path, there are plenty of ways around. response:	If they wanted to stop traffic...
context: What's going on?\Shiroe?\Another carriage has thrown a wheel, and is blocking a road.\I heard you.\The west side of the Cathedral?\That doesn't make sense, either...\Even if they close this path, there are plenty of ways around.\If they wanted to stop traffic... response:	There isn't any real point to it.
context: Shiroe?\Another carriage has thrown a wheel, and is blocking a road.\I heard you.\The west side of the Cathedral?\That doesn't make sense, either...\Even if they close this path, there are plenty of ways around.\If they wanted to stop traffic...\There isn't any real point to it. response:	There's something more to this.
context: Another carriage has thrown a wheel, and is blocking a road.\I heard you.\The west side of the Cathedral?\That doesn't make sense, either...\Even if they close this path, there are plenty of ways around.\If they wanted to stop traffic...\There isn't any real point to it.\There's something more to this. response:	That's the obvious conclusion, but...
context: I heard you.\The west side of the Cathedral?\That doesn't make sense, either...\Even if they close this path, there are plenty of ways around.\If they wanted to stop traffic...\There isn't any real point to it.\There's something more to this.\That's the obvious conclusion, but... response:	So, see, the Round Table is
context: The west side of the Cathedral?\That doesn't make sense, either...\Even if they close this path, there are plenty of ways around.\If they wanted to stop traffic...\There isn't any real point to it.\There's something more to this.\That's the obvious conclusion, but...\So, see, the Round Table is response:	illegally making off with most of the festival profits.
context: That doesn't make sense, either...\Even if they close this path, there are plenty of ways around.\If they wanted to stop traffic...\There isn't any real point to it.\There's something more to this.\That's the obvious conclusion, but...\So, see, the Round Table is\illegally making off with most of the festival profits. response:	What were you saying about our Round Table?
context: Even if they close this path, there are plenty of ways around.\If they wanted to stop traffic...\There isn't any real point to it.\There's something more to this.\That's the obvious conclusion, but...\So, see, the Round Table is\illegally making off with most of the festival profits.\What were you saying about our Round Table? response:	Nothing...
context: If they wanted to stop traffic...\There isn't any real point to it.\There's something more to this.\That's the obvious conclusion, but...\So, see, the Round Table is\illegally making off with most of the festival profits.\What were you saying about our Round Table?\Nothing... response:	I see...
context: There isn't any real point to it.\There's something more to this.\That's the obvious conclusion, but...\So, see, the Round Table is\illegally making off with most of the festival profits.\What were you saying about our Round Table?\Nothing...\I see... response:	Seems they're definitely after the Round Table.
context: There's something more to this.\That's the obvious conclusion, but...\So, see, the Round Table is\illegally making off with most of the festival profits.\What were you saying about our Round Table?\Nothing...\I see...\Seems they're definitely after the Round Table. response:	What will you do, villain?
context: That's the obvious conclusion, but...\So, see, the Round Table is\illegally making off with most of the festival profits.\What were you saying about our Round Table?\Nothing...\I see...\Seems they're definitely after the Round Table.\What will you do, villain? response:	Things are quite confused here, as well.
context: So, see, the Round Table is\illegally making off with most of the festival profits.\What were you saying about our Round Table?\Nothing...\I see...\Seems they're definitely after the Round Table.\What will you do, villain?\Things are quite confused here, as well. response:	Clearly, we don't have the right number of personnel here.
context: illegally making off with most of the festival profits.\What were you saying about our Round Table?\Nothing...\I see...\Seems they're definitely after the Round Table.\What will you do, villain?\Things are quite confused here, as well.\Clearly, we don't have the right number of personnel here. response:	Really?
context: What were you saying about our Round Table?\Nothing...\I see...\Seems they're definitely after the Round Table.\What will you do, villain?\Things are quite confused here, as well.\Clearly, we don't have the right number of personnel here.\Really? response:	I expected things to be a mess there,
context: Nothing...\I see...\Seems they're definitely after the Round Table.\What will you do, villain?\Things are quite confused here, as well.\Clearly, we don't have the right number of personnel here.\Really?\I expected things to be a mess there, response:	so I sent a pretty fair number.
context: I see...\Seems they're definitely after the Round Table.\What will you do, villain?\Things are quite confused here, as well.\Clearly, we don't have the right number of personnel here.\Really?\I expected things to be a mess there,\so I sent a pretty fair number. response:	It's taking too long to resolve each individual incident.
context: Seems they're definitely after the Round Table.\What will you do, villain?\Things are quite confused here, as well.\Clearly, we don't have the right number of personnel here.\Really?\I expected things to be a mess there,\so I sent a pretty fair number.\It's taking too long to resolve each individual incident. response:	In some cases, several people are being tied up
context: What will you do, villain?\Things are quite confused here, as well.\Clearly, we don't have the right number of personnel here.\Really?\I expected things to be a mess there,\so I sent a pretty fair number.\It's taking too long to resolve each individual incident.\In some cases, several people are being tied up response:	by a single People of the Land merchant for an entire hour.
context: Things are quite confused here, as well.\Clearly, we don't have the right number of personnel here.\Really?\I expected things to be a mess there,\so I sent a pretty fair number.\It's taking too long to resolve each individual incident.\In some cases, several people are being tied up\by a single People of the Land merchant for an entire hour. response:	And there are many problems that they aren't suited to solving.
context: Clearly, we don't have the right number of personnel here.\Really?\I expected things to be a mess there,\so I sent a pretty fair number.\It's taking too long to resolve each individual incident.\In some cases, several people are being tied up\by a single People of the Land merchant for an entire hour.\And there are many problems that they aren't suited to solving. response:	I apologized, didn't I?
context: Really?\I expected things to be a mess there,\so I sent a pretty fair number.\It's taking too long to resolve each individual incident.\In some cases, several people are being tied up\by a single People of the Land merchant for an entire hour.\And there are many problems that they aren't suited to solving.\I apologized, didn't I? response:	You call that an apology?
context: I expected things to be a mess there,\so I sent a pretty fair number.\It's taking too long to resolve each individual incident.\In some cases, several people are being tied up\by a single People of the Land merchant for an entire hour.\And there are many problems that they aren't suited to solving.\I apologized, didn't I?\You call that an apology? response:	Oh...
context: so I sent a pretty fair number.\It's taking too long to resolve each individual incident.\In some cases, several people are being tied up\by a single People of the Land merchant for an entire hour.\And there are many problems that they aren't suited to solving.\I apologized, didn't I?\You call that an apology?\Oh... response:	Domestic quarrels, huh?
context: It's taking too long to resolve each individual incident.\In some cases, several people are being tied up\by a single People of the Land merchant for an entire hour.\And there are many problems that they aren't suited to solving.\I apologized, didn't I?\You call that an apology?\Oh...\Domestic quarrels, huh? response:	With all of these couples around, I expected some.
context: In some cases, several people are being tied up\by a single People of the Land merchant for an entire hour.\And there are many problems that they aren't suited to solving.\I apologized, didn't I?\You call that an apology?\Oh...\Domestic quarrels, huh?\With all of these couples around, I expected some. response:	But there are far too many.
context: by a single People of the Land merchant for an entire hour.\And there are many problems that they aren't suited to solving.\I apologized, didn't I?\You call that an apology?\Oh...\Domestic quarrels, huh?\With all of these couples around, I expected some.\But there are far too many. response:	And this isn't something that, well...
context: And there are many problems that they aren't suited to solving.\I apologized, didn't I?\You call that an apology?\Oh...\Domestic quarrels, huh?\With all of these couples around, I expected some.\But there are far too many.\And this isn't something that, well... response:	That adventurers are really good at handling, right?
context: I apologized, didn't I?\You call that an apology?\Oh...\Domestic quarrels, huh?\With all of these couples around, I expected some.\But there are far too many.\And this isn't something that, well...\That adventurers are really good at handling, right? response:	True.
context: You call that an apology?\Oh...\Domestic quarrels, huh?\With all of these couples around, I expected some.\But there are far too many.\And this isn't something that, well...\That adventurers are really good at handling, right?\True. response:	But what do you think?
context: Oh...\Domestic quarrels, huh?\With all of these couples around, I expected some.\But there are far too many.\And this isn't something that, well...\That adventurers are really good at handling, right?\True.\But what do you think? response:	Is that part of the attack?
context: Domestic quarrels, huh?\With all of these couples around, I expected some.\But there are far too many.\And this isn't something that, well...\That adventurers are really good at handling, right?\True.\But what do you think?\Is that part of the attack? response:	Meow?
context: With all of these couples around, I expected some.\But there are far too many.\And this isn't something that, well...\That adventurers are really good at handling, right?\True.\But what do you think?\Is that part of the attack?\Meow? response:	That's rare for you, Shiroe.
context: But there are far too many.\And this isn't something that, well...\That adventurers are really good at handling, right?\True.\But what do you think?\Is that part of the attack?\Meow?\That's rare for you, Shiroe. response:	You seem uncertain.
context: And this isn't something that, well...\That adventurers are really good at handling, right?\True.\But what do you think?\Is that part of the attack?\Meow?\That's rare for you, Shiroe.\You seem uncertain. response:	Yeah.
context: That adventurers are really good at handling, right?\True.\But what do you think?\Is that part of the attack?\Meow?\That's rare for you, Shiroe.\You seem uncertain.\Yeah. response:	Anything you don't know,
context: True.\But what do you think?\Is that part of the attack?\Meow?\That's rare for you, Shiroe.\You seem uncertain.\Yeah.\Anything you don't know, response:	I'm not going to know...
context: But what do you think?\Is that part of the attack?\Meow?\That's rare for you, Shiroe.\You seem uncertain.\Yeah.\Anything you don't know,\I'm not going to know... response:	But I don't see any unified purpose to their actions.
context: Is that part of the attack?\Meow?\That's rare for you, Shiroe.\You seem uncertain.\Yeah.\Anything you don't know,\I'm not going to know...\But I don't see any unified purpose to their actions. response:	Why?
context: Meow?\That's rare for you, Shiroe.\You seem uncertain.\Yeah.\Anything you don't know,\I'm not going to know...\But I don't see any unified purpose to their actions.\Why? response:	The more I think, the less clearly I can visualize the enemy.
context: That's rare for you, Shiroe.\You seem uncertain.\Yeah.\Anything you don't know,\I'm not going to know...\But I don't see any unified purpose to their actions.\Why?\The more I think, the less clearly I can visualize the enemy. response:	Find it. There has to be some rule to this.
context: You seem uncertain.\Yeah.\Anything you don't know,\I'm not going to know...\But I don't see any unified purpose to their actions.\Why?\The more I think, the less clearly I can visualize the enemy.\Find it. There has to be some rule to this. response:	Find it...
context: Yeah.\Anything you don't know,\I'm not going to know...\But I don't see any unified purpose to their actions.\Why?\The more I think, the less clearly I can visualize the enemy.\Find it. There has to be some rule to this.\Find it... response:	There must be some intent behind this randomness.
context: Anything you don't know,\I'm not going to know...\But I don't see any unified purpose to their actions.\Why?\The more I think, the less clearly I can visualize the enemy.\Find it. There has to be some rule to this.\Find it...\There must be some intent behind this randomness. response:	Shutting down traffic,
context: I'm not going to know...\But I don't see any unified purpose to their actions.\Why?\The more I think, the less clearly I can visualize the enemy.\Find it. There has to be some rule to this.\Find it...\There must be some intent behind this randomness.\Shutting down traffic, response:	spreading rumors and starting quarrels,
context: But I don't see any unified purpose to their actions.\Why?\The more I think, the less clearly I can visualize the enemy.\Find it. There has to be some rule to this.\Find it...\There must be some intent behind this randomness.\Shutting down traffic,\spreading rumors and starting quarrels, response:	deliberately submitting bad paperwork,
context: Why?\The more I think, the less clearly I can visualize the enemy.\Find it. There has to be some rule to this.\Find it...\There must be some intent behind this randomness.\Shutting down traffic,\spreading rumors and starting quarrels,\deliberately submitting bad paperwork, response:	minor tax fraud,
context: The more I think, the less clearly I can visualize the enemy.\Find it. There has to be some rule to this.\Find it...\There must be some intent behind this randomness.\Shutting down traffic,\spreading rumors and starting quarrels,\deliberately submitting bad paperwork,\minor tax fraud, response:	trying to bribe us,
context: Find it. There has to be some rule to this.\Find it...\There must be some intent behind this randomness.\Shutting down traffic,\spreading rumors and starting quarrels,\deliberately submitting bad paperwork,\minor tax fraud,\trying to bribe us, response:	tying up staff with complaints about everything...
context: Find it...\There must be some intent behind this randomness.\Shutting down traffic,\spreading rumors and starting quarrels,\deliberately submitting bad paperwork,\minor tax fraud,\trying to bribe us,\tying up staff with complaints about everything... response:	A multi-layered attack?
context: There must be some intent behind this randomness.\Shutting down traffic,\spreading rumors and starting quarrels,\deliberately submitting bad paperwork,\minor tax fraud,\trying to bribe us,\tying up staff with complaints about everything...\A multi-layered attack? response:	Or making it up as they go?
context: Shutting down traffic,\spreading rumors and starting quarrels,\deliberately submitting bad paperwork,\minor tax fraud,\trying to bribe us,\tying up staff with complaints about everything...\A multi-layered attack?\Or making it up as they go? response:	No way.
context: spreading rumors and starting quarrels,\deliberately submitting bad paperwork,\minor tax fraud,\trying to bribe us,\tying up staff with complaints about everything...\A multi-layered attack?\Or making it up as they go?\No way. response:	What are they thinking?
context: deliberately submitting bad paperwork,\minor tax fraud,\trying to bribe us,\tying up staff with complaints about everything...\A multi-layered attack?\Or making it up as they go?\No way.\What are they thinking? response:	Shiroe!
context: minor tax fraud,\trying to bribe us,\tying up staff with complaints about everything...\A multi-layered attack?\Or making it up as they go?\No way.\What are they thinking?\Shiroe! response:	The Marine Agency received a large number of pizzas they didn't order!
context: trying to bribe us,\tying up staff with complaints about everything...\A multi-layered attack?\Or making it up as they go?\No way.\What are they thinking?\Shiroe!\The Marine Agency received a large number of pizzas they didn't order! response:	My lord!
context: tying up staff with complaints about everything...\A multi-layered attack?\Or making it up as they go?\No way.\What are they thinking?\Shiroe!\The Marine Agency received a large number of pizzas they didn't order!\My lord! response:	The cockroaches at Eat-'Til-You-Drop Alley were actually made of rubber!
context: A multi-layered attack?\Or making it up as they go?\No way.\What are they thinking?\Shiroe!\The Marine Agency received a large number of pizzas they didn't order!\My lord!\The cockroaches at Eat-'Til-You-Drop Alley were actually made of rubber! response:	Pizza? Cockroaches?
context: Or making it up as they go?\No way.\What are they thinking?\Shiroe!\The Marine Agency received a large number of pizzas they didn't order!\My lord!\The cockroaches at Eat-'Til-You-Drop Alley were actually made of rubber!\Pizza? Cockroaches? response:	That's just stupid...
context: No way.\What are they thinking?\Shiroe!\The Marine Agency received a large number of pizzas they didn't order!\My lord!\The cockroaches at Eat-'Til-You-Drop Alley were actually made of rubber!\Pizza? Cockroaches?\That's just stupid... response:	Shiroe?
context: What are they thinking?\Shiroe!\The Marine Agency received a large number of pizzas they didn't order!\My lord!\The cockroaches at Eat-'Til-You-Drop Alley were actually made of rubber!\Pizza? Cockroaches?\That's just stupid...\Shiroe? response:	That's just too stupid.
context: Shiroe!\The Marine Agency received a large number of pizzas they didn't order!\My lord!\The cockroaches at Eat-'Til-You-Drop Alley were actually made of rubber!\Pizza? Cockroaches?\That's just stupid...\Shiroe?\That's just too stupid. response:	They don't have anything in mind.
context: The Marine Agency received a large number of pizzas they didn't order!\My lord!\The cockroaches at Eat-'Til-You-Drop Alley were actually made of rubber!\Pizza? Cockroaches?\That's just stupid...\Shiroe?\That's just too stupid.\They don't have anything in mind. response:	They're not thinking about anything at all.
context: My lord!\The cockroaches at Eat-'Til-You-Drop Alley were actually made of rubber!\Pizza? Cockroaches?\That's just stupid...\Shiroe?\That's just too stupid.\They don't have anything in mind.\They're not thinking about anything at all. response:	Each of their attacks is improvised.
context: The cockroaches at Eat-'Til-You-Drop Alley were actually made of rubber!\Pizza? Cockroaches?\That's just stupid...\Shiroe?\That's just too stupid.\They don't have anything in mind.\They're not thinking about anything at all.\Each of their attacks is improvised. response:	Everything's invented on the spot...
context: Pizza? Cockroaches?\That's just stupid...\Shiroe?\That's just too stupid.\They don't have anything in mind.\They're not thinking about anything at all.\Each of their attacks is improvised.\Everything's invented on the spot... response:	No matter how much we stress over this, it's pointless!
context: That's just stupid...\Shiroe?\That's just too stupid.\They don't have anything in mind.\They're not thinking about anything at all.\Each of their attacks is improvised.\Everything's invented on the spot...\No matter how much we stress over this, it's pointless! response:	Enemies like these...
