context: Grand Prix Final Final Competition response:	Barcelona, Spain
context: You've barely even landed that jump cleanly in practice.\Yeah.\But I still have time to improve the execution.\Finding out how far I can push my limits to win\will motivate me to fight through the Final!\Don't you want to see it, Victor?\To see me land a quadruple flip with a +3 GOE?\I do! response:	Right?
context: Yeah.\But I still have time to improve the execution.\Finding out how far I can push my limits to win\will motivate me to fight through the Final!\Don't you want to see it, Victor?\To see me land a quadruple flip with a +3 GOE?\I do!\Right? response:	Since then, I've focused practice time on the quadruple flip,
context: But I still have time to improve the execution.\Finding out how far I can push my limits to win\will motivate me to fight through the Final!\Don't you want to see it, Victor?\To see me land a quadruple flip with a +3 GOE?\I do!\Right?\Since then, I've focused practice time on the quadruple flip, response:	but my success rate is still low.
context: Finding out how far I can push my limits to win\will motivate me to fight through the Final!\Don't you want to see it, Victor?\To see me land a quadruple flip with a +3 GOE?\I do!\Right?\Since then, I've focused practice time on the quadruple flip,\but my success rate is still low. response:	I've decided to go for it, though.
context: will motivate me to fight through the Final!\Don't you want to see it, Victor?\To see me land a quadruple flip with a +3 GOE?\I do!\Right?\Since then, I've focused practice time on the quadruple flip,\but my success rate is still low.\I've decided to go for it, though. response:	Yuri doesn't doubt his decisions anymore.
context: Don't you want to see it, Victor?\To see me land a quadruple flip with a +3 GOE?\I do!\Right?\Since then, I've focused practice time on the quadruple flip,\but my success rate is still low.\I've decided to go for it, though.\Yuri doesn't doubt his decisions anymore. response:	And yet, I feel like my own heart is about to explode.
context: To see me land a quadruple flip with a +3 GOE?\I do!\Right?\Since then, I've focused practice time on the quadruple flip,\but my success rate is still low.\I've decided to go for it, though.\Yuri doesn't doubt his decisions anymore.\And yet, I feel like my own heart is about to explode. response:	A triple axel.
context: I do!\Right?\Since then, I've focused practice time on the quadruple flip,\but my success rate is still low.\I've decided to go for it, though.\Yuri doesn't doubt his decisions anymore.\And yet, I feel like my own heart is about to explode.\A triple axel. response:	That jump has a difficult entry, so it will get higher marks.
context: Right?\Since then, I've focused practice time on the quadruple flip,\but my success rate is still low.\I've decided to go for it, though.\Yuri doesn't doubt his decisions anymore.\And yet, I feel like my own heart is about to explode.\A triple axel.\That jump has a difficult entry, so it will get higher marks. response:	Next up is a quadruple jump combination.
context: Since then, I've focused practice time on the quadruple flip,\but my success rate is still low.\I've decided to go for it, though.\Yuri doesn't doubt his decisions anymore.\And yet, I feel like my own heart is about to explode.\A triple axel.\That jump has a difficult entry, so it will get higher marks.\Next up is a quadruple jump combination. response:	Quadruple Salchow, triple toe loop.
context: but my success rate is still low.\I've decided to go for it, though.\Yuri doesn't doubt his decisions anymore.\And yet, I feel like my own heart is about to explode.\A triple axel.\That jump has a difficult entry, so it will get higher marks.\Next up is a quadruple jump combination.\Quadruple Salchow, triple toe loop. response:	Yes!
context: I've decided to go for it, though.\Yuri doesn't doubt his decisions anymore.\And yet, I feel like my own heart is about to explode.\A triple axel.\That jump has a difficult entry, so it will get higher marks.\Next up is a quadruple jump combination.\Quadruple Salchow, triple toe loop.\Yes! response:	Another success!
context: Yuri doesn't doubt his decisions anymore.\And yet, I feel like my own heart is about to explode.\A triple axel.\That jump has a difficult entry, so it will get higher marks.\Next up is a quadruple jump combination.\Quadruple Salchow, triple toe loop.\Yes!\Another success! response:	Excitement courses through the body, down to the toes,
context: And yet, I feel like my own heart is about to explode.\A triple axel.\That jump has a difficult entry, so it will get higher marks.\Next up is a quadruple jump combination.\Quadruple Salchow, triple toe loop.\Yes!\Another success!\Excitement courses through the body, down to the toes, response:	and is released!
context: A triple axel.\That jump has a difficult entry, so it will get higher marks.\Next up is a quadruple jump combination.\Quadruple Salchow, triple toe loop.\Yes!\Another success!\Excitement courses through the body, down to the toes,\and is released! response:	Now, the highly anticipated quadruple flip.
context: That jump has a difficult entry, so it will get higher marks.\Next up is a quadruple jump combination.\Quadruple Salchow, triple toe loop.\Yes!\Another success!\Excitement courses through the body, down to the toes,\and is released!\Now, the highly anticipated quadruple flip. response:	Good, just use that speed to...
context: Next up is a quadruple jump combination.\Quadruple Salchow, triple toe loop.\Yes!\Another success!\Excitement courses through the body, down to the toes,\and is released!\Now, the highly anticipated quadruple flip.\Good, just use that speed to... response:	A quadruple flip,
context: Quadruple Salchow, triple toe loop.\Yes!\Another success!\Excitement courses through the body, down to the toes,\and is released!\Now, the highly anticipated quadruple flip.\Good, just use that speed to...\A quadruple flip, response:	but one hand on the ice.
context: Yes!\Another success!\Excitement courses through the body, down to the toes,\and is released!\Now, the highly anticipated quadruple flip.\Good, just use that speed to...\A quadruple flip,\but one hand on the ice. response:	That spin received a level four rating again this season.
context: Another success!\Excitement courses through the body, down to the toes,\and is released!\Now, the highly anticipated quadruple flip.\Good, just use that speed to...\A quadruple flip,\but one hand on the ice.\That spin received a level four rating again this season. response:	That was close!
context: Excitement courses through the body, down to the toes,\and is released!\Now, the highly anticipated quadruple flip.\Good, just use that speed to...\A quadruple flip,\but one hand on the ice.\That spin received a level four rating again this season.\That was close! response:	That flip had enough rotation, right?
context: and is released!\Now, the highly anticipated quadruple flip.\Good, just use that speed to...\A quadruple flip,\but one hand on the ice.\That spin received a level four rating again this season.\That was close!\That flip had enough rotation, right? response:	It was fine!
context: Now, the highly anticipated quadruple flip.\Good, just use that speed to...\A quadruple flip,\but one hand on the ice.\That spin received a level four rating again this season.\That was close!\That flip had enough rotation, right?\It was fine! response:	Yuri-kun's sit spin position is so beautiful!
context: Good, just use that speed to...\A quadruple flip,\but one hand on the ice.\That spin received a level four rating again this season.\That was close!\That flip had enough rotation, right?\It was fine!\Yuri-kun's sit spin position is so beautiful! response:	Dad, what would the base value be?
context: A quadruple flip,\but one hand on the ice.\That spin received a level four rating again this season.\That was close!\That flip had enough rotation, right?\It was fine!\Yuri-kun's sit spin position is so beautiful!\Dad, what would the base value be? response:	I'm calculating that now!
context: but one hand on the ice.\That spin received a level four rating again this season.\That was close!\That flip had enough rotation, right?\It was fine!\Yuri-kun's sit spin position is so beautiful!\Dad, what would the base value be?\I'm calculating that now! response:	What do you have in mind for next season?
context: That spin received a level four rating again this season.\That was close!\That flip had enough rotation, right?\It was fine!\Yuri-kun's sit spin position is so beautiful!\Dad, what would the base value be?\I'm calculating that now!\What do you have in mind for next season? response:	When I approached every program like a new beginning,
context: That was close!\That flip had enough rotation, right?\It was fine!\Yuri-kun's sit spin position is so beautiful!\Dad, what would the base value be?\I'm calculating that now!\What do you have in mind for next season?\When I approached every program like a new beginning, response:	I could always surprise everyone.
context: That flip had enough rotation, right?\It was fine!\Yuri-kun's sit spin position is so beautiful!\Dad, what would the base value be?\I'm calculating that now!\What do you have in mind for next season?\When I approached every program like a new beginning,\I could always surprise everyone. response:	But that also held me back...
context: It was fine!\Yuri-kun's sit spin position is so beautiful!\Dad, what would the base value be?\I'm calculating that now!\What do you have in mind for next season?\When I approached every program like a new beginning,\I could always surprise everyone.\But that also held me back... response:	I can only find new strength on my own.
context: Yuri-kun's sit spin position is so beautiful!\Dad, what would the base value be?\I'm calculating that now!\What do you have in mind for next season?\When I approached every program like a new beginning,\I could always surprise everyone.\But that also held me back...\I can only find new strength on my own. response:	That's what I always thought.
context: Dad, what would the base value be?\I'm calculating that now!\What do you have in mind for next season?\When I approached every program like a new beginning,\I could always surprise everyone.\But that also held me back...\I can only find new strength on my own.\That's what I always thought. response:	Here comes the score for Katsuki Yuri.
context: I'm calculating that now!\What do you have in mind for next season?\When I approached every program like a new beginning,\I could always surprise everyone.\But that also held me back...\I can only find new strength on my own.\That's what I always thought.\Here comes the score for Katsuki Yuri. response:	RK: 1 Katsuki Yuri Total
context: What do you have in mind for next season?\When I approached every program like a new beginning,\I could always surprise everyone.\But that also held me back...\I can only find new strength on my own.\That's what I always thought.\Here comes the score for Katsuki Yuri.\RK: 1 Katsuki Yuri Total response:	His score is 97.83.
context: When I approached every program like a new beginning,\I could always surprise everyone.\But that also held me back...\I can only find new strength on my own.\That's what I always thought.\Here comes the score for Katsuki Yuri.\RK: 1 Katsuki Yuri Total\His score is 97.83. response:	It didn't break the 100 mark, but it's still a high score.
context: I could always surprise everyone.\But that also held me back...\I can only find new strength on my own.\That's what I always thought.\Here comes the score for Katsuki Yuri.\RK: 1 Katsuki Yuri Total\His score is 97.83.\It didn't break the 100 mark, but it's still a high score. response:	Now I can feel new emotions flowing into me through Yuri.
context: But that also held me back...\I can only find new strength on my own.\That's what I always thought.\Here comes the score for Katsuki Yuri.\RK: 1 Katsuki Yuri Total\His score is 97.83.\It didn't break the 100 mark, but it's still a high score.\Now I can feel new emotions flowing into me through Yuri. response:	What should I give Yuri now?
context: I can only find new strength on my own.\That's what I always thought.\Here comes the score for Katsuki Yuri.\RK: 1 Katsuki Yuri Total\His score is 97.83.\It didn't break the 100 mark, but it's still a high score.\Now I can feel new emotions flowing into me through Yuri.\What should I give Yuri now? response:	Next is Thailand's Phichit Chulanont.
context: That's what I always thought.\Here comes the score for Katsuki Yuri.\RK: 1 Katsuki Yuri Total\His score is 97.83.\It didn't break the 100 mark, but it's still a high score.\Now I can feel new emotions flowing into me through Yuri.\What should I give Yuri now?\Next is Thailand's Phichit Chulanont. response:	He is skating to Shall We Skate?
context: Here comes the score for Katsuki Yuri.\RK: 1 Katsuki Yuri Total\His score is 97.83.\It didn't break the 100 mark, but it's still a high score.\Now I can feel new emotions flowing into me through Yuri.\What should I give Yuri now?\Next is Thailand's Phichit Chulanont.\He is skating to Shall We Skate? response:	He has a lot of supporters here from Thailand.
context: RK: 1 Katsuki Yuri Total\His score is 97.83.\It didn't break the 100 mark, but it's still a high score.\Now I can feel new emotions flowing into me through Yuri.\What should I give Yuri now?\Next is Thailand's Phichit Chulanont.\He is skating to Shall We Skate?\He has a lot of supporters here from Thailand. response:	Here comes the first jump...
context: His score is 97.83.\It didn't break the 100 mark, but it's still a high score.\Now I can feel new emotions flowing into me through Yuri.\What should I give Yuri now?\Next is Thailand's Phichit Chulanont.\He is skating to Shall We Skate?\He has a lot of supporters here from Thailand.\Here comes the first jump... response:	A triple axel.
context: It didn't break the 100 mark, but it's still a high score.\Now I can feel new emotions flowing into me through Yuri.\What should I give Yuri now?\Next is Thailand's Phichit Chulanont.\He is skating to Shall We Skate?\He has a lot of supporters here from Thailand.\Here comes the first jump...\A triple axel. response:	Phichit Chulanont is the first Thai skater to advance to a Grand Prix Final.
context: Now I can feel new emotions flowing into me through Yuri.\What should I give Yuri now?\Next is Thailand's Phichit Chulanont.\He is skating to Shall We Skate?\He has a lot of supporters here from Thailand.\Here comes the first jump...\A triple axel.\Phichit Chulanont is the first Thai skater to advance to a Grand Prix Final. response:	His career began when his talent was discovered
context: What should I give Yuri now?\Next is Thailand's Phichit Chulanont.\He is skating to Shall We Skate?\He has a lot of supporters here from Thailand.\Here comes the first jump...\A triple axel.\Phichit Chulanont is the first Thai skater to advance to a Grand Prix Final.\His career began when his talent was discovered response:	as he skated at a rink in a Bangkok commercial district.
context: Next is Thailand's Phichit Chulanont.\He is skating to Shall We Skate?\He has a lot of supporters here from Thailand.\Here comes the first jump...\A triple axel.\Phichit Chulanont is the first Thai skater to advance to a Grand Prix Final.\His career began when his talent was discovered\as he skated at a rink in a Bangkok commercial district. response:	He moved to Detroit by himself to train under Coach Celestino.
context: He is skating to Shall We Skate?\He has a lot of supporters here from Thailand.\Here comes the first jump...\A triple axel.\Phichit Chulanont is the first Thai skater to advance to a Grand Prix Final.\His career began when his talent was discovered\as he skated at a rink in a Bangkok commercial district.\He moved to Detroit by himself to train under Coach Celestino. response:	Last year, he made Thailand his home rink again.
context: He has a lot of supporters here from Thailand.\Here comes the first jump...\A triple axel.\Phichit Chulanont is the first Thai skater to advance to a Grand Prix Final.\His career began when his talent was discovered\as he skated at a rink in a Bangkok commercial district.\He moved to Detroit by himself to train under Coach Celestino.\Last year, he made Thailand his home rink again. response:	Triple Lutz, triple toe loop.
context: Here comes the first jump...\A triple axel.\Phichit Chulanont is the first Thai skater to advance to a Grand Prix Final.\His career began when his talent was discovered\as he skated at a rink in a Bangkok commercial district.\He moved to Detroit by himself to train under Coach Celestino.\Last year, he made Thailand his home rink again.\Triple Lutz, triple toe loop. response:	My only quad is the toe loop.
context: A triple axel.\Phichit Chulanont is the first Thai skater to advance to a Grand Prix Final.\His career began when his talent was discovered\as he skated at a rink in a Bangkok commercial district.\He moved to Detroit by himself to train under Coach Celestino.\Last year, he made Thailand his home rink again.\Triple Lutz, triple toe loop.\My only quad is the toe loop. response:	It'll be hard to earn higher scores than the others.
context: Phichit Chulanont is the first Thai skater to advance to a Grand Prix Final.\His career began when his talent was discovered\as he skated at a rink in a Bangkok commercial district.\He moved to Detroit by himself to train under Coach Celestino.\Last year, he made Thailand his home rink again.\Triple Lutz, triple toe loop.\My only quad is the toe loop.\It'll be hard to earn higher scores than the others. response:	A quadruple toe loop.
context: His career began when his talent was discovered\as he skated at a rink in a Bangkok commercial district.\He moved to Detroit by himself to train under Coach Celestino.\Last year, he made Thailand his home rink again.\Triple Lutz, triple toe loop.\My only quad is the toe loop.\It'll be hard to earn higher scores than the others.\A quadruple toe loop. response:	I have no past accomplishments to defend.
context: as he skated at a rink in a Bangkok commercial district.\He moved to Detroit by himself to train under Coach Celestino.\Last year, he made Thailand his home rink again.\Triple Lutz, triple toe loop.\My only quad is the toe loop.\It'll be hard to earn higher scores than the others.\A quadruple toe loop.\I have no past accomplishments to defend. response:	This is my new beginning!
context: He moved to Detroit by himself to train under Coach Celestino.\Last year, he made Thailand his home rink again.\Triple Lutz, triple toe loop.\My only quad is the toe loop.\It'll be hard to earn higher scores than the others.\A quadruple toe loop.\I have no past accomplishments to defend.\This is my new beginning! response:	It's a waste if I'm not as excited as a child
context: Last year, he made Thailand his home rink again.\Triple Lutz, triple toe loop.\My only quad is the toe loop.\It'll be hard to earn higher scores than the others.\A quadruple toe loop.\I have no past accomplishments to defend.\This is my new beginning!\It's a waste if I'm not as excited as a child response:	Massimo!
context: Triple Lutz, triple toe loop.\My only quad is the toe loop.\It'll be hard to earn higher scores than the others.\A quadruple toe loop.\I have no past accomplishments to defend.\This is my new beginning!\It's a waste if I'm not as excited as a child\Massimo! response:	drawing art no one's ever seen before on a blank canvas!
context: My only quad is the toe loop.\It'll be hard to earn higher scores than the others.\A quadruple toe loop.\I have no past accomplishments to defend.\This is my new beginning!\It's a waste if I'm not as excited as a child\Massimo!\drawing art no one's ever seen before on a blank canvas! response:	Yuri...
context: It'll be hard to earn higher scores than the others.\A quadruple toe loop.\I have no past accomplishments to defend.\This is my new beginning!\It's a waste if I'm not as excited as a child\Massimo!\drawing art no one's ever seen before on a blank canvas!\Yuri... response:	I want to skate to Shall We Skate?
context: A quadruple toe loop.\I have no past accomplishments to defend.\This is my new beginning!\It's a waste if I'm not as excited as a child\Massimo!\drawing art no one's ever seen before on a blank canvas!\Yuri...\I want to skate to Shall We Skate? response:	Even though it stars a Thai actor,
context: I have no past accomplishments to defend.\This is my new beginning!\It's a waste if I'm not as excited as a child\Massimo!\drawing art no one's ever seen before on a blank canvas!\Yuri...\I want to skate to Shall We Skate?\Even though it stars a Thai actor, response:	no Thai skater has ever used the music in a program.
context: This is my new beginning!\It's a waste if I'm not as excited as a child\Massimo!\drawing art no one's ever seen before on a blank canvas!\Yuri...\I want to skate to Shall We Skate?\Even though it stars a Thai actor,\no Thai skater has ever used the music in a program. response:	Someday, I'll skate to it at a major competition.
context: It's a waste if I'm not as excited as a child\Massimo!\drawing art no one's ever seen before on a blank canvas!\Yuri...\I want to skate to Shall We Skate?\Even though it stars a Thai actor,\no Thai skater has ever used the music in a program.\Someday, I'll skate to it at a major competition. response:	You'll be there, too, Yuri!
context: Massimo!\drawing art no one's ever seen before on a blank canvas!\Yuri...\I want to skate to Shall We Skate?\Even though it stars a Thai actor,\no Thai skater has ever used the music in a program.\Someday, I'll skate to it at a major competition.\You'll be there, too, Yuri! response:	That was a flawless performance from Phichit Chulanont!
context: drawing art no one's ever seen before on a blank canvas!\Yuri...\I want to skate to Shall We Skate?\Even though it stars a Thai actor,\no Thai skater has ever used the music in a program.\Someday, I'll skate to it at a major competition.\You'll be there, too, Yuri!\That was a flawless performance from Phichit Chulanont! response:	Bravo!
context: Yuri...\I want to skate to Shall We Skate?\Even though it stars a Thai actor,\no Thai skater has ever used the music in a program.\Someday, I'll skate to it at a major competition.\You'll be there, too, Yuri!\That was a flawless performance from Phichit Chulanont!\Bravo! response:	He seems to be feeling a release from the immense pressure.
context: I want to skate to Shall We Skate?\Even though it stars a Thai actor,\no Thai skater has ever used the music in a program.\Someday, I'll skate to it at a major competition.\You'll be there, too, Yuri!\That was a flawless performance from Phichit Chulanont!\Bravo!\He seems to be feeling a release from the immense pressure. response:	Really, that was amazing.
context: Even though it stars a Thai actor,\no Thai skater has ever used the music in a program.\Someday, I'll skate to it at a major competition.\You'll be there, too, Yuri!\That was a flawless performance from Phichit Chulanont!\Bravo!\He seems to be feeling a release from the immense pressure.\Really, that was amazing. response:	Phichit-kun... You were a perfect entertainer until the very end!
context: no Thai skater has ever used the music in a program.\Someday, I'll skate to it at a major competition.\You'll be there, too, Yuri!\That was a flawless performance from Phichit Chulanont!\Bravo!\He seems to be feeling a release from the immense pressure.\Really, that was amazing.\Phichit-kun... You were a perfect entertainer until the very end! response:	How long are you idiots gonna sit in the kiss and cry?!
context: Someday, I'll skate to it at a major competition.\You'll be there, too, Yuri!\That was a flawless performance from Phichit Chulanont!\Bravo!\He seems to be feeling a release from the immense pressure.\Really, that was amazing.\Phichit-kun... You were a perfect entertainer until the very end!\How long are you idiots gonna sit in the kiss and cry?! response:	Yurio...
context: You'll be there, too, Yuri!\That was a flawless performance from Phichit Chulanont!\Bravo!\He seems to be feeling a release from the immense pressure.\Really, that was amazing.\Phichit-kun... You were a perfect entertainer until the very end!\How long are you idiots gonna sit in the kiss and cry?!\Yurio... response:	Davai.
context: That was a flawless performance from Phichit Chulanont!\Bravo!\He seems to be feeling a release from the immense pressure.\Really, that was amazing.\Phichit-kun... You were a perfect entertainer until the very end!\How long are you idiots gonna sit in the kiss and cry?!\Yurio...\Davai. response:	RK: 2 Phichit Chulanont Total
context: Bravo!\He seems to be feeling a release from the immense pressure.\Really, that was amazing.\Phichit-kun... You were a perfect entertainer until the very end!\How long are you idiots gonna sit in the kiss and cry?!\Yurio...\Davai.\RK: 2 Phichit Chulanont Total response:	Phichit Chulanont's score is 95.73!
context: He seems to be feeling a release from the immense pressure.\Really, that was amazing.\Phichit-kun... You were a perfect entertainer until the very end!\How long are you idiots gonna sit in the kiss and cry?!\Yurio...\Davai.\RK: 2 Phichit Chulanont Total\Phichit Chulanont's score is 95.73! response:	Ciao Ciao!
context: Really, that was amazing.\Phichit-kun... You were a perfect entertainer until the very end!\How long are you idiots gonna sit in the kiss and cry?!\Yurio...\Davai.\RK: 2 Phichit Chulanont Total\Phichit Chulanont's score is 95.73!\Ciao Ciao! response:	That's a new personal best!
context: Phichit-kun... You were a perfect entertainer until the very end!\How long are you idiots gonna sit in the kiss and cry?!\Yurio...\Davai.\RK: 2 Phichit Chulanont Total\Phichit Chulanont's score is 95.73!\Ciao Ciao!\That's a new personal best! response:	Yeah!
context: How long are you idiots gonna sit in the kiss and cry?!\Yurio...\Davai.\RK: 2 Phichit Chulanont Total\Phichit Chulanont's score is 95.73!\Ciao Ciao!\That's a new personal best!\Yeah! response:	He's currently in second!
context: Yurio...\Davai.\RK: 2 Phichit Chulanont Total\Phichit Chulanont's score is 95.73!\Ciao Ciao!\That's a new personal best!\Yeah!\He's currently in second! response:	Here's Russia's next generation, Yuri Plisetsky.
context: Davai.\RK: 2 Phichit Chulanont Total\Phichit Chulanont's score is 95.73!\Ciao Ciao!\That's a new personal best!\Yeah!\He's currently in second!\Here's Russia's next generation, Yuri Plisetsky. response:	Yurio!
context: RK: 2 Phichit Chulanont Total\Phichit Chulanont's score is 95.73!\Ciao Ciao!\That's a new personal best!\Yeah!\He's currently in second!\Here's Russia's next generation, Yuri Plisetsky.\Yurio! response:	Davai! Davai!
context: Phichit Chulanont's score is 95.73!\Ciao Ciao!\That's a new personal best!\Yeah!\He's currently in second!\Here's Russia's next generation, Yuri Plisetsky.\Yurio!\Davai! Davai! response:	He is skating to On Love: Agape.
context: Ciao Ciao!\That's a new personal best!\Yeah!\He's currently in second!\Here's Russia's next generation, Yuri Plisetsky.\Yurio!\Davai! Davai!\He is skating to On Love: Agape. response:	The program was choreographed by Victor Nikiforov.
context: That's a new personal best!\Yeah!\He's currently in second!\Here's Russia's next generation, Yuri Plisetsky.\Yurio!\Davai! Davai!\He is skating to On Love: Agape.\The program was choreographed by Victor Nikiforov. response:	Yuri Plisetsky has said that his relative lack of experience
context: Yeah!\He's currently in second!\Here's Russia's next generation, Yuri Plisetsky.\Yurio!\Davai! Davai!\He is skating to On Love: Agape.\The program was choreographed by Victor Nikiforov.\Yuri Plisetsky has said that his relative lack of experience response:	kept him from skating to his full potential at the Rostelecom Cup due to nerves.
context: He's currently in second!\Here's Russia's next generation, Yuri Plisetsky.\Yurio!\Davai! Davai!\He is skating to On Love: Agape.\The program was choreographed by Victor Nikiforov.\Yuri Plisetsky has said that his relative lack of experience\kept him from skating to his full potential at the Rostelecom Cup due to nerves. response:	Here comes the first jump.
context: Here's Russia's next generation, Yuri Plisetsky.\Yurio!\Davai! Davai!\He is skating to On Love: Agape.\The program was choreographed by Victor Nikiforov.\Yuri Plisetsky has said that his relative lack of experience\kept him from skating to his full potential at the Rostelecom Cup due to nerves.\Here comes the first jump. response:	A triple axel.
context: Yurio!\Davai! Davai!\He is skating to On Love: Agape.\The program was choreographed by Victor Nikiforov.\Yuri Plisetsky has said that his relative lack of experience\kept him from skating to his full potential at the Rostelecom Cup due to nerves.\Here comes the first jump.\A triple axel. response:	He used a raised arm with the jump, earning higher marks for a greater degree of difficulty.
context: Davai! Davai!\He is skating to On Love: Agape.\The program was choreographed by Victor Nikiforov.\Yuri Plisetsky has said that his relative lack of experience\kept him from skating to his full potential at the Rostelecom Cup due to nerves.\Here comes the first jump.\A triple axel.\He used a raised arm with the jump, earning higher marks for a greater degree of difficulty. response:	A flying sit spin.
context: He is skating to On Love: Agape.\The program was choreographed by Victor Nikiforov.\Yuri Plisetsky has said that his relative lack of experience\kept him from skating to his full potential at the Rostelecom Cup due to nerves.\Here comes the first jump.\A triple axel.\He used a raised arm with the jump, earning higher marks for a greater degree of difficulty.\A flying sit spin. response:	He won at the Golden Spin, held right before the Final.
context: The program was choreographed by Victor Nikiforov.\Yuri Plisetsky has said that his relative lack of experience\kept him from skating to his full potential at the Rostelecom Cup due to nerves.\Here comes the first jump.\A triple axel.\He used a raised arm with the jump, earning higher marks for a greater degree of difficulty.\A flying sit spin.\He won at the Golden Spin, held right before the Final. response:	All Yuri lacks in the senior division is experience.
context: Yuri Plisetsky has said that his relative lack of experience\kept him from skating to his full potential at the Rostelecom Cup due to nerves.\Here comes the first jump.\A triple axel.\He used a raised arm with the jump, earning higher marks for a greater degree of difficulty.\A flying sit spin.\He won at the Golden Spin, held right before the Final.\All Yuri lacks in the senior division is experience. response:	Yuri has sought help to address that,
context: kept him from skating to his full potential at the Rostelecom Cup due to nerves.\Here comes the first jump.\A triple axel.\He used a raised arm with the jump, earning higher marks for a greater degree of difficulty.\A flying sit spin.\He won at the Golden Spin, held right before the Final.\All Yuri lacks in the senior division is experience.\Yuri has sought help to address that, response:	and we have provided the resources.
context: Here comes the first jump.\A triple axel.\He used a raised arm with the jump, earning higher marks for a greater degree of difficulty.\A flying sit spin.\He won at the Golden Spin, held right before the Final.\All Yuri lacks in the senior division is experience.\Yuri has sought help to address that,\and we have provided the resources. response:	His short program will have agape as its theme.
context: A triple axel.\He used a raised arm with the jump, earning higher marks for a greater degree of difficulty.\A flying sit spin.\He won at the Golden Spin, held right before the Final.\All Yuri lacks in the senior division is experience.\Yuri has sought help to address that,\and we have provided the resources.\His short program will have agape as its theme. response:	I believe he's found an entrance to love through his many encounters with others.
context: He used a raised arm with the jump, earning higher marks for a greater degree of difficulty.\A flying sit spin.\He won at the Golden Spin, held right before the Final.\All Yuri lacks in the senior division is experience.\Yuri has sought help to address that,\and we have provided the resources.\His short program will have agape as its theme.\I believe he's found an entrance to love through his many encounters with others. response:	People shine brightest when they
context: A flying sit spin.\He won at the Golden Spin, held right before the Final.\All Yuri lacks in the senior division is experience.\Yuri has sought help to address that,\and we have provided the resources.\His short program will have agape as its theme.\I believe he's found an entrance to love through his many encounters with others.\People shine brightest when they response:	seek to understand what kind of love sustains them.
context: He won at the Golden Spin, held right before the Final.\All Yuri lacks in the senior division is experience.\Yuri has sought help to address that,\and we have provided the resources.\His short program will have agape as its theme.\I believe he's found an entrance to love through his many encounters with others.\People shine brightest when they\seek to understand what kind of love sustains them. response:	Vitya...
context: All Yuri lacks in the senior division is experience.\Yuri has sought help to address that,\and we have provided the resources.\His short program will have agape as its theme.\I believe he's found an entrance to love through his many encounters with others.\People shine brightest when they\seek to understand what kind of love sustains them.\Vitya... response:	Now, in the second half of his program,
context: Yuri has sought help to address that,\and we have provided the resources.\His short program will have agape as its theme.\I believe he's found an entrance to love through his many encounters with others.\People shine brightest when they\seek to understand what kind of love sustains them.\Vitya...\Now, in the second half of his program, response:	we'll see a quadruple-triple combination.
context: and we have provided the resources.\His short program will have agape as its theme.\I believe he's found an entrance to love through his many encounters with others.\People shine brightest when they\seek to understand what kind of love sustains them.\Vitya...\Now, in the second half of his program,\we'll see a quadruple-triple combination. response:	Quadruple Salchow, triple toe loop.
context: His short program will have agape as its theme.\I believe he's found an entrance to love through his many encounters with others.\People shine brightest when they\seek to understand what kind of love sustains them.\Vitya...\Now, in the second half of his program,\we'll see a quadruple-triple combination.\Quadruple Salchow, triple toe loop. response:	That was mind-blowing!
context: I believe he's found an entrance to love through his many encounters with others.\People shine brightest when they\seek to understand what kind of love sustains them.\Vitya...\Now, in the second half of his program,\we'll see a quadruple-triple combination.\Quadruple Salchow, triple toe loop.\That was mind-blowing! response:	He did the jump with one arm raised. It was perfect.
context: People shine brightest when they\seek to understand what kind of love sustains them.\Vitya...\Now, in the second half of his program,\we'll see a quadruple-triple combination.\Quadruple Salchow, triple toe loop.\That was mind-blowing!\He did the jump with one arm raised. It was perfect. response:	The last jump is also a quad.
context: seek to understand what kind of love sustains them.\Vitya...\Now, in the second half of his program,\we'll see a quadruple-triple combination.\Quadruple Salchow, triple toe loop.\That was mind-blowing!\He did the jump with one arm raised. It was perfect.\The last jump is also a quad. response:	A quadruple toe loop.
context: Vitya...\Now, in the second half of his program,\we'll see a quadruple-triple combination.\Quadruple Salchow, triple toe loop.\That was mind-blowing!\He did the jump with one arm raised. It was perfect.\The last jump is also a quad.\A quadruple toe loop. response:	He did it!
context: Now, in the second half of his program,\we'll see a quadruple-triple combination.\Quadruple Salchow, triple toe loop.\That was mind-blowing!\He did the jump with one arm raised. It was perfect.\The last jump is also a quad.\A quadruple toe loop.\He did it! response:	This time, he had both arms raised.
context: we'll see a quadruple-triple combination.\Quadruple Salchow, triple toe loop.\That was mind-blowing!\He did the jump with one arm raised. It was perfect.\The last jump is also a quad.\A quadruple toe loop.\He did it!\This time, he had both arms raised. response:	All of his jumps were flawless!
context: Quadruple Salchow, triple toe loop.\That was mind-blowing!\He did the jump with one arm raised. It was perfect.\The last jump is also a quad.\A quadruple toe loop.\He did it!\This time, he had both arms raised.\All of his jumps were flawless! response:	Here comes the step sequence.
context: That was mind-blowing!\He did the jump with one arm raised. It was perfect.\The last jump is also a quad.\A quadruple toe loop.\He did it!\This time, he had both arms raised.\All of his jumps were flawless!\Here comes the step sequence. response:	Huh? Victor's not here.
