context: There, it's dealt with. response:	I don't know what it is you hear,
context: If you can't do it, we'll have to burn them.\That's...\Any other ideas, then?\You're not going to tell me we should just leave them here, are you?\But after seeing them and hearing their voices...\Your ears seem to make you way too sympathetic to Anothers.\What is there to think about?\The answer is simple. response:	They're in humanity's territory. Some people have even gotten hurt.
context: That's...\Any other ideas, then?\You're not going to tell me we should just leave them here, are you?\But after seeing them and hearing their voices...\Your ears seem to make you way too sympathetic to Anothers.\What is there to think about?\The answer is simple.\They're in humanity's territory. Some people have even gotten hurt. response:	If we want to get rid of them, we need to do it now.
context: Any other ideas, then?\You're not going to tell me we should just leave them here, are you?\But after seeing them and hearing their voices...\Your ears seem to make you way too sympathetic to Anothers.\What is there to think about?\The answer is simple.\They're in humanity's territory. Some people have even gotten hurt.\If we want to get rid of them, we need to do it now. response:	If you know that and your Ears of Sand still can't help you...
context: You're not going to tell me we should just leave them here, are you?\But after seeing them and hearing their voices...\Your ears seem to make you way too sympathetic to Anothers.\What is there to think about?\The answer is simple.\They're in humanity's territory. Some people have even gotten hurt.\If we want to get rid of them, we need to do it now.\If you know that and your Ears of Sand still can't help you... response:	You're just in the way.
context: But after seeing them and hearing their voices...\Your ears seem to make you way too sympathetic to Anothers.\What is there to think about?\The answer is simple.\They're in humanity's territory. Some people have even gotten hurt.\If we want to get rid of them, we need to do it now.\If you know that and your Ears of Sand still can't help you...\You're just in the way. response:	Tomorrow, we'll all begin to handle this with members of City Hall
context: Your ears seem to make you way too sympathetic to Anothers.\What is there to think about?\The answer is simple.\They're in humanity's territory. Some people have even gotten hurt.\If we want to get rid of them, we need to do it now.\If you know that and your Ears of Sand still can't help you...\You're just in the way.\Tomorrow, we'll all begin to handle this with members of City Hall response:	and the ward offices as planned.
context: What is there to think about?\The answer is simple.\They're in humanity's territory. Some people have even gotten hurt.\If we want to get rid of them, we need to do it now.\If you know that and your Ears of Sand still can't help you...\You're just in the way.\Tomorrow, we'll all begin to handle this with members of City Hall\and the ward offices as planned. response:	But you're not required to attend.
context: The answer is simple.\They're in humanity's territory. Some people have even gotten hurt.\If we want to get rid of them, we need to do it now.\If you know that and your Ears of Sand still can't help you...\You're just in the way.\Tomorrow, we'll all begin to handle this with members of City Hall\and the ward offices as planned.\But you're not required to attend. response:	Shimizu-san, I'd like to explain what we're doing tomorrow. Please remain here.
context: They're in humanity's territory. Some people have even gotten hurt.\If we want to get rid of them, we need to do it now.\If you know that and your Ears of Sand still can't help you...\You're just in the way.\Tomorrow, we'll all begin to handle this with members of City Hall\and the ward offices as planned.\But you're not required to attend.\Shimizu-san, I'd like to explain what we're doing tomorrow. Please remain here. response:	Miyako-san, tomorrow, please return to your regular office to work.
context: If we want to get rid of them, we need to do it now.\If you know that and your Ears of Sand still can't help you...\You're just in the way.\Tomorrow, we'll all begin to handle this with members of City Hall\and the ward offices as planned.\But you're not required to attend.\Shimizu-san, I'd like to explain what we're doing tomorrow. Please remain here.\Miyako-san, tomorrow, please return to your regular office to work. response:	Thank you for coming today.
context: If you know that and your Ears of Sand still can't help you...\You're just in the way.\Tomorrow, we'll all begin to handle this with members of City Hall\and the ward offices as planned.\But you're not required to attend.\Shimizu-san, I'd like to explain what we're doing tomorrow. Please remain here.\Miyako-san, tomorrow, please return to your regular office to work.\Thank you for coming today. response:	Feeling down, Arata?
context: You're just in the way.\Tomorrow, we'll all begin to handle this with members of City Hall\and the ward offices as planned.\But you're not required to attend.\Shimizu-san, I'd like to explain what we're doing tomorrow. Please remain here.\Miyako-san, tomorrow, please return to your regular office to work.\Thank you for coming today.\Feeling down, Arata? response:	Kohaku...
context: Tomorrow, we'll all begin to handle this with members of City Hall\and the ward offices as planned.\But you're not required to attend.\Shimizu-san, I'd like to explain what we're doing tomorrow. Please remain here.\Miyako-san, tomorrow, please return to your regular office to work.\Thank you for coming today.\Feeling down, Arata?\Kohaku... response:	I was watching the whole time.
context: and the ward offices as planned.\But you're not required to attend.\Shimizu-san, I'd like to explain what we're doing tomorrow. Please remain here.\Miyako-san, tomorrow, please return to your regular office to work.\Thank you for coming today.\Feeling down, Arata?\Kohaku...\I was watching the whole time. response:	What a sight it was!
context: But you're not required to attend.\Shimizu-san, I'd like to explain what we're doing tomorrow. Please remain here.\Miyako-san, tomorrow, please return to your regular office to work.\Thank you for coming today.\Feeling down, Arata?\Kohaku...\I was watching the whole time.\What a sight it was! response:	That's not something you see every day.
context: Shimizu-san, I'd like to explain what we're doing tomorrow. Please remain here.\Miyako-san, tomorrow, please return to your regular office to work.\Thank you for coming today.\Feeling down, Arata?\Kohaku...\I was watching the whole time.\What a sight it was!\That's not something you see every day. response:	It's something unique to Japan.
context: Miyako-san, tomorrow, please return to your regular office to work.\Thank you for coming today.\Feeling down, Arata?\Kohaku...\I was watching the whole time.\What a sight it was!\That's not something you see every day.\It's something unique to Japan. response:	Do you know what those cocoons are?
context: Thank you for coming today.\Feeling down, Arata?\Kohaku...\I was watching the whole time.\What a sight it was!\That's not something you see every day.\It's something unique to Japan.\Do you know what those cocoons are? response:	They're just what they look like.
context: Feeling down, Arata?\Kohaku...\I was watching the whole time.\What a sight it was!\That's not something you see every day.\It's something unique to Japan.\Do you know what those cocoons are?\They're just what they look like. response:	I've seen humans doing similar things, a long time ago.
context: Kohaku...\I was watching the whole time.\What a sight it was!\That's not something you see every day.\It's something unique to Japan.\Do you know what those cocoons are?\They're just what they look like.\I've seen humans doing similar things, a long time ago. response:	Anyway, the festival is about to begin.
context: I was watching the whole time.\What a sight it was!\That's not something you see every day.\It's something unique to Japan.\Do you know what those cocoons are?\They're just what they look like.\I've seen humans doing similar things, a long time ago.\Anyway, the festival is about to begin. response:	What festival?
context: What a sight it was!\That's not something you see every day.\It's something unique to Japan.\Do you know what those cocoons are?\They're just what they look like.\I've seen humans doing similar things, a long time ago.\Anyway, the festival is about to begin.\What festival? response:	I'm jealous, though.
context: That's not something you see every day.\It's something unique to Japan.\Do you know what those cocoons are?\They're just what they look like.\I've seen humans doing similar things, a long time ago.\Anyway, the festival is about to begin.\What festival?\I'm jealous, though. response:	I could make myself the perfect thing with that stuff.
context: It's something unique to Japan.\Do you know what those cocoons are?\They're just what they look like.\I've seen humans doing similar things, a long time ago.\Anyway, the festival is about to begin.\What festival?\I'm jealous, though.\I could make myself the perfect thing with that stuff. response:	Maybe I'll ask for some.
context: Do you know what those cocoons are?\They're just what they look like.\I've seen humans doing similar things, a long time ago.\Anyway, the festival is about to begin.\What festival?\I'm jealous, though.\I could make myself the perfect thing with that stuff.\Maybe I'll ask for some. response:	Don't you think so, Arata?
context: They're just what they look like.\I've seen humans doing similar things, a long time ago.\Anyway, the festival is about to begin.\What festival?\I'm jealous, though.\I could make myself the perfect thing with that stuff.\Maybe I'll ask for some.\Don't you think so, Arata? response:	I can understand your words, but still have no idea what you're saying.
context: I've seen humans doing similar things, a long time ago.\Anyway, the festival is about to begin.\What festival?\I'm jealous, though.\I could make myself the perfect thing with that stuff.\Maybe I'll ask for some.\Don't you think so, Arata?\I can understand your words, but still have no idea what you're saying. response:	Okay, bye!
context: Anyway, the festival is about to begin.\What festival?\I'm jealous, though.\I could make myself the perfect thing with that stuff.\Maybe I'll ask for some.\Don't you think so, Arata?\I can understand your words, but still have no idea what you're saying.\Okay, bye! response:	I'll show you when it's done!
context: What festival?\I'm jealous, though.\I could make myself the perfect thing with that stuff.\Maybe I'll ask for some.\Don't you think so, Arata?\I can understand your words, but still have no idea what you're saying.\Okay, bye!\I'll show you when it's done! response:	Look forward to it! Promise me you will!
context: I'm jealous, though.\I could make myself the perfect thing with that stuff.\Maybe I'll ask for some.\Don't you think so, Arata?\I can understand your words, but still have no idea what you're saying.\Okay, bye!\I'll show you when it's done!\Look forward to it! Promise me you will! response:	As always, I have no idea what that was about.
context: I could make myself the perfect thing with that stuff.\Maybe I'll ask for some.\Don't you think so, Arata?\I can understand your words, but still have no idea what you're saying.\Okay, bye!\I'll show you when it's done!\Look forward to it! Promise me you will!\As always, I have no idea what that was about. response:	I'm back, Yuki.
context: Maybe I'll ask for some.\Don't you think so, Arata?\I can understand your words, but still have no idea what you're saying.\Okay, bye!\I'll show you when it's done!\Look forward to it! Promise me you will!\As always, I have no idea what that was about.\I'm back, Yuki. response:	Yuki?
context: Don't you think so, Arata?\I can understand your words, but still have no idea what you're saying.\Okay, bye!\I'll show you when it's done!\Look forward to it! Promise me you will!\As always, I have no idea what that was about.\I'm back, Yuki.\Yuki? response:	Where'd he run off to?
context: I can understand your words, but still have no idea what you're saying.\Okay, bye!\I'll show you when it's done!\Look forward to it! Promise me you will!\As always, I have no idea what that was about.\I'm back, Yuki.\Yuki?\Where'd he run off to? response:	City Hall
context: Okay, bye!\I'll show you when it's done!\Look forward to it! Promise me you will!\As always, I have no idea what that was about.\I'm back, Yuki.\Yuki?\Where'd he run off to?\City Hall response:	Akane-san?
context: I'll show you when it's done!\Look forward to it! Promise me you will!\As always, I have no idea what that was about.\I'm back, Yuki.\Yuki?\Where'd he run off to?\City Hall\Akane-san? response:	Imperial Gardens
context: Look forward to it! Promise me you will!\As always, I have no idea what that was about.\I'm back, Yuki.\Yuki?\Where'd he run off to?\City Hall\Akane-san?\Imperial Gardens response:	Shinjuku Imperial Gardens
context: As always, I have no idea what that was about.\I'm back, Yuki.\Yuki?\Where'd he run off to?\City Hall\Akane-san?\Imperial Gardens\Shinjuku Imperial Gardens response:	Was I just being naIve?
context: I'm back, Yuki.\Yuki?\Where'd he run off to?\City Hall\Akane-san?\Imperial Gardens\Shinjuku Imperial Gardens\Was I just being naIve? response:	I guess this time it was a really bad matchup.
context: Yuki?\Where'd he run off to?\City Hall\Akane-san?\Imperial Gardens\Shinjuku Imperial Gardens\Was I just being naIve?\I guess this time it was a really bad matchup. response:	A humanoid bug-type that looks like a baby.
context: Where'd he run off to?\City Hall\Akane-san?\Imperial Gardens\Shinjuku Imperial Gardens\Was I just being naIve?\I guess this time it was a really bad matchup.\A humanoid bug-type that looks like a baby. response:	That's rough.
context: City Hall\Akane-san?\Imperial Gardens\Shinjuku Imperial Gardens\Was I just being naIve?\I guess this time it was a really bad matchup.\A humanoid bug-type that looks like a baby.\That's rough. response:	What would you do, Kyoichi?
context: Akane-san?\Imperial Gardens\Shinjuku Imperial Gardens\Was I just being naIve?\I guess this time it was a really bad matchup.\A humanoid bug-type that looks like a baby.\That's rough.\What would you do, Kyoichi? response:	If it were me, the first thing I'd do is try to move the cocoons.
context: Imperial Gardens\Shinjuku Imperial Gardens\Was I just being naIve?\I guess this time it was a really bad matchup.\A humanoid bug-type that looks like a baby.\That's rough.\What would you do, Kyoichi?\If it were me, the first thing I'd do is try to move the cocoons. response:	What Kanoichi Satoru said would be my last option.
context: Shinjuku Imperial Gardens\Was I just being naIve?\I guess this time it was a really bad matchup.\A humanoid bug-type that looks like a baby.\That's rough.\What would you do, Kyoichi?\If it were me, the first thing I'd do is try to move the cocoons.\What Kanoichi Satoru said would be my last option. response:	I should've snuck in and gotten a sample!
context: Was I just being naIve?\I guess this time it was a really bad matchup.\A humanoid bug-type that looks like a baby.\That's rough.\What would you do, Kyoichi?\If it were me, the first thing I'd do is try to move the cocoons.\What Kanoichi Satoru said would be my last option.\I should've snuck in and gotten a sample! response:	Didn't you get one?
context: I guess this time it was a really bad matchup.\A humanoid bug-type that looks like a baby.\That's rough.\What would you do, Kyoichi?\If it were me, the first thing I'd do is try to move the cocoons.\What Kanoichi Satoru said would be my last option.\I should've snuck in and gotten a sample!\Didn't you get one? response:	Sorry, I didn't think of it!
context: A humanoid bug-type that looks like a baby.\That's rough.\What would you do, Kyoichi?\If it were me, the first thing I'd do is try to move the cocoons.\What Kanoichi Satoru said would be my last option.\I should've snuck in and gotten a sample!\Didn't you get one?\Sorry, I didn't think of it! response:	That idiot Kanoichi...
context: That's rough.\What would you do, Kyoichi?\If it were me, the first thing I'd do is try to move the cocoons.\What Kanoichi Satoru said would be my last option.\I should've snuck in and gotten a sample!\Didn't you get one?\Sorry, I didn't think of it!\That idiot Kanoichi... response:	If he chose to get rid of them, then he'd better have taken a sample.
context: What would you do, Kyoichi?\If it were me, the first thing I'd do is try to move the cocoons.\What Kanoichi Satoru said would be my last option.\I should've snuck in and gotten a sample!\Didn't you get one?\Sorry, I didn't think of it!\That idiot Kanoichi...\If he chose to get rid of them, then he'd better have taken a sample. response:	Theo...
context: If it were me, the first thing I'd do is try to move the cocoons.\What Kanoichi Satoru said would be my last option.\I should've snuck in and gotten a sample!\Didn't you get one?\Sorry, I didn't think of it!\That idiot Kanoichi...\If he chose to get rid of them, then he'd better have taken a sample.\Theo... response:	From the perspective of a scientist,
context: What Kanoichi Satoru said would be my last option.\I should've snuck in and gotten a sample!\Didn't you get one?\Sorry, I didn't think of it!\That idiot Kanoichi...\If he chose to get rid of them, then he'd better have taken a sample.\Theo...\From the perspective of a scientist, response:	getting rid of all the Anothers is a bad move.
context: I should've snuck in and gotten a sample!\Didn't you get one?\Sorry, I didn't think of it!\That idiot Kanoichi...\If he chose to get rid of them, then he'd better have taken a sample.\Theo...\From the perspective of a scientist,\getting rid of all the Anothers is a bad move. response:	I heard you got in a fight with Miyako-san.
context: Didn't you get one?\Sorry, I didn't think of it!\That idiot Kanoichi...\If he chose to get rid of them, then he'd better have taken a sample.\Theo...\From the perspective of a scientist,\getting rid of all the Anothers is a bad move.\I heard you got in a fight with Miyako-san. response:	Shimizu-kun told me.
context: Sorry, I didn't think of it!\That idiot Kanoichi...\If he chose to get rid of them, then he'd better have taken a sample.\Theo...\From the perspective of a scientist,\getting rid of all the Anothers is a bad move.\I heard you got in a fight with Miyako-san.\Shimizu-kun told me. response:	It wasn't a fight...
context: That idiot Kanoichi...\If he chose to get rid of them, then he'd better have taken a sample.\Theo...\From the perspective of a scientist,\getting rid of all the Anothers is a bad move.\I heard you got in a fight with Miyako-san.\Shimizu-kun told me.\It wasn't a fight... response:	Then why did you take him off today's job?
context: If he chose to get rid of them, then he'd better have taken a sample.\Theo...\From the perspective of a scientist,\getting rid of all the Anothers is a bad move.\I heard you got in a fight with Miyako-san.\Shimizu-kun told me.\It wasn't a fight...\Then why did you take him off today's job? response:	Because we don't need him.
context: Theo...\From the perspective of a scientist,\getting rid of all the Anothers is a bad move.\I heard you got in a fight with Miyako-san.\Shimizu-kun told me.\It wasn't a fight...\Then why did you take him off today's job?\Because we don't need him. response:	But...
context: From the perspective of a scientist,\getting rid of all the Anothers is a bad move.\I heard you got in a fight with Miyako-san.\Shimizu-kun told me.\It wasn't a fight...\Then why did you take him off today's job?\Because we don't need him.\But... response:	Akane-san, you like to take his side, don't you?
context: getting rid of all the Anothers is a bad move.\I heard you got in a fight with Miyako-san.\Shimizu-kun told me.\It wasn't a fight...\Then why did you take him off today's job?\Because we don't need him.\But...\Akane-san, you like to take his side, don't you? response:	Lately, I've started to understand how Suzu-sama feels.
context: I heard you got in a fight with Miyako-san.\Shimizu-kun told me.\It wasn't a fight...\Then why did you take him off today's job?\Because we don't need him.\But...\Akane-san, you like to take his side, don't you?\Lately, I've started to understand how Suzu-sama feels. response:	Suzu?
context: Shimizu-kun told me.\It wasn't a fight...\Then why did you take him off today's job?\Because we don't need him.\But...\Akane-san, you like to take his side, don't you?\Lately, I've started to understand how Suzu-sama feels.\Suzu? response:	The house god?
context: It wasn't a fight...\Then why did you take him off today's job?\Because we don't need him.\But...\Akane-san, you like to take his side, don't you?\Lately, I've started to understand how Suzu-sama feels.\Suzu?\The house god? response:	Of course, I don't know what she's saying.
context: Then why did you take him off today's job?\Because we don't need him.\But...\Akane-san, you like to take his side, don't you?\Lately, I've started to understand how Suzu-sama feels.\Suzu?\The house god?\Of course, I don't know what she's saying. response:	So I have to guess from her facial expressions.
context: Because we don't need him.\But...\Akane-san, you like to take his side, don't you?\Lately, I've started to understand how Suzu-sama feels.\Suzu?\The house god?\Of course, I don't know what she's saying.\So I have to guess from her facial expressions. response:	That's just your imagination.
context: But...\Akane-san, you like to take his side, don't you?\Lately, I've started to understand how Suzu-sama feels.\Suzu?\The house god?\Of course, I don't know what she's saying.\So I have to guess from her facial expressions.\That's just your imagination. response:	Communication with Anothers is impossible.
context: Akane-san, you like to take his side, don't you?\Lately, I've started to understand how Suzu-sama feels.\Suzu?\The house god?\Of course, I don't know what she's saying.\So I have to guess from her facial expressions.\That's just your imagination.\Communication with Anothers is impossible. response:	Since Miyako-san came, I feel like I'm a little closer to Suzu-sama.
context: Lately, I've started to understand how Suzu-sama feels.\Suzu?\The house god?\Of course, I don't know what she's saying.\So I have to guess from her facial expressions.\That's just your imagination.\Communication with Anothers is impossible.\Since Miyako-san came, I feel like I'm a little closer to Suzu-sama. response:	You can't trust him.
context: Suzu?\The house god?\Of course, I don't know what she's saying.\So I have to guess from her facial expressions.\That's just your imagination.\Communication with Anothers is impossible.\Since Miyako-san came, I feel like I'm a little closer to Suzu-sama.\You can't trust him. response:	He's close to the Anothers.
context: The house god?\Of course, I don't know what she's saying.\So I have to guess from her facial expressions.\That's just your imagination.\Communication with Anothers is impossible.\Since Miyako-san came, I feel like I'm a little closer to Suzu-sama.\You can't trust him.\He's close to the Anothers. response:	He's like...
context: Of course, I don't know what she's saying.\So I have to guess from her facial expressions.\That's just your imagination.\Communication with Anothers is impossible.\Since Miyako-san came, I feel like I'm a little closer to Suzu-sama.\You can't trust him.\He's close to the Anothers.\He's like... response:	Uncle?
context: So I have to guess from her facial expressions.\That's just your imagination.\Communication with Anothers is impossible.\Since Miyako-san came, I feel like I'm a little closer to Suzu-sama.\You can't trust him.\He's close to the Anothers.\He's like...\Uncle? response:	When I see how Miyako-san treats the Anothers,
context: That's just your imagination.\Communication with Anothers is impossible.\Since Miyako-san came, I feel like I'm a little closer to Suzu-sama.\You can't trust him.\He's close to the Anothers.\He's like...\Uncle?\When I see how Miyako-san treats the Anothers, response:	I remember my uncle... your father.
context: Communication with Anothers is impossible.\Since Miyako-san came, I feel like I'm a little closer to Suzu-sama.\You can't trust him.\He's close to the Anothers.\He's like...\Uncle?\When I see how Miyako-san treats the Anothers,\I remember my uncle... your father. response:	He was Suzu-sama's friend, too...
context: Since Miyako-san came, I feel like I'm a little closer to Suzu-sama.\You can't trust him.\He's close to the Anothers.\He's like...\Uncle?\When I see how Miyako-san treats the Anothers,\I remember my uncle... your father.\He was Suzu-sama's friend, too... response:	This scar.
context: You can't trust him.\He's close to the Anothers.\He's like...\Uncle?\When I see how Miyako-san treats the Anothers,\I remember my uncle... your father.\He was Suzu-sama's friend, too...\This scar. response:	Do you keep it as a sign of your hatred toward the Kanoichi clan?
context: He's close to the Anothers.\He's like...\Uncle?\When I see how Miyako-san treats the Anothers,\I remember my uncle... your father.\He was Suzu-sama's friend, too...\This scar.\Do you keep it as a sign of your hatred toward the Kanoichi clan? response:	Anothers...
context: He's like...\Uncle?\When I see how Miyako-san treats the Anothers,\I remember my uncle... your father.\He was Suzu-sama's friend, too...\This scar.\Do you keep it as a sign of your hatred toward the Kanoichi clan?\Anothers... response:	drive men mad.
context: Uncle?\When I see how Miyako-san treats the Anothers,\I remember my uncle... your father.\He was Suzu-sama's friend, too...\This scar.\Do you keep it as a sign of your hatred toward the Kanoichi clan?\Anothers...\drive men mad. response:	So we should get rid of them as soon as we can.
context: When I see how Miyako-san treats the Anothers,\I remember my uncle... your father.\He was Suzu-sama's friend, too...\This scar.\Do you keep it as a sign of your hatred toward the Kanoichi clan?\Anothers...\drive men mad.\So we should get rid of them as soon as we can. response:	But surely you understand...
context: I remember my uncle... your father.\He was Suzu-sama's friend, too...\This scar.\Do you keep it as a sign of your hatred toward the Kanoichi clan?\Anothers...\drive men mad.\So we should get rid of them as soon as we can.\But surely you understand... response:	what those cocoons are.
context: He was Suzu-sama's friend, too...\This scar.\Do you keep it as a sign of your hatred toward the Kanoichi clan?\Anothers...\drive men mad.\So we should get rid of them as soon as we can.\But surely you understand...\what those cocoons are. response:	There's no other way.
context: This scar.\Do you keep it as a sign of your hatred toward the Kanoichi clan?\Anothers...\drive men mad.\So we should get rid of them as soon as we can.\But surely you understand...\what those cocoons are.\There's no other way. response:	I'm curious about what Huehuecoyotl said.
context: Do you keep it as a sign of your hatred toward the Kanoichi clan?\Anothers...\drive men mad.\So we should get rid of them as soon as we can.\But surely you understand...\what those cocoons are.\There's no other way.\I'm curious about what Huehuecoyotl said. response:	He said there'd be a festival soon, right?
context: Anothers...\drive men mad.\So we should get rid of them as soon as we can.\But surely you understand...\what those cocoons are.\There's no other way.\I'm curious about what Huehuecoyotl said.\He said there'd be a festival soon, right? response:	Right.
context: drive men mad.\So we should get rid of them as soon as we can.\But surely you understand...\what those cocoons are.\There's no other way.\I'm curious about what Huehuecoyotl said.\He said there'd be a festival soon, right?\Right. response:	Which means... Izumo, probably.
context: So we should get rid of them as soon as we can.\But surely you understand...\what those cocoons are.\There's no other way.\I'm curious about what Huehuecoyotl said.\He said there'd be a festival soon, right?\Right.\Which means... Izumo, probably. response:	Izumo?
context: But surely you understand...\what those cocoons are.\There's no other way.\I'm curious about what Huehuecoyotl said.\He said there'd be a festival soon, right?\Right.\Which means... Izumo, probably.\Izumo? response:	You've heard of Kaminashizuki, the godless month, right?
context: what those cocoons are.\There's no other way.\I'm curious about what Huehuecoyotl said.\He said there'd be a festival soon, right?\Right.\Which means... Izumo, probably.\Izumo?\You've heard of Kaminashizuki, the godless month, right? response:	In Izumo, they call it Kamiarizuki, the month of gods.
context: There's no other way.\I'm curious about what Huehuecoyotl said.\He said there'd be a festival soon, right?\Right.\Which means... Izumo, probably.\Izumo?\You've heard of Kaminashizuki, the godless month, right?\In Izumo, they call it Kamiarizuki, the month of gods. response:	Um, in October of the old Japanese calendar,
context: I'm curious about what Huehuecoyotl said.\He said there'd be a festival soon, right?\Right.\Which means... Izumo, probably.\Izumo?\You've heard of Kaminashizuki, the godless month, right?\In Izumo, they call it Kamiarizuki, the month of gods.\Um, in October of the old Japanese calendar, response:	all the gods of Japan gather in Izumo and have a festival, right?
context: He said there'd be a festival soon, right?\Right.\Which means... Izumo, probably.\Izumo?\You've heard of Kaminashizuki, the godless month, right?\In Izumo, they call it Kamiarizuki, the month of gods.\Um, in October of the old Japanese calendar,\all the gods of Japan gather in Izumo and have a festival, right? response:	Yeah.
context: Right.\Which means... Izumo, probably.\Izumo?\You've heard of Kaminashizuki, the godless month, right?\In Izumo, they call it Kamiarizuki, the month of gods.\Um, in October of the old Japanese calendar,\all the gods of Japan gather in Izumo and have a festival, right?\Yeah. response:	For that reason, in September of the old calendar,
context: Which means... Izumo, probably.\Izumo?\You've heard of Kaminashizuki, the godless month, right?\In Izumo, they call it Kamiarizuki, the month of gods.\Um, in October of the old Japanese calendar,\all the gods of Japan gather in Izumo and have a festival, right?\Yeah.\For that reason, in September of the old calendar, response:	the Anothers start to vanish.
context: Izumo?\You've heard of Kaminashizuki, the godless month, right?\In Izumo, they call it Kamiarizuki, the month of gods.\Um, in October of the old Japanese calendar,\all the gods of Japan gather in Izumo and have a festival, right?\Yeah.\For that reason, in September of the old calendar,\the Anothers start to vanish. response:	They're probably getting ready to head to Izumo, or getting ready for the festival.
context: You've heard of Kaminashizuki, the godless month, right?\In Izumo, they call it Kamiarizuki, the month of gods.\Um, in October of the old Japanese calendar,\all the gods of Japan gather in Izumo and have a festival, right?\Yeah.\For that reason, in September of the old calendar,\the Anothers start to vanish.\They're probably getting ready to head to Izumo, or getting ready for the festival. response:	He said humans have been doing it, too.
context: In Izumo, they call it Kamiarizuki, the month of gods.\Um, in October of the old Japanese calendar,\all the gods of Japan gather in Izumo and have a festival, right?\Yeah.\For that reason, in September of the old calendar,\the Anothers start to vanish.\They're probably getting ready to head to Izumo, or getting ready for the festival.\He said humans have been doing it, too. response:	Insects and cocoons...
context: Um, in October of the old Japanese calendar,\all the gods of Japan gather in Izumo and have a festival, right?\Yeah.\For that reason, in September of the old calendar,\the Anothers start to vanish.\They're probably getting ready to head to Izumo, or getting ready for the festival.\He said humans have been doing it, too.\Insects and cocoons... response:	Silkworms?
context: all the gods of Japan gather in Izumo and have a festival, right?\Yeah.\For that reason, in September of the old calendar,\the Anothers start to vanish.\They're probably getting ready to head to Izumo, or getting ready for the festival.\He said humans have been doing it, too.\Insects and cocoons...\Silkworms? response:	Yes.
context: Yeah.\For that reason, in September of the old calendar,\the Anothers start to vanish.\They're probably getting ready to head to Izumo, or getting ready for the festival.\He said humans have been doing it, too.\Insects and cocoons...\Silkworms?\Yes. response:	They're probably harvesting silk.
context: For that reason, in September of the old calendar,\the Anothers start to vanish.\They're probably getting ready to head to Izumo, or getting ready for the festival.\He said humans have been doing it, too.\Insects and cocoons...\Silkworms?\Yes.\They're probably harvesting silk. response:	Oh, this is...
context: the Anothers start to vanish.\They're probably getting ready to head to Izumo, or getting ready for the festival.\He said humans have been doing it, too.\Insects and cocoons...\Silkworms?\Yes.\They're probably harvesting silk.\Oh, this is... response:	Not good news.
context: They're probably getting ready to head to Izumo, or getting ready for the festival.\He said humans have been doing it, too.\Insects and cocoons...\Silkworms?\Yes.\They're probably harvesting silk.\Oh, this is...\Not good news. response:	If Huehuecoyotl was talking about the Izumo festival...
context: He said humans have been doing it, too.\Insects and cocoons...\Silkworms?\Yes.\They're probably harvesting silk.\Oh, this is...\Not good news.\If Huehuecoyotl was talking about the Izumo festival... response:	Then the Anothers are using cocoons to make silk.
context: Insects and cocoons...\Silkworms?\Yes.\They're probably harvesting silk.\Oh, this is...\Not good news.\If Huehuecoyotl was talking about the Izumo festival...\Then the Anothers are using cocoons to make silk. response:	Wait.
context: Silkworms?\Yes.\They're probably harvesting silk.\Oh, this is...\Not good news.\If Huehuecoyotl was talking about the Izumo festival...\Then the Anothers are using cocoons to make silk.\Wait. response:	Kanoichi-san said he couldn't find the mother of the cocoon babies.
context: Yes.\They're probably harvesting silk.\Oh, this is...\Not good news.\If Huehuecoyotl was talking about the Izumo festival...\Then the Anothers are using cocoons to make silk.\Wait.\Kanoichi-san said he couldn't find the mother of the cocoon babies. response:	But even Kanoichi Satoru's operating on the assumption that she exists at all.
context: They're probably harvesting silk.\Oh, this is...\Not good news.\If Huehuecoyotl was talking about the Izumo festival...\Then the Anothers are using cocoons to make silk.\Wait.\Kanoichi-san said he couldn't find the mother of the cocoon babies.\But even Kanoichi Satoru's operating on the assumption that she exists at all. response:	He opted for burning them because of the location.
context: Oh, this is...\Not good news.\If Huehuecoyotl was talking about the Izumo festival...\Then the Anothers are using cocoons to make silk.\Wait.\Kanoichi-san said he couldn't find the mother of the cocoon babies.\But even Kanoichi Satoru's operating on the assumption that she exists at all.\He opted for burning them because of the location. response:	He's probably getting pressure from above to solve this.
context: Not good news.\If Huehuecoyotl was talking about the Izumo festival...\Then the Anothers are using cocoons to make silk.\Wait.\Kanoichi-san said he couldn't find the mother of the cocoon babies.\But even Kanoichi Satoru's operating on the assumption that she exists at all.\He opted for burning them because of the location.\He's probably getting pressure from above to solve this. response:	Even if the mother does show up, he may assume he can deal with them.
context: If Huehuecoyotl was talking about the Izumo festival...\Then the Anothers are using cocoons to make silk.\Wait.\Kanoichi-san said he couldn't find the mother of the cocoon babies.\But even Kanoichi Satoru's operating on the assumption that she exists at all.\He opted for burning them because of the location.\He's probably getting pressure from above to solve this.\Even if the mother does show up, he may assume he can deal with them. response:	Even if they do, he'll be able to
context: Then the Anothers are using cocoons to make silk.\Wait.\Kanoichi-san said he couldn't find the mother of the cocoon babies.\But even Kanoichi Satoru's operating on the assumption that she exists at all.\He opted for burning them because of the location.\He's probably getting pressure from above to solve this.\Even if the mother does show up, he may assume he can deal with them.\Even if they do, he'll be able to response:	No! If we're right, this is seriously bad news.
