context: Umm...! response:	It was all a lie! I had those two set this whole thing up for me.
context: Call for an ambulance!\She's in the ICU right now...\Everything'll be fine.\Everything will be fine.\He's late... and he's always so punctual, too...\Sorry, mind if I take a quick phone call?\Sure.\You didn't have plans did you? response:	Ah, yeah... I kinda had something to do.
context: She's in the ICU right now...\Everything'll be fine.\Everything will be fine.\He's late... and he's always so punctual, too...\Sorry, mind if I take a quick phone call?\Sure.\You didn't have plans did you?\Ah, yeah... I kinda had something to do. response:	I'll be right back.
context: Everything'll be fine.\Everything will be fine.\He's late... and he's always so punctual, too...\Sorry, mind if I take a quick phone call?\Sure.\You didn't have plans did you?\Ah, yeah... I kinda had something to do.\I'll be right back. response:	Yano? You're already a half hour late...
context: Everything will be fine.\He's late... and he's always so punctual, too...\Sorry, mind if I take a quick phone call?\Sure.\You didn't have plans did you?\Ah, yeah... I kinda had something to do.\I'll be right back.\Yano? You're already a half hour late... response:	What's the matter?
context: He's late... and he's always so punctual, too...\Sorry, mind if I take a quick phone call?\Sure.\You didn't have plans did you?\Ah, yeah... I kinda had something to do.\I'll be right back.\Yano? You're already a half hour late...\What's the matter? response:	I couldn't get through your cellphone at all...
context: Sorry, mind if I take a quick phone call?\Sure.\You didn't have plans did you?\Ah, yeah... I kinda had something to do.\I'll be right back.\Yano? You're already a half hour late...\What's the matter?\I couldn't get through your cellphone at all... response:	Sorry. Something pressing came up, and...
context: Sure.\You didn't have plans did you?\Ah, yeah... I kinda had something to do.\I'll be right back.\Yano? You're already a half hour late...\What's the matter?\I couldn't get through your cellphone at all...\Sorry. Something pressing came up, and... response:	Um, I think I'll be tied up for a bit, so could you go home for now, Takahashi?
context: You didn't have plans did you?\Ah, yeah... I kinda had something to do.\I'll be right back.\Yano? You're already a half hour late...\What's the matter?\I couldn't get through your cellphone at all...\Sorry. Something pressing came up, and...\Um, I think I'll be tied up for a bit, so could you go home for now, Takahashi? response:	But... what about the movie?
context: Ah, yeah... I kinda had something to do.\I'll be right back.\Yano? You're already a half hour late...\What's the matter?\I couldn't get through your cellphone at all...\Sorry. Something pressing came up, and...\Um, I think I'll be tied up for a bit, so could you go home for now, Takahashi?\But... what about the movie? response:	I'm sorry.
context: I'll be right back.\Yano? You're already a half hour late...\What's the matter?\I couldn't get through your cellphone at all...\Sorry. Something pressing came up, and...\Um, I think I'll be tied up for a bit, so could you go home for now, Takahashi?\But... what about the movie?\I'm sorry. response:	What time will you be able to get to my house?
context: Yano? You're already a half hour late...\What's the matter?\I couldn't get through your cellphone at all...\Sorry. Something pressing came up, and...\Um, I think I'll be tied up for a bit, so could you go home for now, Takahashi?\But... what about the movie?\I'm sorry.\What time will you be able to get to my house? response:	I don't know...
context: What's the matter?\I couldn't get through your cellphone at all...\Sorry. Something pressing came up, and...\Um, I think I'll be tied up for a bit, so could you go home for now, Takahashi?\But... what about the movie?\I'm sorry.\What time will you be able to get to my house?\I don't know... response:	You don't know? What are you doing?
context: I couldn't get through your cellphone at all...\Sorry. Something pressing came up, and...\Um, I think I'll be tied up for a bit, so could you go home for now, Takahashi?\But... what about the movie?\I'm sorry.\What time will you be able to get to my house?\I don't know...\You don't know? What are you doing? response:	Yamamoto's mom collapsed. I'm with her at the hospital right now.
context: Sorry. Something pressing came up, and...\Um, I think I'll be tied up for a bit, so could you go home for now, Takahashi?\But... what about the movie?\I'm sorry.\What time will you be able to get to my house?\I don't know...\You don't know? What are you doing?\Yamamoto's mom collapsed. I'm with her at the hospital right now. response:	What's wrong with her...?
context: Um, I think I'll be tied up for a bit, so could you go home for now, Takahashi?\But... what about the movie?\I'm sorry.\What time will you be able to get to my house?\I don't know...\You don't know? What are you doing?\Yamamoto's mom collapsed. I'm with her at the hospital right now.\What's wrong with her...? response:	Right now, we're not sure... It might have been a stroke.
context: But... what about the movie?\I'm sorry.\What time will you be able to get to my house?\I don't know...\You don't know? What are you doing?\Yamamoto's mom collapsed. I'm with her at the hospital right now.\What's wrong with her...?\Right now, we're not sure... It might have been a stroke. response:	She still hasn't come out of the ICU yet, so...
context: I'm sorry.\What time will you be able to get to my house?\I don't know...\You don't know? What are you doing?\Yamamoto's mom collapsed. I'm with her at the hospital right now.\What's wrong with her...?\Right now, we're not sure... It might have been a stroke.\She still hasn't come out of the ICU yet, so... response:	I see...
context: What time will you be able to get to my house?\I don't know...\You don't know? What are you doing?\Yamamoto's mom collapsed. I'm with her at the hospital right now.\What's wrong with her...?\Right now, we're not sure... It might have been a stroke.\She still hasn't come out of the ICU yet, so...\I see... response:	It sounds pretty bad...
context: I don't know...\You don't know? What are you doing?\Yamamoto's mom collapsed. I'm with her at the hospital right now.\What's wrong with her...?\Right now, we're not sure... It might have been a stroke.\She still hasn't come out of the ICU yet, so...\I see...\It sounds pretty bad... response:	Yeah.
context: You don't know? What are you doing?\Yamamoto's mom collapsed. I'm with her at the hospital right now.\What's wrong with her...?\Right now, we're not sure... It might have been a stroke.\She still hasn't come out of the ICU yet, so...\I see...\It sounds pretty bad...\Yeah. response:	That's why, until we know what her condition is...
context: Yamamoto's mom collapsed. I'm with her at the hospital right now.\What's wrong with her...?\Right now, we're not sure... It might have been a stroke.\She still hasn't come out of the ICU yet, so...\I see...\It sounds pretty bad...\Yeah.\That's why, until we know what her condition is... response:	But... why do you have to be there?
context: What's wrong with her...?\Right now, we're not sure... It might have been a stroke.\She still hasn't come out of the ICU yet, so...\I see...\It sounds pretty bad...\Yeah.\That's why, until we know what her condition is...\But... why do you have to be there? response:	Why?
context: Right now, we're not sure... It might have been a stroke.\She still hasn't come out of the ICU yet, so...\I see...\It sounds pretty bad...\Yeah.\That's why, until we know what her condition is...\But... why do you have to be there?\Why? response:	I see what you're saying.
context: She still hasn't come out of the ICU yet, so...\I see...\It sounds pretty bad...\Yeah.\That's why, until we know what her condition is...\But... why do you have to be there?\Why?\I see what you're saying. response:	But...
context: I see...\It sounds pretty bad...\Yeah.\That's why, until we know what her condition is...\But... why do you have to be there?\Why?\I see what you're saying.\But... response:	Then come over here right now!
context: It sounds pretty bad...\Yeah.\That's why, until we know what her condition is...\But... why do you have to be there?\Why?\I see what you're saying.\But...\Then come over here right now! response:	I can't abandon her.
context: Yeah.\That's why, until we know what her condition is...\But... why do you have to be there?\Why?\I see what you're saying.\But...\Then come over here right now!\I can't abandon her. response:	You can't abandon her...?
context: That's why, until we know what her condition is...\But... why do you have to be there?\Why?\I see what you're saying.\But...\Then come over here right now!\I can't abandon her.\You can't abandon her...? response:	Please go home and wait for me there.
context: But... why do you have to be there?\Why?\I see what you're saying.\But...\Then come over here right now!\I can't abandon her.\You can't abandon her...?\Please go home and wait for me there. response:	Okay, Takahashi? Please.
context: Why?\I see what you're saying.\But...\Then come over here right now!\I can't abandon her.\You can't abandon her...?\Please go home and wait for me there.\Okay, Takahashi? Please. response:	Why...?
context: I see what you're saying.\But...\Then come over here right now!\I can't abandon her.\You can't abandon her...?\Please go home and wait for me there.\Okay, Takahashi? Please.\Why...? response:	Why?!
context: But...\Then come over here right now!\I can't abandon her.\You can't abandon her...?\Please go home and wait for me there.\Okay, Takahashi? Please.\Why...?\Why?! response:	I'm not going home! Come here right now! I won't go home until you get here!
context: Then come over here right now!\I can't abandon her.\You can't abandon her...?\Please go home and wait for me there.\Okay, Takahashi? Please.\Why...?\Why?!\I'm not going home! Come here right now! I won't go home until you get here! response:	Takahash-
context: I can't abandon her.\You can't abandon her...?\Please go home and wait for me there.\Okay, Takahashi? Please.\Why...?\Why?!\I'm not going home! Come here right now! I won't go home until you get here!\Takahash- response:	What's up with that...?
context: You can't abandon her...?\Please go home and wait for me there.\Okay, Takahashi? Please.\Why...?\Why?!\I'm not going home! Come here right now! I won't go home until you get here!\Takahash-\What's up with that...? response:	How can he choose Yamamoto-san over me today... of all days...?
context: Please go home and wait for me there.\Okay, Takahashi? Please.\Why...?\Why?!\I'm not going home! Come here right now! I won't go home until you get here!\Takahash-\What's up with that...?\How can he choose Yamamoto-san over me today... of all days...? response:	It seems like I've been talking the whole time...
context: Okay, Takahashi? Please.\Why...?\Why?!\I'm not going home! Come here right now! I won't go home until you get here!\Takahash-\What's up with that...?\How can he choose Yamamoto-san over me today... of all days...?\It seems like I've been talking the whole time... response:	Am I boring?
context: Why...?\Why?!\I'm not going home! Come here right now! I won't go home until you get here!\Takahash-\What's up with that...?\How can he choose Yamamoto-san over me today... of all days...?\It seems like I've been talking the whole time...\Am I boring? response:	N-Not at all!
context: Why?!\I'm not going home! Come here right now! I won't go home until you get here!\Takahash-\What's up with that...?\How can he choose Yamamoto-san over me today... of all days...?\It seems like I've been talking the whole time...\Am I boring?\N-Not at all! response:	That reminds me... do you have any siblings?
context: I'm not going home! Come here right now! I won't go home until you get here!\Takahash-\What's up with that...?\How can he choose Yamamoto-san over me today... of all days...?\It seems like I've been talking the whole time...\Am I boring?\N-Not at all!\That reminds me... do you have any siblings? response:	I have a little brother... but... didn't we just talk about this?
context: Takahash-\What's up with that...?\How can he choose Yamamoto-san over me today... of all days...?\It seems like I've been talking the whole time...\Am I boring?\N-Not at all!\That reminds me... do you have any siblings?\I have a little brother... but... didn't we just talk about this? response:	I'm sorry.
context: What's up with that...?\How can he choose Yamamoto-san over me today... of all days...?\It seems like I've been talking the whole time...\Am I boring?\N-Not at all!\That reminds me... do you have any siblings?\I have a little brother... but... didn't we just talk about this?\I'm sorry. response:	Ah, excuse me for a sec...
context: How can he choose Yamamoto-san over me today... of all days...?\It seems like I've been talking the whole time...\Am I boring?\N-Not at all!\That reminds me... do you have any siblings?\I have a little brother... but... didn't we just talk about this?\I'm sorry.\Ah, excuse me for a sec... response:	Hello?
context: It seems like I've been talking the whole time...\Am I boring?\N-Not at all!\That reminds me... do you have any siblings?\I have a little brother... but... didn't we just talk about this?\I'm sorry.\Ah, excuse me for a sec...\Hello? response:	What do you want?
context: Am I boring?\N-Not at all!\That reminds me... do you have any siblings?\I have a little brother... but... didn't we just talk about this?\I'm sorry.\Ah, excuse me for a sec...\Hello?\What do you want? response:	Huh?
context: N-Not at all!\That reminds me... do you have any siblings?\I have a little brother... but... didn't we just talk about this?\I'm sorry.\Ah, excuse me for a sec...\Hello?\What do you want?\Huh? response:	What the hell are you doing?!
context: That reminds me... do you have any siblings?\I have a little brother... but... didn't we just talk about this?\I'm sorry.\Ah, excuse me for a sec...\Hello?\What do you want?\Huh?\What the hell are you doing?! response:	She's completely lost it. She's even blocked calls from me and won't pick up.
context: I have a little brother... but... didn't we just talk about this?\I'm sorry.\Ah, excuse me for a sec...\Hello?\What do you want?\Huh?\What the hell are you doing?!\She's completely lost it. She's even blocked calls from me and won't pick up. response:	But I have to go back inside...
context: I'm sorry.\Ah, excuse me for a sec...\Hello?\What do you want?\Huh?\What the hell are you doing?!\She's completely lost it. She's even blocked calls from me and won't pick up.\But I have to go back inside... response:	Sorry, but could you persuade her for me?
context: Ah, excuse me for a sec...\Hello?\What do you want?\Huh?\What the hell are you doing?!\She's completely lost it. She's even blocked calls from me and won't pick up.\But I have to go back inside...\Sorry, but could you persuade her for me? response:	I think she'll take your call.
context: Hello?\What do you want?\Huh?\What the hell are you doing?!\She's completely lost it. She's even blocked calls from me and won't pick up.\But I have to go back inside...\Sorry, but could you persuade her for me?\I think she'll take your call. response:	Are you an idiot?!
context: What do you want?\Huh?\What the hell are you doing?!\She's completely lost it. She's even blocked calls from me and won't pick up.\But I have to go back inside...\Sorry, but could you persuade her for me?\I think she'll take your call.\Are you an idiot?! response:	If you go to Takahashi right now, you won't have a problem!
context: Huh?\What the hell are you doing?!\She's completely lost it. She's even blocked calls from me and won't pick up.\But I have to go back inside...\Sorry, but could you persuade her for me?\I think she'll take your call.\Are you an idiot?!\If you go to Takahashi right now, you won't have a problem! response:	Do you even realize what you're doing?!
context: What the hell are you doing?!\She's completely lost it. She's even blocked calls from me and won't pick up.\But I have to go back inside...\Sorry, but could you persuade her for me?\I think she'll take your call.\Are you an idiot?!\If you go to Takahashi right now, you won't have a problem!\Do you even realize what you're doing?! response:	She's all alone.
context: She's completely lost it. She's even blocked calls from me and won't pick up.\But I have to go back inside...\Sorry, but could you persuade her for me?\I think she'll take your call.\Are you an idiot?!\If you go to Takahashi right now, you won't have a problem!\Do you even realize what you're doing?!\She's all alone. response:	She doesn't have a dad.
context: But I have to go back inside...\Sorry, but could you persuade her for me?\I think she'll take your call.\Are you an idiot?!\If you go to Takahashi right now, you won't have a problem!\Do you even realize what you're doing?!\She's all alone.\She doesn't have a dad. response:	Or well, she does... but he hardly ever comes home because he's always with some other woman.
context: Sorry, but could you persuade her for me?\I think she'll take your call.\Are you an idiot?!\If you go to Takahashi right now, you won't have a problem!\Do you even realize what you're doing?!\She's all alone.\She doesn't have a dad.\Or well, she does... but he hardly ever comes home because he's always with some other woman. response:	Her other relatives live far away, too.
context: I think she'll take your call.\Are you an idiot?!\If you go to Takahashi right now, you won't have a problem!\Do you even realize what you're doing?!\She's all alone.\She doesn't have a dad.\Or well, she does... but he hardly ever comes home because he's always with some other woman.\Her other relatives live far away, too. response:	She has no one to rely on.
context: Are you an idiot?!\If you go to Takahashi right now, you won't have a problem!\Do you even realize what you're doing?!\She's all alone.\She doesn't have a dad.\Or well, she does... but he hardly ever comes home because he's always with some other woman.\Her other relatives live far away, too.\She has no one to rely on. response:	Right now, her only family is her mother.
context: If you go to Takahashi right now, you won't have a problem!\Do you even realize what you're doing?!\She's all alone.\She doesn't have a dad.\Or well, she does... but he hardly ever comes home because he's always with some other woman.\Her other relatives live far away, too.\She has no one to rely on.\Right now, her only family is her mother. response:	I can really understand... those uneasy feelings she's having right now.
context: Do you even realize what you're doing?!\She's all alone.\She doesn't have a dad.\Or well, she does... but he hardly ever comes home because he's always with some other woman.\Her other relatives live far away, too.\She has no one to rely on.\Right now, her only family is her mother.\I can really understand... those uneasy feelings she's having right now. response:	So why do you have to be the one who looks after her?
context: She's all alone.\She doesn't have a dad.\Or well, she does... but he hardly ever comes home because he's always with some other woman.\Her other relatives live far away, too.\She has no one to rely on.\Right now, her only family is her mother.\I can really understand... those uneasy feelings she's having right now.\So why do you have to be the one who looks after her? response:	Listen.
context: She doesn't have a dad.\Or well, she does... but he hardly ever comes home because he's always with some other woman.\Her other relatives live far away, too.\She has no one to rely on.\Right now, her only family is her mother.\I can really understand... those uneasy feelings she's having right now.\So why do you have to be the one who looks after her?\Listen. response:	It's better for her if you don't give her some half-hearted sympathy.
context: Or well, she does... but he hardly ever comes home because he's always with some other woman.\Her other relatives live far away, too.\She has no one to rely on.\Right now, her only family is her mother.\I can really understand... those uneasy feelings she's having right now.\So why do you have to be the one who looks after her?\Listen.\It's better for her if you don't give her some half-hearted sympathy. response:	The same goes for you, too.
context: Her other relatives live far away, too.\She has no one to rely on.\Right now, her only family is her mother.\I can really understand... those uneasy feelings she's having right now.\So why do you have to be the one who looks after her?\Listen.\It's better for her if you don't give her some half-hearted sympathy.\The same goes for you, too. response:	You can't really say that, can you?
context: She has no one to rely on.\Right now, her only family is her mother.\I can really understand... those uneasy feelings she's having right now.\So why do you have to be the one who looks after her?\Listen.\It's better for her if you don't give her some half-hearted sympathy.\The same goes for you, too.\You can't really say that, can you? response:	After all, you're doing the same thing as me right now.
context: Right now, her only family is her mother.\I can really understand... those uneasy feelings she's having right now.\So why do you have to be the one who looks after her?\Listen.\It's better for her if you don't give her some half-hearted sympathy.\The same goes for you, too.\You can't really say that, can you?\After all, you're doing the same thing as me right now. response:	Well, I'm going back inside, so... I'll leave contacting her up to you.
context: I can really understand... those uneasy feelings she's having right now.\So why do you have to be the one who looks after her?\Listen.\It's better for her if you don't give her some half-hearted sympathy.\The same goes for you, too.\You can't really say that, can you?\After all, you're doing the same thing as me right now.\Well, I'm going back inside, so... I'll leave contacting her up to you. response:	Is everything all right?
context: So why do you have to be the one who looks after her?\Listen.\It's better for her if you don't give her some half-hearted sympathy.\The same goes for you, too.\You can't really say that, can you?\After all, you're doing the same thing as me right now.\Well, I'm going back inside, so... I'll leave contacting her up to you.\Is everything all right? response:	Did something came up?
context: Listen.\It's better for her if you don't give her some half-hearted sympathy.\The same goes for you, too.\You can't really say that, can you?\After all, you're doing the same thing as me right now.\Well, I'm going back inside, so... I'll leave contacting her up to you.\Is everything all right?\Did something came up? response:	No... I'm sorry, but would you mind if I made another phone call?
context: It's better for her if you don't give her some half-hearted sympathy.\The same goes for you, too.\You can't really say that, can you?\After all, you're doing the same thing as me right now.\Well, I'm going back inside, so... I'll leave contacting her up to you.\Is everything all right?\Did something came up?\No... I'm sorry, but would you mind if I made another phone call? response:	Go ahead.
context: The same goes for you, too.\You can't really say that, can you?\After all, you're doing the same thing as me right now.\Well, I'm going back inside, so... I'll leave contacting her up to you.\Is everything all right?\Did something came up?\No... I'm sorry, but would you mind if I made another phone call?\Go ahead. response:	No... I won't go home.
context: You can't really say that, can you?\After all, you're doing the same thing as me right now.\Well, I'm going back inside, so... I'll leave contacting her up to you.\Is everything all right?\Did something came up?\No... I'm sorry, but would you mind if I made another phone call?\Go ahead.\No... I won't go home. response:	But it doesn't matter how long you stay there...
context: After all, you're doing the same thing as me right now.\Well, I'm going back inside, so... I'll leave contacting her up to you.\Is everything all right?\Did something came up?\No... I'm sorry, but would you mind if I made another phone call?\Go ahead.\No... I won't go home.\But it doesn't matter how long you stay there... response:	It's cold out, too.
context: Well, I'm going back inside, so... I'll leave contacting her up to you.\Is everything all right?\Did something came up?\No... I'm sorry, but would you mind if I made another phone call?\Go ahead.\No... I won't go home.\But it doesn't matter how long you stay there...\It's cold out, too. response:	That's fine! I don't want to go home.
context: Is everything all right?\Did something came up?\No... I'm sorry, but would you mind if I made another phone call?\Go ahead.\No... I won't go home.\But it doesn't matter how long you stay there...\It's cold out, too.\That's fine! I don't want to go home. response:	Takaha-
context: Did something came up?\No... I'm sorry, but would you mind if I made another phone call?\Go ahead.\No... I won't go home.\But it doesn't matter how long you stay there...\It's cold out, too.\That's fine! I don't want to go home.\Takaha- response:	Leave me alone! Takeuchi-kun, you moron!
context: No... I'm sorry, but would you mind if I made another phone call?\Go ahead.\No... I won't go home.\But it doesn't matter how long you stay there...\It's cold out, too.\That's fine! I don't want to go home.\Takaha-\Leave me alone! Takeuchi-kun, you moron! response:	I'm sorry...
context: Go ahead.\No... I won't go home.\But it doesn't matter how long you stay there...\It's cold out, too.\That's fine! I don't want to go home.\Takaha-\Leave me alone! Takeuchi-kun, you moron!\I'm sorry... response:	It's not even your fault...
context: No... I won't go home.\But it doesn't matter how long you stay there...\It's cold out, too.\That's fine! I don't want to go home.\Takaha-\Leave me alone! Takeuchi-kun, you moron!\I'm sorry...\It's not even your fault... response:	But please... leave me alone right now.
context: But it doesn't matter how long you stay there...\It's cold out, too.\That's fine! I don't want to go home.\Takaha-\Leave me alone! Takeuchi-kun, you moron!\I'm sorry...\It's not even your fault...\But please... leave me alone right now. response:	Why can't Yano... understand my feelings?
context: It's cold out, too.\That's fine! I don't want to go home.\Takaha-\Leave me alone! Takeuchi-kun, you moron!\I'm sorry...\It's not even your fault...\But please... leave me alone right now.\Why can't Yano... understand my feelings? response:	Please... don't call me again, even if Yano asks you to.
context: That's fine! I don't want to go home.\Takaha-\Leave me alone! Takeuchi-kun, you moron!\I'm sorry...\It's not even your fault...\But please... leave me alone right now.\Why can't Yano... understand my feelings?\Please... don't call me again, even if Yano asks you to. response:	I'm being so stubborn for no reason...
context: Takaha-\Leave me alone! Takeuchi-kun, you moron!\I'm sorry...\It's not even your fault...\But please... leave me alone right now.\Why can't Yano... understand my feelings?\Please... don't call me again, even if Yano asks you to.\I'm being so stubborn for no reason... response:	I just can't be my normal, happy self...
context: Leave me alone! Takeuchi-kun, you moron!\I'm sorry...\It's not even your fault...\But please... leave me alone right now.\Why can't Yano... understand my feelings?\Please... don't call me again, even if Yano asks you to.\I'm being so stubborn for no reason...\I just can't be my normal, happy self... response:	I know that much...
context: I'm sorry...\It's not even your fault...\But please... leave me alone right now.\Why can't Yano... understand my feelings?\Please... don't call me again, even if Yano asks you to.\I'm being so stubborn for no reason...\I just can't be my normal, happy self...\I know that much... response:	And if the girl he was with wasn't Yamamoto-san, I know I wouldn't be this stubborn...
context: It's not even your fault...\But please... leave me alone right now.\Why can't Yano... understand my feelings?\Please... don't call me again, even if Yano asks you to.\I'm being so stubborn for no reason...\I just can't be my normal, happy self...\I know that much...\And if the girl he was with wasn't Yamamoto-san, I know I wouldn't be this stubborn... response:	But no matter what happened, I definitely wanted him to come today...
context: But please... leave me alone right now.\Why can't Yano... understand my feelings?\Please... don't call me again, even if Yano asks you to.\I'm being so stubborn for no reason...\I just can't be my normal, happy self...\I know that much...\And if the girl he was with wasn't Yamamoto-san, I know I wouldn't be this stubborn...\But no matter what happened, I definitely wanted him to come today... response:	Yano... I don't want to be all alone at a time like this, either...
context: Why can't Yano... understand my feelings?\Please... don't call me again, even if Yano asks you to.\I'm being so stubborn for no reason...\I just can't be my normal, happy self...\I know that much...\And if the girl he was with wasn't Yamamoto-san, I know I wouldn't be this stubborn...\But no matter what happened, I definitely wanted him to come today...\Yano... I don't want to be all alone at a time like this, either... response:	And then... are you listening?
context: Please... don't call me again, even if Yano asks you to.\I'm being so stubborn for no reason...\I just can't be my normal, happy self...\I know that much...\And if the girl he was with wasn't Yamamoto-san, I know I wouldn't be this stubborn...\But no matter what happened, I definitely wanted him to come today...\Yano... I don't want to be all alone at a time like this, either...\And then... are you listening? response:	Takeuchi-kun, you haven't been able to drag your eyes away from that window since that phone call earlier.
context: I'm being so stubborn for no reason...\I just can't be my normal, happy self...\I know that much...\And if the girl he was with wasn't Yamamoto-san, I know I wouldn't be this stubborn...\But no matter what happened, I definitely wanted him to come today...\Yano... I don't want to be all alone at a time like this, either...\And then... are you listening?\Takeuchi-kun, you haven't been able to drag your eyes away from that window since that phone call earlier. response:	If you're family, please come in.
context: I just can't be my normal, happy self...\I know that much...\And if the girl he was with wasn't Yamamoto-san, I know I wouldn't be this stubborn...\But no matter what happened, I definitely wanted him to come today...\Yano... I don't want to be all alone at a time like this, either...\And then... are you listening?\Takeuchi-kun, you haven't been able to drag your eyes away from that window since that phone call earlier.\If you're family, please come in. response:	There are no abnormalities in her brain waves or anything else.
context: I know that much...\And if the girl he was with wasn't Yamamoto-san, I know I wouldn't be this stubborn...\But no matter what happened, I definitely wanted him to come today...\Yano... I don't want to be all alone at a time like this, either...\And then... are you listening?\Takeuchi-kun, you haven't been able to drag your eyes away from that window since that phone call earlier.\If you're family, please come in.\There are no abnormalities in her brain waves or anything else. response:	Thanks to the medicine we've administered, her blood pressure is returning to normal levels.
context: And if the girl he was with wasn't Yamamoto-san, I know I wouldn't be this stubborn...\But no matter what happened, I definitely wanted him to come today...\Yano... I don't want to be all alone at a time like this, either...\And then... are you listening?\Takeuchi-kun, you haven't been able to drag your eyes away from that window since that phone call earlier.\If you're family, please come in.\There are no abnormalities in her brain waves or anything else.\Thanks to the medicine we've administered, her blood pressure is returning to normal levels. response:	I think we caught it early enough.
context: But no matter what happened, I definitely wanted him to come today...\Yano... I don't want to be all alone at a time like this, either...\And then... are you listening?\Takeuchi-kun, you haven't been able to drag your eyes away from that window since that phone call earlier.\If you're family, please come in.\There are no abnormalities in her brain waves or anything else.\Thanks to the medicine we've administered, her blood pressure is returning to normal levels.\I think we caught it early enough. response:	This accident most likely occurred from an overload of work and stress.
context: Yano... I don't want to be all alone at a time like this, either...\And then... are you listening?\Takeuchi-kun, you haven't been able to drag your eyes away from that window since that phone call earlier.\If you're family, please come in.\There are no abnormalities in her brain waves or anything else.\Thanks to the medicine we've administered, her blood pressure is returning to normal levels.\I think we caught it early enough.\This accident most likely occurred from an overload of work and stress. response:	I believe she will wake up momentarily.
context: And then... are you listening?\Takeuchi-kun, you haven't been able to drag your eyes away from that window since that phone call earlier.\If you're family, please come in.\There are no abnormalities in her brain waves or anything else.\Thanks to the medicine we've administered, her blood pressure is returning to normal levels.\I think we caught it early enough.\This accident most likely occurred from an overload of work and stress.\I believe she will wake up momentarily. response:	I need to take care of the hospital paperwork...
context: Takeuchi-kun, you haven't been able to drag your eyes away from that window since that phone call earlier.\If you're family, please come in.\There are no abnormalities in her brain waves or anything else.\Thanks to the medicine we've administered, her blood pressure is returning to normal levels.\I think we caught it early enough.\This accident most likely occurred from an overload of work and stress.\I believe she will wake up momentarily.\I need to take care of the hospital paperwork... response:	Are you going to stay here overnight?
context: If you're family, please come in.\There are no abnormalities in her brain waves or anything else.\Thanks to the medicine we've administered, her blood pressure is returning to normal levels.\I think we caught it early enough.\This accident most likely occurred from an overload of work and stress.\I believe she will wake up momentarily.\I need to take care of the hospital paperwork...\Are you going to stay here overnight? response:	Well... I'll decide that after she wakes up and I see how she's doing.
context: There are no abnormalities in her brain waves or anything else.\Thanks to the medicine we've administered, her blood pressure is returning to normal levels.\I think we caught it early enough.\This accident most likely occurred from an overload of work and stress.\I believe she will wake up momentarily.\I need to take care of the hospital paperwork...\Are you going to stay here overnight?\Well... I'll decide that after she wakes up and I see how she's doing. response:	That aside, are you hungry?
context: Thanks to the medicine we've administered, her blood pressure is returning to normal levels.\I think we caught it early enough.\This accident most likely occurred from an overload of work and stress.\I believe she will wake up momentarily.\I need to take care of the hospital paperwork...\Are you going to stay here overnight?\Well... I'll decide that after she wakes up and I see how she's doing.\That aside, are you hungry? response:	You missed lunch because of this, right?
context: I think we caught it early enough.\This accident most likely occurred from an overload of work and stress.\I believe she will wake up momentarily.\I need to take care of the hospital paperwork...\Are you going to stay here overnight?\Well... I'll decide that after she wakes up and I see how she's doing.\That aside, are you hungry?\You missed lunch because of this, right? response:	It's my treat, so why don't you go get something at the cafeteria?
context: This accident most likely occurred from an overload of work and stress.\I believe she will wake up momentarily.\I need to take care of the hospital paperwork...\Are you going to stay here overnight?\Well... I'll decide that after she wakes up and I see how she's doing.\That aside, are you hungry?\You missed lunch because of this, right?\It's my treat, so why don't you go get something at the cafeteria? response:	Can I... take off for today?
context: I believe she will wake up momentarily.\I need to take care of the hospital paperwork...\Are you going to stay here overnight?\Well... I'll decide that after she wakes up and I see how she's doing.\That aside, are you hungry?\You missed lunch because of this, right?\It's my treat, so why don't you go get something at the cafeteria?\Can I... take off for today? response:	There's somewhere I really have to go right now.
context: I need to take care of the hospital paperwork...\Are you going to stay here overnight?\Well... I'll decide that after she wakes up and I see how she's doing.\That aside, are you hungry?\You missed lunch because of this, right?\It's my treat, so why don't you go get something at the cafeteria?\Can I... take off for today?\There's somewhere I really have to go right now. response:	Y-Yeah... I'm sorry for pulling you away.
context: Are you going to stay here overnight?\Well... I'll decide that after she wakes up and I see how she's doing.\That aside, are you hungry?\You missed lunch because of this, right?\It's my treat, so why don't you go get something at the cafeteria?\Can I... take off for today?\There's somewhere I really have to go right now.\Y-Yeah... I'm sorry for pulling you away. response:	Especially on a weekend like this...
context: Well... I'll decide that after she wakes up and I see how she's doing.\That aside, are you hungry?\You missed lunch because of this, right?\It's my treat, so why don't you go get something at the cafeteria?\Can I... take off for today?\There's somewhere I really have to go right now.\Y-Yeah... I'm sorry for pulling you away.\Especially on a weekend like this... response:	I'm sorry. I'd really like to be with you until your mom wakes up...
context: That aside, are you hungry?\You missed lunch because of this, right?\It's my treat, so why don't you go get something at the cafeteria?\Can I... take off for today?\There's somewhere I really have to go right now.\Y-Yeah... I'm sorry for pulling you away.\Especially on a weekend like this...\I'm sorry. I'd really like to be with you until your mom wakes up... response:	But if anything happens, don't hesitate to give me a call.
context: You missed lunch because of this, right?\It's my treat, so why don't you go get something at the cafeteria?\Can I... take off for today?\There's somewhere I really have to go right now.\Y-Yeah... I'm sorry for pulling you away.\Especially on a weekend like this...\I'm sorry. I'd really like to be with you until your mom wakes up...\But if anything happens, don't hesitate to give me a call. response:	I can't do anything physically, but I can at least be there for you.
