context: She's a pretty... response:	Yup.
context: Know her? She lives here!\And she's our songstress!\She's the most important person in the Star Festival!\She went missing two days ago.\We were worried.\From talking to her,\it seemed like she doesn't remember anything\except her own name and the Sickness Demons. response:	And more than anything, she can't talk.
context: And she's our songstress!\She's the most important person in the Star Festival!\She went missing two days ago.\We were worried.\From talking to her,\it seemed like she doesn't remember anything\except her own name and the Sickness Demons.\And more than anything, she can't talk. response:	I see.
context: She's the most important person in the Star Festival!\She went missing two days ago.\We were worried.\From talking to her,\it seemed like she doesn't remember anything\except her own name and the Sickness Demons.\And more than anything, she can't talk.\I see. response:	But I'm glad Aria's safe.
context: She went missing two days ago.\We were worried.\From talking to her,\it seemed like she doesn't remember anything\except her own name and the Sickness Demons.\And more than anything, she can't talk.\I see.\But I'm glad Aria's safe. response:	I don't know why this happened,
context: We were worried.\From talking to her,\it seemed like she doesn't remember anything\except her own name and the Sickness Demons.\And more than anything, she can't talk.\I see.\But I'm glad Aria's safe.\I don't know why this happened, response:	but I'm sure if the sickness is cured, she'll get better.
context: From talking to her,\it seemed like she doesn't remember anything\except her own name and the Sickness Demons.\And more than anything, she can't talk.\I see.\But I'm glad Aria's safe.\I don't know why this happened,\but I'm sure if the sickness is cured, she'll get better. response:	The Star Whale swallows many things,
context: it seemed like she doesn't remember anything\except her own name and the Sickness Demons.\And more than anything, she can't talk.\I see.\But I'm glad Aria's safe.\I don't know why this happened,\but I'm sure if the sickness is cured, she'll get better.\The Star Whale swallows many things, response:	especially poisonous air, air which contains bad things in it...
context: except her own name and the Sickness Demons.\And more than anything, she can't talk.\I see.\But I'm glad Aria's safe.\I don't know why this happened,\but I'm sure if the sickness is cured, she'll get better.\The Star Whale swallows many things,\especially poisonous air, air which contains bad things in it... response:	The Star Whale swallows it
context: And more than anything, she can't talk.\I see.\But I'm glad Aria's safe.\I don't know why this happened,\but I'm sure if the sickness is cured, she'll get better.\The Star Whale swallows many things,\especially poisonous air, air which contains bad things in it...\The Star Whale swallows it response:	and purifies it inside its body.
context: I see.\But I'm glad Aria's safe.\I don't know why this happened,\but I'm sure if the sickness is cured, she'll get better.\The Star Whale swallows many things,\especially poisonous air, air which contains bad things in it...\The Star Whale swallows it\and purifies it inside its body. response:	The Star Whale purifies the sky.
context: But I'm glad Aria's safe.\I don't know why this happened,\but I'm sure if the sickness is cured, she'll get better.\The Star Whale swallows many things,\especially poisonous air, air which contains bad things in it...\The Star Whale swallows it\and purifies it inside its body.\The Star Whale purifies the sky. response:	I listen to its voice and the star people
context: I don't know why this happened,\but I'm sure if the sickness is cured, she'll get better.\The Star Whale swallows many things,\especially poisonous air, air which contains bad things in it...\The Star Whale swallows it\and purifies it inside its body.\The Star Whale purifies the sky.\I listen to its voice and the star people response:	sing festival songs and song of healing
context: but I'm sure if the sickness is cured, she'll get better.\The Star Whale swallows many things,\especially poisonous air, air which contains bad things in it...\The Star Whale swallows it\and purifies it inside its body.\The Star Whale purifies the sky.\I listen to its voice and the star people\sing festival songs and song of healing response:	to maintain its health
context: The Star Whale swallows many things,\especially poisonous air, air which contains bad things in it...\The Star Whale swallows it\and purifies it inside its body.\The Star Whale purifies the sky.\I listen to its voice and the star people\sing festival songs and song of healing\to maintain its health response:	and keep the insides of its body bountiful.
context: especially poisonous air, air which contains bad things in it...\The Star Whale swallows it\and purifies it inside its body.\The Star Whale purifies the sky.\I listen to its voice and the star people\sing festival songs and song of healing\to maintain its health\and keep the insides of its body bountiful. response:	This place is
context: The Star Whale swallows it\and purifies it inside its body.\The Star Whale purifies the sky.\I listen to its voice and the star people\sing festival songs and song of healing\to maintain its health\and keep the insides of its body bountiful.\This place is response:	usually much prettier.
context: and purifies it inside its body.\The Star Whale purifies the sky.\I listen to its voice and the star people\sing festival songs and song of healing\to maintain its health\and keep the insides of its body bountiful.\This place is\usually much prettier. response:	It's not this dark.
context: The Star Whale purifies the sky.\I listen to its voice and the star people\sing festival songs and song of healing\to maintain its health\and keep the insides of its body bountiful.\This place is\usually much prettier.\It's not this dark. response:	There have been Sickness Demons in the past,
context: I listen to its voice and the star people\sing festival songs and song of healing\to maintain its health\and keep the insides of its body bountiful.\This place is\usually much prettier.\It's not this dark.\There have been Sickness Demons in the past, response:	but when the people and the Songstress sang,
context: sing festival songs and song of healing\to maintain its health\and keep the insides of its body bountiful.\This place is\usually much prettier.\It's not this dark.\There have been Sickness Demons in the past,\but when the people and the Songstress sang, response:	they got better immediately.
context: to maintain its health\and keep the insides of its body bountiful.\This place is\usually much prettier.\It's not this dark.\There have been Sickness Demons in the past,\but when the people and the Songstress sang,\they got better immediately. response:	But now
context: and keep the insides of its body bountiful.\This place is\usually much prettier.\It's not this dark.\There have been Sickness Demons in the past,\but when the people and the Songstress sang,\they got better immediately.\But now response:	most of the Star People can't sing.
context: This place is\usually much prettier.\It's not this dark.\There have been Sickness Demons in the past,\but when the people and the Songstress sang,\they got better immediately.\But now\most of the Star People can't sing. response:	And the songstress lost her voice and memories,
context: usually much prettier.\It's not this dark.\There have been Sickness Demons in the past,\but when the people and the Songstress sang,\they got better immediately.\But now\most of the Star People can't sing.\And the songstress lost her voice and memories, response:	and is like this.
context: It's not this dark.\There have been Sickness Demons in the past,\but when the people and the Songstress sang,\they got better immediately.\But now\most of the Star People can't sing.\And the songstress lost her voice and memories,\and is like this. response:	The Star Whale is suffering.
context: There have been Sickness Demons in the past,\but when the people and the Songstress sang,\they got better immediately.\But now\most of the Star People can't sing.\And the songstress lost her voice and memories,\and is like this.\The Star Whale is suffering. response:	Even I can barely hear its voice.
context: but when the people and the Songstress sang,\they got better immediately.\But now\most of the Star People can't sing.\And the songstress lost her voice and memories,\and is like this.\The Star Whale is suffering.\Even I can barely hear its voice. response:	I want to do something.
context: they got better immediately.\But now\most of the Star People can't sing.\And the songstress lost her voice and memories,\and is like this.\The Star Whale is suffering.\Even I can barely hear its voice.\I want to do something. response:	Would it help if we got rid of these Sickness Demons?
context: But now\most of the Star People can't sing.\And the songstress lost her voice and memories,\and is like this.\The Star Whale is suffering.\Even I can barely hear its voice.\I want to do something.\Would it help if we got rid of these Sickness Demons? response:	The Sickness Demons are born from within the Star Whale's body.
context: most of the Star People can't sing.\And the songstress lost her voice and memories,\and is like this.\The Star Whale is suffering.\Even I can barely hear its voice.\I want to do something.\Would it help if we got rid of these Sickness Demons?\The Sickness Demons are born from within the Star Whale's body. response:	It would help if we could reduce their numbers,
context: And the songstress lost her voice and memories,\and is like this.\The Star Whale is suffering.\Even I can barely hear its voice.\I want to do something.\Would it help if we got rid of these Sickness Demons?\The Sickness Demons are born from within the Star Whale's body.\It would help if we could reduce their numbers, response:	but that wouldn't really solve the problem.
context: and is like this.\The Star Whale is suffering.\Even I can barely hear its voice.\I want to do something.\Would it help if we got rid of these Sickness Demons?\The Sickness Demons are born from within the Star Whale's body.\It would help if we could reduce their numbers,\but that wouldn't really solve the problem. response:	Um, can I ask something?
context: The Star Whale is suffering.\Even I can barely hear its voice.\I want to do something.\Would it help if we got rid of these Sickness Demons?\The Sickness Demons are born from within the Star Whale's body.\It would help if we could reduce their numbers,\but that wouldn't really solve the problem.\Um, can I ask something? response:	Go ahead.
context: Even I can barely hear its voice.\I want to do something.\Would it help if we got rid of these Sickness Demons?\The Sickness Demons are born from within the Star Whale's body.\It would help if we could reduce their numbers,\but that wouldn't really solve the problem.\Um, can I ask something?\Go ahead. response:	Does it have to be
context: I want to do something.\Would it help if we got rid of these Sickness Demons?\The Sickness Demons are born from within the Star Whale's body.\It would help if we could reduce their numbers,\but that wouldn't really solve the problem.\Um, can I ask something?\Go ahead.\Does it have to be response:	someone special who sings that song?
context: Would it help if we got rid of these Sickness Demons?\The Sickness Demons are born from within the Star Whale's body.\It would help if we could reduce their numbers,\but that wouldn't really solve the problem.\Um, can I ask something?\Go ahead.\Does it have to be\someone special who sings that song? response:	Of course.
context: The Sickness Demons are born from within the Star Whale's body.\It would help if we could reduce their numbers,\but that wouldn't really solve the problem.\Um, can I ask something?\Go ahead.\Does it have to be\someone special who sings that song?\Of course. response:	Someone with a wonderful, kind, warm voice...
context: It would help if we could reduce their numbers,\but that wouldn't really solve the problem.\Um, can I ask something?\Go ahead.\Does it have to be\someone special who sings that song?\Of course.\Someone with a wonderful, kind, warm voice... response:	And they need to be a great singer.
context: but that wouldn't really solve the problem.\Um, can I ask something?\Go ahead.\Does it have to be\someone special who sings that song?\Of course.\Someone with a wonderful, kind, warm voice...\And they need to be a great singer. response:	Then um...
context: Um, can I ask something?\Go ahead.\Does it have to be\someone special who sings that song?\Of course.\Someone with a wonderful, kind, warm voice...\And they need to be a great singer.\Then um... response:	I happen to know somebody like that.
context: Go ahead.\Does it have to be\someone special who sings that song?\Of course.\Someone with a wonderful, kind, warm voice...\And they need to be a great singer.\Then um...\I happen to know somebody like that. response:	That's right.
context: Does it have to be\someone special who sings that song?\Of course.\Someone with a wonderful, kind, warm voice...\And they need to be a great singer.\Then um...\I happen to know somebody like that.\That's right. response:	There are people on the surface who can sing, aren't there?
context: someone special who sings that song?\Of course.\Someone with a wonderful, kind, warm voice...\And they need to be a great singer.\Then um...\I happen to know somebody like that.\That's right.\There are people on the surface who can sing, aren't there? response:	There sure are!
context: Of course.\Someone with a wonderful, kind, warm voice...\And they need to be a great singer.\Then um...\I happen to know somebody like that.\That's right.\There are people on the surface who can sing, aren't there?\There sure are! response:	And she's a star who's known worldwide.
context: Someone with a wonderful, kind, warm voice...\And they need to be a great singer.\Then um...\I happen to know somebody like that.\That's right.\There are people on the surface who can sing, aren't there?\There sure are!\And she's a star who's known worldwide. response:	I just happened to
context: And they need to be a great singer.\Then um...\I happen to know somebody like that.\That's right.\There are people on the surface who can sing, aren't there?\There sure are!\And she's a star who's known worldwide.\I just happened to response:	bring a video playback device!
context: Then um...\I happen to know somebody like that.\That's right.\There are people on the surface who can sing, aren't there?\There sure are!\And she's a star who's known worldwide.\I just happened to\bring a video playback device! response:	I wondered why you
context: I happen to know somebody like that.\That's right.\There are people on the surface who can sing, aren't there?\There sure are!\And she's a star who's known worldwide.\I just happened to\bring a video playback device!\I wondered why you response:	had that in your toolbox.
context: That's right.\There are people on the surface who can sing, aren't there?\There sure are!\And she's a star who's known worldwide.\I just happened to\bring a video playback device!\I wondered why you\had that in your toolbox. response:	That's our Rico.
context: There are people on the surface who can sing, aren't there?\There sure are!\And she's a star who's known worldwide.\I just happened to\bring a video playback device!\I wondered why you\had that in your toolbox.\That's our Rico. response:	The princess's songs are an
context: There sure are!\And she's a star who's known worldwide.\I just happened to\bring a video playback device!\I wondered why you\had that in your toolbox.\That's our Rico.\The princess's songs are an response:	important part of Biscotti's culture.
context: And she's a star who's known worldwide.\I just happened to\bring a video playback device!\I wondered why you\had that in your toolbox.\That's our Rico.\The princess's songs are an\important part of Biscotti's culture. response:	I wanted to introduce everyone in the Sky Sea to them.
context: I just happened to\bring a video playback device!\I wondered why you\had that in your toolbox.\That's our Rico.\The princess's songs are an\important part of Biscotti's culture.\I wanted to introduce everyone in the Sky Sea to them. response:	All set!
context: bring a video playback device!\I wondered why you\had that in your toolbox.\That's our Rico.\The princess's songs are an\important part of Biscotti's culture.\I wanted to introduce everyone in the Sky Sea to them.\All set! response:	I know dreams will come true.
context: I wondered why you\had that in your toolbox.\That's our Rico.\The princess's songs are an\important part of Biscotti's culture.\I wanted to introduce everyone in the Sky Sea to them.\All set!\I know dreams will come true. response:	Wishes overflow.
context: had that in your toolbox.\That's our Rico.\The princess's songs are an\important part of Biscotti's culture.\I wanted to introduce everyone in the Sky Sea to them.\All set!\I know dreams will come true.\Wishes overflow. response:	Let's grab hold of them now,
context: That's our Rico.\The princess's songs are an\important part of Biscotti's culture.\I wanted to introduce everyone in the Sky Sea to them.\All set!\I know dreams will come true.\Wishes overflow.\Let's grab hold of them now, response:	inside the light.
context: The princess's songs are an\important part of Biscotti's culture.\I wanted to introduce everyone in the Sky Sea to them.\All set!\I know dreams will come true.\Wishes overflow.\Let's grab hold of them now,\inside the light. response:	What a wonderful voice.
context: important part of Biscotti's culture.\I wanted to introduce everyone in the Sky Sea to them.\All set!\I know dreams will come true.\Wishes overflow.\Let's grab hold of them now,\inside the light.\What a wonderful voice. response:	That's a nice song.
context: I wanted to introduce everyone in the Sky Sea to them.\All set!\I know dreams will come true.\Wishes overflow.\Let's grab hold of them now,\inside the light.\What a wonderful voice.\That's a nice song. response:	Huh?
context: All set!\I know dreams will come true.\Wishes overflow.\Let's grab hold of them now,\inside the light.\What a wonderful voice.\That's a nice song.\Huh? response:	I feel better!
context: I know dreams will come true.\Wishes overflow.\Let's grab hold of them now,\inside the light.\What a wonderful voice.\That's a nice song.\Huh?\I feel better! response:	The fever and tiredness are better!
context: Wishes overflow.\Let's grab hold of them now,\inside the light.\What a wonderful voice.\That's a nice song.\Huh?\I feel better!\The fever and tiredness are better! response:	Wow!
context: Let's grab hold of them now,\inside the light.\What a wonderful voice.\That's a nice song.\Huh?\I feel better!\The fever and tiredness are better!\Wow! response:	I can speak!
context: inside the light.\What a wonderful voice.\That's a nice song.\Huh?\I feel better!\The fever and tiredness are better!\Wow!\I can speak! response:	Um... can I let everybody else hear this?
context: What a wonderful voice.\That's a nice song.\Huh?\I feel better!\The fever and tiredness are better!\Wow!\I can speak!\Um... can I let everybody else hear this? response:	Go for it!
context: That's a nice song.\Huh?\I feel better!\The fever and tiredness are better!\Wow!\I can speak!\Um... can I let everybody else hear this?\Go for it! response:	I see.
context: Huh?\I feel better!\The fever and tiredness are better!\Wow!\I can speak!\Um... can I let everybody else hear this?\Go for it!\I see. response:	I'm sure she
context: I feel better!\The fever and tiredness are better!\Wow!\I can speak!\Um... can I let everybody else hear this?\Go for it!\I see.\I'm sure she response:	could sing the song of the Star Festival.
context: The fever and tiredness are better!\Wow!\I can speak!\Um... can I let everybody else hear this?\Go for it!\I see.\I'm sure she\could sing the song of the Star Festival. response:	Okay, Shinku and I will go get the princess.
context: Wow!\I can speak!\Um... can I let everybody else hear this?\Go for it!\I see.\I'm sure she\could sing the song of the Star Festival.\Okay, Shinku and I will go get the princess. response:	We'll use the double hero express to
context: I can speak!\Um... can I let everybody else hear this?\Go for it!\I see.\I'm sure she\could sing the song of the Star Festival.\Okay, Shinku and I will go get the princess.\We'll use the double hero express to response:	bring her back at the speed of light.
context: Um... can I let everybody else hear this?\Go for it!\I see.\I'm sure she\could sing the song of the Star Festival.\Okay, Shinku and I will go get the princess.\We'll use the double hero express to\bring her back at the speed of light. response:	Okay, we're counting on you.
context: Go for it!\I see.\I'm sure she\could sing the song of the Star Festival.\Okay, Shinku and I will go get the princess.\We'll use the double hero express to\bring her back at the speed of light.\Okay, we're counting on you. response:	Leave this to us!
context: I see.\I'm sure she\could sing the song of the Star Festival.\Okay, Shinku and I will go get the princess.\We'll use the double hero express to\bring her back at the speed of light.\Okay, we're counting on you.\Leave this to us! response:	Priestess, please show us the way.
context: I'm sure she\could sing the song of the Star Festival.\Okay, Shinku and I will go get the princess.\We'll use the double hero express to\bring her back at the speed of light.\Okay, we're counting on you.\Leave this to us!\Priestess, please show us the way. response:	Yes.
context: could sing the song of the Star Festival.\Okay, Shinku and I will go get the princess.\We'll use the double hero express to\bring her back at the speed of light.\Okay, we're counting on you.\Leave this to us!\Priestess, please show us the way.\Yes. response:	Okay, we'll be back!
context: Okay, Shinku and I will go get the princess.\We'll use the double hero express to\bring her back at the speed of light.\Okay, we're counting on you.\Leave this to us!\Priestess, please show us the way.\Yes.\Okay, we'll be back! response:	Take care!
context: We'll use the double hero express to\bring her back at the speed of light.\Okay, we're counting on you.\Leave this to us!\Priestess, please show us the way.\Yes.\Okay, we'll be back!\Take care! response:	Now then, what do we do until then?
context: bring her back at the speed of light.\Okay, we're counting on you.\Leave this to us!\Priestess, please show us the way.\Yes.\Okay, we'll be back!\Take care!\Now then, what do we do until then? response:	This place is safe for now.
context: Okay, we're counting on you.\Leave this to us!\Priestess, please show us the way.\Yes.\Okay, we'll be back!\Take care!\Now then, what do we do until then?\This place is safe for now. response:	Maybe we should cut down on the number of Sickness Demons.
context: Leave this to us!\Priestess, please show us the way.\Yes.\Okay, we'll be back!\Take care!\Now then, what do we do until then?\This place is safe for now.\Maybe we should cut down on the number of Sickness Demons. response:	I think my main body is summoning the large Sickness Demons
context: Priestess, please show us the way.\Yes.\Okay, we'll be back!\Take care!\Now then, what do we do until then?\This place is safe for now.\Maybe we should cut down on the number of Sickness Demons.\I think my main body is summoning the large Sickness Demons response:	and defeating them, but,
context: Yes.\Okay, we'll be back!\Take care!\Now then, what do we do until then?\This place is safe for now.\Maybe we should cut down on the number of Sickness Demons.\I think my main body is summoning the large Sickness Demons\and defeating them, but, response:	if you can help, that would be great!
context: Okay, we'll be back!\Take care!\Now then, what do we do until then?\This place is safe for now.\Maybe we should cut down on the number of Sickness Demons.\I think my main body is summoning the large Sickness Demons\and defeating them, but,\if you can help, that would be great! response:	Yeah!
context: Take care!\Now then, what do we do until then?\This place is safe for now.\Maybe we should cut down on the number of Sickness Demons.\I think my main body is summoning the large Sickness Demons\and defeating them, but,\if you can help, that would be great!\Yeah! response:	Leave it to us!
context: Now then, what do we do until then?\This place is safe for now.\Maybe we should cut down on the number of Sickness Demons.\I think my main body is summoning the large Sickness Demons\and defeating them, but,\if you can help, that would be great!\Yeah!\Leave it to us! response:	Rico can be our communications HQ.
context: This place is safe for now.\Maybe we should cut down on the number of Sickness Demons.\I think my main body is summoning the large Sickness Demons\and defeating them, but,\if you can help, that would be great!\Yeah!\Leave it to us!\Rico can be our communications HQ. response:	Stay with Aria-san.
context: Maybe we should cut down on the number of Sickness Demons.\I think my main body is summoning the large Sickness Demons\and defeating them, but,\if you can help, that would be great!\Yeah!\Leave it to us!\Rico can be our communications HQ.\Stay with Aria-san. response:	Roger!
context: I think my main body is summoning the large Sickness Demons\and defeating them, but,\if you can help, that would be great!\Yeah!\Leave it to us!\Rico can be our communications HQ.\Stay with Aria-san.\Roger! response:	Can Sharl and the vanguard stay here?
context: and defeating them, but,\if you can help, that would be great!\Yeah!\Leave it to us!\Rico can be our communications HQ.\Stay with Aria-san.\Roger!\Can Sharl and the vanguard stay here? response:	If something happens, I'd be worried if it was just the chief.
context: if you can help, that would be great!\Yeah!\Leave it to us!\Rico can be our communications HQ.\Stay with Aria-san.\Roger!\Can Sharl and the vanguard stay here?\If something happens, I'd be worried if it was just the chief. response:	Roger.
context: Yeah!\Leave it to us!\Rico can be our communications HQ.\Stay with Aria-san.\Roger!\Can Sharl and the vanguard stay here?\If something happens, I'd be worried if it was just the chief.\Roger. response:	Got it.
context: Leave it to us!\Rico can be our communications HQ.\Stay with Aria-san.\Roger!\Can Sharl and the vanguard stay here?\If something happens, I'd be worried if it was just the chief.\Roger.\Got it. response:	I want to kick the crap out of a big one with our team.
context: Rico can be our communications HQ.\Stay with Aria-san.\Roger!\Can Sharl and the vanguard stay here?\If something happens, I'd be worried if it was just the chief.\Roger.\Got it.\I want to kick the crap out of a big one with our team. response:	Yeah.
context: Stay with Aria-san.\Roger!\Can Sharl and the vanguard stay here?\If something happens, I'd be worried if it was just the chief.\Roger.\Got it.\I want to kick the crap out of a big one with our team.\Yeah. response:	We can't let things get hard for the girl team.
context: Roger!\Can Sharl and the vanguard stay here?\If something happens, I'd be worried if it was just the chief.\Roger.\Got it.\I want to kick the crap out of a big one with our team.\Yeah.\We can't let things get hard for the girl team. response:	Well, I don't think we need to worry about them.
context: Can Sharl and the vanguard stay here?\If something happens, I'd be worried if it was just the chief.\Roger.\Got it.\I want to kick the crap out of a big one with our team.\Yeah.\We can't let things get hard for the girl team.\Well, I don't think we need to worry about them. response:	They know how to work together.
context: If something happens, I'd be worried if it was just the chief.\Roger.\Got it.\I want to kick the crap out of a big one with our team.\Yeah.\We can't let things get hard for the girl team.\Well, I don't think we need to worry about them.\They know how to work together. response:	Yeah.
context: Roger.\Got it.\I want to kick the crap out of a big one with our team.\Yeah.\We can't let things get hard for the girl team.\Well, I don't think we need to worry about them.\They know how to work together.\Yeah. response:	But
context: Got it.\I want to kick the crap out of a big one with our team.\Yeah.\We can't let things get hard for the girl team.\Well, I don't think we need to worry about them.\They know how to work together.\Yeah.\But response:	I'm worried about Aria...
context: I want to kick the crap out of a big one with our team.\Yeah.\We can't let things get hard for the girl team.\Well, I don't think we need to worry about them.\They know how to work together.\Yeah.\But\I'm worried about Aria... response:	You know, Gaul-sama
context: Yeah.\We can't let things get hard for the girl team.\Well, I don't think we need to worry about them.\They know how to work together.\Yeah.\But\I'm worried about Aria...\You know, Gaul-sama response:	was really concerned about Aria-san.
context: We can't let things get hard for the girl team.\Well, I don't think we need to worry about them.\They know how to work together.\Yeah.\But\I'm worried about Aria...\You know, Gaul-sama\was really concerned about Aria-san. response:	That's pretty rare.
context: Well, I don't think we need to worry about them.\They know how to work together.\Yeah.\But\I'm worried about Aria...\You know, Gaul-sama\was really concerned about Aria-san.\That's pretty rare. response:	Part of it may be that she saved him, but...
context: They know how to work together.\Yeah.\But\I'm worried about Aria...\You know, Gaul-sama\was really concerned about Aria-san.\That's pretty rare.\Part of it may be that she saved him, but... response:	Maybe it's because Aria-san's pretty.
context: Yeah.\But\I'm worried about Aria...\You know, Gaul-sama\was really concerned about Aria-san.\That's pretty rare.\Part of it may be that she saved him, but...\Maybe it's because Aria-san's pretty. response:	Yeah.
context: But\I'm worried about Aria...\You know, Gaul-sama\was really concerned about Aria-san.\That's pretty rare.\Part of it may be that she saved him, but...\Maybe it's because Aria-san's pretty.\Yeah. response:	That may be Gaul-sama's type.
context: I'm worried about Aria...\You know, Gaul-sama\was really concerned about Aria-san.\That's pretty rare.\Part of it may be that she saved him, but...\Maybe it's because Aria-san's pretty.\Yeah.\That may be Gaul-sama's type. response:	Right?
context: You know, Gaul-sama\was really concerned about Aria-san.\That's pretty rare.\Part of it may be that she saved him, but...\Maybe it's because Aria-san's pretty.\Yeah.\That may be Gaul-sama's type.\Right? response:	So maybe Gaul's going to find love after Leo-sama?
context: was really concerned about Aria-san.\That's pretty rare.\Part of it may be that she saved him, but...\Maybe it's because Aria-san's pretty.\Yeah.\That may be Gaul-sama's type.\Right?\So maybe Gaul's going to find love after Leo-sama? response:	I wonder about Leo-sama.
context: That's pretty rare.\Part of it may be that she saved him, but...\Maybe it's because Aria-san's pretty.\Yeah.\That may be Gaul-sama's type.\Right?\So maybe Gaul's going to find love after Leo-sama?\I wonder about Leo-sama. response:	I think she does like Leaf...
context: Part of it may be that she saved him, but...\Maybe it's because Aria-san's pretty.\Yeah.\That may be Gaul-sama's type.\Right?\So maybe Gaul's going to find love after Leo-sama?\I wonder about Leo-sama.\I think she does like Leaf... response:	Gaul-sama, too.
context: Maybe it's because Aria-san's pretty.\Yeah.\That may be Gaul-sama's type.\Right?\So maybe Gaul's going to find love after Leo-sama?\I wonder about Leo-sama.\I think she does like Leaf...\Gaul-sama, too. response:	We're his childhood friends and bodyguards,
context: Yeah.\That may be Gaul-sama's type.\Right?\So maybe Gaul's going to find love after Leo-sama?\I wonder about Leo-sama.\I think she does like Leaf...\Gaul-sama, too.\We're his childhood friends and bodyguards, response:	so as for who'll be his wife...
context: That may be Gaul-sama's type.\Right?\So maybe Gaul's going to find love after Leo-sama?\I wonder about Leo-sama.\I think she does like Leaf...\Gaul-sama, too.\We're his childhood friends and bodyguards,\so as for who'll be his wife... response:	We're very interested.
context: Right?\So maybe Gaul's going to find love after Leo-sama?\I wonder about Leo-sama.\I think she does like Leaf...\Gaul-sama, too.\We're his childhood friends and bodyguards,\so as for who'll be his wife...\We're very interested. response:	You don't think it'll be one of you guys?
context: So maybe Gaul's going to find love after Leo-sama?\I wonder about Leo-sama.\I think she does like Leaf...\Gaul-sama, too.\We're his childhood friends and bodyguards,\so as for who'll be his wife...\We're very interested.\You don't think it'll be one of you guys? response:	No way.
context: I wonder about Leo-sama.\I think she does like Leaf...\Gaul-sama, too.\We're his childhood friends and bodyguards,\so as for who'll be his wife...\We're very interested.\You don't think it'll be one of you guys?\No way. response:	I doubt it.
context: I think she does like Leaf...\Gaul-sama, too.\We're his childhood friends and bodyguards,\so as for who'll be his wife...\We're very interested.\You don't think it'll be one of you guys?\No way.\I doubt it. response:	I don't think it's like that.
context: Gaul-sama, too.\We're his childhood friends and bodyguards,\so as for who'll be his wife...\We're very interested.\You don't think it'll be one of you guys?\No way.\I doubt it.\I don't think it's like that. response:	Even if it's not love or romance...
context: We're his childhood friends and bodyguards,\so as for who'll be his wife...\We're very interested.\You don't think it'll be one of you guys?\No way.\I doubt it.\I don't think it's like that.\Even if it's not love or romance... response:	We're connected by a different bond.
context: so as for who'll be his wife...\We're very interested.\You don't think it'll be one of you guys?\No way.\I doubt it.\I don't think it's like that.\Even if it's not love or romance...\We're connected by a different bond. response:	A very strong bond.
context: We're very interested.\You don't think it'll be one of you guys?\No way.\I doubt it.\I don't think it's like that.\Even if it's not love or romance...\We're connected by a different bond.\A very strong bond. response:	You mean as a prince and his bodyguards?
context: You don't think it'll be one of you guys?\No way.\I doubt it.\I don't think it's like that.\Even if it's not love or romance...\We're connected by a different bond.\A very strong bond.\You mean as a prince and his bodyguards? response:	As his childhood friends who've always been with him.
context: No way.\I doubt it.\I don't think it's like that.\Even if it's not love or romance...\We're connected by a different bond.\A very strong bond.\You mean as a prince and his bodyguards?\As his childhood friends who've always been with him. response:	We're basically siblings now.
context: I doubt it.\I don't think it's like that.\Even if it's not love or romance...\We're connected by a different bond.\A very strong bond.\You mean as a prince and his bodyguards?\As his childhood friends who've always been with him.\We're basically siblings now. response:	To me you all are fun little brothers and sisters.
context: I don't think it's like that.\Even if it's not love or romance...\We're connected by a different bond.\A very strong bond.\You mean as a prince and his bodyguards?\As his childhood friends who've always been with him.\We're basically siblings now.\To me you all are fun little brothers and sisters. response:	I see.
context: Even if it's not love or romance...\We're connected by a different bond.\A very strong bond.\You mean as a prince and his bodyguards?\As his childhood friends who've always been with him.\We're basically siblings now.\To me you all are fun little brothers and sisters.\I see. response:	Oh, there you are!
context: We're connected by a different bond.\A very strong bond.\You mean as a prince and his bodyguards?\As his childhood friends who've always been with him.\We're basically siblings now.\To me you all are fun little brothers and sisters.\I see.\Oh, there you are! response:	Let's get ready...
context: A very strong bond.\You mean as a prince and his bodyguards?\As his childhood friends who've always been with him.\We're basically siblings now.\To me you all are fun little brothers and sisters.\I see.\Oh, there you are!\Let's get ready... response:	Let's do it!
context: You mean as a prince and his bodyguards?\As his childhood friends who've always been with him.\We're basically siblings now.\To me you all are fun little brothers and sisters.\I see.\Oh, there you are!\Let's get ready...\Let's do it! response:	Right here.
context: As his childhood friends who've always been with him.\We're basically siblings now.\To me you all are fun little brothers and sisters.\I see.\Oh, there you are!\Let's get ready...\Let's do it!\Right here. response:	Yeah.
context: We're basically siblings now.\To me you all are fun little brothers and sisters.\I see.\Oh, there you are!\Let's get ready...\Let's do it!\Right here.\Yeah. response:	The Star Whale is opening its mouth right now.
context: To me you all are fun little brothers and sisters.\I see.\Oh, there you are!\Let's get ready...\Let's do it!\Right here.\Yeah.\The Star Whale is opening its mouth right now. response:	That's it!
context: I see.\Oh, there you are!\Let's get ready...\Let's do it!\Right here.\Yeah.\The Star Whale is opening its mouth right now.\That's it! response:	The outside!
context: Oh, there you are!\Let's get ready...\Let's do it!\Right here.\Yeah.\The Star Whale is opening its mouth right now.\That's it!\The outside! response:	I'll follow you to the surface!
context: Let's get ready...\Let's do it!\Right here.\Yeah.\The Star Whale is opening its mouth right now.\That's it!\The outside!\I'll follow you to the surface! response:	Thanks!
context: Let's do it!\Right here.\Yeah.\The Star Whale is opening its mouth right now.\That's it!\The outside!\I'll follow you to the surface!\Thanks! response:	First we need to contact the princess!
