context: Autumn, it is the season for maidens. response:	That goes for earthworms, mole crickets,
context: Now, time to take the rainbow crystal.\Why?! Why isn't the rainbow crystal appearing?!\Shoot!\So, that ugly cat is the monster!\I cannot believe I missed that!\The final great Monster wasn't reborn as a human!\That's as far as you go!\Now that we're here, we won't let you have your way! response:	We won't let such an innocent young girl become a monster!
context: Why?! Why isn't the rainbow crystal appearing?!\Shoot!\So, that ugly cat is the monster!\I cannot believe I missed that!\The final great Monster wasn't reborn as a human!\That's as far as you go!\Now that we're here, we won't let you have your way!\We won't let such an innocent young girl become a monster! response:	In the name of the moon, I will punish you!
context: Shoot!\So, that ugly cat is the monster!\I cannot believe I missed that!\The final great Monster wasn't reborn as a human!\That's as far as you go!\Now that we're here, we won't let you have your way!\We won't let such an innocent young girl become a monster!\In the name of the moon, I will punish you! response:	Quiet!
context: So, that ugly cat is the monster!\I cannot believe I missed that!\The final great Monster wasn't reborn as a human!\That's as far as you go!\Now that we're here, we won't let you have your way!\We won't let such an innocent young girl become a monster!\In the name of the moon, I will punish you!\Quiet! response:	Zoi!
context: I cannot believe I missed that!\The final great Monster wasn't reborn as a human!\That's as far as you go!\Now that we're here, we won't let you have your way!\We won't let such an innocent young girl become a monster!\In the name of the moon, I will punish you!\Quiet!\Zoi! response:	Bubble...
context: The final great Monster wasn't reborn as a human!\That's as far as you go!\Now that we're here, we won't let you have your way!\We won't let such an innocent young girl become a monster!\In the name of the moon, I will punish you!\Quiet!\Zoi!\Bubble... response:	Sailor Moon, you're in my way!
context: That's as far as you go!\Now that we're here, we won't let you have your way!\We won't let such an innocent young girl become a monster!\In the name of the moon, I will punish you!\Quiet!\Zoi!\Bubble...\Sailor Moon, you're in my way! response:	What do you want me to do?
context: Now that we're here, we won't let you have your way!\We won't let such an innocent young girl become a monster!\In the name of the moon, I will punish you!\Quiet!\Zoi!\Bubble...\Sailor Moon, you're in my way!\What do you want me to do? response:	I changed my mind.
context: We won't let such an innocent young girl become a monster!\In the name of the moon, I will punish you!\Quiet!\Zoi!\Bubble...\Sailor Moon, you're in my way!\What do you want me to do?\I changed my mind. response:	I'm too busy to play with you guys.
context: In the name of the moon, I will punish you!\Quiet!\Zoi!\Bubble...\Sailor Moon, you're in my way!\What do you want me to do?\I changed my mind.\I'm too busy to play with you guys. response:	You're not getting away!
context: Quiet!\Zoi!\Bubble...\Sailor Moon, you're in my way!\What do you want me to do?\I changed my mind.\I'm too busy to play with you guys.\You're not getting away! response:	Supreme...
context: Zoi!\Bubble...\Sailor Moon, you're in my way!\What do you want me to do?\I changed my mind.\I'm too busy to play with you guys.\You're not getting away!\Supreme... response:	Wait a minute!
context: Bubble...\Sailor Moon, you're in my way!\What do you want me to do?\I changed my mind.\I'm too busy to play with you guys.\You're not getting away!\Supreme...\Wait a minute! response:	We'll all be electrocuted!
context: Sailor Moon, you're in my way!\What do you want me to do?\I changed my mind.\I'm too busy to play with you guys.\You're not getting away!\Supreme...\Wait a minute!\We'll all be electrocuted! response:	What is this rotten smell?
context: What do you want me to do?\I changed my mind.\I'm too busy to play with you guys.\You're not getting away!\Supreme...\Wait a minute!\We'll all be electrocuted!\What is this rotten smell? response:	Is that ugly cat really somewhere around here?
context: I changed my mind.\I'm too busy to play with you guys.\You're not getting away!\Supreme...\Wait a minute!\We'll all be electrocuted!\What is this rotten smell?\Is that ugly cat really somewhere around here? response:	This is why I hate monsters that aren't human.
context: I'm too busy to play with you guys.\You're not getting away!\Supreme...\Wait a minute!\We'll all be electrocuted!\What is this rotten smell?\Is that ugly cat really somewhere around here?\This is why I hate monsters that aren't human. response:	Oh, no!
context: You're not getting away!\Supreme...\Wait a minute!\We'll all be electrocuted!\What is this rotten smell?\Is that ugly cat really somewhere around here?\This is why I hate monsters that aren't human.\Oh, no! response:	This may be the toughest ordeal I have ever faced!
context: Supreme...\Wait a minute!\We'll all be electrocuted!\What is this rotten smell?\Is that ugly cat really somewhere around here?\This is why I hate monsters that aren't human.\Oh, no!\This may be the toughest ordeal I have ever faced! response:	But where has Luna gone?
context: Wait a minute!\We'll all be electrocuted!\What is this rotten smell?\Is that ugly cat really somewhere around here?\This is why I hate monsters that aren't human.\Oh, no!\This may be the toughest ordeal I have ever faced!\But where has Luna gone? response:	Yeah! She's so undependable!
context: We'll all be electrocuted!\What is this rotten smell?\Is that ugly cat really somewhere around here?\This is why I hate monsters that aren't human.\Oh, no!\This may be the toughest ordeal I have ever faced!\But where has Luna gone?\Yeah! She's so undependable! response:	Where in the world is she goofing off at this critical time?!
context: What is this rotten smell?\Is that ugly cat really somewhere around here?\This is why I hate monsters that aren't human.\Oh, no!\This may be the toughest ordeal I have ever faced!\But where has Luna gone?\Yeah! She's so undependable!\Where in the world is she goofing off at this critical time?! response:	Knowing Luna, I'm sure that's not it.
context: Is that ugly cat really somewhere around here?\This is why I hate monsters that aren't human.\Oh, no!\This may be the toughest ordeal I have ever faced!\But where has Luna gone?\Yeah! She's so undependable!\Where in the world is she goofing off at this critical time?!\Knowing Luna, I'm sure that's not it. response:	Maybe something's happened to her.
context: This is why I hate monsters that aren't human.\Oh, no!\This may be the toughest ordeal I have ever faced!\But where has Luna gone?\Yeah! She's so undependable!\Where in the world is she goofing off at this critical time?!\Knowing Luna, I'm sure that's not it.\Maybe something's happened to her. response:	Oh!
context: Oh, no!\This may be the toughest ordeal I have ever faced!\But where has Luna gone?\Yeah! She's so undependable!\Where in the world is she goofing off at this critical time?!\Knowing Luna, I'm sure that's not it.\Maybe something's happened to her.\Oh! response:	There's a cartridge of the Sailor V game over here!
context: This may be the toughest ordeal I have ever faced!\But where has Luna gone?\Yeah! She's so undependable!\Where in the world is she goofing off at this critical time?!\Knowing Luna, I'm sure that's not it.\Maybe something's happened to her.\Oh!\There's a cartridge of the Sailor V game over here! response:	Usagi...
context: But where has Luna gone?\Yeah! She's so undependable!\Where in the world is she goofing off at this critical time?!\Knowing Luna, I'm sure that's not it.\Maybe something's happened to her.\Oh!\There's a cartridge of the Sailor V game over here!\Usagi... response:	Right when Zoisite could be back any moment to attack us.
context: Yeah! She's so undependable!\Where in the world is she goofing off at this critical time?!\Knowing Luna, I'm sure that's not it.\Maybe something's happened to her.\Oh!\There's a cartridge of the Sailor V game over here!\Usagi...\Right when Zoisite could be back any moment to attack us. response:	But I can't believe such a little girl has a rainbow crystal.
context: Where in the world is she goofing off at this critical time?!\Knowing Luna, I'm sure that's not it.\Maybe something's happened to her.\Oh!\There's a cartridge of the Sailor V game over here!\Usagi...\Right when Zoisite could be back any moment to attack us.\But I can't believe such a little girl has a rainbow crystal. response:	We absolutely cannot let this girl turn into a monster.
context: Knowing Luna, I'm sure that's not it.\Maybe something's happened to her.\Oh!\There's a cartridge of the Sailor V game over here!\Usagi...\Right when Zoisite could be back any moment to attack us.\But I can't believe such a little girl has a rainbow crystal.\We absolutely cannot let this girl turn into a monster. response:	It's close. It's getting close.
context: Maybe something's happened to her.\Oh!\There's a cartridge of the Sailor V game over here!\Usagi...\Right when Zoisite could be back any moment to attack us.\But I can't believe such a little girl has a rainbow crystal.\We absolutely cannot let this girl turn into a monster.\It's close. It's getting close. response:	That ugly cat is very close by.
context: Oh!\There's a cartridge of the Sailor V game over here!\Usagi...\Right when Zoisite could be back any moment to attack us.\But I can't believe such a little girl has a rainbow crystal.\We absolutely cannot let this girl turn into a monster.\It's close. It's getting close.\That ugly cat is very close by. response:	It's warm...
context: There's a cartridge of the Sailor V game over here!\Usagi...\Right when Zoisite could be back any moment to attack us.\But I can't believe such a little girl has a rainbow crystal.\We absolutely cannot let this girl turn into a monster.\It's close. It's getting close.\That ugly cat is very close by.\It's warm... response:	It's a horde of rats!
context: Usagi...\Right when Zoisite could be back any moment to attack us.\But I can't believe such a little girl has a rainbow crystal.\We absolutely cannot let this girl turn into a monster.\It's close. It's getting close.\That ugly cat is very close by.\It's warm...\It's a horde of rats! response:	Jubancho Shopping District
context: Right when Zoisite could be back any moment to attack us.\But I can't believe such a little girl has a rainbow crystal.\We absolutely cannot let this girl turn into a monster.\It's close. It's getting close.\That ugly cat is very close by.\It's warm...\It's a horde of rats!\Jubancho Shopping District response:	Oh, where could Mamoru have gone?
context: But I can't believe such a little girl has a rainbow crystal.\We absolutely cannot let this girl turn into a monster.\It's close. It's getting close.\That ugly cat is very close by.\It's warm...\It's a horde of rats!\Jubancho Shopping District\Oh, where could Mamoru have gone? response:	It's such a nice Sunday, too.
context: We absolutely cannot let this girl turn into a monster.\It's close. It's getting close.\That ugly cat is very close by.\It's warm...\It's a horde of rats!\Jubancho Shopping District\Oh, where could Mamoru have gone?\It's such a nice Sunday, too. response:	Miss Rei!
context: It's close. It's getting close.\That ugly cat is very close by.\It's warm...\It's a horde of rats!\Jubancho Shopping District\Oh, where could Mamoru have gone?\It's such a nice Sunday, too.\Miss Rei! response:	Yuichiro!
context: That ugly cat is very close by.\It's warm...\It's a horde of rats!\Jubancho Shopping District\Oh, where could Mamoru have gone?\It's such a nice Sunday, too.\Miss Rei!\Yuichiro! response:	Japanese Boy I Am Beautiful Yuichiro!
context: It's warm...\It's a horde of rats!\Jubancho Shopping District\Oh, where could Mamoru have gone?\It's such a nice Sunday, too.\Miss Rei!\Yuichiro!\Japanese Boy I Am Beautiful Yuichiro! response:	Japanese Boy I Am Beautiful Oh, that's right. You're off today, too, aren't you?
context: It's a horde of rats!\Jubancho Shopping District\Oh, where could Mamoru have gone?\It's such a nice Sunday, too.\Miss Rei!\Yuichiro!\Japanese Boy I Am Beautiful Yuichiro!\Japanese Boy I Am Beautiful Oh, that's right. You're off today, too, aren't you? response:	Oh, that's right. You're off today, too, aren't you?
context: Jubancho Shopping District\Oh, where could Mamoru have gone?\It's such a nice Sunday, too.\Miss Rei!\Yuichiro!\Japanese Boy I Am Beautiful Yuichiro!\Japanese Boy I Am Beautiful Oh, that's right. You're off today, too, aren't you?\Oh, that's right. You're off today, too, aren't you? response:	Yes, but I have nothing to do.
context: Oh, where could Mamoru have gone?\It's such a nice Sunday, too.\Miss Rei!\Yuichiro!\Japanese Boy I Am Beautiful Yuichiro!\Japanese Boy I Am Beautiful Oh, that's right. You're off today, too, aren't you?\Oh, that's right. You're off today, too, aren't you?\Yes, but I have nothing to do. response:	Now's Your Chance! Yes, but I have nothing to do.
context: It's such a nice Sunday, too.\Miss Rei!\Yuichiro!\Japanese Boy I Am Beautiful Yuichiro!\Japanese Boy I Am Beautiful Oh, that's right. You're off today, too, aren't you?\Oh, that's right. You're off today, too, aren't you?\Yes, but I have nothing to do.\Now's Your Chance! Yes, but I have nothing to do. response:	Now's Your Chance! How about going for tea or something together?
context: Miss Rei!\Yuichiro!\Japanese Boy I Am Beautiful Yuichiro!\Japanese Boy I Am Beautiful Oh, that's right. You're off today, too, aren't you?\Oh, that's right. You're off today, too, aren't you?\Yes, but I have nothing to do.\Now's Your Chance! Yes, but I have nothing to do.\Now's Your Chance! How about going for tea or something together? response:	How about going for tea or something together?
context: Yuichiro!\Japanese Boy I Am Beautiful Yuichiro!\Japanese Boy I Am Beautiful Oh, that's right. You're off today, too, aren't you?\Oh, that's right. You're off today, too, aren't you?\Yes, but I have nothing to do.\Now's Your Chance! Yes, but I have nothing to do.\Now's Your Chance! How about going for tea or something together?\How about going for tea or something together? response:	Autumn Fragrance How about going for tea or something together?
context: Japanese Boy I Am Beautiful Yuichiro!\Japanese Boy I Am Beautiful Oh, that's right. You're off today, too, aren't you?\Oh, that's right. You're off today, too, aren't you?\Yes, but I have nothing to do.\Now's Your Chance! Yes, but I have nothing to do.\Now's Your Chance! How about going for tea or something together?\How about going for tea or something together?\Autumn Fragrance How about going for tea or something together? response:	Autumn Fragrance What?!
context: Japanese Boy I Am Beautiful Oh, that's right. You're off today, too, aren't you?\Oh, that's right. You're off today, too, aren't you?\Yes, but I have nothing to do.\Now's Your Chance! Yes, but I have nothing to do.\Now's Your Chance! How about going for tea or something together?\How about going for tea or something together?\Autumn Fragrance How about going for tea or something together?\Autumn Fragrance What?! response:	Autumn Fragrance Oh, well, I don't know.
context: Oh, that's right. You're off today, too, aren't you?\Yes, but I have nothing to do.\Now's Your Chance! Yes, but I have nothing to do.\Now's Your Chance! How about going for tea or something together?\How about going for tea or something together?\Autumn Fragrance How about going for tea or something together?\Autumn Fragrance What?!\Autumn Fragrance Oh, well, I don't know. response:	Autumn Fragrance
context: Yes, but I have nothing to do.\Now's Your Chance! Yes, but I have nothing to do.\Now's Your Chance! How about going for tea or something together?\How about going for tea or something together?\Autumn Fragrance How about going for tea or something together?\Autumn Fragrance What?!\Autumn Fragrance Oh, well, I don't know.\Autumn Fragrance response:	You're Going To Take That?!
context: Now's Your Chance! Yes, but I have nothing to do.\Now's Your Chance! How about going for tea or something together?\How about going for tea or something together?\Autumn Fragrance How about going for tea or something together?\Autumn Fragrance What?!\Autumn Fragrance Oh, well, I don't know.\Autumn Fragrance\You're Going To Take That?! response:	You're Going To Take That?! What was I thinking?
context: Now's Your Chance! How about going for tea or something together?\How about going for tea or something together?\Autumn Fragrance How about going for tea or something together?\Autumn Fragrance What?!\Autumn Fragrance Oh, well, I don't know.\Autumn Fragrance\You're Going To Take That?!\You're Going To Take That?! What was I thinking? response:	You're Going To Take That?! Of course, a wonderful girl like you
context: How about going for tea or something together?\Autumn Fragrance How about going for tea or something together?\Autumn Fragrance What?!\Autumn Fragrance Oh, well, I don't know.\Autumn Fragrance\You're Going To Take That?!\You're Going To Take That?! What was I thinking?\You're Going To Take That?! Of course, a wonderful girl like you response:	You're Going To Take That?! Wouldn't have lots of spare time on her hands.
context: Autumn Fragrance How about going for tea or something together?\Autumn Fragrance What?!\Autumn Fragrance Oh, well, I don't know.\Autumn Fragrance\You're Going To Take That?!\You're Going To Take That?! What was I thinking?\You're Going To Take That?! Of course, a wonderful girl like you\You're Going To Take That?! Wouldn't have lots of spare time on her hands. response:	Wouldn't have lots of spare time on her hands.
context: Autumn Fragrance What?!\Autumn Fragrance Oh, well, I don't know.\Autumn Fragrance\You're Going To Take That?!\You're Going To Take That?! What was I thinking?\You're Going To Take That?! Of course, a wonderful girl like you\You're Going To Take That?! Wouldn't have lots of spare time on her hands.\Wouldn't have lots of spare time on her hands. response:	Well, something like that.
context: Autumn Fragrance Oh, well, I don't know.\Autumn Fragrance\You're Going To Take That?!\You're Going To Take That?! What was I thinking?\You're Going To Take That?! Of course, a wonderful girl like you\You're Going To Take That?! Wouldn't have lots of spare time on her hands.\Wouldn't have lots of spare time on her hands.\Well, something like that. response:	I understand. Well, I'll be going then.
context: Autumn Fragrance\You're Going To Take That?!\You're Going To Take That?! What was I thinking?\You're Going To Take That?! Of course, a wonderful girl like you\You're Going To Take That?! Wouldn't have lots of spare time on her hands.\Wouldn't have lots of spare time on her hands.\Well, something like that.\I understand. Well, I'll be going then. response:	Oh, excuse me...
context: You're Going To Take That?!\You're Going To Take That?! What was I thinking?\You're Going To Take That?! Of course, a wonderful girl like you\You're Going To Take That?! Wouldn't have lots of spare time on her hands.\Wouldn't have lots of spare time on her hands.\Well, something like that.\I understand. Well, I'll be going then.\Oh, excuse me... response:	What was that? He's so restless.
context: You're Going To Take That?! What was I thinking?\You're Going To Take That?! Of course, a wonderful girl like you\You're Going To Take That?! Wouldn't have lots of spare time on her hands.\Wouldn't have lots of spare time on her hands.\Well, something like that.\I understand. Well, I'll be going then.\Oh, excuse me...\What was that? He's so restless. response:	It's like Gone with the Wind.
context: You're Going To Take That?! Of course, a wonderful girl like you\You're Going To Take That?! Wouldn't have lots of spare time on her hands.\Wouldn't have lots of spare time on her hands.\Well, something like that.\I understand. Well, I'll be going then.\Oh, excuse me...\What was that? He's so restless.\It's like Gone with the Wind. response:	There's no exit anywhere!
context: You're Going To Take That?! Wouldn't have lots of spare time on her hands.\Wouldn't have lots of spare time on her hands.\Well, something like that.\I understand. Well, I'll be going then.\Oh, excuse me...\What was that? He's so restless.\It's like Gone with the Wind.\There's no exit anywhere! response:	Today is not my lucky day! It's all because you...
context: Wouldn't have lots of spare time on her hands.\Well, something like that.\I understand. Well, I'll be going then.\Oh, excuse me...\What was that? He's so restless.\It's like Gone with the Wind.\There's no exit anywhere!\Today is not my lucky day! It's all because you... response:	What's this? You hurt your leg.
context: Well, something like that.\I understand. Well, I'll be going then.\Oh, excuse me...\What was that? He's so restless.\It's like Gone with the Wind.\There's no exit anywhere!\Today is not my lucky day! It's all because you...\What's this? You hurt your leg. response:	Did you hurt yourself while you were saving me?
context: I understand. Well, I'll be going then.\Oh, excuse me...\What was that? He's so restless.\It's like Gone with the Wind.\There's no exit anywhere!\Today is not my lucky day! It's all because you...\What's this? You hurt your leg.\Did you hurt yourself while you were saving me? response:	You went through all that just to save me?
context: Oh, excuse me...\What was that? He's so restless.\It's like Gone with the Wind.\There's no exit anywhere!\Today is not my lucky day! It's all because you...\What's this? You hurt your leg.\Did you hurt yourself while you were saving me?\You went through all that just to save me? response:	Do you have a crush on me or something?
context: What was that? He's so restless.\It's like Gone with the Wind.\There's no exit anywhere!\Today is not my lucky day! It's all because you...\What's this? You hurt your leg.\Did you hurt yourself while you were saving me?\You went through all that just to save me?\Do you have a crush on me or something? response:	Hey, now...
context: It's like Gone with the Wind.\There's no exit anywhere!\Today is not my lucky day! It's all because you...\What's this? You hurt your leg.\Did you hurt yourself while you were saving me?\You went through all that just to save me?\Do you have a crush on me or something?\Hey, now... response:	That's...
context: There's no exit anywhere!\Today is not my lucky day! It's all because you...\What's this? You hurt your leg.\Did you hurt yourself while you were saving me?\You went through all that just to save me?\Do you have a crush on me or something?\Hey, now...\That's... response:	Zoisite!
context: Today is not my lucky day! It's all because you...\What's this? You hurt your leg.\Did you hurt yourself while you were saving me?\You went through all that just to save me?\Do you have a crush on me or something?\Hey, now...\That's...\Zoisite! response:	I've found you! The seventh great Monster!
context: What's this? You hurt your leg.\Did you hurt yourself while you were saving me?\You went through all that just to save me?\Do you have a crush on me or something?\Hey, now...\That's...\Zoisite!\I've found you! The seventh great Monster! response:	What?! You have one of the rainbow crystals?!
context: Did you hurt yourself while you were saving me?\You went through all that just to save me?\Do you have a crush on me or something?\Hey, now...\That's...\Zoisite!\I've found you! The seventh great Monster!\What?! You have one of the rainbow crystals?! response:	Hurry! He won't be able to follow us in here!
context: You went through all that just to save me?\Do you have a crush on me or something?\Hey, now...\That's...\Zoisite!\I've found you! The seventh great Monster!\What?! You have one of the rainbow crystals?!\Hurry! He won't be able to follow us in here! response:	You're not getting away from me!
context: Do you have a crush on me or something?\Hey, now...\That's...\Zoisite!\I've found you! The seventh great Monster!\What?! You have one of the rainbow crystals?!\Hurry! He won't be able to follow us in here!\You're not getting away from me! response:	What is that?!
context: Hey, now...\That's...\Zoisite!\I've found you! The seventh great Monster!\What?! You have one of the rainbow crystals?!\Hurry! He won't be able to follow us in here!\You're not getting away from me!\What is that?! response:	The rainbow crystal is mine!
context: That's...\Zoisite!\I've found you! The seventh great Monster!\What?! You have one of the rainbow crystals?!\Hurry! He won't be able to follow us in here!\You're not getting away from me!\What is that?!\The rainbow crystal is mine! response:	Oh, no! Run faster!
context: Zoisite!\I've found you! The seventh great Monster!\What?! You have one of the rainbow crystals?!\Hurry! He won't be able to follow us in here!\You're not getting away from me!\What is that?!\The rainbow crystal is mine!\Oh, no! Run faster! response:	It's the exit!
context: I've found you! The seventh great Monster!\What?! You have one of the rainbow crystals?!\Hurry! He won't be able to follow us in here!\You're not getting away from me!\What is that?!\The rainbow crystal is mine!\Oh, no! Run faster!\It's the exit! response:	I should've gone on a date with Yuichiro.
context: What?! You have one of the rainbow crystals?!\Hurry! He won't be able to follow us in here!\You're not getting away from me!\What is that?!\The rainbow crystal is mine!\Oh, no! Run faster!\It's the exit!\I should've gone on a date with Yuichiro. response:	It's Luna.
context: Hurry! He won't be able to follow us in here!\You're not getting away from me!\What is that?!\The rainbow crystal is mine!\Oh, no! Run faster!\It's the exit!\I should've gone on a date with Yuichiro.\It's Luna. response:	With her boyfriend, I see. Well, great for her.
context: You're not getting away from me!\What is that?!\The rainbow crystal is mine!\Oh, no! Run faster!\It's the exit!\I should've gone on a date with Yuichiro.\It's Luna.\With her boyfriend, I see. Well, great for her. response:	Gag! What the hell is that?!
context: What is that?!\The rainbow crystal is mine!\Oh, no! Run faster!\It's the exit!\I should've gone on a date with Yuichiro.\It's Luna.\With her boyfriend, I see. Well, great for her.\Gag! What the hell is that?! response:	Oh! The Crescent Moon Wand isn't responding!
context: The rainbow crystal is mine!\Oh, no! Run faster!\It's the exit!\I should've gone on a date with Yuichiro.\It's Luna.\With her boyfriend, I see. Well, great for her.\Gag! What the hell is that?!\Oh! The Crescent Moon Wand isn't responding! response:	Why didn't I notice this earlier?
context: Oh, no! Run faster!\It's the exit!\I should've gone on a date with Yuichiro.\It's Luna.\With her boyfriend, I see. Well, great for her.\Gag! What the hell is that?!\Oh! The Crescent Moon Wand isn't responding!\Why didn't I notice this earlier? response:	That means this girl isn't involved.
context: It's the exit!\I should've gone on a date with Yuichiro.\It's Luna.\With her boyfriend, I see. Well, great for her.\Gag! What the hell is that?!\Oh! The Crescent Moon Wand isn't responding!\Why didn't I notice this earlier?\That means this girl isn't involved. response:	Then, why was it responding earlier?
context: I should've gone on a date with Yuichiro.\It's Luna.\With her boyfriend, I see. Well, great for her.\Gag! What the hell is that?!\Oh! The Crescent Moon Wand isn't responding!\Why didn't I notice this earlier?\That means this girl isn't involved.\Then, why was it responding earlier? response:	Could it be...
context: It's Luna.\With her boyfriend, I see. Well, great for her.\Gag! What the hell is that?!\Oh! The Crescent Moon Wand isn't responding!\Why didn't I notice this earlier?\That means this girl isn't involved.\Then, why was it responding earlier?\Could it be... response:	That's right! It was responding to that cat!
context: With her boyfriend, I see. Well, great for her.\Gag! What the hell is that?!\Oh! The Crescent Moon Wand isn't responding!\Why didn't I notice this earlier?\That means this girl isn't involved.\Then, why was it responding earlier?\Could it be...\That's right! It was responding to that cat! response:	It's game over!
context: Gag! What the hell is that?!\Oh! The Crescent Moon Wand isn't responding!\Why didn't I notice this earlier?\That means this girl isn't involved.\Then, why was it responding earlier?\Could it be...\That's right! It was responding to that cat!\It's game over! response:	Run faster!
context: Oh! The Crescent Moon Wand isn't responding!\Why didn't I notice this earlier?\That means this girl isn't involved.\Then, why was it responding earlier?\Could it be...\That's right! It was responding to that cat!\It's game over!\Run faster! response:	Turn a misfortune into a blessing.
context: Why didn't I notice this earlier?\That means this girl isn't involved.\Then, why was it responding earlier?\Could it be...\That's right! It was responding to that cat!\It's game over!\Run faster!\Turn a misfortune into a blessing. response:	Hi. All's well that ends well, I guess.
context: That means this girl isn't involved.\Then, why was it responding earlier?\Could it be...\That's right! It was responding to that cat!\It's game over!\Run faster!\Turn a misfortune into a blessing.\Hi. All's well that ends well, I guess. response:	Fire Soul!
context: Then, why was it responding earlier?\Could it be...\That's right! It was responding to that cat!\It's game over!\Run faster!\Turn a misfortune into a blessing.\Hi. All's well that ends well, I guess.\Fire Soul! response:	I'm a sailor warrior of love and justice, Sailor Mars!
context: Could it be...\That's right! It was responding to that cat!\It's game over!\Run faster!\Turn a misfortune into a blessing.\Hi. All's well that ends well, I guess.\Fire Soul!\I'm a sailor warrior of love and justice, Sailor Mars! response:	I have arrived!
context: That's right! It was responding to that cat!\It's game over!\Run faster!\Turn a misfortune into a blessing.\Hi. All's well that ends well, I guess.\Fire Soul!\I'm a sailor warrior of love and justice, Sailor Mars!\I have arrived! response:	I won't let you interfere with their love!
context: It's game over!\Run faster!\Turn a misfortune into a blessing.\Hi. All's well that ends well, I guess.\Fire Soul!\I'm a sailor warrior of love and justice, Sailor Mars!\I have arrived!\I won't let you interfere with their love! response:	Even if they're cats, love is still love!
context: Run faster!\Turn a misfortune into a blessing.\Hi. All's well that ends well, I guess.\Fire Soul!\I'm a sailor warrior of love and justice, Sailor Mars!\I have arrived!\I won't let you interfere with their love!\Even if they're cats, love is still love! response:	No!
context: Turn a misfortune into a blessing.\Hi. All's well that ends well, I guess.\Fire Soul!\I'm a sailor warrior of love and justice, Sailor Mars!\I have arrived!\I won't let you interfere with their love!\Even if they're cats, love is still love!\No! response:	The fire of passion is burning! The fire of justice is burning!
context: Hi. All's well that ends well, I guess.\Fire Soul!\I'm a sailor warrior of love and justice, Sailor Mars!\I have arrived!\I won't let you interfere with their love!\Even if they're cats, love is still love!\No!\The fire of passion is burning! The fire of justice is burning! response:	Anybody who gets in the way of love,
context: Fire Soul!\I'm a sailor warrior of love and justice, Sailor Mars!\I have arrived!\I won't let you interfere with their love!\Even if they're cats, love is still love!\No!\The fire of passion is burning! The fire of justice is burning!\Anybody who gets in the way of love, response:	or rather, the love between beasts...
context: I'm a sailor warrior of love and justice, Sailor Mars!\I have arrived!\I won't let you interfere with their love!\Even if they're cats, love is still love!\No!\The fire of passion is burning! The fire of justice is burning!\Anybody who gets in the way of love,\or rather, the love between beasts... response:	In the name of Mars, Sailor Mars will chastise you!
context: I have arrived!\I won't let you interfere with their love!\Even if they're cats, love is still love!\No!\The fire of passion is burning! The fire of justice is burning!\Anybody who gets in the way of love,\or rather, the love between beasts...\In the name of Mars, Sailor Mars will chastise you! response:	You're such a dummy.
context: I won't let you interfere with their love!\Even if they're cats, love is still love!\No!\The fire of passion is burning! The fire of justice is burning!\Anybody who gets in the way of love,\or rather, the love between beasts...\In the name of Mars, Sailor Mars will chastise you!\You're such a dummy. response:	Zoi!
context: Even if they're cats, love is still love!\No!\The fire of passion is burning! The fire of justice is burning!\Anybody who gets in the way of love,\or rather, the love between beasts...\In the name of Mars, Sailor Mars will chastise you!\You're such a dummy.\Zoi! response:	Consider the situation before you start posing!
context: No!\The fire of passion is burning! The fire of justice is burning!\Anybody who gets in the way of love,\or rather, the love between beasts...\In the name of Mars, Sailor Mars will chastise you!\You're such a dummy.\Zoi!\Consider the situation before you start posing! response:	This time, I will be sure to take the rainbow crystal!
context: The fire of passion is burning! The fire of justice is burning!\Anybody who gets in the way of love,\or rather, the love between beasts...\In the name of Mars, Sailor Mars will chastise you!\You're such a dummy.\Zoi!\Consider the situation before you start posing!\This time, I will be sure to take the rainbow crystal! response:	Rhett Butler!
context: Anybody who gets in the way of love,\or rather, the love between beasts...\In the name of Mars, Sailor Mars will chastise you!\You're such a dummy.\Zoi!\Consider the situation before you start posing!\This time, I will be sure to take the rainbow crystal!\Rhett Butler! response:	Rhett Butler!
context: or rather, the love between beasts...\In the name of Mars, Sailor Mars will chastise you!\You're such a dummy.\Zoi!\Consider the situation before you start posing!\This time, I will be sure to take the rainbow crystal!\Rhett Butler!\Rhett Butler! response:	Now, finish them off, great Monster!
context: In the name of Mars, Sailor Mars will chastise you!\You're such a dummy.\Zoi!\Consider the situation before you start posing!\This time, I will be sure to take the rainbow crystal!\Rhett Butler!\Rhett Butler!\Now, finish them off, great Monster! response:	There aren't so many of them today,
context: You're such a dummy.\Zoi!\Consider the situation before you start posing!\This time, I will be sure to take the rainbow crystal!\Rhett Butler!\Rhett Butler!\Now, finish them off, great Monster!\There aren't so many of them today, response:	so it should be an easy victory!
context: Zoi!\Consider the situation before you start posing!\This time, I will be sure to take the rainbow crystal!\Rhett Butler!\Rhett Butler!\Now, finish them off, great Monster!\There aren't so many of them today,\so it should be an easy victory! response:	Oh, ouch!
context: Consider the situation before you start posing!\This time, I will be sure to take the rainbow crystal!\Rhett Butler!\Rhett Butler!\Now, finish them off, great Monster!\There aren't so many of them today,\so it should be an easy victory!\Oh, ouch! response:	The last rainbow crystal is mine. Good-bye.
context: This time, I will be sure to take the rainbow crystal!\Rhett Butler!\Rhett Butler!\Now, finish them off, great Monster!\There aren't so many of them today,\so it should be an easy victory!\Oh, ouch!\The last rainbow crystal is mine. Good-bye. response:	Damn you, Tuxedo Mask! Stop right there!
