context: Impossible... The Chancellor is one of those monsters? response:	Orders, ma'am? What about the attack?
context: Oh, right! Body-jack you!\Between my body, which has had combat techniques drilled into it by him, and your curse...\We can do it together!\All right, let's wrap this up, shall we?\That speed and that precise sword technique... Is that you, L-elf?\We're still alive!\We won't be silenced by you!\You know, Haruto, when I heard that your memories were disappearing, response:	I was actually looking forward to it a little.
context: Between my body, which has had combat techniques drilled into it by him, and your curse...\We can do it together!\All right, let's wrap this up, shall we?\That speed and that precise sword technique... Is that you, L-elf?\We're still alive!\We won't be silenced by you!\You know, Haruto, when I heard that your memories were disappearing,\I was actually looking forward to it a little. response:	I mean, who can compete against a childhood friend?
context: We can do it together!\All right, let's wrap this up, shall we?\That speed and that precise sword technique... Is that you, L-elf?\We're still alive!\We won't be silenced by you!\You know, Haruto, when I heard that your memories were disappearing,\I was actually looking forward to it a little.\I mean, who can compete against a childhood friend? response:	If you lost your memories, I'd be on an even footing with her.
context: All right, let's wrap this up, shall we?\That speed and that precise sword technique... Is that you, L-elf?\We're still alive!\We won't be silenced by you!\You know, Haruto, when I heard that your memories were disappearing,\I was actually looking forward to it a little.\I mean, who can compete against a childhood friend?\If you lost your memories, I'd be on an even footing with her. response:	I'm a horrible person, aren't I?
context: That speed and that precise sword technique... Is that you, L-elf?\We're still alive!\We won't be silenced by you!\You know, Haruto, when I heard that your memories were disappearing,\I was actually looking forward to it a little.\I mean, who can compete against a childhood friend?\If you lost your memories, I'd be on an even footing with her.\I'm a horrible person, aren't I? response:	The JIORan Module is moving!
context: We're still alive!\We won't be silenced by you!\You know, Haruto, when I heard that your memories were disappearing,\I was actually looking forward to it a little.\I mean, who can compete against a childhood friend?\If you lost your memories, I'd be on an even footing with her.\I'm a horrible person, aren't I?\The JIORan Module is moving! response:	A Valvrave! There's more left!
context: We won't be silenced by you!\You know, Haruto, when I heard that your memories were disappearing,\I was actually looking forward to it a little.\I mean, who can compete against a childhood friend?\If you lost your memories, I'd be on an even footing with her.\I'm a horrible person, aren't I?\The JIORan Module is moving!\A Valvrave! There's more left! response:	Q-vier!
context: You know, Haruto, when I heard that your memories were disappearing,\I was actually looking forward to it a little.\I mean, who can compete against a childhood friend?\If you lost your memories, I'd be on an even footing with her.\I'm a horrible person, aren't I?\The JIORan Module is moving!\A Valvrave! There's more left!\Q-vier! response:	Cannon fire has been forbidden!
context: I was actually looking forward to it a little.\I mean, who can compete against a childhood friend?\If you lost your memories, I'd be on an even footing with her.\I'm a horrible person, aren't I?\The JIORan Module is moving!\A Valvrave! There's more left!\Q-vier!\Cannon fire has been forbidden! response:	Don't forget that VIPs from our own country are inside!
context: I mean, who can compete against a childhood friend?\If you lost your memories, I'd be on an even footing with her.\I'm a horrible person, aren't I?\The JIORan Module is moving!\A Valvrave! There's more left!\Q-vier!\Cannon fire has been forbidden!\Don't forget that VIPs from our own country are inside! response:	Two Kirschbaums are en route. Lieutenants A-drei and Q-vier!
context: If you lost your memories, I'd be on an even footing with her.\I'm a horrible person, aren't I?\The JIORan Module is moving!\A Valvrave! There's more left!\Q-vier!\Cannon fire has been forbidden!\Don't forget that VIPs from our own country are inside!\Two Kirschbaums are en route. Lieutenants A-drei and Q-vier! response:	A-drei... I can't offer you any direct support.
context: I'm a horrible person, aren't I?\The JIORan Module is moving!\A Valvrave! There's more left!\Q-vier!\Cannon fire has been forbidden!\Don't forget that VIPs from our own country are inside!\Two Kirschbaums are en route. Lieutenants A-drei and Q-vier!\A-drei... I can't offer you any direct support. response:	I know that Haruto will choose Shoko,
context: The JIORan Module is moving!\A Valvrave! There's more left!\Q-vier!\Cannon fire has been forbidden!\Don't forget that VIPs from our own country are inside!\Two Kirschbaums are en route. Lieutenants A-drei and Q-vier!\A-drei... I can't offer you any direct support.\I know that Haruto will choose Shoko, response:	but I promised myself that I wouldn't give up.
context: A Valvrave! There's more left!\Q-vier!\Cannon fire has been forbidden!\Don't forget that VIPs from our own country are inside!\Two Kirschbaums are en route. Lieutenants A-drei and Q-vier!\A-drei... I can't offer you any direct support.\I know that Haruto will choose Shoko,\but I promised myself that I wouldn't give up. response:	Hostilities have been suspended!
context: Q-vier!\Cannon fire has been forbidden!\Don't forget that VIPs from our own country are inside!\Two Kirschbaums are en route. Lieutenants A-drei and Q-vier!\A-drei... I can't offer you any direct support.\I know that Haruto will choose Shoko,\but I promised myself that I wouldn't give up.\Hostilities have been suspended! response:	I'll deal with you after I take out that Valvrave!
context: Cannon fire has been forbidden!\Don't forget that VIPs from our own country are inside!\Two Kirschbaums are en route. Lieutenants A-drei and Q-vier!\A-drei... I can't offer you any direct support.\I know that Haruto will choose Shoko,\but I promised myself that I wouldn't give up.\Hostilities have been suspended!\I'll deal with you after I take out that Valvrave! response:	So that's why he'd been using a Waffe's shield...
context: Don't forget that VIPs from our own country are inside!\Two Kirschbaums are en route. Lieutenants A-drei and Q-vier!\A-drei... I can't offer you any direct support.\I know that Haruto will choose Shoko,\but I promised myself that I wouldn't give up.\Hostilities have been suspended!\I'll deal with you after I take out that Valvrave!\So that's why he'd been using a Waffe's shield... response:	That's my A-drei... I knew you'd be tough!
context: Two Kirschbaums are en route. Lieutenants A-drei and Q-vier!\A-drei... I can't offer you any direct support.\I know that Haruto will choose Shoko,\but I promised myself that I wouldn't give up.\Hostilities have been suspended!\I'll deal with you after I take out that Valvrave!\So that's why he'd been using a Waffe's shield...\That's my A-drei... I knew you'd be tough! response:	Q-vier...
context: A-drei... I can't offer you any direct support.\I know that Haruto will choose Shoko,\but I promised myself that I wouldn't give up.\Hostilities have been suspended!\I'll deal with you after I take out that Valvrave!\So that's why he'd been using a Waffe's shield...\That's my A-drei... I knew you'd be tough!\Q-vier... response:	I knew you'd be the best... You're so cool...
context: I know that Haruto will choose Shoko,\but I promised myself that I wouldn't give up.\Hostilities have been suspended!\I'll deal with you after I take out that Valvrave!\So that's why he'd been using a Waffe's shield...\That's my A-drei... I knew you'd be tough!\Q-vier...\I knew you'd be the best... You're so cool... response:	You understand nothing.
context: but I promised myself that I wouldn't give up.\Hostilities have been suspended!\I'll deal with you after I take out that Valvrave!\So that's why he'd been using a Waffe's shield...\That's my A-drei... I knew you'd be tough!\Q-vier...\I knew you'd be the best... You're so cool...\You understand nothing. response:	The Council of 101 is no evil secret society.
context: Hostilities have been suspended!\I'll deal with you after I take out that Valvrave!\So that's why he'd been using a Waffe's shield...\That's my A-drei... I knew you'd be tough!\Q-vier...\I knew you'd be the best... You're so cool...\You understand nothing.\The Council of 101 is no evil secret society. response:	We are champions of justice who safeguard the peace of the world.
context: I'll deal with you after I take out that Valvrave!\So that's why he'd been using a Waffe's shield...\That's my A-drei... I knew you'd be tough!\Q-vier...\I knew you'd be the best... You're so cool...\You understand nothing.\The Council of 101 is no evil secret society.\We are champions of justice who safeguard the peace of the world. response:	You're saying the Council is the good guys?!
context: So that's why he'd been using a Waffe's shield...\That's my A-drei... I knew you'd be tough!\Q-vier...\I knew you'd be the best... You're so cool...\You understand nothing.\The Council of 101 is no evil secret society.\We are champions of justice who safeguard the peace of the world.\You're saying the Council is the good guys?! response:	It was humans who attacked us first!
context: That's my A-drei... I knew you'd be tough!\Q-vier...\I knew you'd be the best... You're so cool...\You understand nothing.\The Council of 101 is no evil secret society.\We are champions of justice who safeguard the peace of the world.\You're saying the Council is the good guys?!\It was humans who attacked us first! response:	We desired only coexistence, but humanity feared and attacked us.
context: Q-vier...\I knew you'd be the best... You're so cool...\You understand nothing.\The Council of 101 is no evil secret society.\We are champions of justice who safeguard the peace of the world.\You're saying the Council is the good guys?!\It was humans who attacked us first!\We desired only coexistence, but humanity feared and attacked us. response:	Legends of supernatural monsters around the world are a chronicle of Magius suffering!
context: I knew you'd be the best... You're so cool...\You understand nothing.\The Council of 101 is no evil secret society.\We are champions of justice who safeguard the peace of the world.\You're saying the Council is the good guys?!\It was humans who attacked us first!\We desired only coexistence, but humanity feared and attacked us.\Legends of supernatural monsters around the world are a chronicle of Magius suffering! response:	It is for that reason that we, over the course of many years,
context: You understand nothing.\The Council of 101 is no evil secret society.\We are champions of justice who safeguard the peace of the world.\You're saying the Council is the good guys?!\It was humans who attacked us first!\We desired only coexistence, but humanity feared and attacked us.\Legends of supernatural monsters around the world are a chronicle of Magius suffering!\It is for that reason that we, over the course of many years, response:	made deals with the world's leading figures.
context: The Council of 101 is no evil secret society.\We are champions of justice who safeguard the peace of the world.\You're saying the Council is the good guys?!\It was humans who attacked us first!\We desired only coexistence, but humanity feared and attacked us.\Legends of supernatural monsters around the world are a chronicle of Magius suffering!\It is for that reason that we, over the course of many years,\made deals with the world's leading figures. response:	We Magiuses have lived in secret so as not to arouse the fear of humanity.
context: We are champions of justice who safeguard the peace of the world.\You're saying the Council is the good guys?!\It was humans who attacked us first!\We desired only coexistence, but humanity feared and attacked us.\Legends of supernatural monsters around the world are a chronicle of Magius suffering!\It is for that reason that we, over the course of many years,\made deals with the world's leading figures.\We Magiuses have lived in secret so as not to arouse the fear of humanity. response:	And in return...
context: You're saying the Council is the good guys?!\It was humans who attacked us first!\We desired only coexistence, but humanity feared and attacked us.\Legends of supernatural monsters around the world are a chronicle of Magius suffering!\It is for that reason that we, over the course of many years,\made deals with the world's leading figures.\We Magiuses have lived in secret so as not to arouse the fear of humanity.\And in return... response:	It is only because of the Council system that humanity has been kept safe from fear and chaos!
context: It was humans who attacked us first!\We desired only coexistence, but humanity feared and attacked us.\Legends of supernatural monsters around the world are a chronicle of Magius suffering!\It is for that reason that we, over the course of many years,\made deals with the world's leading figures.\We Magiuses have lived in secret so as not to arouse the fear of humanity.\And in return...\It is only because of the Council system that humanity has been kept safe from fear and chaos! response:	In short, the ones who threaten the peace and order of the world
context: We desired only coexistence, but humanity feared and attacked us.\Legends of supernatural monsters around the world are a chronicle of Magius suffering!\It is for that reason that we, over the course of many years,\made deals with the world's leading figures.\We Magiuses have lived in secret so as not to arouse the fear of humanity.\And in return...\It is only because of the Council system that humanity has been kept safe from fear and chaos!\In short, the ones who threaten the peace and order of the world response:	are you people and your Valvraves!
context: Legends of supernatural monsters around the world are a chronicle of Magius suffering!\It is for that reason that we, over the course of many years,\made deals with the world's leading figures.\We Magiuses have lived in secret so as not to arouse the fear of humanity.\And in return...\It is only because of the Council system that humanity has been kept safe from fear and chaos!\In short, the ones who threaten the peace and order of the world\are you people and your Valvraves! response:	That's your excuse?!
context: It is for that reason that we, over the course of many years,\made deals with the world's leading figures.\We Magiuses have lived in secret so as not to arouse the fear of humanity.\And in return...\It is only because of the Council system that humanity has been kept safe from fear and chaos!\In short, the ones who threaten the peace and order of the world\are you people and your Valvraves!\That's your excuse?! response:	Was what we did right?
context: made deals with the world's leading figures.\We Magiuses have lived in secret so as not to arouse the fear of humanity.\And in return...\It is only because of the Council system that humanity has been kept safe from fear and chaos!\In short, the ones who threaten the peace and order of the world\are you people and your Valvraves!\That's your excuse?!\Was what we did right? response:	You saw it! You saw how Haruto Tokishima didn't die!
context: We Magiuses have lived in secret so as not to arouse the fear of humanity.\And in return...\It is only because of the Council system that humanity has been kept safe from fear and chaos!\In short, the ones who threaten the peace and order of the world\are you people and your Valvraves!\That's your excuse?!\Was what we did right?\You saw it! You saw how Haruto Tokishima didn't die! response:	I did. But I didn't see him killing your father, Iori.
context: And in return...\It is only because of the Council system that humanity has been kept safe from fear and chaos!\In short, the ones who threaten the peace and order of the world\are you people and your Valvraves!\That's your excuse?!\Was what we did right?\You saw it! You saw how Haruto Tokishima didn't die!\I did. But I didn't see him killing your father, Iori. response:	Let's go find out.
context: It is only because of the Council system that humanity has been kept safe from fear and chaos!\In short, the ones who threaten the peace and order of the world\are you people and your Valvraves!\That's your excuse?!\Was what we did right?\You saw it! You saw how Haruto Tokishima didn't die!\I did. But I didn't see him killing your father, Iori.\Let's go find out. response:	Ma'am, are you okay?
context: In short, the ones who threaten the peace and order of the world\are you people and your Valvraves!\That's your excuse?!\Was what we did right?\You saw it! You saw how Haruto Tokishima didn't die!\I did. But I didn't see him killing your father, Iori.\Let's go find out.\Ma'am, are you okay? response:	A teacher can't sit idly by at time like this.
context: are you people and your Valvraves!\That's your excuse?!\Was what we did right?\You saw it! You saw how Haruto Tokishima didn't die!\I did. But I didn't see him killing your father, Iori.\Let's go find out.\Ma'am, are you okay?\A teacher can't sit idly by at time like this. response:	Find out? Find out how?
context: That's your excuse?!\Was what we did right?\You saw it! You saw how Haruto Tokishima didn't die!\I did. But I didn't see him killing your father, Iori.\Let's go find out.\Ma'am, are you okay?\A teacher can't sit idly by at time like this.\Find out? Find out how? response:	We'll talk. That's all.
context: Was what we did right?\You saw it! You saw how Haruto Tokishima didn't die!\I did. But I didn't see him killing your father, Iori.\Let's go find out.\Ma'am, are you okay?\A teacher can't sit idly by at time like this.\Find out? Find out how?\We'll talk. That's all. response:	The thing about the truth is, you'll never know what it is unless you come out and ask.
context: You saw it! You saw how Haruto Tokishima didn't die!\I did. But I didn't see him killing your father, Iori.\Let's go find out.\Ma'am, are you okay?\A teacher can't sit idly by at time like this.\Find out? Find out how?\We'll talk. That's all.\The thing about the truth is, you'll never know what it is unless you come out and ask. response:	Stop it, big brother! I don't hate this human!
context: I did. But I didn't see him killing your father, Iori.\Let's go find out.\Ma'am, are you okay?\A teacher can't sit idly by at time like this.\Find out? Find out how?\We'll talk. That's all.\The thing about the truth is, you'll never know what it is unless you come out and ask.\Stop it, big brother! I don't hate this human! response:	I can't do that! He's one of the people who locked us up in these machines
context: Let's go find out.\Ma'am, are you okay?\A teacher can't sit idly by at time like this.\Find out? Find out how?\We'll talk. That's all.\The thing about the truth is, you'll never know what it is unless you come out and ask.\Stop it, big brother! I don't hate this human!\I can't do that! He's one of the people who locked us up in these machines response:	to try to use us as a power source!
context: Ma'am, are you okay?\A teacher can't sit idly by at time like this.\Find out? Find out how?\We'll talk. That's all.\The thing about the truth is, you'll never know what it is unless you come out and ask.\Stop it, big brother! I don't hate this human!\I can't do that! He's one of the people who locked us up in these machines\to try to use us as a power source! response:	No! We're leaking Runes!
context: A teacher can't sit idly by at time like this.\Find out? Find out how?\We'll talk. That's all.\The thing about the truth is, you'll never know what it is unless you come out and ask.\Stop it, big brother! I don't hate this human!\I can't do that! He's one of the people who locked us up in these machines\to try to use us as a power source!\No! We're leaking Runes! response:	Can't we... win against him?
context: Find out? Find out how?\We'll talk. That's all.\The thing about the truth is, you'll never know what it is unless you come out and ask.\Stop it, big brother! I don't hate this human!\I can't do that! He's one of the people who locked us up in these machines\to try to use us as a power source!\No! We're leaking Runes!\Can't we... win against him? response:	We walked hand in hand with history, were hurt, and came to a realization.
context: We'll talk. That's all.\The thing about the truth is, you'll never know what it is unless you come out and ask.\Stop it, big brother! I don't hate this human!\I can't do that! He's one of the people who locked us up in these machines\to try to use us as a power source!\No! We're leaking Runes!\Can't we... win against him?\We walked hand in hand with history, were hurt, and came to a realization. response:	A system where there could be no conflict between us meant living separately
context: The thing about the truth is, you'll never know what it is unless you come out and ask.\Stop it, big brother! I don't hate this human!\I can't do that! He's one of the people who locked us up in these machines\to try to use us as a power source!\No! We're leaking Runes!\Can't we... win against him?\We walked hand in hand with history, were hurt, and came to a realization.\A system where there could be no conflict between us meant living separately response:	Very well, let's put an end to this.
context: Stop it, big brother! I don't hate this human!\I can't do that! He's one of the people who locked us up in these machines\to try to use us as a power source!\No! We're leaking Runes!\Can't we... win against him?\We walked hand in hand with history, were hurt, and came to a realization.\A system where there could be no conflict between us meant living separately\Very well, let's put an end to this. response:	I'll eliminate you two and reclaim our peace!
context: I can't do that! He's one of the people who locked us up in these machines\to try to use us as a power source!\No! We're leaking Runes!\Can't we... win against him?\We walked hand in hand with history, were hurt, and came to a realization.\A system where there could be no conflict between us meant living separately\Very well, let's put an end to this.\I'll eliminate you two and reclaim our peace! response:	We're coming, Pino!
context: to try to use us as a power source!\No! We're leaking Runes!\Can't we... win against him?\We walked hand in hand with history, were hurt, and came to a realization.\A system where there could be no conflict between us meant living separately\Very well, let's put an end to this.\I'll eliminate you two and reclaim our peace!\We're coming, Pino! response:	You're wrong!
context: No! We're leaking Runes!\Can't we... win against him?\We walked hand in hand with history, were hurt, and came to a realization.\A system where there could be no conflict between us meant living separately\Very well, let's put an end to this.\I'll eliminate you two and reclaim our peace!\We're coming, Pino!\You're wrong! response:	What's that?
context: Can't we... win against him?\We walked hand in hand with history, were hurt, and came to a realization.\A system where there could be no conflict between us meant living separately\Very well, let's put an end to this.\I'll eliminate you two and reclaim our peace!\We're coming, Pino!\You're wrong!\What's that? response:	You had considered trying to live together with humanity, too?
context: We walked hand in hand with history, were hurt, and came to a realization.\A system where there could be no conflict between us meant living separately\Very well, let's put an end to this.\I'll eliminate you two and reclaim our peace!\We're coming, Pino!\You're wrong!\What's that?\You had considered trying to live together with humanity, too? response:	But you gave up because you had been hurt.
context: A system where there could be no conflict between us meant living separately\Very well, let's put an end to this.\I'll eliminate you two and reclaim our peace!\We're coming, Pino!\You're wrong!\What's that?\You had considered trying to live together with humanity, too?\But you gave up because you had been hurt. response:	You built up a wall of lies so neither would hurt the other.
context: Very well, let's put an end to this.\I'll eliminate you two and reclaim our peace!\We're coming, Pino!\You're wrong!\What's that?\You had considered trying to live together with humanity, too?\But you gave up because you had been hurt.\You built up a wall of lies so neither would hurt the other. response:	He was my friend even after he lost his guiding light,
context: I'll eliminate you two and reclaim our peace!\We're coming, Pino!\You're wrong!\What's that?\You had considered trying to live together with humanity, too?\But you gave up because you had been hurt.\You built up a wall of lies so neither would hurt the other.\He was my friend even after he lost his guiding light, response:	he picked himself up to make her dream a reality!
context: We're coming, Pino!\You're wrong!\What's that?\You had considered trying to live together with humanity, too?\But you gave up because you had been hurt.\You built up a wall of lies so neither would hurt the other.\He was my friend even after he lost his guiding light,\he picked himself up to make her dream a reality! response:	And the girl that I love, even after losing her father,
context: You're wrong!\What's that?\You had considered trying to live together with humanity, too?\But you gave up because you had been hurt.\You built up a wall of lies so neither would hurt the other.\He was my friend even after he lost his guiding light,\he picked himself up to make her dream a reality!\And the girl that I love, even after losing her father, response:	even though he was the prime minister, she kept on fighting!
context: What's that?\You had considered trying to live together with humanity, too?\But you gave up because you had been hurt.\You built up a wall of lies so neither would hurt the other.\He was my friend even after he lost his guiding light,\he picked himself up to make her dream a reality!\And the girl that I love, even after losing her father,\even though he was the prime minister, she kept on fighting! response:	Its power is increasing?
context: You had considered trying to live together with humanity, too?\But you gave up because you had been hurt.\You built up a wall of lies so neither would hurt the other.\He was my friend even after he lost his guiding light,\he picked himself up to make her dream a reality!\And the girl that I love, even after losing her father,\even though he was the prime minister, she kept on fighting!\Its power is increasing? response:	For all our friends who haven't given up even after being hurt again and again,
context: But you gave up because you had been hurt.\You built up a wall of lies so neither would hurt the other.\He was my friend even after he lost his guiding light,\he picked himself up to make her dream a reality!\And the girl that I love, even after losing her father,\even though he was the prime minister, she kept on fighting!\Its power is increasing?\For all our friends who haven't given up even after being hurt again and again, response:	we can't lose to you!
context: You built up a wall of lies so neither would hurt the other.\He was my friend even after he lost his guiding light,\he picked himself up to make her dream a reality!\And the girl that I love, even after losing her father,\even though he was the prime minister, she kept on fighting!\Its power is increasing?\For all our friends who haven't given up even after being hurt again and again,\we can't lose to you! response:	A coup?!
context: He was my friend even after he lost his guiding light,\he picked himself up to make her dream a reality!\And the girl that I love, even after losing her father,\even though he was the prime minister, she kept on fighting!\Its power is increasing?\For all our friends who haven't given up even after being hurt again and again,\we can't lose to you!\A coup?! response:	Now, of all times?
context: he picked himself up to make her dream a reality!\And the girl that I love, even after losing her father,\even though he was the prime minister, she kept on fighting!\Its power is increasing?\For all our friends who haven't given up even after being hurt again and again,\we can't lose to you!\A coup?!\Now, of all times? response:	In seven locations that we know of.
context: And the girl that I love, even after losing her father,\even though he was the prime minister, she kept on fighting!\Its power is increasing?\For all our friends who haven't given up even after being hurt again and again,\we can't lose to you!\A coup?!\Now, of all times?\In seven locations that we know of. response:	They're breaking out simultaneously all across Dorssian territory.
context: even though he was the prime minister, she kept on fighting!\Its power is increasing?\For all our friends who haven't given up even after being hurt again and again,\we can't lose to you!\A coup?!\Now, of all times?\In seven locations that we know of.\They're breaking out simultaneously all across Dorssian territory. response:	We Royalists have long awaited the right time to take action.
context: Its power is increasing?\For all our friends who haven't given up even after being hurt again and again,\we can't lose to you!\A coup?!\Now, of all times?\In seven locations that we know of.\They're breaking out simultaneously all across Dorssian territory.\We Royalists have long awaited the right time to take action. response:	Regardless of the veracity of the information brought to us by the boy named L-elf,
context: For all our friends who haven't given up even after being hurt again and again,\we can't lose to you!\A coup?!\Now, of all times?\In seven locations that we know of.\They're breaking out simultaneously all across Dorssian territory.\We Royalists have long awaited the right time to take action.\Regardless of the veracity of the information brought to us by the boy named L-elf, response:	it provides sufficient pretext.
context: we can't lose to you!\A coup?!\Now, of all times?\In seven locations that we know of.\They're breaking out simultaneously all across Dorssian territory.\We Royalists have long awaited the right time to take action.\Regardless of the veracity of the information brought to us by the boy named L-elf,\it provides sufficient pretext. response:	Yes, Excellency. This is a golden opportunity for the Royalists to rise up and turn the tables.
context: A coup?!\Now, of all times?\In seven locations that we know of.\They're breaking out simultaneously all across Dorssian territory.\We Royalists have long awaited the right time to take action.\Regardless of the veracity of the information brought to us by the boy named L-elf,\it provides sufficient pretext.\Yes, Excellency. This is a golden opportunity for the Royalists to rise up and turn the tables. response:	- What's the Council of 101? - Looks like a list of those monsters.
context: Now, of all times?\In seven locations that we know of.\They're breaking out simultaneously all across Dorssian territory.\We Royalists have long awaited the right time to take action.\Regardless of the veracity of the information brought to us by the boy named L-elf,\it provides sufficient pretext.\Yes, Excellency. This is a golden opportunity for the Royalists to rise up and turn the tables.\- What's the Council of 101? - Looks like a list of those monsters. response:	- Check this out! - Hey, that's the president of the Winkers Company!
context: In seven locations that we know of.\They're breaking out simultaneously all across Dorssian territory.\We Royalists have long awaited the right time to take action.\Regardless of the veracity of the information brought to us by the boy named L-elf,\it provides sufficient pretext.\Yes, Excellency. This is a golden opportunity for the Royalists to rise up and turn the tables.\- What's the Council of 101? - Looks like a list of those monsters.\- Check this out! - Hey, that's the president of the Winkers Company! response:	What in the world is this?
context: They're breaking out simultaneously all across Dorssian territory.\We Royalists have long awaited the right time to take action.\Regardless of the veracity of the information brought to us by the boy named L-elf,\it provides sufficient pretext.\Yes, Excellency. This is a golden opportunity for the Royalists to rise up and turn the tables.\- What's the Council of 101? - Looks like a list of those monsters.\- Check this out! - Hey, that's the president of the Winkers Company!\What in the world is this? response:	This is a hoax!
context: We Royalists have long awaited the right time to take action.\Regardless of the veracity of the information brought to us by the boy named L-elf,\it provides sufficient pretext.\Yes, Excellency. This is a golden opportunity for the Royalists to rise up and turn the tables.\- What's the Council of 101? - Looks like a list of those monsters.\- Check this out! - Hey, that's the president of the Winkers Company!\What in the world is this?\This is a hoax! response:	Perhaps, but some of it is true!
context: Regardless of the veracity of the information brought to us by the boy named L-elf,\it provides sufficient pretext.\Yes, Excellency. This is a golden opportunity for the Royalists to rise up and turn the tables.\- What's the Council of 101? - Looks like a list of those monsters.\- Check this out! - Hey, that's the president of the Winkers Company!\What in the world is this?\This is a hoax!\Perhaps, but some of it is true! response:	It is not a problem. We will deal with it.
context: it provides sufficient pretext.\Yes, Excellency. This is a golden opportunity for the Royalists to rise up and turn the tables.\- What's the Council of 101? - Looks like a list of those monsters.\- Check this out! - Hey, that's the president of the Winkers Company!\What in the world is this?\This is a hoax!\Perhaps, but some of it is true!\It is not a problem. We will deal with it. response:	New information, sir!
context: Yes, Excellency. This is a golden opportunity for the Royalists to rise up and turn the tables.\- What's the Council of 101? - Looks like a list of those monsters.\- Check this out! - Hey, that's the president of the Winkers Company!\What in the world is this?\This is a hoax!\Perhaps, but some of it is true!\It is not a problem. We will deal with it.\New information, sir! response:	The president of the Global Bank has been taken into custody!
context: - What's the Council of 101? - Looks like a list of those monsters.\- Check this out! - Hey, that's the president of the Winkers Company!\What in the world is this?\This is a hoax!\Perhaps, but some of it is true!\It is not a problem. We will deal with it.\New information, sir!\The president of the Global Bank has been taken into custody! response:	Preposterous! He isn't a member of the Council!
context: - Check this out! - Hey, that's the president of the Winkers Company!\What in the world is this?\This is a hoax!\Perhaps, but some of it is true!\It is not a problem. We will deal with it.\New information, sir!\The president of the Global Bank has been taken into custody!\Preposterous! He isn't a member of the Council! response:	They're being whipped into a frenzy by some made-up stories?!
context: What in the world is this?\This is a hoax!\Perhaps, but some of it is true!\It is not a problem. We will deal with it.\New information, sir!\The president of the Global Bank has been taken into custody!\Preposterous! He isn't a member of the Council!\They're being whipped into a frenzy by some made-up stories?! response:	Targets have been apprehended.
context: This is a hoax!\Perhaps, but some of it is true!\It is not a problem. We will deal with it.\New information, sir!\The president of the Global Bank has been taken into custody!\Preposterous! He isn't a member of the Council!\They're being whipped into a frenzy by some made-up stories?!\Targets have been apprehended. response:	Was it wise to trust that list, sir?
context: Perhaps, but some of it is true!\It is not a problem. We will deal with it.\New information, sir!\The president of the Global Bank has been taken into custody!\Preposterous! He isn't a member of the Council!\They're being whipped into a frenzy by some made-up stories?!\Targets have been apprehended.\Was it wise to trust that list, sir? response:	Our only option is to take action now! Before the monsters can band together!
context: It is not a problem. We will deal with it.\New information, sir!\The president of the Global Bank has been taken into custody!\Preposterous! He isn't a member of the Council!\They're being whipped into a frenzy by some made-up stories?!\Targets have been apprehended.\Was it wise to trust that list, sir?\Our only option is to take action now! Before the monsters can band together! response:	If we play this right, we might be able to get rid of the Magiuses.
context: New information, sir!\The president of the Global Bank has been taken into custody!\Preposterous! He isn't a member of the Council!\They're being whipped into a frenzy by some made-up stories?!\Targets have been apprehended.\Was it wise to trust that list, sir?\Our only option is to take action now! Before the monsters can band together!\If we play this right, we might be able to get rid of the Magiuses. response:	We don't want a future that was given up on and closed off from the very beginning!
context: The president of the Global Bank has been taken into custody!\Preposterous! He isn't a member of the Council!\They're being whipped into a frenzy by some made-up stories?!\Targets have been apprehended.\Was it wise to trust that list, sir?\Our only option is to take action now! Before the monsters can band together!\If we play this right, we might be able to get rid of the Magiuses.\We don't want a future that was given up on and closed off from the very beginning! response:	I mean...
context: Preposterous! He isn't a member of the Council!\They're being whipped into a frenzy by some made-up stories?!\Targets have been apprehended.\Was it wise to trust that list, sir?\Our only option is to take action now! Before the monsters can band together!\If we play this right, we might be able to get rid of the Magiuses.\We don't want a future that was given up on and closed off from the very beginning!\I mean... response:	You stupid boy who knows nothing of history!
context: They're being whipped into a frenzy by some made-up stories?!\Targets have been apprehended.\Was it wise to trust that list, sir?\Our only option is to take action now! Before the monsters can band together!\If we play this right, we might be able to get rid of the Magiuses.\We don't want a future that was given up on and closed off from the very beginning!\I mean...\You stupid boy who knows nothing of history! response:	I'll do it!
context: Targets have been apprehended.\Was it wise to trust that list, sir?\Our only option is to take action now! Before the monsters can band together!\If we play this right, we might be able to get rid of the Magiuses.\We don't want a future that was given up on and closed off from the very beginning!\I mean...\You stupid boy who knows nothing of history!\I'll do it! response:	Plu!
context: Was it wise to trust that list, sir?\Our only option is to take action now! Before the monsters can band together!\If we play this right, we might be able to get rid of the Magiuses.\We don't want a future that was given up on and closed off from the very beginning!\I mean...\You stupid boy who knows nothing of history!\I'll do it!\Plu! response:	It's all over!
context: Our only option is to take action now! Before the monsters can band together!\If we play this right, we might be able to get rid of the Magiuses.\We don't want a future that was given up on and closed off from the very beginning!\I mean...\You stupid boy who knows nothing of history!\I'll do it!\Plu!\It's all over! response:	Cain! Cain!
context: If we play this right, we might be able to get rid of the Magiuses.\We don't want a future that was given up on and closed off from the very beginning!\I mean...\You stupid boy who knows nothing of history!\I'll do it!\Plu!\It's all over!\Cain! Cain! response:	Plu...
