context: Roar! response:	Roar!
context: What do you mean, come on?\Couldn't you say a little more?\Nonoka, you, too?\This place is too big.\How far do we have to walk?\I think we're almost there.\We're going the right way, right?\Yeah, I'm using the map. response:	Here! Fourth row, sixth from the right
context: Couldn't you say a little more?\Nonoka, you, too?\This place is too big.\How far do we have to walk?\I think we're almost there.\We're going the right way, right?\Yeah, I'm using the map.\Here! Fourth row, sixth from the right response:	Map?
context: Nonoka, you, too?\This place is too big.\How far do we have to walk?\I think we're almost there.\We're going the right way, right?\Yeah, I'm using the map.\Here! Fourth row, sixth from the right\Map? response:	I'm looking for this landmark,
context: This place is too big.\How far do we have to walk?\I think we're almost there.\We're going the right way, right?\Yeah, I'm using the map.\Here! Fourth row, sixth from the right\Map?\I'm looking for this landmark, response:	but I still can't find it.
context: How far do we have to walk?\I think we're almost there.\We're going the right way, right?\Yeah, I'm using the map.\Here! Fourth row, sixth from the right\Map?\I'm looking for this landmark,\but I still can't find it. response:	I'll call Dad and ask.
context: I think we're almost there.\We're going the right way, right?\Yeah, I'm using the map.\Here! Fourth row, sixth from the right\Map?\I'm looking for this landmark,\but I still can't find it.\I'll call Dad and ask. response:	Oh, I saw this earlier.
context: We're going the right way, right?\Yeah, I'm using the map.\Here! Fourth row, sixth from the right\Map?\I'm looking for this landmark,\but I still can't find it.\I'll call Dad and ask.\Oh, I saw this earlier. response:	Really?
context: Yeah, I'm using the map.\Here! Fourth row, sixth from the right\Map?\I'm looking for this landmark,\but I still can't find it.\I'll call Dad and ask.\Oh, I saw this earlier.\Really? response:	Yeah.
context: Here! Fourth row, sixth from the right\Map?\I'm looking for this landmark,\but I still can't find it.\I'll call Dad and ask.\Oh, I saw this earlier.\Really?\Yeah. response:	Don't worry about anything, Nonoka.
context: Map?\I'm looking for this landmark,\but I still can't find it.\I'll call Dad and ask.\Oh, I saw this earlier.\Really?\Yeah.\Don't worry about anything, Nonoka. response:	Leave it to me.
context: I'm looking for this landmark,\but I still can't find it.\I'll call Dad and ask.\Oh, I saw this earlier.\Really?\Yeah.\Don't worry about anything, Nonoka.\Leave it to me. response:	She says to leave it to her, so let's do that.
context: but I still can't find it.\I'll call Dad and ask.\Oh, I saw this earlier.\Really?\Yeah.\Don't worry about anything, Nonoka.\Leave it to me.\She says to leave it to her, so let's do that. response:	Okay.
context: I'll call Dad and ask.\Oh, I saw this earlier.\Really?\Yeah.\Don't worry about anything, Nonoka.\Leave it to me.\She says to leave it to her, so let's do that.\Okay. response:	Huh?
context: Oh, I saw this earlier.\Really?\Yeah.\Don't worry about anything, Nonoka.\Leave it to me.\She says to leave it to her, so let's do that.\Okay.\Huh? response:	I don't think this is it.
context: Really?\Yeah.\Don't worry about anything, Nonoka.\Leave it to me.\She says to leave it to her, so let's do that.\Okay.\Huh?\I don't think this is it. response:	I-It might not be not it.
context: Yeah.\Don't worry about anything, Nonoka.\Leave it to me.\She says to leave it to her, so let's do that.\Okay.\Huh?\I don't think this is it.\I-It might not be not it. response:	Let's go make sure.
context: Don't worry about anything, Nonoka.\Leave it to me.\She says to leave it to her, so let's do that.\Okay.\Huh?\I don't think this is it.\I-It might not be not it.\Let's go make sure. response:	Wait!
context: Leave it to me.\She says to leave it to her, so let's do that.\Okay.\Huh?\I don't think this is it.\I-It might not be not it.\Let's go make sure.\Wait! response:	Wait up.
context: She says to leave it to her, so let's do that.\Okay.\Huh?\I don't think this is it.\I-It might not be not it.\Let's go make sure.\Wait!\Wait up. response:	I think that does it for now.
context: Okay.\Huh?\I don't think this is it.\I-It might not be not it.\Let's go make sure.\Wait!\Wait up.\I think that does it for now. response:	Is Monster-san going to be okay?
context: Huh?\I don't think this is it.\I-It might not be not it.\Let's go make sure.\Wait!\Wait up.\I think that does it for now.\Is Monster-san going to be okay? response:	We did what we could.
context: I don't think this is it.\I-It might not be not it.\Let's go make sure.\Wait!\Wait up.\I think that does it for now.\Is Monster-san going to be okay?\We did what we could. response:	Does it hurt anymore?
context: I-It might not be not it.\Let's go make sure.\Wait!\Wait up.\I think that does it for now.\Is Monster-san going to be okay?\We did what we could.\Does it hurt anymore? response:	It's still not quite there.
context: Let's go make sure.\Wait!\Wait up.\I think that does it for now.\Is Monster-san going to be okay?\We did what we could.\Does it hurt anymore?\It's still not quite there. response:	All right, let's bring him back into surgery.
context: Wait!\Wait up.\I think that does it for now.\Is Monster-san going to be okay?\We did what we could.\Does it hurt anymore?\It's still not quite there.\All right, let's bring him back into surgery. response:	Are we at the right place this time?
context: Wait up.\I think that does it for now.\Is Monster-san going to be okay?\We did what we could.\Does it hurt anymore?\It's still not quite there.\All right, let's bring him back into surgery.\Are we at the right place this time? response:	Yeah, I think it's here.
context: I think that does it for now.\Is Monster-san going to be okay?\We did what we could.\Does it hurt anymore?\It's still not quite there.\All right, let's bring him back into surgery.\Are we at the right place this time?\Yeah, I think it's here. response:	We're finally here.
context: Is Monster-san going to be okay?\We did what we could.\Does it hurt anymore?\It's still not quite there.\All right, let's bring him back into surgery.\Are we at the right place this time?\Yeah, I think it's here.\We're finally here. response:	In the end, it was all Yuzuki's fault that we got lost.
context: We did what we could.\Does it hurt anymore?\It's still not quite there.\All right, let's bring him back into surgery.\Are we at the right place this time?\Yeah, I think it's here.\We're finally here.\In the end, it was all Yuzuki's fault that we got lost. response:	Leave me alone right now.
context: Does it hurt anymore?\It's still not quite there.\All right, let's bring him back into surgery.\Are we at the right place this time?\Yeah, I think it's here.\We're finally here.\In the end, it was all Yuzuki's fault that we got lost.\Leave me alone right now. response:	I'll go get some water, so you can take a break.
context: It's still not quite there.\All right, let's bring him back into surgery.\Are we at the right place this time?\Yeah, I think it's here.\We're finally here.\In the end, it was all Yuzuki's fault that we got lost.\Leave me alone right now.\I'll go get some water, so you can take a break. response:	I'll help.
context: All right, let's bring him back into surgery.\Are we at the right place this time?\Yeah, I think it's here.\We're finally here.\In the end, it was all Yuzuki's fault that we got lost.\Leave me alone right now.\I'll go get some water, so you can take a break.\I'll help. response:	You're worried about something, aren't you?
context: Are we at the right place this time?\Yeah, I think it's here.\We're finally here.\In the end, it was all Yuzuki's fault that we got lost.\Leave me alone right now.\I'll go get some water, so you can take a break.\I'll help.\You're worried about something, aren't you? response:	I forced you to let me come, but do you want to be alone with your mom?
context: Yeah, I think it's here.\We're finally here.\In the end, it was all Yuzuki's fault that we got lost.\Leave me alone right now.\I'll go get some water, so you can take a break.\I'll help.\You're worried about something, aren't you?\I forced you to let me come, but do you want to be alone with your mom? response:	No, that's not it.
context: We're finally here.\In the end, it was all Yuzuki's fault that we got lost.\Leave me alone right now.\I'll go get some water, so you can take a break.\I'll help.\You're worried about something, aren't you?\I forced you to let me come, but do you want to be alone with your mom?\No, that's not it. response:	Actually, this whole time, I've been afraid to see Mom.
context: In the end, it was all Yuzuki's fault that we got lost.\Leave me alone right now.\I'll go get some water, so you can take a break.\I'll help.\You're worried about something, aren't you?\I forced you to let me come, but do you want to be alone with your mom?\No, that's not it.\Actually, this whole time, I've been afraid to see Mom. response:	I think I still am.
context: Leave me alone right now.\I'll go get some water, so you can take a break.\I'll help.\You're worried about something, aren't you?\I forced you to let me come, but do you want to be alone with your mom?\No, that's not it.\Actually, this whole time, I've been afraid to see Mom.\I think I still am. response:	If you guys hadn't said you wanted to meet my mom,
context: I'll go get some water, so you can take a break.\I'll help.\You're worried about something, aren't you?\I forced you to let me come, but do you want to be alone with your mom?\No, that's not it.\Actually, this whole time, I've been afraid to see Mom.\I think I still am.\If you guys hadn't said you wanted to meet my mom, response:	I might not have been able to come this far.
context: I'll help.\You're worried about something, aren't you?\I forced you to let me come, but do you want to be alone with your mom?\No, that's not it.\Actually, this whole time, I've been afraid to see Mom.\I think I still am.\If you guys hadn't said you wanted to meet my mom,\I might not have been able to come this far. response:	Why not?
context: You're worried about something, aren't you?\I forced you to let me come, but do you want to be alone with your mom?\No, that's not it.\Actually, this whole time, I've been afraid to see Mom.\I think I still am.\If you guys hadn't said you wanted to meet my mom,\I might not have been able to come this far.\Why not? response:	I mean, I've only seen her in pictures,
context: I forced you to let me come, but do you want to be alone with your mom?\No, that's not it.\Actually, this whole time, I've been afraid to see Mom.\I think I still am.\If you guys hadn't said you wanted to meet my mom,\I might not have been able to come this far.\Why not?\I mean, I've only seen her in pictures, response:	but she seemed so nice.
context: No, that's not it.\Actually, this whole time, I've been afraid to see Mom.\I think I still am.\If you guys hadn't said you wanted to meet my mom,\I might not have been able to come this far.\Why not?\I mean, I've only seen her in pictures,\but she seemed so nice. response:	Yeah, she was really nice.
context: Actually, this whole time, I've been afraid to see Mom.\I think I still am.\If you guys hadn't said you wanted to meet my mom,\I might not have been able to come this far.\Why not?\I mean, I've only seen her in pictures,\but she seemed so nice.\Yeah, she was really nice. response:	She was nice, and always smiling.
context: I think I still am.\If you guys hadn't said you wanted to meet my mom,\I might not have been able to come this far.\Why not?\I mean, I've only seen her in pictures,\but she seemed so nice.\Yeah, she was really nice.\She was nice, and always smiling. response:	She'd always hold me.
context: If you guys hadn't said you wanted to meet my mom,\I might not have been able to come this far.\Why not?\I mean, I've only seen her in pictures,\but she seemed so nice.\Yeah, she was really nice.\She was nice, and always smiling.\She'd always hold me. response:	And she was warm.
context: I might not have been able to come this far.\Why not?\I mean, I've only seen her in pictures,\but she seemed so nice.\Yeah, she was really nice.\She was nice, and always smiling.\She'd always hold me.\And she was warm. response:	But her hand was always cold.
context: Why not?\I mean, I've only seen her in pictures,\but she seemed so nice.\Yeah, she was really nice.\She was nice, and always smiling.\She'd always hold me.\And she was warm.\But her hand was always cold. response:	Seven years ago, right after we moved out of town,
context: I mean, I've only seen her in pictures,\but she seemed so nice.\Yeah, she was really nice.\She was nice, and always smiling.\She'd always hold me.\And she was warm.\But her hand was always cold.\Seven years ago, right after we moved out of town, response:	I learned that we moved so that Mom could get treatment.
context: but she seemed so nice.\Yeah, she was really nice.\She was nice, and always smiling.\She'd always hold me.\And she was warm.\But her hand was always cold.\Seven years ago, right after we moved out of town,\I learned that we moved so that Mom could get treatment. response:	And in the end,
context: Yeah, she was really nice.\She was nice, and always smiling.\She'd always hold me.\And she was warm.\But her hand was always cold.\Seven years ago, right after we moved out of town,\I learned that we moved so that Mom could get treatment.\And in the end, response:	she was gone.
context: She was nice, and always smiling.\She'd always hold me.\And she was warm.\But her hand was always cold.\Seven years ago, right after we moved out of town,\I learned that we moved so that Mom could get treatment.\And in the end,\she was gone. response:	I was so sad and lonely.
context: She'd always hold me.\And she was warm.\But her hand was always cold.\Seven years ago, right after we moved out of town,\I learned that we moved so that Mom could get treatment.\And in the end,\she was gone.\I was so sad and lonely. response:	Everything went dark.
context: And she was warm.\But her hand was always cold.\Seven years ago, right after we moved out of town,\I learned that we moved so that Mom could get treatment.\And in the end,\she was gone.\I was so sad and lonely.\Everything went dark. response:	I was miserable.
context: But her hand was always cold.\Seven years ago, right after we moved out of town,\I learned that we moved so that Mom could get treatment.\And in the end,\she was gone.\I was so sad and lonely.\Everything went dark.\I was miserable. response:	I think that's when I stopped remembering.
context: Seven years ago, right after we moved out of town,\I learned that we moved so that Mom could get treatment.\And in the end,\she was gone.\I was so sad and lonely.\Everything went dark.\I was miserable.\I think that's when I stopped remembering. response:	Mom's voice, her smile,
context: I learned that we moved so that Mom could get treatment.\And in the end,\she was gone.\I was so sad and lonely.\Everything went dark.\I was miserable.\I think that's when I stopped remembering.\Mom's voice, her smile, response:	my life living with her.
context: And in the end,\she was gone.\I was so sad and lonely.\Everything went dark.\I was miserable.\I think that's when I stopped remembering.\Mom's voice, her smile,\my life living with her. response:	I told myself over and over
context: she was gone.\I was so sad and lonely.\Everything went dark.\I was miserable.\I think that's when I stopped remembering.\Mom's voice, her smile,\my life living with her.\I told myself over and over response:	that none of it ever happened to begin with.
context: I was so sad and lonely.\Everything went dark.\I was miserable.\I think that's when I stopped remembering.\Mom's voice, her smile,\my life living with her.\I told myself over and over\that none of it ever happened to begin with. response:	Then I wasn't miserable anymore.
context: Everything went dark.\I was miserable.\I think that's when I stopped remembering.\Mom's voice, her smile,\my life living with her.\I told myself over and over\that none of it ever happened to begin with.\Then I wasn't miserable anymore. response:	My heart stopped aching.
context: I was miserable.\I think that's when I stopped remembering.\Mom's voice, her smile,\my life living with her.\I told myself over and over\that none of it ever happened to begin with.\Then I wasn't miserable anymore.\My heart stopped aching. response:	But I forgot all the important things, too.
context: I think that's when I stopped remembering.\Mom's voice, her smile,\my life living with her.\I told myself over and over\that none of it ever happened to begin with.\Then I wasn't miserable anymore.\My heart stopped aching.\But I forgot all the important things, too. response:	Yuzuki, Koharu, Souta,
context: Mom's voice, her smile,\my life living with her.\I told myself over and over\that none of it ever happened to begin with.\Then I wasn't miserable anymore.\My heart stopped aching.\But I forgot all the important things, too.\Yuzuki, Koharu, Souta, response:	Noel.
context: my life living with her.\I told myself over and over\that none of it ever happened to begin with.\Then I wasn't miserable anymore.\My heart stopped aching.\But I forgot all the important things, too.\Yuzuki, Koharu, Souta,\Noel. response:	And I hurt Shione.
context: I told myself over and over\that none of it ever happened to begin with.\Then I wasn't miserable anymore.\My heart stopped aching.\But I forgot all the important things, too.\Yuzuki, Koharu, Souta,\Noel.\And I hurt Shione. response:	But you remembered us.
context: that none of it ever happened to begin with.\Then I wasn't miserable anymore.\My heart stopped aching.\But I forgot all the important things, too.\Yuzuki, Koharu, Souta,\Noel.\And I hurt Shione.\But you remembered us. response:	Then
context: Then I wasn't miserable anymore.\My heart stopped aching.\But I forgot all the important things, too.\Yuzuki, Koharu, Souta,\Noel.\And I hurt Shione.\But you remembered us.\Then response:	No.
context: My heart stopped aching.\But I forgot all the important things, too.\Yuzuki, Koharu, Souta,\Noel.\And I hurt Shione.\But you remembered us.\Then\No. response:	Mom wouldn't forgive me the way I am.
context: But I forgot all the important things, too.\Yuzuki, Koharu, Souta,\Noel.\And I hurt Shione.\But you remembered us.\Then\No.\Mom wouldn't forgive me the way I am. response:	She wouldn't be proud of me anymore.
context: Yuzuki, Koharu, Souta,\Noel.\And I hurt Shione.\But you remembered us.\Then\No.\Mom wouldn't forgive me the way I am.\She wouldn't be proud of me anymore. response:	Maybe I was never
context: Noel.\And I hurt Shione.\But you remembered us.\Then\No.\Mom wouldn't forgive me the way I am.\She wouldn't be proud of me anymore.\Maybe I was never response:	a child that was worth being proud of to begin with.
context: And I hurt Shione.\But you remembered us.\Then\No.\Mom wouldn't forgive me the way I am.\She wouldn't be proud of me anymore.\Maybe I was never\a child that was worth being proud of to begin with. response:	Then why are you here, Nonoka?
context: But you remembered us.\Then\No.\Mom wouldn't forgive me the way I am.\She wouldn't be proud of me anymore.\Maybe I was never\a child that was worth being proud of to begin with.\Then why are you here, Nonoka? response:	Yeah.
context: Then\No.\Mom wouldn't forgive me the way I am.\She wouldn't be proud of me anymore.\Maybe I was never\a child that was worth being proud of to begin with.\Then why are you here, Nonoka?\Yeah. response:	You came here to see your mom, right?
context: No.\Mom wouldn't forgive me the way I am.\She wouldn't be proud of me anymore.\Maybe I was never\a child that was worth being proud of to begin with.\Then why are you here, Nonoka?\Yeah.\You came here to see your mom, right? response:	That means you made up your mind to face all of it.
context: Mom wouldn't forgive me the way I am.\She wouldn't be proud of me anymore.\Maybe I was never\a child that was worth being proud of to begin with.\Then why are you here, Nonoka?\Yeah.\You came here to see your mom, right?\That means you made up your mind to face all of it. response:	Like I did with Souta.
context: She wouldn't be proud of me anymore.\Maybe I was never\a child that was worth being proud of to begin with.\Then why are you here, Nonoka?\Yeah.\You came here to see your mom, right?\That means you made up your mind to face all of it.\Like I did with Souta. response:	You'll be okay.
context: Maybe I was never\a child that was worth being proud of to begin with.\Then why are you here, Nonoka?\Yeah.\You came here to see your mom, right?\That means you made up your mind to face all of it.\Like I did with Souta.\You'll be okay. response:	But
context: a child that was worth being proud of to begin with.\Then why are you here, Nonoka?\Yeah.\You came here to see your mom, right?\That means you made up your mind to face all of it.\Like I did with Souta.\You'll be okay.\But response:	No, trust me.
context: Then why are you here, Nonoka?\Yeah.\You came here to see your mom, right?\That means you made up your mind to face all of it.\Like I did with Souta.\You'll be okay.\But\No, trust me. response:	I won't accept any arguments.
context: Yeah.\You came here to see your mom, right?\That means you made up your mind to face all of it.\Like I did with Souta.\You'll be okay.\But\No, trust me.\I won't accept any arguments. response:	I've been proud to be your friend
context: You came here to see your mom, right?\That means you made up your mind to face all of it.\Like I did with Souta.\You'll be okay.\But\No, trust me.\I won't accept any arguments.\I've been proud to be your friend response:	since the observatory days.
context: That means you made up your mind to face all of it.\Like I did with Souta.\You'll be okay.\But\No, trust me.\I won't accept any arguments.\I've been proud to be your friend\since the observatory days. response:	Thanks.
context: Like I did with Souta.\You'll be okay.\But\No, trust me.\I won't accept any arguments.\I've been proud to be your friend\since the observatory days.\Thanks. response:	But can I have just a little more...
context: You'll be okay.\But\No, trust me.\I won't accept any arguments.\I've been proud to be your friend\since the observatory days.\Thanks.\But can I have just a little more... response:	Just a little more time, please.
context: But\No, trust me.\I won't accept any arguments.\I've been proud to be your friend\since the observatory days.\Thanks.\But can I have just a little more...\Just a little more time, please. response:	Sure.
context: No, trust me.\I won't accept any arguments.\I've been proud to be your friend\since the observatory days.\Thanks.\But can I have just a little more...\Just a little more time, please.\Sure. response:	We'll be waiting over there.
context: I won't accept any arguments.\I've been proud to be your friend\since the observatory days.\Thanks.\But can I have just a little more...\Just a little more time, please.\Sure.\We'll be waiting over there. response:	Is it already that time of the year?
context: I've been proud to be your friend\since the observatory days.\Thanks.\But can I have just a little more...\Just a little more time, please.\Sure.\We'll be waiting over there.\Is it already that time of the year? response:	Pretty.
context: since the observatory days.\Thanks.\But can I have just a little more...\Just a little more time, please.\Sure.\We'll be waiting over there.\Is it already that time of the year?\Pretty. response:	They're like stars.
context: Thanks.\But can I have just a little more...\Just a little more time, please.\Sure.\We'll be waiting over there.\Is it already that time of the year?\Pretty.\They're like stars. response:	It's coming down pretty hard.
context: But can I have just a little more...\Just a little more time, please.\Sure.\We'll be waiting over there.\Is it already that time of the year?\Pretty.\They're like stars.\It's coming down pretty hard. response:	Huh, Shione?
context: Just a little more time, please.\Sure.\We'll be waiting over there.\Is it already that time of the year?\Pretty.\They're like stars.\It's coming down pretty hard.\Huh, Shione? response:	It's you, isn't it?
context: Sure.\We'll be waiting over there.\Is it already that time of the year?\Pretty.\They're like stars.\It's coming down pretty hard.\Huh, Shione?\It's you, isn't it? response:	Hey, you came after all.
context: We'll be waiting over there.\Is it already that time of the year?\Pretty.\They're like stars.\It's coming down pretty hard.\Huh, Shione?\It's you, isn't it?\Hey, you came after all. response:	But why?
context: Is it already that time of the year?\Pretty.\They're like stars.\It's coming down pretty hard.\Huh, Shione?\It's you, isn't it?\Hey, you came after all.\But why? response:	Wait.
context: Pretty.\They're like stars.\It's coming down pretty hard.\Huh, Shione?\It's you, isn't it?\Hey, you came after all.\But why?\Wait. response:	Nonoka's here.
context: They're like stars.\It's coming down pretty hard.\Huh, Shione?\It's you, isn't it?\Hey, you came after all.\But why?\Wait.\Nonoka's here. response:	So what?
context: It's coming down pretty hard.\Huh, Shione?\It's you, isn't it?\Hey, you came after all.\But why?\Wait.\Nonoka's here.\So what? response:	Why don't you talk to her again like way back when?
context: Huh, Shione?\It's you, isn't it?\Hey, you came after all.\But why?\Wait.\Nonoka's here.\So what?\Why don't you talk to her again like way back when? response:	Grave of Ancestors
context: It's you, isn't it?\Hey, you came after all.\But why?\Wait.\Nonoka's here.\So what?\Why don't you talk to her again like way back when?\Grave of Ancestors response:	This is...
context: Hey, you came after all.\But why?\Wait.\Nonoka's here.\So what?\Why don't you talk to her again like way back when?\Grave of Ancestors\This is... response:	Yeah.
context: But why?\Wait.\Nonoka's here.\So what?\Why don't you talk to her again like way back when?\Grave of Ancestors\This is...\Yeah. response:	Shione.
context: Wait.\Nonoka's here.\So what?\Why don't you talk to her again like way back when?\Grave of Ancestors\This is...\Yeah.\Shione. response:	Nonoka.
context: Nonoka's here.\So what?\Why don't you talk to her again like way back when?\Grave of Ancestors\This is...\Yeah.\Shione.\Nonoka. response:	Nonoka.
context: So what?\Why don't you talk to her again like way back when?\Grave of Ancestors\This is...\Yeah.\Shione.\Nonoka.\Nonoka. response:	Shione just
context: Why don't you talk to her again like way back when?\Grave of Ancestors\This is...\Yeah.\Shione.\Nonoka.\Nonoka.\Shione just response:	Togawa-san, we're all going stargazing at the lake tonight.
context: Grave of Ancestors\This is...\Yeah.\Shione.\Nonoka.\Nonoka.\Shione just\Togawa-san, we're all going stargazing at the lake tonight. response:	Come with us.
context: This is...\Yeah.\Shione.\Nonoka.\Nonoka.\Shione just\Togawa-san, we're all going stargazing at the lake tonight.\Come with us. response:	Has Shione met your mom?
context: Yeah.\Shione.\Nonoka.\Nonoka.\Shione just\Togawa-san, we're all going stargazing at the lake tonight.\Come with us.\Has Shione met your mom? response:	Yeah.
context: Shione.\Nonoka.\Nonoka.\Shione just\Togawa-san, we're all going stargazing at the lake tonight.\Come with us.\Has Shione met your mom?\Yeah. response:	It was Mom who gave me an opportunity to be friends with Shione.
context: Nonoka.\Nonoka.\Shione just\Togawa-san, we're all going stargazing at the lake tonight.\Come with us.\Has Shione met your mom?\Yeah.\It was Mom who gave me an opportunity to be friends with Shione. response:	Komiya Family
context: Nonoka.\Shione just\Togawa-san, we're all going stargazing at the lake tonight.\Come with us.\Has Shione met your mom?\Yeah.\It was Mom who gave me an opportunity to be friends with Shione.\Komiya Family response:	If you really want to be her friend...
context: Shione just\Togawa-san, we're all going stargazing at the lake tonight.\Come with us.\Has Shione met your mom?\Yeah.\It was Mom who gave me an opportunity to be friends with Shione.\Komiya Family\If you really want to be her friend... response:	Don't look like that, then.
context: Togawa-san, we're all going stargazing at the lake tonight.\Come with us.\Has Shione met your mom?\Yeah.\It was Mom who gave me an opportunity to be friends with Shione.\Komiya Family\If you really want to be her friend...\Don't look like that, then. response:	Come on.
context: Come with us.\Has Shione met your mom?\Yeah.\It was Mom who gave me an opportunity to be friends with Shione.\Komiya Family\If you really want to be her friend...\Don't look like that, then.\Come on. response:	Hey, Yuzuki.
context: Has Shione met your mom?\Yeah.\It was Mom who gave me an opportunity to be friends with Shione.\Komiya Family\If you really want to be her friend...\Don't look like that, then.\Come on.\Hey, Yuzuki. response:	I remember you smiling all the time.
context: Yeah.\It was Mom who gave me an opportunity to be friends with Shione.\Komiya Family\If you really want to be her friend...\Don't look like that, then.\Come on.\Hey, Yuzuki.\I remember you smiling all the time. response:	I think your mom would like to see your smile, too.
context: It was Mom who gave me an opportunity to be friends with Shione.\Komiya Family\If you really want to be her friend...\Don't look like that, then.\Come on.\Hey, Yuzuki.\I remember you smiling all the time.\I think your mom would like to see your smile, too. response:	I wonder if Monster-san is going to be happy.
context: Komiya Family\If you really want to be her friend...\Don't look like that, then.\Come on.\Hey, Yuzuki.\I remember you smiling all the time.\I think your mom would like to see your smile, too.\I wonder if Monster-san is going to be happy. response:	Yeah, I bet he's thankful to you.
context: If you really want to be her friend...\Don't look like that, then.\Come on.\Hey, Yuzuki.\I remember you smiling all the time.\I think your mom would like to see your smile, too.\I wonder if Monster-san is going to be happy.\Yeah, I bet he's thankful to you. response:	He's happy.
context: Don't look like that, then.\Come on.\Hey, Yuzuki.\I remember you smiling all the time.\I think your mom would like to see your smile, too.\I wonder if Monster-san is going to be happy.\Yeah, I bet he's thankful to you.\He's happy. response:	And Koharu won't be sad, either.
context: Come on.\Hey, Yuzuki.\I remember you smiling all the time.\I think your mom would like to see your smile, too.\I wonder if Monster-san is going to be happy.\Yeah, I bet he's thankful to you.\He's happy.\And Koharu won't be sad, either. response:	Koharu won't change him with another Monster-san now, right?
context: Hey, Yuzuki.\I remember you smiling all the time.\I think your mom would like to see your smile, too.\I wonder if Monster-san is going to be happy.\Yeah, I bet he's thankful to you.\He's happy.\And Koharu won't be sad, either.\Koharu won't change him with another Monster-san now, right? response:	Why would she?
context: I remember you smiling all the time.\I think your mom would like to see your smile, too.\I wonder if Monster-san is going to be happy.\Yeah, I bet he's thankful to you.\He's happy.\And Koharu won't be sad, either.\Koharu won't change him with another Monster-san now, right?\Why would she? response:	But Koharu said...
context: I think your mom would like to see your smile, too.\I wonder if Monster-san is going to be happy.\Yeah, I bet he's thankful to you.\He's happy.\And Koharu won't be sad, either.\Koharu won't change him with another Monster-san now, right?\Why would she?\But Koharu said... response:	This Kirigon is special.
context: I wonder if Monster-san is going to be happy.\Yeah, I bet he's thankful to you.\He's happy.\And Koharu won't be sad, either.\Koharu won't change him with another Monster-san now, right?\Why would she?\But Koharu said...\This Kirigon is special. response:	Special?
context: Yeah, I bet he's thankful to you.\He's happy.\And Koharu won't be sad, either.\Koharu won't change him with another Monster-san now, right?\Why would she?\But Koharu said...\This Kirigon is special.\Special? response:	That's how much she likes it.
context: He's happy.\And Koharu won't be sad, either.\Koharu won't change him with another Monster-san now, right?\Why would she?\But Koharu said...\This Kirigon is special.\Special?\That's how much she likes it. response:	Wait.
context: And Koharu won't be sad, either.\Koharu won't change him with another Monster-san now, right?\Why would she?\But Koharu said...\This Kirigon is special.\Special?\That's how much she likes it.\Wait. response:	Can I ask you something, Yuzuki, Souta?
context: Koharu won't change him with another Monster-san now, right?\Why would she?\But Koharu said...\This Kirigon is special.\Special?\That's how much she likes it.\Wait.\Can I ask you something, Yuzuki, Souta? response:	Kirigon
context: Why would she?\But Koharu said...\This Kirigon is special.\Special?\That's how much she likes it.\Wait.\Can I ask you something, Yuzuki, Souta?\Kirigon response:	Here.
context: But Koharu said...\This Kirigon is special.\Special?\That's how much she likes it.\Wait.\Can I ask you something, Yuzuki, Souta?\Kirigon\Here. response:	Yuzuki did the draft drawing, I cut boards and stuff,
context: This Kirigon is special.\Special?\That's how much she likes it.\Wait.\Can I ask you something, Yuzuki, Souta?\Kirigon\Here.\Yuzuki did the draft drawing, I cut boards and stuff, response:	and we painted it with Koharu.
context: Special?\That's how much she likes it.\Wait.\Can I ask you something, Yuzuki, Souta?\Kirigon\Here.\Yuzuki did the draft drawing, I cut boards and stuff,\and we painted it with Koharu. response:	You were all together.
context: That's how much she likes it.\Wait.\Can I ask you something, Yuzuki, Souta?\Kirigon\Here.\Yuzuki did the draft drawing, I cut boards and stuff,\and we painted it with Koharu.\You were all together. response:	Your smile pushed me forward a lot of times.
context: Wait.\Can I ask you something, Yuzuki, Souta?\Kirigon\Here.\Yuzuki did the draft drawing, I cut boards and stuff,\and we painted it with Koharu.\You were all together.\Your smile pushed me forward a lot of times. response:	That means
context: Can I ask you something, Yuzuki, Souta?\Kirigon\Here.\Yuzuki did the draft drawing, I cut boards and stuff,\and we painted it with Koharu.\You were all together.\Your smile pushed me forward a lot of times.\That means response:	you took what your mom told you to heart, right?
context: Kirigon\Here.\Yuzuki did the draft drawing, I cut boards and stuff,\and we painted it with Koharu.\You were all together.\Your smile pushed me forward a lot of times.\That means\you took what your mom told you to heart, right? response:	Come on, buck up.
context: Here.\Yuzuki did the draft drawing, I cut boards and stuff,\and we painted it with Koharu.\You were all together.\Your smile pushed me forward a lot of times.\That means\you took what your mom told you to heart, right?\Come on, buck up. response:	Here you go.
context: Yuzuki did the draft drawing, I cut boards and stuff,\and we painted it with Koharu.\You were all together.\Your smile pushed me forward a lot of times.\That means\you took what your mom told you to heart, right?\Come on, buck up.\Here you go. response:	Mom.
context: and we painted it with Koharu.\You were all together.\Your smile pushed me forward a lot of times.\That means\you took what your mom told you to heart, right?\Come on, buck up.\Here you go.\Mom. response:	I'm here to see you.
context: You were all together.\Your smile pushed me forward a lot of times.\That means\you took what your mom told you to heart, right?\Come on, buck up.\Here you go.\Mom.\I'm here to see you. response:	She's probably there with you about now.
