context: Good morning. response:	The karuta club is looking for more members!
context: There's no reason to join a club at school.\Please!\If Porky joins, our karuta club can be really strong!\I'm sure you can also become really strong!\Won't happen. I'm not interested.\You still refuse?\I need to go to practice.\And my name isn't Porky. It's Nishida! response:	Bye.
context: Please!\If Porky joins, our karuta club can be really strong!\I'm sure you can also become really strong!\Won't happen. I'm not interested.\You still refuse?\I need to go to practice.\And my name isn't Porky. It's Nishida!\Bye. response:	Hey, wait a moment!
context: If Porky joins, our karuta club can be really strong!\I'm sure you can also become really strong!\Won't happen. I'm not interested.\You still refuse?\I need to go to practice.\And my name isn't Porky. It's Nishida!\Bye.\Hey, wait a moment! response:	Just forget about him.
context: I'm sure you can also become really strong!\Won't happen. I'm not interested.\You still refuse?\I need to go to practice.\And my name isn't Porky. It's Nishida!\Bye.\Hey, wait a moment!\Just forget about him. response:	Let's go back to the clubroom.
context: Won't happen. I'm not interested.\You still refuse?\I need to go to practice.\And my name isn't Porky. It's Nishida!\Bye.\Hey, wait a moment!\Just forget about him.\Let's go back to the clubroom. response:	Taichi...
context: You still refuse?\I need to go to practice.\And my name isn't Porky. It's Nishida!\Bye.\Hey, wait a moment!\Just forget about him.\Let's go back to the clubroom.\Taichi... response:	Nice!
context: I need to go to practice.\And my name isn't Porky. It's Nishida!\Bye.\Hey, wait a moment!\Just forget about him.\Let's go back to the clubroom.\Taichi...\Nice! response:	Way to go, Nishida!
context: And my name isn't Porky. It's Nishida!\Bye.\Hey, wait a moment!\Just forget about him.\Let's go back to the clubroom.\Taichi...\Nice!\Way to go, Nishida! response:	Keep it up!
context: Bye.\Hey, wait a moment!\Just forget about him.\Let's go back to the clubroom.\Taichi...\Nice!\Way to go, Nishida!\Keep it up! response:	Yes!
context: Hey, wait a moment!\Just forget about him.\Let's go back to the clubroom.\Taichi...\Nice!\Way to go, Nishida!\Keep it up!\Yes! response:	Yamakawa, don't hold back on your serve.
context: Just forget about him.\Let's go back to the clubroom.\Taichi...\Nice!\Way to go, Nishida!\Keep it up!\Yes!\Yamakawa, don't hold back on your serve. response:	Understood!
context: Let's go back to the clubroom.\Taichi...\Nice!\Way to go, Nishida!\Keep it up!\Yes!\Yamakawa, don't hold back on your serve.\Understood! response:	Wow...
context: Taichi...\Nice!\Way to go, Nishida!\Keep it up!\Yes!\Yamakawa, don't hold back on your serve.\Understood!\Wow... response:	Porky is really athletic!
context: Nice!\Way to go, Nishida!\Keep it up!\Yes!\Yamakawa, don't hold back on your serve.\Understood!\Wow...\Porky is really athletic! response:	Easy!
context: Way to go, Nishida!\Keep it up!\Yes!\Yamakawa, don't hold back on your serve.\Understood!\Wow...\Porky is really athletic!\Easy! response:	This is easy!
context: Keep it up!\Yes!\Yamakawa, don't hold back on your serve.\Understood!\Wow...\Porky is really athletic!\Easy!\This is easy! response:	Nothing like...
context: Yes!\Yamakawa, don't hold back on your serve.\Understood!\Wow...\Porky is really athletic!\Easy!\This is easy!\Nothing like... response:	Nothing like what happened back then!
context: Yamakawa, don't hold back on your serve.\Understood!\Wow...\Porky is really athletic!\Easy!\This is easy!\Nothing like...\Nothing like what happened back then! response:	My only thought as the!
context: Understood!\Wow...\Porky is really athletic!\Easy!\This is easy!\Nothing like...\Nothing like what happened back then!\My only thought as the! response:	Huh?
context: Wow...\Porky is really athletic!\Easy!\This is easy!\Nothing like...\Nothing like what happened back then!\My only thought as the!\Huh? response:	My only thought as I!
context: Porky is really athletic!\Easy!\This is easy!\Nothing like...\Nothing like what happened back then!\My only thought as the!\Huh?\My only thought as I! response:	Is this...
context: Easy!\This is easy!\Nothing like...\Nothing like what happened back then!\My only thought as the!\Huh?\My only thought as I!\Is this... response:	The hazy early morning mist!
context: This is easy!\Nothing like...\Nothing like what happened back then!\My only thought as the!\Huh?\My only thought as I!\Is this...\The hazy early morning mist! response:	Karuta? The timing for multi-syllable cards?
context: Nothing like...\Nothing like what happened back then!\My only thought as the!\Huh?\My only thought as I!\Is this...\The hazy early morning mist!\Karuta? The timing for multi-syllable cards? response:	One more volley!
context: Nothing like what happened back then!\My only thought as the!\Huh?\My only thought as I!\Is this...\The hazy early morning mist!\Karuta? The timing for multi-syllable cards?\One more volley! response:	Yes, please!
context: My only thought as the!\Huh?\My only thought as I!\Is this...\The hazy early morning mist!\Karuta? The timing for multi-syllable cards?\One more volley!\Yes, please! response:	The world offers no escape!
context: Huh?\My only thought as I!\Is this...\The hazy early morning mist!\Karuta? The timing for multi-syllable cards?\One more volley!\Yes, please!\The world offers no escape! response:	Huh?
context: My only thought as I!\Is this...\The hazy early morning mist!\Karuta? The timing for multi-syllable cards?\One more volley!\Yes, please!\The world offers no escape!\Huh? response:	Okay, switch!
context: Is this...\The hazy early morning mist!\Karuta? The timing for multi-syllable cards?\One more volley!\Yes, please!\The world offers no escape!\Huh?\Okay, switch! response:	Go get the ball!
context: The hazy early morning mist!\Karuta? The timing for multi-syllable cards?\One more volley!\Yes, please!\The world offers no escape!\Huh?\Okay, switch!\Go get the ball! response:	Y-Yes, sir!
context: Karuta? The timing for multi-syllable cards?\One more volley!\Yes, please!\The world offers no escape!\Huh?\Okay, switch!\Go get the ball!\Y-Yes, sir! response:	I hide in the mountains, only to hear the haunting cry of a deer.
context: One more volley!\Yes, please!\The world offers no escape!\Huh?\Okay, switch!\Go get the ball!\Y-Yes, sir!\I hide in the mountains, only to hear the haunting cry of a deer. response:	Porky, you should play karuta!
context: Yes, please!\The world offers no escape!\Huh?\Okay, switch!\Go get the ball!\Y-Yes, sir!\I hide in the mountains, only to hear the haunting cry of a deer.\Porky, you should play karuta! response:	Don't you know when to give up?!
context: The world offers no escape!\Huh?\Okay, switch!\Go get the ball!\Y-Yes, sir!\I hide in the mountains, only to hear the haunting cry of a deer.\Porky, you should play karuta!\Don't you know when to give up?! response:	But you're using tennis as a substitute for karuta!
context: Huh?\Okay, switch!\Go get the ball!\Y-Yes, sir!\I hide in the mountains, only to hear the haunting cry of a deer.\Porky, you should play karuta!\Don't you know when to give up?!\But you're using tennis as a substitute for karuta! response:	That's not fair to tennis!
context: Okay, switch!\Go get the ball!\Y-Yes, sir!\I hide in the mountains, only to hear the haunting cry of a deer.\Porky, you should play karuta!\Don't you know when to give up?!\But you're using tennis as a substitute for karuta!\That's not fair to tennis! response:	Th-That's none of your business!
context: Go get the ball!\Y-Yes, sir!\I hide in the mountains, only to hear the haunting cry of a deer.\Porky, you should play karuta!\Don't you know when to give up?!\But you're using tennis as a substitute for karuta!\That's not fair to tennis!\Th-That's none of your business! response:	Stop bugging me!
context: Y-Yes, sir!\I hide in the mountains, only to hear the haunting cry of a deer.\Porky, you should play karuta!\Don't you know when to give up?!\But you're using tennis as a substitute for karuta!\That's not fair to tennis!\Th-That's none of your business!\Stop bugging me! response:	We'll be waiting for you in the clubroom!
context: I hide in the mountains, only to hear the haunting cry of a deer.\Porky, you should play karuta!\Don't you know when to give up?!\But you're using tennis as a substitute for karuta!\That's not fair to tennis!\Th-That's none of your business!\Stop bugging me!\We'll be waiting for you in the clubroom! response:	Nishida!
context: Porky, you should play karuta!\Don't you know when to give up?!\But you're using tennis as a substitute for karuta!\That's not fair to tennis!\Th-That's none of your business!\Stop bugging me!\We'll be waiting for you in the clubroom!\Nishida! response:	Your legs are slowing down!
context: Don't you know when to give up?!\But you're using tennis as a substitute for karuta!\That's not fair to tennis!\Th-That's none of your business!\Stop bugging me!\We'll be waiting for you in the clubroom!\Nishida!\Your legs are slowing down! response:	Keep your eyes on the ball!
context: But you're using tennis as a substitute for karuta!\That's not fair to tennis!\Th-That's none of your business!\Stop bugging me!\We'll be waiting for you in the clubroom!\Nishida!\Your legs are slowing down!\Keep your eyes on the ball! response:	You're too slow!
context: That's not fair to tennis!\Th-That's none of your business!\Stop bugging me!\We'll be waiting for you in the clubroom!\Nishida!\Your legs are slowing down!\Keep your eyes on the ball!\You're too slow! response:	What's wrong, Nishida?
context: Th-That's none of your business!\Stop bugging me!\We'll be waiting for you in the clubroom!\Nishida!\Your legs are slowing down!\Keep your eyes on the ball!\You're too slow!\What's wrong, Nishida? response:	Are you okay?
context: Stop bugging me!\We'll be waiting for you in the clubroom!\Nishida!\Your legs are slowing down!\Keep your eyes on the ball!\You're too slow!\What's wrong, Nishida?\Are you okay? response:	I'm sorry.
context: We'll be waiting for you in the clubroom!\Nishida!\Your legs are slowing down!\Keep your eyes on the ball!\You're too slow!\What's wrong, Nishida?\Are you okay?\I'm sorry. response:	I need to go home now.
context: Nishida!\Your legs are slowing down!\Keep your eyes on the ball!\You're too slow!\What's wrong, Nishida?\Are you okay?\I'm sorry.\I need to go home now. response:	Oh, I see.
context: Your legs are slowing down!\Keep your eyes on the ball!\You're too slow!\What's wrong, Nishida?\Are you okay?\I'm sorry.\I need to go home now.\Oh, I see. response:	The second-years are next!
context: Keep your eyes on the ball!\You're too slow!\What's wrong, Nishida?\Are you okay?\I'm sorry.\I need to go home now.\Oh, I see.\The second-years are next! response:	Like I was saying earlier, it isn't a fault
context: You're too slow!\What's wrong, Nishida?\Are you okay?\I'm sorry.\I need to go home now.\Oh, I see.\The second-years are next!\Like I was saying earlier, it isn't a fault response:	when you touch the wrong card but it's
context: What's wrong, Nishida?\Are you okay?\I'm sorry.\I need to go home now.\Oh, I see.\The second-years are next!\Like I was saying earlier, it isn't a fault\when you touch the wrong card but it's response:	on the same side as the correct card.
context: Are you okay?\I'm sorry.\I need to go home now.\Oh, I see.\The second-years are next!\Like I was saying earlier, it isn't a fault\when you touch the wrong card but it's\on the same side as the correct card. response:	Yes.
context: I'm sorry.\I need to go home now.\Oh, I see.\The second-years are next!\Like I was saying earlier, it isn't a fault\when you touch the wrong card but it's\on the same side as the correct card.\Yes. response:	So now...
context: I need to go home now.\Oh, I see.\The second-years are next!\Like I was saying earlier, it isn't a fault\when you touch the wrong card but it's\on the same side as the correct card.\Yes.\So now... response:	Take these two cards which start the same.
context: Oh, I see.\The second-years are next!\Like I was saying earlier, it isn't a fault\when you touch the wrong card but it's\on the same side as the correct card.\Yes.\So now...\Take these two cards which start the same. response:	The world offers no change and The world offers no escape.
context: The second-years are next!\Like I was saying earlier, it isn't a fault\when you touch the wrong card but it's\on the same side as the correct card.\Yes.\So now...\Take these two cards which start the same.\The world offers no change and The world offers no escape. response:	They're called like cards.
context: Like I was saying earlier, it isn't a fault\when you touch the wrong card but it's\on the same side as the correct card.\Yes.\So now...\Take these two cards which start the same.\The world offers no change and The world offers no escape.\They're called like cards. response:	You have to wait until the fifth word
context: when you touch the wrong card but it's\on the same side as the correct card.\Yes.\So now...\Take these two cards which start the same.\The world offers no change and The world offers no escape.\They're called like cards.\You have to wait until the fifth word response:	before you know which card to take.
context: on the same side as the correct card.\Yes.\So now...\Take these two cards which start the same.\The world offers no change and The world offers no escape.\They're called like cards.\You have to wait until the fifth word\before you know which card to take. response:	However, if both cards are on the same side,
context: Yes.\So now...\Take these two cards which start the same.\The world offers no change and The world offers no escape.\They're called like cards.\You have to wait until the fifth word\before you know which card to take.\However, if both cards are on the same side, response:	as soon as you hear The world,
context: So now...\Take these two cards which start the same.\The world offers no change and The world offers no escape.\They're called like cards.\You have to wait until the fifth word\before you know which card to take.\However, if both cards are on the same side,\as soon as you hear The world, response:	you can take either one.
context: Take these two cards which start the same.\The world offers no change and The world offers no escape.\They're called like cards.\You have to wait until the fifth word\before you know which card to take.\However, if both cards are on the same side,\as soon as you hear The world,\you can take either one. response:	I see...
context: The world offers no change and The world offers no escape.\They're called like cards.\You have to wait until the fifth word\before you know which card to take.\However, if both cards are on the same side,\as soon as you hear The world,\you can take either one.\I see... response:	However, this also makes it easier for your opponent.
context: They're called like cards.\You have to wait until the fifth word\before you know which card to take.\However, if both cards are on the same side,\as soon as you hear The world,\you can take either one.\I see...\However, this also makes it easier for your opponent. response:	When the like cards are on your side,
context: You have to wait until the fifth word\before you know which card to take.\However, if both cards are on the same side,\as soon as you hear The world,\you can take either one.\I see...\However, this also makes it easier for your opponent.\When the like cards are on your side, response:	it might be a good idea
context: before you know which card to take.\However, if both cards are on the same side,\as soon as you hear The world,\you can take either one.\I see...\However, this also makes it easier for your opponent.\When the like cards are on your side,\it might be a good idea response:	to send one of them to the opponent's side.
context: However, if both cards are on the same side,\as soon as you hear The world,\you can take either one.\I see...\However, this also makes it easier for your opponent.\When the like cards are on your side,\it might be a good idea\to send one of them to the opponent's side. response:	Excuse me.
context: as soon as you hear The world,\you can take either one.\I see...\However, this also makes it easier for your opponent.\When the like cards are on your side,\it might be a good idea\to send one of them to the opponent's side.\Excuse me. response:	Porky!
context: you can take either one.\I see...\However, this also makes it easier for your opponent.\When the like cards are on your side,\it might be a good idea\to send one of them to the opponent's side.\Excuse me.\Porky! response:	It's Nishida!
context: I see...\However, this also makes it easier for your opponent.\When the like cards are on your side,\it might be a good idea\to send one of them to the opponent's side.\Excuse me.\Porky!\It's Nishida! response:	Don't get the wrong idea!
context: However, this also makes it easier for your opponent.\When the like cards are on your side,\it might be a good idea\to send one of them to the opponent's side.\Excuse me.\Porky!\It's Nishida!\Don't get the wrong idea! response:	I'm not here to join!
context: When the like cards are on your side,\it might be a good idea\to send one of them to the opponent's side.\Excuse me.\Porky!\It's Nishida!\Don't get the wrong idea!\I'm not here to join! response:	What?!
context: it might be a good idea\to send one of them to the opponent's side.\Excuse me.\Porky!\It's Nishida!\Don't get the wrong idea!\I'm not here to join!\What?! response:	I wanted to see what you're doing here,
context: to send one of them to the opponent's side.\Excuse me.\Porky!\It's Nishida!\Don't get the wrong idea!\I'm not here to join!\What?!\I wanted to see what you're doing here, response:	but it looks like you're at a grade school level.
context: Excuse me.\Porky!\It's Nishida!\Don't get the wrong idea!\I'm not here to join!\What?!\I wanted to see what you're doing here,\but it looks like you're at a grade school level. response:	These two are beginners.
context: Porky!\It's Nishida!\Don't get the wrong idea!\I'm not here to join!\What?!\I wanted to see what you're doing here,\but it looks like you're at a grade school level.\These two are beginners. response:	They have to start somewhere.
context: It's Nishida!\Don't get the wrong idea!\I'm not here to join!\What?!\I wanted to see what you're doing here,\but it looks like you're at a grade school level.\These two are beginners.\They have to start somewhere. response:	If you join, our club will be much stronger!
context: Don't get the wrong idea!\I'm not here to join!\What?!\I wanted to see what you're doing here,\but it looks like you're at a grade school level.\These two are beginners.\They have to start somewhere.\If you join, our club will be much stronger! response:	No way!
context: I'm not here to join!\What?!\I wanted to see what you're doing here,\but it looks like you're at a grade school level.\These two are beginners.\They have to start somewhere.\If you join, our club will be much stronger!\No way! response:	It's pointless if I'm the only one who's any good!
context: What?!\I wanted to see what you're doing here,\but it looks like you're at a grade school level.\These two are beginners.\They have to start somewhere.\If you join, our club will be much stronger!\No way!\It's pointless if I'm the only one who's any good! response:	Is he really so special?
context: I wanted to see what you're doing here,\but it looks like you're at a grade school level.\These two are beginners.\They have to start somewhere.\If you join, our club will be much stronger!\No way!\It's pointless if I'm the only one who's any good!\Is he really so special? response:	Number two in the country.
context: but it looks like you're at a grade school level.\These two are beginners.\They have to start somewhere.\If you join, our club will be much stronger!\No way!\It's pointless if I'm the only one who's any good!\Is he really so special?\Number two in the country. response:	This was back when we were in grade school.
context: These two are beginners.\They have to start somewhere.\If you join, our club will be much stronger!\No way!\It's pointless if I'm the only one who's any good!\Is he really so special?\Number two in the country.\This was back when we were in grade school. response:	Oh.
context: They have to start somewhere.\If you join, our club will be much stronger!\No way!\It's pointless if I'm the only one who's any good!\Is he really so special?\Number two in the country.\This was back when we were in grade school.\Oh. response:	Karuta is about talent!
context: If you join, our club will be much stronger!\No way!\It's pointless if I'm the only one who's any good!\Is he really so special?\Number two in the country.\This was back when we were in grade school.\Oh.\Karuta is about talent! response:	It doesn't matter how hard we practice!
context: No way!\It's pointless if I'm the only one who's any good!\Is he really so special?\Number two in the country.\This was back when we were in grade school.\Oh.\Karuta is about talent!\It doesn't matter how hard we practice! response:	We can never beat Wataya Arata!
context: It's pointless if I'm the only one who's any good!\Is he really so special?\Number two in the country.\This was back when we were in grade school.\Oh.\Karuta is about talent!\It doesn't matter how hard we practice!\We can never beat Wataya Arata! response:	Well, give it your best shot.
context: Is he really so special?\Number two in the country.\This was back when we were in grade school.\Oh.\Karuta is about talent!\It doesn't matter how hard we practice!\We can never beat Wataya Arata!\Well, give it your best shot. response:	I'll be giving tennis my best shot.
context: Number two in the country.\This was back when we were in grade school.\Oh.\Karuta is about talent!\It doesn't matter how hard we practice!\We can never beat Wataya Arata!\Well, give it your best shot.\I'll be giving tennis my best shot. response:	Bye.
context: This was back when we were in grade school.\Oh.\Karuta is about talent!\It doesn't matter how hard we practice!\We can never beat Wataya Arata!\Well, give it your best shot.\I'll be giving tennis my best shot.\Bye. response:	Wait.
context: Oh.\Karuta is about talent!\It doesn't matter how hard we practice!\We can never beat Wataya Arata!\Well, give it your best shot.\I'll be giving tennis my best shot.\Bye.\Wait. response:	What is it?
context: Karuta is about talent!\It doesn't matter how hard we practice!\We can never beat Wataya Arata!\Well, give it your best shot.\I'll be giving tennis my best shot.\Bye.\Wait.\What is it? response:	Chihaya, play a match against Nishida.
context: It doesn't matter how hard we practice!\We can never beat Wataya Arata!\Well, give it your best shot.\I'll be giving tennis my best shot.\Bye.\Wait.\What is it?\Chihaya, play a match against Nishida. response:	Huh?
context: We can never beat Wataya Arata!\Well, give it your best shot.\I'll be giving tennis my best shot.\Bye.\Wait.\What is it?\Chihaya, play a match against Nishida.\Huh? response:	I refuse!
context: Well, give it your best shot.\I'll be giving tennis my best shot.\Bye.\Wait.\What is it?\Chihaya, play a match against Nishida.\Huh?\I refuse! response:	It's a waste of time.
context: I'll be giving tennis my best shot.\Bye.\Wait.\What is it?\Chihaya, play a match against Nishida.\Huh?\I refuse!\It's a waste of time. response:	You're gonna run away?
context: Bye.\Wait.\What is it?\Chihaya, play a match against Nishida.\Huh?\I refuse!\It's a waste of time.\You're gonna run away? response:	Chihaya never gave up on karuta.
context: Wait.\What is it?\Chihaya, play a match against Nishida.\Huh?\I refuse!\It's a waste of time.\You're gonna run away?\Chihaya never gave up on karuta. response:	Why don't you see for yourself how strong someone can become
context: What is it?\Chihaya, play a match against Nishida.\Huh?\I refuse!\It's a waste of time.\You're gonna run away?\Chihaya never gave up on karuta.\Why don't you see for yourself how strong someone can become response:	when they put in the effort?
context: Chihaya, play a match against Nishida.\Huh?\I refuse!\It's a waste of time.\You're gonna run away?\Chihaya never gave up on karuta.\Why don't you see for yourself how strong someone can become\when they put in the effort? response:	Or are you scared of losing?
context: Huh?\I refuse!\It's a waste of time.\You're gonna run away?\Chihaya never gave up on karuta.\Why don't you see for yourself how strong someone can become\when they put in the effort?\Or are you scared of losing? response:	Come to think of it, you struggled against
context: I refuse!\It's a waste of time.\You're gonna run away?\Chihaya never gave up on karuta.\Why don't you see for yourself how strong someone can become\when they put in the effort?\Or are you scared of losing?\Come to think of it, you struggled against response:	Chihaya when she was just a beginner back in grade school.
context: It's a waste of time.\You're gonna run away?\Chihaya never gave up on karuta.\Why don't you see for yourself how strong someone can become\when they put in the effort?\Or are you scared of losing?\Come to think of it, you struggled against\Chihaya when she was just a beginner back in grade school. response:	Hard to say who would win now.
context: You're gonna run away?\Chihaya never gave up on karuta.\Why don't you see for yourself how strong someone can become\when they put in the effort?\Or are you scared of losing?\Come to think of it, you struggled against\Chihaya when she was just a beginner back in grade school.\Hard to say who would win now. response:	Hell no!
context: Chihaya never gave up on karuta.\Why don't you see for yourself how strong someone can become\when they put in the effort?\Or are you scared of losing?\Come to think of it, you struggled against\Chihaya when she was just a beginner back in grade school.\Hard to say who would win now.\Hell no! response:	Porky, let's play karuta!
context: Why don't you see for yourself how strong someone can become\when they put in the effort?\Or are you scared of losing?\Come to think of it, you struggled against\Chihaya when she was just a beginner back in grade school.\Hard to say who would win now.\Hell no!\Porky, let's play karuta! response:	Promise me this...
context: when they put in the effort?\Or are you scared of losing?\Come to think of it, you struggled against\Chihaya when she was just a beginner back in grade school.\Hard to say who would win now.\Hell no!\Porky, let's play karuta!\Promise me this... response:	If I win the match,
context: Or are you scared of losing?\Come to think of it, you struggled against\Chihaya when she was just a beginner back in grade school.\Hard to say who would win now.\Hell no!\Porky, let's play karuta!\Promise me this...\If I win the match, response:	you'll never bother me again!
context: Come to think of it, you struggled against\Chihaya when she was just a beginner back in grade school.\Hard to say who would win now.\Hell no!\Porky, let's play karuta!\Promise me this...\If I win the match,\you'll never bother me again! response:	Plus, you'll have to buy me pork buns for a month!
context: Chihaya when she was just a beginner back in grade school.\Hard to say who would win now.\Hell no!\Porky, let's play karuta!\Promise me this...\If I win the match,\you'll never bother me again!\Plus, you'll have to buy me pork buns for a month! response:	Bring it!
context: Hard to say who would win now.\Hell no!\Porky, let's play karuta!\Promise me this...\If I win the match,\you'll never bother me again!\Plus, you'll have to buy me pork buns for a month!\Bring it! response:	Memorization time is over.
context: Hell no!\Porky, let's play karuta!\Promise me this...\If I win the match,\you'll never bother me again!\Plus, you'll have to buy me pork buns for a month!\Bring it!\Memorization time is over. response:	Thank you for this match.
context: Porky, let's play karuta!\Promise me this...\If I win the match,\you'll never bother me again!\Plus, you'll have to buy me pork buns for a month!\Bring it!\Memorization time is over.\Thank you for this match. response:	Thank you for this match.
context: Promise me this...\If I win the match,\you'll never bother me again!\Plus, you'll have to buy me pork buns for a month!\Bring it!\Memorization time is over.\Thank you for this match.\Thank you for this match. response:	Naniwa Bay, now the flower blooms, but for winter
context: If I win the match,\you'll never bother me again!\Plus, you'll have to buy me pork buns for a month!\Bring it!\Memorization time is over.\Thank you for this match.\Thank you for this match.\Naniwa Bay, now the flower blooms, but for winter response:	What is this?
context: you'll never bother me again!\Plus, you'll have to buy me pork buns for a month!\Bring it!\Memorization time is over.\Thank you for this match.\Thank you for this match.\Naniwa Bay, now the flower blooms, but for winter\What is this? response:	Here comes spring, now the flower blooms
context: Plus, you'll have to buy me pork buns for a month!\Bring it!\Memorization time is over.\Thank you for this match.\Thank you for this match.\Naniwa Bay, now the flower blooms, but for winter\What is this?\Here comes spring, now the flower blooms response:	The introduction.
context: Bring it!\Memorization time is over.\Thank you for this match.\Thank you for this match.\Naniwa Bay, now the flower blooms, but for winter\What is this?\Here comes spring, now the flower blooms\The introduction. response:	The match begins once he finishes reading this poem.
context: Memorization time is over.\Thank you for this match.\Thank you for this match.\Naniwa Bay, now the flower blooms, but for winter\What is this?\Here comes spring, now the flower blooms\The introduction.\The match begins once he finishes reading this poem. response:	Here comes spring, now the flower blooms
context: Thank you for this match.\Thank you for this match.\Naniwa Bay, now the flower blooms, but for winter\What is this?\Here comes spring, now the flower blooms\The introduction.\The match begins once he finishes reading this poem.\Here comes spring, now the flower blooms response:	Feel the sorrow...
context: Thank you for this match.\Naniwa Bay, now the flower blooms, but for winter\What is this?\Here comes spring, now the flower blooms\The introduction.\The match begins once he finishes reading this poem.\Here comes spring, now the flower blooms\Feel the sorrow... response:	Though I prayed...
context: Naniwa Bay, now the flower blooms, but for winter\What is this?\Here comes spring, now the flower blooms\The introduction.\The match begins once he finishes reading this poem.\Here comes spring, now the flower blooms\Feel the sorrow...\Though I prayed... response:	My only thought as I am put out to sea...
context: What is this?\Here comes spring, now the flower blooms\The introduction.\The match begins once he finishes reading this poem.\Here comes spring, now the flower blooms\Feel the sorrow...\Though I prayed...\My only thought as I am put out to sea... response:	Amazing!
context: Here comes spring, now the flower blooms\The introduction.\The match begins once he finishes reading this poem.\Here comes spring, now the flower blooms\Feel the sorrow...\Though I prayed...\My only thought as I am put out to sea...\Amazing! response:	He's taken three straight cards off Chihaya-chan.
context: The introduction.\The match begins once he finishes reading this poem.\Here comes spring, now the flower blooms\Feel the sorrow...\Though I prayed...\My only thought as I am put out to sea...\Amazing!\He's taken three straight cards off Chihaya-chan. response:	I was worried that I might have lost my touch,
context: The match begins once he finishes reading this poem.\Here comes spring, now the flower blooms\Feel the sorrow...\Though I prayed...\My only thought as I am put out to sea...\Amazing!\He's taken three straight cards off Chihaya-chan.\I was worried that I might have lost my touch, response:	but my body feels so light.
context: Here comes spring, now the flower blooms\Feel the sorrow...\Though I prayed...\My only thought as I am put out to sea...\Amazing!\He's taken three straight cards off Chihaya-chan.\I was worried that I might have lost my touch,\but my body feels so light. response:	I guess all that tennis helped.
context: Feel the sorrow...\Though I prayed...\My only thought as I am put out to sea...\Amazing!\He's taken three straight cards off Chihaya-chan.\I was worried that I might have lost my touch,\but my body feels so light.\I guess all that tennis helped. response:	Come on, Chihaya...
context: Though I prayed...\My only thought as I am put out to sea...\Amazing!\He's taken three straight cards off Chihaya-chan.\I was worried that I might have lost my touch,\but my body feels so light.\I guess all that tennis helped.\Come on, Chihaya... response:	You don't have time to be smiling.
context: My only thought as I am put out to sea...\Amazing!\He's taken three straight cards off Chihaya-chan.\I was worried that I might have lost my touch,\but my body feels so light.\I guess all that tennis helped.\Come on, Chihaya...\You don't have time to be smiling. response:	That's right...
context: Amazing!\He's taken three straight cards off Chihaya-chan.\I was worried that I might have lost my touch,\but my body feels so light.\I guess all that tennis helped.\Come on, Chihaya...\You don't have time to be smiling.\That's right... response:	Whenever I won, people would praise me.
context: He's taken three straight cards off Chihaya-chan.\I was worried that I might have lost my touch,\but my body feels so light.\I guess all that tennis helped.\Come on, Chihaya...\You don't have time to be smiling.\That's right...\Whenever I won, people would praise me. response:	to tell the people in the capital that I make for the islands
context: I was worried that I might have lost my touch,\but my body feels so light.\I guess all that tennis helped.\Come on, Chihaya...\You don't have time to be smiling.\That's right...\Whenever I won, people would praise me.\to tell the people in the capital that I make for the islands response:	Long last we meet, only for me to leave hurriedly,
context: but my body feels so light.\I guess all that tennis helped.\Come on, Chihaya...\You don't have time to be smiling.\That's right...\Whenever I won, people would praise me.\to tell the people in the capital that I make for the islands\Long last we meet, only for me to leave hurriedly, response:	for I could not recognize you, like the moon hidden behind the clouds
context: I guess all that tennis helped.\Come on, Chihaya...\You don't have time to be smiling.\That's right...\Whenever I won, people would praise me.\to tell the people in the capital that I make for the islands\Long last we meet, only for me to leave hurriedly,\for I could not recognize you, like the moon hidden behind the clouds response:	for I could not recognize you, like the moon hidden behind the clouds
context: Come on, Chihaya...\You don't have time to be smiling.\That's right...\Whenever I won, people would praise me.\to tell the people in the capital that I make for the islands\Long last we meet, only for me to leave hurriedly,\for I could not recognize you, like the moon hidden behind the clouds\for I could not recognize you, like the moon hidden behind the clouds response:	Good job, Yusei!
context: You don't have time to be smiling.\That's right...\Whenever I won, people would praise me.\to tell the people in the capital that I make for the islands\Long last we meet, only for me to leave hurriedly,\for I could not recognize you, like the moon hidden behind the clouds\for I could not recognize you, like the moon hidden behind the clouds\Good job, Yusei! response:	You'll make it to class A in no time!
context: That's right...\Whenever I won, people would praise me.\to tell the people in the capital that I make for the islands\Long last we meet, only for me to leave hurriedly,\for I could not recognize you, like the moon hidden behind the clouds\for I could not recognize you, like the moon hidden behind the clouds\Good job, Yusei!\You'll make it to class A in no time! response:	First, you'll need to win the national tournament.
context: Whenever I won, people would praise me.\to tell the people in the capital that I make for the islands\Long last we meet, only for me to leave hurriedly,\for I could not recognize you, like the moon hidden behind the clouds\for I could not recognize you, like the moon hidden behind the clouds\Good job, Yusei!\You'll make it to class A in no time!\First, you'll need to win the national tournament. response:	I started playing karuta because it was fun.
context: to tell the people in the capital that I make for the islands\Long last we meet, only for me to leave hurriedly,\for I could not recognize you, like the moon hidden behind the clouds\for I could not recognize you, like the moon hidden behind the clouds\Good job, Yusei!\You'll make it to class A in no time!\First, you'll need to win the national tournament.\I started playing karuta because it was fun. response:	Big Helping
