context: True Calendar, year 71. response:	JIOR, a proponent of peace through neutrality, had enjoyed economic prosperity,
context: Well, I call her that, but she's not my real little sister.\She's someone who means as much to me as a real little sister, though.\Don't you think it's a great idea?\I'm marketing myself as the surrogate little sister of a celebrity!\You can't do that!\I thought you said that you wanted to help me.\You said you were lying.\A promise is a promise. response:	Besides, I paid you in advance, remember?
context: She's someone who means as much to me as a real little sister, though.\Don't you think it's a great idea?\I'm marketing myself as the surrogate little sister of a celebrity!\You can't do that!\I thought you said that you wanted to help me.\You said you were lying.\A promise is a promise.\Besides, I paid you in advance, remember? response:	That was
context: Don't you think it's a great idea?\I'm marketing myself as the surrogate little sister of a celebrity!\You can't do that!\I thought you said that you wanted to help me.\You said you were lying.\A promise is a promise.\Besides, I paid you in advance, remember?\That was response:	You, um...
context: I'm marketing myself as the surrogate little sister of a celebrity!\You can't do that!\I thought you said that you wanted to help me.\You said you were lying.\A promise is a promise.\Besides, I paid you in advance, remember?\That was\You, um... response:	Tell me, Haruto, what was it like to be a lonely vampire?
context: You can't do that!\I thought you said that you wanted to help me.\You said you were lying.\A promise is a promise.\Besides, I paid you in advance, remember?\That was\You, um...\Tell me, Haruto, what was it like to be a lonely vampire? response:	Miss Rukino?
context: I thought you said that you wanted to help me.\You said you were lying.\A promise is a promise.\Besides, I paid you in advance, remember?\That was\You, um...\Tell me, Haruto, what was it like to be a lonely vampire?\Miss Rukino? response:	For me, I had always
context: You said you were lying.\A promise is a promise.\Besides, I paid you in advance, remember?\That was\You, um...\Tell me, Haruto, what was it like to be a lonely vampire?\Miss Rukino?\For me, I had always response:	Haruto!
context: A promise is a promise.\Besides, I paid you in advance, remember?\That was\You, um...\Tell me, Haruto, what was it like to be a lonely vampire?\Miss Rukino?\For me, I had always\Haruto! response:	Shoko?
context: Besides, I paid you in advance, remember?\That was\You, um...\Tell me, Haruto, what was it like to be a lonely vampire?\Miss Rukino?\For me, I had always\Haruto!\Shoko? response:	This is bad! Really bad!
context: That was\You, um...\Tell me, Haruto, what was it like to be a lonely vampire?\Miss Rukino?\For me, I had always\Haruto!\Shoko?\This is bad! Really bad! response:	Someone who isn't you is posting under your name!
context: You, um...\Tell me, Haruto, what was it like to be a lonely vampire?\Miss Rukino?\For me, I had always\Haruto!\Shoko?\This is bad! Really bad!\Someone who isn't you is posting under your name! response:	I don't think it's all that easy to fool the wired's retinal authentication system.
context: Tell me, Haruto, what was it like to be a lonely vampire?\Miss Rukino?\For me, I had always\Haruto!\Shoko?\This is bad! Really bad!\Someone who isn't you is posting under your name!\I don't think it's all that easy to fool the wired's retinal authentication system. response:	No, this isn't Haruto!
context: Miss Rukino?\For me, I had always\Haruto!\Shoko?\This is bad! Really bad!\Someone who isn't you is posting under your name!\I don't think it's all that easy to fool the wired's retinal authentication system.\No, this isn't Haruto! response:	Her songs are amazing.
context: For me, I had always\Haruto!\Shoko?\This is bad! Really bad!\Someone who isn't you is posting under your name!\I don't think it's all that easy to fool the wired's retinal authentication system.\No, this isn't Haruto!\Her songs are amazing. response:	And out of all of us, she worked the hardest on the music video the other day.
context: Haruto!\Shoko?\This is bad! Really bad!\Someone who isn't you is posting under your name!\I don't think it's all that easy to fool the wired's retinal authentication system.\No, this isn't Haruto!\Her songs are amazing.\And out of all of us, she worked the hardest on the music video the other day. response:	Haruto would never say that one person worked harder than someone else!
context: Shoko?\This is bad! Really bad!\Someone who isn't you is posting under your name!\I don't think it's all that easy to fool the wired's retinal authentication system.\No, this isn't Haruto!\Her songs are amazing.\And out of all of us, she worked the hardest on the music video the other day.\Haruto would never say that one person worked harder than someone else! response:	Shoko!
context: This is bad! Really bad!\Someone who isn't you is posting under your name!\I don't think it's all that easy to fool the wired's retinal authentication system.\No, this isn't Haruto!\Her songs are amazing.\And out of all of us, she worked the hardest on the music video the other day.\Haruto would never say that one person worked harder than someone else!\Shoko! response:	Don't worry. A girl I made friends with recently knows all about this kind of stuff.
context: Someone who isn't you is posting under your name!\I don't think it's all that easy to fool the wired's retinal authentication system.\No, this isn't Haruto!\Her songs are amazing.\And out of all of us, she worked the hardest on the music video the other day.\Haruto would never say that one person worked harder than someone else!\Shoko!\Don't worry. A girl I made friends with recently knows all about this kind of stuff. response:	I'll have her look into it!
context: I don't think it's all that easy to fool the wired's retinal authentication system.\No, this isn't Haruto!\Her songs are amazing.\And out of all of us, she worked the hardest on the music video the other day.\Haruto would never say that one person worked harder than someone else!\Shoko!\Don't worry. A girl I made friends with recently knows all about this kind of stuff.\I'll have her look into it! response:	Are you jealous?
context: No, this isn't Haruto!\Her songs are amazing.\And out of all of us, she worked the hardest on the music video the other day.\Haruto would never say that one person worked harder than someone else!\Shoko!\Don't worry. A girl I made friends with recently knows all about this kind of stuff.\I'll have her look into it!\Are you jealous? response:	You don't like it when Haruto is friendly with other girls?
context: Her songs are amazing.\And out of all of us, she worked the hardest on the music video the other day.\Haruto would never say that one person worked harder than someone else!\Shoko!\Don't worry. A girl I made friends with recently knows all about this kind of stuff.\I'll have her look into it!\Are you jealous?\You don't like it when Haruto is friendly with other girls? response:	You two are friendly?!
context: And out of all of us, she worked the hardest on the music video the other day.\Haruto would never say that one person worked harder than someone else!\Shoko!\Don't worry. A girl I made friends with recently knows all about this kind of stuff.\I'll have her look into it!\Are you jealous?\You don't like it when Haruto is friendly with other girls?\You two are friendly?! response:	It's no big deal! It's not like we kissed or anything!
context: Haruto would never say that one person worked harder than someone else!\Shoko!\Don't worry. A girl I made friends with recently knows all about this kind of stuff.\I'll have her look into it!\Are you jealous?\You don't like it when Haruto is friendly with other girls?\You two are friendly?!\It's no big deal! It's not like we kissed or anything! response:	Kissed?!
context: Shoko!\Don't worry. A girl I made friends with recently knows all about this kind of stuff.\I'll have her look into it!\Are you jealous?\You don't like it when Haruto is friendly with other girls?\You two are friendly?!\It's no big deal! It's not like we kissed or anything!\Kissed?! response:	No, no! I didn't say kissed!
context: Don't worry. A girl I made friends with recently knows all about this kind of stuff.\I'll have her look into it!\Are you jealous?\You don't like it when Haruto is friendly with other girls?\You two are friendly?!\It's no big deal! It's not like we kissed or anything!\Kissed?!\No, no! I didn't say kissed! response:	I said, um... Dissed!
context: I'll have her look into it!\Are you jealous?\You don't like it when Haruto is friendly with other girls?\You two are friendly?!\It's no big deal! It's not like we kissed or anything!\Kissed?!\No, no! I didn't say kissed!\I said, um... Dissed! response:	Pervert!
context: Are you jealous?\You don't like it when Haruto is friendly with other girls?\You two are friendly?!\It's no big deal! It's not like we kissed or anything!\Kissed?!\No, no! I didn't say kissed!\I said, um... Dissed!\Pervert! response:	How?!
context: You don't like it when Haruto is friendly with other girls?\You two are friendly?!\It's no big deal! It's not like we kissed or anything!\Kissed?!\No, no! I didn't say kissed!\I said, um... Dissed!\Pervert!\How?! response:	I don't know, but it sounded perverted!
context: You two are friendly?!\It's no big deal! It's not like we kissed or anything!\Kissed?!\No, no! I didn't say kissed!\I said, um... Dissed!\Pervert!\How?!\I don't know, but it sounded perverted! response:	What the hell?!
context: It's no big deal! It's not like we kissed or anything!\Kissed?!\No, no! I didn't say kissed!\I said, um... Dissed!\Pervert!\How?!\I don't know, but it sounded perverted!\What the hell?! response:	And you had a perverted look on your face!
context: Kissed?!\No, no! I didn't say kissed!\I said, um... Dissed!\Pervert!\How?!\I don't know, but it sounded perverted!\What the hell?!\And you had a perverted look on your face! response:	I did not!
context: No, no! I didn't say kissed!\I said, um... Dissed!\Pervert!\How?!\I don't know, but it sounded perverted!\What the hell?!\And you had a perverted look on your face!\I did not! response:	This is stupid.
context: I said, um... Dissed!\Pervert!\How?!\I don't know, but it sounded perverted!\What the hell?!\And you had a perverted look on your face!\I did not!\This is stupid. response:	Look, I don't care about Haruto at all.
context: Pervert!\How?!\I don't know, but it sounded perverted!\What the hell?!\And you had a perverted look on your face!\I did not!\This is stupid.\Look, I don't care about Haruto at all. response:	All I want is to become famous.
context: How?!\I don't know, but it sounded perverted!\What the hell?!\And you had a perverted look on your face!\I did not!\This is stupid.\Look, I don't care about Haruto at all.\All I want is to become famous. response:	But you're already a star.
context: I don't know, but it sounded perverted!\What the hell?!\And you had a perverted look on your face!\I did not!\This is stupid.\Look, I don't care about Haruto at all.\All I want is to become famous.\But you're already a star. response:	Aren't you already plenty famous?
context: What the hell?!\And you had a perverted look on your face!\I did not!\This is stupid.\Look, I don't care about Haruto at all.\All I want is to become famous.\But you're already a star.\Aren't you already plenty famous? response:	She's right. Why would you do something like that?
context: And you had a perverted look on your face!\I did not!\This is stupid.\Look, I don't care about Haruto at all.\All I want is to become famous.\But you're already a star.\Aren't you already plenty famous?\She's right. Why would you do something like that? response:	Because if you don't leave your mark on the world, you'll just disappear.
context: I did not!\This is stupid.\Look, I don't care about Haruto at all.\All I want is to become famous.\But you're already a star.\Aren't you already plenty famous?\She's right. Why would you do something like that?\Because if you don't leave your mark on the world, you'll just disappear. response:	That was a
context: This is stupid.\Look, I don't care about Haruto at all.\All I want is to become famous.\But you're already a star.\Aren't you already plenty famous?\She's right. Why would you do something like that?\Because if you don't leave your mark on the world, you'll just disappear.\That was a response:	Talk about a rough intro...
context: Look, I don't care about Haruto at all.\All I want is to become famous.\But you're already a star.\Aren't you already plenty famous?\She's right. Why would you do something like that?\Because if you don't leave your mark on the world, you'll just disappear.\That was a\Talk about a rough intro... response:	What was that?
context: All I want is to become famous.\But you're already a star.\Aren't you already plenty famous?\She's right. Why would you do something like that?\Because if you don't leave your mark on the world, you'll just disappear.\That was a\Talk about a rough intro...\What was that? response:	That sound's an emergency broadcast.
context: But you're already a star.\Aren't you already plenty famous?\She's right. Why would you do something like that?\Because if you don't leave your mark on the world, you'll just disappear.\That was a\Talk about a rough intro...\What was that?\That sound's an emergency broadcast. response:	We decided on it earlier, remember?
context: Aren't you already plenty famous?\She's right. Why would you do something like that?\Because if you don't leave your mark on the world, you'll just disappear.\That was a\Talk about a rough intro...\What was that?\That sound's an emergency broadcast.\We decided on it earlier, remember? response:	Everyone, please listen!
context: She's right. Why would you do something like that?\Because if you don't leave your mark on the world, you'll just disappear.\That was a\Talk about a rough intro...\What was that?\That sound's an emergency broadcast.\We decided on it earlier, remember?\Everyone, please listen! response:	We're under Dorssian attack!
context: Because if you don't leave your mark on the world, you'll just disappear.\That was a\Talk about a rough intro...\What was that?\That sound's an emergency broadcast.\We decided on it earlier, remember?\Everyone, please listen!\We're under Dorssian attack! response:	I repeat, we're under Dorssian attack!
context: That was a\Talk about a rough intro...\What was that?\That sound's an emergency broadcast.\We decided on it earlier, remember?\Everyone, please listen!\We're under Dorssian attack!\I repeat, we're under Dorssian attack! response:	We're under Dorssian attack!
context: Talk about a rough intro...\What was that?\That sound's an emergency broadcast.\We decided on it earlier, remember?\Everyone, please listen!\We're under Dorssian attack!\I repeat, we're under Dorssian attack!\We're under Dorssian attack! response:	You mean they followed us?
context: What was that?\That sound's an emergency broadcast.\We decided on it earlier, remember?\Everyone, please listen!\We're under Dorssian attack!\I repeat, we're under Dorssian attack!\We're under Dorssian attack!\You mean they followed us? response:	Shall we go to the control room?
context: That sound's an emergency broadcast.\We decided on it earlier, remember?\Everyone, please listen!\We're under Dorssian attack!\I repeat, we're under Dorssian attack!\We're under Dorssian attack!\You mean they followed us?\Shall we go to the control room? response:	Attack?
context: We decided on it earlier, remember?\Everyone, please listen!\We're under Dorssian attack!\I repeat, we're under Dorssian attack!\We're under Dorssian attack!\You mean they followed us?\Shall we go to the control room?\Attack? response:	Let's hurry.
context: Everyone, please listen!\We're under Dorssian attack!\I repeat, we're under Dorssian attack!\We're under Dorssian attack!\You mean they followed us?\Shall we go to the control room?\Attack?\Let's hurry. response:	Please take shelter immediately!
context: We're under Dorssian attack!\I repeat, we're under Dorssian attack!\We're under Dorssian attack!\You mean they followed us?\Shall we go to the control room?\Attack?\Let's hurry.\Please take shelter immediately! response:	I really mean it! Dorssian forces are here!
context: I repeat, we're under Dorssian attack!\We're under Dorssian attack!\You mean they followed us?\Shall we go to the control room?\Attack?\Let's hurry.\Please take shelter immediately!\I really mean it! Dorssian forces are here! response:	But why? What about Shoko's threat?
context: We're under Dorssian attack!\You mean they followed us?\Shall we go to the control room?\Attack?\Let's hurry.\Please take shelter immediately!\I really mean it! Dorssian forces are here!\But why? What about Shoko's threat? response:	That we'd hand over the robot to ARUS?
context: You mean they followed us?\Shall we go to the control room?\Attack?\Let's hurry.\Please take shelter immediately!\I really mean it! Dorssian forces are here!\But why? What about Shoko's threat?\That we'd hand over the robot to ARUS? response:	The declaration should have reached Dorssia, too.
context: Shall we go to the control room?\Attack?\Let's hurry.\Please take shelter immediately!\I really mean it! Dorssian forces are here!\But why? What about Shoko's threat?\That we'd hand over the robot to ARUS?\The declaration should have reached Dorssia, too. response:	What about the ARUS ship?
context: Attack?\Let's hurry.\Please take shelter immediately!\I really mean it! Dorssian forces are here!\But why? What about Shoko's threat?\That we'd hand over the robot to ARUS?\The declaration should have reached Dorssia, too.\What about the ARUS ship? response:	I'm trying to contact them!
context: Let's hurry.\Please take shelter immediately!\I really mean it! Dorssian forces are here!\But why? What about Shoko's threat?\That we'd hand over the robot to ARUS?\The declaration should have reached Dorssia, too.\What about the ARUS ship?\I'm trying to contact them! response:	There's nothing we can do.
context: Please take shelter immediately!\I really mean it! Dorssian forces are here!\But why? What about Shoko's threat?\That we'd hand over the robot to ARUS?\The declaration should have reached Dorssia, too.\What about the ARUS ship?\I'm trying to contact them!\There's nothing we can do. response:	We're completely surrounded.
context: I really mean it! Dorssian forces are here!\But why? What about Shoko's threat?\That we'd hand over the robot to ARUS?\The declaration should have reached Dorssia, too.\What about the ARUS ship?\I'm trying to contact them!\There's nothing we can do.\We're completely surrounded. response:	But how? When did they?
context: But why? What about Shoko's threat?\That we'd hand over the robot to ARUS?\The declaration should have reached Dorssia, too.\What about the ARUS ship?\I'm trying to contact them!\There's nothing we can do.\We're completely surrounded.\But how? When did they? response:	Our Lagrange 4 forces have secured the area ahead.
context: That we'd hand over the robot to ARUS?\The declaration should have reached Dorssia, too.\What about the ARUS ship?\I'm trying to contact them!\There's nothing we can do.\We're completely surrounded.\But how? When did they?\Our Lagrange 4 forces have secured the area ahead. response:	We have them surrounded.
context: The declaration should have reached Dorssia, too.\What about the ARUS ship?\I'm trying to contact them!\There's nothing we can do.\We're completely surrounded.\But how? When did they?\Our Lagrange 4 forces have secured the area ahead.\We have them surrounded. response:	I bet they just couldn't catch up to us.
context: What about the ARUS ship?\I'm trying to contact them!\There's nothing we can do.\We're completely surrounded.\But how? When did they?\Our Lagrange 4 forces have secured the area ahead.\We have them surrounded.\I bet they just couldn't catch up to us. response:	I was hoping for a chance to catch them in a pincer movement!
context: I'm trying to contact them!\There's nothing we can do.\We're completely surrounded.\But how? When did they?\Our Lagrange 4 forces have secured the area ahead.\We have them surrounded.\I bet they just couldn't catch up to us.\I was hoping for a chance to catch them in a pincer movement! response:	They kept us waiting too long for that.
context: There's nothing we can do.\We're completely surrounded.\But how? When did they?\Our Lagrange 4 forces have secured the area ahead.\We have them surrounded.\I bet they just couldn't catch up to us.\I was hoping for a chance to catch them in a pincer movement!\They kept us waiting too long for that. response:	Let's go! C'mon! C'mon!
context: We're completely surrounded.\But how? When did they?\Our Lagrange 4 forces have secured the area ahead.\We have them surrounded.\I bet they just couldn't catch up to us.\I was hoping for a chance to catch them in a pincer movement!\They kept us waiting too long for that.\Let's go! C'mon! C'mon! response:	If we gave ARUS the robot, wouldn't Dorssia surround them and give us time to escape?
context: But how? When did they?\Our Lagrange 4 forces have secured the area ahead.\We have them surrounded.\I bet they just couldn't catch up to us.\I was hoping for a chance to catch them in a pincer movement!\They kept us waiting too long for that.\Let's go! C'mon! C'mon!\If we gave ARUS the robot, wouldn't Dorssia surround them and give us time to escape? response:	But they'd be
context: Our Lagrange 4 forces have secured the area ahead.\We have them surrounded.\I bet they just couldn't catch up to us.\I was hoping for a chance to catch them in a pincer movement!\They kept us waiting too long for that.\Let's go! C'mon! C'mon!\If we gave ARUS the robot, wouldn't Dorssia surround them and give us time to escape?\But they'd be response:	What's ARUS doing?
context: We have them surrounded.\I bet they just couldn't catch up to us.\I was hoping for a chance to catch them in a pincer movement!\They kept us waiting too long for that.\Let's go! C'mon! C'mon!\If we gave ARUS the robot, wouldn't Dorssia surround them and give us time to escape?\But they'd be\What's ARUS doing? response:	I can't get through!
context: I bet they just couldn't catch up to us.\I was hoping for a chance to catch them in a pincer movement!\They kept us waiting too long for that.\Let's go! C'mon! C'mon!\If we gave ARUS the robot, wouldn't Dorssia surround them and give us time to escape?\But they'd be\What's ARUS doing?\I can't get through! response:	Call Tokishima!
context: I was hoping for a chance to catch them in a pincer movement!\They kept us waiting too long for that.\Let's go! C'mon! C'mon!\If we gave ARUS the robot, wouldn't Dorssia surround them and give us time to escape?\But they'd be\What's ARUS doing?\I can't get through!\Call Tokishima! response:	Y-Yes!
context: They kept us waiting too long for that.\Let's go! C'mon! C'mon!\If we gave ARUS the robot, wouldn't Dorssia surround them and give us time to escape?\But they'd be\What's ARUS doing?\I can't get through!\Call Tokishima!\Y-Yes! response:	Huh? What's VVV IV?
context: Let's go! C'mon! C'mon!\If we gave ARUS the robot, wouldn't Dorssia surround them and give us time to escape?\But they'd be\What's ARUS doing?\I can't get through!\Call Tokishima!\Y-Yes!\Huh? What's VVV IV? response:	There's one more...
context: If we gave ARUS the robot, wouldn't Dorssia surround them and give us time to escape?\But they'd be\What's ARUS doing?\I can't get through!\Call Tokishima!\Y-Yes!\Huh? What's VVV IV?\There's one more... response:	What's going on?
context: But they'd be\What's ARUS doing?\I can't get through!\Call Tokishima!\Y-Yes!\Huh? What's VVV IV?\There's one more...\What's going on? response:	Huh?
context: What's ARUS doing?\I can't get through!\Call Tokishima!\Y-Yes!\Huh? What's VVV IV?\There's one more...\What's going on?\Huh? response:	Miss Rukino?!
context: I can't get through!\Call Tokishima!\Y-Yes!\Huh? What's VVV IV?\There's one more...\What's going on?\Huh?\Miss Rukino?! response:	I asked you to call Tokishima!
context: Call Tokishima!\Y-Yes!\Huh? What's VVV IV?\There's one more...\What's going on?\Huh?\Miss Rukino?!\I asked you to call Tokishima! response:	Miss Rukino's piloting it!
context: Y-Yes!\Huh? What's VVV IV?\There's one more...\What's going on?\Huh?\Miss Rukino?!\I asked you to call Tokishima!\Miss Rukino's piloting it! response:	Huh?
context: Huh? What's VVV IV?\There's one more...\What's going on?\Huh?\Miss Rukino?!\I asked you to call Tokishima!\Miss Rukino's piloting it!\Huh? response:	I've been found out.
context: There's one more...\What's going on?\Huh?\Miss Rukino?!\I asked you to call Tokishima!\Miss Rukino's piloting it!\Huh?\I've been found out. response:	Miss Rukino, where did you get that robot?
context: What's going on?\Huh?\Miss Rukino?!\I asked you to call Tokishima!\Miss Rukino's piloting it!\Huh?\I've been found out.\Miss Rukino, where did you get that robot? response:	Her name's Carmilla.
context: Huh?\Miss Rukino?!\I asked you to call Tokishima!\Miss Rukino's piloting it!\Huh?\I've been found out.\Miss Rukino, where did you get that robot?\Her name's Carmilla. response:	Calling it robot or Valvrave doesn't fit my image.
context: Miss Rukino?!\I asked you to call Tokishima!\Miss Rukino's piloting it!\Huh?\I've been found out.\Miss Rukino, where did you get that robot?\Her name's Carmilla.\Calling it robot or Valvrave doesn't fit my image. response:	From now on, call my Valvrave Carmilla, okay?
context: I asked you to call Tokishima!\Miss Rukino's piloting it!\Huh?\I've been found out.\Miss Rukino, where did you get that robot?\Her name's Carmilla.\Calling it robot or Valvrave doesn't fit my image.\From now on, call my Valvrave Carmilla, okay? response:	Hey! What are you doing in there?!
context: Miss Rukino's piloting it!\Huh?\I've been found out.\Miss Rukino, where did you get that robot?\Her name's Carmilla.\Calling it robot or Valvrave doesn't fit my image.\From now on, call my Valvrave Carmilla, okay?\Hey! What are you doing in there?! response:	I'm launching. See ya.
context: Huh?\I've been found out.\Miss Rukino, where did you get that robot?\Her name's Carmilla.\Calling it robot or Valvrave doesn't fit my image.\From now on, call my Valvrave Carmilla, okay?\Hey! What are you doing in there?!\I'm launching. See ya. response:	Hey! Rukino!
context: I've been found out.\Miss Rukino, where did you get that robot?\Her name's Carmilla.\Calling it robot or Valvrave doesn't fit my image.\From now on, call my Valvrave Carmilla, okay?\Hey! What are you doing in there?!\I'm launching. See ya.\Hey! Rukino! response:	There's lots of those robots...
context: Miss Rukino, where did you get that robot?\Her name's Carmilla.\Calling it robot or Valvrave doesn't fit my image.\From now on, call my Valvrave Carmilla, okay?\Hey! What are you doing in there?!\I'm launching. See ya.\Hey! Rukino!\There's lots of those robots... response:	I gave up on expecting anything from others a long time ago.
context: Her name's Carmilla.\Calling it robot or Valvrave doesn't fit my image.\From now on, call my Valvrave Carmilla, okay?\Hey! What are you doing in there?!\I'm launching. See ya.\Hey! Rukino!\There's lots of those robots...\I gave up on expecting anything from others a long time ago. response:	I'll do this myself.
context: Calling it robot or Valvrave doesn't fit my image.\From now on, call my Valvrave Carmilla, okay?\Hey! What are you doing in there?!\I'm launching. See ya.\Hey! Rukino!\There's lots of those robots...\I gave up on expecting anything from others a long time ago.\I'll do this myself. response:	What weapons do I have?
context: From now on, call my Valvrave Carmilla, okay?\Hey! What are you doing in there?!\I'm launching. See ya.\Hey! Rukino!\There's lots of those robots...\I gave up on expecting anything from others a long time ago.\I'll do this myself.\What weapons do I have? response:	Spindle Knuckles... These, right?
context: Hey! What are you doing in there?!\I'm launching. See ya.\Hey! Rukino!\There's lots of those robots...\I gave up on expecting anything from others a long time ago.\I'll do this myself.\What weapons do I have?\Spindle Knuckles... These, right? response:	Nobody said there was more than one of those things!
context: I'm launching. See ya.\Hey! Rukino!\There's lots of those robots...\I gave up on expecting anything from others a long time ago.\I'll do this myself.\What weapons do I have?\Spindle Knuckles... These, right?\Nobody said there was more than one of those things! response:	Carmilla, you're the greatest!
context: Hey! Rukino!\There's lots of those robots...\I gave up on expecting anything from others a long time ago.\I'll do this myself.\What weapons do I have?\Spindle Knuckles... These, right?\Nobody said there was more than one of those things!\Carmilla, you're the greatest! response:	Miss Rukino, you're going out too far ahead!
context: There's lots of those robots...\I gave up on expecting anything from others a long time ago.\I'll do this myself.\What weapons do I have?\Spindle Knuckles... These, right?\Nobody said there was more than one of those things!\Carmilla, you're the greatest!\Miss Rukino, you're going out too far ahead! response:	So what? We're indestructible superhumans!
context: I gave up on expecting anything from others a long time ago.\I'll do this myself.\What weapons do I have?\Spindle Knuckles... These, right?\Nobody said there was more than one of those things!\Carmilla, you're the greatest!\Miss Rukino, you're going out too far ahead!\So what? We're indestructible superhumans! response:	There are two Valvraves?!
context: I'll do this myself.\What weapons do I have?\Spindle Knuckles... These, right?\Nobody said there was more than one of those things!\Carmilla, you're the greatest!\Miss Rukino, you're going out too far ahead!\So what? We're indestructible superhumans!\There are two Valvraves?! response:	Its loadout seems somewhat different, but we'll proceed according to plan.
context: What weapons do I have?\Spindle Knuckles... These, right?\Nobody said there was more than one of those things!\Carmilla, you're the greatest!\Miss Rukino, you're going out too far ahead!\So what? We're indestructible superhumans!\There are two Valvraves?!\Its loadout seems somewhat different, but we'll proceed according to plan. response:	These guys seem pretty tough.
context: Spindle Knuckles... These, right?\Nobody said there was more than one of those things!\Carmilla, you're the greatest!\Miss Rukino, you're going out too far ahead!\So what? We're indestructible superhumans!\There are two Valvraves?!\Its loadout seems somewhat different, but we'll proceed according to plan.\These guys seem pretty tough. response:	According to my analysis, the Valvrave is a close-quarters combat weapon.
context: Nobody said there was more than one of those things!\Carmilla, you're the greatest!\Miss Rukino, you're going out too far ahead!\So what? We're indestructible superhumans!\There are two Valvraves?!\Its loadout seems somewhat different, but we'll proceed according to plan.\These guys seem pretty tough.\According to my analysis, the Valvrave is a close-quarters combat weapon. response:	No way!
context: Carmilla, you're the greatest!\Miss Rukino, you're going out too far ahead!\So what? We're indestructible superhumans!\There are two Valvraves?!\Its loadout seems somewhat different, but we'll proceed according to plan.\These guys seem pretty tough.\According to my analysis, the Valvrave is a close-quarters combat weapon.\No way! response:	In short, if it can't get close, its combat effectiveness is cut in half.
context: Miss Rukino, you're going out too far ahead!\So what? We're indestructible superhumans!\There are two Valvraves?!\Its loadout seems somewhat different, but we'll proceed according to plan.\These guys seem pretty tough.\According to my analysis, the Valvrave is a close-quarters combat weapon.\No way!\In short, if it can't get close, its combat effectiveness is cut in half. response:	Whittle it down bit by bit, and victory is assured!
context: So what? We're indestructible superhumans!\There are two Valvraves?!\Its loadout seems somewhat different, but we'll proceed according to plan.\These guys seem pretty tough.\According to my analysis, the Valvrave is a close-quarters combat weapon.\No way!\In short, if it can't get close, its combat effectiveness is cut in half.\Whittle it down bit by bit, and victory is assured! response:	Haruto! What are you doing?
context: There are two Valvraves?!\Its loadout seems somewhat different, but we'll proceed according to plan.\These guys seem pretty tough.\According to my analysis, the Valvrave is a close-quarters combat weapon.\No way!\In short, if it can't get close, its combat effectiveness is cut in half.\Whittle it down bit by bit, and victory is assured!\Haruto! What are you doing? response:	They're up against Ideals.
context: Its loadout seems somewhat different, but we'll proceed according to plan.\These guys seem pretty tough.\According to my analysis, the Valvrave is a close-quarters combat weapon.\No way!\In short, if it can't get close, its combat effectiveness is cut in half.\Whittle it down bit by bit, and victory is assured!\Haruto! What are you doing?\They're up against Ideals. response:	It's no easy matter to
context: These guys seem pretty tough.\According to my analysis, the Valvrave is a close-quarters combat weapon.\No way!\In short, if it can't get close, its combat effectiveness is cut in half.\Whittle it down bit by bit, and victory is assured!\Haruto! What are you doing?\They're up against Ideals.\It's no easy matter to response:	Right, then! That's the battleship sorted out!
context: According to my analysis, the Valvrave is a close-quarters combat weapon.\No way!\In short, if it can't get close, its combat effectiveness is cut in half.\Whittle it down bit by bit, and victory is assured!\Haruto! What are you doing?\They're up against Ideals.\It's no easy matter to\Right, then! That's the battleship sorted out! response:	No... Senator Figaro...
context: No way!\In short, if it can't get close, its combat effectiveness is cut in half.\Whittle it down bit by bit, and victory is assured!\Haruto! What are you doing?\They're up against Ideals.\It's no easy matter to\Right, then! That's the battleship sorted out!\No... Senator Figaro... response:	Just like that...
context: In short, if it can't get close, its combat effectiveness is cut in half.\Whittle it down bit by bit, and victory is assured!\Haruto! What are you doing?\They're up against Ideals.\It's no easy matter to\Right, then! That's the battleship sorted out!\No... Senator Figaro...\Just like that... response:	ARUS was...
context: Whittle it down bit by bit, and victory is assured!\Haruto! What are you doing?\They're up against Ideals.\It's no easy matter to\Right, then! That's the battleship sorted out!\No... Senator Figaro...\Just like that...\ARUS was... response:	I have to get away! Right now!
context: Haruto! What are you doing?\They're up against Ideals.\It's no easy matter to\Right, then! That's the battleship sorted out!\No... Senator Figaro...\Just like that...\ARUS was...\I have to get away! Right now! response:	What?
context: They're up against Ideals.\It's no easy matter to\Right, then! That's the battleship sorted out!\No... Senator Figaro...\Just like that...\ARUS was...\I have to get away! Right now!\What? response:	Haruto?!
context: It's no easy matter to\Right, then! That's the battleship sorted out!\No... Senator Figaro...\Just like that...\ARUS was...\I have to get away! Right now!\What?\Haruto?! response:	Miss Rukino, stay back!
context: Right, then! That's the battleship sorted out!\No... Senator Figaro...\Just like that...\ARUS was...\I have to get away! Right now!\What?\Haruto?!\Miss Rukino, stay back! response:	Valvrave... There's a pair.
context: No... Senator Figaro...\Just like that...\ARUS was...\I have to get away! Right now!\What?\Haruto?!\Miss Rukino, stay back!\Valvrave... There's a pair. response:	Pair?
context: Just like that...\ARUS was...\I have to get away! Right now!\What?\Haruto?!\Miss Rukino, stay back!\Valvrave... There's a pair.\Pair? response:	Haruto! I have to help him!
context: ARUS was...\I have to get away! Right now!\What?\Haruto?!\Miss Rukino, stay back!\Valvrave... There's a pair.\Pair?\Haruto! I have to help him! response:	Why am I shaking like this?
