context: Rule the Court response:	Go, go, let's go! Let's go, Date Tech!
context: he would have been able to get it to the setter properly.\I'm sorry.\What's that supposed to mean?\Trying to do the same moves that Daichi-san would do...\You're ten years... Well, that's a bit too long...\You're about a year away from that.\No matter how you look at it, that was a nice receive.\Let's not mention any realistic numbers like one year... response:	Karasuno
context: I'm sorry.\What's that supposed to mean?\Trying to do the same moves that Daichi-san would do...\You're ten years... Well, that's a bit too long...\You're about a year away from that.\No matter how you look at it, that was a nice receive.\Let's not mention any realistic numbers like one year...\Karasuno response:	Cover! Cover!
context: What's that supposed to mean?\Trying to do the same moves that Daichi-san would do...\You're ten years... Well, that's a bit too long...\You're about a year away from that.\No matter how you look at it, that was a nice receive.\Let's not mention any realistic numbers like one year...\Karasuno\Cover! Cover! response:	Takeru!
context: Trying to do the same moves that Daichi-san would do...\You're ten years... Well, that's a bit too long...\You're about a year away from that.\No matter how you look at it, that was a nice receive.\Let's not mention any realistic numbers like one year...\Karasuno\Cover! Cover!\Takeru! response:	All right!
context: You're ten years... Well, that's a bit too long...\You're about a year away from that.\No matter how you look at it, that was a nice receive.\Let's not mention any realistic numbers like one year...\Karasuno\Cover! Cover!\Takeru!\All right! response:	Damn it!
context: You're about a year away from that.\No matter how you look at it, that was a nice receive.\Let's not mention any realistic numbers like one year...\Karasuno\Cover! Cover!\Takeru!\All right!\Damn it! response:	We've got to do something about that wipe,
context: No matter how you look at it, that was a nice receive.\Let's not mention any realistic numbers like one year...\Karasuno\Cover! Cover!\Takeru!\All right!\Damn it!\We've got to do something about that wipe, response:	That was close! Don't mind!
context: Let's not mention any realistic numbers like one year...\Karasuno\Cover! Cover!\Takeru!\All right!\Damn it!\We've got to do something about that wipe,\That was close! Don't mind! response:	or it's going to be rough.
context: Karasuno\Cover! Cover!\Takeru!\All right!\Damn it!\We've got to do something about that wipe,\That was close! Don't mind!\or it's going to be rough. response:	I don't have time to wallow in my failure now.
context: Cover! Cover!\Takeru!\All right!\Damn it!\We've got to do something about that wipe,\That was close! Don't mind!\or it's going to be rough.\I don't have time to wallow in my failure now. response:	Playing on par with Daichi-san
context: Takeru!\All right!\Damn it!\We've got to do something about that wipe,\That was close! Don't mind!\or it's going to be rough.\I don't have time to wallow in my failure now.\Playing on par with Daichi-san response:	won't be possible right away.
context: All right!\Damn it!\We've got to do something about that wipe,\That was close! Don't mind!\or it's going to be rough.\I don't have time to wallow in my failure now.\Playing on par with Daichi-san\won't be possible right away. response:	I know that they're good!
context: Damn it!\We've got to do something about that wipe,\That was close! Don't mind!\or it's going to be rough.\I don't have time to wallow in my failure now.\Playing on par with Daichi-san\won't be possible right away.\I know that they're good! response:	That's why I'm trying to figure out what to do!
context: We've got to do something about that wipe,\That was close! Don't mind!\or it's going to be rough.\I don't have time to wallow in my failure now.\Playing on par with Daichi-san\won't be possible right away.\I know that they're good!\That's why I'm trying to figure out what to do! response:	Hey, may I have a moment?
context: That was close! Don't mind!\or it's going to be rough.\I don't have time to wallow in my failure now.\Playing on par with Daichi-san\won't be possible right away.\I know that they're good!\That's why I'm trying to figure out what to do!\Hey, may I have a moment? response:	When their 1 goes for a wipe, I'll pick up the ball.
context: or it's going to be rough.\I don't have time to wallow in my failure now.\Playing on par with Daichi-san\won't be possible right away.\I know that they're good!\That's why I'm trying to figure out what to do!\Hey, may I have a moment?\When their 1 goes for a wipe, I'll pick up the ball. response:	Tanaka and Asahi-san are way better at receiving powerful hits than I am.
context: I don't have time to wallow in my failure now.\Playing on par with Daichi-san\won't be possible right away.\I know that they're good!\That's why I'm trying to figure out what to do!\Hey, may I have a moment?\When their 1 goes for a wipe, I'll pick up the ball.\Tanaka and Asahi-san are way better at receiving powerful hits than I am. response:	If you two defend the straight sides,
context: Playing on par with Daichi-san\won't be possible right away.\I know that they're good!\That's why I'm trying to figure out what to do!\Hey, may I have a moment?\When their 1 goes for a wipe, I'll pick up the ball.\Tanaka and Asahi-san are way better at receiving powerful hits than I am.\If you two defend the straight sides, response:	I'll go deep in the middle and pick up any balls that go over there.
context: won't be possible right away.\I know that they're good!\That's why I'm trying to figure out what to do!\Hey, may I have a moment?\When their 1 goes for a wipe, I'll pick up the ball.\Tanaka and Asahi-san are way better at receiving powerful hits than I am.\If you two defend the straight sides,\I'll go deep in the middle and pick up any balls that go over there. response:	I can't guarantee that it'll work, but...
context: I know that they're good!\That's why I'm trying to figure out what to do!\Hey, may I have a moment?\When their 1 goes for a wipe, I'll pick up the ball.\Tanaka and Asahi-san are way better at receiving powerful hits than I am.\If you two defend the straight sides,\I'll go deep in the middle and pick up any balls that go over there.\I can't guarantee that it'll work, but... response:	Yeah, let's give it a shot.
context: That's why I'm trying to figure out what to do!\Hey, may I have a moment?\When their 1 goes for a wipe, I'll pick up the ball.\Tanaka and Asahi-san are way better at receiving powerful hits than I am.\If you two defend the straight sides,\I'll go deep in the middle and pick up any balls that go over there.\I can't guarantee that it'll work, but...\Yeah, let's give it a shot. response:	Th-Thank you very much.
context: Hey, may I have a moment?\When their 1 goes for a wipe, I'll pick up the ball.\Tanaka and Asahi-san are way better at receiving powerful hits than I am.\If you two defend the straight sides,\I'll go deep in the middle and pick up any balls that go over there.\I can't guarantee that it'll work, but...\Yeah, let's give it a shot.\Th-Thank you very much. response:	Like I'm any better at getting powerful hits than Ennoshita...
context: When their 1 goes for a wipe, I'll pick up the ball.\Tanaka and Asahi-san are way better at receiving powerful hits than I am.\If you two defend the straight sides,\I'll go deep in the middle and pick up any balls that go over there.\I can't guarantee that it'll work, but...\Yeah, let's give it a shot.\Th-Thank you very much.\Like I'm any better at getting powerful hits than Ennoshita... response:	Got it!
context: Tanaka and Asahi-san are way better at receiving powerful hits than I am.\If you two defend the straight sides,\I'll go deep in the middle and pick up any balls that go over there.\I can't guarantee that it'll work, but...\Yeah, let's give it a shot.\Th-Thank you very much.\Like I'm any better at getting powerful hits than Ennoshita...\Got it! response:	All right!
context: If you two defend the straight sides,\I'll go deep in the middle and pick up any balls that go over there.\I can't guarantee that it'll work, but...\Yeah, let's give it a shot.\Th-Thank you very much.\Like I'm any better at getting powerful hits than Ennoshita...\Got it!\All right! response:	Takeru-san!
context: I'll go deep in the middle and pick up any balls that go over there.\I can't guarantee that it'll work, but...\Yeah, let's give it a shot.\Th-Thank you very much.\Like I'm any better at getting powerful hits than Ennoshita...\Got it!\All right!\Takeru-san! response:	Mine!
context: I can't guarantee that it'll work, but...\Yeah, let's give it a shot.\Th-Thank you very much.\Like I'm any better at getting powerful hits than Ennoshita...\Got it!\All right!\Takeru-san!\Mine! response:	Two blockers!
context: Yeah, let's give it a shot.\Th-Thank you very much.\Like I'm any better at getting powerful hits than Ennoshita...\Got it!\All right!\Takeru-san!\Mine!\Two blockers! response:	I can't guarantee that it'll work, but...
context: Th-Thank you very much.\Like I'm any better at getting powerful hits than Ennoshita...\Got it!\All right!\Takeru-san!\Mine!\Two blockers!\I can't guarantee that it'll work, but... response:	Yeah, let's give it a shot.
context: Like I'm any better at getting powerful hits than Ennoshita...\Got it!\All right!\Takeru-san!\Mine!\Two blockers!\I can't guarantee that it'll work, but...\Yeah, let's give it a shot. response:	If I can't pick this up...
context: Got it!\All right!\Takeru-san!\Mine!\Two blockers!\I can't guarantee that it'll work, but...\Yeah, let's give it a shot.\If I can't pick this up... response:	I don't have the right to be on this court!
context: All right!\Takeru-san!\Mine!\Two blockers!\I can't guarantee that it'll work, but...\Yeah, let's give it a shot.\If I can't pick this up...\I don't have the right to be on this court! response:	Ennoshita!
context: Takeru-san!\Mine!\Two blockers!\I can't guarantee that it'll work, but...\Yeah, let's give it a shot.\If I can't pick this up...\I don't have the right to be on this court!\Ennoshita! response:	Damn...
context: Mine!\Two blockers!\I can't guarantee that it'll work, but...\Yeah, let's give it a shot.\If I can't pick this up...\I don't have the right to be on this court!\Ennoshita!\Damn... response:	Connect!
context: Two blockers!\I can't guarantee that it'll work, but...\Yeah, let's give it a shot.\If I can't pick this up...\I don't have the right to be on this court!\Ennoshita!\Damn...\Connect! response:	Haikyu!!
context: I can't guarantee that it'll work, but...\Yeah, let's give it a shot.\If I can't pick this up...\I don't have the right to be on this court!\Ennoshita!\Damn...\Connect!\Haikyu!! response:	Haikyu!!
context: Yeah, let's give it a shot.\If I can't pick this up...\I don't have the right to be on this court!\Ennoshita!\Damn...\Connect!\Haikyu!!\Haikyu!! response:	Ennoshita!
context: If I can't pick this up...\I don't have the right to be on this court!\Ennoshita!\Damn...\Connect!\Haikyu!!\Haikyu!!\Ennoshita! response:	Damn...
context: I don't have the right to be on this court!\Ennoshita!\Damn...\Connect!\Haikyu!!\Haikyu!!\Ennoshita!\Damn... response:	Hinata, get the last!
context: Ennoshita!\Damn...\Connect!\Haikyu!!\Haikyu!!\Ennoshita!\Damn...\Hinata, get the last! response:	Three blockers!
context: Damn...\Connect!\Haikyu!!\Haikyu!!\Ennoshita!\Damn...\Hinata, get the last!\Three blockers! response:	If I hit, they'll get it.
context: Connect!\Haikyu!!\Haikyu!!\Ennoshita!\Damn...\Hinata, get the last!\Three blockers!\If I hit, they'll get it. response:	I'm going to regroup.
context: Haikyu!!\Haikyu!!\Ennoshita!\Damn...\Hinata, get the last!\Three blockers!\If I hit, they'll get it.\I'm going to regroup. response:	He...
context: Haikyu!!\Ennoshita!\Damn...\Hinata, get the last!\Three blockers!\If I hit, they'll get it.\I'm going to regroup.\He... response:	All right! Got it!
context: Ennoshita!\Damn...\Hinata, get the last!\Three blockers!\If I hit, they'll get it.\I'm going to regroup.\He...\All right! Got it! response:	What?! He hit the block on purpose?!
context: Damn...\Hinata, get the last!\Three blockers!\If I hit, they'll get it.\I'm going to regroup.\He...\All right! Got it!\What?! He hit the block on purpose?! response:	A rebound.
context: Hinata, get the last!\Three blockers!\If I hit, they'll get it.\I'm going to regroup.\He...\All right! Got it!\What?! He hit the block on purpose?!\A rebound. response:	Huh? When did he learn that?!
context: Three blockers!\If I hit, they'll get it.\I'm going to regroup.\He...\All right! Got it!\What?! He hit the block on purpose?!\A rebound.\Huh? When did he learn that?! response:	During the summer training camp.
context: If I hit, they'll get it.\I'm going to regroup.\He...\All right! Got it!\What?! He hit the block on purpose?!\A rebound.\Huh? When did he learn that?!\During the summer training camp. response:	But he just got lucky.
context: I'm going to regroup.\He...\All right! Got it!\What?! He hit the block on purpose?!\A rebound.\Huh? When did he learn that?!\During the summer training camp.\But he just got lucky. response:	One more!
context: He...\All right! Got it!\What?! He hit the block on purpose?!\A rebound.\Huh? When did he learn that?!\During the summer training camp.\But he just got lucky.\One more! response:	With Daichi absent,
context: All right! Got it!\What?! He hit the block on purpose?!\A rebound.\Huh? When did he learn that?!\During the summer training camp.\But he just got lucky.\One more!\With Daichi absent, response:	our defense is weaker than usual.
context: What?! He hit the block on purpose?!\A rebound.\Huh? When did he learn that?!\During the summer training camp.\But he just got lucky.\One more!\With Daichi absent,\our defense is weaker than usual. response:	Whether intentionally or subconsciously,
context: A rebound.\Huh? When did he learn that?!\During the summer training camp.\But he just got lucky.\One more!\With Daichi absent,\our defense is weaker than usual.\Whether intentionally or subconsciously, response:	Bring it!
context: Huh? When did he learn that?!\During the summer training camp.\But he just got lucky.\One more!\With Daichi absent,\our defense is weaker than usual.\Whether intentionally or subconsciously,\Bring it! response:	Hinata's trying to deal with this situation.
context: During the summer training camp.\But he just got lucky.\One more!\With Daichi absent,\our defense is weaker than usual.\Whether intentionally or subconsciously,\Bring it!\Hinata's trying to deal with this situation. response:	That was awesome, Hinata!
context: But he just got lucky.\One more!\With Daichi absent,\our defense is weaker than usual.\Whether intentionally or subconsciously,\Bring it!\Hinata's trying to deal with this situation.\That was awesome, Hinata! response:	I feel like someone's complimenting me!
context: One more!\With Daichi absent,\our defense is weaker than usual.\Whether intentionally or subconsciously,\Bring it!\Hinata's trying to deal with this situation.\That was awesome, Hinata!\I feel like someone's complimenting me! response:	You're imagining it.
context: With Daichi absent,\our defense is weaker than usual.\Whether intentionally or subconsciously,\Bring it!\Hinata's trying to deal with this situation.\That was awesome, Hinata!\I feel like someone's complimenting me!\You're imagining it. response:	Where did you learn that?
context: our defense is weaker than usual.\Whether intentionally or subconsciously,\Bring it!\Hinata's trying to deal with this situation.\That was awesome, Hinata!\I feel like someone's complimenting me!\You're imagining it.\Where did you learn that? response:	Actually, Bokuto-san taught me during the training camp...
context: Whether intentionally or subconsciously,\Bring it!\Hinata's trying to deal with this situation.\That was awesome, Hinata!\I feel like someone's complimenting me!\You're imagining it.\Where did you learn that?\Actually, Bokuto-san taught me during the training camp... response:	I knew that Karasuno had an amazing shrimp,
context: Bring it!\Hinata's trying to deal with this situation.\That was awesome, Hinata!\I feel like someone's complimenting me!\You're imagining it.\Where did you learn that?\Actually, Bokuto-san taught me during the training camp...\I knew that Karasuno had an amazing shrimp, response:	What? No fair!
context: Hinata's trying to deal with this situation.\That was awesome, Hinata!\I feel like someone's complimenting me!\You're imagining it.\Where did you learn that?\Actually, Bokuto-san taught me during the training camp...\I knew that Karasuno had an amazing shrimp,\What? No fair! response:	You lucky bastard!
context: That was awesome, Hinata!\I feel like someone's complimenting me!\You're imagining it.\Where did you learn that?\Actually, Bokuto-san taught me during the training camp...\I knew that Karasuno had an amazing shrimp,\What? No fair!\You lucky bastard! response:	but I thought that was only because of the setter.
context: I feel like someone's complimenting me!\You're imagining it.\Where did you learn that?\Actually, Bokuto-san taught me during the training camp...\I knew that Karasuno had an amazing shrimp,\What? No fair!\You lucky bastard!\but I thought that was only because of the setter. response:	You should have told me earlier!
context: You're imagining it.\Where did you learn that?\Actually, Bokuto-san taught me during the training camp...\I knew that Karasuno had an amazing shrimp,\What? No fair!\You lucky bastard!\but I thought that was only because of the setter.\You should have told me earlier! response:	And yet...
context: Where did you learn that?\Actually, Bokuto-san taught me during the training camp...\I knew that Karasuno had an amazing shrimp,\What? No fair!\You lucky bastard!\but I thought that was only because of the setter.\You should have told me earlier!\And yet... response:	All right, Hinata, Tanaka, nice kill!
context: Actually, Bokuto-san taught me during the training camp...\I knew that Karasuno had an amazing shrimp,\What? No fair!\You lucky bastard!\but I thought that was only because of the setter.\You should have told me earlier!\And yet...\All right, Hinata, Tanaka, nice kill! response:	Chikara!
context: I knew that Karasuno had an amazing shrimp,\What? No fair!\You lucky bastard!\but I thought that was only because of the setter.\You should have told me earlier!\And yet...\All right, Hinata, Tanaka, nice kill!\Chikara! response:	Nice receive.
context: What? No fair!\You lucky bastard!\but I thought that was only because of the setter.\You should have told me earlier!\And yet...\All right, Hinata, Tanaka, nice kill!\Chikara!\Nice receive. response:	No fair... Getting one from Noya-san is no fair.
context: You lucky bastard!\but I thought that was only because of the setter.\You should have told me earlier!\And yet...\All right, Hinata, Tanaka, nice kill!\Chikara!\Nice receive.\No fair... Getting one from Noya-san is no fair. response:	Getting a compliment from Nishinoya about a receive
context: but I thought that was only because of the setter.\You should have told me earlier!\And yet...\All right, Hinata, Tanaka, nice kill!\Chikara!\Nice receive.\No fair... Getting one from Noya-san is no fair.\Getting a compliment from Nishinoya about a receive response:	would cheer anyone up.
context: You should have told me earlier!\And yet...\All right, Hinata, Tanaka, nice kill!\Chikara!\Nice receive.\No fair... Getting one from Noya-san is no fair.\Getting a compliment from Nishinoya about a receive\would cheer anyone up. response:	He's in.
context: And yet...\All right, Hinata, Tanaka, nice kill!\Chikara!\Nice receive.\No fair... Getting one from Noya-san is no fair.\Getting a compliment from Nishinoya about a receive\would cheer anyone up.\He's in. response:	Pardon?
context: All right, Hinata, Tanaka, nice kill!\Chikara!\Nice receive.\No fair... Getting one from Noya-san is no fair.\Getting a compliment from Nishinoya about a receive\would cheer anyone up.\He's in.\Pardon? response:	He's just a substitute,
context: Chikara!\Nice receive.\No fair... Getting one from Noya-san is no fair.\Getting a compliment from Nishinoya about a receive\would cheer anyone up.\He's in.\Pardon?\He's just a substitute, response:	and he can't completely blend in with the vibe on the court
context: Nice receive.\No fair... Getting one from Noya-san is no fair.\Getting a compliment from Nishinoya about a receive\would cheer anyone up.\He's in.\Pardon?\He's just a substitute,\and he can't completely blend in with the vibe on the court response:	since he doesn't belong.
context: No fair... Getting one from Noya-san is no fair.\Getting a compliment from Nishinoya about a receive\would cheer anyone up.\He's in.\Pardon?\He's just a substitute,\and he can't completely blend in with the vibe on the court\since he doesn't belong. response:	I think that's how Ennoshita felt.
context: Getting a compliment from Nishinoya about a receive\would cheer anyone up.\He's in.\Pardon?\He's just a substitute,\and he can't completely blend in with the vibe on the court\since he doesn't belong.\I think that's how Ennoshita felt. response:	But I think that play just now banished that feeling.
context: would cheer anyone up.\He's in.\Pardon?\He's just a substitute,\and he can't completely blend in with the vibe on the court\since he doesn't belong.\I think that's how Ennoshita felt.\But I think that play just now banished that feeling. response:	That play just now?
context: He's in.\Pardon?\He's just a substitute,\and he can't completely blend in with the vibe on the court\since he doesn't belong.\I think that's how Ennoshita felt.\But I think that play just now banished that feeling.\That play just now? response:	He thought of it on his own, told the team,
context: Pardon?\He's just a substitute,\and he can't completely blend in with the vibe on the court\since he doesn't belong.\I think that's how Ennoshita felt.\But I think that play just now banished that feeling.\That play just now?\He thought of it on his own, told the team, response:	and carried it out.
context: He's just a substitute,\and he can't completely blend in with the vibe on the court\since he doesn't belong.\I think that's how Ennoshita felt.\But I think that play just now banished that feeling.\That play just now?\He thought of it on his own, told the team,\and carried it out. response:	Plays like that give you confidence.
context: and he can't completely blend in with the vibe on the court\since he doesn't belong.\I think that's how Ennoshita felt.\But I think that play just now banished that feeling.\That play just now?\He thought of it on his own, told the team,\and carried it out.\Plays like that give you confidence. response:	I see.
context: since he doesn't belong.\I think that's how Ennoshita felt.\But I think that play just now banished that feeling.\That play just now?\He thought of it on his own, told the team,\and carried it out.\Plays like that give you confidence.\I see. response:	It's difficult.
context: I think that's how Ennoshita felt.\But I think that play just now banished that feeling.\That play just now?\He thought of it on his own, told the team,\and carried it out.\Plays like that give you confidence.\I see.\It's difficult. response:	All right!
context: But I think that play just now banished that feeling.\That play just now?\He thought of it on his own, told the team,\and carried it out.\Plays like that give you confidence.\I see.\It's difficult.\All right! response:	Karasuno...
context: That play just now?\He thought of it on his own, told the team,\and carried it out.\Plays like that give you confidence.\I see.\It's difficult.\All right!\Karasuno... response:	Up until recently,
context: He thought of it on his own, told the team,\and carried it out.\Plays like that give you confidence.\I see.\It's difficult.\All right!\Karasuno...\Up until recently, response:	they were an average team that didn't stand out.
context: and carried it out.\Plays like that give you confidence.\I see.\It's difficult.\All right!\Karasuno...\Up until recently,\they were an average team that didn't stand out. response:	Truly, the Little Giant!
context: Plays like that give you confidence.\I see.\It's difficult.\All right!\Karasuno...\Up until recently,\they were an average team that didn't stand out.\Truly, the Little Giant! response:	That match showed me that there was a path like this when
context: I see.\It's difficult.\All right!\Karasuno...\Up until recently,\they were an average team that didn't stand out.\Truly, the Little Giant!\That match showed me that there was a path like this when response:	This is a good course!
context: It's difficult.\All right!\Karasuno...\Up until recently,\they were an average team that didn't stand out.\Truly, the Little Giant!\That match showed me that there was a path like this when\This is a good course! response:	He can see so well!
context: All right!\Karasuno...\Up until recently,\they were an average team that didn't stand out.\Truly, the Little Giant!\That match showed me that there was a path like this when\This is a good course!\He can see so well! response:	I was starting to worry about my height.
context: Karasuno...\Up until recently,\they were an average team that didn't stand out.\Truly, the Little Giant!\That match showed me that there was a path like this when\This is a good course!\He can see so well!\I was starting to worry about my height. response:	Karasuno's 10...
context: Up until recently,\they were an average team that didn't stand out.\Truly, the Little Giant!\That match showed me that there was a path like this when\This is a good course!\He can see so well!\I was starting to worry about my height.\Karasuno's 10... response:	The guy who wears the same number as the Little Giant did back then.
context: they were an average team that didn't stand out.\Truly, the Little Giant!\That match showed me that there was a path like this when\This is a good course!\He can see so well!\I was starting to worry about my height.\Karasuno's 10...\The guy who wears the same number as the Little Giant did back then. response:	One more!
context: Truly, the Little Giant!\That match showed me that there was a path like this when\This is a good course!\He can see so well!\I was starting to worry about my height.\Karasuno's 10...\The guy who wears the same number as the Little Giant did back then.\One more! response:	Takeru!
context: That match showed me that there was a path like this when\This is a good course!\He can see so well!\I was starting to worry about my height.\Karasuno's 10...\The guy who wears the same number as the Little Giant did back then.\One more!\Takeru! response:	First, I'm going to defeat you.
context: This is a good course!\He can see so well!\I was starting to worry about my height.\Karasuno's 10...\The guy who wears the same number as the Little Giant did back then.\One more!\Takeru!\First, I'm going to defeat you. response:	1's doing a back attack!
context: He can see so well!\I was starting to worry about my height.\Karasuno's 10...\The guy who wears the same number as the Little Giant did back then.\One more!\Takeru!\First, I'm going to defeat you.\1's doing a back attack! response:	Karasuno Wakunan
context: I was starting to worry about my height.\Karasuno's 10...\The guy who wears the same number as the Little Giant did back then.\One more!\Takeru!\First, I'm going to defeat you.\1's doing a back attack!\Karasuno Wakunan response:	All right!
context: Karasuno's 10...\The guy who wears the same number as the Little Giant did back then.\One more!\Takeru!\First, I'm going to defeat you.\1's doing a back attack!\Karasuno Wakunan\All right! response:	We caught up!
context: The guy who wears the same number as the Little Giant did back then.\One more!\Takeru!\First, I'm going to defeat you.\1's doing a back attack!\Karasuno Wakunan\All right!\We caught up! response:	Sorry, the toss was low.
context: One more!\Takeru!\First, I'm going to defeat you.\1's doing a back attack!\Karasuno Wakunan\All right!\We caught up!\Sorry, the toss was low. response:	Ennoshita, nice serve!
context: Takeru!\First, I'm going to defeat you.\1's doing a back attack!\Karasuno Wakunan\All right!\We caught up!\Sorry, the toss was low.\Ennoshita, nice serve! response:	Got it!
context: First, I'm going to defeat you.\1's doing a back attack!\Karasuno Wakunan\All right!\We caught up!\Sorry, the toss was low.\Ennoshita, nice serve!\Got it! response:	Nice!
context: 1's doing a back attack!\Karasuno Wakunan\All right!\We caught up!\Sorry, the toss was low.\Ennoshita, nice serve!\Got it!\Nice! response:	All right! Thank goodness.
context: Karasuno Wakunan\All right!\We caught up!\Sorry, the toss was low.\Ennoshita, nice serve!\Got it!\Nice!\All right! Thank goodness. response:	Isamu-nii and Takeru-nii,
context: All right!\We caught up!\Sorry, the toss was low.\Ennoshita, nice serve!\Got it!\Nice!\All right! Thank goodness.\Isamu-nii and Takeru-nii, response:	the oldest and second oldest brothers... Are you sure you're not backwards?
context: We caught up!\Sorry, the toss was low.\Ennoshita, nice serve!\Got it!\Nice!\All right! Thank goodness.\Isamu-nii and Takeru-nii,\the oldest and second oldest brothers... Are you sure you're not backwards? response:	You're gonna make your brother cry.
context: Sorry, the toss was low.\Ennoshita, nice serve!\Got it!\Nice!\All right! Thank goodness.\Isamu-nii and Takeru-nii,\the oldest and second oldest brothers... Are you sure you're not backwards?\You're gonna make your brother cry. response:	Karasuno Wakunan
context: Ennoshita, nice serve!\Got it!\Nice!\All right! Thank goodness.\Isamu-nii and Takeru-nii,\the oldest and second oldest brothers... Are you sure you're not backwards?\You're gonna make your brother cry.\Karasuno Wakunan response:	Asahi-san, nice serve!
context: Got it!\Nice!\All right! Thank goodness.\Isamu-nii and Takeru-nii,\the oldest and second oldest brothers... Are you sure you're not backwards?\You're gonna make your brother cry.\Karasuno Wakunan\Asahi-san, nice serve! response:	Sorry! That was long!
context: Nice!\All right! Thank goodness.\Isamu-nii and Takeru-nii,\the oldest and second oldest brothers... Are you sure you're not backwards?\You're gonna make your brother cry.\Karasuno Wakunan\Asahi-san, nice serve!\Sorry! That was long! response:	It's going over the net!
context: All right! Thank goodness.\Isamu-nii and Takeru-nii,\the oldest and second oldest brothers... Are you sure you're not backwards?\You're gonna make your brother cry.\Karasuno Wakunan\Asahi-san, nice serve!\Sorry! That was long!\It's going over the net! response:	Takeru-san!
context: Isamu-nii and Takeru-nii,\the oldest and second oldest brothers... Are you sure you're not backwards?\You're gonna make your brother cry.\Karasuno Wakunan\Asahi-san, nice serve!\Sorry! That was long!\It's going over the net!\Takeru-san! response:	Kageyama, push through!
context: the oldest and second oldest brothers... Are you sure you're not backwards?\You're gonna make your brother cry.\Karasuno Wakunan\Asahi-san, nice serve!\Sorry! That was long!\It's going over the net!\Takeru-san!\Kageyama, push through! response:	It's at times like this that I'm reminded
context: You're gonna make your brother cry.\Karasuno Wakunan\Asahi-san, nice serve!\Sorry! That was long!\It's going over the net!\Takeru-san!\Kageyama, push through!\It's at times like this that I'm reminded response:	how high that wall is.
context: Karasuno Wakunan\Asahi-san, nice serve!\Sorry! That was long!\It's going over the net!\Takeru-san!\Kageyama, push through!\It's at times like this that I'm reminded\how high that wall is. response:	Nice cover, Tabi!
context: Asahi-san, nice serve!\Sorry! That was long!\It's going over the net!\Takeru-san!\Kageyama, push through!\It's at times like this that I'm reminded\how high that wall is.\Nice cover, Tabi! response:	Connect!
context: Sorry! That was long!\It's going over the net!\Takeru-san!\Kageyama, push through!\It's at times like this that I'm reminded\how high that wall is.\Nice cover, Tabi!\Connect! response:	Karasuno's 10...
context: It's going over the net!\Takeru-san!\Kageyama, push through!\It's at times like this that I'm reminded\how high that wall is.\Nice cover, Tabi!\Connect!\Karasuno's 10... response:	I'm not going to lose to you!
context: Takeru-san!\Kageyama, push through!\It's at times like this that I'm reminded\how high that wall is.\Nice cover, Tabi!\Connect!\Karasuno's 10...\I'm not going to lose to you! response:	Takeru!
context: Kageyama, push through!\It's at times like this that I'm reminded\how high that wall is.\Nice cover, Tabi!\Connect!\Karasuno's 10...\I'm not going to lose to you!\Takeru! response:	Not me, or my team's bravery!
context: It's at times like this that I'm reminded\how high that wall is.\Nice cover, Tabi!\Connect!\Karasuno's 10...\I'm not going to lose to you!\Takeru!\Not me, or my team's bravery! response:	All right!
context: how high that wall is.\Nice cover, Tabi!\Connect!\Karasuno's 10...\I'm not going to lose to you!\Takeru!\Not me, or my team's bravery!\All right! response:	Karasuno Wakunan
context: Nice cover, Tabi!\Connect!\Karasuno's 10...\I'm not going to lose to you!\Takeru!\Not me, or my team's bravery!\All right!\Karasuno Wakunan response:	Hang in there.
context: Connect!\Karasuno's 10...\I'm not going to lose to you!\Takeru!\Not me, or my team's bravery!\All right!\Karasuno Wakunan\Hang in there. response:	If you keep it up, they're start making mistakes.
context: Karasuno's 10...\I'm not going to lose to you!\Takeru!\Not me, or my team's bravery!\All right!\Karasuno Wakunan\Hang in there.\If you keep it up, they're start making mistakes. response:	Not to mention their captain's absent.
context: I'm not going to lose to you!\Takeru!\Not me, or my team's bravery!\All right!\Karasuno Wakunan\Hang in there.\If you keep it up, they're start making mistakes.\Not to mention their captain's absent. response:	Hang in there until they break.
context: Takeru!\Not me, or my team's bravery!\All right!\Karasuno Wakunan\Hang in there.\If you keep it up, they're start making mistakes.\Not to mention their captain's absent.\Hang in there until they break. response:	Right!
context: Not me, or my team's bravery!\All right!\Karasuno Wakunan\Hang in there.\If you keep it up, they're start making mistakes.\Not to mention their captain's absent.\Hang in there until they break.\Right! response:	And...
context: All right!\Karasuno Wakunan\Hang in there.\If you keep it up, they're start making mistakes.\Not to mention their captain's absent.\Hang in there until they break.\Right!\And... response:	Go show them who's really the Little Giant in this match.
context: Karasuno Wakunan\Hang in there.\If you keep it up, they're start making mistakes.\Not to mention their captain's absent.\Hang in there until they break.\Right!\And...\Go show them who's really the Little Giant in this match. response:	Right!
context: Hang in there.\If you keep it up, they're start making mistakes.\Not to mention their captain's absent.\Hang in there until they break.\Right!\And...\Go show them who's really the Little Giant in this match.\Right! response:	Hinata, serve!
context: If you keep it up, they're start making mistakes.\Not to mention their captain's absent.\Hang in there until they break.\Right!\And...\Go show them who's really the Little Giant in this match.\Right!\Hinata, serve! response:	Right!
context: Not to mention their captain's absent.\Hang in there until they break.\Right!\And...\Go show them who's really the Little Giant in this match.\Right!\Hinata, serve!\Right! response:	Ukai-san...
context: Hang in there until they break.\Right!\And...\Go show them who's really the Little Giant in this match.\Right!\Hinata, serve!\Right!\Ukai-san... response:	Huh?
