context: Our Tackle response:	Yesterday, on Enoshima, an island shaken by panic
context: But we're dealing with an alien.\Huh?\That's right, and he can control people with water, right?\Who's gonna dry us if we start dancing on the boat?\Haru can probably protect us.\Let's find him and go fishing.\Okay. You can use my boat.\Wait! response:	But, Natsuki, if something happened to you, I...
context: Huh?\That's right, and he can control people with water, right?\Who's gonna dry us if we start dancing on the boat?\Haru can probably protect us.\Let's find him and go fishing.\Okay. You can use my boat.\Wait!\But, Natsuki, if something happened to you, I... response:	Dad.
context: That's right, and he can control people with water, right?\Who's gonna dry us if we start dancing on the boat?\Haru can probably protect us.\Let's find him and go fishing.\Okay. You can use my boat.\Wait!\But, Natsuki, if something happened to you, I...\Dad. response:	Dad?
context: Who's gonna dry us if we start dancing on the boat?\Haru can probably protect us.\Let's find him and go fishing.\Okay. You can use my boat.\Wait!\But, Natsuki, if something happened to you, I...\Dad.\Dad? response:	I haven't heard that in a while.
context: Haru can probably protect us.\Let's find him and go fishing.\Okay. You can use my boat.\Wait!\But, Natsuki, if something happened to you, I...\Dad.\Dad?\I haven't heard that in a while. response:	Dad, it's okay.
context: Let's find him and go fishing.\Okay. You can use my boat.\Wait!\But, Natsuki, if something happened to you, I...\Dad.\Dad?\I haven't heard that in a while.\Dad, it's okay. response:	I'm the fishing prince.
context: Okay. You can use my boat.\Wait!\But, Natsuki, if something happened to you, I...\Dad.\Dad?\I haven't heard that in a while.\Dad, it's okay.\I'm the fishing prince. response:	That's great.
context: Wait!\But, Natsuki, if something happened to you, I...\Dad.\Dad?\I haven't heard that in a while.\Dad, it's okay.\I'm the fishing prince.\That's great. response:	We're the only ones who can protect Enoshima.
context: But, Natsuki, if something happened to you, I...\Dad.\Dad?\I haven't heard that in a while.\Dad, it's okay.\I'm the fishing prince.\That's great.\We're the only ones who can protect Enoshima. response:	Yeah.
context: Dad.\Dad?\I haven't heard that in a while.\Dad, it's okay.\I'm the fishing prince.\That's great.\We're the only ones who can protect Enoshima.\Yeah. response:	Sakura,
context: Dad?\I haven't heard that in a while.\Dad, it's okay.\I'm the fishing prince.\That's great.\We're the only ones who can protect Enoshima.\Yeah.\Sakura, response:	I'm going out for a bit.
context: I haven't heard that in a while.\Dad, it's okay.\I'm the fishing prince.\That's great.\We're the only ones who can protect Enoshima.\Yeah.\Sakura,\I'm going out for a bit. response:	Where are you going?
context: Dad, it's okay.\I'm the fishing prince.\That's great.\We're the only ones who can protect Enoshima.\Yeah.\Sakura,\I'm going out for a bit.\Where are you going? response:	Don't worry. I'll be back soon.
context: I'm the fishing prince.\That's great.\We're the only ones who can protect Enoshima.\Yeah.\Sakura,\I'm going out for a bit.\Where are you going?\Don't worry. I'll be back soon. response:	Mariko-san, please look after Sakura.
context: That's great.\We're the only ones who can protect Enoshima.\Yeah.\Sakura,\I'm going out for a bit.\Where are you going?\Don't worry. I'll be back soon.\Mariko-san, please look after Sakura. response:	Don't do anything reckless.
context: We're the only ones who can protect Enoshima.\Yeah.\Sakura,\I'm going out for a bit.\Where are you going?\Don't worry. I'll be back soon.\Mariko-san, please look after Sakura.\Don't do anything reckless. response:	Onii-chan.
context: Yeah.\Sakura,\I'm going out for a bit.\Where are you going?\Don't worry. I'll be back soon.\Mariko-san, please look after Sakura.\Don't do anything reckless.\Onii-chan. response:	Here.
context: Sakura,\I'm going out for a bit.\Where are you going?\Don't worry. I'll be back soon.\Mariko-san, please look after Sakura.\Don't do anything reckless.\Onii-chan.\Here. response:	Mom will protect you.
context: I'm going out for a bit.\Where are you going?\Don't worry. I'll be back soon.\Mariko-san, please look after Sakura.\Don't do anything reckless.\Onii-chan.\Here.\Mom will protect you. response:	Thanks.
context: Where are you going?\Don't worry. I'll be back soon.\Mariko-san, please look after Sakura.\Don't do anything reckless.\Onii-chan.\Here.\Mom will protect you.\Thanks. response:	So, Akira, how are we going to get out of here?
context: Don't worry. I'll be back soon.\Mariko-san, please look after Sakura.\Don't do anything reckless.\Onii-chan.\Here.\Mom will protect you.\Thanks.\So, Akira, how are we going to get out of here? response:	Leave that to me.
context: Mariko-san, please look after Sakura.\Don't do anything reckless.\Onii-chan.\Here.\Mom will protect you.\Thanks.\So, Akira, how are we going to get out of here?\Leave that to me. response:	Everyone, how is your acting experience?
context: Don't do anything reckless.\Onii-chan.\Here.\Mom will protect you.\Thanks.\So, Akira, how are we going to get out of here?\Leave that to me.\Everyone, how is your acting experience? response:	What?
context: Onii-chan.\Here.\Mom will protect you.\Thanks.\So, Akira, how are we going to get out of here?\Leave that to me.\Everyone, how is your acting experience?\What? response:	Owww!
context: Here.\Mom will protect you.\Thanks.\So, Akira, how are we going to get out of here?\Leave that to me.\Everyone, how is your acting experience?\What?\Owww! response:	Is something wrong?
context: Mom will protect you.\Thanks.\So, Akira, how are we going to get out of here?\Leave that to me.\Everyone, how is your acting experience?\What?\Owww!\Is something wrong? response:	Can't you see? She's about to give birth!
context: Thanks.\So, Akira, how are we going to get out of here?\Leave that to me.\Everyone, how is your acting experience?\What?\Owww!\Is something wrong?\Can't you see? She's about to give birth! response:	But they told us not to use the trains.
context: So, Akira, how are we going to get out of here?\Leave that to me.\Everyone, how is your acting experience?\What?\Owww!\Is something wrong?\Can't you see? She's about to give birth!\But they told us not to use the trains. response:	We received permission.
context: Leave that to me.\Everyone, how is your acting experience?\What?\Owww!\Is something wrong?\Can't you see? She's about to give birth!\But they told us not to use the trains.\We received permission. response:	It hurts, it hurts, it hurts! I think it's coming!
context: Everyone, how is your acting experience?\What?\Owww!\Is something wrong?\Can't you see? She's about to give birth!\But they told us not to use the trains.\We received permission.\It hurts, it hurts, it hurts! I think it's coming! response:	I hope she has a healthy baby.
context: What?\Owww!\Is something wrong?\Can't you see? She's about to give birth!\But they told us not to use the trains.\We received permission.\It hurts, it hurts, it hurts! I think it's coming!\I hope she has a healthy baby. response:	Yeah.
context: Owww!\Is something wrong?\Can't you see? She's about to give birth!\But they told us not to use the trains.\We received permission.\It hurts, it hurts, it hurts! I think it's coming!\I hope she has a healthy baby.\Yeah. response:	Sorry. I guess this is the end of the line.
context: Is something wrong?\Can't you see? She's about to give birth!\But they told us not to use the trains.\We received permission.\It hurts, it hurts, it hurts! I think it's coming!\I hope she has a healthy baby.\Yeah.\Sorry. I guess this is the end of the line. response:	Don't worry about it. I'll figure something out.
context: Can't you see? She's about to give birth!\But they told us not to use the trains.\We received permission.\It hurts, it hurts, it hurts! I think it's coming!\I hope she has a healthy baby.\Yeah.\Sorry. I guess this is the end of the line.\Don't worry about it. I'll figure something out. response:	Thank you very much!
context: But they told us not to use the trains.\We received permission.\It hurts, it hurts, it hurts! I think it's coming!\I hope she has a healthy baby.\Yeah.\Sorry. I guess this is the end of the line.\Don't worry about it. I'll figure something out.\Thank you very much! response:	Run, kid!
context: We received permission.\It hurts, it hurts, it hurts! I think it's coming!\I hope she has a healthy baby.\Yeah.\Sorry. I guess this is the end of the line.\Don't worry about it. I'll figure something out.\Thank you very much!\Run, kid! response:	I guess the legend was true after all.
context: It hurts, it hurts, it hurts! I think it's coming!\I hope she has a healthy baby.\Yeah.\Sorry. I guess this is the end of the line.\Don't worry about it. I'll figure something out.\Thank you very much!\Run, kid!\I guess the legend was true after all. response:	This thing's a lure.
context: I hope she has a healthy baby.\Yeah.\Sorry. I guess this is the end of the line.\Don't worry about it. I'll figure something out.\Thank you very much!\Run, kid!\I guess the legend was true after all.\This thing's a lure. response:	You have to use that lure.
context: Yeah.\Sorry. I guess this is the end of the line.\Don't worry about it. I'll figure something out.\Thank you very much!\Run, kid!\I guess the legend was true after all.\This thing's a lure.\You have to use that lure. response:	Could this be...
context: Sorry. I guess this is the end of the line.\Don't worry about it. I'll figure something out.\Thank you very much!\Run, kid!\I guess the legend was true after all.\This thing's a lure.\You have to use that lure.\Could this be... response:	That's at our shrine.
context: Don't worry about it. I'll figure something out.\Thank you very much!\Run, kid!\I guess the legend was true after all.\This thing's a lure.\You have to use that lure.\Could this be...\That's at our shrine. response:	I wanted to bring it,
context: Thank you very much!\Run, kid!\I guess the legend was true after all.\This thing's a lure.\You have to use that lure.\Could this be...\That's at our shrine.\I wanted to bring it, response:	but the dragon had a firm grip on it.
context: Run, kid!\I guess the legend was true after all.\This thing's a lure.\You have to use that lure.\Could this be...\That's at our shrine.\I wanted to bring it,\but the dragon had a firm grip on it. response:	I will get it later.
context: I guess the legend was true after all.\This thing's a lure.\You have to use that lure.\Could this be...\That's at our shrine.\I wanted to bring it,\but the dragon had a firm grip on it.\I will get it later. response:	Thanks, now we just need a rod.
context: This thing's a lure.\You have to use that lure.\Could this be...\That's at our shrine.\I wanted to bring it,\but the dragon had a firm grip on it.\I will get it later.\Thanks, now we just need a rod. response:	Leave that to me.
context: You have to use that lure.\Could this be...\That's at our shrine.\I wanted to bring it,\but the dragon had a firm grip on it.\I will get it later.\Thanks, now we just need a rod.\Leave that to me. response:	I'll bring the best one we have at the store.
context: Could this be...\That's at our shrine.\I wanted to bring it,\but the dragon had a firm grip on it.\I will get it later.\Thanks, now we just need a rod.\Leave that to me.\I'll bring the best one we have at the store. response:	The rod's an Ocean Bluefin Tuna.
context: That's at our shrine.\I wanted to bring it,\but the dragon had a firm grip on it.\I will get it later.\Thanks, now we just need a rod.\Leave that to me.\I'll bring the best one we have at the store.\The rod's an Ocean Bluefin Tuna. response:	The reel's a Stella SW 20000PG.
context: I wanted to bring it,\but the dragon had a firm grip on it.\I will get it later.\Thanks, now we just need a rod.\Leave that to me.\I'll bring the best one we have at the store.\The rod's an Ocean Bluefin Tuna.\The reel's a Stella SW 20000PG. response:	I'll go. It's near the sea, so it's dangerous.
context: but the dragon had a firm grip on it.\I will get it later.\Thanks, now we just need a rod.\Leave that to me.\I'll bring the best one we have at the store.\The rod's an Ocean Bluefin Tuna.\The reel's a Stella SW 20000PG.\I'll go. It's near the sea, so it's dangerous. response:	It's fine. I have to close the shutters, anyway.
context: I will get it later.\Thanks, now we just need a rod.\Leave that to me.\I'll bring the best one we have at the store.\The rod's an Ocean Bluefin Tuna.\The reel's a Stella SW 20000PG.\I'll go. It's near the sea, so it's dangerous.\It's fine. I have to close the shutters, anyway. response:	I'll take care of it when I prepare my boat.
context: Thanks, now we just need a rod.\Leave that to me.\I'll bring the best one we have at the store.\The rod's an Ocean Bluefin Tuna.\The reel's a Stella SW 20000PG.\I'll go. It's near the sea, so it's dangerous.\It's fine. I have to close the shutters, anyway.\I'll take care of it when I prepare my boat. response:	Misaki-san and Erika, go with Dad to the shopping district
context: Leave that to me.\I'll bring the best one we have at the store.\The rod's an Ocean Bluefin Tuna.\The reel's a Stella SW 20000PG.\I'll go. It's near the sea, so it's dangerous.\It's fine. I have to close the shutters, anyway.\I'll take care of it when I prepare my boat.\Misaki-san and Erika, go with Dad to the shopping district response:	and collect food supplies.
context: I'll bring the best one we have at the store.\The rod's an Ocean Bluefin Tuna.\The reel's a Stella SW 20000PG.\I'll go. It's near the sea, so it's dangerous.\It's fine. I have to close the shutters, anyway.\I'll take care of it when I prepare my boat.\Misaki-san and Erika, go with Dad to the shopping district\and collect food supplies. response:	Okay.
context: The rod's an Ocean Bluefin Tuna.\The reel's a Stella SW 20000PG.\I'll go. It's near the sea, so it's dangerous.\It's fine. I have to close the shutters, anyway.\I'll take care of it when I prepare my boat.\Misaki-san and Erika, go with Dad to the shopping district\and collect food supplies.\Okay. response:	Sure, leave it to us.
context: The reel's a Stella SW 20000PG.\I'll go. It's near the sea, so it's dangerous.\It's fine. I have to close the shutters, anyway.\I'll take care of it when I prepare my boat.\Misaki-san and Erika, go with Dad to the shopping district\and collect food supplies.\Okay.\Sure, leave it to us. response:	So, who's gonna fish the guy?
context: I'll go. It's near the sea, so it's dangerous.\It's fine. I have to close the shutters, anyway.\I'll take care of it when I prepare my boat.\Misaki-san and Erika, go with Dad to the shopping district\and collect food supplies.\Okay.\Sure, leave it to us.\So, who's gonna fish the guy? response:	We've got plenty of fishermen here.
context: It's fine. I have to close the shutters, anyway.\I'll take care of it when I prepare my boat.\Misaki-san and Erika, go with Dad to the shopping district\and collect food supplies.\Okay.\Sure, leave it to us.\So, who's gonna fish the guy?\We've got plenty of fishermen here. response:	It can't be just anyone.
context: I'll take care of it when I prepare my boat.\Misaki-san and Erika, go with Dad to the shopping district\and collect food supplies.\Okay.\Sure, leave it to us.\So, who's gonna fish the guy?\We've got plenty of fishermen here.\It can't be just anyone. response:	The goddess fished up the dragon with her companion.
context: Misaki-san and Erika, go with Dad to the shopping district\and collect food supplies.\Okay.\Sure, leave it to us.\So, who's gonna fish the guy?\We've got plenty of fishermen here.\It can't be just anyone.\The goddess fished up the dragon with her companion. response:	Her companion?
context: and collect food supplies.\Okay.\Sure, leave it to us.\So, who's gonna fish the guy?\We've got plenty of fishermen here.\It can't be just anyone.\The goddess fished up the dragon with her companion.\Her companion? response:	He won't answer his phone.
context: Okay.\Sure, leave it to us.\So, who's gonna fish the guy?\We've got plenty of fishermen here.\It can't be just anyone.\The goddess fished up the dragon with her companion.\Her companion?\He won't answer his phone. response:	Damn it, what is he doing?
context: Sure, leave it to us.\So, who's gonna fish the guy?\We've got plenty of fishermen here.\It can't be just anyone.\The goddess fished up the dragon with her companion.\Her companion?\He won't answer his phone.\Damn it, what is he doing? response:	Yuki will come. He's a man of the sea.
context: So, who's gonna fish the guy?\We've got plenty of fishermen here.\It can't be just anyone.\The goddess fished up the dragon with her companion.\Her companion?\He won't answer his phone.\Damn it, what is he doing?\Yuki will come. He's a man of the sea. response:	I'll go set up the boat. Take care, everyone.
context: We've got plenty of fishermen here.\It can't be just anyone.\The goddess fished up the dragon with her companion.\Her companion?\He won't answer his phone.\Damn it, what is he doing?\Yuki will come. He's a man of the sea.\I'll go set up the boat. Take care, everyone. response:	I'll wait for Yuki here.
context: It can't be just anyone.\The goddess fished up the dragon with her companion.\Her companion?\He won't answer his phone.\Damn it, what is he doing?\Yuki will come. He's a man of the sea.\I'll go set up the boat. Take care, everyone.\I'll wait for Yuki here. response:	So, how are we getting into Enoshima?
context: The goddess fished up the dragon with her companion.\Her companion?\He won't answer his phone.\Damn it, what is he doing?\Yuki will come. He's a man of the sea.\I'll go set up the boat. Take care, everyone.\I'll wait for Yuki here.\So, how are we getting into Enoshima? response:	Duck's bound to be guarding the area.
context: Her companion?\He won't answer his phone.\Damn it, what is he doing?\Yuki will come. He's a man of the sea.\I'll go set up the boat. Take care, everyone.\I'll wait for Yuki here.\So, how are we getting into Enoshima?\Duck's bound to be guarding the area. response:	We will have to force our way in.
context: He won't answer his phone.\Damn it, what is he doing?\Yuki will come. He's a man of the sea.\I'll go set up the boat. Take care, everyone.\I'll wait for Yuki here.\So, how are we getting into Enoshima?\Duck's bound to be guarding the area.\We will have to force our way in. response:	Stop!
context: Damn it, what is he doing?\Yuki will come. He's a man of the sea.\I'll go set up the boat. Take care, everyone.\I'll wait for Yuki here.\So, how are we getting into Enoshima?\Duck's bound to be guarding the area.\We will have to force our way in.\Stop! response:	A car carrying Yamada just entered Enoshima.
context: Yuki will come. He's a man of the sea.\I'll go set up the boat. Take care, everyone.\I'll wait for Yuki here.\So, how are we getting into Enoshima?\Duck's bound to be guarding the area.\We will have to force our way in.\Stop!\A car carrying Yamada just entered Enoshima. response:	We did it, Tapioca.
context: I'll go set up the boat. Take care, everyone.\I'll wait for Yuki here.\So, how are we getting into Enoshima?\Duck's bound to be guarding the area.\We will have to force our way in.\Stop!\A car carrying Yamada just entered Enoshima.\We did it, Tapioca. response:	This is gonna be a big storm.
context: I'll wait for Yuki here.\So, how are we getting into Enoshima?\Duck's bound to be guarding the area.\We will have to force our way in.\Stop!\A car carrying Yamada just entered Enoshima.\We did it, Tapioca.\This is gonna be a big storm. response:	Yuki...
context: So, how are we getting into Enoshima?\Duck's bound to be guarding the area.\We will have to force our way in.\Stop!\A car carrying Yamada just entered Enoshima.\We did it, Tapioca.\This is gonna be a big storm.\Yuki... response:	I'm drying out.
context: Duck's bound to be guarding the area.\We will have to force our way in.\Stop!\A car carrying Yamada just entered Enoshima.\We did it, Tapioca.\This is gonna be a big storm.\Yuki...\I'm drying out. response:	I don't think I can last any longer.
context: We will have to force our way in.\Stop!\A car carrying Yamada just entered Enoshima.\We did it, Tapioca.\This is gonna be a big storm.\Yuki...\I'm drying out.\I don't think I can last any longer. response:	This is how everything should be.
context: Stop!\A car carrying Yamada just entered Enoshima.\We did it, Tapioca.\This is gonna be a big storm.\Yuki...\I'm drying out.\I don't think I can last any longer.\This is how everything should be. response:	I'm almost there.
context: A car carrying Yamada just entered Enoshima.\We did it, Tapioca.\This is gonna be a big storm.\Yuki...\I'm drying out.\I don't think I can last any longer.\This is how everything should be.\I'm almost there. response:	Wait for me, Haru!
context: We did it, Tapioca.\This is gonna be a big storm.\Yuki...\I'm drying out.\I don't think I can last any longer.\This is how everything should be.\I'm almost there.\Wait for me, Haru! response:	Natsuki.
context: This is gonna be a big storm.\Yuki...\I'm drying out.\I don't think I can last any longer.\This is how everything should be.\I'm almost there.\Wait for me, Haru!\Natsuki. response:	I've been waiting for you.
context: Yuki...\I'm drying out.\I don't think I can last any longer.\This is how everything should be.\I'm almost there.\Wait for me, Haru!\Natsuki.\I've been waiting for you. response:	What'll we do?
context: I'm drying out.\I don't think I can last any longer.\This is how everything should be.\I'm almost there.\Wait for me, Haru!\Natsuki.\I've been waiting for you.\What'll we do? response:	Leave it to me.
context: I don't think I can last any longer.\This is how everything should be.\I'm almost there.\Wait for me, Haru!\Natsuki.\I've been waiting for you.\What'll we do?\Leave it to me. response:	I might not look it, but I'm a 17 year veteran.
context: This is how everything should be.\I'm almost there.\Wait for me, Haru!\Natsuki.\I've been waiting for you.\What'll we do?\Leave it to me.\I might not look it, but I'm a 17 year veteran. response:	Otoko nara kosoyo, manatsu no umi ni...
context: I'm almost there.\Wait for me, Haru!\Natsuki.\I've been waiting for you.\What'll we do?\Leave it to me.\I might not look it, but I'm a 17 year veteran.\Otoko nara kosoyo, manatsu no umi ni... response:	If you're a man, the midsummer ocean...
context: Wait for me, Haru!\Natsuki.\I've been waiting for you.\What'll we do?\Leave it to me.\I might not look it, but I'm a 17 year veteran.\Otoko nara kosoyo, manatsu no umi ni...\If you're a man, the midsummer ocean... response:	Dry!
context: Natsuki.\I've been waiting for you.\What'll we do?\Leave it to me.\I might not look it, but I'm a 17 year veteran.\Otoko nara kosoyo, manatsu no umi ni...\If you're a man, the midsummer ocean...\Dry! response:	Hot, hot, hot!
context: I've been waiting for you.\What'll we do?\Leave it to me.\I might not look it, but I'm a 17 year veteran.\Otoko nara kosoyo, manatsu no umi ni...\If you're a man, the midsummer ocean...\Dry!\Hot, hot, hot! response:	Otoko nara kosoyo, manatsu no umi ni...
context: What'll we do?\Leave it to me.\I might not look it, but I'm a 17 year veteran.\Otoko nara kosoyo, manatsu no umi ni...\If you're a man, the midsummer ocean...\Dry!\Hot, hot, hot!\Otoko nara kosoyo, manatsu no umi ni... response:	This is a new symptom. Be careful!
context: Leave it to me.\I might not look it, but I'm a 17 year veteran.\Otoko nara kosoyo, manatsu no umi ni...\If you're a man, the midsummer ocean...\Dry!\Hot, hot, hot!\Otoko nara kosoyo, manatsu no umi ni...\This is a new symptom. Be careful! response:	Careful, it'll spread! Run!
context: I might not look it, but I'm a 17 year veteran.\Otoko nara kosoyo, manatsu no umi ni...\If you're a man, the midsummer ocean...\Dry!\Hot, hot, hot!\Otoko nara kosoyo, manatsu no umi ni...\This is a new symptom. Be careful!\Careful, it'll spread! Run! response:	I have to try, even if I'm sad.
context: Otoko nara kosoyo, manatsu no umi ni...\If you're a man, the midsummer ocean...\Dry!\Hot, hot, hot!\Otoko nara kosoyo, manatsu no umi ni...\This is a new symptom. Be careful!\Careful, it'll spread! Run!\I have to try, even if I'm sad. response:	I have to try.
context: If you're a man, the midsummer ocean...\Dry!\Hot, hot, hot!\Otoko nara kosoyo, manatsu no umi ni...\This is a new symptom. Be careful!\Careful, it'll spread! Run!\I have to try, even if I'm sad.\I have to try. response:	I have to go.
context: Dry!\Hot, hot, hot!\Otoko nara kosoyo, manatsu no umi ni...\This is a new symptom. Be careful!\Careful, it'll spread! Run!\I have to try, even if I'm sad.\I have to try.\I have to go. response:	But I...
context: Hot, hot, hot!\Otoko nara kosoyo, manatsu no umi ni...\This is a new symptom. Be careful!\Careful, it'll spread! Run!\I have to try, even if I'm sad.\I have to try.\I have to go.\But I... response:	I don't think I can.
context: Otoko nara kosoyo, manatsu no umi ni...\This is a new symptom. Be careful!\Careful, it'll spread! Run!\I have to try, even if I'm sad.\I have to try.\I have to go.\But I...\I don't think I can. response:	Haru.
context: This is a new symptom. Be careful!\Careful, it'll spread! Run!\I have to try, even if I'm sad.\I have to try.\I have to go.\But I...\I don't think I can.\Haru. response:	Why did you come back? I told you to leave!
context: Careful, it'll spread! Run!\I have to try, even if I'm sad.\I have to try.\I have to go.\But I...\I don't think I can.\Haru.\Why did you come back? I told you to leave! response:	Yuki, I hate...
context: I have to try, even if I'm sad.\I have to try.\I have to go.\But I...\I don't think I can.\Haru.\Why did you come back? I told you to leave!\Yuki, I hate... response:	Don't go running off like that.
context: I have to try.\I have to go.\But I...\I don't think I can.\Haru.\Why did you come back? I told you to leave!\Yuki, I hate...\Don't go running off like that. response:	You didn't say good bye. You promised!
context: I have to go.\But I...\I don't think I can.\Haru.\Why did you come back? I told you to leave!\Yuki, I hate...\Don't go running off like that.\You didn't say good bye. You promised! response:	You promised Grandma...
context: But I...\I don't think I can.\Haru.\Why did you come back? I told you to leave!\Yuki, I hate...\Don't go running off like that.\You didn't say good bye. You promised!\You promised Grandma... response:	But it's dangerous for you to stay here, Yuki.
context: I don't think I can.\Haru.\Why did you come back? I told you to leave!\Yuki, I hate...\Don't go running off like that.\You didn't say good bye. You promised!\You promised Grandma...\But it's dangerous for you to stay here, Yuki. response:	Is that why you helped everyone escape?
context: Haru.\Why did you come back? I told you to leave!\Yuki, I hate...\Don't go running off like that.\You didn't say good bye. You promised!\You promised Grandma...\But it's dangerous for you to stay here, Yuki.\Is that why you helped everyone escape? response:	Because I love everyone.
context: Why did you come back? I told you to leave!\Yuki, I hate...\Don't go running off like that.\You didn't say good bye. You promised!\You promised Grandma...\But it's dangerous for you to stay here, Yuki.\Is that why you helped everyone escape?\Because I love everyone. response:	Haru, tell me everything.
context: Yuki, I hate...\Don't go running off like that.\You didn't say good bye. You promised!\You promised Grandma...\But it's dangerous for you to stay here, Yuki.\Is that why you helped everyone escape?\Because I love everyone.\Haru, tell me everything. response:	Why did you come to Earth?
context: Don't go running off like that.\You didn't say good bye. You promised!\You promised Grandma...\But it's dangerous for you to stay here, Yuki.\Is that why you helped everyone escape?\Because I love everyone.\Haru, tell me everything.\Why did you come to Earth? response:	I came to Enoshima with
context: You didn't say good bye. You promised!\You promised Grandma...\But it's dangerous for you to stay here, Yuki.\Is that why you helped everyone escape?\Because I love everyone.\Haru, tell me everything.\Why did you come to Earth?\I came to Enoshima with response:	Koko to fish up one of our kind from the ocean.
context: You promised Grandma...\But it's dangerous for you to stay here, Yuki.\Is that why you helped everyone escape?\Because I love everyone.\Haru, tell me everything.\Why did you come to Earth?\I came to Enoshima with\Koko to fish up one of our kind from the ocean. response:	One of your kind?
context: But it's dangerous for you to stay here, Yuki.\Is that why you helped everyone escape?\Because I love everyone.\Haru, tell me everything.\Why did you come to Earth?\I came to Enoshima with\Koko to fish up one of our kind from the ocean.\One of your kind? response:	The baitball we saw from Akira's boat.
context: Is that why you helped everyone escape?\Because I love everyone.\Haru, tell me everything.\Why did you come to Earth?\I came to Enoshima with\Koko to fish up one of our kind from the ocean.\One of your kind?\The baitball we saw from Akira's boat. response:	One of our kind was underneath it.
context: Because I love everyone.\Haru, tell me everything.\Why did you come to Earth?\I came to Enoshima with\Koko to fish up one of our kind from the ocean.\One of your kind?\The baitball we saw from Akira's boat.\One of our kind was underneath it. response:	He's one of us,
context: Haru, tell me everything.\Why did you come to Earth?\I came to Enoshima with\Koko to fish up one of our kind from the ocean.\One of your kind?\The baitball we saw from Akira's boat.\One of our kind was underneath it.\He's one of us, response:	but he causes trouble for humans, so we came to fish him out.
context: Why did you come to Earth?\I came to Enoshima with\Koko to fish up one of our kind from the ocean.\One of your kind?\The baitball we saw from Akira's boat.\One of our kind was underneath it.\He's one of us,\but he causes trouble for humans, so we came to fish him out. response:	But we can't fish,
context: I came to Enoshima with\Koko to fish up one of our kind from the ocean.\One of your kind?\The baitball we saw from Akira's boat.\One of our kind was underneath it.\He's one of us,\but he causes trouble for humans, so we came to fish him out.\But we can't fish, response:	so we thought we could get a human to do it.
context: Koko to fish up one of our kind from the ocean.\One of your kind?\The baitball we saw from Akira's boat.\One of our kind was underneath it.\He's one of us,\but he causes trouble for humans, so we came to fish him out.\But we can't fish,\so we thought we could get a human to do it. response:	Is that why you chose me?
context: One of your kind?\The baitball we saw from Akira's boat.\One of our kind was underneath it.\He's one of us,\but he causes trouble for humans, so we came to fish him out.\But we can't fish,\so we thought we could get a human to do it.\Is that why you chose me? response:	Yeah.
context: The baitball we saw from Akira's boat.\One of our kind was underneath it.\He's one of us,\but he causes trouble for humans, so we came to fish him out.\But we can't fish,\so we thought we could get a human to do it.\Is that why you chose me?\Yeah. response:	That's what you meant by saving the world.
context: One of our kind was underneath it.\He's one of us,\but he causes trouble for humans, so we came to fish him out.\But we can't fish,\so we thought we could get a human to do it.\Is that why you chose me?\Yeah.\That's what you meant by saving the world. response:	But he's strong. He controlled me.
context: He's one of us,\but he causes trouble for humans, so we came to fish him out.\But we can't fish,\so we thought we could get a human to do it.\Is that why you chose me?\Yeah.\That's what you meant by saving the world.\But he's strong. He controlled me. response:	I didn't think we could catch him,
context: but he causes trouble for humans, so we came to fish him out.\But we can't fish,\so we thought we could get a human to do it.\Is that why you chose me?\Yeah.\That's what you meant by saving the world.\But he's strong. He controlled me.\I didn't think we could catch him, response:	so Koko and I decided to lure him far away.
context: But we can't fish,\so we thought we could get a human to do it.\Is that why you chose me?\Yeah.\That's what you meant by saving the world.\But he's strong. He controlled me.\I didn't think we could catch him,\so Koko and I decided to lure him far away. response:	Lure him away?
context: so we thought we could get a human to do it.\Is that why you chose me?\Yeah.\That's what you meant by saving the world.\But he's strong. He controlled me.\I didn't think we could catch him,\so Koko and I decided to lure him far away.\Lure him away? response:	What does that mean?
context: Is that why you chose me?\Yeah.\That's what you meant by saving the world.\But he's strong. He controlled me.\I didn't think we could catch him,\so Koko and I decided to lure him far away.\Lure him away?\What does that mean? response:	Koko and I are fish, so we baited him...
context: Yeah.\That's what you meant by saving the world.\But he's strong. He controlled me.\I didn't think we could catch him,\so Koko and I decided to lure him far away.\Lure him away?\What does that mean?\Koko and I are fish, so we baited him... response:	Hold on!
context: That's what you meant by saving the world.\But he's strong. He controlled me.\I didn't think we could catch him,\so Koko and I decided to lure him far away.\Lure him away?\What does that mean?\Koko and I are fish, so we baited him...\Hold on! response:	You're a fish?
context: But he's strong. He controlled me.\I didn't think we could catch him,\so Koko and I decided to lure him far away.\Lure him away?\What does that mean?\Koko and I are fish, so we baited him...\Hold on!\You're a fish? response:	He's a fish, too,
context: I didn't think we could catch him,\so Koko and I decided to lure him far away.\Lure him away?\What does that mean?\Koko and I are fish, so we baited him...\Hold on!\You're a fish?\He's a fish, too, response:	so if we went in the sea and lured him far away,
context: so Koko and I decided to lure him far away.\Lure him away?\What does that mean?\Koko and I are fish, so we baited him...\Hold on!\You're a fish?\He's a fish, too,\so if we went in the sea and lured him far away, response:	I thought we could save everyone from harm...
context: Lure him away?\What does that mean?\Koko and I are fish, so we baited him...\Hold on!\You're a fish?\He's a fish, too,\so if we went in the sea and lured him far away,\I thought we could save everyone from harm... response:	But I couldn't protect Koko.
