context: Chise! response:	Chise! Chise!
context: but it was always a human who accepted me.\You don't need to keep your head down.\Stand tall, and look forward.\I want her to continue living as a human.\Not bad.\The will of a living being can sometimes be the most powerful thing of all.\The desire to live can bring you back from the brink of death.\That's especially clear on this side. response:	However, even when you'd lost a fatal amount of blood, you showed no such spirit.
context: You don't need to keep your head down.\Stand tall, and look forward.\I want her to continue living as a human.\Not bad.\The will of a living being can sometimes be the most powerful thing of all.\The desire to live can bring you back from the brink of death.\That's especially clear on this side.\However, even when you'd lost a fatal amount of blood, you showed no such spirit. response:	That's why your wounds wouldn't heal.
context: Stand tall, and look forward.\I want her to continue living as a human.\Not bad.\The will of a living being can sometimes be the most powerful thing of all.\The desire to live can bring you back from the brink of death.\That's especially clear on this side.\However, even when you'd lost a fatal amount of blood, you showed no such spirit.\That's why your wounds wouldn't heal. response:	But you just fought back.
context: I want her to continue living as a human.\Not bad.\The will of a living being can sometimes be the most powerful thing of all.\The desire to live can bring you back from the brink of death.\That's especially clear on this side.\However, even when you'd lost a fatal amount of blood, you showed no such spirit.\That's why your wounds wouldn't heal.\But you just fought back. response:	As a doctor, no matter how much you don't want to live, I will keep you alive.
context: Not bad.\The will of a living being can sometimes be the most powerful thing of all.\The desire to live can bring you back from the brink of death.\That's especially clear on this side.\However, even when you'd lost a fatal amount of blood, you showed no such spirit.\That's why your wounds wouldn't heal.\But you just fought back.\As a doctor, no matter how much you don't want to live, I will keep you alive. response:	Because I want you to live.
context: The will of a living being can sometimes be the most powerful thing of all.\The desire to live can bring you back from the brink of death.\That's especially clear on this side.\However, even when you'd lost a fatal amount of blood, you showed no such spirit.\That's why your wounds wouldn't heal.\But you just fought back.\As a doctor, no matter how much you don't want to live, I will keep you alive.\Because I want you to live. response:	Your wounds have healed.
context: The desire to live can bring you back from the brink of death.\That's especially clear on this side.\However, even when you'd lost a fatal amount of blood, you showed no such spirit.\That's why your wounds wouldn't heal.\But you just fought back.\As a doctor, no matter how much you don't want to live, I will keep you alive.\Because I want you to live.\Your wounds have healed. response:	Shannon!
context: That's especially clear on this side.\However, even when you'd lost a fatal amount of blood, you showed no such spirit.\That's why your wounds wouldn't heal.\But you just fought back.\As a doctor, no matter how much you don't want to live, I will keep you alive.\Because I want you to live.\Your wounds have healed.\Shannon! response:	Chise.
context: However, even when you'd lost a fatal amount of blood, you showed no such spirit.\That's why your wounds wouldn't heal.\But you just fought back.\As a doctor, no matter how much you don't want to live, I will keep you alive.\Because I want you to live.\Your wounds have healed.\Shannon!\Chise. response:	Elias.
context: That's why your wounds wouldn't heal.\But you just fought back.\As a doctor, no matter how much you don't want to live, I will keep you alive.\Because I want you to live.\Your wounds have healed.\Shannon!\Chise.\Elias. response:	Shann
context: But you just fought back.\As a doctor, no matter how much you don't want to live, I will keep you alive.\Because I want you to live.\Your wounds have healed.\Shannon!\Chise.\Elias.\Shann response:	Silky, we're going to be away for a while.
context: As a doctor, no matter how much you don't want to live, I will keep you alive.\Because I want you to live.\Your wounds have healed.\Shannon!\Chise.\Elias.\Shann\Silky, we're going to be away for a while. response:	Watch the house.
context: Because I want you to live.\Your wounds have healed.\Shannon!\Chise.\Elias.\Shann\Silky, we're going to be away for a while.\Watch the house. response:	Silky.
context: Your wounds have healed.\Shannon!\Chise.\Elias.\Shann\Silky, we're going to be away for a while.\Watch the house.\Silky. response:	We're home.
context: Shannon!\Chise.\Elias.\Shann\Silky, we're going to be away for a while.\Watch the house.\Silky.\We're home. response:	Look, it's a banshee.
context: Chise.\Elias.\Shann\Silky, we're going to be away for a while.\Watch the house.\Silky.\We're home.\Look, it's a banshee. response:	Leave her be.
context: Elias.\Shann\Silky, we're going to be away for a while.\Watch the house.\Silky.\We're home.\Look, it's a banshee.\Leave her be. response:	You don't need to be mean.
context: Shann\Silky, we're going to be away for a while.\Watch the house.\Silky.\We're home.\Look, it's a banshee.\Leave her be.\You don't need to be mean. response:	It's got to be upsetting for the family she's possessed to have passed.
context: Silky, we're going to be away for a while.\Watch the house.\Silky.\We're home.\Look, it's a banshee.\Leave her be.\You don't need to be mean.\It's got to be upsetting for the family she's possessed to have passed. response:	Hey, dear, you should go somewhere else.
context: Watch the house.\Silky.\We're home.\Look, it's a banshee.\Leave her be.\You don't need to be mean.\It's got to be upsetting for the family she's possessed to have passed.\Hey, dear, you should go somewhere else. response:	Your family's not here to hear your voice anymore.
context: Silky.\We're home.\Look, it's a banshee.\Leave her be.\You don't need to be mean.\It's got to be upsetting for the family she's possessed to have passed.\Hey, dear, you should go somewhere else.\Your family's not here to hear your voice anymore. response:	Hey, hey, I heard there are some hot guys in that town over there.
context: We're home.\Look, it's a banshee.\Leave her be.\You don't need to be mean.\It's got to be upsetting for the family she's possessed to have passed.\Hey, dear, you should go somewhere else.\Your family's not here to hear your voice anymore.\Hey, hey, I heard there are some hot guys in that town over there. response:	What, really? Let's go!
context: Look, it's a banshee.\Leave her be.\You don't need to be mean.\It's got to be upsetting for the family she's possessed to have passed.\Hey, dear, you should go somewhere else.\Your family's not here to hear your voice anymore.\Hey, hey, I heard there are some hot guys in that town over there.\What, really? Let's go! response:	What is a banshee doing out here?
context: Leave her be.\You don't need to be mean.\It's got to be upsetting for the family she's possessed to have passed.\Hey, dear, you should go somewhere else.\Your family's not here to hear your voice anymore.\Hey, hey, I heard there are some hot guys in that town over there.\What, really? Let's go!\What is a banshee doing out here? response:	Where's your home?
context: You don't need to be mean.\It's got to be upsetting for the family she's possessed to have passed.\Hey, dear, you should go somewhere else.\Your family's not here to hear your voice anymore.\Hey, hey, I heard there are some hot guys in that town over there.\What, really? Let's go!\What is a banshee doing out here?\Where's your home? response:	H-Hey!
context: It's got to be upsetting for the family she's possessed to have passed.\Hey, dear, you should go somewhere else.\Your family's not here to hear your voice anymore.\Hey, hey, I heard there are some hot guys in that town over there.\What, really? Let's go!\What is a banshee doing out here?\Where's your home?\H-Hey! response:	I want...
context: Hey, dear, you should go somewhere else.\Your family's not here to hear your voice anymore.\Hey, hey, I heard there are some hot guys in that town over there.\What, really? Let's go!\What is a banshee doing out here?\Where's your home?\H-Hey!\I want... response:	more...
context: Your family's not here to hear your voice anymore.\Hey, hey, I heard there are some hot guys in that town over there.\What, really? Let's go!\What is a banshee doing out here?\Where's your home?\H-Hey!\I want...\more... response:	time...
context: Hey, hey, I heard there are some hot guys in that town over there.\What, really? Let's go!\What is a banshee doing out here?\Where's your home?\H-Hey!\I want...\more...\time... response:	with them.
context: What, really? Let's go!\What is a banshee doing out here?\Where's your home?\H-Hey!\I want...\more...\time...\with them. response:	Get on.
context: What is a banshee doing out here?\Where's your home?\H-Hey!\I want...\more...\time...\with them.\Get on. response:	What about that home?
context: Where's your home?\H-Hey!\I want...\more...\time...\with them.\Get on.\What about that home? response:	They're a pious family that observes old traditions well.
context: H-Hey!\I want...\more...\time...\with them.\Get on.\What about that home?\They're a pious family that observes old traditions well. response:	They should be good.
context: I want...\more...\time...\with them.\Get on.\What about that home?\They're a pious family that observes old traditions well.\They should be good. response:	Blood inevitably ceases to flow.
context: more...\time...\with them.\Get on.\What about that home?\They're a pious family that observes old traditions well.\They should be good.\Blood inevitably ceases to flow. response:	But a home, even if a house is to crumble, is not lost, as long as people live.
context: time...\with them.\Get on.\What about that home?\They're a pious family that observes old traditions well.\They should be good.\Blood inevitably ceases to flow.\But a home, even if a house is to crumble, is not lost, as long as people live. response:	As long as just one person lives, there you will find light.
context: with them.\Get on.\What about that home?\They're a pious family that observes old traditions well.\They should be good.\Blood inevitably ceases to flow.\But a home, even if a house is to crumble, is not lost, as long as people live.\As long as just one person lives, there you will find light. response:	If there is no light to shine on you, it's your turn to protect the light.
context: Get on.\What about that home?\They're a pious family that observes old traditions well.\They should be good.\Blood inevitably ceases to flow.\But a home, even if a house is to crumble, is not lost, as long as people live.\As long as just one person lives, there you will find light.\If there is no light to shine on you, it's your turn to protect the light. response:	You have the appearance of a silver flower.
context: What about that home?\They're a pious family that observes old traditions well.\They should be good.\Blood inevitably ceases to flow.\But a home, even if a house is to crumble, is not lost, as long as people live.\As long as just one person lives, there you will find light.\If there is no light to shine on you, it's your turn to protect the light.\You have the appearance of a silver flower. response:	It's much better than seeing you vanish like foam.
context: They're a pious family that observes old traditions well.\They should be good.\Blood inevitably ceases to flow.\But a home, even if a house is to crumble, is not lost, as long as people live.\As long as just one person lives, there you will find light.\If there is no light to shine on you, it's your turn to protect the light.\You have the appearance of a silver flower.\It's much better than seeing you vanish like foam. response:	You don't need to thank me.
context: They should be good.\Blood inevitably ceases to flow.\But a home, even if a house is to crumble, is not lost, as long as people live.\As long as just one person lives, there you will find light.\If there is no light to shine on you, it's your turn to protect the light.\You have the appearance of a silver flower.\It's much better than seeing you vanish like foam.\You don't need to thank me. response:	It's our duty as protectors to aid the weak.
context: Blood inevitably ceases to flow.\But a home, even if a house is to crumble, is not lost, as long as people live.\As long as just one person lives, there you will find light.\If there is no light to shine on you, it's your turn to protect the light.\You have the appearance of a silver flower.\It's much better than seeing you vanish like foam.\You don't need to thank me.\It's our duty as protectors to aid the weak. response:	Farewell, Banshee...
context: But a home, even if a house is to crumble, is not lost, as long as people live.\As long as just one person lives, there you will find light.\If there is no light to shine on you, it's your turn to protect the light.\You have the appearance of a silver flower.\It's much better than seeing you vanish like foam.\You don't need to thank me.\It's our duty as protectors to aid the weak.\Farewell, Banshee... response:	Or should I say...
context: As long as just one person lives, there you will find light.\If there is no light to shine on you, it's your turn to protect the light.\You have the appearance of a silver flower.\It's much better than seeing you vanish like foam.\You don't need to thank me.\It's our duty as protectors to aid the weak.\Farewell, Banshee...\Or should I say... response:	Silky.
context: If there is no light to shine on you, it's your turn to protect the light.\You have the appearance of a silver flower.\It's much better than seeing you vanish like foam.\You don't need to thank me.\It's our duty as protectors to aid the weak.\Farewell, Banshee...\Or should I say...\Silky. response:	Elias, um, I can walk now.
context: You have the appearance of a silver flower.\It's much better than seeing you vanish like foam.\You don't need to thank me.\It's our duty as protectors to aid the weak.\Farewell, Banshee...\Or should I say...\Silky.\Elias, um, I can walk now. response:	No.
context: It's much better than seeing you vanish like foam.\You don't need to thank me.\It's our duty as protectors to aid the weak.\Farewell, Banshee...\Or should I say...\Silky.\Elias, um, I can walk now.\No. response:	I'm sorry this happened.
context: You don't need to thank me.\It's our duty as protectors to aid the weak.\Farewell, Banshee...\Or should I say...\Silky.\Elias, um, I can walk now.\No.\I'm sorry this happened. response:	Yeah, I was shocked.
context: It's our duty as protectors to aid the weak.\Farewell, Banshee...\Or should I say...\Silky.\Elias, um, I can walk now.\No.\I'm sorry this happened.\Yeah, I was shocked. response:	Even I could tell I was shocked.
context: Farewell, Banshee...\Or should I say...\Silky.\Elias, um, I can walk now.\No.\I'm sorry this happened.\Yeah, I was shocked.\Even I could tell I was shocked. response:	But, as long as you're still alive, I'm content with that.
context: Or should I say...\Silky.\Elias, um, I can walk now.\No.\I'm sorry this happened.\Yeah, I was shocked.\Even I could tell I was shocked.\But, as long as you're still alive, I'm content with that. response:	We're about to leave.
context: Silky.\Elias, um, I can walk now.\No.\I'm sorry this happened.\Yeah, I was shocked.\Even I could tell I was shocked.\But, as long as you're still alive, I'm content with that.\We're about to leave. response:	Haven't I told you?
context: Elias, um, I can walk now.\No.\I'm sorry this happened.\Yeah, I was shocked.\Even I could tell I was shocked.\But, as long as you're still alive, I'm content with that.\We're about to leave.\Haven't I told you? response:	Time passes differently on either side.
context: No.\I'm sorry this happened.\Yeah, I was shocked.\Even I could tell I was shocked.\But, as long as you're still alive, I'm content with that.\We're about to leave.\Haven't I told you?\Time passes differently on either side. response:	So it shifts.
context: I'm sorry this happened.\Yeah, I was shocked.\Even I could tell I was shocked.\But, as long as you're still alive, I'm content with that.\We're about to leave.\Haven't I told you?\Time passes differently on either side.\So it shifts. response:	S-So cold.
context: Yeah, I was shocked.\Even I could tell I was shocked.\But, as long as you're still alive, I'm content with that.\We're about to leave.\Haven't I told you?\Time passes differently on either side.\So it shifts.\S-So cold. response:	My feet...
context: Even I could tell I was shocked.\But, as long as you're still alive, I'm content with that.\We're about to leave.\Haven't I told you?\Time passes differently on either side.\So it shifts.\S-So cold.\My feet... response:	Hang on, I'm going to light the furnace.
context: But, as long as you're still alive, I'm content with that.\We're about to leave.\Haven't I told you?\Time passes differently on either side.\So it shifts.\S-So cold.\My feet...\Hang on, I'm going to light the furnace. response:	Okay.
context: We're about to leave.\Haven't I told you?\Time passes differently on either side.\So it shifts.\S-So cold.\My feet...\Hang on, I'm going to light the furnace.\Okay. response:	Huh?
context: Haven't I told you?\Time passes differently on either side.\So it shifts.\S-So cold.\My feet...\Hang on, I'm going to light the furnace.\Okay.\Huh? response:	Things seem kind of different inside.
context: Time passes differently on either side.\So it shifts.\S-So cold.\My feet...\Hang on, I'm going to light the furnace.\Okay.\Huh?\Things seem kind of different inside. response:	Silky.
context: So it shifts.\S-So cold.\My feet...\Hang on, I'm going to light the furnace.\Okay.\Huh?\Things seem kind of different inside.\Silky. response:	Sorry we're
context: S-So cold.\My feet...\Hang on, I'm going to light the furnace.\Okay.\Huh?\Things seem kind of different inside.\Silky.\Sorry we're response:	Whoa, there.
context: My feet...\Hang on, I'm going to light the furnace.\Okay.\Huh?\Things seem kind of different inside.\Silky.\Sorry we're\Whoa, there. response:	Sorry we were gone for so long.
context: Hang on, I'm going to light the furnace.\Okay.\Huh?\Things seem kind of different inside.\Silky.\Sorry we're\Whoa, there.\Sorry we were gone for so long. response:	I can't believe it's winter already, either.
context: Okay.\Huh?\Things seem kind of different inside.\Silky.\Sorry we're\Whoa, there.\Sorry we were gone for so long.\I can't believe it's winter already, either. response:	I'm home.
context: Huh?\Things seem kind of different inside.\Silky.\Sorry we're\Whoa, there.\Sorry we were gone for so long.\I can't believe it's winter already, either.\I'm home. response:	I'm about to spend my first Christmas with the mage.
context: Things seem kind of different inside.\Silky.\Sorry we're\Whoa, there.\Sorry we were gone for so long.\I can't believe it's winter already, either.\I'm home.\I'm about to spend my first Christmas with the mage. response:	What does the girl find in the town of London in the end-of-the-year rush?
context: Silky.\Sorry we're\Whoa, there.\Sorry we were gone for so long.\I can't believe it's winter already, either.\I'm home.\I'm about to spend my first Christmas with the mage.\What does the girl find in the town of London in the end-of-the-year rush? response:	Let's go look for a present together, then.
