context: This world is filled with dungeons. response:	It is said that some of them even have perilous labyrinths that thwart adventurers.
context: Activate the switch in the wall, and you will find the Infinite Labyrin\My head's killing me!\Should we kiss again?\Yes, please!\My headache's fading...\Does... your head still hurt?\Yeah.\I've got all the right gear. response:	I even borrowed a sword from Father.
context: My head's killing me!\Should we kiss again?\Yes, please!\My headache's fading...\Does... your head still hurt?\Yeah.\I've got all the right gear.\I even borrowed a sword from Father. response:	Is this where the switch is?
context: Should we kiss again?\Yes, please!\My headache's fading...\Does... your head still hurt?\Yeah.\I've got all the right gear.\I even borrowed a sword from Father.\Is this where the switch is? response:	You will need a spell to open the door.
context: Yes, please!\My headache's fading...\Does... your head still hurt?\Yeah.\I've got all the right gear.\I even borrowed a sword from Father.\Is this where the switch is?\You will need a spell to open the door. response:	And that spell is...
context: My headache's fading...\Does... your head still hurt?\Yeah.\I've got all the right gear.\I even borrowed a sword from Father.\Is this where the switch is?\You will need a spell to open the door.\And that spell is... response:	Hidden dungeon only I can enter!
context: Does... your head still hurt?\Yeah.\I've got all the right gear.\I even borrowed a sword from Father.\Is this where the switch is?\You will need a spell to open the door.\And that spell is...\Hidden dungeon only I can enter! response:	Let me train in secret to become the strongest in the world!
context: Yeah.\I've got all the right gear.\I even borrowed a sword from Father.\Is this where the switch is?\You will need a spell to open the door.\And that spell is...\Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world! response:	This way.
context: I've got all the right gear.\I even borrowed a sword from Father.\Is this where the switch is?\You will need a spell to open the door.\And that spell is...\Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world!\This way. response:	U-Um... You are alive, right?
context: I even borrowed a sword from Father.\Is this where the switch is?\You will need a spell to open the door.\And that spell is...\Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world!\This way.\U-Um... You are alive, right? response:	Touch my head.
context: Is this where the switch is?\You will need a spell to open the door.\And that spell is...\Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world!\This way.\U-Um... You are alive, right?\Touch my head. response:	I am Olivia Servant!
context: You will need a spell to open the door.\And that spell is...\Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world!\This way.\U-Um... You are alive, right?\Touch my head.\I am Olivia Servant! response:	I am Olivia Servant a totally super-awesome adventurer
context: And that spell is...\Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world!\This way.\U-Um... You are alive, right?\Touch my head.\I am Olivia Servant!\I am Olivia Servant a totally super-awesome adventurer response:	A totally super-awesome adventurer!
context: Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world!\This way.\U-Um... You are alive, right?\Touch my head.\I am Olivia Servant!\I am Olivia Servant a totally super-awesome adventurer\A totally super-awesome adventurer! response:	You see, I happened to stumble upon this hidden dungeon on one of my walks.
context: Let me train in secret to become the strongest in the world!\This way.\U-Um... You are alive, right?\Touch my head.\I am Olivia Servant!\I am Olivia Servant a totally super-awesome adventurer\A totally super-awesome adventurer!\You see, I happened to stumble upon this hidden dungeon on one of my walks. response:	I figured out how to get in all by myself.
context: This way.\U-Um... You are alive, right?\Touch my head.\I am Olivia Servant!\I am Olivia Servant a totally super-awesome adventurer\A totally super-awesome adventurer!\You see, I happened to stumble upon this hidden dungeon on one of my walks.\I figured out how to get in all by myself. response:	I ran into a monster on the second floor and decimated it in two seconds.
context: U-Um... You are alive, right?\Touch my head.\I am Olivia Servant!\I am Olivia Servant a totally super-awesome adventurer\A totally super-awesome adventurer!\You see, I happened to stumble upon this hidden dungeon on one of my walks.\I figured out how to get in all by myself.\I ran into a monster on the second floor and decimated it in two seconds. response:	Things were going peachy,
context: Touch my head.\I am Olivia Servant!\I am Olivia Servant a totally super-awesome adventurer\A totally super-awesome adventurer!\You see, I happened to stumble upon this hidden dungeon on one of my walks.\I figured out how to get in all by myself.\I ran into a monster on the second floor and decimated it in two seconds.\Things were going peachy, response:	but then a trap activated.
context: I am Olivia Servant!\I am Olivia Servant a totally super-awesome adventurer\A totally super-awesome adventurer!\You see, I happened to stumble upon this hidden dungeon on one of my walks.\I figured out how to get in all by myself.\I ran into a monster on the second floor and decimated it in two seconds.\Things were going peachy,\but then a trap activated. response:	I've been tied up in here for 200 years since then.
context: I am Olivia Servant a totally super-awesome adventurer\A totally super-awesome adventurer!\You see, I happened to stumble upon this hidden dungeon on one of my walks.\I figured out how to get in all by myself.\I ran into a monster on the second floor and decimated it in two seconds.\Things were going peachy,\but then a trap activated.\I've been tied up in here for 200 years since then. response:	For 200 years?! I'll undo your restraints right
context: A totally super-awesome adventurer!\You see, I happened to stumble upon this hidden dungeon on one of my walks.\I figured out how to get in all by myself.\I ran into a monster on the second floor and decimated it in two seconds.\Things were going peachy,\but then a trap activated.\I've been tied up in here for 200 years since then.\For 200 years?! I'll undo your restraints right response:	Nope, hold it. These are special chains called Death Chains.
context: You see, I happened to stumble upon this hidden dungeon on one of my walks.\I figured out how to get in all by myself.\I ran into a monster on the second floor and decimated it in two seconds.\Things were going peachy,\but then a trap activated.\I've been tied up in here for 200 years since then.\For 200 years?! I'll undo your restraints right\Nope, hold it. These are special chains called Death Chains. response:	Cut them and say bye-bye to Olivia.
context: I figured out how to get in all by myself.\I ran into a monster on the second floor and decimated it in two seconds.\Things were going peachy,\but then a trap activated.\I've been tied up in here for 200 years since then.\For 200 years?! I'll undo your restraints right\Nope, hold it. These are special chains called Death Chains.\Cut them and say bye-bye to Olivia. response:	Huh? Then why did you call me here?
context: I ran into a monster on the second floor and decimated it in two seconds.\Things were going peachy,\but then a trap activated.\I've been tied up in here for 200 years since then.\For 200 years?! I'll undo your restraints right\Nope, hold it. These are special chains called Death Chains.\Cut them and say bye-bye to Olivia.\Huh? Then why did you call me here? response:	I've been looking for someone to talk to.
context: Things were going peachy,\but then a trap activated.\I've been tied up in here for 200 years since then.\For 200 years?! I'll undo your restraints right\Nope, hold it. These are special chains called Death Chains.\Cut them and say bye-bye to Olivia.\Huh? Then why did you call me here?\I've been looking for someone to talk to. response:	I figured no one would ever hear me, but you actually showed up!
context: but then a trap activated.\I've been tied up in here for 200 years since then.\For 200 years?! I'll undo your restraints right\Nope, hold it. These are special chains called Death Chains.\Cut them and say bye-bye to Olivia.\Huh? Then why did you call me here?\I've been looking for someone to talk to.\I figured no one would ever hear me, but you actually showed up! response:	You have no idea how long I've been waiting for this moment!
context: I've been tied up in here for 200 years since then.\For 200 years?! I'll undo your restraints right\Nope, hold it. These are special chains called Death Chains.\Cut them and say bye-bye to Olivia.\Huh? Then why did you call me here?\I've been looking for someone to talk to.\I figured no one would ever hear me, but you actually showed up!\You have no idea how long I've been waiting for this moment! response:	Anyway, you must have real potential, considering you found this dungeon.
context: For 200 years?! I'll undo your restraints right\Nope, hold it. These are special chains called Death Chains.\Cut them and say bye-bye to Olivia.\Huh? Then why did you call me here?\I've been looking for someone to talk to.\I figured no one would ever hear me, but you actually showed up!\You have no idea how long I've been waiting for this moment!\Anyway, you must have real potential, considering you found this dungeon. response:	What's your name?
context: Nope, hold it. These are special chains called Death Chains.\Cut them and say bye-bye to Olivia.\Huh? Then why did you call me here?\I've been looking for someone to talk to.\I figured no one would ever hear me, but you actually showed up!\You have no idea how long I've been waiting for this moment!\Anyway, you must have real potential, considering you found this dungeon.\What's your name? response:	It's Noir Stardia.
context: Cut them and say bye-bye to Olivia.\Huh? Then why did you call me here?\I've been looking for someone to talk to.\I figured no one would ever hear me, but you actually showed up!\You have no idea how long I've been waiting for this moment!\Anyway, you must have real potential, considering you found this dungeon.\What's your name?\It's Noir Stardia. response:	Noir, eh?
context: Huh? Then why did you call me here?\I've been looking for someone to talk to.\I figured no one would ever hear me, but you actually showed up!\You have no idea how long I've been waiting for this moment!\Anyway, you must have real potential, considering you found this dungeon.\What's your name?\It's Noir Stardia.\Noir, eh? response:	So what brought you here, anyway?
context: I've been looking for someone to talk to.\I figured no one would ever hear me, but you actually showed up!\You have no idea how long I've been waiting for this moment!\Anyway, you must have real potential, considering you found this dungeon.\What's your name?\It's Noir Stardia.\Noir, eh?\So what brought you here, anyway? response:	Well...
context: I figured no one would ever hear me, but you actually showed up!\You have no idea how long I've been waiting for this moment!\Anyway, you must have real potential, considering you found this dungeon.\What's your name?\It's Noir Stardia.\Noir, eh?\So what brought you here, anyway?\Well... response:	Right. I got you.
context: You have no idea how long I've been waiting for this moment!\Anyway, you must have real potential, considering you found this dungeon.\What's your name?\It's Noir Stardia.\Noir, eh?\So what brought you here, anyway?\Well...\Right. I got you. response:	But I'm sure the Great Sage also said this!
context: Anyway, you must have real potential, considering you found this dungeon.\What's your name?\It's Noir Stardia.\Noir, eh?\So what brought you here, anyway?\Well...\Right. I got you.\But I'm sure the Great Sage also said this! response:	The super-hot babe Olivia is sealed away in B2!
context: What's your name?\It's Noir Stardia.\Noir, eh?\So what brought you here, anyway?\Well...\Right. I got you.\But I'm sure the Great Sage also said this!\The super-hot babe Olivia is sealed away in B2! response:	Nope. He didn't say a word about you.
context: It's Noir Stardia.\Noir, eh?\So what brought you here, anyway?\Well...\Right. I got you.\But I'm sure the Great Sage also said this!\The super-hot babe Olivia is sealed away in B2!\Nope. He didn't say a word about you. response:	Well, whatever. So you wanna get stronger, right?
context: Noir, eh?\So what brought you here, anyway?\Well...\Right. I got you.\But I'm sure the Great Sage also said this!\The super-hot babe Olivia is sealed away in B2!\Nope. He didn't say a word about you.\Well, whatever. So you wanna get stronger, right? response:	Then you can have my skills.
context: So what brought you here, anyway?\Well...\Right. I got you.\But I'm sure the Great Sage also said this!\The super-hot babe Olivia is sealed away in B2!\Nope. He didn't say a word about you.\Well, whatever. So you wanna get stronger, right?\Then you can have my skills. response:	Huh?
context: Well...\Right. I got you.\But I'm sure the Great Sage also said this!\The super-hot babe Olivia is sealed away in B2!\Nope. He didn't say a word about you.\Well, whatever. So you wanna get stronger, right?\Then you can have my skills.\Huh? response:	Well, I'm not going anywhere anytime soon...
context: Right. I got you.\But I'm sure the Great Sage also said this!\The super-hot babe Olivia is sealed away in B2!\Nope. He didn't say a word about you.\Well, whatever. So you wanna get stronger, right?\Then you can have my skills.\Huh?\Well, I'm not going anywhere anytime soon... response:	So just tap your forehead against mine.
context: But I'm sure the Great Sage also said this!\The super-hot babe Olivia is sealed away in B2!\Nope. He didn't say a word about you.\Well, whatever. So you wanna get stronger, right?\Then you can have my skills.\Huh?\Well, I'm not going anywhere anytime soon...\So just tap your forehead against mine. response:	L-Like this?
context: The super-hot babe Olivia is sealed away in B2!\Nope. He didn't say a word about you.\Well, whatever. So you wanna get stronger, right?\Then you can have my skills.\Huh?\Well, I'm not going anywhere anytime soon...\So just tap your forehead against mine.\L-Like this? response:	Dun dun da-dun!
context: Nope. He didn't say a word about you.\Well, whatever. So you wanna get stronger, right?\Then you can have my skills.\Huh?\Well, I'm not going anywhere anytime soon...\So just tap your forehead against mine.\L-Like this?\Dun dun da-dun! response:	You've quite literally got skills, Noir. Mine, that is.
context: Well, whatever. So you wanna get stronger, right?\Then you can have my skills.\Huh?\Well, I'm not going anywhere anytime soon...\So just tap your forehead against mine.\L-Like this?\Dun dun da-dun!\You've quite literally got skills, Noir. Mine, that is. response:	Now I can die without any regrets.
context: Then you can have my skills.\Huh?\Well, I'm not going anywhere anytime soon...\So just tap your forehead against mine.\L-Like this?\Dun dun da-dun!\You've quite literally got skills, Noir. Mine, that is.\Now I can die without any regrets. response:	Wait! You can't just die now!
context: Huh?\Well, I'm not going anywhere anytime soon...\So just tap your forehead against mine.\L-Like this?\Dun dun da-dun!\You've quite literally got skills, Noir. Mine, that is.\Now I can die without any regrets.\Wait! You can't just die now! response:	Pfft. Like I'd actually die.
context: Well, I'm not going anywhere anytime soon...\So just tap your forehead against mine.\L-Like this?\Dun dun da-dun!\You've quite literally got skills, Noir. Mine, that is.\Now I can die without any regrets.\Wait! You can't just die now!\Pfft. Like I'd actually die. response:	You can address me as Master from now on.
context: So just tap your forehead against mine.\L-Like this?\Dun dun da-dun!\You've quite literally got skills, Noir. Mine, that is.\Now I can die without any regrets.\Wait! You can't just die now!\Pfft. Like I'd actually die.\You can address me as Master from now on. response:	Now, I'll give you a simple rundown of my skills.
context: L-Like this?\Dun dun da-dun!\You've quite literally got skills, Noir. Mine, that is.\Now I can die without any regrets.\Wait! You can't just die now!\Pfft. Like I'd actually die.\You can address me as Master from now on.\Now, I'll give you a simple rundown of my skills. response:	The Get Creative skill.
context: Dun dun da-dun!\You've quite literally got skills, Noir. Mine, that is.\Now I can die without any regrets.\Wait! You can't just die now!\Pfft. Like I'd actually die.\You can address me as Master from now on.\Now, I'll give you a simple rundown of my skills.\The Get Creative skill. response:	You can create pretty much any skill your mind can think of.
context: You've quite literally got skills, Noir. Mine, that is.\Now I can die without any regrets.\Wait! You can't just die now!\Pfft. Like I'd actually die.\You can address me as Master from now on.\Now, I'll give you a simple rundown of my skills.\The Get Creative skill.\You can create pretty much any skill your mind can think of. response:	The Bestow skill.
context: Now I can die without any regrets.\Wait! You can't just die now!\Pfft. Like I'd actually die.\You can address me as Master from now on.\Now, I'll give you a simple rundown of my skills.\The Get Creative skill.\You can create pretty much any skill your mind can think of.\The Bestow skill. response:	You can give the skills you've created to other people or objects.
context: Wait! You can't just die now!\Pfft. Like I'd actually die.\You can address me as Master from now on.\Now, I'll give you a simple rundown of my skills.\The Get Creative skill.\You can create pretty much any skill your mind can think of.\The Bestow skill.\You can give the skills you've created to other people or objects. response:	Noir
context: Pfft. Like I'd actually die.\You can address me as Master from now on.\Now, I'll give you a simple rundown of my skills.\The Get Creative skill.\You can create pretty much any skill your mind can think of.\The Bestow skill.\You can give the skills you've created to other people or objects.\Noir response:	Wings
context: You can address me as Master from now on.\Now, I'll give you a simple rundown of my skills.\The Get Creative skill.\You can create pretty much any skill your mind can think of.\The Bestow skill.\You can give the skills you've created to other people or objects.\Noir\Wings response:	The Editor skill.
context: Now, I'll give you a simple rundown of my skills.\The Get Creative skill.\You can create pretty much any skill your mind can think of.\The Bestow skill.\You can give the skills you've created to other people or objects.\Noir\Wings\The Editor skill. response:	Noir
context: The Get Creative skill.\You can create pretty much any skill your mind can think of.\The Bestow skill.\You can give the skills you've created to other people or objects.\Noir\Wings\The Editor skill.\Noir response:	Wings
context: You can create pretty much any skill your mind can think of.\The Bestow skill.\You can give the skills you've created to other people or objects.\Noir\Wings\The Editor skill.\Noir\Wings response:	You can edit the skills you've given to yourself or others.
context: The Bestow skill.\You can give the skills you've created to other people or objects.\Noir\Wings\The Editor skill.\Noir\Wings\You can edit the skills you've given to yourself or others. response:	So... Get Creative, Bestow, and Editor.
context: You can give the skills you've created to other people or objects.\Noir\Wings\The Editor skill.\Noir\Wings\You can edit the skills you've given to yourself or others.\So... Get Creative, Bestow, and Editor. response:	Skills
context: Noir\Wings\The Editor skill.\Noir\Wings\You can edit the skills you've given to yourself or others.\So... Get Creative, Bestow, and Editor.\Skills response:	Get Creative
context: Wings\The Editor skill.\Noir\Wings\You can edit the skills you've given to yourself or others.\So... Get Creative, Bestow, and Editor.\Skills\Get Creative response:	Bestow
context: The Editor skill.\Noir\Wings\You can edit the skills you've given to yourself or others.\So... Get Creative, Bestow, and Editor.\Skills\Get Creative\Bestow response:	Editor
context: Noir\Wings\You can edit the skills you've given to yourself or others.\So... Get Creative, Bestow, and Editor.\Skills\Get Creative\Bestow\Editor response:	Depending on how I use these, I can create insanely powerful attacks.
context: Wings\You can edit the skills you've given to yourself or others.\So... Get Creative, Bestow, and Editor.\Skills\Get Creative\Bestow\Editor\Depending on how I use these, I can create insanely powerful attacks. response:	But be careful.
context: You can edit the skills you've given to yourself or others.\So... Get Creative, Bestow, and Editor.\Skills\Get Creative\Bestow\Editor\Depending on how I use these, I can create insanely powerful attacks.\But be careful. response:	To use any of these skills, you need life points, or LP.
context: So... Get Creative, Bestow, and Editor.\Skills\Get Creative\Bestow\Editor\Depending on how I use these, I can create insanely powerful attacks.\But be careful.\To use any of these skills, you need life points, or LP. response:	Life Points
context: Skills\Get Creative\Bestow\Editor\Depending on how I use these, I can create insanely powerful attacks.\But be careful.\To use any of these skills, you need life points, or LP.\Life Points response:	The stronger the skill, the more LP it consumes,
context: Get Creative\Bestow\Editor\Depending on how I use these, I can create insanely powerful attacks.\But be careful.\To use any of these skills, you need life points, or LP.\Life Points\The stronger the skill, the more LP it consumes, response:	Slow
context: Bestow\Editor\Depending on how I use these, I can create insanely powerful attacks.\But be careful.\To use any of these skills, you need life points, or LP.\Life Points\The stronger the skill, the more LP it consumes,\Slow response:	Fast
context: Editor\Depending on how I use these, I can create insanely powerful attacks.\But be careful.\To use any of these skills, you need life points, or LP.\Life Points\The stronger the skill, the more LP it consumes,\Slow\Fast response:	so make sure you use LP Conversion when that happens.
context: Depending on how I use these, I can create insanely powerful attacks.\But be careful.\To use any of these skills, you need life points, or LP.\Life Points\The stronger the skill, the more LP it consumes,\Slow\Fast\so make sure you use LP Conversion when that happens. response:	LP Conversion
context: But be careful.\To use any of these skills, you need life points, or LP.\Life Points\The stronger the skill, the more LP it consumes,\Slow\Fast\so make sure you use LP Conversion when that happens.\LP Conversion response:	LP Conversion?
context: To use any of these skills, you need life points, or LP.\Life Points\The stronger the skill, the more LP it consumes,\Slow\Fast\so make sure you use LP Conversion when that happens.\LP Conversion\LP Conversion? response:	If you do something that feels good, your satisfaction gets turned into LP.
context: Life Points\The stronger the skill, the more LP it consumes,\Slow\Fast\so make sure you use LP Conversion when that happens.\LP Conversion\LP Conversion?\If you do something that feels good, your satisfaction gets turned into LP. response:	Huh?
context: The stronger the skill, the more LP it consumes,\Slow\Fast\so make sure you use LP Conversion when that happens.\LP Conversion\LP Conversion?\If you do something that feels good, your satisfaction gets turned into LP.\Huh? response:	For example, fulfilling your sexual desires.
context: Slow\Fast\so make sure you use LP Conversion when that happens.\LP Conversion\LP Conversion?\If you do something that feels good, your satisfaction gets turned into LP.\Huh?\For example, fulfilling your sexual desires. response:	Getting close with a charming person of the opposite sex.
context: Fast\so make sure you use LP Conversion when that happens.\LP Conversion\LP Conversion?\If you do something that feels good, your satisfaction gets turned into LP.\Huh?\For example, fulfilling your sexual desires.\Getting close with a charming person of the opposite sex. response:	Then there's hunger.
context: so make sure you use LP Conversion when that happens.\LP Conversion\LP Conversion?\If you do something that feels good, your satisfaction gets turned into LP.\Huh?\For example, fulfilling your sexual desires.\Getting close with a charming person of the opposite sex.\Then there's hunger. response:	Eating delicious foods and savoring delicacies are both effective.
context: LP Conversion\LP Conversion?\If you do something that feels good, your satisfaction gets turned into LP.\Huh?\For example, fulfilling your sexual desires.\Getting close with a charming person of the opposite sex.\Then there's hunger.\Eating delicious foods and savoring delicacies are both effective. response:	Finally, the desire for worldly things.
context: LP Conversion?\If you do something that feels good, your satisfaction gets turned into LP.\Huh?\For example, fulfilling your sexual desires.\Getting close with a charming person of the opposite sex.\Then there's hunger.\Eating delicious foods and savoring delicacies are both effective.\Finally, the desire for worldly things. response:	Earn that dough and spend it like there's no tomorrow.
context: If you do something that feels good, your satisfaction gets turned into LP.\Huh?\For example, fulfilling your sexual desires.\Getting close with a charming person of the opposite sex.\Then there's hunger.\Eating delicious foods and savoring delicacies are both effective.\Finally, the desire for worldly things.\Earn that dough and spend it like there's no tomorrow. response:	S-So you're telling me to be a hedonist.
context: Huh?\For example, fulfilling your sexual desires.\Getting close with a charming person of the opposite sex.\Then there's hunger.\Eating delicious foods and savoring delicacies are both effective.\Finally, the desire for worldly things.\Earn that dough and spend it like there's no tomorrow.\S-So you're telling me to be a hedonist. response:	Oh, FYI, if your LP reaches zero, you die.
context: For example, fulfilling your sexual desires.\Getting close with a charming person of the opposite sex.\Then there's hunger.\Eating delicious foods and savoring delicacies are both effective.\Finally, the desire for worldly things.\Earn that dough and spend it like there's no tomorrow.\S-So you're telling me to be a hedonist.\Oh, FYI, if your LP reaches zero, you die. response:	Maybe tell me that first.
context: Getting close with a charming person of the opposite sex.\Then there's hunger.\Eating delicious foods and savoring delicacies are both effective.\Finally, the desire for worldly things.\Earn that dough and spend it like there's no tomorrow.\S-So you're telling me to be a hedonist.\Oh, FYI, if your LP reaches zero, you die.\Maybe tell me that first. response:	How much LP do you have right now?
context: Then there's hunger.\Eating delicious foods and savoring delicacies are both effective.\Finally, the desire for worldly things.\Earn that dough and spend it like there's no tomorrow.\S-So you're telling me to be a hedonist.\Oh, FYI, if your LP reaches zero, you die.\Maybe tell me that first.\How much LP do you have right now? response:	Concentrate.
context: Eating delicious foods and savoring delicacies are both effective.\Finally, the desire for worldly things.\Earn that dough and spend it like there's no tomorrow.\S-So you're telling me to be a hedonist.\Oh, FYI, if your LP reaches zero, you die.\Maybe tell me that first.\How much LP do you have right now?\Concentrate. response:	S-Sure.
context: Finally, the desire for worldly things.\Earn that dough and spend it like there's no tomorrow.\S-So you're telling me to be a hedonist.\Oh, FYI, if your LP reaches zero, you die.\Maybe tell me that first.\How much LP do you have right now?\Concentrate.\S-Sure. response:	Five hundred fifty.
context: Earn that dough and spend it like there's no tomorrow.\S-So you're telling me to be a hedonist.\Oh, FYI, if your LP reaches zero, you die.\Maybe tell me that first.\How much LP do you have right now?\Concentrate.\S-Sure.\Five hundred fifty. response:	Five hundred fifty, eh? Why don't you give Get Creative a shot?
context: S-So you're telling me to be a hedonist.\Oh, FYI, if your LP reaches zero, you die.\Maybe tell me that first.\How much LP do you have right now?\Concentrate.\S-Sure.\Five hundred fifty.\Five hundred fifty, eh? Why don't you give Get Creative a shot? response:	All right. Here I go.
context: Oh, FYI, if your LP reaches zero, you die.\Maybe tell me that first.\How much LP do you have right now?\Concentrate.\S-Sure.\Five hundred fifty.\Five hundred fifty, eh? Why don't you give Get Creative a shot?\All right. Here I go. response:	Jiggle.
context: Maybe tell me that first.\How much LP do you have right now?\Concentrate.\S-Sure.\Five hundred fifty.\Five hundred fifty, eh? Why don't you give Get Creative a shot?\All right. Here I go.\Jiggle. response:	Jiggle.
context: How much LP do you have right now?\Concentrate.\S-Sure.\Five hundred fifty.\Five hundred fifty, eh? Why don't you give Get Creative a shot?\All right. Here I go.\Jiggle.\Jiggle. response:	Get Creative: Stone Bullet skill.
context: Concentrate.\S-Sure.\Five hundred fifty.\Five hundred fifty, eh? Why don't you give Get Creative a shot?\All right. Here I go.\Jiggle.\Jiggle.\Get Creative: Stone Bullet skill. response:	Skill
context: S-Sure.\Five hundred fifty.\Five hundred fifty, eh? Why don't you give Get Creative a shot?\All right. Here I go.\Jiggle.\Jiggle.\Get Creative: Stone Bullet skill.\Skill response:	Stone Bullet
context: Five hundred fifty.\Five hundred fifty, eh? Why don't you give Get Creative a shot?\All right. Here I go.\Jiggle.\Jiggle.\Get Creative: Stone Bullet skill.\Skill\Stone Bullet response:	Noir Stardia LP. 550
context: Five hundred fifty, eh? Why don't you give Get Creative a shot?\All right. Here I go.\Jiggle.\Jiggle.\Get Creative: Stone Bullet skill.\Skill\Stone Bullet\Noir Stardia LP. 550 response:	Skills Skill h Skill h
context: All right. Here I go.\Jiggle.\Jiggle.\Get Creative: Stone Bullet skill.\Skill\Stone Bullet\Noir Stardia LP. 550\Skills Skill h Skill h response:	Jiggle, jiggle, jiggle.
context: Jiggle.\Jiggle.\Get Creative: Stone Bullet skill.\Skill\Stone Bullet\Noir Stardia LP. 550\Skills Skill h Skill h\Jiggle, jiggle, jiggle. response:	Stone Bullet visualizes condensing dust in the air in front of my hand...
context: Jiggle.\Get Creative: Stone Bullet skill.\Skill\Stone Bullet\Noir Stardia LP. 550\Skills Skill h Skill h\Jiggle, jiggle, jiggle.\Stone Bullet visualizes condensing dust in the air in front of my hand... response:	and fires it!
context: Get Creative: Stone Bullet skill.\Skill\Stone Bullet\Noir Stardia LP. 550\Skills Skill h Skill h\Jiggle, jiggle, jiggle.\Stone Bullet visualizes condensing dust in the air in front of my hand...\and fires it! response:	I-I beat it...
context: Skill\Stone Bullet\Noir Stardia LP. 550\Skills Skill h Skill h\Jiggle, jiggle, jiggle.\Stone Bullet visualizes condensing dust in the air in front of my hand...\and fires it!\I-I beat it... response:	But I'm kinda tired now.
context: Stone Bullet\Noir Stardia LP. 550\Skills Skill h Skill h\Jiggle, jiggle, jiggle.\Stone Bullet visualizes condensing dust in the air in front of my hand...\and fires it!\I-I beat it...\But I'm kinda tired now. response:	I'm going to have to figure out how to rake in that LP from now on.
context: Noir Stardia LP. 550\Skills Skill h Skill h\Jiggle, jiggle, jiggle.\Stone Bullet visualizes condensing dust in the air in front of my hand...\and fires it!\I-I beat it...\But I'm kinda tired now.\I'm going to have to figure out how to rake in that LP from now on. response:	But for today...
context: Skills Skill h Skill h\Jiggle, jiggle, jiggle.\Stone Bullet visualizes condensing dust in the air in front of my hand...\and fires it!\I-I beat it...\But I'm kinda tired now.\I'm going to have to figure out how to rake in that LP from now on.\But for today... response:	Oh, Big Brother!
context: Jiggle, jiggle, jiggle.\Stone Bullet visualizes condensing dust in the air in front of my hand...\and fires it!\I-I beat it...\But I'm kinda tired now.\I'm going to have to figure out how to rake in that LP from now on.\But for today...\Oh, Big Brother! response:	Is my lap a comferble... a comfortable pillow for you?
context: Stone Bullet visualizes condensing dust in the air in front of my hand...\and fires it!\I-I beat it...\But I'm kinda tired now.\I'm going to have to figure out how to rake in that LP from now on.\But for today...\Oh, Big Brother!\Is my lap a comferble... a comfortable pillow for you? response:	Man, I feel alive again.
context: and fires it!\I-I beat it...\But I'm kinda tired now.\I'm going to have to figure out how to rake in that LP from now on.\But for today...\Oh, Big Brother!\Is my lap a comferble... a comfortable pillow for you?\Man, I feel alive again. response:	Can I get a goodnight hug, too?
context: I-I beat it...\But I'm kinda tired now.\I'm going to have to figure out how to rake in that LP from now on.\But for today...\Oh, Big Brother!\Is my lap a comferble... a comfortable pillow for you?\Man, I feel alive again.\Can I get a goodnight hug, too? response:	Huh?!
context: But I'm kinda tired now.\I'm going to have to figure out how to rake in that LP from now on.\But for today...\Oh, Big Brother!\Is my lap a comferble... a comfortable pillow for you?\Man, I feel alive again.\Can I get a goodnight hug, too?\Huh?! response:	I'm so blessed to have such a cute, kind little sister!
context: I'm going to have to figure out how to rake in that LP from now on.\But for today...\Oh, Big Brother!\Is my lap a comferble... a comfortable pillow for you?\Man, I feel alive again.\Can I get a goodnight hug, too?\Huh?!\I'm so blessed to have such a cute, kind little sister! response:	Noir Stardia
context: But for today...\Oh, Big Brother!\Is my lap a comferble... a comfortable pillow for you?\Man, I feel alive again.\Can I get a goodnight hug, too?\Huh?!\I'm so blessed to have such a cute, kind little sister!\Noir Stardia response:	The Hidden Dungeon Only I Can Enter.
context: Oh, Big Brother!\Is my lap a comferble... a comfortable pillow for you?\Man, I feel alive again.\Can I get a goodnight hug, too?\Huh?!\I'm so blessed to have such a cute, kind little sister!\Noir Stardia\The Hidden Dungeon Only I Can Enter. response:	Sorry to keep you waiting, Noir.
context: Is my lap a comferble... a comfortable pillow for you?\Man, I feel alive again.\Can I get a goodnight hug, too?\Huh?!\I'm so blessed to have such a cute, kind little sister!\Noir Stardia\The Hidden Dungeon Only I Can Enter.\Sorry to keep you waiting, Noir. response:	S-Sorry to call you out of the blue.
context: Man, I feel alive again.\Can I get a goodnight hug, too?\Huh?!\I'm so blessed to have such a cute, kind little sister!\Noir Stardia\The Hidden Dungeon Only I Can Enter.\Sorry to keep you waiting, Noir.\S-Sorry to call you out of the blue. response:	No, it's fine. What did you want to talk about?
context: Can I get a goodnight hug, too?\Huh?!\I'm so blessed to have such a cute, kind little sister!\Noir Stardia\The Hidden Dungeon Only I Can Enter.\Sorry to keep you waiting, Noir.\S-Sorry to call you out of the blue.\No, it's fine. What did you want to talk about? response:	I have a favor to ask.
