context: Ah! It's pudding!!! response:	Since no one's home, Sakura's left me
context: I don't want to.\She must be very beautiful.\I still don't want to.\The story wasn't really very scary, though'\It was scary enough.\Do you not like scary stories, Sakura-san?\You should have said something, then'\But Naoko-chan likes them so much' response:	Aren't you afraid of anything, Eriol-kun?
context: She must be very beautiful.\I still don't want to.\The story wasn't really very scary, though'\It was scary enough.\Do you not like scary stories, Sakura-san?\You should have said something, then'\But Naoko-chan likes them so much'\Aren't you afraid of anything, Eriol-kun? response:	I am.
context: I still don't want to.\The story wasn't really very scary, though'\It was scary enough.\Do you not like scary stories, Sakura-san?\You should have said something, then'\But Naoko-chan likes them so much'\Aren't you afraid of anything, Eriol-kun?\I am. response:	What?
context: The story wasn't really very scary, though'\It was scary enough.\Do you not like scary stories, Sakura-san?\You should have said something, then'\But Naoko-chan likes them so much'\Aren't you afraid of anything, Eriol-kun?\I am.\What? response:	It's a secret.
context: It was scary enough.\Do you not like scary stories, Sakura-san?\You should have said something, then'\But Naoko-chan likes them so much'\Aren't you afraid of anything, Eriol-kun?\I am.\What?\It's a secret. response:	Sakura-chan'
context: Do you not like scary stories, Sakura-san?\You should have said something, then'\But Naoko-chan likes them so much'\Aren't you afraid of anything, Eriol-kun?\I am.\What?\It's a secret.\Sakura-chan' response:	I can't sleep'
context: You should have said something, then'\But Naoko-chan likes them so much'\Aren't you afraid of anything, Eriol-kun?\I am.\What?\It's a secret.\Sakura-chan'\I can't sleep' response:	Yuki-onna'
context: But Naoko-chan likes them so much'\Aren't you afraid of anything, Eriol-kun?\I am.\What?\It's a secret.\Sakura-chan'\I can't sleep'\Yuki-onna' response:	It's very cold.
context: Aren't you afraid of anything, Eriol-kun?\I am.\What?\It's a secret.\Sakura-chan'\I can't sleep'\Yuki-onna'\It's very cold. response:	Shao Lan-kun!
context: I am.\What?\It's a secret.\Sakura-chan'\I can't sleep'\Yuki-onna'\It's very cold.\Shao Lan-kun! response:	Shao Lan-kun!
context: What?\It's a secret.\Sakura-chan'\I can't sleep'\Yuki-onna'\It's very cold.\Shao Lan-kun!\Shao Lan-kun! response:	Shao Lan-kun!
context: It's a secret.\Sakura-chan'\I can't sleep'\Yuki-onna'\It's very cold.\Shao Lan-kun!\Shao Lan-kun!\Shao Lan-kun! response:	Sakura'
context: Sakura-chan'\I can't sleep'\Yuki-onna'\It's very cold.\Shao Lan-kun!\Shao Lan-kun!\Shao Lan-kun!\Sakura' response:	What is it?
context: I can't sleep'\Yuki-onna'\It's very cold.\Shao Lan-kun!\Shao Lan-kun!\Shao Lan-kun!\Sakura'\What is it? response:	What?
context: Yuki-onna'\It's very cold.\Shao Lan-kun!\Shao Lan-kun!\Shao Lan-kun!\Sakura'\What is it?\What? response:	I heard you call my name'
context: It's very cold.\Shao Lan-kun!\Shao Lan-kun!\Shao Lan-kun!\Sakura'\What is it?\What?\I heard you call my name' response:	Oh, yeah' Thank you for what you did today.
context: Shao Lan-kun!\Shao Lan-kun!\Shao Lan-kun!\Sakura'\What is it?\What?\I heard you call my name'\Oh, yeah' Thank you for what you did today. response:	I was scared, so you pointed out that it was time to sleep.
context: Shao Lan-kun!\Shao Lan-kun!\Sakura'\What is it?\What?\I heard you call my name'\Oh, yeah' Thank you for what you did today.\I was scared, so you pointed out that it was time to sleep. response:	It was nothing.
context: Shao Lan-kun!\Sakura'\What is it?\What?\I heard you call my name'\Oh, yeah' Thank you for what you did today.\I was scared, so you pointed out that it was time to sleep.\It was nothing. response:	You always say that. But it's not true.
context: Sakura'\What is it?\What?\I heard you call my name'\Oh, yeah' Thank you for what you did today.\I was scared, so you pointed out that it was time to sleep.\It was nothing.\You always say that. But it's not true. response:	Is that you really mean this?
context: What is it?\What?\I heard you call my name'\Oh, yeah' Thank you for what you did today.\I was scared, so you pointed out that it was time to sleep.\It was nothing.\You always say that. But it's not true.\Is that you really mean this? response:	What makes you say that?
context: What?\I heard you call my name'\Oh, yeah' Thank you for what you did today.\I was scared, so you pointed out that it was time to sleep.\It was nothing.\You always say that. But it's not true.\Is that you really mean this?\What makes you say that? response:	I know you.
context: I heard you call my name'\Oh, yeah' Thank you for what you did today.\I was scared, so you pointed out that it was time to sleep.\It was nothing.\You always say that. But it's not true.\Is that you really mean this?\What makes you say that?\I know you. response:	You're a really nice guy.
context: Oh, yeah' Thank you for what you did today.\I was scared, so you pointed out that it was time to sleep.\It was nothing.\You always say that. But it's not true.\Is that you really mean this?\What makes you say that?\I know you.\You're a really nice guy. response:	What's that supposed to mean?
context: I was scared, so you pointed out that it was time to sleep.\It was nothing.\You always say that. But it's not true.\Is that you really mean this?\What makes you say that?\I know you.\You're a really nice guy.\What's that supposed to mean? response:	It's snowing!
context: It was nothing.\You always say that. But it's not true.\Is that you really mean this?\What makes you say that?\I know you.\You're a really nice guy.\What's that supposed to mean?\It's snowing! response:	Let's go outside for a bit!
context: You always say that. But it's not true.\Is that you really mean this?\What makes you say that?\I know you.\You're a really nice guy.\What's that supposed to mean?\It's snowing!\Let's go outside for a bit! response:	Ok.
context: Is that you really mean this?\What makes you say that?\I know you.\You're a really nice guy.\What's that supposed to mean?\It's snowing!\Let's go outside for a bit!\Ok. response:	Wow! Pretty!
context: What makes you say that?\I know you.\You're a really nice guy.\What's that supposed to mean?\It's snowing!\Let's go outside for a bit!\Ok.\Wow! Pretty! response:	Ooh. Cold.
context: I know you.\You're a really nice guy.\What's that supposed to mean?\It's snowing!\Let's go outside for a bit!\Ok.\Wow! Pretty!\Ooh. Cold. response:	That's cute.
context: You're a really nice guy.\What's that supposed to mean?\It's snowing!\Let's go outside for a bit!\Ok.\Wow! Pretty!\Ooh. Cold.\That's cute. response:	Look, Shao Lan-kun!
context: What's that supposed to mean?\It's snowing!\Let's go outside for a bit!\Ok.\Wow! Pretty!\Ooh. Cold.\That's cute.\Look, Shao Lan-kun! response:	Isn't it cute?
context: It's snowing!\Let's go outside for a bit!\Ok.\Wow! Pretty!\Ooh. Cold.\That's cute.\Look, Shao Lan-kun!\Isn't it cute? response:	Oh, yeah. You made a stuffed bear, too, didn't you?
context: Let's go outside for a bit!\Ok.\Wow! Pretty!\Ooh. Cold.\That's cute.\Look, Shao Lan-kun!\Isn't it cute?\Oh, yeah. You made a stuffed bear, too, didn't you? response:	Have you given it away yet?
context: Ok.\Wow! Pretty!\Ooh. Cold.\That's cute.\Look, Shao Lan-kun!\Isn't it cute?\Oh, yeah. You made a stuffed bear, too, didn't you?\Have you given it away yet? response:	No' Not yet.
context: Wow! Pretty!\Ooh. Cold.\That's cute.\Look, Shao Lan-kun!\Isn't it cute?\Oh, yeah. You made a stuffed bear, too, didn't you?\Have you given it away yet?\No' Not yet. response:	Yukito-san will be glad to get it.
context: Ooh. Cold.\That's cute.\Look, Shao Lan-kun!\Isn't it cute?\Oh, yeah. You made a stuffed bear, too, didn't you?\Have you given it away yet?\No' Not yet.\Yukito-san will be glad to get it. response:	No.
context: That's cute.\Look, Shao Lan-kun!\Isn't it cute?\Oh, yeah. You made a stuffed bear, too, didn't you?\Have you given it away yet?\No' Not yet.\Yukito-san will be glad to get it.\No. response:	It's not for him.
context: Look, Shao Lan-kun!\Isn't it cute?\Oh, yeah. You made a stuffed bear, too, didn't you?\Have you given it away yet?\No' Not yet.\Yukito-san will be glad to get it.\No.\It's not for him. response:	I was only attracted by his magic.
context: Isn't it cute?\Oh, yeah. You made a stuffed bear, too, didn't you?\Have you given it away yet?\No' Not yet.\Yukito-san will be glad to get it.\No.\It's not for him.\I was only attracted by his magic. response:	It's someone else that I care for'
context: Oh, yeah. You made a stuffed bear, too, didn't you?\Have you given it away yet?\No' Not yet.\Yukito-san will be glad to get it.\No.\It's not for him.\I was only attracted by his magic.\It's someone else that I care for' response:	Who?
context: Have you given it away yet?\No' Not yet.\Yukito-san will be glad to get it.\No.\It's not for him.\I was only attracted by his magic.\It's someone else that I care for'\Who? response:	The person I really care about is'
context: No' Not yet.\Yukito-san will be glad to get it.\No.\It's not for him.\I was only attracted by his magic.\It's someone else that I care for'\Who?\The person I really care about is' response:	I love'
context: Yukito-san will be glad to get it.\No.\It's not for him.\I was only attracted by his magic.\It's someone else that I care for'\Who?\The person I really care about is'\I love' response:	I'm sorry!
context: No.\It's not for him.\I was only attracted by his magic.\It's someone else that I care for'\Who?\The person I really care about is'\I love'\I'm sorry! response:	I shouldn't force you to tell.
context: It's not for him.\I was only attracted by his magic.\It's someone else that I care for'\Who?\The person I really care about is'\I love'\I'm sorry!\I shouldn't force you to tell. response:	I'm sorry.
context: I was only attracted by his magic.\It's someone else that I care for'\Who?\The person I really care about is'\I love'\I'm sorry!\I shouldn't force you to tell.\I'm sorry. response:	We should go inside. We'll catch a cold if we stay out too long.
context: It's someone else that I care for'\Who?\The person I really care about is'\I love'\I'm sorry!\I shouldn't force you to tell.\I'm sorry.\We should go inside. We'll catch a cold if we stay out too long. response:	Ok.
context: Who?\The person I really care about is'\I love'\I'm sorry!\I shouldn't force you to tell.\I'm sorry.\We should go inside. We'll catch a cold if we stay out too long.\Ok. response:	Wow!
context: The person I really care about is'\I love'\I'm sorry!\I shouldn't force you to tell.\I'm sorry.\We should go inside. We'll catch a cold if we stay out too long.\Ok.\Wow! response:	You're doing good!
context: I love'\I'm sorry!\I shouldn't force you to tell.\I'm sorry.\We should go inside. We'll catch a cold if we stay out too long.\Ok.\Wow!\You're doing good! response:	Ok. That was good. You've really improved.
context: I'm sorry!\I shouldn't force you to tell.\I'm sorry.\We should go inside. We'll catch a cold if we stay out too long.\Ok.\Wow!\You're doing good!\Ok. That was good. You've really improved. response:	Next! Li!
context: I shouldn't force you to tell.\I'm sorry.\We should go inside. We'll catch a cold if we stay out too long.\Ok.\Wow!\You're doing good!\Ok. That was good. You've really improved.\Next! Li! response:	Alright. You've improved, as well, Li.
context: I'm sorry.\We should go inside. We'll catch a cold if we stay out too long.\Ok.\Wow!\You're doing good!\Ok. That was good. You've really improved.\Next! Li!\Alright. You've improved, as well, Li. response:	Ok. From now on is free time.
context: We should go inside. We'll catch a cold if we stay out too long.\Ok.\Wow!\You're doing good!\Ok. That was good. You've really improved.\Next! Li!\Alright. You've improved, as well, Li.\Ok. From now on is free time. response:	Do what you want until noon.
context: Ok.\Wow!\You're doing good!\Ok. That was good. You've really improved.\Next! Li!\Alright. You've improved, as well, Li.\Ok. From now on is free time.\Do what you want until noon. response:	Kinomoto and Li,
context: Wow!\You're doing good!\Ok. That was good. You've really improved.\Next! Li!\Alright. You've improved, as well, Li.\Ok. From now on is free time.\Do what you want until noon.\Kinomoto and Li, response:	you should be ready for a higher-level slope.
context: You're doing good!\Ok. That was good. You've really improved.\Next! Li!\Alright. You've improved, as well, Li.\Ok. From now on is free time.\Do what you want until noon.\Kinomoto and Li,\you should be ready for a higher-level slope. response:	Alright, take care!
context: Ok. That was good. You've really improved.\Next! Li!\Alright. You've improved, as well, Li.\Ok. From now on is free time.\Do what you want until noon.\Kinomoto and Li,\you should be ready for a higher-level slope.\Alright, take care! response:	What do you think, Shao Lan-kun? Shall we go further up?
context: Next! Li!\Alright. You've improved, as well, Li.\Ok. From now on is free time.\Do what you want until noon.\Kinomoto and Li,\you should be ready for a higher-level slope.\Alright, take care!\What do you think, Shao Lan-kun? Shall we go further up? response:	No.
context: Alright. You've improved, as well, Li.\Ok. From now on is free time.\Do what you want until noon.\Kinomoto and Li,\you should be ready for a higher-level slope.\Alright, take care!\What do you think, Shao Lan-kun? Shall we go further up?\No. response:	What was that about?
context: Ok. From now on is free time.\Do what you want until noon.\Kinomoto and Li,\you should be ready for a higher-level slope.\Alright, take care!\What do you think, Shao Lan-kun? Shall we go further up?\No.\What was that about? response:	Li-kun is doing well. He has improved much for one day.
context: Do what you want until noon.\Kinomoto and Li,\you should be ready for a higher-level slope.\Alright, take care!\What do you think, Shao Lan-kun? Shall we go further up?\No.\What was that about?\Li-kun is doing well. He has improved much for one day. response:	He's good at sports, isn't he?
context: Kinomoto and Li,\you should be ready for a higher-level slope.\Alright, take care!\What do you think, Shao Lan-kun? Shall we go further up?\No.\What was that about?\Li-kun is doing well. He has improved much for one day.\He's good at sports, isn't he? response:	I think there's more to it than that.
context: you should be ready for a higher-level slope.\Alright, take care!\What do you think, Shao Lan-kun? Shall we go further up?\No.\What was that about?\Li-kun is doing well. He has improved much for one day.\He's good at sports, isn't he?\I think there's more to it than that. response:	Oh, snow!
context: Alright, take care!\What do you think, Shao Lan-kun? Shall we go further up?\No.\What was that about?\Li-kun is doing well. He has improved much for one day.\He's good at sports, isn't he?\I think there's more to it than that.\Oh, snow! response:	It's really coming down, isn't it?
context: What do you think, Shao Lan-kun? Shall we go further up?\No.\What was that about?\Li-kun is doing well. He has improved much for one day.\He's good at sports, isn't he?\I think there's more to it than that.\Oh, snow!\It's really coming down, isn't it? response:	Yes. Would it be better to stop for a rest?
context: No.\What was that about?\Li-kun is doing well. He has improved much for one day.\He's good at sports, isn't he?\I think there's more to it than that.\Oh, snow!\It's really coming down, isn't it?\Yes. Would it be better to stop for a rest? response:	I'd like to keep going.
context: What was that about?\Li-kun is doing well. He has improved much for one day.\He's good at sports, isn't he?\I think there's more to it than that.\Oh, snow!\It's really coming down, isn't it?\Yes. Would it be better to stop for a rest?\I'd like to keep going. response:	I thought I'd try the next-level hill.
context: Li-kun is doing well. He has improved much for one day.\He's good at sports, isn't he?\I think there's more to it than that.\Oh, snow!\It's really coming down, isn't it?\Yes. Would it be better to stop for a rest?\I'd like to keep going.\I thought I'd try the next-level hill. response:	Will you come with me, Tomoyo-chan?
context: He's good at sports, isn't he?\I think there's more to it than that.\Oh, snow!\It's really coming down, isn't it?\Yes. Would it be better to stop for a rest?\I'd like to keep going.\I thought I'd try the next-level hill.\Will you come with me, Tomoyo-chan? response:	I'll wait at the bottom'
context: I think there's more to it than that.\Oh, snow!\It's really coming down, isn't it?\Yes. Would it be better to stop for a rest?\I'd like to keep going.\I thought I'd try the next-level hill.\Will you come with me, Tomoyo-chan?\I'll wait at the bottom' response:	And film your triumphant finish!
context: Oh, snow!\It's really coming down, isn't it?\Yes. Would it be better to stop for a rest?\I'd like to keep going.\I thought I'd try the next-level hill.\Will you come with me, Tomoyo-chan?\I'll wait at the bottom'\And film your triumphant finish! response:	Sakura-chan defeats the Snow-covered Mountain!
context: It's really coming down, isn't it?\Yes. Would it be better to stop for a rest?\I'd like to keep going.\I thought I'd try the next-level hill.\Will you come with me, Tomoyo-chan?\I'll wait at the bottom'\And film your triumphant finish!\Sakura-chan defeats the Snow-covered Mountain! response:	How about you, Eriol-kun?
context: Yes. Would it be better to stop for a rest?\I'd like to keep going.\I thought I'd try the next-level hill.\Will you come with me, Tomoyo-chan?\I'll wait at the bottom'\And film your triumphant finish!\Sakura-chan defeats the Snow-covered Mountain!\How about you, Eriol-kun? response:	Of course!
context: I'd like to keep going.\I thought I'd try the next-level hill.\Will you come with me, Tomoyo-chan?\I'll wait at the bottom'\And film your triumphant finish!\Sakura-chan defeats the Snow-covered Mountain!\How about you, Eriol-kun?\Of course! response:	It's really coming down now'
context: I thought I'd try the next-level hill.\Will you come with me, Tomoyo-chan?\I'll wait at the bottom'\And film your triumphant finish!\Sakura-chan defeats the Snow-covered Mountain!\How about you, Eriol-kun?\Of course!\It's really coming down now' response:	That's true'
context: Will you come with me, Tomoyo-chan?\I'll wait at the bottom'\And film your triumphant finish!\Sakura-chan defeats the Snow-covered Mountain!\How about you, Eriol-kun?\Of course!\It's really coming down now'\That's true' response:	When the sky is darkened
context: I'll wait at the bottom'\And film your triumphant finish!\Sakura-chan defeats the Snow-covered Mountain!\How about you, Eriol-kun?\Of course!\It's really coming down now'\That's true'\When the sky is darkened response:	with storm clouds,
context: And film your triumphant finish!\Sakura-chan defeats the Snow-covered Mountain!\How about you, Eriol-kun?\Of course!\It's really coming down now'\That's true'\When the sky is darkened\with storm clouds, response:	a cold wind blows down from the highest peaks.
context: Sakura-chan defeats the Snow-covered Mountain!\How about you, Eriol-kun?\Of course!\It's really coming down now'\That's true'\When the sky is darkened\with storm clouds,\a cold wind blows down from the highest peaks. response:	Then, the snow rises up to blind you'
context: How about you, Eriol-kun?\Of course!\It's really coming down now'\That's true'\When the sky is darkened\with storm clouds,\a cold wind blows down from the highest peaks.\Then, the snow rises up to blind you' response:	and Yuki-onna apears.
context: Of course!\It's really coming down now'\That's true'\When the sky is darkened\with storm clouds,\a cold wind blows down from the highest peaks.\Then, the snow rises up to blind you'\and Yuki-onna apears. response:	It seems a blizzard is on the way.
context: It's really coming down now'\That's true'\When the sky is darkened\with storm clouds,\a cold wind blows down from the highest peaks.\Then, the snow rises up to blind you'\and Yuki-onna apears.\It seems a blizzard is on the way. response:	We should find shelter, once we get off the lift.
context: That's true'\When the sky is darkened\with storm clouds,\a cold wind blows down from the highest peaks.\Then, the snow rises up to blind you'\and Yuki-onna apears.\It seems a blizzard is on the way.\We should find shelter, once we get off the lift. response:	It'll be dangerous to ski' We won't be able to see much.
context: When the sky is darkened\with storm clouds,\a cold wind blows down from the highest peaks.\Then, the snow rises up to blind you'\and Yuki-onna apears.\It seems a blizzard is on the way.\We should find shelter, once we get off the lift.\It'll be dangerous to ski' We won't be able to see much. response:	Hurry! Everyone, get inside the restaurant! Hurry!
context: with storm clouds,\a cold wind blows down from the highest peaks.\Then, the snow rises up to blind you'\and Yuki-onna apears.\It seems a blizzard is on the way.\We should find shelter, once we get off the lift.\It'll be dangerous to ski' We won't be able to see much.\Hurry! Everyone, get inside the restaurant! Hurry! response:	It reminds me of Hiiragizawa-kun's story, yesterday.
context: a cold wind blows down from the highest peaks.\Then, the snow rises up to blind you'\and Yuki-onna apears.\It seems a blizzard is on the way.\We should find shelter, once we get off the lift.\It'll be dangerous to ski' We won't be able to see much.\Hurry! Everyone, get inside the restaurant! Hurry!\It reminds me of Hiiragizawa-kun's story, yesterday. response:	It does, doesn't it?
context: Then, the snow rises up to blind you'\and Yuki-onna apears.\It seems a blizzard is on the way.\We should find shelter, once we get off the lift.\It'll be dangerous to ski' We won't be able to see much.\Hurry! Everyone, get inside the restaurant! Hurry!\It reminds me of Hiiragizawa-kun's story, yesterday.\It does, doesn't it? response:	Has anyone seen Sakura-chan or Hiiragizawa-kun?
context: and Yuki-onna apears.\It seems a blizzard is on the way.\We should find shelter, once we get off the lift.\It'll be dangerous to ski' We won't be able to see much.\Hurry! Everyone, get inside the restaurant! Hurry!\It reminds me of Hiiragizawa-kun's story, yesterday.\It does, doesn't it?\Has anyone seen Sakura-chan or Hiiragizawa-kun? response:	They don't seem to have come in, yet.
context: It seems a blizzard is on the way.\We should find shelter, once we get off the lift.\It'll be dangerous to ski' We won't be able to see much.\Hurry! Everyone, get inside the restaurant! Hurry!\It reminds me of Hiiragizawa-kun's story, yesterday.\It does, doesn't it?\Has anyone seen Sakura-chan or Hiiragizawa-kun?\They don't seem to have come in, yet. response:	Is something wrong?
context: We should find shelter, once we get off the lift.\It'll be dangerous to ski' We won't be able to see much.\Hurry! Everyone, get inside the restaurant! Hurry!\It reminds me of Hiiragizawa-kun's story, yesterday.\It does, doesn't it?\Has anyone seen Sakura-chan or Hiiragizawa-kun?\They don't seem to have come in, yet.\Is something wrong? response:	They must still be up there!
context: It'll be dangerous to ski' We won't be able to see much.\Hurry! Everyone, get inside the restaurant! Hurry!\It reminds me of Hiiragizawa-kun's story, yesterday.\It does, doesn't it?\Has anyone seen Sakura-chan or Hiiragizawa-kun?\They don't seem to have come in, yet.\Is something wrong?\They must still be up there! response:	What?!
context: Hurry! Everyone, get inside the restaurant! Hurry!\It reminds me of Hiiragizawa-kun's story, yesterday.\It does, doesn't it?\Has anyone seen Sakura-chan or Hiiragizawa-kun?\They don't seem to have come in, yet.\Is something wrong?\They must still be up there!\What?! response:	No one's there, and the door is locked.
context: It reminds me of Hiiragizawa-kun's story, yesterday.\It does, doesn't it?\Has anyone seen Sakura-chan or Hiiragizawa-kun?\They don't seem to have come in, yet.\Is something wrong?\They must still be up there!\What?!\No one's there, and the door is locked. response:	Are you alright?
context: It does, doesn't it?\Has anyone seen Sakura-chan or Hiiragizawa-kun?\They don't seem to have come in, yet.\Is something wrong?\They must still be up there!\What?!\No one's there, and the door is locked.\Are you alright? response:	Yeah.
context: Has anyone seen Sakura-chan or Hiiragizawa-kun?\They don't seem to have come in, yet.\Is something wrong?\They must still be up there!\What?!\No one's there, and the door is locked.\Are you alright?\Yeah. response:	It's gotten so dark' and the snow's too thick.
context: They don't seem to have come in, yet.\Is something wrong?\They must still be up there!\What?!\No one's there, and the door is locked.\Are you alright?\Yeah.\It's gotten so dark' and the snow's too thick. response:	It's almost blinding'
context: Is something wrong?\They must still be up there!\What?!\No one's there, and the door is locked.\Are you alright?\Yeah.\It's gotten so dark' and the snow's too thick.\It's almost blinding' response:	Yuki-onna'
context: They must still be up there!\What?!\No one's there, and the door is locked.\Are you alright?\Yeah.\It's gotten so dark' and the snow's too thick.\It's almost blinding'\Yuki-onna' response:	HOE!!! No!!! Stay away from me!!!
context: What?!\No one's there, and the door is locked.\Are you alright?\Yeah.\It's gotten so dark' and the snow's too thick.\It's almost blinding'\Yuki-onna'\HOE!!! No!!! Stay away from me!!! response:	I'm sorry.
context: No one's there, and the door is locked.\Are you alright?\Yeah.\It's gotten so dark' and the snow's too thick.\It's almost blinding'\Yuki-onna'\HOE!!! No!!! Stay away from me!!!\I'm sorry. response:	I meant to say that it looks like the weather in my story'
context: Are you alright?\Yeah.\It's gotten so dark' and the snow's too thick.\It's almost blinding'\Yuki-onna'\HOE!!! No!!! Stay away from me!!!\I'm sorry.\I meant to say that it looks like the weather in my story' response:	Oh'
context: Yeah.\It's gotten so dark' and the snow's too thick.\It's almost blinding'\Yuki-onna'\HOE!!! No!!! Stay away from me!!!\I'm sorry.\I meant to say that it looks like the weather in my story'\Oh' response:	I'm sorry. I didn't think my story would frighten you so much.
context: It's gotten so dark' and the snow's too thick.\It's almost blinding'\Yuki-onna'\HOE!!! No!!! Stay away from me!!!\I'm sorry.\I meant to say that it looks like the weather in my story'\Oh'\I'm sorry. I didn't think my story would frighten you so much. response:	Perhaps I shouldn't have told it.
context: It's almost blinding'\Yuki-onna'\HOE!!! No!!! Stay away from me!!!\I'm sorry.\I meant to say that it looks like the weather in my story'\Oh'\I'm sorry. I didn't think my story would frighten you so much.\Perhaps I shouldn't have told it. response:	It's ok. I always over-react'
context: Yuki-onna'\HOE!!! No!!! Stay away from me!!!\I'm sorry.\I meant to say that it looks like the weather in my story'\Oh'\I'm sorry. I didn't think my story would frighten you so much.\Perhaps I shouldn't have told it.\It's ok. I always over-react' response:	Don't worry.
context: HOE!!! No!!! Stay away from me!!!\I'm sorry.\I meant to say that it looks like the weather in my story'\Oh'\I'm sorry. I didn't think my story would frighten you so much.\Perhaps I shouldn't have told it.\It's ok. I always over-react'\Don't worry. response:	What?
context: I'm sorry.\I meant to say that it looks like the weather in my story'\Oh'\I'm sorry. I didn't think my story would frighten you so much.\Perhaps I shouldn't have told it.\It's ok. I always over-react'\Don't worry.\What? response:	An avalanche?
context: I meant to say that it looks like the weather in my story'\Oh'\I'm sorry. I didn't think my story would frighten you so much.\Perhaps I shouldn't have told it.\It's ok. I always over-react'\Don't worry.\What?\An avalanche? response:	Hurry! We have to run!
context: Oh'\I'm sorry. I didn't think my story would frighten you so much.\Perhaps I shouldn't have told it.\It's ok. I always over-react'\Don't worry.\What?\An avalanche?\Hurry! We have to run! response:	But'
context: I'm sorry. I didn't think my story would frighten you so much.\Perhaps I shouldn't have told it.\It's ok. I always over-react'\Don't worry.\What?\An avalanche?\Hurry! We have to run!\But' response:	At this rate'
context: Perhaps I shouldn't have told it.\It's ok. I always over-react'\Don't worry.\What?\An avalanche?\Hurry! We have to run!\But'\At this rate' response:	Everyone below will be buried in the snow.
context: It's ok. I always over-react'\Don't worry.\What?\An avalanche?\Hurry! We have to run!\But'\At this rate'\Everyone below will be buried in the snow. response:	I have to do something.
context: Don't worry.\What?\An avalanche?\Hurry! We have to run!\But'\At this rate'\Everyone below will be buried in the snow.\I have to do something. response:	But, Eriol-kun is watching me.
context: What?\An avalanche?\Hurry! We have to run!\But'\At this rate'\Everyone below will be buried in the snow.\I have to do something.\But, Eriol-kun is watching me. response:	I could use Sleep'
context: An avalanche?\Hurry! We have to run!\But'\At this rate'\Everyone below will be buried in the snow.\I have to do something.\But, Eriol-kun is watching me.\I could use Sleep' response:	No! He could be hurt while I was busy.
context: Hurry! We have to run!\But'\At this rate'\Everyone below will be buried in the snow.\I have to do something.\But, Eriol-kun is watching me.\I could use Sleep'\No! He could be hurt while I was busy. response:	And, if I run away'
context: But'\At this rate'\Everyone below will be buried in the snow.\I have to do something.\But, Eriol-kun is watching me.\I could use Sleep'\No! He could be hurt while I was busy.\And, if I run away' response:	he'll worry about me'
context: At this rate'\Everyone below will be buried in the snow.\I have to do something.\But, Eriol-kun is watching me.\I could use Sleep'\No! He could be hurt while I was busy.\And, if I run away'\he'll worry about me' response:	I'll have to use that card!
context: Everyone below will be buried in the snow.\I have to do something.\But, Eriol-kun is watching me.\I could use Sleep'\No! He could be hurt while I was busy.\And, if I run away'\he'll worry about me'\I'll have to use that card! response:	Sakura-san!
context: I have to do something.\But, Eriol-kun is watching me.\I could use Sleep'\No! He could be hurt while I was busy.\And, if I run away'\he'll worry about me'\I'll have to use that card!\Sakura-san! response:	Wait for just a minute, Eriol-kun!
context: But, Eriol-kun is watching me.\I could use Sleep'\No! He could be hurt while I was busy.\And, if I run away'\he'll worry about me'\I'll have to use that card!\Sakura-san!\Wait for just a minute, Eriol-kun! response:	O Card created by Clow,
context: I could use Sleep'\No! He could be hurt while I was busy.\And, if I run away'\he'll worry about me'\I'll have to use that card!\Sakura-san!\Wait for just a minute, Eriol-kun!\O Card created by Clow, response:	discard thine old form and be reborn.
context: No! He could be hurt while I was busy.\And, if I run away'\he'll worry about me'\I'll have to use that card!\Sakura-san!\Wait for just a minute, Eriol-kun!\O Card created by Clow,\discard thine old form and be reborn. response:	Under the name of Sakura, thy new Mistress.
context: And, if I run away'\he'll worry about me'\I'll have to use that card!\Sakura-san!\Wait for just a minute, Eriol-kun!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress. response:	TIME!
context: he'll worry about me'\I'll have to use that card!\Sakura-san!\Wait for just a minute, Eriol-kun!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\TIME! response:	It takes a lot of my strength to stop time'
context: I'll have to use that card!\Sakura-san!\Wait for just a minute, Eriol-kun!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\TIME!\It takes a lot of my strength to stop time' response:	I have to hurry!
context: Sakura-san!\Wait for just a minute, Eriol-kun!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\TIME!\It takes a lot of my strength to stop time'\I have to hurry! response:	Fi' ire' ry
context: Wait for just a minute, Eriol-kun!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\TIME!\It takes a lot of my strength to stop time'\I have to hurry!\Fi' ire' ry response:	I wonder if they're ok?
context: O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\TIME!\It takes a lot of my strength to stop time'\I have to hurry!\Fi' ire' ry\I wonder if they're ok? response:	I'll go look for them.
context: discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\TIME!\It takes a lot of my strength to stop time'\I have to hurry!\Fi' ire' ry\I wonder if they're ok?\I'll go look for them. response:	Everyone else, wait here.
context: Under the name of Sakura, thy new Mistress.\TIME!\It takes a lot of my strength to stop time'\I have to hurry!\Fi' ire' ry\I wonder if they're ok?\I'll go look for them.\Everyone else, wait here. response:	Sakura-chan!
