context: Subaru-kun! response:	Wh-What happened? What the hell is going on?!
context: I don't wanna die...\Huh?\Rem...\Rem, forgive me.\You're...\Where is he? Where's Otto?\I see...\Let's go. response:	The forest?
context: Huh?\Rem...\Rem, forgive me.\You're...\Where is he? Where's Otto?\I see...\Let's go.\The forest? response:	Huh? Subaru?
context: Rem...\Rem, forgive me.\You're...\Where is he? Where's Otto?\I see...\Let's go.\The forest?\Huh? Subaru? response:	It is Subaru!
context: Rem, forgive me.\You're...\Where is he? Where's Otto?\I see...\Let's go.\The forest?\Huh? Subaru?\It is Subaru! response:	What happened to you, Subaru?
context: You're...\Where is he? Where's Otto?\I see...\Let's go.\The forest?\Huh? Subaru?\It is Subaru!\What happened to you, Subaru? response:	You're a mess, Subaru. You stink!
context: Where is he? Where's Otto?\I see...\Let's go.\The forest?\Huh? Subaru?\It is Subaru!\What happened to you, Subaru?\You're a mess, Subaru. You stink! response:	You guys...
context: I see...\Let's go.\The forest?\Huh? Subaru?\It is Subaru!\What happened to you, Subaru?\You're a mess, Subaru. You stink!\You guys... response:	I wasn't too late this time?
context: Let's go.\The forest?\Huh? Subaru?\It is Subaru!\What happened to you, Subaru?\You're a mess, Subaru. You stink!\You guys...\I wasn't too late this time? response:	Subaru?
context: The forest?\Huh? Subaru?\It is Subaru!\What happened to you, Subaru?\You're a mess, Subaru. You stink!\You guys...\I wasn't too late this time?\Subaru? response:	Rem
context: Huh? Subaru?\It is Subaru!\What happened to you, Subaru?\You're a mess, Subaru. You stink!\You guys...\I wasn't too late this time?\Subaru?\Rem response:	Why are you so eagerly touching me, Barusu?
context: It is Subaru!\What happened to you, Subaru?\You're a mess, Subaru. You stink!\You guys...\I wasn't too late this time?\Subaru?\Rem\Why are you so eagerly touching me, Barusu? response:	I understand that, after a few days away, you're happy to see me.
context: What happened to you, Subaru?\You're a mess, Subaru. You stink!\You guys...\I wasn't too late this time?\Subaru?\Rem\Why are you so eagerly touching me, Barusu?\I understand that, after a few days away, you're happy to see me. response:	But don't instinctively jump on me like that.
context: You're a mess, Subaru. You stink!\You guys...\I wasn't too late this time?\Subaru?\Rem\Why are you so eagerly touching me, Barusu?\I understand that, after a few days away, you're happy to see me.\But don't instinctively jump on me like that. response:	It's indecent.
context: You guys...\I wasn't too late this time?\Subaru?\Rem\Why are you so eagerly touching me, Barusu?\I understand that, after a few days away, you're happy to see me.\But don't instinctively jump on me like that.\It's indecent. response:	Oh... Yeah, that's right...
context: I wasn't too late this time?\Subaru?\Rem\Why are you so eagerly touching me, Barusu?\I understand that, after a few days away, you're happy to see me.\But don't instinctively jump on me like that.\It's indecent.\Oh... Yeah, that's right... response:	So, Barusu, tell me what happened.
context: Subaru?\Rem\Why are you so eagerly touching me, Barusu?\I understand that, after a few days away, you're happy to see me.\But don't instinctively jump on me like that.\It's indecent.\Oh... Yeah, that's right...\So, Barusu, tell me what happened. response:	You were in terrible shape.
context: Rem\Why are you so eagerly touching me, Barusu?\I understand that, after a few days away, you're happy to see me.\But don't instinctively jump on me like that.\It's indecent.\Oh... Yeah, that's right...\So, Barusu, tell me what happened.\You were in terrible shape. response:	Your dislocated shoulder, split forehead, and broken ribs have been mended.
context: Why are you so eagerly touching me, Barusu?\I understand that, after a few days away, you're happy to see me.\But don't instinctively jump on me like that.\It's indecent.\Oh... Yeah, that's right...\So, Barusu, tell me what happened.\You were in terrible shape.\Your dislocated shoulder, split forehead, and broken ribs have been mended. response:	But if you move too much, they'll reopen
context: I understand that, after a few days away, you're happy to see me.\But don't instinctively jump on me like that.\It's indecent.\Oh... Yeah, that's right...\So, Barusu, tell me what happened.\You were in terrible shape.\Your dislocated shoulder, split forehead, and broken ribs have been mended.\But if you move too much, they'll reopen response:	I've discarded your muddy, blood-soaked clothes.
context: But don't instinctively jump on me like that.\It's indecent.\Oh... Yeah, that's right...\So, Barusu, tell me what happened.\You were in terrible shape.\Your dislocated shoulder, split forehead, and broken ribs have been mended.\But if you move too much, they'll reopen\I've discarded your muddy, blood-soaked clothes. response:	Oh, thanks.
context: It's indecent.\Oh... Yeah, that's right...\So, Barusu, tell me what happened.\You were in terrible shape.\Your dislocated shoulder, split forehead, and broken ribs have been mended.\But if you move too much, they'll reopen\I've discarded your muddy, blood-soaked clothes.\Oh, thanks. response:	The one who healed my wounds...
context: Oh... Yeah, that's right...\So, Barusu, tell me what happened.\You were in terrible shape.\Your dislocated shoulder, split forehead, and broken ribs have been mended.\But if you move too much, they'll reopen\I've discarded your muddy, blood-soaked clothes.\Oh, thanks.\The one who healed my wounds... response:	It was Emilia-sama.
context: So, Barusu, tell me what happened.\You were in terrible shape.\Your dislocated shoulder, split forehead, and broken ribs have been mended.\But if you move too much, they'll reopen\I've discarded your muddy, blood-soaked clothes.\Oh, thanks.\The one who healed my wounds...\It was Emilia-sama. response:	She didn't tell me what happened in the capital between you two.
context: You were in terrible shape.\Your dislocated shoulder, split forehead, and broken ribs have been mended.\But if you move too much, they'll reopen\I've discarded your muddy, blood-soaked clothes.\Oh, thanks.\The one who healed my wounds...\It was Emilia-sama.\She didn't tell me what happened in the capital between you two. response:	I'm not interested.
context: Your dislocated shoulder, split forehead, and broken ribs have been mended.\But if you move too much, they'll reopen\I've discarded your muddy, blood-soaked clothes.\Oh, thanks.\The one who healed my wounds...\It was Emilia-sama.\She didn't tell me what happened in the capital between you two.\I'm not interested. response:	Judging by her reaction,
context: But if you move too much, they'll reopen\I've discarded your muddy, blood-soaked clothes.\Oh, thanks.\The one who healed my wounds...\It was Emilia-sama.\She didn't tell me what happened in the capital between you two.\I'm not interested.\Judging by her reaction, response:	I'm sure you did something you shouldn't have.
context: I've discarded your muddy, blood-soaked clothes.\Oh, thanks.\The one who healed my wounds...\It was Emilia-sama.\She didn't tell me what happened in the capital between you two.\I'm not interested.\Judging by her reaction,\I'm sure you did something you shouldn't have. response:	That's harsh.
context: Oh, thanks.\The one who healed my wounds...\It was Emilia-sama.\She didn't tell me what happened in the capital between you two.\I'm not interested.\Judging by her reaction,\I'm sure you did something you shouldn't have.\That's harsh. response:	I think it's an appropriate assessment.
context: The one who healed my wounds...\It was Emilia-sama.\She didn't tell me what happened in the capital between you two.\I'm not interested.\Judging by her reaction,\I'm sure you did something you shouldn't have.\That's harsh.\I think it's an appropriate assessment. response:	Perfect for a loser, afraid to approach
context: It was Emilia-sama.\She didn't tell me what happened in the capital between you two.\I'm not interested.\Judging by her reaction,\I'm sure you did something you shouldn't have.\That's harsh.\I think it's an appropriate assessment.\Perfect for a loser, afraid to approach response:	the heart of the matter, who'd do anything to put it off a little.
context: She didn't tell me what happened in the capital between you two.\I'm not interested.\Judging by her reaction,\I'm sure you did something you shouldn't have.\That's harsh.\I think it's an appropriate assessment.\Perfect for a loser, afraid to approach\the heart of the matter, who'd do anything to put it off a little. response:	Rem is dead.
context: I'm not interested.\Judging by her reaction,\I'm sure you did something you shouldn't have.\That's harsh.\I think it's an appropriate assessment.\Perfect for a loser, afraid to approach\the heart of the matter, who'd do anything to put it off a little.\Rem is dead. response:	The fog... the White Whale... appeared on the road.
context: Judging by her reaction,\I'm sure you did something you shouldn't have.\That's harsh.\I think it's an appropriate assessment.\Perfect for a loser, afraid to approach\the heart of the matter, who'd do anything to put it off a little.\Rem is dead.\The fog... the White Whale... appeared on the road. response:	So, to cover my escape, Rem...
context: I'm sure you did something you shouldn't have.\That's harsh.\I think it's an appropriate assessment.\Perfect for a loser, afraid to approach\the heart of the matter, who'd do anything to put it off a little.\Rem is dead.\The fog... the White Whale... appeared on the road.\So, to cover my escape, Rem... response:	But... I was left alone in the fog.
context: That's harsh.\I think it's an appropriate assessment.\Perfect for a loser, afraid to approach\the heart of the matter, who'd do anything to put it off a little.\Rem is dead.\The fog... the White Whale... appeared on the road.\So, to cover my escape, Rem...\But... I was left alone in the fog. response:	And...
context: I think it's an appropriate assessment.\Perfect for a loser, afraid to approach\the heart of the matter, who'd do anything to put it off a little.\Rem is dead.\The fog... the White Whale... appeared on the road.\So, to cover my escape, Rem...\But... I was left alone in the fog.\And... response:	Barusu...
context: Perfect for a loser, afraid to approach\the heart of the matter, who'd do anything to put it off a little.\Rem is dead.\The fog... the White Whale... appeared on the road.\So, to cover my escape, Rem...\But... I was left alone in the fog.\And...\Barusu... response:	Rem...
context: the heart of the matter, who'd do anything to put it off a little.\Rem is dead.\The fog... the White Whale... appeared on the road.\So, to cover my escape, Rem...\But... I was left alone in the fog.\And...\Barusu...\Rem... response:	Who is that?
context: Rem is dead.\The fog... the White Whale... appeared on the road.\So, to cover my escape, Rem...\But... I was left alone in the fog.\And...\Barusu...\Rem...\Who is that? response:	Huh?
context: The fog... the White Whale... appeared on the road.\So, to cover my escape, Rem...\But... I was left alone in the fog.\And...\Barusu...\Rem...\Who is that?\Huh? response:	Who is Rem, Barusu?
context: So, to cover my escape, Rem...\But... I was left alone in the fog.\And...\Barusu...\Rem...\Who is that?\Huh?\Who is Rem, Barusu? response:	Wh-What do you mean, who?
context: But... I was left alone in the fog.\And...\Barusu...\Rem...\Who is that?\Huh?\Who is Rem, Barusu?\Wh-What do you mean, who? response:	Don't be ridiculous...
context: And...\Barusu...\Rem...\Who is that?\Huh?\Who is Rem, Barusu?\Wh-What do you mean, who?\Don't be ridiculous... response:	Sh-She's your younger sister!
context: Barusu...\Rem...\Who is that?\Huh?\Who is Rem, Barusu?\Wh-What do you mean, who?\Don't be ridiculous...\Sh-She's your younger sister! response:	You know, Rem! Rem... Rem!
context: Rem...\Who is that?\Huh?\Who is Rem, Barusu?\Wh-What do you mean, who?\Don't be ridiculous...\Sh-She's your younger sister!\You know, Rem! Rem... Rem! response:	This is no time for
context: Who is that?\Huh?\Who is Rem, Barusu?\Wh-What do you mean, who?\Don't be ridiculous...\Sh-She's your younger sister!\You know, Rem! Rem... Rem!\This is no time for response:	I have no younger sister.
context: Huh?\Who is Rem, Barusu?\Wh-What do you mean, who?\Don't be ridiculous...\Sh-She's your younger sister!\You know, Rem! Rem... Rem!\This is no time for\I have no younger sister. response:	Don't say that! If not for Rem...
context: Who is Rem, Barusu?\Wh-What do you mean, who?\Don't be ridiculous...\Sh-She's your younger sister!\You know, Rem! Rem... Rem!\This is no time for\I have no younger sister.\Don't say that! If not for Rem... response:	That's right!
context: Wh-What do you mean, who?\Don't be ridiculous...\Sh-She's your younger sister!\You know, Rem! Rem... Rem!\This is no time for\I have no younger sister.\Don't say that! If not for Rem...\That's right! response:	What would you call that whole mess in the mabeast forest?!
context: Don't be ridiculous...\Sh-She's your younger sister!\You know, Rem! Rem... Rem!\This is no time for\I have no younger sister.\Don't say that! If not for Rem...\That's right!\What would you call that whole mess in the mabeast forest?! response:	You, Rem, and I fought those mabeasts and
context: Sh-She's your younger sister!\You know, Rem! Rem... Rem!\This is no time for\I have no younger sister.\Don't say that! If not for Rem...\That's right!\What would you call that whole mess in the mabeast forest?!\You, Rem, and I fought those mabeasts and response:	Something is seriously wrong with you, Barusu.
context: You know, Rem! Rem... Rem!\This is no time for\I have no younger sister.\Don't say that! If not for Rem...\That's right!\What would you call that whole mess in the mabeast forest?!\You, Rem, and I fought those mabeasts and\Something is seriously wrong with you, Barusu. response:	I hate to admit it,
context: This is no time for\I have no younger sister.\Don't say that! If not for Rem...\That's right!\What would you call that whole mess in the mabeast forest?!\You, Rem, and I fought those mabeasts and\Something is seriously wrong with you, Barusu.\I hate to admit it, response:	but you were half-responsible for the ulgarm eradication.
context: I have no younger sister.\Don't say that! If not for Rem...\That's right!\What would you call that whole mess in the mabeast forest?!\You, Rem, and I fought those mabeasts and\Something is seriously wrong with you, Barusu.\I hate to admit it,\but you were half-responsible for the ulgarm eradication. response:	Roswaal-sama and I handled the rest.
context: Don't say that! If not for Rem...\That's right!\What would you call that whole mess in the mabeast forest?!\You, Rem, and I fought those mabeasts and\Something is seriously wrong with you, Barusu.\I hate to admit it,\but you were half-responsible for the ulgarm eradication.\Roswaal-sama and I handled the rest. response:	This long-lost sister you call Rem has no place in it.
context: That's right!\What would you call that whole mess in the mabeast forest?!\You, Rem, and I fought those mabeasts and\Something is seriously wrong with you, Barusu.\I hate to admit it,\but you were half-responsible for the ulgarm eradication.\Roswaal-sama and I handled the rest.\This long-lost sister you call Rem has no place in it. response:	That's not funny.
context: What would you call that whole mess in the mabeast forest?!\You, Rem, and I fought those mabeasts and\Something is seriously wrong with you, Barusu.\I hate to admit it,\but you were half-responsible for the ulgarm eradication.\Roswaal-sama and I handled the rest.\This long-lost sister you call Rem has no place in it.\That's not funny. response:	Even for a nightmare, this doesn't make sense!
context: You, Rem, and I fought those mabeasts and\Something is seriously wrong with you, Barusu.\I hate to admit it,\but you were half-responsible for the ulgarm eradication.\Roswaal-sama and I handled the rest.\This long-lost sister you call Rem has no place in it.\That's not funny.\Even for a nightmare, this doesn't make sense! response:	I am always serious.
context: Something is seriously wrong with you, Barusu.\I hate to admit it,\but you were half-responsible for the ulgarm eradication.\Roswaal-sama and I handled the rest.\This long-lost sister you call Rem has no place in it.\That's not funny.\Even for a nightmare, this doesn't make sense!\I am always serious. response:	You must be the one who's dreaming.
context: I hate to admit it,\but you were half-responsible for the ulgarm eradication.\Roswaal-sama and I handled the rest.\This long-lost sister you call Rem has no place in it.\That's not funny.\Even for a nightmare, this doesn't make sense!\I am always serious.\You must be the one who's dreaming. response:	Dreaming... Dreaming?
context: but you were half-responsible for the ulgarm eradication.\Roswaal-sama and I handled the rest.\This long-lost sister you call Rem has no place in it.\That's not funny.\Even for a nightmare, this doesn't make sense!\I am always serious.\You must be the one who's dreaming.\Dreaming... Dreaming? response:	Dreaming?!
context: Roswaal-sama and I handled the rest.\This long-lost sister you call Rem has no place in it.\That's not funny.\Even for a nightmare, this doesn't make sense!\I am always serious.\You must be the one who's dreaming.\Dreaming... Dreaming?\Dreaming?! response:	That's bull!
context: This long-lost sister you call Rem has no place in it.\That's not funny.\Even for a nightmare, this doesn't make sense!\I am always serious.\You must be the one who's dreaming.\Dreaming... Dreaming?\Dreaming?!\That's bull! response:	Barusu, you shouldn't stand
context: That's not funny.\Even for a nightmare, this doesn't make sense!\I am always serious.\You must be the one who's dreaming.\Dreaming... Dreaming?\Dreaming?!\That's bull!\Barusu, you shouldn't stand response:	Shut up! Just... Just be quiet and watch!
context: Even for a nightmare, this doesn't make sense!\I am always serious.\You must be the one who's dreaming.\Dreaming... Dreaming?\Dreaming?!\That's bull!\Barusu, you shouldn't stand\Shut up! Just... Just be quiet and watch! response:	It can't be...
context: I am always serious.\You must be the one who's dreaming.\Dreaming... Dreaming?\Dreaming?!\That's bull!\Barusu, you shouldn't stand\Shut up! Just... Just be quiet and watch!\It can't be... response:	Barusu, are you satisfied?
context: You must be the one who's dreaming.\Dreaming... Dreaming?\Dreaming?!\That's bull!\Barusu, you shouldn't stand\Shut up! Just... Just be quiet and watch!\It can't be...\Barusu, are you satisfied? response:	Rem isn't...
context: Dreaming... Dreaming?\Dreaming?!\That's bull!\Barusu, you shouldn't stand\Shut up! Just... Just be quiet and watch!\It can't be...\Barusu, are you satisfied?\Rem isn't... response:	No such person has ever lived in this room.
context: Dreaming?!\That's bull!\Barusu, you shouldn't stand\Shut up! Just... Just be quiet and watch!\It can't be...\Barusu, are you satisfied?\Rem isn't...\No such person has ever lived in this room. response:	Go back to your room and sleep.
context: That's bull!\Barusu, you shouldn't stand\Shut up! Just... Just be quiet and watch!\It can't be...\Barusu, are you satisfied?\Rem isn't...\No such person has ever lived in this room.\Go back to your room and sleep. response:	Your exhaustion is making you confused.
context: Barusu, you shouldn't stand\Shut up! Just... Just be quiet and watch!\It can't be...\Barusu, are you satisfied?\Rem isn't...\No such person has ever lived in this room.\Go back to your room and sleep.\Your exhaustion is making you confused. response:	All I have to do is run away, run away, run away.
context: Shut up! Just... Just be quiet and watch!\It can't be...\Barusu, are you satisfied?\Rem isn't...\No such person has ever lived in this room.\Go back to your room and sleep.\Your exhaustion is making you confused.\All I have to do is run away, run away, run away. response:	What good will running do?
context: It can't be...\Barusu, are you satisfied?\Rem isn't...\No such person has ever lived in this room.\Go back to your room and sleep.\Your exhaustion is making you confused.\All I have to do is run away, run away, run away.\What good will running do? response:	Lend me your courage, Rem!
context: Barusu, are you satisfied?\Rem isn't...\No such person has ever lived in this room.\Go back to your room and sleep.\Your exhaustion is making you confused.\All I have to do is run away, run away, run away.\What good will running do?\Lend me your courage, Rem! response:	Subaru?
context: Rem isn't...\No such person has ever lived in this room.\Go back to your room and sleep.\Your exhaustion is making you confused.\All I have to do is run away, run away, run away.\What good will running do?\Lend me your courage, Rem!\Subaru? response:	Why...
context: No such person has ever lived in this room.\Go back to your room and sleep.\Your exhaustion is making you confused.\All I have to do is run away, run away, run away.\What good will running do?\Lend me your courage, Rem!\Subaru?\Why... response:	did you come back?
context: Go back to your room and sleep.\Your exhaustion is making you confused.\All I have to do is run away, run away, run away.\What good will running do?\Lend me your courage, Rem!\Subaru?\Why...\did you come back? response:	Let's go.
context: Your exhaustion is making you confused.\All I have to do is run away, run away, run away.\What good will running do?\Lend me your courage, Rem!\Subaru?\Why...\did you come back?\Let's go. response:	We can't stay here!
context: All I have to do is run away, run away, run away.\What good will running do?\Lend me your courage, Rem!\Subaru?\Why...\did you come back?\Let's go.\We can't stay here! response:	Go? Where?
context: What good will running do?\Lend me your courage, Rem!\Subaru?\Why...\did you come back?\Let's go.\We can't stay here!\Go? Where? response:	No... Why?
context: Lend me your courage, Rem!\Subaru?\Why...\did you come back?\Let's go.\We can't stay here!\Go? Where?\No... Why? response:	Anywhere that isn't here!
context: Subaru?\Why...\did you come back?\Let's go.\We can't stay here!\Go? Where?\No... Why?\Anywhere that isn't here! response:	If you have to ask why, I'd say, For your sake.
context: Why...\did you come back?\Let's go.\We can't stay here!\Go? Where?\No... Why?\Anywhere that isn't here!\If you have to ask why, I'd say, For your sake. response:	I came back for you!
context: did you come back?\Let's go.\We can't stay here!\Go? Where?\No... Why?\Anywhere that isn't here!\If you have to ask why, I'd say, For your sake.\I came back for you! response:	That again, Subaru?
context: Let's go.\We can't stay here!\Go? Where?\No... Why?\Anywhere that isn't here!\If you have to ask why, I'd say, For your sake.\I came back for you!\That again, Subaru? response:	You came back, covered in wounds, and worried me to death.
context: We can't stay here!\Go? Where?\No... Why?\Anywhere that isn't here!\If you have to ask why, I'd say, For your sake.\I came back for you!\That again, Subaru?\You came back, covered in wounds, and worried me to death. response:	Weren't you in the capital so Felis could treat you?
context: Go? Where?\No... Why?\Anywhere that isn't here!\If you have to ask why, I'd say, For your sake.\I came back for you!\That again, Subaru?\You came back, covered in wounds, and worried me to death.\Weren't you in the capital so Felis could treat you? response:	Why are you here now?
context: No... Why?\Anywhere that isn't here!\If you have to ask why, I'd say, For your sake.\I came back for you!\That again, Subaru?\You came back, covered in wounds, and worried me to death.\Weren't you in the capital so Felis could treat you?\Why are you here now? response:	If...
context: Anywhere that isn't here!\If you have to ask why, I'd say, For your sake.\I came back for you!\That again, Subaru?\You came back, covered in wounds, and worried me to death.\Weren't you in the capital so Felis could treat you?\Why are you here now?\If... response:	If you protest, I'll drag you away, if I must!
context: If you have to ask why, I'd say, For your sake.\I came back for you!\That again, Subaru?\You came back, covered in wounds, and worried me to death.\Weren't you in the capital so Felis could treat you?\Why are you here now?\If...\If you protest, I'll drag you away, if I must! response:	In a few days, you'll see I was right, whether you want to or not!
context: I came back for you!\That again, Subaru?\You came back, covered in wounds, and worried me to death.\Weren't you in the capital so Felis could treat you?\Why are you here now?\If...\If you protest, I'll drag you away, if I must!\In a few days, you'll see I was right, whether you want to or not! response:	So just...
context: That again, Subaru?\You came back, covered in wounds, and worried me to death.\Weren't you in the capital so Felis could treat you?\Why are you here now?\If...\If you protest, I'll drag you away, if I must!\In a few days, you'll see I was right, whether you want to or not!\So just... response:	Wait! Wait, Subaru!
context: You came back, covered in wounds, and worried me to death.\Weren't you in the capital so Felis could treat you?\Why are you here now?\If...\If you protest, I'll drag you away, if I must!\In a few days, you'll see I was right, whether you want to or not!\So just...\Wait! Wait, Subaru! response:	What happened to you?
context: Weren't you in the capital so Felis could treat you?\Why are you here now?\If...\If you protest, I'll drag you away, if I must!\In a few days, you'll see I was right, whether you want to or not!\So just...\Wait! Wait, Subaru!\What happened to you? response:	You weren't this kind of person before.
context: Why are you here now?\If...\If you protest, I'll drag you away, if I must!\In a few days, you'll see I was right, whether you want to or not!\So just...\Wait! Wait, Subaru!\What happened to you?\You weren't this kind of person before. response:	I thought you... And yet
context: If...\If you protest, I'll drag you away, if I must!\In a few days, you'll see I was right, whether you want to or not!\So just...\Wait! Wait, Subaru!\What happened to you?\You weren't this kind of person before.\I thought you... And yet response:	Just be quiet, and do as I say!
context: If you protest, I'll drag you away, if I must!\In a few days, you'll see I was right, whether you want to or not!\So just...\Wait! Wait, Subaru!\What happened to you?\You weren't this kind of person before.\I thought you... And yet\Just be quiet, and do as I say! response:	You can't stay here!
context: In a few days, you'll see I was right, whether you want to or not!\So just...\Wait! Wait, Subaru!\What happened to you?\You weren't this kind of person before.\I thought you... And yet\Just be quiet, and do as I say!\You can't stay here! response:	You'll regret it... You will!
context: So just...\Wait! Wait, Subaru!\What happened to you?\You weren't this kind of person before.\I thought you... And yet\Just be quiet, and do as I say!\You can't stay here!\You'll regret it... You will! response:	No one will be saved.
context: Wait! Wait, Subaru!\What happened to you?\You weren't this kind of person before.\I thought you... And yet\Just be quiet, and do as I say!\You can't stay here!\You'll regret it... You will!\No one will be saved. response:	I don't want to suffer and cry anymore!
context: What happened to you?\You weren't this kind of person before.\I thought you... And yet\Just be quiet, and do as I say!\You can't stay here!\You'll regret it... You will!\No one will be saved.\I don't want to suffer and cry anymore! response:	Just do as I say!
context: You weren't this kind of person before.\I thought you... And yet\Just be quiet, and do as I say!\You can't stay here!\You'll regret it... You will!\No one will be saved.\I don't want to suffer and cry anymore!\Just do as I say! response:	Then everything will work out! It will!
context: I thought you... And yet\Just be quiet, and do as I say!\You can't stay here!\You'll regret it... You will!\No one will be saved.\I don't want to suffer and cry anymore!\Just do as I say!\Then everything will work out! It will! response:	Why doesn't anyone understand?!
context: Just be quiet, and do as I say!\You can't stay here!\You'll regret it... You will!\No one will be saved.\I don't want to suffer and cry anymore!\Just do as I say!\Then everything will work out! It will!\Why doesn't anyone understand?! response:	I'm sorry.
context: You can't stay here!\You'll regret it... You will!\No one will be saved.\I don't want to suffer and cry anymore!\Just do as I say!\Then everything will work out! It will!\Why doesn't anyone understand?!\I'm sorry. response:	I don't understand what you're saying...
context: You'll regret it... You will!\No one will be saved.\I don't want to suffer and cry anymore!\Just do as I say!\Then everything will work out! It will!\Why doesn't anyone understand?!\I'm sorry.\I don't understand what you're saying... response:	I want to.
context: No one will be saved.\I don't want to suffer and cry anymore!\Just do as I say!\Then everything will work out! It will!\Why doesn't anyone understand?!\I'm sorry.\I don't understand what you're saying...\I want to. response:	But right now, I'm not sure I have time for that.
context: I don't want to suffer and cry anymore!\Just do as I say!\Then everything will work out! It will!\Why doesn't anyone understand?!\I'm sorry.\I don't understand what you're saying...\I want to.\But right now, I'm not sure I have time for that. response:	There's so much I need to do.
context: Just do as I say!\Then everything will work out! It will!\Why doesn't anyone understand?!\I'm sorry.\I don't understand what you're saying...\I want to.\But right now, I'm not sure I have time for that.\There's so much I need to do. response:	So for now...
context: Then everything will work out! It will!\Why doesn't anyone understand?!\I'm sorry.\I don't understand what you're saying...\I want to.\But right now, I'm not sure I have time for that.\There's so much I need to do.\So for now... response:	It won't work.
context: Why doesn't anyone understand?!\I'm sorry.\I don't understand what you're saying...\I want to.\But right now, I'm not sure I have time for that.\There's so much I need to do.\So for now...\It won't work. response:	It won't work.
context: I'm sorry.\I don't understand what you're saying...\I want to.\But right now, I'm not sure I have time for that.\There's so much I need to do.\So for now...\It won't work.\It won't work. response:	You won't work. You'll fail!
context: I don't understand what you're saying...\I want to.\But right now, I'm not sure I have time for that.\There's so much I need to do.\So for now...\It won't work.\It won't work.\You won't work. You'll fail! response:	You can't do it. It's no use.
context: I want to.\But right now, I'm not sure I have time for that.\There's so much I need to do.\So for now...\It won't work.\It won't work.\You won't work. You'll fail!\You can't do it. It's no use. response:	You're all talk! You can't save anyone, or be saved!
context: But right now, I'm not sure I have time for that.\There's so much I need to do.\So for now...\It won't work.\It won't work.\You won't work. You'll fail!\You can't do it. It's no use.\You're all talk! You can't save anyone, or be saved! response:	You'll keep acting rashly and unreasonably,
context: There's so much I need to do.\So for now...\It won't work.\It won't work.\You won't work. You'll fail!\You can't do it. It's no use.\You're all talk! You can't save anyone, or be saved!\You'll keep acting rashly and unreasonably, response:	until you see as many corpses as the number of your reckless decisions!
context: So for now...\It won't work.\It won't work.\You won't work. You'll fail!\You can't do it. It's no use.\You're all talk! You can't save anyone, or be saved!\You'll keep acting rashly and unreasonably,\until you see as many corpses as the number of your reckless decisions! response:	That is your future!
context: It won't work.\It won't work.\You won't work. You'll fail!\You can't do it. It's no use.\You're all talk! You can't save anyone, or be saved!\You'll keep acting rashly and unreasonably,\until you see as many corpses as the number of your reckless decisions!\That is your future! response:	Why?
context: It won't work.\You won't work. You'll fail!\You can't do it. It's no use.\You're all talk! You can't save anyone, or be saved!\You'll keep acting rashly and unreasonably,\until you see as many corpses as the number of your reckless decisions!\That is your future!\Why? response:	Why are you crying, as if you're in such pain?
context: You won't work. You'll fail!\You can't do it. It's no use.\You're all talk! You can't save anyone, or be saved!\You'll keep acting rashly and unreasonably,\until you see as many corpses as the number of your reckless decisions!\That is your future!\Why?\Why are you crying, as if you're in such pain? response:	After... After she sent me here...
context: You can't do it. It's no use.\You're all talk! You can't save anyone, or be saved!\You'll keep acting rashly and unreasonably,\until you see as many corpses as the number of your reckless decisions!\That is your future!\Why?\Why are you crying, as if you're in such pain?\After... After she sent me here... response:	No, after she brought me here, there's...
context: You're all talk! You can't save anyone, or be saved!\You'll keep acting rashly and unreasonably,\until you see as many corpses as the number of your reckless decisions!\That is your future!\Why?\Why are you crying, as if you're in such pain?\After... After she sent me here...\No, after she brought me here, there's... response:	There's something I must do for Rem's sake...
context: You'll keep acting rashly and unreasonably,\until you see as many corpses as the number of your reckless decisions!\That is your future!\Why?\Why are you crying, as if you're in such pain?\After... After she sent me here...\No, after she brought me here, there's...\There's something I must do for Rem's sake... response:	Rem?
context: until you see as many corpses as the number of your reckless decisions!\That is your future!\Why?\Why are you crying, as if you're in such pain?\After... After she sent me here...\No, after she brought me here, there's...\There's something I must do for Rem's sake...\Rem? response:	You, too?
context: That is your future!\Why?\Why are you crying, as if you're in such pain?\After... After she sent me here...\No, after she brought me here, there's...\There's something I must do for Rem's sake...\Rem?\You, too? response:	You've forgotten Rem, too?
context: Why?\Why are you crying, as if you're in such pain?\After... After she sent me here...\No, after she brought me here, there's...\There's something I must do for Rem's sake...\Rem?\You, too?\You've forgotten Rem, too? response:	Subaru?
context: Why are you crying, as if you're in such pain?\After... After she sent me here...\No, after she brought me here, there's...\There's something I must do for Rem's sake...\Rem?\You, too?\You've forgotten Rem, too?\Subaru? response:	Fine, I'll tell you everything...
context: After... After she sent me here...\No, after she brought me here, there's...\There's something I must do for Rem's sake...\Rem?\You, too?\You've forgotten Rem, too?\Subaru?\Fine, I'll tell you everything... response:	If you all are going to forget Rem,
context: No, after she brought me here, there's...\There's something I must do for Rem's sake...\Rem?\You, too?\You've forgotten Rem, too?\Subaru?\Fine, I'll tell you everything...\If you all are going to forget Rem, response:	I'd rather expose everything and end up vomiting blood!
context: There's something I must do for Rem's sake...\Rem?\You, too?\You've forgotten Rem, too?\Subaru?\Fine, I'll tell you everything...\If you all are going to forget Rem,\I'd rather expose everything and end up vomiting blood! response:	If you're coming for me, then come.
