context: A Super-Huge Genki Dama - I'm Playing My Last Card!! response:	It's no good. Not even with Goku's 20x Kaio-ken.
context: It's missing something, huh?\Maybe because the Commander isn't here.\We haven't done this in a while, either.\No, it has to be the gravity!\Okay, let's try it again!\Together we are...\The Ginyu Special Corps!\All right! That one went well! response:	We nailed it!
context: Maybe because the Commander isn't here.\We haven't done this in a while, either.\No, it has to be the gravity!\Okay, let's try it again!\Together we are...\The Ginyu Special Corps!\All right! That one went well!\We nailed it! response:	Okay, from now on, that's how we'll do it.
context: We haven't done this in a while, either.\No, it has to be the gravity!\Okay, let's try it again!\Together we are...\The Ginyu Special Corps!\All right! That one went well!\We nailed it!\Okay, from now on, that's how we'll do it. response:	W- What's the deal... with these guys?
context: No, it has to be the gravity!\Okay, let's try it again!\Together we are...\The Ginyu Special Corps!\All right! That one went well!\We nailed it!\Okay, from now on, that's how we'll do it.\W- What's the deal... with these guys? response:	I can't take it any more! I'm going!
context: Okay, let's try it again!\Together we are...\The Ginyu Special Corps!\All right! That one went well!\We nailed it!\Okay, from now on, that's how we'll do it.\W- What's the deal... with these guys?\I can't take it any more! I'm going! response:	W- Wait!
context: Together we are...\The Ginyu Special Corps!\All right! That one went well!\We nailed it!\Okay, from now on, that's how we'll do it.\W- What's the deal... with these guys?\I can't take it any more! I'm going!\W- Wait! response:	- How come? Father will be killed! - Goku is about to do something!
context: The Ginyu Special Corps!\All right! That one went well!\We nailed it!\Okay, from now on, that's how we'll do it.\W- What's the deal... with these guys?\I can't take it any more! I'm going!\W- Wait!\- How come? Father will be killed! - Goku is about to do something! response:	But what? What can he hope to do with such little remaining power?
context: All right! That one went well!\We nailed it!\Okay, from now on, that's how we'll do it.\W- What's the deal... with these guys?\I can't take it any more! I'm going!\W- Wait!\- How come? Father will be killed! - Goku is about to do something!\But what? What can he hope to do with such little remaining power? response:	What's this? What are you trying to do?
context: We nailed it!\Okay, from now on, that's how we'll do it.\W- What's the deal... with these guys?\I can't take it any more! I'm going!\W- Wait!\- How come? Father will be killed! - Goku is about to do something!\But what? What can he hope to do with such little remaining power?\What's this? What are you trying to do? response:	Ah! A Genki Dama!
context: Okay, from now on, that's how we'll do it.\W- What's the deal... with these guys?\I can't take it any more! I'm going!\W- Wait!\- How come? Father will be killed! - Goku is about to do something!\But what? What can he hope to do with such little remaining power?\What's this? What are you trying to do?\Ah! A Genki Dama! response:	What? A Genki Dama?
context: W- What's the deal... with these guys?\I can't take it any more! I'm going!\W- Wait!\- How come? Father will be killed! - Goku is about to do something!\But what? What can he hope to do with such little remaining power?\What's this? What are you trying to do?\Ah! A Genki Dama!\What? A Genki Dama? response:	T- That's right. The Genki Dama, a last-ditch technique he learned from Kaio-sama.
context: I can't take it any more! I'm going!\W- Wait!\- How come? Father will be killed! - Goku is about to do something!\But what? What can he hope to do with such little remaining power?\What's this? What are you trying to do?\Ah! A Genki Dama!\What? A Genki Dama?\T- That's right. The Genki Dama, a last-ditch technique he learned from Kaio-sama. response:	The foliage and animals on this planet, as well as ourselves, and even microorganisms...
context: W- Wait!\- How come? Father will be killed! - Goku is about to do something!\But what? What can he hope to do with such little remaining power?\What's this? What are you trying to do?\Ah! A Genki Dama!\What? A Genki Dama?\T- That's right. The Genki Dama, a last-ditch technique he learned from Kaio-sama.\The foliage and animals on this planet, as well as ourselves, and even microorganisms... response:	He takes a fraction of the Genki, the basic energy of life, from every living thing, and apportions it to himself.
context: - How come? Father will be killed! - Goku is about to do something!\But what? What can he hope to do with such little remaining power?\What's this? What are you trying to do?\Ah! A Genki Dama!\What? A Genki Dama?\T- That's right. The Genki Dama, a last-ditch technique he learned from Kaio-sama.\The foliage and animals on this planet, as well as ourselves, and even microorganisms...\He takes a fraction of the Genki, the basic energy of life, from every living thing, and apportions it to himself. response:	And then... and then he creates a ball of energy, and attacks with it!
context: But what? What can he hope to do with such little remaining power?\What's this? What are you trying to do?\Ah! A Genki Dama!\What? A Genki Dama?\T- That's right. The Genki Dama, a last-ditch technique he learned from Kaio-sama.\The foliage and animals on this planet, as well as ourselves, and even microorganisms...\He takes a fraction of the Genki, the basic energy of life, from every living thing, and apportions it to himself.\And then... and then he creates a ball of energy, and attacks with it! response:	What!?
context: What's this? What are you trying to do?\Ah! A Genki Dama!\What? A Genki Dama?\T- That's right. The Genki Dama, a last-ditch technique he learned from Kaio-sama.\The foliage and animals on this planet, as well as ourselves, and even microorganisms...\He takes a fraction of the Genki, the basic energy of life, from every living thing, and apportions it to himself.\And then... and then he creates a ball of energy, and attacks with it!\What!? response:	Damn, Kaio. You kept that back from us, didn't you?
context: Ah! A Genki Dama!\What? A Genki Dama?\T- That's right. The Genki Dama, a last-ditch technique he learned from Kaio-sama.\The foliage and animals on this planet, as well as ourselves, and even microorganisms...\He takes a fraction of the Genki, the basic energy of life, from every living thing, and apportions it to himself.\And then... and then he creates a ball of energy, and attacks with it!\What!?\Damn, Kaio. You kept that back from us, didn't you? response:	B- But will it work against Freeza? There's a far smaller number of living things here than on Earth!
context: What? A Genki Dama?\T- That's right. The Genki Dama, a last-ditch technique he learned from Kaio-sama.\The foliage and animals on this planet, as well as ourselves, and even microorganisms...\He takes a fraction of the Genki, the basic energy of life, from every living thing, and apportions it to himself.\And then... and then he creates a ball of energy, and attacks with it!\What!?\Damn, Kaio. You kept that back from us, didn't you?\B- But will it work against Freeza? There's a far smaller number of living things here than on Earth! response:	What choice is there!? Goku has to realize that too! Are you saying there's another option left!?
context: T- That's right. The Genki Dama, a last-ditch technique he learned from Kaio-sama.\The foliage and animals on this planet, as well as ourselves, and even microorganisms...\He takes a fraction of the Genki, the basic energy of life, from every living thing, and apportions it to himself.\And then... and then he creates a ball of energy, and attacks with it!\What!?\Damn, Kaio. You kept that back from us, didn't you?\B- But will it work against Freeza? There's a far smaller number of living things here than on Earth!\What choice is there!? Goku has to realize that too! Are you saying there's another option left!? response:	All we can do is gamble that this works!
context: The foliage and animals on this planet, as well as ourselves, and even microorganisms...\He takes a fraction of the Genki, the basic energy of life, from every living thing, and apportions it to himself.\And then... and then he creates a ball of energy, and attacks with it!\What!?\Damn, Kaio. You kept that back from us, didn't you?\B- But will it work against Freeza? There's a far smaller number of living things here than on Earth!\What choice is there!? Goku has to realize that too! Are you saying there's another option left!?\All we can do is gamble that this works! response:	I can't beat Freeza with just the energy from this planet.
context: He takes a fraction of the Genki, the basic energy of life, from every living thing, and apportions it to himself.\And then... and then he creates a ball of energy, and attacks with it!\What!?\Damn, Kaio. You kept that back from us, didn't you?\B- But will it work against Freeza? There's a far smaller number of living things here than on Earth!\What choice is there!? Goku has to realize that too! Are you saying there's another option left!?\All we can do is gamble that this works!\I can't beat Freeza with just the energy from this planet. response:	Those planets in Namek, I only need a little from each of you...
context: And then... and then he creates a ball of energy, and attacks with it!\What!?\Damn, Kaio. You kept that back from us, didn't you?\B- But will it work against Freeza? There's a far smaller number of living things here than on Earth!\What choice is there!? Goku has to realize that too! Are you saying there's another option left!?\All we can do is gamble that this works!\I can't beat Freeza with just the energy from this planet.\Those planets in Namek, I only need a little from each of you... response:	Share some of your Genki with me!
context: What!?\Damn, Kaio. You kept that back from us, didn't you?\B- But will it work against Freeza? There's a far smaller number of living things here than on Earth!\What choice is there!? Goku has to realize that too! Are you saying there's another option left!?\All we can do is gamble that this works!\I can't beat Freeza with just the energy from this planet.\Those planets in Namek, I only need a little from each of you...\Share some of your Genki with me! response:	T- This Genki Dama is the last thing I wanted to use.
context: Damn, Kaio. You kept that back from us, didn't you?\B- But will it work against Freeza? There's a far smaller number of living things here than on Earth!\What choice is there!? Goku has to realize that too! Are you saying there's another option left!?\All we can do is gamble that this works!\I can't beat Freeza with just the energy from this planet.\Those planets in Namek, I only need a little from each of you...\Share some of your Genki with me!\T- This Genki Dama is the last thing I wanted to use. response:	There'll probably be too much force to it! It will be hard not to squash the planet itself!
context: B- But will it work against Freeza? There's a far smaller number of living things here than on Earth!\What choice is there!? Goku has to realize that too! Are you saying there's another option left!?\All we can do is gamble that this works!\I can't beat Freeza with just the energy from this planet.\Those planets in Namek, I only need a little from each of you...\Share some of your Genki with me!\T- This Genki Dama is the last thing I wanted to use.\There'll probably be too much force to it! It will be hard not to squash the planet itself! response:	But if I don't wipe out Freeza here and now, the universe itself could be torn apart!
context: What choice is there!? Goku has to realize that too! Are you saying there's another option left!?\All we can do is gamble that this works!\I can't beat Freeza with just the energy from this planet.\Those planets in Namek, I only need a little from each of you...\Share some of your Genki with me!\T- This Genki Dama is the last thing I wanted to use.\There'll probably be too much force to it! It will be hard not to squash the planet itself!\But if I don't wipe out Freeza here and now, the universe itself could be torn apart! response:	I don't know if this is going to go right or not, but it's all I can do now!
context: All we can do is gamble that this works!\I can't beat Freeza with just the energy from this planet.\Those planets in Namek, I only need a little from each of you...\Share some of your Genki with me!\T- This Genki Dama is the last thing I wanted to use.\There'll probably be too much force to it! It will be hard not to squash the planet itself!\But if I don't wipe out Freeza here and now, the universe itself could be torn apart!\I don't know if this is going to go right or not, but it's all I can do now! response:	What's this you're doing?
context: I can't beat Freeza with just the energy from this planet.\Those planets in Namek, I only need a little from each of you...\Share some of your Genki with me!\T- This Genki Dama is the last thing I wanted to use.\There'll probably be too much force to it! It will be hard not to squash the planet itself!\But if I don't wipe out Freeza here and now, the universe itself could be torn apart!\I don't know if this is going to go right or not, but it's all I can do now!\What's this you're doing? response:	You're still thinking of trying some kind of nonsense, are you?
context: Those planets in Namek, I only need a little from each of you...\Share some of your Genki with me!\T- This Genki Dama is the last thing I wanted to use.\There'll probably be too much force to it! It will be hard not to squash the planet itself!\But if I don't wipe out Freeza here and now, the universe itself could be torn apart!\I don't know if this is going to go right or not, but it's all I can do now!\What's this you're doing?\You're still thinking of trying some kind of nonsense, are you? response:	What can you possibly do, as worn out as you are?
context: Share some of your Genki with me!\T- This Genki Dama is the last thing I wanted to use.\There'll probably be too much force to it! It will be hard not to squash the planet itself!\But if I don't wipe out Freeza here and now, the universe itself could be torn apart!\I don't know if this is going to go right or not, but it's all I can do now!\What's this you're doing?\You're still thinking of trying some kind of nonsense, are you?\What can you possibly do, as worn out as you are? response:	G- Goku...
context: T- This Genki Dama is the last thing I wanted to use.\There'll probably be too much force to it! It will be hard not to squash the planet itself!\But if I don't wipe out Freeza here and now, the universe itself could be torn apart!\I don't know if this is going to go right or not, but it's all I can do now!\What's this you're doing?\You're still thinking of trying some kind of nonsense, are you?\What can you possibly do, as worn out as you are?\G- Goku... response:	Can you really beat Freeza with a Genki Dama?
context: There'll probably be too much force to it! It will be hard not to squash the planet itself!\But if I don't wipe out Freeza here and now, the universe itself could be torn apart!\I don't know if this is going to go right or not, but it's all I can do now!\What's this you're doing?\You're still thinking of trying some kind of nonsense, are you?\What can you possibly do, as worn out as you are?\G- Goku...\Can you really beat Freeza with a Genki Dama? response:	W- What's this I'm sensing?
context: But if I don't wipe out Freeza here and now, the universe itself could be torn apart!\I don't know if this is going to go right or not, but it's all I can do now!\What's this you're doing?\You're still thinking of trying some kind of nonsense, are you?\What can you possibly do, as worn out as you are?\G- Goku...\Can you really beat Freeza with a Genki Dama?\W- What's this I'm sensing? response:	l- It's...
context: I don't know if this is going to go right or not, but it's all I can do now!\What's this you're doing?\You're still thinking of trying some kind of nonsense, are you?\What can you possibly do, as worn out as you are?\G- Goku...\Can you really beat Freeza with a Genki Dama?\W- What's this I'm sensing?\l- It's... response:	G- Genki Dama...
context: What's this you're doing?\You're still thinking of trying some kind of nonsense, are you?\What can you possibly do, as worn out as you are?\G- Goku...\Can you really beat Freeza with a Genki Dama?\W- What's this I'm sensing?\l- It's...\G- Genki Dama... response:	l- It can't be...!
context: You're still thinking of trying some kind of nonsense, are you?\What can you possibly do, as worn out as you are?\G- Goku...\Can you really beat Freeza with a Genki Dama?\W- What's this I'm sensing?\l- It's...\G- Genki Dama...\l- It can't be...! response:	A Genki Dama, loaded with the hopes of the universe.
context: What can you possibly do, as worn out as you are?\G- Goku...\Can you really beat Freeza with a Genki Dama?\W- What's this I'm sensing?\l- It's...\G- Genki Dama...\l- It can't be...!\A Genki Dama, loaded with the hopes of the universe. response:	Will this turn out to be Goku's very last card?
