context: Fifty years earlier, falling right into a trap laid by Naraku, response:	Inuyasha and Kikyo ended up hating and trying to kill each other.
context: She should've just left me fordead.\Soul Collectors... Did you see Kikyo?\So that was Kikyo, after all.\I wondered where she went after she killed my mother.\Yourmother?\What do you mean?\There are puppet soldiers here.\There must be someone in here who's manipulating the soldiers. response:	Next, we'll attack this castle.
context: Soul Collectors... Did you see Kikyo?\So that was Kikyo, after all.\I wondered where she went after she killed my mother.\Yourmother?\What do you mean?\There are puppet soldiers here.\There must be someone in here who's manipulating the soldiers.\Next, we'll attack this castle. response:	It's heavily guarded.
context: So that was Kikyo, after all.\I wondered where she went after she killed my mother.\Yourmother?\What do you mean?\There are puppet soldiers here.\There must be someone in here who's manipulating the soldiers.\Next, we'll attack this castle.\It's heavily guarded. response:	No one can overcome the power of our army.
context: I wondered where she went after she killed my mother.\Yourmother?\What do you mean?\There are puppet soldiers here.\There must be someone in here who's manipulating the soldiers.\Next, we'll attack this castle.\It's heavily guarded.\No one can overcome the power of our army. response:	It's no longer a dream that we will reign over the land.
context: Yourmother?\What do you mean?\There are puppet soldiers here.\There must be someone in here who's manipulating the soldiers.\Next, we'll attack this castle.\It's heavily guarded.\No one can overcome the power of our army.\It's no longer a dream that we will reign over the land. response:	It's all due to you, my lord.
context: What do you mean?\There are puppet soldiers here.\There must be someone in here who's manipulating the soldiers.\Next, we'll attack this castle.\It's heavily guarded.\No one can overcome the power of our army.\It's no longer a dream that we will reign over the land.\It's all due to you, my lord. response:	And the puppet soldiers constructed by Enju and myself.
context: There are puppet soldiers here.\There must be someone in here who's manipulating the soldiers.\Next, we'll attack this castle.\It's heavily guarded.\No one can overcome the power of our army.\It's no longer a dream that we will reign over the land.\It's all due to you, my lord.\And the puppet soldiers constructed by Enju and myself. response:	Where is Kikyo?!
context: There must be someone in here who's manipulating the soldiers.\Next, we'll attack this castle.\It's heavily guarded.\No one can overcome the power of our army.\It's no longer a dream that we will reign over the land.\It's all due to you, my lord.\And the puppet soldiers constructed by Enju and myself.\Where is Kikyo?! response:	I don't sense herpresence anywhere.
context: Next, we'll attack this castle.\It's heavily guarded.\No one can overcome the power of our army.\It's no longer a dream that we will reign over the land.\It's all due to you, my lord.\And the puppet soldiers constructed by Enju and myself.\Where is Kikyo?!\I don't sense herpresence anywhere. response:	What business do you have in this castle?
context: It's heavily guarded.\No one can overcome the power of our army.\It's no longer a dream that we will reign over the land.\It's all due to you, my lord.\And the puppet soldiers constructed by Enju and myself.\Where is Kikyo?!\I don't sense herpresence anywhere.\What business do you have in this castle? response:	So it wasn't Kikyo.
context: No one can overcome the power of our army.\It's no longer a dream that we will reign over the land.\It's all due to you, my lord.\And the puppet soldiers constructed by Enju and myself.\Where is Kikyo?!\I don't sense herpresence anywhere.\What business do you have in this castle?\So it wasn't Kikyo. response:	So you're the one controlling Urasue's puppet soldiers
context: It's no longer a dream that we will reign over the land.\It's all due to you, my lord.\And the puppet soldiers constructed by Enju and myself.\Where is Kikyo?!\I don't sense herpresence anywhere.\What business do you have in this castle?\So it wasn't Kikyo.\So you're the one controlling Urasue's puppet soldiers response:	and causing war.
context: It's all due to you, my lord.\And the puppet soldiers constructed by Enju and myself.\Where is Kikyo?!\I don't sense herpresence anywhere.\What business do you have in this castle?\So it wasn't Kikyo.\So you're the one controlling Urasue's puppet soldiers\and causing war. response:	This place reeks of dead men.
context: And the puppet soldiers constructed by Enju and myself.\Where is Kikyo?!\I don't sense herpresence anywhere.\What business do you have in this castle?\So it wasn't Kikyo.\So you're the one controlling Urasue's puppet soldiers\and causing war.\This place reeks of dead men. response:	My name is Kawaramaru. I am Urasue's son.
context: Where is Kikyo?!\I don't sense herpresence anywhere.\What business do you have in this castle?\So it wasn't Kikyo.\So you're the one controlling Urasue's puppet soldiers\and causing war.\This place reeks of dead men.\My name is Kawaramaru. I am Urasue's son. response:	What? Urasue's son?
context: I don't sense herpresence anywhere.\What business do you have in this castle?\So it wasn't Kikyo.\So you're the one controlling Urasue's puppet soldiers\and causing war.\This place reeks of dead men.\My name is Kawaramaru. I am Urasue's son.\What? Urasue's son? response:	You must be the one who was with the priestess who killed my mother.
context: What business do you have in this castle?\So it wasn't Kikyo.\So you're the one controlling Urasue's puppet soldiers\and causing war.\This place reeks of dead men.\My name is Kawaramaru. I am Urasue's son.\What? Urasue's son?\You must be the one who was with the priestess who killed my mother. response:	Perfect timing.
context: So it wasn't Kikyo.\So you're the one controlling Urasue's puppet soldiers\and causing war.\This place reeks of dead men.\My name is Kawaramaru. I am Urasue's son.\What? Urasue's son?\You must be the one who was with the priestess who killed my mother.\Perfect timing. response:	I gathered soldiers in order to conquerthe neighboring lands.
context: So you're the one controlling Urasue's puppet soldiers\and causing war.\This place reeks of dead men.\My name is Kawaramaru. I am Urasue's son.\What? Urasue's son?\You must be the one who was with the priestess who killed my mother.\Perfect timing.\I gathered soldiers in order to conquerthe neighboring lands. response:	But I shall deal with you first.
context: and causing war.\This place reeks of dead men.\My name is Kawaramaru. I am Urasue's son.\What? Urasue's son?\You must be the one who was with the priestess who killed my mother.\Perfect timing.\I gathered soldiers in order to conquerthe neighboring lands.\But I shall deal with you first. response:	Turn him into a pile of bones!
context: This place reeks of dead men.\My name is Kawaramaru. I am Urasue's son.\What? Urasue's son?\You must be the one who was with the priestess who killed my mother.\Perfect timing.\I gathered soldiers in order to conquerthe neighboring lands.\But I shall deal with you first.\Turn him into a pile of bones! response:	As if I'd let ya!
context: My name is Kawaramaru. I am Urasue's son.\What? Urasue's son?\You must be the one who was with the priestess who killed my mother.\Perfect timing.\I gathered soldiers in order to conquerthe neighboring lands.\But I shall deal with you first.\Turn him into a pile of bones!\As if I'd let ya! response:	Take this!
context: What? Urasue's son?\You must be the one who was with the priestess who killed my mother.\Perfect timing.\I gathered soldiers in order to conquerthe neighboring lands.\But I shall deal with you first.\Turn him into a pile of bones!\As if I'd let ya!\Take this! response:	Iron-Reaver, Soul-Stealer!
context: You must be the one who was with the priestess who killed my mother.\Perfect timing.\I gathered soldiers in order to conquerthe neighboring lands.\But I shall deal with you first.\Turn him into a pile of bones!\As if I'd let ya!\Take this!\Iron-Reaver, Soul-Stealer! response:	The chests of those puppets are infused with miasma!
context: Perfect timing.\I gathered soldiers in order to conquerthe neighboring lands.\But I shall deal with you first.\Turn him into a pile of bones!\As if I'd let ya!\Take this!\Iron-Reaver, Soul-Stealer!\The chests of those puppets are infused with miasma! response:	Your skin and flesh will melt!
context: I gathered soldiers in order to conquerthe neighboring lands.\But I shall deal with you first.\Turn him into a pile of bones!\As if I'd let ya!\Take this!\Iron-Reaver, Soul-Stealer!\The chests of those puppets are infused with miasma!\Your skin and flesh will melt! response:	I'll use yourbones to make me a puppet servant!
context: But I shall deal with you first.\Turn him into a pile of bones!\As if I'd let ya!\Take this!\Iron-Reaver, Soul-Stealer!\The chests of those puppets are infused with miasma!\Your skin and flesh will melt!\I'll use yourbones to make me a puppet servant! response:	My vision's blurred...
context: Turn him into a pile of bones!\As if I'd let ya!\Take this!\Iron-Reaver, Soul-Stealer!\The chests of those puppets are infused with miasma!\Your skin and flesh will melt!\I'll use yourbones to make me a puppet servant!\My vision's blurred... response:	Why you...!
context: As if I'd let ya!\Take this!\Iron-Reaver, Soul-Stealer!\The chests of those puppets are infused with miasma!\Your skin and flesh will melt!\I'll use yourbones to make me a puppet servant!\My vision's blurred...\Why you...! response:	Wind Scar!
context: Take this!\Iron-Reaver, Soul-Stealer!\The chests of those puppets are infused with miasma!\Your skin and flesh will melt!\I'll use yourbones to make me a puppet servant!\My vision's blurred...\Why you...!\Wind Scar! response:	Hmm...so he escaped.
context: Iron-Reaver, Soul-Stealer!\The chests of those puppets are infused with miasma!\Your skin and flesh will melt!\I'll use yourbones to make me a puppet servant!\My vision's blurred...\Why you...!\Wind Scar!\Hmm...so he escaped. response:	Fragments of puppets from my kiln.
context: The chests of those puppets are infused with miasma!\Your skin and flesh will melt!\I'll use yourbones to make me a puppet servant!\My vision's blurred...\Why you...!\Wind Scar!\Hmm...so he escaped.\Fragments of puppets from my kiln. response:	Puppets that Kawaramaru ordered me to make.
context: Your skin and flesh will melt!\I'll use yourbones to make me a puppet servant!\My vision's blurred...\Why you...!\Wind Scar!\Hmm...so he escaped.\Fragments of puppets from my kiln.\Puppets that Kawaramaru ordered me to make. response:	Kawaramaru?
context: I'll use yourbones to make me a puppet servant!\My vision's blurred...\Why you...!\Wind Scar!\Hmm...so he escaped.\Fragments of puppets from my kiln.\Puppets that Kawaramaru ordered me to make.\Kawaramaru? response:	I am Enju.
context: My vision's blurred...\Why you...!\Wind Scar!\Hmm...so he escaped.\Fragments of puppets from my kiln.\Puppets that Kawaramaru ordered me to make.\Kawaramaru?\I am Enju. response:	Urasue brought Kawaramaru and me back from the dead to serve her.
context: Why you...!\Wind Scar!\Hmm...so he escaped.\Fragments of puppets from my kiln.\Puppets that Kawaramaru ordered me to make.\Kawaramaru?\I am Enju.\Urasue brought Kawaramaru and me back from the dead to serve her. response:	She called us her children.
context: Wind Scar!\Hmm...so he escaped.\Fragments of puppets from my kiln.\Puppets that Kawaramaru ordered me to make.\Kawaramaru?\I am Enju.\Urasue brought Kawaramaru and me back from the dead to serve her.\She called us her children. response:	So you can use hermagic?
context: Hmm...so he escaped.\Fragments of puppets from my kiln.\Puppets that Kawaramaru ordered me to make.\Kawaramaru?\I am Enju.\Urasue brought Kawaramaru and me back from the dead to serve her.\She called us her children.\So you can use hermagic? response:	Kawaramaru was a warriorwho died because of a vassal's betrayal.
context: Fragments of puppets from my kiln.\Puppets that Kawaramaru ordered me to make.\Kawaramaru?\I am Enju.\Urasue brought Kawaramaru and me back from the dead to serve her.\She called us her children.\So you can use hermagic?\Kawaramaru was a warriorwho died because of a vassal's betrayal. response:	He excelled in commanding soldiers and after he was reborn,
context: Puppets that Kawaramaru ordered me to make.\Kawaramaru?\I am Enju.\Urasue brought Kawaramaru and me back from the dead to serve her.\She called us her children.\So you can use hermagic?\Kawaramaru was a warriorwho died because of a vassal's betrayal.\He excelled in commanding soldiers and after he was reborn, response:	Urasue gave him the power to control puppet soldiers.
context: Kawaramaru?\I am Enju.\Urasue brought Kawaramaru and me back from the dead to serve her.\She called us her children.\So you can use hermagic?\Kawaramaru was a warriorwho died because of a vassal's betrayal.\He excelled in commanding soldiers and after he was reborn,\Urasue gave him the power to control puppet soldiers. response:	Before I died, I was a potter.
context: I am Enju.\Urasue brought Kawaramaru and me back from the dead to serve her.\She called us her children.\So you can use hermagic?\Kawaramaru was a warriorwho died because of a vassal's betrayal.\He excelled in commanding soldiers and after he was reborn,\Urasue gave him the power to control puppet soldiers.\Before I died, I was a potter. response:	Kaede said that Urasue brought the dead back to life
context: Urasue brought Kawaramaru and me back from the dead to serve her.\She called us her children.\So you can use hermagic?\Kawaramaru was a warriorwho died because of a vassal's betrayal.\He excelled in commanding soldiers and after he was reborn,\Urasue gave him the power to control puppet soldiers.\Before I died, I was a potter.\Kaede said that Urasue brought the dead back to life response:	in orderto take advantage of the powers they had while alive.
context: She called us her children.\So you can use hermagic?\Kawaramaru was a warriorwho died because of a vassal's betrayal.\He excelled in commanding soldiers and after he was reborn,\Urasue gave him the power to control puppet soldiers.\Before I died, I was a potter.\Kaede said that Urasue brought the dead back to life\in orderto take advantage of the powers they had while alive. response:	Urasue made me help her create puppet soldiers.
context: So you can use hermagic?\Kawaramaru was a warriorwho died because of a vassal's betrayal.\He excelled in commanding soldiers and after he was reborn,\Urasue gave him the power to control puppet soldiers.\Before I died, I was a potter.\Kaede said that Urasue brought the dead back to life\in orderto take advantage of the powers they had while alive.\Urasue made me help her create puppet soldiers. response:	And she intended to make that priestess help
context: Kawaramaru was a warriorwho died because of a vassal's betrayal.\He excelled in commanding soldiers and after he was reborn,\Urasue gave him the power to control puppet soldiers.\Before I died, I was a potter.\Kaede said that Urasue brought the dead back to life\in orderto take advantage of the powers they had while alive.\Urasue made me help her create puppet soldiers.\And she intended to make that priestess help response:	search forthe shards of the Sacred Jewel.
context: He excelled in commanding soldiers and after he was reborn,\Urasue gave him the power to control puppet soldiers.\Before I died, I was a potter.\Kaede said that Urasue brought the dead back to life\in orderto take advantage of the powers they had while alive.\Urasue made me help her create puppet soldiers.\And she intended to make that priestess help\search forthe shards of the Sacred Jewel. response:	But Urasue was killed...
context: Urasue gave him the power to control puppet soldiers.\Before I died, I was a potter.\Kaede said that Urasue brought the dead back to life\in orderto take advantage of the powers they had while alive.\Urasue made me help her create puppet soldiers.\And she intended to make that priestess help\search forthe shards of the Sacred Jewel.\But Urasue was killed... response:	Then Kawaramaru began to order me to make the puppets.
context: Before I died, I was a potter.\Kaede said that Urasue brought the dead back to life\in orderto take advantage of the powers they had while alive.\Urasue made me help her create puppet soldiers.\And she intended to make that priestess help\search forthe shards of the Sacred Jewel.\But Urasue was killed...\Then Kawaramaru began to order me to make the puppets. response:	I didn't want to!
context: Kaede said that Urasue brought the dead back to life\in orderto take advantage of the powers they had while alive.\Urasue made me help her create puppet soldiers.\And she intended to make that priestess help\search forthe shards of the Sacred Jewel.\But Urasue was killed...\Then Kawaramaru began to order me to make the puppets.\I didn't want to! response:	I didn't want to create puppets who killed people!
context: in orderto take advantage of the powers they had while alive.\Urasue made me help her create puppet soldiers.\And she intended to make that priestess help\search forthe shards of the Sacred Jewel.\But Urasue was killed...\Then Kawaramaru began to order me to make the puppets.\I didn't want to!\I didn't want to create puppets who killed people! response:	But when I became weak and frail from the lack of souls,
context: Urasue made me help her create puppet soldiers.\And she intended to make that priestess help\search forthe shards of the Sacred Jewel.\But Urasue was killed...\Then Kawaramaru began to order me to make the puppets.\I didn't want to!\I didn't want to create puppets who killed people!\But when I became weak and frail from the lack of souls, response:	Kawaramaru brought me souls of the dead.
context: And she intended to make that priestess help\search forthe shards of the Sacred Jewel.\But Urasue was killed...\Then Kawaramaru began to order me to make the puppets.\I didn't want to!\I didn't want to create puppets who killed people!\But when I became weak and frail from the lack of souls,\Kawaramaru brought me souls of the dead. response:	I didn't want any...
context: search forthe shards of the Sacred Jewel.\But Urasue was killed...\Then Kawaramaru began to order me to make the puppets.\I didn't want to!\I didn't want to create puppets who killed people!\But when I became weak and frail from the lack of souls,\Kawaramaru brought me souls of the dead.\I didn't want any... response:	ljust wanted to find peace and sleep.
context: But Urasue was killed...\Then Kawaramaru began to order me to make the puppets.\I didn't want to!\I didn't want to create puppets who killed people!\But when I became weak and frail from the lack of souls,\Kawaramaru brought me souls of the dead.\I didn't want any...\ljust wanted to find peace and sleep. response:	And so you ran away?
context: Then Kawaramaru began to order me to make the puppets.\I didn't want to!\I didn't want to create puppets who killed people!\But when I became weak and frail from the lack of souls,\Kawaramaru brought me souls of the dead.\I didn't want any...\ljust wanted to find peace and sleep.\And so you ran away? response:	Huh?
context: I didn't want to!\I didn't want to create puppets who killed people!\But when I became weak and frail from the lack of souls,\Kawaramaru brought me souls of the dead.\I didn't want any...\ljust wanted to find peace and sleep.\And so you ran away?\Huh? response:	You are beautiful even though you were once dead.
context: I didn't want to create puppets who killed people!\But when I became weak and frail from the lack of souls,\Kawaramaru brought me souls of the dead.\I didn't want any...\ljust wanted to find peace and sleep.\And so you ran away?\Huh?\You are beautiful even though you were once dead. response:	Miroku!
context: But when I became weak and frail from the lack of souls,\Kawaramaru brought me souls of the dead.\I didn't want any...\ljust wanted to find peace and sleep.\And so you ran away?\Huh?\You are beautiful even though you were once dead.\Miroku! response:	You say you want peaceful sleep,
context: Kawaramaru brought me souls of the dead.\I didn't want any...\ljust wanted to find peace and sleep.\And so you ran away?\Huh?\You are beautiful even though you were once dead.\Miroku!\You say you want peaceful sleep, response:	but shouldn't you cherish this second chance at life?
context: I didn't want any...\ljust wanted to find peace and sleep.\And so you ran away?\Huh?\You are beautiful even though you were once dead.\Miroku!\You say you want peaceful sleep,\but shouldn't you cherish this second chance at life? response:	Look at the Buddha smile.
context: ljust wanted to find peace and sleep.\And so you ran away?\Huh?\You are beautiful even though you were once dead.\Miroku!\You say you want peaceful sleep,\but shouldn't you cherish this second chance at life?\Look at the Buddha smile. response:	It is because he loves all life.
context: And so you ran away?\Huh?\You are beautiful even though you were once dead.\Miroku!\You say you want peaceful sleep,\but shouldn't you cherish this second chance at life?\Look at the Buddha smile.\It is because he loves all life. response:	Miroku...
context: Huh?\You are beautiful even though you were once dead.\Miroku!\You say you want peaceful sleep,\but shouldn't you cherish this second chance at life?\Look at the Buddha smile.\It is because he loves all life.\Miroku... response:	You are amazing!
context: You are beautiful even though you were once dead.\Miroku!\You say you want peaceful sleep,\but shouldn't you cherish this second chance at life?\Look at the Buddha smile.\It is because he loves all life.\Miroku...\You are amazing! response:	No, you're wrong, Sango...Kagome.
context: Miroku!\You say you want peaceful sleep,\but shouldn't you cherish this second chance at life?\Look at the Buddha smile.\It is because he loves all life.\Miroku...\You are amazing!\No, you're wrong, Sango...Kagome. response:	I won't be fooled.
context: You say you want peaceful sleep,\but shouldn't you cherish this second chance at life?\Look at the Buddha smile.\It is because he loves all life.\Miroku...\You are amazing!\No, you're wrong, Sango...Kagome.\I won't be fooled. response:	Well, he doesn't intend to let you go.
context: but shouldn't you cherish this second chance at life?\Look at the Buddha smile.\It is because he loves all life.\Miroku...\You are amazing!\No, you're wrong, Sango...Kagome.\I won't be fooled.\Well, he doesn't intend to let you go. response:	They've come afterher!
context: Look at the Buddha smile.\It is because he loves all life.\Miroku...\You are amazing!\No, you're wrong, Sango...Kagome.\I won't be fooled.\Well, he doesn't intend to let you go.\They've come afterher! response:	Shippo! Kirara!
context: It is because he loves all life.\Miroku...\You are amazing!\No, you're wrong, Sango...Kagome.\I won't be fooled.\Well, he doesn't intend to let you go.\They've come afterher!\Shippo! Kirara! response:	Protect Enju!
context: Miroku...\You are amazing!\No, you're wrong, Sango...Kagome.\I won't be fooled.\Well, he doesn't intend to let you go.\They've come afterher!\Shippo! Kirara!\Protect Enju! response:	Leave it to me! I won't let them lay a finger on her!
context: You are amazing!\No, you're wrong, Sango...Kagome.\I won't be fooled.\Well, he doesn't intend to let you go.\They've come afterher!\Shippo! Kirara!\Protect Enju!\Leave it to me! I won't let them lay a finger on her! response:	Stop or I'll shoot!
context: No, you're wrong, Sango...Kagome.\I won't be fooled.\Well, he doesn't intend to let you go.\They've come afterher!\Shippo! Kirara!\Protect Enju!\Leave it to me! I won't let them lay a finger on her!\Stop or I'll shoot! response:	It's useless to talk to them.
context: I won't be fooled.\Well, he doesn't intend to let you go.\They've come afterher!\Shippo! Kirara!\Protect Enju!\Leave it to me! I won't let them lay a finger on her!\Stop or I'll shoot!\It's useless to talk to them. response:	They're lifeless clay puppets, after all.
context: Well, he doesn't intend to let you go.\They've come afterher!\Shippo! Kirara!\Protect Enju!\Leave it to me! I won't let them lay a finger on her!\Stop or I'll shoot!\It's useless to talk to them.\They're lifeless clay puppets, after all. response:	He shattered the puppets I made!
context: They've come afterher!\Shippo! Kirara!\Protect Enju!\Leave it to me! I won't let them lay a finger on her!\Stop or I'll shoot!\It's useless to talk to them.\They're lifeless clay puppets, after all.\He shattered the puppets I made! response:	Miroku is an unrefined monk who loves women...
context: Shippo! Kirara!\Protect Enju!\Leave it to me! I won't let them lay a finger on her!\Stop or I'll shoot!\It's useless to talk to them.\They're lifeless clay puppets, after all.\He shattered the puppets I made!\Miroku is an unrefined monk who loves women... response:	But he does have spiritual powers!
context: Protect Enju!\Leave it to me! I won't let them lay a finger on her!\Stop or I'll shoot!\It's useless to talk to them.\They're lifeless clay puppets, after all.\He shattered the puppets I made!\Miroku is an unrefined monk who loves women...\But he does have spiritual powers! response:	Enju! We'll break up every one of these puppets!
context: Leave it to me! I won't let them lay a finger on her!\Stop or I'll shoot!\It's useless to talk to them.\They're lifeless clay puppets, after all.\He shattered the puppets I made!\Miroku is an unrefined monk who loves women...\But he does have spiritual powers!\Enju! We'll break up every one of these puppets! response:	After all, who wants to be a soldier even afterdeath!
context: Stop or I'll shoot!\It's useless to talk to them.\They're lifeless clay puppets, after all.\He shattered the puppets I made!\Miroku is an unrefined monk who loves women...\But he does have spiritual powers!\Enju! We'll break up every one of these puppets!\After all, who wants to be a soldier even afterdeath! response:	Return to the soil and find eternal peace.
context: It's useless to talk to them.\They're lifeless clay puppets, after all.\He shattered the puppets I made!\Miroku is an unrefined monk who loves women...\But he does have spiritual powers!\Enju! We'll break up every one of these puppets!\After all, who wants to be a soldier even afterdeath!\Return to the soil and find eternal peace. response:	It's useless.
context: They're lifeless clay puppets, after all.\He shattered the puppets I made!\Miroku is an unrefined monk who loves women...\But he does have spiritual powers!\Enju! We'll break up every one of these puppets!\After all, who wants to be a soldier even afterdeath!\Return to the soil and find eternal peace.\It's useless. response:	Kawaramaru controls several thousand more.
context: He shattered the puppets I made!\Miroku is an unrefined monk who loves women...\But he does have spiritual powers!\Enju! We'll break up every one of these puppets!\After all, who wants to be a soldier even afterdeath!\Return to the soil and find eternal peace.\It's useless.\Kawaramaru controls several thousand more. response:	And...
context: Miroku is an unrefined monk who loves women...\But he does have spiritual powers!\Enju! We'll break up every one of these puppets!\After all, who wants to be a soldier even afterdeath!\Return to the soil and find eternal peace.\It's useless.\Kawaramaru controls several thousand more.\And... response:	That's...!
context: But he does have spiritual powers!\Enju! We'll break up every one of these puppets!\After all, who wants to be a soldier even afterdeath!\Return to the soil and find eternal peace.\It's useless.\Kawaramaru controls several thousand more.\And...\That's...! response:	Kawaramaru's army is off to conquer another castle.
context: Enju! We'll break up every one of these puppets!\After all, who wants to be a soldier even afterdeath!\Return to the soil and find eternal peace.\It's useless.\Kawaramaru controls several thousand more.\And...\That's...!\Kawaramaru's army is off to conquer another castle. response:	So many!
context: After all, who wants to be a soldier even afterdeath!\Return to the soil and find eternal peace.\It's useless.\Kawaramaru controls several thousand more.\And...\That's...!\Kawaramaru's army is off to conquer another castle.\So many! response:	But we'll do it!
context: Return to the soil and find eternal peace.\It's useless.\Kawaramaru controls several thousand more.\And...\That's...!\Kawaramaru's army is off to conquer another castle.\So many!\But we'll do it! response:	So promise me!
context: It's useless.\Kawaramaru controls several thousand more.\And...\That's...!\Kawaramaru's army is off to conquer another castle.\So many!\But we'll do it!\So promise me! response:	That if we win, you'll try living.
context: Kawaramaru controls several thousand more.\And...\That's...!\Kawaramaru's army is off to conquer another castle.\So many!\But we'll do it!\So promise me!\That if we win, you'll try living. response:	Why? For someone like me?
context: And...\That's...!\Kawaramaru's army is off to conquer another castle.\So many!\But we'll do it!\So promise me!\That if we win, you'll try living.\Why? For someone like me? response:	Hold it!
context: That's...!\Kawaramaru's army is off to conquer another castle.\So many!\But we'll do it!\So promise me!\That if we win, you'll try living.\Why? For someone like me?\Hold it! response:	Iron-Reaver, Soul-Stealer!
context: Kawaramaru's army is off to conquer another castle.\So many!\But we'll do it!\So promise me!\That if we win, you'll try living.\Why? For someone like me?\Hold it!\Iron-Reaver, Soul-Stealer! response:	Inuyasha!
context: So many!\But we'll do it!\So promise me!\That if we win, you'll try living.\Why? For someone like me?\Hold it!\Iron-Reaver, Soul-Stealer!\Inuyasha! response:	That man...
context: But we'll do it!\So promise me!\That if we win, you'll try living.\Why? For someone like me?\Hold it!\Iron-Reaver, Soul-Stealer!\Inuyasha!\That man... response:	The one in the blue armor... is he the general?
context: So promise me!\That if we win, you'll try living.\Why? For someone like me?\Hold it!\Iron-Reaver, Soul-Stealer!\Inuyasha!\That man...\The one in the blue armor... is he the general? response:	Yeah, so we just have to stop him!
context: That if we win, you'll try living.\Why? For someone like me?\Hold it!\Iron-Reaver, Soul-Stealer!\Inuyasha!\That man...\The one in the blue armor... is he the general?\Yeah, so we just have to stop him! response:	There are too many of them.
context: Why? For someone like me?\Hold it!\Iron-Reaver, Soul-Stealer!\Inuyasha!\That man...\The one in the blue armor... is he the general?\Yeah, so we just have to stop him!\There are too many of them. response:	I'll use my Wind Tunnel!
context: Hold it!\Iron-Reaver, Soul-Stealer!\Inuyasha!\That man...\The one in the blue armor... is he the general?\Yeah, so we just have to stop him!\There are too many of them.\I'll use my Wind Tunnel! response:	No, Miroku!
context: Iron-Reaver, Soul-Stealer!\Inuyasha!\That man...\The one in the blue armor... is he the general?\Yeah, so we just have to stop him!\There are too many of them.\I'll use my Wind Tunnel!\No, Miroku! response:	The puppets have miasma in their chests!
context: Inuyasha!\That man...\The one in the blue armor... is he the general?\Yeah, so we just have to stop him!\There are too many of them.\I'll use my Wind Tunnel!\No, Miroku!\The puppets have miasma in their chests! response:	If you're not careful, the toxins will poison you!
context: That man...\The one in the blue armor... is he the general?\Yeah, so we just have to stop him!\There are too many of them.\I'll use my Wind Tunnel!\No, Miroku!\The puppets have miasma in their chests!\If you're not careful, the toxins will poison you! response:	Then...sacred sutras!
context: The one in the blue armor... is he the general?\Yeah, so we just have to stop him!\There are too many of them.\I'll use my Wind Tunnel!\No, Miroku!\The puppets have miasma in their chests!\If you're not careful, the toxins will poison you!\Then...sacred sutras! response:	Why you...! Move!
context: Yeah, so we just have to stop him!\There are too many of them.\I'll use my Wind Tunnel!\No, Miroku!\The puppets have miasma in their chests!\If you're not careful, the toxins will poison you!\Then...sacred sutras!\Why you...! Move! response:	Blades of Blood!
context: There are too many of them.\I'll use my Wind Tunnel!\No, Miroku!\The puppets have miasma in their chests!\If you're not careful, the toxins will poison you!\Then...sacred sutras!\Why you...! Move!\Blades of Blood! response:	It's useless!
context: I'll use my Wind Tunnel!\No, Miroku!\The puppets have miasma in their chests!\If you're not careful, the toxins will poison you!\Then...sacred sutras!\Why you...! Move!\Blades of Blood!\It's useless! response:	Inuyasha!
context: No, Miroku!\The puppets have miasma in their chests!\If you're not careful, the toxins will poison you!\Then...sacred sutras!\Why you...! Move!\Blades of Blood!\It's useless!\Inuyasha! response:	Miroku!
context: The puppets have miasma in their chests!\If you're not careful, the toxins will poison you!\Then...sacred sutras!\Why you...! Move!\Blades of Blood!\It's useless!\Inuyasha!\Miroku! response:	Fool! What're you doing?!
context: If you're not careful, the toxins will poison you!\Then...sacred sutras!\Why you...! Move!\Blades of Blood!\It's useless!\Inuyasha!\Miroku!\Fool! What're you doing?! response:	Run Kagome!
context: Then...sacred sutras!\Why you...! Move!\Blades of Blood!\It's useless!\Inuyasha!\Miroku!\Fool! What're you doing?!\Run Kagome! response:	Sango, you too!
context: Why you...! Move!\Blades of Blood!\It's useless!\Inuyasha!\Miroku!\Fool! What're you doing?!\Run Kagome!\Sango, you too! response:	Yourprotective mask won't work against this poison!
context: Blades of Blood!\It's useless!\Inuyasha!\Miroku!\Fool! What're you doing?!\Run Kagome!\Sango, you too!\Yourprotective mask won't work against this poison! response:	Kirara!
context: It's useless!\Inuyasha!\Miroku!\Fool! What're you doing?!\Run Kagome!\Sango, you too!\Yourprotective mask won't work against this poison!\Kirara! response:	Take Kagome!
context: Inuyasha!\Miroku!\Fool! What're you doing?!\Run Kagome!\Sango, you too!\Yourprotective mask won't work against this poison!\Kirara!\Take Kagome! response:	Leave it to me!
context: Miroku!\Fool! What're you doing?!\Run Kagome!\Sango, you too!\Yourprotective mask won't work against this poison!\Kirara!\Take Kagome!\Leave it to me! response:	Transform!
context: Fool! What're you doing?!\Run Kagome!\Sango, you too!\Yourprotective mask won't work against this poison!\Kirara!\Take Kagome!\Leave it to me!\Transform! response:	Damn it! Here I am fighting with my wits!
context: Run Kagome!\Sango, you too!\Yourprotective mask won't work against this poison!\Kirara!\Take Kagome!\Leave it to me!\Transform!\Damn it! Here I am fighting with my wits! response:	- Couldn't you tell?! - Sorry!
context: Sango, you too!\Yourprotective mask won't work against this poison!\Kirara!\Take Kagome!\Leave it to me!\Transform!\Damn it! Here I am fighting with my wits!\- Couldn't you tell?! - Sorry! response:	So... The one with Sango is thatgirl from earlier?
