context: The Principality of Pastillage response:	The opening of the joint event
context: For this brief freedom of mine...\you shall forfeit your lives!\Kids nowadays have a lot of bright power.\Now...\I'm full, so let's get to it!\Not bad, not bad at all!\This way, baby.\They saw me. response:	Someone's peeping! Outside the window!
context: you shall forfeit your lives!\Kids nowadays have a lot of bright power.\Now...\I'm full, so let's get to it!\Not bad, not bad at all!\This way, baby.\They saw me.\Someone's peeping! Outside the window! response:	Peeping is a crime!
context: Kids nowadays have a lot of bright power.\Now...\I'm full, so let's get to it!\Not bad, not bad at all!\This way, baby.\They saw me.\Someone's peeping! Outside the window!\Peeping is a crime! response:	Aim!
context: Now...\I'm full, so let's get to it!\Not bad, not bad at all!\This way, baby.\They saw me.\Someone's peeping! Outside the window!\Peeping is a crime!\Aim! response:	What a sight to behold!
context: I'm full, so let's get to it!\Not bad, not bad at all!\This way, baby.\They saw me.\Someone's peeping! Outside the window!\Peeping is a crime!\Aim!\What a sight to behold! response:	And on we go.
context: Not bad, not bad at all!\This way, baby.\They saw me.\Someone's peeping! Outside the window!\Peeping is a crime!\Aim!\What a sight to behold!\And on we go. response:	Rise, storm!
context: This way, baby.\They saw me.\Someone's peeping! Outside the window!\Peeping is a crime!\Aim!\What a sight to behold!\And on we go.\Rise, storm! response:	The view is superb!
context: They saw me.\Someone's peeping! Outside the window!\Peeping is a crime!\Aim!\What a sight to behold!\And on we go.\Rise, storm!\The view is superb! response:	I don't know why the Demon King rose again,
context: Someone's peeping! Outside the window!\Peeping is a crime!\Aim!\What a sight to behold!\And on we go.\Rise, storm!\The view is superb!\I don't know why the Demon King rose again, response:	but I'm sure he's headed for Pastillage.
context: Peeping is a crime!\Aim!\What a sight to behold!\And on we go.\Rise, storm!\The view is superb!\I don't know why the Demon King rose again,\but I'm sure he's headed for Pastillage. response:	We can't let the others fall into danger.
context: Aim!\What a sight to behold!\And on we go.\Rise, storm!\The view is superb!\I don't know why the Demon King rose again,\but I'm sure he's headed for Pastillage.\We can't let the others fall into danger. response:	That's right!
context: What a sight to behold!\And on we go.\Rise, storm!\The view is superb!\I don't know why the Demon King rose again,\but I'm sure he's headed for Pastillage.\We can't let the others fall into danger.\That's right! response:	Full speed ahead!
context: And on we go.\Rise, storm!\The view is superb!\I don't know why the Demon King rose again,\but I'm sure he's headed for Pastillage.\We can't let the others fall into danger.\That's right!\Full speed ahead! response:	Look!
context: Rise, storm!\The view is superb!\I don't know why the Demon King rose again,\but I'm sure he's headed for Pastillage.\We can't let the others fall into danger.\That's right!\Full speed ahead!\Look! response:	Somebody's up there!
context: The view is superb!\I don't know why the Demon King rose again,\but I'm sure he's headed for Pastillage.\We can't let the others fall into danger.\That's right!\Full speed ahead!\Look!\Somebody's up there! response:	Don't panic, my girls, just show me your skin!
context: I don't know why the Demon King rose again,\but I'm sure he's headed for Pastillage.\We can't let the others fall into danger.\That's right!\Full speed ahead!\Look!\Somebody's up there!\Don't panic, my girls, just show me your skin! response:	Ex Machina!
context: but I'm sure he's headed for Pastillage.\We can't let the others fall into danger.\That's right!\Full speed ahead!\Look!\Somebody's up there!\Don't panic, my girls, just show me your skin!\Ex Machina! response:	Form Boomerang! Slash!
context: We can't let the others fall into danger.\That's right!\Full speed ahead!\Look!\Somebody's up there!\Don't panic, my girls, just show me your skin!\Ex Machina!\Form Boomerang! Slash! response:	Are you even trying?
context: That's right!\Full speed ahead!\Look!\Somebody's up there!\Don't panic, my girls, just show me your skin!\Ex Machina!\Form Boomerang! Slash!\Are you even trying? response:	Palette Set Shoot!
context: Full speed ahead!\Look!\Somebody's up there!\Don't panic, my girls, just show me your skin!\Ex Machina!\Form Boomerang! Slash!\Are you even trying?\Palette Set Shoot! response:	Neptune!
context: Look!\Somebody's up there!\Don't panic, my girls, just show me your skin!\Ex Machina!\Form Boomerang! Slash!\Are you even trying?\Palette Set Shoot!\Neptune! response:	Boiling Water! Fist!
context: Somebody's up there!\Don't panic, my girls, just show me your skin!\Ex Machina!\Form Boomerang! Slash!\Are you even trying?\Palette Set Shoot!\Neptune!\Boiling Water! Fist! response:	Being a pervert...
context: Don't panic, my girls, just show me your skin!\Ex Machina!\Form Boomerang! Slash!\Are you even trying?\Palette Set Shoot!\Neptune!\Boiling Water! Fist!\Being a pervert... response:	The weather is so beautiful.
context: Ex Machina!\Form Boomerang! Slash!\Are you even trying?\Palette Set Shoot!\Neptune!\Boiling Water! Fist!\Being a pervert...\The weather is so beautiful. response:	It sure is.
context: Form Boomerang! Slash!\Are you even trying?\Palette Set Shoot!\Neptune!\Boiling Water! Fist!\Being a pervert...\The weather is so beautiful.\It sure is. response:	What the...
context: Are you even trying?\Palette Set Shoot!\Neptune!\Boiling Water! Fist!\Being a pervert...\The weather is so beautiful.\It sure is.\What the... response:	For my first bath in ages,
context: Palette Set Shoot!\Neptune!\Boiling Water! Fist!\Being a pervert...\The weather is so beautiful.\It sure is.\What the...\For my first bath in ages, response:	that was a little on the lukewarm side.
context: Neptune!\Boiling Water! Fist!\Being a pervert...\The weather is so beautiful.\It sure is.\What the...\For my first bath in ages,\that was a little on the lukewarm side. response:	What is that?
context: Boiling Water! Fist!\Being a pervert...\The weather is so beautiful.\It sure is.\What the...\For my first bath in ages,\that was a little on the lukewarm side.\What is that? response:	He looks hurt.
context: Being a pervert...\The weather is so beautiful.\It sure is.\What the...\For my first bath in ages,\that was a little on the lukewarm side.\What is that?\He looks hurt. response:	There you are!
context: The weather is so beautiful.\It sure is.\What the...\For my first bath in ages,\that was a little on the lukewarm side.\What is that?\He looks hurt.\There you are! response:	Are you two okay?!
context: It sure is.\What the...\For my first bath in ages,\that was a little on the lukewarm side.\What is that?\He looks hurt.\There you are!\Are you two okay?! response:	Yes.
context: What the...\For my first bath in ages,\that was a little on the lukewarm side.\What is that?\He looks hurt.\There you are!\Are you two okay?!\Yes. response:	Your Excellency! Princess Millihiore!
context: For my first bath in ages,\that was a little on the lukewarm side.\What is that?\He looks hurt.\There you are!\Are you two okay?!\Yes.\Your Excellency! Princess Millihiore! response:	We've got an intruder!
context: that was a little on the lukewarm side.\What is that?\He looks hurt.\There you are!\Are you two okay?!\Yes.\Your Excellency! Princess Millihiore!\We've got an intruder! response:	Oww. Hot, hot!
context: What is that?\He looks hurt.\There you are!\Are you two okay?!\Yes.\Your Excellency! Princess Millihiore!\We've got an intruder!\Oww. Hot, hot! response:	You there!
context: He looks hurt.\There you are!\Are you two okay?!\Yes.\Your Excellency! Princess Millihiore!\We've got an intruder!\Oww. Hot, hot!\You there! response:	You are arrested on charges of lewd behavior and peeping!
context: There you are!\Are you two okay?!\Yes.\Your Excellency! Princess Millihiore!\We've got an intruder!\Oww. Hot, hot!\You there!\You are arrested on charges of lewd behavior and peeping! response:	Huh?
context: Are you two okay?!\Yes.\Your Excellency! Princess Millihiore!\We've got an intruder!\Oww. Hot, hot!\You there!\You are arrested on charges of lewd behavior and peeping!\Huh? response:	Peeping?
context: Yes.\Your Excellency! Princess Millihiore!\We've got an intruder!\Oww. Hot, hot!\You there!\You are arrested on charges of lewd behavior and peeping!\Huh?\Peeping? response:	Who are you calling lewd?
context: Your Excellency! Princess Millihiore!\We've got an intruder!\Oww. Hot, hot!\You there!\You are arrested on charges of lewd behavior and peeping!\Huh?\Peeping?\Who are you calling lewd? response:	Listen to me, humans!
context: We've got an intruder!\Oww. Hot, hot!\You there!\You are arrested on charges of lewd behavior and peeping!\Huh?\Peeping?\Who are you calling lewd?\Listen to me, humans! response:	This is...
context: Oww. Hot, hot!\You there!\You are arrested on charges of lewd behavior and peeping!\Huh?\Peeping?\Who are you calling lewd?\Listen to me, humans!\This is... response:	I am Calvados, the Demon King.
context: You there!\You are arrested on charges of lewd behavior and peeping!\Huh?\Peeping?\Who are you calling lewd?\Listen to me, humans!\This is...\I am Calvados, the Demon King. response:	Fear me. Worship me.
context: You are arrested on charges of lewd behavior and peeping!\Huh?\Peeping?\Who are you calling lewd?\Listen to me, humans!\This is...\I am Calvados, the Demon King.\Fear me. Worship me. response:	Millihi, are you all right?
context: Huh?\Peeping?\Who are you calling lewd?\Listen to me, humans!\This is...\I am Calvados, the Demon King.\Fear me. Worship me.\Millihi, are you all right? response:	Yes!
context: Peeping?\Who are you calling lewd?\Listen to me, humans!\This is...\I am Calvados, the Demon King.\Fear me. Worship me.\Millihi, are you all right?\Yes! response:	This is the ribbon Rico gave me last year.
context: Who are you calling lewd?\Listen to me, humans!\This is...\I am Calvados, the Demon King.\Fear me. Worship me.\Millihi, are you all right?\Yes!\This is the ribbon Rico gave me last year. response:	It's my favorite.
context: Listen to me, humans!\This is...\I am Calvados, the Demon King.\Fear me. Worship me.\Millihi, are you all right?\Yes!\This is the ribbon Rico gave me last year.\It's my favorite. response:	Really?
context: This is...\I am Calvados, the Demon King.\Fear me. Worship me.\Millihi, are you all right?\Yes!\This is the ribbon Rico gave me last year.\It's my favorite.\Really? response:	Can you feel the fear rock your very core?
context: I am Calvados, the Demon King.\Fear me. Worship me.\Millihi, are you all right?\Yes!\This is the ribbon Rico gave me last year.\It's my favorite.\Really?\Can you feel the fear rock your very core? response:	Are you prepared to grovel and beg for forgiveness?
context: Fear me. Worship me.\Millihi, are you all right?\Yes!\This is the ribbon Rico gave me last year.\It's my favorite.\Really?\Can you feel the fear rock your very core?\Are you prepared to grovel and beg for forgiveness? response:	Excuse me, Cou-sama.
context: Millihi, are you all right?\Yes!\This is the ribbon Rico gave me last year.\It's my favorite.\Really?\Can you feel the fear rock your very core?\Are you prepared to grovel and beg for forgiveness?\Excuse me, Cou-sama. response:	I'm going to leave your side for a bit.
context: Yes!\This is the ribbon Rico gave me last year.\It's my favorite.\Really?\Can you feel the fear rock your very core?\Are you prepared to grovel and beg for forgiveness?\Excuse me, Cou-sama.\I'm going to leave your side for a bit. response:	I am the Demon King!
context: This is the ribbon Rico gave me last year.\It's my favorite.\Really?\Can you feel the fear rock your very core?\Are you prepared to grovel and beg for forgiveness?\Excuse me, Cou-sama.\I'm going to leave your side for a bit.\I am the Demon King! response:	I don't care if you're the Demon King or whatever,
context: It's my favorite.\Really?\Can you feel the fear rock your very core?\Are you prepared to grovel and beg for forgiveness?\Excuse me, Cou-sama.\I'm going to leave your side for a bit.\I am the Demon King!\I don't care if you're the Demon King or whatever, response:	but there is nothing worse than a man who...
context: Really?\Can you feel the fear rock your very core?\Are you prepared to grovel and beg for forgiveness?\Excuse me, Cou-sama.\I'm going to leave your side for a bit.\I am the Demon King!\I don't care if you're the Demon King or whatever,\but there is nothing worse than a man who... response:	threatens girls, causes grief,
context: Can you feel the fear rock your very core?\Are you prepared to grovel and beg for forgiveness?\Excuse me, Cou-sama.\I'm going to leave your side for a bit.\I am the Demon King!\I don't care if you're the Demon King or whatever,\but there is nothing worse than a man who...\threatens girls, causes grief, response:	and then has the gall to laugh about it!
context: Are you prepared to grovel and beg for forgiveness?\Excuse me, Cou-sama.\I'm going to leave your side for a bit.\I am the Demon King!\I don't care if you're the Demon King or whatever,\but there is nothing worse than a man who...\threatens girls, causes grief,\and then has the gall to laugh about it! response:	You will apologize to the princess, to Cou-sama,
context: Excuse me, Cou-sama.\I'm going to leave your side for a bit.\I am the Demon King!\I don't care if you're the Demon King or whatever,\but there is nothing worse than a man who...\threatens girls, causes grief,\and then has the gall to laugh about it!\You will apologize to the princess, to Cou-sama, response:	to everyone you have terrorized!
context: I'm going to leave your side for a bit.\I am the Demon King!\I don't care if you're the Demon King or whatever,\but there is nothing worse than a man who...\threatens girls, causes grief,\and then has the gall to laugh about it!\You will apologize to the princess, to Cou-sama,\to everyone you have terrorized! response:	Sink...
context: I am the Demon King!\I don't care if you're the Demon King or whatever,\but there is nothing worse than a man who...\threatens girls, causes grief,\and then has the gall to laugh about it!\You will apologize to the princess, to Cou-sama,\to everyone you have terrorized!\Sink... response:	Is everyone okay?
context: I don't care if you're the Demon King or whatever,\but there is nothing worse than a man who...\threatens girls, causes grief,\and then has the gall to laugh about it!\You will apologize to the princess, to Cou-sama,\to everyone you have terrorized!\Sink...\Is everyone okay? response:	You little...
context: but there is nothing worse than a man who...\threatens girls, causes grief,\and then has the gall to laugh about it!\You will apologize to the princess, to Cou-sama,\to everyone you have terrorized!\Sink...\Is everyone okay?\You little... response:	Don't underestimate me!
context: threatens girls, causes grief,\and then has the gall to laugh about it!\You will apologize to the princess, to Cou-sama,\to everyone you have terrorized!\Sink...\Is everyone okay?\You little...\Don't underestimate me! response:	You, Demon King.
context: and then has the gall to laugh about it!\You will apologize to the princess, to Cou-sama,\to everyone you have terrorized!\Sink...\Is everyone okay?\You little...\Don't underestimate me!\You, Demon King. response:	It would be for your own good if you just apologized.
context: You will apologize to the princess, to Cou-sama,\to everyone you have terrorized!\Sink...\Is everyone okay?\You little...\Don't underestimate me!\You, Demon King.\It would be for your own good if you just apologized. response:	It looks like you all really want to piss me off.
context: to everyone you have terrorized!\Sink...\Is everyone okay?\You little...\Don't underestimate me!\You, Demon King.\It would be for your own good if you just apologized.\It looks like you all really want to piss me off. response:	Demon King Seal!
context: Sink...\Is everyone okay?\You little...\Don't underestimate me!\You, Demon King.\It would be for your own good if you just apologized.\It looks like you all really want to piss me off.\Demon King Seal! response:	Everybody, run!
context: Is everyone okay?\You little...\Don't underestimate me!\You, Demon King.\It would be for your own good if you just apologized.\It looks like you all really want to piss me off.\Demon King Seal!\Everybody, run! response:	Dark Circle of Absorption!
context: You little...\Don't underestimate me!\You, Demon King.\It would be for your own good if you just apologized.\It looks like you all really want to piss me off.\Demon King Seal!\Everybody, run!\Dark Circle of Absorption! response:	I can't move!
context: Don't underestimate me!\You, Demon King.\It would be for your own good if you just apologized.\It looks like you all really want to piss me off.\Demon King Seal!\Everybody, run!\Dark Circle of Absorption!\I can't move! response:	My power is draining away.
context: You, Demon King.\It would be for your own good if you just apologized.\It looks like you all really want to piss me off.\Demon King Seal!\Everybody, run!\Dark Circle of Absorption!\I can't move!\My power is draining away. response:	Thank you kindly.
context: It would be for your own good if you just apologized.\It looks like you all really want to piss me off.\Demon King Seal!\Everybody, run!\Dark Circle of Absorption!\I can't move!\My power is draining away.\Thank you kindly. response:	Did you see?
context: It looks like you all really want to piss me off.\Demon King Seal!\Everybody, run!\Dark Circle of Absorption!\I can't move!\My power is draining away.\Thank you kindly.\Did you see? response:	This is the strength of the Demon King's power,
context: Demon King Seal!\Everybody, run!\Dark Circle of Absorption!\I can't move!\My power is draining away.\Thank you kindly.\Did you see?\This is the strength of the Demon King's power, response:	the power that once ruled this world!
context: Everybody, run!\Dark Circle of Absorption!\I can't move!\My power is draining away.\Thank you kindly.\Did you see?\This is the strength of the Demon King's power,\the power that once ruled this world! response:	A bright power drain spell, huh?
context: Dark Circle of Absorption!\I can't move!\My power is draining away.\Thank you kindly.\Did you see?\This is the strength of the Demon King's power,\the power that once ruled this world!\A bright power drain spell, huh? response:	What I'd expect from a demon king.
context: I can't move!\My power is draining away.\Thank you kindly.\Did you see?\This is the strength of the Demon King's power,\the power that once ruled this world!\A bright power drain spell, huh?\What I'd expect from a demon king. response:	Still, we won't be defeated!
context: My power is draining away.\Thank you kindly.\Did you see?\This is the strength of the Demon King's power,\the power that once ruled this world!\A bright power drain spell, huh?\What I'd expect from a demon king.\Still, we won't be defeated! response:	You might be a demon king,
context: Thank you kindly.\Did you see?\This is the strength of the Demon King's power,\the power that once ruled this world!\A bright power drain spell, huh?\What I'd expect from a demon king.\Still, we won't be defeated!\You might be a demon king, response:	but I am the descendant of the Hero King!
context: Did you see?\This is the strength of the Demon King's power,\the power that once ruled this world!\A bright power drain spell, huh?\What I'd expect from a demon king.\Still, we won't be defeated!\You might be a demon king,\but I am the descendant of the Hero King! response:	I will protect my country, I will protect my guests!
context: This is the strength of the Demon King's power,\the power that once ruled this world!\A bright power drain spell, huh?\What I'd expect from a demon king.\Still, we won't be defeated!\You might be a demon king,\but I am the descendant of the Hero King!\I will protect my country, I will protect my guests! response:	Just you watch!
context: the power that once ruled this world!\A bright power drain spell, huh?\What I'd expect from a demon king.\Still, we won't be defeated!\You might be a demon king,\but I am the descendant of the Hero King!\I will protect my country, I will protect my guests!\Just you watch! response:	The Hero King is not here.
context: A bright power drain spell, huh?\What I'd expect from a demon king.\Still, we won't be defeated!\You might be a demon king,\but I am the descendant of the Hero King!\I will protect my country, I will protect my guests!\Just you watch!\The Hero King is not here. response:	Nobody is here to save you.
context: What I'd expect from a demon king.\Still, we won't be defeated!\You might be a demon king,\but I am the descendant of the Hero King!\I will protect my country, I will protect my guests!\Just you watch!\The Hero King is not here.\Nobody is here to save you. response:	Except for us!
context: Still, we won't be defeated!\You might be a demon king,\but I am the descendant of the Hero King!\I will protect my country, I will protect my guests!\Just you watch!\The Hero King is not here.\Nobody is here to save you.\Except for us! response:	What?
context: You might be a demon king,\but I am the descendant of the Hero King!\I will protect my country, I will protect my guests!\Just you watch!\The Hero King is not here.\Nobody is here to save you.\Except for us!\What? response:	For the countries and the masters we love...
context: but I am the descendant of the Hero King!\I will protect my country, I will protect my guests!\Just you watch!\The Hero King is not here.\Nobody is here to save you.\Except for us!\What?\For the countries and the masters we love... response:	Rebecca!
context: I will protect my country, I will protect my guests!\Just you watch!\The Hero King is not here.\Nobody is here to save you.\Except for us!\What?\For the countries and the masters we love...\Rebecca! response:	We will always come in an instant!
context: Just you watch!\The Hero King is not here.\Nobody is here to save you.\Except for us!\What?\For the countries and the masters we love...\Rebecca!\We will always come in an instant! response:	Nanami!
context: The Hero King is not here.\Nobody is here to save you.\Except for us!\What?\For the countries and the masters we love...\Rebecca!\We will always come in an instant!\Nanami! response:	We three Heroes are right here!
context: Nobody is here to save you.\Except for us!\What?\For the countries and the masters we love...\Rebecca!\We will always come in an instant!\Nanami!\We three Heroes are right here! response:	Sink!
context: Except for us!\What?\For the countries and the masters we love...\Rebecca!\We will always come in an instant!\Nanami!\We three Heroes are right here!\Sink! response:	Just as expected, he's tough...
context: What?\For the countries and the masters we love...\Rebecca!\We will always come in an instant!\Nanami!\We three Heroes are right here!\Sink!\Just as expected, he's tough... response:	He is the Demon King.
context: For the countries and the masters we love...\Rebecca!\We will always come in an instant!\Nanami!\We three Heroes are right here!\Sink!\Just as expected, he's tough...\He is the Demon King. response:	How do we seal him?
context: Rebecca!\We will always come in an instant!\Nanami!\We three Heroes are right here!\Sink!\Just as expected, he's tough...\He is the Demon King.\How do we seal him? response:	They say the Hero King
context: We will always come in an instant!\Nanami!\We three Heroes are right here!\Sink!\Just as expected, he's tough...\He is the Demon King.\How do we seal him?\They say the Hero King response:	was able to seal him in back then.
context: Nanami!\We three Heroes are right here!\Sink!\Just as expected, he's tough...\He is the Demon King.\How do we seal him?\They say the Hero King\was able to seal him in back then. response:	A heart that won't give up
context: We three Heroes are right here!\Sink!\Just as expected, he's tough...\He is the Demon King.\How do we seal him?\They say the Hero King\was able to seal him in back then.\A heart that won't give up response:	and a summoning voice confirmed.
context: Sink!\Just as expected, he's tough...\He is the Demon King.\How do we seal him?\They say the Hero King\was able to seal him in back then.\A heart that won't give up\and a summoning voice confirmed. response:	What is this?
context: Just as expected, he's tough...\He is the Demon King.\How do we seal him?\They say the Hero King\was able to seal him in back then.\A heart that won't give up\and a summoning voice confirmed.\What is this? response:	All summoning conditions fulfilled.
context: He is the Demon King.\How do we seal him?\They say the Hero King\was able to seal him in back then.\A heart that won't give up\and a summoning voice confirmed.\What is this?\All summoning conditions fulfilled. response:	Summoning Adelaide, the Hero King.
context: How do we seal him?\They say the Hero King\was able to seal him in back then.\A heart that won't give up\and a summoning voice confirmed.\What is this?\All summoning conditions fulfilled.\Summoning Adelaide, the Hero King. response:	I don't believe this!
context: They say the Hero King\was able to seal him in back then.\A heart that won't give up\and a summoning voice confirmed.\What is this?\All summoning conditions fulfilled.\Summoning Adelaide, the Hero King.\I don't believe this! response:	I can't see a thing!
context: was able to seal him in back then.\A heart that won't give up\and a summoning voice confirmed.\What is this?\All summoning conditions fulfilled.\Summoning Adelaide, the Hero King.\I don't believe this!\I can't see a thing! response:	My heart of courage is fully charged.
context: A heart that won't give up\and a summoning voice confirmed.\What is this?\All summoning conditions fulfilled.\Summoning Adelaide, the Hero King.\I don't believe this!\I can't see a thing!\My heart of courage is fully charged. response:	Your emotions are my strength!
context: and a summoning voice confirmed.\What is this?\All summoning conditions fulfilled.\Summoning Adelaide, the Hero King.\I don't believe this!\I can't see a thing!\My heart of courage is fully charged.\Your emotions are my strength! response:	I will always respond to a call for justice and hope.
context: What is this?\All summoning conditions fulfilled.\Summoning Adelaide, the Hero King.\I don't believe this!\I can't see a thing!\My heart of courage is fully charged.\Your emotions are my strength!\I will always respond to a call for justice and hope. response:	I am...
context: All summoning conditions fulfilled.\Summoning Adelaide, the Hero King.\I don't believe this!\I can't see a thing!\My heart of courage is fully charged.\Your emotions are my strength!\I will always respond to a call for justice and hope.\I am... response:	Adelaide Grand Marnier!
context: Summoning Adelaide, the Hero King.\I don't believe this!\I can't see a thing!\My heart of courage is fully charged.\Your emotions are my strength!\I will always respond to a call for justice and hope.\I am...\Adelaide Grand Marnier! response:	The Hero King!
context: I don't believe this!\I can't see a thing!\My heart of courage is fully charged.\Your emotions are my strength!\I will always respond to a call for justice and hope.\I am...\Adelaide Grand Marnier!\The Hero King! response:	All right?
context: I can't see a thing!\My heart of courage is fully charged.\Your emotions are my strength!\I will always respond to a call for justice and hope.\I am...\Adelaide Grand Marnier!\The Hero King!\All right? response:	The Hero King?
context: My heart of courage is fully charged.\Your emotions are my strength!\I will always respond to a call for justice and hope.\I am...\Adelaide Grand Marnier!\The Hero King!\All right?\The Hero King? response:	Adel?
context: Your emotions are my strength!\I will always respond to a call for justice and hope.\I am...\Adelaide Grand Marnier!\The Hero King!\All right?\The Hero King?\Adel? response:	Valerie?
context: I will always respond to a call for justice and hope.\I am...\Adelaide Grand Marnier!\The Hero King!\All right?\The Hero King?\Adel?\Valerie? response:	Or should I say, Demon King Calvados?
context: I am...\Adelaide Grand Marnier!\The Hero King!\All right?\The Hero King?\Adel?\Valerie?\Or should I say, Demon King Calvados? response:	Your evil deeds stop here.
context: Adelaide Grand Marnier!\The Hero King!\All right?\The Hero King?\Adel?\Valerie?\Or should I say, Demon King Calvados?\Your evil deeds stop here. response:	Now just a minute, Adel.
context: The Hero King!\All right?\The Hero King?\Adel?\Valerie?\Or should I say, Demon King Calvados?\Your evil deeds stop here.\Now just a minute, Adel. response:	Why am I accused of evil deeds
context: All right?\The Hero King?\Adel?\Valerie?\Or should I say, Demon King Calvados?\Your evil deeds stop here.\Now just a minute, Adel.\Why am I accused of evil deeds response:	when they started this fight?
context: The Hero King?\Adel?\Valerie?\Or should I say, Demon King Calvados?\Your evil deeds stop here.\Now just a minute, Adel.\Why am I accused of evil deeds\when they started this fight? response:	Be quiet!
context: Adel?\Valerie?\Or should I say, Demon King Calvados?\Your evil deeds stop here.\Now just a minute, Adel.\Why am I accused of evil deeds\when they started this fight?\Be quiet! response:	You have disturbed these peaceful people
context: Valerie?\Or should I say, Demon King Calvados?\Your evil deeds stop here.\Now just a minute, Adel.\Why am I accused of evil deeds\when they started this fight?\Be quiet!\You have disturbed these peaceful people response:	and what's more, you sexually harassed all these girls
context: Or should I say, Demon King Calvados?\Your evil deeds stop here.\Now just a minute, Adel.\Why am I accused of evil deeds\when they started this fight?\Be quiet!\You have disturbed these peaceful people\and what's more, you sexually harassed all these girls response:	without caring or knowing who they were!
context: Your evil deeds stop here.\Now just a minute, Adel.\Why am I accused of evil deeds\when they started this fight?\Be quiet!\You have disturbed these peaceful people\and what's more, you sexually harassed all these girls\without caring or knowing who they were! response:	But that's...
context: Now just a minute, Adel.\Why am I accused of evil deeds\when they started this fight?\Be quiet!\You have disturbed these peaceful people\and what's more, you sexually harassed all these girls\without caring or knowing who they were!\But that's... response:	Your excuses are futile.
context: Why am I accused of evil deeds\when they started this fight?\Be quiet!\You have disturbed these peaceful people\and what's more, you sexually harassed all these girls\without caring or knowing who they were!\But that's...\Your excuses are futile. response:	Prepare for divine retribution!
context: when they started this fight?\Be quiet!\You have disturbed these peaceful people\and what's more, you sexually harassed all these girls\without caring or knowing who they were!\But that's...\Your excuses are futile.\Prepare for divine retribution! response:	Wait Adel, if you do that, I'll die.
context: Be quiet!\You have disturbed these peaceful people\and what's more, you sexually harassed all these girls\without caring or knowing who they were!\But that's...\Your excuses are futile.\Prepare for divine retribution!\Wait Adel, if you do that, I'll die. response:	It really will kill me, no joke...
context: You have disturbed these peaceful people\and what's more, you sexually harassed all these girls\without caring or knowing who they were!\But that's...\Your excuses are futile.\Prepare for divine retribution!\Wait Adel, if you do that, I'll die.\It really will kill me, no joke... response:	Repent in the light!
context: and what's more, you sexually harassed all these girls\without caring or knowing who they were!\But that's...\Your excuses are futile.\Prepare for divine retribution!\Wait Adel, if you do that, I'll die.\It really will kill me, no joke...\Repent in the light! response:	No, no, no, no, no!
context: without caring or knowing who they were!\But that's...\Your excuses are futile.\Prepare for divine retribution!\Wait Adel, if you do that, I'll die.\It really will kill me, no joke...\Repent in the light!\No, no, no, no, no! response:	Grand Marnier Hammer!
context: But that's...\Your excuses are futile.\Prepare for divine retribution!\Wait Adel, if you do that, I'll die.\It really will kill me, no joke...\Repent in the light!\No, no, no, no, no!\Grand Marnier Hammer! response:	Huh?
context: Your excuses are futile.\Prepare for divine retribution!\Wait Adel, if you do that, I'll die.\It really will kill me, no joke...\Repent in the light!\No, no, no, no, no!\Grand Marnier Hammer!\Huh? response:	So this monolith was the summoning point for the Hero King?
context: Prepare for divine retribution!\Wait Adel, if you do that, I'll die.\It really will kill me, no joke...\Repent in the light!\No, no, no, no, no!\Grand Marnier Hammer!\Huh?\So this monolith was the summoning point for the Hero King? response:	That's right.
context: Wait Adel, if you do that, I'll die.\It really will kill me, no joke...\Repent in the light!\No, no, no, no, no!\Grand Marnier Hammer!\Huh?\So this monolith was the summoning point for the Hero King?\That's right. response:	I had it erected so that I could be summoned,
context: It really will kill me, no joke...\Repent in the light!\No, no, no, no, no!\Grand Marnier Hammer!\Huh?\So this monolith was the summoning point for the Hero King?\That's right.\I had it erected so that I could be summoned, response:	should the power of the Hero King be necessary
context: Repent in the light!\No, no, no, no, no!\Grand Marnier Hammer!\Huh?\So this monolith was the summoning point for the Hero King?\That's right.\I had it erected so that I could be summoned,\should the power of the Hero King be necessary response:	in an hour of need.
context: No, no, no, no, no!\Grand Marnier Hammer!\Huh?\So this monolith was the summoning point for the Hero King?\That's right.\I had it erected so that I could be summoned,\should the power of the Hero King be necessary\in an hour of need. response:	I am gathering miracle power while I sleep here.
context: Grand Marnier Hammer!\Huh?\So this monolith was the summoning point for the Hero King?\That's right.\I had it erected so that I could be summoned,\should the power of the Hero King be necessary\in an hour of need.\I am gathering miracle power while I sleep here. response:	Valerie.
context: Huh?\So this monolith was the summoning point for the Hero King?\That's right.\I had it erected so that I could be summoned,\should the power of the Hero King be necessary\in an hour of need.\I am gathering miracle power while I sleep here.\Valerie. response:	Did you apologize to all these people you inconvenienced?
context: So this monolith was the summoning point for the Hero King?\That's right.\I had it erected so that I could be summoned,\should the power of the Hero King be necessary\in an hour of need.\I am gathering miracle power while I sleep here.\Valerie.\Did you apologize to all these people you inconvenienced? response:	Yeah, yeah. I did.
context: That's right.\I had it erected so that I could be summoned,\should the power of the Hero King be necessary\in an hour of need.\I am gathering miracle power while I sleep here.\Valerie.\Did you apologize to all these people you inconvenienced?\Yeah, yeah. I did. response:	Once again, I am so deeply sorry!
context: I had it erected so that I could be summoned,\should the power of the Hero King be necessary\in an hour of need.\I am gathering miracle power while I sleep here.\Valerie.\Did you apologize to all these people you inconvenienced?\Yeah, yeah. I did.\Once again, I am so deeply sorry! response:	I won't do it again!
