context: Ladies and gentlemen, good evening. response:	When he learned something of his mother's past,
context: As we are at sea, perhaps we pirates should act the part...\A duel?\On the sea, strength counts for everything.\He with the better sword arm makes the rules.\Are you serious?\What are you suggesting, Count?!\Come, now is the time to demonstrate your conviction.\Prove to them that you hold your parents' marriage to be sacred. response:	The blade in your hand is invincible.
context: A duel?\On the sea, strength counts for everything.\He with the better sword arm makes the rules.\Are you serious?\What are you suggesting, Count?!\Come, now is the time to demonstrate your conviction.\Prove to them that you hold your parents' marriage to be sacred.\The blade in your hand is invincible. response:	And you, Monsieur?
context: On the sea, strength counts for everything.\He with the better sword arm makes the rules.\Are you serious?\What are you suggesting, Count?!\Come, now is the time to demonstrate your conviction.\Prove to them that you hold your parents' marriage to be sacred.\The blade in your hand is invincible.\And you, Monsieur? response:	All men have a blade in their heart.
context: He with the better sword arm makes the rules.\Are you serious?\What are you suggesting, Count?!\Come, now is the time to demonstrate your conviction.\Prove to them that you hold your parents' marriage to be sacred.\The blade in your hand is invincible.\And you, Monsieur?\All men have a blade in their heart. response:	The purer the heart, the keener the blade.
context: Are you serious?\What are you suggesting, Count?!\Come, now is the time to demonstrate your conviction.\Prove to them that you hold your parents' marriage to be sacred.\The blade in your hand is invincible.\And you, Monsieur?\All men have a blade in their heart.\The purer the heart, the keener the blade. response:	The time is high tide, the place is the ship's bow, and the weapons are bare blades!
context: What are you suggesting, Count?!\Come, now is the time to demonstrate your conviction.\Prove to them that you hold your parents' marriage to be sacred.\The blade in your hand is invincible.\And you, Monsieur?\All men have a blade in their heart.\The purer the heart, the keener the blade.\The time is high tide, the place is the ship's bow, and the weapons are bare blades! response:	Come on, gentlemen!
context: Come, now is the time to demonstrate your conviction.\Prove to them that you hold your parents' marriage to be sacred.\The blade in your hand is invincible.\And you, Monsieur?\All men have a blade in their heart.\The purer the heart, the keener the blade.\The time is high tide, the place is the ship's bow, and the weapons are bare blades!\Come on, gentlemen! response:	Let's see you go at it, pirate style!
context: Prove to them that you hold your parents' marriage to be sacred.\The blade in your hand is invincible.\And you, Monsieur?\All men have a blade in their heart.\The purer the heart, the keener the blade.\The time is high tide, the place is the ship's bow, and the weapons are bare blades!\Come on, gentlemen!\Let's see you go at it, pirate style! response:	It's hard to believe that there are still people in this day and age who'd fight a duel over love...
context: The blade in your hand is invincible.\And you, Monsieur?\All men have a blade in their heart.\The purer the heart, the keener the blade.\The time is high tide, the place is the ship's bow, and the weapons are bare blades!\Come on, gentlemen!\Let's see you go at it, pirate style!\It's hard to believe that there are still people in this day and age who'd fight a duel over love... response:	Is this any time to be joking?! Those swords are real!
context: And you, Monsieur?\All men have a blade in their heart.\The purer the heart, the keener the blade.\The time is high tide, the place is the ship's bow, and the weapons are bare blades!\Come on, gentlemen!\Let's see you go at it, pirate style!\It's hard to believe that there are still people in this day and age who'd fight a duel over love...\Is this any time to be joking?! Those swords are real! response:	And the water down there is teeming with sharks that are thirsting for human blood!
context: All men have a blade in their heart.\The purer the heart, the keener the blade.\The time is high tide, the place is the ship's bow, and the weapons are bare blades!\Come on, gentlemen!\Let's see you go at it, pirate style!\It's hard to believe that there are still people in this day and age who'd fight a duel over love...\Is this any time to be joking?! Those swords are real!\And the water down there is teeming with sharks that are thirsting for human blood! response:	Count, what are you trying to do?!
context: The purer the heart, the keener the blade.\The time is high tide, the place is the ship's bow, and the weapons are bare blades!\Come on, gentlemen!\Let's see you go at it, pirate style!\It's hard to believe that there are still people in this day and age who'd fight a duel over love...\Is this any time to be joking?! Those swords are real!\And the water down there is teeming with sharks that are thirsting for human blood!\Count, what are you trying to do?! response:	Sea voyages are accompanied by their own entertainment.
context: The time is high tide, the place is the ship's bow, and the weapons are bare blades!\Come on, gentlemen!\Let's see you go at it, pirate style!\It's hard to believe that there are still people in this day and age who'd fight a duel over love...\Is this any time to be joking?! Those swords are real!\And the water down there is teeming with sharks that are thirsting for human blood!\Count, what are you trying to do?!\Sea voyages are accompanied by their own entertainment. response:	I expect that Monsieur Albert is thirsting for stimulation of this sort.
context: Come on, gentlemen!\Let's see you go at it, pirate style!\It's hard to believe that there are still people in this day and age who'd fight a duel over love...\Is this any time to be joking?! Those swords are real!\And the water down there is teeming with sharks that are thirsting for human blood!\Count, what are you trying to do?!\Sea voyages are accompanied by their own entertainment.\I expect that Monsieur Albert is thirsting for stimulation of this sort. response:	Let's do it!
context: Let's see you go at it, pirate style!\It's hard to believe that there are still people in this day and age who'd fight a duel over love...\Is this any time to be joking?! Those swords are real!\And the water down there is teeming with sharks that are thirsting for human blood!\Count, what are you trying to do?!\Sea voyages are accompanied by their own entertainment.\I expect that Monsieur Albert is thirsting for stimulation of this sort.\Let's do it! response:	Whenever you're ready.
context: It's hard to believe that there are still people in this day and age who'd fight a duel over love...\Is this any time to be joking?! Those swords are real!\And the water down there is teeming with sharks that are thirsting for human blood!\Count, what are you trying to do?!\Sea voyages are accompanied by their own entertainment.\I expect that Monsieur Albert is thirsting for stimulation of this sort.\Let's do it!\Whenever you're ready. response:	Take back what you said!
context: Is this any time to be joking?! Those swords are real!\And the water down there is teeming with sharks that are thirsting for human blood!\Count, what are you trying to do?!\Sea voyages are accompanied by their own entertainment.\I expect that Monsieur Albert is thirsting for stimulation of this sort.\Let's do it!\Whenever you're ready.\Take back what you said! response:	I can't!
context: And the water down there is teeming with sharks that are thirsting for human blood!\Count, what are you trying to do?!\Sea voyages are accompanied by their own entertainment.\I expect that Monsieur Albert is thirsting for stimulation of this sort.\Let's do it!\Whenever you're ready.\Take back what you said!\I can't! response:	Why, you...!
context: Count, what are you trying to do?!\Sea voyages are accompanied by their own entertainment.\I expect that Monsieur Albert is thirsting for stimulation of this sort.\Let's do it!\Whenever you're ready.\Take back what you said!\I can't!\Why, you...! response:	How about now?!
context: Sea voyages are accompanied by their own entertainment.\I expect that Monsieur Albert is thirsting for stimulation of this sort.\Let's do it!\Whenever you're ready.\Take back what you said!\I can't!\Why, you...!\How about now?! response:	You poor, sad people...
context: I expect that Monsieur Albert is thirsting for stimulation of this sort.\Let's do it!\Whenever you're ready.\Take back what you said!\I can't!\Why, you...!\How about now?!\You poor, sad people... response:	The purer the heart, the keener the blade.
context: Let's do it!\Whenever you're ready.\Take back what you said!\I can't!\Why, you...!\How about now?!\You poor, sad people...\The purer the heart, the keener the blade. response:	You aren't capable of defeating me.
context: Whenever you're ready.\Take back what you said!\I can't!\Why, you...!\How about now?!\You poor, sad people...\The purer the heart, the keener the blade.\You aren't capable of defeating me. response:	Shut up!
context: Take back what you said!\I can't!\Why, you...!\How about now?!\You poor, sad people...\The purer the heart, the keener the blade.\You aren't capable of defeating me.\Shut up! response:	Understand this.
context: I can't!\Why, you...!\How about now?!\You poor, sad people...\The purer the heart, the keener the blade.\You aren't capable of defeating me.\Shut up!\Understand this. response:	No matter what you say, no matter how it is with other families,
context: Why, you...!\How about now?!\You poor, sad people...\The purer the heart, the keener the blade.\You aren't capable of defeating me.\Shut up!\Understand this.\No matter what you say, no matter how it is with other families, response:	I didn't expect you to turn towards your unarmed side.
context: How about now?!\You poor, sad people...\The purer the heart, the keener the blade.\You aren't capable of defeating me.\Shut up!\Understand this.\No matter what you say, no matter how it is with other families,\I didn't expect you to turn towards your unarmed side. response:	I admire your agility.
context: You poor, sad people...\The purer the heart, the keener the blade.\You aren't capable of defeating me.\Shut up!\Understand this.\No matter what you say, no matter how it is with other families,\I didn't expect you to turn towards your unarmed side.\I admire your agility. response:	Nevertheless, the insincere will be smitten by righteous anger!
context: The purer the heart, the keener the blade.\You aren't capable of defeating me.\Shut up!\Understand this.\No matter what you say, no matter how it is with other families,\I didn't expect you to turn towards your unarmed side.\I admire your agility.\Nevertheless, the insincere will be smitten by righteous anger! response:	I won't stand for it! I won't!
context: You aren't capable of defeating me.\Shut up!\Understand this.\No matter what you say, no matter how it is with other families,\I didn't expect you to turn towards your unarmed side.\I admire your agility.\Nevertheless, the insincere will be smitten by righteous anger!\I won't stand for it! I won't! response:	What in the world's gotten into Maximilien?
context: Shut up!\Understand this.\No matter what you say, no matter how it is with other families,\I didn't expect you to turn towards your unarmed side.\I admire your agility.\Nevertheless, the insincere will be smitten by righteous anger!\I won't stand for it! I won't!\What in the world's gotten into Maximilien? response:	I guess he's the scrupulous type.
context: Understand this.\No matter what you say, no matter how it is with other families,\I didn't expect you to turn towards your unarmed side.\I admire your agility.\Nevertheless, the insincere will be smitten by righteous anger!\I won't stand for it! I won't!\What in the world's gotten into Maximilien?\I guess he's the scrupulous type. response:	You're finished!
context: No matter what you say, no matter how it is with other families,\I didn't expect you to turn towards your unarmed side.\I admire your agility.\Nevertheless, the insincere will be smitten by righteous anger!\I won't stand for it! I won't!\What in the world's gotten into Maximilien?\I guess he's the scrupulous type.\You're finished! response:	Why do you have such disdain for the aristocracy?!
context: I didn't expect you to turn towards your unarmed side.\I admire your agility.\Nevertheless, the insincere will be smitten by righteous anger!\I won't stand for it! I won't!\What in the world's gotten into Maximilien?\I guess he's the scrupulous type.\You're finished!\Why do you have such disdain for the aristocracy?! response:	That's none of your concern!
context: I admire your agility.\Nevertheless, the insincere will be smitten by righteous anger!\I won't stand for it! I won't!\What in the world's gotten into Maximilien?\I guess he's the scrupulous type.\You're finished!\Why do you have such disdain for the aristocracy?!\That's none of your concern! response:	The hell it isn't! Tell me why!
context: Nevertheless, the insincere will be smitten by righteous anger!\I won't stand for it! I won't!\What in the world's gotten into Maximilien?\I guess he's the scrupulous type.\You're finished!\Why do you have such disdain for the aristocracy?!\That's none of your concern!\The hell it isn't! Tell me why! response:	In that case, there's something I want to ask you, too!
context: I won't stand for it! I won't!\What in the world's gotten into Maximilien?\I guess he's the scrupulous type.\You're finished!\Why do you have such disdain for the aristocracy?!\That's none of your concern!\The hell it isn't! Tell me why!\In that case, there's something I want to ask you, too! response:	Is it true that you don't love your fiancee?
context: What in the world's gotten into Maximilien?\I guess he's the scrupulous type.\You're finished!\Why do you have such disdain for the aristocracy?!\That's none of your concern!\The hell it isn't! Tell me why!\In that case, there's something I want to ask you, too!\Is it true that you don't love your fiancee? response:	Well, l...
context: I guess he's the scrupulous type.\You're finished!\Why do you have such disdain for the aristocracy?!\That's none of your concern!\The hell it isn't! Tell me why!\In that case, there's something I want to ask you, too!\Is it true that you don't love your fiancee?\Well, l... response:	I demand an answer!
context: You're finished!\Why do you have such disdain for the aristocracy?!\That's none of your concern!\The hell it isn't! Tell me why!\In that case, there's something I want to ask you, too!\Is it true that you don't love your fiancee?\Well, l...\I demand an answer! response:	I don't know!
context: Why do you have such disdain for the aristocracy?!\That's none of your concern!\The hell it isn't! Tell me why!\In that case, there's something I want to ask you, too!\Is it true that you don't love your fiancee?\Well, l...\I demand an answer!\I don't know! response:	As I thought, I can't abide by this!
context: That's none of your concern!\The hell it isn't! Tell me why!\In that case, there's something I want to ask you, too!\Is it true that you don't love your fiancee?\Well, l...\I demand an answer!\I don't know!\As I thought, I can't abide by this! response:	You have lost, Monsieur.
context: The hell it isn't! Tell me why!\In that case, there's something I want to ask you, too!\Is it true that you don't love your fiancee?\Well, l...\I demand an answer!\I don't know!\As I thought, I can't abide by this!\You have lost, Monsieur. response:	Hey, hold it!
context: In that case, there's something I want to ask you, too!\Is it true that you don't love your fiancee?\Well, l...\I demand an answer!\I don't know!\As I thought, I can't abide by this!\You have lost, Monsieur.\Hey, hold it! response:	Albert!
context: Is it true that you don't love your fiancee?\Well, l...\I demand an answer!\I don't know!\As I thought, I can't abide by this!\You have lost, Monsieur.\Hey, hold it!\Albert! response:	- Albert! - Don't!
context: Well, l...\I demand an answer!\I don't know!\As I thought, I can't abide by this!\You have lost, Monsieur.\Hey, hold it!\Albert!\- Albert! - Don't! response:	There are sharks down there!
context: I demand an answer!\I don't know!\As I thought, I can't abide by this!\You have lost, Monsieur.\Hey, hold it!\Albert!\- Albert! - Don't!\There are sharks down there! response:	This is a nightmare...
context: I don't know!\As I thought, I can't abide by this!\You have lost, Monsieur.\Hey, hold it!\Albert!\- Albert! - Don't!\There are sharks down there!\This is a nightmare... response:	Indeed it is.
context: As I thought, I can't abide by this!\You have lost, Monsieur.\Hey, hold it!\Albert!\- Albert! - Don't!\There are sharks down there!\This is a nightmare...\Indeed it is. response:	This is a dream.
context: You have lost, Monsieur.\Hey, hold it!\Albert!\- Albert! - Don't!\There are sharks down there!\This is a nightmare...\Indeed it is.\This is a dream. response:	All is but a waking dream.
context: Hey, hold it!\Albert!\- Albert! - Don't!\There are sharks down there!\This is a nightmare...\Indeed it is.\This is a dream.\All is but a waking dream. response:	Albert...
context: Albert!\- Albert! - Don't!\There are sharks down there!\This is a nightmare...\Indeed it is.\This is a dream.\All is but a waking dream.\Albert... response:	Mother...
context: - Albert! - Don't!\There are sharks down there!\This is a nightmare...\Indeed it is.\This is a dream.\All is but a waking dream.\Albert...\Mother... response:	I did it because you had that look on your face, Mother...
context: There are sharks down there!\This is a nightmare...\Indeed it is.\This is a dream.\All is but a waking dream.\Albert...\Mother...\I did it because you had that look on your face, Mother... response:	Count...
context: This is a nightmare...\Indeed it is.\This is a dream.\All is but a waking dream.\Albert...\Mother...\I did it because you had that look on your face, Mother...\Count... response:	One cannot fight destiny.
context: Indeed it is.\This is a dream.\All is but a waking dream.\Albert...\Mother...\I did it because you had that look on your face, Mother...\Count...\One cannot fight destiny. response:	I'm ashamed of myself. I can't believe how angry I got.
context: This is a dream.\All is but a waking dream.\Albert...\Mother...\I did it because you had that look on your face, Mother...\Count...\One cannot fight destiny.\I'm ashamed of myself. I can't believe how angry I got. response:	I can see it clearly.
context: All is but a waking dream.\Albert...\Mother...\I did it because you had that look on your face, Mother...\Count...\One cannot fight destiny.\I'm ashamed of myself. I can't believe how angry I got.\I can see it clearly. response:	Within your heart, another side of yourself lies dormant.
context: Albert...\Mother...\I did it because you had that look on your face, Mother...\Count...\One cannot fight destiny.\I'm ashamed of myself. I can't believe how angry I got.\I can see it clearly.\Within your heart, another side of yourself lies dormant. response:	At the moment, you are burdened with a profound sense of apprehension.
context: Mother...\I did it because you had that look on your face, Mother...\Count...\One cannot fight destiny.\I'm ashamed of myself. I can't believe how angry I got.\I can see it clearly.\Within your heart, another side of yourself lies dormant.\At the moment, you are burdened with a profound sense of apprehension. response:	As am I.
context: I did it because you had that look on your face, Mother...\Count...\One cannot fight destiny.\I'm ashamed of myself. I can't believe how angry I got.\I can see it clearly.\Within your heart, another side of yourself lies dormant.\At the moment, you are burdened with a profound sense of apprehension.\As am I. response:	You are, Count?
context: Count...\One cannot fight destiny.\I'm ashamed of myself. I can't believe how angry I got.\I can see it clearly.\Within your heart, another side of yourself lies dormant.\At the moment, you are burdened with a profound sense of apprehension.\As am I.\You are, Count? response:	I have need of you.
context: One cannot fight destiny.\I'm ashamed of myself. I can't believe how angry I got.\I can see it clearly.\Within your heart, another side of yourself lies dormant.\At the moment, you are burdened with a profound sense of apprehension.\As am I.\You are, Count?\I have need of you. response:	Who, me?
context: I'm ashamed of myself. I can't believe how angry I got.\I can see it clearly.\Within your heart, another side of yourself lies dormant.\At the moment, you are burdened with a profound sense of apprehension.\As am I.\You are, Count?\I have need of you.\Who, me? response:	You and I met that day on Luna.
context: I can see it clearly.\Within your heart, another side of yourself lies dormant.\At the moment, you are burdened with a profound sense of apprehension.\As am I.\You are, Count?\I have need of you.\Who, me?\You and I met that day on Luna. response:	Perhaps you feel that our meeting was a chance encounter.
context: Within your heart, another side of yourself lies dormant.\At the moment, you are burdened with a profound sense of apprehension.\As am I.\You are, Count?\I have need of you.\Who, me?\You and I met that day on Luna.\Perhaps you feel that our meeting was a chance encounter. response:	But in fate, there are no coincidences.
context: At the moment, you are burdened with a profound sense of apprehension.\As am I.\You are, Count?\I have need of you.\Who, me?\You and I met that day on Luna.\Perhaps you feel that our meeting was a chance encounter.\But in fate, there are no coincidences. response:	Just as that setting sun does so according to the laws of the universe,
context: As am I.\You are, Count?\I have need of you.\Who, me?\You and I met that day on Luna.\Perhaps you feel that our meeting was a chance encounter.\But in fate, there are no coincidences.\Just as that setting sun does so according to the laws of the universe, response:	What are you apprehensive about, Count?
context: You are, Count?\I have need of you.\Who, me?\You and I met that day on Luna.\Perhaps you feel that our meeting was a chance encounter.\But in fate, there are no coincidences.\Just as that setting sun does so according to the laws of the universe,\What are you apprehensive about, Count? response:	It is because a man loves that he laughs, cries, and hates.
context: I have need of you.\Who, me?\You and I met that day on Luna.\Perhaps you feel that our meeting was a chance encounter.\But in fate, there are no coincidences.\Just as that setting sun does so according to the laws of the universe,\What are you apprehensive about, Count?\It is because a man loves that he laughs, cries, and hates. response:	Count, what are you saying?
context: Who, me?\You and I met that day on Luna.\Perhaps you feel that our meeting was a chance encounter.\But in fate, there are no coincidences.\Just as that setting sun does so according to the laws of the universe,\What are you apprehensive about, Count?\It is because a man loves that he laughs, cries, and hates.\Count, what are you saying? response:	My life is much like this miniature garden.
context: You and I met that day on Luna.\Perhaps you feel that our meeting was a chance encounter.\But in fate, there are no coincidences.\Just as that setting sun does so according to the laws of the universe,\What are you apprehensive about, Count?\It is because a man loves that he laughs, cries, and hates.\Count, what are you saying?\My life is much like this miniature garden. response:	It is a hollow, fragile thing.
context: Perhaps you feel that our meeting was a chance encounter.\But in fate, there are no coincidences.\Just as that setting sun does so according to the laws of the universe,\What are you apprehensive about, Count?\It is because a man loves that he laughs, cries, and hates.\Count, what are you saying?\My life is much like this miniature garden.\It is a hollow, fragile thing. response:	C'mon, Albert, cheer up already. Maximilien already apologized, didn't he?
context: But in fate, there are no coincidences.\Just as that setting sun does so according to the laws of the universe,\What are you apprehensive about, Count?\It is because a man loves that he laughs, cries, and hates.\Count, what are you saying?\My life is much like this miniature garden.\It is a hollow, fragile thing.\C'mon, Albert, cheer up already. Maximilien already apologized, didn't he? response:	I'm not mad.
context: Just as that setting sun does so according to the laws of the universe,\What are you apprehensive about, Count?\It is because a man loves that he laughs, cries, and hates.\Count, what are you saying?\My life is much like this miniature garden.\It is a hollow, fragile thing.\C'mon, Albert, cheer up already. Maximilien already apologized, didn't he?\I'm not mad. response:	Then why...
context: What are you apprehensive about, Count?\It is because a man loves that he laughs, cries, and hates.\Count, what are you saying?\My life is much like this miniature garden.\It is a hollow, fragile thing.\C'mon, Albert, cheer up already. Maximilien already apologized, didn't he?\I'm not mad.\Then why... response:	Don't hang around the Count anymore.
context: It is because a man loves that he laughs, cries, and hates.\Count, what are you saying?\My life is much like this miniature garden.\It is a hollow, fragile thing.\C'mon, Albert, cheer up already. Maximilien already apologized, didn't he?\I'm not mad.\Then why...\Don't hang around the Count anymore. response:	You've been acting funny lately.
context: Count, what are you saying?\My life is much like this miniature garden.\It is a hollow, fragile thing.\C'mon, Albert, cheer up already. Maximilien already apologized, didn't he?\I'm not mad.\Then why...\Don't hang around the Count anymore.\You've been acting funny lately. response:	You're right. I guess I have.
context: My life is much like this miniature garden.\It is a hollow, fragile thing.\C'mon, Albert, cheer up already. Maximilien already apologized, didn't he?\I'm not mad.\Then why...\Don't hang around the Count anymore.\You've been acting funny lately.\You're right. I guess I have. response:	Something's funny. Something about all this.
context: It is a hollow, fragile thing.\C'mon, Albert, cheer up already. Maximilien already apologized, didn't he?\I'm not mad.\Then why...\Don't hang around the Count anymore.\You've been acting funny lately.\You're right. I guess I have.\Something's funny. Something about all this. response:	Up until yesterday, life was one uneventful day after another.
context: C'mon, Albert, cheer up already. Maximilien already apologized, didn't he?\I'm not mad.\Then why...\Don't hang around the Count anymore.\You've been acting funny lately.\You're right. I guess I have.\Something's funny. Something about all this.\Up until yesterday, life was one uneventful day after another. response:	It almost feels like something hidden is at work behind all this.
context: I'm not mad.\Then why...\Don't hang around the Count anymore.\You've been acting funny lately.\You're right. I guess I have.\Something's funny. Something about all this.\Up until yesterday, life was one uneventful day after another.\It almost feels like something hidden is at work behind all this. response:	Destiny... Have you ever thought about fate and stuff like that?
context: Then why...\Don't hang around the Count anymore.\You've been acting funny lately.\You're right. I guess I have.\Something's funny. Something about all this.\Up until yesterday, life was one uneventful day after another.\It almost feels like something hidden is at work behind all this.\Destiny... Have you ever thought about fate and stuff like that? response:	No. I don't believe in that stuff.
context: Don't hang around the Count anymore.\You've been acting funny lately.\You're right. I guess I have.\Something's funny. Something about all this.\Up until yesterday, life was one uneventful day after another.\It almost feels like something hidden is at work behind all this.\Destiny... Have you ever thought about fate and stuff like that?\No. I don't believe in that stuff. response:	How did your mother and I meet?
context: You've been acting funny lately.\You're right. I guess I have.\Something's funny. Something about all this.\Up until yesterday, life was one uneventful day after another.\It almost feels like something hidden is at work behind all this.\Destiny... Have you ever thought about fate and stuff like that?\No. I don't believe in that stuff.\How did your mother and I meet? response:	Why the sudden interest?
context: You're right. I guess I have.\Something's funny. Something about all this.\Up until yesterday, life was one uneventful day after another.\It almost feels like something hidden is at work behind all this.\Destiny... Have you ever thought about fate and stuff like that?\No. I don't believe in that stuff.\How did your mother and I meet?\Why the sudden interest? response:	Please, I'd like to know.
context: Something's funny. Something about all this.\Up until yesterday, life was one uneventful day after another.\It almost feels like something hidden is at work behind all this.\Destiny... Have you ever thought about fate and stuff like that?\No. I don't believe in that stuff.\How did your mother and I meet?\Why the sudden interest?\Please, I'd like to know. response:	As I've told you before, your mother and I were married after a storybook courtship.
context: Up until yesterday, life was one uneventful day after another.\It almost feels like something hidden is at work behind all this.\Destiny... Have you ever thought about fate and stuff like that?\No. I don't believe in that stuff.\How did your mother and I meet?\Why the sudden interest?\Please, I'd like to know.\As I've told you before, your mother and I were married after a storybook courtship. response:	Yes, it was just as your father says. We were lovers.
context: It almost feels like something hidden is at work behind all this.\Destiny... Have you ever thought about fate and stuff like that?\No. I don't believe in that stuff.\How did your mother and I meet?\Why the sudden interest?\Please, I'd like to know.\As I've told you before, your mother and I were married after a storybook courtship.\Yes, it was just as your father says. We were lovers. response:	I've never seen that look on Mother's face before.
context: Destiny... Have you ever thought about fate and stuff like that?\No. I don't believe in that stuff.\How did your mother and I meet?\Why the sudden interest?\Please, I'd like to know.\As I've told you before, your mother and I were married after a storybook courtship.\Yes, it was just as your father says. We were lovers.\I've never seen that look on Mother's face before. response:	You look like you're delirious with a fever, young master.
context: No. I don't believe in that stuff.\How did your mother and I meet?\Why the sudden interest?\Please, I'd like to know.\As I've told you before, your mother and I were married after a storybook courtship.\Yes, it was just as your father says. We were lovers.\I've never seen that look on Mother's face before.\You look like you're delirious with a fever, young master. response:	Why don't you go out for some fresh air?
context: How did your mother and I meet?\Why the sudden interest?\Please, I'd like to know.\As I've told you before, your mother and I were married after a storybook courtship.\Yes, it was just as your father says. We were lovers.\I've never seen that look on Mother's face before.\You look like you're delirious with a fever, young master.\Why don't you go out for some fresh air? response:	Make sure you clean in here!
context: Why the sudden interest?\Please, I'd like to know.\As I've told you before, your mother and I were married after a storybook courtship.\Yes, it was just as your father says. We were lovers.\I've never seen that look on Mother's face before.\You look like you're delirious with a fever, young master.\Why don't you go out for some fresh air?\Make sure you clean in here! response:	Yes, sir!
context: Please, I'd like to know.\As I've told you before, your mother and I were married after a storybook courtship.\Yes, it was just as your father says. We were lovers.\I've never seen that look on Mother's face before.\You look like you're delirious with a fever, young master.\Why don't you go out for some fresh air?\Make sure you clean in here!\Yes, sir! response:	Mother, who are you thinking about right now?
context: As I've told you before, your mother and I were married after a storybook courtship.\Yes, it was just as your father says. We were lovers.\I've never seen that look on Mother's face before.\You look like you're delirious with a fever, young master.\Why don't you go out for some fresh air?\Make sure you clean in here!\Yes, sir!\Mother, who are you thinking about right now? response:	How far will the ship sail, I wonder?
context: Yes, it was just as your father says. We were lovers.\I've never seen that look on Mother's face before.\You look like you're delirious with a fever, young master.\Why don't you go out for some fresh air?\Make sure you clean in here!\Yes, sir!\Mother, who are you thinking about right now?\How far will the ship sail, I wonder? response:	There is no turning back now.
context: I've never seen that look on Mother's face before.\You look like you're delirious with a fever, young master.\Why don't you go out for some fresh air?\Make sure you clean in here!\Yes, sir!\Mother, who are you thinking about right now?\How far will the ship sail, I wonder?\There is no turning back now. response:	I see... You hope to expand your business ventures to include Paris, as well?
context: You look like you're delirious with a fever, young master.\Why don't you go out for some fresh air?\Make sure you clean in here!\Yes, sir!\Mother, who are you thinking about right now?\How far will the ship sail, I wonder?\There is no turning back now.\I see... You hope to expand your business ventures to include Paris, as well? response:	I can think of no stronger backer to have than yourself, General Morcerf.
context: Why don't you go out for some fresh air?\Make sure you clean in here!\Yes, sir!\Mother, who are you thinking about right now?\How far will the ship sail, I wonder?\There is no turning back now.\I see... You hope to expand your business ventures to include Paris, as well?\I can think of no stronger backer to have than yourself, General Morcerf. response:	You do me a great honor, Monte Cristo.
context: Make sure you clean in here!\Yes, sir!\Mother, who are you thinking about right now?\How far will the ship sail, I wonder?\There is no turning back now.\I see... You hope to expand your business ventures to include Paris, as well?\I can think of no stronger backer to have than yourself, General Morcerf.\You do me a great honor, Monte Cristo. response:	I take it that you already have a plan of action.
context: Yes, sir!\Mother, who are you thinking about right now?\How far will the ship sail, I wonder?\There is no turning back now.\I see... You hope to expand your business ventures to include Paris, as well?\I can think of no stronger backer to have than yourself, General Morcerf.\You do me a great honor, Monte Cristo.\I take it that you already have a plan of action. response:	Please feel free to call on me should you have any need at all.
context: Mother, who are you thinking about right now?\How far will the ship sail, I wonder?\There is no turning back now.\I see... You hope to expand your business ventures to include Paris, as well?\I can think of no stronger backer to have than yourself, General Morcerf.\You do me a great honor, Monte Cristo.\I take it that you already have a plan of action.\Please feel free to call on me should you have any need at all. response:	He seems to be quite powerful.
context: How far will the ship sail, I wonder?\There is no turning back now.\I see... You hope to expand your business ventures to include Paris, as well?\I can think of no stronger backer to have than yourself, General Morcerf.\You do me a great honor, Monte Cristo.\I take it that you already have a plan of action.\Please feel free to call on me should you have any need at all.\He seems to be quite powerful. response:	The crest of the Danglars family can be seen here and there around town.
context: There is no turning back now.\I see... You hope to expand your business ventures to include Paris, as well?\I can think of no stronger backer to have than yourself, General Morcerf.\You do me a great honor, Monte Cristo.\I take it that you already have a plan of action.\Please feel free to call on me should you have any need at all.\He seems to be quite powerful.\The crest of the Danglars family can be seen here and there around town. response:	He has no idea that the Count is keeping a close eye on him.
context: I see... You hope to expand your business ventures to include Paris, as well?\I can think of no stronger backer to have than yourself, General Morcerf.\You do me a great honor, Monte Cristo.\I take it that you already have a plan of action.\Please feel free to call on me should you have any need at all.\He seems to be quite powerful.\The crest of the Danglars family can be seen here and there around town.\He has no idea that the Count is keeping a close eye on him. response:	Talk about conceited.
context: I can think of no stronger backer to have than yourself, General Morcerf.\You do me a great honor, Monte Cristo.\I take it that you already have a plan of action.\Please feel free to call on me should you have any need at all.\He seems to be quite powerful.\The crest of the Danglars family can be seen here and there around town.\He has no idea that the Count is keeping a close eye on him.\Talk about conceited. response:	Waving a sword around in anger like that...
context: You do me a great honor, Monte Cristo.\I take it that you already have a plan of action.\Please feel free to call on me should you have any need at all.\He seems to be quite powerful.\The crest of the Danglars family can be seen here and there around town.\He has no idea that the Count is keeping a close eye on him.\Talk about conceited.\Waving a sword around in anger like that... response:	You really are hopeless, you know that?
context: I take it that you already have a plan of action.\Please feel free to call on me should you have any need at all.\He seems to be quite powerful.\The crest of the Danglars family can be seen here and there around town.\He has no idea that the Count is keeping a close eye on him.\Talk about conceited.\Waving a sword around in anger like that...\You really are hopeless, you know that? response:	Tell me, what kind of relationship do you and I have?
context: Please feel free to call on me should you have any need at all.\He seems to be quite powerful.\The crest of the Danglars family can be seen here and there around town.\He has no idea that the Count is keeping a close eye on him.\Talk about conceited.\Waving a sword around in anger like that...\You really are hopeless, you know that?\Tell me, what kind of relationship do you and I have? response:	What brought this on?
