context: You came after all. response:	Amber...
context: Isn't it strange?\I broke it and gave a piece to everyone before I came here,\but it reverted back to its original shape.\What are you trying to do?\I'm going to do the same thing I did in South America.\I'm going to release Pai's powers before it arrives.\When I do, no one will be able to approach this area,\just like Heaven's Gate. response:	Go ahead, Hei.
context: I broke it and gave a piece to everyone before I came here,\but it reverted back to its original shape.\What are you trying to do?\I'm going to do the same thing I did in South America.\I'm going to release Pai's powers before it arrives.\When I do, no one will be able to approach this area,\just like Heaven's Gate.\Go ahead, Hei. response:	What are you asking me to do?
context: but it reverted back to its original shape.\What are you trying to do?\I'm going to do the same thing I did in South America.\I'm going to release Pai's powers before it arrives.\When I do, no one will be able to approach this area,\just like Heaven's Gate.\Go ahead, Hei.\What are you asking me to do? response:	Come on. You should have realized it by now.
context: What are you trying to do?\I'm going to do the same thing I did in South America.\I'm going to release Pai's powers before it arrives.\When I do, no one will be able to approach this area,\just like Heaven's Gate.\Go ahead, Hei.\What are you asking me to do?\Come on. You should have realized it by now. response:	Pai has always been within you, Hei.
context: I'm going to do the same thing I did in South America.\I'm going to release Pai's powers before it arrives.\When I do, no one will be able to approach this area,\just like Heaven's Gate.\Go ahead, Hei.\What are you asking me to do?\Come on. You should have realized it by now.\Pai has always been within you, Hei. response:	She's been with you ever since the day you thought she died.
context: I'm going to release Pai's powers before it arrives.\When I do, no one will be able to approach this area,\just like Heaven's Gate.\Go ahead, Hei.\What are you asking me to do?\Come on. You should have realized it by now.\Pai has always been within you, Hei.\She's been with you ever since the day you thought she died. response:	The ability to conduct electricity was only one of Pai's abilities.
context: When I do, no one will be able to approach this area,\just like Heaven's Gate.\Go ahead, Hei.\What are you asking me to do?\Come on. You should have realized it by now.\Pai has always been within you, Hei.\She's been with you ever since the day you thought she died.\The ability to conduct electricity was only one of Pai's abilities. response:	You should know the source of your powers better than anyone else.
context: just like Heaven's Gate.\Go ahead, Hei.\What are you asking me to do?\Come on. You should have realized it by now.\Pai has always been within you, Hei.\She's been with you ever since the day you thought she died.\The ability to conduct electricity was only one of Pai's abilities.\You should know the source of your powers better than anyone else. response:	Come on, Hei. Let's go meet Pai.
context: Go ahead, Hei.\What are you asking me to do?\Come on. You should have realized it by now.\Pai has always been within you, Hei.\She's been with you ever since the day you thought she died.\The ability to conduct electricity was only one of Pai's abilities.\You should know the source of your powers better than anyone else.\Come on, Hei. Let's go meet Pai. response:	What will become of this city?
context: What are you asking me to do?\Come on. You should have realized it by now.\Pai has always been within you, Hei.\She's been with you ever since the day you thought she died.\The ability to conduct electricity was only one of Pai's abilities.\You should know the source of your powers better than anyone else.\Come on, Hei. Let's go meet Pai.\What will become of this city? response:	If I use my powers for the sake of meeting Pai,
context: Come on. You should have realized it by now.\Pai has always been within you, Hei.\She's been with you ever since the day you thought she died.\The ability to conduct electricity was only one of Pai's abilities.\You should know the source of your powers better than anyone else.\Come on, Hei. Let's go meet Pai.\What will become of this city?\If I use my powers for the sake of meeting Pai, response:	what will become of the contractors, humans... everyone who lives here?
context: Pai has always been within you, Hei.\She's been with you ever since the day you thought she died.\The ability to conduct electricity was only one of Pai's abilities.\You should know the source of your powers better than anyone else.\Come on, Hei. Let's go meet Pai.\What will become of this city?\If I use my powers for the sake of meeting Pai,\what will become of the contractors, humans... everyone who lives here? response:	Will they disappear like they did in South America?
context: She's been with you ever since the day you thought she died.\The ability to conduct electricity was only one of Pai's abilities.\You should know the source of your powers better than anyone else.\Come on, Hei. Let's go meet Pai.\What will become of this city?\If I use my powers for the sake of meeting Pai,\what will become of the contractors, humans... everyone who lives here?\Will they disappear like they did in South America? response:	I can't do it.
context: The ability to conduct electricity was only one of Pai's abilities.\You should know the source of your powers better than anyone else.\Come on, Hei. Let's go meet Pai.\What will become of this city?\If I use my powers for the sake of meeting Pai,\what will become of the contractors, humans... everyone who lives here?\Will they disappear like they did in South America?\I can't do it. response:	Contractors as a whole will disappear if you don't.
context: You should know the source of your powers better than anyone else.\Come on, Hei. Let's go meet Pai.\What will become of this city?\If I use my powers for the sake of meeting Pai,\what will become of the contractors, humans... everyone who lives here?\Will they disappear like they did in South America?\I can't do it.\Contractors as a whole will disappear if you don't. response:	Yin, me... Every single contractor on this planet.
context: Come on, Hei. Let's go meet Pai.\What will become of this city?\If I use my powers for the sake of meeting Pai,\what will become of the contractors, humans... everyone who lives here?\Will they disappear like they did in South America?\I can't do it.\Contractors as a whole will disappear if you don't.\Yin, me... Every single contractor on this planet. response:	Everyone except you, Hei.
context: What will become of this city?\If I use my powers for the sake of meeting Pai,\what will become of the contractors, humans... everyone who lives here?\Will they disappear like they did in South America?\I can't do it.\Contractors as a whole will disappear if you don't.\Yin, me... Every single contractor on this planet.\Everyone except you, Hei. response:	Convergent energy will soon reach critical levels.
context: If I use my powers for the sake of meeting Pai,\what will become of the contractors, humans... everyone who lives here?\Will they disappear like they did in South America?\I can't do it.\Contractors as a whole will disappear if you don't.\Yin, me... Every single contractor on this planet.\Everyone except you, Hei.\Convergent energy will soon reach critical levels. response:	Core point at hold.
context: what will become of the contractors, humans... everyone who lives here?\Will they disappear like they did in South America?\I can't do it.\Contractors as a whole will disappear if you don't.\Yin, me... Every single contractor on this planet.\Everyone except you, Hei.\Convergent energy will soon reach critical levels.\Core point at hold. response:	Focus and tolerance revisions for the lens are complete.
context: Will they disappear like they did in South America?\I can't do it.\Contractors as a whole will disappear if you don't.\Yin, me... Every single contractor on this planet.\Everyone except you, Hei.\Convergent energy will soon reach critical levels.\Core point at hold.\Focus and tolerance revisions for the lens are complete. response:	Begin the countdown.
context: I can't do it.\Contractors as a whole will disappear if you don't.\Yin, me... Every single contractor on this planet.\Everyone except you, Hei.\Convergent energy will soon reach critical levels.\Core point at hold.\Focus and tolerance revisions for the lens are complete.\Begin the countdown. response:	Wait a second! Let me do the honors!
context: Contractors as a whole will disappear if you don't.\Yin, me... Every single contractor on this planet.\Everyone except you, Hei.\Convergent energy will soon reach critical levels.\Core point at hold.\Focus and tolerance revisions for the lens are complete.\Begin the countdown.\Wait a second! Let me do the honors! response:	This is a once-in-a-lifetime opportunity. Here we go!
context: Yin, me... Every single contractor on this planet.\Everyone except you, Hei.\Convergent energy will soon reach critical levels.\Core point at hold.\Focus and tolerance revisions for the lens are complete.\Begin the countdown.\Wait a second! Let me do the honors!\This is a once-in-a-lifetime opportunity. Here we go! response:	20, 19, 18, 17,
context: Everyone except you, Hei.\Convergent energy will soon reach critical levels.\Core point at hold.\Focus and tolerance revisions for the lens are complete.\Begin the countdown.\Wait a second! Let me do the honors!\This is a once-in-a-lifetime opportunity. Here we go!\20, 19, 18, 17, response:	We have a live feed of the core area.
context: Convergent energy will soon reach critical levels.\Core point at hold.\Focus and tolerance revisions for the lens are complete.\Begin the countdown.\Wait a second! Let me do the honors!\This is a once-in-a-lifetime opportunity. Here we go!\20, 19, 18, 17,\We have a live feed of the core area. response:	16, 15, 14,
context: Core point at hold.\Focus and tolerance revisions for the lens are complete.\Begin the countdown.\Wait a second! Let me do the honors!\This is a once-in-a-lifetime opportunity. Here we go!\20, 19, 18, 17,\We have a live feed of the core area.\16, 15, 14, response:	Did they back off?
context: Focus and tolerance revisions for the lens are complete.\Begin the countdown.\Wait a second! Let me do the honors!\This is a once-in-a-lifetime opportunity. Here we go!\20, 19, 18, 17,\We have a live feed of the core area.\16, 15, 14,\Did they back off? response:	13, 12,
context: Begin the countdown.\Wait a second! Let me do the honors!\This is a once-in-a-lifetime opportunity. Here we go!\20, 19, 18, 17,\We have a live feed of the core area.\16, 15, 14,\Did they back off?\13, 12, response:	Wait!
context: Wait a second! Let me do the honors!\This is a once-in-a-lifetime opportunity. Here we go!\20, 19, 18, 17,\We have a live feed of the core area.\16, 15, 14,\Did they back off?\13, 12,\Wait! response:	11, 10, 9,
context: This is a once-in-a-lifetime opportunity. Here we go!\20, 19, 18, 17,\We have a live feed of the core area.\16, 15, 14,\Did they back off?\13, 12,\Wait!\11, 10, 9, response:	BK201 won't cause the explosion!
context: 20, 19, 18, 17,\We have a live feed of the core area.\16, 15, 14,\Did they back off?\13, 12,\Wait!\11, 10, 9,\BK201 won't cause the explosion! response:	8, 7, 6,
context: We have a live feed of the core area.\16, 15, 14,\Did they back off?\13, 12,\Wait!\11, 10, 9,\BK201 won't cause the explosion!\8, 7, 6, response:	He's not sure about what he's doing!
context: 16, 15, 14,\Did they back off?\13, 12,\Wait!\11, 10, 9,\BK201 won't cause the explosion!\8, 7, 6,\He's not sure about what he's doing! response:	5, 4,
context: Did they back off?\13, 12,\Wait!\11, 10, 9,\BK201 won't cause the explosion!\8, 7, 6,\He's not sure about what he's doing!\5, 4, response:	Please wait!
context: 13, 12,\Wait!\11, 10, 9,\BK201 won't cause the explosion!\8, 7, 6,\He's not sure about what he's doing!\5, 4,\Please wait! response:	3, 2, 1,
context: Wait!\11, 10, 9,\BK201 won't cause the explosion!\8, 7, 6,\He's not sure about what he's doing!\5, 4,\Please wait!\3, 2, 1, response:	No... No!
context: 11, 10, 9,\BK201 won't cause the explosion!\8, 7, 6,\He's not sure about what he's doing!\5, 4,\Please wait!\3, 2, 1,\No... No! response:	I never wanted to do this!
context: BK201 won't cause the explosion!\8, 7, 6,\He's not sure about what he's doing!\5, 4,\Please wait!\3, 2, 1,\No... No!\I never wanted to do this! response:	I didn't want everything to disappear!
context: 8, 7, 6,\He's not sure about what he's doing!\5, 4,\Please wait!\3, 2, 1,\No... No!\I never wanted to do this!\I didn't want everything to disappear! response:	What's wrong?
context: He's not sure about what he's doing!\5, 4,\Please wait!\3, 2, 1,\No... No!\I never wanted to do this!\I didn't want everything to disappear!\What's wrong? response:	Nothing.
context: 5, 4,\Please wait!\3, 2, 1,\No... No!\I never wanted to do this!\I didn't want everything to disappear!\What's wrong?\Nothing. response:	You're lying.
context: Please wait!\3, 2, 1,\No... No!\I never wanted to do this!\I didn't want everything to disappear!\What's wrong?\Nothing.\You're lying. response:	I'm not.
context: 3, 2, 1,\No... No!\I never wanted to do this!\I didn't want everything to disappear!\What's wrong?\Nothing.\You're lying.\I'm not. response:	Liar.
context: No... No!\I never wanted to do this!\I didn't want everything to disappear!\What's wrong?\Nothing.\You're lying.\I'm not.\Liar. response:	I said I wasn't lying!
context: I never wanted to do this!\I didn't want everything to disappear!\What's wrong?\Nothing.\You're lying.\I'm not.\Liar.\I said I wasn't lying! response:	Why are you crying, Onii-chan?
context: I didn't want everything to disappear!\What's wrong?\Nothing.\You're lying.\I'm not.\Liar.\I said I wasn't lying!\Why are you crying, Onii-chan? response:	I had known all along.
context: What's wrong?\Nothing.\You're lying.\I'm not.\Liar.\I said I wasn't lying!\Why are you crying, Onii-chan?\I had known all along. response:	I knew you never wanted to kill anyone, Onii-chan.
context: Nothing.\You're lying.\I'm not.\Liar.\I said I wasn't lying!\Why are you crying, Onii-chan?\I had known all along.\I knew you never wanted to kill anyone, Onii-chan. response:	In order to accept me as a contractor,
context: You're lying.\I'm not.\Liar.\I said I wasn't lying!\Why are you crying, Onii-chan?\I had known all along.\I knew you never wanted to kill anyone, Onii-chan.\In order to accept me as a contractor, response:	you've been doing things against your will, Onii-chan.
context: I'm not.\Liar.\I said I wasn't lying!\Why are you crying, Onii-chan?\I had known all along.\I knew you never wanted to kill anyone, Onii-chan.\In order to accept me as a contractor,\you've been doing things against your will, Onii-chan. response:	Wrong. I'm the Grim Reaper.
context: Liar.\I said I wasn't lying!\Why are you crying, Onii-chan?\I had known all along.\I knew you never wanted to kill anyone, Onii-chan.\In order to accept me as a contractor,\you've been doing things against your will, Onii-chan.\Wrong. I'm the Grim Reaper. response:	No, you're not.
context: I said I wasn't lying!\Why are you crying, Onii-chan?\I had known all along.\I knew you never wanted to kill anyone, Onii-chan.\In order to accept me as a contractor,\you've been doing things against your will, Onii-chan.\Wrong. I'm the Grim Reaper.\No, you're not. response:	You're my brother,
context: Why are you crying, Onii-chan?\I had known all along.\I knew you never wanted to kill anyone, Onii-chan.\In order to accept me as a contractor,\you've been doing things against your will, Onii-chan.\Wrong. I'm the Grim Reaper.\No, you're not.\You're my brother, response:	so don't push yourself too much.
context: I had known all along.\I knew you never wanted to kill anyone, Onii-chan.\In order to accept me as a contractor,\you've been doing things against your will, Onii-chan.\Wrong. I'm the Grim Reaper.\No, you're not.\You're my brother,\so don't push yourself too much. response:	Geez, you're always screwing around.
context: I knew you never wanted to kill anyone, Onii-chan.\In order to accept me as a contractor,\you've been doing things against your will, Onii-chan.\Wrong. I'm the Grim Reaper.\No, you're not.\You're my brother,\so don't push yourself too much.\Geez, you're always screwing around. response:	Don't bite off more than you can chew!
context: In order to accept me as a contractor,\you've been doing things against your will, Onii-chan.\Wrong. I'm the Grim Reaper.\No, you're not.\You're my brother,\so don't push yourself too much.\Geez, you're always screwing around.\Don't bite off more than you can chew! response:	Huang?
context: you've been doing things against your will, Onii-chan.\Wrong. I'm the Grim Reaper.\No, you're not.\You're my brother,\so don't push yourself too much.\Geez, you're always screwing around.\Don't bite off more than you can chew!\Huang? response:	Do you realize how many times you've pissed me off because of your indecisive nature?
context: Wrong. I'm the Grim Reaper.\No, you're not.\You're my brother,\so don't push yourself too much.\Geez, you're always screwing around.\Don't bite off more than you can chew!\Huang?\Do you realize how many times you've pissed me off because of your indecisive nature? response:	That's what makes Hei so interesting, though.
context: No, you're not.\You're my brother,\so don't push yourself too much.\Geez, you're always screwing around.\Don't bite off more than you can chew!\Huang?\Do you realize how many times you've pissed me off because of your indecisive nature?\That's what makes Hei so interesting, though. response:	Mao?
context: You're my brother,\so don't push yourself too much.\Geez, you're always screwing around.\Don't bite off more than you can chew!\Huang?\Do you realize how many times you've pissed me off because of your indecisive nature?\That's what makes Hei so interesting, though.\Mao? response:	Who would have thought you'd be uncertain about your own identity?
context: so don't push yourself too much.\Geez, you're always screwing around.\Don't bite off more than you can chew!\Huang?\Do you realize how many times you've pissed me off because of your indecisive nature?\That's what makes Hei so interesting, though.\Mao?\Who would have thought you'd be uncertain about your own identity? response:	No wonder you didn't act like a contractor.
context: Geez, you're always screwing around.\Don't bite off more than you can chew!\Huang?\Do you realize how many times you've pissed me off because of your indecisive nature?\That's what makes Hei so interesting, though.\Mao?\Who would have thought you'd be uncertain about your own identity?\No wonder you didn't act like a contractor. response:	Got it? You're human. You're only making things more complicated by masquerading as a contractor.
context: Don't bite off more than you can chew!\Huang?\Do you realize how many times you've pissed me off because of your indecisive nature?\That's what makes Hei so interesting, though.\Mao?\Who would have thought you'd be uncertain about your own identity?\No wonder you didn't act like a contractor.\Got it? You're human. You're only making things more complicated by masquerading as a contractor. response:	If you can't choose between the two, choose both!
context: Huang?\Do you realize how many times you've pissed me off because of your indecisive nature?\That's what makes Hei so interesting, though.\Mao?\Who would have thought you'd be uncertain about your own identity?\No wonder you didn't act like a contractor.\Got it? You're human. You're only making things more complicated by masquerading as a contractor.\If you can't choose between the two, choose both! response:	A decision befitting a human being and a contractor.
context: Do you realize how many times you've pissed me off because of your indecisive nature?\That's what makes Hei so interesting, though.\Mao?\Who would have thought you'd be uncertain about your own identity?\No wonder you didn't act like a contractor.\Got it? You're human. You're only making things more complicated by masquerading as a contractor.\If you can't choose between the two, choose both!\A decision befitting a human being and a contractor. response:	That's right.
context: That's what makes Hei so interesting, though.\Mao?\Who would have thought you'd be uncertain about your own identity?\No wonder you didn't act like a contractor.\Got it? You're human. You're only making things more complicated by masquerading as a contractor.\If you can't choose between the two, choose both!\A decision befitting a human being and a contractor.\That's right. response:	Is that really okay with you?
context: Mao?\Who would have thought you'd be uncertain about your own identity?\No wonder you didn't act like a contractor.\Got it? You're human. You're only making things more complicated by masquerading as a contractor.\If you can't choose between the two, choose both!\A decision befitting a human being and a contractor.\That's right.\Is that really okay with you? response:	Is that your answer, Hei?
context: Who would have thought you'd be uncertain about your own identity?\No wonder you didn't act like a contractor.\Got it? You're human. You're only making things more complicated by masquerading as a contractor.\If you can't choose between the two, choose both!\A decision befitting a human being and a contractor.\That's right.\Is that really okay with you?\Is that your answer, Hei? response:	By choosing to assume both identities, you'll only make life more difficult on yourself.
context: No wonder you didn't act like a contractor.\Got it? You're human. You're only making things more complicated by masquerading as a contractor.\If you can't choose between the two, choose both!\A decision befitting a human being and a contractor.\That's right.\Is that really okay with you?\Is that your answer, Hei?\By choosing to assume both identities, you'll only make life more difficult on yourself. response:	The syndicate will do whatever it takes to capture you.
context: Got it? You're human. You're only making things more complicated by masquerading as a contractor.\If you can't choose between the two, choose both!\A decision befitting a human being and a contractor.\That's right.\Is that really okay with you?\Is that your answer, Hei?\By choosing to assume both identities, you'll only make life more difficult on yourself.\The syndicate will do whatever it takes to capture you. response:	You'll have to kill again if you choose to walk that path.
context: If you can't choose between the two, choose both!\A decision befitting a human being and a contractor.\That's right.\Is that really okay with you?\Is that your answer, Hei?\By choosing to assume both identities, you'll only make life more difficult on yourself.\The syndicate will do whatever it takes to capture you.\You'll have to kill again if you choose to walk that path. response:	Didn't you tell me you were sick of it?
context: A decision befitting a human being and a contractor.\That's right.\Is that really okay with you?\Is that your answer, Hei?\By choosing to assume both identities, you'll only make life more difficult on yourself.\The syndicate will do whatever it takes to capture you.\You'll have to kill again if you choose to walk that path.\Didn't you tell me you were sick of it? response:	You're only going to lose everything you've managed to gain again.
context: That's right.\Is that really okay with you?\Is that your answer, Hei?\By choosing to assume both identities, you'll only make life more difficult on yourself.\The syndicate will do whatever it takes to capture you.\You'll have to kill again if you choose to walk that path.\Didn't you tell me you were sick of it?\You're only going to lose everything you've managed to gain again. response:	You won't be able to see the real stars or your beloved sister anymore.
context: Is that really okay with you?\Is that your answer, Hei?\By choosing to assume both identities, you'll only make life more difficult on yourself.\The syndicate will do whatever it takes to capture you.\You'll have to kill again if you choose to walk that path.\Didn't you tell me you were sick of it?\You're only going to lose everything you've managed to gain again.\You won't be able to see the real stars or your beloved sister anymore. response:	Will you still...
context: Is that your answer, Hei?\By choosing to assume both identities, you'll only make life more difficult on yourself.\The syndicate will do whatever it takes to capture you.\You'll have to kill again if you choose to walk that path.\Didn't you tell me you were sick of it?\You're only going to lose everything you've managed to gain again.\You won't be able to see the real stars or your beloved sister anymore.\Will you still... response:	Why?
context: By choosing to assume both identities, you'll only make life more difficult on yourself.\The syndicate will do whatever it takes to capture you.\You'll have to kill again if you choose to walk that path.\Didn't you tell me you were sick of it?\You're only going to lose everything you've managed to gain again.\You won't be able to see the real stars or your beloved sister anymore.\Will you still...\Why? response:	Isn't this what you've always wanted?
context: The syndicate will do whatever it takes to capture you.\You'll have to kill again if you choose to walk that path.\Didn't you tell me you were sick of it?\You're only going to lose everything you've managed to gain again.\You won't be able to see the real stars or your beloved sister anymore.\Will you still...\Why?\Isn't this what you've always wanted? response:	That's why I...
context: You'll have to kill again if you choose to walk that path.\Didn't you tell me you were sick of it?\You're only going to lose everything you've managed to gain again.\You won't be able to see the real stars or your beloved sister anymore.\Will you still...\Why?\Isn't this what you've always wanted?\That's why I... response:	Aren't you the one who's afraid of letting him choose?
context: Didn't you tell me you were sick of it?\You're only going to lose everything you've managed to gain again.\You won't be able to see the real stars or your beloved sister anymore.\Will you still...\Why?\Isn't this what you've always wanted?\That's why I...\Aren't you the one who's afraid of letting him choose? response:	Amber, I...
context: You're only going to lose everything you've managed to gain again.\You won't be able to see the real stars or your beloved sister anymore.\Will you still...\Why?\Isn't this what you've always wanted?\That's why I...\Aren't you the one who's afraid of letting him choose?\Amber, I... response:	I don't want to hear another word.
context: You won't be able to see the real stars or your beloved sister anymore.\Will you still...\Why?\Isn't this what you've always wanted?\That's why I...\Aren't you the one who's afraid of letting him choose?\Amber, I...\I don't want to hear another word. response:	Good-bye, Onii-chan.
context: Will you still...\Why?\Isn't this what you've always wanted?\That's why I...\Aren't you the one who's afraid of letting him choose?\Amber, I...\I don't want to hear another word.\Good-bye, Onii-chan. response:	Good-bye, Qing.
context: Why?\Isn't this what you've always wanted?\That's why I...\Aren't you the one who's afraid of letting him choose?\Amber, I...\I don't want to hear another word.\Good-bye, Onii-chan.\Good-bye, Qing. response:	Good-bye, everyone.
context: Isn't this what you've always wanted?\That's why I...\Aren't you the one who's afraid of letting him choose?\Amber, I...\I don't want to hear another word.\Good-bye, Onii-chan.\Good-bye, Qing.\Good-bye, everyone. response:	Good-bye, Amber.
context: That's why I...\Aren't you the one who's afraid of letting him choose?\Amber, I...\I don't want to hear another word.\Good-bye, Onii-chan.\Good-bye, Qing.\Good-bye, everyone.\Good-bye, Amber. response:	Hei.
context: Aren't you the one who's afraid of letting him choose?\Amber, I...\I don't want to hear another word.\Good-bye, Onii-chan.\Good-bye, Qing.\Good-bye, everyone.\Good-bye, Amber.\Hei. response:	Hei.
context: Amber, I...\I don't want to hear another word.\Good-bye, Onii-chan.\Good-bye, Qing.\Good-bye, everyone.\Good-bye, Amber.\Hei.\Hei. response:	Yin!
context: I don't want to hear another word.\Good-bye, Onii-chan.\Good-bye, Qing.\Good-bye, everyone.\Good-bye, Amber.\Hei.\Hei.\Yin! response:	Hei, come back.
context: Good-bye, Onii-chan.\Good-bye, Qing.\Good-bye, everyone.\Good-bye, Amber.\Hei.\Hei.\Yin!\Hei, come back. response:	Yin!
context: Good-bye, Qing.\Good-bye, everyone.\Good-bye, Amber.\Hei.\Hei.\Yin!\Hei, come back.\Yin! response:	Don't leave me alone!
context: Good-bye, everyone.\Good-bye, Amber.\Hei.\Hei.\Yin!\Hei, come back.\Yin!\Don't leave me alone! response:	Hei.
context: Good-bye, Amber.\Hei.\Hei.\Yin!\Hei, come back.\Yin!\Don't leave me alone!\Hei. response:	Hei.
context: Hei.\Hei.\Yin!\Hei, come back.\Yin!\Don't leave me alone!\Hei.\Hei. response:	Where's Amber?
context: Hei.\Yin!\Hei, come back.\Yin!\Don't leave me alone!\Hei.\Hei.\Where's Amber? response:	She used her ability one last time,
context: Yin!\Hei, come back.\Yin!\Don't leave me alone!\Hei.\Hei.\Where's Amber?\She used her ability one last time, response:	which is what she planned on doing from the start.
context: Hei, come back.\Yin!\Don't leave me alone!\Hei.\Hei.\Where's Amber?\She used her ability one last time,\which is what she planned on doing from the start. response:	Let's go.
context: Yin!\Don't leave me alone!\Hei.\Hei.\Where's Amber?\She used her ability one last time,\which is what she planned on doing from the start.\Let's go. response:	Convergent energy will soon reach critical levels.
context: Don't leave me alone!\Hei.\Hei.\Where's Amber?\She used her ability one last time,\which is what she planned on doing from the start.\Let's go.\Convergent energy will soon reach critical levels. response:	Core point at hold.
context: Hei.\Hei.\Where's Amber?\She used her ability one last time,\which is what she planned on doing from the start.\Let's go.\Convergent energy will soon reach critical levels.\Core point at hold. response:	Focus and tolerance revisions for the lens are complete.
context: Hei.\Where's Amber?\She used her ability one last time,\which is what she planned on doing from the start.\Let's go.\Convergent energy will soon reach critical levels.\Core point at hold.\Focus and tolerance revisions for the lens are complete. response:	Begin the countdown.
context: Where's Amber?\She used her ability one last time,\which is what she planned on doing from the start.\Let's go.\Convergent energy will soon reach critical levels.\Core point at hold.\Focus and tolerance revisions for the lens are complete.\Begin the countdown. response:	Wait a second! Let me do the honors!
context: She used her ability one last time,\which is what she planned on doing from the start.\Let's go.\Convergent energy will soon reach critical levels.\Core point at hold.\Focus and tolerance revisions for the lens are complete.\Begin the countdown.\Wait a second! Let me do the honors! response:	This is a once-in-a-lifetime opportunity. Here we go!
context: which is what she planned on doing from the start.\Let's go.\Convergent energy will soon reach critical levels.\Core point at hold.\Focus and tolerance revisions for the lens are complete.\Begin the countdown.\Wait a second! Let me do the honors!\This is a once-in-a-lifetime opportunity. Here we go! response:	20, 19, 18, 17,
context: Let's go.\Convergent energy will soon reach critical levels.\Core point at hold.\Focus and tolerance revisions for the lens are complete.\Begin the countdown.\Wait a second! Let me do the honors!\This is a once-in-a-lifetime opportunity. Here we go!\20, 19, 18, 17, response:	We have a live feed of the core area.
context: Convergent energy will soon reach critical levels.\Core point at hold.\Focus and tolerance revisions for the lens are complete.\Begin the countdown.\Wait a second! Let me do the honors!\This is a once-in-a-lifetime opportunity. Here we go!\20, 19, 18, 17,\We have a live feed of the core area. response:	16, 15, 14,
context: Core point at hold.\Focus and tolerance revisions for the lens are complete.\Begin the countdown.\Wait a second! Let me do the honors!\This is a once-in-a-lifetime opportunity. Here we go!\20, 19, 18, 17,\We have a live feed of the core area.\16, 15, 14, response:	Did they back off?
context: Focus and tolerance revisions for the lens are complete.\Begin the countdown.\Wait a second! Let me do the honors!\This is a once-in-a-lifetime opportunity. Here we go!\20, 19, 18, 17,\We have a live feed of the core area.\16, 15, 14,\Did they back off? response:	13, 12,
context: Begin the countdown.\Wait a second! Let me do the honors!\This is a once-in-a-lifetime opportunity. Here we go!\20, 19, 18, 17,\We have a live feed of the core area.\16, 15, 14,\Did they back off?\13, 12, response:	Wait!
context: Wait a second! Let me do the honors!\This is a once-in-a-lifetime opportunity. Here we go!\20, 19, 18, 17,\We have a live feed of the core area.\16, 15, 14,\Did they back off?\13, 12,\Wait! response:	11, 10, 9,
context: This is a once-in-a-lifetime opportunity. Here we go!\20, 19, 18, 17,\We have a live feed of the core area.\16, 15, 14,\Did they back off?\13, 12,\Wait!\11, 10, 9, response:	BK201 isn't at the core!
context: 20, 19, 18, 17,\We have a live feed of the core area.\16, 15, 14,\Did they back off?\13, 12,\Wait!\11, 10, 9,\BK201 isn't at the core! response:	There won't be an explosion!
context: We have a live feed of the core area.\16, 15, 14,\Did they back off?\13, 12,\Wait!\11, 10, 9,\BK201 isn't at the core!\There won't be an explosion! response:	8, 7, 6,
context: 16, 15, 14,\Did they back off?\13, 12,\Wait!\11, 10, 9,\BK201 isn't at the core!\There won't be an explosion!\8, 7, 6, response:	The threat has been eliminated!
context: Did they back off?\13, 12,\Wait!\11, 10, 9,\BK201 isn't at the core!\There won't be an explosion!\8, 7, 6,\The threat has been eliminated! response:	5, 4,
context: 13, 12,\Wait!\11, 10, 9,\BK201 isn't at the core!\There won't be an explosion!\8, 7, 6,\The threat has been eliminated!\5, 4, response:	Please wait!
context: Wait!\11, 10, 9,\BK201 isn't at the core!\There won't be an explosion!\8, 7, 6,\The threat has been eliminated!\5, 4,\Please wait! response:	3, 2, 1,
context: 11, 10, 9,\BK201 isn't at the core!\There won't be an explosion!\8, 7, 6,\The threat has been eliminated!\5, 4,\Please wait!\3, 2, 1, response:	What happened?
context: BK201 isn't at the core!\There won't be an explosion!\8, 7, 6,\The threat has been eliminated!\5, 4,\Please wait!\3, 2, 1,\What happened? response:	I don't know.
context: There won't be an explosion!\8, 7, 6,\The threat has been eliminated!\5, 4,\Please wait!\3, 2, 1,\What happened?\I don't know. response:	A Lancer Black reaction has been detected within the Saturn Ring!
context: 8, 7, 6,\The threat has been eliminated!\5, 4,\Please wait!\3, 2, 1,\What happened?\I don't know.\A Lancer Black reaction has been detected within the Saturn Ring! response:	It's growing by the second!
context: The threat has been eliminated!\5, 4,\Please wait!\3, 2, 1,\What happened?\I don't know.\A Lancer Black reaction has been detected within the Saturn Ring!\It's growing by the second! response:	Find out what's causing it!
context: 5, 4,\Please wait!\3, 2, 1,\What happened?\I don't know.\A Lancer Black reaction has been detected within the Saturn Ring!\It's growing by the second!\Find out what's causing it! response:	This is...
context: Please wait!\3, 2, 1,\What happened?\I don't know.\A Lancer Black reaction has been detected within the Saturn Ring!\It's growing by the second!\Find out what's causing it!\This is... response:	BK201!
context: 3, 2, 1,\What happened?\I don't know.\A Lancer Black reaction has been detected within the Saturn Ring!\It's growing by the second!\Find out what's causing it!\This is...\BK201! response:	Take him down! Shoot him now!
context: What happened?\I don't know.\A Lancer Black reaction has been detected within the Saturn Ring!\It's growing by the second!\Find out what's causing it!\This is...\BK201!\Take him down! Shoot him now! response:	Prepare for the second emission immediately!
