context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: A Gym match is different from other battles.\This match is for Pokemon League authorization.\There are special rules.\Um, what do you mean by special rules?\We will use two Pokemon each, understood?\Oh.\How long have you been with that Pokemon?\Uh, about two weeks, I guess. response:	Yes, your Pikachu is in its cutest stage!
context: This match is for Pokemon League authorization.\There are special rules.\Um, what do you mean by special rules?\We will use two Pokemon each, understood?\Oh.\How long have you been with that Pokemon?\Uh, about two weeks, I guess.\Yes, your Pikachu is in its cutest stage! response:	-Ka-chu. - It can't win.
context: There are special rules.\Um, what do you mean by special rules?\We will use two Pokemon each, understood?\Oh.\How long have you been with that Pokemon?\Uh, about two weeks, I guess.\Yes, your Pikachu is in its cutest stage!\-Ka-chu. - It can't win. response:	I'll worry about my Pokemon and you worry about yours, all right?
context: Um, what do you mean by special rules?\We will use two Pokemon each, understood?\Oh.\How long have you been with that Pokemon?\Uh, about two weeks, I guess.\Yes, your Pikachu is in its cutest stage!\-Ka-chu. - It can't win.\I'll worry about my Pokemon and you worry about yours, all right? response:	Suit yourself.
context: We will use two Pokemon each, understood?\Oh.\How long have you been with that Pokemon?\Uh, about two weeks, I guess.\Yes, your Pikachu is in its cutest stage!\-Ka-chu. - It can't win.\I'll worry about my Pokemon and you worry about yours, all right?\Suit yourself. response:	As Gym Leader, I have to accept every challenge,
context: Oh.\How long have you been with that Pokemon?\Uh, about two weeks, I guess.\Yes, your Pikachu is in its cutest stage!\-Ka-chu. - It can't win.\I'll worry about my Pokemon and you worry about yours, all right?\Suit yourself.\As Gym Leader, I have to accept every challenge, response:	so let's just get this over with.
context: How long have you been with that Pokemon?\Uh, about two weeks, I guess.\Yes, your Pikachu is in its cutest stage!\-Ka-chu. - It can't win.\I'll worry about my Pokemon and you worry about yours, all right?\Suit yourself.\As Gym Leader, I have to accept every challenge,\so let's just get this over with. response:	Whoa! Oh!
context: Uh, about two weeks, I guess.\Yes, your Pikachu is in its cutest stage!\-Ka-chu. - It can't win.\I'll worry about my Pokemon and you worry about yours, all right?\Suit yourself.\As Gym Leader, I have to accept every challenge,\so let's just get this over with.\Whoa! Oh! response:	Ah. Let the match begin.
context: Yes, your Pikachu is in its cutest stage!\-Ka-chu. - It can't win.\I'll worry about my Pokemon and you worry about yours, all right?\Suit yourself.\As Gym Leader, I have to accept every challenge,\so let's just get this over with.\Whoa! Oh!\Ah. Let the match begin. response:	All right. Okay, Pikachu, I choose you, buddy.
context: -Ka-chu. - It can't win.\I'll worry about my Pokemon and you worry about yours, all right?\Suit yourself.\As Gym Leader, I have to accept every challenge,\so let's just get this over with.\Whoa! Oh!\Ah. Let the match begin.\All right. Okay, Pikachu, I choose you, buddy. response:	Pikachu!
context: I'll worry about my Pokemon and you worry about yours, all right?\Suit yourself.\As Gym Leader, I have to accept every challenge,\so let's just get this over with.\Whoa! Oh!\Ah. Let the match begin.\All right. Okay, Pikachu, I choose you, buddy.\Pikachu! response:	Onix, go!
context: Suit yourself.\As Gym Leader, I have to accept every challenge,\so let's just get this over with.\Whoa! Oh!\Ah. Let the match begin.\All right. Okay, Pikachu, I choose you, buddy.\Pikachu!\Onix, go! response:	Pika...
context: As Gym Leader, I have to accept every challenge,\so let's just get this over with.\Whoa! Oh!\Ah. Let the match begin.\All right. Okay, Pikachu, I choose you, buddy.\Pikachu!\Onix, go!\Pika... response:	Chu. Pikachu.
context: so let's just get this over with.\Whoa! Oh!\Ah. Let the match begin.\All right. Okay, Pikachu, I choose you, buddy.\Pikachu!\Onix, go!\Pika...\Chu. Pikachu. response:	Hey, this is your battle, Pikachu, not Pidgeotto's! Go.
context: Whoa! Oh!\Ah. Let the match begin.\All right. Okay, Pikachu, I choose you, buddy.\Pikachu!\Onix, go!\Pika...\Chu. Pikachu.\Hey, this is your battle, Pikachu, not Pidgeotto's! Go. response:	Pika, pika? Chu!
context: Ah. Let the match begin.\All right. Okay, Pikachu, I choose you, buddy.\Pikachu!\Onix, go!\Pika...\Chu. Pikachu.\Hey, this is your battle, Pikachu, not Pidgeotto's! Go.\Pika, pika? Chu! response:	-Onix, tackle attack! -Chu!
context: All right. Okay, Pikachu, I choose you, buddy.\Pikachu!\Onix, go!\Pika...\Chu. Pikachu.\Hey, this is your battle, Pikachu, not Pidgeotto's! Go.\Pika, pika? Chu!\-Onix, tackle attack! -Chu! response:	Chu, chu!
context: Pikachu!\Onix, go!\Pika...\Chu. Pikachu.\Hey, this is your battle, Pikachu, not Pidgeotto's! Go.\Pika, pika? Chu!\-Onix, tackle attack! -Chu!\Chu, chu! response:	Onix, bind it now!
context: Onix, go!\Pika...\Chu. Pikachu.\Hey, this is your battle, Pikachu, not Pidgeotto's! Go.\Pika, pika? Chu!\-Onix, tackle attack! -Chu!\Chu, chu!\Onix, bind it now! response:	Unh! Pikachu, Thundershock!
context: Pika...\Chu. Pikachu.\Hey, this is your battle, Pikachu, not Pidgeotto's! Go.\Pika, pika? Chu!\-Onix, tackle attack! -Chu!\Chu, chu!\Onix, bind it now!\Unh! Pikachu, Thundershock! response:	Pika!
context: Chu. Pikachu.\Hey, this is your battle, Pikachu, not Pidgeotto's! Go.\Pika, pika? Chu!\-Onix, tackle attack! -Chu!\Chu, chu!\Onix, bind it now!\Unh! Pikachu, Thundershock!\Pika! response:	You haven't raised it very well.
context: Hey, this is your battle, Pikachu, not Pidgeotto's! Go.\Pika, pika? Chu!\-Onix, tackle attack! -Chu!\Chu, chu!\Onix, bind it now!\Unh! Pikachu, Thundershock!\Pika!\You haven't raised it very well. response:	Such a weak electric attack can't hurt Onix!
context: Pika, pika? Chu!\-Onix, tackle attack! -Chu!\Chu, chu!\Onix, bind it now!\Unh! Pikachu, Thundershock!\Pika!\You haven't raised it very well.\Such a weak electric attack can't hurt Onix! response:	-Chu. -Pikachu, return!
context: -Onix, tackle attack! -Chu!\Chu, chu!\Onix, bind it now!\Unh! Pikachu, Thundershock!\Pika!\You haven't raised it very well.\Such a weak electric attack can't hurt Onix!\-Chu. -Pikachu, return! response:	It's being blocked. I can't bring it back.
context: Chu, chu!\Onix, bind it now!\Unh! Pikachu, Thundershock!\Pika!\You haven't raised it very well.\Such a weak electric attack can't hurt Onix!\-Chu. -Pikachu, return!\It's being blocked. I can't bring it back. response:	Chu!
context: Onix, bind it now!\Unh! Pikachu, Thundershock!\Pika!\You haven't raised it very well.\Such a weak electric attack can't hurt Onix!\-Chu. -Pikachu, return!\It's being blocked. I can't bring it back.\Chu! response:	Argh! Cut it out!
context: Unh! Pikachu, Thundershock!\Pika!\You haven't raised it very well.\Such a weak electric attack can't hurt Onix!\-Chu. -Pikachu, return!\It's being blocked. I can't bring it back.\Chu!\Argh! Cut it out! response:	Do you surrender?
context: Pika!\You haven't raised it very well.\Such a weak electric attack can't hurt Onix!\-Chu. -Pikachu, return!\It's being blocked. I can't bring it back.\Chu!\Argh! Cut it out!\Do you surrender? response:	I... I do.
context: You haven't raised it very well.\Such a weak electric attack can't hurt Onix!\-Chu. -Pikachu, return!\It's being blocked. I can't bring it back.\Chu!\Argh! Cut it out!\Do you surrender?\I... I do. response:	Huh?
context: Such a weak electric attack can't hurt Onix!\-Chu. -Pikachu, return!\It's being blocked. I can't bring it back.\Chu!\Argh! Cut it out!\Do you surrender?\I... I do.\Huh? response:	Come with me.
context: -Chu. -Pikachu, return!\It's being blocked. I can't bring it back.\Chu!\Argh! Cut it out!\Do you surrender?\I... I do.\Huh?\Come with me. response:	Everyone loses sometimes. You can't let that get you down.
context: It's being blocked. I can't bring it back.\Chu!\Argh! Cut it out!\Do you surrender?\I... I do.\Huh?\Come with me.\Everyone loses sometimes. You can't let that get you down. response:	I know, but I didn't just lose. I stunk!
context: Chu!\Argh! Cut it out!\Do you surrender?\I... I do.\Huh?\Come with me.\Everyone loses sometimes. You can't let that get you down.\I know, but I didn't just lose. I stunk! response:	Brock's way better than me.
context: Argh! Cut it out!\Do you surrender?\I... I do.\Huh?\Come with me.\Everyone loses sometimes. You can't let that get you down.\I know, but I didn't just lose. I stunk!\Brock's way better than me. response:	I could never enter a league match if I can't beat him.
context: Do you surrender?\I... I do.\Huh?\Come with me.\Everyone loses sometimes. You can't let that get you down.\I know, but I didn't just lose. I stunk!\Brock's way better than me.\I could never enter a league match if I can't beat him. response:	Brock is very good.
context: I... I do.\Huh?\Come with me.\Everyone loses sometimes. You can't let that get you down.\I know, but I didn't just lose. I stunk!\Brock's way better than me.\I could never enter a league match if I can't beat him.\Brock is very good. response:	His own talents could take him much further
context: Huh?\Come with me.\Everyone loses sometimes. You can't let that get you down.\I know, but I didn't just lose. I stunk!\Brock's way better than me.\I could never enter a league match if I can't beat him.\Brock is very good.\His own talents could take him much further response:	than simply being the local Gym Leader.
context: Come with me.\Everyone loses sometimes. You can't let that get you down.\I know, but I didn't just lose. I stunk!\Brock's way better than me.\I could never enter a league match if I can't beat him.\Brock is very good.\His own talents could take him much further\than simply being the local Gym Leader. response:	Yeah, but why has he never been in a regional championship himself?
context: Everyone loses sometimes. You can't let that get you down.\I know, but I didn't just lose. I stunk!\Brock's way better than me.\I could never enter a league match if I can't beat him.\Brock is very good.\His own talents could take him much further\than simply being the local Gym Leader.\Yeah, but why has he never been in a regional championship himself? response:	-He has his reasons. -Huh?
context: I know, but I didn't just lose. I stunk!\Brock's way better than me.\I could never enter a league match if I can't beat him.\Brock is very good.\His own talents could take him much further\than simply being the local Gym Leader.\Yeah, but why has he never been in a regional championship himself?\-He has his reasons. -Huh? response:	I tore my skirt!
context: Brock's way better than me.\I could never enter a league match if I can't beat him.\Brock is very good.\His own talents could take him much further\than simply being the local Gym Leader.\Yeah, but why has he never been in a regional championship himself?\-He has his reasons. -Huh?\I tore my skirt! response:	All right, all right, I'll sew it up for you.
context: I could never enter a league match if I can't beat him.\Brock is very good.\His own talents could take him much further\than simply being the local Gym Leader.\Yeah, but why has he never been in a regional championship himself?\-He has his reasons. -Huh?\I tore my skirt!\All right, all right, I'll sew it up for you. response:	Huh?
context: Brock is very good.\His own talents could take him much further\than simply being the local Gym Leader.\Yeah, but why has he never been in a regional championship himself?\-He has his reasons. -Huh?\I tore my skirt!\All right, all right, I'll sew it up for you.\Huh? response:	Is it done yet?
context: His own talents could take him much further\than simply being the local Gym Leader.\Yeah, but why has he never been in a regional championship himself?\-He has his reasons. -Huh?\I tore my skirt!\All right, all right, I'll sew it up for you.\Huh?\Is it done yet? response:	Just a minute.
context: than simply being the local Gym Leader.\Yeah, but why has he never been in a regional championship himself?\-He has his reasons. -Huh?\I tore my skirt!\All right, all right, I'll sew it up for you.\Huh?\Is it done yet?\Just a minute. response:	Wow, I sure never thought of Brock like that.
context: Yeah, but why has he never been in a regional championship himself?\-He has his reasons. -Huh?\I tore my skirt!\All right, all right, I'll sew it up for you.\Huh?\Is it done yet?\Just a minute.\Wow, I sure never thought of Brock like that. response:	Brock has ten little brothers and sisters to take care of
context: -He has his reasons. -Huh?\I tore my skirt!\All right, all right, I'll sew it up for you.\Huh?\Is it done yet?\Just a minute.\Wow, I sure never thought of Brock like that.\Brock has ten little brothers and sisters to take care of response:	so he could never leave town for regional championships.
context: I tore my skirt!\All right, all right, I'll sew it up for you.\Huh?\Is it done yet?\Just a minute.\Wow, I sure never thought of Brock like that.\Brock has ten little brothers and sisters to take care of\so he could never leave town for regional championships. response:	Doesn't he have a mom or a dad?
context: All right, all right, I'll sew it up for you.\Huh?\Is it done yet?\Just a minute.\Wow, I sure never thought of Brock like that.\Brock has ten little brothers and sisters to take care of\so he could never leave town for regional championships.\Doesn't he have a mom or a dad? response:	His good-for-nothing father left the family to become a Pokemon trainer
context: Huh?\Is it done yet?\Just a minute.\Wow, I sure never thought of Brock like that.\Brock has ten little brothers and sisters to take care of\so he could never leave town for regional championships.\Doesn't he have a mom or a dad?\His good-for-nothing father left the family to become a Pokemon trainer response:	and they never heard from him again.
context: Is it done yet?\Just a minute.\Wow, I sure never thought of Brock like that.\Brock has ten little brothers and sisters to take care of\so he could never leave town for regional championships.\Doesn't he have a mom or a dad?\His good-for-nothing father left the family to become a Pokemon trainer\and they never heard from him again. response:	Brock's heartbroken mother tried her best to hold things together
context: Just a minute.\Wow, I sure never thought of Brock like that.\Brock has ten little brothers and sisters to take care of\so he could never leave town for regional championships.\Doesn't he have a mom or a dad?\His good-for-nothing father left the family to become a Pokemon trainer\and they never heard from him again.\Brock's heartbroken mother tried her best to hold things together response:	but sadly, she passed away.
context: Wow, I sure never thought of Brock like that.\Brock has ten little brothers and sisters to take care of\so he could never leave town for regional championships.\Doesn't he have a mom or a dad?\His good-for-nothing father left the family to become a Pokemon trainer\and they never heard from him again.\Brock's heartbroken mother tried her best to hold things together\but sadly, she passed away. response:	Brock's the only one his little brothers and sisters have left.
context: Brock has ten little brothers and sisters to take care of\so he could never leave town for regional championships.\Doesn't he have a mom or a dad?\His good-for-nothing father left the family to become a Pokemon trainer\and they never heard from him again.\Brock's heartbroken mother tried her best to hold things together\but sadly, she passed away.\Brock's the only one his little brothers and sisters have left. response:	I better not listen to any more sad stuff.
context: so he could never leave town for regional championships.\Doesn't he have a mom or a dad?\His good-for-nothing father left the family to become a Pokemon trainer\and they never heard from him again.\Brock's heartbroken mother tried her best to hold things together\but sadly, she passed away.\Brock's the only one his little brothers and sisters have left.\I better not listen to any more sad stuff. response:	Next time I have a match with Brock, I might not have the heart to beat him!
context: Doesn't he have a mom or a dad?\His good-for-nothing father left the family to become a Pokemon trainer\and they never heard from him again.\Brock's heartbroken mother tried her best to hold things together\but sadly, she passed away.\Brock's the only one his little brothers and sisters have left.\I better not listen to any more sad stuff.\Next time I have a match with Brock, I might not have the heart to beat him! response:	But... But you said that...
context: His good-for-nothing father left the family to become a Pokemon trainer\and they never heard from him again.\Brock's heartbroken mother tried her best to hold things together\but sadly, she passed away.\Brock's the only one his little brothers and sisters have left.\I better not listen to any more sad stuff.\Next time I have a match with Brock, I might not have the heart to beat him!\But... But you said that... response:	You said you could never win a match with Brock!
context: and they never heard from him again.\Brock's heartbroken mother tried her best to hold things together\but sadly, she passed away.\Brock's the only one his little brothers and sisters have left.\I better not listen to any more sad stuff.\Next time I have a match with Brock, I might not have the heart to beat him!\But... But you said that...\You said you could never win a match with Brock! response:	Yeah, well, I changed my mind about that!
context: Brock's heartbroken mother tried her best to hold things together\but sadly, she passed away.\Brock's the only one his little brothers and sisters have left.\I better not listen to any more sad stuff.\Next time I have a match with Brock, I might not have the heart to beat him!\But... But you said that...\You said you could never win a match with Brock!\Yeah, well, I changed my mind about that! response:	If I can power up Pikachu, I'll beat him!
context: but sadly, she passed away.\Brock's the only one his little brothers and sisters have left.\I better not listen to any more sad stuff.\Next time I have a match with Brock, I might not have the heart to beat him!\But... But you said that...\You said you could never win a match with Brock!\Yeah, well, I changed my mind about that!\If I can power up Pikachu, I'll beat him! response:	Hmm, I may just know a way you can supercharge Pikachu.
context: Brock's the only one his little brothers and sisters have left.\I better not listen to any more sad stuff.\Next time I have a match with Brock, I might not have the heart to beat him!\But... But you said that...\You said you could never win a match with Brock!\Yeah, well, I changed my mind about that!\If I can power up Pikachu, I'll beat him!\Hmm, I may just know a way you can supercharge Pikachu. response:	Hey, you do?
context: I better not listen to any more sad stuff.\Next time I have a match with Brock, I might not have the heart to beat him!\But... But you said that...\You said you could never win a match with Brock!\Yeah, well, I changed my mind about that!\If I can power up Pikachu, I'll beat him!\Hmm, I may just know a way you can supercharge Pikachu.\Hey, you do? response:	- What is this place? - A hydroelectric plant.
context: Next time I have a match with Brock, I might not have the heart to beat him!\But... But you said that...\You said you could never win a match with Brock!\Yeah, well, I changed my mind about that!\If I can power up Pikachu, I'll beat him!\Hmm, I may just know a way you can supercharge Pikachu.\Hey, you do?\- What is this place? - A hydroelectric plant. response:	The river turns the wheel and makes electricity
context: But... But you said that...\You said you could never win a match with Brock!\Yeah, well, I changed my mind about that!\If I can power up Pikachu, I'll beat him!\Hmm, I may just know a way you can supercharge Pikachu.\Hey, you do?\- What is this place? - A hydroelectric plant.\The river turns the wheel and makes electricity response:	and if you can hook Pikachu up to it,
context: You said you could never win a match with Brock!\Yeah, well, I changed my mind about that!\If I can power up Pikachu, I'll beat him!\Hmm, I may just know a way you can supercharge Pikachu.\Hey, you do?\- What is this place? - A hydroelectric plant.\The river turns the wheel and makes electricity\and if you can hook Pikachu up to it, response:	you might be able to give it a power boost.
context: Yeah, well, I changed my mind about that!\If I can power up Pikachu, I'll beat him!\Hmm, I may just know a way you can supercharge Pikachu.\Hey, you do?\- What is this place? - A hydroelectric plant.\The river turns the wheel and makes electricity\and if you can hook Pikachu up to it,\you might be able to give it a power boost. response:	Thanks, Mr. Flint. That's a great idea!
context: If I can power up Pikachu, I'll beat him!\Hmm, I may just know a way you can supercharge Pikachu.\Hey, you do?\- What is this place? - A hydroelectric plant.\The river turns the wheel and makes electricity\and if you can hook Pikachu up to it,\you might be able to give it a power boost.\Thanks, Mr. Flint. That's a great idea! response:	Gee, how do you know so much about Pokemon, huh?
context: Hmm, I may just know a way you can supercharge Pikachu.\Hey, you do?\- What is this place? - A hydroelectric plant.\The river turns the wheel and makes electricity\and if you can hook Pikachu up to it,\you might be able to give it a power boost.\Thanks, Mr. Flint. That's a great idea!\Gee, how do you know so much about Pokemon, huh? response:	Me? Uh, you see, I, uh...
context: Hey, you do?\- What is this place? - A hydroelectric plant.\The river turns the wheel and makes electricity\and if you can hook Pikachu up to it,\you might be able to give it a power boost.\Thanks, Mr. Flint. That's a great idea!\Gee, how do you know so much about Pokemon, huh?\Me? Uh, you see, I, uh... response:	Well, I just got lucky, I guess. That's it, lucky.
context: - What is this place? - A hydroelectric plant.\The river turns the wheel and makes electricity\and if you can hook Pikachu up to it,\you might be able to give it a power boost.\Thanks, Mr. Flint. That's a great idea!\Gee, how do you know so much about Pokemon, huh?\Me? Uh, you see, I, uh...\Well, I just got lucky, I guess. That's it, lucky. response:	Well, Pikachu, get ready to power up!
context: The river turns the wheel and makes electricity\and if you can hook Pikachu up to it,\you might be able to give it a power boost.\Thanks, Mr. Flint. That's a great idea!\Gee, how do you know so much about Pokemon, huh?\Me? Uh, you see, I, uh...\Well, I just got lucky, I guess. That's it, lucky.\Well, Pikachu, get ready to power up! response:	Pikachu!
context: and if you can hook Pikachu up to it,\you might be able to give it a power boost.\Thanks, Mr. Flint. That's a great idea!\Gee, how do you know so much about Pokemon, huh?\Me? Uh, you see, I, uh...\Well, I just got lucky, I guess. That's it, lucky.\Well, Pikachu, get ready to power up!\Pikachu! response:	Of course right now the river is dry.
context: you might be able to give it a power boost.\Thanks, Mr. Flint. That's a great idea!\Gee, how do you know so much about Pokemon, huh?\Me? Uh, you see, I, uh...\Well, I just got lucky, I guess. That's it, lucky.\Well, Pikachu, get ready to power up!\Pikachu!\Of course right now the river is dry. response:	Ah!
context: Thanks, Mr. Flint. That's a great idea!\Gee, how do you know so much about Pokemon, huh?\Me? Uh, you see, I, uh...\Well, I just got lucky, I guess. That's it, lucky.\Well, Pikachu, get ready to power up!\Pikachu!\Of course right now the river is dry.\Ah! response:	Then what did we come here for?
context: Gee, how do you know so much about Pokemon, huh?\Me? Uh, you see, I, uh...\Well, I just got lucky, I guess. That's it, lucky.\Well, Pikachu, get ready to power up!\Pikachu!\Of course right now the river is dry.\Ah!\Then what did we come here for? response:	I have another idea.
context: Me? Uh, you see, I, uh...\Well, I just got lucky, I guess. That's it, lucky.\Well, Pikachu, get ready to power up!\Pikachu!\Of course right now the river is dry.\Ah!\Then what did we come here for?\I have another idea. response:	-Pikachu is all hooked up. -Okay.
context: Well, I just got lucky, I guess. That's it, lucky.\Well, Pikachu, get ready to power up!\Pikachu!\Of course right now the river is dry.\Ah!\Then what did we come here for?\I have another idea.\-Pikachu is all hooked up. -Okay. response:	Ah!
context: Well, Pikachu, get ready to power up!\Pikachu!\Of course right now the river is dry.\Ah!\Then what did we come here for?\I have another idea.\-Pikachu is all hooked up. -Okay.\Ah! response:	All right!
context: Pikachu!\Of course right now the river is dry.\Ah!\Then what did we come here for?\I have another idea.\-Pikachu is all hooked up. -Okay.\Ah!\All right! response:	Pi...
context: Of course right now the river is dry.\Ah!\Then what did we come here for?\I have another idea.\-Pikachu is all hooked up. -Okay.\Ah!\All right!\Pi... response:	Take it easy, Pikachu.
context: Ah!\Then what did we come here for?\I have another idea.\-Pikachu is all hooked up. -Okay.\Ah!\All right!\Pi...\Take it easy, Pikachu. response:	All this power may be shocking at first, but sooner or later,
context: Then what did we come here for?\I have another idea.\-Pikachu is all hooked up. -Okay.\Ah!\All right!\Pi...\Take it easy, Pikachu.\All this power may be shocking at first, but sooner or later, response:	your body will get used to the high voltage!
context: I have another idea.\-Pikachu is all hooked up. -Okay.\Ah!\All right!\Pi...\Take it easy, Pikachu.\All this power may be shocking at first, but sooner or later,\your body will get used to the high voltage! response:	Hey, Ash. Wouldn't it be a lot better to just ask me for help
context: -Pikachu is all hooked up. -Okay.\Ah!\All right!\Pi...\Take it easy, Pikachu.\All this power may be shocking at first, but sooner or later,\your body will get used to the high voltage!\Hey, Ash. Wouldn't it be a lot better to just ask me for help response:	instead of going with this crazy power plan of yours?
context: Ah!\All right!\Pi...\Take it easy, Pikachu.\All this power may be shocking at first, but sooner or later,\your body will get used to the high voltage!\Hey, Ash. Wouldn't it be a lot better to just ask me for help\instead of going with this crazy power plan of yours? response:	Forget it! I'll win without your help.
context: All right!\Pi...\Take it easy, Pikachu.\All this power may be shocking at first, but sooner or later,\your body will get used to the high voltage!\Hey, Ash. Wouldn't it be a lot better to just ask me for help\instead of going with this crazy power plan of yours?\Forget it! I'll win without your help. response:	Huh?
context: Pi...\Take it easy, Pikachu.\All this power may be shocking at first, but sooner or later,\your body will get used to the high voltage!\Hey, Ash. Wouldn't it be a lot better to just ask me for help\instead of going with this crazy power plan of yours?\Forget it! I'll win without your help.\Huh? response:	Huh! What do I care?
context: Take it easy, Pikachu.\All this power may be shocking at first, but sooner or later,\your body will get used to the high voltage!\Hey, Ash. Wouldn't it be a lot better to just ask me for help\instead of going with this crazy power plan of yours?\Forget it! I'll win without your help.\Huh?\Huh! What do I care? response:	I'm going to get a badge all by myself using the Pokemon I'm training!
context: All this power may be shocking at first, but sooner or later,\your body will get used to the high voltage!\Hey, Ash. Wouldn't it be a lot better to just ask me for help\instead of going with this crazy power plan of yours?\Forget it! I'll win without your help.\Huh?\Huh! What do I care?\I'm going to get a badge all by myself using the Pokemon I'm training! response:	Stubborn. It'd be a lot easier if he used some of mine too.
context: your body will get used to the high voltage!\Hey, Ash. Wouldn't it be a lot better to just ask me for help\instead of going with this crazy power plan of yours?\Forget it! I'll win without your help.\Huh?\Huh! What do I care?\I'm going to get a badge all by myself using the Pokemon I'm training!\Stubborn. It'd be a lot easier if he used some of mine too. response:	If I can take this, you can take it, Pikachu!
context: Hey, Ash. Wouldn't it be a lot better to just ask me for help\instead of going with this crazy power plan of yours?\Forget it! I'll win without your help.\Huh?\Huh! What do I care?\I'm going to get a badge all by myself using the Pokemon I'm training!\Stubborn. It'd be a lot easier if he used some of mine too.\If I can take this, you can take it, Pikachu! response:	Hang in there, Pikachu.
context: instead of going with this crazy power plan of yours?\Forget it! I'll win without your help.\Huh?\Huh! What do I care?\I'm going to get a badge all by myself using the Pokemon I'm training!\Stubborn. It'd be a lot easier if he used some of mine too.\If I can take this, you can take it, Pikachu!\Hang in there, Pikachu. response:	Huh?
context: Forget it! I'll win without your help.\Huh?\Huh! What do I care?\I'm going to get a badge all by myself using the Pokemon I'm training!\Stubborn. It'd be a lot easier if he used some of mine too.\If I can take this, you can take it, Pikachu!\Hang in there, Pikachu.\Huh? response:	Pi!
context: Huh?\Huh! What do I care?\I'm going to get a badge all by myself using the Pokemon I'm training!\Stubborn. It'd be a lot easier if he used some of mine too.\If I can take this, you can take it, Pikachu!\Hang in there, Pikachu.\Huh?\Pi! response:	I'm back!
context: Huh! What do I care?\I'm going to get a badge all by myself using the Pokemon I'm training!\Stubborn. It'd be a lot easier if he used some of mine too.\If I can take this, you can take it, Pikachu!\Hang in there, Pikachu.\Huh?\Pi!\I'm back! response:	Haven't you learned your lesson yet?
context: I'm going to get a badge all by myself using the Pokemon I'm training!\Stubborn. It'd be a lot easier if he used some of mine too.\If I can take this, you can take it, Pikachu!\Hang in there, Pikachu.\Huh?\Pi!\I'm back!\Haven't you learned your lesson yet? response:	Ah! We're ready for you this time, Brock!
context: Stubborn. It'd be a lot easier if he used some of mine too.\If I can take this, you can take it, Pikachu!\Hang in there, Pikachu.\Huh?\Pi!\I'm back!\Haven't you learned your lesson yet?\Ah! We're ready for you this time, Brock! response:	Heh, we'll see.
context: If I can take this, you can take it, Pikachu!\Hang in there, Pikachu.\Huh?\Pi!\I'm back!\Haven't you learned your lesson yet?\Ah! We're ready for you this time, Brock!\Heh, we'll see. response:	- Pi! - Two Poke Balls.
context: Hang in there, Pikachu.\Huh?\Pi!\I'm back!\Haven't you learned your lesson yet?\Ah! We're ready for you this time, Brock!\Heh, we'll see.\- Pi! - Two Poke Balls. response:	Got it!
context: Huh?\Pi!\I'm back!\Haven't you learned your lesson yet?\Ah! We're ready for you this time, Brock!\Heh, we'll see.\- Pi! - Two Poke Balls.\Got it! response:	I'll start with... Geodude, go!
context: Pi!\I'm back!\Haven't you learned your lesson yet?\Ah! We're ready for you this time, Brock!\Heh, we'll see.\- Pi! - Two Poke Balls.\Got it!\I'll start with... Geodude, go! response:	Geodude.
context: I'm back!\Haven't you learned your lesson yet?\Ah! We're ready for you this time, Brock!\Heh, we'll see.\- Pi! - Two Poke Balls.\Got it!\I'll start with... Geodude, go!\Geodude. response:	Pidgeotto, I choose you!
context: Haven't you learned your lesson yet?\Ah! We're ready for you this time, Brock!\Heh, we'll see.\- Pi! - Two Poke Balls.\Got it!\I'll start with... Geodude, go!\Geodude.\Pidgeotto, I choose you! response:	Go, pidgeotto! Gust Attack!
context: Ah! We're ready for you this time, Brock!\Heh, we'll see.\- Pi! - Two Poke Balls.\Got it!\I'll start with... Geodude, go!\Geodude.\Pidgeotto, I choose you!\Go, pidgeotto! Gust Attack! response:	-Huh? -Bad strategy.
context: Heh, we'll see.\- Pi! - Two Poke Balls.\Got it!\I'll start with... Geodude, go!\Geodude.\Pidgeotto, I choose you!\Go, pidgeotto! Gust Attack!\-Huh? -Bad strategy. response:	Don't you know flying Pokemon are weak against Rock Types?
context: - Pi! - Two Poke Balls.\Got it!\I'll start with... Geodude, go!\Geodude.\Pidgeotto, I choose you!\Go, pidgeotto! Gust Attack!\-Huh? -Bad strategy.\Don't you know flying Pokemon are weak against Rock Types? response:	Oh, guess I forgot.
context: Got it!\I'll start with... Geodude, go!\Geodude.\Pidgeotto, I choose you!\Go, pidgeotto! Gust Attack!\-Huh? -Bad strategy.\Don't you know flying Pokemon are weak against Rock Types?\Oh, guess I forgot. response:	Come on, Ash. Use your head.
context: I'll start with... Geodude, go!\Geodude.\Pidgeotto, I choose you!\Go, pidgeotto! Gust Attack!\-Huh? -Bad strategy.\Don't you know flying Pokemon are weak against Rock Types?\Oh, guess I forgot.\Come on, Ash. Use your head. response:	Pidgeotto, return!
context: Geodude.\Pidgeotto, I choose you!\Go, pidgeotto! Gust Attack!\-Huh? -Bad strategy.\Don't you know flying Pokemon are weak against Rock Types?\Oh, guess I forgot.\Come on, Ash. Use your head.\Pidgeotto, return! response:	-Are you giving up again, Ash? -No way.
context: Pidgeotto, I choose you!\Go, pidgeotto! Gust Attack!\-Huh? -Bad strategy.\Don't you know flying Pokemon are weak against Rock Types?\Oh, guess I forgot.\Come on, Ash. Use your head.\Pidgeotto, return!\-Are you giving up again, Ash? -No way. response:	-Pikachu, I choose you! -Chu!
