context: It was a story of two queens. response:	It was a story of death and rebirth.
context: Why\is everyone collecting in my room when we've come all the way to Bladefield?!\This is my first time watching television, it is!\Did they really keep you that sheltered?\Brother?\What type of press conference is this?\My beloved citizens.\My father, who has been bedridden for the past few days, response:	Allbad Bladefield,
context: is everyone collecting in my room when we've come all the way to Bladefield?!\This is my first time watching television, it is!\Did they really keep you that sheltered?\Brother?\What type of press conference is this?\My beloved citizens.\My father, who has been bedridden for the past few days,\Allbad Bladefield, response:	passed away this morning.
context: This is my first time watching television, it is!\Did they really keep you that sheltered?\Brother?\What type of press conference is this?\My beloved citizens.\My father, who has been bedridden for the past few days,\Allbad Bladefield,\passed away this morning. response:	Father had already passed away...
context: Did they really keep you that sheltered?\Brother?\What type of press conference is this?\My beloved citizens.\My father, who has been bedridden for the past few days,\Allbad Bladefield,\passed away this morning.\Father had already passed away... response:	There is a reason this announcement has come to you all late.
context: Brother?\What type of press conference is this?\My beloved citizens.\My father, who has been bedridden for the past few days,\Allbad Bladefield,\passed away this morning.\Father had already passed away...\There is a reason this announcement has come to you all late. response:	As soon as my father passed away, the second crown prince and
context: What type of press conference is this?\My beloved citizens.\My father, who has been bedridden for the past few days,\Allbad Bladefield,\passed away this morning.\Father had already passed away...\There is a reason this announcement has come to you all late.\As soon as my father passed away, the second crown prince and response:	the other princes below him, in other words,
context: My beloved citizens.\My father, who has been bedridden for the past few days,\Allbad Bladefield,\passed away this morning.\Father had already passed away...\There is a reason this announcement has come to you all late.\As soon as my father passed away, the second crown prince and\the other princes below him, in other words, response:	my brothers, plotted to capture the crown,
context: My father, who has been bedridden for the past few days,\Allbad Bladefield,\passed away this morning.\Father had already passed away...\There is a reason this announcement has come to you all late.\As soon as my father passed away, the second crown prince and\the other princes below him, in other words,\my brothers, plotted to capture the crown, response:	and were subdued.
context: Allbad Bladefield,\passed away this morning.\Father had already passed away...\There is a reason this announcement has come to you all late.\As soon as my father passed away, the second crown prince and\the other princes below him, in other words,\my brothers, plotted to capture the crown,\and were subdued. response:	In order to corner me into submission,
context: passed away this morning.\Father had already passed away...\There is a reason this announcement has come to you all late.\As soon as my father passed away, the second crown prince and\the other princes below him, in other words,\my brothers, plotted to capture the crown,\and were subdued.\In order to corner me into submission, response:	they attempted to assassinate the thirteenth and fourteenth crown princesses.
context: Father had already passed away...\There is a reason this announcement has come to you all late.\As soon as my father passed away, the second crown prince and\the other princes below him, in other words,\my brothers, plotted to capture the crown,\and were subdued.\In order to corner me into submission,\they attempted to assassinate the thirteenth and fourteenth crown princesses. response:	Fortunately, with help from good men, they were stopped.
context: There is a reason this announcement has come to you all late.\As soon as my father passed away, the second crown prince and\the other princes below him, in other words,\my brothers, plotted to capture the crown,\and were subdued.\In order to corner me into submission,\they attempted to assassinate the thirteenth and fourteenth crown princesses.\Fortunately, with help from good men, they were stopped. response:	Please wait, your Highness.
context: As soon as my father passed away, the second crown prince and\the other princes below him, in other words,\my brothers, plotted to capture the crown,\and were subdued.\In order to corner me into submission,\they attempted to assassinate the thirteenth and fourteenth crown princesses.\Fortunately, with help from good men, they were stopped.\Please wait, your Highness. response:	If they were trying to obtain the crown for themselves,
context: the other princes below him, in other words,\my brothers, plotted to capture the crown,\and were subdued.\In order to corner me into submission,\they attempted to assassinate the thirteenth and fourteenth crown princesses.\Fortunately, with help from good men, they were stopped.\Please wait, your Highness.\If they were trying to obtain the crown for themselves, response:	why would they attack the princesses with
context: my brothers, plotted to capture the crown,\and were subdued.\In order to corner me into submission,\they attempted to assassinate the thirteenth and fourteenth crown princesses.\Fortunately, with help from good men, they were stopped.\Please wait, your Highness.\If they were trying to obtain the crown for themselves,\why would they attack the princesses with response:	the least right to inherit the throne?
context: and were subdued.\In order to corner me into submission,\they attempted to assassinate the thirteenth and fourteenth crown princesses.\Fortunately, with help from good men, they were stopped.\Please wait, your Highness.\If they were trying to obtain the crown for themselves,\why would they attack the princesses with\the least right to inherit the throne? response:	That is because the thirteenth and
context: In order to corner me into submission,\they attempted to assassinate the thirteenth and fourteenth crown princesses.\Fortunately, with help from good men, they were stopped.\Please wait, your Highness.\If they were trying to obtain the crown for themselves,\why would they attack the princesses with\the least right to inherit the throne?\That is because the thirteenth and response:	fourteenth have a secret regarding their birth.
context: they attempted to assassinate the thirteenth and fourteenth crown princesses.\Fortunately, with help from good men, they were stopped.\Please wait, your Highness.\If they were trying to obtain the crown for themselves,\why would they attack the princesses with\the least right to inherit the throne?\That is because the thirteenth and\fourteenth have a secret regarding their birth. response:	A secret regarding our birth?
context: Fortunately, with help from good men, they were stopped.\Please wait, your Highness.\If they were trying to obtain the crown for themselves,\why would they attack the princesses with\the least right to inherit the throne?\That is because the thirteenth and\fourteenth have a secret regarding their birth.\A secret regarding our birth? response:	In actuality, their father is not
context: Please wait, your Highness.\If they were trying to obtain the crown for themselves,\why would they attack the princesses with\the least right to inherit the throne?\That is because the thirteenth and\fourteenth have a secret regarding their birth.\A secret regarding our birth?\In actuality, their father is not response:	Allbad Bladefield.
context: If they were trying to obtain the crown for themselves,\why would they attack the princesses with\the least right to inherit the throne?\That is because the thirteenth and\fourteenth have a secret regarding their birth.\A secret regarding our birth?\In actuality, their father is not\Allbad Bladefield. response:	I am their true father.
context: why would they attack the princesses with\the least right to inherit the throne?\That is because the thirteenth and\fourteenth have a secret regarding their birth.\A secret regarding our birth?\In actuality, their father is not\Allbad Bladefield.\I am their true father. response:	They are my successors.
context: the least right to inherit the throne?\That is because the thirteenth and\fourteenth have a secret regarding their birth.\A secret regarding our birth?\In actuality, their father is not\Allbad Bladefield.\I am their true father.\They are my successors. response:	Sorry to have you all come, and then have this happen...
context: That is because the thirteenth and\fourteenth have a secret regarding their birth.\A secret regarding our birth?\In actuality, their father is not\Allbad Bladefield.\I am their true father.\They are my successors.\Sorry to have you all come, and then have this happen... response:	Y-You don't have to worry about it.
context: fourteenth have a secret regarding their birth.\A secret regarding our birth?\In actuality, their father is not\Allbad Bladefield.\I am their true father.\They are my successors.\Sorry to have you all come, and then have this happen...\Y-You don't have to worry about it. response:	My friend's fathers are just like my own.
context: A secret regarding our birth?\In actuality, their father is not\Allbad Bladefield.\I am their true father.\They are my successors.\Sorry to have you all come, and then have this happen...\Y-You don't have to worry about it.\My friend's fathers are just like my own. response:	So does that make us princesses, too?
context: In actuality, their father is not\Allbad Bladefield.\I am their true father.\They are my successors.\Sorry to have you all come, and then have this happen...\Y-You don't have to worry about it.\My friend's fathers are just like my own.\So does that make us princesses, too? response:	Princesses?!
context: Allbad Bladefield.\I am their true father.\They are my successors.\Sorry to have you all come, and then have this happen...\Y-You don't have to worry about it.\My friend's fathers are just like my own.\So does that make us princesses, too?\Princesses?! response:	I'm Souta's...
context: I am their true father.\They are my successors.\Sorry to have you all come, and then have this happen...\Y-You don't have to worry about it.\My friend's fathers are just like my own.\So does that make us princesses, too?\Princesses?!\I'm Souta's... response:	It sounds like we're talking about something else now.
context: They are my successors.\Sorry to have you all come, and then have this happen...\Y-You don't have to worry about it.\My friend's fathers are just like my own.\So does that make us princesses, too?\Princesses?!\I'm Souta's...\It sounds like we're talking about something else now. response:	Well, I guess it wasn't my father, but my grandfather.
context: Sorry to have you all come, and then have this happen...\Y-You don't have to worry about it.\My friend's fathers are just like my own.\So does that make us princesses, too?\Princesses?!\I'm Souta's...\It sounds like we're talking about something else now.\Well, I guess it wasn't my father, but my grandfather. response:	After a three-day mourning period,
context: Y-You don't have to worry about it.\My friend's fathers are just like my own.\So does that make us princesses, too?\Princesses?!\I'm Souta's...\It sounds like we're talking about something else now.\Well, I guess it wasn't my father, but my grandfather.\After a three-day mourning period, response:	along with the coronation of the new king,
context: My friend's fathers are just like my own.\So does that make us princesses, too?\Princesses?!\I'm Souta's...\It sounds like we're talking about something else now.\Well, I guess it wasn't my father, but my grandfather.\After a three-day mourning period,\along with the coronation of the new king, response:	the town will have a celebration.
context: So does that make us princesses, too?\Princesses?!\I'm Souta's...\It sounds like we're talking about something else now.\Well, I guess it wasn't my father, but my grandfather.\After a three-day mourning period,\along with the coronation of the new king,\the town will have a celebration. response:	At least try to have some fun there, at least.
context: Princesses?!\I'm Souta's...\It sounds like we're talking about something else now.\Well, I guess it wasn't my father, but my grandfather.\After a three-day mourning period,\along with the coronation of the new king,\the town will have a celebration.\At least try to have some fun there, at least. response:	She was really cared for,
context: I'm Souta's...\It sounds like we're talking about something else now.\Well, I guess it wasn't my father, but my grandfather.\After a three-day mourning period,\along with the coronation of the new king,\the town will have a celebration.\At least try to have some fun there, at least.\She was really cared for, response:	so I guess she still hasn't worked out her feelings because of that.
context: It sounds like we're talking about something else now.\Well, I guess it wasn't my father, but my grandfather.\After a three-day mourning period,\along with the coronation of the new king,\the town will have a celebration.\At least try to have some fun there, at least.\She was really cared for,\so I guess she still hasn't worked out her feelings because of that. response:	Are you okay, Nanami?
context: Well, I guess it wasn't my father, but my grandfather.\After a three-day mourning period,\along with the coronation of the new king,\the town will have a celebration.\At least try to have some fun there, at least.\She was really cared for,\so I guess she still hasn't worked out her feelings because of that.\Are you okay, Nanami? response:	You don't seem too chipper yourself.
context: After a three-day mourning period,\along with the coronation of the new king,\the town will have a celebration.\At least try to have some fun there, at least.\She was really cared for,\so I guess she still hasn't worked out her feelings because of that.\Are you okay, Nanami?\You don't seem too chipper yourself. response:	What?
context: along with the coronation of the new king,\the town will have a celebration.\At least try to have some fun there, at least.\She was really cared for,\so I guess she still hasn't worked out her feelings because of that.\Are you okay, Nanami?\You don't seem too chipper yourself.\What? response:	I keep telling you I wasn't that close to
context: the town will have a celebration.\At least try to have some fun there, at least.\She was really cared for,\so I guess she still hasn't worked out her feelings because of that.\Are you okay, Nanami?\You don't seem too chipper yourself.\What?\I keep telling you I wasn't that close to response:	You're upset that you aren't as upset as you thought you'd be.
context: At least try to have some fun there, at least.\She was really cared for,\so I guess she still hasn't worked out her feelings because of that.\Are you okay, Nanami?\You don't seem too chipper yourself.\What?\I keep telling you I wasn't that close to\You're upset that you aren't as upset as you thought you'd be. response:	You don't have to worry about thinking you're so emotionless.
context: She was really cared for,\so I guess she still hasn't worked out her feelings because of that.\Are you okay, Nanami?\You don't seem too chipper yourself.\What?\I keep telling you I wasn't that close to\You're upset that you aren't as upset as you thought you'd be.\You don't have to worry about thinking you're so emotionless. response:	The fact you're worried about that right now is proof that you aren't.
context: so I guess she still hasn't worked out her feelings because of that.\Are you okay, Nanami?\You don't seem too chipper yourself.\What?\I keep telling you I wasn't that close to\You're upset that you aren't as upset as you thought you'd be.\You don't have to worry about thinking you're so emotionless.\The fact you're worried about that right now is proof that you aren't. response:	You sure understand what people are thinking.
context: Are you okay, Nanami?\You don't seem too chipper yourself.\What?\I keep telling you I wasn't that close to\You're upset that you aren't as upset as you thought you'd be.\You don't have to worry about thinking you're so emotionless.\The fact you're worried about that right now is proof that you aren't.\You sure understand what people are thinking. response:	Some people are good at analyzing others, especially you.
context: You don't seem too chipper yourself.\What?\I keep telling you I wasn't that close to\You're upset that you aren't as upset as you thought you'd be.\You don't have to worry about thinking you're so emotionless.\The fact you're worried about that right now is proof that you aren't.\You sure understand what people are thinking.\Some people are good at analyzing others, especially you. response:	Except I still can't see anything with you, though.
context: What?\I keep telling you I wasn't that close to\You're upset that you aren't as upset as you thought you'd be.\You don't have to worry about thinking you're so emotionless.\The fact you're worried about that right now is proof that you aren't.\You sure understand what people are thinking.\Some people are good at analyzing others, especially you.\Except I still can't see anything with you, though. response:	Long live the Bladefield kingdom!
context: I keep telling you I wasn't that close to\You're upset that you aren't as upset as you thought you'd be.\You don't have to worry about thinking you're so emotionless.\The fact you're worried about that right now is proof that you aren't.\You sure understand what people are thinking.\Some people are good at analyzing others, especially you.\Except I still can't see anything with you, though.\Long live the Bladefield kingdom! response:	Cheers to his highness, Elia!
context: You're upset that you aren't as upset as you thought you'd be.\You don't have to worry about thinking you're so emotionless.\The fact you're worried about that right now is proof that you aren't.\You sure understand what people are thinking.\Some people are good at analyzing others, especially you.\Except I still can't see anything with you, though.\Long live the Bladefield kingdom!\Cheers to his highness, Elia! response:	This is wonderful.
context: You don't have to worry about thinking you're so emotionless.\The fact you're worried about that right now is proof that you aren't.\You sure understand what people are thinking.\Some people are good at analyzing others, especially you.\Except I still can't see anything with you, though.\Long live the Bladefield kingdom!\Cheers to his highness, Elia!\This is wonderful. response:	It's almost like I'm in a fantasy book!
context: The fact you're worried about that right now is proof that you aren't.\You sure understand what people are thinking.\Some people are good at analyzing others, especially you.\Except I still can't see anything with you, though.\Long live the Bladefield kingdom!\Cheers to his highness, Elia!\This is wonderful.\It's almost like I'm in a fantasy book! response:	It's like we're in a land of dreams!
context: You sure understand what people are thinking.\Some people are good at analyzing others, especially you.\Except I still can't see anything with you, though.\Long live the Bladefield kingdom!\Cheers to his highness, Elia!\This is wonderful.\It's almost like I'm in a fantasy book!\It's like we're in a land of dreams! response:	This is good, Onee-sama, it is.
context: Some people are good at analyzing others, especially you.\Except I still can't see anything with you, though.\Long live the Bladefield kingdom!\Cheers to his highness, Elia!\This is wonderful.\It's almost like I'm in a fantasy book!\It's like we're in a land of dreams!\This is good, Onee-sama, it is. response:	Pay before you start eating!
context: Except I still can't see anything with you, though.\Long live the Bladefield kingdom!\Cheers to his highness, Elia!\This is wonderful.\It's almost like I'm in a fantasy book!\It's like we're in a land of dreams!\This is good, Onee-sama, it is.\Pay before you start eating! response:	I'm glad Hakua seems happier now.
context: Long live the Bladefield kingdom!\Cheers to his highness, Elia!\This is wonderful.\It's almost like I'm in a fantasy book!\It's like we're in a land of dreams!\This is good, Onee-sama, it is.\Pay before you start eating!\I'm glad Hakua seems happier now. response:	Yeah, you're right.
context: Cheers to his highness, Elia!\This is wonderful.\It's almost like I'm in a fantasy book!\It's like we're in a land of dreams!\This is good, Onee-sama, it is.\Pay before you start eating!\I'm glad Hakua seems happier now.\Yeah, you're right. response:	We finally found you.
context: This is wonderful.\It's almost like I'm in a fantasy book!\It's like we're in a land of dreams!\This is good, Onee-sama, it is.\Pay before you start eating!\I'm glad Hakua seems happier now.\Yeah, you're right.\We finally found you. response:	You can't just stand around here.
context: It's almost like I'm in a fantasy book!\It's like we're in a land of dreams!\This is good, Onee-sama, it is.\Pay before you start eating!\I'm glad Hakua seems happier now.\Yeah, you're right.\We finally found you.\You can't just stand around here. response:	Hurry up. You're almost on.
context: It's like we're in a land of dreams!\This is good, Onee-sama, it is.\Pay before you start eating!\I'm glad Hakua seems happier now.\Yeah, you're right.\We finally found you.\You can't just stand around here.\Hurry up. You're almost on. response:	Whoa, wait!
context: This is good, Onee-sama, it is.\Pay before you start eating!\I'm glad Hakua seems happier now.\Yeah, you're right.\We finally found you.\You can't just stand around here.\Hurry up. You're almost on.\Whoa, wait! response:	What's going on?
context: Pay before you start eating!\I'm glad Hakua seems happier now.\Yeah, you're right.\We finally found you.\You can't just stand around here.\Hurry up. You're almost on.\Whoa, wait!\What's going on? response:	It seems that they've mistaken you for
context: I'm glad Hakua seems happier now.\Yeah, you're right.\We finally found you.\You can't just stand around here.\Hurry up. You're almost on.\Whoa, wait!\What's going on?\It seems that they've mistaken you for response:	the people who were supposed to be in an event.
context: Yeah, you're right.\We finally found you.\You can't just stand around here.\Hurry up. You're almost on.\Whoa, wait!\What's going on?\It seems that they've mistaken you for\the people who were supposed to be in an event. response:	I would expect nothing less, Souta-san.
context: We finally found you.\You can't just stand around here.\Hurry up. You're almost on.\Whoa, wait!\What's going on?\It seems that they've mistaken you for\the people who were supposed to be in an event.\I would expect nothing less, Souta-san. response:	S-Souta-kun.
context: You can't just stand around here.\Hurry up. You're almost on.\Whoa, wait!\What's going on?\It seems that they've mistaken you for\the people who were supposed to be in an event.\I would expect nothing less, Souta-san.\S-Souta-kun. response:	Huh?
context: Hurry up. You're almost on.\Whoa, wait!\What's going on?\It seems that they've mistaken you for\the people who were supposed to be in an event.\I would expect nothing less, Souta-san.\S-Souta-kun.\Huh? response:	The bride in the parade was beautiful.
context: Whoa, wait!\What's going on?\It seems that they've mistaken you for\the people who were supposed to be in an event.\I would expect nothing less, Souta-san.\S-Souta-kun.\Huh?\The bride in the parade was beautiful. response:	It's my first time seeing someone so cute.
context: What's going on?\It seems that they've mistaken you for\the people who were supposed to be in an event.\I would expect nothing less, Souta-san.\S-Souta-kun.\Huh?\The bride in the parade was beautiful.\It's my first time seeing someone so cute. response:	They said there's a bride.
context: It seems that they've mistaken you for\the people who were supposed to be in an event.\I would expect nothing less, Souta-san.\S-Souta-kun.\Huh?\The bride in the parade was beautiful.\It's my first time seeing someone so cute.\They said there's a bride. response:	How romantic.
context: the people who were supposed to be in an event.\I would expect nothing less, Souta-san.\S-Souta-kun.\Huh?\The bride in the parade was beautiful.\It's my first time seeing someone so cute.\They said there's a bride.\How romantic. response:	How about we go take a look?
context: I would expect nothing less, Souta-san.\S-Souta-kun.\Huh?\The bride in the parade was beautiful.\It's my first time seeing someone so cute.\They said there's a bride.\How romantic.\How about we go take a look? response:	Conquest Complete
context: S-Souta-kun.\Huh?\The bride in the parade was beautiful.\It's my first time seeing someone so cute.\They said there's a bride.\How romantic.\How about we go take a look?\Conquest Complete response:	Y-Yeah.
context: Huh?\The bride in the parade was beautiful.\It's my first time seeing someone so cute.\They said there's a bride.\How romantic.\How about we go take a look?\Conquest Complete\Y-Yeah. response:	I might want to get married myself.
context: The bride in the parade was beautiful.\It's my first time seeing someone so cute.\They said there's a bride.\How romantic.\How about we go take a look?\Conquest Complete\Y-Yeah.\I might want to get married myself. response:	M-M-Megu-chan?!
context: It's my first time seeing someone so cute.\They said there's a bride.\How romantic.\How about we go take a look?\Conquest Complete\Y-Yeah.\I might want to get married myself.\M-M-Megu-chan?! response:	No!
context: They said there's a bride.\How romantic.\How about we go take a look?\Conquest Complete\Y-Yeah.\I might want to get married myself.\M-M-Megu-chan?!\No! response:	Everyone saw me...
context: How romantic.\How about we go take a look?\Conquest Complete\Y-Yeah.\I might want to get married myself.\M-M-Megu-chan?!\No!\Everyone saw me... response:	I can't be a beautiful bride now.
context: How about we go take a look?\Conquest Complete\Y-Yeah.\I might want to get married myself.\M-M-Megu-chan?!\No!\Everyone saw me...\I can't be a beautiful bride now. response:	You wanted to be a bride?
context: Conquest Complete\Y-Yeah.\I might want to get married myself.\M-M-Megu-chan?!\No!\Everyone saw me...\I can't be a beautiful bride now.\You wanted to be a bride? response:	It's okay. We can just get Souta-kun to marry you.
context: Y-Yeah.\I might want to get married myself.\M-M-Megu-chan?!\No!\Everyone saw me...\I can't be a beautiful bride now.\You wanted to be a bride?\It's okay. We can just get Souta-kun to marry you. response:	I can't be a bride. I need to be a groom.
context: I might want to get married myself.\M-M-Megu-chan?!\No!\Everyone saw me...\I can't be a beautiful bride now.\You wanted to be a bride?\It's okay. We can just get Souta-kun to marry you.\I can't be a bride. I need to be a groom. response:	It's my first time being in a place like this.
context: M-M-Megu-chan?!\No!\Everyone saw me...\I can't be a beautiful bride now.\You wanted to be a bride?\It's okay. We can just get Souta-kun to marry you.\I can't be a bride. I need to be a groom.\It's my first time being in a place like this. response:	Festivals are such fun, they are!
context: No!\Everyone saw me...\I can't be a beautiful bride now.\You wanted to be a bride?\It's okay. We can just get Souta-kun to marry you.\I can't be a bride. I need to be a groom.\It's my first time being in a place like this.\Festivals are such fun, they are! response:	Hey.
context: Everyone saw me...\I can't be a beautiful bride now.\You wanted to be a bride?\It's okay. We can just get Souta-kun to marry you.\I can't be a bride. I need to be a groom.\It's my first time being in a place like this.\Festivals are such fun, they are!\Hey. response:	You sure you're not pushing yourself?
context: I can't be a beautiful bride now.\You wanted to be a bride?\It's okay. We can just get Souta-kun to marry you.\I can't be a bride. I need to be a groom.\It's my first time being in a place like this.\Festivals are such fun, they are!\Hey.\You sure you're not pushing yourself? response:	Huh?
context: You wanted to be a bride?\It's okay. We can just get Souta-kun to marry you.\I can't be a bride. I need to be a groom.\It's my first time being in a place like this.\Festivals are such fun, they are!\Hey.\You sure you're not pushing yourself?\Huh? response:	You were able to tell, you were.
context: It's okay. We can just get Souta-kun to marry you.\I can't be a bride. I need to be a groom.\It's my first time being in a place like this.\Festivals are such fun, they are!\Hey.\You sure you're not pushing yourself?\Huh?\You were able to tell, you were. response:	I just kinda got the feeling.
context: I can't be a bride. I need to be a groom.\It's my first time being in a place like this.\Festivals are such fun, they are!\Hey.\You sure you're not pushing yourself?\Huh?\You were able to tell, you were.\I just kinda got the feeling. response:	Souta-san, u-um...
context: It's my first time being in a place like this.\Festivals are such fun, they are!\Hey.\You sure you're not pushing yourself?\Huh?\You were able to tell, you were.\I just kinda got the feeling.\Souta-san, u-um... response:	Could we talk for a little bit, could we?
context: Festivals are such fun, they are!\Hey.\You sure you're not pushing yourself?\Huh?\You were able to tell, you were.\I just kinda got the feeling.\Souta-san, u-um...\Could we talk for a little bit, could we? response:	Huh?
context: Hey.\You sure you're not pushing yourself?\Huh?\You were able to tell, you were.\I just kinda got the feeling.\Souta-san, u-um...\Could we talk for a little bit, could we?\Huh? response:	You seem to be accustomed to trouble,
context: You sure you're not pushing yourself?\Huh?\You were able to tell, you were.\I just kinda got the feeling.\Souta-san, u-um...\Could we talk for a little bit, could we?\Huh?\You seem to be accustomed to trouble, response:	so I figured you'd be good for some advice, you would.
context: Huh?\You were able to tell, you were.\I just kinda got the feeling.\Souta-san, u-um...\Could we talk for a little bit, could we?\Huh?\You seem to be accustomed to trouble,\so I figured you'd be good for some advice, you would. response:	Do I really seem that gloomy?
context: You were able to tell, you were.\I just kinda got the feeling.\Souta-san, u-um...\Could we talk for a little bit, could we?\Huh?\You seem to be accustomed to trouble,\so I figured you'd be good for some advice, you would.\Do I really seem that gloomy? response:	No, not just that.
context: I just kinda got the feeling.\Souta-san, u-um...\Could we talk for a little bit, could we?\Huh?\You seem to be accustomed to trouble,\so I figured you'd be good for some advice, you would.\Do I really seem that gloomy?\No, not just that. response:	This flag...
context: Souta-san, u-um...\Could we talk for a little bit, could we?\Huh?\You seem to be accustomed to trouble,\so I figured you'd be good for some advice, you would.\Do I really seem that gloomy?\No, not just that.\This flag... response:	I think Nanami would be better to talk to...
context: Could we talk for a little bit, could we?\Huh?\You seem to be accustomed to trouble,\so I figured you'd be good for some advice, you would.\Do I really seem that gloomy?\No, not just that.\This flag...\I think Nanami would be better to talk to... response:	No, it has to be you, it does!
context: Huh?\You seem to be accustomed to trouble,\so I figured you'd be good for some advice, you would.\Do I really seem that gloomy?\No, not just that.\This flag...\I think Nanami would be better to talk to...\No, it has to be you, it does! response:	I knew it...
context: You seem to be accustomed to trouble,\so I figured you'd be good for some advice, you would.\Do I really seem that gloomy?\No, not just that.\This flag...\I think Nanami would be better to talk to...\No, it has to be you, it does!\I knew it... response:	It's the annoying girl flag...
context: so I figured you'd be good for some advice, you would.\Do I really seem that gloomy?\No, not just that.\This flag...\I think Nanami would be better to talk to...\No, it has to be you, it does!\I knew it...\It's the annoying girl flag... response:	When we first met, you saved me...
context: Do I really seem that gloomy?\No, not just that.\This flag...\I think Nanami would be better to talk to...\No, it has to be you, it does!\I knew it...\It's the annoying girl flag...\When we first met, you saved me... response:	I'm sure you'll be able to help me with everything, you will!
context: No, not just that.\This flag...\I think Nanami would be better to talk to...\No, it has to be you, it does!\I knew it...\It's the annoying girl flag...\When we first met, you saved me...\I'm sure you'll be able to help me with everything, you will! response:	She trusts me too much...
context: This flag...\I think Nanami would be better to talk to...\No, it has to be you, it does!\I knew it...\It's the annoying girl flag...\When we first met, you saved me...\I'm sure you'll be able to help me with everything, you will!\She trusts me too much... response:	I figured I could trust you with anything, I did.
context: I think Nanami would be better to talk to...\No, it has to be you, it does!\I knew it...\It's the annoying girl flag...\When we first met, you saved me...\I'm sure you'll be able to help me with everything, you will!\She trusts me too much...\I figured I could trust you with anything, I did. response:	She's jumping to extremes.
context: No, it has to be you, it does!\I knew it...\It's the annoying girl flag...\When we first met, you saved me...\I'm sure you'll be able to help me with everything, you will!\She trusts me too much...\I figured I could trust you with anything, I did.\She's jumping to extremes. response:	We're friends, right?
context: I knew it...\It's the annoying girl flag...\When we first met, you saved me...\I'm sure you'll be able to help me with everything, you will!\She trusts me too much...\I figured I could trust you with anything, I did.\She's jumping to extremes.\We're friends, right? response:	Friends that can talk about anything, right, right?
context: It's the annoying girl flag...\When we first met, you saved me...\I'm sure you'll be able to help me with everything, you will!\She trusts me too much...\I figured I could trust you with anything, I did.\She's jumping to extremes.\We're friends, right?\Friends that can talk about anything, right, right? response:	It sounds like she can't live without me...
context: When we first met, you saved me...\I'm sure you'll be able to help me with everything, you will!\She trusts me too much...\I figured I could trust you with anything, I did.\She's jumping to extremes.\We're friends, right?\Friends that can talk about anything, right, right?\It sounds like she can't live without me... response:	So what did you want to talk about?
context: I'm sure you'll be able to help me with everything, you will!\She trusts me too much...\I figured I could trust you with anything, I did.\She's jumping to extremes.\We're friends, right?\Friends that can talk about anything, right, right?\It sounds like she can't live without me...\So what did you want to talk about? response:	My father...
context: She trusts me too much...\I figured I could trust you with anything, I did.\She's jumping to extremes.\We're friends, right?\Friends that can talk about anything, right, right?\It sounds like she can't live without me...\So what did you want to talk about?\My father... response:	I mean, my grandfather passed away, correct?
context: I figured I could trust you with anything, I did.\She's jumping to extremes.\We're friends, right?\Friends that can talk about anything, right, right?\It sounds like she can't live without me...\So what did you want to talk about?\My father...\I mean, my grandfather passed away, correct? response:	He treated me with a lot of affection.
context: She's jumping to extremes.\We're friends, right?\Friends that can talk about anything, right, right?\It sounds like she can't live without me...\So what did you want to talk about?\My father...\I mean, my grandfather passed away, correct?\He treated me with a lot of affection. response:	I imagine everyone is carrying some pain due to his death,
context: We're friends, right?\Friends that can talk about anything, right, right?\It sounds like she can't live without me...\So what did you want to talk about?\My father...\I mean, my grandfather passed away, correct?\He treated me with a lot of affection.\I imagine everyone is carrying some pain due to his death, response:	but when I see everyone acting as if they've forgotten him...
context: Friends that can talk about anything, right, right?\It sounds like she can't live without me...\So what did you want to talk about?\My father...\I mean, my grandfather passed away, correct?\He treated me with a lot of affection.\I imagine everyone is carrying some pain due to his death,\but when I see everyone acting as if they've forgotten him... response:	This might seem a little heartless,
context: It sounds like she can't live without me...\So what did you want to talk about?\My father...\I mean, my grandfather passed away, correct?\He treated me with a lot of affection.\I imagine everyone is carrying some pain due to his death,\but when I see everyone acting as if they've forgotten him...\This might seem a little heartless, response:	but I believe it's best for people to go about
context: So what did you want to talk about?\My father...\I mean, my grandfather passed away, correct?\He treated me with a lot of affection.\I imagine everyone is carrying some pain due to his death,\but when I see everyone acting as if they've forgotten him...\This might seem a little heartless,\but I believe it's best for people to go about response:	their daily lives and not stop because of the dead.
context: My father...\I mean, my grandfather passed away, correct?\He treated me with a lot of affection.\I imagine everyone is carrying some pain due to his death,\but when I see everyone acting as if they've forgotten him...\This might seem a little heartless,\but I believe it's best for people to go about\their daily lives and not stop because of the dead. response:	I'm sure your grandfather would rather see you smile,
context: I mean, my grandfather passed away, correct?\He treated me with a lot of affection.\I imagine everyone is carrying some pain due to his death,\but when I see everyone acting as if they've forgotten him...\This might seem a little heartless,\but I believe it's best for people to go about\their daily lives and not stop because of the dead.\I'm sure your grandfather would rather see you smile, response:	than be sad and depressed.
context: He treated me with a lot of affection.\I imagine everyone is carrying some pain due to his death,\but when I see everyone acting as if they've forgotten him...\This might seem a little heartless,\but I believe it's best for people to go about\their daily lives and not stop because of the dead.\I'm sure your grandfather would rather see you smile,\than be sad and depressed. response:	Souta-san...
context: I imagine everyone is carrying some pain due to his death,\but when I see everyone acting as if they've forgotten him...\This might seem a little heartless,\but I believe it's best for people to go about\their daily lives and not stop because of the dead.\I'm sure your grandfather would rather see you smile,\than be sad and depressed.\Souta-san... response:	Yes!
