context: Ladies and gentlemen, good evening. response:	The life of the young boy that was sacrificed to my friend...
context: That's assuming that they'll even give you one.\Good point.\You punk!\You fraudulent piece of crap!\Stop that! Get off my bike! Get your hands off it!\Hey!\You're fighting ME, remember?!\Don't think that you can still boss us around! Got it?! response:	This state is most unbecoming a beautiful lady such as yourself.
context: Good point.\You punk!\You fraudulent piece of crap!\Stop that! Get off my bike! Get your hands off it!\Hey!\You're fighting ME, remember?!\Don't think that you can still boss us around! Got it?!\This state is most unbecoming a beautiful lady such as yourself. response:	It doesn't matter. I'm always alone.
context: You punk!\You fraudulent piece of crap!\Stop that! Get off my bike! Get your hands off it!\Hey!\You're fighting ME, remember?!\Don't think that you can still boss us around! Got it?!\This state is most unbecoming a beautiful lady such as yourself.\It doesn't matter. I'm always alone. response:	Don't say such things.
context: You fraudulent piece of crap!\Stop that! Get off my bike! Get your hands off it!\Hey!\You're fighting ME, remember?!\Don't think that you can still boss us around! Got it?!\This state is most unbecoming a beautiful lady such as yourself.\It doesn't matter. I'm always alone.\Don't say such things. response:	Seeing you sad simply tears my heart in two.
context: Stop that! Get off my bike! Get your hands off it!\Hey!\You're fighting ME, remember?!\Don't think that you can still boss us around! Got it?!\This state is most unbecoming a beautiful lady such as yourself.\It doesn't matter. I'm always alone.\Don't say such things.\Seeing you sad simply tears my heart in two. response:	Men always say things like that to try to make me feel better.
context: Hey!\You're fighting ME, remember?!\Don't think that you can still boss us around! Got it?!\This state is most unbecoming a beautiful lady such as yourself.\It doesn't matter. I'm always alone.\Don't say such things.\Seeing you sad simply tears my heart in two.\Men always say things like that to try to make me feel better. response:	I will always be by your side. Mother.
context: You're fighting ME, remember?!\Don't think that you can still boss us around! Got it?!\This state is most unbecoming a beautiful lady such as yourself.\It doesn't matter. I'm always alone.\Don't say such things.\Seeing you sad simply tears my heart in two.\Men always say things like that to try to make me feel better.\I will always be by your side. Mother. response:	Andrea...
context: Don't think that you can still boss us around! Got it?!\This state is most unbecoming a beautiful lady such as yourself.\It doesn't matter. I'm always alone.\Don't say such things.\Seeing you sad simply tears my heart in two.\Men always say things like that to try to make me feel better.\I will always be by your side. Mother.\Andrea... response:	Please, just for today... Just for now... Call me Victoria.
context: This state is most unbecoming a beautiful lady such as yourself.\It doesn't matter. I'm always alone.\Don't say such things.\Seeing you sad simply tears my heart in two.\Men always say things like that to try to make me feel better.\I will always be by your side. Mother.\Andrea...\Please, just for today... Just for now... Call me Victoria. response:	Victoria, then.
context: It doesn't matter. I'm always alone.\Don't say such things.\Seeing you sad simply tears my heart in two.\Men always say things like that to try to make me feel better.\I will always be by your side. Mother.\Andrea...\Please, just for today... Just for now... Call me Victoria.\Victoria, then. response:	Punk!
context: Don't say such things.\Seeing you sad simply tears my heart in two.\Men always say things like that to try to make me feel better.\I will always be by your side. Mother.\Andrea...\Please, just for today... Just for now... Call me Victoria.\Victoria, then.\Punk! response:	Are you okay, Albert?
context: Seeing you sad simply tears my heart in two.\Men always say things like that to try to make me feel better.\I will always be by your side. Mother.\Andrea...\Please, just for today... Just for now... Call me Victoria.\Victoria, then.\Punk!\Are you okay, Albert? response:	Franz? Franz, is that you?!
context: Men always say things like that to try to make me feel better.\I will always be by your side. Mother.\Andrea...\Please, just for today... Just for now... Call me Victoria.\Victoria, then.\Punk!\Are you okay, Albert?\Franz? Franz, is that you?! response:	What's gotten into you? Are you okay?
context: I will always be by your side. Mother.\Andrea...\Please, just for today... Just for now... Call me Victoria.\Victoria, then.\Punk!\Are you okay, Albert?\Franz? Franz, is that you?!\What's gotten into you? Are you okay? response:	Franz!
context: Andrea...\Please, just for today... Just for now... Call me Victoria.\Victoria, then.\Punk!\Are you okay, Albert?\Franz? Franz, is that you?!\What's gotten into you? Are you okay?\Franz! response:	Hey, cut it out!
context: Please, just for today... Just for now... Call me Victoria.\Victoria, then.\Punk!\Are you okay, Albert?\Franz? Franz, is that you?!\What's gotten into you? Are you okay?\Franz!\Hey, cut it out! response:	Thank goodness!
context: Victoria, then.\Punk!\Are you okay, Albert?\Franz? Franz, is that you?!\What's gotten into you? Are you okay?\Franz!\Hey, cut it out!\Thank goodness! response:	I'm so glad you're all right...
context: Punk!\Are you okay, Albert?\Franz? Franz, is that you?!\What's gotten into you? Are you okay?\Franz!\Hey, cut it out!\Thank goodness!\I'm so glad you're all right... response:	Is this any time for you to be worrying about someone else?
context: Are you okay, Albert?\Franz? Franz, is that you?!\What's gotten into you? Are you okay?\Franz!\Hey, cut it out!\Thank goodness!\I'm so glad you're all right...\Is this any time for you to be worrying about someone else? response:	C'mon, let's go home.
context: Franz? Franz, is that you?!\What's gotten into you? Are you okay?\Franz!\Hey, cut it out!\Thank goodness!\I'm so glad you're all right...\Is this any time for you to be worrying about someone else?\C'mon, let's go home. response:	Albert! Happy birthday!
context: What's gotten into you? Are you okay?\Franz!\Hey, cut it out!\Thank goodness!\I'm so glad you're all right...\Is this any time for you to be worrying about someone else?\C'mon, let's go home.\Albert! Happy birthday! response:	Albert! Happy birthday!
context: Franz!\Hey, cut it out!\Thank goodness!\I'm so glad you're all right...\Is this any time for you to be worrying about someone else?\C'mon, let's go home.\Albert! Happy birthday!\Albert! Happy birthday! response:	Congratulations, Monsieur Albert.
context: Hey, cut it out!\Thank goodness!\I'm so glad you're all right...\Is this any time for you to be worrying about someone else?\C'mon, let's go home.\Albert! Happy birthday!\Albert! Happy birthday!\Congratulations, Monsieur Albert. response:	Congratulations. What kept you?
context: Thank goodness!\I'm so glad you're all right...\Is this any time for you to be worrying about someone else?\C'mon, let's go home.\Albert! Happy birthday!\Albert! Happy birthday!\Congratulations, Monsieur Albert.\Congratulations. What kept you? response:	What have you been up to? She's been waiting for you for ages!
context: I'm so glad you're all right...\Is this any time for you to be worrying about someone else?\C'mon, let's go home.\Albert! Happy birthday!\Albert! Happy birthday!\Congratulations, Monsieur Albert.\Congratulations. What kept you?\What have you been up to? She's been waiting for you for ages! response:	Who do you mean?
context: Is this any time for you to be worrying about someone else?\C'mon, let's go home.\Albert! Happy birthday!\Albert! Happy birthday!\Congratulations, Monsieur Albert.\Congratulations. What kept you?\What have you been up to? She's been waiting for you for ages!\Who do you mean? response:	Eugenie!
context: C'mon, let's go home.\Albert! Happy birthday!\Albert! Happy birthday!\Congratulations, Monsieur Albert.\Congratulations. What kept you?\What have you been up to? She's been waiting for you for ages!\Who do you mean?\Eugenie! response:	Albert, congratulations on turning sixteen.
context: Albert! Happy birthday!\Albert! Happy birthday!\Congratulations, Monsieur Albert.\Congratulations. What kept you?\What have you been up to? She's been waiting for you for ages!\Who do you mean?\Eugenie!\Albert, congratulations on turning sixteen. response:	They're going at it in broad daylight!
context: Albert! Happy birthday!\Congratulations, Monsieur Albert.\Congratulations. What kept you?\What have you been up to? She's been waiting for you for ages!\Who do you mean?\Eugenie!\Albert, congratulations on turning sixteen.\They're going at it in broad daylight! response:	Save that stuff for when you're in private, will ya?!
context: Congratulations, Monsieur Albert.\Congratulations. What kept you?\What have you been up to? She's been waiting for you for ages!\Who do you mean?\Eugenie!\Albert, congratulations on turning sixteen.\They're going at it in broad daylight!\Save that stuff for when you're in private, will ya?! response:	Ladies and gentlemen, allow me to introduce the man...
context: Congratulations. What kept you?\What have you been up to? She's been waiting for you for ages!\Who do you mean?\Eugenie!\Albert, congratulations on turning sixteen.\They're going at it in broad daylight!\Save that stuff for when you're in private, will ya?!\Ladies and gentlemen, allow me to introduce the man... response:	The man who saved Albert's life on Luna, the Count of Monte Cristo!
context: What have you been up to? She's been waiting for you for ages!\Who do you mean?\Eugenie!\Albert, congratulations on turning sixteen.\They're going at it in broad daylight!\Save that stuff for when you're in private, will ya?!\Ladies and gentlemen, allow me to introduce the man...\The man who saved Albert's life on Luna, the Count of Monte Cristo! response:	Franz, we can't! We can't invite this man to Paris!
context: Who do you mean?\Eugenie!\Albert, congratulations on turning sixteen.\They're going at it in broad daylight!\Save that stuff for when you're in private, will ya?!\Ladies and gentlemen, allow me to introduce the man...\The man who saved Albert's life on Luna, the Count of Monte Cristo!\Franz, we can't! We can't invite this man to Paris! response:	Why not? We both insisted that he come visit, remember?
context: Eugenie!\Albert, congratulations on turning sixteen.\They're going at it in broad daylight!\Save that stuff for when you're in private, will ya?!\Ladies and gentlemen, allow me to introduce the man...\The man who saved Albert's life on Luna, the Count of Monte Cristo!\Franz, we can't! We can't invite this man to Paris!\Why not? We both insisted that he come visit, remember? response:	Look. Everybody says that they're dying to meet the Count.
context: Albert, congratulations on turning sixteen.\They're going at it in broad daylight!\Save that stuff for when you're in private, will ya?!\Ladies and gentlemen, allow me to introduce the man...\The man who saved Albert's life on Luna, the Count of Monte Cristo!\Franz, we can't! We can't invite this man to Paris!\Why not? We both insisted that he come visit, remember?\Look. Everybody says that they're dying to meet the Count. response:	You can't! He's a demon who's come back to Paris to get revenge on us all!
context: They're going at it in broad daylight!\Save that stuff for when you're in private, will ya?!\Ladies and gentlemen, allow me to introduce the man...\The man who saved Albert's life on Luna, the Count of Monte Cristo!\Franz, we can't! We can't invite this man to Paris!\Why not? We both insisted that he come visit, remember?\Look. Everybody says that they're dying to meet the Count.\You can't! He's a demon who's come back to Paris to get revenge on us all! response:	Darling, why don't you introduce yourself first?
context: Save that stuff for when you're in private, will ya?!\Ladies and gentlemen, allow me to introduce the man...\The man who saved Albert's life on Luna, the Count of Monte Cristo!\Franz, we can't! We can't invite this man to Paris!\Why not? We both insisted that he come visit, remember?\Look. Everybody says that they're dying to meet the Count.\You can't! He's a demon who's come back to Paris to get revenge on us all!\Darling, why don't you introduce yourself first? response:	Father! Mother! Run!
context: Ladies and gentlemen, allow me to introduce the man...\The man who saved Albert's life on Luna, the Count of Monte Cristo!\Franz, we can't! We can't invite this man to Paris!\Why not? We both insisted that he come visit, remember?\Look. Everybody says that they're dying to meet the Count.\You can't! He's a demon who's come back to Paris to get revenge on us all!\Darling, why don't you introduce yourself first?\Father! Mother! Run! response:	Eugenie and Franz! You, too! Hurry!
context: The man who saved Albert's life on Luna, the Count of Monte Cristo!\Franz, we can't! We can't invite this man to Paris!\Why not? We both insisted that he come visit, remember?\Look. Everybody says that they're dying to meet the Count.\You can't! He's a demon who's come back to Paris to get revenge on us all!\Darling, why don't you introduce yourself first?\Father! Mother! Run!\Eugenie and Franz! You, too! Hurry! response:	I'm feeling a little shy.
context: Franz, we can't! We can't invite this man to Paris!\Why not? We both insisted that he come visit, remember?\Look. Everybody says that they're dying to meet the Count.\You can't! He's a demon who's come back to Paris to get revenge on us all!\Darling, why don't you introduce yourself first?\Father! Mother! Run!\Eugenie and Franz! You, too! Hurry!\I'm feeling a little shy. response:	Hurry! Get as far away from him as you can!
context: Why not? We both insisted that he come visit, remember?\Look. Everybody says that they're dying to meet the Count.\You can't! He's a demon who's come back to Paris to get revenge on us all!\Darling, why don't you introduce yourself first?\Father! Mother! Run!\Eugenie and Franz! You, too! Hurry!\I'm feeling a little shy.\Hurry! Get as far away from him as you can! response:	Count!
context: Look. Everybody says that they're dying to meet the Count.\You can't! He's a demon who's come back to Paris to get revenge on us all!\Darling, why don't you introduce yourself first?\Father! Mother! Run!\Eugenie and Franz! You, too! Hurry!\I'm feeling a little shy.\Hurry! Get as far away from him as you can!\Count! response:	Thank you for your kind invitation.
context: You can't! He's a demon who's come back to Paris to get revenge on us all!\Darling, why don't you introduce yourself first?\Father! Mother! Run!\Eugenie and Franz! You, too! Hurry!\I'm feeling a little shy.\Hurry! Get as far away from him as you can!\Count!\Thank you for your kind invitation. response:	Don't do it!
context: Darling, why don't you introduce yourself first?\Father! Mother! Run!\Eugenie and Franz! You, too! Hurry!\I'm feeling a little shy.\Hurry! Get as far away from him as you can!\Count!\Thank you for your kind invitation.\Don't do it! response:	Don't do it, Franz! He's the man who killed you!
context: Father! Mother! Run!\Eugenie and Franz! You, too! Hurry!\I'm feeling a little shy.\Hurry! Get as far away from him as you can!\Count!\Thank you for your kind invitation.\Don't do it!\Don't do it, Franz! He's the man who killed you! response:	My, how fascinating.
context: Eugenie and Franz! You, too! Hurry!\I'm feeling a little shy.\Hurry! Get as far away from him as you can!\Count!\Thank you for your kind invitation.\Don't do it!\Don't do it, Franz! He's the man who killed you!\My, how fascinating. response:	Please, I'm begging you...
context: I'm feeling a little shy.\Hurry! Get as far away from him as you can!\Count!\Thank you for your kind invitation.\Don't do it!\Don't do it, Franz! He's the man who killed you!\My, how fascinating.\Please, I'm begging you... response:	This is for Franz!
context: Hurry! Get as far away from him as you can!\Count!\Thank you for your kind invitation.\Don't do it!\Don't do it, Franz! He's the man who killed you!\My, how fascinating.\Please, I'm begging you...\This is for Franz! response:	Um, Albert?
context: Count!\Thank you for your kind invitation.\Don't do it!\Don't do it, Franz! He's the man who killed you!\My, how fascinating.\Please, I'm begging you...\This is for Franz!\Um, Albert? response:	You were the one who killed me.
context: Thank you for your kind invitation.\Don't do it!\Don't do it, Franz! He's the man who killed you!\My, how fascinating.\Please, I'm begging you...\This is for Franz!\Um, Albert?\You were the one who killed me. response:	Albert, when you think about it, it was you who killed me, right?
context: Don't do it!\Don't do it, Franz! He's the man who killed you!\My, how fascinating.\Please, I'm begging you...\This is for Franz!\Um, Albert?\You were the one who killed me.\Albert, when you think about it, it was you who killed me, right? response:	It was you.
context: Don't do it, Franz! He's the man who killed you!\My, how fascinating.\Please, I'm begging you...\This is for Franz!\Um, Albert?\You were the one who killed me.\Albert, when you think about it, it was you who killed me, right?\It was you. response:	No!
context: My, how fascinating.\Please, I'm begging you...\This is for Franz!\Um, Albert?\You were the one who killed me.\Albert, when you think about it, it was you who killed me, right?\It was you.\No! response:	I wanted to save you!
context: Please, I'm begging you...\This is for Franz!\Um, Albert?\You were the one who killed me.\Albert, when you think about it, it was you who killed me, right?\It was you.\No!\I wanted to save you! response:	You only think of yourself, and you know it.
context: This is for Franz!\Um, Albert?\You were the one who killed me.\Albert, when you think about it, it was you who killed me, right?\It was you.\No!\I wanted to save you!\You only think of yourself, and you know it. response:	Every time I tried to tell you something, you never listened.
context: Um, Albert?\You were the one who killed me.\Albert, when you think about it, it was you who killed me, right?\It was you.\No!\I wanted to save you!\You only think of yourself, and you know it.\Every time I tried to tell you something, you never listened. response:	No! Franz, it wasn't like that!
context: You were the one who killed me.\Albert, when you think about it, it was you who killed me, right?\It was you.\No!\I wanted to save you!\You only think of yourself, and you know it.\Every time I tried to tell you something, you never listened.\No! Franz, it wasn't like that! response:	I'll hate you. I'll hate you for as long as I live.
context: Albert, when you think about it, it was you who killed me, right?\It was you.\No!\I wanted to save you!\You only think of yourself, and you know it.\Every time I tried to tell you something, you never listened.\No! Franz, it wasn't like that!\I'll hate you. I'll hate you for as long as I live. response:	Ow... It hurts...
context: It was you.\No!\I wanted to save you!\You only think of yourself, and you know it.\Every time I tried to tell you something, you never listened.\No! Franz, it wasn't like that!\I'll hate you. I'll hate you for as long as I live.\Ow... It hurts... response:	It hurts...
context: No!\I wanted to save you!\You only think of yourself, and you know it.\Every time I tried to tell you something, you never listened.\No! Franz, it wasn't like that!\I'll hate you. I'll hate you for as long as I live.\Ow... It hurts...\It hurts... response:	Franz!
context: I wanted to save you!\You only think of yourself, and you know it.\Every time I tried to tell you something, you never listened.\No! Franz, it wasn't like that!\I'll hate you. I'll hate you for as long as I live.\Ow... It hurts...\It hurts...\Franz! response:	Franz!
context: You only think of yourself, and you know it.\Every time I tried to tell you something, you never listened.\No! Franz, it wasn't like that!\I'll hate you. I'll hate you for as long as I live.\Ow... It hurts...\It hurts...\Franz!\Franz! response:	It hurts...
context: Every time I tried to tell you something, you never listened.\No! Franz, it wasn't like that!\I'll hate you. I'll hate you for as long as I live.\Ow... It hurts...\It hurts...\Franz!\Franz!\It hurts... response:	Franz!
context: No! Franz, it wasn't like that!\I'll hate you. I'll hate you for as long as I live.\Ow... It hurts...\It hurts...\Franz!\Franz!\It hurts...\Franz! response:	Franz, I'm sorry! Franz!
context: I'll hate you. I'll hate you for as long as I live.\Ow... It hurts...\It hurts...\Franz!\Franz!\It hurts...\Franz!\Franz, I'm sorry! Franz! response:	Franz?
context: Ow... It hurts...\It hurts...\Franz!\Franz!\It hurts...\Franz!\Franz, I'm sorry! Franz!\Franz? response:	No, Franz! Don't die!
context: It hurts...\Franz!\Franz!\It hurts...\Franz!\Franz, I'm sorry! Franz!\Franz?\No, Franz! Don't die! response:	Please don't die!
context: Franz!\Franz!\It hurts...\Franz!\Franz, I'm sorry! Franz!\Franz?\No, Franz! Don't die!\Please don't die! response:	There's something that I have to tell you!
context: Franz!\It hurts...\Franz!\Franz, I'm sorry! Franz!\Franz?\No, Franz! Don't die!\Please don't die!\There's something that I have to tell you! response:	So don't leave me!
context: It hurts...\Franz!\Franz, I'm sorry! Franz!\Franz?\No, Franz! Don't die!\Please don't die!\There's something that I have to tell you!\So don't leave me! response:	No! Franz, don't die!
context: Franz!\Franz, I'm sorry! Franz!\Franz?\No, Franz! Don't die!\Please don't die!\There's something that I have to tell you!\So don't leave me!\No! Franz, don't die! response:	Franz!
context: Franz, I'm sorry! Franz!\Franz?\No, Franz! Don't die!\Please don't die!\There's something that I have to tell you!\So don't leave me!\No! Franz, don't die!\Franz! response:	FRANZ!
context: Franz?\No, Franz! Don't die!\Please don't die!\There's something that I have to tell you!\So don't leave me!\No! Franz, don't die!\Franz!\FRANZ! response:	Hey, Albert, are you okay? Snap out of it!
context: No, Franz! Don't die!\Please don't die!\There's something that I have to tell you!\So don't leave me!\No! Franz, don't die!\Franz!\FRANZ!\Hey, Albert, are you okay? Snap out of it! response:	Hey! Albert!
context: Please don't die!\There's something that I have to tell you!\So don't leave me!\No! Franz, don't die!\Franz!\FRANZ!\Hey, Albert, are you okay? Snap out of it!\Hey! Albert! response:	Hey!
context: There's something that I have to tell you!\So don't leave me!\No! Franz, don't die!\Franz!\FRANZ!\Hey, Albert, are you okay? Snap out of it!\Hey! Albert!\Hey! response:	Franz!
context: So don't leave me!\No! Franz, don't die!\Franz!\FRANZ!\Hey, Albert, are you okay? Snap out of it!\Hey! Albert!\Hey!\Franz! response:	I guess there's nothing to worry about if you can still move like that.
context: No! Franz, don't die!\Franz!\FRANZ!\Hey, Albert, are you okay? Snap out of it!\Hey! Albert!\Hey!\Franz!\I guess there's nothing to worry about if you can still move like that. response:	Renaud?
context: Franz!\FRANZ!\Hey, Albert, are you okay? Snap out of it!\Hey! Albert!\Hey!\Franz!\I guess there's nothing to worry about if you can still move like that.\Renaud? response:	Where am I?
context: FRANZ!\Hey, Albert, are you okay? Snap out of it!\Hey! Albert!\Hey!\Franz!\I guess there's nothing to worry about if you can still move like that.\Renaud?\Where am I? response:	By coincidence, I spotted a guy riding your bike.
context: Hey, Albert, are you okay? Snap out of it!\Hey! Albert!\Hey!\Franz!\I guess there's nothing to worry about if you can still move like that.\Renaud?\Where am I?\By coincidence, I spotted a guy riding your bike. response:	Relax, your bike is safe. The evildoers have been punished!
context: Hey! Albert!\Hey!\Franz!\I guess there's nothing to worry about if you can still move like that.\Renaud?\Where am I?\By coincidence, I spotted a guy riding your bike.\Relax, your bike is safe. The evildoers have been punished! response:	Sorry about that.
context: Hey!\Franz!\I guess there's nothing to worry about if you can still move like that.\Renaud?\Where am I?\By coincidence, I spotted a guy riding your bike.\Relax, your bike is safe. The evildoers have been punished!\Sorry about that. response:	What're you talking about? Everybody needs a tool-loving, bike-loving friend, you know?
context: Franz!\I guess there's nothing to worry about if you can still move like that.\Renaud?\Where am I?\By coincidence, I spotted a guy riding your bike.\Relax, your bike is safe. The evildoers have been punished!\Sorry about that.\What're you talking about? Everybody needs a tool-loving, bike-loving friend, you know? response:	Admittedly, I pushed her so hard to get here that she's in pretty bad shape now.
context: I guess there's nothing to worry about if you can still move like that.\Renaud?\Where am I?\By coincidence, I spotted a guy riding your bike.\Relax, your bike is safe. The evildoers have been punished!\Sorry about that.\What're you talking about? Everybody needs a tool-loving, bike-loving friend, you know?\Admittedly, I pushed her so hard to get here that she's in pretty bad shape now. response:	Do you have any idea how badly I've been waiting for today to arrive?!
context: Renaud?\Where am I?\By coincidence, I spotted a guy riding your bike.\Relax, your bike is safe. The evildoers have been punished!\Sorry about that.\What're you talking about? Everybody needs a tool-loving, bike-loving friend, you know?\Admittedly, I pushed her so hard to get here that she's in pretty bad shape now.\Do you have any idea how badly I've been waiting for today to arrive?! response:	I looked everywhere for rare parts, endured setback after setback,
context: Where am I?\By coincidence, I spotted a guy riding your bike.\Relax, your bike is safe. The evildoers have been punished!\Sorry about that.\What're you talking about? Everybody needs a tool-loving, bike-loving friend, you know?\Admittedly, I pushed her so hard to get here that she's in pretty bad shape now.\Do you have any idea how badly I've been waiting for today to arrive?!\I looked everywhere for rare parts, endured setback after setback, response:	Chest swelled with anticipation, I set out in high spirits for a long drive, and what happens?
context: By coincidence, I spotted a guy riding your bike.\Relax, your bike is safe. The evildoers have been punished!\Sorry about that.\What're you talking about? Everybody needs a tool-loving, bike-loving friend, you know?\Admittedly, I pushed her so hard to get here that she's in pretty bad shape now.\Do you have any idea how badly I've been waiting for today to arrive?!\I looked everywhere for rare parts, endured setback after setback,\Chest swelled with anticipation, I set out in high spirits for a long drive, and what happens? response:	Hm? Why, that's Albert's bike! But who's that on it?!
context: Relax, your bike is safe. The evildoers have been punished!\Sorry about that.\What're you talking about? Everybody needs a tool-loving, bike-loving friend, you know?\Admittedly, I pushed her so hard to get here that she's in pretty bad shape now.\Do you have any idea how badly I've been waiting for today to arrive?!\I looked everywhere for rare parts, endured setback after setback,\Chest swelled with anticipation, I set out in high spirits for a long drive, and what happens?\Hm? Why, that's Albert's bike! But who's that on it?! response:	So I pull up to him, planning to ask him what's going on, and...
context: Sorry about that.\What're you talking about? Everybody needs a tool-loving, bike-loving friend, you know?\Admittedly, I pushed her so hard to get here that she's in pretty bad shape now.\Do you have any idea how badly I've been waiting for today to arrive?!\I looked everywhere for rare parts, endured setback after setback,\Chest swelled with anticipation, I set out in high spirits for a long drive, and what happens?\Hm? Why, that's Albert's bike! But who's that on it?!\So I pull up to him, planning to ask him what's going on, and... response:	Gimme that ratchet.
context: What're you talking about? Everybody needs a tool-loving, bike-loving friend, you know?\Admittedly, I pushed her so hard to get here that she's in pretty bad shape now.\Do you have any idea how badly I've been waiting for today to arrive?!\I looked everywhere for rare parts, endured setback after setback,\Chest swelled with anticipation, I set out in high spirits for a long drive, and what happens?\Hm? Why, that's Albert's bike! But who's that on it?!\So I pull up to him, planning to ask him what's going on, and...\Gimme that ratchet. response:	Here.
context: Admittedly, I pushed her so hard to get here that she's in pretty bad shape now.\Do you have any idea how badly I've been waiting for today to arrive?!\I looked everywhere for rare parts, endured setback after setback,\Chest swelled with anticipation, I set out in high spirits for a long drive, and what happens?\Hm? Why, that's Albert's bike! But who's that on it?!\So I pull up to him, planning to ask him what's going on, and...\Gimme that ratchet.\Here. response:	My baby's showing signs of a recovery!
context: Do you have any idea how badly I've been waiting for today to arrive?!\I looked everywhere for rare parts, endured setback after setback,\Chest swelled with anticipation, I set out in high spirits for a long drive, and what happens?\Hm? Why, that's Albert's bike! But who's that on it?!\So I pull up to him, planning to ask him what's going on, and...\Gimme that ratchet.\Here.\My baby's showing signs of a recovery! response:	Aren't you being overly dramatic?
context: I looked everywhere for rare parts, endured setback after setback,\Chest swelled with anticipation, I set out in high spirits for a long drive, and what happens?\Hm? Why, that's Albert's bike! But who's that on it?!\So I pull up to him, planning to ask him what's going on, and...\Gimme that ratchet.\Here.\My baby's showing signs of a recovery!\Aren't you being overly dramatic? response:	Overly dramatic, nothing! There's no sadder sight than a machine that can't be fixed!
context: Chest swelled with anticipation, I set out in high spirits for a long drive, and what happens?\Hm? Why, that's Albert's bike! But who's that on it?!\So I pull up to him, planning to ask him what's going on, and...\Gimme that ratchet.\Here.\My baby's showing signs of a recovery!\Aren't you being overly dramatic?\Overly dramatic, nothing! There's no sadder sight than a machine that can't be fixed! response:	I had the same problem that night we rescued Valentine. That was so terrible...
context: Hm? Why, that's Albert's bike! But who's that on it?!\So I pull up to him, planning to ask him what's going on, and...\Gimme that ratchet.\Here.\My baby's showing signs of a recovery!\Aren't you being overly dramatic?\Overly dramatic, nothing! There's no sadder sight than a machine that can't be fixed!\I had the same problem that night we rescued Valentine. That was so terrible... response:	That was YOUR car?
context: So I pull up to him, planning to ask him what's going on, and...\Gimme that ratchet.\Here.\My baby's showing signs of a recovery!\Aren't you being overly dramatic?\Overly dramatic, nothing! There's no sadder sight than a machine that can't be fixed!\I had the same problem that night we rescued Valentine. That was so terrible...\That was YOUR car? response:	It sure was... You have no idea how bad my heart was broken that day.
context: Gimme that ratchet.\Here.\My baby's showing signs of a recovery!\Aren't you being overly dramatic?\Overly dramatic, nothing! There's no sadder sight than a machine that can't be fixed!\I had the same problem that night we rescued Valentine. That was so terrible...\That was YOUR car?\It sure was... You have no idea how bad my heart was broken that day. response:	How can you talk like that? Valentine was about to die!
context: Here.\My baby's showing signs of a recovery!\Aren't you being overly dramatic?\Overly dramatic, nothing! There's no sadder sight than a machine that can't be fixed!\I had the same problem that night we rescued Valentine. That was so terrible...\That was YOUR car?\It sure was... You have no idea how bad my heart was broken that day.\How can you talk like that? Valentine was about to die! response:	Don't get me wrong!
context: My baby's showing signs of a recovery!\Aren't you being overly dramatic?\Overly dramatic, nothing! There's no sadder sight than a machine that can't be fixed!\I had the same problem that night we rescued Valentine. That was so terrible...\That was YOUR car?\It sure was... You have no idea how bad my heart was broken that day.\How can you talk like that? Valentine was about to die!\Don't get me wrong! response:	I volunteered my car because they said they were gonna go rescue Valentine.
context: Aren't you being overly dramatic?\Overly dramatic, nothing! There's no sadder sight than a machine that can't be fixed!\I had the same problem that night we rescued Valentine. That was so terrible...\That was YOUR car?\It sure was... You have no idea how bad my heart was broken that day.\How can you talk like that? Valentine was about to die!\Don't get me wrong!\I volunteered my car because they said they were gonna go rescue Valentine. response:	The thing is, I used to have a thing for Valentine...
context: Overly dramatic, nothing! There's no sadder sight than a machine that can't be fixed!\I had the same problem that night we rescued Valentine. That was so terrible...\That was YOUR car?\It sure was... You have no idea how bad my heart was broken that day.\How can you talk like that? Valentine was about to die!\Don't get me wrong!\I volunteered my car because they said they were gonna go rescue Valentine.\The thing is, I used to have a thing for Valentine... response:	Really? You never said a word about it.
context: I had the same problem that night we rescued Valentine. That was so terrible...\That was YOUR car?\It sure was... You have no idea how bad my heart was broken that day.\How can you talk like that? Valentine was about to die!\Don't get me wrong!\I volunteered my car because they said they were gonna go rescue Valentine.\The thing is, I used to have a thing for Valentine...\Really? You never said a word about it. response:	Say, Albert... Do you remember when we came out here on a drive?
context: That was YOUR car?\It sure was... You have no idea how bad my heart was broken that day.\How can you talk like that? Valentine was about to die!\Don't get me wrong!\I volunteered my car because they said they were gonna go rescue Valentine.\The thing is, I used to have a thing for Valentine...\Really? You never said a word about it.\Say, Albert... Do you remember when we came out here on a drive? response:	Yeah...
context: It sure was... You have no idea how bad my heart was broken that day.\How can you talk like that? Valentine was about to die!\Don't get me wrong!\I volunteered my car because they said they were gonna go rescue Valentine.\The thing is, I used to have a thing for Valentine...\Really? You never said a word about it.\Say, Albert... Do you remember when we came out here on a drive?\Yeah... response:	It was just a little while ago, but it feels like a distant memory.
context: How can you talk like that? Valentine was about to die!\Don't get me wrong!\I volunteered my car because they said they were gonna go rescue Valentine.\The thing is, I used to have a thing for Valentine...\Really? You never said a word about it.\Say, Albert... Do you remember when we came out here on a drive?\Yeah...\It was just a little while ago, but it feels like a distant memory. response:	That quiche that Valentine shared with us was great, wasn't it?
