context: He's gotten stronger again. response:	He's shining even more brilliantly than before.
context: I'm sorry.\N-No!\It's not your fault at all, Wallenstein-san.\Actually, you're the person who saved my life.\Actually, I'm the one who needs to apologize,\because I kept running instead of apologizing.\I'm sorry.\You're working hard at dungeon exploration, aren't you? response:	It's amazing that you made it to the 10th floor so quickly.
context: N-No!\It's not your fault at all, Wallenstein-san.\Actually, you're the person who saved my life.\Actually, I'm the one who needs to apologize,\because I kept running instead of apologizing.\I'm sorry.\You're working hard at dungeon exploration, aren't you?\It's amazing that you made it to the 10th floor so quickly. response:	No, that's not true.
context: It's not your fault at all, Wallenstein-san.\Actually, you're the person who saved my life.\Actually, I'm the one who needs to apologize,\because I kept running instead of apologizing.\I'm sorry.\You're working hard at dungeon exploration, aren't you?\It's amazing that you made it to the 10th floor so quickly.\No, that's not true. response:	I have to get stronger,
context: Actually, you're the person who saved my life.\Actually, I'm the one who needs to apologize,\because I kept running instead of apologizing.\I'm sorry.\You're working hard at dungeon exploration, aren't you?\It's amazing that you made it to the 10th floor so quickly.\No, that's not true.\I have to get stronger, response:	but I have a long way to go.
context: Actually, I'm the one who needs to apologize,\because I kept running instead of apologizing.\I'm sorry.\You're working hard at dungeon exploration, aren't you?\It's amazing that you made it to the 10th floor so quickly.\No, that's not true.\I have to get stronger,\but I have a long way to go. response:	I'm no better than a beginner at fighting,
context: because I kept running instead of apologizing.\I'm sorry.\You're working hard at dungeon exploration, aren't you?\It's amazing that you made it to the 10th floor so quickly.\No, that's not true.\I have to get stronger,\but I have a long way to go.\I'm no better than a beginner at fighting, response:	and I can't get anywhere towards reaching my goal.
context: I'm sorry.\You're working hard at dungeon exploration, aren't you?\It's amazing that you made it to the 10th floor so quickly.\No, that's not true.\I have to get stronger,\but I have a long way to go.\I'm no better than a beginner at fighting,\and I can't get anywhere towards reaching my goal. response:	I'm no good, and... um... um...
context: You're working hard at dungeon exploration, aren't you?\It's amazing that you made it to the 10th floor so quickly.\No, that's not true.\I have to get stronger,\but I have a long way to go.\I'm no better than a beginner at fighting,\and I can't get anywhere towards reaching my goal.\I'm no good, and... um... um... response:	There's no one who can teach you how to fight?
context: It's amazing that you made it to the 10th floor so quickly.\No, that's not true.\I have to get stronger,\but I have a long way to go.\I'm no better than a beginner at fighting,\and I can't get anywhere towards reaching my goal.\I'm no good, and... um... um...\There's no one who can teach you how to fight? response:	N-No...
context: No, that's not true.\I have to get stronger,\but I have a long way to go.\I'm no better than a beginner at fighting,\and I can't get anywhere towards reaching my goal.\I'm no good, and... um... um...\There's no one who can teach you how to fight?\N-No... response:	Then...
context: I have to get stronger,\but I have a long way to go.\I'm no better than a beginner at fighting,\and I can't get anywhere towards reaching my goal.\I'm no good, and... um... um...\There's no one who can teach you how to fight?\N-No...\Then... response:	Want me to teach you?
context: but I have a long way to go.\I'm no better than a beginner at fighting,\and I can't get anywhere towards reaching my goal.\I'm no good, and... um... um...\There's no one who can teach you how to fight?\N-No...\Then...\Want me to teach you? response:	Um, so Wallenstein-san...
context: I'm no better than a beginner at fighting,\and I can't get anywhere towards reaching my goal.\I'm no good, and... um... um...\There's no one who can teach you how to fight?\N-No...\Then...\Want me to teach you?\Um, so Wallenstein-san... response:	Aiz.
context: and I can't get anywhere towards reaching my goal.\I'm no good, and... um... um...\There's no one who can teach you how to fight?\N-No...\Then...\Want me to teach you?\Um, so Wallenstein-san...\Aiz. response:	Yes?
context: I'm no good, and... um... um...\There's no one who can teach you how to fight?\N-No...\Then...\Want me to teach you?\Um, so Wallenstein-san...\Aiz.\Yes? response:	Call me Aiz.
context: There's no one who can teach you how to fight?\N-No...\Then...\Want me to teach you?\Um, so Wallenstein-san...\Aiz.\Yes?\Call me Aiz. response:	Everyone does.
context: N-No...\Then...\Want me to teach you?\Um, so Wallenstein-san...\Aiz.\Yes?\Call me Aiz.\Everyone does. response:	Would that bother you?
context: Then...\Want me to teach you?\Um, so Wallenstein-san...\Aiz.\Yes?\Call me Aiz.\Everyone does.\Would that bother you? response:	Not at all!
context: Want me to teach you?\Um, so Wallenstein-san...\Aiz.\Yes?\Call me Aiz.\Everyone does.\Would that bother you?\Not at all! response:	A-Aiz-san...
context: Um, so Wallenstein-san...\Aiz.\Yes?\Call me Aiz.\Everyone does.\Would that bother you?\Not at all!\A-Aiz-san... response:	B-By the way, um...
context: Aiz.\Yes?\Call me Aiz.\Everyone does.\Would that bother you?\Not at all!\A-Aiz-san...\B-By the way, um... response:	What should I do for training?
context: Yes?\Call me Aiz.\Everyone does.\Would that bother you?\Not at all!\A-Aiz-san...\B-By the way, um...\What should I do for training? response:	What should we do?
context: Call me Aiz.\Everyone does.\Would that bother you?\Not at all!\A-Aiz-san...\B-By the way, um...\What should I do for training?\What should we do? response:	I've been thinking ever since yesterday about what we should do, but...
context: Everyone does.\Would that bother you?\Not at all!\A-Aiz-san...\B-By the way, um...\What should I do for training?\What should we do?\I've been thinking ever since yesterday about what we should do, but... response:	Your weapon is a knife, isn't it?
context: Would that bother you?\Not at all!\A-Aiz-san...\B-By the way, um...\What should I do for training?\What should we do?\I've been thinking ever since yesterday about what we should do, but...\Your weapon is a knife, isn't it? response:	Do you use kicks or martial arts?
context: Not at all!\A-Aiz-san...\B-By the way, um...\What should I do for training?\What should we do?\I've been thinking ever since yesterday about what we should do, but...\Your weapon is a knife, isn't it?\Do you use kicks or martial arts? response:	N-No...
context: A-Aiz-san...\B-By the way, um...\What should I do for training?\What should we do?\I've been thinking ever since yesterday about what we should do, but...\Your weapon is a knife, isn't it?\Do you use kicks or martial arts?\N-No... response:	Let me see your knife.
context: B-By the way, um...\What should I do for training?\What should we do?\I've been thinking ever since yesterday about what we should do, but...\Your weapon is a knife, isn't it?\Do you use kicks or martial arts?\N-No...\Let me see your knife. response:	Like this?
context: What should I do for training?\What should we do?\I've been thinking ever since yesterday about what we should do, but...\Your weapon is a knife, isn't it?\Do you use kicks or martial arts?\N-No...\Let me see your knife.\Like this? response:	Like this?
context: What should we do?\I've been thinking ever since yesterday about what we should do, but...\Your weapon is a knife, isn't it?\Do you use kicks or martial arts?\N-No...\Let me see your knife.\Like this?\Like this? response:	Like this?
context: I've been thinking ever since yesterday about what we should do, but...\Your weapon is a knife, isn't it?\Do you use kicks or martial arts?\N-No...\Let me see your knife.\Like this?\Like this?\Like this? response:	Aiz-san... are you an airhead?
context: Your weapon is a knife, isn't it?\Do you use kicks or martial arts?\N-No...\Let me see your knife.\Like this?\Like this?\Like this?\Aiz-san... are you an airhead? response:	Um, I think we should go over...
context: Do you use kicks or martial arts?\N-No...\Let me see your knife.\Like this?\Like this?\Like this?\Aiz-san... are you an airhead?\Um, I think we should go over... response:	She really is an airhead.
context: N-No...\Let me see your knife.\Like this?\Like this?\Like this?\Aiz-san... are you an airhead?\Um, I think we should go over...\She really is an airhead. response:	Sorry.
context: Let me see your knife.\Like this?\Like this?\Like this?\Aiz-san... are you an airhead?\Um, I think we should go over...\She really is an airhead.\Sorry. response:	No... it's not your fault.
context: Like this?\Like this?\Like this?\Aiz-san... are you an airhead?\Um, I think we should go over...\She really is an airhead.\Sorry.\No... it's not your fault. response:	Let's fight after all.
context: Like this?\Like this?\Aiz-san... are you an airhead?\Um, I think we should go over...\She really is an airhead.\Sorry.\No... it's not your fault.\Let's fight after all. response:	That's right.
context: Like this?\Aiz-san... are you an airhead?\Um, I think we should go over...\She really is an airhead.\Sorry.\No... it's not your fault.\Let's fight after all.\That's right. response:	How you responded there.
context: Aiz-san... are you an airhead?\Um, I think we should go over...\She really is an airhead.\Sorry.\No... it's not your fault.\Let's fight after all.\That's right.\How you responded there. response:	Be sensitive to different things in the battle.
context: Um, I think we should go over...\She really is an airhead.\Sorry.\No... it's not your fault.\Let's fight after all.\That's right.\How you responded there.\Be sensitive to different things in the battle. response:	If you are, you'll learn to fight whether you want to or not.
context: She really is an airhead.\Sorry.\No... it's not your fault.\Let's fight after all.\That's right.\How you responded there.\Be sensitive to different things in the battle.\If you are, you'll learn to fight whether you want to or not. response:	You're a coward, aren't you?
context: Sorry.\No... it's not your fault.\Let's fight after all.\That's right.\How you responded there.\Be sensitive to different things in the battle.\If you are, you'll learn to fight whether you want to or not.\You're a coward, aren't you? response:	I think it's important to be a coward in order to protect yourself.
context: No... it's not your fault.\Let's fight after all.\That's right.\How you responded there.\Be sensitive to different things in the battle.\If you are, you'll learn to fight whether you want to or not.\You're a coward, aren't you?\I think it's important to be a coward in order to protect yourself. response:	But you're afraid of something besides that.
context: Let's fight after all.\That's right.\How you responded there.\Be sensitive to different things in the battle.\If you are, you'll learn to fight whether you want to or not.\You're a coward, aren't you?\I think it's important to be a coward in order to protect yourself.\But you're afraid of something besides that. response:	Don't lose focus.
context: That's right.\How you responded there.\Be sensitive to different things in the battle.\If you are, you'll learn to fight whether you want to or not.\You're a coward, aren't you?\I think it's important to be a coward in order to protect yourself.\But you're afraid of something besides that.\Don't lose focus. response:	Don't create blindspots.
context: How you responded there.\Be sensitive to different things in the battle.\If you are, you'll learn to fight whether you want to or not.\You're a coward, aren't you?\I think it's important to be a coward in order to protect yourself.\But you're afraid of something besides that.\Don't lose focus.\Don't create blindspots. response:	Keep an eye on everything around you.
context: Be sensitive to different things in the battle.\If you are, you'll learn to fight whether you want to or not.\You're a coward, aren't you?\I think it's important to be a coward in order to protect yourself.\But you're afraid of something besides that.\Don't lose focus.\Don't create blindspots.\Keep an eye on everything around you. response:	Your skills and strategy are lacking.
context: If you are, you'll learn to fight whether you want to or not.\You're a coward, aren't you?\I think it's important to be a coward in order to protect yourself.\But you're afraid of something besides that.\Don't lose focus.\Don't create blindspots.\Keep an eye on everything around you.\Your skills and strategy are lacking. response:	Can you stand?
context: You're a coward, aren't you?\I think it's important to be a coward in order to protect yourself.\But you're afraid of something besides that.\Don't lose focus.\Don't create blindspots.\Keep an eye on everything around you.\Your skills and strategy are lacking.\Can you stand? response:	P-Please let me try again!
context: I think it's important to be a coward in order to protect yourself.\But you're afraid of something besides that.\Don't lose focus.\Don't create blindspots.\Keep an eye on everything around you.\Your skills and strategy are lacking.\Can you stand?\P-Please let me try again! response:	Not enough.
context: But you're afraid of something besides that.\Don't lose focus.\Don't create blindspots.\Keep an eye on everything around you.\Your skills and strategy are lacking.\Can you stand?\P-Please let me try again!\Not enough. response:	This won't be enough to fulfill their orders.
context: Don't lose focus.\Don't create blindspots.\Keep an eye on everything around you.\Your skills and strategy are lacking.\Can you stand?\P-Please let me try again!\Not enough.\This won't be enough to fulfill their orders. response:	You look a little tougher.
context: Don't create blindspots.\Keep an eye on everything around you.\Your skills and strategy are lacking.\Can you stand?\P-Please let me try again!\Not enough.\This won't be enough to fulfill their orders.\You look a little tougher. response:	Now, then...
context: Keep an eye on everything around you.\Your skills and strategy are lacking.\Can you stand?\P-Please let me try again!\Not enough.\This won't be enough to fulfill their orders.\You look a little tougher.\Now, then... response:	Excellent.
context: Your skills and strategy are lacking.\Can you stand?\P-Please let me try again!\Not enough.\This won't be enough to fulfill their orders.\You look a little tougher.\Now, then...\Excellent. response:	I choose you.
context: Can you stand?\P-Please let me try again!\Not enough.\This won't be enough to fulfill their orders.\You look a little tougher.\Now, then...\Excellent.\I choose you. response:	Master this.
context: P-Please let me try again!\Not enough.\This won't be enough to fulfill their orders.\You look a little tougher.\Now, then...\Excellent.\I choose you.\Master this. response:	Bell-sama, how deep shall we go today?
context: Not enough.\This won't be enough to fulfill their orders.\You look a little tougher.\Now, then...\Excellent.\I choose you.\Master this.\Bell-sama, how deep shall we go today? response:	Oh, since we're taking tomorrow off,
context: This won't be enough to fulfill their orders.\You look a little tougher.\Now, then...\Excellent.\I choose you.\Master this.\Bell-sama, how deep shall we go today?\Oh, since we're taking tomorrow off, response:	I want to get as deep as we can.
context: You look a little tougher.\Now, then...\Excellent.\I choose you.\Master this.\Bell-sama, how deep shall we go today?\Oh, since we're taking tomorrow off,\I want to get as deep as we can. response:	Sorry to make you take a day off for me.
context: Now, then...\Excellent.\I choose you.\Master this.\Bell-sama, how deep shall we go today?\Oh, since we're taking tomorrow off,\I want to get as deep as we can.\Sorry to make you take a day off for me. response:	It's not your fault.
context: Excellent.\I choose you.\Master this.\Bell-sama, how deep shall we go today?\Oh, since we're taking tomorrow off,\I want to get as deep as we can.\Sorry to make you take a day off for me.\It's not your fault. response:	You need to find a place to stay, right?
context: I choose you.\Master this.\Bell-sama, how deep shall we go today?\Oh, since we're taking tomorrow off,\I want to get as deep as we can.\Sorry to make you take a day off for me.\It's not your fault.\You need to find a place to stay, right? response:	And I have something to do, too.
context: Master this.\Bell-sama, how deep shall we go today?\Oh, since we're taking tomorrow off,\I want to get as deep as we can.\Sorry to make you take a day off for me.\It's not your fault.\You need to find a place to stay, right?\And I have something to do, too. response:	Bell-sama, why have you been exhausted and beat-up even before
context: Bell-sama, how deep shall we go today?\Oh, since we're taking tomorrow off,\I want to get as deep as we can.\Sorry to make you take a day off for me.\It's not your fault.\You need to find a place to stay, right?\And I have something to do, too.\Bell-sama, why have you been exhausted and beat-up even before response:	you go into the dungeon lately?
context: Oh, since we're taking tomorrow off,\I want to get as deep as we can.\Sorry to make you take a day off for me.\It's not your fault.\You need to find a place to stay, right?\And I have something to do, too.\Bell-sama, why have you been exhausted and beat-up even before\you go into the dungeon lately? response:	Oh, well...
context: I want to get as deep as we can.\Sorry to make you take a day off for me.\It's not your fault.\You need to find a place to stay, right?\And I have something to do, too.\Bell-sama, why have you been exhausted and beat-up even before\you go into the dungeon lately?\Oh, well... response:	Get back, Lili!
context: Sorry to make you take a day off for me.\It's not your fault.\You need to find a place to stay, right?\And I have something to do, too.\Bell-sama, why have you been exhausted and beat-up even before\you go into the dungeon lately?\Oh, well...\Get back, Lili! response:	Yes, Bell-sama!
context: It's not your fault.\You need to find a place to stay, right?\And I have something to do, too.\Bell-sama, why have you been exhausted and beat-up even before\you go into the dungeon lately?\Oh, well...\Get back, Lili!\Yes, Bell-sama! response:	Lili!
context: You need to find a place to stay, right?\And I have something to do, too.\Bell-sama, why have you been exhausted and beat-up even before\you go into the dungeon lately?\Oh, well...\Get back, Lili!\Yes, Bell-sama!\Lili! response:	Keep an eye on everything around you.
context: And I have something to do, too.\Bell-sama, why have you been exhausted and beat-up even before\you go into the dungeon lately?\Oh, well...\Get back, Lili!\Yes, Bell-sama!\Lili!\Keep an eye on everything around you. response:	Don't create blindspots.
context: Bell-sama, why have you been exhausted and beat-up even before\you go into the dungeon lately?\Oh, well...\Get back, Lili!\Yes, Bell-sama!\Lili!\Keep an eye on everything around you.\Don't create blindspots. response:	Bell-sama, that was amazing!
context: you go into the dungeon lately?\Oh, well...\Get back, Lili!\Yes, Bell-sama!\Lili!\Keep an eye on everything around you.\Don't create blindspots.\Bell-sama, that was amazing! response:	This looks a little rough.
context: Oh, well...\Get back, Lili!\Yes, Bell-sama!\Lili!\Keep an eye on everything around you.\Don't create blindspots.\Bell-sama, that was amazing!\This looks a little rough. response:	Shall we run away for now and regroup?
context: Get back, Lili!\Yes, Bell-sama!\Lili!\Keep an eye on everything around you.\Don't create blindspots.\Bell-sama, that was amazing!\This looks a little rough.\Shall we run away for now and regroup? response:	No.
context: Yes, Bell-sama!\Lili!\Keep an eye on everything around you.\Don't create blindspots.\Bell-sama, that was amazing!\This looks a little rough.\Shall we run away for now and regroup?\No. response:	If I keep being scared, I'll never catch up to her!
context: Lili!\Keep an eye on everything around you.\Don't create blindspots.\Bell-sama, that was amazing!\This looks a little rough.\Shall we run away for now and regroup?\No.\If I keep being scared, I'll never catch up to her! response:	I want to catch up to her, no matter what!
context: Keep an eye on everything around you.\Don't create blindspots.\Bell-sama, that was amazing!\This looks a little rough.\Shall we run away for now and regroup?\No.\If I keep being scared, I'll never catch up to her!\I want to catch up to her, no matter what! response:	Stand.
context: Don't create blindspots.\Bell-sama, that was amazing!\This looks a little rough.\Shall we run away for now and regroup?\No.\If I keep being scared, I'll never catch up to her!\I want to catch up to her, no matter what!\Stand. response:	Are you okay?
context: Bell-sama, that was amazing!\This looks a little rough.\Shall we run away for now and regroup?\No.\If I keep being scared, I'll never catch up to her!\I want to catch up to her, no matter what!\Stand.\Are you okay? response:	I'm sorry...
context: This looks a little rough.\Shall we run away for now and regroup?\No.\If I keep being scared, I'll never catch up to her!\I want to catch up to her, no matter what!\Stand.\Are you okay?\I'm sorry... response:	I passed out again.
context: Shall we run away for now and regroup?\No.\If I keep being scared, I'll never catch up to her!\I want to catch up to her, no matter what!\Stand.\Are you okay?\I'm sorry...\I passed out again. response:	Can I ask you something?
context: No.\If I keep being scared, I'll never catch up to her!\I want to catch up to her, no matter what!\Stand.\Are you okay?\I'm sorry...\I passed out again.\Can I ask you something? response:	Why are you able to get so strong, so fast?
context: If I keep being scared, I'll never catch up to her!\I want to catch up to her, no matter what!\Stand.\Are you okay?\I'm sorry...\I passed out again.\Can I ask you something?\Why are you able to get so strong, so fast? response:	I-I'm not strong...
context: I want to catch up to her, no matter what!\Stand.\Are you okay?\I'm sorry...\I passed out again.\Can I ask you something?\Why are you able to get so strong, so fast?\I-I'm not strong... response:	I just... well...
context: Stand.\Are you okay?\I'm sorry...\I passed out again.\Can I ask you something?\Why are you able to get so strong, so fast?\I-I'm not strong...\I just... well... response:	There's a person I want to catch up to,
context: Are you okay?\I'm sorry...\I passed out again.\Can I ask you something?\Why are you able to get so strong, so fast?\I-I'm not strong...\I just... well...\There's a person I want to catch up to, response:	and a place I want to reach, no matter what.
context: I'm sorry...\I passed out again.\Can I ask you something?\Why are you able to get so strong, so fast?\I-I'm not strong...\I just... well...\There's a person I want to catch up to,\and a place I want to reach, no matter what. response:	That's why, I think.
context: I passed out again.\Can I ask you something?\Why are you able to get so strong, so fast?\I-I'm not strong...\I just... well...\There's a person I want to catch up to,\and a place I want to reach, no matter what.\That's why, I think. response:	I see.
context: Can I ask you something?\Why are you able to get so strong, so fast?\I-I'm not strong...\I just... well...\There's a person I want to catch up to,\and a place I want to reach, no matter what.\That's why, I think.\I see. response:	I understand. It's the same for me.
context: Why are you able to get so strong, so fast?\I-I'm not strong...\I just... well...\There's a person I want to catch up to,\and a place I want to reach, no matter what.\That's why, I think.\I see.\I understand. It's the same for me. response:	Let's practice afternoon naps.
context: I-I'm not strong...\I just... well...\There's a person I want to catch up to,\and a place I want to reach, no matter what.\That's why, I think.\I see.\I understand. It's the same for me.\Let's practice afternoon naps. response:	In a dungeon, you need to be able to fall asleep anywhere, at any time.
context: I just... well...\There's a person I want to catch up to,\and a place I want to reach, no matter what.\That's why, I think.\I see.\I understand. It's the same for me.\Let's practice afternoon naps.\In a dungeon, you need to be able to fall asleep anywhere, at any time. response:	Um... are you...
context: There's a person I want to catch up to,\and a place I want to reach, no matter what.\That's why, I think.\I see.\I understand. It's the same for me.\Let's practice afternoon naps.\In a dungeon, you need to be able to fall asleep anywhere, at any time.\Um... are you... response:	Sleepy, maybe?
context: and a place I want to reach, no matter what.\That's why, I think.\I see.\I understand. It's the same for me.\Let's practice afternoon naps.\In a dungeon, you need to be able to fall asleep anywhere, at any time.\Um... are you...\Sleepy, maybe? response:	It's part of your training.
context: That's why, I think.\I see.\I understand. It's the same for me.\Let's practice afternoon naps.\In a dungeon, you need to be able to fall asleep anywhere, at any time.\Um... are you...\Sleepy, maybe?\It's part of your training. response:	Yes.
context: I see.\I understand. It's the same for me.\Let's practice afternoon naps.\In a dungeon, you need to be able to fall asleep anywhere, at any time.\Um... are you...\Sleepy, maybe?\It's part of your training.\Yes. response:	You're not going to sleep?
context: I understand. It's the same for me.\Let's practice afternoon naps.\In a dungeon, you need to be able to fall asleep anywhere, at any time.\Um... are you...\Sleepy, maybe?\It's part of your training.\Yes.\You're not going to sleep? response:	I am!
context: Let's practice afternoon naps.\In a dungeon, you need to be able to fall asleep anywhere, at any time.\Um... are you...\Sleepy, maybe?\It's part of your training.\Yes.\You're not going to sleep?\I am! response:	E-Excuse me...
context: In a dungeon, you need to be able to fall asleep anywhere, at any time.\Um... are you...\Sleepy, maybe?\It's part of your training.\Yes.\You're not going to sleep?\I am!\E-Excuse me... response:	So fast!
context: Um... are you...\Sleepy, maybe?\It's part of your training.\Yes.\You're not going to sleep?\I am!\E-Excuse me...\So fast! response:	I-Is that the power of a first-rate adventurer?
context: Sleepy, maybe?\It's part of your training.\Yes.\You're not going to sleep?\I am!\E-Excuse me...\So fast!\I-Is that the power of a first-rate adventurer? response:	Go, Bell! A real man always goes after women in their sleep!
context: It's part of your training.\Yes.\You're not going to sleep?\I am!\E-Excuse me...\So fast!\I-Is that the power of a first-rate adventurer?\Go, Bell! A real man always goes after women in their sleep! response:	Kiss her!
context: Yes.\You're not going to sleep?\I am!\E-Excuse me...\So fast!\I-Is that the power of a first-rate adventurer?\Go, Bell! A real man always goes after women in their sleep!\Kiss her! response:	G-Grandpa!?
context: You're not going to sleep?\I am!\E-Excuse me...\So fast!\I-Is that the power of a first-rate adventurer?\Go, Bell! A real man always goes after women in their sleep!\Kiss her!\G-Grandpa!? response:	It's the height of impropriety to not do anything in this situation.
context: I am!\E-Excuse me...\So fast!\I-Is that the power of a first-rate adventurer?\Go, Bell! A real man always goes after women in their sleep!\Kiss her!\G-Grandpa!?\It's the height of impropriety to not do anything in this situation. response:	That girl is waiting expectantly for you to do something!
context: E-Excuse me...\So fast!\I-Is that the power of a first-rate adventurer?\Go, Bell! A real man always goes after women in their sleep!\Kiss her!\G-Grandpa!?\It's the height of impropriety to not do anything in this situation.\That girl is waiting expectantly for you to do something! response:	Wait, Bell-kun!
context: So fast!\I-Is that the power of a first-rate adventurer?\Go, Bell! A real man always goes after women in their sleep!\Kiss her!\G-Grandpa!?\It's the height of impropriety to not do anything in this situation.\That girl is waiting expectantly for you to do something!\Wait, Bell-kun! response:	I didn't raise you to be the kind of boy who goes after women in their sleep!
context: I-Is that the power of a first-rate adventurer?\Go, Bell! A real man always goes after women in their sleep!\Kiss her!\G-Grandpa!?\It's the height of impropriety to not do anything in this situation.\That girl is waiting expectantly for you to do something!\Wait, Bell-kun!\I didn't raise you to be the kind of boy who goes after women in their sleep! response:	I'll never let you kiss her!
context: Go, Bell! A real man always goes after women in their sleep!\Kiss her!\G-Grandpa!?\It's the height of impropriety to not do anything in this situation.\That girl is waiting expectantly for you to do something!\Wait, Bell-kun!\I didn't raise you to be the kind of boy who goes after women in their sleep!\I'll never let you kiss her! response:	Now get away!
context: Kiss her!\G-Grandpa!?\It's the height of impropriety to not do anything in this situation.\That girl is waiting expectantly for you to do something!\Wait, Bell-kun!\I didn't raise you to be the kind of boy who goes after women in their sleep!\I'll never let you kiss her!\Now get away! response:	This is a man's battle now!
context: G-Grandpa!?\It's the height of impropriety to not do anything in this situation.\That girl is waiting expectantly for you to do something!\Wait, Bell-kun!\I didn't raise you to be the kind of boy who goes after women in their sleep!\I'll never let you kiss her!\Now get away!\This is a man's battle now! response:	Wait.
context: It's the height of impropriety to not do anything in this situation.\That girl is waiting expectantly for you to do something!\Wait, Bell-kun!\I didn't raise you to be the kind of boy who goes after women in their sleep!\I'll never let you kiss her!\Now get away!\This is a man's battle now!\Wait. response:	Wait?
context: That girl is waiting expectantly for you to do something!\Wait, Bell-kun!\I didn't raise you to be the kind of boy who goes after women in their sleep!\I'll never let you kiss her!\Now get away!\This is a man's battle now!\Wait.\Wait? response:	What am I doing?
context: Wait, Bell-kun!\I didn't raise you to be the kind of boy who goes after women in their sleep!\I'll never let you kiss her!\Now get away!\This is a man's battle now!\Wait.\Wait?\What am I doing? response:	It's done, then.
context: I didn't raise you to be the kind of boy who goes after women in their sleep!\I'll never let you kiss her!\Now get away!\This is a man's battle now!\Wait.\Wait?\What am I doing?\It's done, then. response:	Where are we going, Aiz-san?
context: I'll never let you kiss her!\Now get away!\This is a man's battle now!\Wait.\Wait?\What am I doing?\It's done, then.\Where are we going, Aiz-san? response:	You seemed hungry. Let's eat something.
context: Now get away!\This is a man's battle now!\Wait.\Wait?\What am I doing?\It's done, then.\Where are we going, Aiz-san?\You seemed hungry. Let's eat something. response:	No, I'm fine...
context: This is a man's battle now!\Wait.\Wait?\What am I doing?\It's done, then.\Where are we going, Aiz-san?\You seemed hungry. Let's eat something.\No, I'm fine... response:	Don't worry.
context: Wait.\Wait?\What am I doing?\It's done, then.\Where are we going, Aiz-san?\You seemed hungry. Let's eat something.\No, I'm fine...\Don't worry. response:	I'm hungry, too.
context: Wait?\What am I doing?\It's done, then.\Where are we going, Aiz-san?\You seemed hungry. Let's eat something.\No, I'm fine...\Don't worry.\I'm hungry, too. response:	Two fried potatoes with red bean cream.
context: What am I doing?\It's done, then.\Where are we going, Aiz-san?\You seemed hungry. Let's eat something.\No, I'm fine...\Don't worry.\I'm hungry, too.\Two fried potatoes with red bean cream. response:	With extra cream.
context: It's done, then.\Where are we going, Aiz-san?\You seemed hungry. Let's eat something.\No, I'm fine...\Don't worry.\I'm hungry, too.\Two fried potatoes with red bean cream.\With extra cream. response:	And double extra red beans.
context: Where are we going, Aiz-san?\You seemed hungry. Let's eat something.\No, I'm fine...\Don't worry.\I'm hungry, too.\Two fried potatoes with red bean cream.\With extra cream.\And double extra red beans. response:	What are you doing?
context: You seemed hungry. Let's eat something.\No, I'm fine...\Don't worry.\I'm hungry, too.\Two fried potatoes with red bean cream.\With extra cream.\And double extra red beans.\What are you doing? response:	Goddess!
context: No, I'm fine...\Don't worry.\I'm hungry, too.\Two fried potatoes with red bean cream.\With extra cream.\And double extra red beans.\What are you doing?\Goddess! response:	It's a different one every time with you, damn it!
context: Don't worry.\I'm hungry, too.\Two fried potatoes with red bean cream.\With extra cream.\And double extra red beans.\What are you doing?\Goddess!\It's a different one every time with you, damn it! response:	And now, at last, finally, of all people...
context: I'm hungry, too.\Two fried potatoes with red bean cream.\With extra cream.\And double extra red beans.\What are you doing?\Goddess!\It's a different one every time with you, damn it!\And now, at last, finally, of all people... response:	This woman, too?
context: Two fried potatoes with red bean cream.\With extra cream.\And double extra red beans.\What are you doing?\Goddess!\It's a different one every time with you, damn it!\And now, at last, finally, of all people...\This woman, too? response:	I'm sorry! I'm sorry! I'm sorry!
context: With extra cream.\And double extra red beans.\What are you doing?\Goddess!\It's a different one every time with you, damn it!\And now, at last, finally, of all people...\This woman, too?\I'm sorry! I'm sorry! I'm sorry! response:	So you're saying it's just two more days, right?
context: And double extra red beans.\What are you doing?\Goddess!\It's a different one every time with you, damn it!\And now, at last, finally, of all people...\This woman, too?\I'm sorry! I'm sorry! I'm sorry!\So you're saying it's just two more days, right? response:	Yes.
context: What are you doing?\Goddess!\It's a different one every time with you, damn it!\And now, at last, finally, of all people...\This woman, too?\I'm sorry! I'm sorry! I'm sorry!\So you're saying it's just two more days, right?\Yes. response:	It was only going to be until the Loki Familia's next expedition started.
context: Goddess!\It's a different one every time with you, damn it!\And now, at last, finally, of all people...\This woman, too?\I'm sorry! I'm sorry! I'm sorry!\So you're saying it's just two more days, right?\Yes.\It was only going to be until the Loki Familia's next expedition started. response:	Please, Goddess!
context: It's a different one every time with you, damn it!\And now, at last, finally, of all people...\This woman, too?\I'm sorry! I'm sorry! I'm sorry!\So you're saying it's just two more days, right?\Yes.\It was only going to be until the Loki Familia's next expedition started.\Please, Goddess! response:	Fine.
context: And now, at last, finally, of all people...\This woman, too?\I'm sorry! I'm sorry! I'm sorry!\So you're saying it's just two more days, right?\Yes.\It was only going to be until the Loki Familia's next expedition started.\Please, Goddess!\Fine. response:	If you're that insistent...
context: This woman, too?\I'm sorry! I'm sorry! I'm sorry!\So you're saying it's just two more days, right?\Yes.\It was only going to be until the Loki Familia's next expedition started.\Please, Goddess!\Fine.\If you're that insistent... response:	Goddess!
