context: Just as was announced at yesterday's music festival, response:	today is finally the day when the joint event
context: I see, so a trivial argument escalated into a fight.\It happens all the time.\Once we've cooled our heads,\we usually both apologize and make up.\Well, the cause of the fight must be Sink, right?\Because you're still not being honest about him,\you're making everybody worry.\Well, love and affection are not response:	things where thinking helps, I hear.
context: It happens all the time.\Once we've cooled our heads,\we usually both apologize and make up.\Well, the cause of the fight must be Sink, right?\Because you're still not being honest about him,\you're making everybody worry.\Well, love and affection are not\things where thinking helps, I hear. response:	Even so, having someone you love,
context: Once we've cooled our heads,\we usually both apologize and make up.\Well, the cause of the fight must be Sink, right?\Because you're still not being honest about him,\you're making everybody worry.\Well, love and affection are not\things where thinking helps, I hear.\Even so, having someone you love, response:	then that's a fun and happy thing.
context: we usually both apologize and make up.\Well, the cause of the fight must be Sink, right?\Because you're still not being honest about him,\you're making everybody worry.\Well, love and affection are not\things where thinking helps, I hear.\Even so, having someone you love,\then that's a fun and happy thing. response:	I'm sure that's the sort of message
context: Well, the cause of the fight must be Sink, right?\Because you're still not being honest about him,\you're making everybody worry.\Well, love and affection are not\things where thinking helps, I hear.\Even so, having someone you love,\then that's a fun and happy thing.\I'm sure that's the sort of message response:	Rico was trying share with you, too.
context: Because you're still not being honest about him,\you're making everybody worry.\Well, love and affection are not\things where thinking helps, I hear.\Even so, having someone you love,\then that's a fun and happy thing.\I'm sure that's the sort of message\Rico was trying share with you, too. response:	You should try to not think too hard
context: you're making everybody worry.\Well, love and affection are not\things where thinking helps, I hear.\Even so, having someone you love,\then that's a fun and happy thing.\I'm sure that's the sort of message\Rico was trying share with you, too.\You should try to not think too hard response:	and be more honest to yours-
context: Well, love and affection are not\things where thinking helps, I hear.\Even so, having someone you love,\then that's a fun and happy thing.\I'm sure that's the sort of message\Rico was trying share with you, too.\You should try to not think too hard\and be more honest to yours- response:	You disappoint me, Captain of the Imperial Guard.
context: things where thinking helps, I hear.\Even so, having someone you love,\then that's a fun and happy thing.\I'm sure that's the sort of message\Rico was trying share with you, too.\You should try to not think too hard\and be more honest to yours-\You disappoint me, Captain of the Imperial Guard. response:	I heard your story.
context: Even so, having someone you love,\then that's a fun and happy thing.\I'm sure that's the sort of message\Rico was trying share with you, too.\You should try to not think too hard\and be more honest to yours-\You disappoint me, Captain of the Imperial Guard.\I heard your story. response:	Eclaire, with that kind of weak attitude,
context: then that's a fun and happy thing.\I'm sure that's the sort of message\Rico was trying share with you, too.\You should try to not think too hard\and be more honest to yours-\You disappoint me, Captain of the Imperial Guard.\I heard your story.\Eclaire, with that kind of weak attitude, response:	you won't stand a chance in this war!
context: I'm sure that's the sort of message\Rico was trying share with you, too.\You should try to not think too hard\and be more honest to yours-\You disappoint me, Captain of the Imperial Guard.\I heard your story.\Eclaire, with that kind of weak attitude,\you won't stand a chance in this war! response:	However, as I too am a knight, I have to say
context: Rico was trying share with you, too.\You should try to not think too hard\and be more honest to yours-\You disappoint me, Captain of the Imperial Guard.\I heard your story.\Eclaire, with that kind of weak attitude,\you won't stand a chance in this war!\However, as I too am a knight, I have to say response:	that I understand why you're so awkward.
context: You should try to not think too hard\and be more honest to yours-\You disappoint me, Captain of the Imperial Guard.\I heard your story.\Eclaire, with that kind of weak attitude,\you won't stand a chance in this war!\However, as I too am a knight, I have to say\that I understand why you're so awkward. response:	How about a little bet between us to make sure you
context: and be more honest to yours-\You disappoint me, Captain of the Imperial Guard.\I heard your story.\Eclaire, with that kind of weak attitude,\you won't stand a chance in this war!\However, as I too am a knight, I have to say\that I understand why you're so awkward.\How about a little bet between us to make sure you response:	don't have time to worry about trivial matters?
context: You disappoint me, Captain of the Imperial Guard.\I heard your story.\Eclaire, with that kind of weak attitude,\you won't stand a chance in this war!\However, as I too am a knight, I have to say\that I understand why you're so awkward.\How about a little bet between us to make sure you\don't have time to worry about trivial matters? response:	A bet?
context: I heard your story.\Eclaire, with that kind of weak attitude,\you won't stand a chance in this war!\However, as I too am a knight, I have to say\that I understand why you're so awkward.\How about a little bet between us to make sure you\don't have time to worry about trivial matters?\A bet? response:	Fight me one-on-one in today's battle.
context: Eclaire, with that kind of weak attitude,\you won't stand a chance in this war!\However, as I too am a knight, I have to say\that I understand why you're so awkward.\How about a little bet between us to make sure you\don't have time to worry about trivial matters?\A bet?\Fight me one-on-one in today's battle. response:	Obviously, the victor wins the bet.
context: you won't stand a chance in this war!\However, as I too am a knight, I have to say\that I understand why you're so awkward.\How about a little bet between us to make sure you\don't have time to worry about trivial matters?\A bet?\Fight me one-on-one in today's battle.\Obviously, the victor wins the bet. response:	Naturally, I'll give you an edge.
context: However, as I too am a knight, I have to say\that I understand why you're so awkward.\How about a little bet between us to make sure you\don't have time to worry about trivial matters?\A bet?\Fight me one-on-one in today's battle.\Obviously, the victor wins the bet.\Naturally, I'll give you an edge. response:	All you'll have to do is destroy my weapon or my armor.
context: that I understand why you're so awkward.\How about a little bet between us to make sure you\don't have time to worry about trivial matters?\A bet?\Fight me one-on-one in today's battle.\Obviously, the victor wins the bet.\Naturally, I'll give you an edge.\All you'll have to do is destroy my weapon or my armor. response:	It goes without saying that I won't use Grand Vert.
context: How about a little bet between us to make sure you\don't have time to worry about trivial matters?\A bet?\Fight me one-on-one in today's battle.\Obviously, the victor wins the bet.\Naturally, I'll give you an edge.\All you'll have to do is destroy my weapon or my armor.\It goes without saying that I won't use Grand Vert. response:	What do you say?
context: don't have time to worry about trivial matters?\A bet?\Fight me one-on-one in today's battle.\Obviously, the victor wins the bet.\Naturally, I'll give you an edge.\All you'll have to do is destroy my weapon or my armor.\It goes without saying that I won't use Grand Vert.\What do you say? response:	These conditions are quite extraordinary.
context: A bet?\Fight me one-on-one in today's battle.\Obviously, the victor wins the bet.\Naturally, I'll give you an edge.\All you'll have to do is destroy my weapon or my armor.\It goes without saying that I won't use Grand Vert.\What do you say?\These conditions are quite extraordinary. response:	That's certainly true, but...
context: Fight me one-on-one in today's battle.\Obviously, the victor wins the bet.\Naturally, I'll give you an edge.\All you'll have to do is destroy my weapon or my armor.\It goes without saying that I won't use Grand Vert.\What do you say?\These conditions are quite extraordinary.\That's certainly true, but... response:	What are we betting on?
context: Obviously, the victor wins the bet.\Naturally, I'll give you an edge.\All you'll have to do is destroy my weapon or my armor.\It goes without saying that I won't use Grand Vert.\What do you say?\These conditions are quite extraordinary.\That's certainly true, but...\What are we betting on? response:	If I win, you'll be Galette's Captain of the
context: Naturally, I'll give you an edge.\All you'll have to do is destroy my weapon or my armor.\It goes without saying that I won't use Grand Vert.\What do you say?\These conditions are quite extraordinary.\That's certainly true, but...\What are we betting on?\If I win, you'll be Galette's Captain of the response:	Special Commando Troop for the day.
context: All you'll have to do is destroy my weapon or my armor.\It goes without saying that I won't use Grand Vert.\What do you say?\These conditions are quite extraordinary.\That's certainly true, but...\What are we betting on?\If I win, you'll be Galette's Captain of the\Special Commando Troop for the day. response:	Then you'll be able to fight against
context: It goes without saying that I won't use Grand Vert.\What do you say?\These conditions are quite extraordinary.\That's certainly true, but...\What are we betting on?\If I win, you'll be Galette's Captain of the\Special Commando Troop for the day.\Then you'll be able to fight against response:	your rivals in love, Millihi and Rebecca, all you want!
context: What do you say?\These conditions are quite extraordinary.\That's certainly true, but...\What are we betting on?\If I win, you'll be Galette's Captain of the\Special Commando Troop for the day.\Then you'll be able to fight against\your rivals in love, Millihi and Rebecca, all you want! response:	Hold on Leon-sama,
context: These conditions are quite extraordinary.\That's certainly true, but...\What are we betting on?\If I win, you'll be Galette's Captain of the\Special Commando Troop for the day.\Then you'll be able to fight against\your rivals in love, Millihi and Rebecca, all you want!\Hold on Leon-sama, response:	I think you got the wrong idea...
context: That's certainly true, but...\What are we betting on?\If I win, you'll be Galette's Captain of the\Special Commando Troop for the day.\Then you'll be able to fight against\your rivals in love, Millihi and Rebecca, all you want!\Hold on Leon-sama,\I think you got the wrong idea... response:	Not to mention, I don't have the authority to decide
context: What are we betting on?\If I win, you'll be Galette's Captain of the\Special Commando Troop for the day.\Then you'll be able to fight against\your rivals in love, Millihi and Rebecca, all you want!\Hold on Leon-sama,\I think you got the wrong idea...\Not to mention, I don't have the authority to decide response:	something that big by myself.
context: If I win, you'll be Galette's Captain of the\Special Commando Troop for the day.\Then you'll be able to fight against\your rivals in love, Millihi and Rebecca, all you want!\Hold on Leon-sama,\I think you got the wrong idea...\Not to mention, I don't have the authority to decide\something that big by myself. response:	What?
context: Special Commando Troop for the day.\Then you'll be able to fight against\your rivals in love, Millihi and Rebecca, all you want!\Hold on Leon-sama,\I think you got the wrong idea...\Not to mention, I don't have the authority to decide\something that big by myself.\What? response:	You're that afraid of losing, even with this handicap?
context: Then you'll be able to fight against\your rivals in love, Millihi and Rebecca, all you want!\Hold on Leon-sama,\I think you got the wrong idea...\Not to mention, I don't have the authority to decide\something that big by myself.\What?\You're that afraid of losing, even with this handicap? response:	Have you really become this pathetic?
context: your rivals in love, Millihi and Rebecca, all you want!\Hold on Leon-sama,\I think you got the wrong idea...\Not to mention, I don't have the authority to decide\something that big by myself.\What?\You're that afraid of losing, even with this handicap?\Have you really become this pathetic? response:	And if I...
context: Hold on Leon-sama,\I think you got the wrong idea...\Not to mention, I don't have the authority to decide\something that big by myself.\What?\You're that afraid of losing, even with this handicap?\Have you really become this pathetic?\And if I... response:	I'll listen to any wish you might have.
context: I think you got the wrong idea...\Not to mention, I don't have the authority to decide\something that big by myself.\What?\You're that afraid of losing, even with this handicap?\Have you really become this pathetic?\And if I...\I'll listen to any wish you might have. response:	Not that you could defeat me in your current state.
context: Not to mention, I don't have the authority to decide\something that big by myself.\What?\You're that afraid of losing, even with this handicap?\Have you really become this pathetic?\And if I...\I'll listen to any wish you might have.\Not that you could defeat me in your current state. response:	Fine, I'll show you.
context: something that big by myself.\What?\You're that afraid of losing, even with this handicap?\Have you really become this pathetic?\And if I...\I'll listen to any wish you might have.\Not that you could defeat me in your current state.\Fine, I'll show you. response:	Eep, this got out of hand quickly...
context: What?\You're that afraid of losing, even with this handicap?\Have you really become this pathetic?\And if I...\I'll listen to any wish you might have.\Not that you could defeat me in your current state.\Fine, I'll show you.\Eep, this got out of hand quickly... response:	Don't worry, Leon-sama will handle this.
context: You're that afraid of losing, even with this handicap?\Have you really become this pathetic?\And if I...\I'll listen to any wish you might have.\Not that you could defeat me in your current state.\Fine, I'll show you.\Eep, this got out of hand quickly...\Don't worry, Leon-sama will handle this. response:	Okay, it's almost time!
context: Have you really become this pathetic?\And if I...\I'll listen to any wish you might have.\Not that you could defeat me in your current state.\Fine, I'll show you.\Eep, this got out of hand quickly...\Don't worry, Leon-sama will handle this.\Okay, it's almost time! response:	Are you all ready?!
context: And if I...\I'll listen to any wish you might have.\Not that you could defeat me in your current state.\Fine, I'll show you.\Eep, this got out of hand quickly...\Don't worry, Leon-sama will handle this.\Okay, it's almost time!\Are you all ready?! response:	This war will be carved into the history of the continent.
context: I'll listen to any wish you might have.\Not that you could defeat me in your current state.\Fine, I'll show you.\Eep, this got out of hand quickly...\Don't worry, Leon-sama will handle this.\Okay, it's almost time!\Are you all ready?!\This war will be carved into the history of the continent. response:	Princess Millihiore!
context: Not that you could defeat me in your current state.\Fine, I'll show you.\Eep, this got out of hand quickly...\Don't worry, Leon-sama will handle this.\Okay, it's almost time!\Are you all ready?!\This war will be carved into the history of the continent.\Princess Millihiore! response:	Hello!
context: Fine, I'll show you.\Eep, this got out of hand quickly...\Don't worry, Leon-sama will handle this.\Okay, it's almost time!\Are you all ready?!\This war will be carved into the history of the continent.\Princess Millihiore!\Hello! response:	Hello!
context: Eep, this got out of hand quickly...\Don't worry, Leon-sama will handle this.\Okay, it's almost time!\Are you all ready?!\This war will be carved into the history of the continent.\Princess Millihiore!\Hello!\Hello! response:	The joint event of the three countries, Union Fest...
context: Don't worry, Leon-sama will handle this.\Okay, it's almost time!\Are you all ready?!\This war will be carved into the history of the continent.\Princess Millihiore!\Hello!\Hello!\The joint event of the three countries, Union Fest... response:	is finally beginning!
context: Okay, it's almost time!\Are you all ready?!\This war will be carved into the history of the continent.\Princess Millihiore!\Hello!\Hello!\The joint event of the three countries, Union Fest...\is finally beginning! response:	Leon-sama, Cou-sama,
context: Are you all ready?!\This war will be carved into the history of the continent.\Princess Millihiore!\Hello!\Hello!\The joint event of the three countries, Union Fest...\is finally beginning!\Leon-sama, Cou-sama, response:	are you ready?
context: This war will be carved into the history of the continent.\Princess Millihiore!\Hello!\Hello!\The joint event of the three countries, Union Fest...\is finally beginning!\Leon-sama, Cou-sama,\are you ready? response:	Yes, any time.
context: Princess Millihiore!\Hello!\Hello!\The joint event of the three countries, Union Fest...\is finally beginning!\Leon-sama, Cou-sama,\are you ready?\Yes, any time. response:	Of course!
context: Hello!\Hello!\The joint event of the three countries, Union Fest...\is finally beginning!\Leon-sama, Cou-sama,\are you ready?\Yes, any time.\Of course! response:	The let's all call it together.
context: Hello!\The joint event of the three countries, Union Fest...\is finally beginning!\Leon-sama, Cou-sama,\are you ready?\Yes, any time.\Of course!\The let's all call it together. response:	Three...
context: The joint event of the three countries, Union Fest...\is finally beginning!\Leon-sama, Cou-sama,\are you ready?\Yes, any time.\Of course!\The let's all call it together.\Three... response:	Two...
context: is finally beginning!\Leon-sama, Cou-sama,\are you ready?\Yes, any time.\Of course!\The let's all call it together.\Three...\Two... response:	One...
context: Leon-sama, Cou-sama,\are you ready?\Yes, any time.\Of course!\The let's all call it together.\Three...\Two...\One... response:	Fight!
context: are you ready?\Yes, any time.\Of course!\The let's all call it together.\Three...\Two...\One...\Fight! response:	It looks like battles
context: Yes, any time.\Of course!\The let's all call it together.\Three...\Two...\One...\Fight!\It looks like battles response:	have already begun in several places.
context: Of course!\The let's all call it together.\Three...\Two...\One...\Fight!\It looks like battles\have already begun in several places. response:	What is this?
context: The let's all call it together.\Three...\Two...\One...\Fight!\It looks like battles\have already begun in several places.\What is this? response:	Galette's general, Lady Leon,
context: Three...\Two...\One...\Fight!\It looks like battles\have already begun in several places.\What is this?\Galette's general, Lady Leon, response:	has broken rank and is charging ahead!
context: Two...\One...\Fight!\It looks like battles\have already begun in several places.\What is this?\Galette's general, Lady Leon,\has broken rank and is charging ahead! response:	Oh! Could her aim be Biscotti's second squad?
context: One...\Fight!\It looks like battles\have already begun in several places.\What is this?\Galette's general, Lady Leon,\has broken rank and is charging ahead!\Oh! Could her aim be Biscotti's second squad? response:	Captain!
context: Fight!\It looks like battles\have already begun in several places.\What is this?\Galette's general, Lady Leon,\has broken rank and is charging ahead!\Oh! Could her aim be Biscotti's second squad?\Captain! response:	Captain, your orders?
context: It looks like battles\have already begun in several places.\What is this?\Galette's general, Lady Leon,\has broken rank and is charging ahead!\Oh! Could her aim be Biscotti's second squad?\Captain!\Captain, your orders? response:	Yeah...
context: have already begun in several places.\What is this?\Galette's general, Lady Leon,\has broken rank and is charging ahead!\Oh! Could her aim be Biscotti's second squad?\Captain!\Captain, your orders?\Yeah... response:	Meanwhile, the princess has returned
context: What is this?\Galette's general, Lady Leon,\has broken rank and is charging ahead!\Oh! Could her aim be Biscotti's second squad?\Captain!\Captain, your orders?\Yeah...\Meanwhile, the princess has returned response:	to Biscotti's main camp, after signaling the start of the event.
context: Galette's general, Lady Leon,\has broken rank and is charging ahead!\Oh! Could her aim be Biscotti's second squad?\Captain!\Captain, your orders?\Yeah...\Meanwhile, the princess has returned\to Biscotti's main camp, after signaling the start of the event. response:	She will now take command.
context: has broken rank and is charging ahead!\Oh! Could her aim be Biscotti's second squad?\Captain!\Captain, your orders?\Yeah...\Meanwhile, the princess has returned\to Biscotti's main camp, after signaling the start of the event.\She will now take command. response:	Right. Let's begin our advance, as well.
context: Oh! Could her aim be Biscotti's second squad?\Captain!\Captain, your orders?\Yeah...\Meanwhile, the princess has returned\to Biscotti's main camp, after signaling the start of the event.\She will now take command.\Right. Let's begin our advance, as well. response:	Okay!
context: Captain!\Captain, your orders?\Yeah...\Meanwhile, the princess has returned\to Biscotti's main camp, after signaling the start of the event.\She will now take command.\Right. Let's begin our advance, as well.\Okay! response:	Couverte-sama and Hero Rebecca
context: Captain, your orders?\Yeah...\Meanwhile, the princess has returned\to Biscotti's main camp, after signaling the start of the event.\She will now take command.\Right. Let's begin our advance, as well.\Okay!\Couverte-sama and Hero Rebecca response:	are moving in on Biscotti's main camp!
context: Yeah...\Meanwhile, the princess has returned\to Biscotti's main camp, after signaling the start of the event.\She will now take command.\Right. Let's begin our advance, as well.\Okay!\Couverte-sama and Hero Rebecca\are moving in on Biscotti's main camp! response:	Eclaire and Lady Leon are moving
context: Meanwhile, the princess has returned\to Biscotti's main camp, after signaling the start of the event.\She will now take command.\Right. Let's begin our advance, as well.\Okay!\Couverte-sama and Hero Rebecca\are moving in on Biscotti's main camp!\Eclaire and Lady Leon are moving response:	towards Prizet bridge!
context: to Biscotti's main camp, after signaling the start of the event.\She will now take command.\Right. Let's begin our advance, as well.\Okay!\Couverte-sama and Hero Rebecca\are moving in on Biscotti's main camp!\Eclaire and Lady Leon are moving\towards Prizet bridge! response:	Now the captain of Biscotti's Imperial Guard
context: She will now take command.\Right. Let's begin our advance, as well.\Okay!\Couverte-sama and Hero Rebecca\are moving in on Biscotti's main camp!\Eclaire and Lady Leon are moving\towards Prizet bridge!\Now the captain of Biscotti's Imperial Guard response:	and the Ruler of the Lion Army are about to...
context: Right. Let's begin our advance, as well.\Okay!\Couverte-sama and Hero Rebecca\are moving in on Biscotti's main camp!\Eclaire and Lady Leon are moving\towards Prizet bridge!\Now the captain of Biscotti's Imperial Guard\and the Ruler of the Lion Army are about to... response:	Bright Ice Blade!
context: Okay!\Couverte-sama and Hero Rebecca\are moving in on Biscotti's main camp!\Eclaire and Lady Leon are moving\towards Prizet bridge!\Now the captain of Biscotti's Imperial Guard\and the Ruler of the Lion Army are about to...\Bright Ice Blade! response:	CLASH!
context: Couverte-sama and Hero Rebecca\are moving in on Biscotti's main camp!\Eclaire and Lady Leon are moving\towards Prizet bridge!\Now the captain of Biscotti's Imperial Guard\and the Ruler of the Lion Army are about to...\Bright Ice Blade!\CLASH! response:	Your gear sure is flashy, but it's weak.
context: are moving in on Biscotti's main camp!\Eclaire and Lady Leon are moving\towards Prizet bridge!\Now the captain of Biscotti's Imperial Guard\and the Ruler of the Lion Army are about to...\Bright Ice Blade!\CLASH!\Your gear sure is flashy, but it's weak. response:	if you have doubts in your heart,
context: Eclaire and Lady Leon are moving\towards Prizet bridge!\Now the captain of Biscotti's Imperial Guard\and the Ruler of the Lion Army are about to...\Bright Ice Blade!\CLASH!\Your gear sure is flashy, but it's weak.\if you have doubts in your heart, response:	your sword will waver and your Bright Power
context: towards Prizet bridge!\Now the captain of Biscotti's Imperial Guard\and the Ruler of the Lion Army are about to...\Bright Ice Blade!\CLASH!\Your gear sure is flashy, but it's weak.\if you have doubts in your heart,\your sword will waver and your Bright Power response:	will become unstable.
context: Now the captain of Biscotti's Imperial Guard\and the Ruler of the Lion Army are about to...\Bright Ice Blade!\CLASH!\Your gear sure is flashy, but it's weak.\if you have doubts in your heart,\your sword will waver and your Bright Power\will become unstable. response:	Right now, you're totally useless!
context: and the Ruler of the Lion Army are about to...\Bright Ice Blade!\CLASH!\Your gear sure is flashy, but it's weak.\if you have doubts in your heart,\your sword will waver and your Bright Power\will become unstable.\Right now, you're totally useless! response:	Put your spirit into it and come at me!
context: Bright Ice Blade!\CLASH!\Your gear sure is flashy, but it's weak.\if you have doubts in your heart,\your sword will waver and your Bright Power\will become unstable.\Right now, you're totally useless!\Put your spirit into it and come at me! response:	I do have spirit.
context: CLASH!\Your gear sure is flashy, but it's weak.\if you have doubts in your heart,\your sword will waver and your Bright Power\will become unstable.\Right now, you're totally useless!\Put your spirit into it and come at me!\I do have spirit. response:	This crazy one-on-one fight...
context: Your gear sure is flashy, but it's weak.\if you have doubts in your heart,\your sword will waver and your Bright Power\will become unstable.\Right now, you're totally useless!\Put your spirit into it and come at me!\I do have spirit.\This crazy one-on-one fight... response:	If I lose...
context: if you have doubts in your heart,\your sword will waver and your Bright Power\will become unstable.\Right now, you're totally useless!\Put your spirit into it and come at me!\I do have spirit.\This crazy one-on-one fight...\If I lose... response:	I can't return to my country.
context: your sword will waver and your Bright Power\will become unstable.\Right now, you're totally useless!\Put your spirit into it and come at me!\I do have spirit.\This crazy one-on-one fight...\If I lose...\I can't return to my country. response:	If you lose, you won't be obligated to return.
context: will become unstable.\Right now, you're totally useless!\Put your spirit into it and come at me!\I do have spirit.\This crazy one-on-one fight...\If I lose...\I can't return to my country.\If you lose, you won't be obligated to return. response:	Isn't that fitting?
context: Right now, you're totally useless!\Put your spirit into it and come at me!\I do have spirit.\This crazy one-on-one fight...\If I lose...\I can't return to my country.\If you lose, you won't be obligated to return.\Isn't that fitting? response:	Lady Leon's seal cannon!
context: Put your spirit into it and come at me!\I do have spirit.\This crazy one-on-one fight...\If I lose...\I can't return to my country.\If you lose, you won't be obligated to return.\Isn't that fitting?\Lady Leon's seal cannon! response:	But Knight Eclair is displaying amazing spirit here!
context: I do have spirit.\This crazy one-on-one fight...\If I lose...\I can't return to my country.\If you lose, you won't be obligated to return.\Isn't that fitting?\Lady Leon's seal cannon!\But Knight Eclair is displaying amazing spirit here! response:	Blast Wave!
context: This crazy one-on-one fight...\If I lose...\I can't return to my country.\If you lose, you won't be obligated to return.\Isn't that fitting?\Lady Leon's seal cannon!\But Knight Eclair is displaying amazing spirit here!\Blast Wave! response:	Falling Doom!
context: If I lose...\I can't return to my country.\If you lose, you won't be obligated to return.\Isn't that fitting?\Lady Leon's seal cannon!\But Knight Eclair is displaying amazing spirit here!\Blast Wave!\Falling Doom! response:	A devastating blow!
context: I can't return to my country.\If you lose, you won't be obligated to return.\Isn't that fitting?\Lady Leon's seal cannon!\But Knight Eclair is displaying amazing spirit here!\Blast Wave!\Falling Doom!\A devastating blow! response:	Is Captain Eclaire in danger?
context: If you lose, you won't be obligated to return.\Isn't that fitting?\Lady Leon's seal cannon!\But Knight Eclair is displaying amazing spirit here!\Blast Wave!\Falling Doom!\A devastating blow!\Is Captain Eclaire in danger? response:	Ecle...
context: Isn't that fitting?\Lady Leon's seal cannon!\But Knight Eclair is displaying amazing spirit here!\Blast Wave!\Falling Doom!\A devastating blow!\Is Captain Eclaire in danger?\Ecle... response:	I guess it wasn't a full hit.
context: Lady Leon's seal cannon!\But Knight Eclair is displaying amazing spirit here!\Blast Wave!\Falling Doom!\A devastating blow!\Is Captain Eclaire in danger?\Ecle...\I guess it wasn't a full hit. response:	Ugh, I want to go cheer her on.
context: But Knight Eclair is displaying amazing spirit here!\Blast Wave!\Falling Doom!\A devastating blow!\Is Captain Eclaire in danger?\Ecle...\I guess it wasn't a full hit.\Ugh, I want to go cheer her on. response:	We have to stand our ground, Hero!
context: Blast Wave!\Falling Doom!\A devastating blow!\Is Captain Eclaire in danger?\Ecle...\I guess it wasn't a full hit.\Ugh, I want to go cheer her on.\We have to stand our ground, Hero! response:	Lady Leon is approaching Captain Eclaire.
context: Falling Doom!\A devastating blow!\Is Captain Eclaire in danger?\Ecle...\I guess it wasn't a full hit.\Ugh, I want to go cheer her on.\We have to stand our ground, Hero!\Lady Leon is approaching Captain Eclaire. response:	Is this one-on-one coming to an end?!
context: A devastating blow!\Is Captain Eclaire in danger?\Ecle...\I guess it wasn't a full hit.\Ugh, I want to go cheer her on.\We have to stand our ground, Hero!\Lady Leon is approaching Captain Eclaire.\Is this one-on-one coming to an end?! response:	My body...
context: Is Captain Eclaire in danger?\Ecle...\I guess it wasn't a full hit.\Ugh, I want to go cheer her on.\We have to stand our ground, Hero!\Lady Leon is approaching Captain Eclaire.\Is this one-on-one coming to an end?!\My body... response:	won't move.
context: Ecle...\I guess it wasn't a full hit.\Ugh, I want to go cheer her on.\We have to stand our ground, Hero!\Lady Leon is approaching Captain Eclaire.\Is this one-on-one coming to an end?!\My body...\won't move. response:	I ended up just like Rico and Yukikaze
context: I guess it wasn't a full hit.\Ugh, I want to go cheer her on.\We have to stand our ground, Hero!\Lady Leon is approaching Captain Eclaire.\Is this one-on-one coming to an end?!\My body...\won't move.\I ended up just like Rico and Yukikaze response:	were worried I would.
context: Ugh, I want to go cheer her on.\We have to stand our ground, Hero!\Lady Leon is approaching Captain Eclaire.\Is this one-on-one coming to an end?!\My body...\won't move.\I ended up just like Rico and Yukikaze\were worried I would. response:	In this important war...
context: We have to stand our ground, Hero!\Lady Leon is approaching Captain Eclaire.\Is this one-on-one coming to an end?!\My body...\won't move.\I ended up just like Rico and Yukikaze\were worried I would.\In this important war... response:	in this one-on-one I can't afford to lose...
context: Lady Leon is approaching Captain Eclaire.\Is this one-on-one coming to an end?!\My body...\won't move.\I ended up just like Rico and Yukikaze\were worried I would.\In this important war...\in this one-on-one I can't afford to lose... response:	I went into all this with so many doubts in my heart.
context: Is this one-on-one coming to an end?!\My body...\won't move.\I ended up just like Rico and Yukikaze\were worried I would.\In this important war...\in this one-on-one I can't afford to lose...\I went into all this with so many doubts in my heart. response:	Now choose.
context: My body...\won't move.\I ended up just like Rico and Yukikaze\were worried I would.\In this important war...\in this one-on-one I can't afford to lose...\I went into all this with so many doubts in my heart.\Now choose. response:	Do you want me to finish you off,
context: won't move.\I ended up just like Rico and Yukikaze\were worried I would.\In this important war...\in this one-on-one I can't afford to lose...\I went into all this with so many doubts in my heart.\Now choose.\Do you want me to finish you off, response:	or do you want to surrender?
context: I ended up just like Rico and Yukikaze\were worried I would.\In this important war...\in this one-on-one I can't afford to lose...\I went into all this with so many doubts in my heart.\Now choose.\Do you want me to finish you off,\or do you want to surrender? response:	If I'm like this,
context: were worried I would.\In this important war...\in this one-on-one I can't afford to lose...\I went into all this with so many doubts in my heart.\Now choose.\Do you want me to finish you off,\or do you want to surrender?\If I'm like this, response:	Rico and the Hero might even turn away from me.
context: In this important war...\in this one-on-one I can't afford to lose...\I went into all this with so many doubts in my heart.\Now choose.\Do you want me to finish you off,\or do you want to surrender?\If I'm like this,\Rico and the Hero might even turn away from me. response:	Knight Eclaire is in big trouble!
context: in this one-on-one I can't afford to lose...\I went into all this with so many doubts in my heart.\Now choose.\Do you want me to finish you off,\or do you want to surrender?\If I'm like this,\Rico and the Hero might even turn away from me.\Knight Eclaire is in big trouble! response:	Will Biscotti lose their Captain of the Imperial Guard?!
context: I went into all this with so many doubts in my heart.\Now choose.\Do you want me to finish you off,\or do you want to surrender?\If I'm like this,\Rico and the Hero might even turn away from me.\Knight Eclaire is in big trouble!\Will Biscotti lose their Captain of the Imperial Guard?! response:	Ecle, don't lose...
context: Now choose.\Do you want me to finish you off,\or do you want to surrender?\If I'm like this,\Rico and the Hero might even turn away from me.\Knight Eclaire is in big trouble!\Will Biscotti lose their Captain of the Imperial Guard?!\Ecle, don't lose... response:	I want you to fight.
context: Do you want me to finish you off,\or do you want to surrender?\If I'm like this,\Rico and the Hero might even turn away from me.\Knight Eclaire is in big trouble!\Will Biscotti lose their Captain of the Imperial Guard?!\Ecle, don't lose...\I want you to fight. response:	I'm really sorry that I bugged you right before
context: or do you want to surrender?\If I'm like this,\Rico and the Hero might even turn away from me.\Knight Eclaire is in big trouble!\Will Biscotti lose their Captain of the Imperial Guard?!\Ecle, don't lose...\I want you to fight.\I'm really sorry that I bugged you right before response:	this important war and got in a fight with you.
context: If I'm like this,\Rico and the Hero might even turn away from me.\Knight Eclaire is in big trouble!\Will Biscotti lose their Captain of the Imperial Guard?!\Ecle, don't lose...\I want you to fight.\I'm really sorry that I bugged you right before\this important war and got in a fight with you. response:	I was conceited and couldn't
