context: Goosebumps Indeed! The Handsome Warrior Zarbon's Demonic Transformation. response:	What?
context: Then, Grand Elder- sama does know what is happening?\T- that will spare us the time of explaining, then.\Both of you, come inside. Grand Elder- sama will see you.\Um, if he already knows what is generally going on,\why hasn't he left this unsafe location?\Grand Elder- sama has grown too aged. He is aware that his death is approaching.\The only thing he could do is to remain here quietly, with me here protecting him.\I had heard that his death was near, but I didn't know it was so close. response:	Come, inside.
context: T- that will spare us the time of explaining, then.\Both of you, come inside. Grand Elder- sama will see you.\Um, if he already knows what is generally going on,\why hasn't he left this unsafe location?\Grand Elder- sama has grown too aged. He is aware that his death is approaching.\The only thing he could do is to remain here quietly, with me here protecting him.\I had heard that his death was near, but I didn't know it was so close.\Come, inside. response:	That guy is capable.
context: Both of you, come inside. Grand Elder- sama will see you.\Um, if he already knows what is generally going on,\why hasn't he left this unsafe location?\Grand Elder- sama has grown too aged. He is aware that his death is approaching.\The only thing he could do is to remain here quietly, with me here protecting him.\I had heard that his death was near, but I didn't know it was so close.\Come, inside.\That guy is capable. response:	l can sense quite a bit of power from him, compared to the other Namekians.
context: Um, if he already knows what is generally going on,\why hasn't he left this unsafe location?\Grand Elder- sama has grown too aged. He is aware that his death is approaching.\The only thing he could do is to remain here quietly, with me here protecting him.\I had heard that his death was near, but I didn't know it was so close.\Come, inside.\That guy is capable.\l can sense quite a bit of power from him, compared to the other Namekians. response:	Up.
context: why hasn't he left this unsafe location?\Grand Elder- sama has grown too aged. He is aware that his death is approaching.\The only thing he could do is to remain here quietly, with me here protecting him.\I had heard that his death was near, but I didn't know it was so close.\Come, inside.\That guy is capable.\l can sense quite a bit of power from him, compared to the other Namekians.\Up. response:	Right.
context: Grand Elder- sama has grown too aged. He is aware that his death is approaching.\The only thing he could do is to remain here quietly, with me here protecting him.\I had heard that his death was near, but I didn't know it was so close.\Come, inside.\That guy is capable.\l can sense quite a bit of power from him, compared to the other Namekians.\Up.\Right. response:	Grand Elder- sama, Dende and a visitor.
context: The only thing he could do is to remain here quietly, with me here protecting him.\I had heard that his death was near, but I didn't know it was so close.\Come, inside.\That guy is capable.\l can sense quite a bit of power from him, compared to the other Namekians.\Up.\Right.\Grand Elder- sama, Dende and a visitor. response:	H - he's huge!
context: I had heard that his death was near, but I didn't know it was so close.\Come, inside.\That guy is capable.\l can sense quite a bit of power from him, compared to the other Namekians.\Up.\Right.\Grand Elder- sama, Dende and a visitor.\H - he's huge! response:	First, I would like to offer my gratitude for rescuing my child Dende here. Thank you.
context: Come, inside.\That guy is capable.\l can sense quite a bit of power from him, compared to the other Namekians.\Up.\Right.\Grand Elder- sama, Dende and a visitor.\H - he's huge!\First, I would like to offer my gratitude for rescuing my child Dende here. Thank you. response:	N- not at all. We didn't do anything all that great.
context: That guy is capable.\l can sense quite a bit of power from him, compared to the other Namekians.\Up.\Right.\Grand Elder- sama, Dende and a visitor.\H - he's huge!\First, I would like to offer my gratitude for rescuing my child Dende here. Thank you.\N- not at all. We didn't do anything all that great. response:	That miserable Zarbon! T- this isn't over yet!
context: l can sense quite a bit of power from him, compared to the other Namekians.\Up.\Right.\Grand Elder- sama, Dende and a visitor.\H - he's huge!\First, I would like to offer my gratitude for rescuing my child Dende here. Thank you.\N- not at all. We didn't do anything all that great.\That miserable Zarbon! T- this isn't over yet! response:	I'm going to become even stronger!
context: Up.\Right.\Grand Elder- sama, Dende and a visitor.\H - he's huge!\First, I would like to offer my gratitude for rescuing my child Dende here. Thank you.\N- not at all. We didn't do anything all that great.\That miserable Zarbon! T- this isn't over yet!\I'm going to become even stronger! response:	And then, I'm going to defeat both Zarbon and Freeza!
context: Right.\Grand Elder- sama, Dende and a visitor.\H - he's huge!\First, I would like to offer my gratitude for rescuing my child Dende here. Thank you.\N- not at all. We didn't do anything all that great.\That miserable Zarbon! T- this isn't over yet!\I'm going to become even stronger!\And then, I'm going to defeat both Zarbon and Freeza! response:	I- I'm not about to turn over the Dragon Balls to anyone!
context: Grand Elder- sama, Dende and a visitor.\H - he's huge!\First, I would like to offer my gratitude for rescuing my child Dende here. Thank you.\N- not at all. We didn't do anything all that great.\That miserable Zarbon! T- this isn't over yet!\I'm going to become even stronger!\And then, I'm going to defeat both Zarbon and Freeza!\I- I'm not about to turn over the Dragon Balls to anyone! response:	Vegeta was alive.
context: H - he's huge!\First, I would like to offer my gratitude for rescuing my child Dende here. Thank you.\N- not at all. We didn't do anything all that great.\That miserable Zarbon! T- this isn't over yet!\I'm going to become even stronger!\And then, I'm going to defeat both Zarbon and Freeza!\I- I'm not about to turn over the Dragon Balls to anyone!\Vegeta was alive. response:	However, the hidden power possessed by Freeza and Zarbon was fearsome.
context: First, I would like to offer my gratitude for rescuing my child Dende here. Thank you.\N- not at all. We didn't do anything all that great.\That miserable Zarbon! T- this isn't over yet!\I'm going to become even stronger!\And then, I'm going to defeat both Zarbon and Freeza!\I- I'm not about to turn over the Dragon Balls to anyone!\Vegeta was alive.\However, the hidden power possessed by Freeza and Zarbon was fearsome. response:	And after finally meeting him,
context: N- not at all. We didn't do anything all that great.\That miserable Zarbon! T- this isn't over yet!\I'm going to become even stronger!\And then, I'm going to defeat both Zarbon and Freeza!\I- I'm not about to turn over the Dragon Balls to anyone!\Vegeta was alive.\However, the hidden power possessed by Freeza and Zarbon was fearsome.\And after finally meeting him, response:	would the Grand Elder be of any help to Kuririn and the others?
context: That miserable Zarbon! T- this isn't over yet!\I'm going to become even stronger!\And then, I'm going to defeat both Zarbon and Freeza!\I- I'm not about to turn over the Dragon Balls to anyone!\Vegeta was alive.\However, the hidden power possessed by Freeza and Zarbon was fearsome.\And after finally meeting him,\would the Grand Elder be of any help to Kuririn and the others? response:	The tangled battle of good and evil surrounding the Dragon Balls yet continues.
