context: I'm back! response:	No one's home?
context: What's it about?\After the last boss of the first season, Queen of Nightmare, is defeated by Shikkoku, she gets shifted back in time to the start of the story.\Oh, Shikkoku is Maschera's main character.\So she takes over the corpse of a girl that dies in the original story and gets closer to Shikkoku as a normal girl.\What's so bad about that though?\It actually sounds pretty interesting.\What?\You flipped through the pages a little, and now you think you can comment on it? response:	The worst part of this book isn't that obvious.
context: After the last boss of the first season, Queen of Nightmare, is defeated by Shikkoku, she gets shifted back in time to the start of the story.\Oh, Shikkoku is Maschera's main character.\So she takes over the corpse of a girl that dies in the original story and gets closer to Shikkoku as a normal girl.\What's so bad about that though?\It actually sounds pretty interesting.\What?\You flipped through the pages a little, and now you think you can comment on it?\The worst part of this book isn't that obvious. response:	Look at this! The page is practically black!
context: Oh, Shikkoku is Maschera's main character.\So she takes over the corpse of a girl that dies in the original story and gets closer to Shikkoku as a normal girl.\What's so bad about that though?\It actually sounds pretty interesting.\What?\You flipped through the pages a little, and now you think you can comment on it?\The worst part of this book isn't that obvious.\Look at this! The page is practically black! response:	Over 90 of it is words.
context: So she takes over the corpse of a girl that dies in the original story and gets closer to Shikkoku as a normal girl.\What's so bad about that though?\It actually sounds pretty interesting.\What?\You flipped through the pages a little, and now you think you can comment on it?\The worst part of this book isn't that obvious.\Look at this! The page is practically black!\Over 90 of it is words. response:	Ever thought of starting a new paragraph?
context: What's so bad about that though?\It actually sounds pretty interesting.\What?\You flipped through the pages a little, and now you think you can comment on it?\The worst part of this book isn't that obvious.\Look at this! The page is practically black!\Over 90 of it is words.\Ever thought of starting a new paragraph? response:	And there are so many obscure words and idioms too!
context: It actually sounds pretty interesting.\What?\You flipped through the pages a little, and now you think you can comment on it?\The worst part of this book isn't that obvious.\Look at this! The page is practically black!\Over 90 of it is words.\Ever thought of starting a new paragraph?\And there are so many obscure words and idioms too! response:	Can't you just simply say Boom! when something explodes, or Augh! when someone gets hit?
context: What?\You flipped through the pages a little, and now you think you can comment on it?\The worst part of this book isn't that obvious.\Look at this! The page is practically black!\Over 90 of it is words.\Ever thought of starting a new paragraph?\And there are so many obscure words and idioms too!\Can't you just simply say Boom! when something explodes, or Augh! when someone gets hit? response:	On top of that, this doujinshi requires that you read this 200-page encyclopedia of errata, otherwise you won't understand half of it.
context: You flipped through the pages a little, and now you think you can comment on it?\The worst part of this book isn't that obvious.\Look at this! The page is practically black!\Over 90 of it is words.\Ever thought of starting a new paragraph?\And there are so many obscure words and idioms too!\Can't you just simply say Boom! when something explodes, or Augh! when someone gets hit?\On top of that, this doujinshi requires that you read this 200-page encyclopedia of errata, otherwise you won't understand half of it. response:	Basically, she just wrote this for her own self-gratification!
context: The worst part of this book isn't that obvious.\Look at this! The page is practically black!\Over 90 of it is words.\Ever thought of starting a new paragraph?\And there are so many obscure words and idioms too!\Can't you just simply say Boom! when something explodes, or Augh! when someone gets hit?\On top of that, this doujinshi requires that you read this 200-page encyclopedia of errata, otherwise you won't understand half of it.\Basically, she just wrote this for her own self-gratification! response:	And what pisses me off most of all...
context: Look at this! The page is practically black!\Over 90 of it is words.\Ever thought of starting a new paragraph?\And there are so many obscure words and idioms too!\Can't you just simply say Boom! when something explodes, or Augh! when someone gets hit?\On top of that, this doujinshi requires that you read this 200-page encyclopedia of errata, otherwise you won't understand half of it.\Basically, she just wrote this for her own self-gratification!\And what pisses me off most of all... response:	A loli character clearly modeled after me is the main character's sex slave!
context: Over 90 of it is words.\Ever thought of starting a new paragraph?\And there are so many obscure words and idioms too!\Can't you just simply say Boom! when something explodes, or Augh! when someone gets hit?\On top of that, this doujinshi requires that you read this 200-page encyclopedia of errata, otherwise you won't understand half of it.\Basically, she just wrote this for her own self-gratification!\And what pisses me off most of all...\A loli character clearly modeled after me is the main character's sex slave! response:	That's definitely something to get angry about!
context: Ever thought of starting a new paragraph?\And there are so many obscure words and idioms too!\Can't you just simply say Boom! when something explodes, or Augh! when someone gets hit?\On top of that, this doujinshi requires that you read this 200-page encyclopedia of errata, otherwise you won't understand half of it.\Basically, she just wrote this for her own self-gratification!\And what pisses me off most of all...\A loli character clearly modeled after me is the main character's sex slave!\That's definitely something to get angry about! response:	Right? Right?!
context: And there are so many obscure words and idioms too!\Can't you just simply say Boom! when something explodes, or Augh! when someone gets hit?\On top of that, this doujinshi requires that you read this 200-page encyclopedia of errata, otherwise you won't understand half of it.\Basically, she just wrote this for her own self-gratification!\And what pisses me off most of all...\A loli character clearly modeled after me is the main character's sex slave!\That's definitely something to get angry about!\Right? Right?! response:	Damn goth loli...
context: Can't you just simply say Boom! when something explodes, or Augh! when someone gets hit?\On top of that, this doujinshi requires that you read this 200-page encyclopedia of errata, otherwise you won't understand half of it.\Basically, she just wrote this for her own self-gratification!\And what pisses me off most of all...\A loli character clearly modeled after me is the main character's sex slave!\That's definitely something to get angry about!\Right? Right?!\Damn goth loli... response:	Turning my sister into a sex slave?!
context: On top of that, this doujinshi requires that you read this 200-page encyclopedia of errata, otherwise you won't understand half of it.\Basically, she just wrote this for her own self-gratification!\And what pisses me off most of all...\A loli character clearly modeled after me is the main character's sex slave!\That's definitely something to get angry about!\Right? Right?!\Damn goth loli...\Turning my sister into a sex slave?! response:	Wait...
context: Basically, she just wrote this for her own self-gratification!\And what pisses me off most of all...\A loli character clearly modeled after me is the main character's sex slave!\That's definitely something to get angry about!\Right? Right?!\Damn goth loli...\Turning my sister into a sex slave?!\Wait... response:	Didn't I just do something just like this?
context: And what pisses me off most of all...\A loli character clearly modeled after me is the main character's sex slave!\That's definitely something to get angry about!\Right? Right?!\Damn goth loli...\Turning my sister into a sex slave?!\Wait...\Didn't I just do something just like this? response:	What's wrong?
context: A loli character clearly modeled after me is the main character's sex slave!\That's definitely something to get angry about!\Right? Right?!\Damn goth loli...\Turning my sister into a sex slave?!\Wait...\Didn't I just do something just like this?\What's wrong? response:	Nothing.
context: That's definitely something to get angry about!\Right? Right?!\Damn goth loli...\Turning my sister into a sex slave?!\Wait...\Didn't I just do something just like this?\What's wrong?\Nothing. response:	Wait a second...
context: Right? Right?!\Damn goth loli...\Turning my sister into a sex slave?!\Wait...\Didn't I just do something just like this?\What's wrong?\Nothing.\Wait a second... response:	Did you actually read through that entire encyclopedia?
context: Damn goth loli...\Turning my sister into a sex slave?!\Wait...\Didn't I just do something just like this?\What's wrong?\Nothing.\Wait a second...\Did you actually read through that entire encyclopedia? response:	I wouldn't be able to complain if I didn't.
context: Turning my sister into a sex slave?!\Wait...\Didn't I just do something just like this?\What's wrong?\Nothing.\Wait a second...\Did you actually read through that entire encyclopedia?\I wouldn't be able to complain if I didn't. response:	You guys really are good friends...
context: Wait...\Didn't I just do something just like this?\What's wrong?\Nothing.\Wait a second...\Did you actually read through that entire encyclopedia?\I wouldn't be able to complain if I didn't.\You guys really are good friends... response:	Alright. I get it.
context: Didn't I just do something just like this?\What's wrong?\Nothing.\Wait a second...\Did you actually read through that entire encyclopedia?\I wouldn't be able to complain if I didn't.\You guys really are good friends...\Alright. I get it. response:	I get it now.
context: What's wrong?\Nothing.\Wait a second...\Did you actually read through that entire encyclopedia?\I wouldn't be able to complain if I didn't.\You guys really are good friends...\Alright. I get it.\I get it now. response:	How about this?
context: Nothing.\Wait a second...\Did you actually read through that entire encyclopedia?\I wouldn't be able to complain if I didn't.\You guys really are good friends...\Alright. I get it.\I get it now.\How about this? response:	The point of this visit was a Meruru screening, right?
context: Wait a second...\Did you actually read through that entire encyclopedia?\I wouldn't be able to complain if I didn't.\You guys really are good friends...\Alright. I get it.\I get it now.\How about this?\The point of this visit was a Meruru screening, right? response:	Let's try doing that then.
context: Did you actually read through that entire encyclopedia?\I wouldn't be able to complain if I didn't.\You guys really are good friends...\Alright. I get it.\I get it now.\How about this?\The point of this visit was a Meruru screening, right?\Let's try doing that then. response:	Otherwise, it'll just be a waste of your time.
context: I wouldn't be able to complain if I didn't.\You guys really are good friends...\Alright. I get it.\I get it now.\How about this?\The point of this visit was a Meruru screening, right?\Let's try doing that then.\Otherwise, it'll just be a waste of your time. response:	Fine, I guess.
context: You guys really are good friends...\Alright. I get it.\I get it now.\How about this?\The point of this visit was a Meruru screening, right?\Let's try doing that then.\Otherwise, it'll just be a waste of your time.\Fine, I guess. response:	And isn't this your once-in-a-week chance to watch anime on the big screen?
context: Alright. I get it.\I get it now.\How about this?\The point of this visit was a Meruru screening, right?\Let's try doing that then.\Otherwise, it'll just be a waste of your time.\Fine, I guess.\And isn't this your once-in-a-week chance to watch anime on the big screen? response:	Not like I care.
context: I get it now.\How about this?\The point of this visit was a Meruru screening, right?\Let's try doing that then.\Otherwise, it'll just be a waste of your time.\Fine, I guess.\And isn't this your once-in-a-week chance to watch anime on the big screen?\Not like I care. response:	Saori?
context: How about this?\The point of this visit was a Meruru screening, right?\Let's try doing that then.\Otherwise, it'll just be a waste of your time.\Fine, I guess.\And isn't this your once-in-a-week chance to watch anime on the big screen?\Not like I care.\Saori? response:	Hello?
context: The point of this visit was a Meruru screening, right?\Let's try doing that then.\Otherwise, it'll just be a waste of your time.\Fine, I guess.\And isn't this your once-in-a-week chance to watch anime on the big screen?\Not like I care.\Saori?\Hello? response:	Mr. Kyousuke, it's me.
context: Let's try doing that then.\Otherwise, it'll just be a waste of your time.\Fine, I guess.\And isn't this your once-in-a-week chance to watch anime on the big screen?\Not like I care.\Saori?\Hello?\Mr. Kyousuke, it's me. response:	Yeah. What's up?
context: Otherwise, it'll just be a waste of your time.\Fine, I guess.\And isn't this your once-in-a-week chance to watch anime on the big screen?\Not like I care.\Saori?\Hello?\Mr. Kyousuke, it's me.\Yeah. What's up? response:	I'm done over here.
context: Fine, I guess.\And isn't this your once-in-a-week chance to watch anime on the big screen?\Not like I care.\Saori?\Hello?\Mr. Kyousuke, it's me.\Yeah. What's up?\I'm done over here. response:	How are things going on your front?
context: And isn't this your once-in-a-week chance to watch anime on the big screen?\Not like I care.\Saori?\Hello?\Mr. Kyousuke, it's me.\Yeah. What's up?\I'm done over here.\How are things going on your front? response:	Right now, it seems the first cannon may be lit at any time.
context: Not like I care.\Saori?\Hello?\Mr. Kyousuke, it's me.\Yeah. What's up?\I'm done over here.\How are things going on your front?\Right now, it seems the first cannon may be lit at any time. response:	Sorry to keep you waiting!
context: Saori?\Hello?\Mr. Kyousuke, it's me.\Yeah. What's up?\I'm done over here.\How are things going on your front?\Right now, it seems the first cannon may be lit at any time.\Sorry to keep you waiting! response:	Now then, let us begin our screening!
context: Hello?\Mr. Kyousuke, it's me.\Yeah. What's up?\I'm done over here.\How are things going on your front?\Right now, it seems the first cannon may be lit at any time.\Sorry to keep you waiting!\Now then, let us begin our screening! response:	Hey, you can't watch it like that!
context: Mr. Kyousuke, it's me.\Yeah. What's up?\I'm done over here.\How are things going on your front?\Right now, it seems the first cannon may be lit at any time.\Sorry to keep you waiting!\Now then, let us begin our screening!\Hey, you can't watch it like that! response:	You need not worry!
context: Yeah. What's up?\I'm done over here.\How are things going on your front?\Right now, it seems the first cannon may be lit at any time.\Sorry to keep you waiting!\Now then, let us begin our screening!\Hey, you can't watch it like that!\You need not worry! response:	I will play it here at the same time.
context: I'm done over here.\How are things going on your front?\Right now, it seems the first cannon may be lit at any time.\Sorry to keep you waiting!\Now then, let us begin our screening!\Hey, you can't watch it like that!\You need not worry!\I will play it here at the same time. response:	We may be far separated, but we are of one mind.
context: How are things going on your front?\Right now, it seems the first cannon may be lit at any time.\Sorry to keep you waiting!\Now then, let us begin our screening!\Hey, you can't watch it like that!\You need not worry!\I will play it here at the same time.\We may be far separated, but we are of one mind. response:	A new definition for live screening...
context: Right now, it seems the first cannon may be lit at any time.\Sorry to keep you waiting!\Now then, let us begin our screening!\Hey, you can't watch it like that!\You need not worry!\I will play it here at the same time.\We may be far separated, but we are of one mind.\A new definition for live screening... response:	Well then, let's start the screening.
context: Sorry to keep you waiting!\Now then, let us begin our screening!\Hey, you can't watch it like that!\You need not worry!\I will play it here at the same time.\We may be far separated, but we are of one mind.\A new definition for live screening...\Well then, let's start the screening. response:	Stardust Witch Meruru!
context: Now then, let us begin our screening!\Hey, you can't watch it like that!\You need not worry!\I will play it here at the same time.\We may be far separated, but we are of one mind.\A new definition for live screening...\Well then, let's start the screening.\Stardust Witch Meruru! response:	Starts now!
context: Hey, you can't watch it like that!\You need not worry!\I will play it here at the same time.\We may be far separated, but we are of one mind.\A new definition for live screening...\Well then, let's start the screening.\Stardust Witch Meruru!\Starts now! response:	Yes!
context: You need not worry!\I will play it here at the same time.\We may be far separated, but we are of one mind.\A new definition for live screening...\Well then, let's start the screening.\Stardust Witch Meruru!\Starts now!\Yes! response:	Meru-chan! Meru-chan! Meru-chan! Meru-chan!
context: I will play it here at the same time.\We may be far separated, but we are of one mind.\A new definition for live screening...\Well then, let's start the screening.\Stardust Witch Meruru!\Starts now!\Yes!\Meru-chan! Meru-chan! Meru-chan! Meru-chan! response:	Why are you going crazy right from the start??
context: We may be far separated, but we are of one mind.\A new definition for live screening...\Well then, let's start the screening.\Stardust Witch Meruru!\Starts now!\Yes!\Meru-chan! Meru-chan! Meru-chan! Meru-chan!\Why are you going crazy right from the start?? response:	My, it sounds like it's going well.
context: A new definition for live screening...\Well then, let's start the screening.\Stardust Witch Meruru!\Starts now!\Yes!\Meru-chan! Meru-chan! Meru-chan! Meru-chan!\Why are you going crazy right from the start??\My, it sounds like it's going well. response:	Stardust Witch Meruru, on the job!
context: Well then, let's start the screening.\Stardust Witch Meruru!\Starts now!\Yes!\Meru-chan! Meru-chan! Meru-chan! Meru-chan!\Why are you going crazy right from the start??\My, it sounds like it's going well.\Stardust Witch Meruru, on the job! response:	Hey, isn't this kinda sketchy?
context: Stardust Witch Meruru!\Starts now!\Yes!\Meru-chan! Meru-chan! Meru-chan! Meru-chan!\Why are you going crazy right from the start??\My, it sounds like it's going well.\Stardust Witch Meruru, on the job!\Hey, isn't this kinda sketchy? response:	Can they really show this on TV?
context: Starts now!\Yes!\Meru-chan! Meru-chan! Meru-chan! Meru-chan!\Why are you going crazy right from the start??\My, it sounds like it's going well.\Stardust Witch Meruru, on the job!\Hey, isn't this kinda sketchy?\Can they really show this on TV? response:	This is the DVD version.
context: Yes!\Meru-chan! Meru-chan! Meru-chan! Meru-chan!\Why are you going crazy right from the start??\My, it sounds like it's going well.\Stardust Witch Meruru, on the job!\Hey, isn't this kinda sketchy?\Can they really show this on TV?\This is the DVD version. response:	For the TV broadcast, ribbons hide the little girl's naked body.
context: Meru-chan! Meru-chan! Meru-chan! Meru-chan!\Why are you going crazy right from the start??\My, it sounds like it's going well.\Stardust Witch Meruru, on the job!\Hey, isn't this kinda sketchy?\Can they really show this on TV?\This is the DVD version.\For the TV broadcast, ribbons hide the little girl's naked body. response:	Don't call her a little girl!
context: Why are you going crazy right from the start??\My, it sounds like it's going well.\Stardust Witch Meruru, on the job!\Hey, isn't this kinda sketchy?\Can they really show this on TV?\This is the DVD version.\For the TV broadcast, ribbons hide the little girl's naked body.\Don't call her a little girl! response:	Fans went wild when some station aired the uncensored version one time.
context: My, it sounds like it's going well.\Stardust Witch Meruru, on the job!\Hey, isn't this kinda sketchy?\Can they really show this on TV?\This is the DVD version.\For the TV broadcast, ribbons hide the little girl's naked body.\Don't call her a little girl!\Fans went wild when some station aired the uncensored version one time. response:	Yeah... This is...
context: Stardust Witch Meruru, on the job!\Hey, isn't this kinda sketchy?\Can they really show this on TV?\This is the DVD version.\For the TV broadcast, ribbons hide the little girl's naked body.\Don't call her a little girl!\Fans went wild when some station aired the uncensored version one time.\Yeah... This is... response:	Kinda dangerous?
context: Hey, isn't this kinda sketchy?\Can they really show this on TV?\This is the DVD version.\For the TV broadcast, ribbons hide the little girl's naked body.\Don't call her a little girl!\Fans went wild when some station aired the uncensored version one time.\Yeah... This is...\Kinda dangerous? response:	The first reason why I can't like this anime.
context: Can they really show this on TV?\This is the DVD version.\For the TV broadcast, ribbons hide the little girl's naked body.\Don't call her a little girl!\Fans went wild when some station aired the uncensored version one time.\Yeah... This is...\Kinda dangerous?\The first reason why I can't like this anime. response:	The opening theme is an electronic song.
context: This is the DVD version.\For the TV broadcast, ribbons hide the little girl's naked body.\Don't call her a little girl!\Fans went wild when some station aired the uncensored version one time.\Yeah... This is...\Kinda dangerous?\The first reason why I can't like this anime.\The opening theme is an electronic song. response:	With more force than (KIRA)
context: For the TV broadcast, ribbons hide the little girl's naked body.\Don't call her a little girl!\Fans went wild when some station aired the uncensored version one time.\Yeah... This is...\Kinda dangerous?\The first reason why I can't like this anime.\The opening theme is an electronic song.\With more force than (KIRA) response:	A meteorite (KIRA)!
context: Don't call her a little girl!\Fans went wild when some station aired the uncensored version one time.\Yeah... This is...\Kinda dangerous?\The first reason why I can't like this anime.\The opening theme is an electronic song.\With more force than (KIRA)\A meteorite (KIRA)! response:	She's basically saying, I'm going to release my full-power magic into you at point blank, so don't move, bitch.
context: Fans went wild when some station aired the uncensored version one time.\Yeah... This is...\Kinda dangerous?\The first reason why I can't like this anime.\The opening theme is an electronic song.\With more force than (KIRA)\A meteorite (KIRA)!\She's basically saying, I'm going to release my full-power magic into you at point blank, so don't move, bitch. response:	This girl can bombard her opponent with attacks with a smile on her face.
context: Yeah... This is...\Kinda dangerous?\The first reason why I can't like this anime.\The opening theme is an electronic song.\With more force than (KIRA)\A meteorite (KIRA)!\She's basically saying, I'm going to release my full-power magic into you at point blank, so don't move, bitch.\This girl can bombard her opponent with attacks with a smile on her face. response:	Disturbing.
context: Kinda dangerous?\The first reason why I can't like this anime.\The opening theme is an electronic song.\With more force than (KIRA)\A meteorite (KIRA)!\She's basically saying, I'm going to release my full-power magic into you at point blank, so don't move, bitch.\This girl can bombard her opponent with attacks with a smile on her face.\Disturbing. response:	Too many things these days mix loli and ero, and not just in anime either.
context: The first reason why I can't like this anime.\The opening theme is an electronic song.\With more force than (KIRA)\A meteorite (KIRA)!\She's basically saying, I'm going to release my full-power magic into you at point blank, so don't move, bitch.\This girl can bombard her opponent with attacks with a smile on her face.\Disturbing.\Too many things these days mix loli and ero, and not just in anime either. response:	I can only weep over the fact that people keep buying this kind of vulgar crap.
context: The opening theme is an electronic song.\With more force than (KIRA)\A meteorite (KIRA)!\She's basically saying, I'm going to release my full-power magic into you at point blank, so don't move, bitch.\This girl can bombard her opponent with attacks with a smile on her face.\Disturbing.\Too many things these days mix loli and ero, and not just in anime either.\I can only weep over the fact that people keep buying this kind of vulgar crap. response:	The public needs to put more attention into maintaining an aesthetic sense.
context: With more force than (KIRA)\A meteorite (KIRA)!\She's basically saying, I'm going to release my full-power magic into you at point blank, so don't move, bitch.\This girl can bombard her opponent with attacks with a smile on her face.\Disturbing.\Too many things these days mix loli and ero, and not just in anime either.\I can only weep over the fact that people keep buying this kind of vulgar crap.\The public needs to put more attention into maintaining an aesthetic sense. response:	You don't get it, do you?
context: A meteorite (KIRA)!\She's basically saying, I'm going to release my full-power magic into you at point blank, so don't move, bitch.\This girl can bombard her opponent with attacks with a smile on her face.\Disturbing.\Too many things these days mix loli and ero, and not just in anime either.\I can only weep over the fact that people keep buying this kind of vulgar crap.\The public needs to put more attention into maintaining an aesthetic sense.\You don't get it, do you? response:	The theme of Meruru is friendship.
context: She's basically saying, I'm going to release my full-power magic into you at point blank, so don't move, bitch.\This girl can bombard her opponent with attacks with a smile on her face.\Disturbing.\Too many things these days mix loli and ero, and not just in anime either.\I can only weep over the fact that people keep buying this kind of vulgar crap.\The public needs to put more attention into maintaining an aesthetic sense.\You don't get it, do you?\The theme of Meruru is friendship. response:	Don't say things just because the Maschera DVDs line up well together.
context: This girl can bombard her opponent with attacks with a smile on her face.\Disturbing.\Too many things these days mix loli and ero, and not just in anime either.\I can only weep over the fact that people keep buying this kind of vulgar crap.\The public needs to put more attention into maintaining an aesthetic sense.\You don't get it, do you?\The theme of Meruru is friendship.\Don't say things just because the Maschera DVDs line up well together. response:	Friendship?
context: Disturbing.\Too many things these days mix loli and ero, and not just in anime either.\I can only weep over the fact that people keep buying this kind of vulgar crap.\The public needs to put more attention into maintaining an aesthetic sense.\You don't get it, do you?\The theme of Meruru is friendship.\Don't say things just because the Maschera DVDs line up well together.\Friendship? response:	Where in this story is there friendship?
context: Too many things these days mix loli and ero, and not just in anime either.\I can only weep over the fact that people keep buying this kind of vulgar crap.\The public needs to put more attention into maintaining an aesthetic sense.\You don't get it, do you?\The theme of Meruru is friendship.\Don't say things just because the Maschera DVDs line up well together.\Friendship?\Where in this story is there friendship? response:	Please explain.
context: I can only weep over the fact that people keep buying this kind of vulgar crap.\The public needs to put more attention into maintaining an aesthetic sense.\You don't get it, do you?\The theme of Meruru is friendship.\Don't say things just because the Maschera DVDs line up well together.\Friendship?\Where in this story is there friendship?\Please explain. response:	In episode six, Meruru obliterates her friend-turned-Dark Witch Al-chan using her Meteo Impact.
context: The public needs to put more attention into maintaining an aesthetic sense.\You don't get it, do you?\The theme of Meruru is friendship.\Don't say things just because the Maschera DVDs line up well together.\Friendship?\Where in this story is there friendship?\Please explain.\In episode six, Meruru obliterates her friend-turned-Dark Witch Al-chan using her Meteo Impact. response:	With a huge smile on face.
context: You don't get it, do you?\The theme of Meruru is friendship.\Don't say things just because the Maschera DVDs line up well together.\Friendship?\Where in this story is there friendship?\Please explain.\In episode six, Meruru obliterates her friend-turned-Dark Witch Al-chan using her Meteo Impact.\With a huge smile on face. response:	I said that was unexpected!
context: The theme of Meruru is friendship.\Don't say things just because the Maschera DVDs line up well together.\Friendship?\Where in this story is there friendship?\Please explain.\In episode six, Meruru obliterates her friend-turned-Dark Witch Al-chan using her Meteo Impact.\With a huge smile on face.\I said that was unexpected! response:	Nitpicking at all the small details...
context: Don't say things just because the Maschera DVDs line up well together.\Friendship?\Where in this story is there friendship?\Please explain.\In episode six, Meruru obliterates her friend-turned-Dark Witch Al-chan using her Meteo Impact.\With a huge smile on face.\I said that was unexpected!\Nitpicking at all the small details... response:	And besides, she revives Al-chan during the B part!
context: Friendship?\Where in this story is there friendship?\Please explain.\In episode six, Meruru obliterates her friend-turned-Dark Witch Al-chan using her Meteo Impact.\With a huge smile on face.\I said that was unexpected!\Nitpicking at all the small details...\And besides, she revives Al-chan during the B part! response:	You can bring back anyone who dies or anything that breaks in the magical field later!
context: Where in this story is there friendship?\Please explain.\In episode six, Meruru obliterates her friend-turned-Dark Witch Al-chan using her Meteo Impact.\With a huge smile on face.\I said that was unexpected!\Nitpicking at all the small details...\And besides, she revives Al-chan during the B part!\You can bring back anyone who dies or anything that breaks in the magical field later! response:	Mr. Kyousuke? What's going on?
context: Please explain.\In episode six, Meruru obliterates her friend-turned-Dark Witch Al-chan using her Meteo Impact.\With a huge smile on face.\I said that was unexpected!\Nitpicking at all the small details...\And besides, she revives Al-chan during the B part!\You can bring back anyone who dies or anything that breaks in the magical field later!\Mr. Kyousuke? What's going on? response:	What kind of a cop-out plot device is that?
context: In episode six, Meruru obliterates her friend-turned-Dark Witch Al-chan using her Meteo Impact.\With a huge smile on face.\I said that was unexpected!\Nitpicking at all the small details...\And besides, she revives Al-chan during the B part!\You can bring back anyone who dies or anything that breaks in the magical field later!\Mr. Kyousuke? What's going on?\What kind of a cop-out plot device is that? response:	That's ridiculous.
context: With a huge smile on face.\I said that was unexpected!\Nitpicking at all the small details...\And besides, she revives Al-chan during the B part!\You can bring back anyone who dies or anything that breaks in the magical field later!\Mr. Kyousuke? What's going on?\What kind of a cop-out plot device is that?\That's ridiculous. response:	It's perfectly fine!
context: I said that was unexpected!\Nitpicking at all the small details...\And besides, she revives Al-chan during the B part!\You can bring back anyone who dies or anything that breaks in the magical field later!\Mr. Kyousuke? What's going on?\What kind of a cop-out plot device is that?\That's ridiculous.\It's perfectly fine! response:	And she was saved in the end, so it worked out fine!
context: Nitpicking at all the small details...\And besides, she revives Al-chan during the B part!\You can bring back anyone who dies or anything that breaks in the magical field later!\Mr. Kyousuke? What's going on?\What kind of a cop-out plot device is that?\That's ridiculous.\It's perfectly fine!\And she was saved in the end, so it worked out fine! response:	Ah whatever, fight all you want...
context: And besides, she revives Al-chan during the B part!\You can bring back anyone who dies or anything that breaks in the magical field later!\Mr. Kyousuke? What's going on?\What kind of a cop-out plot device is that?\That's ridiculous.\It's perfectly fine!\And she was saved in the end, so it worked out fine!\Ah whatever, fight all you want... response:	And anyway, what's with the constant I'm awesome! I'm awesome! talk in Maschera?
context: You can bring back anyone who dies or anything that breaks in the magical field later!\Mr. Kyousuke? What's going on?\What kind of a cop-out plot device is that?\That's ridiculous.\It's perfectly fine!\And she was saved in the end, so it worked out fine!\Ah whatever, fight all you want...\And anyway, what's with the constant I'm awesome! I'm awesome! talk in Maschera? response:	Well, I guess this is friendship.
context: Mr. Kyousuke? What's going on?\What kind of a cop-out plot device is that?\That's ridiculous.\It's perfectly fine!\And she was saved in the end, so it worked out fine!\Ah whatever, fight all you want...\And anyway, what's with the constant I'm awesome! I'm awesome! talk in Maschera?\Well, I guess this is friendship. response:	I'm back.
context: What kind of a cop-out plot device is that?\That's ridiculous.\It's perfectly fine!\And she was saved in the end, so it worked out fine!\Ah whatever, fight all you want...\And anyway, what's with the constant I'm awesome! I'm awesome! talk in Maschera?\Well, I guess this is friendship.\I'm back. response:	What's wrong?
context: That's ridiculous.\It's perfectly fine!\And she was saved in the end, so it worked out fine!\Ah whatever, fight all you want...\And anyway, what's with the constant I'm awesome! I'm awesome! talk in Maschera?\Well, I guess this is friendship.\I'm back.\What's wrong? response:	Y-You...
context: It's perfectly fine!\And she was saved in the end, so it worked out fine!\Ah whatever, fight all you want...\And anyway, what's with the constant I'm awesome! I'm awesome! talk in Maschera?\Well, I guess this is friendship.\I'm back.\What's wrong?\Y-You... response:	My laptop...
context: And she was saved in the end, so it worked out fine!\Ah whatever, fight all you want...\And anyway, what's with the constant I'm awesome! I'm awesome! talk in Maschera?\Well, I guess this is friendship.\I'm back.\What's wrong?\Y-You...\My laptop... response:	Something wrong with your laptop?
context: Ah whatever, fight all you want...\And anyway, what's with the constant I'm awesome! I'm awesome! talk in Maschera?\Well, I guess this is friendship.\I'm back.\What's wrong?\Y-You...\My laptop...\Something wrong with your laptop? response:	You were looking at porn sites on my laptop!!
context: And anyway, what's with the constant I'm awesome! I'm awesome! talk in Maschera?\Well, I guess this is friendship.\I'm back.\What's wrong?\Y-You...\My laptop...\Something wrong with your laptop?\You were looking at porn sites on my laptop!! response:	Wh-What are you talking about?
context: Well, I guess this is friendship.\I'm back.\What's wrong?\Y-You...\My laptop...\Something wrong with your laptop?\You were looking at porn sites on my laptop!!\Wh-What are you talking about? response:	The evidence is right there!
context: I'm back.\What's wrong?\Y-You...\My laptop...\Something wrong with your laptop?\You were looking at porn sites on my laptop!!\Wh-What are you talking about?\The evidence is right there! response:	How could you even think of making me see something like that?
context: What's wrong?\Y-You...\My laptop...\Something wrong with your laptop?\You were looking at porn sites on my laptop!!\Wh-What are you talking about?\The evidence is right there!\How could you even think of making me see something like that? response:	I can't believe it!
context: Y-You...\My laptop...\Something wrong with your laptop?\You were looking at porn sites on my laptop!!\Wh-What are you talking about?\The evidence is right there!\How could you even think of making me see something like that?\I can't believe it! response:	You're the worst!
context: My laptop...\Something wrong with your laptop?\You were looking at porn sites on my laptop!!\Wh-What are you talking about?\The evidence is right there!\How could you even think of making me see something like that?\I can't believe it!\You're the worst! response:	Come on, don't cry!
context: Something wrong with your laptop?\You were looking at porn sites on my laptop!!\Wh-What are you talking about?\The evidence is right there!\How could you even think of making me see something like that?\I can't believe it!\You're the worst!\Come on, don't cry! response:	I'm not crying!
context: You were looking at porn sites on my laptop!!\Wh-What are you talking about?\The evidence is right there!\How could you even think of making me see something like that?\I can't believe it!\You're the worst!\Come on, don't cry!\I'm not crying! response:	Sorry! I'm sorry!
