context: Ta-da! response:	Why are you dressed like that?
context: Wait.\They're still underage.\Perhaps I overestimated you...\Another complaint came in from Technology and Research Division 3.\You took out some Machine Goodfellows without permission, and got them destroyed.\And you also used the Orgone energy capsules, didn't you?\Those are a valuable energy resource.\A single one can power the latest mobile weaponry for decades. response:	What did you use them for?
context: They're still underage.\Perhaps I overestimated you...\Another complaint came in from Technology and Research Division 3.\You took out some Machine Goodfellows without permission, and got them destroyed.\And you also used the Orgone energy capsules, didn't you?\Those are a valuable energy resource.\A single one can power the latest mobile weaponry for decades.\What did you use them for? response:	What do you have to do to drain a capsule completely?
context: Perhaps I overestimated you...\Another complaint came in from Technology and Research Division 3.\You took out some Machine Goodfellows without permission, and got them destroyed.\And you also used the Orgone energy capsules, didn't you?\Those are a valuable energy resource.\A single one can power the latest mobile weaponry for decades.\What did you use them for?\What do you have to do to drain a capsule completely? response:	The two of us fought a mock battle.
context: Another complaint came in from Technology and Research Division 3.\You took out some Machine Goodfellows without permission, and got them destroyed.\And you also used the Orgone energy capsules, didn't you?\Those are a valuable energy resource.\A single one can power the latest mobile weaponry for decades.\What did you use them for?\What do you have to do to drain a capsule completely?\The two of us fought a mock battle. response:	It was part of our pilot training.
context: You took out some Machine Goodfellows without permission, and got them destroyed.\And you also used the Orgone energy capsules, didn't you?\Those are a valuable energy resource.\A single one can power the latest mobile weaponry for decades.\What did you use them for?\What do you have to do to drain a capsule completely?\The two of us fought a mock battle.\It was part of our pilot training. response:	We thought improving our skills would benefit the company.
context: And you also used the Orgone energy capsules, didn't you?\Those are a valuable energy resource.\A single one can power the latest mobile weaponry for decades.\What did you use them for?\What do you have to do to drain a capsule completely?\The two of us fought a mock battle.\It was part of our pilot training.\We thought improving our skills would benefit the company. response:	You're wasting time.
context: Those are a valuable energy resource.\A single one can power the latest mobile weaponry for decades.\What did you use them for?\What do you have to do to drain a capsule completely?\The two of us fought a mock battle.\It was part of our pilot training.\We thought improving our skills would benefit the company.\You're wasting time. response:	The Neural Maneuver Systems need
context: A single one can power the latest mobile weaponry for decades.\What did you use them for?\What do you have to do to drain a capsule completely?\The two of us fought a mock battle.\It was part of our pilot training.\We thought improving our skills would benefit the company.\You're wasting time.\The Neural Maneuver Systems need response:	to be tailored to a specific individual, or it's pointless.
context: What did you use them for?\What do you have to do to drain a capsule completely?\The two of us fought a mock battle.\It was part of our pilot training.\We thought improving our skills would benefit the company.\You're wasting time.\The Neural Maneuver Systems need\to be tailored to a specific individual, or it's pointless. response:	The Machine Goodfellows are not your toys!
context: What do you have to do to drain a capsule completely?\The two of us fought a mock battle.\It was part of our pilot training.\We thought improving our skills would benefit the company.\You're wasting time.\The Neural Maneuver Systems need\to be tailored to a specific individual, or it's pointless.\The Machine Goodfellows are not your toys! response:	From now on, you are forbidden to use them without permission.
context: The two of us fought a mock battle.\It was part of our pilot training.\We thought improving our skills would benefit the company.\You're wasting time.\The Neural Maneuver Systems need\to be tailored to a specific individual, or it's pointless.\The Machine Goodfellows are not your toys!\From now on, you are forbidden to use them without permission. response:	And you must obey Technology and Research Division 3.
context: It was part of our pilot training.\We thought improving our skills would benefit the company.\You're wasting time.\The Neural Maneuver Systems need\to be tailored to a specific individual, or it's pointless.\The Machine Goodfellows are not your toys!\From now on, you are forbidden to use them without permission.\And you must obey Technology and Research Division 3. response:	Understood?
context: We thought improving our skills would benefit the company.\You're wasting time.\The Neural Maneuver Systems need\to be tailored to a specific individual, or it's pointless.\The Machine Goodfellows are not your toys!\From now on, you are forbidden to use them without permission.\And you must obey Technology and Research Division 3.\Understood? response:	Don't disappoint me.
context: You're wasting time.\The Neural Maneuver Systems need\to be tailored to a specific individual, or it's pointless.\The Machine Goodfellows are not your toys!\From now on, you are forbidden to use them without permission.\And you must obey Technology and Research Division 3.\Understood?\Don't disappoint me. response:	I don't think we need Masaki Kube anymore.
context: The Neural Maneuver Systems need\to be tailored to a specific individual, or it's pointless.\The Machine Goodfellows are not your toys!\From now on, you are forbidden to use them without permission.\And you must obey Technology and Research Division 3.\Understood?\Don't disappoint me.\I don't think we need Masaki Kube anymore. response:	He's obnoxious.
context: to be tailored to a specific individual, or it's pointless.\The Machine Goodfellows are not your toys!\From now on, you are forbidden to use them without permission.\And you must obey Technology and Research Division 3.\Understood?\Don't disappoint me.\I don't think we need Masaki Kube anymore.\He's obnoxious. response:	I estimate that we need Masaki Kube a bit longer.
context: The Machine Goodfellows are not your toys!\From now on, you are forbidden to use them without permission.\And you must obey Technology and Research Division 3.\Understood?\Don't disappoint me.\I don't think we need Masaki Kube anymore.\He's obnoxious.\I estimate that we need Masaki Kube a bit longer. response:	Eliminating him will make controlling Macbeth Enterprises more difficult.
context: From now on, you are forbidden to use them without permission.\And you must obey Technology and Research Division 3.\Understood?\Don't disappoint me.\I don't think we need Masaki Kube anymore.\He's obnoxious.\I estimate that we need Masaki Kube a bit longer.\Eliminating him will make controlling Macbeth Enterprises more difficult. response:	When a man who's only lived a few decades
context: And you must obey Technology and Research Division 3.\Understood?\Don't disappoint me.\I don't think we need Masaki Kube anymore.\He's obnoxious.\I estimate that we need Masaki Kube a bit longer.\Eliminating him will make controlling Macbeth Enterprises more difficult.\When a man who's only lived a few decades response:	treats me like a little kid,
context: Understood?\Don't disappoint me.\I don't think we need Masaki Kube anymore.\He's obnoxious.\I estimate that we need Masaki Kube a bit longer.\Eliminating him will make controlling Macbeth Enterprises more difficult.\When a man who's only lived a few decades\treats me like a little kid, response:	it irritates my real self more than anything!
context: Don't disappoint me.\I don't think we need Masaki Kube anymore.\He's obnoxious.\I estimate that we need Masaki Kube a bit longer.\Eliminating him will make controlling Macbeth Enterprises more difficult.\When a man who's only lived a few decades\treats me like a little kid,\it irritates my real self more than anything! response:	Masaki Kube can still be useful.
context: I don't think we need Masaki Kube anymore.\He's obnoxious.\I estimate that we need Masaki Kube a bit longer.\Eliminating him will make controlling Macbeth Enterprises more difficult.\When a man who's only lived a few decades\treats me like a little kid,\it irritates my real self more than anything!\Masaki Kube can still be useful. response:	The Globe Tanegashima base's Independent Attack Force is a bigger problem.
context: He's obnoxious.\I estimate that we need Masaki Kube a bit longer.\Eliminating him will make controlling Macbeth Enterprises more difficult.\When a man who's only lived a few decades\treats me like a little kid,\it irritates my real self more than anything!\Masaki Kube can still be useful.\The Globe Tanegashima base's Independent Attack Force is a bigger problem. response:	They've stopped every attempt at an abreaction via Machine Goodfellow.
context: I estimate that we need Masaki Kube a bit longer.\Eliminating him will make controlling Macbeth Enterprises more difficult.\When a man who's only lived a few decades\treats me like a little kid,\it irritates my real self more than anything!\Masaki Kube can still be useful.\The Globe Tanegashima base's Independent Attack Force is a bigger problem.\They've stopped every attempt at an abreaction via Machine Goodfellow. response:	I know that.
context: Eliminating him will make controlling Macbeth Enterprises more difficult.\When a man who's only lived a few decades\treats me like a little kid,\it irritates my real self more than anything!\Masaki Kube can still be useful.\The Globe Tanegashima base's Independent Attack Force is a bigger problem.\They've stopped every attempt at an abreaction via Machine Goodfellow.\I know that. response:	I know!
context: When a man who's only lived a few decades\treats me like a little kid,\it irritates my real self more than anything!\Masaki Kube can still be useful.\The Globe Tanegashima base's Independent Attack Force is a bigger problem.\They've stopped every attempt at an abreaction via Machine Goodfellow.\I know that.\I know! response:	I've got a great idea.
context: treats me like a little kid,\it irritates my real self more than anything!\Masaki Kube can still be useful.\The Globe Tanegashima base's Independent Attack Force is a bigger problem.\They've stopped every attempt at an abreaction via Machine Goodfellow.\I know that.\I know!\I've got a great idea. response:	The satellite, Legacy, was made by the Seton Company as part of Kube's plan.
context: it irritates my real self more than anything!\Masaki Kube can still be useful.\The Globe Tanegashima base's Independent Attack Force is a bigger problem.\They've stopped every attempt at an abreaction via Machine Goodfellow.\I know that.\I know!\I've got a great idea.\The satellite, Legacy, was made by the Seton Company as part of Kube's plan. response:	The stock satellite Kube built for the escape into space,
context: Masaki Kube can still be useful.\The Globe Tanegashima base's Independent Attack Force is a bigger problem.\They've stopped every attempt at an abreaction via Machine Goodfellow.\I know that.\I know!\I've got a great idea.\The satellite, Legacy, was made by the Seton Company as part of Kube's plan.\The stock satellite Kube built for the escape into space, response:	that's halfway between the Earth and Moon?
context: The Globe Tanegashima base's Independent Attack Force is a bigger problem.\They've stopped every attempt at an abreaction via Machine Goodfellow.\I know that.\I know!\I've got a great idea.\The satellite, Legacy, was made by the Seton Company as part of Kube's plan.\The stock satellite Kube built for the escape into space,\that's halfway between the Earth and Moon? response:	I'd rather not waste food...
context: They've stopped every attempt at an abreaction via Machine Goodfellow.\I know that.\I know!\I've got a great idea.\The satellite, Legacy, was made by the Seton Company as part of Kube's plan.\The stock satellite Kube built for the escape into space,\that's halfway between the Earth and Moon?\I'd rather not waste food... response:	But if we dropped the Legacy on Tanegashima...
context: I know that.\I know!\I've got a great idea.\The satellite, Legacy, was made by the Seton Company as part of Kube's plan.\The stock satellite Kube built for the escape into space,\that's halfway between the Earth and Moon?\I'd rather not waste food...\But if we dropped the Legacy on Tanegashima... response:	It'd blow the island away, and cause problems for Kube.
context: I know!\I've got a great idea.\The satellite, Legacy, was made by the Seton Company as part of Kube's plan.\The stock satellite Kube built for the escape into space,\that's halfway between the Earth and Moon?\I'd rather not waste food...\But if we dropped the Legacy on Tanegashima...\It'd blow the island away, and cause problems for Kube. response:	Two birds with one stone?
context: I've got a great idea.\The satellite, Legacy, was made by the Seton Company as part of Kube's plan.\The stock satellite Kube built for the escape into space,\that's halfway between the Earth and Moon?\I'd rather not waste food...\But if we dropped the Legacy on Tanegashima...\It'd blow the island away, and cause problems for Kube.\Two birds with one stone? response:	I like it.
context: The satellite, Legacy, was made by the Seton Company as part of Kube's plan.\The stock satellite Kube built for the escape into space,\that's halfway between the Earth and Moon?\I'd rather not waste food...\But if we dropped the Legacy on Tanegashima...\It'd blow the island away, and cause problems for Kube.\Two birds with one stone?\I like it. response:	You can do it, can't you, Puck?
context: The stock satellite Kube built for the escape into space,\that's halfway between the Earth and Moon?\I'd rather not waste food...\But if we dropped the Legacy on Tanegashima...\It'd blow the island away, and cause problems for Kube.\Two birds with one stone?\I like it.\You can do it, can't you, Puck? response:	Understood.
context: that's halfway between the Earth and Moon?\I'd rather not waste food...\But if we dropped the Legacy on Tanegashima...\It'd blow the island away, and cause problems for Kube.\Two birds with one stone?\I like it.\You can do it, can't you, Puck?\Understood. response:	Did you know that there's a total lunar eclipse tonight?
context: I'd rather not waste food...\But if we dropped the Legacy on Tanegashima...\It'd blow the island away, and cause problems for Kube.\Two birds with one stone?\I like it.\You can do it, can't you, Puck?\Understood.\Did you know that there's a total lunar eclipse tonight? response:	I worked so hard to arrange a romantic setting for them...
context: But if we dropped the Legacy on Tanegashima...\It'd blow the island away, and cause problems for Kube.\Two birds with one stone?\I like it.\You can do it, can't you, Puck?\Understood.\Did you know that there's a total lunar eclipse tonight?\I worked so hard to arrange a romantic setting for them... response:	I guess they're still kids.
context: It'd blow the island away, and cause problems for Kube.\Two birds with one stone?\I like it.\You can do it, can't you, Puck?\Understood.\Did you know that there's a total lunar eclipse tonight?\I worked so hard to arrange a romantic setting for them...\I guess they're still kids. response:	Hana was born of my race...
context: Two birds with one stone?\I like it.\You can do it, can't you, Puck?\Understood.\Did you know that there's a total lunar eclipse tonight?\I worked so hard to arrange a romantic setting for them...\I guess they're still kids.\Hana was born of my race... response:	So I think she has the same nature...
context: I like it.\You can do it, can't you, Puck?\Understood.\Did you know that there's a total lunar eclipse tonight?\I worked so hard to arrange a romantic setting for them...\I guess they're still kids.\Hana was born of my race...\So I think she has the same nature... response:	The same peculiarity, you might say.
context: You can do it, can't you, Puck?\Understood.\Did you know that there's a total lunar eclipse tonight?\I worked so hard to arrange a romantic setting for them...\I guess they're still kids.\Hana was born of my race...\So I think she has the same nature...\The same peculiarity, you might say. response:	When we kiss someone,
context: Understood.\Did you know that there's a total lunar eclipse tonight?\I worked so hard to arrange a romantic setting for them...\I guess they're still kids.\Hana was born of my race...\So I think she has the same nature...\The same peculiarity, you might say.\When we kiss someone, response:	we can feel what they're thinking, to an extent.
context: Did you know that there's a total lunar eclipse tonight?\I worked so hard to arrange a romantic setting for them...\I guess they're still kids.\Hana was born of my race...\So I think she has the same nature...\The same peculiarity, you might say.\When we kiss someone,\we can feel what they're thinking, to an extent. response:	A kind of telepathy?
context: I worked so hard to arrange a romantic setting for them...\I guess they're still kids.\Hana was born of my race...\So I think she has the same nature...\The same peculiarity, you might say.\When we kiss someone,\we can feel what they're thinking, to an extent.\A kind of telepathy? response:	Yeah.
context: I guess they're still kids.\Hana was born of my race...\So I think she has the same nature...\The same peculiarity, you might say.\When we kiss someone,\we can feel what they're thinking, to an extent.\A kind of telepathy?\Yeah. response:	A telepathic kiss.
context: Hana was born of my race...\So I think she has the same nature...\The same peculiarity, you might say.\When we kiss someone,\we can feel what they're thinking, to an extent.\A kind of telepathy?\Yeah.\A telepathic kiss. response:	Telepathic kiss?
context: So I think she has the same nature...\The same peculiarity, you might say.\When we kiss someone,\we can feel what they're thinking, to an extent.\A kind of telepathy?\Yeah.\A telepathic kiss.\Telepathic kiss? response:	It's true that I could see what she was thinking then, for a second.
context: The same peculiarity, you might say.\When we kiss someone,\we can feel what they're thinking, to an extent.\A kind of telepathy?\Yeah.\A telepathic kiss.\Telepathic kiss?\It's true that I could see what she was thinking then, for a second. response:	Come to think of it, doesn't Hana only kiss the captain when he's asleep?
context: When we kiss someone,\we can feel what they're thinking, to an extent.\A kind of telepathy?\Yeah.\A telepathic kiss.\Telepathic kiss?\It's true that I could see what she was thinking then, for a second.\Come to think of it, doesn't Hana only kiss the captain when he's asleep? response:	If Hana does have that peculiarity...
context: we can feel what they're thinking, to an extent.\A kind of telepathy?\Yeah.\A telepathic kiss.\Telepathic kiss?\It's true that I could see what she was thinking then, for a second.\Come to think of it, doesn't Hana only kiss the captain when he's asleep?\If Hana does have that peculiarity... response:	Why are you crying?
context: A kind of telepathy?\Yeah.\A telepathic kiss.\Telepathic kiss?\It's true that I could see what she was thinking then, for a second.\Come to think of it, doesn't Hana only kiss the captain when he's asleep?\If Hana does have that peculiarity...\Why are you crying? response:	Hana?
context: Yeah.\A telepathic kiss.\Telepathic kiss?\It's true that I could see what she was thinking then, for a second.\Come to think of it, doesn't Hana only kiss the captain when he's asleep?\If Hana does have that peculiarity...\Why are you crying?\Hana? response:	I thought I should just kill you...
context: A telepathic kiss.\Telepathic kiss?\It's true that I could see what she was thinking then, for a second.\Come to think of it, doesn't Hana only kiss the captain when he's asleep?\If Hana does have that peculiarity...\Why are you crying?\Hana?\I thought I should just kill you... response:	I love you, Daichi.
context: Telepathic kiss?\It's true that I could see what she was thinking then, for a second.\Come to think of it, doesn't Hana only kiss the captain when he's asleep?\If Hana does have that peculiarity...\Why are you crying?\Hana?\I thought I should just kill you...\I love you, Daichi. response:	I want to kiss you, Hana.
context: It's true that I could see what she was thinking then, for a second.\Come to think of it, doesn't Hana only kiss the captain when he's asleep?\If Hana does have that peculiarity...\Why are you crying?\Hana?\I thought I should just kill you...\I love you, Daichi.\I want to kiss you, Hana. response:	I can't...
context: Come to think of it, doesn't Hana only kiss the captain when he's asleep?\If Hana does have that peculiarity...\Why are you crying?\Hana?\I thought I should just kill you...\I love you, Daichi.\I want to kiss you, Hana.\I can't... response:	I can't!
context: If Hana does have that peculiarity...\Why are you crying?\Hana?\I thought I should just kill you...\I love you, Daichi.\I want to kiss you, Hana.\I can't...\I can't! response:	If you knew my real self...
context: Why are you crying?\Hana?\I thought I should just kill you...\I love you, Daichi.\I want to kiss you, Hana.\I can't...\I can't!\If you knew my real self... response:	You'd hate me!
context: Hana?\I thought I should just kill you...\I love you, Daichi.\I want to kiss you, Hana.\I can't...\I can't!\If you knew my real self...\You'd hate me! response:	An emergency call?
context: I thought I should just kill you...\I love you, Daichi.\I want to kiss you, Hana.\I can't...\I can't!\If you knew my real self...\You'd hate me!\An emergency call? response:	Yes? This is Manatsu!
context: I love you, Daichi.\I want to kiss you, Hana.\I can't...\I can't!\If you knew my real self...\You'd hate me!\An emergency call?\Yes? This is Manatsu! response:	Emergency!
context: I want to kiss you, Hana.\I can't...\I can't!\If you knew my real self...\You'd hate me!\An emergency call?\Yes? This is Manatsu!\Emergency! response:	Midsummer's Knights, get here now!
context: I can't...\I can't!\If you knew my real self...\You'd hate me!\An emergency call?\Yes? This is Manatsu!\Emergency!\Midsummer's Knights, get here now! response:	Sir! It's an emergency!
context: I can't!\If you knew my real self...\You'd hate me!\An emergency call?\Yes? This is Manatsu!\Emergency!\Midsummer's Knights, get here now!\Sir! It's an emergency! response:	What's going on?
context: If you knew my real self...\You'd hate me!\An emergency call?\Yes? This is Manatsu!\Emergency!\Midsummer's Knights, get here now!\Sir! It's an emergency!\What's going on? response:	The Seton Company's modified asteroid, Legacy,
context: You'd hate me!\An emergency call?\Yes? This is Manatsu!\Emergency!\Midsummer's Knights, get here now!\Sir! It's an emergency!\What's going on?\The Seton Company's modified asteroid, Legacy, response:	in halo orbit around L1, has fired its engines.
context: An emergency call?\Yes? This is Manatsu!\Emergency!\Midsummer's Knights, get here now!\Sir! It's an emergency!\What's going on?\The Seton Company's modified asteroid, Legacy,\in halo orbit around L1, has fired its engines. response:	It's starting to accelerate toward Earth.
context: Yes? This is Manatsu!\Emergency!\Midsummer's Knights, get here now!\Sir! It's an emergency!\What's going on?\The Seton Company's modified asteroid, Legacy,\in halo orbit around L1, has fired its engines.\It's starting to accelerate toward Earth. response:	It's been a little over a dozen hours since Legacy went out of control.
context: Emergency!\Midsummer's Knights, get here now!\Sir! It's an emergency!\What's going on?\The Seton Company's modified asteroid, Legacy,\in halo orbit around L1, has fired its engines.\It's starting to accelerate toward Earth.\It's been a little over a dozen hours since Legacy went out of control. response:	It's less than a hundred meters in diameter.
context: Midsummer's Knights, get here now!\Sir! It's an emergency!\What's going on?\The Seton Company's modified asteroid, Legacy,\in halo orbit around L1, has fired its engines.\It's starting to accelerate toward Earth.\It's been a little over a dozen hours since Legacy went out of control.\It's less than a hundred meters in diameter. response:	Something that small can't be detected
context: Sir! It's an emergency!\What's going on?\The Seton Company's modified asteroid, Legacy,\in halo orbit around L1, has fired its engines.\It's starting to accelerate toward Earth.\It's been a little over a dozen hours since Legacy went out of control.\It's less than a hundred meters in diameter.\Something that small can't be detected response:	by the space guard's early warning system!
context: What's going on?\The Seton Company's modified asteroid, Legacy,\in halo orbit around L1, has fired its engines.\It's starting to accelerate toward Earth.\It's been a little over a dozen hours since Legacy went out of control.\It's less than a hundred meters in diameter.\Something that small can't be detected\by the space guard's early warning system! response:	Legacy will crash into Earth?
context: The Seton Company's modified asteroid, Legacy,\in halo orbit around L1, has fired its engines.\It's starting to accelerate toward Earth.\It's been a little over a dozen hours since Legacy went out of control.\It's less than a hundred meters in diameter.\Something that small can't be detected\by the space guard's early warning system!\Legacy will crash into Earth? response:	Legacy sighted.
context: in halo orbit around L1, has fired its engines.\It's starting to accelerate toward Earth.\It's been a little over a dozen hours since Legacy went out of control.\It's less than a hundred meters in diameter.\Something that small can't be detected\by the space guard's early warning system!\Legacy will crash into Earth?\Legacy sighted. response:	Verifying predicted point of impact.
context: It's starting to accelerate toward Earth.\It's been a little over a dozen hours since Legacy went out of control.\It's less than a hundred meters in diameter.\Something that small can't be detected\by the space guard's early warning system!\Legacy will crash into Earth?\Legacy sighted.\Verifying predicted point of impact. response:	I've got it.
context: It's been a little over a dozen hours since Legacy went out of control.\It's less than a hundred meters in diameter.\Something that small can't be detected\by the space guard's early warning system!\Legacy will crash into Earth?\Legacy sighted.\Verifying predicted point of impact.\I've got it. response:	The south end of Japan... Tanegashima!
context: It's less than a hundred meters in diameter.\Something that small can't be detected\by the space guard's early warning system!\Legacy will crash into Earth?\Legacy sighted.\Verifying predicted point of impact.\I've got it.\The south end of Japan... Tanegashima! response:	What?
context: Something that small can't be detected\by the space guard's early warning system!\Legacy will crash into Earth?\Legacy sighted.\Verifying predicted point of impact.\I've got it.\The south end of Japan... Tanegashima!\What? response:	Less than 420 seconds to impact!
context: by the space guard's early warning system!\Legacy will crash into Earth?\Legacy sighted.\Verifying predicted point of impact.\I've got it.\The south end of Japan... Tanegashima!\What?\Less than 420 seconds to impact! response:	The Legacy satellite weighs around 100,000 tons.
context: Legacy will crash into Earth?\Legacy sighted.\Verifying predicted point of impact.\I've got it.\The south end of Japan... Tanegashima!\What?\Less than 420 seconds to impact!\The Legacy satellite weighs around 100,000 tons. response:	If it crashes, the energy output will be in the megatons.
context: Legacy sighted.\Verifying predicted point of impact.\I've got it.\The south end of Japan... Tanegashima!\What?\Less than 420 seconds to impact!\The Legacy satellite weighs around 100,000 tons.\If it crashes, the energy output will be in the megatons. response:	This base... No, all of Tanegashima will be destroyed!
context: Verifying predicted point of impact.\I've got it.\The south end of Japan... Tanegashima!\What?\Less than 420 seconds to impact!\The Legacy satellite weighs around 100,000 tons.\If it crashes, the energy output will be in the megatons.\This base... No, all of Tanegashima will be destroyed! response:	Is this an attack by them?
context: I've got it.\The south end of Japan... Tanegashima!\What?\Less than 420 seconds to impact!\The Legacy satellite weighs around 100,000 tons.\If it crashes, the energy output will be in the megatons.\This base... No, all of Tanegashima will be destroyed!\Is this an attack by them? response:	The Legacy is our stock satellite.
context: The south end of Japan... Tanegashima!\What?\Less than 420 seconds to impact!\The Legacy satellite weighs around 100,000 tons.\If it crashes, the energy output will be in the megatons.\This base... No, all of Tanegashima will be destroyed!\Is this an attack by them?\The Legacy is our stock satellite. response:	It's where we've kept the materials needed for the Kivotos Plan.
context: What?\Less than 420 seconds to impact!\The Legacy satellite weighs around 100,000 tons.\If it crashes, the energy output will be in the megatons.\This base... No, all of Tanegashima will be destroyed!\Is this an attack by them?\The Legacy is our stock satellite.\It's where we've kept the materials needed for the Kivotos Plan. response:	Who's behind this?
context: Less than 420 seconds to impact!\The Legacy satellite weighs around 100,000 tons.\If it crashes, the energy output will be in the megatons.\This base... No, all of Tanegashima will be destroyed!\Is this an attack by them?\The Legacy is our stock satellite.\It's where we've kept the materials needed for the Kivotos Plan.\Who's behind this? response:	The Legacy appears to have been set on a course to strike Tanegashima.
context: The Legacy satellite weighs around 100,000 tons.\If it crashes, the energy output will be in the megatons.\This base... No, all of Tanegashima will be destroyed!\Is this an attack by them?\The Legacy is our stock satellite.\It's where we've kept the materials needed for the Kivotos Plan.\Who's behind this?\The Legacy appears to have been set on a course to strike Tanegashima. response:	They're after the Globe base?
context: If it crashes, the energy output will be in the megatons.\This base... No, all of Tanegashima will be destroyed!\Is this an attack by them?\The Legacy is our stock satellite.\It's where we've kept the materials needed for the Kivotos Plan.\Who's behind this?\The Legacy appears to have been set on a course to strike Tanegashima.\They're after the Globe base? response:	Likely, yes.
context: This base... No, all of Tanegashima will be destroyed!\Is this an attack by them?\The Legacy is our stock satellite.\It's where we've kept the materials needed for the Kivotos Plan.\Who's behind this?\The Legacy appears to have been set on a course to strike Tanegashima.\They're after the Globe base?\Likely, yes. response:	What's going on?
context: Is this an attack by them?\The Legacy is our stock satellite.\It's where we've kept the materials needed for the Kivotos Plan.\Who's behind this?\The Legacy appears to have been set on a course to strike Tanegashima.\They're after the Globe base?\Likely, yes.\What's going on? response:	No one can stop it now.
context: The Legacy is our stock satellite.\It's where we've kept the materials needed for the Kivotos Plan.\Who's behind this?\The Legacy appears to have been set on a course to strike Tanegashima.\They're after the Globe base?\Likely, yes.\What's going on?\No one can stop it now. response:	The low-orbit Impacters?
context: It's where we've kept the materials needed for the Kivotos Plan.\Who's behind this?\The Legacy appears to have been set on a course to strike Tanegashima.\They're after the Globe base?\Likely, yes.\What's going on?\No one can stop it now.\The low-orbit Impacters? response:	Citronnier is the closest!
context: Who's behind this?\The Legacy appears to have been set on a course to strike Tanegashima.\They're after the Globe base?\Likely, yes.\What's going on?\No one can stop it now.\The low-orbit Impacters?\Citronnier is the closest! response:	It won't be able to intercept it.
context: The Legacy appears to have been set on a course to strike Tanegashima.\They're after the Globe base?\Likely, yes.\What's going on?\No one can stop it now.\The low-orbit Impacters?\Citronnier is the closest!\It won't be able to intercept it. response:	A 100,000-ton satellite is heading straight toward Tanegashima.
context: They're after the Globe base?\Likely, yes.\What's going on?\No one can stop it now.\The low-orbit Impacters?\Citronnier is the closest!\It won't be able to intercept it.\A 100,000-ton satellite is heading straight toward Tanegashima. response:	Can we intercept?
context: Likely, yes.\What's going on?\No one can stop it now.\The low-orbit Impacters?\Citronnier is the closest!\It won't be able to intercept it.\A 100,000-ton satellite is heading straight toward Tanegashima.\Can we intercept? response:	It's already moving six kilometers per second...
context: What's going on?\No one can stop it now.\The low-orbit Impacters?\Citronnier is the closest!\It won't be able to intercept it.\A 100,000-ton satellite is heading straight toward Tanegashima.\Can we intercept?\It's already moving six kilometers per second... response:	With that much kinetic energy, even if we destroy it,
context: No one can stop it now.\The low-orbit Impacters?\Citronnier is the closest!\It won't be able to intercept it.\A 100,000-ton satellite is heading straight toward Tanegashima.\Can we intercept?\It's already moving six kilometers per second...\With that much kinetic energy, even if we destroy it, response:	it won't change the damage it does!
context: The low-orbit Impacters?\Citronnier is the closest!\It won't be able to intercept it.\A 100,000-ton satellite is heading straight toward Tanegashima.\Can we intercept?\It's already moving six kilometers per second...\With that much kinetic energy, even if we destroy it,\it won't change the damage it does! response:	Commander...
context: Citronnier is the closest!\It won't be able to intercept it.\A 100,000-ton satellite is heading straight toward Tanegashima.\Can we intercept?\It's already moving six kilometers per second...\With that much kinetic energy, even if we destroy it,\it won't change the damage it does!\Commander... response:	Tell the staff in the underground blocks to stay there!
context: It won't be able to intercept it.\A 100,000-ton satellite is heading straight toward Tanegashima.\Can we intercept?\It's already moving six kilometers per second...\With that much kinetic energy, even if we destroy it,\it won't change the damage it does!\Commander...\Tell the staff in the underground blocks to stay there! response:	Is there no way to evacuate the civilians?
context: A 100,000-ton satellite is heading straight toward Tanegashima.\Can we intercept?\It's already moving six kilometers per second...\With that much kinetic energy, even if we destroy it,\it won't change the damage it does!\Commander...\Tell the staff in the underground blocks to stay there!\Is there no way to evacuate the civilians? response:	150 seconds to impact!
context: Can we intercept?\It's already moving six kilometers per second...\With that much kinetic energy, even if we destroy it,\it won't change the damage it does!\Commander...\Tell the staff in the underground blocks to stay there!\Is there no way to evacuate the civilians?\150 seconds to impact! response:	There's no time!
context: It's already moving six kilometers per second...\With that much kinetic energy, even if we destroy it,\it won't change the damage it does!\Commander...\Tell the staff in the underground blocks to stay there!\Is there no way to evacuate the civilians?\150 seconds to impact!\There's no time! response:	Hana!
context: With that much kinetic energy, even if we destroy it,\it won't change the damage it does!\Commander...\Tell the staff in the underground blocks to stay there!\Is there no way to evacuate the civilians?\150 seconds to impact!\There's no time!\Hana! response:	What?
context: it won't change the damage it does!\Commander...\Tell the staff in the underground blocks to stay there!\Is there no way to evacuate the civilians?\150 seconds to impact!\There's no time!\Hana!\What? response:	I'm detecting a high-intensity heat source coming from the Tanegashima coast!
context: Commander...\Tell the staff in the underground blocks to stay there!\Is there no way to evacuate the civilians?\150 seconds to impact!\There's no time!\Hana!\What?\I'm detecting a high-intensity heat source coming from the Tanegashima coast! response:	The Blume?
context: Tell the staff in the underground blocks to stay there!\Is there no way to evacuate the civilians?\150 seconds to impact!\There's no time!\Hana!\What?\I'm detecting a high-intensity heat source coming from the Tanegashima coast!\The Blume? response:	The Legacy satellite has been destroyed.
context: Is there no way to evacuate the civilians?\150 seconds to impact!\There's no time!\Hana!\What?\I'm detecting a high-intensity heat source coming from the Tanegashima coast!\The Blume?\The Legacy satellite has been destroyed. response:	The Blume's beam weapon?
context: 150 seconds to impact!\There's no time!\Hana!\What?\I'm detecting a high-intensity heat source coming from the Tanegashima coast!\The Blume?\The Legacy satellite has been destroyed.\The Blume's beam weapon? response:	The Blume?
