context: Deep in the woods, there was a training facility. response:	Amazing...
context: That's not your fault.\Number one was a space alien.\That's Black Lizard Planet native.\So has Miss Ange always been like this?\She was odd for as long as I've known her.\And you were normal.\Are you calling me average?\It's not an insult. response:	Of course.
context: Number one was a space alien.\That's Black Lizard Planet native.\So has Miss Ange always been like this?\She was odd for as long as I've known her.\And you were normal.\Are you calling me average?\It's not an insult.\Of course. response:	You don't care about people enough to insult them.
context: That's Black Lizard Planet native.\So has Miss Ange always been like this?\She was odd for as long as I've known her.\And you were normal.\Are you calling me average?\It's not an insult.\Of course.\You don't care about people enough to insult them. response:	So they don't get along?
context: So has Miss Ange always been like this?\She was odd for as long as I've known her.\And you were normal.\Are you calling me average?\It's not an insult.\Of course.\You don't care about people enough to insult them.\So they don't get along? response:	Well, they were rivals.
context: She was odd for as long as I've known her.\And you were normal.\Are you calling me average?\It's not an insult.\Of course.\You don't care about people enough to insult them.\So they don't get along?\Well, they were rivals. response:	Please excuse me.
context: And you were normal.\Are you calling me average?\It's not an insult.\Of course.\You don't care about people enough to insult them.\So they don't get along?\Well, they were rivals.\Please excuse me. response:	Aww, you're leaving?
context: Are you calling me average?\It's not an insult.\Of course.\You don't care about people enough to insult them.\So they don't get along?\Well, they were rivals.\Please excuse me.\Aww, you're leaving? response:	I'm going to the powder room. Don't make me say it.
context: It's not an insult.\Of course.\You don't care about people enough to insult them.\So they don't get along?\Well, they were rivals.\Please excuse me.\Aww, you're leaving?\I'm going to the powder room. Don't make me say it. response:	Have fun!
context: Of course.\You don't care about people enough to insult them.\So they don't get along?\Well, they were rivals.\Please excuse me.\Aww, you're leaving?\I'm going to the powder room. Don't make me say it.\Have fun! response:	You never change, do you?
context: You don't care about people enough to insult them.\So they don't get along?\Well, they were rivals.\Please excuse me.\Aww, you're leaving?\I'm going to the powder room. Don't make me say it.\Have fun!\You never change, do you? response:	Oh?
context: So they don't get along?\Well, they were rivals.\Please excuse me.\Aww, you're leaving?\I'm going to the powder room. Don't make me say it.\Have fun!\You never change, do you?\Oh? response:	Where are the others?
context: Well, they were rivals.\Please excuse me.\Aww, you're leaving?\I'm going to the powder room. Don't make me say it.\Have fun!\You never change, do you?\Oh?\Where are the others? response:	I sent the children home.
context: Please excuse me.\Aww, you're leaving?\I'm going to the powder room. Don't make me say it.\Have fun!\You never change, do you?\Oh?\Where are the others?\I sent the children home. response:	But the night's still young.
context: Aww, you're leaving?\I'm going to the powder room. Don't make me say it.\Have fun!\You never change, do you?\Oh?\Where are the others?\I sent the children home.\But the night's still young. response:	Drink with me.
context: I'm going to the powder room. Don't make me say it.\Have fun!\You never change, do you?\Oh?\Where are the others?\I sent the children home.\But the night's still young.\Drink with me. response:	Alright.
context: Have fun!\You never change, do you?\Oh?\Where are the others?\I sent the children home.\But the night's still young.\Drink with me.\Alright. response:	A double agent?
context: You never change, do you?\Oh?\Where are the others?\I sent the children home.\But the night's still young.\Drink with me.\Alright.\A double agent? response:	There's a possibility.
context: Oh?\Where are the others?\I sent the children home.\But the night's still young.\Drink with me.\Alright.\A double agent?\There's a possibility. response:	Our real mission is to find out whether or not she's betrayed us.
context: Where are the others?\I sent the children home.\But the night's still young.\Drink with me.\Alright.\A double agent?\There's a possibility.\Our real mission is to find out whether or not she's betrayed us. response:	Why didn't you tell me?
context: I sent the children home.\But the night's still young.\Drink with me.\Alright.\A double agent?\There's a possibility.\Our real mission is to find out whether or not she's betrayed us.\Why didn't you tell me? response:	Because we wanted to avoid raising her suspicions as much as possible.
context: But the night's still young.\Drink with me.\Alright.\A double agent?\There's a possibility.\Our real mission is to find out whether or not she's betrayed us.\Why didn't you tell me?\Because we wanted to avoid raising her suspicions as much as possible. response:	You would have acted differently.
context: Drink with me.\Alright.\A double agent?\There's a possibility.\Our real mission is to find out whether or not she's betrayed us.\Why didn't you tell me?\Because we wanted to avoid raising her suspicions as much as possible.\You would have acted differently. response:	That may be true, but...
context: Alright.\A double agent?\There's a possibility.\Our real mission is to find out whether or not she's betrayed us.\Why didn't you tell me?\Because we wanted to avoid raising her suspicions as much as possible.\You would have acted differently.\That may be true, but... response:	This is it.
context: A double agent?\There's a possibility.\Our real mission is to find out whether or not she's betrayed us.\Why didn't you tell me?\Because we wanted to avoid raising her suspicions as much as possible.\You would have acted differently.\That may be true, but...\This is it. response:	Where are we?
context: There's a possibility.\Our real mission is to find out whether or not she's betrayed us.\Why didn't you tell me?\Because we wanted to avoid raising her suspicions as much as possible.\You would have acted differently.\That may be true, but...\This is it.\Where are we? response:	Prefect's boarding house.
context: Our real mission is to find out whether or not she's betrayed us.\Why didn't you tell me?\Because we wanted to avoid raising her suspicions as much as possible.\You would have acted differently.\That may be true, but...\This is it.\Where are we?\Prefect's boarding house. response:	Cheers!
context: Why didn't you tell me?\Because we wanted to avoid raising her suspicions as much as possible.\You would have acted differently.\That may be true, but...\This is it.\Where are we?\Prefect's boarding house.\Cheers! response:	That's 21.
context: Because we wanted to avoid raising her suspicions as much as possible.\You would have acted differently.\That may be true, but...\This is it.\Where are we?\Prefect's boarding house.\Cheers!\That's 21. response:	You're still counting?
context: You would have acted differently.\That may be true, but...\This is it.\Where are we?\Prefect's boarding house.\Cheers!\That's 21.\You're still counting? response:	Do you remember?
context: That may be true, but...\This is it.\Where are we?\Prefect's boarding house.\Cheers!\That's 21.\You're still counting?\Do you remember? response:	The Christmas exam.
context: This is it.\Where are we?\Prefect's boarding house.\Cheers!\That's 21.\You're still counting?\Do you remember?\The Christmas exam. response:	Exam?
context: Where are we?\Prefect's boarding house.\Cheers!\That's 21.\You're still counting?\Do you remember?\The Christmas exam.\Exam? response:	Oh yeah, I remember.
context: Prefect's boarding house.\Cheers!\That's 21.\You're still counting?\Do you remember?\The Christmas exam.\Exam?\Oh yeah, I remember. response:	You, Ange, and I were all on a team together.
context: Cheers!\That's 21.\You're still counting?\Do you remember?\The Christmas exam.\Exam?\Oh yeah, I remember.\You, Ange, and I were all on a team together. response:	You lost sight of the target?
context: That's 21.\You're still counting?\Do you remember?\The Christmas exam.\Exam?\Oh yeah, I remember.\You, Ange, and I were all on a team together.\You lost sight of the target? response:	I'm so sorry!
context: You're still counting?\Do you remember?\The Christmas exam.\Exam?\Oh yeah, I remember.\You, Ange, and I were all on a team together.\You lost sight of the target?\I'm so sorry! response:	We'll never pass the exam now.
context: Do you remember?\The Christmas exam.\Exam?\Oh yeah, I remember.\You, Ange, and I were all on a team together.\You lost sight of the target?\I'm so sorry!\We'll never pass the exam now. response:	All because I failed!
context: The Christmas exam.\Exam?\Oh yeah, I remember.\You, Ange, and I were all on a team together.\You lost sight of the target?\I'm so sorry!\We'll never pass the exam now.\All because I failed! response:	We just have to find them again-
context: Exam?\Oh yeah, I remember.\You, Ange, and I were all on a team together.\You lost sight of the target?\I'm so sorry!\We'll never pass the exam now.\All because I failed!\We just have to find them again- response:	The exam ends tonight!
context: Oh yeah, I remember.\You, Ange, and I were all on a team together.\You lost sight of the target?\I'm so sorry!\We'll never pass the exam now.\All because I failed!\We just have to find them again-\The exam ends tonight! response:	Finding one person in a city like this...
context: You, Ange, and I were all on a team together.\You lost sight of the target?\I'm so sorry!\We'll never pass the exam now.\All because I failed!\We just have to find them again-\The exam ends tonight!\Finding one person in a city like this... response:	it's like looking for a leaf in the forest!
context: You lost sight of the target?\I'm so sorry!\We'll never pass the exam now.\All because I failed!\We just have to find them again-\The exam ends tonight!\Finding one person in a city like this...\it's like looking for a leaf in the forest! response:	Well, I guess that's true.
context: I'm so sorry!\We'll never pass the exam now.\All because I failed!\We just have to find them again-\The exam ends tonight!\Finding one person in a city like this...\it's like looking for a leaf in the forest!\Well, I guess that's true. response:	In that case...
context: We'll never pass the exam now.\All because I failed!\We just have to find them again-\The exam ends tonight!\Finding one person in a city like this...\it's like looking for a leaf in the forest!\Well, I guess that's true.\In that case... response:	let's go have fun!
context: All because I failed!\We just have to find them again-\The exam ends tonight!\Finding one person in a city like this...\it's like looking for a leaf in the forest!\Well, I guess that's true.\In that case...\let's go have fun! response:	What?
context: We just have to find them again-\The exam ends tonight!\Finding one person in a city like this...\it's like looking for a leaf in the forest!\Well, I guess that's true.\In that case...\let's go have fun!\What? response:	They don't let us out of the Farm every day.
context: The exam ends tonight!\Finding one person in a city like this...\it's like looking for a leaf in the forest!\Well, I guess that's true.\In that case...\let's go have fun!\What?\They don't let us out of the Farm every day. response:	And I think the traveling funfair is in town.
context: Finding one person in a city like this...\it's like looking for a leaf in the forest!\Well, I guess that's true.\In that case...\let's go have fun!\What?\They don't let us out of the Farm every day.\And I think the traveling funfair is in town. response:	What are you thinking? We're in the middle of an exam!
context: it's like looking for a leaf in the forest!\Well, I guess that's true.\In that case...\let's go have fun!\What?\They don't let us out of the Farm every day.\And I think the traveling funfair is in town.\What are you thinking? We're in the middle of an exam! response:	But we've already failed, right?
context: Well, I guess that's true.\In that case...\let's go have fun!\What?\They don't let us out of the Farm every day.\And I think the traveling funfair is in town.\What are you thinking? We're in the middle of an exam!\But we've already failed, right? response:	I thought you were a blithering idiot.
context: In that case...\let's go have fun!\What?\They don't let us out of the Farm every day.\And I think the traveling funfair is in town.\What are you thinking? We're in the middle of an exam!\But we've already failed, right?\I thought you were a blithering idiot. response:	But you did go to the funfair with me.
context: let's go have fun!\What?\They don't let us out of the Farm every day.\And I think the traveling funfair is in town.\What are you thinking? We're in the middle of an exam!\But we've already failed, right?\I thought you were a blithering idiot.\But you did go to the funfair with me. response:	I was desperate.
context: What?\They don't let us out of the Farm every day.\And I think the traveling funfair is in town.\What are you thinking? We're in the middle of an exam!\But we've already failed, right?\I thought you were a blithering idiot.\But you did go to the funfair with me.\I was desperate. response:	I was sure I was going to be expelled.
context: They don't let us out of the Farm every day.\And I think the traveling funfair is in town.\What are you thinking? We're in the middle of an exam!\But we've already failed, right?\I thought you were a blithering idiot.\But you did go to the funfair with me.\I was desperate.\I was sure I was going to be expelled. response:	You really believed them when they said they'd expel us if we failed the test.
context: And I think the traveling funfair is in town.\What are you thinking? We're in the middle of an exam!\But we've already failed, right?\I thought you were a blithering idiot.\But you did go to the funfair with me.\I was desperate.\I was sure I was going to be expelled.\You really believed them when they said they'd expel us if we failed the test. response:	But of course, while we were out fooling around, Ange went and found our target.
context: What are you thinking? We're in the middle of an exam!\But we've already failed, right?\I thought you were a blithering idiot.\But you did go to the funfair with me.\I was desperate.\I was sure I was going to be expelled.\You really believed them when they said they'd expel us if we failed the test.\But of course, while we were out fooling around, Ange went and found our target. response:	She's a natural, that girl.
context: But we've already failed, right?\I thought you were a blithering idiot.\But you did go to the funfair with me.\I was desperate.\I was sure I was going to be expelled.\You really believed them when they said they'd expel us if we failed the test.\But of course, while we were out fooling around, Ange went and found our target.\She's a natural, that girl. response:	That's the first time I've ever heard you say anything nice about Ange.
context: I thought you were a blithering idiot.\But you did go to the funfair with me.\I was desperate.\I was sure I was going to be expelled.\You really believed them when they said they'd expel us if we failed the test.\But of course, while we were out fooling around, Ange went and found our target.\She's a natural, that girl.\That's the first time I've ever heard you say anything nice about Ange. response:	Really?
context: But you did go to the funfair with me.\I was desperate.\I was sure I was going to be expelled.\You really believed them when they said they'd expel us if we failed the test.\But of course, while we were out fooling around, Ange went and found our target.\She's a natural, that girl.\That's the first time I've ever heard you say anything nice about Ange.\Really? response:	That makes me happy.
context: I was desperate.\I was sure I was going to be expelled.\You really believed them when they said they'd expel us if we failed the test.\But of course, while we were out fooling around, Ange went and found our target.\She's a natural, that girl.\That's the first time I've ever heard you say anything nice about Ange.\Really?\That makes me happy. response:	But I'm not sure why.
context: I was sure I was going to be expelled.\You really believed them when they said they'd expel us if we failed the test.\But of course, while we were out fooling around, Ange went and found our target.\She's a natural, that girl.\That's the first time I've ever heard you say anything nice about Ange.\Really?\That makes me happy.\But I'm not sure why. response:	Look at all that snow.
context: You really believed them when they said they'd expel us if we failed the test.\But of course, while we were out fooling around, Ange went and found our target.\She's a natural, that girl.\That's the first time I've ever heard you say anything nice about Ange.\Really?\That makes me happy.\But I'm not sure why.\Look at all that snow. response:	Say, Dorothy.
context: But of course, while we were out fooling around, Ange went and found our target.\She's a natural, that girl.\That's the first time I've ever heard you say anything nice about Ange.\Really?\That makes me happy.\But I'm not sure why.\Look at all that snow.\Say, Dorothy. response:	Have you ever had someone you really looked up to?
context: She's a natural, that girl.\That's the first time I've ever heard you say anything nice about Ange.\Really?\That makes me happy.\But I'm not sure why.\Look at all that snow.\Say, Dorothy.\Have you ever had someone you really looked up to? response:	I have.
context: That's the first time I've ever heard you say anything nice about Ange.\Really?\That makes me happy.\But I'm not sure why.\Look at all that snow.\Say, Dorothy.\Have you ever had someone you really looked up to?\I have. response:	Someone I wanted to be like so badly.
context: Really?\That makes me happy.\But I'm not sure why.\Look at all that snow.\Say, Dorothy.\Have you ever had someone you really looked up to?\I have.\Someone I wanted to be like so badly. response:	But I just couldn't pull it off.
context: That makes me happy.\But I'm not sure why.\Look at all that snow.\Say, Dorothy.\Have you ever had someone you really looked up to?\I have.\Someone I wanted to be like so badly.\But I just couldn't pull it off. response:	Let's pull out.
context: But I'm not sure why.\Look at all that snow.\Say, Dorothy.\Have you ever had someone you really looked up to?\I have.\Someone I wanted to be like so badly.\But I just couldn't pull it off.\Let's pull out. response:	I couldn't find any evidence.
context: Look at all that snow.\Say, Dorothy.\Have you ever had someone you really looked up to?\I have.\Someone I wanted to be like so badly.\But I just couldn't pull it off.\Let's pull out.\I couldn't find any evidence. response:	Alright!
context: Say, Dorothy.\Have you ever had someone you really looked up to?\I have.\Someone I wanted to be like so badly.\But I just couldn't pull it off.\Let's pull out.\I couldn't find any evidence.\Alright! response:	I'm glad your friend's not a double agent.
context: Have you ever had someone you really looked up to?\I have.\Someone I wanted to be like so badly.\But I just couldn't pull it off.\Let's pull out.\I couldn't find any evidence.\Alright!\I'm glad your friend's not a double agent. response:	Correction.
context: I have.\Someone I wanted to be like so badly.\But I just couldn't pull it off.\Let's pull out.\I couldn't find any evidence.\Alright!\I'm glad your friend's not a double agent.\Correction. response:	am not her friend.
context: Someone I wanted to be like so badly.\But I just couldn't pull it off.\Let's pull out.\I couldn't find any evidence.\Alright!\I'm glad your friend's not a double agent.\Correction.\am not her friend. response:	I knew it.
context: But I just couldn't pull it off.\Let's pull out.\I couldn't find any evidence.\Alright!\I'm glad your friend's not a double agent.\Correction.\am not her friend.\I knew it. response:	They came to spy on me.
context: Let's pull out.\I couldn't find any evidence.\Alright!\I'm glad your friend's not a double agent.\Correction.\am not her friend.\I knew it.\They came to spy on me. response:	She's making a move.
context: I couldn't find any evidence.\Alright!\I'm glad your friend's not a double agent.\Correction.\am not her friend.\I knew it.\They came to spy on me.\She's making a move. response:	Prefect...
context: Alright!\I'm glad your friend's not a double agent.\Correction.\am not her friend.\I knew it.\They came to spy on me.\She's making a move.\Prefect... response:	What's going on?
context: I'm glad your friend's not a double agent.\Correction.\am not her friend.\I knew it.\They came to spy on me.\She's making a move.\Prefect...\What's going on? response:	You just said there wasn't any evidence.
context: Correction.\am not her friend.\I knew it.\They came to spy on me.\She's making a move.\Prefect...\What's going on?\You just said there wasn't any evidence. response:	I deliberately left footprints on the trap she had set up.
context: am not her friend.\I knew it.\They came to spy on me.\She's making a move.\Prefect...\What's going on?\You just said there wasn't any evidence.\I deliberately left footprints on the trap she had set up. response:	I figured that if she was up to anything, she would react and make a move.
context: I knew it.\They came to spy on me.\She's making a move.\Prefect...\What's going on?\You just said there wasn't any evidence.\I deliberately left footprints on the trap she had set up.\I figured that if she was up to anything, she would react and make a move. response:	We're going to apprehend her.
context: They came to spy on me.\She's making a move.\Prefect...\What's going on?\You just said there wasn't any evidence.\I deliberately left footprints on the trap she had set up.\I figured that if she was up to anything, she would react and make a move.\We're going to apprehend her. response:	At this time of day, she'd be going to the station.
context: She's making a move.\Prefect...\What's going on?\You just said there wasn't any evidence.\I deliberately left footprints on the trap she had set up.\I figured that if she was up to anything, she would react and make a move.\We're going to apprehend her.\At this time of day, she'd be going to the station. response:	I'll head her off.
context: Prefect...\What's going on?\You just said there wasn't any evidence.\I deliberately left footprints on the trap she had set up.\I figured that if she was up to anything, she would react and make a move.\We're going to apprehend her.\At this time of day, she'd be going to the station.\I'll head her off. response:	You two go after her.
context: What's going on?\You just said there wasn't any evidence.\I deliberately left footprints on the trap she had set up.\I figured that if she was up to anything, she would react and make a move.\We're going to apprehend her.\At this time of day, she'd be going to the station.\I'll head her off.\You two go after her. response:	We'll have her surrounded when she gets to the station.
context: You just said there wasn't any evidence.\I deliberately left footprints on the trap she had set up.\I figured that if she was up to anything, she would react and make a move.\We're going to apprehend her.\At this time of day, she'd be going to the station.\I'll head her off.\You two go after her.\We'll have her surrounded when she gets to the station. response:	You're not going to use the C-ball?
context: I deliberately left footprints on the trap she had set up.\I figured that if she was up to anything, she would react and make a move.\We're going to apprehend her.\At this time of day, she'd be going to the station.\I'll head her off.\You two go after her.\We'll have her surrounded when she gets to the station.\You're not going to use the C-ball? response:	I want to save it for a last resort.
context: I figured that if she was up to anything, she would react and make a move.\We're going to apprehend her.\At this time of day, she'd be going to the station.\I'll head her off.\You two go after her.\We'll have her surrounded when she gets to the station.\You're not going to use the C-ball?\I want to save it for a last resort. response:	Why would you do this, Prefect?
context: We're going to apprehend her.\At this time of day, she'd be going to the station.\I'll head her off.\You two go after her.\We'll have her surrounded when she gets to the station.\You're not going to use the C-ball?\I want to save it for a last resort.\Why would you do this, Prefect? response:	We've caught up to her.
context: At this time of day, she'd be going to the station.\I'll head her off.\You two go after her.\We'll have her surrounded when she gets to the station.\You're not going to use the C-ball?\I want to save it for a last resort.\Why would you do this, Prefect?\We've caught up to her. response:	Now we just make sure she doesn't see-
context: I'll head her off.\You two go after her.\We'll have her surrounded when she gets to the station.\You're not going to use the C-ball?\I want to save it for a last resort.\Why would you do this, Prefect?\We've caught up to her.\Now we just make sure she doesn't see- response:	Miss Ange?
context: You two go after her.\We'll have her surrounded when she gets to the station.\You're not going to use the C-ball?\I want to save it for a last resort.\Why would you do this, Prefect?\We've caught up to her.\Now we just make sure she doesn't see-\Miss Ange? response:	I give up.
context: We'll have her surrounded when she gets to the station.\You're not going to use the C-ball?\I want to save it for a last resort.\Why would you do this, Prefect?\We've caught up to her.\Now we just make sure she doesn't see-\Miss Ange?\I give up. response:	This whole thing was a setup, and I fell for it.
context: You're not going to use the C-ball?\I want to save it for a last resort.\Why would you do this, Prefect?\We've caught up to her.\Now we just make sure she doesn't see-\Miss Ange?\I give up.\This whole thing was a setup, and I fell for it. response:	I won't ask why you betrayed us.
context: I want to save it for a last resort.\Why would you do this, Prefect?\We've caught up to her.\Now we just make sure she doesn't see-\Miss Ange?\I give up.\This whole thing was a setup, and I fell for it.\I won't ask why you betrayed us. response:	That's not part of the assignment.
context: Why would you do this, Prefect?\We've caught up to her.\Now we just make sure she doesn't see-\Miss Ange?\I give up.\This whole thing was a setup, and I fell for it.\I won't ask why you betrayed us.\That's not part of the assignment. response:	And I'm sure you wouldn't let me go just because I asked nicely.
context: We've caught up to her.\Now we just make sure she doesn't see-\Miss Ange?\I give up.\This whole thing was a setup, and I fell for it.\I won't ask why you betrayed us.\That's not part of the assignment.\And I'm sure you wouldn't let me go just because I asked nicely. response:	Don't move!
context: Now we just make sure she doesn't see-\Miss Ange?\I give up.\This whole thing was a setup, and I fell for it.\I won't ask why you betrayed us.\That's not part of the assignment.\And I'm sure you wouldn't let me go just because I asked nicely.\Don't move! response:	Put down the gun and your case, and put your hands in the air.
context: Miss Ange?\I give up.\This whole thing was a setup, and I fell for it.\I won't ask why you betrayed us.\That's not part of the assignment.\And I'm sure you wouldn't let me go just because I asked nicely.\Don't move!\Put down the gun and your case, and put your hands in the air. response:	You've changed.
context: I give up.\This whole thing was a setup, and I fell for it.\I won't ask why you betrayed us.\That's not part of the assignment.\And I'm sure you wouldn't let me go just because I asked nicely.\Don't move!\Put down the gun and your case, and put your hands in the air.\You've changed. response:	The old you would have ended it with one shot to the back of my head.
context: This whole thing was a setup, and I fell for it.\I won't ask why you betrayed us.\That's not part of the assignment.\And I'm sure you wouldn't let me go just because I asked nicely.\Don't move!\Put down the gun and your case, and put your hands in the air.\You've changed.\The old you would have ended it with one shot to the back of my head. response:	I don't suppose a certain someone planted feelings in the black lizard's heart?
context: I won't ask why you betrayed us.\That's not part of the assignment.\And I'm sure you wouldn't let me go just because I asked nicely.\Don't move!\Put down the gun and your case, and put your hands in the air.\You've changed.\The old you would have ended it with one shot to the back of my head.\I don't suppose a certain someone planted feelings in the black lizard's heart? response:	But...
context: That's not part of the assignment.\And I'm sure you wouldn't let me go just because I asked nicely.\Don't move!\Put down the gun and your case, and put your hands in the air.\You've changed.\The old you would have ended it with one shot to the back of my head.\I don't suppose a certain someone planted feelings in the black lizard's heart?\But... response:	Gunfire?
context: And I'm sure you wouldn't let me go just because I asked nicely.\Don't move!\Put down the gun and your case, and put your hands in the air.\You've changed.\The old you would have ended it with one shot to the back of my head.\I don't suppose a certain someone planted feelings in the black lizard's heart?\But...\Gunfire? response:	She didn't!
context: Don't move!\Put down the gun and your case, and put your hands in the air.\You've changed.\The old you would have ended it with one shot to the back of my head.\I don't suppose a certain someone planted feelings in the black lizard's heart?\But...\Gunfire?\She didn't! response:	The new you is a sitting duck!
context: Put down the gun and your case, and put your hands in the air.\You've changed.\The old you would have ended it with one shot to the back of my head.\I don't suppose a certain someone planted feelings in the black lizard's heart?\But...\Gunfire?\She didn't!\The new you is a sitting duck! response:	Miss Ange!
context: You've changed.\The old you would have ended it with one shot to the back of my head.\I don't suppose a certain someone planted feelings in the black lizard's heart?\But...\Gunfire?\She didn't!\The new you is a sitting duck!\Miss Ange! response:	Stay back.
context: The old you would have ended it with one shot to the back of my head.\I don't suppose a certain someone planted feelings in the black lizard's heart?\But...\Gunfire?\She didn't!\The new you is a sitting duck!\Miss Ange!\Stay back. response:	You'll get burned.
context: I don't suppose a certain someone planted feelings in the black lizard's heart?\But...\Gunfire?\She didn't!\The new you is a sitting duck!\Miss Ange!\Stay back.\You'll get burned. response:	Ange! Beatrice!
context: But...\Gunfire?\She didn't!\The new you is a sitting duck!\Miss Ange!\Stay back.\You'll get burned.\Ange! Beatrice! response:	What happened? Did she spot you?
context: Gunfire?\She didn't!\The new you is a sitting duck!\Miss Ange!\Stay back.\You'll get burned.\Ange! Beatrice!\What happened? Did she spot you? response:	No, er...
context: She didn't!\The new you is a sitting duck!\Miss Ange!\Stay back.\You'll get burned.\Ange! Beatrice!\What happened? Did she spot you?\No, er... response:	We brought the fight to her... you might say...
context: The new you is a sitting duck!\Miss Ange!\Stay back.\You'll get burned.\Ange! Beatrice!\What happened? Did she spot you?\No, er...\We brought the fight to her... you might say... response:	Ange!
context: Miss Ange!\Stay back.\You'll get burned.\Ange! Beatrice!\What happened? Did she spot you?\No, er...\We brought the fight to her... you might say...\Ange! response:	I told you we'd surround her! Why didn't you wait?
context: Stay back.\You'll get burned.\Ange! Beatrice!\What happened? Did she spot you?\No, er...\We brought the fight to her... you might say...\Ange!\I told you we'd surround her! Why didn't you wait? response:	I wanted to ensure the mission's success.
context: You'll get burned.\Ange! Beatrice!\What happened? Did she spot you?\No, er...\We brought the fight to her... you might say...\Ange!\I told you we'd surround her! Why didn't you wait?\I wanted to ensure the mission's success. response:	Did you think you could beat our prefect all by yourself?
context: Ange! Beatrice!\What happened? Did she spot you?\No, er...\We brought the fight to her... you might say...\Ange!\I told you we'd surround her! Why didn't you wait?\I wanted to ensure the mission's success.\Did you think you could beat our prefect all by yourself? response:	Or were you trying to prove which one of you was really the better spy?
context: What happened? Did she spot you?\No, er...\We brought the fight to her... you might say...\Ange!\I told you we'd surround her! Why didn't you wait?\I wanted to ensure the mission's success.\Did you think you could beat our prefect all by yourself?\Or were you trying to prove which one of you was really the better spy? response:	Answer me, Ange!
context: No, er...\We brought the fight to her... you might say...\Ange!\I told you we'd surround her! Why didn't you wait?\I wanted to ensure the mission's success.\Did you think you could beat our prefect all by yourself?\Or were you trying to prove which one of you was really the better spy?\Answer me, Ange! response:	Excuse me, Miss!
context: We brought the fight to her... you might say...\Ange!\I told you we'd surround her! Why didn't you wait?\I wanted to ensure the mission's success.\Did you think you could beat our prefect all by yourself?\Or were you trying to prove which one of you was really the better spy?\Answer me, Ange!\Excuse me, Miss! response:	Hey!
context: Ange!\I told you we'd surround her! Why didn't you wait?\I wanted to ensure the mission's success.\Did you think you could beat our prefect all by yourself?\Or were you trying to prove which one of you was really the better spy?\Answer me, Ange!\Excuse me, Miss!\Hey! response:	We can't allow this, Young Lady.
context: I told you we'd surround her! Why didn't you wait?\I wanted to ensure the mission's success.\Did you think you could beat our prefect all by yourself?\Or were you trying to prove which one of you was really the better spy?\Answer me, Ange!\Excuse me, Miss!\Hey!\We can't allow this, Young Lady. response:	I'm sorry. I don't suppose you have any vacant compartments?
context: I wanted to ensure the mission's success.\Did you think you could beat our prefect all by yourself?\Or were you trying to prove which one of you was really the better spy?\Answer me, Ange!\Excuse me, Miss!\Hey!\We can't allow this, Young Lady.\I'm sorry. I don't suppose you have any vacant compartments? response:	But of course.
context: Did you think you could beat our prefect all by yourself?\Or were you trying to prove which one of you was really the better spy?\Answer me, Ange!\Excuse me, Miss!\Hey!\We can't allow this, Young Lady.\I'm sorry. I don't suppose you have any vacant compartments?\But of course. response:	Follow me, Miss.
context: Or were you trying to prove which one of you was really the better spy?\Answer me, Ange!\Excuse me, Miss!\Hey!\We can't allow this, Young Lady.\I'm sorry. I don't suppose you have any vacant compartments?\But of course.\Follow me, Miss. response:	Thank you.
context: Answer me, Ange!\Excuse me, Miss!\Hey!\We can't allow this, Young Lady.\I'm sorry. I don't suppose you have any vacant compartments?\But of course.\Follow me, Miss.\Thank you. response:	I would like to get some sleep. Would you please lend me a blanket?
context: Excuse me, Miss!\Hey!\We can't allow this, Young Lady.\I'm sorry. I don't suppose you have any vacant compartments?\But of course.\Follow me, Miss.\Thank you.\I would like to get some sleep. Would you please lend me a blanket? response:	Right away, Miss.
context: Hey!\We can't allow this, Young Lady.\I'm sorry. I don't suppose you have any vacant compartments?\But of course.\Follow me, Miss.\Thank you.\I would like to get some sleep. Would you please lend me a blanket?\Right away, Miss. response:	If we go in a straight line, we'll catch up to her at the bridge.
context: We can't allow this, Young Lady.\I'm sorry. I don't suppose you have any vacant compartments?\But of course.\Follow me, Miss.\Thank you.\I would like to get some sleep. Would you please lend me a blanket?\Right away, Miss.\If we go in a straight line, we'll catch up to her at the bridge. response:	There she is!
context: I'm sorry. I don't suppose you have any vacant compartments?\But of course.\Follow me, Miss.\Thank you.\I would like to get some sleep. Would you please lend me a blanket?\Right away, Miss.\If we go in a straight line, we'll catch up to her at the bridge.\There she is! response:	What took you so long?
context: But of course.\Follow me, Miss.\Thank you.\I would like to get some sleep. Would you please lend me a blanket?\Right away, Miss.\If we go in a straight line, we'll catch up to her at the bridge.\There she is!\What took you so long? response:	Dorothy!
context: Follow me, Miss.\Thank you.\I would like to get some sleep. Would you please lend me a blanket?\Right away, Miss.\If we go in a straight line, we'll catch up to her at the bridge.\There she is!\What took you so long?\Dorothy! response:	How did you...?
context: Thank you.\I would like to get some sleep. Would you please lend me a blanket?\Right away, Miss.\If we go in a straight line, we'll catch up to her at the bridge.\There she is!\What took you so long?\Dorothy!\How did you...? response:	I caught up by car and jumped aboard with the C-ball.
context: I would like to get some sleep. Would you please lend me a blanket?\Right away, Miss.\If we go in a straight line, we'll catch up to her at the bridge.\There she is!\What took you so long?\Dorothy!\How did you...?\I caught up by car and jumped aboard with the C-ball. response:	The C-ball... I'd heard the rumors.
