context: To think that the DRAGON would launch an attack. response:	This Para-mail... It isn't a DRAGON's, is it?
context: A gentle, intelligent humanity with no desire for conflict.\The advanced information technology, Mana,\allowed things to be manipulated with the mind.\This ended suffering of all kinds, and granted wishes of all kinds.\It led to the creation of an ideal state, where anything could be had.\All that was left to do was to watch over humanity's development.\At least, that was the plan.\But there they were. response:	No matter how often the system was rebuilt,
context: The advanced information technology, Mana,\allowed things to be manipulated with the mind.\This ended suffering of all kinds, and granted wishes of all kinds.\It led to the creation of an ideal state, where anything could be had.\All that was left to do was to watch over humanity's development.\At least, that was the plan.\But there they were.\No matter how often the system was rebuilt, response:	some female babies couldn't use Mana.
context: allowed things to be manipulated with the mind.\This ended suffering of all kinds, and granted wishes of all kinds.\It led to the creation of an ideal state, where anything could be had.\All that was left to do was to watch over humanity's development.\At least, that was the plan.\But there they were.\No matter how often the system was rebuilt,\some female babies couldn't use Mana. response:	It was a mutation that expressed an old gene.
context: This ended suffering of all kinds, and granted wishes of all kinds.\It led to the creation of an ideal state, where anything could be had.\All that was left to do was to watch over humanity's development.\At least, that was the plan.\But there they were.\No matter how often the system was rebuilt,\some female babies couldn't use Mana.\It was a mutation that expressed an old gene. response:	This mutation led to fear among the people.
context: It led to the creation of an ideal state, where anything could be had.\All that was left to do was to watch over humanity's development.\At least, that was the plan.\But there they were.\No matter how often the system was rebuilt,\some female babies couldn't use Mana.\It was a mutation that expressed an old gene.\This mutation led to fear among the people. response:	But God decided to take advantage of the mutation.
context: All that was left to do was to watch over humanity's development.\At least, that was the plan.\But there they were.\No matter how often the system was rebuilt,\some female babies couldn't use Mana.\It was a mutation that expressed an old gene.\This mutation led to fear among the people.\But God decided to take advantage of the mutation. response:	He propagated the notion that these girls
context: At least, that was the plan.\But there they were.\No matter how often the system was rebuilt,\some female babies couldn't use Mana.\It was a mutation that expressed an old gene.\This mutation led to fear among the people.\But God decided to take advantage of the mutation.\He propagated the notion that these girls response:	had rejected the world. That they were antisocial monsters,
context: But there they were.\No matter how often the system was rebuilt,\some female babies couldn't use Mana.\It was a mutation that expressed an old gene.\This mutation led to fear among the people.\But God decided to take advantage of the mutation.\He propagated the notion that these girls\had rejected the world. That they were antisocial monsters, response:	bent on destroying it... Normas.
context: No matter how often the system was rebuilt,\some female babies couldn't use Mana.\It was a mutation that expressed an old gene.\This mutation led to fear among the people.\But God decided to take advantage of the mutation.\He propagated the notion that these girls\had rejected the world. That they were antisocial monsters,\bent on destroying it... Normas. response:	The world united for the sake of dealing with the Norma.
context: some female babies couldn't use Mana.\It was a mutation that expressed an old gene.\This mutation led to fear among the people.\But God decided to take advantage of the mutation.\He propagated the notion that these girls\had rejected the world. That they were antisocial monsters,\bent on destroying it... Normas.\The world united for the sake of dealing with the Norma. response:	People took solace in knowing who to discriminate against,
context: It was a mutation that expressed an old gene.\This mutation led to fear among the people.\But God decided to take advantage of the mutation.\He propagated the notion that these girls\had rejected the world. That they were antisocial monsters,\bent on destroying it... Normas.\The world united for the sake of dealing with the Norma.\People took solace in knowing who to discriminate against, response:	and there was stability.
context: This mutation led to fear among the people.\But God decided to take advantage of the mutation.\He propagated the notion that these girls\had rejected the world. That they were antisocial monsters,\bent on destroying it... Normas.\The world united for the sake of dealing with the Norma.\People took solace in knowing who to discriminate against,\and there was stability. response:	Sacrifices, scapegoats, necessary evils...
context: But God decided to take advantage of the mutation.\He propagated the notion that these girls\had rejected the world. That they were antisocial monsters,\bent on destroying it... Normas.\The world united for the sake of dealing with the Norma.\People took solace in knowing who to discriminate against,\and there was stability.\Sacrifices, scapegoats, necessary evils... response:	Call us whatever you want.
context: He propagated the notion that these girls\had rejected the world. That they were antisocial monsters,\bent on destroying it... Normas.\The world united for the sake of dealing with the Norma.\People took solace in knowing who to discriminate against,\and there was stability.\Sacrifices, scapegoats, necessary evils...\Call us whatever you want. response:	We were also just created...
context: had rejected the world. That they were antisocial monsters,\bent on destroying it... Normas.\The world united for the sake of dealing with the Norma.\People took solace in knowing who to discriminate against,\and there was stability.\Sacrifices, scapegoats, necessary evils...\Call us whatever you want.\We were also just created... response:	To bring stability to the world...
context: bent on destroying it... Normas.\The world united for the sake of dealing with the Norma.\People took solace in knowing who to discriminate against,\and there was stability.\Sacrifices, scapegoats, necessary evils...\Call us whatever you want.\We were also just created...\To bring stability to the world... response:	To be discriminated against.
context: The world united for the sake of dealing with the Norma.\People took solace in knowing who to discriminate against,\and there was stability.\Sacrifices, scapegoats, necessary evils...\Call us whatever you want.\We were also just created...\To bring stability to the world...\To be discriminated against. response:	What's wrong? At a loss for words?
context: People took solace in knowing who to discriminate against,\and there was stability.\Sacrifices, scapegoats, necessary evils...\Call us whatever you want.\We were also just created...\To bring stability to the world...\To be discriminated against.\What's wrong? At a loss for words? response:	It's all just so silly.
context: and there was stability.\Sacrifices, scapegoats, necessary evils...\Call us whatever you want.\We were also just created...\To bring stability to the world...\To be discriminated against.\What's wrong? At a loss for words?\It's all just so silly. response:	I'm impressed you could come up with such a stupid story.
context: Sacrifices, scapegoats, necessary evils...\Call us whatever you want.\We were also just created...\To bring stability to the world...\To be discriminated against.\What's wrong? At a loss for words?\It's all just so silly.\I'm impressed you could come up with such a stupid story. response:	I heard it straight from him.
context: Call us whatever you want.\We were also just created...\To bring stability to the world...\To be discriminated against.\What's wrong? At a loss for words?\It's all just so silly.\I'm impressed you could come up with such a stupid story.\I heard it straight from him. response:	So, there's more, isn't there?
context: We were also just created...\To bring stability to the world...\To be discriminated against.\What's wrong? At a loss for words?\It's all just so silly.\I'm impressed you could come up with such a stupid story.\I heard it straight from him.\So, there's more, isn't there? response:	There's no need to hurry me.
context: To bring stability to the world...\To be discriminated against.\What's wrong? At a loss for words?\It's all just so silly.\I'm impressed you could come up with such a stupid story.\I heard it straight from him.\So, there's more, isn't there?\There's no need to hurry me. response:	And so the world of Mana became stable,
context: To be discriminated against.\What's wrong? At a loss for words?\It's all just so silly.\I'm impressed you could come up with such a stupid story.\I heard it straight from him.\So, there's more, isn't there?\There's no need to hurry me.\And so the world of Mana became stable, response:	and it seemed like the beginning of a prosperous history.
context: What's wrong? At a loss for words?\It's all just so silly.\I'm impressed you could come up with such a stupid story.\I heard it straight from him.\So, there's more, isn't there?\There's no need to hurry me.\And so the world of Mana became stable,\and it seemed like the beginning of a prosperous history. response:	But some people wouldn't allow that...
context: It's all just so silly.\I'm impressed you could come up with such a stupid story.\I heard it straight from him.\So, there's more, isn't there?\There's no need to hurry me.\And so the world of Mana became stable,\and it seemed like the beginning of a prosperous history.\But some people wouldn't allow that... response:	The Ancient People.
context: I'm impressed you could come up with such a stupid story.\I heard it straight from him.\So, there's more, isn't there?\There's no need to hurry me.\And so the world of Mana became stable,\and it seemed like the beginning of a prosperous history.\But some people wouldn't allow that...\The Ancient People. response:	Outcast survivors of the old humanity that couldn't use Mana.
context: I heard it straight from him.\So, there's more, isn't there?\There's no need to hurry me.\And so the world of Mana became stable,\and it seemed like the beginning of a prosperous history.\But some people wouldn't allow that...\The Ancient People.\Outcast survivors of the old humanity that couldn't use Mana. response:	They challenged God many times in order to reclaim
context: So, there's more, isn't there?\There's no need to hurry me.\And so the world of Mana became stable,\and it seemed like the beginning of a prosperous history.\But some people wouldn't allow that...\The Ancient People.\Outcast survivors of the old humanity that couldn't use Mana.\They challenged God many times in order to reclaim response:	their place in the world.
context: There's no need to hurry me.\And so the world of Mana became stable,\and it seemed like the beginning of a prosperous history.\But some people wouldn't allow that...\The Ancient People.\Outcast survivors of the old humanity that couldn't use Mana.\They challenged God many times in order to reclaim\their place in the world. response:	After a long war, and grieving for their fallen comrades,
context: And so the world of Mana became stable,\and it seemed like the beginning of a prosperous history.\But some people wouldn't allow that...\The Ancient People.\Outcast survivors of the old humanity that couldn't use Mana.\They challenged God many times in order to reclaim\their place in the world.\After a long war, and grieving for their fallen comrades, response:	they finally captured it.
context: and it seemed like the beginning of a prosperous history.\But some people wouldn't allow that...\The Ancient People.\Outcast survivors of the old humanity that couldn't use Mana.\They challenged God many times in order to reclaim\their place in the world.\After a long war, and grieving for their fallen comrades,\they finally captured it. response:	The weapon of God,
context: But some people wouldn't allow that...\The Ancient People.\Outcast survivors of the old humanity that couldn't use Mana.\They challenged God many times in order to reclaim\their place in the world.\After a long war, and grieving for their fallen comrades,\they finally captured it.\The weapon of God, response:	Ragna-mail.
context: The Ancient People.\Outcast survivors of the old humanity that couldn't use Mana.\They challenged God many times in order to reclaim\their place in the world.\After a long war, and grieving for their fallen comrades,\they finally captured it.\The weapon of God,\Ragna-mail. response:	A mechanical angel of destruction and creation.
context: Outcast survivors of the old humanity that couldn't use Mana.\They challenged God many times in order to reclaim\their place in the world.\After a long war, and grieving for their fallen comrades,\they finally captured it.\The weapon of God,\Ragna-mail.\A mechanical angel of destruction and creation. response:	The ultimate weapon that was the Para-mail's prototype.
context: They challenged God many times in order to reclaim\their place in the world.\After a long war, and grieving for their fallen comrades,\they finally captured it.\The weapon of God,\Ragna-mail.\A mechanical angel of destruction and creation.\The ultimate weapon that was the Para-mail's prototype. response:	That's the Villkiss.
context: their place in the world.\After a long war, and grieving for their fallen comrades,\they finally captured it.\The weapon of God,\Ragna-mail.\A mechanical angel of destruction and creation.\The ultimate weapon that was the Para-mail's prototype.\That's the Villkiss. response:	With it, they could fight just as well God.
context: After a long war, and grieving for their fallen comrades,\they finally captured it.\The weapon of God,\Ragna-mail.\A mechanical angel of destruction and creation.\The ultimate weapon that was the Para-mail's prototype.\That's the Villkiss.\With it, they could fight just as well God. response:	The Ancient People boarded the Villkiss.
context: they finally captured it.\The weapon of God,\Ragna-mail.\A mechanical angel of destruction and creation.\The ultimate weapon that was the Para-mail's prototype.\That's the Villkiss.\With it, they could fight just as well God.\The Ancient People boarded the Villkiss. response:	But they couldn't handle it.
context: The weapon of God,\Ragna-mail.\A mechanical angel of destruction and creation.\The ultimate weapon that was the Para-mail's prototype.\That's the Villkiss.\With it, they could fight just as well God.\The Ancient People boarded the Villkiss.\But they couldn't handle it. response:	It was locked...
context: Ragna-mail.\A mechanical angel of destruction and creation.\The ultimate weapon that was the Para-mail's prototype.\That's the Villkiss.\With it, they could fight just as well God.\The Ancient People boarded the Villkiss.\But they couldn't handle it.\It was locked... response:	So that mere insects couldn't use it.
context: A mechanical angel of destruction and creation.\The ultimate weapon that was the Para-mail's prototype.\That's the Villkiss.\With it, they could fight just as well God.\The Ancient People boarded the Villkiss.\But they couldn't handle it.\It was locked...\So that mere insects couldn't use it. response:	With a mere handful of survivors,
context: The ultimate weapon that was the Para-mail's prototype.\That's the Villkiss.\With it, they could fight just as well God.\The Ancient People boarded the Villkiss.\But they couldn't handle it.\It was locked...\So that mere insects couldn't use it.\With a mere handful of survivors, response:	the Ancient People had only to wait for their own demise.
context: That's the Villkiss.\With it, they could fight just as well God.\The Ancient People boarded the Villkiss.\But they couldn't handle it.\It was locked...\So that mere insects couldn't use it.\With a mere handful of survivors,\the Ancient People had only to wait for their own demise. response:	That's when they found out that Normas sent off to the edge
context: With it, they could fight just as well God.\The Ancient People boarded the Villkiss.\But they couldn't handle it.\It was locked...\So that mere insects couldn't use it.\With a mere handful of survivors,\the Ancient People had only to wait for their own demise.\That's when they found out that Normas sent off to the edge response:	of the earth were being forced to fight the DRAGONs with Para-mails.
context: The Ancient People boarded the Villkiss.\But they couldn't handle it.\It was locked...\So that mere insects couldn't use it.\With a mere handful of survivors,\the Ancient People had only to wait for their own demise.\That's when they found out that Normas sent off to the edge\of the earth were being forced to fight the DRAGONs with Para-mails. response:	They set off for Arzenal.
context: But they couldn't handle it.\It was locked...\So that mere insects couldn't use it.\With a mere handful of survivors,\the Ancient People had only to wait for their own demise.\That's when they found out that Normas sent off to the edge\of the earth were being forced to fight the DRAGONs with Para-mails.\They set off for Arzenal. response:	There was contact...
context: It was locked...\So that mere insects couldn't use it.\With a mere handful of survivors,\the Ancient People had only to wait for their own demise.\That's when they found out that Normas sent off to the edge\of the earth were being forced to fight the DRAGONs with Para-mails.\They set off for Arzenal.\There was contact... response:	Between the Ancient People and the Norma,
context: So that mere insects couldn't use it.\With a mere handful of survivors,\the Ancient People had only to wait for their own demise.\That's when they found out that Normas sent off to the edge\of the earth were being forced to fight the DRAGONs with Para-mails.\They set off for Arzenal.\There was contact...\Between the Ancient People and the Norma, response:	the two abandoned humanities.
context: With a mere handful of survivors,\the Ancient People had only to wait for their own demise.\That's when they found out that Normas sent off to the edge\of the earth were being forced to fight the DRAGONs with Para-mails.\They set off for Arzenal.\There was contact...\Between the Ancient People and the Norma,\the two abandoned humanities. response:	They became allies, and made preparations
context: the Ancient People had only to wait for their own demise.\That's when they found out that Normas sent off to the edge\of the earth were being forced to fight the DRAGONs with Para-mails.\They set off for Arzenal.\There was contact...\Between the Ancient People and the Norma,\the two abandoned humanities.\They became allies, and made preparations response:	for when one would emerge to open the lock.
context: That's when they found out that Normas sent off to the edge\of the earth were being forced to fight the DRAGONs with Para-mails.\They set off for Arzenal.\There was contact...\Between the Ancient People and the Norma,\the two abandoned humanities.\They became allies, and made preparations\for when one would emerge to open the lock. response:	And she finally arrived.
context: of the earth were being forced to fight the DRAGONs with Para-mails.\They set off for Arzenal.\There was contact...\Between the Ancient People and the Norma,\the two abandoned humanities.\They became allies, and made preparations\for when one would emerge to open the lock.\And she finally arrived. response:	Alektra Maria von Loewenherz.
context: They set off for Arzenal.\There was contact...\Between the Ancient People and the Norma,\the two abandoned humanities.\They became allies, and made preparations\for when one would emerge to open the lock.\And she finally arrived.\Alektra Maria von Loewenherz. response:	The first Norma born of royal blood.
context: There was contact...\Between the Ancient People and the Norma,\the two abandoned humanities.\They became allies, and made preparations\for when one would emerge to open the lock.\And she finally arrived.\Alektra Maria von Loewenherz.\The first Norma born of royal blood. response:	Alektra Maria von Loewenherz...
context: Between the Ancient People and the Norma,\the two abandoned humanities.\They became allies, and made preparations\for when one would emerge to open the lock.\And she finally arrived.\Alektra Maria von Loewenherz.\The first Norma born of royal blood.\Alektra Maria von Loewenherz... response:	I've heard of her.
context: the two abandoned humanities.\They became allies, and made preparations\for when one would emerge to open the lock.\And she finally arrived.\Alektra Maria von Loewenherz.\The first Norma born of royal blood.\Alektra Maria von Loewenherz...\I've heard of her. response:	I think she was First Princess of the Galia Empire.
context: They became allies, and made preparations\for when one would emerge to open the lock.\And she finally arrived.\Alektra Maria von Loewenherz.\The first Norma born of royal blood.\Alektra Maria von Loewenherz...\I've heard of her.\I think she was First Princess of the Galia Empire. response:	I heard she fell ill and died when she was ten.
context: for when one would emerge to open the lock.\And she finally arrived.\Alektra Maria von Loewenherz.\The first Norma born of royal blood.\Alektra Maria von Loewenherz...\I've heard of her.\I think she was First Princess of the Galia Empire.\I heard she fell ill and died when she was ten. response:	It was discovered that she was a Norma.
context: And she finally arrived.\Alektra Maria von Loewenherz.\The first Norma born of royal blood.\Alektra Maria von Loewenherz...\I've heard of her.\I think she was First Princess of the Galia Empire.\I heard she fell ill and died when she was ten.\It was discovered that she was a Norma. response:	She got thrown into Arzenal, and she fell into despair.
context: Alektra Maria von Loewenherz.\The first Norma born of royal blood.\Alektra Maria von Loewenherz...\I've heard of her.\I think she was First Princess of the Galia Empire.\I heard she fell ill and died when she was ten.\It was discovered that she was a Norma.\She got thrown into Arzenal, and she fell into despair. response:	But her royal blood and royal ring unlocked the Villkiss.
context: The first Norma born of royal blood.\Alektra Maria von Loewenherz...\I've heard of her.\I think she was First Princess of the Galia Empire.\I heard she fell ill and died when she was ten.\It was discovered that she was a Norma.\She got thrown into Arzenal, and she fell into despair.\But her royal blood and royal ring unlocked the Villkiss. response:	Many came to her side.
context: Alektra Maria von Loewenherz...\I've heard of her.\I think she was First Princess of the Galia Empire.\I heard she fell ill and died when she was ten.\It was discovered that she was a Norma.\She got thrown into Arzenal, and she fell into despair.\But her royal blood and royal ring unlocked the Villkiss.\Many came to her side. response:	Soldiers to protect the Villkiss, and armorsmiths to repair it.
context: I've heard of her.\I think she was First Princess of the Galia Empire.\I heard she fell ill and died when she was ten.\It was discovered that she was a Norma.\She got thrown into Arzenal, and she fell into despair.\But her royal blood and royal ring unlocked the Villkiss.\Many came to her side.\Soldiers to protect the Villkiss, and armorsmiths to repair it. response:	Doctors, weapons makers, dogs...
context: I think she was First Princess of the Galia Empire.\I heard she fell ill and died when she was ten.\It was discovered that she was a Norma.\She got thrown into Arzenal, and she fell into despair.\But her royal blood and royal ring unlocked the Villkiss.\Many came to her side.\Soldiers to protect the Villkiss, and armorsmiths to repair it.\Doctors, weapons makers, dogs... response:	It was the beginning of the revolt of the abandoned, of Libertus.
context: I heard she fell ill and died when she was ten.\It was discovered that she was a Norma.\She got thrown into Arzenal, and she fell into despair.\But her royal blood and royal ring unlocked the Villkiss.\Many came to her side.\Soldiers to protect the Villkiss, and armorsmiths to repair it.\Doctors, weapons makers, dogs...\It was the beginning of the revolt of the abandoned, of Libertus. response:	In the pits of hell, I and the others found our calling.
context: It was discovered that she was a Norma.\She got thrown into Arzenal, and she fell into despair.\But her royal blood and royal ring unlocked the Villkiss.\Many came to her side.\Soldiers to protect the Villkiss, and armorsmiths to repair it.\Doctors, weapons makers, dogs...\It was the beginning of the revolt of the abandoned, of Libertus.\In the pits of hell, I and the others found our calling. response:	To destroy this made-up, piece-of-shit world.
context: She got thrown into Arzenal, and she fell into despair.\But her royal blood and royal ring unlocked the Villkiss.\Many came to her side.\Soldiers to protect the Villkiss, and armorsmiths to repair it.\Doctors, weapons makers, dogs...\It was the beginning of the revolt of the abandoned, of Libertus.\In the pits of hell, I and the others found our calling.\To destroy this made-up, piece-of-shit world. response:	But I wasn't good enough.
context: But her royal blood and royal ring unlocked the Villkiss.\Many came to her side.\Soldiers to protect the Villkiss, and armorsmiths to repair it.\Doctors, weapons makers, dogs...\It was the beginning of the revolt of the abandoned, of Libertus.\In the pits of hell, I and the others found our calling.\To destroy this made-up, piece-of-shit world.\But I wasn't good enough. response:	I lost everything.
context: Many came to her side.\Soldiers to protect the Villkiss, and armorsmiths to repair it.\Doctors, weapons makers, dogs...\It was the beginning of the revolt of the abandoned, of Libertus.\In the pits of hell, I and the others found our calling.\To destroy this made-up, piece-of-shit world.\But I wasn't good enough.\I lost everything. response:	The ring, my friends, my right arm... everything.
context: Soldiers to protect the Villkiss, and armorsmiths to repair it.\Doctors, weapons makers, dogs...\It was the beginning of the revolt of the abandoned, of Libertus.\In the pits of hell, I and the others found our calling.\To destroy this made-up, piece-of-shit world.\But I wasn't good enough.\I lost everything.\The ring, my friends, my right arm... everything. response:	But I can't let Libertus end.
context: Doctors, weapons makers, dogs...\It was the beginning of the revolt of the abandoned, of Libertus.\In the pits of hell, I and the others found our calling.\To destroy this made-up, piece-of-shit world.\But I wasn't good enough.\I lost everything.\The ring, my friends, my right arm... everything.\But I can't let Libertus end. response:	Not with so many dead friends.
context: It was the beginning of the revolt of the abandoned, of Libertus.\In the pits of hell, I and the others found our calling.\To destroy this made-up, piece-of-shit world.\But I wasn't good enough.\I lost everything.\The ring, my friends, my right arm... everything.\But I can't let Libertus end.\Not with so many dead friends. response:	That's when you showed up, Ange.
context: In the pits of hell, I and the others found our calling.\To destroy this made-up, piece-of-shit world.\But I wasn't good enough.\I lost everything.\The ring, my friends, my right arm... everything.\But I can't let Libertus end.\Not with so many dead friends.\That's when you showed up, Ange. response:	Jill, you liar...
context: To destroy this made-up, piece-of-shit world.\But I wasn't good enough.\I lost everything.\The ring, my friends, my right arm... everything.\But I can't let Libertus end.\Not with so many dead friends.\That's when you showed up, Ange.\Jill, you liar... response:	I couldn't do it.
context: But I wasn't good enough.\I lost everything.\The ring, my friends, my right arm... everything.\But I can't let Libertus end.\Not with so many dead friends.\That's when you showed up, Ange.\Jill, you liar...\I couldn't do it. response:	The Villkiss's last lock is open.
context: I lost everything.\The ring, my friends, my right arm... everything.\But I can't let Libertus end.\Not with so many dead friends.\That's when you showed up, Ange.\Jill, you liar...\I couldn't do it.\The Villkiss's last lock is open. response:	You're going to destroy it, Ange.
context: The ring, my friends, my right arm... everything.\But I can't let Libertus end.\Not with so many dead friends.\That's when you showed up, Ange.\Jill, you liar...\I couldn't do it.\The Villkiss's last lock is open.\You're going to destroy it, Ange. response:	This world, with that song.
context: But I can't let Libertus end.\Not with so many dead friends.\That's when you showed up, Ange.\Jill, you liar...\I couldn't do it.\The Villkiss's last lock is open.\You're going to destroy it, Ange.\This world, with that song. response:	So you brought back my ring.
context: Not with so many dead friends.\That's when you showed up, Ange.\Jill, you liar...\I couldn't do it.\The Villkiss's last lock is open.\You're going to destroy it, Ange.\This world, with that song.\So you brought back my ring. response:	Yeah.
context: That's when you showed up, Ange.\Jill, you liar...\I couldn't do it.\The Villkiss's last lock is open.\You're going to destroy it, Ange.\This world, with that song.\So you brought back my ring.\Yeah. response:	You kept me alive for Libertus?
context: Jill, you liar...\I couldn't do it.\The Villkiss's last lock is open.\You're going to destroy it, Ange.\This world, with that song.\So you brought back my ring.\Yeah.\You kept me alive for Libertus? response:	That's right.
context: I couldn't do it.\The Villkiss's last lock is open.\You're going to destroy it, Ange.\This world, with that song.\So you brought back my ring.\Yeah.\You kept me alive for Libertus?\That's right. response:	I needed you to become stronger.
context: The Villkiss's last lock is open.\You're going to destroy it, Ange.\This world, with that song.\So you brought back my ring.\Yeah.\You kept me alive for Libertus?\That's right.\I needed you to become stronger. response:	Princess Alektra, huh?
context: You're going to destroy it, Ange.\This world, with that song.\So you brought back my ring.\Yeah.\You kept me alive for Libertus?\That's right.\I needed you to become stronger.\Princess Alektra, huh? response:	I'm grateful to you.
context: This world, with that song.\So you brought back my ring.\Yeah.\You kept me alive for Libertus?\That's right.\I needed you to become stronger.\Princess Alektra, huh?\I'm grateful to you. response:	Thanks to you, I learned how spoiled, pampered and sheltered I was.
context: So you brought back my ring.\Yeah.\You kept me alive for Libertus?\That's right.\I needed you to become stronger.\Princess Alektra, huh?\I'm grateful to you.\Thanks to you, I learned how spoiled, pampered and sheltered I was. response:	So my answer is, No.
context: Yeah.\You kept me alive for Libertus?\That's right.\I needed you to become stronger.\Princess Alektra, huh?\I'm grateful to you.\Thanks to you, I learned how spoiled, pampered and sheltered I was.\So my answer is, No. response:	Oh?
context: You kept me alive for Libertus?\That's right.\I needed you to become stronger.\Princess Alektra, huh?\I'm grateful to you.\Thanks to you, I learned how spoiled, pampered and sheltered I was.\So my answer is, No.\Oh? response:	Even if everything you say about God and Libertus is true,
context: That's right.\I needed you to become stronger.\Princess Alektra, huh?\I'm grateful to you.\Thanks to you, I learned how spoiled, pampered and sheltered I was.\So my answer is, No.\Oh?\Even if everything you say about God and Libertus is true, response:	my path is my own to choose.
context: I needed you to become stronger.\Princess Alektra, huh?\I'm grateful to you.\Thanks to you, I learned how spoiled, pampered and sheltered I was.\So my answer is, No.\Oh?\Even if everything you say about God and Libertus is true,\my path is my own to choose. response:	No matter how glorious the duty,
context: Princess Alektra, huh?\I'm grateful to you.\Thanks to you, I learned how spoiled, pampered and sheltered I was.\So my answer is, No.\Oh?\Even if everything you say about God and Libertus is true,\my path is my own to choose.\No matter how glorious the duty, response:	I'll see things with my own eyes and decide for myself.
context: I'm grateful to you.\Thanks to you, I learned how spoiled, pampered and sheltered I was.\So my answer is, No.\Oh?\Even if everything you say about God and Libertus is true,\my path is my own to choose.\No matter how glorious the duty,\I'll see things with my own eyes and decide for myself. response:	I won't let anyone make me do anything.
context: Thanks to you, I learned how spoiled, pampered and sheltered I was.\So my answer is, No.\Oh?\Even if everything you say about God and Libertus is true,\my path is my own to choose.\No matter how glorious the duty,\I'll see things with my own eyes and decide for myself.\I won't let anyone make me do anything. response:	So you won't join Libertus?
context: So my answer is, No.\Oh?\Even if everything you say about God and Libertus is true,\my path is my own to choose.\No matter how glorious the duty,\I'll see things with my own eyes and decide for myself.\I won't let anyone make me do anything.\So you won't join Libertus? response:	I don't hate it...
context: Oh?\Even if everything you say about God and Libertus is true,\my path is my own to choose.\No matter how glorious the duty,\I'll see things with my own eyes and decide for myself.\I won't let anyone make me do anything.\So you won't join Libertus?\I don't hate it... response:	Killing DRAGONs, making money, and buying what I want.
context: Even if everything you say about God and Libertus is true,\my path is my own to choose.\No matter how glorious the duty,\I'll see things with my own eyes and decide for myself.\I won't let anyone make me do anything.\So you won't join Libertus?\I don't hate it...\Killing DRAGONs, making money, and buying what I want. response:	I don't hate my life.
context: my path is my own to choose.\No matter how glorious the duty,\I'll see things with my own eyes and decide for myself.\I won't let anyone make me do anything.\So you won't join Libertus?\I don't hate it...\Killing DRAGONs, making money, and buying what I want.\I don't hate my life. response:	I see.
context: No matter how glorious the duty,\I'll see things with my own eyes and decide for myself.\I won't let anyone make me do anything.\So you won't join Libertus?\I don't hate it...\Killing DRAGONs, making money, and buying what I want.\I don't hate my life.\I see. response:	By the way, in that story... You never mentioned the DRAGONs.
context: I'll see things with my own eyes and decide for myself.\I won't let anyone make me do anything.\So you won't join Libertus?\I don't hate it...\Killing DRAGONs, making money, and buying what I want.\I don't hate my life.\I see.\By the way, in that story... You never mentioned the DRAGONs. response:	I feel taller.
context: I won't let anyone make me do anything.\So you won't join Libertus?\I don't hate it...\Killing DRAGONs, making money, and buying what I want.\I don't hate my life.\I see.\By the way, in that story... You never mentioned the DRAGONs.\I feel taller. response:	Is it my growth spurt?
context: So you won't join Libertus?\I don't hate it...\Killing DRAGONs, making money, and buying what I want.\I don't hate my life.\I see.\By the way, in that story... You never mentioned the DRAGONs.\I feel taller.\Is it my growth spurt? response:	Why can't I connect?
context: I don't hate it...\Killing DRAGONs, making money, and buying what I want.\I don't hate my life.\I see.\By the way, in that story... You never mentioned the DRAGONs.\I feel taller.\Is it my growth spurt?\Why can't I connect? response:	Hey, it's Officer Emma.
context: Killing DRAGONs, making money, and buying what I want.\I don't hate my life.\I see.\By the way, in that story... You never mentioned the DRAGONs.\I feel taller.\Is it my growth spurt?\Why can't I connect?\Hey, it's Officer Emma. response:	Hey!
context: I don't hate my life.\I see.\By the way, in that story... You never mentioned the DRAGONs.\I feel taller.\Is it my growth spurt?\Why can't I connect?\Hey, it's Officer Emma.\Hey! response:	It's Officer Emma!
context: I see.\By the way, in that story... You never mentioned the DRAGONs.\I feel taller.\Is it my growth spurt?\Why can't I connect?\Hey, it's Officer Emma.\Hey!\It's Officer Emma! response:	Whoa! Are you all right?
context: By the way, in that story... You never mentioned the DRAGONs.\I feel taller.\Is it my growth spurt?\Why can't I connect?\Hey, it's Officer Emma.\Hey!\It's Officer Emma!\Whoa! Are you all right? response:	What the heck?
context: I feel taller.\Is it my growth spurt?\Why can't I connect?\Hey, it's Officer Emma.\Hey!\It's Officer Emma!\Whoa! Are you all right?\What the heck? response:	Is this me?
context: Is it my growth spurt?\Why can't I connect?\Hey, it's Officer Emma.\Hey!\It's Officer Emma!\Whoa! Are you all right?\What the heck?\Is this me? response:	What was that?
context: Why can't I connect?\Hey, it's Officer Emma.\Hey!\It's Officer Emma!\Whoa! Are you all right?\What the heck?\Is this me?\What was that? response:	All units, type one battle formation! It's a DRAGON!
context: Hey, it's Officer Emma.\Hey!\It's Officer Emma!\Whoa! Are you all right?\What the heck?\Is this me?\What was that?\All units, type one battle formation! It's a DRAGON! response:	There's a survivor in the base!
context: Hey!\It's Officer Emma!\Whoa! Are you all right?\What the heck?\Is this me?\What was that?\All units, type one battle formation! It's a DRAGON!\There's a survivor in the base! response:	Rosalie and Chris will cover the residential area.
context: It's Officer Emma!\Whoa! Are you all right?\What the heck?\Is this me?\What was that?\All units, type one battle formation! It's a DRAGON!\There's a survivor in the base!\Rosalie and Chris will cover the residential area. response:	Ange and I will cover the maintenance deck.
