context: Once upon a time, there was a happy prince. response:	The happy prince knew no painful past and he knew no painful future.
context: Dressed up in this silly outfit...\Rue said to wear it.\Listen to me, all you have to do is obey my orders.\Don't listen to what anyone else tells you.\That includes what Rue says!\You were dancing just earlier.\Yes.\What's with that duck-like girl that's been scurrying around lately? response:	Duck-like? Well, I am a duck, but...
context: Rue said to wear it.\Listen to me, all you have to do is obey my orders.\Don't listen to what anyone else tells you.\That includes what Rue says!\You were dancing just earlier.\Yes.\What's with that duck-like girl that's been scurrying around lately?\Duck-like? Well, I am a duck, but... response:	She's called Duck. Her name is Duck and...
context: Listen to me, all you have to do is obey my orders.\Don't listen to what anyone else tells you.\That includes what Rue says!\You were dancing just earlier.\Yes.\What's with that duck-like girl that's been scurrying around lately?\Duck-like? Well, I am a duck, but...\She's called Duck. Her name is Duck and... response:	I don't care about any of that!
context: Don't listen to what anyone else tells you.\That includes what Rue says!\You were dancing just earlier.\Yes.\What's with that duck-like girl that's been scurrying around lately?\Duck-like? Well, I am a duck, but...\She's called Duck. Her name is Duck and...\I don't care about any of that! response:	There's no need to dance with the likes of her just because she asked you to.
context: That includes what Rue says!\You were dancing just earlier.\Yes.\What's with that duck-like girl that's been scurrying around lately?\Duck-like? Well, I am a duck, but...\She's called Duck. Her name is Duck and...\I don't care about any of that!\There's no need to dance with the likes of her just because she asked you to. response:	That's not what happened.
context: You were dancing just earlier.\Yes.\What's with that duck-like girl that's been scurrying around lately?\Duck-like? Well, I am a duck, but...\She's called Duck. Her name is Duck and...\I don't care about any of that!\There's no need to dance with the likes of her just because she asked you to.\That's not what happened. response:	Rue didn't show up and I've been waiting by myself.
context: Yes.\What's with that duck-like girl that's been scurrying around lately?\Duck-like? Well, I am a duck, but...\She's called Duck. Her name is Duck and...\I don't care about any of that!\There's no need to dance with the likes of her just because she asked you to.\That's not what happened.\Rue didn't show up and I've been waiting by myself. response:	Then, Duck came, so...
context: What's with that duck-like girl that's been scurrying around lately?\Duck-like? Well, I am a duck, but...\She's called Duck. Her name is Duck and...\I don't care about any of that!\There's no need to dance with the likes of her just because she asked you to.\That's not what happened.\Rue didn't show up and I've been waiting by myself.\Then, Duck came, so... response:	You invited her to dance with you?
context: Duck-like? Well, I am a duck, but...\She's called Duck. Her name is Duck and...\I don't care about any of that!\There's no need to dance with the likes of her just because she asked you to.\That's not what happened.\Rue didn't show up and I've been waiting by myself.\Then, Duck came, so...\You invited her to dance with you? response:	Yes.
context: She's called Duck. Her name is Duck and...\I don't care about any of that!\There's no need to dance with the likes of her just because she asked you to.\That's not what happened.\Rue didn't show up and I've been waiting by myself.\Then, Duck came, so...\You invited her to dance with you?\Yes. response:	Listen to me, don't keep making me repeat myself!
context: I don't care about any of that!\There's no need to dance with the likes of her just because she asked you to.\That's not what happened.\Rue didn't show up and I've been waiting by myself.\Then, Duck came, so...\You invited her to dance with you?\Yes.\Listen to me, don't keep making me repeat myself! response:	All you have to do is listen to what I tell you!
context: There's no need to dance with the likes of her just because she asked you to.\That's not what happened.\Rue didn't show up and I've been waiting by myself.\Then, Duck came, so...\You invited her to dance with you?\Yes.\Listen to me, don't keep making me repeat myself!\All you have to do is listen to what I tell you! response:	Don't get interested in stupid things!
context: That's not what happened.\Rue didn't show up and I've been waiting by myself.\Then, Duck came, so...\You invited her to dance with you?\Yes.\Listen to me, don't keep making me repeat myself!\All you have to do is listen to what I tell you!\Don't get interested in stupid things! response:	I can't hear...
context: Rue didn't show up and I've been waiting by myself.\Then, Duck came, so...\You invited her to dance with you?\Yes.\Listen to me, don't keep making me repeat myself!\All you have to do is listen to what I tell you!\Don't get interested in stupid things!\I can't hear... response:	When you were wandering without any memory, I was the one who gave you the name of Mytho!
context: Then, Duck came, so...\You invited her to dance with you?\Yes.\Listen to me, don't keep making me repeat myself!\All you have to do is listen to what I tell you!\Don't get interested in stupid things!\I can't hear...\When you were wandering without any memory, I was the one who gave you the name of Mytho! response:	I was the one who saved you.
context: You invited her to dance with you?\Yes.\Listen to me, don't keep making me repeat myself!\All you have to do is listen to what I tell you!\Don't get interested in stupid things!\I can't hear...\When you were wandering without any memory, I was the one who gave you the name of Mytho!\I was the one who saved you. response:	I know.
context: Yes.\Listen to me, don't keep making me repeat myself!\All you have to do is listen to what I tell you!\Don't get interested in stupid things!\I can't hear...\When you were wandering without any memory, I was the one who gave you the name of Mytho!\I was the one who saved you.\I know. response:	Don't go to the Fire Festival either. Got it?
context: Listen to me, don't keep making me repeat myself!\All you have to do is listen to what I tell you!\Don't get interested in stupid things!\I can't hear...\When you were wandering without any memory, I was the one who gave you the name of Mytho!\I was the one who saved you.\I know.\Don't go to the Fire Festival either. Got it? response:	Being the way you are now is what's for the best.
context: All you have to do is listen to what I tell you!\Don't get interested in stupid things!\I can't hear...\When you were wandering without any memory, I was the one who gave you the name of Mytho!\I was the one who saved you.\I know.\Don't go to the Fire Festival either. Got it?\Being the way you are now is what's for the best. response:	But Rue wants me to dance with her.
context: Don't get interested in stupid things!\I can't hear...\When you were wandering without any memory, I was the one who gave you the name of Mytho!\I was the one who saved you.\I know.\Don't go to the Fire Festival either. Got it?\Being the way you are now is what's for the best.\But Rue wants me to dance with her. response:	Forget about her!
context: I can't hear...\When you were wandering without any memory, I was the one who gave you the name of Mytho!\I was the one who saved you.\I know.\Don't go to the Fire Festival either. Got it?\Being the way you are now is what's for the best.\But Rue wants me to dance with her.\Forget about her! response:	I have to let her know that I can't go.
context: When you were wandering without any memory, I was the one who gave you the name of Mytho!\I was the one who saved you.\I know.\Don't go to the Fire Festival either. Got it?\Being the way you are now is what's for the best.\But Rue wants me to dance with her.\Forget about her!\I have to let her know that I can't go. response:	Are you defying me?
context: I was the one who saved you.\I know.\Don't go to the Fire Festival either. Got it?\Being the way you are now is what's for the best.\But Rue wants me to dance with her.\Forget about her!\I have to let her know that I can't go.\Are you defying me? response:	No, but...
context: I know.\Don't go to the Fire Festival either. Got it?\Being the way you are now is what's for the best.\But Rue wants me to dance with her.\Forget about her!\I have to let her know that I can't go.\Are you defying me?\No, but... response:	Come with me.
context: Don't go to the Fire Festival either. Got it?\Being the way you are now is what's for the best.\But Rue wants me to dance with her.\Forget about her!\I have to let her know that I can't go.\Are you defying me?\No, but...\Come with me. response:	Quack, quack, quack, quack, quack!
context: Being the way you are now is what's for the best.\But Rue wants me to dance with her.\Forget about her!\I have to let her know that I can't go.\Are you defying me?\No, but...\Come with me.\Quack, quack, quack, quack, quack! response:	Where are we going, Fakir?
context: But Rue wants me to dance with her.\Forget about her!\I have to let her know that I can't go.\Are you defying me?\No, but...\Come with me.\Quack, quack, quack, quack, quack!\Where are we going, Fakir? response:	Hey, Fakir?
context: Forget about her!\I have to let her know that I can't go.\Are you defying me?\No, but...\Come with me.\Quack, quack, quack, quack, quack!\Where are we going, Fakir?\Hey, Fakir? response:	Never mind, just come with me!
context: I have to let her know that I can't go.\Are you defying me?\No, but...\Come with me.\Quack, quack, quack, quack, quack!\Where are we going, Fakir?\Hey, Fakir?\Never mind, just come with me! response:	Quack, quack, quack, quack, quack, quack, quack. Quack!
context: Are you defying me?\No, but...\Come with me.\Quack, quack, quack, quack, quack!\Where are we going, Fakir?\Hey, Fakir?\Never mind, just come with me!\Quack, quack, quack, quack, quack, quack, quack. Quack! response:	Quack...
context: No, but...\Come with me.\Quack, quack, quack, quack, quack!\Where are we going, Fakir?\Hey, Fakir?\Never mind, just come with me!\Quack, quack, quack, quack, quack, quack, quack. Quack!\Quack... response:	The library?
context: Come with me.\Quack, quack, quack, quack, quack!\Where are we going, Fakir?\Hey, Fakir?\Never mind, just come with me!\Quack, quack, quack, quack, quack, quack, quack. Quack!\Quack...\The library? response:	Quack! Quack, quack, quack, quack, quack, quack.
context: Quack, quack, quack, quack, quack!\Where are we going, Fakir?\Hey, Fakir?\Never mind, just come with me!\Quack, quack, quack, quack, quack, quack, quack. Quack!\Quack...\The library?\Quack! Quack, quack, quack, quack, quack, quack. response:	Quack! Quack!
context: Where are we going, Fakir?\Hey, Fakir?\Never mind, just come with me!\Quack, quack, quack, quack, quack, quack, quack. Quack!\Quack...\The library?\Quack! Quack, quack, quack, quack, quack, quack.\Quack! Quack! response:	Wow!
context: Hey, Fakir?\Never mind, just come with me!\Quack, quack, quack, quack, quack, quack, quack. Quack!\Quack...\The library?\Quack! Quack, quack, quack, quack, quack, quack.\Quack! Quack!\Wow! response:	Rue-chan...
context: Never mind, just come with me!\Quack, quack, quack, quack, quack, quack, quack. Quack!\Quack...\The library?\Quack! Quack, quack, quack, quack, quack, quack.\Quack! Quack!\Wow!\Rue-chan... response:	But Fakir took Mytho away...
context: Quack, quack, quack, quack, quack, quack, quack. Quack!\Quack...\The library?\Quack! Quack, quack, quack, quack, quack, quack.\Quack! Quack!\Wow!\Rue-chan...\But Fakir took Mytho away... response:	Anyway, I have to go back to being the girl Duck.
context: Quack...\The library?\Quack! Quack, quack, quack, quack, quack, quack.\Quack! Quack!\Wow!\Rue-chan...\But Fakir took Mytho away...\Anyway, I have to go back to being the girl Duck. response:	Water!
context: The library?\Quack! Quack, quack, quack, quack, quack, quack.\Quack! Quack!\Wow!\Rue-chan...\But Fakir took Mytho away...\Anyway, I have to go back to being the girl Duck.\Water! response:	Water!
context: Quack! Quack, quack, quack, quack, quack, quack.\Quack! Quack!\Wow!\Rue-chan...\But Fakir took Mytho away...\Anyway, I have to go back to being the girl Duck.\Water!\Water! response:	Quack!
context: Quack! Quack!\Wow!\Rue-chan...\But Fakir took Mytho away...\Anyway, I have to go back to being the girl Duck.\Water!\Water!\Quack! response:	Yes!
context: Wow!\Rue-chan...\But Fakir took Mytho away...\Anyway, I have to go back to being the girl Duck.\Water!\Water!\Quack!\Yes! response:	Rue-chan.
context: Rue-chan...\But Fakir took Mytho away...\Anyway, I have to go back to being the girl Duck.\Water!\Water!\Quack!\Yes!\Rue-chan. response:	Duck.
context: But Fakir took Mytho away...\Anyway, I have to go back to being the girl Duck.\Water!\Water!\Quack!\Yes!\Rue-chan.\Duck. response:	Um, you're supposed to meet up with Mytho, right?
context: Anyway, I have to go back to being the girl Duck.\Water!\Water!\Quack!\Yes!\Rue-chan.\Duck.\Um, you're supposed to meet up with Mytho, right? response:	Why do you know about that?
context: Water!\Water!\Quack!\Yes!\Rue-chan.\Duck.\Um, you're supposed to meet up with Mytho, right?\Why do you know about that? response:	Oh, um, um...
context: Water!\Quack!\Yes!\Rue-chan.\Duck.\Um, you're supposed to meet up with Mytho, right?\Why do you know about that?\Oh, um, um... response:	You know, I'm on cleaning duty as punishment, so I was cleaning here just earlier too.
context: Quack!\Yes!\Rue-chan.\Duck.\Um, you're supposed to meet up with Mytho, right?\Why do you know about that?\Oh, um, um...\You know, I'm on cleaning duty as punishment, so I was cleaning here just earlier too. response:	And Mytho said he's going to practice dancing with you.
context: Yes!\Rue-chan.\Duck.\Um, you're supposed to meet up with Mytho, right?\Why do you know about that?\Oh, um, um...\You know, I'm on cleaning duty as punishment, so I was cleaning here just earlier too.\And Mytho said he's going to practice dancing with you. response:	Wow, it's totally wet over here.
context: Rue-chan.\Duck.\Um, you're supposed to meet up with Mytho, right?\Why do you know about that?\Oh, um, um...\You know, I'm on cleaning duty as punishment, so I was cleaning here just earlier too.\And Mytho said he's going to practice dancing with you.\Wow, it's totally wet over here. response:	Of course, I made this mess earlier.
context: Duck.\Um, you're supposed to meet up with Mytho, right?\Why do you know about that?\Oh, um, um...\You know, I'm on cleaning duty as punishment, so I was cleaning here just earlier too.\And Mytho said he's going to practice dancing with you.\Wow, it's totally wet over here.\Of course, I made this mess earlier. response:	So, where's Mytho?
context: Um, you're supposed to meet up with Mytho, right?\Why do you know about that?\Oh, um, um...\You know, I'm on cleaning duty as punishment, so I was cleaning here just earlier too.\And Mytho said he's going to practice dancing with you.\Wow, it's totally wet over here.\Of course, I made this mess earlier.\So, where's Mytho? response:	Oh, um, I think he stepped out for a bit.
context: Why do you know about that?\Oh, um, um...\You know, I'm on cleaning duty as punishment, so I was cleaning here just earlier too.\And Mytho said he's going to practice dancing with you.\Wow, it's totally wet over here.\Of course, I made this mess earlier.\So, where's Mytho?\Oh, um, I think he stepped out for a bit. response:	You didn't go chasing after him like the other day?
context: Oh, um, um...\You know, I'm on cleaning duty as punishment, so I was cleaning here just earlier too.\And Mytho said he's going to practice dancing with you.\Wow, it's totally wet over here.\Of course, I made this mess earlier.\So, where's Mytho?\Oh, um, I think he stepped out for a bit.\You didn't go chasing after him like the other day? response:	Oh, well...
context: You know, I'm on cleaning duty as punishment, so I was cleaning here just earlier too.\And Mytho said he's going to practice dancing with you.\Wow, it's totally wet over here.\Of course, I made this mess earlier.\So, where's Mytho?\Oh, um, I think he stepped out for a bit.\You didn't go chasing after him like the other day?\Oh, well... response:	Of course, you did suddenly disappear that time.
context: And Mytho said he's going to practice dancing with you.\Wow, it's totally wet over here.\Of course, I made this mess earlier.\So, where's Mytho?\Oh, um, I think he stepped out for a bit.\You didn't go chasing after him like the other day?\Oh, well...\Of course, you did suddenly disappear that time. response:	Oh, sorry about that.
context: Wow, it's totally wet over here.\Of course, I made this mess earlier.\So, where's Mytho?\Oh, um, I think he stepped out for a bit.\You didn't go chasing after him like the other day?\Oh, well...\Of course, you did suddenly disappear that time.\Oh, sorry about that. response:	If you happen to see Mytho, please tell him that I'll be going on ahead to the square.
context: Of course, I made this mess earlier.\So, where's Mytho?\Oh, um, I think he stepped out for a bit.\You didn't go chasing after him like the other day?\Oh, well...\Of course, you did suddenly disappear that time.\Oh, sorry about that.\If you happen to see Mytho, please tell him that I'll be going on ahead to the square. response:	Oh, okay.
context: So, where's Mytho?\Oh, um, I think he stepped out for a bit.\You didn't go chasing after him like the other day?\Oh, well...\Of course, you did suddenly disappear that time.\Oh, sorry about that.\If you happen to see Mytho, please tell him that I'll be going on ahead to the square.\Oh, okay. response:	Rue-chan.
context: Oh, um, I think he stepped out for a bit.\You didn't go chasing after him like the other day?\Oh, well...\Of course, you did suddenly disappear that time.\Oh, sorry about that.\If you happen to see Mytho, please tell him that I'll be going on ahead to the square.\Oh, okay.\Rue-chan. response:	Mytho will come find you, I'm sure of it!
context: You didn't go chasing after him like the other day?\Oh, well...\Of course, you did suddenly disappear that time.\Oh, sorry about that.\If you happen to see Mytho, please tell him that I'll be going on ahead to the square.\Oh, okay.\Rue-chan.\Mytho will come find you, I'm sure of it! response:	You're like a real princess and you really suit each other, so I'm sure you'll get the golden apple.
context: Oh, well...\Of course, you did suddenly disappear that time.\Oh, sorry about that.\If you happen to see Mytho, please tell him that I'll be going on ahead to the square.\Oh, okay.\Rue-chan.\Mytho will come find you, I'm sure of it!\You're like a real princess and you really suit each other, so I'm sure you'll get the golden apple. response:	They definitely went in the library, but...
context: Of course, you did suddenly disappear that time.\Oh, sorry about that.\If you happen to see Mytho, please tell him that I'll be going on ahead to the square.\Oh, okay.\Rue-chan.\Mytho will come find you, I'm sure of it!\You're like a real princess and you really suit each other, so I'm sure you'll get the golden apple.\They definitely went in the library, but... response:	You stay there and behave yourself.
context: Oh, sorry about that.\If you happen to see Mytho, please tell him that I'll be going on ahead to the square.\Oh, okay.\Rue-chan.\Mytho will come find you, I'm sure of it!\You're like a real princess and you really suit each other, so I'm sure you'll get the golden apple.\They definitely went in the library, but...\You stay there and behave yourself. response:	Why?
context: If you happen to see Mytho, please tell him that I'll be going on ahead to the square.\Oh, okay.\Rue-chan.\Mytho will come find you, I'm sure of it!\You're like a real princess and you really suit each other, so I'm sure you'll get the golden apple.\They definitely went in the library, but...\You stay there and behave yourself.\Why? response:	It's punishment.
context: Oh, okay.\Rue-chan.\Mytho will come find you, I'm sure of it!\You're like a real princess and you really suit each other, so I'm sure you'll get the golden apple.\They definitely went in the library, but...\You stay there and behave yourself.\Why?\It's punishment. response:	I'm sorry. Don't be mad, Fakir.
context: Rue-chan.\Mytho will come find you, I'm sure of it!\You're like a real princess and you really suit each other, so I'm sure you'll get the golden apple.\They definitely went in the library, but...\You stay there and behave yourself.\Why?\It's punishment.\I'm sorry. Don't be mad, Fakir. response:	I'll do as you say. Without you, Fakir, I...
context: Mytho will come find you, I'm sure of it!\You're like a real princess and you really suit each other, so I'm sure you'll get the golden apple.\They definitely went in the library, but...\You stay there and behave yourself.\Why?\It's punishment.\I'm sorry. Don't be mad, Fakir.\I'll do as you say. Without you, Fakir, I... response:	What are you doing?!
context: You're like a real princess and you really suit each other, so I'm sure you'll get the golden apple.\They definitely went in the library, but...\You stay there and behave yourself.\Why?\It's punishment.\I'm sorry. Don't be mad, Fakir.\I'll do as you say. Without you, Fakir, I...\What are you doing?! response:	What's this punishment?! Why do you do such terrible things?!
context: They definitely went in the library, but...\You stay there and behave yourself.\Why?\It's punishment.\I'm sorry. Don't be mad, Fakir.\I'll do as you say. Without you, Fakir, I...\What are you doing?!\What's this punishment?! Why do you do such terrible things?! response:	And Mytho, you too! Why?!
context: You stay there and behave yourself.\Why?\It's punishment.\I'm sorry. Don't be mad, Fakir.\I'll do as you say. Without you, Fakir, I...\What are you doing?!\What's this punishment?! Why do you do such terrible things?!\And Mytho, you too! Why?! response:	Rue-chan's waiting for you!
context: Why?\It's punishment.\I'm sorry. Don't be mad, Fakir.\I'll do as you say. Without you, Fakir, I...\What are you doing?!\What's this punishment?! Why do you do such terrible things?!\And Mytho, you too! Why?!\Rue-chan's waiting for you! response:	You've finally regained some shards of your heart!
context: It's punishment.\I'm sorry. Don't be mad, Fakir.\I'll do as you say. Without you, Fakir, I...\What are you doing?!\What's this punishment?! Why do you do such terrible things?!\And Mytho, you too! Why?!\Rue-chan's waiting for you!\You've finally regained some shards of your heart! response:	There's no reason for you to listen to someone like him!
context: I'm sorry. Don't be mad, Fakir.\I'll do as you say. Without you, Fakir, I...\What are you doing?!\What's this punishment?! Why do you do such terrible things?!\And Mytho, you too! Why?!\Rue-chan's waiting for you!\You've finally regained some shards of your heart!\There's no reason for you to listen to someone like him! response:	Shards of his heart?
context: I'll do as you say. Without you, Fakir, I...\What are you doing?!\What's this punishment?! Why do you do such terrible things?!\And Mytho, you too! Why?!\Rue-chan's waiting for you!\You've finally regained some shards of your heart!\There's no reason for you to listen to someone like him!\Shards of his heart? response:	Your name's Duck? Just what do you know?
context: What are you doing?!\What's this punishment?! Why do you do such terrible things?!\And Mytho, you too! Why?!\Rue-chan's waiting for you!\You've finally regained some shards of your heart!\There's no reason for you to listen to someone like him!\Shards of his heart?\Your name's Duck? Just what do you know? response:	What do I know? Nothing, really...
context: What's this punishment?! Why do you do such terrible things?!\And Mytho, you too! Why?!\Rue-chan's waiting for you!\You've finally regained some shards of your heart!\There's no reason for you to listen to someone like him!\Shards of his heart?\Your name's Duck? Just what do you know?\What do I know? Nothing, really... response:	Come to think of it, you mentioned'The Prince and the Raven' before...
context: And Mytho, you too! Why?!\Rue-chan's waiting for you!\You've finally regained some shards of your heart!\There's no reason for you to listen to someone like him!\Shards of his heart?\Your name's Duck? Just what do you know?\What do I know? Nothing, really...\Come to think of it, you mentioned'The Prince and the Raven' before... response:	You know that Mytho is a prince from inside a story, don't you?
context: Rue-chan's waiting for you!\You've finally regained some shards of your heart!\There's no reason for you to listen to someone like him!\Shards of his heart?\Your name's Duck? Just what do you know?\What do I know? Nothing, really...\Come to think of it, you mentioned'The Prince and the Raven' before...\You know that Mytho is a prince from inside a story, don't you? response:	Did Rue tell you?
context: You've finally regained some shards of your heart!\There's no reason for you to listen to someone like him!\Shards of his heart?\Your name's Duck? Just what do you know?\What do I know? Nothing, really...\Come to think of it, you mentioned'The Prince and the Raven' before...\You know that Mytho is a prince from inside a story, don't you?\Did Rue tell you? response:	Rue-chan?
context: There's no reason for you to listen to someone like him!\Shards of his heart?\Your name's Duck? Just what do you know?\What do I know? Nothing, really...\Come to think of it, you mentioned'The Prince and the Raven' before...\You know that Mytho is a prince from inside a story, don't you?\Did Rue tell you?\Rue-chan? response:	Rue-chan and this person both know Mytho's secret?
context: Shards of his heart?\Your name's Duck? Just what do you know?\What do I know? Nothing, really...\Come to think of it, you mentioned'The Prince and the Raven' before...\You know that Mytho is a prince from inside a story, don't you?\Did Rue tell you?\Rue-chan?\Rue-chan and this person both know Mytho's secret? response:	Mytho has no need of a heart!
context: Your name's Duck? Just what do you know?\What do I know? Nothing, really...\Come to think of it, you mentioned'The Prince and the Raven' before...\You know that Mytho is a prince from inside a story, don't you?\Did Rue tell you?\Rue-chan?\Rue-chan and this person both know Mytho's secret?\Mytho has no need of a heart! response:	What?
context: What do I know? Nothing, really...\Come to think of it, you mentioned'The Prince and the Raven' before...\You know that Mytho is a prince from inside a story, don't you?\Did Rue tell you?\Rue-chan?\Rue-chan and this person both know Mytho's secret?\Mytho has no need of a heart!\What? response:	No need of a heart? What are you saying?! There's no way he doesn't!
context: Come to think of it, you mentioned'The Prince and the Raven' before...\You know that Mytho is a prince from inside a story, don't you?\Did Rue tell you?\Rue-chan?\Rue-chan and this person both know Mytho's secret?\Mytho has no need of a heart!\What?\No need of a heart? What are you saying?! There's no way he doesn't! response:	What do you know?!
context: You know that Mytho is a prince from inside a story, don't you?\Did Rue tell you?\Rue-chan?\Rue-chan and this person both know Mytho's secret?\Mytho has no need of a heart!\What?\No need of a heart? What are you saying?! There's no way he doesn't!\What do you know?! response:	I know everything about Mytho. I'm asking you, what do you know?!
context: Did Rue tell you?\Rue-chan?\Rue-chan and this person both know Mytho's secret?\Mytho has no need of a heart!\What?\No need of a heart? What are you saying?! There's no way he doesn't!\What do you know?!\I know everything about Mytho. I'm asking you, what do you know?! response:	Well, sure, I may not know anything about Mytho,
context: Rue-chan?\Rue-chan and this person both know Mytho's secret?\Mytho has no need of a heart!\What?\No need of a heart? What are you saying?! There's no way he doesn't!\What do you know?!\I know everything about Mytho. I'm asking you, what do you know?!\Well, sure, I may not know anything about Mytho, response:	but if he has no heart,
context: Rue-chan and this person both know Mytho's secret?\Mytho has no need of a heart!\What?\No need of a heart? What are you saying?! There's no way he doesn't!\What do you know?!\I know everything about Mytho. I'm asking you, what do you know?!\Well, sure, I may not know anything about Mytho,\but if he has no heart, response:	he won't know what it feels to be happy or to be in love, either. So...
context: Mytho has no need of a heart!\What?\No need of a heart? What are you saying?! There's no way he doesn't!\What do you know?!\I know everything about Mytho. I'm asking you, what do you know?!\Well, sure, I may not know anything about Mytho,\but if he has no heart,\he won't know what it feels to be happy or to be in love, either. So... response:	Foolishness!
context: What?\No need of a heart? What are you saying?! There's no way he doesn't!\What do you know?!\I know everything about Mytho. I'm asking you, what do you know?!\Well, sure, I may not know anything about Mytho,\but if he has no heart,\he won't know what it feels to be happy or to be in love, either. So...\Foolishness! response:	Even if he regains shards of his heart, I'll seal them away!
context: No need of a heart? What are you saying?! There's no way he doesn't!\What do you know?!\I know everything about Mytho. I'm asking you, what do you know?!\Well, sure, I may not know anything about Mytho,\but if he has no heart,\he won't know what it feels to be happy or to be in love, either. So...\Foolishness!\Even if he regains shards of his heart, I'll seal them away! response:	If I shut him away in the darkness, he'll eventually become numb to the dark as well.
context: What do you know?!\I know everything about Mytho. I'm asking you, what do you know?!\Well, sure, I may not know anything about Mytho,\but if he has no heart,\he won't know what it feels to be happy or to be in love, either. So...\Foolishness!\Even if he regains shards of his heart, I'll seal them away!\If I shut him away in the darkness, he'll eventually become numb to the dark as well. response:	He'll become numb to all sensations and stop feeling all together.
context: I know everything about Mytho. I'm asking you, what do you know?!\Well, sure, I may not know anything about Mytho,\but if he has no heart,\he won't know what it feels to be happy or to be in love, either. So...\Foolishness!\Even if he regains shards of his heart, I'll seal them away!\If I shut him away in the darkness, he'll eventually become numb to the dark as well.\He'll become numb to all sensations and stop feeling all together. response:	That's...
context: Well, sure, I may not know anything about Mytho,\but if he has no heart,\he won't know what it feels to be happy or to be in love, either. So...\Foolishness!\Even if he regains shards of his heart, I'll seal them away!\If I shut him away in the darkness, he'll eventually become numb to the dark as well.\He'll become numb to all sensations and stop feeling all together.\That's... response:	That's just wrong!
context: but if he has no heart,\he won't know what it feels to be happy or to be in love, either. So...\Foolishness!\Even if he regains shards of his heart, I'll seal them away!\If I shut him away in the darkness, he'll eventually become numb to the dark as well.\He'll become numb to all sensations and stop feeling all together.\That's...\That's just wrong! response:	Don't get carried away when you know nothing.
context: he won't know what it feels to be happy or to be in love, either. So...\Foolishness!\Even if he regains shards of his heart, I'll seal them away!\If I shut him away in the darkness, he'll eventually become numb to the dark as well.\He'll become numb to all sensations and stop feeling all together.\That's...\That's just wrong!\Don't get carried away when you know nothing. response:	So high and mighty, like he knows everything.
context: Foolishness!\Even if he regains shards of his heart, I'll seal them away!\If I shut him away in the darkness, he'll eventually become numb to the dark as well.\He'll become numb to all sensations and stop feeling all together.\That's...\That's just wrong!\Don't get carried away when you know nothing.\So high and mighty, like he knows everything. response:	When I restored the heart shards to Mytho, he thanked me. He did!
context: Even if he regains shards of his heart, I'll seal them away!\If I shut him away in the darkness, he'll eventually become numb to the dark as well.\He'll become numb to all sensations and stop feeling all together.\That's...\That's just wrong!\Don't get carried away when you know nothing.\So high and mighty, like he knows everything.\When I restored the heart shards to Mytho, he thanked me. He did! response:	Are you afraid of the dark?
context: If I shut him away in the darkness, he'll eventually become numb to the dark as well.\He'll become numb to all sensations and stop feeling all together.\That's...\That's just wrong!\Don't get carried away when you know nothing.\So high and mighty, like he knows everything.\When I restored the heart shards to Mytho, he thanked me. He did!\Are you afraid of the dark? response:	You'll be okay.
context: He'll become numb to all sensations and stop feeling all together.\That's...\That's just wrong!\Don't get carried away when you know nothing.\So high and mighty, like he knows everything.\When I restored the heart shards to Mytho, he thanked me. He did!\Are you afraid of the dark?\You'll be okay. response:	But it's true, I don't know anything.
context: That's...\That's just wrong!\Don't get carried away when you know nothing.\So high and mighty, like he knows everything.\When I restored the heart shards to Mytho, he thanked me. He did!\Are you afraid of the dark?\You'll be okay.\But it's true, I don't know anything. response:	About Mytho...
context: That's just wrong!\Don't get carried away when you know nothing.\So high and mighty, like he knows everything.\When I restored the heart shards to Mytho, he thanked me. He did!\Are you afraid of the dark?\You'll be okay.\But it's true, I don't know anything.\About Mytho... response:	Am I sticking my nose in where it doesn't belong?
context: Don't get carried away when you know nothing.\So high and mighty, like he knows everything.\When I restored the heart shards to Mytho, he thanked me. He did!\Are you afraid of the dark?\You'll be okay.\But it's true, I don't know anything.\About Mytho...\Am I sticking my nose in where it doesn't belong? response:	Edel-san.
context: So high and mighty, like he knows everything.\When I restored the heart shards to Mytho, he thanked me. He did!\Are you afraid of the dark?\You'll be okay.\But it's true, I don't know anything.\About Mytho...\Am I sticking my nose in where it doesn't belong?\Edel-san. response:	A flame can illuminate the darkness.
context: When I restored the heart shards to Mytho, he thanked me. He did!\Are you afraid of the dark?\You'll be okay.\But it's true, I don't know anything.\About Mytho...\Am I sticking my nose in where it doesn't belong?\Edel-san.\A flame can illuminate the darkness. response:	But without the darkness, its glow cannot even be seen.
context: Are you afraid of the dark?\You'll be okay.\But it's true, I don't know anything.\About Mytho...\Am I sticking my nose in where it doesn't belong?\Edel-san.\A flame can illuminate the darkness.\But without the darkness, its glow cannot even be seen. response:	Are you afraid of the dark?
context: You'll be okay.\But it's true, I don't know anything.\About Mytho...\Am I sticking my nose in where it doesn't belong?\Edel-san.\A flame can illuminate the darkness.\But without the darkness, its glow cannot even be seen.\Are you afraid of the dark? response:	I see that you are in the darkness of uncertainty.
context: But it's true, I don't know anything.\About Mytho...\Am I sticking my nose in where it doesn't belong?\Edel-san.\A flame can illuminate the darkness.\But without the darkness, its glow cannot even be seen.\Are you afraid of the dark?\I see that you are in the darkness of uncertainty. response:	But if you wish to shine for someone, you must not fear the darkness.
