context: Don't, Nee-san! response:	Let go of me!
context: Michelle!\Crap! My attack hit her!\The more you fight it, the more magic it absorbs and the bigger it gets!\What should we do?!\Nothin' to it! Ain't no way I'm gonna lose against this blob!\Natsu, no!\Iron Fist of the Fire Dragon!\I hate obstinate people... response:	Wha...?!
context: Crap! My attack hit her!\The more you fight it, the more magic it absorbs and the bigger it gets!\What should we do?!\Nothin' to it! Ain't no way I'm gonna lose against this blob!\Natsu, no!\Iron Fist of the Fire Dragon!\I hate obstinate people...\Wha...?! response:	What's it doin' now?!
context: The more you fight it, the more magic it absorbs and the bigger it gets!\What should we do?!\Nothin' to it! Ain't no way I'm gonna lose against this blob!\Natsu, no!\Iron Fist of the Fire Dragon!\I hate obstinate people...\Wha...?!\What's it doin' now?! response:	It doesn't only absorb power,
context: What should we do?!\Nothin' to it! Ain't no way I'm gonna lose against this blob!\Natsu, no!\Iron Fist of the Fire Dragon!\I hate obstinate people...\Wha...?!\What's it doin' now?!\It doesn't only absorb power, response:	it can take on the properties of what it's absorbed!
context: Nothin' to it! Ain't no way I'm gonna lose against this blob!\Natsu, no!\Iron Fist of the Fire Dragon!\I hate obstinate people...\Wha...?!\What's it doin' now?!\It doesn't only absorb power,\it can take on the properties of what it's absorbed! response:	Natsu!
context: Natsu, no!\Iron Fist of the Fire Dragon!\I hate obstinate people...\Wha...?!\What's it doin' now?!\It doesn't only absorb power,\it can take on the properties of what it's absorbed!\Natsu! response:	Natsu is losing to fire?! I don't believe it!
context: Iron Fist of the Fire Dragon!\I hate obstinate people...\Wha...?!\What's it doin' now?!\It doesn't only absorb power,\it can take on the properties of what it's absorbed!\Natsu!\Natsu is losing to fire?! I don't believe it! response:	That's because the more magic it absorbs from the enemy,
context: I hate obstinate people...\Wha...?!\What's it doin' now?!\It doesn't only absorb power,\it can take on the properties of what it's absorbed!\Natsu!\Natsu is losing to fire?! I don't believe it!\That's because the more magic it absorbs from the enemy, response:	the more powerful it becomes.
context: Wha...?!\What's it doin' now?!\It doesn't only absorb power,\it can take on the properties of what it's absorbed!\Natsu!\Natsu is losing to fire?! I don't believe it!\That's because the more magic it absorbs from the enemy,\the more powerful it becomes. response:	Do you get it, pretty blue cat?
context: What's it doin' now?!\It doesn't only absorb power,\it can take on the properties of what it's absorbed!\Natsu!\Natsu is losing to fire?! I don't believe it!\That's because the more magic it absorbs from the enemy,\the more powerful it becomes.\Do you get it, pretty blue cat? response:	Don't call me that!
context: It doesn't only absorb power,\it can take on the properties of what it's absorbed!\Natsu!\Natsu is losing to fire?! I don't believe it!\That's because the more magic it absorbs from the enemy,\the more powerful it becomes.\Do you get it, pretty blue cat?\Don't call me that! response:	Natsu! Get out of there!
context: it can take on the properties of what it's absorbed!\Natsu!\Natsu is losing to fire?! I don't believe it!\That's because the more magic it absorbs from the enemy,\the more powerful it becomes.\Do you get it, pretty blue cat?\Don't call me that!\Natsu! Get out of there! response:	G-Good idea...
context: Natsu!\Natsu is losing to fire?! I don't believe it!\That's because the more magic it absorbs from the enemy,\the more powerful it becomes.\Do you get it, pretty blue cat?\Don't call me that!\Natsu! Get out of there!\G-Good idea... response:	Hey, hot boy!
context: Natsu is losing to fire?! I don't believe it!\That's because the more magic it absorbs from the enemy,\the more powerful it becomes.\Do you get it, pretty blue cat?\Don't call me that!\Natsu! Get out of there!\G-Good idea...\Hey, hot boy! response:	Fire, come on!
context: That's because the more magic it absorbs from the enemy,\the more powerful it becomes.\Do you get it, pretty blue cat?\Don't call me that!\Natsu! Get out of there!\G-Good idea...\Hey, hot boy!\Fire, come on! response:	My hound dog is truly the best!
context: the more powerful it becomes.\Do you get it, pretty blue cat?\Don't call me that!\Natsu! Get out of there!\G-Good idea...\Hey, hot boy!\Fire, come on!\My hound dog is truly the best! response:	Grow up! Grow! Yes!
context: Do you get it, pretty blue cat?\Don't call me that!\Natsu! Get out of there!\G-Good idea...\Hey, hot boy!\Fire, come on!\My hound dog is truly the best!\Grow up! Grow! Yes! response:	You ain't half-bad.
context: Don't call me that!\Natsu! Get out of there!\G-Good idea...\Hey, hot boy!\Fire, come on!\My hound dog is truly the best!\Grow up! Grow! Yes!\You ain't half-bad. response:	You as well...
context: Natsu! Get out of there!\G-Good idea...\Hey, hot boy!\Fire, come on!\My hound dog is truly the best!\Grow up! Grow! Yes!\You ain't half-bad.\You as well... response:	Crash?!
context: G-Good idea...\Hey, hot boy!\Fire, come on!\My hound dog is truly the best!\Grow up! Grow! Yes!\You ain't half-bad.\You as well...\Crash?! response:	He nullified it again! That's amazing! Too amazing!
context: Hey, hot boy!\Fire, come on!\My hound dog is truly the best!\Grow up! Grow! Yes!\You ain't half-bad.\You as well...\Crash?!\He nullified it again! That's amazing! Too amazing! response:	Coool!
context: Fire, come on!\My hound dog is truly the best!\Grow up! Grow! Yes!\You ain't half-bad.\You as well...\Crash?!\He nullified it again! That's amazing! Too amazing!\Coool! response:	I would like you to step aside.
context: My hound dog is truly the best!\Grow up! Grow! Yes!\You ain't half-bad.\You as well...\Crash?!\He nullified it again! That's amazing! Too amazing!\Coool!\I would like you to step aside. response:	You should clear the way by force.
context: Grow up! Grow! Yes!\You ain't half-bad.\You as well...\Crash?!\He nullified it again! That's amazing! Too amazing!\Coool!\I would like you to step aside.\You should clear the way by force. response:	Alright. Until you're out of my way then...
context: You ain't half-bad.\You as well...\Crash?!\He nullified it again! That's amazing! Too amazing!\Coool!\I would like you to step aside.\You should clear the way by force.\Alright. Until you're out of my way then... response:	Y'know, you're a pain in the ass...
context: You as well...\Crash?!\He nullified it again! That's amazing! Too amazing!\Coool!\I would like you to step aside.\You should clear the way by force.\Alright. Until you're out of my way then...\Y'know, you're a pain in the ass... response:	I could say the same about you.
context: Crash?!\He nullified it again! That's amazing! Too amazing!\Coool!\I would like you to step aside.\You should clear the way by force.\Alright. Until you're out of my way then...\Y'know, you're a pain in the ass...\I could say the same about you. response:	So what are you after, anyway?
context: He nullified it again! That's amazing! Too amazing!\Coool!\I would like you to step aside.\You should clear the way by force.\Alright. Until you're out of my way then...\Y'know, you're a pain in the ass...\I could say the same about you.\So what are you after, anyway? response:	Why are you givin' our guild so much grief?
context: Coool!\I would like you to step aside.\You should clear the way by force.\Alright. Until you're out of my way then...\Y'know, you're a pain in the ass...\I could say the same about you.\So what are you after, anyway?\Why are you givin' our guild so much grief? response:	Giving your guild grief? You speak foolishly...
context: I would like you to step aside.\You should clear the way by force.\Alright. Until you're out of my way then...\Y'know, you're a pain in the ass...\I could say the same about you.\So what are you after, anyway?\Why are you givin' our guild so much grief?\Giving your guild grief? You speak foolishly... response:	Unlike that Kain guy's controlling magic, she doesn't need to use hair...
context: You should clear the way by force.\Alright. Until you're out of my way then...\Y'know, you're a pain in the ass...\I could say the same about you.\So what are you after, anyway?\Why are you givin' our guild so much grief?\Giving your guild grief? You speak foolishly...\Unlike that Kain guy's controlling magic, she doesn't need to use hair... response:	But she can only control one person at a time,
context: Alright. Until you're out of my way then...\Y'know, you're a pain in the ass...\I could say the same about you.\So what are you after, anyway?\Why are you givin' our guild so much grief?\Giving your guild grief? You speak foolishly...\Unlike that Kain guy's controlling magic, she doesn't need to use hair...\But she can only control one person at a time, response:	and the effect probably only works within a set distance...
context: Y'know, you're a pain in the ass...\I could say the same about you.\So what are you after, anyway?\Why are you givin' our guild so much grief?\Giving your guild grief? You speak foolishly...\Unlike that Kain guy's controlling magic, she doesn't need to use hair...\But she can only control one person at a time,\and the effect probably only works within a set distance... response:	If I move far enough away, she probably won't be able to control me,
context: I could say the same about you.\So what are you after, anyway?\Why are you givin' our guild so much grief?\Giving your guild grief? You speak foolishly...\Unlike that Kain guy's controlling magic, she doesn't need to use hair...\But she can only control one person at a time,\and the effect probably only works within a set distance...\If I move far enough away, she probably won't be able to control me, response:	but in these circumstances...
context: So what are you after, anyway?\Why are you givin' our guild so much grief?\Giving your guild grief? You speak foolishly...\Unlike that Kain guy's controlling magic, she doesn't need to use hair...\But she can only control one person at a time,\and the effect probably only works within a set distance...\If I move far enough away, she probably won't be able to control me,\but in these circumstances... response:	Come clean, already!
context: Why are you givin' our guild so much grief?\Giving your guild grief? You speak foolishly...\Unlike that Kain guy's controlling magic, she doesn't need to use hair...\But she can only control one person at a time,\and the effect probably only works within a set distance...\If I move far enough away, she probably won't be able to control me,\but in these circumstances...\Come clean, already! response:	Where is she?!
context: Giving your guild grief? You speak foolishly...\Unlike that Kain guy's controlling magic, she doesn't need to use hair...\But she can only control one person at a time,\and the effect probably only works within a set distance...\If I move far enough away, she probably won't be able to control me,\but in these circumstances...\Come clean, already!\Where is she?! response:	Lily! What are you doing?!
context: Unlike that Kain guy's controlling magic, she doesn't need to use hair...\But she can only control one person at a time,\and the effect probably only works within a set distance...\If I move far enough away, she probably won't be able to control me,\but in these circumstances...\Come clean, already!\Where is she?!\Lily! What are you doing?! response:	I'll do something! Roar of the Sky Dragon!
context: But she can only control one person at a time,\and the effect probably only works within a set distance...\If I move far enough away, she probably won't be able to control me,\but in these circumstances...\Come clean, already!\Where is she?!\Lily! What are you doing?!\I'll do something! Roar of the Sky Dragon! response:	I missed!
context: and the effect probably only works within a set distance...\If I move far enough away, she probably won't be able to control me,\but in these circumstances...\Come clean, already!\Where is she?!\Lily! What are you doing?!\I'll do something! Roar of the Sky Dragon!\I missed! response:	That girl's always on the move!
context: If I move far enough away, she probably won't be able to control me,\but in these circumstances...\Come clean, already!\Where is she?!\Lily! What are you doing?!\I'll do something! Roar of the Sky Dragon!\I missed!\That girl's always on the move! response:	Shall I put you out of your misery, hot boy?
context: but in these circumstances...\Come clean, already!\Where is she?!\Lily! What are you doing?!\I'll do something! Roar of the Sky Dragon!\I missed!\That girl's always on the move!\Shall I put you out of your misery, hot boy? response:	Natsu!
context: Come clean, already!\Where is she?!\Lily! What are you doing?!\I'll do something! Roar of the Sky Dragon!\I missed!\That girl's always on the move!\Shall I put you out of your misery, hot boy?\Natsu! response:	Happy... Pick me up and fly!
context: Where is she?!\Lily! What are you doing?!\I'll do something! Roar of the Sky Dragon!\I missed!\That girl's always on the move!\Shall I put you out of your misery, hot boy?\Natsu!\Happy... Pick me up and fly! response:	What do you have in mind?
context: Lily! What are you doing?!\I'll do something! Roar of the Sky Dragon!\I missed!\That girl's always on the move!\Shall I put you out of your misery, hot boy?\Natsu!\Happy... Pick me up and fly!\What do you have in mind? response:	Anyway, fly!
context: I'll do something! Roar of the Sky Dragon!\I missed!\That girl's always on the move!\Shall I put you out of your misery, hot boy?\Natsu!\Happy... Pick me up and fly!\What do you have in mind?\Anyway, fly! response:	Aye, sir!
context: I missed!\That girl's always on the move!\Shall I put you out of your misery, hot boy?\Natsu!\Happy... Pick me up and fly!\What do you have in mind?\Anyway, fly!\Aye, sir! response:	You can run, but you can't hide, boy and cat!
context: That girl's always on the move!\Shall I put you out of your misery, hot boy?\Natsu!\Happy... Pick me up and fly!\What do you have in mind?\Anyway, fly!\Aye, sir!\You can run, but you can't hide, boy and cat! response:	Listen, Happy. Pitch me into that junk.
context: Shall I put you out of your misery, hot boy?\Natsu!\Happy... Pick me up and fly!\What do you have in mind?\Anyway, fly!\Aye, sir!\You can run, but you can't hide, boy and cat!\Listen, Happy. Pitch me into that junk. response:	What are you saying, Natsu?! If I do that, it'll absorb your magic again...
context: Natsu!\Happy... Pick me up and fly!\What do you have in mind?\Anyway, fly!\Aye, sir!\You can run, but you can't hide, boy and cat!\Listen, Happy. Pitch me into that junk.\What are you saying, Natsu?! If I do that, it'll absorb your magic again... response:	Just do it!
context: Happy... Pick me up and fly!\What do you have in mind?\Anyway, fly!\Aye, sir!\You can run, but you can't hide, boy and cat!\Listen, Happy. Pitch me into that junk.\What are you saying, Natsu?! If I do that, it'll absorb your magic again...\Just do it! response:	Aye!
context: What do you have in mind?\Anyway, fly!\Aye, sir!\You can run, but you can't hide, boy and cat!\Listen, Happy. Pitch me into that junk.\What are you saying, Natsu?! If I do that, it'll absorb your magic again...\Just do it!\Aye! response:	Go!
context: Anyway, fly!\Aye, sir!\You can run, but you can't hide, boy and cat!\Listen, Happy. Pitch me into that junk.\What are you saying, Natsu?! If I do that, it'll absorb your magic again...\Just do it!\Aye!\Go! response:	I'm sick an' tired of your slimy ass!
context: Aye, sir!\You can run, but you can't hide, boy and cat!\Listen, Happy. Pitch me into that junk.\What are you saying, Natsu?! If I do that, it'll absorb your magic again...\Just do it!\Aye!\Go!\I'm sick an' tired of your slimy ass! response:	I don't believe this... I'd say that's the very definition of reckless...
context: You can run, but you can't hide, boy and cat!\Listen, Happy. Pitch me into that junk.\What are you saying, Natsu?! If I do that, it'll absorb your magic again...\Just do it!\Aye!\Go!\I'm sick an' tired of your slimy ass!\I don't believe this... I'd say that's the very definition of reckless... response:	Spicy!
context: Listen, Happy. Pitch me into that junk.\What are you saying, Natsu?! If I do that, it'll absorb your magic again...\Just do it!\Aye!\Go!\I'm sick an' tired of your slimy ass!\I don't believe this... I'd say that's the very definition of reckless...\Spicy! response:	What are you trying to do, Natsu?
context: What are you saying, Natsu?! If I do that, it'll absorb your magic again...\Just do it!\Aye!\Go!\I'm sick an' tired of your slimy ass!\I don't believe this... I'd say that's the very definition of reckless...\Spicy!\What are you trying to do, Natsu? response:	I see!
context: Just do it!\Aye!\Go!\I'm sick an' tired of your slimy ass!\I don't believe this... I'd say that's the very definition of reckless...\Spicy!\What are you trying to do, Natsu?\I see! response:	Absorb the power! Yes! Absorb it all!
context: Aye!\Go!\I'm sick an' tired of your slimy ass!\I don't believe this... I'd say that's the very definition of reckless...\Spicy!\What are you trying to do, Natsu?\I see!\Absorb the power! Yes! Absorb it all! response:	Yummy!
context: Go!\I'm sick an' tired of your slimy ass!\I don't believe this... I'd say that's the very definition of reckless...\Spicy!\What are you trying to do, Natsu?\I see!\Absorb the power! Yes! Absorb it all!\Yummy! response:	Wha...?! This isn't good!
context: I'm sick an' tired of your slimy ass!\I don't believe this... I'd say that's the very definition of reckless...\Spicy!\What are you trying to do, Natsu?\I see!\Absorb the power! Yes! Absorb it all!\Yummy!\Wha...?! This isn't good! response:	Nooo! My hound dog got a blowout from eating too much?!
context: I don't believe this... I'd say that's the very definition of reckless...\Spicy!\What are you trying to do, Natsu?\I see!\Absorb the power! Yes! Absorb it all!\Yummy!\Wha...?! This isn't good!\Nooo! My hound dog got a blowout from eating too much?! response:	Well, now what are you gonna do?!
context: Spicy!\What are you trying to do, Natsu?\I see!\Absorb the power! Yes! Absorb it all!\Yummy!\Wha...?! This isn't good!\Nooo! My hound dog got a blowout from eating too much?!\Well, now what are you gonna do?! response:	Let go of my hand!
context: What are you trying to do, Natsu?\I see!\Absorb the power! Yes! Absorb it all!\Yummy!\Wha...?! This isn't good!\Nooo! My hound dog got a blowout from eating too much?!\Well, now what are you gonna do?!\Let go of my hand! response:	If this absorbs your ridiculous amount of power, we'll both blow up, hot boy!
context: I see!\Absorb the power! Yes! Absorb it all!\Yummy!\Wha...?! This isn't good!\Nooo! My hound dog got a blowout from eating too much?!\Well, now what are you gonna do?!\Let go of my hand!\If this absorbs your ridiculous amount of power, we'll both blow up, hot boy! response:	This is happening because of your damn putty! It ain't my fault!
context: Absorb the power! Yes! Absorb it all!\Yummy!\Wha...?! This isn't good!\Nooo! My hound dog got a blowout from eating too much?!\Well, now what are you gonna do?!\Let go of my hand!\If this absorbs your ridiculous amount of power, we'll both blow up, hot boy!\This is happening because of your damn putty! It ain't my fault! response:	In that case, I'll use my hound dog's increased power to just protect my fist!
context: Yummy!\Wha...?! This isn't good!\Nooo! My hound dog got a blowout from eating too much?!\Well, now what are you gonna do?!\Let go of my hand!\If this absorbs your ridiculous amount of power, we'll both blow up, hot boy!\This is happening because of your damn putty! It ain't my fault!\In that case, I'll use my hound dog's increased power to just protect my fist! response:	I'll make your arm half-cooked!
context: Wha...?! This isn't good!\Nooo! My hound dog got a blowout from eating too much?!\Well, now what are you gonna do?!\Let go of my hand!\If this absorbs your ridiculous amount of power, we'll both blow up, hot boy!\This is happening because of your damn putty! It ain't my fault!\In that case, I'll use my hound dog's increased power to just protect my fist!\I'll make your arm half-cooked! response:	Not if I have anything to say about it!
context: Nooo! My hound dog got a blowout from eating too much?!\Well, now what are you gonna do?!\Let go of my hand!\If this absorbs your ridiculous amount of power, we'll both blow up, hot boy!\This is happening because of your damn putty! It ain't my fault!\In that case, I'll use my hound dog's increased power to just protect my fist!\I'll make your arm half-cooked!\Not if I have anything to say about it! response:	What are those two doing?
context: Well, now what are you gonna do?!\Let go of my hand!\If this absorbs your ridiculous amount of power, we'll both blow up, hot boy!\This is happening because of your damn putty! It ain't my fault!\In that case, I'll use my hound dog's increased power to just protect my fist!\I'll make your arm half-cooked!\Not if I have anything to say about it!\What are those two doing? response:	There's no end to this...
context: Let go of my hand!\If this absorbs your ridiculous amount of power, we'll both blow up, hot boy!\This is happening because of your damn putty! It ain't my fault!\In that case, I'll use my hound dog's increased power to just protect my fist!\I'll make your arm half-cooked!\Not if I have anything to say about it!\What are those two doing?\There's no end to this... response:	Coool! What a fool Jason is!
context: If this absorbs your ridiculous amount of power, we'll both blow up, hot boy!\This is happening because of your damn putty! It ain't my fault!\In that case, I'll use my hound dog's increased power to just protect my fist!\I'll make your arm half-cooked!\Not if I have anything to say about it!\What are those two doing?\There's no end to this...\Coool! What a fool Jason is! response:	I just remembered!
context: This is happening because of your damn putty! It ain't my fault!\In that case, I'll use my hound dog's increased power to just protect my fist!\I'll make your arm half-cooked!\Not if I have anything to say about it!\What are those two doing?\There's no end to this...\Coool! What a fool Jason is!\I just remembered! response:	He's Byro Cracy! He belongs to the Legion Corps!
context: In that case, I'll use my hound dog's increased power to just protect my fist!\I'll make your arm half-cooked!\Not if I have anything to say about it!\What are those two doing?\There's no end to this...\Coool! What a fool Jason is!\I just remembered!\He's Byro Cracy! He belongs to the Legion Corps! response:	Legion Corps? What's that?
context: I'll make your arm half-cooked!\Not if I have anything to say about it!\What are those two doing?\There's no end to this...\Coool! What a fool Jason is!\I just remembered!\He's Byro Cracy! He belongs to the Legion Corps!\Legion Corps? What's that? response:	Zentopia has followers all over Fiore, not to mention all over the world!
context: Not if I have anything to say about it!\What are those two doing?\There's no end to this...\Coool! What a fool Jason is!\I just remembered!\He's Byro Cracy! He belongs to the Legion Corps!\Legion Corps? What's that?\Zentopia has followers all over Fiore, not to mention all over the world! response:	And the Legion Corps is a secret order of warriors
context: What are those two doing?\There's no end to this...\Coool! What a fool Jason is!\I just remembered!\He's Byro Cracy! He belongs to the Legion Corps!\Legion Corps? What's that?\Zentopia has followers all over Fiore, not to mention all over the world!\And the Legion Corps is a secret order of warriors response:	from the dark side of their history!
context: There's no end to this...\Coool! What a fool Jason is!\I just remembered!\He's Byro Cracy! He belongs to the Legion Corps!\Legion Corps? What's that?\Zentopia has followers all over Fiore, not to mention all over the world!\And the Legion Corps is a secret order of warriors\from the dark side of their history! response:	Apparently, it's comprised of fierce soldiers
context: Coool! What a fool Jason is!\I just remembered!\He's Byro Cracy! He belongs to the Legion Corps!\Legion Corps? What's that?\Zentopia has followers all over Fiore, not to mention all over the world!\And the Legion Corps is a secret order of warriors\from the dark side of their history!\Apparently, it's comprised of fierce soldiers response:	who've been through training so harsh that not even a priest could endure it!
context: I just remembered!\He's Byro Cracy! He belongs to the Legion Corps!\Legion Corps? What's that?\Zentopia has followers all over Fiore, not to mention all over the world!\And the Legion Corps is a secret order of warriors\from the dark side of their history!\Apparently, it's comprised of fierce soldiers\who've been through training so harsh that not even a priest could endure it! response:	And what does this secret order want with Fairy Tail?
context: He's Byro Cracy! He belongs to the Legion Corps!\Legion Corps? What's that?\Zentopia has followers all over Fiore, not to mention all over the world!\And the Legion Corps is a secret order of warriors\from the dark side of their history!\Apparently, it's comprised of fierce soldiers\who've been through training so harsh that not even a priest could endure it!\And what does this secret order want with Fairy Tail? response:	There's no need to tell you that.
context: Legion Corps? What's that?\Zentopia has followers all over Fiore, not to mention all over the world!\And the Legion Corps is a secret order of warriors\from the dark side of their history!\Apparently, it's comprised of fierce soldiers\who've been through training so harsh that not even a priest could endure it!\And what does this secret order want with Fairy Tail?\There's no need to tell you that. response:	Tell me!
context: Zentopia has followers all over Fiore, not to mention all over the world!\And the Legion Corps is a secret order of warriors\from the dark side of their history!\Apparently, it's comprised of fierce soldiers\who've been through training so harsh that not even a priest could endure it!\And what does this secret order want with Fairy Tail?\There's no need to tell you that.\Tell me! response:	Fairy Tail isn't a guild that can be crushed so easily!
context: And the Legion Corps is a secret order of warriors\from the dark side of their history!\Apparently, it's comprised of fierce soldiers\who've been through training so harsh that not even a priest could endure it!\And what does this secret order want with Fairy Tail?\There's no need to tell you that.\Tell me!\Fairy Tail isn't a guild that can be crushed so easily! response:	That's why I'm not all that worried, to be frank.
context: from the dark side of their history!\Apparently, it's comprised of fierce soldiers\who've been through training so harsh that not even a priest could endure it!\And what does this secret order want with Fairy Tail?\There's no need to tell you that.\Tell me!\Fairy Tail isn't a guild that can be crushed so easily!\That's why I'm not all that worried, to be frank. response:	The thing is...
context: Apparently, it's comprised of fierce soldiers\who've been through training so harsh that not even a priest could endure it!\And what does this secret order want with Fairy Tail?\There's no need to tell you that.\Tell me!\Fairy Tail isn't a guild that can be crushed so easily!\That's why I'm not all that worried, to be frank.\The thing is... response:	Oh?
context: who've been through training so harsh that not even a priest could endure it!\And what does this secret order want with Fairy Tail?\There's no need to tell you that.\Tell me!\Fairy Tail isn't a guild that can be crushed so easily!\That's why I'm not all that worried, to be frank.\The thing is...\Oh? response:	However, we only have business with Lucy Heartfilia.
context: And what does this secret order want with Fairy Tail?\There's no need to tell you that.\Tell me!\Fairy Tail isn't a guild that can be crushed so easily!\That's why I'm not all that worried, to be frank.\The thing is...\Oh?\However, we only have business with Lucy Heartfilia. response:	What business with Lucy?!
context: There's no need to tell you that.\Tell me!\Fairy Tail isn't a guild that can be crushed so easily!\That's why I'm not all that worried, to be frank.\The thing is...\Oh?\However, we only have business with Lucy Heartfilia.\What business with Lucy?! response:	Your eyes tell me how serious you are.
context: Tell me!\Fairy Tail isn't a guild that can be crushed so easily!\That's why I'm not all that worried, to be frank.\The thing is...\Oh?\However, we only have business with Lucy Heartfilia.\What business with Lucy?!\Your eyes tell me how serious you are. response:	But so are we.
context: Fairy Tail isn't a guild that can be crushed so easily!\That's why I'm not all that worried, to be frank.\The thing is...\Oh?\However, we only have business with Lucy Heartfilia.\What business with Lucy?!\Your eyes tell me how serious you are.\But so are we. response:	This is no simple mission.
context: That's why I'm not all that worried, to be frank.\The thing is...\Oh?\However, we only have business with Lucy Heartfilia.\What business with Lucy?!\Your eyes tell me how serious you are.\But so are we.\This is no simple mission. response:	The Archbishop of Zentopia has entrusted us with this...
context: The thing is...\Oh?\However, we only have business with Lucy Heartfilia.\What business with Lucy?!\Your eyes tell me how serious you are.\But so are we.\This is no simple mission.\The Archbishop of Zentopia has entrusted us with this... response:	This crusade, so to speak...
context: Oh?\However, we only have business with Lucy Heartfilia.\What business with Lucy?!\Your eyes tell me how serious you are.\But so are we.\This is no simple mission.\The Archbishop of Zentopia has entrusted us with this...\This crusade, so to speak... response:	Crusade?
context: However, we only have business with Lucy Heartfilia.\What business with Lucy?!\Your eyes tell me how serious you are.\But so are we.\This is no simple mission.\The Archbishop of Zentopia has entrusted us with this...\This crusade, so to speak...\Crusade? response:	Indeed... It's very important that this crusade be carried out.
context: What business with Lucy?!\Your eyes tell me how serious you are.\But so are we.\This is no simple mission.\The Archbishop of Zentopia has entrusted us with this...\This crusade, so to speak...\Crusade?\Indeed... It's very important that this crusade be carried out. response:	Get out of here!
context: Your eyes tell me how serious you are.\But so are we.\This is no simple mission.\The Archbishop of Zentopia has entrusted us with this...\This crusade, so to speak...\Crusade?\Indeed... It's very important that this crusade be carried out.\Get out of here! response:	Huh?
context: But so are we.\This is no simple mission.\The Archbishop of Zentopia has entrusted us with this...\This crusade, so to speak...\Crusade?\Indeed... It's very important that this crusade be carried out.\Get out of here!\Huh? response:	There's no point in being a field reporter if you die on the scene.
context: This is no simple mission.\The Archbishop of Zentopia has entrusted us with this...\This crusade, so to speak...\Crusade?\Indeed... It's very important that this crusade be carried out.\Get out of here!\Huh?\There's no point in being a field reporter if you die on the scene. response:	Now run away!
context: The Archbishop of Zentopia has entrusted us with this...\This crusade, so to speak...\Crusade?\Indeed... It's very important that this crusade be carried out.\Get out of here!\Huh?\There's no point in being a field reporter if you die on the scene.\Now run away! response:	Bring it.
context: This crusade, so to speak...\Crusade?\Indeed... It's very important that this crusade be carried out.\Get out of here!\Huh?\There's no point in being a field reporter if you die on the scene.\Now run away!\Bring it. response:	Found you!
context: Crusade?\Indeed... It's very important that this crusade be carried out.\Get out of here!\Huh?\There's no point in being a field reporter if you die on the scene.\Now run away!\Bring it.\Found you! response:	Y'know, this has taken more time than I thought it would.
context: Indeed... It's very important that this crusade be carried out.\Get out of here!\Huh?\There's no point in being a field reporter if you die on the scene.\Now run away!\Bring it.\Found you!\Y'know, this has taken more time than I thought it would. response:	But that's because we didn't have any information about what you looked like...
context: Get out of here!\Huh?\There's no point in being a field reporter if you die on the scene.\Now run away!\Bring it.\Found you!\Y'know, this has taken more time than I thought it would.\But that's because we didn't have any information about what you looked like... response:	Wake up...
context: Huh?\There's no point in being a field reporter if you die on the scene.\Now run away!\Bring it.\Found you!\Y'know, this has taken more time than I thought it would.\But that's because we didn't have any information about what you looked like...\Wake up... response:	Wake up, Michelle!
context: There's no point in being a field reporter if you die on the scene.\Now run away!\Bring it.\Found you!\Y'know, this has taken more time than I thought it would.\But that's because we didn't have any information about what you looked like...\Wake up...\Wake up, Michelle! response:	Awesome!
context: Now run away!\Bring it.\Found you!\Y'know, this has taken more time than I thought it would.\But that's because we didn't have any information about what you looked like...\Wake up...\Wake up, Michelle!\Awesome! response:	Okay, now. Come on over here!
context: Bring it.\Found you!\Y'know, this has taken more time than I thought it would.\But that's because we didn't have any information about what you looked like...\Wake up...\Wake up, Michelle!\Awesome!\Okay, now. Come on over here! response:	Why are you after Lucy?!
context: Found you!\Y'know, this has taken more time than I thought it would.\But that's because we didn't have any information about what you looked like...\Wake up...\Wake up, Michelle!\Awesome!\Okay, now. Come on over here!\Why are you after Lucy?! response:	To be precise, it's not Lucy Heartfilia herself that we want.
context: Y'know, this has taken more time than I thought it would.\But that's because we didn't have any information about what you looked like...\Wake up...\Wake up, Michelle!\Awesome!\Okay, now. Come on over here!\Why are you after Lucy?!\To be precise, it's not Lucy Heartfilia herself that we want. response:	What we're looking for is...
context: But that's because we didn't have any information about what you looked like...\Wake up...\Wake up, Michelle!\Awesome!\Okay, now. Come on over here!\Why are you after Lucy?!\To be precise, it's not Lucy Heartfilia herself that we want.\What we're looking for is... response:	Hit this bastard! Hit'im!
context: Wake up...\Wake up, Michelle!\Awesome!\Okay, now. Come on over here!\Why are you after Lucy?!\To be precise, it's not Lucy Heartfilia herself that we want.\What we're looking for is...\Hit this bastard! Hit'im! response:	Before that, why don't you let go of my hand?
context: Wake up, Michelle!\Awesome!\Okay, now. Come on over here!\Why are you after Lucy?!\To be precise, it's not Lucy Heartfilia herself that we want.\What we're looking for is...\Hit this bastard! Hit'im!\Before that, why don't you let go of my hand? response:	I'm not interested in holding hands with a man
context: Awesome!\Okay, now. Come on over here!\Why are you after Lucy?!\To be precise, it's not Lucy Heartfilia herself that we want.\What we're looking for is...\Hit this bastard! Hit'im!\Before that, why don't you let go of my hand?\I'm not interested in holding hands with a man response:	and I hate both sweetness and obstinacy!
context: Okay, now. Come on over here!\Why are you after Lucy?!\To be precise, it's not Lucy Heartfilia herself that we want.\What we're looking for is...\Hit this bastard! Hit'im!\Before that, why don't you let go of my hand?\I'm not interested in holding hands with a man\and I hate both sweetness and obstinacy! response:	It's not like I'm holdin' your hand because I want to!
