context: Excuse me! response:	I'd like a Baby Star monja and a
context: I'm sure you've noticed how cute I am.\Boys always flock to me.\That's why I'm always shunned by girls.\W-Wait for me!\That spot is dry.\Please look at this.\High School Community\The appointment I mentioned earlier response:	was an offline gathering for the members
context: Boys always flock to me.\That's why I'm always shunned by girls.\W-Wait for me!\That spot is dry.\Please look at this.\High School Community\The appointment I mentioned earlier\was an offline gathering for the members response:	of an online community that I belong to.
context: That's why I'm always shunned by girls.\W-Wait for me!\That spot is dry.\Please look at this.\High School Community\The appointment I mentioned earlier\was an offline gathering for the members\of an online community that I belong to. response:	The members are all strangers,
context: W-Wait for me!\That spot is dry.\Please look at this.\High School Community\The appointment I mentioned earlier\was an offline gathering for the members\of an online community that I belong to.\The members are all strangers, response:	but they're the first friends I've ever made.
context: That spot is dry.\Please look at this.\High School Community\The appointment I mentioned earlier\was an offline gathering for the members\of an online community that I belong to.\The members are all strangers,\but they're the first friends I've ever made. response:	That's why you don't want to take the remedial class?
context: Please look at this.\High School Community\The appointment I mentioned earlier\was an offline gathering for the members\of an online community that I belong to.\The members are all strangers,\but they're the first friends I've ever made.\That's why you don't want to take the remedial class? response:	Yes.
context: High School Community\The appointment I mentioned earlier\was an offline gathering for the members\of an online community that I belong to.\The members are all strangers,\but they're the first friends I've ever made.\That's why you don't want to take the remedial class?\Yes. response:	I still refuse.
context: The appointment I mentioned earlier\was an offline gathering for the members\of an online community that I belong to.\The members are all strangers,\but they're the first friends I've ever made.\That's why you don't want to take the remedial class?\Yes.\I still refuse. response:	Evil!
context: was an offline gathering for the members\of an online community that I belong to.\The members are all strangers,\but they're the first friends I've ever made.\That's why you don't want to take the remedial class?\Yes.\I still refuse.\Evil! response:	This is what you get for being a slacker.
context: of an online community that I belong to.\The members are all strangers,\but they're the first friends I've ever made.\That's why you don't want to take the remedial class?\Yes.\I still refuse.\Evil!\This is what you get for being a slacker. response:	Give up.
context: The members are all strangers,\but they're the first friends I've ever made.\That's why you don't want to take the remedial class?\Yes.\I still refuse.\Evil!\This is what you get for being a slacker.\Give up. response:	Mercy, please!
context: but they're the first friends I've ever made.\That's why you don't want to take the remedial class?\Yes.\I still refuse.\Evil!\This is what you get for being a slacker.\Give up.\Mercy, please! response:	Hey.
context: That's why you don't want to take the remedial class?\Yes.\I still refuse.\Evil!\This is what you get for being a slacker.\Give up.\Mercy, please!\Hey. response:	I can help you study.
context: Yes.\I still refuse.\Evil!\This is what you get for being a slacker.\Give up.\Mercy, please!\Hey.\I can help you study. response:	R-Really?!
context: I still refuse.\Evil!\This is what you get for being a slacker.\Give up.\Mercy, please!\Hey.\I can help you study.\R-Really?! response:	Yeah, I got you covered.
context: Evil!\This is what you get for being a slacker.\Give up.\Mercy, please!\Hey.\I can help you study.\R-Really?!\Yeah, I got you covered. response:	In return, take me with you.
context: This is what you get for being a slacker.\Give up.\Mercy, please!\Hey.\I can help you study.\R-Really?!\Yeah, I got you covered.\In return, take me with you. response:	Okay! Okay!
context: Give up.\Mercy, please!\Hey.\I can help you study.\R-Really?!\Yeah, I got you covered.\In return, take me with you.\Okay! Okay! response:	Will I be able to make friends at this offline gathering?
context: Mercy, please!\Hey.\I can help you study.\R-Really?!\Yeah, I got you covered.\In return, take me with you.\Okay! Okay!\Will I be able to make friends at this offline gathering? response:	You bet! You bet!
context: Hey.\I can help you study.\R-Really?!\Yeah, I got you covered.\In return, take me with you.\Okay! Okay!\Will I be able to make friends at this offline gathering?\You bet! You bet! response:	Oh, but please don't fall in love with me.
context: I can help you study.\R-Really?!\Yeah, I got you covered.\In return, take me with you.\Okay! Okay!\Will I be able to make friends at this offline gathering?\You bet! You bet!\Oh, but please don't fall in love with me. response:	It'd be a hassle.
context: R-Really?!\Yeah, I got you covered.\In return, take me with you.\Okay! Okay!\Will I be able to make friends at this offline gathering?\You bet! You bet!\Oh, but please don't fall in love with me.\It'd be a hassle. response:	Yeah, not a problem.
context: Yeah, I got you covered.\In return, take me with you.\Okay! Okay!\Will I be able to make friends at this offline gathering?\You bet! You bet!\Oh, but please don't fall in love with me.\It'd be a hassle.\Yeah, not a problem. response:	That's never happening.
context: In return, take me with you.\Okay! Okay!\Will I be able to make friends at this offline gathering?\You bet! You bet!\Oh, but please don't fall in love with me.\It'd be a hassle.\Yeah, not a problem.\That's never happening. response:	Math I
context: Okay! Okay!\Will I be able to make friends at this offline gathering?\You bet! You bet!\Oh, but please don't fall in love with me.\It'd be a hassle.\Yeah, not a problem.\That's never happening.\Math I response:	Let's start with math.
context: Will I be able to make friends at this offline gathering?\You bet! You bet!\Oh, but please don't fall in love with me.\It'd be a hassle.\Yeah, not a problem.\That's never happening.\Math I\Let's start with math. response:	Thank you very much!
context: You bet! You bet!\Oh, but please don't fall in love with me.\It'd be a hassle.\Yeah, not a problem.\That's never happening.\Math I\Let's start with math.\Thank you very much! response:	Why are they doing this here?
context: Oh, but please don't fall in love with me.\It'd be a hassle.\Yeah, not a problem.\That's never happening.\Math I\Let's start with math.\Thank you very much!\Why are they doing this here? response:	Okay, watch closely.
context: It'd be a hassle.\Yeah, not a problem.\That's never happening.\Math I\Let's start with math.\Thank you very much!\Why are they doing this here?\Okay, watch closely. response:	Yes!
context: Yeah, not a problem.\That's never happening.\Math I\Let's start with math.\Thank you very much!\Why are they doing this here?\Okay, watch closely.\Yes! response:	You do this...
context: That's never happening.\Math I\Let's start with math.\Thank you very much!\Why are they doing this here?\Okay, watch closely.\Yes!\You do this... response:	I don't understand!
context: Math I\Let's start with math.\Thank you very much!\Why are they doing this here?\Okay, watch closely.\Yes!\You do this...\I don't understand! response:	Okay, memorize that.
context: Let's start with math.\Thank you very much!\Why are they doing this here?\Okay, watch closely.\Yes!\You do this...\I don't understand!\Okay, memorize that. response:	And for Japanese, English, and history, read the textbook.
context: Thank you very much!\Why are they doing this here?\Okay, watch closely.\Yes!\You do this...\I don't understand!\Okay, memorize that.\And for Japanese, English, and history, read the textbook. response:	All done.
context: Why are they doing this here?\Okay, watch closely.\Yes!\You do this...\I don't understand!\Okay, memorize that.\And for Japanese, English, and history, read the textbook.\All done. response:	Well, at least I'm not alone with Haru...
context: Okay, watch closely.\Yes!\You do this...\I don't understand!\Okay, memorize that.\And for Japanese, English, and history, read the textbook.\All done.\Well, at least I'm not alone with Haru... response:	Idiot.
context: Yes!\You do this...\I don't understand!\Okay, memorize that.\And for Japanese, English, and history, read the textbook.\All done.\Well, at least I'm not alone with Haru...\Idiot. response:	You make the x squared an x.
context: You do this...\I don't understand!\Okay, memorize that.\And for Japanese, English, and history, read the textbook.\All done.\Well, at least I'm not alone with Haru...\Idiot.\You make the x squared an x. response:	Yes...
context: I don't understand!\Okay, memorize that.\And for Japanese, English, and history, read the textbook.\All done.\Well, at least I'm not alone with Haru...\Idiot.\You make the x squared an x.\Yes... response:	No, how did you get 5, stupid?
context: Okay, memorize that.\And for Japanese, English, and history, read the textbook.\All done.\Well, at least I'm not alone with Haru...\Idiot.\You make the x squared an x.\Yes...\No, how did you get 5, stupid? response:	Yes...
context: And for Japanese, English, and history, read the textbook.\All done.\Well, at least I'm not alone with Haru...\Idiot.\You make the x squared an x.\Yes...\No, how did you get 5, stupid?\Yes... response:	Here, look closely.
context: All done.\Well, at least I'm not alone with Haru...\Idiot.\You make the x squared an x.\Yes...\No, how did you get 5, stupid?\Yes...\Here, look closely. response:	Not at me.
context: Well, at least I'm not alone with Haru...\Idiot.\You make the x squared an x.\Yes...\No, how did you get 5, stupid?\Yes...\Here, look closely.\Not at me. response:	Oh, yes!
context: Idiot.\You make the x squared an x.\Yes...\No, how did you get 5, stupid?\Yes...\Here, look closely.\Not at me.\Oh, yes! response:	You do this...
context: You make the x squared an x.\Yes...\No, how did you get 5, stupid?\Yes...\Here, look closely.\Not at me.\Oh, yes!\You do this... response:	Hmm? What was that?
context: Yes...\No, how did you get 5, stupid?\Yes...\Here, look closely.\Not at me.\Oh, yes!\You do this...\Hmm? What was that? response:	You don't get any.
context: No, how did you get 5, stupid?\Yes...\Here, look closely.\Not at me.\Oh, yes!\You do this...\Hmm? What was that?\You don't get any. response:	Have you seen that girl around?
context: Yes...\Here, look closely.\Not at me.\Oh, yes!\You do this...\Hmm? What was that?\You don't get any.\Have you seen that girl around? response:	Y-You mean Natsume-san?
context: Here, look closely.\Not at me.\Oh, yes!\You do this...\Hmm? What was that?\You don't get any.\Have you seen that girl around?\Y-You mean Natsume-san? response:	No...
context: Not at me.\Oh, yes!\You do this...\Hmm? What was that?\You don't get any.\Have you seen that girl around?\Y-You mean Natsume-san?\No... response:	Damn, where'd she go?
context: Oh, yes!\You do this...\Hmm? What was that?\You don't get any.\Have you seen that girl around?\Y-You mean Natsume-san?\No...\Damn, where'd she go? response:	Oh, there it is again.
context: You do this...\Hmm? What was that?\You don't get any.\Have you seen that girl around?\Y-You mean Natsume-san?\No...\Damn, where'd she go?\Oh, there it is again. response:	I feel so agitated.
context: Hmm? What was that?\You don't get any.\Have you seen that girl around?\Y-You mean Natsume-san?\No...\Damn, where'd she go?\Oh, there it is again.\I feel so agitated. response:	Nagoya, want some cabbage?
context: You don't get any.\Have you seen that girl around?\Y-You mean Natsume-san?\No...\Damn, where'd she go?\Oh, there it is again.\I feel so agitated.\Nagoya, want some cabbage? response:	H-Ho
context: Have you seen that girl around?\Y-You mean Natsume-san?\No...\Damn, where'd she go?\Oh, there it is again.\I feel so agitated.\Nagoya, want some cabbage?\H-Ho response:	How's the studying going?
context: Y-You mean Natsume-san?\No...\Damn, where'd she go?\Oh, there it is again.\I feel so agitated.\Nagoya, want some cabbage?\H-Ho\How's the studying going? response:	I-It's too late to trade places now!
context: No...\Damn, where'd she go?\Oh, there it is again.\I feel so agitated.\Nagoya, want some cabbage?\H-Ho\How's the studying going?\I-It's too late to trade places now! response:	I'm the one going to the offline event!
context: Damn, where'd she go?\Oh, there it is again.\I feel so agitated.\Nagoya, want some cabbage?\H-Ho\How's the studying going?\I-It's too late to trade places now!\I'm the one going to the offline event! response:	Not my point.
context: Oh, there it is again.\I feel so agitated.\Nagoya, want some cabbage?\H-Ho\How's the studying going?\I-It's too late to trade places now!\I'm the one going to the offline event!\Not my point. response:	Is it really such a big deal?
context: I feel so agitated.\Nagoya, want some cabbage?\H-Ho\How's the studying going?\I-It's too late to trade places now!\I'm the one going to the offline event!\Not my point.\Is it really such a big deal? response:	You and Natsume-san are so odd.
context: Nagoya, want some cabbage?\H-Ho\How's the studying going?\I-It's too late to trade places now!\I'm the one going to the offline event!\Not my point.\Is it really such a big deal?\You and Natsume-san are so odd. response:	Does it really matter that people don't like you?
context: H-Ho\How's the studying going?\I-It's too late to trade places now!\I'm the one going to the offline event!\Not my point.\Is it really such a big deal?\You and Natsume-san are so odd.\Does it really matter that people don't like you? response:	You're really special, Shizuku.
context: How's the studying going?\I-It's too late to trade places now!\I'm the one going to the offline event!\Not my point.\Is it really such a big deal?\You and Natsume-san are so odd.\Does it really matter that people don't like you?\You're really special, Shizuku. response:	What was that look about?
context: I-It's too late to trade places now!\I'm the one going to the offline event!\Not my point.\Is it really such a big deal?\You and Natsume-san are so odd.\Does it really matter that people don't like you?\You're really special, Shizuku.\What was that look about? response:	Have you ever felt empty inside?
context: I'm the one going to the offline event!\Not my point.\Is it really such a big deal?\You and Natsume-san are so odd.\Does it really matter that people don't like you?\You're really special, Shizuku.\What was that look about?\Have you ever felt empty inside? response:	Huh?
context: Not my point.\Is it really such a big deal?\You and Natsume-san are so odd.\Does it really matter that people don't like you?\You're really special, Shizuku.\What was that look about?\Have you ever felt empty inside?\Huh? response:	So empty...
context: Is it really such a big deal?\You and Natsume-san are so odd.\Does it really matter that people don't like you?\You're really special, Shizuku.\What was that look about?\Have you ever felt empty inside?\Huh?\So empty... response:	you can't feel a thing.
context: You and Natsume-san are so odd.\Does it really matter that people don't like you?\You're really special, Shizuku.\What was that look about?\Have you ever felt empty inside?\Huh?\So empty...\you can't feel a thing. response:	Surrounded by darkness.
context: Does it really matter that people don't like you?\You're really special, Shizuku.\What was that look about?\Have you ever felt empty inside?\Huh?\So empty...\you can't feel a thing.\Surrounded by darkness. response:	It really scares me.
context: You're really special, Shizuku.\What was that look about?\Have you ever felt empty inside?\Huh?\So empty...\you can't feel a thing.\Surrounded by darkness.\It really scares me. response:	But I'm not scared anymore...
context: What was that look about?\Have you ever felt empty inside?\Huh?\So empty...\you can't feel a thing.\Surrounded by darkness.\It really scares me.\But I'm not scared anymore... response:	because I have you.
context: Have you ever felt empty inside?\Huh?\So empty...\you can't feel a thing.\Surrounded by darkness.\It really scares me.\But I'm not scared anymore...\because I have you. response:	As Haru spoke,
context: Huh?\So empty...\you can't feel a thing.\Surrounded by darkness.\It really scares me.\But I'm not scared anymore...\because I have you.\As Haru spoke, response:	it almost seemed that he couldn't see anything at all,
context: So empty...\you can't feel a thing.\Surrounded by darkness.\It really scares me.\But I'm not scared anymore...\because I have you.\As Haru spoke,\it almost seemed that he couldn't see anything at all, response:	even though I was right there...
context: you can't feel a thing.\Surrounded by darkness.\It really scares me.\But I'm not scared anymore...\because I have you.\As Haru spoke,\it almost seemed that he couldn't see anything at all,\even though I was right there... response:	Listen up. Black holes are...
context: Surrounded by darkness.\It really scares me.\But I'm not scared anymore...\because I have you.\As Haru spoke,\it almost seemed that he couldn't see anything at all,\even though I was right there...\Listen up. Black holes are... response:	What's that?
context: It really scares me.\But I'm not scared anymore...\because I have you.\As Haru spoke,\it almost seemed that he couldn't see anything at all,\even though I was right there...\Listen up. Black holes are...\What's that? response:	Please help me study.
context: But I'm not scared anymore...\because I have you.\As Haru spoke,\it almost seemed that he couldn't see anything at all,\even though I was right there...\Listen up. Black holes are...\What's that?\Please help me study. response:	There's definitely something wrong with me.
context: because I have you.\As Haru spoke,\it almost seemed that he couldn't see anything at all,\even though I was right there...\Listen up. Black holes are...\What's that?\Please help me study.\There's definitely something wrong with me. response:	I never would have thought about these things before.
context: As Haru spoke,\it almost seemed that he couldn't see anything at all,\even though I was right there...\Listen up. Black holes are...\What's that?\Please help me study.\There's definitely something wrong with me.\I never would have thought about these things before. response:	I didn't care what other people thought about me.
context: it almost seemed that he couldn't see anything at all,\even though I was right there...\Listen up. Black holes are...\What's that?\Please help me study.\There's definitely something wrong with me.\I never would have thought about these things before.\I didn't care what other people thought about me. response:	I need to study.
context: even though I was right there...\Listen up. Black holes are...\What's that?\Please help me study.\There's definitely something wrong with me.\I never would have thought about these things before.\I didn't care what other people thought about me.\I need to study. response:	Final exams are coming up.
context: Listen up. Black holes are...\What's that?\Please help me study.\There's definitely something wrong with me.\I never would have thought about these things before.\I didn't care what other people thought about me.\I need to study.\Final exams are coming up. response:	Tests, tests, tests...
context: What's that?\Please help me study.\There's definitely something wrong with me.\I never would have thought about these things before.\I didn't care what other people thought about me.\I need to study.\Final exams are coming up.\Tests, tests, tests... response:	There's so much background noise that I can't concentrate.
context: Please help me study.\There's definitely something wrong with me.\I never would have thought about these things before.\I didn't care what other people thought about me.\I need to study.\Final exams are coming up.\Tests, tests, tests...\There's so much background noise that I can't concentrate. response:	Man, it's hot...
context: There's definitely something wrong with me.\I never would have thought about these things before.\I didn't care what other people thought about me.\I need to study.\Final exams are coming up.\Tests, tests, tests...\There's so much background noise that I can't concentrate.\Man, it's hot... response:	The upperclassmen aren't being fair.
context: I never would have thought about these things before.\I didn't care what other people thought about me.\I need to study.\Final exams are coming up.\Tests, tests, tests...\There's so much background noise that I can't concentrate.\Man, it's hot...\The upperclassmen aren't being fair. response:	I know.
context: I didn't care what other people thought about me.\I need to study.\Final exams are coming up.\Tests, tests, tests...\There's so much background noise that I can't concentrate.\Man, it's hot...\The upperclassmen aren't being fair.\I know. response:	Mizutani-san.
context: I need to study.\Final exams are coming up.\Tests, tests, tests...\There's so much background noise that I can't concentrate.\Man, it's hot...\The upperclassmen aren't being fair.\I know.\Mizutani-san. response:	Who are you?
context: Final exams are coming up.\Tests, tests, tests...\There's so much background noise that I can't concentrate.\Man, it's hot...\The upperclassmen aren't being fair.\I know.\Mizutani-san.\Who are you? response:	What?
context: Tests, tests, tests...\There's so much background noise that I can't concentrate.\Man, it's hot...\The upperclassmen aren't being fair.\I know.\Mizutani-san.\Who are you?\What? response:	You should try to remember the faces of your classmates.
context: There's so much background noise that I can't concentrate.\Man, it's hot...\The upperclassmen aren't being fair.\I know.\Mizutani-san.\Who are you?\What?\You should try to remember the faces of your classmates. response:	I'm Sasahara.
context: Man, it's hot...\The upperclassmen aren't being fair.\I know.\Mizutani-san.\Who are you?\What?\You should try to remember the faces of your classmates.\I'm Sasahara. response:	You can call me Sasayan.
context: The upperclassmen aren't being fair.\I know.\Mizutani-san.\Who are you?\What?\You should try to remember the faces of your classmates.\I'm Sasahara.\You can call me Sasayan. response:	Oh...
context: I know.\Mizutani-san.\Who are you?\What?\You should try to remember the faces of your classmates.\I'm Sasahara.\You can call me Sasayan.\Oh... response:	So, did you need something?
context: Mizutani-san.\Who are you?\What?\You should try to remember the faces of your classmates.\I'm Sasahara.\You can call me Sasayan.\Oh...\So, did you need something? response:	Not really.
context: Who are you?\What?\You should try to remember the faces of your classmates.\I'm Sasahara.\You can call me Sasayan.\Oh...\So, did you need something?\Not really. response:	I'm interested in you.
context: What?\You should try to remember the faces of your classmates.\I'm Sasahara.\You can call me Sasayan.\Oh...\So, did you need something?\Not really.\I'm interested in you. response:	Why?
context: You should try to remember the faces of your classmates.\I'm Sasahara.\You can call me Sasayan.\Oh...\So, did you need something?\Not really.\I'm interested in you.\Why? response:	Because I like you.
context: I'm Sasahara.\You can call me Sasayan.\Oh...\So, did you need something?\Not really.\I'm interested in you.\Why?\Because I like you. response:	You're lying.
context: You can call me Sasayan.\Oh...\So, did you need something?\Not really.\I'm interested in you.\Why?\Because I like you.\You're lying. response:	You can tell?
context: Oh...\So, did you need something?\Not really.\I'm interested in you.\Why?\Because I like you.\You're lying.\You can tell? response:	You've been hanging out with Yoshida,
context: So, did you need something?\Not really.\I'm interested in you.\Why?\Because I like you.\You're lying.\You can tell?\You've been hanging out with Yoshida, response:	so I was wondering what you were like.
context: Not really.\I'm interested in you.\Why?\Because I like you.\You're lying.\You can tell?\You've been hanging out with Yoshida,\so I was wondering what you were like. response:	So, how did you get that truant to come to school?
context: I'm interested in you.\Why?\Because I like you.\You're lying.\You can tell?\You've been hanging out with Yoshida,\so I was wondering what you were like.\So, how did you get that truant to come to school? response:	Beats me.
context: Why?\Because I like you.\You're lying.\You can tell?\You've been hanging out with Yoshida,\so I was wondering what you were like.\So, how did you get that truant to come to school?\Beats me. response:	I have no idea what he's thinking.
context: Because I like you.\You're lying.\You can tell?\You've been hanging out with Yoshida,\so I was wondering what you were like.\So, how did you get that truant to come to school?\Beats me.\I have no idea what he's thinking. response:	I'm guessing he just wanted a friend. Didn't matter who.
context: You're lying.\You can tell?\You've been hanging out with Yoshida,\so I was wondering what you were like.\So, how did you get that truant to come to school?\Beats me.\I have no idea what he's thinking.\I'm guessing he just wanted a friend. Didn't matter who. response:	I went to the same middle school as Yoshida.
context: You can tell?\You've been hanging out with Yoshida,\so I was wondering what you were like.\So, how did you get that truant to come to school?\Beats me.\I have no idea what he's thinking.\I'm guessing he just wanted a friend. Didn't matter who.\I went to the same middle school as Yoshida. response:	Did you know?
context: You've been hanging out with Yoshida,\so I was wondering what you were like.\So, how did you get that truant to come to school?\Beats me.\I have no idea what he's thinking.\I'm guessing he just wanted a friend. Didn't matter who.\I went to the same middle school as Yoshida.\Did you know? response:	He basically went three years without coming to class.
context: so I was wondering what you were like.\So, how did you get that truant to come to school?\Beats me.\I have no idea what he's thinking.\I'm guessing he just wanted a friend. Didn't matter who.\I went to the same middle school as Yoshida.\Did you know?\He basically went three years without coming to class. response:	What?
context: So, how did you get that truant to come to school?\Beats me.\I have no idea what he's thinking.\I'm guessing he just wanted a friend. Didn't matter who.\I went to the same middle school as Yoshida.\Did you know?\He basically went three years without coming to class.\What? response:	Well, anything's possible with Haru...
context: Beats me.\I have no idea what he's thinking.\I'm guessing he just wanted a friend. Didn't matter who.\I went to the same middle school as Yoshida.\Did you know?\He basically went three years without coming to class.\What?\Well, anything's possible with Haru... response:	My point is,
context: I have no idea what he's thinking.\I'm guessing he just wanted a friend. Didn't matter who.\I went to the same middle school as Yoshida.\Did you know?\He basically went three years without coming to class.\What?\Well, anything's possible with Haru...\My point is, response:	the who must have mattered.
context: I'm guessing he just wanted a friend. Didn't matter who.\I went to the same middle school as Yoshida.\Did you know?\He basically went three years without coming to class.\What?\Well, anything's possible with Haru...\My point is,\the who must have mattered. response:	Sasayan, we're heading back!
context: I went to the same middle school as Yoshida.\Did you know?\He basically went three years without coming to class.\What?\Well, anything's possible with Haru...\My point is,\the who must have mattered.\Sasayan, we're heading back! response:	Okay!
context: Did you know?\He basically went three years without coming to class.\What?\Well, anything's possible with Haru...\My point is,\the who must have mattered.\Sasayan, we're heading back!\Okay! response:	See ya, Mizutani-san.
context: He basically went three years without coming to class.\What?\Well, anything's possible with Haru...\My point is,\the who must have mattered.\Sasayan, we're heading back!\Okay!\See ya, Mizutani-san. response:	Sasayan-kun!
context: What?\Well, anything's possible with Haru...\My point is,\the who must have mattered.\Sasayan, we're heading back!\Okay!\See ya, Mizutani-san.\Sasayan-kun! response:	I have a favor to ask.
context: Well, anything's possible with Haru...\My point is,\the who must have mattered.\Sasayan, we're heading back!\Okay!\See ya, Mizutani-san.\Sasayan-kun!\I have a favor to ask. response:	Um...
context: My point is,\the who must have mattered.\Sasayan, we're heading back!\Okay!\See ya, Mizutani-san.\Sasayan-kun!\I have a favor to ask.\Um... response:	What are you doing, Natsume-san?
context: the who must have mattered.\Sasayan, we're heading back!\Okay!\See ya, Mizutani-san.\Sasayan-kun!\I have a favor to ask.\Um...\What are you doing, Natsume-san? response:	Please don't mind me.
context: Sasayan, we're heading back!\Okay!\See ya, Mizutani-san.\Sasayan-kun!\I have a favor to ask.\Um...\What are you doing, Natsume-san?\Please don't mind me. response:	I'm in despair right now.
context: Okay!\See ya, Mizutani-san.\Sasayan-kun!\I have a favor to ask.\Um...\What are you doing, Natsume-san?\Please don't mind me.\I'm in despair right now. response:	Yoshida-kun!
context: See ya, Mizutani-san.\Sasayan-kun!\I have a favor to ask.\Um...\What are you doing, Natsume-san?\Please don't mind me.\I'm in despair right now.\Yoshida-kun! response:	Shut up!
context: Sasayan-kun!\I have a favor to ask.\Um...\What are you doing, Natsume-san?\Please don't mind me.\I'm in despair right now.\Yoshida-kun!\Shut up! response:	You're not supposed to bring roosters to school!
context: I have a favor to ask.\Um...\What are you doing, Natsume-san?\Please don't mind me.\I'm in despair right now.\Yoshida-kun!\Shut up!\You're not supposed to bring roosters to school! response:	You're such a pain!
context: Um...\What are you doing, Natsume-san?\Please don't mind me.\I'm in despair right now.\Yoshida-kun!\Shut up!\You're not supposed to bring roosters to school!\You're such a pain! response:	Hold it right there, Yoshida-kun!
context: What are you doing, Natsume-san?\Please don't mind me.\I'm in despair right now.\Yoshida-kun!\Shut up!\You're not supposed to bring roosters to school!\You're such a pain!\Hold it right there, Yoshida-kun! response:	It's all over...
context: Please don't mind me.\I'm in despair right now.\Yoshida-kun!\Shut up!\You're not supposed to bring roosters to school!\You're such a pain!\Hold it right there, Yoshida-kun!\It's all over... response:	I didn't understand anything that he taught me,
context: I'm in despair right now.\Yoshida-kun!\Shut up!\You're not supposed to bring roosters to school!\You're such a pain!\Hold it right there, Yoshida-kun!\It's all over...\I didn't understand anything that he taught me, response:	and there's no time left...
context: Yoshida-kun!\Shut up!\You're not supposed to bring roosters to school!\You're such a pain!\Hold it right there, Yoshida-kun!\It's all over...\I didn't understand anything that he taught me,\and there's no time left... response:	Well, students are supposed to spend their time studying.
context: Shut up!\You're not supposed to bring roosters to school!\You're such a pain!\Hold it right there, Yoshida-kun!\It's all over...\I didn't understand anything that he taught me,\and there's no time left...\Well, students are supposed to spend their time studying. response:	Hmph! Who cares about school?!
context: You're not supposed to bring roosters to school!\You're such a pain!\Hold it right there, Yoshida-kun!\It's all over...\I didn't understand anything that he taught me,\and there's no time left...\Well, students are supposed to spend their time studying.\Hmph! Who cares about school?! response:	The real me lives on the Internet!
context: You're such a pain!\Hold it right there, Yoshida-kun!\It's all over...\I didn't understand anything that he taught me,\and there's no time left...\Well, students are supposed to spend their time studying.\Hmph! Who cares about school?!\The real me lives on the Internet! response:	On the Internet,
context: Hold it right there, Yoshida-kun!\It's all over...\I didn't understand anything that he taught me,\and there's no time left...\Well, students are supposed to spend their time studying.\Hmph! Who cares about school?!\The real me lives on the Internet!\On the Internet, response:	I'm constantly surrounded by friends.
context: It's all over...\I didn't understand anything that he taught me,\and there's no time left...\Well, students are supposed to spend their time studying.\Hmph! Who cares about school?!\The real me lives on the Internet!\On the Internet,\I'm constantly surrounded by friends. response:	Everyone comes to me for help.
context: I didn't understand anything that he taught me,\and there's no time left...\Well, students are supposed to spend their time studying.\Hmph! Who cares about school?!\The real me lives on the Internet!\On the Internet,\I'm constantly surrounded by friends.\Everyone comes to me for help. response:	I'm just an ordinary girl with hair problems.
context: and there's no time left...\Well, students are supposed to spend their time studying.\Hmph! Who cares about school?!\The real me lives on the Internet!\On the Internet,\I'm constantly surrounded by friends.\Everyone comes to me for help.\I'm just an ordinary girl with hair problems. response:	Wouldn't that be considered
context: Well, students are supposed to spend their time studying.\Hmph! Who cares about school?!\The real me lives on the Internet!\On the Internet,\I'm constantly surrounded by friends.\Everyone comes to me for help.\I'm just an ordinary girl with hair problems.\Wouldn't that be considered response:	living a lie?
context: Hmph! Who cares about school?!\The real me lives on the Internet!\On the Internet,\I'm constantly surrounded by friends.\Everyone comes to me for help.\I'm just an ordinary girl with hair problems.\Wouldn't that be considered\living a lie? response:	Just leave me alone.
context: The real me lives on the Internet!\On the Internet,\I'm constantly surrounded by friends.\Everyone comes to me for help.\I'm just an ordinary girl with hair problems.\Wouldn't that be considered\living a lie?\Just leave me alone. response:	Someone who's smart and unfeeling would never understand.
context: On the Internet,\I'm constantly surrounded by friends.\Everyone comes to me for help.\I'm just an ordinary girl with hair problems.\Wouldn't that be considered\living a lie?\Just leave me alone.\Someone who's smart and unfeeling would never understand. response:	I-I'm not...
context: I'm constantly surrounded by friends.\Everyone comes to me for help.\I'm just an ordinary girl with hair problems.\Wouldn't that be considered\living a lie?\Just leave me alone.\Someone who's smart and unfeeling would never understand.\I-I'm not... response:	I don't care if I'm living a lie.
context: Everyone comes to me for help.\I'm just an ordinary girl with hair problems.\Wouldn't that be considered\living a lie?\Just leave me alone.\Someone who's smart and unfeeling would never understand.\I-I'm not...\I don't care if I'm living a lie. response:	I want to be close to other people.
context: I'm just an ordinary girl with hair problems.\Wouldn't that be considered\living a lie?\Just leave me alone.\Someone who's smart and unfeeling would never understand.\I-I'm not...\I don't care if I'm living a lie.\I want to be close to other people. response:	It's lonely when everyone keeps their distance.
context: Wouldn't that be considered\living a lie?\Just leave me alone.\Someone who's smart and unfeeling would never understand.\I-I'm not...\I don't care if I'm living a lie.\I want to be close to other people.\It's lonely when everyone keeps their distance. response:	Here, here, and here.
context: living a lie?\Just leave me alone.\Someone who's smart and unfeeling would never understand.\I-I'm not...\I don't care if I'm living a lie.\I want to be close to other people.\It's lonely when everyone keeps their distance.\Here, here, and here. response:	If you focus on these sections, you should pass.
context: Just leave me alone.\Someone who's smart and unfeeling would never understand.\I-I'm not...\I don't care if I'm living a lie.\I want to be close to other people.\It's lonely when everyone keeps their distance.\Here, here, and here.\If you focus on these sections, you should pass. response:	There's a certain pattern to the test questions used,
