context: To your house? response:	Yes, I'm having trouble with something
context: I'm sorry\I thought an angel had fallen from the sky\Yes, that was when they met!\What do you mean by angel? How disgusting\Sure Nadeshiko was cute like an angel, but\Excuse me\Umm You know my father right?\That's right response:	Umm Umm What sort of person was my dad?
context: I thought an angel had fallen from the sky\Yes, that was when they met!\What do you mean by angel? How disgusting\Sure Nadeshiko was cute like an angel, but\Excuse me\Umm You know my father right?\That's right\Umm Umm What sort of person was my dad? response:	Ah?
context: Yes, that was when they met!\What do you mean by angel? How disgusting\Sure Nadeshiko was cute like an angel, but\Excuse me\Umm You know my father right?\That's right\Umm Umm What sort of person was my dad?\Ah? response:	Dad talks about Mom a lot,
context: What do you mean by angel? How disgusting\Sure Nadeshiko was cute like an angel, but\Excuse me\Umm You know my father right?\That's right\Umm Umm What sort of person was my dad?\Ah?\Dad talks about Mom a lot, response:	but he won't tell me much about himself
context: Sure Nadeshiko was cute like an angel, but\Excuse me\Umm You know my father right?\That's right\Umm Umm What sort of person was my dad?\Ah?\Dad talks about Mom a lot,\but he won't tell me much about himself response:	My dad's relatives are all gone,
context: Excuse me\Umm You know my father right?\That's right\Umm Umm What sort of person was my dad?\Ah?\Dad talks about Mom a lot,\but he won't tell me much about himself\My dad's relatives are all gone, response:	and I don't know any of my mother's.
context: Umm You know my father right?\That's right\Umm Umm What sort of person was my dad?\Ah?\Dad talks about Mom a lot,\but he won't tell me much about himself\My dad's relatives are all gone,\and I don't know any of my mother's. response:	That's why. That's why
context: That's right\Umm Umm What sort of person was my dad?\Ah?\Dad talks about Mom a lot,\but he won't tell me much about himself\My dad's relatives are all gone,\and I don't know any of my mother's.\That's why. That's why response:	Your father was a horrible person
context: Umm Umm What sort of person was my dad?\Ah?\Dad talks about Mom a lot,\but he won't tell me much about himself\My dad's relatives are all gone,\and I don't know any of my mother's.\That's why. That's why\Your father was a horrible person response:	Umm'
context: Ah?\Dad talks about Mom a lot,\but he won't tell me much about himself\My dad's relatives are all gone,\and I don't know any of my mother's.\That's why. That's why\Your father was a horrible person\Umm' response:	He was cool, and kind. He was a good cook,
context: Dad talks about Mom a lot,\but he won't tell me much about himself\My dad's relatives are all gone,\and I don't know any of my mother's.\That's why. That's why\Your father was a horrible person\Umm'\He was cool, and kind. He was a good cook, response:	and could do anything
context: but he won't tell me much about himself\My dad's relatives are all gone,\and I don't know any of my mother's.\That's why. That's why\Your father was a horrible person\Umm'\He was cool, and kind. He was a good cook,\and could do anything response:	If you look at him as the person Nadeshiko loved,
context: My dad's relatives are all gone,\and I don't know any of my mother's.\That's why. That's why\Your father was a horrible person\Umm'\He was cool, and kind. He was a good cook,\and could do anything\If you look at him as the person Nadeshiko loved, response:	he was a horrid, horrid person
context: and I don't know any of my mother's.\That's why. That's why\Your father was a horrible person\Umm'\He was cool, and kind. He was a good cook,\and could do anything\If you look at him as the person Nadeshiko loved,\he was a horrid, horrid person response:	Yes, to mention his faults is to say he had none
context: That's why. That's why\Your father was a horrible person\Umm'\He was cool, and kind. He was a good cook,\and could do anything\If you look at him as the person Nadeshiko loved,\he was a horrid, horrid person\Yes, to mention his faults is to say he had none response:	That's about it
context: Your father was a horrible person\Umm'\He was cool, and kind. He was a good cook,\and could do anything\If you look at him as the person Nadeshiko loved,\he was a horrid, horrid person\Yes, to mention his faults is to say he had none\That's about it response:	Keep it secret that I said that
context: Umm'\He was cool, and kind. He was a good cook,\and could do anything\If you look at him as the person Nadeshiko loved,\he was a horrid, horrid person\Yes, to mention his faults is to say he had none\That's about it\Keep it secret that I said that response:	Dad?
context: He was cool, and kind. He was a good cook,\and could do anything\If you look at him as the person Nadeshiko loved,\he was a horrid, horrid person\Yes, to mention his faults is to say he had none\That's about it\Keep it secret that I said that\Dad? response:	A cold?
context: and could do anything\If you look at him as the person Nadeshiko loved,\he was a horrid, horrid person\Yes, to mention his faults is to say he had none\That's about it\Keep it secret that I said that\Dad?\A cold? response:	No, I'm fine
context: If you look at him as the person Nadeshiko loved,\he was a horrid, horrid person\Yes, to mention his faults is to say he had none\That's about it\Keep it secret that I said that\Dad?\A cold?\No, I'm fine response:	I wonder if somebody is talking about me
context: he was a horrid, horrid person\Yes, to mention his faults is to say he had none\That's about it\Keep it secret that I said that\Dad?\A cold?\No, I'm fine\I wonder if somebody is talking about me response:	Yes, and then he suddenly
context: Yes, to mention his faults is to say he had none\That's about it\Keep it secret that I said that\Dad?\A cold?\No, I'm fine\I wonder if somebody is talking about me\Yes, and then he suddenly response:	There is a call from the main office
context: That's about it\Keep it secret that I said that\Dad?\A cold?\No, I'm fine\I wonder if somebody is talking about me\Yes, and then he suddenly\There is a call from the main office response:	Oh, my
context: Keep it secret that I said that\Dad?\A cold?\No, I'm fine\I wonder if somebody is talking about me\Yes, and then he suddenly\There is a call from the main office\Oh, my response:	It's me
context: Dad?\A cold?\No, I'm fine\I wonder if somebody is talking about me\Yes, and then he suddenly\There is a call from the main office\Oh, my\It's me response:	Yes. Yes.
context: A cold?\No, I'm fine\I wonder if somebody is talking about me\Yes, and then he suddenly\There is a call from the main office\Oh, my\It's me\Yes. Yes. response:	That's a problem. Wait a moment
context: No, I'm fine\I wonder if somebody is talking about me\Yes, and then he suddenly\There is a call from the main office\Oh, my\It's me\Yes. Yes.\That's a problem. Wait a moment response:	I'm sorry, this looks like it will take a while
context: I wonder if somebody is talking about me\Yes, and then he suddenly\There is a call from the main office\Oh, my\It's me\Yes. Yes.\That's a problem. Wait a moment\I'm sorry, this looks like it will take a while response:	We will be playing in my room
context: Yes, and then he suddenly\There is a call from the main office\Oh, my\It's me\Yes. Yes.\That's a problem. Wait a moment\I'm sorry, this looks like it will take a while\We will be playing in my room response:	I'm sorry
context: There is a call from the main office\Oh, my\It's me\Yes. Yes.\That's a problem. Wait a moment\I'm sorry, this looks like it will take a while\We will be playing in my room\I'm sorry response:	Not at all Thank you for the cake
context: Oh, my\It's me\Yes. Yes.\That's a problem. Wait a moment\I'm sorry, this looks like it will take a while\We will be playing in my room\I'm sorry\Not at all Thank you for the cake response:	Shall we go?
context: It's me\Yes. Yes.\That's a problem. Wait a moment\I'm sorry, this looks like it will take a while\We will be playing in my room\I'm sorry\Not at all Thank you for the cake\Shall we go? response:	Sakura-chan! Let's have dinner later!
context: Yes. Yes.\That's a problem. Wait a moment\I'm sorry, this looks like it will take a while\We will be playing in my room\I'm sorry\Not at all Thank you for the cake\Shall we go?\Sakura-chan! Let's have dinner later! response:	Absolutely! Promise!
context: That's a problem. Wait a moment\I'm sorry, this looks like it will take a while\We will be playing in my room\I'm sorry\Not at all Thank you for the cake\Shall we go?\Sakura-chan! Let's have dinner later!\Absolutely! Promise! response:	Your mother really is a wonderful person
context: I'm sorry, this looks like it will take a while\We will be playing in my room\I'm sorry\Not at all Thank you for the cake\Shall we go?\Sakura-chan! Let's have dinner later!\Absolutely! Promise!\Your mother really is a wonderful person response:	Thank you
context: We will be playing in my room\I'm sorry\Not at all Thank you for the cake\Shall we go?\Sakura-chan! Let's have dinner later!\Absolutely! Promise!\Your mother really is a wonderful person\Thank you response:	I'm sure my mom would he happy to hear that
context: I'm sorry\Not at all Thank you for the cake\Shall we go?\Sakura-chan! Let's have dinner later!\Absolutely! Promise!\Your mother really is a wonderful person\Thank you\I'm sure my mom would he happy to hear that response:	Cake!
context: Not at all Thank you for the cake\Shall we go?\Sakura-chan! Let's have dinner later!\Absolutely! Promise!\Your mother really is a wonderful person\Thank you\I'm sure my mom would he happy to hear that\Cake! response:	You left only me out
context: Shall we go?\Sakura-chan! Let's have dinner later!\Absolutely! Promise!\Your mother really is a wonderful person\Thank you\I'm sure my mom would he happy to hear that\Cake!\You left only me out response:	I was the only one who didn't get any cake
context: Sakura-chan! Let's have dinner later!\Absolutely! Promise!\Your mother really is a wonderful person\Thank you\I'm sure my mom would he happy to hear that\Cake!\You left only me out\I was the only one who didn't get any cake response:	You looked like you were enjoying the cake, Sakura
context: Absolutely! Promise!\Your mother really is a wonderful person\Thank you\I'm sure my mom would he happy to hear that\Cake!\You left only me out\I was the only one who didn't get any cake\You looked like you were enjoying the cake, Sakura response:	I'm sorry, Kero-chan
context: Your mother really is a wonderful person\Thank you\I'm sure my mom would he happy to hear that\Cake!\You left only me out\I was the only one who didn't get any cake\You looked like you were enjoying the cake, Sakura\I'm sorry, Kero-chan response:	I was watching you from this room the whole time
context: Thank you\I'm sure my mom would he happy to hear that\Cake!\You left only me out\I was the only one who didn't get any cake\You looked like you were enjoying the cake, Sakura\I'm sorry, Kero-chan\I was watching you from this room the whole time response:	Sorry to keep you waiting
context: I'm sure my mom would he happy to hear that\Cake!\You left only me out\I was the only one who didn't get any cake\You looked like you were enjoying the cake, Sakura\I'm sorry, Kero-chan\I was watching you from this room the whole time\Sorry to keep you waiting response:	This is your portion
context: Cake!\You left only me out\I was the only one who didn't get any cake\You looked like you were enjoying the cake, Sakura\I'm sorry, Kero-chan\I was watching you from this room the whole time\Sorry to keep you waiting\This is your portion response:	Yay! Yay! Cake! Cake! Yay! Yay!
context: You left only me out\I was the only one who didn't get any cake\You looked like you were enjoying the cake, Sakura\I'm sorry, Kero-chan\I was watching you from this room the whole time\Sorry to keep you waiting\This is your portion\Yay! Yay! Cake! Cake! Yay! Yay! response:	Thank you
context: I was the only one who didn't get any cake\You looked like you were enjoying the cake, Sakura\I'm sorry, Kero-chan\I was watching you from this room the whole time\Sorry to keep you waiting\This is your portion\Yay! Yay! Cake! Cake! Yay! Yay!\Thank you response:	Anger over food is a scary thing
context: You looked like you were enjoying the cake, Sakura\I'm sorry, Kero-chan\I was watching you from this room the whole time\Sorry to keep you waiting\This is your portion\Yay! Yay! Cake! Cake! Yay! Yay!\Thank you\Anger over food is a scary thing response:	Great!
context: I'm sorry, Kero-chan\I was watching you from this room the whole time\Sorry to keep you waiting\This is your portion\Yay! Yay! Cake! Cake! Yay! Yay!\Thank you\Anger over food is a scary thing\Great! response:	Geeze, there is a Clow Card's aura in here,
context: I was watching you from this room the whole time\Sorry to keep you waiting\This is your portion\Yay! Yay! Cake! Cake! Yay! Yay!\Thank you\Anger over food is a scary thing\Great!\Geeze, there is a Clow Card's aura in here, response:	so it was sad being alone
context: Sorry to keep you waiting\This is your portion\Yay! Yay! Cake! Cake! Yay! Yay!\Thank you\Anger over food is a scary thing\Great!\Geeze, there is a Clow Card's aura in here,\so it was sad being alone response:	Clow Card?
context: This is your portion\Yay! Yay! Cake! Cake! Yay! Yay!\Thank you\Anger over food is a scary thing\Great!\Geeze, there is a Clow Card's aura in here,\so it was sad being alone\Clow Card? response:	So there is
context: Yay! Yay! Cake! Cake! Yay! Yay!\Thank you\Anger over food is a scary thing\Great!\Geeze, there is a Clow Card's aura in here,\so it was sad being alone\Clow Card?\So there is response:	That's our Kero-chan
context: Thank you\Anger over food is a scary thing\Great!\Geeze, there is a Clow Card's aura in here,\so it was sad being alone\Clow Card?\So there is\That's our Kero-chan response:	The trouble is from this box
context: Anger over food is a scary thing\Great!\Geeze, there is a Clow Card's aura in here,\so it was sad being alone\Clow Card?\So there is\That's our Kero-chan\The trouble is from this box response:	Actually I haven't been able to open this box
context: Great!\Geeze, there is a Clow Card's aura in here,\so it was sad being alone\Clow Card?\So there is\That's our Kero-chan\The trouble is from this box\Actually I haven't been able to open this box response:	Did you lose the key?
context: Geeze, there is a Clow Card's aura in here,\so it was sad being alone\Clow Card?\So there is\That's our Kero-chan\The trouble is from this box\Actually I haven't been able to open this box\Did you lose the key? response:	I have the key right here
context: so it was sad being alone\Clow Card?\So there is\That's our Kero-chan\The trouble is from this box\Actually I haven't been able to open this box\Did you lose the key?\I have the key right here response:	You can't open it even with the key?
context: Clow Card?\So there is\That's our Kero-chan\The trouble is from this box\Actually I haven't been able to open this box\Did you lose the key?\I have the key right here\You can't open it even with the key? response:	It's the aura of a Clow Card
context: So there is\That's our Kero-chan\The trouble is from this box\Actually I haven't been able to open this box\Did you lose the key?\I have the key right here\You can't open it even with the key?\It's the aura of a Clow Card response:	It's faint, but I feel the aura of a Clow Card from the box
context: That's our Kero-chan\The trouble is from this box\Actually I haven't been able to open this box\Did you lose the key?\I have the key right here\You can't open it even with the key?\It's the aura of a Clow Card\It's faint, but I feel the aura of a Clow Card from the box response:	Really
context: The trouble is from this box\Actually I haven't been able to open this box\Did you lose the key?\I have the key right here\You can't open it even with the key?\It's the aura of a Clow Card\It's faint, but I feel the aura of a Clow Card from the box\Really response:	Please watch
context: Actually I haven't been able to open this box\Did you lose the key?\I have the key right here\You can't open it even with the key?\It's the aura of a Clow Card\It's faint, but I feel the aura of a Clow Card from the box\Really\Please watch response:	We tried to open this box of my mother's for the first time in a while,
context: Did you lose the key?\I have the key right here\You can't open it even with the key?\It's the aura of a Clow Card\It's faint, but I feel the aura of a Clow Card from the box\Really\Please watch\We tried to open this box of my mother's for the first time in a while, response:	and it was Like this
context: I have the key right here\You can't open it even with the key?\It's the aura of a Clow Card\It's faint, but I feel the aura of a Clow Card from the box\Really\Please watch\We tried to open this box of my mother's for the first time in a while,\and it was Like this response:	This certainly is because of a Clow Card
context: You can't open it even with the key?\It's the aura of a Clow Card\It's faint, but I feel the aura of a Clow Card from the box\Really\Please watch\We tried to open this box of my mother's for the first time in a while,\and it was Like this\This certainly is because of a Clow Card response:	I thought that might be so That is why I called you
context: It's the aura of a Clow Card\It's faint, but I feel the aura of a Clow Card from the box\Really\Please watch\We tried to open this box of my mother's for the first time in a while,\and it was Like this\This certainly is because of a Clow Card\I thought that might be so That is why I called you response:	There is something very important to my mother and me in here
context: It's faint, but I feel the aura of a Clow Card from the box\Really\Please watch\We tried to open this box of my mother's for the first time in a while,\and it was Like this\This certainly is because of a Clow Card\I thought that might be so That is why I called you\There is something very important to my mother and me in here response:	It is in the box,
context: Really\Please watch\We tried to open this box of my mother's for the first time in a while,\and it was Like this\This certainly is because of a Clow Card\I thought that might be so That is why I called you\There is something very important to my mother and me in here\It is in the box, response:	so it isn't as if we have lost it,
context: Please watch\We tried to open this box of my mother's for the first time in a while,\and it was Like this\This certainly is because of a Clow Card\I thought that might be so That is why I called you\There is something very important to my mother and me in here\It is in the box,\so it isn't as if we have lost it, response:	but it is very important
context: We tried to open this box of my mother's for the first time in a while,\and it was Like this\This certainly is because of a Clow Card\I thought that might be so That is why I called you\There is something very important to my mother and me in here\It is in the box,\so it isn't as if we have lost it,\but it is very important response:	All right! I'll give it a try
context: and it was Like this\This certainly is because of a Clow Card\I thought that might be so That is why I called you\There is something very important to my mother and me in here\It is in the box,\so it isn't as if we have lost it,\but it is very important\All right! I'll give it a try response:	I like both you
context: This certainly is because of a Clow Card\I thought that might be so That is why I called you\There is something very important to my mother and me in here\It is in the box,\so it isn't as if we have lost it,\but it is very important\All right! I'll give it a try\I like both you response:	and your mom
context: I thought that might be so That is why I called you\There is something very important to my mother and me in here\It is in the box,\so it isn't as if we have lost it,\but it is very important\All right! I'll give it a try\I like both you\and your mom response:	I'll try my best to open it
context: There is something very important to my mother and me in here\It is in the box,\so it isn't as if we have lost it,\but it is very important\All right! I'll give it a try\I like both you\and your mom\I'll try my best to open it response:	Sakura-chan
context: It is in the box,\so it isn't as if we have lost it,\but it is very important\All right! I'll give it a try\I like both you\and your mom\I'll try my best to open it\Sakura-chan response:	Well then, I will prepare to video it right away
context: so it isn't as if we have lost it,\but it is very important\All right! I'll give it a try\I like both you\and your mom\I'll try my best to open it\Sakura-chan\Well then, I will prepare to video it right away response:	But what sort of card is it that makes a box unable to be opened?
context: but it is very important\All right! I'll give it a try\I like both you\and your mom\I'll try my best to open it\Sakura-chan\Well then, I will prepare to video it right away\But what sort of card is it that makes a box unable to be opened? response:	No matter how much I look there isn't anything strange about it
context: All right! I'll give it a try\I like both you\and your mom\I'll try my best to open it\Sakura-chan\Well then, I will prepare to video it right away\But what sort of card is it that makes a box unable to be opened?\No matter how much I look there isn't anything strange about it response:	What is it?
context: I like both you\and your mom\I'll try my best to open it\Sakura-chan\Well then, I will prepare to video it right away\But what sort of card is it that makes a box unable to be opened?\No matter how much I look there isn't anything strange about it\What is it? response:	Sakura
context: and your mom\I'll try my best to open it\Sakura-chan\Well then, I will prepare to video it right away\But what sort of card is it that makes a box unable to be opened?\No matter how much I look there isn't anything strange about it\What is it?\Sakura response:	Yeah
context: I'll try my best to open it\Sakura-chan\Well then, I will prepare to video it right away\But what sort of card is it that makes a box unable to be opened?\No matter how much I look there isn't anything strange about it\What is it?\Sakura\Yeah response:	Shield! It is the shield card
context: Sakura-chan\Well then, I will prepare to video it right away\But what sort of card is it that makes a box unable to be opened?\No matter how much I look there isn't anything strange about it\What is it?\Sakura\Yeah\Shield! It is the shield card response:	You saw a barrier like thing just now, right?
context: Well then, I will prepare to video it right away\But what sort of card is it that makes a box unable to be opened?\No matter how much I look there isn't anything strange about it\What is it?\Sakura\Yeah\Shield! It is the shield card\You saw a barrier like thing just now, right? response:	I didn't see anything
context: But what sort of card is it that makes a box unable to be opened?\No matter how much I look there isn't anything strange about it\What is it?\Sakura\Yeah\Shield! It is the shield card\You saw a barrier like thing just now, right?\I didn't see anything response:	Those with magic power can see it
context: No matter how much I look there isn't anything strange about it\What is it?\Sakura\Yeah\Shield! It is the shield card\You saw a barrier like thing just now, right?\I didn't see anything\Those with magic power can see it response:	Why would it be on this box?
context: What is it?\Sakura\Yeah\Shield! It is the shield card\You saw a barrier like thing just now, right?\I didn't see anything\Those with magic power can see it\Why would it be on this box? response:	Could it be the card knows that
context: Sakura\Yeah\Shield! It is the shield card\You saw a barrier like thing just now, right?\I didn't see anything\Those with magic power can see it\Why would it be on this box?\Could it be the card knows that response:	Tomoyo-chan is my friend
context: Yeah\Shield! It is the shield card\You saw a barrier like thing just now, right?\I didn't see anything\Those with magic power can see it\Why would it be on this box?\Could it be the card knows that\Tomoyo-chan is my friend response:	No, this one has good character,
context: Shield! It is the shield card\You saw a barrier like thing just now, right?\I didn't see anything\Those with magic power can see it\Why would it be on this box?\Could it be the card knows that\Tomoyo-chan is my friend\No, this one has good character, response:	it wouldn't do something so bad
context: You saw a barrier like thing just now, right?\I didn't see anything\Those with magic power can see it\Why would it be on this box?\Could it be the card knows that\Tomoyo-chan is my friend\No, this one has good character,\it wouldn't do something so bad response:	Shield exists to protect important things
context: I didn't see anything\Those with magic power can see it\Why would it be on this box?\Could it be the card knows that\Tomoyo-chan is my friend\No, this one has good character,\it wouldn't do something so bad\Shield exists to protect important things response:	It tries to protect the most precious thing it can find
context: Those with magic power can see it\Why would it be on this box?\Could it be the card knows that\Tomoyo-chan is my friend\No, this one has good character,\it wouldn't do something so bad\Shield exists to protect important things\It tries to protect the most precious thing it can find response:	The contents of this box
context: Why would it be on this box?\Could it be the card knows that\Tomoyo-chan is my friend\No, this one has good character,\it wouldn't do something so bad\Shield exists to protect important things\It tries to protect the most precious thing it can find\The contents of this box response:	must be very important
context: Could it be the card knows that\Tomoyo-chan is my friend\No, this one has good character,\it wouldn't do something so bad\Shield exists to protect important things\It tries to protect the most precious thing it can find\The contents of this box\must be very important response:	How can I return Shield to being a card?
context: Tomoyo-chan is my friend\No, this one has good character,\it wouldn't do something so bad\Shield exists to protect important things\It tries to protect the most precious thing it can find\The contents of this box\must be very important\How can I return Shield to being a card? response:	That's easy.
context: No, this one has good character,\it wouldn't do something so bad\Shield exists to protect important things\It tries to protect the most precious thing it can find\The contents of this box\must be very important\How can I return Shield to being a card?\That's easy. response:	You have a sword that can cut anything don't you?
context: it wouldn't do something so bad\Shield exists to protect important things\It tries to protect the most precious thing it can find\The contents of this box\must be very important\How can I return Shield to being a card?\That's easy.\You have a sword that can cut anything don't you? response:	Oh yeah I should cut Shield with Sword
context: Shield exists to protect important things\It tries to protect the most precious thing it can find\The contents of this box\must be very important\How can I return Shield to being a card?\That's easy.\You have a sword that can cut anything don't you?\Oh yeah I should cut Shield with Sword response:	If Shield is cut, it will show it's true form
context: It tries to protect the most precious thing it can find\The contents of this box\must be very important\How can I return Shield to being a card?\That's easy.\You have a sword that can cut anything don't you?\Oh yeah I should cut Shield with Sword\If Shield is cut, it will show it's true form response:	Then you seal it without waiting
context: The contents of this box\must be very important\How can I return Shield to being a card?\That's easy.\You have a sword that can cut anything don't you?\Oh yeah I should cut Shield with Sword\If Shield is cut, it will show it's true form\Then you seal it without waiting response:	Card made by Clow, lend your power to me
context: must be very important\How can I return Shield to being a card?\That's easy.\You have a sword that can cut anything don't you?\Oh yeah I should cut Shield with Sword\If Shield is cut, it will show it's true form\Then you seal it without waiting\Card made by Clow, lend your power to me response:	Send the power held in a card to this key,
context: How can I return Shield to being a card?\That's easy.\You have a sword that can cut anything don't you?\Oh yeah I should cut Shield with Sword\If Shield is cut, it will show it's true form\Then you seal it without waiting\Card made by Clow, lend your power to me\Send the power held in a card to this key, response:	and give me power
context: That's easy.\You have a sword that can cut anything don't you?\Oh yeah I should cut Shield with Sword\If Shield is cut, it will show it's true form\Then you seal it without waiting\Card made by Clow, lend your power to me\Send the power held in a card to this key,\and give me power response:	Sword
context: You have a sword that can cut anything don't you?\Oh yeah I should cut Shield with Sword\If Shield is cut, it will show it's true form\Then you seal it without waiting\Card made by Clow, lend your power to me\Send the power held in a card to this key,\and give me power\Sword response:	Now!
context: Oh yeah I should cut Shield with Sword\If Shield is cut, it will show it's true form\Then you seal it without waiting\Card made by Clow, lend your power to me\Send the power held in a card to this key,\and give me power\Sword\Now! response:	Return to your rightful form,
context: If Shield is cut, it will show it's true form\Then you seal it without waiting\Card made by Clow, lend your power to me\Send the power held in a card to this key,\and give me power\Sword\Now!\Return to your rightful form, response:	Clow Card!
context: Then you seal it without waiting\Card made by Clow, lend your power to me\Send the power held in a card to this key,\and give me power\Sword\Now!\Return to your rightful form,\Clow Card! response:	You did it Sakura
context: Card made by Clow, lend your power to me\Send the power held in a card to this key,\and give me power\Sword\Now!\Return to your rightful form,\Clow Card!\You did it Sakura response:	How heroic
context: Send the power held in a card to this key,\and give me power\Sword\Now!\Return to your rightful form,\Clow Card!\You did it Sakura\How heroic response:	What is it?
context: and give me power\Sword\Now!\Return to your rightful form,\Clow Card!\You did it Sakura\How heroic\What is it? response:	I should've had you wear this outfit
context: Sword\Now!\Return to your rightful form,\Clow Card!\You did it Sakura\How heroic\What is it?\I should've had you wear this outfit response:	It opened
context: Now!\Return to your rightful form,\Clow Card!\You did it Sakura\How heroic\What is it?\I should've had you wear this outfit\It opened response:	Thank you
context: Return to your rightful form,\Clow Card!\You did it Sakura\How heroic\What is it?\I should've had you wear this outfit\It opened\Thank you response:	Well, I was here, so it's only natural
context: Clow Card!\You did it Sakura\How heroic\What is it?\I should've had you wear this outfit\It opened\Thank you\Well, I was here, so it's only natural response:	Can I look inside?
context: You did it Sakura\How heroic\What is it?\I should've had you wear this outfit\It opened\Thank you\Well, I was here, so it's only natural\Can I look inside? response:	Yes
context: How heroic\What is it?\I should've had you wear this outfit\It opened\Thank you\Well, I was here, so it's only natural\Can I look inside?\Yes response:	Oh no
context: What is it?\I should've had you wear this outfit\It opened\Thank you\Well, I was here, so it's only natural\Can I look inside?\Yes\Oh no response:	Come in
context: I should've had you wear this outfit\It opened\Thank you\Well, I was here, so it's only natural\Can I look inside?\Yes\Oh no\Come in response:	Sorry about earlier
context: It opened\Thank you\Well, I was here, so it's only natural\Can I look inside?\Yes\Oh no\Come in\Sorry about earlier response:	It opened
context: Thank you\Well, I was here, so it's only natural\Can I look inside?\Yes\Oh no\Come in\Sorry about earlier\It opened response:	Yes
context: Well, I was here, so it's only natural\Can I look inside?\Yes\Oh no\Come in\Sorry about earlier\It opened\Yes response:	But how?
context: Can I look inside?\Yes\Oh no\Come in\Sorry about earlier\It opened\Yes\But how? response:	The spring was caught in the keyhole
context: Yes\Oh no\Come in\Sorry about earlier\It opened\Yes\But how?\The spring was caught in the keyhole response:	So that's why the key went flying
context: Oh no\Come in\Sorry about earlier\It opened\Yes\But how?\The spring was caught in the keyhole\So that's why the key went flying response:	What a beautiful bouquet
context: Come in\Sorry about earlier\It opened\Yes\But how?\The spring was caught in the keyhole\So that's why the key went flying\What a beautiful bouquet response:	This is
context: Sorry about earlier\It opened\Yes\But how?\The spring was caught in the keyhole\So that's why the key went flying\What a beautiful bouquet\This is response:	From your mother's wedding
context: It opened\Yes\But how?\The spring was caught in the keyhole\So that's why the key went flying\What a beautiful bouquet\This is\From your mother's wedding response:	A bouquet of cherry blossoms
context: Yes\But how?\The spring was caught in the keyhole\So that's why the key went flying\What a beautiful bouquet\This is\From your mother's wedding\A bouquet of cherry blossoms response:	Nadeshiko loved cherry blossoms
context: But how?\The spring was caught in the keyhole\So that's why the key went flying\What a beautiful bouquet\This is\From your mother's wedding\A bouquet of cherry blossoms\Nadeshiko loved cherry blossoms response:	She said ever since she was small that
context: The spring was caught in the keyhole\So that's why the key went flying\What a beautiful bouquet\This is\From your mother's wedding\A bouquet of cherry blossoms\Nadeshiko loved cherry blossoms\She said ever since she was small that response:	She would name a daughter Sakura
context: So that's why the key went flying\What a beautiful bouquet\This is\From your mother's wedding\A bouquet of cherry blossoms\Nadeshiko loved cherry blossoms\She said ever since she was small that\She would name a daughter Sakura response:	Sakura?
context: What a beautiful bouquet\This is\From your mother's wedding\A bouquet of cherry blossoms\Nadeshiko loved cherry blossoms\She said ever since she was small that\She would name a daughter Sakura\Sakura? response:	You are that Sakura-chan
context: This is\From your mother's wedding\A bouquet of cherry blossoms\Nadeshiko loved cherry blossoms\She said ever since she was small that\She would name a daughter Sakura\Sakura?\You are that Sakura-chan response:	Oh yes.
context: From your mother's wedding\A bouquet of cherry blossoms\Nadeshiko loved cherry blossoms\She said ever since she was small that\She would name a daughter Sakura\Sakura?\You are that Sakura-chan\Oh yes. response:	I will make dinner tonight
context: A bouquet of cherry blossoms\Nadeshiko loved cherry blossoms\She said ever since she was small that\She would name a daughter Sakura\Sakura?\You are that Sakura-chan\Oh yes.\I will make dinner tonight response:	If you have something you like, let me know
context: Nadeshiko loved cherry blossoms\She said ever since she was small that\She would name a daughter Sakura\Sakura?\You are that Sakura-chan\Oh yes.\I will make dinner tonight\If you have something you like, let me know response:	Yes
context: She said ever since she was small that\She would name a daughter Sakura\Sakura?\You are that Sakura-chan\Oh yes.\I will make dinner tonight\If you have something you like, let me know\Yes response:	The dining room is this way
context: She would name a daughter Sakura\Sakura?\You are that Sakura-chan\Oh yes.\I will make dinner tonight\If you have something you like, let me know\Yes\The dining room is this way response:	Umm'
context: Sakura?\You are that Sakura-chan\Oh yes.\I will make dinner tonight\If you have something you like, let me know\Yes\The dining room is this way\Umm' response:	Tomoyo, give me a hand
context: You are that Sakura-chan\Oh yes.\I will make dinner tonight\If you have something you like, let me know\Yes\The dining room is this way\Umm'\Tomoyo, give me a hand response:	OK
context: Oh yes.\I will make dinner tonight\If you have something you like, let me know\Yes\The dining room is this way\Umm'\Tomoyo, give me a hand\OK response:	I'm doing nothing but hiding today
context: I will make dinner tonight\If you have something you like, let me know\Yes\The dining room is this way\Umm'\Tomoyo, give me a hand\OK\I'm doing nothing but hiding today response:	That is Tomoyo's precious thing?
context: If you have something you like, let me know\Yes\The dining room is this way\Umm'\Tomoyo, give me a hand\OK\I'm doing nothing but hiding today\That is Tomoyo's precious thing? response:	Yes
context: Yes\The dining room is this way\Umm'\Tomoyo, give me a hand\OK\I'm doing nothing but hiding today\That is Tomoyo's precious thing?\Yes response:	What is inside?
context: The dining room is this way\Umm'\Tomoyo, give me a hand\OK\I'm doing nothing but hiding today\That is Tomoyo's precious thing?\Yes\What is inside? response:	An eraser
context: Umm'\Tomoyo, give me a hand\OK\I'm doing nothing but hiding today\That is Tomoyo's precious thing?\Yes\What is inside?\An eraser response:	An eraser? Why is something like that so precious?
