context: It's getting lonelier and lonelier. response:	Does she really live in a place like this?
context: Don't drink while the sun's still up. You'll die young.\Actually, this is a dumb question, but...\Have you died recently?\Well, I admit I'm an old man at death's door,\but I ain't really died yet.\Okay, then have you seen a girl with silver hair?\Silver hair?\I ain't seen anyone that conspicuous. response:	Was it all a dream?
context: Actually, this is a dumb question, but...\Have you died recently?\Well, I admit I'm an old man at death's door,\but I ain't really died yet.\Okay, then have you seen a girl with silver hair?\Silver hair?\I ain't seen anyone that conspicuous.\Was it all a dream? response:	Then exactly how much of it was a dream,
context: Have you died recently?\Well, I admit I'm an old man at death's door,\but I ain't really died yet.\Okay, then have you seen a girl with silver hair?\Silver hair?\I ain't seen anyone that conspicuous.\Was it all a dream?\Then exactly how much of it was a dream, response:	and why am I in this world?
context: Well, I admit I'm an old man at death's door,\but I ain't really died yet.\Okay, then have you seen a girl with silver hair?\Silver hair?\I ain't seen anyone that conspicuous.\Was it all a dream?\Then exactly how much of it was a dream,\and why am I in this world? response:	So what are you doin' here, anyway?
context: but I ain't really died yet.\Okay, then have you seen a girl with silver hair?\Silver hair?\I ain't seen anyone that conspicuous.\Was it all a dream?\Then exactly how much of it was a dream,\and why am I in this world?\So what are you doin' here, anyway? response:	Oh... I'm looking for an insignia.
context: Okay, then have you seen a girl with silver hair?\Silver hair?\I ain't seen anyone that conspicuous.\Was it all a dream?\Then exactly how much of it was a dream,\and why am I in this world?\So what are you doin' here, anyway?\Oh... I'm looking for an insignia. response:	It belongs to a silver-haired girl who helped me out.
context: Silver hair?\I ain't seen anyone that conspicuous.\Was it all a dream?\Then exactly how much of it was a dream,\and why am I in this world?\So what are you doin' here, anyway?\Oh... I'm looking for an insignia.\It belongs to a silver-haired girl who helped me out. response:	I don't know why, but it's important to her.
context: I ain't seen anyone that conspicuous.\Was it all a dream?\Then exactly how much of it was a dream,\and why am I in this world?\So what are you doin' here, anyway?\Oh... I'm looking for an insignia.\It belongs to a silver-haired girl who helped me out.\I don't know why, but it's important to her. response:	I think she said it had a jewel in the center.
context: Was it all a dream?\Then exactly how much of it was a dream,\and why am I in this world?\So what are you doin' here, anyway?\Oh... I'm looking for an insignia.\It belongs to a silver-haired girl who helped me out.\I don't know why, but it's important to her.\I think she said it had a jewel in the center. response:	An insignia with a jewel...
context: Then exactly how much of it was a dream,\and why am I in this world?\So what are you doin' here, anyway?\Oh... I'm looking for an insignia.\It belongs to a silver-haired girl who helped me out.\I don't know why, but it's important to her.\I think she said it had a jewel in the center.\An insignia with a jewel... response:	Sorry, but I ain't got anything like that.
context: and why am I in this world?\So what are you doin' here, anyway?\Oh... I'm looking for an insignia.\It belongs to a silver-haired girl who helped me out.\I don't know why, but it's important to her.\I think she said it had a jewel in the center.\An insignia with a jewel...\Sorry, but I ain't got anything like that. response:	Are you sure? Try to think!
context: So what are you doin' here, anyway?\Oh... I'm looking for an insignia.\It belongs to a silver-haired girl who helped me out.\I don't know why, but it's important to her.\I think she said it had a jewel in the center.\An insignia with a jewel...\Sorry, but I ain't got anything like that.\Are you sure? Try to think! response:	Maybe you're just old and senile?
context: Oh... I'm looking for an insignia.\It belongs to a silver-haired girl who helped me out.\I don't know why, but it's important to her.\I think she said it had a jewel in the center.\An insignia with a jewel...\Sorry, but I ain't got anything like that.\Are you sure? Try to think!\Maybe you're just old and senile? response:	If I can't remember when I'm at my best, with booze in me,
context: It belongs to a silver-haired girl who helped me out.\I don't know why, but it's important to her.\I think she said it had a jewel in the center.\An insignia with a jewel...\Sorry, but I ain't got anything like that.\Are you sure? Try to think!\Maybe you're just old and senile?\If I can't remember when I'm at my best, with booze in me, response:	the only explanation is that I don't know it.
context: I don't know why, but it's important to her.\I think she said it had a jewel in the center.\An insignia with a jewel...\Sorry, but I ain't got anything like that.\Are you sure? Try to think!\Maybe you're just old and senile?\If I can't remember when I'm at my best, with booze in me,\the only explanation is that I don't know it. response:	But...
context: I think she said it had a jewel in the center.\An insignia with a jewel...\Sorry, but I ain't got anything like that.\Are you sure? Try to think!\Maybe you're just old and senile?\If I can't remember when I'm at my best, with booze in me,\the only explanation is that I don't know it.\But... response:	I've got someone bringing in some goods later.
context: An insignia with a jewel...\Sorry, but I ain't got anything like that.\Are you sure? Try to think!\Maybe you're just old and senile?\If I can't remember when I'm at my best, with booze in me,\the only explanation is that I don't know it.\But...\I've got someone bringing in some goods later. response:	I'm told it's some fine loot.
context: Sorry, but I ain't got anything like that.\Are you sure? Try to think!\Maybe you're just old and senile?\If I can't remember when I'm at my best, with booze in me,\the only explanation is that I don't know it.\But...\I've got someone bringing in some goods later.\I'm told it's some fine loot. response:	There's a good chance it could be what you're lookin' for.
context: Are you sure? Try to think!\Maybe you're just old and senile?\If I can't remember when I'm at my best, with booze in me,\the only explanation is that I don't know it.\But...\I've got someone bringing in some goods later.\I'm told it's some fine loot.\There's a good chance it could be what you're lookin' for. response:	Is the one bringing it in a girl named Felt?
context: Maybe you're just old and senile?\If I can't remember when I'm at my best, with booze in me,\the only explanation is that I don't know it.\But...\I've got someone bringing in some goods later.\I'm told it's some fine loot.\There's a good chance it could be what you're lookin' for.\Is the one bringing it in a girl named Felt? response:	What, you even know who swiped it?
context: If I can't remember when I'm at my best, with booze in me,\the only explanation is that I don't know it.\But...\I've got someone bringing in some goods later.\I'm told it's some fine loot.\There's a good chance it could be what you're lookin' for.\Is the one bringing it in a girl named Felt?\What, you even know who swiped it? response:	Of course, whether you'll be able to afford it is another matter.
context: the only explanation is that I don't know it.\But...\I've got someone bringing in some goods later.\I'm told it's some fine loot.\There's a good chance it could be what you're lookin' for.\Is the one bringing it in a girl named Felt?\What, you even know who swiped it?\Of course, whether you'll be able to afford it is another matter. response:	I'm as broke as they come, after all.
context: But...\I've got someone bringing in some goods later.\I'm told it's some fine loot.\There's a good chance it could be what you're lookin' for.\Is the one bringing it in a girl named Felt?\What, you even know who swiped it?\Of course, whether you'll be able to afford it is another matter.\I'm as broke as they come, after all. response:	Ain't no use talkin' about it, then.
context: I've got someone bringing in some goods later.\I'm told it's some fine loot.\There's a good chance it could be what you're lookin' for.\Is the one bringing it in a girl named Felt?\What, you even know who swiped it?\Of course, whether you'll be able to afford it is another matter.\I'm as broke as they come, after all.\Ain't no use talkin' about it, then. response:	No, there is the option of trading.
context: I'm told it's some fine loot.\There's a good chance it could be what you're lookin' for.\Is the one bringing it in a girl named Felt?\What, you even know who swiped it?\Of course, whether you'll be able to afford it is another matter.\I'm as broke as they come, after all.\Ain't no use talkin' about it, then.\No, there is the option of trading. response:	Now that you mention it, you've got some unusual stuff there.
context: There's a good chance it could be what you're lookin' for.\Is the one bringing it in a girl named Felt?\What, you even know who swiped it?\Of course, whether you'll be able to afford it is another matter.\I'm as broke as they come, after all.\Ain't no use talkin' about it, then.\No, there is the option of trading.\Now that you mention it, you've got some unusual stuff there. response:	That's right. For example, this is a corn potage snack.
context: Is the one bringing it in a girl named Felt?\What, you even know who swiped it?\Of course, whether you'll be able to afford it is another matter.\I'm as broke as they come, after all.\Ain't no use talkin' about it, then.\No, there is the option of trading.\Now that you mention it, you've got some unusual stuff there.\That's right. For example, this is a corn potage snack. response:	It's super tasty!
context: What, you even know who swiped it?\Of course, whether you'll be able to afford it is another matter.\I'm as broke as they come, after all.\Ain't no use talkin' about it, then.\No, there is the option of trading.\Now that you mention it, you've got some unusual stuff there.\That's right. For example, this is a corn potage snack.\It's super tasty! response:	That's food?
context: Of course, whether you'll be able to afford it is another matter.\I'm as broke as they come, after all.\Ain't no use talkin' about it, then.\No, there is the option of trading.\Now that you mention it, you've got some unusual stuff there.\That's right. For example, this is a corn potage snack.\It's super tasty!\That's food? response:	I see! What an odd flavor!
context: I'm as broke as they come, after all.\Ain't no use talkin' about it, then.\No, there is the option of trading.\Now that you mention it, you've got some unusual stuff there.\That's right. For example, this is a corn potage snack.\It's super tasty!\That's food?\I see! What an odd flavor! response:	These would go great with booze!
context: Ain't no use talkin' about it, then.\No, there is the option of trading.\Now that you mention it, you've got some unusual stuff there.\That's right. For example, this is a corn potage snack.\It's super tasty!\That's food?\I see! What an odd flavor!\These would go great with booze! response:	Right? Right?
context: No, there is the option of trading.\Now that you mention it, you've got some unusual stuff there.\That's right. For example, this is a corn potage snack.\It's super tasty!\That's food?\I see! What an odd flavor!\These would go great with booze!\Right? Right? response:	Hey! Don't just start eating them!
context: Now that you mention it, you've got some unusual stuff there.\That's right. For example, this is a corn potage snack.\It's super tasty!\That's food?\I see! What an odd flavor!\These would go great with booze!\Right? Right?\Hey! Don't just start eating them! response:	Well, I dunno what you plan to trade,
context: That's right. For example, this is a corn potage snack.\It's super tasty!\That's food?\I see! What an odd flavor!\These would go great with booze!\Right? Right?\Hey! Don't just start eating them!\Well, I dunno what you plan to trade, response:	but you'll have to come back after Felt gets here.
context: It's super tasty!\That's food?\I see! What an odd flavor!\These would go great with booze!\Right? Right?\Hey! Don't just start eating them!\Well, I dunno what you plan to trade,\but you'll have to come back after Felt gets here. response:	Mm, that's good!
context: That's food?\I see! What an odd flavor!\These would go great with booze!\Right? Right?\Hey! Don't just start eating them!\Well, I dunno what you plan to trade,\but you'll have to come back after Felt gets here.\Mm, that's good! response:	I guess in any world, there are people with money, and people without.
context: I see! What an odd flavor!\These would go great with booze!\Right? Right?\Hey! Don't just start eating them!\Well, I dunno what you plan to trade,\but you'll have to come back after Felt gets here.\Mm, that's good!\I guess in any world, there are people with money, and people without. response:	It sure is easy to see the difference here.
context: These would go great with booze!\Right? Right?\Hey! Don't just start eating them!\Well, I dunno what you plan to trade,\but you'll have to come back after Felt gets here.\Mm, that's good!\I guess in any world, there are people with money, and people without.\It sure is easy to see the difference here. response:	Hey, what're you doing there? You're in my way.
context: Right? Right?\Hey! Don't just start eating them!\Well, I dunno what you plan to trade,\but you'll have to come back after Felt gets here.\Mm, that's good!\I guess in any world, there are people with money, and people without.\It sure is easy to see the difference here.\Hey, what're you doing there? You're in my way. response:	Felt!
context: Hey! Don't just start eating them!\Well, I dunno what you plan to trade,\but you'll have to come back after Felt gets here.\Mm, that's good!\I guess in any world, there are people with money, and people without.\It sure is easy to see the difference here.\Hey, what're you doing there? You're in my way.\Felt! response:	You know me?
context: Well, I dunno what you plan to trade,\but you'll have to come back after Felt gets here.\Mm, that's good!\I guess in any world, there are people with money, and people without.\It sure is easy to see the difference here.\Hey, what're you doing there? You're in my way.\Felt!\You know me? response:	Of course I do! I've been waiting for you!
context: but you'll have to come back after Felt gets here.\Mm, that's good!\I guess in any world, there are people with money, and people without.\It sure is easy to see the difference here.\Hey, what're you doing there? You're in my way.\Felt!\You know me?\Of course I do! I've been waiting for you! response:	What for?
context: Mm, that's good!\I guess in any world, there are people with money, and people without.\It sure is easy to see the difference here.\Hey, what're you doing there? You're in my way.\Felt!\You know me?\Of course I do! I've been waiting for you!\What for? response:	Wait, are you saying you don't remember me?
context: I guess in any world, there are people with money, and people without.\It sure is easy to see the difference here.\Hey, what're you doing there? You're in my way.\Felt!\You know me?\Of course I do! I've been waiting for you!\What for?\Wait, are you saying you don't remember me? response:	Have we met?
context: It sure is easy to see the difference here.\Hey, what're you doing there? You're in my way.\Felt!\You know me?\Of course I do! I've been waiting for you!\What for?\Wait, are you saying you don't remember me?\Have we met? response:	You know, I'm a busy woman, so I don't remember most people
context: Hey, what're you doing there? You're in my way.\Felt!\You know me?\Of course I do! I've been waiting for you!\What for?\Wait, are you saying you don't remember me?\Have we met?\You know, I'm a busy woman, so I don't remember most people response:	I meet unless they leave a huge impression.
context: Felt!\You know me?\Of course I do! I've been waiting for you!\What for?\Wait, are you saying you don't remember me?\Have we met?\You know, I'm a busy woman, so I don't remember most people\I meet unless they leave a huge impression. response:	I'd say that was a pretty huge impression...
context: You know me?\Of course I do! I've been waiting for you!\What for?\Wait, are you saying you don't remember me?\Have we met?\You know, I'm a busy woman, so I don't remember most people\I meet unless they leave a huge impression.\I'd say that was a pretty huge impression... response:	Well, forget that.
context: Of course I do! I've been waiting for you!\What for?\Wait, are you saying you don't remember me?\Have we met?\You know, I'm a busy woman, so I don't remember most people\I meet unless they leave a huge impression.\I'd say that was a pretty huge impression...\Well, forget that. response:	I want to negotiate for the insignia you have.
context: What for?\Wait, are you saying you don't remember me?\Have we met?\You know, I'm a busy woman, so I don't remember most people\I meet unless they leave a huge impression.\I'd say that was a pretty huge impression...\Well, forget that.\I want to negotiate for the insignia you have. response:	Oh, so that's it, huh?
context: Wait, are you saying you don't remember me?\Have we met?\You know, I'm a busy woman, so I don't remember most people\I meet unless they leave a huge impression.\I'd say that was a pretty huge impression...\Well, forget that.\I want to negotiate for the insignia you have.\Oh, so that's it, huh? response:	All right, I'll hear you out.
context: Have we met?\You know, I'm a busy woman, so I don't remember most people\I meet unless they leave a huge impression.\I'd say that was a pretty huge impression...\Well, forget that.\I want to negotiate for the insignia you have.\Oh, so that's it, huh?\All right, I'll hear you out. response:	For a rat...
context: You know, I'm a busy woman, so I don't remember most people\I meet unless they leave a huge impression.\I'd say that was a pretty huge impression...\Well, forget that.\I want to negotiate for the insignia you have.\Oh, so that's it, huh?\All right, I'll hear you out.\For a rat... response:	Poison.
context: I meet unless they leave a huge impression.\I'd say that was a pretty huge impression...\Well, forget that.\I want to negotiate for the insignia you have.\Oh, so that's it, huh?\All right, I'll hear you out.\For a rat...\Poison. response:	For a white whale...
context: I'd say that was a pretty huge impression...\Well, forget that.\I want to negotiate for the insignia you have.\Oh, so that's it, huh?\All right, I'll hear you out.\For a rat...\Poison.\For a white whale... response:	A harpoon.
context: Well, forget that.\I want to negotiate for the insignia you have.\Oh, so that's it, huh?\All right, I'll hear you out.\For a rat...\Poison.\For a white whale...\A harpoon. response:	To the noble dragon lord, we are...
context: I want to negotiate for the insignia you have.\Oh, so that's it, huh?\All right, I'll hear you out.\For a rat...\Poison.\For a white whale...\A harpoon.\To the noble dragon lord, we are... response:	Shitbags.
context: Oh, so that's it, huh?\All right, I'll hear you out.\For a rat...\Poison.\For a white whale...\A harpoon.\To the noble dragon lord, we are...\Shitbags. response:	Sorry to keep you waiting, Old Man Rom.
context: All right, I'll hear you out.\For a rat...\Poison.\For a white whale...\A harpoon.\To the noble dragon lord, we are...\Shitbags.\Sorry to keep you waiting, Old Man Rom. response:	My target was more persistent than I thought.
context: For a rat...\Poison.\For a white whale...\A harpoon.\To the noble dragon lord, we are...\Shitbags.\Sorry to keep you waiting, Old Man Rom.\My target was more persistent than I thought. response:	It took a while to shake them.
context: Poison.\For a white whale...\A harpoon.\To the noble dragon lord, we are...\Shitbags.\Sorry to keep you waiting, Old Man Rom.\My target was more persistent than I thought.\It took a while to shake them. response:	Hey, Old Man Rom, did you water down this milk?
context: For a white whale...\A harpoon.\To the noble dragon lord, we are...\Shitbags.\Sorry to keep you waiting, Old Man Rom.\My target was more persistent than I thought.\It took a while to shake them.\Hey, Old Man Rom, did you water down this milk? response:	It's nasty.
context: A harpoon.\To the noble dragon lord, we are...\Shitbags.\Sorry to keep you waiting, Old Man Rom.\My target was more persistent than I thought.\It took a while to shake them.\Hey, Old Man Rom, did you water down this milk?\It's nasty. response:	Hey, I give you something outta the goodness of my heart, and you call it gross?
context: To the noble dragon lord, we are...\Shitbags.\Sorry to keep you waiting, Old Man Rom.\My target was more persistent than I thought.\It took a while to shake them.\Hey, Old Man Rom, did you water down this milk?\It's nasty.\Hey, I give you something outta the goodness of my heart, and you call it gross? response:	You two are closer than I had either hoped or expected.
context: Shitbags.\Sorry to keep you waiting, Old Man Rom.\My target was more persistent than I thought.\It took a while to shake them.\Hey, Old Man Rom, did you water down this milk?\It's nasty.\Hey, I give you something outta the goodness of my heart, and you call it gross?\You two are closer than I had either hoped or expected. response:	I'm feeling left out over here.
context: Sorry to keep you waiting, Old Man Rom.\My target was more persistent than I thought.\It took a while to shake them.\Hey, Old Man Rom, did you water down this milk?\It's nasty.\Hey, I give you something outta the goodness of my heart, and you call it gross?\You two are closer than I had either hoped or expected.\I'm feeling left out over here. response:	Don't talk like a wuss when you've got a face almost as scary as Old Man Rom's.
context: My target was more persistent than I thought.\It took a while to shake them.\Hey, Old Man Rom, did you water down this milk?\It's nasty.\Hey, I give you something outta the goodness of my heart, and you call it gross?\You two are closer than I had either hoped or expected.\I'm feeling left out over here.\Don't talk like a wuss when you've got a face almost as scary as Old Man Rom's. response:	People have said many things to me,
context: It took a while to shake them.\Hey, Old Man Rom, did you water down this milk?\It's nasty.\Hey, I give you something outta the goodness of my heart, and you call it gross?\You two are closer than I had either hoped or expected.\I'm feeling left out over here.\Don't talk like a wuss when you've got a face almost as scary as Old Man Rom's.\People have said many things to me, response:	but you tell me I can compete with this old guy?!
context: Hey, Old Man Rom, did you water down this milk?\It's nasty.\Hey, I give you something outta the goodness of my heart, and you call it gross?\You two are closer than I had either hoped or expected.\I'm feeling left out over here.\Don't talk like a wuss when you've got a face almost as scary as Old Man Rom's.\People have said many things to me,\but you tell me I can compete with this old guy?! response:	Okay, I went too far that time. Sorry, Bro.
context: It's nasty.\Hey, I give you something outta the goodness of my heart, and you call it gross?\You two are closer than I had either hoped or expected.\I'm feeling left out over here.\Don't talk like a wuss when you've got a face almost as scary as Old Man Rom's.\People have said many things to me,\but you tell me I can compete with this old guy?!\Okay, I went too far that time. Sorry, Bro. response:	You two aren't in some conspiracy to try to piss me off, are you?
context: Hey, I give you something outta the goodness of my heart, and you call it gross?\You two are closer than I had either hoped or expected.\I'm feeling left out over here.\Don't talk like a wuss when you've got a face almost as scary as Old Man Rom's.\People have said many things to me,\but you tell me I can compete with this old guy?!\Okay, I went too far that time. Sorry, Bro.\You two aren't in some conspiracy to try to piss me off, are you? response:	Okay, well, why don't we get down to business?
context: You two are closer than I had either hoped or expected.\I'm feeling left out over here.\Don't talk like a wuss when you've got a face almost as scary as Old Man Rom's.\People have said many things to me,\but you tell me I can compete with this old guy?!\Okay, I went too far that time. Sorry, Bro.\You two aren't in some conspiracy to try to piss me off, are you?\Okay, well, why don't we get down to business? response:	How much will you pay for it?
context: I'm feeling left out over here.\Don't talk like a wuss when you've got a face almost as scary as Old Man Rom's.\People have said many things to me,\but you tell me I can compete with this old guy?!\Okay, I went too far that time. Sorry, Bro.\You two aren't in some conspiracy to try to piss me off, are you?\Okay, well, why don't we get down to business?\How much will you pay for it? response:	You don't waste time...
context: Don't talk like a wuss when you've got a face almost as scary as Old Man Rom's.\People have said many things to me,\but you tell me I can compete with this old guy?!\Okay, I went too far that time. Sorry, Bro.\You two aren't in some conspiracy to try to piss me off, are you?\Okay, well, why don't we get down to business?\How much will you pay for it?\You don't waste time... response:	Before I answer that, you do have the insignia, right?
context: People have said many things to me,\but you tell me I can compete with this old guy?!\Okay, I went too far that time. Sorry, Bro.\You two aren't in some conspiracy to try to piss me off, are you?\Okay, well, why don't we get down to business?\How much will you pay for it?\You don't waste time...\Before I answer that, you do have the insignia, right? response:	Of course I do.
context: but you tell me I can compete with this old guy?!\Okay, I went too far that time. Sorry, Bro.\You two aren't in some conspiracy to try to piss me off, are you?\Okay, well, why don't we get down to business?\How much will you pay for it?\You don't waste time...\Before I answer that, you do have the insignia, right?\Of course I do. response:	See?
context: Okay, I went too far that time. Sorry, Bro.\You two aren't in some conspiracy to try to piss me off, are you?\Okay, well, why don't we get down to business?\How much will you pay for it?\You don't waste time...\Before I answer that, you do have the insignia, right?\Of course I do.\See? response:	This one's got a jewel in it,
context: You two aren't in some conspiracy to try to piss me off, are you?\Okay, well, why don't we get down to business?\How much will you pay for it?\You don't waste time...\Before I answer that, you do have the insignia, right?\Of course I do.\See?\This one's got a jewel in it, response:	so I had to work pretty hard to get it.
context: Okay, well, why don't we get down to business?\How much will you pay for it?\You don't waste time...\Before I answer that, you do have the insignia, right?\Of course I do.\See?\This one's got a jewel in it,\so I had to work pretty hard to get it. response:	If you can pay enough to match my effort, we'll both be happy.
context: How much will you pay for it?\You don't waste time...\Before I answer that, you do have the insignia, right?\Of course I do.\See?\This one's got a jewel in it,\so I had to work pretty hard to get it.\If you can pay enough to match my effort, we'll both be happy. response:	I have no money.
context: You don't waste time...\Before I answer that, you do have the insignia, right?\Of course I do.\See?\This one's got a jewel in it,\so I had to work pretty hard to get it.\If you can pay enough to match my effort, we'll both be happy.\I have no money. response:	Then we have nothing to discuss!
context: Before I answer that, you do have the insignia, right?\Of course I do.\See?\This one's got a jewel in it,\so I had to work pretty hard to get it.\If you can pay enough to match my effort, we'll both be happy.\I have no money.\Then we have nothing to discuss! response:	Tsk, tsk, tsk. I don't have money, but I have things worth money.
context: Of course I do.\See?\This one's got a jewel in it,\so I had to work pretty hard to get it.\If you can pay enough to match my effort, we'll both be happy.\I have no money.\Then we have nothing to discuss!\Tsk, tsk, tsk. I don't have money, but I have things worth money. response:	What I have here is a
context: See?\This one's got a jewel in it,\so I had to work pretty hard to get it.\If you can pay enough to match my effort, we'll both be happy.\I have no money.\Then we have nothing to discuss!\Tsk, tsk, tsk. I don't have money, but I have things worth money.\What I have here is a response:	a cell phone!
context: This one's got a jewel in it,\so I had to work pretty hard to get it.\If you can pay enough to match my effort, we'll both be happy.\I have no money.\Then we have nothing to discuss!\Tsk, tsk, tsk. I don't have money, but I have things worth money.\What I have here is a\a cell phone! response:	What's that?
context: so I had to work pretty hard to get it.\If you can pay enough to match my effort, we'll both be happy.\I have no money.\Then we have nothing to discuss!\Tsk, tsk, tsk. I don't have money, but I have things worth money.\What I have here is a\a cell phone!\What's that? response:	Never seen one of those before.
context: If you can pay enough to match my effort, we'll both be happy.\I have no money.\Then we have nothing to discuss!\Tsk, tsk, tsk. I don't have money, but I have things worth money.\What I have here is a\a cell phone!\What's that?\Never seen one of those before. response:	Take this! Nine shots per second: Continuous Shot!
context: I have no money.\Then we have nothing to discuss!\Tsk, tsk, tsk. I don't have money, but I have things worth money.\What I have here is a\a cell phone!\What's that?\Never seen one of those before.\Take this! Nine shots per second: Continuous Shot! response:	Whoa! Hey! What's that sound?! And that was too bright!
context: Then we have nothing to discuss!\Tsk, tsk, tsk. I don't have money, but I have things worth money.\What I have here is a\a cell phone!\What's that?\Never seen one of those before.\Take this! Nine shots per second: Continuous Shot!\Whoa! Hey! What's that sound?! And that was too bright! response:	Are you tryin' to kill me?!
context: Tsk, tsk, tsk. I don't have money, but I have things worth money.\What I have here is a\a cell phone!\What's that?\Never seen one of those before.\Take this! Nine shots per second: Continuous Shot!\Whoa! Hey! What's that sound?! And that was too bright!\Are you tryin' to kill me?! response:	Don't you go makin' light of this old man with dodgy tricks like that!
context: What I have here is a\a cell phone!\What's that?\Never seen one of those before.\Take this! Nine shots per second: Continuous Shot!\Whoa! Hey! What's that sound?! And that was too bright!\Are you tryin' to kill me?!\Don't you go makin' light of this old man with dodgy tricks like that! response:	Now, hold on.
context: a cell phone!\What's that?\Never seen one of those before.\Take this! Nine shots per second: Continuous Shot!\Whoa! Hey! What's that sound?! And that was too bright!\Are you tryin' to kill me?!\Don't you go makin' light of this old man with dodgy tricks like that!\Now, hold on. response:	Is this...
context: What's that?\Never seen one of those before.\Take this! Nine shots per second: Continuous Shot!\Whoa! Hey! What's that sound?! And that was too bright!\Are you tryin' to kill me?!\Don't you go makin' light of this old man with dodgy tricks like that!\Now, hold on.\Is this... response:	Them's me and Felt's faces.
context: Never seen one of those before.\Take this! Nine shots per second: Continuous Shot!\Whoa! Hey! What's that sound?! And that was too bright!\Are you tryin' to kill me?!\Don't you go makin' light of this old man with dodgy tricks like that!\Now, hold on.\Is this...\Them's me and Felt's faces. response:	What sort of magic is that?
context: Take this! Nine shots per second: Continuous Shot!\Whoa! Hey! What's that sound?! And that was too bright!\Are you tryin' to kill me?!\Don't you go makin' light of this old man with dodgy tricks like that!\Now, hold on.\Is this...\Them's me and Felt's faces.\What sort of magic is that? response:	I told you, it's a mystical item that can freeze a moment in time.
context: Whoa! Hey! What's that sound?! And that was too bright!\Are you tryin' to kill me?!\Don't you go makin' light of this old man with dodgy tricks like that!\Now, hold on.\Is this...\Them's me and Felt's faces.\What sort of magic is that?\I told you, it's a mystical item that can freeze a moment in time. response:	With this, you can capture moments in time and store them in here.
context: Are you tryin' to kill me?!\Don't you go makin' light of this old man with dodgy tricks like that!\Now, hold on.\Is this...\Them's me and Felt's faces.\What sort of magic is that?\I told you, it's a mystical item that can freeze a moment in time.\With this, you can capture moments in time and store them in here. response:	I see! That is amazing!
context: Don't you go makin' light of this old man with dodgy tricks like that!\Now, hold on.\Is this...\Them's me and Felt's faces.\What sort of magic is that?\I told you, it's a mystical item that can freeze a moment in time.\With this, you can capture moments in time and store them in here.\I see! That is amazing! response:	Never seen the like.
context: Now, hold on.\Is this...\Them's me and Felt's faces.\What sort of magic is that?\I told you, it's a mystical item that can freeze a moment in time.\With this, you can capture moments in time and store them in here.\I see! That is amazing!\Never seen the like. response:	Is that one of the metia I've been hearing about lately?
context: Is this...\Them's me and Felt's faces.\What sort of magic is that?\I told you, it's a mystical item that can freeze a moment in time.\With this, you can capture moments in time and store them in here.\I see! That is amazing!\Never seen the like.\Is that one of the metia I've been hearing about lately? response:	Metia?
context: Them's me and Felt's faces.\What sort of magic is that?\I told you, it's a mystical item that can freeze a moment in time.\With this, you can capture moments in time and store them in here.\I see! That is amazing!\Never seen the like.\Is that one of the metia I've been hearing about lately?\Metia? response:	It's the name for devices that lets people who haven't
context: What sort of magic is that?\I told you, it's a mystical item that can freeze a moment in time.\With this, you can capture moments in time and store them in here.\I see! That is amazing!\Never seen the like.\Is that one of the metia I've been hearing about lately?\Metia?\It's the name for devices that lets people who haven't response:	opened the gate use magic, like real magic users.
context: I told you, it's a mystical item that can freeze a moment in time.\With this, you can capture moments in time and store them in here.\I see! That is amazing!\Never seen the like.\Is that one of the metia I've been hearing about lately?\Metia?\It's the name for devices that lets people who haven't\opened the gate use magic, like real magic users. response:	I'm more concerned with the price.
context: With this, you can capture moments in time and store them in here.\I see! That is amazing!\Never seen the like.\Is that one of the metia I've been hearing about lately?\Metia?\It's the name for devices that lets people who haven't\opened the gate use magic, like real magic users.\I'm more concerned with the price. response:	What can I get out of this metia?
context: I see! That is amazing!\Never seen the like.\Is that one of the metia I've been hearing about lately?\Metia?\It's the name for devices that lets people who haven't\opened the gate use magic, like real magic users.\I'm more concerned with the price.\What can I get out of this metia? response:	Well, it's my first time using a metia, too.
context: Never seen the like.\Is that one of the metia I've been hearing about lately?\Metia?\It's the name for devices that lets people who haven't\opened the gate use magic, like real magic users.\I'm more concerned with the price.\What can I get out of this metia?\Well, it's my first time using a metia, too. response:	But I'd say there's no doubt it'll fetch more than that insignia.
context: Is that one of the metia I've been hearing about lately?\Metia?\It's the name for devices that lets people who haven't\opened the gate use magic, like real magic users.\I'm more concerned with the price.\What can I get out of this metia?\Well, it's my first time using a metia, too.\But I'd say there's no doubt it'll fetch more than that insignia. response:	Then that settles it! This cell phone for the insignia!
context: Metia?\It's the name for devices that lets people who haven't\opened the gate use magic, like real magic users.\I'm more concerned with the price.\What can I get out of this metia?\Well, it's my first time using a metia, too.\But I'd say there's no doubt it'll fetch more than that insignia.\Then that settles it! This cell phone for the insignia! response:	Negotiations complete!
context: It's the name for devices that lets people who haven't\opened the gate use magic, like real magic users.\I'm more concerned with the price.\What can I get out of this metia?\Well, it's my first time using a metia, too.\But I'd say there's no doubt it'll fetch more than that insignia.\Then that settles it! This cell phone for the insignia!\Negotiations complete! response:	Hey!
context: opened the gate use magic, like real magic users.\I'm more concerned with the price.\What can I get out of this metia?\Well, it's my first time using a metia, too.\But I'd say there's no doubt it'll fetch more than that insignia.\Then that settles it! This cell phone for the insignia!\Negotiations complete!\Hey! response:	Nope. Not yet.
