context: D- dammit! You say the other two Saiyans are even stronger!? response:	W- what's going on here?
context: Rot in hell!!\You got careless, didn't you!?\I've got your tail!\Why, you... when did you get behind me!?\Piccolo! Now! Do that thing one more time!\Y- you got it!\Nicely done, Goku! Keep a firm grip on that tail!\I'm limited to only being able to use this technique one more time. response:	K- Kakarrot! Are you planning to kill your one and only brother!?
context: You got careless, didn't you!?\I've got your tail!\Why, you... when did you get behind me!?\Piccolo! Now! Do that thing one more time!\Y- you got it!\Nicely done, Goku! Keep a firm grip on that tail!\I'm limited to only being able to use this technique one more time.\K- Kakarrot! Are you planning to kill your one and only brother!? response:	Shut up! I told you, any guy as cruel as you are ain't any brother of mine!
context: I've got your tail!\Why, you... when did you get behind me!?\Piccolo! Now! Do that thing one more time!\Y- you got it!\Nicely done, Goku! Keep a firm grip on that tail!\I'm limited to only being able to use this technique one more time.\K- Kakarrot! Are you planning to kill your one and only brother!?\Shut up! I told you, any guy as cruel as you are ain't any brother of mine! response:	As someone who was going to kill my son,
context: Why, you... when did you get behind me!?\Piccolo! Now! Do that thing one more time!\Y- you got it!\Nicely done, Goku! Keep a firm grip on that tail!\I'm limited to only being able to use this technique one more time.\K- Kakarrot! Are you planning to kill your one and only brother!?\Shut up! I told you, any guy as cruel as you are ain't any brother of mine!\As someone who was going to kill my son, response:	don't you go saying that self-serving junk!
context: Piccolo! Now! Do that thing one more time!\Y- you got it!\Nicely done, Goku! Keep a firm grip on that tail!\I'm limited to only being able to use this technique one more time.\K- Kakarrot! Are you planning to kill your one and only brother!?\Shut up! I told you, any guy as cruel as you are ain't any brother of mine!\As someone who was going to kill my son,\don't you go saying that self-serving junk! response:	I- I'll stop! I've had a change of heart!
context: Y- you got it!\Nicely done, Goku! Keep a firm grip on that tail!\I'm limited to only being able to use this technique one more time.\K- Kakarrot! Are you planning to kill your one and only brother!?\Shut up! I told you, any guy as cruel as you are ain't any brother of mine!\As someone who was going to kill my son,\don't you go saying that self-serving junk!\I- I'll stop! I've had a change of heart! response:	I'll leave this planet without making any more trouble!
context: Nicely done, Goku! Keep a firm grip on that tail!\I'm limited to only being able to use this technique one more time.\K- Kakarrot! Are you planning to kill your one and only brother!?\Shut up! I told you, any guy as cruel as you are ain't any brother of mine!\As someone who was going to kill my son,\don't you go saying that self-serving junk!\I- I'll stop! I've had a change of heart!\I'll leave this planet without making any more trouble! response:	Don't be fooled, Son Goku! There's no truth in what he's saying!
context: I'm limited to only being able to use this technique one more time.\K- Kakarrot! Are you planning to kill your one and only brother!?\Shut up! I told you, any guy as cruel as you are ain't any brother of mine!\As someone who was going to kill my son,\don't you go saying that self-serving junk!\I- I'll stop! I've had a change of heart!\I'll leave this planet without making any more trouble!\Don't be fooled, Son Goku! There's no truth in what he's saying! response:	There's no way he would do that!
context: K- Kakarrot! Are you planning to kill your one and only brother!?\Shut up! I told you, any guy as cruel as you are ain't any brother of mine!\As someone who was going to kill my son,\don't you go saying that self-serving junk!\I- I'll stop! I've had a change of heart!\I'll leave this planet without making any more trouble!\Don't be fooled, Son Goku! There's no truth in what he's saying!\There's no way he would do that! response:	P- please! Believe me, my younger brother!
context: Shut up! I told you, any guy as cruel as you are ain't any brother of mine!\As someone who was going to kill my son,\don't you go saying that self-serving junk!\I- I'll stop! I've had a change of heart!\I'll leave this planet without making any more trouble!\Don't be fooled, Son Goku! There's no truth in what he's saying!\There's no way he would do that!\P- please! Believe me, my younger brother! response:	Truly, I have done some cruel things up to now!
context: As someone who was going to kill my son,\don't you go saying that self-serving junk!\I- I'll stop! I've had a change of heart!\I'll leave this planet without making any more trouble!\Don't be fooled, Son Goku! There's no truth in what he's saying!\There's no way he would do that!\P- please! Believe me, my younger brother!\Truly, I have done some cruel things up to now! response:	To you, as well... But I will keep my promise, no matter what!
context: don't you go saying that self-serving junk!\I- I'll stop! I've had a change of heart!\I'll leave this planet without making any more trouble!\Don't be fooled, Son Goku! There's no truth in what he's saying!\There's no way he would do that!\P- please! Believe me, my younger brother!\Truly, I have done some cruel things up to now!\To you, as well... But I will keep my promise, no matter what! response:	Y- you really mean it?
context: I- I'll stop! I've had a change of heart!\I'll leave this planet without making any more trouble!\Don't be fooled, Son Goku! There's no truth in what he's saying!\There's no way he would do that!\P- please! Believe me, my younger brother!\Truly, I have done some cruel things up to now!\To you, as well... But I will keep my promise, no matter what!\Y- you really mean it? response:	I- I really do!
context: I'll leave this planet without making any more trouble!\Don't be fooled, Son Goku! There's no truth in what he's saying!\There's no way he would do that!\P- please! Believe me, my younger brother!\Truly, I have done some cruel things up to now!\To you, as well... But I will keep my promise, no matter what!\Y- you really mean it?\I- I really do! response:	N- No!! Don't let go of his tail! That's his tactic!
context: Don't be fooled, Son Goku! There's no truth in what he's saying!\There's no way he would do that!\P- please! Believe me, my younger brother!\Truly, I have done some cruel things up to now!\To you, as well... But I will keep my promise, no matter what!\Y- you really mean it?\I- I really do!\N- No!! Don't let go of his tail! That's his tactic! response:	I'm begging you, Kakarrot! B- believe me!
context: There's no way he would do that!\P- please! Believe me, my younger brother!\Truly, I have done some cruel things up to now!\To you, as well... But I will keep my promise, no matter what!\Y- you really mean it?\I- I really do!\N- No!! Don't let go of his tail! That's his tactic!\I'm begging you, Kakarrot! B- believe me! response:	Son Goku!
context: P- please! Believe me, my younger brother!\Truly, I have done some cruel things up to now!\To you, as well... But I will keep my promise, no matter what!\Y- you really mean it?\I- I really do!\N- No!! Don't let go of his tail! That's his tactic!\I'm begging you, Kakarrot! B- believe me!\Son Goku! response:	Y- you miserable idiot!
context: Truly, I have done some cruel things up to now!\To you, as well... But I will keep my promise, no matter what!\Y- you really mean it?\I- I really do!\N- No!! Don't let go of his tail! That's his tactic!\I'm begging you, Kakarrot! B- believe me!\Son Goku!\Y- you miserable idiot! response:	Indeed! Fools such as yourself are quite uncommon!
context: To you, as well... But I will keep my promise, no matter what!\Y- you really mean it?\I- I really do!\N- No!! Don't let go of his tail! That's his tactic!\I'm begging you, Kakarrot! B- believe me!\Son Goku!\Y- you miserable idiot!\Indeed! Fools such as yourself are quite uncommon! response:	To think that you would be so completely taken in!
context: Y- you really mean it?\I- I really do!\N- No!! Don't let go of his tail! That's his tactic!\I'm begging you, Kakarrot! B- believe me!\Son Goku!\Y- you miserable idiot!\Indeed! Fools such as yourself are quite uncommon!\To think that you would be so completely taken in! response:	Just as I thought, there's no way that you could be a warrior!
context: I- I really do!\N- No!! Don't let go of his tail! That's his tactic!\I'm begging you, Kakarrot! B- believe me!\Son Goku!\Y- you miserable idiot!\Indeed! Fools such as yourself are quite uncommon!\To think that you would be so completely taken in!\Just as I thought, there's no way that you could be a warrior! response:	T- that was dirty!
context: N- No!! Don't let go of his tail! That's his tactic!\I'm begging you, Kakarrot! B- believe me!\Son Goku!\Y- you miserable idiot!\Indeed! Fools such as yourself are quite uncommon!\To think that you would be so completely taken in!\Just as I thought, there's no way that you could be a warrior!\T- that was dirty! response:	But I'm not like you. I'm a first-rate warrior!
context: I'm begging you, Kakarrot! B- believe me!\Son Goku!\Y- you miserable idiot!\Indeed! Fools such as yourself are quite uncommon!\To think that you would be so completely taken in!\Just as I thought, there's no way that you could be a warrior!\T- that was dirty!\But I'm not like you. I'm a first-rate warrior! response:	I have absolutely no hesitations about killing you, even if you are my brother!
context: Son Goku!\Y- you miserable idiot!\Indeed! Fools such as yourself are quite uncommon!\To think that you would be so completely taken in!\Just as I thought, there's no way that you could be a warrior!\T- that was dirty!\But I'm not like you. I'm a first-rate warrior!\I have absolutely no hesitations about killing you, even if you are my brother! response:	Shall I provide you with a sample?
context: Y- you miserable idiot!\Indeed! Fools such as yourself are quite uncommon!\To think that you would be so completely taken in!\Just as I thought, there's no way that you could be a warrior!\T- that was dirty!\But I'm not like you. I'm a first-rate warrior!\I have absolutely no hesitations about killing you, even if you are my brother!\Shall I provide you with a sample? response:	Father...
context: Indeed! Fools such as yourself are quite uncommon!\To think that you would be so completely taken in!\Just as I thought, there's no way that you could be a warrior!\T- that was dirty!\But I'm not like you. I'm a first-rate warrior!\I have absolutely no hesitations about killing you, even if you are my brother!\Shall I provide you with a sample?\Father... response:	There you go, there you go! Suffer even more! Your death is near!
context: To think that you would be so completely taken in!\Just as I thought, there's no way that you could be a warrior!\T- that was dirty!\But I'm not like you. I'm a first-rate warrior!\I have absolutely no hesitations about killing you, even if you are my brother!\Shall I provide you with a sample?\Father...\There you go, there you go! Suffer even more! Your death is near! response:	What's the matter? Aren't you going to come at me?
context: Just as I thought, there's no way that you could be a warrior!\T- that was dirty!\But I'm not like you. I'm a first-rate warrior!\I have absolutely no hesitations about killing you, even if you are my brother!\Shall I provide you with a sample?\Father...\There you go, there you go! Suffer even more! Your death is near!\What's the matter? Aren't you going to come at me? response:	Try doing that thing you did earlier!
context: T- that was dirty!\But I'm not like you. I'm a first-rate warrior!\I have absolutely no hesitations about killing you, even if you are my brother!\Shall I provide you with a sample?\Father...\There you go, there you go! Suffer even more! Your death is near!\What's the matter? Aren't you going to come at me?\Try doing that thing you did earlier! response:	H- he'll just dodge it again like this!
context: But I'm not like you. I'm a first-rate warrior!\I have absolutely no hesitations about killing you, even if you are my brother!\Shall I provide you with a sample?\Father...\There you go, there you go! Suffer even more! Your death is near!\What's the matter? Aren't you going to come at me?\Try doing that thing you did earlier!\H- he'll just dodge it again like this! response:	Father...
context: I have absolutely no hesitations about killing you, even if you are my brother!\Shall I provide you with a sample?\Father...\There you go, there you go! Suffer even more! Your death is near!\What's the matter? Aren't you going to come at me?\Try doing that thing you did earlier!\H- he'll just dodge it again like this!\Father... response:	That Gohan! I told him that once he gets his tests back,
context: Shall I provide you with a sample?\Father...\There you go, there you go! Suffer even more! Your death is near!\What's the matter? Aren't you going to come at me?\Try doing that thing you did earlier!\H- he'll just dodge it again like this!\Father...\That Gohan! I told him that once he gets his tests back, response:	he should show them to me.
context: Father...\There you go, there you go! Suffer even more! Your death is near!\What's the matter? Aren't you going to come at me?\Try doing that thing you did earlier!\H- he'll just dodge it again like this!\Father...\That Gohan! I told him that once he gets his tests back,\he should show them to me. response:	Still, you've done very well, Gohan.
context: There you go, there you go! Suffer even more! Your death is near!\What's the matter? Aren't you going to come at me?\Try doing that thing you did earlier!\H- he'll just dodge it again like this!\Father...\That Gohan! I told him that once he gets his tests back,\he should show them to me.\Still, you've done very well, Gohan. response:	Sure enough, it's worth it for him to be studyin' every day for eight hours.
context: What's the matter? Aren't you going to come at me?\Try doing that thing you did earlier!\H- he'll just dodge it again like this!\Father...\That Gohan! I told him that once he gets his tests back,\he should show them to me.\Still, you've done very well, Gohan.\Sure enough, it's worth it for him to be studyin' every day for eight hours. response:	Once I show this to Goku, I'm sure he'll say the same thing.
context: Try doing that thing you did earlier!\H- he'll just dodge it again like this!\Father...\That Gohan! I told him that once he gets his tests back,\he should show them to me.\Still, you've done very well, Gohan.\Sure enough, it's worth it for him to be studyin' every day for eight hours.\Once I show this to Goku, I'm sure he'll say the same thing. response:	I sure wish Goku and Gohan would both get back soon.
context: H- he'll just dodge it again like this!\Father...\That Gohan! I told him that once he gets his tests back,\he should show them to me.\Still, you've done very well, Gohan.\Sure enough, it's worth it for him to be studyin' every day for eight hours.\Once I show this to Goku, I'm sure he'll say the same thing.\I sure wish Goku and Gohan would both get back soon. response:	Scream some more! Cry out!
context: Father...\That Gohan! I told him that once he gets his tests back,\he should show them to me.\Still, you've done very well, Gohan.\Sure enough, it's worth it for him to be studyin' every day for eight hours.\Once I show this to Goku, I'm sure he'll say the same thing.\I sure wish Goku and Gohan would both get back soon.\Scream some more! Cry out! response:	Your turn comes next!
context: That Gohan! I told him that once he gets his tests back,\he should show them to me.\Still, you've done very well, Gohan.\Sure enough, it's worth it for him to be studyin' every day for eight hours.\Once I show this to Goku, I'm sure he'll say the same thing.\I sure wish Goku and Gohan would both get back soon.\Scream some more! Cry out!\Your turn comes next! response:	Get yourself ready!
context: he should show them to me.\Still, you've done very well, Gohan.\Sure enough, it's worth it for him to be studyin' every day for eight hours.\Once I show this to Goku, I'm sure he'll say the same thing.\I sure wish Goku and Gohan would both get back soon.\Scream some more! Cry out!\Your turn comes next!\Get yourself ready! response:	Well now, shall I finally put you out of your misery?
context: Still, you've done very well, Gohan.\Sure enough, it's worth it for him to be studyin' every day for eight hours.\Once I show this to Goku, I'm sure he'll say the same thing.\I sure wish Goku and Gohan would both get back soon.\Scream some more! Cry out!\Your turn comes next!\Get yourself ready!\Well now, shall I finally put you out of your misery? response:	Die, Kakarrot!!
context: Sure enough, it's worth it for him to be studyin' every day for eight hours.\Once I show this to Goku, I'm sure he'll say the same thing.\I sure wish Goku and Gohan would both get back soon.\Scream some more! Cry out!\Your turn comes next!\Get yourself ready!\Well now, shall I finally put you out of your misery?\Die, Kakarrot!! response:	W- what?
context: Once I show this to Goku, I'm sure he'll say the same thing.\I sure wish Goku and Gohan would both get back soon.\Scream some more! Cry out!\Your turn comes next!\Get yourself ready!\Well now, shall I finally put you out of your misery?\Die, Kakarrot!!\W- what? response:	What!?
context: I sure wish Goku and Gohan would both get back soon.\Scream some more! Cry out!\Your turn comes next!\Get yourself ready!\Well now, shall I finally put you out of your misery?\Die, Kakarrot!!\W- what?\What!? response:	With his father in a great pinch, Son Gohan instinctively springs forth!
context: Scream some more! Cry out!\Your turn comes next!\Get yourself ready!\Well now, shall I finally put you out of your misery?\Die, Kakarrot!!\W- what?\What!?\With his father in a great pinch, Son Gohan instinctively springs forth! response:	Though his body may be small, his anger is something fierce!
