context: Ladies and gentlemen, good evening. response:	At Luna's Carnival, I encountered an immature soul.
context: Count! I have a favor to ask of you!\What's the big idea?!\There is your 50 million ducats.\Now, you will take us to the hostage.\To the Colosseum!\Have the two of you been friends for a long time?\Yes, we've been best friends since we were children.\Ah, so you are childhood friends. response:	Constant friendship...
context: What's the big idea?!\There is your 50 million ducats.\Now, you will take us to the hostage.\To the Colosseum!\Have the two of you been friends for a long time?\Yes, we've been best friends since we were children.\Ah, so you are childhood friends.\Constant friendship... response:	It is a wonderful thing, is it not?
context: There is your 50 million ducats.\Now, you will take us to the hostage.\To the Colosseum!\Have the two of you been friends for a long time?\Yes, we've been best friends since we were children.\Ah, so you are childhood friends.\Constant friendship...\It is a wonderful thing, is it not? response:	Who do you like? C'mon, tell me!
context: Now, you will take us to the hostage.\To the Colosseum!\Have the two of you been friends for a long time?\Yes, we've been best friends since we were children.\Ah, so you are childhood friends.\Constant friendship...\It is a wonderful thing, is it not?\Who do you like? C'mon, tell me! response:	At least give me a hint!
context: To the Colosseum!\Have the two of you been friends for a long time?\Yes, we've been best friends since we were children.\Ah, so you are childhood friends.\Constant friendship...\It is a wonderful thing, is it not?\Who do you like? C'mon, tell me!\At least give me a hint! response:	You wouldn't understand.
context: Have the two of you been friends for a long time?\Yes, we've been best friends since we were children.\Ah, so you are childhood friends.\Constant friendship...\It is a wonderful thing, is it not?\Who do you like? C'mon, tell me!\At least give me a hint!\You wouldn't understand. response:	Luigi.
context: Yes, we've been best friends since we were children.\Ah, so you are childhood friends.\Constant friendship...\It is a wonderful thing, is it not?\Who do you like? C'mon, tell me!\At least give me a hint!\You wouldn't understand.\Luigi. response:	It's almost time.
context: Ah, so you are childhood friends.\Constant friendship...\It is a wonderful thing, is it not?\Who do you like? C'mon, tell me!\At least give me a hint!\You wouldn't understand.\Luigi.\It's almost time. response:	Kill him.
context: Constant friendship...\It is a wonderful thing, is it not?\Who do you like? C'mon, tell me!\At least give me a hint!\You wouldn't understand.\Luigi.\It's almost time.\Kill him. response:	So, have you made your peace?
context: It is a wonderful thing, is it not?\Who do you like? C'mon, tell me!\At least give me a hint!\You wouldn't understand.\Luigi.\It's almost time.\Kill him.\So, have you made your peace? response:	C'mon, ma'am, let me kill him!
context: Who do you like? C'mon, tell me!\At least give me a hint!\You wouldn't understand.\Luigi.\It's almost time.\Kill him.\So, have you made your peace?\C'mon, ma'am, let me kill him! response:	No, let me!
context: At least give me a hint!\You wouldn't understand.\Luigi.\It's almost time.\Kill him.\So, have you made your peace?\C'mon, ma'am, let me kill him!\No, let me! response:	Oh, give it a rest, you two!
context: You wouldn't understand.\Luigi.\It's almost time.\Kill him.\So, have you made your peace?\C'mon, ma'am, let me kill him!\No, let me!\Oh, give it a rest, you two! response:	You can carve him up as much as you want after he's dead.
context: Luigi.\It's almost time.\Kill him.\So, have you made your peace?\C'mon, ma'am, let me kill him!\No, let me!\Oh, give it a rest, you two!\You can carve him up as much as you want after he's dead. response:	Now, then. You should put up a brave front while you still can.
context: It's almost time.\Kill him.\So, have you made your peace?\C'mon, ma'am, let me kill him!\No, let me!\Oh, give it a rest, you two!\You can carve him up as much as you want after he's dead.\Now, then. You should put up a brave front while you still can. response:	I wonder what you'll sound like when you cry?
context: Kill him.\So, have you made your peace?\C'mon, ma'am, let me kill him!\No, let me!\Oh, give it a rest, you two!\You can carve him up as much as you want after he's dead.\Now, then. You should put up a brave front while you still can.\I wonder what you'll sound like when you cry? response:	H-Hey, guys.
context: So, have you made your peace?\C'mon, ma'am, let me kill him!\No, let me!\Oh, give it a rest, you two!\You can carve him up as much as you want after he's dead.\Now, then. You should put up a brave front while you still can.\I wonder what you'll sound like when you cry?\H-Hey, guys. response:	Um... Visitors to see the boss.
context: C'mon, ma'am, let me kill him!\No, let me!\Oh, give it a rest, you two!\You can carve him up as much as you want after he's dead.\Now, then. You should put up a brave front while you still can.\I wonder what you'll sound like when you cry?\H-Hey, guys.\Um... Visitors to see the boss. response:	Who are they?
context: No, let me!\Oh, give it a rest, you two!\You can carve him up as much as you want after he's dead.\Now, then. You should put up a brave front while you still can.\I wonder what you'll sound like when you cry?\H-Hey, guys.\Um... Visitors to see the boss.\Who are they? response:	Please, Teresa, don't!
context: Oh, give it a rest, you two!\You can carve him up as much as you want after he's dead.\Now, then. You should put up a brave front while you still can.\I wonder what you'll sound like when you cry?\H-Hey, guys.\Um... Visitors to see the boss.\Who are they?\Please, Teresa, don't! response:	We can't kill him yet!
context: You can carve him up as much as you want after he's dead.\Now, then. You should put up a brave front while you still can.\I wonder what you'll sound like when you cry?\H-Hey, guys.\Um... Visitors to see the boss.\Who are they?\Please, Teresa, don't!\We can't kill him yet! response:	B-Because we won't get the money!
context: Now, then. You should put up a brave front while you still can.\I wonder what you'll sound like when you cry?\H-Hey, guys.\Um... Visitors to see the boss.\Who are they?\Please, Teresa, don't!\We can't kill him yet!\B-Because we won't get the money! response:	And besides... There's still a little time.
context: I wonder what you'll sound like when you cry?\H-Hey, guys.\Um... Visitors to see the boss.\Who are they?\Please, Teresa, don't!\We can't kill him yet!\B-Because we won't get the money!\And besides... There's still a little time. response:	Stand aside!
context: H-Hey, guys.\Um... Visitors to see the boss.\Who are they?\Please, Teresa, don't!\We can't kill him yet!\B-Because we won't get the money!\And besides... There's still a little time.\Stand aside! response:	If you're going to use that, use it on me!
context: Um... Visitors to see the boss.\Who are they?\Please, Teresa, don't!\We can't kill him yet!\B-Because we won't get the money!\And besides... There's still a little time.\Stand aside!\If you're going to use that, use it on me! response:	Squabbling among yourselves is pathetic!
context: Who are they?\Please, Teresa, don't!\We can't kill him yet!\B-Because we won't get the money!\And besides... There's still a little time.\Stand aside!\If you're going to use that, use it on me!\Squabbling among yourselves is pathetic! response:	Thank you. Stand back.
context: Please, Teresa, don't!\We can't kill him yet!\B-Because we won't get the money!\And besides... There's still a little time.\Stand aside!\If you're going to use that, use it on me!\Squabbling among yourselves is pathetic!\Thank you. Stand back. response:	Are you trying to disgrace the boss?
context: We can't kill him yet!\B-Because we won't get the money!\And besides... There's still a little time.\Stand aside!\If you're going to use that, use it on me!\Squabbling among yourselves is pathetic!\Thank you. Stand back.\Are you trying to disgrace the boss? response:	I'll be fine. Go.
context: B-Because we won't get the money!\And besides... There's still a little time.\Stand aside!\If you're going to use that, use it on me!\Squabbling among yourselves is pathetic!\Thank you. Stand back.\Are you trying to disgrace the boss?\I'll be fine. Go. response:	So, does that mean you've fallen for that girl?
context: And besides... There's still a little time.\Stand aside!\If you're going to use that, use it on me!\Squabbling among yourselves is pathetic!\Thank you. Stand back.\Are you trying to disgrace the boss?\I'll be fine. Go.\So, does that mean you've fallen for that girl? response:	That's so sweet...
context: Stand aside!\If you're going to use that, use it on me!\Squabbling among yourselves is pathetic!\Thank you. Stand back.\Are you trying to disgrace the boss?\I'll be fine. Go.\So, does that mean you've fallen for that girl?\That's so sweet... response:	But she's too much for you to handle, little boy.
context: If you're going to use that, use it on me!\Squabbling among yourselves is pathetic!\Thank you. Stand back.\Are you trying to disgrace the boss?\I'll be fine. Go.\So, does that mean you've fallen for that girl?\That's so sweet...\But she's too much for you to handle, little boy. response:	Or maybe... you'd rather become one of us?
context: Squabbling among yourselves is pathetic!\Thank you. Stand back.\Are you trying to disgrace the boss?\I'll be fine. Go.\So, does that mean you've fallen for that girl?\That's so sweet...\But she's too much for you to handle, little boy.\Or maybe... you'd rather become one of us? response:	You know, I think I'll brand you...
context: Thank you. Stand back.\Are you trying to disgrace the boss?\I'll be fine. Go.\So, does that mean you've fallen for that girl?\That's so sweet...\But she's too much for you to handle, little boy.\Or maybe... you'd rather become one of us?\You know, I think I'll brand you... response:	Why, you...
context: Are you trying to disgrace the boss?\I'll be fine. Go.\So, does that mean you've fallen for that girl?\That's so sweet...\But she's too much for you to handle, little boy.\Or maybe... you'd rather become one of us?\You know, I think I'll brand you...\Why, you... response:	Leave her alone!
context: I'll be fine. Go.\So, does that mean you've fallen for that girl?\That's so sweet...\But she's too much for you to handle, little boy.\Or maybe... you'd rather become one of us?\You know, I think I'll brand you...\Why, you...\Leave her alone! response:	I have come to meet with Signor Luigi Vampa, whose reputation is notorious on Luna.
context: So, does that mean you've fallen for that girl?\That's so sweet...\But she's too much for you to handle, little boy.\Or maybe... you'd rather become one of us?\You know, I think I'll brand you...\Why, you...\Leave her alone!\I have come to meet with Signor Luigi Vampa, whose reputation is notorious on Luna. response:	And who are you?
context: That's so sweet...\But she's too much for you to handle, little boy.\Or maybe... you'd rather become one of us?\You know, I think I'll brand you...\Why, you...\Leave her alone!\I have come to meet with Signor Luigi Vampa, whose reputation is notorious on Luna.\And who are you? response:	My name is... Gankutsuou.
context: But she's too much for you to handle, little boy.\Or maybe... you'd rather become one of us?\You know, I think I'll brand you...\Why, you...\Leave her alone!\I have come to meet with Signor Luigi Vampa, whose reputation is notorious on Luna.\And who are you?\My name is... Gankutsuou. response:	T-The King of the Cave?!
context: Or maybe... you'd rather become one of us?\You know, I think I'll brand you...\Why, you...\Leave her alone!\I have come to meet with Signor Luigi Vampa, whose reputation is notorious on Luna.\And who are you?\My name is... Gankutsuou.\T-The King of the Cave?! response:	For one such as yourself who dwells in the darkness,
context: You know, I think I'll brand you...\Why, you...\Leave her alone!\I have come to meet with Signor Luigi Vampa, whose reputation is notorious on Luna.\And who are you?\My name is... Gankutsuou.\T-The King of the Cave?!\For one such as yourself who dwells in the darkness, response:	I have your money. Now, hand over the hostage.
context: Why, you...\Leave her alone!\I have come to meet with Signor Luigi Vampa, whose reputation is notorious on Luna.\And who are you?\My name is... Gankutsuou.\T-The King of the Cave?!\For one such as yourself who dwells in the darkness,\I have your money. Now, hand over the hostage. response:	I'm sorry, but you missed the deadline.
context: Leave her alone!\I have come to meet with Signor Luigi Vampa, whose reputation is notorious on Luna.\And who are you?\My name is... Gankutsuou.\T-The King of the Cave?!\For one such as yourself who dwells in the darkness,\I have your money. Now, hand over the hostage.\I'm sorry, but you missed the deadline. response:	Always be punctual, that's my motto.
context: I have come to meet with Signor Luigi Vampa, whose reputation is notorious on Luna.\And who are you?\My name is... Gankutsuou.\T-The King of the Cave?!\For one such as yourself who dwells in the darkness,\I have your money. Now, hand over the hostage.\I'm sorry, but you missed the deadline.\Always be punctual, that's my motto. response:	Punctuality is the politeness of kings, is that it?
context: And who are you?\My name is... Gankutsuou.\T-The King of the Cave?!\For one such as yourself who dwells in the darkness,\I have your money. Now, hand over the hostage.\I'm sorry, but you missed the deadline.\Always be punctual, that's my motto.\Punctuality is the politeness of kings, is that it? response:	I'm deeply honored... by your gracious words!
context: My name is... Gankutsuou.\T-The King of the Cave?!\For one such as yourself who dwells in the darkness,\I have your money. Now, hand over the hostage.\I'm sorry, but you missed the deadline.\Always be punctual, that's my motto.\Punctuality is the politeness of kings, is that it?\I'm deeply honored... by your gracious words! response:	I see... Your skill is impressive.
context: T-The King of the Cave?!\For one such as yourself who dwells in the darkness,\I have your money. Now, hand over the hostage.\I'm sorry, but you missed the deadline.\Always be punctual, that's my motto.\Punctuality is the politeness of kings, is that it?\I'm deeply honored... by your gracious words!\I see... Your skill is impressive. response:	But you cannot kill me.
context: For one such as yourself who dwells in the darkness,\I have your money. Now, hand over the hostage.\I'm sorry, but you missed the deadline.\Always be punctual, that's my motto.\Punctuality is the politeness of kings, is that it?\I'm deeply honored... by your gracious words!\I see... Your skill is impressive.\But you cannot kill me. response:	A-Are you... Are you really...
context: I have your money. Now, hand over the hostage.\I'm sorry, but you missed the deadline.\Always be punctual, that's my motto.\Punctuality is the politeness of kings, is that it?\I'm deeply honored... by your gracious words!\I see... Your skill is impressive.\But you cannot kill me.\A-Are you... Are you really... response:	A-Are you really him?!
context: I'm sorry, but you missed the deadline.\Always be punctual, that's my motto.\Punctuality is the politeness of kings, is that it?\I'm deeply honored... by your gracious words!\I see... Your skill is impressive.\But you cannot kill me.\A-Are you... Are you really...\A-Are you really him?! response:	I do not work for the authorities.
context: Always be punctual, that's my motto.\Punctuality is the politeness of kings, is that it?\I'm deeply honored... by your gracious words!\I see... Your skill is impressive.\But you cannot kill me.\A-Are you... Are you really...\A-Are you really him?!\I do not work for the authorities. response:	If you would do me the honor of returning my friend,
context: Punctuality is the politeness of kings, is that it?\I'm deeply honored... by your gracious words!\I see... Your skill is impressive.\But you cannot kill me.\A-Are you... Are you really...\A-Are you really him?!\I do not work for the authorities.\If you would do me the honor of returning my friend, response:	You aren't injured, I take it?
context: I'm deeply honored... by your gracious words!\I see... Your skill is impressive.\But you cannot kill me.\A-Are you... Are you really...\A-Are you really him?!\I do not work for the authorities.\If you would do me the honor of returning my friend,\You aren't injured, I take it? response:	I had a feeling that you would come to rescue me.
context: I see... Your skill is impressive.\But you cannot kill me.\A-Are you... Are you really...\A-Are you really him?!\I do not work for the authorities.\If you would do me the honor of returning my friend,\You aren't injured, I take it?\I had a feeling that you would come to rescue me. response:	If you wish to thank someone, thank the good Baron d'Epinay.
context: But you cannot kill me.\A-Are you... Are you really...\A-Are you really him?!\I do not work for the authorities.\If you would do me the honor of returning my friend,\You aren't injured, I take it?\I had a feeling that you would come to rescue me.\If you wish to thank someone, thank the good Baron d'Epinay. response:	He was gravely concerned for your wellbeing.
context: A-Are you... Are you really...\A-Are you really him?!\I do not work for the authorities.\If you would do me the honor of returning my friend,\You aren't injured, I take it?\I had a feeling that you would come to rescue me.\If you wish to thank someone, thank the good Baron d'Epinay.\He was gravely concerned for your wellbeing. response:	Hey! Miss!
context: A-Are you really him?!\I do not work for the authorities.\If you would do me the honor of returning my friend,\You aren't injured, I take it?\I had a feeling that you would come to rescue me.\If you wish to thank someone, thank the good Baron d'Epinay.\He was gravely concerned for your wellbeing.\Hey! Miss! response:	Are you okay?
context: I do not work for the authorities.\If you would do me the honor of returning my friend,\You aren't injured, I take it?\I had a feeling that you would come to rescue me.\If you wish to thank someone, thank the good Baron d'Epinay.\He was gravely concerned for your wellbeing.\Hey! Miss!\Are you okay? response:	Say, I never asked you what your name was...
context: If you would do me the honor of returning my friend,\You aren't injured, I take it?\I had a feeling that you would come to rescue me.\If you wish to thank someone, thank the good Baron d'Epinay.\He was gravely concerned for your wellbeing.\Hey! Miss!\Are you okay?\Say, I never asked you what your name was... response:	I'm Albert. Albert de Morcerf.
context: You aren't injured, I take it?\I had a feeling that you would come to rescue me.\If you wish to thank someone, thank the good Baron d'Epinay.\He was gravely concerned for your wellbeing.\Hey! Miss!\Are you okay?\Say, I never asked you what your name was...\I'm Albert. Albert de Morcerf. response:	I'm Peppo.
context: I had a feeling that you would come to rescue me.\If you wish to thank someone, thank the good Baron d'Epinay.\He was gravely concerned for your wellbeing.\Hey! Miss!\Are you okay?\Say, I never asked you what your name was...\I'm Albert. Albert de Morcerf.\I'm Peppo. response:	To tell you the truth, I was almost considering throwing in my lot with the bandits.
context: If you wish to thank someone, thank the good Baron d'Epinay.\He was gravely concerned for your wellbeing.\Hey! Miss!\Are you okay?\Say, I never asked you what your name was...\I'm Albert. Albert de Morcerf.\I'm Peppo.\To tell you the truth, I was almost considering throwing in my lot with the bandits. response:	I'm glad you're all right, Albert.
context: He was gravely concerned for your wellbeing.\Hey! Miss!\Are you okay?\Say, I never asked you what your name was...\I'm Albert. Albert de Morcerf.\I'm Peppo.\To tell you the truth, I was almost considering throwing in my lot with the bandits.\I'm glad you're all right, Albert. response:	What took you so long, Franz?
context: Hey! Miss!\Are you okay?\Say, I never asked you what your name was...\I'm Albert. Albert de Morcerf.\I'm Peppo.\To tell you the truth, I was almost considering throwing in my lot with the bandits.\I'm glad you're all right, Albert.\What took you so long, Franz? response:	I came this close to being killed, you know!
context: Are you okay?\Say, I never asked you what your name was...\I'm Albert. Albert de Morcerf.\I'm Peppo.\To tell you the truth, I was almost considering throwing in my lot with the bandits.\I'm glad you're all right, Albert.\What took you so long, Franz?\I came this close to being killed, you know! response:	I was seriously...
context: Say, I never asked you what your name was...\I'm Albert. Albert de Morcerf.\I'm Peppo.\To tell you the truth, I was almost considering throwing in my lot with the bandits.\I'm glad you're all right, Albert.\What took you so long, Franz?\I came this close to being killed, you know!\I was seriously... response:	What was that for?
context: I'm Albert. Albert de Morcerf.\I'm Peppo.\To tell you the truth, I was almost considering throwing in my lot with the bandits.\I'm glad you're all right, Albert.\What took you so long, Franz?\I came this close to being killed, you know!\I was seriously...\What was that for? response:	Please, do not concern yourselves over the matter.
context: I'm Peppo.\To tell you the truth, I was almost considering throwing in my lot with the bandits.\I'm glad you're all right, Albert.\What took you so long, Franz?\I came this close to being killed, you know!\I was seriously...\What was that for?\Please, do not concern yourselves over the matter. response:	It served as a pleasant diversion for me.
context: To tell you the truth, I was almost considering throwing in my lot with the bandits.\I'm glad you're all right, Albert.\What took you so long, Franz?\I came this close to being killed, you know!\I was seriously...\What was that for?\Please, do not concern yourselves over the matter.\It served as a pleasant diversion for me. response:	But I have to do something to repay you.
context: I'm glad you're all right, Albert.\What took you so long, Franz?\I came this close to being killed, you know!\I was seriously...\What was that for?\Please, do not concern yourselves over the matter.\It served as a pleasant diversion for me.\But I have to do something to repay you. response:	In that case, might I ask one favor of you?
context: What took you so long, Franz?\I came this close to being killed, you know!\I was seriously...\What was that for?\Please, do not concern yourselves over the matter.\It served as a pleasant diversion for me.\But I have to do something to repay you.\In that case, might I ask one favor of you? response:	Anything at all! Just name it!
context: I came this close to being killed, you know!\I was seriously...\What was that for?\Please, do not concern yourselves over the matter.\It served as a pleasant diversion for me.\But I have to do something to repay you.\In that case, might I ask one favor of you?\Anything at all! Just name it! response:	I should like to take up residence in Paris at some point.
context: I was seriously...\What was that for?\Please, do not concern yourselves over the matter.\It served as a pleasant diversion for me.\But I have to do something to repay you.\In that case, might I ask one favor of you?\Anything at all! Just name it!\I should like to take up residence in Paris at some point. response:	That's wonderful!
context: What was that for?\Please, do not concern yourselves over the matter.\It served as a pleasant diversion for me.\But I have to do something to repay you.\In that case, might I ask one favor of you?\Anything at all! Just name it!\I should like to take up residence in Paris at some point.\That's wonderful! response:	However, a rustic aristocrat such as myself has no connections in Paris.
context: Please, do not concern yourselves over the matter.\It served as a pleasant diversion for me.\But I have to do something to repay you.\In that case, might I ask one favor of you?\Anything at all! Just name it!\I should like to take up residence in Paris at some point.\That's wonderful!\However, a rustic aristocrat such as myself has no connections in Paris. response:	As such, might I impose on you to act as my intermediary into Parisian society?
context: It served as a pleasant diversion for me.\But I have to do something to repay you.\In that case, might I ask one favor of you?\Anything at all! Just name it!\I should like to take up residence in Paris at some point.\That's wonderful!\However, a rustic aristocrat such as myself has no connections in Paris.\As such, might I impose on you to act as my intermediary into Parisian society? response:	Think nothing of it!
context: But I have to do something to repay you.\In that case, might I ask one favor of you?\Anything at all! Just name it!\I should like to take up residence in Paris at some point.\That's wonderful!\However, a rustic aristocrat such as myself has no connections in Paris.\As such, might I impose on you to act as my intermediary into Parisian society?\Think nothing of it! response:	In that case, I shall call on you on May 22nd, three months from this day,
context: In that case, might I ask one favor of you?\Anything at all! Just name it!\I should like to take up residence in Paris at some point.\That's wonderful!\However, a rustic aristocrat such as myself has no connections in Paris.\As such, might I impose on you to act as my intermediary into Parisian society?\Think nothing of it!\In that case, I shall call on you on May 22nd, three months from this day, response:	Where in the world did you find this?
context: Anything at all! Just name it!\I should like to take up residence in Paris at some point.\That's wonderful!\However, a rustic aristocrat such as myself has no connections in Paris.\As such, might I impose on you to act as my intermediary into Parisian society?\Think nothing of it!\In that case, I shall call on you on May 22nd, three months from this day,\Where in the world did you find this? response:	I found it. At the opera house.
context: I should like to take up residence in Paris at some point.\That's wonderful!\However, a rustic aristocrat such as myself has no connections in Paris.\As such, might I impose on you to act as my intermediary into Parisian society?\Think nothing of it!\In that case, I shall call on you on May 22nd, three months from this day,\Where in the world did you find this?\I found it. At the opera house. response:	Oh, so that is where it was!
context: That's wonderful!\However, a rustic aristocrat such as myself has no connections in Paris.\As such, might I impose on you to act as my intermediary into Parisian society?\Think nothing of it!\In that case, I shall call on you on May 22nd, three months from this day,\Where in the world did you find this?\I found it. At the opera house.\Oh, so that is where it was! response:	It shames me to say it, but I have looked everywhere for it.
context: However, a rustic aristocrat such as myself has no connections in Paris.\As such, might I impose on you to act as my intermediary into Parisian society?\Think nothing of it!\In that case, I shall call on you on May 22nd, three months from this day,\Where in the world did you find this?\I found it. At the opera house.\Oh, so that is where it was!\It shames me to say it, but I have looked everywhere for it. response:	This, too, shows that there is some bond between us.
context: As such, might I impose on you to act as my intermediary into Parisian society?\Think nothing of it!\In that case, I shall call on you on May 22nd, three months from this day,\Where in the world did you find this?\I found it. At the opera house.\Oh, so that is where it was!\It shames me to say it, but I have looked everywhere for it.\This, too, shows that there is some bond between us. response:	Please accept it with my gratitude.
context: Think nothing of it!\In that case, I shall call on you on May 22nd, three months from this day,\Where in the world did you find this?\I found it. At the opera house.\Oh, so that is where it was!\It shames me to say it, but I have looked everywhere for it.\This, too, shows that there is some bond between us.\Please accept it with my gratitude. response:	Think of it as a small token of our friendship.
context: In that case, I shall call on you on May 22nd, three months from this day,\Where in the world did you find this?\I found it. At the opera house.\Oh, so that is where it was!\It shames me to say it, but I have looked everywhere for it.\This, too, shows that there is some bond between us.\Please accept it with my gratitude.\Think of it as a small token of our friendship. response:	Really?
context: Where in the world did you find this?\I found it. At the opera house.\Oh, so that is where it was!\It shames me to say it, but I have looked everywhere for it.\This, too, shows that there is some bond between us.\Please accept it with my gratitude.\Think of it as a small token of our friendship.\Really? response:	It will serve to freeze the memory of this day, this hour, in time.
context: I found it. At the opera house.\Oh, so that is where it was!\It shames me to say it, but I have looked everywhere for it.\This, too, shows that there is some bond between us.\Please accept it with my gratitude.\Think of it as a small token of our friendship.\Really?\It will serve to freeze the memory of this day, this hour, in time. response:	A memory which belongs to us alone.
context: Oh, so that is where it was!\It shames me to say it, but I have looked everywhere for it.\This, too, shows that there is some bond between us.\Please accept it with my gratitude.\Think of it as a small token of our friendship.\Really?\It will serve to freeze the memory of this day, this hour, in time.\A memory which belongs to us alone. response:	Thank you so much! I'll cherish it!
context: It shames me to say it, but I have looked everywhere for it.\This, too, shows that there is some bond between us.\Please accept it with my gratitude.\Think of it as a small token of our friendship.\Really?\It will serve to freeze the memory of this day, this hour, in time.\A memory which belongs to us alone.\Thank you so much! I'll cherish it! response:	Carnival has ended, so what are your plans now?
context: This, too, shows that there is some bond between us.\Please accept it with my gratitude.\Think of it as a small token of our friendship.\Really?\It will serve to freeze the memory of this day, this hour, in time.\A memory which belongs to us alone.\Thank you so much! I'll cherish it!\Carnival has ended, so what are your plans now? response:	We're going to cut our trip short and take the evening shuttle back to Paris.
context: Please accept it with my gratitude.\Think of it as a small token of our friendship.\Really?\It will serve to freeze the memory of this day, this hour, in time.\A memory which belongs to us alone.\Thank you so much! I'll cherish it!\Carnival has ended, so what are your plans now?\We're going to cut our trip short and take the evening shuttle back to Paris. response:	Hey, wait a minute! I've already made plans of my own!
context: Think of it as a small token of our friendship.\Really?\It will serve to freeze the memory of this day, this hour, in time.\A memory which belongs to us alone.\Thank you so much! I'll cherish it!\Carnival has ended, so what are your plans now?\We're going to cut our trip short and take the evening shuttle back to Paris.\Hey, wait a minute! I've already made plans of my own! response:	You never learn, do you? And what plans might these be?
context: Really?\It will serve to freeze the memory of this day, this hour, in time.\A memory which belongs to us alone.\Thank you so much! I'll cherish it!\Carnival has ended, so what are your plans now?\We're going to cut our trip short and take the evening shuttle back to Paris.\Hey, wait a minute! I've already made plans of my own!\You never learn, do you? And what plans might these be? response:	What do you mean? It's none of your business.
context: It will serve to freeze the memory of this day, this hour, in time.\A memory which belongs to us alone.\Thank you so much! I'll cherish it!\Carnival has ended, so what are your plans now?\We're going to cut our trip short and take the evening shuttle back to Paris.\Hey, wait a minute! I've already made plans of my own!\You never learn, do you? And what plans might these be?\What do you mean? It's none of your business. response:	Have you arranged a rendezvous, perhaps?
context: A memory which belongs to us alone.\Thank you so much! I'll cherish it!\Carnival has ended, so what are your plans now?\We're going to cut our trip short and take the evening shuttle back to Paris.\Hey, wait a minute! I've already made plans of my own!\You never learn, do you? And what plans might these be?\What do you mean? It's none of your business.\Have you arranged a rendezvous, perhaps? response:	Sort of...
context: Thank you so much! I'll cherish it!\Carnival has ended, so what are your plans now?\We're going to cut our trip short and take the evening shuttle back to Paris.\Hey, wait a minute! I've already made plans of my own!\You never learn, do you? And what plans might these be?\What do you mean? It's none of your business.\Have you arranged a rendezvous, perhaps?\Sort of... response:	Love is a wonderful thing.
context: Carnival has ended, so what are your plans now?\We're going to cut our trip short and take the evening shuttle back to Paris.\Hey, wait a minute! I've already made plans of my own!\You never learn, do you? And what plans might these be?\What do you mean? It's none of your business.\Have you arranged a rendezvous, perhaps?\Sort of...\Love is a wonderful thing. response:	However, perhaps you have not noticed yet.
context: We're going to cut our trip short and take the evening shuttle back to Paris.\Hey, wait a minute! I've already made plans of my own!\You never learn, do you? And what plans might these be?\What do you mean? It's none of your business.\Have you arranged a rendezvous, perhaps?\Sort of...\Love is a wonderful thing.\However, perhaps you have not noticed yet. response:	Or perhaps you knew, and arranged the rendezvous regardless.
context: Hey, wait a minute! I've already made plans of my own!\You never learn, do you? And what plans might these be?\What do you mean? It's none of your business.\Have you arranged a rendezvous, perhaps?\Sort of...\Love is a wonderful thing.\However, perhaps you have not noticed yet.\Or perhaps you knew, and arranged the rendezvous regardless. response:	I do hate to be the bearer of bad tidings, but...
context: You never learn, do you? And what plans might these be?\What do you mean? It's none of your business.\Have you arranged a rendezvous, perhaps?\Sort of...\Love is a wonderful thing.\However, perhaps you have not noticed yet.\Or perhaps you knew, and arranged the rendezvous regardless.\I do hate to be the bearer of bad tidings, but... response:	A boy?
context: What do you mean? It's none of your business.\Have you arranged a rendezvous, perhaps?\Sort of...\Love is a wonderful thing.\However, perhaps you have not noticed yet.\Or perhaps you knew, and arranged the rendezvous regardless.\I do hate to be the bearer of bad tidings, but...\A boy? response:	She's a boy?!
context: Have you arranged a rendezvous, perhaps?\Sort of...\Love is a wonderful thing.\However, perhaps you have not noticed yet.\Or perhaps you knew, and arranged the rendezvous regardless.\I do hate to be the bearer of bad tidings, but...\A boy?\She's a boy?! response:	Come out and say it! You think I'm an idiot, don't you?!
context: Sort of...\Love is a wonderful thing.\However, perhaps you have not noticed yet.\Or perhaps you knew, and arranged the rendezvous regardless.\I do hate to be the bearer of bad tidings, but...\A boy?\She's a boy?!\Come out and say it! You think I'm an idiot, don't you?! response:	Not really.
context: Love is a wonderful thing.\However, perhaps you have not noticed yet.\Or perhaps you knew, and arranged the rendezvous regardless.\I do hate to be the bearer of bad tidings, but...\A boy?\She's a boy?!\Come out and say it! You think I'm an idiot, don't you?!\Not really. response:	You're always looking down on me, laughing at me on the inside!
context: However, perhaps you have not noticed yet.\Or perhaps you knew, and arranged the rendezvous regardless.\I do hate to be the bearer of bad tidings, but...\A boy?\She's a boy?!\Come out and say it! You think I'm an idiot, don't you?!\Not really.\You're always looking down on me, laughing at me on the inside! response:	I'm not laughing at you!
context: Or perhaps you knew, and arranged the rendezvous regardless.\I do hate to be the bearer of bad tidings, but...\A boy?\She's a boy?!\Come out and say it! You think I'm an idiot, don't you?!\Not really.\You're always looking down on me, laughing at me on the inside!\I'm not laughing at you! response:	If I laughed at every boneheaded stunt you pulled, I'd bust a gut!
context: I do hate to be the bearer of bad tidings, but...\A boy?\She's a boy?!\Come out and say it! You think I'm an idiot, don't you?!\Not really.\You're always looking down on me, laughing at me on the inside!\I'm not laughing at you!\If I laughed at every boneheaded stunt you pulled, I'd bust a gut! response:	Anyway, you were...
