context: I hear they're back. response:	What are you talking about?
context: Scary...?\I'm stayin' out of this.\I knew from the start how you felt about me.\Now, let's become a happy cou...\I can only take so much fickleness.\It's not like I didn't warn you.\Okay! Erza won with one blow!\That's the proper way to use the weapon that keeps evil at bay. response:	What are you doing out here by yourself?
context: I'm stayin' out of this.\I knew from the start how you felt about me.\Now, let's become a happy cou...\I can only take so much fickleness.\It's not like I didn't warn you.\Okay! Erza won with one blow!\That's the proper way to use the weapon that keeps evil at bay.\What are you doing out here by yourself? response:	There's something...
context: I knew from the start how you felt about me.\Now, let's become a happy cou...\I can only take so much fickleness.\It's not like I didn't warn you.\Okay! Erza won with one blow!\That's the proper way to use the weapon that keeps evil at bay.\What are you doing out here by yourself?\There's something... response:	I don't understand.
context: Now, let's become a happy cou...\I can only take so much fickleness.\It's not like I didn't warn you.\Okay! Erza won with one blow!\That's the proper way to use the weapon that keeps evil at bay.\What are you doing out here by yourself?\There's something...\I don't understand. response:	After what I did to you,
context: I can only take so much fickleness.\It's not like I didn't warn you.\Okay! Erza won with one blow!\That's the proper way to use the weapon that keeps evil at bay.\What are you doing out here by yourself?\There's something...\I don't understand.\After what I did to you, response:	how can you smile at me?
context: It's not like I didn't warn you.\Okay! Erza won with one blow!\That's the proper way to use the weapon that keeps evil at bay.\What are you doing out here by yourself?\There's something...\I don't understand.\After what I did to you,\how can you smile at me? response:	Well, that's all over.
context: Okay! Erza won with one blow!\That's the proper way to use the weapon that keeps evil at bay.\What are you doing out here by yourself?\There's something...\I don't understand.\After what I did to you,\how can you smile at me?\Well, that's all over. response:	And you Legionnaires were tricked, right?
context: That's the proper way to use the weapon that keeps evil at bay.\What are you doing out here by yourself?\There's something...\I don't understand.\After what I did to you,\how can you smile at me?\Well, that's all over.\And you Legionnaires were tricked, right? response:	So don't worry about it.
context: What are you doing out here by yourself?\There's something...\I don't understand.\After what I did to you,\how can you smile at me?\Well, that's all over.\And you Legionnaires were tricked, right?\So don't worry about it. response:	Before Zentopia took me in,
context: There's something...\I don't understand.\After what I did to you,\how can you smile at me?\Well, that's all over.\And you Legionnaires were tricked, right?\So don't worry about it.\Before Zentopia took me in, response:	I'd been tricked and used my whole life.
context: I don't understand.\After what I did to you,\how can you smile at me?\Well, that's all over.\And you Legionnaires were tricked, right?\So don't worry about it.\Before Zentopia took me in,\I'd been tricked and used my whole life. response:	But everything changed once I got power.
context: After what I did to you,\how can you smile at me?\Well, that's all over.\And you Legionnaires were tricked, right?\So don't worry about it.\Before Zentopia took me in,\I'd been tricked and used my whole life.\But everything changed once I got power. response:	If it was for the sake of Zentopia, which raised me to be a person with power,
context: how can you smile at me?\Well, that's all over.\And you Legionnaires were tricked, right?\So don't worry about it.\Before Zentopia took me in,\I'd been tricked and used my whole life.\But everything changed once I got power.\If it was for the sake of Zentopia, which raised me to be a person with power, response:	I thought I would do anything.
context: Well, that's all over.\And you Legionnaires were tricked, right?\So don't worry about it.\Before Zentopia took me in,\I'd been tricked and used my whole life.\But everything changed once I got power.\If it was for the sake of Zentopia, which raised me to be a person with power,\I thought I would do anything. response:	Thinking that, I controlled people...
context: And you Legionnaires were tricked, right?\So don't worry about it.\Before Zentopia took me in,\I'd been tricked and used my whole life.\But everything changed once I got power.\If it was for the sake of Zentopia, which raised me to be a person with power,\I thought I would do anything.\Thinking that, I controlled people... response:	And it felt like I was getting revenge on the people who had used me long ago.
context: So don't worry about it.\Before Zentopia took me in,\I'd been tricked and used my whole life.\But everything changed once I got power.\If it was for the sake of Zentopia, which raised me to be a person with power,\I thought I would do anything.\Thinking that, I controlled people...\And it felt like I was getting revenge on the people who had used me long ago. response:	But in the end, I was only being used again...
context: Before Zentopia took me in,\I'd been tricked and used my whole life.\But everything changed once I got power.\If it was for the sake of Zentopia, which raised me to be a person with power,\I thought I would do anything.\Thinking that, I controlled people...\And it felt like I was getting revenge on the people who had used me long ago.\But in the end, I was only being used again... response:	We Legionnaires, His Grace, Rapowant, too...
context: I'd been tricked and used my whole life.\But everything changed once I got power.\If it was for the sake of Zentopia, which raised me to be a person with power,\I thought I would do anything.\Thinking that, I controlled people...\And it felt like I was getting revenge on the people who had used me long ago.\But in the end, I was only being used again...\We Legionnaires, His Grace, Rapowant, too... response:	And also...
context: But everything changed once I got power.\If it was for the sake of Zentopia, which raised me to be a person with power,\I thought I would do anything.\Thinking that, I controlled people...\And it felt like I was getting revenge on the people who had used me long ago.\But in the end, I was only being used again...\We Legionnaires, His Grace, Rapowant, too...\And also... response:	It seems you've managed to cast off your hesitancy.
context: If it was for the sake of Zentopia, which raised me to be a person with power,\I thought I would do anything.\Thinking that, I controlled people...\And it felt like I was getting revenge on the people who had used me long ago.\But in the end, I was only being used again...\We Legionnaires, His Grace, Rapowant, too...\And also...\It seems you've managed to cast off your hesitancy. response:	Your movements are quite agile today.
context: I thought I would do anything.\Thinking that, I controlled people...\And it felt like I was getting revenge on the people who had used me long ago.\But in the end, I was only being used again...\We Legionnaires, His Grace, Rapowant, too...\And also...\It seems you've managed to cast off your hesitancy.\Your movements are quite agile today. response:	Yeah, but not agile enough to beat you.
context: Thinking that, I controlled people...\And it felt like I was getting revenge on the people who had used me long ago.\But in the end, I was only being used again...\We Legionnaires, His Grace, Rapowant, too...\And also...\It seems you've managed to cast off your hesitancy.\Your movements are quite agile today.\Yeah, but not agile enough to beat you. response:	Too bad, I wanted to beat you once in the end.
context: And it felt like I was getting revenge on the people who had used me long ago.\But in the end, I was only being used again...\We Legionnaires, His Grace, Rapowant, too...\And also...\It seems you've managed to cast off your hesitancy.\Your movements are quite agile today.\Yeah, but not agile enough to beat you.\Too bad, I wanted to beat you once in the end. response:	In the end?
context: But in the end, I was only being used again...\We Legionnaires, His Grace, Rapowant, too...\And also...\It seems you've managed to cast off your hesitancy.\Your movements are quite agile today.\Yeah, but not agile enough to beat you.\Too bad, I wanted to beat you once in the end.\In the end? response:	Coco...
context: We Legionnaires, His Grace, Rapowant, too...\And also...\It seems you've managed to cast off your hesitancy.\Your movements are quite agile today.\Yeah, but not agile enough to beat you.\Too bad, I wanted to beat you once in the end.\In the end?\Coco... response:	What's that?
context: And also...\It seems you've managed to cast off your hesitancy.\Your movements are quite agile today.\Yeah, but not agile enough to beat you.\Too bad, I wanted to beat you once in the end.\In the end?\Coco...\What's that? response:	I'm holding something very heavy.
context: It seems you've managed to cast off your hesitancy.\Your movements are quite agile today.\Yeah, but not agile enough to beat you.\Too bad, I wanted to beat you once in the end.\In the end?\Coco...\What's that?\I'm holding something very heavy. response:	But...
context: Your movements are quite agile today.\Yeah, but not agile enough to beat you.\Too bad, I wanted to beat you once in the end.\In the end?\Coco...\What's that?\I'm holding something very heavy.\But... response:	Certainly, I have entrusted you with that golden seal.
context: Yeah, but not agile enough to beat you.\Too bad, I wanted to beat you once in the end.\In the end?\Coco...\What's that?\I'm holding something very heavy.\But...\Certainly, I have entrusted you with that golden seal. response:	But I'm not...
context: Too bad, I wanted to beat you once in the end.\In the end?\Coco...\What's that?\I'm holding something very heavy.\But...\Certainly, I have entrusted you with that golden seal.\But I'm not... response:	Though I was mind-controlled through all of this,
context: In the end?\Coco...\What's that?\I'm holding something very heavy.\But...\Certainly, I have entrusted you with that golden seal.\But I'm not...\Though I was mind-controlled through all of this, response:	the weakness of my own mind is partially to blame.
context: Coco...\What's that?\I'm holding something very heavy.\But...\Certainly, I have entrusted you with that golden seal.\But I'm not...\Though I was mind-controlled through all of this,\the weakness of my own mind is partially to blame. response:	From here on out, Legion's mission is going to be a long, severe one.
context: What's that?\I'm holding something very heavy.\But...\Certainly, I have entrusted you with that golden seal.\But I'm not...\Though I was mind-controlled through all of this,\the weakness of my own mind is partially to blame.\From here on out, Legion's mission is going to be a long, severe one. response:	Please make good use of that golden seal.
context: I'm holding something very heavy.\But...\Certainly, I have entrusted you with that golden seal.\But I'm not...\Though I was mind-controlled through all of this,\the weakness of my own mind is partially to blame.\From here on out, Legion's mission is going to be a long, severe one.\Please make good use of that golden seal. response:	Be it ever so little, try to bring light to people's hearts...
context: But...\Certainly, I have entrusted you with that golden seal.\But I'm not...\Though I was mind-controlled through all of this,\the weakness of my own mind is partially to blame.\From here on out, Legion's mission is going to be a long, severe one.\Please make good use of that golden seal.\Be it ever so little, try to bring light to people's hearts... response:	Your words are more than we deserve.
context: Certainly, I have entrusted you with that golden seal.\But I'm not...\Though I was mind-controlled through all of this,\the weakness of my own mind is partially to blame.\From here on out, Legion's mission is going to be a long, severe one.\Please make good use of that golden seal.\Be it ever so little, try to bring light to people's hearts...\Your words are more than we deserve. response:	Um, what should Gatman-chama do...?
context: But I'm not...\Though I was mind-controlled through all of this,\the weakness of my own mind is partially to blame.\From here on out, Legion's mission is going to be a long, severe one.\Please make good use of that golden seal.\Be it ever so little, try to bring light to people's hearts...\Your words are more than we deserve.\Um, what should Gatman-chama do...? response:	We are responsible for sealing you away in that prison in the first place.
context: Though I was mind-controlled through all of this,\the weakness of my own mind is partially to blame.\From here on out, Legion's mission is going to be a long, severe one.\Please make good use of that golden seal.\Be it ever so little, try to bring light to people's hearts...\Your words are more than we deserve.\Um, what should Gatman-chama do...?\We are responsible for sealing you away in that prison in the first place. response:	From now on, I would like you to use your magic to help rebuild the local parish.
context: the weakness of my own mind is partially to blame.\From here on out, Legion's mission is going to be a long, severe one.\Please make good use of that golden seal.\Be it ever so little, try to bring light to people's hearts...\Your words are more than we deserve.\Um, what should Gatman-chama do...?\We are responsible for sealing you away in that prison in the first place.\From now on, I would like you to use your magic to help rebuild the local parish. response:	I'll do everything in my power!
context: From here on out, Legion's mission is going to be a long, severe one.\Please make good use of that golden seal.\Be it ever so little, try to bring light to people's hearts...\Your words are more than we deserve.\Um, what should Gatman-chama do...?\We are responsible for sealing you away in that prison in the first place.\From now on, I would like you to use your magic to help rebuild the local parish.\I'll do everything in my power! response:	By the way, there is one thing that's been bothering me...
context: Please make good use of that golden seal.\Be it ever so little, try to bring light to people's hearts...\Your words are more than we deserve.\Um, what should Gatman-chama do...?\We are responsible for sealing you away in that prison in the first place.\From now on, I would like you to use your magic to help rebuild the local parish.\I'll do everything in my power!\By the way, there is one thing that's been bothering me... response:	What was it?
context: Be it ever so little, try to bring light to people's hearts...\Your words are more than we deserve.\Um, what should Gatman-chama do...?\We are responsible for sealing you away in that prison in the first place.\From now on, I would like you to use your magic to help rebuild the local parish.\I'll do everything in my power!\By the way, there is one thing that's been bothering me...\What was it? response:	The puppets that Rapowant sent to every area...
context: Your words are more than we deserve.\Um, what should Gatman-chama do...?\We are responsible for sealing you away in that prison in the first place.\From now on, I would like you to use your magic to help rebuild the local parish.\I'll do everything in my power!\By the way, there is one thing that's been bothering me...\What was it?\The puppets that Rapowant sent to every area... response:	We investigated closely and found out what he was up to...
context: Um, what should Gatman-chama do...?\We are responsible for sealing you away in that prison in the first place.\From now on, I would like you to use your magic to help rebuild the local parish.\I'll do everything in my power!\By the way, there is one thing that's been bothering me...\What was it?\The puppets that Rapowant sent to every area...\We investigated closely and found out what he was up to... response:	Apparently, Rapowant had his eye on the Lobster family fortune, so he kept her at hand.
context: We are responsible for sealing you away in that prison in the first place.\From now on, I would like you to use your magic to help rebuild the local parish.\I'll do everything in my power!\By the way, there is one thing that's been bothering me...\What was it?\The puppets that Rapowant sent to every area...\We investigated closely and found out what he was up to...\Apparently, Rapowant had his eye on the Lobster family fortune, so he kept her at hand. response:	But, um, the official document showing she's a distant relative of the Heartfilia family...
context: From now on, I would like you to use your magic to help rebuild the local parish.\I'll do everything in my power!\By the way, there is one thing that's been bothering me...\What was it?\The puppets that Rapowant sent to every area...\We investigated closely and found out what he was up to...\Apparently, Rapowant had his eye on the Lobster family fortune, so he kept her at hand.\But, um, the official document showing she's a distant relative of the Heartfilia family... response:	That was a fake too, wasn't it?
context: I'll do everything in my power!\By the way, there is one thing that's been bothering me...\What was it?\The puppets that Rapowant sent to every area...\We investigated closely and found out what he was up to...\Apparently, Rapowant had his eye on the Lobster family fortune, so he kept her at hand.\But, um, the official document showing she's a distant relative of the Heartfilia family...\That was a fake too, wasn't it? response:	Thank you.
context: By the way, there is one thing that's been bothering me...\What was it?\The puppets that Rapowant sent to every area...\We investigated closely and found out what he was up to...\Apparently, Rapowant had his eye on the Lobster family fortune, so he kept her at hand.\But, um, the official document showing she's a distant relative of the Heartfilia family...\That was a fake too, wasn't it?\Thank you. response:	I suspected as much...
context: What was it?\The puppets that Rapowant sent to every area...\We investigated closely and found out what he was up to...\Apparently, Rapowant had his eye on the Lobster family fortune, so he kept her at hand.\But, um, the official document showing she's a distant relative of the Heartfilia family...\That was a fake too, wasn't it?\Thank you.\I suspected as much... response:	But...
context: The puppets that Rapowant sent to every area...\We investigated closely and found out what he was up to...\Apparently, Rapowant had his eye on the Lobster family fortune, so he kept her at hand.\But, um, the official document showing she's a distant relative of the Heartfilia family...\That was a fake too, wasn't it?\Thank you.\I suspected as much...\But... response:	I'm fine.
context: We investigated closely and found out what he was up to...\Apparently, Rapowant had his eye on the Lobster family fortune, so he kept her at hand.\But, um, the official document showing she's a distant relative of the Heartfilia family...\That was a fake too, wasn't it?\Thank you.\I suspected as much...\But...\I'm fine. response:	I feel a little lonely...
context: Apparently, Rapowant had his eye on the Lobster family fortune, so he kept her at hand.\But, um, the official document showing she's a distant relative of the Heartfilia family...\That was a fake too, wasn't it?\Thank you.\I suspected as much...\But...\I'm fine.\I feel a little lonely... response:	Friends...
context: But, um, the official document showing she's a distant relative of the Heartfilia family...\That was a fake too, wasn't it?\Thank you.\I suspected as much...\But...\I'm fine.\I feel a little lonely...\Friends... response:	Well, now that I'm refreshed, here...
context: That was a fake too, wasn't it?\Thank you.\I suspected as much...\But...\I'm fine.\I feel a little lonely...\Friends...\Well, now that I'm refreshed, here... response:	Let's make up.
context: Thank you.\I suspected as much...\But...\I'm fine.\I feel a little lonely...\Friends...\Well, now that I'm refreshed, here...\Let's make up. response:	Shake.
context: I suspected as much...\But...\I'm fine.\I feel a little lonely...\Friends...\Well, now that I'm refreshed, here...\Let's make up.\Shake. response:	Okay, we'll start as friends...
context: But...\I'm fine.\I feel a little lonely...\Friends...\Well, now that I'm refreshed, here...\Let's make up.\Shake.\Okay, we'll start as friends... response:	I don't think that line fits here...
context: I'm fine.\I feel a little lonely...\Friends...\Well, now that I'm refreshed, here...\Let's make up.\Shake.\Okay, we'll start as friends...\I don't think that line fits here... response:	We visited here today for one reason.
context: I feel a little lonely...\Friends...\Well, now that I'm refreshed, here...\Let's make up.\Shake.\Okay, we'll start as friends...\I don't think that line fits here...\We visited here today for one reason. response:	I realized.
context: Friends...\Well, now that I'm refreshed, here...\Let's make up.\Shake.\Okay, we'll start as friends...\I don't think that line fits here...\We visited here today for one reason.\I realized. response:	To say goodbye...
context: Well, now that I'm refreshed, here...\Let's make up.\Shake.\Okay, we'll start as friends...\I don't think that line fits here...\We visited here today for one reason.\I realized.\To say goodbye... response:	Goodbye?!
context: Let's make up.\Shake.\Okay, we'll start as friends...\I don't think that line fits here...\We visited here today for one reason.\I realized.\To say goodbye...\Goodbye?! response:	In accordance with His Grace's instructions,
context: Shake.\Okay, we'll start as friends...\I don't think that line fits here...\We visited here today for one reason.\I realized.\To say goodbye...\Goodbye?!\In accordance with His Grace's instructions, response:	we Legionnaires are to seek out the scattered parts of the Infinity Clock in every region
context: Okay, we'll start as friends...\I don't think that line fits here...\We visited here today for one reason.\I realized.\To say goodbye...\Goodbye?!\In accordance with His Grace's instructions,\we Legionnaires are to seek out the scattered parts of the Infinity Clock in every region response:	and find a better way to seal them up.
context: I don't think that line fits here...\We visited here today for one reason.\I realized.\To say goodbye...\Goodbye?!\In accordance with His Grace's instructions,\we Legionnaires are to seek out the scattered parts of the Infinity Clock in every region\and find a better way to seal them up. response:	That being said, until the parts accumulate magic power,
context: We visited here today for one reason.\I realized.\To say goodbye...\Goodbye?!\In accordance with His Grace's instructions,\we Legionnaires are to seek out the scattered parts of the Infinity Clock in every region\and find a better way to seal them up.\That being said, until the parts accumulate magic power, response:	it will be impossible to locate them with magic.
context: I realized.\To say goodbye...\Goodbye?!\In accordance with His Grace's instructions,\we Legionnaires are to seek out the scattered parts of the Infinity Clock in every region\and find a better way to seal them up.\That being said, until the parts accumulate magic power,\it will be impossible to locate them with magic. response:	This work is going to last each one of us a lifetime.
context: To say goodbye...\Goodbye?!\In accordance with His Grace's instructions,\we Legionnaires are to seek out the scattered parts of the Infinity Clock in every region\and find a better way to seal them up.\That being said, until the parts accumulate magic power,\it will be impossible to locate them with magic.\This work is going to last each one of us a lifetime. response:	In all likelihood, this is the last time we'll be able to meet.
context: Goodbye?!\In accordance with His Grace's instructions,\we Legionnaires are to seek out the scattered parts of the Infinity Clock in every region\and find a better way to seal them up.\That being said, until the parts accumulate magic power,\it will be impossible to locate them with magic.\This work is going to last each one of us a lifetime.\In all likelihood, this is the last time we'll be able to meet. response:	Therefore...
context: In accordance with His Grace's instructions,\we Legionnaires are to seek out the scattered parts of the Infinity Clock in every region\and find a better way to seal them up.\That being said, until the parts accumulate magic power,\it will be impossible to locate them with magic.\This work is going to last each one of us a lifetime.\In all likelihood, this is the last time we'll be able to meet.\Therefore... response:	What are you sayin'?!
context: we Legionnaires are to seek out the scattered parts of the Infinity Clock in every region\and find a better way to seal them up.\That being said, until the parts accumulate magic power,\it will be impossible to locate them with magic.\This work is going to last each one of us a lifetime.\In all likelihood, this is the last time we'll be able to meet.\Therefore...\What are you sayin'?! response:	It's boring to jump to that conclusion from the outset!
context: and find a better way to seal them up.\That being said, until the parts accumulate magic power,\it will be impossible to locate them with magic.\This work is going to last each one of us a lifetime.\In all likelihood, this is the last time we'll be able to meet.\Therefore...\What are you sayin'?!\It's boring to jump to that conclusion from the outset! response:	Exactly.
context: That being said, until the parts accumulate magic power,\it will be impossible to locate them with magic.\This work is going to last each one of us a lifetime.\In all likelihood, this is the last time we'll be able to meet.\Therefore...\What are you sayin'?!\It's boring to jump to that conclusion from the outset!\Exactly. response:	Coco... Thank you for everything.
context: it will be impossible to locate them with magic.\This work is going to last each one of us a lifetime.\In all likelihood, this is the last time we'll be able to meet.\Therefore...\What are you sayin'?!\It's boring to jump to that conclusion from the outset!\Exactly.\Coco... Thank you for everything. response:	Mary, you stop by and hang out again too, okay?
context: This work is going to last each one of us a lifetime.\In all likelihood, this is the last time we'll be able to meet.\Therefore...\What are you sayin'?!\It's boring to jump to that conclusion from the outset!\Exactly.\Coco... Thank you for everything.\Mary, you stop by and hang out again too, okay? response:	Thank you!
context: In all likelihood, this is the last time we'll be able to meet.\Therefore...\What are you sayin'?!\It's boring to jump to that conclusion from the outset!\Exactly.\Coco... Thank you for everything.\Mary, you stop by and hang out again too, okay?\Thank you! response:	Take care, Princess, everyone!
context: Therefore...\What are you sayin'?!\It's boring to jump to that conclusion from the outset!\Exactly.\Coco... Thank you for everything.\Mary, you stop by and hang out again too, okay?\Thank you!\Take care, Princess, everyone! response:	I promise to come back! Bye!
context: What are you sayin'?!\It's boring to jump to that conclusion from the outset!\Exactly.\Coco... Thank you for everything.\Mary, you stop by and hang out again too, okay?\Thank you!\Take care, Princess, everyone!\I promise to come back! Bye! response:	Well, I'll see you again, Aniki.
context: It's boring to jump to that conclusion from the outset!\Exactly.\Coco... Thank you for everything.\Mary, you stop by and hang out again too, okay?\Thank you!\Take care, Princess, everyone!\I promise to come back! Bye!\Well, I'll see you again, Aniki. response:	You can come over to challenge me to a fight anytime... Sam.
context: Exactly.\Coco... Thank you for everything.\Mary, you stop by and hang out again too, okay?\Thank you!\Take care, Princess, everyone!\I promise to come back! Bye!\Well, I'll see you again, Aniki.\You can come over to challenge me to a fight anytime... Sam. response:	Huh? He hasn't called him that before...
context: Coco... Thank you for everything.\Mary, you stop by and hang out again too, okay?\Thank you!\Take care, Princess, everyone!\I promise to come back! Bye!\Well, I'll see you again, Aniki.\You can come over to challenge me to a fight anytime... Sam.\Huh? He hasn't called him that before... response:	Let's meet again somewhere.
context: Mary, you stop by and hang out again too, okay?\Thank you!\Take care, Princess, everyone!\I promise to come back! Bye!\Well, I'll see you again, Aniki.\You can come over to challenge me to a fight anytime... Sam.\Huh? He hasn't called him that before...\Let's meet again somewhere. response:	I guess that includes you too, Sugar Boy.
context: Thank you!\Take care, Princess, everyone!\I promise to come back! Bye!\Well, I'll see you again, Aniki.\You can come over to challenge me to a fight anytime... Sam.\Huh? He hasn't called him that before...\Let's meet again somewhere.\I guess that includes you too, Sugar Boy. response:	Dan...
context: Take care, Princess, everyone!\I promise to come back! Bye!\Well, I'll see you again, Aniki.\You can come over to challenge me to a fight anytime... Sam.\Huh? He hasn't called him that before...\Let's meet again somewhere.\I guess that includes you too, Sugar Boy.\Dan... response:	Learn how to stick with one person.
context: I promise to come back! Bye!\Well, I'll see you again, Aniki.\You can come over to challenge me to a fight anytime... Sam.\Huh? He hasn't called him that before...\Let's meet again somewhere.\I guess that includes you too, Sugar Boy.\Dan...\Learn how to stick with one person. response:	That's a hot message! Thank you!
context: Well, I'll see you again, Aniki.\You can come over to challenge me to a fight anytime... Sam.\Huh? He hasn't called him that before...\Let's meet again somewhere.\I guess that includes you too, Sugar Boy.\Dan...\Learn how to stick with one person.\That's a hot message! Thank you! response:	Well,'til we meet again!
context: You can come over to challenge me to a fight anytime... Sam.\Huh? He hasn't called him that before...\Let's meet again somewhere.\I guess that includes you too, Sugar Boy.\Dan...\Learn how to stick with one person.\That's a hot message! Thank you!\Well,'til we meet again! response:	It's been fun.
context: Huh? He hasn't called him that before...\Let's meet again somewhere.\I guess that includes you too, Sugar Boy.\Dan...\Learn how to stick with one person.\That's a hot message! Thank you!\Well,'til we meet again!\It's been fun. response:	That's right, octopus man! It almost slipped my mind!
context: Let's meet again somewhere.\I guess that includes you too, Sugar Boy.\Dan...\Learn how to stick with one person.\That's a hot message! Thank you!\Well,'til we meet again!\It's been fun.\That's right, octopus man! It almost slipped my mind! response:	Octopus man...
context: I guess that includes you too, Sugar Boy.\Dan...\Learn how to stick with one person.\That's a hot message! Thank you!\Well,'til we meet again!\It's been fun.\That's right, octopus man! It almost slipped my mind!\Octopus man... response:	What is it?
context: Dan...\Learn how to stick with one person.\That's a hot message! Thank you!\Well,'til we meet again!\It's been fun.\That's right, octopus man! It almost slipped my mind!\Octopus man...\What is it? response:	Doesn't scowling all the time make you tired? You oughta try a smile once in a while!
context: Learn how to stick with one person.\That's a hot message! Thank you!\Well,'til we meet again!\It's been fun.\That's right, octopus man! It almost slipped my mind!\Octopus man...\What is it?\Doesn't scowling all the time make you tired? You oughta try a smile once in a while! response:	Now, now!
context: That's a hot message! Thank you!\Well,'til we meet again!\It's been fun.\That's right, octopus man! It almost slipped my mind!\Octopus man...\What is it?\Doesn't scowling all the time make you tired? You oughta try a smile once in a while!\Now, now! response:	Well...
context: Well,'til we meet again!\It's been fun.\That's right, octopus man! It almost slipped my mind!\Octopus man...\What is it?\Doesn't scowling all the time make you tired? You oughta try a smile once in a while!\Now, now!\Well... response:	After all this time, it would be out of character...
context: It's been fun.\That's right, octopus man! It almost slipped my mind!\Octopus man...\What is it?\Doesn't scowling all the time make you tired? You oughta try a smile once in a while!\Now, now!\Well...\After all this time, it would be out of character... response:	He very rarely smiles.
context: That's right, octopus man! It almost slipped my mind!\Octopus man...\What is it?\Doesn't scowling all the time make you tired? You oughta try a smile once in a while!\Now, now!\Well...\After all this time, it would be out of character...\He very rarely smiles. response:	If I can face my heart head on... Wasn't that it, Coco?
context: Octopus man...\What is it?\Doesn't scowling all the time make you tired? You oughta try a smile once in a while!\Now, now!\Well...\After all this time, it would be out of character...\He very rarely smiles.\If I can face my heart head on... Wasn't that it, Coco? response:	I finally understand what you said that time.
context: What is it?\Doesn't scowling all the time make you tired? You oughta try a smile once in a while!\Now, now!\Well...\After all this time, it would be out of character...\He very rarely smiles.\If I can face my heart head on... Wasn't that it, Coco?\I finally understand what you said that time. response:	Eww!
context: Doesn't scowling all the time make you tired? You oughta try a smile once in a while!\Now, now!\Well...\After all this time, it would be out of character...\He very rarely smiles.\If I can face my heart head on... Wasn't that it, Coco?\I finally understand what you said that time.\Eww! response:	You can tell he's totally not used to doing that.
context: Now, now!\Well...\After all this time, it would be out of character...\He very rarely smiles.\If I can face my heart head on... Wasn't that it, Coco?\I finally understand what you said that time.\Eww!\You can tell he's totally not used to doing that. response:	Byro-sama, that's actually scary!
context: Well...\After all this time, it would be out of character...\He very rarely smiles.\If I can face my heart head on... Wasn't that it, Coco?\I finally understand what you said that time.\Eww!\You can tell he's totally not used to doing that.\Byro-sama, that's actually scary! response:	What's that, you rascals?!
context: After all this time, it would be out of character...\He very rarely smiles.\If I can face my heart head on... Wasn't that it, Coco?\I finally understand what you said that time.\Eww!\You can tell he's totally not used to doing that.\Byro-sama, that's actually scary!\What's that, you rascals?! response:	And with laughter in the air, they began their journey.
context: He very rarely smiles.\If I can face my heart head on... Wasn't that it, Coco?\I finally understand what you said that time.\Eww!\You can tell he's totally not used to doing that.\Byro-sama, that's actually scary!\What's that, you rascals?!\And with laughter in the air, they began their journey. response:	I'm sure we'll meet again sometime...
context: If I can face my heart head on... Wasn't that it, Coco?\I finally understand what you said that time.\Eww!\You can tell he's totally not used to doing that.\Byro-sama, that's actually scary!\What's that, you rascals?!\And with laughter in the air, they began their journey.\I'm sure we'll meet again sometime... response:	Master Org, thank you for your hard work at the Council meeting.
context: I finally understand what you said that time.\Eww!\You can tell he's totally not used to doing that.\Byro-sama, that's actually scary!\What's that, you rascals?!\And with laughter in the air, they began their journey.\I'm sure we'll meet again sometime...\Master Org, thank you for your hard work at the Council meeting. response:	Mm.
context: Eww!\You can tell he's totally not used to doing that.\Byro-sama, that's actually scary!\What's that, you rascals?!\And with laughter in the air, they began their journey.\I'm sure we'll meet again sometime...\Master Org, thank you for your hard work at the Council meeting.\Mm. response:	Has the Guild Amity and Trade Treaty reform bill been decided on yet?
context: You can tell he's totally not used to doing that.\Byro-sama, that's actually scary!\What's that, you rascals?!\And with laughter in the air, they began their journey.\I'm sure we'll meet again sometime...\Master Org, thank you for your hard work at the Council meeting.\Mm.\Has the Guild Amity and Trade Treaty reform bill been decided on yet? response:	More importantly,
context: Byro-sama, that's actually scary!\What's that, you rascals?!\And with laughter in the air, they began their journey.\I'm sure we'll meet again sometime...\Master Org, thank you for your hard work at the Council meeting.\Mm.\Has the Guild Amity and Trade Treaty reform bill been decided on yet?\More importantly, response:	you've already heard, haven't you?
context: What's that, you rascals?!\And with laughter in the air, they began their journey.\I'm sure we'll meet again sometime...\Master Org, thank you for your hard work at the Council meeting.\Mm.\Has the Guild Amity and Trade Treaty reform bill been decided on yet?\More importantly,\you've already heard, haven't you? response:	About the return of Fairy Tail's main members...
context: And with laughter in the air, they began their journey.\I'm sure we'll meet again sometime...\Master Org, thank you for your hard work at the Council meeting.\Mm.\Has the Guild Amity and Trade Treaty reform bill been decided on yet?\More importantly,\you've already heard, haven't you?\About the return of Fairy Tail's main members... response:	For political reasons,
context: I'm sure we'll meet again sometime...\Master Org, thank you for your hard work at the Council meeting.\Mm.\Has the Guild Amity and Trade Treaty reform bill been decided on yet?\More importantly,\you've already heard, haven't you?\About the return of Fairy Tail's main members...\For political reasons, response:	the chairman apparently intends to tie in the Infinity Clock and Oracion Seis affair
context: Master Org, thank you for your hard work at the Council meeting.\Mm.\Has the Guild Amity and Trade Treaty reform bill been decided on yet?\More importantly,\you've already heard, haven't you?\About the return of Fairy Tail's main members...\For political reasons,\the chairman apparently intends to tie in the Infinity Clock and Oracion Seis affair response:	not with Zentopia but with their return...
