context: What's happened so far! response:	Our sister, the masked honor student Miyazawa Yukino, is the ultimate Queen of Vanity.
context: so I'm not that good.\Why does the guy who might become my brother have to be\some rock dude?\I'm unlucky through to the core.\Even if I've given up already,\how am I supposed to deal with a guy like this?\Uh-ah.\Well, none of it matters anymore. response:	So, Kazuma-kun, which high school do you go to?
context: Why does the guy who might become my brother have to be\some rock dude?\I'm unlucky through to the core.\Even if I've given up already,\how am I supposed to deal with a guy like this?\Uh-ah.\Well, none of it matters anymore.\So, Kazuma-kun, which high school do you go to? response:	Yes?
context: some rock dude?\I'm unlucky through to the core.\Even if I've given up already,\how am I supposed to deal with a guy like this?\Uh-ah.\Well, none of it matters anymore.\So, Kazuma-kun, which high school do you go to?\Yes? response:	What was that... just now...
context: I'm unlucky through to the core.\Even if I've given up already,\how am I supposed to deal with a guy like this?\Uh-ah.\Well, none of it matters anymore.\So, Kazuma-kun, which high school do you go to?\Yes?\What was that... just now... response:	Uh-oh.
context: Even if I've given up already,\how am I supposed to deal with a guy like this?\Uh-ah.\Well, none of it matters anymore.\So, Kazuma-kun, which high school do you go to?\Yes?\What was that... just now...\Uh-oh. response:	Maybe he fell in love with me at first sight.
context: how am I supposed to deal with a guy like this?\Uh-ah.\Well, none of it matters anymore.\So, Kazuma-kun, which high school do you go to?\Yes?\What was that... just now...\Uh-oh.\Maybe he fell in love with me at first sight. response:	Oh no! What should I do?
context: Uh-ah.\Well, none of it matters anymore.\So, Kazuma-kun, which high school do you go to?\Yes?\What was that... just now...\Uh-oh.\Maybe he fell in love with me at first sight.\Oh no! What should I do? response:	If they get married we'll be living in the same house!
context: Well, none of it matters anymore.\So, Kazuma-kun, which high school do you go to?\Yes?\What was that... just now...\Uh-oh.\Maybe he fell in love with me at first sight.\Oh no! What should I do?\If they get married we'll be living in the same house! response:	What should I do if he eyes me strangely?
context: So, Kazuma-kun, which high school do you go to?\Yes?\What was that... just now...\Uh-oh.\Maybe he fell in love with me at first sight.\Oh no! What should I do?\If they get married we'll be living in the same house!\What should I do if he eyes me strangely? response:	It happens on TV all the time!
context: Yes?\What was that... just now...\Uh-oh.\Maybe he fell in love with me at first sight.\Oh no! What should I do?\If they get married we'll be living in the same house!\What should I do if he eyes me strangely?\It happens on TV all the time! response:	While the parents are out...
context: What was that... just now...\Uh-oh.\Maybe he fell in love with me at first sight.\Oh no! What should I do?\If they get married we'll be living in the same house!\What should I do if he eyes me strangely?\It happens on TV all the time!\While the parents are out... response:	Am I really THAT unlucky?!
context: Uh-oh.\Maybe he fell in love with me at first sight.\Oh no! What should I do?\If they get married we'll be living in the same house!\What should I do if he eyes me strangely?\It happens on TV all the time!\While the parents are out...\Am I really THAT unlucky?! response:	Oh, dessert.
context: Maybe he fell in love with me at first sight.\Oh no! What should I do?\If they get married we'll be living in the same house!\What should I do if he eyes me strangely?\It happens on TV all the time!\While the parents are out...\Am I really THAT unlucky?!\Oh, dessert. response:	Have mine.
context: Oh no! What should I do?\If they get married we'll be living in the same house!\What should I do if he eyes me strangely?\It happens on TV all the time!\While the parents are out...\Am I really THAT unlucky?!\Oh, dessert.\Have mine. response:	What?
context: If they get married we'll be living in the same house!\What should I do if he eyes me strangely?\It happens on TV all the time!\While the parents are out...\Am I really THAT unlucky?!\Oh, dessert.\Have mine.\What? response:	Hey Mom, you've found a nice guy.
context: What should I do if he eyes me strangely?\It happens on TV all the time!\While the parents are out...\Am I really THAT unlucky?!\Oh, dessert.\Have mine.\What?\Hey Mom, you've found a nice guy. response:	I wasn't going to care since it's all up to you,
context: It happens on TV all the time!\While the parents are out...\Am I really THAT unlucky?!\Oh, dessert.\Have mine.\What?\Hey Mom, you've found a nice guy.\I wasn't going to care since it's all up to you, response:	but he's a really nice guy.
context: While the parents are out...\Am I really THAT unlucky?!\Oh, dessert.\Have mine.\What?\Hey Mom, you've found a nice guy.\I wasn't going to care since it's all up to you,\but he's a really nice guy. response:	I think this is a good idea.
context: Am I really THAT unlucky?!\Oh, dessert.\Have mine.\What?\Hey Mom, you've found a nice guy.\I wasn't going to care since it's all up to you,\but he's a really nice guy.\I think this is a good idea. response:	Plus, I'll get such a cute little sister!
context: Oh, dessert.\Have mine.\What?\Hey Mom, you've found a nice guy.\I wasn't going to care since it's all up to you,\but he's a really nice guy.\I think this is a good idea.\Plus, I'll get such a cute little sister! response:	Seventh grade, huh? How adorable.
context: Have mine.\What?\Hey Mom, you've found a nice guy.\I wasn't going to care since it's all up to you,\but he's a really nice guy.\I think this is a good idea.\Plus, I'll get such a cute little sister!\Seventh grade, huh? How adorable. response:	I'm so happy I can have such a cute little sister.
context: What?\Hey Mom, you've found a nice guy.\I wasn't going to care since it's all up to you,\but he's a really nice guy.\I think this is a good idea.\Plus, I'll get such a cute little sister!\Seventh grade, huh? How adorable.\I'm so happy I can have such a cute little sister. response:	I'd heard she was a kid my age so frankly,
context: Hey Mom, you've found a nice guy.\I wasn't going to care since it's all up to you,\but he's a really nice guy.\I think this is a good idea.\Plus, I'll get such a cute little sister!\Seventh grade, huh? How adorable.\I'm so happy I can have such a cute little sister.\I'd heard she was a kid my age so frankly, response:	I didn't know what to think...
context: I wasn't going to care since it's all up to you,\but he's a really nice guy.\I think this is a good idea.\Plus, I'll get such a cute little sister!\Seventh grade, huh? How adorable.\I'm so happy I can have such a cute little sister.\I'd heard she was a kid my age so frankly,\I didn't know what to think... response:	This is great.
context: but he's a really nice guy.\I think this is a good idea.\Plus, I'll get such a cute little sister!\Seventh grade, huh? How adorable.\I'm so happy I can have such a cute little sister.\I'd heard she was a kid my age so frankly,\I didn't know what to think...\This is great. response:	I want you to get married right away.
context: I think this is a good idea.\Plus, I'll get such a cute little sister!\Seventh grade, huh? How adorable.\I'm so happy I can have such a cute little sister.\I'd heard she was a kid my age so frankly,\I didn't know what to think...\This is great.\I want you to get married right away. response:	Tsubasa's not in seventh grade.
context: Plus, I'll get such a cute little sister!\Seventh grade, huh? How adorable.\I'm so happy I can have such a cute little sister.\I'd heard she was a kid my age so frankly,\I didn't know what to think...\This is great.\I want you to get married right away.\Tsubasa's not in seventh grade. response:	What? Younger?
context: Seventh grade, huh? How adorable.\I'm so happy I can have such a cute little sister.\I'd heard she was a kid my age so frankly,\I didn't know what to think...\This is great.\I want you to get married right away.\Tsubasa's not in seventh grade.\What? Younger? response:	She sure has it together well for a grade schooler.
context: I'm so happy I can have such a cute little sister.\I'd heard she was a kid my age so frankly,\I didn't know what to think...\This is great.\I want you to get married right away.\Tsubasa's not in seventh grade.\What? Younger?\She sure has it together well for a grade schooler. response:	Well, although she doesn't look it she's really in tenth grade. Her birthday is before yours.
context: I'd heard she was a kid my age so frankly,\I didn't know what to think...\This is great.\I want you to get married right away.\Tsubasa's not in seventh grade.\What? Younger?\She sure has it together well for a grade schooler.\Well, although she doesn't look it she's really in tenth grade. Her birthday is before yours. response:	She's your BIG sister.
context: I didn't know what to think...\This is great.\I want you to get married right away.\Tsubasa's not in seventh grade.\What? Younger?\She sure has it together well for a grade schooler.\Well, although she doesn't look it she's really in tenth grade. Her birthday is before yours.\She's your BIG sister. response:	Say what?!
context: This is great.\I want you to get married right away.\Tsubasa's not in seventh grade.\What? Younger?\She sure has it together well for a grade schooler.\Well, although she doesn't look it she's really in tenth grade. Her birthday is before yours.\She's your BIG sister.\Say what?! response:	Oh no!
context: I want you to get married right away.\Tsubasa's not in seventh grade.\What? Younger?\She sure has it together well for a grade schooler.\Well, although she doesn't look it she's really in tenth grade. Her birthday is before yours.\She's your BIG sister.\Say what?!\Oh no! response:	Tsubasa snapped! And we're at a first-class hotel too...!
context: Tsubasa's not in seventh grade.\What? Younger?\She sure has it together well for a grade schooler.\Well, although she doesn't look it she's really in tenth grade. Her birthday is before yours.\She's your BIG sister.\Say what?!\Oh no!\Tsubasa snapped! And we're at a first-class hotel too...! response:	That was SO rude.
context: What? Younger?\She sure has it together well for a grade schooler.\Well, although she doesn't look it she's really in tenth grade. Her birthday is before yours.\She's your BIG sister.\Say what?!\Oh no!\Tsubasa snapped! And we're at a first-class hotel too...!\That was SO rude. response:	I don't know if I could remarry after that...
context: She sure has it together well for a grade schooler.\Well, although she doesn't look it she's really in tenth grade. Her birthday is before yours.\She's your BIG sister.\Say what?!\Oh no!\Tsubasa snapped! And we're at a first-class hotel too...!\That was SO rude.\I don't know if I could remarry after that... response:	Damn straight!
context: Well, although she doesn't look it she's really in tenth grade. Her birthday is before yours.\She's your BIG sister.\Say what?!\Oh no!\Tsubasa snapped! And we're at a first-class hotel too...!\That was SO rude.\I don't know if I could remarry after that...\Damn straight! response:	Well well, how scary.
context: She's your BIG sister.\Say what?!\Oh no!\Tsubasa snapped! And we're at a first-class hotel too...!\That was SO rude.\I don't know if I could remarry after that...\Damn straight!\Well well, how scary. response:	What are you upset about, little girl?
context: Say what?!\Oh no!\Tsubasa snapped! And we're at a first-class hotel too...!\That was SO rude.\I don't know if I could remarry after that...\Damn straight!\Well well, how scary.\What are you upset about, little girl? response:	My, you're so cute.
context: Oh no!\Tsubasa snapped! And we're at a first-class hotel too...!\That was SO rude.\I don't know if I could remarry after that...\Damn straight!\Well well, how scary.\What are you upset about, little girl?\My, you're so cute. response:	Hey come on, I'll give you some spending money,...
context: Tsubasa snapped! And we're at a first-class hotel too...!\That was SO rude.\I don't know if I could remarry after that...\Damn straight!\Well well, how scary.\What are you upset about, little girl?\My, you're so cute.\Hey come on, I'll give you some spending money,... response:	No way.
context: That was SO rude.\I don't know if I could remarry after that...\Damn straight!\Well well, how scary.\What are you upset about, little girl?\My, you're so cute.\Hey come on, I'll give you some spending money,...\No way. response:	Come on, just for a little bit.
context: I don't know if I could remarry after that...\Damn straight!\Well well, how scary.\What are you upset about, little girl?\My, you're so cute.\Hey come on, I'll give you some spending money,...\No way.\Come on, just for a little bit. response:	Quit pestering me!
context: Damn straight!\Well well, how scary.\What are you upset about, little girl?\My, you're so cute.\Hey come on, I'll give you some spending money,...\No way.\Come on, just for a little bit.\Quit pestering me! response:	Um, I'll catch you later guys.
context: Well well, how scary.\What are you upset about, little girl?\My, you're so cute.\Hey come on, I'll give you some spending money,...\No way.\Come on, just for a little bit.\Quit pestering me!\Um, I'll catch you later guys. response:	Kazuma?
context: What are you upset about, little girl?\My, you're so cute.\Hey come on, I'll give you some spending money,...\No way.\Come on, just for a little bit.\Quit pestering me!\Um, I'll catch you later guys.\Kazuma? response:	Come on, 30,000Y?
context: My, you're so cute.\Hey come on, I'll give you some spending money,...\No way.\Come on, just for a little bit.\Quit pestering me!\Um, I'll catch you later guys.\Kazuma?\Come on, 30,000Y? response:	How about 50,000Y?
context: Hey come on, I'll give you some spending money,...\No way.\Come on, just for a little bit.\Quit pestering me!\Um, I'll catch you later guys.\Kazuma?\Come on, 30,000Y?\How about 50,000Y? response:	Hey man...
context: No way.\Come on, just for a little bit.\Quit pestering me!\Um, I'll catch you later guys.\Kazuma?\Come on, 30,000Y?\How about 50,000Y?\Hey man... response:	Quit being so shameful.
context: Come on, just for a little bit.\Quit pestering me!\Um, I'll catch you later guys.\Kazuma?\Come on, 30,000Y?\How about 50,000Y?\Hey man...\Quit being so shameful. response:	You okay? *Officer, this way!*
context: Quit pestering me!\Um, I'll catch you later guys.\Kazuma?\Come on, 30,000Y?\How about 50,000Y?\Hey man...\Quit being so shameful.\You okay? *Officer, this way!* response:	Where's the girl who's getting abducted?!
context: Um, I'll catch you later guys.\Kazuma?\Come on, 30,000Y?\How about 50,000Y?\Hey man...\Quit being so shameful.\You okay? *Officer, this way!*\Where's the girl who's getting abducted?! response:	You can't do that sort of thing!
context: Kazuma?\Come on, 30,000Y?\How about 50,000Y?\Hey man...\Quit being so shameful.\You okay? *Officer, this way!*\Where's the girl who's getting abducted?!\You can't do that sort of thing! response:	It's you, isn't it?!
context: Come on, 30,000Y?\How about 50,000Y?\Hey man...\Quit being so shameful.\You okay? *Officer, this way!*\Where's the girl who's getting abducted?!\You can't do that sort of thing!\It's you, isn't it?! response:	Freeze, right there!
context: How about 50,000Y?\Hey man...\Quit being so shameful.\You okay? *Officer, this way!*\Where's the girl who's getting abducted?!\You can't do that sort of thing!\It's you, isn't it?!\Freeze, right there! response:	You better come with us!
context: Hey man...\Quit being so shameful.\You okay? *Officer, this way!*\Where's the girl who's getting abducted?!\You can't do that sort of thing!\It's you, isn't it?!\Freeze, right there!\You better come with us! response:	Don't resist!
context: Quit being so shameful.\You okay? *Officer, this way!*\Where's the girl who's getting abducted?!\You can't do that sort of thing!\It's you, isn't it?!\Freeze, right there!\You better come with us!\Don't resist! response:	You've got it all wrong! I didn't...
context: You okay? *Officer, this way!*\Where's the girl who's getting abducted?!\You can't do that sort of thing!\It's you, isn't it?!\Freeze, right there!\You better come with us!\Don't resist!\You've got it all wrong! I didn't... response:	That's what they all say!
context: Where's the girl who's getting abducted?!\You can't do that sort of thing!\It's you, isn't it?!\Freeze, right there!\You better come with us!\Don't resist!\You've got it all wrong! I didn't...\That's what they all say! response:	We'll get the details at the station.
context: You can't do that sort of thing!\It's you, isn't it?!\Freeze, right there!\You better come with us!\Don't resist!\You've got it all wrong! I didn't...\That's what they all say!\We'll get the details at the station. response:	Hey! Wait a minute...!
context: It's you, isn't it?!\Freeze, right there!\You better come with us!\Don't resist!\You've got it all wrong! I didn't...\That's what they all say!\We'll get the details at the station.\Hey! Wait a minute...! response:	Man, that was a close one. I nearly got hauled downtown.
context: Freeze, right there!\You better come with us!\Don't resist!\You've got it all wrong! I didn't...\That's what they all say!\We'll get the details at the station.\Hey! Wait a minute...!\Man, that was a close one. I nearly got hauled downtown. response:	Thanks for saving me.
context: You better come with us!\Don't resist!\You've got it all wrong! I didn't...\That's what they all say!\We'll get the details at the station.\Hey! Wait a minute...!\Man, that was a close one. I nearly got hauled downtown.\Thanks for saving me. response:	Well...
context: Don't resist!\You've got it all wrong! I didn't...\That's what they all say!\We'll get the details at the station.\Hey! Wait a minute...!\Man, that was a close one. I nearly got hauled downtown.\Thanks for saving me.\Well... response:	you're the one who saved me.
context: You've got it all wrong! I didn't...\That's what they all say!\We'll get the details at the station.\Hey! Wait a minute...!\Man, that was a close one. I nearly got hauled downtown.\Thanks for saving me.\Well...\you're the one who saved me. response:	It must be hard being that cute.
context: That's what they all say!\We'll get the details at the station.\Hey! Wait a minute...!\Man, that was a close one. I nearly got hauled downtown.\Thanks for saving me.\Well...\you're the one who saved me.\It must be hard being that cute. response:	There are lots of weirdos around lately.
context: We'll get the details at the station.\Hey! Wait a minute...!\Man, that was a close one. I nearly got hauled downtown.\Thanks for saving me.\Well...\you're the one who saved me.\It must be hard being that cute.\There are lots of weirdos around lately. response:	I'm glad I got to see you again.
context: Hey! Wait a minute...!\Man, that was a close one. I nearly got hauled downtown.\Thanks for saving me.\Well...\you're the one who saved me.\It must be hard being that cute.\There are lots of weirdos around lately.\I'm glad I got to see you again. response:	We split up on a really bad note last time...
context: Man, that was a close one. I nearly got hauled downtown.\Thanks for saving me.\Well...\you're the one who saved me.\It must be hard being that cute.\There are lots of weirdos around lately.\I'm glad I got to see you again.\We split up on a really bad note last time... response:	I've always wanted siblings...
context: Thanks for saving me.\Well...\you're the one who saved me.\It must be hard being that cute.\There are lots of weirdos around lately.\I'm glad I got to see you again.\We split up on a really bad note last time...\I've always wanted siblings... response:	so I guess I just jumped to conclusions.
context: Well...\you're the one who saved me.\It must be hard being that cute.\There are lots of weirdos around lately.\I'm glad I got to see you again.\We split up on a really bad note last time...\I've always wanted siblings...\so I guess I just jumped to conclusions. response:	You want siblings?
context: you're the one who saved me.\It must be hard being that cute.\There are lots of weirdos around lately.\I'm glad I got to see you again.\We split up on a really bad note last time...\I've always wanted siblings...\so I guess I just jumped to conclusions.\You want siblings? response:	Yeah.
context: It must be hard being that cute.\There are lots of weirdos around lately.\I'm glad I got to see you again.\We split up on a really bad note last time...\I've always wanted siblings...\so I guess I just jumped to conclusions.\You want siblings?\Yeah. response:	It's not like I can just get them by asking for them,
context: There are lots of weirdos around lately.\I'm glad I got to see you again.\We split up on a really bad note last time...\I've always wanted siblings...\so I guess I just jumped to conclusions.\You want siblings?\Yeah.\It's not like I can just get them by asking for them, response:	so I never told Mom...
context: I'm glad I got to see you again.\We split up on a really bad note last time...\I've always wanted siblings...\so I guess I just jumped to conclusions.\You want siblings?\Yeah.\It's not like I can just get them by asking for them,\so I never told Mom... response:	I wonder why...
context: We split up on a really bad note last time...\I've always wanted siblings...\so I guess I just jumped to conclusions.\You want siblings?\Yeah.\It's not like I can just get them by asking for them,\so I never told Mom...\I wonder why... response:	I've envied relationships where
context: I've always wanted siblings...\so I guess I just jumped to conclusions.\You want siblings?\Yeah.\It's not like I can just get them by asking for them,\so I never told Mom...\I wonder why...\I've envied relationships where response:	you can harass and support each other.
context: so I guess I just jumped to conclusions.\You want siblings?\Yeah.\It's not like I can just get them by asking for them,\so I never told Mom...\I wonder why...\I've envied relationships where\you can harass and support each other. response:	Because we were alone.
context: You want siblings?\Yeah.\It's not like I can just get them by asking for them,\so I never told Mom...\I wonder why...\I've envied relationships where\you can harass and support each other.\Because we were alone. response:	And then, POW there's this cute little girl right in front of my eyes.
context: Yeah.\It's not like I can just get them by asking for them,\so I never told Mom...\I wonder why...\I've envied relationships where\you can harass and support each other.\Because we were alone.\And then, POW there's this cute little girl right in front of my eyes. response:	I thought, this had to be it.
context: It's not like I can just get them by asking for them,\so I never told Mom...\I wonder why...\I've envied relationships where\you can harass and support each other.\Because we were alone.\And then, POW there's this cute little girl right in front of my eyes.\I thought, this had to be it. response:	I'm really sorry.
context: so I never told Mom...\I wonder why...\I've envied relationships where\you can harass and support each other.\Because we were alone.\And then, POW there's this cute little girl right in front of my eyes.\I thought, this had to be it.\I'm really sorry. response:	Well, that's all. Iwanted to apologize for myself...
context: I wonder why...\I've envied relationships where\you can harass and support each other.\Because we were alone.\And then, POW there's this cute little girl right in front of my eyes.\I thought, this had to be it.\I'm really sorry.\Well, that's all. Iwanted to apologize for myself... response:	I hope I'll see you again.
context: I've envied relationships where\you can harass and support each other.\Because we were alone.\And then, POW there's this cute little girl right in front of my eyes.\I thought, this had to be it.\I'm really sorry.\Well, that's all. Iwanted to apologize for myself...\I hope I'll see you again. response:	Later.
context: you can harass and support each other.\Because we were alone.\And then, POW there's this cute little girl right in front of my eyes.\I thought, this had to be it.\I'm really sorry.\Well, that's all. Iwanted to apologize for myself...\I hope I'll see you again.\Later. response:	I want to talk some more.
context: Because we were alone.\And then, POW there's this cute little girl right in front of my eyes.\I thought, this had to be it.\I'm really sorry.\Well, that's all. Iwanted to apologize for myself...\I hope I'll see you again.\Later.\I want to talk some more. response:	Can't we talk?
context: And then, POW there's this cute little girl right in front of my eyes.\I thought, this had to be it.\I'm really sorry.\Well, that's all. Iwanted to apologize for myself...\I hope I'll see you again.\Later.\I want to talk some more.\Can't we talk? response:	Okay, want to go to my place?
context: I thought, this had to be it.\I'm really sorry.\Well, that's all. Iwanted to apologize for myself...\I hope I'll see you again.\Later.\I want to talk some more.\Can't we talk?\Okay, want to go to my place? response:	It's a short train ride away.
context: I'm really sorry.\Well, that's all. Iwanted to apologize for myself...\I hope I'll see you again.\Later.\I want to talk some more.\Can't we talk?\Okay, want to go to my place?\It's a short train ride away. response:	Let's get some ice cream at the minimart.
context: Well, that's all. Iwanted to apologize for myself...\I hope I'll see you again.\Later.\I want to talk some more.\Can't we talk?\Okay, want to go to my place?\It's a short train ride away.\Let's get some ice cream at the minimart. response:	What'll it be?
context: I hope I'll see you again.\Later.\I want to talk some more.\Can't we talk?\Okay, want to go to my place?\It's a short train ride away.\Let's get some ice cream at the minimart.\What'll it be? response:	Let's see... a Hagen-Daaz.
context: Later.\I want to talk some more.\Can't we talk?\Okay, want to go to my place?\It's a short train ride away.\Let's get some ice cream at the minimart.\What'll it be?\Let's see... a Hagen-Daaz. response:	Are you siblings? What a cute little sister!
context: I want to talk some more.\Can't we talk?\Okay, want to go to my place?\It's a short train ride away.\Let's get some ice cream at the minimart.\What'll it be?\Let's see... a Hagen-Daaz.\Are you siblings? What a cute little sister! response:	Please come again.
context: Can't we talk?\Okay, want to go to my place?\It's a short train ride away.\Let's get some ice cream at the minimart.\What'll it be?\Let's see... a Hagen-Daaz.\Are you siblings? What a cute little sister!\Please come again. response:	Siblings, she said.
context: Okay, want to go to my place?\It's a short train ride away.\Let's get some ice cream at the minimart.\What'll it be?\Let's see... a Hagen-Daaz.\Are you siblings? What a cute little sister!\Please come again.\Siblings, she said. response:	Come on! Come on!
context: It's a short train ride away.\Let's get some ice cream at the minimart.\What'll it be?\Let's see... a Hagen-Daaz.\Are you siblings? What a cute little sister!\Please come again.\Siblings, she said.\Come on! Come on! response:	Yes!
context: Let's get some ice cream at the minimart.\What'll it be?\Let's see... a Hagen-Daaz.\Are you siblings? What a cute little sister!\Please come again.\Siblings, she said.\Come on! Come on!\Yes! response:	Man, it's hot in here.
context: What'll it be?\Let's see... a Hagen-Daaz.\Are you siblings? What a cute little sister!\Please come again.\Siblings, she said.\Come on! Come on!\Yes!\Man, it's hot in here. response:	Gotta open the window!
context: Let's see... a Hagen-Daaz.\Are you siblings? What a cute little sister!\Please come again.\Siblings, she said.\Come on! Come on!\Yes!\Man, it's hot in here.\Gotta open the window! response:	Come on in!
context: Are you siblings? What a cute little sister!\Please come again.\Siblings, she said.\Come on! Come on!\Yes!\Man, it's hot in here.\Gotta open the window!\Come on in! response:	Pretty small, isn't it. Surprised?
context: Please come again.\Siblings, she said.\Come on! Come on!\Yes!\Man, it's hot in here.\Gotta open the window!\Come on in!\Pretty small, isn't it. Surprised? response:	Uh-uh.
context: Siblings, she said.\Come on! Come on!\Yes!\Man, it's hot in here.\Gotta open the window!\Come on in!\Pretty small, isn't it. Surprised?\Uh-uh. response:	Aw shit! I left the miso soup out!
context: Come on! Come on!\Yes!\Man, it's hot in here.\Gotta open the window!\Come on in!\Pretty small, isn't it. Surprised?\Uh-uh.\Aw shit! I left the miso soup out! response:	Oh man, it smells funky!
context: Yes!\Man, it's hot in here.\Gotta open the window!\Come on in!\Pretty small, isn't it. Surprised?\Uh-uh.\Aw shit! I left the miso soup out!\Oh man, it smells funky! response:	Hang on a sec while I do the laundry.
context: Man, it's hot in here.\Gotta open the window!\Come on in!\Pretty small, isn't it. Surprised?\Uh-uh.\Aw shit! I left the miso soup out!\Oh man, it smells funky!\Hang on a sec while I do the laundry. response:	It's my turn today.
context: Gotta open the window!\Come on in!\Pretty small, isn't it. Surprised?\Uh-uh.\Aw shit! I left the miso soup out!\Oh man, it smells funky!\Hang on a sec while I do the laundry.\It's my turn today. response:	Oww..
context: Come on in!\Pretty small, isn't it. Surprised?\Uh-uh.\Aw shit! I left the miso soup out!\Oh man, it smells funky!\Hang on a sec while I do the laundry.\It's my turn today.\Oww.. response:	I wanted to go home somewhere.
context: Pretty small, isn't it. Surprised?\Uh-uh.\Aw shit! I left the miso soup out!\Oh man, it smells funky!\Hang on a sec while I do the laundry.\It's my turn today.\Oww..\I wanted to go home somewhere. response:	The homesickness pierces my heart.
context: Uh-uh.\Aw shit! I left the miso soup out!\Oh man, it smells funky!\Hang on a sec while I do the laundry.\It's my turn today.\Oww..\I wanted to go home somewhere.\The homesickness pierces my heart. response:	Is that good?
context: Aw shit! I left the miso soup out!\Oh man, it smells funky!\Hang on a sec while I do the laundry.\It's my turn today.\Oww..\I wanted to go home somewhere.\The homesickness pierces my heart.\Is that good? response:	How about yours?
context: Oh man, it smells funky!\Hang on a sec while I do the laundry.\It's my turn today.\Oww..\I wanted to go home somewhere.\The homesickness pierces my heart.\Is that good?\How about yours? response:	Want a taste?
context: Hang on a sec while I do the laundry.\It's my turn today.\Oww..\I wanted to go home somewhere.\The homesickness pierces my heart.\Is that good?\How about yours?\Want a taste? response:	See you later!
context: It's my turn today.\Oww..\I wanted to go home somewhere.\The homesickness pierces my heart.\Is that good?\How about yours?\Want a taste?\See you later! response:	Okay, bye-bye!
context: Oww..\I wanted to go home somewhere.\The homesickness pierces my heart.\Is that good?\How about yours?\Want a taste?\See you later!\Okay, bye-bye! response:	Later...
context: I wanted to go home somewhere.\The homesickness pierces my heart.\Is that good?\How about yours?\Want a taste?\See you later!\Okay, bye-bye!\Later... response:	I can really relax with you around.
context: The homesickness pierces my heart.\Is that good?\How about yours?\Want a taste?\See you later!\Okay, bye-bye!\Later...\I can really relax with you around. response:	I wonder why? We've only just met.
context: Is that good?\How about yours?\Want a taste?\See you later!\Okay, bye-bye!\Later...\I can really relax with you around.\I wonder why? We've only just met. response:	Well, it's natural.
context: How about yours?\Want a taste?\See you later!\Okay, bye-bye!\Later...\I can really relax with you around.\I wonder why? We've only just met.\Well, it's natural. response:	We've led the same lives up until now.
context: Want a taste?\See you later!\Okay, bye-bye!\Later...\I can really relax with you around.\I wonder why? We've only just met.\Well, it's natural.\We've led the same lives up until now. response:	Opening the door to find nobody there.
context: See you later!\Okay, bye-bye!\Later...\I can really relax with you around.\I wonder why? We've only just met.\Well, it's natural.\We've led the same lives up until now.\Opening the door to find nobody there. response:	We both experienced that loneliness.
context: Okay, bye-bye!\Later...\I can really relax with you around.\I wonder why? We've only just met.\Well, it's natural.\We've led the same lives up until now.\Opening the door to find nobody there.\We both experienced that loneliness. response:	We know that without having to say it.
context: Later...\I can really relax with you around.\I wonder why? We've only just met.\Well, it's natural.\We've led the same lives up until now.\Opening the door to find nobody there.\We both experienced that loneliness.\We know that without having to say it. response:	Because we're the same.
context: I can really relax with you around.\I wonder why? We've only just met.\Well, it's natural.\We've led the same lives up until now.\Opening the door to find nobody there.\We both experienced that loneliness.\We know that without having to say it.\Because we're the same. response:	I see.
context: I wonder why? We've only just met.\Well, it's natural.\We've led the same lives up until now.\Opening the door to find nobody there.\We both experienced that loneliness.\We know that without having to say it.\Because we're the same.\I see. response:	Then we're already like siblings.
context: Well, it's natural.\We've led the same lives up until now.\Opening the door to find nobody there.\We both experienced that loneliness.\We know that without having to say it.\Because we're the same.\I see.\Then we're already like siblings. response:	Yeah. Like siblings.
context: We've led the same lives up until now.\Opening the door to find nobody there.\We both experienced that loneliness.\We know that without having to say it.\Because we're the same.\I see.\Then we're already like siblings.\Yeah. Like siblings. response:	For the first time, I understood what Daddy meant.
context: Opening the door to find nobody there.\We both experienced that loneliness.\We know that without having to say it.\Because we're the same.\I see.\Then we're already like siblings.\Yeah. Like siblings.\For the first time, I understood what Daddy meant. response:	Someone who could understand is by my side.
context: We both experienced that loneliness.\We know that without having to say it.\Because we're the same.\I see.\Then we're already like siblings.\Yeah. Like siblings.\For the first time, I understood what Daddy meant.\Someone who could understand is by my side. response:	It would be so reassuring to have someone like that waiting for you at home.
context: We know that without having to say it.\Because we're the same.\I see.\Then we're already like siblings.\Yeah. Like siblings.\For the first time, I understood what Daddy meant.\Someone who could understand is by my side.\It would be so reassuring to have someone like that waiting for you at home. response:	It was a lie to say that all I needed was Daddy.
context: Because we're the same.\I see.\Then we're already like siblings.\Yeah. Like siblings.\For the first time, I understood what Daddy meant.\Someone who could understand is by my side.\It would be so reassuring to have someone like that waiting for you at home.\It was a lie to say that all I needed was Daddy. response:	I know that now.
context: I see.\Then we're already like siblings.\Yeah. Like siblings.\For the first time, I understood what Daddy meant.\Someone who could understand is by my side.\It would be so reassuring to have someone like that waiting for you at home.\It was a lie to say that all I needed was Daddy.\I know that now. response:	I was lonely all by myself.
context: Then we're already like siblings.\Yeah. Like siblings.\For the first time, I understood what Daddy meant.\Someone who could understand is by my side.\It would be so reassuring to have someone like that waiting for you at home.\It was a lie to say that all I needed was Daddy.\I know that now.\I was lonely all by myself. response:	I was lonely... Dad.
