context: Okay, class! Find a partner and hold hands! response:	Friends Work Together!
context: Friends...\Are we friends, though?\Are they cool with me being their friend?\There you are, Miyamura.\Ishikawa-kun.\I heard our next class got switched from Math to Econ.\Shoot, did I bring that textbook today?\Really wish they wouldn't switch things up on a dime. response:	Hey, man...
context: Are we friends, though?\Are they cool with me being their friend?\There you are, Miyamura.\Ishikawa-kun.\I heard our next class got switched from Math to Econ.\Shoot, did I bring that textbook today?\Really wish they wouldn't switch things up on a dime.\Hey, man... response:	What do you think, Miyamura?
context: Are they cool with me being their friend?\There you are, Miyamura.\Ishikawa-kun.\I heard our next class got switched from Math to Econ.\Shoot, did I bring that textbook today?\Really wish they wouldn't switch things up on a dime.\Hey, man...\What do you think, Miyamura? response:	What?
context: There you are, Miyamura.\Ishikawa-kun.\I heard our next class got switched from Math to Econ.\Shoot, did I bring that textbook today?\Really wish they wouldn't switch things up on a dime.\Hey, man...\What do you think, Miyamura?\What? response:	What?! I thought you were listening to me!
context: Ishikawa-kun.\I heard our next class got switched from Math to Econ.\Shoot, did I bring that textbook today?\Really wish they wouldn't switch things up on a dime.\Hey, man...\What do you think, Miyamura?\What?\What?! I thought you were listening to me! response:	Uh, hey, so...
context: I heard our next class got switched from Math to Econ.\Shoot, did I bring that textbook today?\Really wish they wouldn't switch things up on a dime.\Hey, man...\What do you think, Miyamura?\What?\What?! I thought you were listening to me!\Uh, hey, so... response:	Ishikawa-kun, what... do you think of me?
context: Shoot, did I bring that textbook today?\Really wish they wouldn't switch things up on a dime.\Hey, man...\What do you think, Miyamura?\What?\What?! I thought you were listening to me!\Uh, hey, so...\Ishikawa-kun, what... do you think of me? response:	You can't ask people that with a straight face. It's creepy as hell.
context: Really wish they wouldn't switch things up on a dime.\Hey, man...\What do you think, Miyamura?\What?\What?! I thought you were listening to me!\Uh, hey, so...\Ishikawa-kun, what... do you think of me?\You can't ask people that with a straight face. It's creepy as hell. response:	Creepy
context: Hey, man...\What do you think, Miyamura?\What?\What?! I thought you were listening to me!\Uh, hey, so...\Ishikawa-kun, what... do you think of me?\You can't ask people that with a straight face. It's creepy as hell.\Creepy response:	You can't ask people that with a straight face. It's creepy as hell.
context: What do you think, Miyamura?\What?\What?! I thought you were listening to me!\Uh, hey, so...\Ishikawa-kun, what... do you think of me?\You can't ask people that with a straight face. It's creepy as hell.\Creepy\You can't ask people that with a straight face. It's creepy as hell. response:	Creepy
context: What?\What?! I thought you were listening to me!\Uh, hey, so...\Ishikawa-kun, what... do you think of me?\You can't ask people that with a straight face. It's creepy as hell.\Creepy\You can't ask people that with a straight face. It's creepy as hell.\Creepy response:	And I'm super annoyed about you getting along so well with Hori.
context: What?! I thought you were listening to me!\Uh, hey, so...\Ishikawa-kun, what... do you think of me?\You can't ask people that with a straight face. It's creepy as hell.\Creepy\You can't ask people that with a straight face. It's creepy as hell.\Creepy\And I'm super annoyed about you getting along so well with Hori. response:	Annoying Creepy
context: Uh, hey, so...\Ishikawa-kun, what... do you think of me?\You can't ask people that with a straight face. It's creepy as hell.\Creepy\You can't ask people that with a straight face. It's creepy as hell.\Creepy\And I'm super annoyed about you getting along so well with Hori.\Annoying Creepy response:	And I'm super annoyed about you getting along so well with Hori.
context: Ishikawa-kun, what... do you think of me?\You can't ask people that with a straight face. It's creepy as hell.\Creepy\You can't ask people that with a straight face. It's creepy as hell.\Creepy\And I'm super annoyed about you getting along so well with Hori.\Annoying Creepy\And I'm super annoyed about you getting along so well with Hori. response:	Annoying Creepy
context: You can't ask people that with a straight face. It's creepy as hell.\Creepy\You can't ask people that with a straight face. It's creepy as hell.\Creepy\And I'm super annoyed about you getting along so well with Hori.\Annoying Creepy\And I'm super annoyed about you getting along so well with Hori.\Annoying Creepy response:	And you never say what you mean. That's so frustrating.
context: Creepy\You can't ask people that with a straight face. It's creepy as hell.\Creepy\And I'm super annoyed about you getting along so well with Hori.\Annoying Creepy\And I'm super annoyed about you getting along so well with Hori.\Annoying Creepy\And you never say what you mean. That's so frustrating. response:	Annoying Frustrating Creepy
context: You can't ask people that with a straight face. It's creepy as hell.\Creepy\And I'm super annoyed about you getting along so well with Hori.\Annoying Creepy\And I'm super annoyed about you getting along so well with Hori.\Annoying Creepy\And you never say what you mean. That's so frustrating.\Annoying Frustrating Creepy response:	And you never say what you mean. That's so frustrating.
context: Creepy\And I'm super annoyed about you getting along so well with Hori.\Annoying Creepy\And I'm super annoyed about you getting along so well with Hori.\Annoying Creepy\And you never say what you mean. That's so frustrating.\Annoying Frustrating Creepy\And you never say what you mean. That's so frustrating. response:	Annoying Frustrating Creepy
context: And I'm super annoyed about you getting along so well with Hori.\Annoying Creepy\And I'm super annoyed about you getting along so well with Hori.\Annoying Creepy\And you never say what you mean. That's so frustrating.\Annoying Frustrating Creepy\And you never say what you mean. That's so frustrating.\Annoying Frustrating Creepy response:	You act weird sometimes, too.
context: Annoying Creepy\And I'm super annoyed about you getting along so well with Hori.\Annoying Creepy\And you never say what you mean. That's so frustrating.\Annoying Frustrating Creepy\And you never say what you mean. That's so frustrating.\Annoying Frustrating Creepy\You act weird sometimes, too. response:	You act weird sometimes, too.
context: And I'm super annoyed about you getting along so well with Hori.\Annoying Creepy\And you never say what you mean. That's so frustrating.\Annoying Frustrating Creepy\And you never say what you mean. That's so frustrating.\Annoying Frustrating Creepy\You act weird sometimes, too.\You act weird sometimes, too. response:	You're way too nice to people. I always have to keep an eye on you.
context: Annoying Creepy\And you never say what you mean. That's so frustrating.\Annoying Frustrating Creepy\And you never say what you mean. That's so frustrating.\Annoying Frustrating Creepy\You act weird sometimes, too.\You act weird sometimes, too.\You're way too nice to people. I always have to keep an eye on you. response:	And when you take off your glasses and put your hair up, you're prettier than most girls.
context: And you never say what you mean. That's so frustrating.\Annoying Frustrating Creepy\And you never say what you mean. That's so frustrating.\Annoying Frustrating Creepy\You act weird sometimes, too.\You act weird sometimes, too.\You're way too nice to people. I always have to keep an eye on you.\And when you take off your glasses and put your hair up, you're prettier than most girls. response:	It's annoying as hell.
context: Annoying Frustrating Creepy\And you never say what you mean. That's so frustrating.\Annoying Frustrating Creepy\You act weird sometimes, too.\You act weird sometimes, too.\You're way too nice to people. I always have to keep an eye on you.\And when you take off your glasses and put your hair up, you're prettier than most girls.\It's annoying as hell. response:	So I'm pretty...
context: And you never say what you mean. That's so frustrating.\Annoying Frustrating Creepy\You act weird sometimes, too.\You act weird sometimes, too.\You're way too nice to people. I always have to keep an eye on you.\And when you take off your glasses and put your hair up, you're prettier than most girls.\It's annoying as hell.\So I'm pretty... response:	I hate that, too! How you get me to say the dumbest shit!
context: Annoying Frustrating Creepy\You act weird sometimes, too.\You act weird sometimes, too.\You're way too nice to people. I always have to keep an eye on you.\And when you take off your glasses and put your hair up, you're prettier than most girls.\It's annoying as hell.\So I'm pretty...\I hate that, too! How you get me to say the dumbest shit! response:	You drive me frickin' crazy!
context: You act weird sometimes, too.\You act weird sometimes, too.\You're way too nice to people. I always have to keep an eye on you.\And when you take off your glasses and put your hair up, you're prettier than most girls.\It's annoying as hell.\So I'm pretty...\I hate that, too! How you get me to say the dumbest shit!\You drive me frickin' crazy! response:	How is that my fault?!
context: You act weird sometimes, too.\You're way too nice to people. I always have to keep an eye on you.\And when you take off your glasses and put your hair up, you're prettier than most girls.\It's annoying as hell.\So I'm pretty...\I hate that, too! How you get me to say the dumbest shit!\You drive me frickin' crazy!\How is that my fault?! response:	You're also the only person who calls me by my last name,
context: You're way too nice to people. I always have to keep an eye on you.\And when you take off your glasses and put your hair up, you're prettier than most girls.\It's annoying as hell.\So I'm pretty...\I hate that, too! How you get me to say the dumbest shit!\You drive me frickin' crazy!\How is that my fault?!\You're also the only person who calls me by my last name, response:	so I kinda wonder what you think of me, too.
context: And when you take off your glasses and put your hair up, you're prettier than most girls.\It's annoying as hell.\So I'm pretty...\I hate that, too! How you get me to say the dumbest shit!\You drive me frickin' crazy!\How is that my fault?!\You're also the only person who calls me by my last name,\so I kinda wonder what you think of me, too. response:	T-Toru.
context: It's annoying as hell.\So I'm pretty...\I hate that, too! How you get me to say the dumbest shit!\You drive me frickin' crazy!\How is that my fault?!\You're also the only person who calls me by my last name,\so I kinda wonder what you think of me, too.\T-Toru. response:	Dude!
context: So I'm pretty...\I hate that, too! How you get me to say the dumbest shit!\You drive me frickin' crazy!\How is that my fault?!\You're also the only person who calls me by my last name,\so I kinda wonder what you think of me, too.\T-Toru.\Dude! response:	Don't say it if you're just gonna get all embarrassed, you idiot!
context: I hate that, too! How you get me to say the dumbest shit!\You drive me frickin' crazy!\How is that my fault?!\You're also the only person who calls me by my last name,\so I kinda wonder what you think of me, too.\T-Toru.\Dude!\Don't say it if you're just gonna get all embarrassed, you idiot! response:	I-I just said it out loud, jeez! I just...
context: You drive me frickin' crazy!\How is that my fault?!\You're also the only person who calls me by my last name,\so I kinda wonder what you think of me, too.\T-Toru.\Dude!\Don't say it if you're just gonna get all embarrassed, you idiot!\I-I just said it out loud, jeez! I just... response:	Come to think of it, that's the first time ever in high school
context: How is that my fault?!\You're also the only person who calls me by my last name,\so I kinda wonder what you think of me, too.\T-Toru.\Dude!\Don't say it if you're just gonna get all embarrassed, you idiot!\I-I just said it out loud, jeez! I just...\Come to think of it, that's the first time ever in high school response:	that I've called a classmate by their first name.
context: You're also the only person who calls me by my last name,\so I kinda wonder what you think of me, too.\T-Toru.\Dude!\Don't say it if you're just gonna get all embarrassed, you idiot!\I-I just said it out loud, jeez! I just...\Come to think of it, that's the first time ever in high school\that I've called a classmate by their first name. response:	You know...
context: so I kinda wonder what you think of me, too.\T-Toru.\Dude!\Don't say it if you're just gonna get all embarrassed, you idiot!\I-I just said it out loud, jeez! I just...\Come to think of it, that's the first time ever in high school\that I've called a classmate by their first name.\You know... response:	You're kind of weird.
context: T-Toru.\Dude!\Don't say it if you're just gonna get all embarrassed, you idiot!\I-I just said it out loud, jeez! I just...\Come to think of it, that's the first time ever in high school\that I've called a classmate by their first name.\You know...\You're kind of weird. response:	Miyamura, you're weird!
context: Dude!\Don't say it if you're just gonna get all embarrassed, you idiot!\I-I just said it out loud, jeez! I just...\Come to think of it, that's the first time ever in high school\that I've called a classmate by their first name.\You know...\You're kind of weird.\Miyamura, you're weird! response:	-Sorry.
context: Don't say it if you're just gonna get all embarrassed, you idiot!\I-I just said it out loud, jeez! I just...\Come to think of it, that's the first time ever in high school\that I've called a classmate by their first name.\You know...\You're kind of weird.\Miyamura, you're weird!\-Sorry. response:	-You're weird... -Sorry.
context: I-I just said it out loud, jeez! I just...\Come to think of it, that's the first time ever in high school\that I've called a classmate by their first name.\You know...\You're kind of weird.\Miyamura, you're weird!\-Sorry.\-You're weird... -Sorry. response:	You're just kind of awkward.
context: Come to think of it, that's the first time ever in high school\that I've called a classmate by their first name.\You know...\You're kind of weird.\Miyamura, you're weird!\-Sorry.\-You're weird... -Sorry.\You're just kind of awkward. response:	You got that, Izumi?!
context: that I've called a classmate by their first name.\You know...\You're kind of weird.\Miyamura, you're weird!\-Sorry.\-You're weird... -Sorry.\You're just kind of awkward.\You got that, Izumi?! response:	It'll be okay.
context: You know...\You're kind of weird.\Miyamura, you're weird!\-Sorry.\-You're weird... -Sorry.\You're just kind of awkward.\You got that, Izumi?!\It'll be okay. response:	I wish I could go back ten years and tell myself that.
context: You're kind of weird.\Miyamura, you're weird!\-Sorry.\-You're weird... -Sorry.\You're just kind of awkward.\You got that, Izumi?!\It'll be okay.\I wish I could go back ten years and tell myself that. response:	Hori, listen, you gotta avoid flicking the bone!
context: Miyamura, you're weird!\-Sorry.\-You're weird... -Sorry.\You're just kind of awkward.\You got that, Izumi?!\It'll be okay.\I wish I could go back ten years and tell myself that.\Hori, listen, you gotta avoid flicking the bone! response:	I told you we were gonna finish our report over lunch!
context: -Sorry.\-You're weird... -Sorry.\You're just kind of awkward.\You got that, Izumi?!\It'll be okay.\I wish I could go back ten years and tell myself that.\Hori, listen, you gotta avoid flicking the bone!\I told you we were gonna finish our report over lunch! response:	Where the heck did you wander off to?!
context: -You're weird... -Sorry.\You're just kind of awkward.\You got that, Izumi?!\It'll be okay.\I wish I could go back ten years and tell myself that.\Hori, listen, you gotta avoid flicking the bone!\I told you we were gonna finish our report over lunch!\Where the heck did you wander off to?! response:	The roof, to affirm our friendship.
context: You're just kind of awkward.\You got that, Izumi?!\It'll be okay.\I wish I could go back ten years and tell myself that.\Hori, listen, you gotta avoid flicking the bone!\I told you we were gonna finish our report over lunch!\Where the heck did you wander off to?!\The roof, to affirm our friendship. response:	What? You're creeping me out, you two idiots.
context: You got that, Izumi?!\It'll be okay.\I wish I could go back ten years and tell myself that.\Hori, listen, you gotta avoid flicking the bone!\I told you we were gonna finish our report over lunch!\Where the heck did you wander off to?!\The roof, to affirm our friendship.\What? You're creeping me out, you two idiots. response:	Hey, Yoshikawa's here, so there are three idiots!
context: It'll be okay.\I wish I could go back ten years and tell myself that.\Hori, listen, you gotta avoid flicking the bone!\I told you we were gonna finish our report over lunch!\Where the heck did you wander off to?!\The roof, to affirm our friendship.\What? You're creeping me out, you two idiots.\Hey, Yoshikawa's here, so there are three idiots! response:	Hey! What did you just call me?!
context: I wish I could go back ten years and tell myself that.\Hori, listen, you gotta avoid flicking the bone!\I told you we were gonna finish our report over lunch!\Where the heck did you wander off to?!\The roof, to affirm our friendship.\What? You're creeping me out, you two idiots.\Hey, Yoshikawa's here, so there are three idiots!\Hey! What did you just call me?! response:	Hey, Ishikawa-kun. Morning.
context: Hori, listen, you gotta avoid flicking the bone!\I told you we were gonna finish our report over lunch!\Where the heck did you wander off to?!\The roof, to affirm our friendship.\What? You're creeping me out, you two idiots.\Hey, Yoshikawa's here, so there are three idiots!\Hey! What did you just call me?!\Hey, Ishikawa-kun. Morning. response:	So I watched that show you said you liked, Ishikawa-kun.
context: I told you we were gonna finish our report over lunch!\Where the heck did you wander off to?!\The roof, to affirm our friendship.\What? You're creeping me out, you two idiots.\Hey, Yoshikawa's here, so there are three idiots!\Hey! What did you just call me?!\Hey, Ishikawa-kun. Morning.\So I watched that show you said you liked, Ishikawa-kun. response:	Hey, Izu- Miyamura, what part did you like the most?
context: Where the heck did you wander off to?!\The roof, to affirm our friendship.\What? You're creeping me out, you two idiots.\Hey, Yoshikawa's here, so there are three idiots!\Hey! What did you just call me?!\Hey, Ishikawa-kun. Morning.\So I watched that show you said you liked, Ishikawa-kun.\Hey, Izu- Miyamura, what part did you like the most? response:	Let's see...
context: The roof, to affirm our friendship.\What? You're creeping me out, you two idiots.\Hey, Yoshikawa's here, so there are three idiots!\Hey! What did you just call me?!\Hey, Ishikawa-kun. Morning.\So I watched that show you said you liked, Ishikawa-kun.\Hey, Izu- Miyamura, what part did you like the most?\Let's see... response:	Here I thought we were on a first-name basis now...
context: What? You're creeping me out, you two idiots.\Hey, Yoshikawa's here, so there are three idiots!\Hey! What did you just call me?!\Hey, Ishikawa-kun. Morning.\So I watched that show you said you liked, Ishikawa-kun.\Hey, Izu- Miyamura, what part did you like the most?\Let's see...\Here I thought we were on a first-name basis now... response:	This guy's a total mystery.
context: Hey, Yoshikawa's here, so there are three idiots!\Hey! What did you just call me?!\Hey, Ishikawa-kun. Morning.\So I watched that show you said you liked, Ishikawa-kun.\Hey, Izu- Miyamura, what part did you like the most?\Let's see...\Here I thought we were on a first-name basis now...\This guy's a total mystery. response:	Ishikawa-kun? Are you listening?
context: Hey! What did you just call me?!\Hey, Ishikawa-kun. Morning.\So I watched that show you said you liked, Ishikawa-kun.\Hey, Izu- Miyamura, what part did you like the most?\Let's see...\Here I thought we were on a first-name basis now...\This guy's a total mystery.\Ishikawa-kun? Are you listening? response:	Hori
context: Hey, Ishikawa-kun. Morning.\So I watched that show you said you liked, Ishikawa-kun.\Hey, Izu- Miyamura, what part did you like the most?\Let's see...\Here I thought we were on a first-name basis now...\This guy's a total mystery.\Ishikawa-kun? Are you listening?\Hori response:	Hey, sis, you done yet?
context: So I watched that show you said you liked, Ishikawa-kun.\Hey, Izu- Miyamura, what part did you like the most?\Let's see...\Here I thought we were on a first-name basis now...\This guy's a total mystery.\Ishikawa-kun? Are you listening?\Hori\Hey, sis, you done yet? response:	You're heading to school already?
context: Hey, Izu- Miyamura, what part did you like the most?\Let's see...\Here I thought we were on a first-name basis now...\This guy's a total mystery.\Ishikawa-kun? Are you listening?\Hori\Hey, sis, you done yet?\You're heading to school already? response:	Yeah! Yuna-chan's waiting for me.
context: Let's see...\Here I thought we were on a first-name basis now...\This guy's a total mystery.\Ishikawa-kun? Are you listening?\Hori\Hey, sis, you done yet?\You're heading to school already?\Yeah! Yuna-chan's waiting for me. response:	This early?
context: Here I thought we were on a first-name basis now...\This guy's a total mystery.\Ishikawa-kun? Are you listening?\Hori\Hey, sis, you done yet?\You're heading to school already?\Yeah! Yuna-chan's waiting for me.\This early? response:	Sota's been getting up way earlier now that he's in grade school...
context: This guy's a total mystery.\Ishikawa-kun? Are you listening?\Hori\Hey, sis, you done yet?\You're heading to school already?\Yeah! Yuna-chan's waiting for me.\This early?\Sota's been getting up way earlier now that he's in grade school... response:	Man, nobody's even here yet.
context: Ishikawa-kun? Are you listening?\Hori\Hey, sis, you done yet?\You're heading to school already?\Yeah! Yuna-chan's waiting for me.\This early?\Sota's been getting up way earlier now that he's in grade school...\Man, nobody's even here yet. response:	Can I sit here?
context: Hori\Hey, sis, you done yet?\You're heading to school already?\Yeah! Yuna-chan's waiting for me.\This early?\Sota's been getting up way earlier now that he's in grade school...\Man, nobody's even here yet.\Can I sit here? response:	Ayasaki-san?
context: Hey, sis, you done yet?\You're heading to school already?\Yeah! Yuna-chan's waiting for me.\This early?\Sota's been getting up way earlier now that he's in grade school...\Man, nobody's even here yet.\Can I sit here?\Ayasaki-san? response:	I totally thought we had a morning assembly today. Whoops!
context: You're heading to school already?\Yeah! Yuna-chan's waiting for me.\This early?\Sota's been getting up way earlier now that he's in grade school...\Man, nobody's even here yet.\Can I sit here?\Ayasaki-san?\I totally thought we had a morning assembly today. Whoops! response:	Yeah, same.
context: Yeah! Yuna-chan's waiting for me.\This early?\Sota's been getting up way earlier now that he's in grade school...\Man, nobody's even here yet.\Can I sit here?\Ayasaki-san?\I totally thought we had a morning assembly today. Whoops!\Yeah, same. response:	So Miyamura-kun's pretty hot, huh?
context: This early?\Sota's been getting up way earlier now that he's in grade school...\Man, nobody's even here yet.\Can I sit here?\Ayasaki-san?\I totally thought we had a morning assembly today. Whoops!\Yeah, same.\So Miyamura-kun's pretty hot, huh? response:	Huh? You think so?
context: Sota's been getting up way earlier now that he's in grade school...\Man, nobody's even here yet.\Can I sit here?\Ayasaki-san?\I totally thought we had a morning assembly today. Whoops!\Yeah, same.\So Miyamura-kun's pretty hot, huh?\Huh? You think so? response:	Are you his girlfriend, Hori-san?
context: Man, nobody's even here yet.\Can I sit here?\Ayasaki-san?\I totally thought we had a morning assembly today. Whoops!\Yeah, same.\So Miyamura-kun's pretty hot, huh?\Huh? You think so?\Are you his girlfriend, Hori-san? response:	No, I'm not!
context: Can I sit here?\Ayasaki-san?\I totally thought we had a morning assembly today. Whoops!\Yeah, same.\So Miyamura-kun's pretty hot, huh?\Huh? You think so?\Are you his girlfriend, Hori-san?\No, I'm not! response:	Huh, okay.
context: Ayasaki-san?\I totally thought we had a morning assembly today. Whoops!\Yeah, same.\So Miyamura-kun's pretty hot, huh?\Huh? You think so?\Are you his girlfriend, Hori-san?\No, I'm not!\Huh, okay. response:	Can I have him, then?
context: I totally thought we had a morning assembly today. Whoops!\Yeah, same.\So Miyamura-kun's pretty hot, huh?\Huh? You think so?\Are you his girlfriend, Hori-san?\No, I'm not!\Huh, okay.\Can I have him, then? response:	Wait... have him?
context: Yeah, same.\So Miyamura-kun's pretty hot, huh?\Huh? You think so?\Are you his girlfriend, Hori-san?\No, I'm not!\Huh, okay.\Can I have him, then?\Wait... have him? response:	I mean, you're not dating, right?
context: So Miyamura-kun's pretty hot, huh?\Huh? You think so?\Are you his girlfriend, Hori-san?\No, I'm not!\Huh, okay.\Can I have him, then?\Wait... have him?\I mean, you're not dating, right? response:	So you wouldn't care if him and I got close, yeah?
context: Huh? You think so?\Are you his girlfriend, Hori-san?\No, I'm not!\Huh, okay.\Can I have him, then?\Wait... have him?\I mean, you're not dating, right?\So you wouldn't care if him and I got close, yeah? response:	Yeah, but...
context: Are you his girlfriend, Hori-san?\No, I'm not!\Huh, okay.\Can I have him, then?\Wait... have him?\I mean, you're not dating, right?\So you wouldn't care if him and I got close, yeah?\Yeah, but... response:	Okay, Miyamura-kun's all mine!
context: No, I'm not!\Huh, okay.\Can I have him, then?\Wait... have him?\I mean, you're not dating, right?\So you wouldn't care if him and I got close, yeah?\Yeah, but...\Okay, Miyamura-kun's all mine! response:	No.
context: Huh, okay.\Can I have him, then?\Wait... have him?\I mean, you're not dating, right?\So you wouldn't care if him and I got close, yeah?\Yeah, but...\Okay, Miyamura-kun's all mine!\No. response:	You can't have him. I'm not giving him to you.
context: Can I have him, then?\Wait... have him?\I mean, you're not dating, right?\So you wouldn't care if him and I got close, yeah?\Yeah, but...\Okay, Miyamura-kun's all mine!\No.\You can't have him. I'm not giving him to you. response:	Huh? But you said you're just friends, right?
context: Wait... have him?\I mean, you're not dating, right?\So you wouldn't care if him and I got close, yeah?\Yeah, but...\Okay, Miyamura-kun's all mine!\No.\You can't have him. I'm not giving him to you.\Huh? But you said you're just friends, right? response:	I'm not giving you Miyamura.
context: I mean, you're not dating, right?\So you wouldn't care if him and I got close, yeah?\Yeah, but...\Okay, Miyamura-kun's all mine!\No.\You can't have him. I'm not giving him to you.\Huh? But you said you're just friends, right?\I'm not giving you Miyamura. response:	I'm taking him!
context: So you wouldn't care if him and I got close, yeah?\Yeah, but...\Okay, Miyamura-kun's all mine!\No.\You can't have him. I'm not giving him to you.\Huh? But you said you're just friends, right?\I'm not giving you Miyamura.\I'm taking him! response:	No, you're not!
context: Yeah, but...\Okay, Miyamura-kun's all mine!\No.\You can't have him. I'm not giving him to you.\Huh? But you said you're just friends, right?\I'm not giving you Miyamura.\I'm taking him!\No, you're not! response:	But Miyamura-kun's not your boyfriend!
context: Okay, Miyamura-kun's all mine!\No.\You can't have him. I'm not giving him to you.\Huh? But you said you're just friends, right?\I'm not giving you Miyamura.\I'm taking him!\No, you're not!\But Miyamura-kun's not your boyfriend! response:	He doesn't belong to you!
context: No.\You can't have him. I'm not giving him to you.\Huh? But you said you're just friends, right?\I'm not giving you Miyamura.\I'm taking him!\No, you're not!\But Miyamura-kun's not your boyfriend!\He doesn't belong to you! response:	Miyamura's...
context: You can't have him. I'm not giving him to you.\Huh? But you said you're just friends, right?\I'm not giving you Miyamura.\I'm taking him!\No, you're not!\But Miyamura-kun's not your boyfriend!\He doesn't belong to you!\Miyamura's... response:	Miyamura's mine! You can't have him!
context: Huh? But you said you're just friends, right?\I'm not giving you Miyamura.\I'm taking him!\No, you're not!\But Miyamura-kun's not your boyfriend!\He doesn't belong to you!\Miyamura's...\Miyamura's mine! You can't have him! response:	Not ever!
context: I'm not giving you Miyamura.\I'm taking him!\No, you're not!\But Miyamura-kun's not your boyfriend!\He doesn't belong to you!\Miyamura's...\Miyamura's mine! You can't have him!\Not ever! response:	I'll never let you have him!
context: I'm taking him!\No, you're not!\But Miyamura-kun's not your boyfriend!\He doesn't belong to you!\Miyamura's...\Miyamura's mine! You can't have him!\Not ever!\I'll never let you have him! response:	Wonder if the cafeteria's open yet.
context: No, you're not!\But Miyamura-kun's not your boyfriend!\He doesn't belong to you!\Miyamura's...\Miyamura's mine! You can't have him!\Not ever!\I'll never let you have him!\Wonder if the cafeteria's open yet. response:	O-Okay, bye!
context: But Miyamura-kun's not your boyfriend!\He doesn't belong to you!\Miyamura's...\Miyamura's mine! You can't have him!\Not ever!\I'll never let you have him!\Wonder if the cafeteria's open yet.\O-Okay, bye! response:	I'm so stupid. Miyamura doesn't belong to anyone.
context: He doesn't belong to you!\Miyamura's...\Miyamura's mine! You can't have him!\Not ever!\I'll never let you have him!\Wonder if the cafeteria's open yet.\O-Okay, bye!\I'm so stupid. Miyamura doesn't belong to anyone. response:	I know I shouldn't be surprised, but seriously...
context: Miyamura's...\Miyamura's mine! You can't have him!\Not ever!\I'll never let you have him!\Wonder if the cafeteria's open yet.\O-Okay, bye!\I'm so stupid. Miyamura doesn't belong to anyone.\I know I shouldn't be surprised, but seriously... response:	Sota needs to stop changing in here before he goes out to play!
context: Miyamura's mine! You can't have him!\Not ever!\I'll never let you have him!\Wonder if the cafeteria's open yet.\O-Okay, bye!\I'm so stupid. Miyamura doesn't belong to anyone.\I know I shouldn't be surprised, but seriously...\Sota needs to stop changing in here before he goes out to play! response:	Huh? He's not here again today?
context: Not ever!\I'll never let you have him!\Wonder if the cafeteria's open yet.\O-Okay, bye!\I'm so stupid. Miyamura doesn't belong to anyone.\I know I shouldn't be surprised, but seriously...\Sota needs to stop changing in here before he goes out to play!\Huh? He's not here again today? response:	He probably came home, then went right out to play soccer.
context: I'll never let you have him!\Wonder if the cafeteria's open yet.\O-Okay, bye!\I'm so stupid. Miyamura doesn't belong to anyone.\I know I shouldn't be surprised, but seriously...\Sota needs to stop changing in here before he goes out to play!\Huh? He's not here again today?\He probably came home, then went right out to play soccer. response:	What an energetic little rascal.
context: Wonder if the cafeteria's open yet.\O-Okay, bye!\I'm so stupid. Miyamura doesn't belong to anyone.\I know I shouldn't be surprised, but seriously...\Sota needs to stop changing in here before he goes out to play!\Huh? He's not here again today?\He probably came home, then went right out to play soccer.\What an energetic little rascal. response:	You can't do blueberries, right, Hori-san?
context: O-Okay, bye!\I'm so stupid. Miyamura doesn't belong to anyone.\I know I shouldn't be surprised, but seriously...\Sota needs to stop changing in here before he goes out to play!\Huh? He's not here again today?\He probably came home, then went right out to play soccer.\What an energetic little rascal.\You can't do blueberries, right, Hori-san? response:	Ever since Sota started grade school,
context: I'm so stupid. Miyamura doesn't belong to anyone.\I know I shouldn't be surprised, but seriously...\Sota needs to stop changing in here before he goes out to play!\Huh? He's not here again today?\He probably came home, then went right out to play soccer.\What an energetic little rascal.\You can't do blueberries, right, Hori-san?\Ever since Sota started grade school, response:	we've been spending a lot more time alone together.
context: I know I shouldn't be surprised, but seriously...\Sota needs to stop changing in here before he goes out to play!\Huh? He's not here again today?\He probably came home, then went right out to play soccer.\What an energetic little rascal.\You can't do blueberries, right, Hori-san?\Ever since Sota started grade school,\we've been spending a lot more time alone together. response:	That fruit tart you brought over the other day was really good.
context: Sota needs to stop changing in here before he goes out to play!\Huh? He's not here again today?\He probably came home, then went right out to play soccer.\What an energetic little rascal.\You can't do blueberries, right, Hori-san?\Ever since Sota started grade school,\we've been spending a lot more time alone together.\That fruit tart you brought over the other day was really good. response:	Whoa, really? I actually made that one.
context: Huh? He's not here again today?\He probably came home, then went right out to play soccer.\What an energetic little rascal.\You can't do blueberries, right, Hori-san?\Ever since Sota started grade school,\we've been spending a lot more time alone together.\That fruit tart you brought over the other day was really good.\Whoa, really? I actually made that one. response:	Oh, cool! That's neat.
context: He probably came home, then went right out to play soccer.\What an energetic little rascal.\You can't do blueberries, right, Hori-san?\Ever since Sota started grade school,\we've been spending a lot more time alone together.\That fruit tart you brought over the other day was really good.\Whoa, really? I actually made that one.\Oh, cool! That's neat. response:	Sometimes, our conversations peter out.
context: What an energetic little rascal.\You can't do blueberries, right, Hori-san?\Ever since Sota started grade school,\we've been spending a lot more time alone together.\That fruit tart you brought over the other day was really good.\Whoa, really? I actually made that one.\Oh, cool! That's neat.\Sometimes, our conversations peter out. response:	That looked totally real!
