context: Oh, right... response:	I'm in love with someone now.
context: So anyway...\Don't break it! Don't break it! This is important to me, you know!\Anyway...\Eventually we might find a way to open it,\so I want you to wait till then.\And if we still can't figure it out,\and you think you just have to know the truth,\then let's bust this open and take a look inside. response:	I mean, maybe that'll give us a clue.
context: Don't break it! Don't break it! This is important to me, you know!\Anyway...\Eventually we might find a way to open it,\so I want you to wait till then.\And if we still can't figure it out,\and you think you just have to know the truth,\then let's bust this open and take a look inside.\I mean, maybe that'll give us a clue. response:	I suppose it can't be helped.
context: Anyway...\Eventually we might find a way to open it,\so I want you to wait till then.\And if we still can't figure it out,\and you think you just have to know the truth,\then let's bust this open and take a look inside.\I mean, maybe that'll give us a clue.\I suppose it can't be helped. response:	Not having to break it would be best, though, right?
context: Eventually we might find a way to open it,\so I want you to wait till then.\And if we still can't figure it out,\and you think you just have to know the truth,\then let's bust this open and take a look inside.\I mean, maybe that'll give us a clue.\I suppose it can't be helped.\Not having to break it would be best, though, right? response:	Still, I wonder what it could be.
context: so I want you to wait till then.\And if we still can't figure it out,\and you think you just have to know the truth,\then let's bust this open and take a look inside.\I mean, maybe that'll give us a clue.\I suppose it can't be helped.\Not having to break it would be best, though, right?\Still, I wonder what it could be. response:	An object that can be placed in something this size.
context: And if we still can't figure it out,\and you think you just have to know the truth,\then let's bust this open and take a look inside.\I mean, maybe that'll give us a clue.\I suppose it can't be helped.\Not having to break it would be best, though, right?\Still, I wonder what it could be.\An object that can be placed in something this size. response:	You said we would take it out together when we were reunited, right?
context: and you think you just have to know the truth,\then let's bust this open and take a look inside.\I mean, maybe that'll give us a clue.\I suppose it can't be helped.\Not having to break it would be best, though, right?\Still, I wonder what it could be.\An object that can be placed in something this size.\You said we would take it out together when we were reunited, right? response:	Yeah.
context: then let's bust this open and take a look inside.\I mean, maybe that'll give us a clue.\I suppose it can't be helped.\Not having to break it would be best, though, right?\Still, I wonder what it could be.\An object that can be placed in something this size.\You said we would take it out together when we were reunited, right?\Yeah. response:	An engagement ring, maybe?
context: I mean, maybe that'll give us a clue.\I suppose it can't be helped.\Not having to break it would be best, though, right?\Still, I wonder what it could be.\An object that can be placed in something this size.\You said we would take it out together when we were reunited, right?\Yeah.\An engagement ring, maybe? response:	You're all very funny.
context: I suppose it can't be helped.\Not having to break it would be best, though, right?\Still, I wonder what it could be.\An object that can be placed in something this size.\You said we would take it out together when we were reunited, right?\Yeah.\An engagement ring, maybe?\You're all very funny. response:	Jeez, I got all nervous for nothing!
context: Not having to break it would be best, though, right?\Still, I wonder what it could be.\An object that can be placed in something this size.\You said we would take it out together when we were reunited, right?\Yeah.\An engagement ring, maybe?\You're all very funny.\Jeez, I got all nervous for nothing! response:	What are you gonna do to make up for this letdown?
context: Still, I wonder what it could be.\An object that can be placed in something this size.\You said we would take it out together when we were reunited, right?\Yeah.\An engagement ring, maybe?\You're all very funny.\Jeez, I got all nervous for nothing!\What are you gonna do to make up for this letdown? response:	Hey, I tried to tell you guys right away!
context: An object that can be placed in something this size.\You said we would take it out together when we were reunited, right?\Yeah.\An engagement ring, maybe?\You're all very funny.\Jeez, I got all nervous for nothing!\What are you gonna do to make up for this letdown?\Hey, I tried to tell you guys right away! response:	But... If we'd gotten the locket open,
context: You said we would take it out together when we were reunited, right?\Yeah.\An engagement ring, maybe?\You're all very funny.\Jeez, I got all nervous for nothing!\What are you gonna do to make up for this letdown?\Hey, I tried to tell you guys right away!\But... If we'd gotten the locket open, response:	what in the world would've happened?
context: Yeah.\An engagement ring, maybe?\You're all very funny.\Jeez, I got all nervous for nothing!\What are you gonna do to make up for this letdown?\Hey, I tried to tell you guys right away!\But... If we'd gotten the locket open,\what in the world would've happened? response:	If my key had opened it...
context: An engagement ring, maybe?\You're all very funny.\Jeez, I got all nervous for nothing!\What are you gonna do to make up for this letdown?\Hey, I tried to tell you guys right away!\But... If we'd gotten the locket open,\what in the world would've happened?\If my key had opened it... response:	If... my key hadn't opened it...
context: You're all very funny.\Jeez, I got all nervous for nothing!\What are you gonna do to make up for this letdown?\Hey, I tried to tell you guys right away!\But... If we'd gotten the locket open,\what in the world would've happened?\If my key had opened it...\If... my key hadn't opened it... response:	If I just went on having feelings for him,
context: Jeez, I got all nervous for nothing!\What are you gonna do to make up for this letdown?\Hey, I tried to tell you guys right away!\But... If we'd gotten the locket open,\what in the world would've happened?\If my key had opened it...\If... my key hadn't opened it...\If I just went on having feelings for him, response:	and then found out later that I wasn't his soul mate,
context: What are you gonna do to make up for this letdown?\Hey, I tried to tell you guys right away!\But... If we'd gotten the locket open,\what in the world would've happened?\If my key had opened it...\If... my key hadn't opened it...\If I just went on having feelings for him,\and then found out later that I wasn't his soul mate, response:	how would I feel, I wonder?
context: Hey, I tried to tell you guys right away!\But... If we'd gotten the locket open,\what in the world would've happened?\If my key had opened it...\If... my key hadn't opened it...\If I just went on having feelings for him,\and then found out later that I wasn't his soul mate,\how would I feel, I wonder? response:	I-I know!
context: But... If we'd gotten the locket open,\what in the world would've happened?\If my key had opened it...\If... my key hadn't opened it...\If I just went on having feelings for him,\and then found out later that I wasn't his soul mate,\how would I feel, I wonder?\I-I know! response:	This was something that happened when we were kids.
context: what in the world would've happened?\If my key had opened it...\If... my key hadn't opened it...\If I just went on having feelings for him,\and then found out later that I wasn't his soul mate,\how would I feel, I wonder?\I-I know!\This was something that happened when we were kids. response:	But I can't stop thinking about it.
context: If my key had opened it...\If... my key hadn't opened it...\If I just went on having feelings for him,\and then found out later that I wasn't his soul mate,\how would I feel, I wonder?\I-I know!\This was something that happened when we were kids.\But I can't stop thinking about it. response:	Hey, what am I gonna do? I'm starting to feel uneasy!
context: If... my key hadn't opened it...\If I just went on having feelings for him,\and then found out later that I wasn't his soul mate,\how would I feel, I wonder?\I-I know!\This was something that happened when we were kids.\But I can't stop thinking about it.\Hey, what am I gonna do? I'm starting to feel uneasy! response:	And I still don't even know how I want this to turn out!
context: If I just went on having feelings for him,\and then found out later that I wasn't his soul mate,\how would I feel, I wonder?\I-I know!\This was something that happened when we were kids.\But I can't stop thinking about it.\Hey, what am I gonna do? I'm starting to feel uneasy!\And I still don't even know how I want this to turn out! response:	How do I want it to turn out?
context: and then found out later that I wasn't his soul mate,\how would I feel, I wonder?\I-I know!\This was something that happened when we were kids.\But I can't stop thinking about it.\Hey, what am I gonna do? I'm starting to feel uneasy!\And I still don't even know how I want this to turn out!\How do I want it to turn out? response:	Do I want things to stay the way they are now?
context: how would I feel, I wonder?\I-I know!\This was something that happened when we were kids.\But I can't stop thinking about it.\Hey, what am I gonna do? I'm starting to feel uneasy!\And I still don't even know how I want this to turn out!\How do I want it to turn out?\Do I want things to stay the way they are now? response:	Well, but unless I make a move,
context: I-I know!\This was something that happened when we were kids.\But I can't stop thinking about it.\Hey, what am I gonna do? I'm starting to feel uneasy!\And I still don't even know how I want this to turn out!\How do I want it to turn out?\Do I want things to stay the way they are now?\Well, but unless I make a move, response:	he'll never realize how I feel about him, will he?
context: This was something that happened when we were kids.\But I can't stop thinking about it.\Hey, what am I gonna do? I'm starting to feel uneasy!\And I still don't even know how I want this to turn out!\How do I want it to turn out?\Do I want things to stay the way they are now?\Well, but unless I make a move,\he'll never realize how I feel about him, will he? response:	Hey, Chitoge?
context: But I can't stop thinking about it.\Hey, what am I gonna do? I'm starting to feel uneasy!\And I still don't even know how I want this to turn out!\How do I want it to turn out?\Do I want things to stay the way they are now?\Well, but unless I make a move,\he'll never realize how I feel about him, will he?\Hey, Chitoge? response:	What is it?
context: Hey, what am I gonna do? I'm starting to feel uneasy!\And I still don't even know how I want this to turn out!\How do I want it to turn out?\Do I want things to stay the way they are now?\Well, but unless I make a move,\he'll never realize how I feel about him, will he?\Hey, Chitoge?\What is it? response:	Look, don't you think you're acting kind of weird today?
context: And I still don't even know how I want this to turn out!\How do I want it to turn out?\Do I want things to stay the way they are now?\Well, but unless I make a move,\he'll never realize how I feel about him, will he?\Hey, Chitoge?\What is it?\Look, don't you think you're acting kind of weird today? response:	When I saw your face, I thought, maybe...
context: How do I want it to turn out?\Do I want things to stay the way they are now?\Well, but unless I make a move,\he'll never realize how I feel about him, will he?\Hey, Chitoge?\What is it?\Look, don't you think you're acting kind of weird today?\When I saw your face, I thought, maybe... response:	But are you... just like I thought?
context: Do I want things to stay the way they are now?\Well, but unless I make a move,\he'll never realize how I feel about him, will he?\Hey, Chitoge?\What is it?\Look, don't you think you're acting kind of weird today?\When I saw your face, I thought, maybe...\But are you... just like I thought? response:	No way...
context: Well, but unless I make a move,\he'll never realize how I feel about him, will he?\Hey, Chitoge?\What is it?\Look, don't you think you're acting kind of weird today?\When I saw your face, I thought, maybe...\But are you... just like I thought?\No way... response:	Don't tell me... He noticed?
context: he'll never realize how I feel about him, will he?\Hey, Chitoge?\What is it?\Look, don't you think you're acting kind of weird today?\When I saw your face, I thought, maybe...\But are you... just like I thought?\No way...\Don't tell me... He noticed? response:	How I feel about him?
context: Hey, Chitoge?\What is it?\Look, don't you think you're acting kind of weird today?\When I saw your face, I thought, maybe...\But are you... just like I thought?\No way...\Don't tell me... He noticed?\How I feel about him? response:	I... Did my face really give me away?
context: What is it?\Look, don't you think you're acting kind of weird today?\When I saw your face, I thought, maybe...\But are you... just like I thought?\No way...\Don't tell me... He noticed?\How I feel about him?\I... Did my face really give me away? response:	No, no, no...
context: Look, don't you think you're acting kind of weird today?\When I saw your face, I thought, maybe...\But are you... just like I thought?\No way...\Don't tell me... He noticed?\How I feel about him?\I... Did my face really give me away?\No, no, no... response:	Not this moron of all people, no way would he...
context: When I saw your face, I thought, maybe...\But are you... just like I thought?\No way...\Don't tell me... He noticed?\How I feel about him?\I... Did my face really give me away?\No, no, no...\Not this moron of all people, no way would he... response:	Of course he's going to say something lame.
context: But are you... just like I thought?\No way...\Don't tell me... He noticed?\How I feel about him?\I... Did my face really give me away?\No, no, no...\Not this moron of all people, no way would he...\Of course he's going to say something lame. response:	Seriously...
context: No way...\Don't tell me... He noticed?\How I feel about him?\I... Did my face really give me away?\No, no, no...\Not this moron of all people, no way would he...\Of course he's going to say something lame.\Seriously... response:	why didn't you say something sooner?
context: Don't tell me... He noticed?\How I feel about him?\I... Did my face really give me away?\No, no, no...\Not this moron of all people, no way would he...\Of course he's going to say something lame.\Seriously...\why didn't you say something sooner? response:	You're...
context: How I feel about him?\I... Did my face really give me away?\No, no, no...\Not this moron of all people, no way would he...\Of course he's going to say something lame.\Seriously...\why didn't you say something sooner?\You're... response:	Hungry, aren't you?
context: I... Did my face really give me away?\No, no, no...\Not this moron of all people, no way would he...\Of course he's going to say something lame.\Seriously...\why didn't you say something sooner?\You're...\Hungry, aren't you? response:	I knew it!
context: No, no, no...\Not this moron of all people, no way would he...\Of course he's going to say something lame.\Seriously...\why didn't you say something sooner?\You're...\Hungry, aren't you?\I knew it! response:	I spend so much time with you,
context: Not this moron of all people, no way would he...\Of course he's going to say something lame.\Seriously...\why didn't you say something sooner?\You're...\Hungry, aren't you?\I knew it!\I spend so much time with you, response:	I pretty much know what makes you tick now.
context: Of course he's going to say something lame.\Seriously...\why didn't you say something sooner?\You're...\Hungry, aren't you?\I knew it!\I spend so much time with you,\I pretty much know what makes you tick now. response:	You have this intense look on your face over something,
context: Seriously...\why didn't you say something sooner?\You're...\Hungry, aren't you?\I knew it!\I spend so much time with you,\I pretty much know what makes you tick now.\You have this intense look on your face over something, response:	but when you have that look, it's usually when you're hungry.
context: why didn't you say something sooner?\You're...\Hungry, aren't you?\I knew it!\I spend so much time with you,\I pretty much know what makes you tick now.\You have this intense look on your face over something,\but when you have that look, it's usually when you're hungry. response:	Come to think of it, you didn't have much for lunch, did you?
context: You're...\Hungry, aren't you?\I knew it!\I spend so much time with you,\I pretty much know what makes you tick now.\You have this intense look on your face over something,\but when you have that look, it's usually when you're hungry.\Come to think of it, you didn't have much for lunch, did you? response:	Oh, I get it.
context: Hungry, aren't you?\I knew it!\I spend so much time with you,\I pretty much know what makes you tick now.\You have this intense look on your face over something,\but when you have that look, it's usually when you're hungry.\Come to think of it, you didn't have much for lunch, did you?\Oh, I get it. response:	You're on a diet, right?
context: I knew it!\I spend so much time with you,\I pretty much know what makes you tick now.\You have this intense look on your face over something,\but when you have that look, it's usually when you're hungry.\Come to think of it, you didn't have much for lunch, did you?\Oh, I get it.\You're on a diet, right? response:	You moron!
context: I spend so much time with you,\I pretty much know what makes you tick now.\You have this intense look on your face over something,\but when you have that look, it's usually when you're hungry.\Come to think of it, you didn't have much for lunch, did you?\Oh, I get it.\You're on a diet, right?\You moron! response:	All right...
context: I pretty much know what makes you tick now.\You have this intense look on your face over something,\but when you have that look, it's usually when you're hungry.\Come to think of it, you didn't have much for lunch, did you?\Oh, I get it.\You're on a diet, right?\You moron!\All right... response:	Oh, well!
context: You have this intense look on your face over something,\but when you have that look, it's usually when you're hungry.\Come to think of it, you didn't have much for lunch, did you?\Oh, I get it.\You're on a diet, right?\You moron!\All right...\Oh, well! response:	I'll think about the complicated stuff later.
context: but when you have that look, it's usually when you're hungry.\Come to think of it, you didn't have much for lunch, did you?\Oh, I get it.\You're on a diet, right?\You moron!\All right...\Oh, well!\I'll think about the complicated stuff later. response:	Hey, treat me to ramen again!
context: Come to think of it, you didn't have much for lunch, did you?\Oh, I get it.\You're on a diet, right?\You moron!\All right...\Oh, well!\I'll think about the complicated stuff later.\Hey, treat me to ramen again! response:	Why should I...?
context: Oh, I get it.\You're on a diet, right?\You moron!\All right...\Oh, well!\I'll think about the complicated stuff later.\Hey, treat me to ramen again!\Why should I...? response:	Wait, so you are hungry after all!
context: You're on a diet, right?\You moron!\All right...\Oh, well!\I'll think about the complicated stuff later.\Hey, treat me to ramen again!\Why should I...?\Wait, so you are hungry after all! response:	Never mind that!
context: You moron!\All right...\Oh, well!\I'll think about the complicated stuff later.\Hey, treat me to ramen again!\Why should I...?\Wait, so you are hungry after all!\Never mind that! response:	Please Notice
context: All right...\Oh, well!\I'll think about the complicated stuff later.\Hey, treat me to ramen again!\Why should I...?\Wait, so you are hungry after all!\Never mind that!\Please Notice response:	My lips are so dry these days.
context: Oh, well!\I'll think about the complicated stuff later.\Hey, treat me to ramen again!\Why should I...?\Wait, so you are hungry after all!\Never mind that!\Please Notice\My lips are so dry these days. response:	Chitogecchi, don't you wear lip gloss?
context: I'll think about the complicated stuff later.\Hey, treat me to ramen again!\Why should I...?\Wait, so you are hungry after all!\Never mind that!\Please Notice\My lips are so dry these days.\Chitogecchi, don't you wear lip gloss? response:	Lip gloss?
context: Hey, treat me to ramen again!\Why should I...?\Wait, so you are hungry after all!\Never mind that!\Please Notice\My lips are so dry these days.\Chitogecchi, don't you wear lip gloss?\Lip gloss? response:	Hold on a second! I'll lend you mine.
context: Why should I...?\Wait, so you are hungry after all!\Never mind that!\Please Notice\My lips are so dry these days.\Chitogecchi, don't you wear lip gloss?\Lip gloss?\Hold on a second! I'll lend you mine. response:	Ta-da!
context: Wait, so you are hungry after all!\Never mind that!\Please Notice\My lips are so dry these days.\Chitogecchi, don't you wear lip gloss?\Lip gloss?\Hold on a second! I'll lend you mine.\Ta-da! response:	I bought this lip gloss the other day.
context: Never mind that!\Please Notice\My lips are so dry these days.\Chitogecchi, don't you wear lip gloss?\Lip gloss?\Hold on a second! I'll lend you mine.\Ta-da!\I bought this lip gloss the other day. response:	You know, the kind that makes your lips all supple!
context: Please Notice\My lips are so dry these days.\Chitogecchi, don't you wear lip gloss?\Lip gloss?\Hold on a second! I'll lend you mine.\Ta-da!\I bought this lip gloss the other day.\You know, the kind that makes your lips all supple! response:	Go on, try it!
context: My lips are so dry these days.\Chitogecchi, don't you wear lip gloss?\Lip gloss?\Hold on a second! I'll lend you mine.\Ta-da!\I bought this lip gloss the other day.\You know, the kind that makes your lips all supple!\Go on, try it! response:	Okay!
context: Chitogecchi, don't you wear lip gloss?\Lip gloss?\Hold on a second! I'll lend you mine.\Ta-da!\I bought this lip gloss the other day.\You know, the kind that makes your lips all supple!\Go on, try it!\Okay! response:	Hey, you look totally adorable!
context: Lip gloss?\Hold on a second! I'll lend you mine.\Ta-da!\I bought this lip gloss the other day.\You know, the kind that makes your lips all supple!\Go on, try it!\Okay!\Hey, you look totally adorable! response:	You really look good with it on, Chitoge!
context: Hold on a second! I'll lend you mine.\Ta-da!\I bought this lip gloss the other day.\You know, the kind that makes your lips all supple!\Go on, try it!\Okay!\Hey, you look totally adorable!\You really look good with it on, Chitoge! response:	Y-You think so?
context: Ta-da!\I bought this lip gloss the other day.\You know, the kind that makes your lips all supple!\Go on, try it!\Okay!\Hey, you look totally adorable!\You really look good with it on, Chitoge!\Y-You think so? response:	Yes! Yes!
context: I bought this lip gloss the other day.\You know, the kind that makes your lips all supple!\Go on, try it!\Okay!\Hey, you look totally adorable!\You really look good with it on, Chitoge!\Y-You think so?\Yes! Yes! response:	You look so good, you're making me jealous!
context: You know, the kind that makes your lips all supple!\Go on, try it!\Okay!\Hey, you look totally adorable!\You really look good with it on, Chitoge!\Y-You think so?\Yes! Yes!\You look so good, you're making me jealous! response:	So cute!
context: Go on, try it!\Okay!\Hey, you look totally adorable!\You really look good with it on, Chitoge!\Y-You think so?\Yes! Yes!\You look so good, you're making me jealous!\So cute! response:	Dammit! Curse you and your model's face...
context: Okay!\Hey, you look totally adorable!\You really look good with it on, Chitoge!\Y-You think so?\Yes! Yes!\You look so good, you're making me jealous!\So cute!\Dammit! Curse you and your model's face... response:	You rock anything you wear, damn you!
context: Hey, you look totally adorable!\You really look good with it on, Chitoge!\Y-You think so?\Yes! Yes!\You look so good, you're making me jealous!\So cute!\Dammit! Curse you and your model's face...\You rock anything you wear, damn you! response:	Hey! Ouch, ouch!
context: You really look good with it on, Chitoge!\Y-You think so?\Yes! Yes!\You look so good, you're making me jealous!\So cute!\Dammit! Curse you and your model's face...\You rock anything you wear, damn you!\Hey! Ouch, ouch! response:	Why you little...
context: Y-You think so?\Yes! Yes!\You look so good, you're making me jealous!\So cute!\Dammit! Curse you and your model's face...\You rock anything you wear, damn you!\Hey! Ouch, ouch!\Why you little... response:	S-Stop!
context: Yes! Yes!\You look so good, you're making me jealous!\So cute!\Dammit! Curse you and your model's face...\You rock anything you wear, damn you!\Hey! Ouch, ouch!\Why you little...\S-Stop! response:	If you like it, you can have it.
context: You look so good, you're making me jealous!\So cute!\Dammit! Curse you and your model's face...\You rock anything you wear, damn you!\Hey! Ouch, ouch!\Why you little...\S-Stop!\If you like it, you can have it. response:	Are you sure?
context: So cute!\Dammit! Curse you and your model's face...\You rock anything you wear, damn you!\Hey! Ouch, ouch!\Why you little...\S-Stop!\If you like it, you can have it.\Are you sure? response:	Yeah. To be honest, I didn't know what to do with it.
context: Dammit! Curse you and your model's face...\You rock anything you wear, damn you!\Hey! Ouch, ouch!\Why you little...\S-Stop!\If you like it, you can have it.\Are you sure?\Yeah. To be honest, I didn't know what to do with it. response:	And besides, you look better in it, Chitogecchi.
context: You rock anything you wear, damn you!\Hey! Ouch, ouch!\Why you little...\S-Stop!\If you like it, you can have it.\Are you sure?\Yeah. To be honest, I didn't know what to do with it.\And besides, you look better in it, Chitogecchi. response:	It's gonna make Ichijo go all weak at the knees, huh?
context: Hey! Ouch, ouch!\Why you little...\S-Stop!\If you like it, you can have it.\Are you sure?\Yeah. To be honest, I didn't know what to do with it.\And besides, you look better in it, Chitogecchi.\It's gonna make Ichijo go all weak at the knees, huh? response:	Go ahead and put it on again tomorrow.
context: Why you little...\S-Stop!\If you like it, you can have it.\Are you sure?\Yeah. To be honest, I didn't know what to do with it.\And besides, you look better in it, Chitogecchi.\It's gonna make Ichijo go all weak at the knees, huh?\Go ahead and put it on again tomorrow. response:	I-Is that right?
context: S-Stop!\If you like it, you can have it.\Are you sure?\Yeah. To be honest, I didn't know what to do with it.\And besides, you look better in it, Chitogecchi.\It's gonna make Ichijo go all weak at the knees, huh?\Go ahead and put it on again tomorrow.\I-Is that right? response:	Will he think I look cute?
context: If you like it, you can have it.\Are you sure?\Yeah. To be honest, I didn't know what to do with it.\And besides, you look better in it, Chitogecchi.\It's gonna make Ichijo go all weak at the knees, huh?\Go ahead and put it on again tomorrow.\I-Is that right?\Will he think I look cute? response:	But he...
context: Are you sure?\Yeah. To be honest, I didn't know what to do with it.\And besides, you look better in it, Chitogecchi.\It's gonna make Ichijo go all weak at the knees, huh?\Go ahead and put it on again tomorrow.\I-Is that right?\Will he think I look cute?\But he... response:	He couldn't be more dense, so...
context: Yeah. To be honest, I didn't know what to do with it.\And besides, you look better in it, Chitogecchi.\It's gonna make Ichijo go all weak at the knees, huh?\Go ahead and put it on again tomorrow.\I-Is that right?\Will he think I look cute?\But he...\He couldn't be more dense, so... response:	M-Morning, darling!
context: And besides, you look better in it, Chitogecchi.\It's gonna make Ichijo go all weak at the knees, huh?\Go ahead and put it on again tomorrow.\I-Is that right?\Will he think I look cute?\But he...\He couldn't be more dense, so...\M-Morning, darling! response:	Hey, morning, honey.
context: It's gonna make Ichijo go all weak at the knees, huh?\Go ahead and put it on again tomorrow.\I-Is that right?\Will he think I look cute?\But he...\He couldn't be more dense, so...\M-Morning, darling!\Hey, morning, honey. response:	Hey, it's even chillier than usual today, huh?
context: Go ahead and put it on again tomorrow.\I-Is that right?\Will he think I look cute?\But he...\He couldn't be more dense, so...\M-Morning, darling!\Hey, morning, honey.\Hey, it's even chillier than usual today, huh? response:	Wh-What did we have for first period again today?
context: I-Is that right?\Will he think I look cute?\But he...\He couldn't be more dense, so...\M-Morning, darling!\Hey, morning, honey.\Hey, it's even chillier than usual today, huh?\Wh-What did we have for first period again today? response:	English, I think.
context: Will he think I look cute?\But he...\He couldn't be more dense, so...\M-Morning, darling!\Hey, morning, honey.\Hey, it's even chillier than usual today, huh?\Wh-What did we have for first period again today?\English, I think. response:	I don't think there was any homework.
context: But he...\He couldn't be more dense, so...\M-Morning, darling!\Hey, morning, honey.\Hey, it's even chillier than usual today, huh?\Wh-What did we have for first period again today?\English, I think.\I don't think there was any homework. response:	Well, he missed it spectacularly, didn't he now?
context: He couldn't be more dense, so...\M-Morning, darling!\Hey, morning, honey.\Hey, it's even chillier than usual today, huh?\Wh-What did we have for first period again today?\English, I think.\I don't think there was any homework.\Well, he missed it spectacularly, didn't he now? response:	Although I did expect as much.
context: M-Morning, darling!\Hey, morning, honey.\Hey, it's even chillier than usual today, huh?\Wh-What did we have for first period again today?\English, I think.\I don't think there was any homework.\Well, he missed it spectacularly, didn't he now?\Although I did expect as much. response:	C-Come to think of it, you know winter's...
context: Hey, morning, honey.\Hey, it's even chillier than usual today, huh?\Wh-What did we have for first period again today?\English, I think.\I don't think there was any homework.\Well, he missed it spectacularly, didn't he now?\Although I did expect as much.\C-Come to think of it, you know winter's... response:	It is the season for feeling dry, isn't it?
context: Hey, it's even chillier than usual today, huh?\Wh-What did we have for first period again today?\English, I think.\I don't think there was any homework.\Well, he missed it spectacularly, didn't he now?\Although I did expect as much.\C-Come to think of it, you know winter's...\It is the season for feeling dry, isn't it? response:	What's that all of a sudden?
context: Wh-What did we have for first period again today?\English, I think.\I don't think there was any homework.\Well, he missed it spectacularly, didn't he now?\Although I did expect as much.\C-Come to think of it, you know winter's...\It is the season for feeling dry, isn't it?\What's that all of a sudden? response:	Well, uh... I was thinking how dry my lips get.
context: English, I think.\I don't think there was any homework.\Well, he missed it spectacularly, didn't he now?\Although I did expect as much.\C-Come to think of it, you know winter's...\It is the season for feeling dry, isn't it?\What's that all of a sudden?\Well, uh... I was thinking how dry my lips get. response:	Lips?
context: I don't think there was any homework.\Well, he missed it spectacularly, didn't he now?\Although I did expect as much.\C-Come to think of it, you know winter's...\It is the season for feeling dry, isn't it?\What's that all of a sudden?\Well, uh... I was thinking how dry my lips get.\Lips? response:	Yeah, I hear you!
context: Well, he missed it spectacularly, didn't he now?\Although I did expect as much.\C-Come to think of it, you know winter's...\It is the season for feeling dry, isn't it?\What's that all of a sudden?\Well, uh... I was thinking how dry my lips get.\Lips?\Yeah, I hear you! response:	My lips always get chapped in winter,
context: Although I did expect as much.\C-Come to think of it, you know winter's...\It is the season for feeling dry, isn't it?\What's that all of a sudden?\Well, uh... I was thinking how dry my lips get.\Lips?\Yeah, I hear you!\My lips always get chapped in winter, response:	and I'm like, Ouch! and there's blood.
context: C-Come to think of it, you know winter's...\It is the season for feeling dry, isn't it?\What's that all of a sudden?\Well, uh... I was thinking how dry my lips get.\Lips?\Yeah, I hear you!\My lips always get chapped in winter,\and I'm like, Ouch! and there's blood. response:	And it takes forever to heal, you know?
context: It is the season for feeling dry, isn't it?\What's that all of a sudden?\Well, uh... I was thinking how dry my lips get.\Lips?\Yeah, I hear you!\My lips always get chapped in winter,\and I'm like, Ouch! and there's blood.\And it takes forever to heal, you know? response:	What? Notice them!
context: What's that all of a sudden?\Well, uh... I was thinking how dry my lips get.\Lips?\Yeah, I hear you!\My lips always get chapped in winter,\and I'm like, Ouch! and there's blood.\And it takes forever to heal, you know?\What? Notice them! response:	Come on, I practically shoved them in your face!
context: Well, uh... I was thinking how dry my lips get.\Lips?\Yeah, I hear you!\My lips always get chapped in winter,\and I'm like, Ouch! and there's blood.\And it takes forever to heal, you know?\What? Notice them!\Come on, I practically shoved them in your face! response:	Why, you...! What are you gonna do about this tiny courage I've mustered...
context: Lips?\Yeah, I hear you!\My lips always get chapped in winter,\and I'm like, Ouch! and there's blood.\And it takes forever to heal, you know?\What? Notice them!\Come on, I practically shoved them in your face!\Why, you...! What are you gonna do about this tiny courage I've mustered... response:	Come on! Are you trying to tell me I'm not even a speck in your eye?
context: Yeah, I hear you!\My lips always get chapped in winter,\and I'm like, Ouch! and there's blood.\And it takes forever to heal, you know?\What? Notice them!\Come on, I practically shoved them in your face!\Why, you...! What are you gonna do about this tiny courage I've mustered...\Come on! Are you trying to tell me I'm not even a speck in your eye? response:	Dammit! I'm not gonna let it end like this, you know!
context: My lips always get chapped in winter,\and I'm like, Ouch! and there's blood.\And it takes forever to heal, you know?\What? Notice them!\Come on, I practically shoved them in your face!\Why, you...! What are you gonna do about this tiny courage I've mustered...\Come on! Are you trying to tell me I'm not even a speck in your eye?\Dammit! I'm not gonna let it end like this, you know! response:	Oh, good morning, Chitoge!
context: and I'm like, Ouch! and there's blood.\And it takes forever to heal, you know?\What? Notice them!\Come on, I practically shoved them in your face!\Why, you...! What are you gonna do about this tiny courage I've mustered...\Come on! Are you trying to tell me I'm not even a speck in your eye?\Dammit! I'm not gonna let it end like this, you know!\Oh, good morning, Chitoge! response:	Huh? You're wearing lip gloss today, Chitoge!
context: And it takes forever to heal, you know?\What? Notice them!\Come on, I practically shoved them in your face!\Why, you...! What are you gonna do about this tiny courage I've mustered...\Come on! Are you trying to tell me I'm not even a speck in your eye?\Dammit! I'm not gonna let it end like this, you know!\Oh, good morning, Chitoge!\Huh? You're wearing lip gloss today, Chitoge! response:	You look so cute!
context: What? Notice them!\Come on, I practically shoved them in your face!\Why, you...! What are you gonna do about this tiny courage I've mustered...\Come on! Are you trying to tell me I'm not even a speck in your eye?\Dammit! I'm not gonna let it end like this, you know!\Oh, good morning, Chitoge!\Huh? You're wearing lip gloss today, Chitoge!\You look so cute! response:	Now that it's come to this, I'm gonna make him notice or die trying!
context: Come on, I practically shoved them in your face!\Why, you...! What are you gonna do about this tiny courage I've mustered...\Come on! Are you trying to tell me I'm not even a speck in your eye?\Dammit! I'm not gonna let it end like this, you know!\Oh, good morning, Chitoge!\Huh? You're wearing lip gloss today, Chitoge!\You look so cute!\Now that it's come to this, I'm gonna make him notice or die trying! response:	But lip gloss alone isn't gonna cut it for that oblivious fool.
