context: I said, do whatever you like! response:	It's not like I like Koizumi or anything.
context: Yeah...\In the end I guess it's Otani-kun who holds the key to all this.\Darling, why don't you give him a push?\No, no. Let's just leave the youngsters to their own devices.\If we leave these two alone,\Too true...\Indeed.\Push him down... response:	Push him down and claim him as your own!
context: In the end I guess it's Otani-kun who holds the key to all this.\Darling, why don't you give him a push?\No, no. Let's just leave the youngsters to their own devices.\If we leave these two alone,\Too true...\Indeed.\Push him down...\Push him down and claim him as your own! response:	If you don't, I will!
context: Darling, why don't you give him a push?\No, no. Let's just leave the youngsters to their own devices.\If we leave these two alone,\Too true...\Indeed.\Push him down...\Push him down and claim him as your own!\If you don't, I will! response:	What the heck?!
context: No, no. Let's just leave the youngsters to their own devices.\If we leave these two alone,\Too true...\Indeed.\Push him down...\Push him down and claim him as your own!\If you don't, I will!\What the heck?! response:	It annoys me just watching you two!
context: If we leave these two alone,\Too true...\Indeed.\Push him down...\Push him down and claim him as your own!\If you don't, I will!\What the heck?!\It annoys me just watching you two! response:	If you're going to get together, hurry up and do it!
context: Too true...\Indeed.\Push him down...\Push him down and claim him as your own!\If you don't, I will!\What the heck?!\It annoys me just watching you two!\If you're going to get together, hurry up and do it! response:	Don't be ridiculous!
context: Indeed.\Push him down...\Push him down and claim him as your own!\If you don't, I will!\What the heck?!\It annoys me just watching you two!\If you're going to get together, hurry up and do it!\Don't be ridiculous! response:	It's easier said than done!
context: Push him down...\Push him down and claim him as your own!\If you don't, I will!\What the heck?!\It annoys me just watching you two!\If you're going to get together, hurry up and do it!\Don't be ridiculous!\It's easier said than done! response:	It is easy!
context: Push him down and claim him as your own!\If you don't, I will!\What the heck?!\It annoys me just watching you two!\If you're going to get together, hurry up and do it!\Don't be ridiculous!\It's easier said than done!\It is easy! response:	It is not!
context: If you don't, I will!\What the heck?!\It annoys me just watching you two!\If you're going to get together, hurry up and do it!\Don't be ridiculous!\It's easier said than done!\It is easy!\It is not! response:	It's fine. I've decided I'm not going to hold on to any hope.
context: What the heck?!\It annoys me just watching you two!\If you're going to get together, hurry up and do it!\Don't be ridiculous!\It's easier said than done!\It is easy!\It is not!\It's fine. I've decided I'm not going to hold on to any hope. response:	No hope?
context: It annoys me just watching you two!\If you're going to get together, hurry up and do it!\Don't be ridiculous!\It's easier said than done!\It is easy!\It is not!\It's fine. I've decided I'm not going to hold on to any hope.\No hope? response:	But you haven't given up, have you?
context: If you're going to get together, hurry up and do it!\Don't be ridiculous!\It's easier said than done!\It is easy!\It is not!\It's fine. I've decided I'm not going to hold on to any hope.\No hope?\But you haven't given up, have you? response:	Bullseye
context: Don't be ridiculous!\It's easier said than done!\It is easy!\It is not!\It's fine. I've decided I'm not going to hold on to any hope.\No hope?\But you haven't given up, have you?\Bullseye response:	What's that?
context: It's easier said than done!\It is easy!\It is not!\It's fine. I've decided I'm not going to hold on to any hope.\No hope?\But you haven't given up, have you?\Bullseye\What's that? response:	Don't tell me you're just going to wait like that until Otani confesses?
context: It is easy!\It is not!\It's fine. I've decided I'm not going to hold on to any hope.\No hope?\But you haven't given up, have you?\Bullseye\What's that?\Don't tell me you're just going to wait like that until Otani confesses? response:	That's a little...
context: It is not!\It's fine. I've decided I'm not going to hold on to any hope.\No hope?\But you haven't given up, have you?\Bullseye\What's that?\Don't tell me you're just going to wait like that until Otani confesses?\That's a little... response:	Well...
context: It's fine. I've decided I'm not going to hold on to any hope.\No hope?\But you haven't given up, have you?\Bullseye\What's that?\Don't tell me you're just going to wait like that until Otani confesses?\That's a little...\Well... response:	Ah. Otani-kun!
context: No hope?\But you haven't given up, have you?\Bullseye\What's that?\Don't tell me you're just going to wait like that until Otani confesses?\That's a little...\Well...\Ah. Otani-kun! response:	Good morning!
context: But you haven't given up, have you?\Bullseye\What's that?\Don't tell me you're just going to wait like that until Otani confesses?\That's a little...\Well...\Ah. Otani-kun!\Good morning! response:	Waiting for that guy to take the initiative is like going fishing in a swimming pool.
context: Bullseye\What's that?\Don't tell me you're just going to wait like that until Otani confesses?\That's a little...\Well...\Ah. Otani-kun!\Good morning!\Waiting for that guy to take the initiative is like going fishing in a swimming pool. response:	But there might be koi swimming in there.
context: What's that?\Don't tell me you're just going to wait like that until Otani confesses?\That's a little...\Well...\Ah. Otani-kun!\Good morning!\Waiting for that guy to take the initiative is like going fishing in a swimming pool.\But there might be koi swimming in there. response:	What kind of pool are you thinking of?
context: Don't tell me you're just going to wait like that until Otani confesses?\That's a little...\Well...\Ah. Otani-kun!\Good morning!\Waiting for that guy to take the initiative is like going fishing in a swimming pool.\But there might be koi swimming in there.\What kind of pool are you thinking of? response:	What's going on? You seem to be in a good mood.
context: That's a little...\Well...\Ah. Otani-kun!\Good morning!\Waiting for that guy to take the initiative is like going fishing in a swimming pool.\But there might be koi swimming in there.\What kind of pool are you thinking of?\What's going on? You seem to be in a good mood. response:	We'll find out the tournament draw tomorrow.
context: Well...\Ah. Otani-kun!\Good morning!\Waiting for that guy to take the initiative is like going fishing in a swimming pool.\But there might be koi swimming in there.\What kind of pool are you thinking of?\What's going on? You seem to be in a good mood.\We'll find out the tournament draw tomorrow. response:	Ah, for basketball?
context: Ah. Otani-kun!\Good morning!\Waiting for that guy to take the initiative is like going fishing in a swimming pool.\But there might be koi swimming in there.\What kind of pool are you thinking of?\What's going on? You seem to be in a good mood.\We'll find out the tournament draw tomorrow.\Ah, for basketball? response:	Yeah. It's our last big competition.
context: Good morning!\Waiting for that guy to take the initiative is like going fishing in a swimming pool.\But there might be koi swimming in there.\What kind of pool are you thinking of?\What's going on? You seem to be in a good mood.\We'll find out the tournament draw tomorrow.\Ah, for basketball?\Yeah. It's our last big competition. response:	I'm really looking forward to it.
context: Waiting for that guy to take the initiative is like going fishing in a swimming pool.\But there might be koi swimming in there.\What kind of pool are you thinking of?\What's going on? You seem to be in a good mood.\We'll find out the tournament draw tomorrow.\Ah, for basketball?\Yeah. It's our last big competition.\I'm really looking forward to it. response:	Hey, hey, come shopping with me after school.
context: But there might be koi swimming in there.\What kind of pool are you thinking of?\What's going on? You seem to be in a good mood.\We'll find out the tournament draw tomorrow.\Ah, for basketball?\Yeah. It's our last big competition.\I'm really looking forward to it.\Hey, hey, come shopping with me after school. response:	Okay, sure.
context: What kind of pool are you thinking of?\What's going on? You seem to be in a good mood.\We'll find out the tournament draw tomorrow.\Ah, for basketball?\Yeah. It's our last big competition.\I'm really looking forward to it.\Hey, hey, come shopping with me after school.\Okay, sure. response:	What happens if we fluke it to the finals?
context: What's going on? You seem to be in a good mood.\We'll find out the tournament draw tomorrow.\Ah, for basketball?\Yeah. It's our last big competition.\I'm really looking forward to it.\Hey, hey, come shopping with me after school.\Okay, sure.\What happens if we fluke it to the finals? response:	Don't be silly.
context: We'll find out the tournament draw tomorrow.\Ah, for basketball?\Yeah. It's our last big competition.\I'm really looking forward to it.\Hey, hey, come shopping with me after school.\Okay, sure.\What happens if we fluke it to the finals?\Don't be silly. response:	When I go for it, I really go for it.
context: Ah, for basketball?\Yeah. It's our last big competition.\I'm really looking forward to it.\Hey, hey, come shopping with me after school.\Okay, sure.\What happens if we fluke it to the finals?\Don't be silly.\When I go for it, I really go for it. response:	I can't be held responsible if you fall for me again.
context: Yeah. It's our last big competition.\I'm really looking forward to it.\Hey, hey, come shopping with me after school.\Okay, sure.\What happens if we fluke it to the finals?\Don't be silly.\When I go for it, I really go for it.\I can't be held responsible if you fall for me again. response:	Just kidding.
context: I'm really looking forward to it.\Hey, hey, come shopping with me after school.\Okay, sure.\What happens if we fluke it to the finals?\Don't be silly.\When I go for it, I really go for it.\I can't be held responsible if you fall for me again.\Just kidding. response:	You're an idiot.
context: Hey, hey, come shopping with me after school.\Okay, sure.\What happens if we fluke it to the finals?\Don't be silly.\When I go for it, I really go for it.\I can't be held responsible if you fall for me again.\Just kidding.\You're an idiot. response:	It was a joke, a joke.
context: Okay, sure.\What happens if we fluke it to the finals?\Don't be silly.\When I go for it, I really go for it.\I can't be held responsible if you fall for me again.\Just kidding.\You're an idiot.\It was a joke, a joke. response:	You really are an idiot.
context: What happens if we fluke it to the finals?\Don't be silly.\When I go for it, I really go for it.\I can't be held responsible if you fall for me again.\Just kidding.\You're an idiot.\It was a joke, a joke.\You really are an idiot. response:	Still, at the end of the day, I just can't give up.
context: Don't be silly.\When I go for it, I really go for it.\I can't be held responsible if you fall for me again.\Just kidding.\You're an idiot.\It was a joke, a joke.\You really are an idiot.\Still, at the end of the day, I just can't give up. response:	Hey, Otani...
context: When I go for it, I really go for it.\I can't be held responsible if you fall for me again.\Just kidding.\You're an idiot.\It was a joke, a joke.\You really are an idiot.\Still, at the end of the day, I just can't give up.\Hey, Otani... response:	Is it... is it so bad if I hold on to just a little bit of hope?
context: I can't be held responsible if you fall for me again.\Just kidding.\You're an idiot.\It was a joke, a joke.\You really are an idiot.\Still, at the end of the day, I just can't give up.\Hey, Otani...\Is it... is it so bad if I hold on to just a little bit of hope? response:	Gather'round!
context: Just kidding.\You're an idiot.\It was a joke, a joke.\You really are an idiot.\Still, at the end of the day, I just can't give up.\Hey, Otani...\Is it... is it so bad if I hold on to just a little bit of hope?\Gather'round! response:	Our goal is... the finals!
context: You're an idiot.\It was a joke, a joke.\You really are an idiot.\Still, at the end of the day, I just can't give up.\Hey, Otani...\Is it... is it so bad if I hold on to just a little bit of hope?\Gather'round!\Our goal is... the finals! response:	They're a little too energetic, huh?
context: It was a joke, a joke.\You really are an idiot.\Still, at the end of the day, I just can't give up.\Hey, Otani...\Is it... is it so bad if I hold on to just a little bit of hope?\Gather'round!\Our goal is... the finals!\They're a little too energetic, huh? response:	What's the matter?
context: You really are an idiot.\Still, at the end of the day, I just can't give up.\Hey, Otani...\Is it... is it so bad if I hold on to just a little bit of hope?\Gather'round!\Our goal is... the finals!\They're a little too energetic, huh?\What's the matter? response:	My darling is just a bench warmer...
context: Still, at the end of the day, I just can't give up.\Hey, Otani...\Is it... is it so bad if I hold on to just a little bit of hope?\Gather'round!\Our goal is... the finals!\They're a little too energetic, huh?\What's the matter?\My darling is just a bench warmer... response:	You're still going to cheer for them, right?
context: Hey, Otani...\Is it... is it so bad if I hold on to just a little bit of hope?\Gather'round!\Our goal is... the finals!\They're a little too energetic, huh?\What's the matter?\My darling is just a bench warmer...\You're still going to cheer for them, right? response:	Well, yeah... but...
context: Is it... is it so bad if I hold on to just a little bit of hope?\Gather'round!\Our goal is... the finals!\They're a little too energetic, huh?\What's the matter?\My darling is just a bench warmer...\You're still going to cheer for them, right?\Well, yeah... but... response:	Really? You're going to come and watch us?
context: Gather'round!\Our goal is... the finals!\They're a little too energetic, huh?\What's the matter?\My darling is just a bench warmer...\You're still going to cheer for them, right?\Well, yeah... but...\Really? You're going to come and watch us? response:	Darling!
context: Our goal is... the finals!\They're a little too energetic, huh?\What's the matter?\My darling is just a bench warmer...\You're still going to cheer for them, right?\Well, yeah... but...\Really? You're going to come and watch us?\Darling! response:	Nakao-chi.
context: They're a little too energetic, huh?\What's the matter?\My darling is just a bench warmer...\You're still going to cheer for them, right?\Well, yeah... but...\Really? You're going to come and watch us?\Darling!\Nakao-chi. response:	Hey, what's that?
context: What's the matter?\My darling is just a bench warmer...\You're still going to cheer for them, right?\Well, yeah... but...\Really? You're going to come and watch us?\Darling!\Nakao-chi.\Hey, what's that? response:	The competition draw.
context: My darling is just a bench warmer...\You're still going to cheer for them, right?\Well, yeah... but...\Really? You're going to come and watch us?\Darling!\Nakao-chi.\Hey, what's that?\The competition draw. response:	Oh? Lemme see, lemme see.
context: You're still going to cheer for them, right?\Well, yeah... but...\Really? You're going to come and watch us?\Darling!\Nakao-chi.\Hey, what's that?\The competition draw.\Oh? Lemme see, lemme see. response:	It's amazing.
context: Well, yeah... but...\Really? You're going to come and watch us?\Darling!\Nakao-chi.\Hey, what's that?\The competition draw.\Oh? Lemme see, lemme see.\It's amazing. response:	Hey, hey, since we're all going, let's invite Chiharu-chan...
context: Really? You're going to come and watch us?\Darling!\Nakao-chi.\Hey, what's that?\The competition draw.\Oh? Lemme see, lemme see.\It's amazing.\Hey, hey, since we're all going, let's invite Chiharu-chan... response:	Oh, good idea!
context: Darling!\Nakao-chi.\Hey, what's that?\The competition draw.\Oh? Lemme see, lemme see.\It's amazing.\Hey, hey, since we're all going, let's invite Chiharu-chan...\Oh, good idea! response:	Wh-Wh-Wh-What?!
context: Nakao-chi.\Hey, what's that?\The competition draw.\Oh? Lemme see, lemme see.\It's amazing.\Hey, hey, since we're all going, let's invite Chiharu-chan...\Oh, good idea!\Wh-Wh-Wh-What?! response:	What's going on?
context: Hey, what's that?\The competition draw.\Oh? Lemme see, lemme see.\It's amazing.\Hey, hey, since we're all going, let's invite Chiharu-chan...\Oh, good idea!\Wh-Wh-Wh-What?!\What's going on? response:	Oh, our first opponents are last year's champions. They're real veterans.
context: The competition draw.\Oh? Lemme see, lemme see.\It's amazing.\Hey, hey, since we're all going, let's invite Chiharu-chan...\Oh, good idea!\Wh-Wh-Wh-What?!\What's going on?\Oh, our first opponents are last year's champions. They're real veterans. response:	It's all over.
context: Oh? Lemme see, lemme see.\It's amazing.\Hey, hey, since we're all going, let's invite Chiharu-chan...\Oh, good idea!\Wh-Wh-Wh-What?!\What's going on?\Oh, our first opponents are last year's champions. They're real veterans.\It's all over. response:	I thought you were going for the finals.
context: It's amazing.\Hey, hey, since we're all going, let's invite Chiharu-chan...\Oh, good idea!\Wh-Wh-Wh-What?!\What's going on?\Oh, our first opponents are last year's champions. They're real veterans.\It's all over.\I thought you were going for the finals. response:	Impossible. Impossible.
context: Hey, hey, since we're all going, let's invite Chiharu-chan...\Oh, good idea!\Wh-Wh-Wh-What?!\What's going on?\Oh, our first opponents are last year's champions. They're real veterans.\It's all over.\I thought you were going for the finals.\Impossible. Impossible. response:	Oh no. He's turned into a robot.
context: Oh, good idea!\Wh-Wh-Wh-What?!\What's going on?\Oh, our first opponents are last year's champions. They're real veterans.\It's all over.\I thought you were going for the finals.\Impossible. Impossible.\Oh no. He's turned into a robot. response:	No good. This is no good.
context: Wh-Wh-Wh-What?!\What's going on?\Oh, our first opponents are last year's champions. They're real veterans.\It's all over.\I thought you were going for the finals.\Impossible. Impossible.\Oh no. He's turned into a robot.\No good. This is no good. response:	His spirit left his body...
context: What's going on?\Oh, our first opponents are last year's champions. They're real veterans.\It's all over.\I thought you were going for the finals.\Impossible. Impossible.\Oh no. He's turned into a robot.\No good. This is no good.\His spirit left his body... response:	Okay! Let's do this!
context: Oh, our first opponents are last year's champions. They're real veterans.\It's all over.\I thought you were going for the finals.\Impossible. Impossible.\Oh no. He's turned into a robot.\No good. This is no good.\His spirit left his body...\Okay! Let's do this! response:	Despite what people may think, you're actually quite timid, aren't you, Koizumi-san?
context: It's all over.\I thought you were going for the finals.\Impossible. Impossible.\Oh no. He's turned into a robot.\No good. This is no good.\His spirit left his body...\Okay! Let's do this!\Despite what people may think, you're actually quite timid, aren't you, Koizumi-san? response:	That's right.
context: I thought you were going for the finals.\Impossible. Impossible.\Oh no. He's turned into a robot.\No good. This is no good.\His spirit left his body...\Okay! Let's do this!\Despite what people may think, you're actually quite timid, aren't you, Koizumi-san?\That's right. response:	As Maity said, I'm just afraid to find out what Otani is really thinking.
context: Impossible. Impossible.\Oh no. He's turned into a robot.\No good. This is no good.\His spirit left his body...\Okay! Let's do this!\Despite what people may think, you're actually quite timid, aren't you, Koizumi-san?\That's right.\As Maity said, I'm just afraid to find out what Otani is really thinking. response:	Please dip the lemons in honey, okay?
context: Oh no. He's turned into a robot.\No good. This is no good.\His spirit left his body...\Okay! Let's do this!\Despite what people may think, you're actually quite timid, aren't you, Koizumi-san?\That's right.\As Maity said, I'm just afraid to find out what Otani is really thinking.\Please dip the lemons in honey, okay? response:	If I just go back to pretending things are the way they were before,
context: No good. This is no good.\His spirit left his body...\Okay! Let's do this!\Despite what people may think, you're actually quite timid, aren't you, Koizumi-san?\That's right.\As Maity said, I'm just afraid to find out what Otani is really thinking.\Please dip the lemons in honey, okay?\If I just go back to pretending things are the way they were before, response:	It doesn't matter what Otani thinks of me.
context: His spirit left his body...\Okay! Let's do this!\Despite what people may think, you're actually quite timid, aren't you, Koizumi-san?\That's right.\As Maity said, I'm just afraid to find out what Otani is really thinking.\Please dip the lemons in honey, okay?\If I just go back to pretending things are the way they were before,\It doesn't matter what Otani thinks of me. response:	So...
context: Okay! Let's do this!\Despite what people may think, you're actually quite timid, aren't you, Koizumi-san?\That's right.\As Maity said, I'm just afraid to find out what Otani is really thinking.\Please dip the lemons in honey, okay?\If I just go back to pretending things are the way they were before,\It doesn't matter what Otani thinks of me.\So... response:	She's late...
context: Despite what people may think, you're actually quite timid, aren't you, Koizumi-san?\That's right.\As Maity said, I'm just afraid to find out what Otani is really thinking.\Please dip the lemons in honey, okay?\If I just go back to pretending things are the way they were before,\It doesn't matter what Otani thinks of me.\So...\She's late... response:	What happened to Risa-chan?
context: That's right.\As Maity said, I'm just afraid to find out what Otani is really thinking.\Please dip the lemons in honey, okay?\If I just go back to pretending things are the way they were before,\It doesn't matter what Otani thinks of me.\So...\She's late...\What happened to Risa-chan? response:	The match is about to start.
context: As Maity said, I'm just afraid to find out what Otani is really thinking.\Please dip the lemons in honey, okay?\If I just go back to pretending things are the way they were before,\It doesn't matter what Otani thinks of me.\So...\She's late...\What happened to Risa-chan?\The match is about to start. response:	Good morning.
context: Please dip the lemons in honey, okay?\If I just go back to pretending things are the way they were before,\It doesn't matter what Otani thinks of me.\So...\She's late...\What happened to Risa-chan?\The match is about to start.\Good morning. response:	What's up with you?! Don't scare me so early in the morning!
context: If I just go back to pretending things are the way they were before,\It doesn't matter what Otani thinks of me.\So...\She's late...\What happened to Risa-chan?\The match is about to start.\Good morning.\What's up with you?! Don't scare me so early in the morning! response:	What's wrong? You look really tired.
context: It doesn't matter what Otani thinks of me.\So...\She's late...\What happened to Risa-chan?\The match is about to start.\Good morning.\What's up with you?! Don't scare me so early in the morning!\What's wrong? You look really tired. response:	I was up all night making our cheering gear.
context: So...\She's late...\What happened to Risa-chan?\The match is about to start.\Good morning.\What's up with you?! Don't scare me so early in the morning!\What's wrong? You look really tired.\I was up all night making our cheering gear. response:	Cheering gear?
context: She's late...\What happened to Risa-chan?\The match is about to start.\Good morning.\What's up with you?! Don't scare me so early in the morning!\What's wrong? You look really tired.\I was up all night making our cheering gear.\Cheering gear? response:	Otani for Life
context: What happened to Risa-chan?\The match is about to start.\Good morning.\What's up with you?! Don't scare me so early in the morning!\What's wrong? You look really tired.\I was up all night making our cheering gear.\Cheering gear?\Otani for Life response:	OTANI CLUB
context: The match is about to start.\Good morning.\What's up with you?! Don't scare me so early in the morning!\What's wrong? You look really tired.\I was up all night making our cheering gear.\Cheering gear?\Otani for Life\OTANI CLUB response:	Otani for Life
context: Good morning.\What's up with you?! Don't scare me so early in the morning!\What's wrong? You look really tired.\I was up all night making our cheering gear.\Cheering gear?\Otani for Life\OTANI CLUB\Otani for Life response:	Starting today, you're all part of the Otani Club!
context: What's up with you?! Don't scare me so early in the morning!\What's wrong? You look really tired.\I was up all night making our cheering gear.\Cheering gear?\Otani for Life\OTANI CLUB\Otani for Life\Starting today, you're all part of the Otani Club! response:	Like hell!
context: What's wrong? You look really tired.\I was up all night making our cheering gear.\Cheering gear?\Otani for Life\OTANI CLUB\Otani for Life\Starting today, you're all part of the Otani Club!\Like hell! response:	Otani!
context: I was up all night making our cheering gear.\Cheering gear?\Otani for Life\OTANI CLUB\Otani for Life\Starting today, you're all part of the Otani Club!\Like hell!\Otani! response:	For life!
context: Cheering gear?\Otani for Life\OTANI CLUB\Otani for Life\Starting today, you're all part of the Otani Club!\Like hell!\Otani!\For life! response:	Otani!
context: Otani for Life\OTANI CLUB\Otani for Life\Starting today, you're all part of the Otani Club!\Like hell!\Otani!\For life!\Otani! response:	Do your best!
context: OTANI CLUB\Otani for Life\Starting today, you're all part of the Otani Club!\Like hell!\Otani!\For life!\Otani!\Do your best! response:	Otani!
context: Otani for Life\Starting today, you're all part of the Otani Club!\Like hell!\Otani!\For life!\Otani!\Do your best!\Otani! response:	There, there, Captain.
context: Starting today, you're all part of the Otani Club!\Like hell!\Otani!\For life!\Otani!\Do your best!\Otani!\There, there, Captain. response:	Don't be so down. Cheer up.
context: Like hell!\Otani!\For life!\Otani!\Do your best!\Otani!\There, there, Captain.\Don't be so down. Cheer up. response:	You guys, too.
context: Otani!\For life!\Otani!\Do your best!\Otani!\There, there, Captain.\Don't be so down. Cheer up.\You guys, too. response:	I'll cheer for you from the bench, okay?
context: For life!\Otani!\Do your best!\Otani!\There, there, Captain.\Don't be so down. Cheer up.\You guys, too.\I'll cheer for you from the bench, okay? response:	Hey! Are you Captain Otani?
context: Otani!\Do your best!\Otani!\There, there, Captain.\Don't be so down. Cheer up.\You guys, too.\I'll cheer for you from the bench, okay?\Hey! Are you Captain Otani? response:	Hey man, we're your first opponents.
context: Do your best!\Otani!\There, there, Captain.\Don't be so down. Cheer up.\You guys, too.\I'll cheer for you from the bench, okay?\Hey! Are you Captain Otani?\Hey man, we're your first opponents. response:	Best of luck, okay?
context: Otani!\There, there, Captain.\Don't be so down. Cheer up.\You guys, too.\I'll cheer for you from the bench, okay?\Hey! Are you Captain Otani?\Hey man, we're your first opponents.\Best of luck, okay? response:	Yes!
context: There, there, Captain.\Don't be so down. Cheer up.\You guys, too.\I'll cheer for you from the bench, okay?\Hey! Are you Captain Otani?\Hey man, we're your first opponents.\Best of luck, okay?\Yes! response:	Otani, pull yourself together.
context: Don't be so down. Cheer up.\You guys, too.\I'll cheer for you from the bench, okay?\Hey! Are you Captain Otani?\Hey man, we're your first opponents.\Best of luck, okay?\Yes!\Otani, pull yourself together. response:	Hello! We're the Otani Club!
context: You guys, too.\I'll cheer for you from the bench, okay?\Hey! Are you Captain Otani?\Hey man, we're your first opponents.\Best of luck, okay?\Yes!\Otani, pull yourself together.\Hello! We're the Otani Club! response:	Yes!
context: I'll cheer for you from the bench, okay?\Hey! Are you Captain Otani?\Hey man, we're your first opponents.\Best of luck, okay?\Yes!\Otani, pull yourself together.\Hello! We're the Otani Club!\Yes! response:	Why... why...
context: Hey! Are you Captain Otani?\Hey man, we're your first opponents.\Best of luck, okay?\Yes!\Otani, pull yourself together.\Hello! We're the Otani Club!\Yes!\Why... why... response:	Oh, you came.
context: Hey man, we're your first opponents.\Best of luck, okay?\Yes!\Otani, pull yourself together.\Hello! We're the Otani Club!\Yes!\Why... why...\Oh, you came. response:	Huh? Where's Otani?
context: Best of luck, okay?\Yes!\Otani, pull yourself together.\Hello! We're the Otani Club!\Yes!\Why... why...\Oh, you came.\Huh? Where's Otani? response:	We met our opponents just now, and it left him quite shocked.
context: Yes!\Otani, pull yourself together.\Hello! We're the Otani Club!\Yes!\Why... why...\Oh, you came.\Huh? Where's Otani?\We met our opponents just now, and it left him quite shocked. response:	He wandered off somewhere in a daze.
context: Otani, pull yourself together.\Hello! We're the Otani Club!\Yes!\Why... why...\Oh, you came.\Huh? Where's Otani?\We met our opponents just now, and it left him quite shocked.\He wandered off somewhere in a daze. response:	Isn't the first match about to start?
context: Hello! We're the Otani Club!\Yes!\Why... why...\Oh, you came.\Huh? Where's Otani?\We met our opponents just now, and it left him quite shocked.\He wandered off somewhere in a daze.\Isn't the first match about to start? response:	Yeah... but...
context: Yes!\Why... why...\Oh, you came.\Huh? Where's Otani?\We met our opponents just now, and it left him quite shocked.\He wandered off somewhere in a daze.\Isn't the first match about to start?\Yeah... but... response:	Oh, don't worry. I'll go look for him.
context: Why... why...\Oh, you came.\Huh? Where's Otani?\We met our opponents just now, and it left him quite shocked.\He wandered off somewhere in a daze.\Isn't the first match about to start?\Yeah... but...\Oh, don't worry. I'll go look for him. response:	Look. I got dragged into the Otani Club.
context: Oh, you came.\Huh? Where's Otani?\We met our opponents just now, and it left him quite shocked.\He wandered off somewhere in a daze.\Isn't the first match about to start?\Yeah... but...\Oh, don't worry. I'll go look for him.\Look. I got dragged into the Otani Club. response:	That's okay. I'm just a bench warmer, after all.
context: Huh? Where's Otani?\We met our opponents just now, and it left him quite shocked.\He wandered off somewhere in a daze.\Isn't the first match about to start?\Yeah... but...\Oh, don't worry. I'll go look for him.\Look. I got dragged into the Otani Club.\That's okay. I'm just a bench warmer, after all. response:	Cheer for Otani.
context: We met our opponents just now, and it left him quite shocked.\He wandered off somewhere in a daze.\Isn't the first match about to start?\Yeah... but...\Oh, don't worry. I'll go look for him.\Look. I got dragged into the Otani Club.\That's okay. I'm just a bench warmer, after all.\Cheer for Otani. response:	I love you, Nakao-chi!
context: He wandered off somewhere in a daze.\Isn't the first match about to start?\Yeah... but...\Oh, don't worry. I'll go look for him.\Look. I got dragged into the Otani Club.\That's okay. I'm just a bench warmer, after all.\Cheer for Otani.\I love you, Nakao-chi! response:	Yay.
context: Isn't the first match about to start?\Yeah... but...\Oh, don't worry. I'll go look for him.\Look. I got dragged into the Otani Club.\That's okay. I'm just a bench warmer, after all.\Cheer for Otani.\I love you, Nakao-chi!\Yay. response:	Where'd he go?
context: Yeah... but...\Oh, don't worry. I'll go look for him.\Look. I got dragged into the Otani Club.\That's okay. I'm just a bench warmer, after all.\Cheer for Otani.\I love you, Nakao-chi!\Yay.\Where'd he go? response:	What are you doing?
context: Oh, don't worry. I'll go look for him.\Look. I got dragged into the Otani Club.\That's okay. I'm just a bench warmer, after all.\Cheer for Otani.\I love you, Nakao-chi!\Yay.\Where'd he go?\What are you doing? response:	I guess you could say I'm trying to focus my mind.
context: Look. I got dragged into the Otani Club.\That's okay. I'm just a bench warmer, after all.\Cheer for Otani.\I love you, Nakao-chi!\Yay.\Where'd he go?\What are you doing?\I guess you could say I'm trying to focus my mind. response:	What's that?
context: That's okay. I'm just a bench warmer, after all.\Cheer for Otani.\I love you, Nakao-chi!\Yay.\Where'd he go?\What are you doing?\I guess you could say I'm trying to focus my mind.\What's that? response:	The Otani Club.
context: Cheer for Otani.\I love you, Nakao-chi!\Yay.\Where'd he go?\What are you doing?\I guess you could say I'm trying to focus my mind.\What's that?\The Otani Club. response:	What?
context: I love you, Nakao-chi!\Yay.\Where'd he go?\What are you doing?\I guess you could say I'm trying to focus my mind.\What's that?\The Otani Club.\What? response:	Come on, now. The match is about to start.
context: Yay.\Where'd he go?\What are you doing?\I guess you could say I'm trying to focus my mind.\What's that?\The Otani Club.\What?\Come on, now. The match is about to start. response:	What's with this Otani Club? How embarrassing.
context: Where'd he go?\What are you doing?\I guess you could say I'm trying to focus my mind.\What's that?\The Otani Club.\What?\Come on, now. The match is about to start.\What's with this Otani Club? How embarrassing. response:	What do you men, embarrassing?!
context: What are you doing?\I guess you could say I'm trying to focus my mind.\What's that?\The Otani Club.\What?\Come on, now. The match is about to start.\What's with this Otani Club? How embarrassing.\What do you men, embarrassing?! response:	After I came specifically to cheer you on and all!
context: I guess you could say I'm trying to focus my mind.\What's that?\The Otani Club.\What?\Come on, now. The match is about to start.\What's with this Otani Club? How embarrassing.\What do you men, embarrassing?!\After I came specifically to cheer you on and all! response:	It's fine. You don't need to cheer.
context: What's that?\The Otani Club.\What?\Come on, now. The match is about to start.\What's with this Otani Club? How embarrassing.\What do you men, embarrassing?!\After I came specifically to cheer you on and all!\It's fine. You don't need to cheer. response:	I mean, we're going to lose anyway.
context: The Otani Club.\What?\Come on, now. The match is about to start.\What's with this Otani Club? How embarrassing.\What do you men, embarrassing?!\After I came specifically to cheer you on and all!\It's fine. You don't need to cheer.\I mean, we're going to lose anyway. response:	It's more embarrassing if you're cheering away loudly while we're losing.
